ParlaMint-GB_2019-01-23-commons.u1	1. What assessment he has made of the potential effect of the EU withdrawal agreement on Wales.
ParlaMint-GB_2019-01-23-commons.u116	Q13. If she will list her official engagements for Wednesday 23 January. Even though Brexit is turning out to be very different from what voters were promised by the leave campaign, is the Prime Minister now effectively saying to voters, in opposing a people’s vote, that they had their say three years ago and they must now just put up and shut up?
ParlaMint-GB_2019-01-23-commons.u117	What we are saying is that this House overwhelmingly voted to have the referendum in 2016 and for people to be asked for their choice as to whether to leave or to stay in the European Union. There will have been a variety of reasons why people voted to leave the European Union in 2016. Many wanted an end to free movement, and that is what we will be delivering. For many, it was about sovereignty, and that is why ending the jurisdiction of the European Court is important. Independent trade policy is also part of it, and that is what the Government are delivering. We are delivering on the vote that took place and ensuring that we do it in a way that protects jobs and gives people certainty for the future.
ParlaMint-GB_2019-01-23-commons.u118	Q12. Ten years ago, I had a cervical smear test that picked up some abnormalities which, if they had been left untreated, could have developed into something much more serious. Unfortunately, cervical screening is at 21-year low and more than a quarter of women do not take up this life-saving test. We all know that it can be a bit uncomfortable, and it can be embarrassing for some women, but will the Prime Minister please urge all women up and down the country to take up this life-saving test?
ParlaMint-GB_2019-01-23-commons.u119	My hon. Friend’s experience shows exactly why it is so important for women to take up this test. We need to do more to encourage women to take up their cervical screening tests, and Public Health England will shortly launch a national campaign to highlight the risks of cervical cancer and encourage women to attend the screening appointments. I can stand here as the Prime Minister and say that I know what it is like to go through a cervical smear test, and it is not comfortable. For some it will be embarrassing, and it is sometimes painful, but those few minutes can save lives, so I would encourage all women to take up their smear tests.
ParlaMint-GB_2019-01-23-commons.u120	On the Monday before Christmas, my constituent Nathan Garrett, aged 18, was referred by his GP for emergency mental health support. On the Tuesday, he was helping others and delivering my Christmas cards, just as he had delivered many election leaflets over the years. Later, he asked the crisis team for emergency help, but none was forthcoming. On the Wednesday, Nathan went missing. On the Thursday, I learned at the volunteers’ event that we hold every Christmas, when I was expecting to see Nathan, that it had all got too much for him and that he had taken his own life Nathan Garrett was a brilliant, engaging, kind young man. He was a county athletics champion, a talented and brilliant musician, and incredibly popular. His parents and his grandmother are here today. Does the Prime Minister agree that when a teenager needs emergency mental health support, that support should be available within 24 hours? Will she ask the appropriate Minister to meet me and Nathan’s family to push that matter forward today?
ParlaMint-GB_2019-01-23-commons.u121	I am sure that all Members will join me in sending our deepest condolences to Nathan’s family and friends and to all those who knew him. From what the hon. Gentleman said, it sounds as though he was an incredible young man. Every life lost is a tragedy, and incidents of suicide are deeply concerning, which is why we are taking action in relation to suicide prevention. The hon. Gentleman has also raised the issue of mental health provision. We recognise the importance of increasing provision for people who are suffering from mental health problems. I am happy to ensure that the hon. Gentleman can meet the appropriate Minister to discuss the matter.
ParlaMint-GB_2019-01-23-commons.u122	Q14. Almost a year ago, the authorities in Telford agreed to commission an inquiry into child sexual exploitation in our town after a lengthy campaign by victims and their families, who were seeking justice and answers. The promised inquiry has not happened. There is no chairperson and no start date. Does my right hon. Friend agree that the failure to hold the promised inquiry lets down victims, survivors and our community? Will she join me in urging the Telford authorities not to sweep the matter under the carpet, but to deliver on their promises and to start the inquiry now?
ParlaMint-GB_2019-01-23-commons.u123	My hon. Friend has raised an important issue. The crimes were utterly appalling. That is why we have given tackling child sexual abuse and exploitation the highest priority, and it is concerning, as my hon. Friend said, that the inquiry has taken so long to start, having been announced in the spring of last year. It is in the interests of victims and survivors that the inquiry is up and running as soon as possible. People deserve to see that inquiry taking place, and I will ensure that a Home Office Minister meets my hon. Friend to discuss that further.
ParlaMint-GB_2019-01-23-commons.u124	At Prime Minister’s questions last October, I asked the Prime Minister about my constituent Hassan Mirza and his 10-year battle simply to renew his passport. I wrote to the Prime Minister and received a holding response two months ago. Since then, Hassan’s uncle has passed away, but he could not attend the funeral. His wife is ill, but he cannot visit her or his children. This is unacceptable. When will the Prime Minister finally give me a detailed answer, and when will she get a grip on the failings in the Home Office?
ParlaMint-GB_2019-01-23-commons.u125	I can only apologise to the hon. Gentleman that he has not had a detailed answer from me before now. I will ensure that he gets one but, more than that, my right hon. Friend the Home Secretary is happy to meet him to discuss the case.
ParlaMint-GB_2019-01-23-commons.u126	Will my right hon. Friend join me in paying tribute to my constituent Bob Woodward, who sadly died on Sunday? When Bob’s son Robert was diagnosed with cancer aged eight in 1976, he founded the charity CLIC—Cancer and Leukaemia in Childhood. Over the following decades, he changed lives by raising over £100 million in support of worthy causes. He was an inspirational figure and a great and compassionate man, and he recently had a new Great Western Railway train named after him. Will my right hon. Friend also join me in offering our condolences to his friends and family?
ParlaMint-GB_2019-01-23-commons.u127	I am certainly happy to join my hon. Friend in expressing our sympathies and condolences to Bob Woodward’s friends and family and in paying tribute to Bob. After tragically losing his son to cancer, as my hon. Friend pointed out, he dedicated his life to young cancer patients and their families and was able use his success as a property developer to provide residences where families of young cancer patients could live while their child is receiving treatment. It is a fitting legacy that there are now 10 of these properties in the UK, and CLIC is now a global organisation raising funds for the care of families around the world. Bob Woodward suffered a terrible tragedy with the loss of his son, but he ensured that his work throughout his life is benefiting others.
ParlaMint-GB_2019-01-23-commons.u128	This morning I received a letter from Santander saying that it is closing the branch in Middleton and suggesting that my constituents should avail themselves of banking services at Middleton post office, which in turn is being franchised into the back of WH Smith. Can the Prime Minister say what her policy is for our high street, other than just managed decline?
ParlaMint-GB_2019-01-23-commons.u129	Obviously individual banks take commercial decisions, and it sounds as if there will still be post office services available on the high street to which the hon. Lady refers. We are concerned about helping to manage our high streets and ensuring that we have good high streets for the future. That is why, in the Budget, the Chancellor announced funding that is available to local authorities to work on plans for their high streets.
ParlaMint-GB_2019-01-23-commons.u130	Will the Prime Minister join me in reassuring the people of North Wiltshire and, indeed, the nation that, despite yesterday’s announcement that he is to move his corporate headquarters and two senior executives to Singapore, the commitment of Dyson to Britain remains undiminished, as evidenced by the £200 million he is investing in his research and development site at Hullavington and by the £40 million he is investing in the engineering and design college at Malmesbury? He is totally and utterly committed to Great Britain, and yesterday’s announcement has no effect at all on that commitment.
ParlaMint-GB_2019-01-23-commons.u131	Dyson is clear that it will continue to have a long-term future in the UK, and it has trebled its workforce to 4,800 over the past five years. Of course, what matters to companies like Dyson is having a Government who are unapologetically pro-business, which this Government are, and a Government who are ensuring that our balanced economic policy sees increasing employment, exports and foreign direct investment in UK companies at record highs.
ParlaMint-GB_2019-01-23-commons.u132	Mr Speaker, may I wish you, the Prime Minister and everybody here a very happy Cumbria Day? A vast array of produce is available: beer from Kirkby Lonsdale; relish from Hawkshead; deli.sh pies; and tea and coffee from Penningtons—all the stuff the Prime Minister might need for a packed lunch if she is considering a walking holiday anytime soon. I remind her that, after London, Cumbria contains Britain’s biggest tourism destination, but today Cumbria has come to London. I invite her and, indeed, everybody here to come and join us in the Jubilee Room straight after PMQs to sample the best of Cumbria.
ParlaMint-GB_2019-01-23-commons.u133	The hon. Gentleman is a one-man tourist board, and we are grateful to him.
ParlaMint-GB_2019-01-23-commons.u134	The hon. Member for Westmorland and Lonsdale (Tim Farron) has done a good job of promoting the benefits of Cumbria, and I am sure he will be joined by my hon. Friends and others from across the House. I thank him for listing the very many items I might want to put in my packed lunch when I go on a walking holiday, but I am afraid I am bound to say that, although I recognise that Cumbria has good produce, Berkshire has good produce, too.
ParlaMint-GB_2019-01-23-commons.u135	(Urgent Question): To ask the Secretary of State for Justice if he will make a statement on the failure of the central courts IT system.
ParlaMint-GB_2019-01-23-commons.u136	I am grateful for the opportunity to update the House on the IT issues facing the Ministry of Justice over recent days I start by apologising to those who have been affected by the intermittent disruption, which was caused by an infrastructure failure in our supplier’s data centre. Although services have continued to operate and court hearings have continued, we know how frustrating this is for everyone. The issue is that some of our staff in the Courts and Tribunals Service, the Legal Aid Agency, probation and Ministry of Justice headquarters have been unable to log on to their computers, but we have contingency plans in place to make sure that trials can go ahead as planned The Prison Service has not been affected and—to correct inaccurate reporting—criminals have not gone free as a result of the problem. We have been working closely with our suppliers, Atos and Microsoft, to get our systems working again, and yesterday we had restored services to 180 court sites, including the largest ones. Today, 90% of staff have working computer systems. Work continues to restore services and we expect the remainder of the court sites to be fully operational by the time they open tomorrow morning. We are very disappointed that our suppliers have not yet been able to resolve the network problems in full This afternoon, the permanent secretary, Sir Richard Heaton, will meet the chief executive of Atos and write personally to all members of the judiciary. I am very grateful to all our staff who have been working tirelessly and around the clock, alongside our suppliers, to resolve the issues.
ParlaMint-GB_2019-01-23-commons.u137	I thank you, Mr Speaker, for granting the urgent question, and the Minister for her reply Members will be concerned by the failure of the multiple vital IT systems that our courts require, including systems supplied by Atos and Microsoft. Indeed, I saw those failures at first hand last week, when I visited one of the Crown courts. The chair of the Criminal Bar Association described our courts system as being “on its knees” following that failure, and blamed “savage cuts to the MoJ budget” Reports in The Times suggested that there is a risk of defendants being released before trial. Will the Minister confirm whether any defendants have been released without trial? What costs has the failure incurred? Have Atos and Microsoft paid any penalties for failures on the contracts so far? Can the Minister guarantee that all costs arising from the failures will be recovered from the suppliers Of course, such failings do not happen in a vacuum. The Ministry of Justice has faced cuts of 40% in the decade to 2020. The Government are pursuing a £1.2 billion courts reform programme, which has seen hundreds of courts close, thousands of court staff cut and a rush to digitise many court processes. Are the plans to cut 5,000 further court staff by 2023 still being pursued Will the Minister explain why the Government ignored the Association of Her Majesty’s District Judges, which called for courts closures to be stopped until “fully functioning IT systems are demonstrated to be up and running successfully” Finally, will the Minister now commit to a moratorium on further cuts, closures and digitisation of our courts until a Bill has been brought to the House so that we can fully scrutinise the Government’s plans?
ParlaMint-GB_2019-01-23-commons.u138	I am grateful for the opportunity to answer the points that the hon. Member for Bolton South East (Yasmin Qureshi) raised. She suggested that the problems are related to cuts—they are not. They relate to an issue in a contractual supplier’s system. She suggested that defendants were being released. I hope she heard in my initial reply that that was incorrect reporting. No prisoners have been released. The prison system is different from the MOJ’s and I repeat that no prisoners have been released as a result of the problem The hon. Lady asked about penalties. As I said, the permanent secretary is meeting the supplier’s chief executive this afternoon and of course we will look carefully at the contracts, which include penalty clauses The hon. Lady suggested that the issue is related to a rush to digitisation. I would like to clarify that Her Majesty’s Courts and Tribunals Service operates on a legacy system, which needs to be updated because issues arise in it, and we are therefore investing significantly in our digitisation programme to ensure that our courts system runs well in the future The hon. Lady talked about cuts. I started with that and I will end with it, as she did. We are not cutting our justice system and our Courts Service. Indeed, as she rightly identified, we are putting £1 billion into it.
ParlaMint-GB_2019-01-23-commons.u139	I am glad to have the Minister’s reassurance that this situation has nothing to do with the common platform, as that is indeed the case. Does she accept that senior members of the judiciary, as I know from my conversations with them, are most anxious that the roll-out of the common platform proceeds, because the difficulties come from the failures of the old system? Will she ensure that the new initiatives that we are bringing in, such as digital portals, are fully and robustly tested before they come into use, so that court users can have full confidence in them?
ParlaMint-GB_2019-01-23-commons.u140	As always, my hon. Friend the Chairman of the Justice Committee makes important points. I am pleased to clarify that the common platform is not affected—it is being trialled—and that in fact the reform programme in its totality is not affected by these issues. Our divorce and probate application systems are not affected. As I said, the point of reform is to ensure that these systems work in future—my hon. Friend referred to the need to ensure that our systems work—and we will be carrying out a rigorous evaluation of our court reform programme.
ParlaMint-GB_2019-01-23-commons.u141	Prisons being issued urgent notifications, private probation services needing bailouts, trials collapsing because of disclosure failures, MOJ staff on strike over the failure to pay them the London living wage—and now the court system is in disarray. When will the Minister finally understand that the 40% real-terms cut to the MOJ budget since 2010 has consequences, and that austerity has left the justice system at breaking point?
ParlaMint-GB_2019-01-23-commons.u142	As I identified at the start, this issue was caused by an infrastructure failure in our supplier’s data centre. It is not the result of cuts. My Department received some funding in relation to the building of a prison in the recent Budget, and it received investment into the courts service and into its estates. We are investing £1 billion in our courts service.
ParlaMint-GB_2019-01-23-commons.u143	I should declare that as a judge my husband has been affected by these outages, and I am lobbied heavily on this matter at home. In the light of that, I would be grateful if the Minister confirmed my understanding that 75% of court staff are now back online and working normally. When will the rest of them be?
ParlaMint-GB_2019-01-23-commons.u144	I am disappointed that my hon. Friend’s husband, whom I should declare I know, is affected, and I send my apologies to him. Indeed, more seriously, I send my apologies to all court staff, judges and professionals who have been affected. This has obviously been a disruption to their business and I am truly sorry for that. As my hon. Friend mentioned, we are working hard to ensure that these issues are resolved, and in fact 90% of staff have working computer systems today. We expect our court sites to be fully operational by the time they open tomorrow morning.
ParlaMint-GB_2019-01-23-commons.u145	It looks as though an end to domestic lobbying is in sight. I am sure the hon. Member for Banbury (Victoria Prentis) is extremely appreciative of that important fact.
ParlaMint-GB_2019-01-23-commons.u146	We have heard that this incident has caused a great deal of disruption for the judicial system, and the Minister has apologised to staff, but will she also take into account the very many individuals who are awaiting court sentencing and appearances? They have undergone unbelievable stress and gone through a great deal of personal sacrifice and disruption because of this incident, so will she apologise to them and ensure that future investment in the Ministry of Justice ensures that this does not happen again?
ParlaMint-GB_2019-01-23-commons.u147	The hon. Lady makes an important point. It is of course users who are at the heart of the justice system. Professionals work in the justice system, but they and the system work for justice for individuals. This morning I was at a court that was functioning—I was sitting at a hearing—and of course there is that continuous reminder that we are there to serve people who want to get justice done.
ParlaMint-GB_2019-01-23-commons.u148	I declare an interest, because I am still a member of the Criminal Bar Association. I am grateful to the Minister for her assurances that this situation is not related to cuts, but the simple truth of it is that if we had a better, more fully funded system, there would be proper back-ups and this rumbling problem would have been sorted out a long time ago. I am afraid I share the views of the chairman of the Criminal Bar Association. The system is now reaching crisis point and funding is primarily a problem, but it is not just about money; we could spend the money in better ways. I would be grateful if the Minister would meet me and other members of the criminal Bar in particular to discuss how we can sort out what is, I am afraid to say, a broken system.
ParlaMint-GB_2019-01-23-commons.u149	My right hon. Friend has a great deal of expertise in this subject area and I am always happy to meet her and to speak with her. She talked about back-ups, and I should say that it is because we have recently invested in the courts service that we had wi-fi back-up. The issue was in relation to the server, but because we have invested in wi-fi in courts up and down the country, many staff could continue to work during this incident My right hon. Friend mentioned the criminal Bar; I am a big supporter of the independent criminal Bar, as I am of solicitor advocates, who play a vital role in the delivery of justice, which is why we have recently given them £23 million more for the advocates’ graduated fee scheme. We are investing in encouraging them and hope that they continue to do their work My right hon. Friend mentioned the CBA; I work closely with the CBA and have met its representatives on several occasions recently, and I also work closely with the Bar Council. I want to continue to work closely with them as we move forward.
ParlaMint-GB_2019-01-23-commons.u150	As we must do this, may I declare a personal, rather than a pecuniary, interest? I have been married to a senior member of the west London magistracy for many, many years. Mrs Pound is incandescent with fury, because those on her particular bench find it impossible to operate within the common platform. The iPads with which they have been issued are useless, and many defence barristers and solicitors are having to print out copies of the documentation before they come to court. Will the Minister accept that it is our unpaid magistracy who have been making this system work despite the IT nightmare? Will she take this opportunity, on behalf of Her Majesty’s Government, to pay tribute to and thank the magistrates for making a broken system work?
ParlaMint-GB_2019-01-23-commons.u151	I am honoured that we have so many well-connected Members of Parliament present in the House to share with us their personal knowledge of the justice system. I thank the hon. Gentleman’s wife for all the work she does. I do indeed recognise the significant contribution that the magistracy makes. I was pleased to go to the Magistrates Association annual conference late last year. Magistrates do indeed make a significant contribution to our criminal justice system.
ParlaMint-GB_2019-01-23-commons.u152	I very much hope that the hon. Gentleman will present a copy of the Official Report, when it appears tomorrow, to Mrs Pound, or Maggie, as I think she is known.
ParlaMint-GB_2019-01-23-commons.u153	Very good, Sir!
ParlaMint-GB_2019-01-23-commons.u154	The listing team in Chelmsford administers the calendars and diaries for all Essex and Suffolk magistrates and county courts—that is more than 30 different courts sitting every day—so when the computer systems have been down it has been an administrative nightmare. I am glad to hear that nine out of 10 computers are back up and running and that we expect full service back tomorrow. Will my hon. and learned Friend confirm that this incident was not because of a cyber-attack and that there has been no loss of data, and will she let us know what is being done to make sure that this situation does not recur?
ParlaMint-GB_2019-01-23-commons.u155	As a diligent MP working for her constituency, my hon. Friend raised the particular issue of the Chelmsford courts with me yesterday, and I was pleased to tell her yesterday that Chelmsford Crown court was included in the sites that were fixed last night. We are currently working on, and perhaps might even have fixed, the combined family and county court, and hope that they will be online. I can confirm to my hon. Friend that this incident was not the result of a cyber-attack.
ParlaMint-GB_2019-01-23-commons.u156	Does the Minister accept that it is not quite fair to characterise this as a single or unusual event, and that her Department has been receiving reports of failures in the criminal justice secure email service for at least six months now?
ParlaMint-GB_2019-01-23-commons.u157	The hon. Gentleman makes an important point. In fact, there were two separate incidents in relation to the HMCTS-MOJ site: one that occurred on Tuesday night, which was fixed by the weekend; and a separate incident that occurred on Sunday, which we are continuing to work through. The issue he identifies in relation to the secure system is, again, separate and unrelated. Some 75,000 people were affected by that, which is only 12.5%. By Monday, we had restored user access to 40,000 of those people. We restored access to the remainder on Tuesday, and we have dealt with the issue. I hope people will identify that issues are occurring, and HMCTS is working through the night to resolve these issues. As I have mentioned, we hope that they will be fully resolved by tomorrow morning.
ParlaMint-GB_2019-01-23-commons.u158	I, too, declare my interest as a member of the Bar and one who well remembers the frustrations caused by the legacy system. Will my hon. and learned Friend reassure me that her teams are working around the clock to make sure that all court users have access to the reliable IT system they need?
ParlaMint-GB_2019-01-23-commons.u159	I can give my hon. Friend that assurance. Issues have arisen, but HMCTS staff have been working around the clock to resolve them. They have been working extremely hard, and I would like to thank them for that work. Issues have arisen, but we have attempted to resolve them as quickly as possible.
ParlaMint-GB_2019-01-23-commons.u160	What compensation will be made available to victims of crime who wait so long to get justice, and to other court users who often give up days of work? There is a massive loss of productivity in the system already, and issues such as this continue to aggravate the situation. Will there be a compensation system that is open, so that people can claim back for such lost productivity and make other claims they may have in relation to this matter?
ParlaMint-GB_2019-01-23-commons.u161	The issue that has arisen relates mainly to email systems. There has been minimal disruption, I am told, to the courts system as a whole. Obviously, where issues arise, we will investigate them and look into them thoroughly. Our whole programme of reform is intended to ensure that the users are at the heart of the system and that we ensure swift justice, with effective hearings delivered in the most efficient manner to ensure justice for everybody.
ParlaMint-GB_2019-01-23-commons.u162	I must say it is a relief to hear that the Prison Service was not affected by this problem. Will the Minister reassure me completely that there is no prospect that any criminal hoping this may allow them to escape justice or be released slightly earlier will benefit? In essence, they will be very disappointed.
ParlaMint-GB_2019-01-23-commons.u163	I am very glad to give the confirmation that the Prison Service system is a different IT system and no defendant has been released as a result.
ParlaMint-GB_2019-01-23-commons.u164	My constituents have contributed £43 million to the stalled digitisation process, thanks to the closure and sale of Hammersmith magistrates and county courts. Their reward is to travel for an hour or more to courts at Clerkenwell or Hendon. The Minister says the courts system is running well; it is not: it is in freefall. Will she at least postpone any further closures until she can guarantee a working service?
ParlaMint-GB_2019-01-23-commons.u165	I know the hon. Gentleman does a great deal of work in this area; he is very involved in the local law centre and has a great deal of knowledge. He will therefore be aware that we have recently consulted on what our guidelines should be in relation to any future closures. We will be guided by the response to that consultation, which is due out shortly.
ParlaMint-GB_2019-01-23-commons.u166	Remote and rural constituencies will often benefit most from technology—especially in my own constituency, where the regrettable closure of Skegness court means there is even greater reliance on it. May I urge the Minister to bear in mind that the use of technology will always produce more good than harm if it is done properly, and that she should proceed on the basis of that maxim?
ParlaMint-GB_2019-01-23-commons.u167	My hon. Friend makes an important point. Technology has opened the door—not just in justice, but in all areas of our lives—to more efficient and progressive ways of doing things. However, technology should always be our servant, not our master. We in the Ministry of Justice would like to ensure that technology will enable answers, not frustrate traditional ones. The technology that will be rolled out in hearings—if we have video hearings, for example—will always be used at the discretion of the judge, and we will ensure that it enables, not restricts, justice.
ParlaMint-GB_2019-01-23-commons.u168	Earlier this week, a constituent contacted me because of MOJ cuts. He is concerned that Newcastle county court is at least 22 staff short and is two months behind with its workload. As well as overstretched staff having the added problem of the IT failure, he is extremely concerned that they cannot deliver for the people they are there to serve. How does the Minister respond to these legitimate concerns?
ParlaMint-GB_2019-01-23-commons.u169	Of course, where there are particular concerns in any particular court, I am happy to look at them. If the hon. Lady would like to write to me or meet me, I would be happy to discuss any particular concerns.
ParlaMint-GB_2019-01-23-commons.u170	The Minister says that she wants the user at the heart of the system. Under this Government, Wrexham in north-east Wales is run by an administrator in Llanelli in south-west Wales. That has led to our having a magistrates court without any cells—the equivalent of a pub without any beer—and the result is that the users have to go to a different town. All of this is as a result of Ministry of Justice incompetence. How can we have confidence in the administration of the justice system when this sort of chaos is an everyday occurrence?
ParlaMint-GB_2019-01-23-commons.u171	A number of people, such as the hon. Gentleman, have referred to court closures. In circumstances where 41% of our courts were used at less than half their available capacity last year, it is incumbent on a Government to look at where they should use their resources and where they should use their resources well. All money from court closures goes back into the courts system, and we ensure that the money is spent and spent well on our justice system.
ParlaMint-GB_2019-01-23-commons.u172	When the Government closed Scunthorpe magistrates and family courts, against the wishes of local people, much was made of the way in which digitisation would mitigate the risk of threats to access to justice. Given this shambles, what evaluation is being done of whether, where there have been court closures, access to justice is still being delivered effectively?
ParlaMint-GB_2019-01-23-commons.u173	It is vital that we continue to reform our courts and to take advantage of what technology offers us. We have had extremely positive reports from people who are using our online services, such as our online applications for probate, online applications for divorce and—I was in a social security tribunal this morning—online applications for social security tribunals. There is the fact that people can get updated on their social security hearing on their mobile phone, and the fact that we are now piloting the ability of a judge to email and liaise with a tribunal applicant before they get to court so that their hearing is ready, effective and useful when they get there. We of course evaluate this at each stage. Our systems are user-based and have been adapted because of the feedback we have had from users in the course of using them, but we will be evaluating the reform programme overall.
ParlaMint-GB_2019-01-23-commons.u174	In the year that the Government have designated the year of green action, I beg to move, That leave be given to bring in a Bill to make provision for the periodic updating of the Ancient Woodland Inventory for England; and for connected purposes Colleagues may be relieved to learn that this Bill is all bark and no Brexit, so it is going to be a change. As any Member of this House who has watched my recent videos on YouTube explaining parliamentary Committees will know, I am a tree hugger, and I am proud of it. I am a member of the all-party group on ancient woodlands and veteran trees, which is so ably led by my hon. Friend the Member for Taunton Deane (Rebecca Pow), because I am fighting to save them—all of them Ancient woodlands are an irreplaceable habitat and cover only 2.6% of land in the UK—that is 2.6% that we know of, so there could be a lot more. I cannot say whether that is the case, because the database that records ancient woodland in England, the ancient woodland inventory, is out of date I am introducing this Ancient Woodland Inventory (England) Bill because the present inventory is outdated and, as a result, has many inaccuracies and omissions that need to be corrected. My right hon. Friend the Secretary of State for Housing, Communities and Local Government introduced an updated national planning policy framework last July, which included long-overdue protections for ancient woodland. The framework makes it clear that developments that damage or destroy ancient woodlands should be refused except in exceptional circumstances. That is fabulous news, and the Secretary of State has my thanks for that, but, in order to protect those ancient woodlands, we do need to know where they are The existing inventory has become an essential reference tool for planners, developers, landowners, foresters, conservationists and others who are keen to protect and restore these irreplaceable wooded habitats. It tells us, for instance, that HS2 will destroy at least 56 hectares of this irreplaceable habitat. Indeed, the number of hectares of all threatened ancient woodlands is now at 811 The inventory was originally developed back in the 1980s when computerised mapping was in its infancy—as were a good many hon. Members—and the lack of updates to it has meant that it is missing data. This has, in some cases, resulted in ancient woodlands being lost or damaged by development or mismanagement simply because they are not recorded in that inventory. That is particularly true of smaller sites that are often not yet recorded. Our knowledge of different types of wooded habitats and their values has increased, particularly our understanding of ancient wood pastures Significant steps have also been taken to restore some ancient woodlands damaged by conifer plantations, yet these positive changes also go unrecorded. The basic methods for identifying ancient woodland have not changed but, as I mentioned earlier, the policy and technology have—as have public awareness, appreciation, expertise and research—which makes a full update both more feasible and more urgent. Small sites have regularly suffered due to this inaccuracy. There are few sites smaller than 2 hectares—that is 5 acres in old money, so not that small—recorded in the inventory, yet we know that they exist, and they are often the most at risk of loss or damage. A simple comparison between ancient maps and the inventory, which can be done relatively simply in this computerised age, shows countless small sub-2-hectare copses of ancient woodland that are on one map but not on the other. They are unregistered, unprotected, gone. That is the wrong attitude Give us examples, I hear you cry—[Hon. Members: “Give us examples!”] I will. In the Derbyshire Dales, just two months ago, a 1.25-hectare wood—that is 3 acres —stood for sale near the village of Middleton. On either side of it, ancient woodlands of some 40 hectares still stand proud. In the middle, this little clump lies forgotten. Its size means that it does not come up on the current inventory, so any planner or developer would not notice it, and could well decide to cut it down and put up some houses, caravans or even glamping pods among its hallowed groves—and do so unimpeded. Three acres is significant. It also appears on ancient maps dating back to the 1600s, so it is ancient. If it is on those ancient maps, it should be available on the inventory to planners. If the inventory were updated, the wood would be recognised. Without recognition, there is no protection The Government pledged to improve protections for ancient woodlands, and that means all of them. We cannot rely on out-of-date data to prop up a system that has seen countless hectares of this irreplaceable habitat lost. We have to update it I do not intend this to be any sort of blocking Bill to good, well-sited and much needed construction. I merely wish to ensure that the protection we have pledged ourselves to provide is backed up by the information required to make such protection real and meaningful on the ground. Indeed, it will actually help to speed up development, helping to avoid lengthy disagreements and costly proposals that have been put forward on the basis of incorrect and outdated evidence Much of my own constituency of Lichfield is filled with wonderful ancient woodland, which provides so many benefits and so much public good that cannot be replaced. Untilled soil is capable of storing carbon and provides a nutrient-rich mix for thousands of species of plants, fungi and lichen, and ancient oaks, alder, hazel and birch, which provide the very air we breathe as well as food and shelter for the creatures that we care about. These and so much more may be lost. This is a loss that my constituents, and doubtless hundreds of thousands of fellow constituents across the country, including those who made their voices heard in support of various Woodland Trust campaigns, are unwilling to accept. This is what the Bill will address. If people need numeric costs—figures to satisfy their minds alongside the compelling arguments for the intrinsic value of ancient woodland—they need look no further than the strategy that my right hon. Friend the Secretary of State for Environment, Food and Rural Affairs will be introducing through the forthcoming England tree strategy, which will establish and confirm the benefits that we value from the trees that we cherish. Then they may see for themselves the irreplaceability of these ancient woodlands through the numbers that they well understand Frustratingly, ancient woodland inventories are a devolved matter, which is why this Bill applies only to England, but hon. Members from across the House have kindly sponsored it. I hope that they might provide the necessary leadership so that the devolved Administrations can update their own inventories in my beloved Wales, as well as in Scotland and Northern Ireland I am introducing this Bill now because, even as I speak, unregistered, unnoticed and ignored ancient woodlands are at risk of being lost, much to the dismay of our constituents who do cherish these forgotten vales of tranquillity. Only by updating the inventory will that not happen. We need to let the people know that, by the power of this Bill, when a tree falls we will hear it Question put and agreed to. Ordered, That Michael Fabricant, Sir Oliver Heald, Liz Saville Roberts, Rebecca Pow, Mr David Jones, Angela Smith, Stephen Timms, Mr Clive Betts, Henry Smith, John Mc Nally, Jim Shannon and Mr Jim Cunningham present the Bill Michael Fabricant accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 15 March, and to be printed (Bill 324). Tenant Fees Bill (Programme) (No. 3) Motion made, and Question put forthwith (Standing Order No. 83A(7)), That the following provisions shall apply to the Tenant Fees Bill for the purpose of supplementing the Orders of 21 May 2018 (Tenant Fees Bill (Programme)) and 5 September 2018 (Tenant Fees Bill (Programme) (No. 2)): Consideration of Lords Amendments (1) Proceedings on consideration of Lords Amendments shall (so far as not previously concluded) be brought to a conclusion three hours after their commencement at today’s sitting Subsequent stages (2) Any further Message from the Lords may be considered forthwith without any Question being put (3) The proceedings on any further Message from the Lords shall (so far as not previously concluded) be brought to a conclusion one hour after their commencement.—(Jo Churchill.) Question agreed to.
ParlaMint-GB_2019-01-23-commons.u175	I remind the House that the Bill has been certified as relating exclusively to England and within devolved legislative competence. Any Divisions will be subject to double majority voting, whole House and Members representing constituencies in England.
ParlaMint-GB_2019-01-23-commons.u176	I beg to move, that this House agrees with Lords amendment 1.
ParlaMint-GB_2019-01-23-commons.u177	With this it will be convenient to discuss the following: Lords amendments 2 to 35 Lords amendment 36, and amendment (a) in lieu Lords amendment 37, and amendments (a) and (b) thereto Lords amendments 38 to 47 Lords amendment 48, and amendment (a) thereto Lords amendments 49 to 60.
