ParlaMint-GB_2019-10-24-commons.u1	1. What steps he is taking to improve transport sustainability.
ParlaMint-GB_2019-10-24-commons.u129	May I first pay tribute to the staff of Thomas Cook in Glenrothes, who for a great many years have provided my constituents, and indeed myself, with a very professional and courteous service? Last week, the Government finally admitted that no Minister had spoken to Thomas Cook directly before the company collapsed. The Secretary of State claimed that the company could not be saved, but then some parts of the company in other countries were indeed saved. Will he now accept that if the Government had engaged sooner with Thomas Cook, they could have mitigated the impact of this failure, fewer people would have lost their jobs, the cost to the taxpayer would have been less and fewer people would have seen their holidays ruined?
ParlaMint-GB_2019-10-24-commons.u130	That is simply not correct. I met the chief executive of the company on 9 September, and I have checked my closing words to him at that meeting, which were—[Interruption.] The hon. Gentleman might want to listen. My closing words to that company and to the chief executive were: “If there is anything that Her Majesty’s Government could do then please get in touch”. The response was: “There is nothing that can be done at this time”. Later, on 18 September, he wrote to the Government asking for not the £200 million that has been reported, but up to £250 million. That decision would have required accounting officer sign-off for a company with debt of perhaps £1.7 billion or, we now hear, perhaps even £3 billion. It simply would not have stacked up. We would have spent all the money that has been spent on repatriation in any case, as well as money to bail out a company that had enormous debts.
ParlaMint-GB_2019-10-24-commons.u131	The travel industry has a proud record of pulling together when a company goes under, and that happened in the Thomas Cook case. Thomas Cook would have had an air travel organisers’ licence, so the money that was used to repatriate people from abroad should be recovered from that fund, which is levied on the travel industry. The net cost to the Government should therefore be very small.
ParlaMint-GB_2019-10-24-commons.u132	My hon. Friend is right, at least in part. The ATOL coverage will cover a large proportion of the cost. However, the company was an airline as well as a travel company and, as my hon. Friend will be aware, airlines are not currently covered under ATOL—that is part of the review. In any case, we will ensure that laws are in place to make sure that the fleet can be used regardless.
ParlaMint-GB_2019-10-24-commons.u133	The truth is that it is shocking that this Government let down Thomas Cook staff. They lost their livelihoods while the gaffers got rich off their bonuses. The subsidiaries Condor in Germany, Thomas Cook in Spain and Thomas Cook in Sweden are still flying. The Government have stood by and let the business in the UK fail. When the Secretary of State gets to his feet, will he just say sorry for letting down all those hard-working staff and the British taxpayer?
ParlaMint-GB_2019-10-24-commons.u134	The whole House and, indeed, the whole country is aware that those on the Opposition Front Bench do not understand how an economy functions.
ParlaMint-GB_2019-10-24-commons.u135	Say sorry! It’s easy.
ParlaMint-GB_2019-10-24-commons.u136	If there was any possible way to ensure the survival of a company whose directors were allegedly being paid millions of pounds—it is interesting to hear that the Opposition want us to have backed those millions of pounds of bonuses with yet more money from the public purse—we would have done it but, as I said, it would have required accounting officer direction, because it simply did not stack up. As the hon. Gentleman knows, the reality is that Hays Travel has come in and rescued many of those jobs, because well-run companies survive. Poorly run companies cannot survive.
ParlaMint-GB_2019-10-24-commons.u137	Observers of our proceedings will doubtless have heard the sedentary exclamations of the hon. Member for Kingston upon Hull East (Karl Turner), who is further validating the assertion that I make to audiences around the world, which is that he is the loudest Member of the House.
ParlaMint-GB_2019-10-24-commons.u138	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2019-10-24-commons.u139	Mr Speaker, this is my first topical questions session and my last opportunity with you in the Chair. I have been in post for 93 days and, with your permission, will give a couple of quick updates I know the House is concerned about smart motorways. I have heard those concerns being raised today and previously, and I have asked my Department to carry out, at pace, an evidence stocktake to gather the facts quickly and make recommendations As we have heard, my Department was involved in Operation Matterhorn, which successfully repatriated the most people to this country since the second world war. We are also getting ready for Brexit and, of course, decarbonising transport.
ParlaMint-GB_2019-10-24-commons.u140	There was widespread disappointment across the taxi and private hire sector last week when the Secretary of State indicated to the Transport Committee that he would not be bringing forward legislation to tackle some of the safety issues relating to licensing. He will know that councils can introduce high standards but cannot enforce them against drivers who are licensed elsewhere. Will he think about that again?
ParlaMint-GB_2019-10-24-commons.u141	The hon. Gentleman pressed me hard on this matter in the Select Committee sitting, and I have done some work on it before and since. We intend to go down the statutory taxi and private hire vehicle standards approach, with standardised checks and a national database. I have spoken to Professor Mohammed Abdel-Haq, who is present in the Gallery and who chaired the task and finish group. I invite the hon. Gentleman, along with others in the House, to join us in that programme, and I thank him.
ParlaMint-GB_2019-10-24-commons.u142	T4. It may have been Dr Johnson who said that it is better to travel hopefully than to arrive, but there can be no hope without safety. Professor Mohammed Abdel-Haq’s report, which I commissioned, had public safety at its heart. Will the Secretary of State do all he can through secondary legislation and statutory guidance to make people safer when they travel in taxis, and meet me and the hon. Members for Cambridge (Daniel Zeichner) and for Coventry South (Mr Cunningham) to discuss how he will go about that?
ParlaMint-GB_2019-10-24-commons.u143	I pay tribute to my right hon. Friend for his work on this matter, and particularly for action in commissioning that task and finish group. I absolutely look forward to working with him, other Members across the House and the maritime Minister, my hon. Friend the Member for Wealden (Ms Ghani), who deals with this issue as well.
ParlaMint-GB_2019-10-24-commons.u144	T2. Following on from previous speakers on the taxi issue, we have been raising it now for well over 12 months, probably nearer two years. We have had Adjournment debates and questions on it. It is not good enough for the Secretary of State now to say that we are going out to consultation on some minor parts of it. We should have the full report and it should be debated in this House and amended if necessary.
ParlaMint-GB_2019-10-24-commons.u145	I should just clarify for the hon. Gentleman that we are not going out to consultation; we are in fact acting on statutory taxi and private hire vehicle standards.
ParlaMint-GB_2019-10-24-commons.u146	T6. The Minister will be aware that transport affects the whole of the Greater London area, but beyond that, is it not time that this was reviewed so that places such as Essex, Kent, Surrey and Hertfordshire have a say about transport policy in the Greater London area?
ParlaMint-GB_2019-10-24-commons.u147	My hon. Friend is absolutely right, of course, that Transport for London has a big impact on constituencies outside, including mine in Welwyn Hatfield. I do note, however, that there are widely differing views, including in my area, for example, where people would welcome more Transport for London involvement. In his area, perhaps the opposite is the case. I do think that it is a case of making sure that whatever we do fits in with the Williams review and the White Paper, which is to be published shortly.
ParlaMint-GB_2019-10-24-commons.u148	T3. My hon. Friend the Member for Lewisham East (Janet Daby) mentioned that Transport for London had launched its new consultation on the Bakerloo line extension. There is a growing risk that this vital piece of infrastructure could be prevented by premature development coming forward on key sites along the routes. Will the Secretary of State commit today to issuing safeguarding directions to the proposed route as soon as possible?
ParlaMint-GB_2019-10-24-commons.u149	I thank the hon. Lady for her question. I actually met her about this and other subjects only a couple of weeks ago. My officials, along with Ministry of Housing officials, are currently working with TfL to understand the case for the Bakerloo line extension and how it interacts with housing proposals, and I expect to be able to report more very shortly.
ParlaMint-GB_2019-10-24-commons.u150	T8. On 3 September, the Secretary of State said that he would discuss with the Chancellor the case for updating the costs and benefits of HS2 to current prices to ensure transparency, but he also said that“there is no future for a project like this without being transparent and open, so we will be candid when challenges emerge.”Has he met the Chancellor? Does he have the updated costs, and how does asking the independent panel to sign non-disclosure agreements fit with his statement about being transparent?
ParlaMint-GB_2019-10-24-commons.u151	My right hon Friend has campaigned on this issue, quite rightly, for a very long time, and she gives me the opportunity to correct something that was suggested from the Front Bench earlier, which is that I somehow have a copy of the report, which I absolutely do not. I have not seen any of it, not even its emerging conclusions. When Oakervee is ready, he will present that report. I stick with everything I said. This is very important. As soon as we have this information, I will make it available to the House. As for non-disclosures, there are, of course, sensitive commercial matters involved in these things, and it is important that all members of the panel work together without releasing those inadvertently in a manner that would be commercially problematic. None the less, I do agree with the basic principle that, as soon as the information is available, this House will have it.
ParlaMint-GB_2019-10-24-commons.u152	T5. It is two and a half years since the Bus Services Act 2017 was passed, yet we are still waiting for secondary legislation to make talking buses a reality for blind and visually impaired passengers. When will this finally happen?
ParlaMint-GB_2019-10-24-commons.u153	We have put together a £2 million fund to help smaller bus companies make audio-visual information available, and that should come into place next year. It is a part of our inclusive transport strategy and I believe that we are the first country to have such a strategy: to align ourselves with UN goals to enable people with disabilities to access public transport as easily as those who do not have disabilities.
ParlaMint-GB_2019-10-24-commons.u154	T9.   The permanent closure of the Army and Navy flyover has created a transport emergency across Chelmsford and mid-Essex. Can the Minister confirm that officials from the Department for Transport are working at pace with Essex County Council and focusing every effort on developing, funding and delivering a long-term solution to this junction?
ParlaMint-GB_2019-10-24-commons.u155	I am delighted to say that the noble Baroness Vere who deals with these issues and I met yesterday, and we both commend my hon. Friend for her leadership on this issue. This has been a very serious emergency situation, causing huge congestion in her part of the world, and we are determined to ensure that we get the solution right. That means not necessarily rebuilding what was there before, but getting a proper state-of-the-art solution.
ParlaMint-GB_2019-10-24-commons.u156	T7. At Highways England, a Government-owned company of which the Secretary of State is the sole shareholder, over 60 executives—mostly men—now enjoy six-figure salaries, while the vast majority of staff have been told to expect their pay increases to remain capped at 1% until 2025? When will the new shareholder be challenging company directors to address these pay disparities?
ParlaMint-GB_2019-10-24-commons.u157	The hon. Lady may be surprised to hear that I agree with her. Some of these salaries—in both road and rail—have gone off the scale, and I am already addressing the issue.
ParlaMint-GB_2019-10-24-commons.u158	Many of my constituents think that, as far as the Government are concerned, “northern powerhouse” only means Leeds and Manchester, so will the Secretary of State prove my constituents wrong by unequivocally committing to a station stop in Bradford for Northern Powerhouse Rail, which is vital for the local economy?
ParlaMint-GB_2019-10-24-commons.u159	I am sure that my hon. Friend has heard what the Prime Minister has had to say on this matter. He will also know that Transport for the North is looking at options including Bradford for trans-Pennine links. I am immensely sympathetic to his argument.
ParlaMint-GB_2019-10-24-commons.u160	T10.   What progress has been made with the Department’s feasibility study regarding the reopening of the Skipton-Colne line for both passengers and freight?
ParlaMint-GB_2019-10-24-commons.u161	I am sure that the hon. Gentleman will recognise the work that has been done on this issue by other Members of Parliament, including my hon. Friend the Member for Pendle (Andrew Stephenson) and my right hon. Friend the Member for Skipton and Ripon (Julian Smith). The feasibility work is still in progress, and we are pressing further to assess whether the proposed scheme can be made affordable, will attract sufficient traffic and is part of the right long-term solution for all trans-Pennine rail traffic. The hon. Gentleman will have seen that the issue featured in the rail network enhancements pipeline publication earlier this week.
ParlaMint-GB_2019-10-24-commons.u162	Constituents across Gloucestershire will be delighted with the additional 5,000 seats a day of rail capacity between Gloucester and Paddington. Can the Minister tell me when we might also expect additional capacity on the important and very popular Gloucester to Bristol line, which would be welcomed by the Mayor of the West of England, my hon. Friend the Member for Thornbury and Yate (Luke Hall) and our excellent candidate in Stroud, Siobhan Baillie?
ParlaMint-GB_2019-10-24-commons.u163	My hon. Friend has been campaigning on this issue, possibly since the day he was born; he is certainly in my ear about it all the time. Increasing frequency on local Great Western Railway trains is the best way in which to provide additional frequency and seats on the route, and this is likely to be provided as an extension of MetroWest additional services for Bristol to Yate, with the Department funding Yate to Gloucester. MetroWest proposals are under development by GWR as part of the next franchise, which will start in April 2020.
ParlaMint-GB_2019-10-24-commons.u164	Transport without a brake would be like a car without a driver—Tom Brake.
ParlaMint-GB_2019-10-24-commons.u165	In relation to Operation Yellowhammer, may I ask the Secretary of State what role the 300 troops and 180 police officers who are to be put on standby will play in policing the transport network in and around the port of Portsmouth, and how many other troops and police may be deployed at other ports?
ParlaMint-GB_2019-10-24-commons.u166	It is always a pleasure to respond to the happy-go-lucky Member for Carshalton and Wallington, especially on the matter of Brexit because I was reading his website last night, on which he says, “clearly this was a democratic vote and we must abide by this decision” —something that he has forgotten, I believe. My Department is operationalising Yellowhammer, and I will happily write to the right hon. Gentleman with the details he requires.
ParlaMint-GB_2019-10-24-commons.u167	Ah, let us call a Member who used to have responsibility for buses and various other forms of transport at different times—Mr Andrew Jones.
ParlaMint-GB_2019-10-24-commons.u168	After a widely supported and successful campaign against a relief road in Harrogate, the transport authority is now looking at a package of sustainable measures to take transport forward in the area. What support will the Government provide to North Yorkshire County Council and other such councils developing sustainable transport packages?
ParlaMint-GB_2019-10-24-commons.u169	My hon. Friend raises an excellent point. We are currently in the midst of talking to the Secretary of State for Housing, Communities and Local Government about a much more fundamental integration of housing and transport through the housing infrastructure fund. I will happily meet my hon. Friend to talk this through to make sure that it works for local places so that housing comes with proper transport.
ParlaMint-GB_2019-10-24-commons.u170	Further to the Secretary of State’s earlier comments on the intention to carry out a review of the safety of smart motorways and all-lane running, he will know that the Transport Committee questioned Highways England on this yesterday. Is that review being carried out in the Department or by someone independent? I would be grateful if he clarified that.
ParlaMint-GB_2019-10-24-commons.u171	I watched with great interest the evidence from Highways England in front of the Committee yesterday and noted the comments of the chief exec. I will ensure that the Department is making decisions on this, because some of the statistics have been difficult to understand. We know that people are dying on smart motorways. We also know that 70 or 80 people a year die on full motorways. Understanding whether smart motorways are less safe, the same or safer turns out not to be as straightforward as Members might imagine. I want all the facts and I want recommendations that could be put in place to ensure that all our motorways are as safe as they possibly can be. I will get this done in a matter of weeks.
ParlaMint-GB_2019-10-24-commons.u172	Growing towns and villages in my constituency need investment in cycle and walking infrastructure. Will the Secretary of State join my representations to the Treasury at the forthcoming Budget to make sure that there is dedicated funding for villages and towns to expand this infrastructure?
ParlaMint-GB_2019-10-24-commons.u173	Yes, we are working with cycling groups up and down the country to do exactly that.
ParlaMint-GB_2019-10-24-commons.u174	TransPennine rail services between Leeds and Manchester through Stalybridge and Mossley are clearly vital to this country. The previous Government changed their mind quite a lot on improvements, including on full electrification. What is this Secretary of State’s policy on TransPennine rail upgrades, and will he meet me to hear some sensible suggestions on the way forward?
ParlaMint-GB_2019-10-24-commons.u175	I am happy to meet the hon. Gentleman. I am very interested and cannot wait.
ParlaMint-GB_2019-10-24-commons.u176	Ah, another habitué of Transport questions —Martin Vickers.
ParlaMint-GB_2019-10-24-commons.u177	Thank you, Mr Speaker The Secretary of State will have heard my exchange with the Prime Minister yesterday when he agreed with me on submitting proposals for free port status for the Humber ports, an upgrade to the A15, and improved east-west rail freight capacity. Will the Secretary of State indicate his support, and will he agree to meet me and a delegation to discuss the matter?
ParlaMint-GB_2019-10-24-commons.u178	It is good to see the hon. Gentleman back on his feet promoting everything in his constituency, including free ports. I will of course be more than happy to sit down and meet a delegation, although I am a bit concerned about how large it will be. I am pleased to be working with the Department for International Trade and the Treasury to ensure that the ports that want it get the free port status that they require.
ParlaMint-GB_2019-10-24-commons.u179	I am sorry, but we must move on.
ParlaMint-GB_2019-10-24-commons.u180	On a point of order, Mr Speaker.
ParlaMint-GB_2019-10-24-commons.u181	Well, very briefly.
ParlaMint-GB_2019-10-24-commons.u182	I am grateful, Mr Speaker. In our exchanges on Question 3, my hon. Friend the Member for York Central (Rachael Maskell) raised her concerns about the delayed publication of the Oakervee report. The Minister responded by saying that she was making it up. I can assure you, Mr Speaker, that when my hon. Friend comes to the Dispatch Box she does not make things up—she tells the truth. If the Minister has inadvertently used language that he ought not to, perhaps he could come to the Dispatch Box right now and withdraw the slur that he has laid against her immediately, without any qualification.
ParlaMint-GB_2019-10-24-commons.u183	It is incumbent upon a Minister to own up if he or she considers an error to have been made. I would simply say that as a matter of fact Members must be assumed to speak what they believe to be true. It all happened very quickly, and I did mutter at the time that a Member will say only what he or she believes. So it was, I think, infelicitous, at the very least, and a gracious withdrawal would be appreciated.
ParlaMint-GB_2019-10-24-commons.u184	I have not received the said report, but I am happy to clarify the point and I withdraw the exact comment.
ParlaMint-GB_2019-10-24-commons.u185	I am extremely grateful to the Minister. I thank him for that and we will leave it there.
ParlaMint-GB_2019-10-24-commons.u186	(Urgent Question): To ask the Secretary of State for Exiting the European Union if he will make a statement regarding checks on goods moving from Northern Ireland to Great Britain and Great Britain to Northern Ireland under the current withdrawal agreement.
ParlaMint-GB_2019-10-24-commons.u187	On 17 October, the United Kingdom and the European Union reached political agreement on a new withdrawal agreement and political declaration for the future relationship. That includes a revised protocol for Northern Ireland, which has been extensively debated in this House. The agreement is clear that Great Britain and Northern Ireland are one customs territory. Goods that are not at risk of moving to the European Union will attract no tariffs. These arrangements mean that Northern Ireland would remain in the UK’s customs territory and could benefit from the UK’s new trade deals with third countries. Goods moving from Great Britain to Northern Ireland that are destined for the European Union will have to comply with European Union rules. To ensure that the correct tariffs are applied and that goods comply with the rules of the single regulatory zone, some information will be needed on goods moving from Great Britain to Northern Ireland The deal also explicitly allows the United Kingdom to ensure unfettered market access for goods moving from Northern Ireland to Great Britain. There will be minimal targeted interventions designed to prevent, for example, trade in endangered species, which I would have thought the House would agree on. We will work with the European Union to eliminate those limited processes as soon as possible after Brexit. The most important point is that the arrangements automatically dissolve after four years unless a majority of the Northern Ireland Assembly in Stormont votes to keep them.
ParlaMint-GB_2019-10-24-commons.u188	Thank you, Mr Speaker, for granting this urgent question, which really does matter There is confusion at the very heart of Government. Yesterday the Prime Minister told the House there would be “no checks” and “no tariffs” between Northern Ireland and Great Britain; that is in direct contradiction to what the Secretary of State just told the House. It is in contradiction with the steadily progressing views expressed in different statements from the Secretary of State for Northern Ireland and the Justice Secretary, who said last night on “Newsnight” that there will be checks in both directions—from GB to Northern Ireland, and Northern Ireland to GB. The manifest confusion at the heart of Government is compounded by the confusion for businesses in Northern Ireland—particularly small businesses—and the Northern Ireland civil service in planning for the long term. That is simply unacceptable. The Government were trying to ram the European Union (Withdrawal Agreement) Bill through the House in three days, but they themselves do not properly understand what they are doing. That is problematic, and we need absolute clarity While this is outside the Secretary of State’s immediate brief, there are other consequences. The House spent a long time arguing that there should be no hard border across the island of Ireland to prevent an impact on the nationalist community; we did not think we would now be talking about the impact on the Unionist community and political Unionism. The new Chief Constable of the Police Service of Northern Ireland said: “whatever ends up as a Brexit deal, if there is one that could be perceived in a way that sort of threatens the security of the loyalist community...our concern is also the loyalist community has at times shown it can mobilise quickly, bring large numbers of people on to the streets and engage in public disorder in support of their cause.” I hope that every Member takes that warning very seriously, because it is a profound warning from a senior and experienced police officer I have a number of specific questions for the Secretary of State. First, what overall impact assessment have the Government made for the Northern Ireland economy? What assessment have they made for trading ports and airports in Scotland, Wales and England? Her Majesty’s Revenue and Customs estimates that each declaration for shipments from Great Britain to Northern Ireland will cost between £15 and £56, and Border Force says that a “minimum amount” of electronic information will be required for movements from west to east. When will the Secretary of State be able to give certainty to businesses about what the checks will be and how they will be undertaken? If the Justice Secretary was right when he told “Newsnight” that there would be checks from Northern Ireland to Great Britain, when will we know the detail of what those checks will be, rather than their being superficially dismissed as of no importance In the end, the Government have to put an end to this confusion. Will the Secretary of State guarantee that he will make an early statement to the House about the full impact of the checks in both directions? Does he accept the warning of the Chief Constable about the potential impact and do the Government take that seriously? If so, what is their assessment? Finally, I have to ask about a political point, although it is an important one: does the Secretary of State believe that the Prime Minister himself at last understands the impact of his deal on Northern Ireland and on the relationship between Northern Ireland and the rest of our country?
ParlaMint-GB_2019-10-24-commons.u189	I know that the House and the hon. Gentleman take these issues very seriously. He raises some very legitimate points, which I will seek to address First and foremost was the hon. Gentleman’s concern about any hard border between Northern Ireland and Ireland. I am happy to give him assurances on that; it is a key part of what the Government have agreed. If he looks at the preamble to the Northern Ireland protocol, he will see clear commitments from the EU and the UK to the Belfast/Good Friday agreement. It states that “nothing in this Protocol prevents the United Kingdom from ensuring unfettered market access for goods moving from Northern Ireland to the rest of the United Kingdom” The hon. Gentleman also raised a legitimate concern about the statement from the Chief Constable of the Police Service of Northern Ireland. The Government take it incredibly seriously, and the Secretary of State for Northern Ireland liaises closely with the Chief Constable and other senior officers. This is one reason why it is important to get the Executive back up and running, as I am sure the hon. Gentleman agrees. Part of the reason why the Government extended article 50, for which they were criticised at the time, was precisely because the previous Prime Minister took those concerns very seriously, and we have continued to work with the PSNI to address them. However, I remind the hon. Gentleman that one of the central concerns is the potential impact of no deal on the border, which is another reason it is important that the House comes together and agrees a deal, because that is the best way of safeguarding the Belfast/Good Friday agreement and addressing those concerns The hon. Gentleman asked about the comments of my right hon. Friend the Prime Minister. The Prime Minister was distinguishing between the paperwork required, which will be done digitally and is a single form, and the introduction of physical checks. In the coming months, we will work within the United Kingdom and with the European Union to discuss how to eliminate the limited administrative processes that there are. The hon. Gentleman will know that article 6 of the protocol requires further work through the Joint Committee to minimise any impact. That is an ongoing commitment The hon. Gentleman made a valid point about certainty for business. It is something we hear about in our engagement with businesses in Northern Ireland. It is important to reassure businesses that this is an administrative process—an electronic form—and something as part of bookings that will be done with the haulier as an aspect of the shipment of goods. It will involve fairly straightforward data about who is exporting, who is importing and the nature of the goods. That said, I am happy to have further discussions with him, because he does reflect concerns among businesses, particularly the small and medium-sized enterprises sector in Northern Ireland, about these arrangements The hon. Gentleman also asked when we would come back to the House with further updates. My right hon. Friend the Secretary of State for Northern Ireland is keen to continue to update the House, following his discussions on this issue and, more widely, about the restoration of the Executive. I will speak to my right hon. Friend about how we keep the House updated The issue is that these are administrative processes pertaining in particular to international obligations on things such as Kimberley diamonds and endangered species, and to things that hauliers will be able to preppulate in their IT systems. However, it is the case—the hon. Gentleman is right—that concerns have been expressed in Northern Ireland. Indeed, concerns have been expressed, which I very much respect, by our confidence and supply partners. Again, I very much offer to work with colleagues across the House on how we address the real concerns—the very real concerns—that I know they have to minimise any disruption that they are concerned about.
ParlaMint-GB_2019-10-24-commons.u190	The why is very clear—why a deal is important for the island of Ireland, and for Northern Ireland specifically—but may I say to the Secretary of State that that is not the case with the how and the what? Given the lack of absolute clarity from Government Ministers and indeed from HMRC, if the Government are serious about trying to sell this proposal to the communities of Northern Ireland, they are doomed to failure. May I urge that the Secretary of State, the Northern Ireland Secretary, the Prime Minister and the head of HMRC get together pretty quickly? In oral evidence yesterday, the Secretary of State for Northern Ireland referred to clauses of the Bill being brought forward. The communities need to see those in a timely fashion. We actually need to see draft documents about what these requirements would be. They are causing huge concern in Northern Ireland, and the Secretary of State will not be able to sell the deal unless within the next few days we have the clarity that will assuage very legitimate concerns.
ParlaMint-GB_2019-10-24-commons.u191	Order. I accorded the hon. Gentleman some latitude in the light of his notable celebrity as the Chair of the Northern Ireland Affairs Committee, but a similar latitude cannot be widely extended. At this rate, lots of people will not get in, and it will be no good their whingeing about it—that is the reality.
ParlaMint-GB_2019-10-24-commons.u192	My hon. Friend, as the Chair of the Northern Ireland Affairs Committee, raises an important point about what reassurance can be given through the withdrawal agreement Bill to colleagues across the House to address some of these issues. I stand ready to discuss that with him, as I have offered to do with the shadow spokesman and others in the House, subject to the withdrawal agreement Bill proceeding, during its passage I remind the Chair of the Select Committee—of course he is very aware of this—that operationally these are issues that apply at the end of the implementation period, not when the withdrawal agreement is ratified, so there will be time for much more consultation with businesses in Northern Ireland to address the very legitimate questions that have been raised. Although it sometimes feels a bit longer, it was only last Thursday that the agreement was reached with the EU, and of course there are questions about what are often quite complex and technical arrangements pertaining to customs. Those are legitimate questions, and I stand ready to discuss them with businesses in Northern Ireland and also with my hon. Friend.
ParlaMint-GB_2019-10-24-commons.u193	The Prime Minister had one job—to sort the Northern Ireland backstop—and he has made a pig’s ear of it. He has taken the parts of the backstop that many of his own colleagues and many in the Unionist community in Northern Ireland found unacceptable and put them centre stage, and he claims that to be a success. I and my SNP colleagues welcome anything that gives Northern Ireland businesses free access to markets in the Republic of Ireland. What is not acceptable is that our businesses in Scotland are then put deliberately at a competitive disadvantage What is worse is that the Prime Minister has attempted to do this not only without the consent of Northern Ireland but, as is now clear, against the almost unanimous opposition of all the communities of Northern Ireland, without any prior consultation even with the businesses that will have to live with the consequences of what he has done. Can the Secretary of State confirm reports that he has said that even people in Northern Ireland selling stuff on eBay to Great Britain will have to complete customs declarations? Did he say that or was he wrongly quoted in the Irish press Can the Secretary of State explain why it is a good idea for Northern Ireland to have closer customs links and trade links with the Republic of Ireland, but it is a bad idea for Scotland, Wales and England to have the same links? Can he tell us what assessment he or anyone in government has made about the economic impact on businesses in other parts of the United Kingdom, which will be left at a disadvantage compared with those in Northern Ireland? Finally, given that, in the view of Unionist politicians on both sides of the House, the deal potentially undermines the long-term future of Northern Ireland in the United Kingdom, if the Prime Minister is prepared to play fast and loose with one of the founding principles of his party, why should anyone trust the reassurances he gives us on an NHS about which he quite clearly could not care less?
ParlaMint-GB_2019-10-24-commons.u194	The hon. Gentleman asks some legitimate questions, but I think he finished with an unfair suggestion. The Prime Minister was always told that he would not be able to renegotiate a deal or replace the backstop, and that he could not change a word of the withdrawal agreement, but he achieved those things and deserves to be commended for doing so The hon. Gentleman started by saying that the Prime Minister had one job, but when Members passed the Benn legislation, many of them were saying that the Prime Minister’s job was avoiding no deal. By voting against the withdrawal agreement and the programme motion, the hon. Gentleman has made no deal much more likely The clear message that I get from businesses in Scotland —certainly those that I speak to, alongside my hon. Friends—is that they want the clarity and certainty of a deal, and to move forward. They want one step of changes through the implementation period, not two. That is why so many businesses across Scotland want us to get on with this. Fishing communities in particular want us to take control of our independent coastal waters once again When the hon. Gentleman referred to eBay, I was not sure whether he was talking about my comments or those of another Secretary of State, but if he was asking whether I have commented on that issue, no, I have not. Another Cabinet member might have made such comments, and I will be happy to clarify that. The impact of no deal, and the ongoing uncertainty of not resolving this issue, is clearly having a negative impact on business. Even business leaders who supported the remain campaign, such as Sir Stuart Rose, are now saying, “Let’s get this done. Let’s get Brexit done. Let’s get on to the future trade agreement and move the country forward.” I hope that the hon. Gentleman will think again and enable the programme motion to go through.
ParlaMint-GB_2019-10-24-commons.u195	Order. I call the author of the brevity textbook, Sir Desmond Swayne.
ParlaMint-GB_2019-10-24-commons.u196	What proportion of goods from non-EU countries are currently subject to physical checks on entering the UK and the Republic of Ireland?
ParlaMint-GB_2019-10-24-commons.u197	It is 1% from the rest of the world.
ParlaMint-GB_2019-10-24-commons.u198	Let us get this into perspective: Northern Ireland to Great Britain trade is worth £14 billion a year; trade from Northern Ireland to the European Union, including the Irish Republic, is £4.8 billion; and those figures are replicated the other way. Our trade with the rest of the UK is absolutely the most important by a long way. We need to avoid checks, and there will be checks, because we are going to have export declarations for trade from Northern Ireland to Great Britain. The Secretary of State now calls them “administrative processes”, but they are exit declarations that have to be checked. From Great Britain to Northern Ireland, there will be customs declarations, physical checks, tariffs on goods going to the European Union and entry summary declarations The Government’s own impact assessment states that there is the potential of “reduced trade, business investment and consumer spending” in Northern Ireland, and that small businesses will be hit disproportionately. Let us have a bit of clarity and honesty in this House! The fact of the matter is that this will adversely affect the most important trade that we have in Northern Ireland—that is the point we have always made. No checks along the Irish land border, yes, but we cannot then have those checks in the Irish sea Please will the Secretary of State take seriously the point that the shadow Secretary of State made and the Chief Constable made today? You are in danger of causing real problems with the Belfast agreement, the St Andrews agreement, and the political institutions and political stability in Northern Ireland by what you are doing to the Unionist community. Please wake up and realise what is happening here. We need to get our heads together and look at a way forward that can solve this problem. Don’t plough ahead regardless, I urge you.
ParlaMint-GB_2019-10-24-commons.u199	I do take seriously the concerns raised by the right hon. Gentleman. Like the Secretary of State for Northern Ireland and indeed my right hon. Friend the Prime Minister, I stand ready to work with him to address those concerns. We are absolutely explicit in standing by the commitments of this Government, and there is a cross-party commitment to the Belfast/Good Friday agreement. The Northern Ireland protocol makes that explicit within the terms of the international agreement I absolutely accept the right hon. Gentleman’s point: the flow of trade from Northern Ireland to GB is three or four times more than the flow from Northern Ireland to Ireland. That is why the text makes it clear that there will be unfettered access. We need to work with him, where there are concerns, as reflected by the Chair of the Select Committee, to allay those concerns. Indeed, the text enables us to do so. Again, these are not issues that start on 1 November; these are issues that apply at the end of the application period. Even before we get into the actual articles, the preamble says: “the application of the protocol should impact as little as possible on the everyday life of communities both in Ireland and Northern Ireland” So that is a commitment on both sides. We will work with him and with the Joint Committee on that. He well knows of our unique circumstances and that is why a unique solution is required, but I stand ready, as does the Prime Minister and the Secretary of State, to work with him to address the concerns he raises.
ParlaMint-GB_2019-10-24-commons.u200	I have listened very carefully to these exchanges. May I perhaps suggest to the Secretary of State that there is a solution here that requires Ministers getting a grip of officials? The starting point is that we want unfettered access. We only have to apply controls in strictly limited circumstances, so why don’t we start with not having any businesses having to fill in forms and only having a requirement on businesses that present a risk of not complying with those strictly limited international obligations? That might well go some way to allaying the fears of our confidence and supply partners. I remind him—he does not need reminding as an experienced former Whip—that, if we had them with us, today we would be completing consideration of the Bill and be on track to leave the European Union next Thursday, and we are not.
