ParlaMint-GB_2019-04-08-lords.u1	To ask Her Majesty’s Government what action they are taking to reduce air pollution.
ParlaMint-GB_2019-04-08-lords.u82	My Lords, we should be grateful to the noble Baroness, Lady Neville-Rolfe, for her amendment and for inviting us to consider the issues she identified. Any damage our economy is experiencing at the moment is on account not of the people’s decision in the 2016 referendum but of the highly protracted process and continuing uncertainty that is paralysing economic decision-making, particularly in investment and consumer decisions. The noble Baroness is absolutely right: we need the best objective assessment available as to the damage that the continuation of this uncertainty would cause. The proponents of a long extension of Article 50 must address the question of their responsibility for the continuing economic damage that would result.
ParlaMint-GB_2019-04-08-lords.u83	My Lords, in rising to support my noble friend, I am somewhat confused because this is a Private Member’s Bill that was absolutely pushed by the noble Baroness, Lady Hayter, who is not here today, from the Labour Front Bench only on Thursday. It was then taken forward by the noble Lord, Lord Rooker, who is not here today, and now it is being taken forward by the noble Lord, Lord Robertson. I am sure that that is all normal, but this is a huge constitutional step which seems to have, as my noble friend Lord Forsyth said, no parents. This is a very important step and we seem to be drifting into it without any considered thought at all.
ParlaMint-GB_2019-04-08-lords.u84	My Lords, what has just been demonstrated is that the Bill has many parents and very wide support across the House. The point made by the noble Lord, Lord Pannick, is completely conclusive. It is for the House of Commons to decide what the date should be. The Commons have invited us to give them this power, and I think that we should get on with it.
ParlaMint-GB_2019-04-08-lords.u85	My Lords, I apologise for having failed to speak in the debate on Second Reading. I had to leave London early on Friday to attend a memorial service the following day. I was pleased to see that the normal operation of the usual channels was restored on Thursday, although I deplore the fact that the closure Motion procedure was excessively and improperly used. Indeed, I would guess that it was used more times than in the previous decade or more—I would like to know. The result was that I was unable to speak either in the debate on the amendment to the business Motion moved by my noble friend Lord Forsyth or in the debate on that tabled by my noble friend Lord True. Of rather more significance than my ability to speak, however, is the fact that the use of the closure procedure denied both my noble friends the right to reply to the debates on the amendments that they had moved As my noble friend Lady Neville-Rolfe illustrated so well at Second Reading, the nature of business in the UK Parliament and the UK Government seems to be increasingly last minute. It is simply unacceptable to try to rush through a Bill of such huge importance without proper time to consider its implications. It makes a mockery of our parliamentary democracy. The Bill received a Second Reading in the other place by the narrowest of majorities: just one vote. It is deplorable that many noble Lords thought it was nevertheless appropriate to suspend the normal procedural rules of this House—
ParlaMint-GB_2019-04-08-lords.u86	My Lords, may I respectfully remind the noble Viscount that we are debating Amendment 4?
ParlaMint-GB_2019-04-08-lords.u87	I am well aware, and I thank the noble Lord for his advice However, I congratulate my noble friend Lord Blencathra on the report from his committee and on the fact that he so quickly responded The amendment moved by my noble friend Lady Neville-Rolfe is much needed. In her speech at Second Reading and again today, she has made the very good point that the Bill has profound financial implications. My noble friend Lord Cathcart also made this point most clearly in his powerful speech. It is reasonable to say that the terms of withdrawal should require the UK to honour its commitments during the current EU spending round, provided of course that the UK is not disadvantaged by its decision to leave the EU in terms of the amounts that UK projects and companies would otherwise have received from EU programmes Besides that, any extension beyond 22 May would require us to participate in the European Parliament elections, and that requirement would of course have financial implications. It is therefore strange that the Speaker has ruled that this is not a money Bill, but it is not surprising given his increasing willingness to allow his own political views and prejudices—
ParlaMint-GB_2019-04-08-lords.u88	My Lords, like the noble Viscount, I was not able to be here for the debate on Second Reading. I am therefore sure that he will agree with me that neither of us should intervene.
ParlaMint-GB_2019-04-08-lords.u89	I hear that the noble Lord thinks that, but I regret that I take a different opinion. I have apologised for not having been present at the debate on Second Reading for the reason I have given, but this morning I took the trouble to read virtually the whole of the debate.
ParlaMint-GB_2019-04-08-lords.u90	My Lords—
ParlaMint-GB_2019-04-08-lords.u91	No, I would like to finish so I will not give way to the noble Lord again. It is therefore strange—
ParlaMint-GB_2019-04-08-lords.u92	My Lords, I rise purely in a spirit of helpfulness. Perhaps the noble Viscount could keep in mind the difference between a money Bill and a Bill that requires a money resolution. It is quite a profound difference.
ParlaMint-GB_2019-04-08-lords.u93	I thank the noble Lord for his helpful advice. Nevertheless, I find it strange that the Speaker made the ruling he did, as the—
ParlaMint-GB_2019-04-08-lords.u94	I must remind my noble friend that, under paragraph 4.45, it is incorrect for Members of this House to criticise proceedings in another place or rulings of the Speaker. I make this point only to help the debate to move on.
ParlaMint-GB_2019-04-08-lords.u95	I thank my noble friend for his correction.
ParlaMint-GB_2019-04-08-lords.u96	My Lords, I take the place of my noble friend Lady Hayter today. She, like my noble friend Lord Rooker, is not able to be here To those, including the noble Baroness, Lady Neville-Rolfe, who have said we have to ensure there is not a precedent, I say that of course this is not a precedent, because the circumstances are exceptional. They are exceptional because, unless something is done, we risk leaving the European Union without a deal on Friday. It is in these circumstances that the other place took the decision that this Bill should be presented to us; we have been dealing with it. As I said at the conclusion of Second Reading, I very much hope we will be able to conclude it in time today As this is the first time I have spoken, I add my thanks to the Chief Whip for the work he did on Thursday to enable us to get to this stage. I remind noble Lords that we need to get to the end of this Bill, as he has said.
ParlaMint-GB_2019-04-08-lords.u97	If the circumstances are exceptional, why does that mean it has not created a precedent?
ParlaMint-GB_2019-04-08-lords.u98	I think it speaks for itself. We have not found ourselves in this sort of situation before. Others in the House can deal with this, if they would like, through the Procedure Committee later So far as the amendment itself is concerned—
ParlaMint-GB_2019-04-08-lords.u99	Could the noble Lord help us understand what the word “exceptional” means? On Thursday we had five closure Motions, where the Lord Speaker had to read out a text that says this should be used only in the most exceptional circumstances.
ParlaMint-GB_2019-04-08-lords.u100	That was the view the House took on each of those closure Motions To deal with the substance, we oppose the amendment, essentially for the reason put forward by the noble Lord, Lord Pannick—that we should not send this Bill back with constraints on the other place. What will then happen is for the Prime Minister and the other House to determine, but I urge the noble Baroness not to press her amendment.
ParlaMint-GB_2019-04-08-lords.u101	The noble Lord says we should not put constraints on the other place when we consider these amendments. Has not the argument been put forward many times from the Benches on which he sits that we should take into account the extent of the majority in the other place for any legislation we are considering? I cannot recall a narrower majority than the one by which this Bill was passed in the other place.
ParlaMint-GB_2019-04-08-lords.u102	I will not attempt definitions of words; I am a lawyer, not a grammarian.
ParlaMint-GB_2019-04-08-lords.u103	The Government distinguished by the leadership of Lady Thatcher came into office on the basis of one vote, as I remember. All of us, including my noble friend—and he is a friend—benefited from that.
ParlaMint-GB_2019-04-08-lords.u104	I am grateful for the support I have had for my amendment and for the echo that uncertainty in the Brexit process is a problem for business and for citizens of this country. We really need to resolve this.
ParlaMint-GB_2019-04-08-lords.u105	Given that my noble friend has put uncertainty at the heart of her remarks, does she not think that at least some credence should be given to the idea of coming out and leaving Europe this Friday, which would give the certainty that everyone craves? There may be difficulties, but given that certainty is one of the overriding factors, surely that should be considered.
ParlaMint-GB_2019-04-08-lords.u106	I will move on, rather than try to be Prime Minister for the afternoon. Clearly, I was concerned that it was not possible to look properly at the financial and business impacts in this Bill. I have heard it said that we would not take this as a precedent because of the special circumstances, which certainly gives me some comfort. I have to accept that the date is a matter that needs to be decided by a combination of the other place, the Prime Minister—and, of course, the EU, which I am afraid will also have a bearing on what date we eventually leave the EU In the circumstances and with thanks to those who have spoken, I beg leave to withdraw the amendment.
ParlaMint-GB_2019-04-08-lords.u107	My Lords in moving this amendment, with the permission of the House I will also comment on Amendment 7 because the two are connected. I start with two realities. The first is that the most important purpose of this Bill is to ensure that we do not crash out or leave on Friday without a deal. It is critically important, therefore, that an extension is agreed before Friday. The second—
ParlaMint-GB_2019-04-08-lords.u108	My Lords—
ParlaMint-GB_2019-04-08-lords.u109	I will not give way because the noble Lord has not even heard what I am trying to say The second point is that it is very clear that we are running out of time—or running out of road, to go back to the Question in Oral Questions. If we can pass the Bill today, as I explained at the conclusion of Second Reading, it can return to the other place and be agreed and a Motion can then be passed to inform what the Prime Minister does on Wednesday When the Prime Minister puts forward a resolution, it may be agreed by the other place but other possibilities arise. One is that the request is put to the Council but the Council comes back with a counter proposal—a different date. I doubt from my experience of European negotiations that it will be quite as neat as that, because these things tend to happen in discussions and something will emerge. That will be important when I come to explain one issue about the Bill as it stands. The point was also made powerfully at Second Reading that it is necessary to give the Prime Minister the flexibility to be able to agree to something put to her by the European Council if that emerges in the course of debate. Amendment 7 in the name of the noble and learned Lord, Lord Judge, the noble Lord, Lord Pannick, the noble Baroness, Lady Ludford, and myself is designed to deal with that possibility. There was strong support at Second Reading for being able to use the royal prerogative so that the Prime Minister would be able to make such an agreement. Amendment 7 would enable that to take place and avoid a situation where we might accidentally end up with no deal because there simply has not been time to go through all the processes So what does that have to do with this amendment? This amendment would remove subsections (6) and (7) of Clause 1, which would require a Motion being put to the other place in the event that the European Council comes up with a proposal. The reason for removing those subsections is twofold—for simplicity and to promote legal certainty. It promotes simplicity because it does not require there to be another stage of backwards and forwards in the very limited time before Friday. If the proposal had to go back to the other place and be agreed and then something was then put forward, we could find ourselves in a situation where we accidentally dropped out of the European Union without having reached the point that we wanted to.
ParlaMint-GB_2019-04-08-lords.u110	My Lords—
ParlaMint-GB_2019-04-08-lords.u111	I will give way to the noble Lord, but this will be the last time.
ParlaMint-GB_2019-04-08-lords.u112	It may be the only time I ask. The noble and learned Lord started his remarks by using the phrase “crashing out”. Everybody talks about crashing out. The BBC talks about crashing out. Sky News talks about crashing out. It has been part of the propaganda all along. Precisely what problems will be caused if we leave this coming Friday?
ParlaMint-GB_2019-04-08-lords.u113	I respectfully invite the noble Lord to read fully the debate at Second Reading, where that was explained by a number of noble Lords Amendment 5 would take out subsections (5) and (6). The first reason to do that is to avoid the problem which could result in us running out of time; that is, the matter having to go to the other place and then come back. We have the safeguard that that amendment would require that the extension agreed by the Prime Minister could not end earlier than 22 May 2019. That is an important part of the amendment that is about to be proposed. We are safeguarding ourselves against leaving without a deal Legal certainty comes into it for several reasons. First, if noble Lords look at the Bill, they will see that subsection (6) refers to the condition in subsection (7) being operated because, “the European Council proposes an extension of the period specified in Article 50(3)” There may be a question about whether there has in fact been a proposal.
ParlaMint-GB_2019-04-08-lords.u114	If the noble and learned Lord’s Amendment 5 is carried and Amendment 7 is carried as well, is it not possible for the Prime Minister to agree a date which is never subject to parliamentary ratification?
ParlaMint-GB_2019-04-08-lords.u115	So far as domestic law is concerned, in any event there will need to be a statutory instrument to change the exit day. I accept that in relation to domestic law, and we have had the debate about international law. A Motion will be put to the other place, which will have a full opportunity to express its views about the date, and in that way it is the subject of careful consideration. We accept that the Prime Minister needs the flexibility to be able to agree what is proposed by the European Council. The mood music we hear, if we read what is going on in the press, seems to be much more that we are likely to find that there is some meeting of minds—that there is some accommodation from the European Council—and I am less concerned about that. I am concerned about the risk of legal uncertainty, which I was just explaining Part of it is that we may find it difficult to be sure whether the condition in subsection (6) has been satisfied. It requires that the European Council has proposed an extension, but that may not be the way it works because in discussion and negotiation it may be questionable whether the proposal has come from the European Council or from the Prime Minister herself in the course of negotiations. Secondly, if the condition is triggered, under subsection (7) the Prime Minister must move a Motion in the House of Commons in the form set out in subsection (2) stating that that House agrees to the Prime Minister seeking an extension. How is this going to work in circumstances where as a result of a negotiation the Prime Minister has in effect reached an agreement with the European Council about what the extension should be? How does she then receive an instruction to agree a date that has already been agreed? It creates those difficulties of legal certainty.
ParlaMint-GB_2019-04-08-lords.u116	My Lords—
ParlaMint-GB_2019-04-08-lords.u117	My Lords—
ParlaMint-GB_2019-04-08-lords.u118	I give way to whoever would like to speak on the opposite Benches.
ParlaMint-GB_2019-04-08-lords.u119	I entirely agree with the noble and learned Lord that it is most important that there should be as much legal certainty as there can be, but also that the Prime Minister should have the proper role and authority to negotiate. However, does he agree that the royal prerogative exists to allow the Prime Minister to negotiate on our behalf in international and foreign relations unless Parliament actually restricts that authority? That of course was the subject of the Gina Miller case and the reason behind that decision. If we say nothing about the restrictions on the Prime Minister, she will be able to rely on the royal prerogative.
ParlaMint-GB_2019-04-08-lords.u120	The noble Lord is quite right that that is a very important point. It was raised at Second Reading that the Government felt strongly, and I understand why, that the royal prerogative should not be subject to at least inadvertent erosion. Of course it has been eroded in certain respects over the years; we do not need to go into what they are but they include treaty making and waging war I take from the noble Lord’s point this observation: one great benefit of the amendment proposed by the noble and learned Lord, Lord Judge, and the noble Lord, Lord Pannick, is that it makes clear that the royal prerogative is being maintained. I want to avoid seeing that apparently contradicted by other provisions in the Bill I have one other observation to make. I said a few moments ago that there were certain things that could happen: the European Council might accept the proposal or it might come up with another one. However, there is a risk that there might be no agreement at all; that needs to be considered. We have had discussions with the Government. I look to the noble and learned Lord, Lord Callanan—I am sorry, the noble Lord. He should be noble and learned as he has had to deal with so much of this Bill already; we will see if we can arrange that. I anticipate that he will give an assurance that, in the event that there is no agreement, the matter will be brought to the other place as soon as possible. Indeed, we expect it to be brought there this week, otherwise it might simply be too late When the noble Lord comes to respond on this amendment, I look forward to hearing what he says about that, and I hope he will give us sufficient assurance that if there is in fact a failure to agree at the European Council meeting then the matter will come back to the other place, which will therefore be able to debate what should happen next. It should do so on an amendable Motion so that it can put forward and support its view on what should take place. I do not know whether it would be for the convenience of the House if the noble Lord could tell us now what he will be able to say but, if not, I look forward to hearing what he says when he comes to respond to the debate.
ParlaMint-GB_2019-04-08-lords.u121	My Lords, I tabled Amendment 6.
ParlaMint-GB_2019-04-08-lords.u122	It is not grouped with this one.
ParlaMint-GB_2019-04-08-lords.u123	I would be the mover of Amendment 6. I originally proposed with the Public Bill Office precisely the amendment that the noble and learned Lord, Lord Goldsmith, tabled. I am sorry that we were not able to communicate about it. However, it shows how wise it was for this House to have had the weekend to think about things. Not only has the temperature cooled a bit but it has given us the chance to read two very important reports that were hastily brought out over the weekend. I congratulate the members of the two Select Committees—the Constitution Committee and the Delegated Powers and Regulatory Reform Committee—and all those who worked to achieve this on getting the reports published. They raised an important issue and, to some extent, answered my question. My amendment would have been a probing amendment I tabled this amendment for clarification. After we have debated all the amendments, it will demonstrate even further just how toothless and pointless this Bill is. I was minded to put this amendment down for the following reason, which has also been suggested by the noble and learned Lord, Lord Goldsmith. Let us suppose that the Prime Minister picks up the phone to Brussels, or goes there, and they say they will give an extension for however many months, provided we pay more, or enter into discussions with Spain about Gibraltar, for example. I am glad to see the return of the royal prerogative because I assume that that will mean that she can simply say no and put the receiver down. As drafted, the Bill concerns only the date; it has nothing about conditions. The date may well be inextricably mixed up with conditions As things stand, there would be nothing to get either House involved, or to stop the Prime Minister rejecting or accepting such a condition. Moreover, if you look at the drafting—of course, you draft in haste and repent at leisure—Clause 1(2) requires her only to seek an extension, not to achieve or accept it, or anything like that. Going back to my phone call metaphor, if she seeks an extension, and picks up the phone to Monsieur Barnier and says whatever, and he says no or she does not like what he says, she puts the phone down—end of. I maintain that this Bill does not wholly achieve what it sets out to do, which is to stop no deal, but I am happy to see a return of the royal prerogative. I agree with the noble and learned Lord, Lord Goldsmith, that those two final clauses should be removed because they simply confuse the issue How wise we were to wait for those reports. The one from the Constitution Committee explains exactly what I have said. Paragraph 5(c) says: “The European Council might agree to the extension but subject to certain conditions (e.g. UK participation in elections to the European Parliament)” I add in brackets that our human rights will be broken if we are still members of the EU and cannot vote—there was a case on this a few years ago. The report continues: “If such a situation were to arise, the Bill would have no further application—that is, it would not impose any further duties on the Prime Minister nor make any relevant further provision” I am glad to hear that. In other words, if Monsieur Barnier says we have to enter into talks with Spain about Gibraltar, the Prime Minister can put down the phone and say no. We will come to the other report later in this discussion In sum, no deal is not blocked by this Bill, but the House of Lords is relegated, as has happened quite often, I am afraid, in all our interesting and productive debates about withdrawal. We do not get reported in the media and we are completely sidelined from future decisions by this Bill. If the amendment from the noble and learned Lord, Lord Goldsmith, is accepted, then mine will of course be withdrawn, but I am glad to get this clarification on the record.
ParlaMint-GB_2019-04-08-lords.u124	My Lords, I am rather confused as to what is going on here. Who is answering these important points?
ParlaMint-GB_2019-04-08-lords.u125	The Minister.
ParlaMint-GB_2019-04-08-lords.u126	No, it is not for the Minister to answer them, as it is not a Government Bill. I do not know whether the noble Lord, Lord Robertson, is going to deal with these points, because we have the Opposition criticising the Bill, and seeking to amend it as we go along in Committee. To my mind—I am blessed with not being a lawyer—the noble and learned Lord, Lord Goldsmith, is riding two horses at once. On the one hand, he is saying that it is important that we retain the royal prerogative, because the Prime Minister has to be able to deal with the situation as it arises, and on the other hand, he says that we need this Bill in order to prevent the Prime Minister doing what she thinks is appropriate. If the noble Lord, Lord Robertson, is the sponsor of this Bill, perhaps he could enlighten us and deal with the important points which the noble Baroness, Lady Deech, has just made?
ParlaMint-GB_2019-04-08-lords.u127	My Lords, the noble Baroness, Lady Deech, accepted that Amendments 5 and 7 remove the concern that she otherwise had—that is what she told the House I support Amendment 5 in the name of the noble and learned Lord, and I also want to speak to Amendment 7, which has, as I understand it, now been grouped with Amendment 5.
ParlaMint-GB_2019-04-08-lords.u128	Has it?
ParlaMint-GB_2019-04-08-lords.u129	It is not on the list, but as I understand it, there have been suggestions that it would be helpful to the House if it debated Amendment 7 together with Amendment 5; that was what we were told by the Table Office. In any event, the noble and learned Lord, Lord Goldsmith, has referred to Amendment 7, and it may be helpful if I make my remarks as the person who has tabled Amendment 7.
ParlaMint-GB_2019-04-08-lords.u130	They are not grouped.
ParlaMint-GB_2019-04-08-lords.u131	They are not grouped on the Marshalled List, but I was informed that the Table Office had been invited to list Amendment 7 with Amendment 5. I am entirely in your Lordships’ hands as to what is of most assistance.
ParlaMint-GB_2019-04-08-lords.u132	Does this not reveal the chaos of the current procedure?
ParlaMint-GB_2019-04-08-lords.u133	My Lords, I will do whatever the Chief Whip thinks is most appropriate in these circumstances, as I always do.
ParlaMint-GB_2019-04-08-lords.u134	I thank the noble Lord. The papers for today were prepared when, at a rather late hour, someone arrived to suggest that these two amendments be taken together. I have no comment to make on that matter—it is for the House to decide. If the House decides that they should be taken together, they can be.
ParlaMint-GB_2019-04-08-lords.u135	Take them together.
ParlaMint-GB_2019-04-08-lords.u136	As the sponsor of the Bill, I suggest that they are taken together.
ParlaMint-GB_2019-04-08-lords.u137	My Lords, I can sense the mood of the House, and I am grateful to all noble Lords, particularly the Chief Whip The noble and learned Lord has already mentioned Amendment 7, which goes with Amendment 5. It addresses a practical concern that may arise at the European Council meeting on Wednesday night. The problem is that Clause 1 envisages that, if the Prime Minister is mandated by the House of Commons to seek an extension to a specified date, and the European Council then makes a counteroffer of a different date, the Prime Minister would have no power under Clause 1 to agree to that counteroffer. She would have to say to our European partners that she is required to return to the House of Commons on Thursday to seek its approval. She would have to say that notwithstanding the fact that the European Council is not going to remain in session—they are all going to go home. There is therefore a risk that, contrary to the aims of the promoters of this Bill, the restrictions on the Prime Minister’s powers contained in this Bill may cause a no-deal exit on Friday at 11pm. Therefore, Amendment 7 makes it clear that nothing in this Bill prevents the Prime Minister seeking or agreeing on Wednesday night in Brussels an extension of the Article 50 period, provided it is not to a date earlier than 22 May.
ParlaMint-GB_2019-04-08-lords.u138	I entirely understand the point about the Prime Minister agreeing to a proposal coming from the European Union. I am a little less certain about the desirability of enabling her to seek a date without prior parliamentary approval.
ParlaMint-GB_2019-04-08-lords.u139	This is a negotiation. It would be very odd to say she can agree a date but she cannot seek one. There has to be give and take. I think that there is general agreement around the House that the Bill, whether noble Lords are in favour of it or not, ought not to constrain the Prime Minister’s powers when she is conducting an international negotiation The noble Lord, Lord Faulks, asked whether this was really necessary: unless an Act of Parliament expressly takes away the Prime Minister’s prerogative powers, surely they remain. My answer is that there is a danger that it might be said that the Bill, by necessary implication by reason of its contents, takes away the Prime Minister’s prerogative powers. I think we would all agree that the worst of all possible worlds would be if the noble Lord, Lord Faulks, on Thursday morning was to be instructed by a client to go to court to obtain a declaration that the Prime Minister has acted in breach of her powers, given the Bill’s contents.
ParlaMint-GB_2019-04-08-lords.u140	If I may assist, Clause 1(4) would require the Prime Minister to seek an extension of the period required by the House of Commons. We are then dealing with what happens after that.
ParlaMint-GB_2019-04-08-lords.u141	I entirely accept that It is necessary to have legal certainty on the retention of the Prime Minister’s powers on such an important matter. That is why the noble and learned Lords, Lord Judge and Lord Goldsmith, the noble Baroness, Lady Ludford, and I have all put our names to Amendment 7.
ParlaMint-GB_2019-04-08-lords.u142	My Lords, I have listened with care to the speeches of the noble and learned Lord, Lord Goldsmith, and the noble Lord, Lord Pannick, and the intervention from my noble friend Lord Hailsham. I do not have my noble friend Lord Forsyth’s advantage because I have the misfortune of having trained and practised as a lawyer, so I am in that difficult circumstance. I am confused by the exchanges that have taken place. I draw only one inference from them: this appalling piece of legislation is totally misconceived. It seeks on the one hand indubitably to constrain the exercise of the royal prerogative by the Prime Minister. That is its main purpose. Now we have amendment after amendment that seek to persuade us that it is only in some circumstances that the royal prerogative should be constrained and that in others it is absolutely necessary because, as the noble Lord just said, the Prime Minister must be able to make use of the royal prerogative when she is involved in negotiations of this kind. It is negotiations of this kind that the Bill is all about The fact is that the Prime Minister will be involved in negotiations about the date on which we exit the European Union, the conditions in which we do so and any terms that might be sought by the European Council to limit the extent to which we might be able to act in accordance with the result of the referendum. The Prime Minister will be engaged in negotiations of that kind. She ought to be able to able to exercise the royal prerogative when she engages in those negotiations, as the noble Lord said a moment ago. This ludicrous Bill, which seeks in part to restrain the royal prerogative and then to subtract from the extent to which it constrains it, is wholly misconceived and should never reach the statute book.
ParlaMint-GB_2019-04-08-lords.u143	My Lords, perhaps I could assist the noble Lord, Lord Howard, to see this situation in a different light when it comes to the European Council on Wednesday: as a happy blend of parliamentary accountability and government flexibility. I agree with the noble and learned Lord, Lord Goldsmith, and the noble Lord, Lord Pannick, that the combination of Amendments 5 and 7 supplies both legal and practical certainty. They perhaps take away the complication that might be in the minds of the Council on Wednesday night about what happens if the Prime Minister proposes or agrees to a different extension to what is being discussed in the other place The noble and learned Lord, Lord Goldsmith, is also right that there could be some discussion about the difference in wording between Clause 1(7), about a proposal, and a scenario of agreement by the Prime Minister at the European Council. We need to remember that the specific context that is being addressed by Amendment 7 is envisaging what happens in those negotiations at the European Council. Like the noble and learned Lord, I look forward to the response from the Minister—
ParlaMint-GB_2019-04-08-lords.u144	It is not the Minister.
ParlaMint-GB_2019-04-08-lords.u145	Perhaps if noble Lords listened to the end of a sentence they would understand what the speaker was saying I look forward to the response about the wording which the Government have apparently discussed regarding an amendable Motion if there is no deal on Thursday, as well as to the response from the Bill’s sponsor, the noble Lord, Lord Robertson.
ParlaMint-GB_2019-04-08-lords.u146	My Lords, I think we should remember that there is no precedent, no parallel, to the situation in which we have found ourselves in recent weeks. As we said at Second Reading last Thursday night, a group of very courageous Members from both sides of the House, and from minority parties, came together to fill a vacuum. After that, the Prime Minister made her welcome overture to other parties, something that should have been done after the General Election when we lost our majority That changed the situation. Nevertheless, I believe that those who promoted this Bill were entirely justified in so doing. We have had this welcome development from the Prime Minister, so it is entirely sensible that the amendments moved by the noble and learned Lord, Lord Goldsmith, and the noble Lord, Lord Pannick, should be accepted by this House. They give the Prime Minister, in this, the ultimate hour—because that is what we are talking about—the freedom to be able to negotiate on Wednesday. It would be manifestly absurd if she did not have that freedom We should accept these amendments. I think they improve the Bill. I very much hope that those in another place accept them in the spirit in which they have been moved, and then, perhaps, we can all move on.
ParlaMint-GB_2019-04-08-lords.u147	My Lords, I had not intended to speak. I do not think that this is a good Bill. There have been much better Bills, and the process that we have been through has not been the House at its best, because events have forced the situation on us. Therefore, I apologise to the House. I did not put my name down to speak at Second Reading—I had not intended to speak at all. I support this amendment, because I think it will make a bad Bill rather better May I diverge, however? We are setting a precedent. There is no point in pretending that we have not set a precedent by what has happened. If I may, I offer this comfort: sometimes precedents do not have to be followed. This allows a precedent. I suggest to whichever side of the House is in power for the next 20, 30, 40 or 50 years that we do not allow it to be followed again. At least we should communicate our view that this, whether precedent or not—and it was—is a one-off and goes no further The point of Amendment 7 is very simple: we want to make the Bill a little better than it is by removing the constraints that are otherwise imposed on the Prime Minister. That, I respectfully suggest to the House, is desirable. As I do not intend to speak or have my speaking taken as support for this—
ParlaMint-GB_2019-04-08-lords.u148	Does the noble and learned Lord accept that, with an unwritten constitution, it is impossible to guarantee that a precedent will be a one-off? It will be used by others when it is convenient for them to do so.
ParlaMint-GB_2019-04-08-lords.u149	Of course it will be used by others. Lawyers use bad precedents constantly, but it does not mean that it has to be followed I did not intend to speak, for the reason I have given. This amendment will improve the Bill. That is the point of it. Beyond that, I do not wish to say any more, because it may indicate somehow that I am backing off from my concern about the Bill. So in lawyerly fashion I simply say that you have all heard the noble Lord, Lord Pannick. I agree with him. I have nothing to add.
ParlaMint-GB_2019-04-08-lords.u150	The noble and learned Lord tells us that it improves the Bill. Does it not change the Bill so materially that it is not the same Bill after all?
ParlaMint-GB_2019-04-08-lords.u151	No, it does not. We have to face the context, which is that the Commons has passed the Bill. So we are not having the first go at it; we are having a go at it after the Commons has resolved it.
ParlaMint-GB_2019-04-08-lords.u152	The noble Lord, Lord Pannick, and the noble and learned Lord, Lord Judge, have helpfully identified a problem with the Bill, in that a counterproposal by the EU could fall between the cracks and result in an accidental no deal, thus frustrating the will of Parliament, in so far as that will is ascertainable In the event of a counterproposal, which seems likely, the amendment suggests that the Prime Minister has the power to seek or agree an extension to a date not earlier than 22 May. At col. 337, the noble Lord, Lord Pannick, suggested that approval would still have to be sought for that new date I wholly understand the thinking behind the amendment, but the apparent need for it underlines the strange constitutional waters in which we are now swimming. My understanding of the Gina Miller case is that the Government argued that Article 50 could be triggered without parliamentary involvement, whereas the opposing argument, advanced by the noble Lord among others, was that Parliament had legislated in such a way that the royal prerogative was enough on its own and that Parliament need not be involved. By a majority this argument prevailed, although there were three dissenting speeches. The prerogative, however, allows Ministers, and in this case the Prime Minister, to make or unmake treaties unless Parliament has legislated to restrict that power. It rarely does, hence the paucity of useful precedents in the Gina Miller case. It seems to me that the Prime Minister would be allowed to agree a counterproposal as a matter of law. Whether that would be politically sound is a different matter The response of the noble Lord, Lord Pannick, is that it is or might be uncertain, but it seems to me that this amendment in fact fetters the royal prerogative. We have a dualist system of law in this country, which has worked well, and I wonder if it is wise to undermine the royal prerogative in this way. To make a constitutional change of this sort needs prolonged and serious thought. A Private Member’s Bill that went through all its stages in the House of Commons in four hours, that was not given pre-legislative scrutiny and that, for good reasons, is hurrying through this House, is surely not the context in which to make significant constitutional changes.
ParlaMint-GB_2019-04-08-lords.u153	Could the noble Lord enlighten me, at least, as to which amendment he is referring to?
ParlaMint-GB_2019-04-08-lords.u154	I am referring to Amendment 7.
ParlaMint-GB_2019-04-08-lords.u155	Amendment 7 does not fetter. It actually says the opposite.
ParlaMint-GB_2019-04-08-lords.u156	The amendment says, “nothing … prevents”, which I suppose could be said to be saying that the royal prerogative exists—so to that extent it is unnecessary—but it restricts what the Prime Minister can do in its final words. That is my answer to my noble and learned friend The wise words of the noble Lord, Lord Norton of Louth, at Second Reading about the constitution are particularly relevant in this context. One of the repeated observations from the EU is that it wants to know what the UK wants. In the context of this Bill, it will ask the reasons for the extension. What answer is the Prime Minister supposed to give, acting as an agent for this disunited Parliament This amendment is a worthwhile attempt to clarify the mandate, which apparently the Prime Minister has by virtue of this Bill, but I doubt it is necessary, for the reasons I have given, and I suggest that the House thinks long and hard before making such an important change.
ParlaMint-GB_2019-04-08-lords.u157	Will the noble Lord answer the points of concern of the noble Lord, Lord Pannick, as to why Amendment 7 is needed?
ParlaMint-GB_2019-04-08-lords.u158	I do not want to misrepresent what the noble Lord said, but he suggested that there might be some legal uncertainty and that, theoretically at least, I or some other barrister might be instructed to argue something in court, and this is to avoid legal uncertainty. I am all for avoiding legal uncertainty, but the existence of the royal prerogative can surely not be in doubt, and this is, I suggest, an attempt to fetter that royal prerogative. I finish with this observation. Lord Reed, Deputy President of the Supreme Court, said in the Gina Miller case of the royal prerogative that the, “the value of unanimity, strength and dispatch in the conduct of foreign affairs are as evident in the 21st century as they were in the 18th” This Bill and this amendment substantially undermine that strength.
