ParlaMint-GB_2019-05-22-commons.u1	1. What recent assessment she has made of the security situation in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u142	I thank my hon. Friend for reminding me of the visit to beautiful Mevagissey and of the good chips that he and I shared on that occasion. He is absolutely right about the importance of GPs to local communities, and I recognise the concerns in Mevagissey on this issue. We are giving additional incentives to attract GP trainees into areas where it has previously been hard to recruit, such as rural and coastal communities. I am sure that a Minister from the Department of Health and Social Care would be happy to meet my hon. Friend to discuss this issue.
ParlaMint-GB_2019-05-22-commons.u143	For over two years, the victims and survivors of historical institutional abuse in Northern Ireland have been waiting for justice and compensation, following the independent report of ex-Justice Hart. The fact of the matter is that many of them are dying without seeing the compensation come through. The Northern Ireland Office’s policy of refusing to do anything in Northern Ireland, even when it has cross-community and cross-party support, has now culminated in victims of abuse dying without seeing justice—this has got to stop. Will the Prime Minister intervene and make sure that action is taken to get immediate action for these victims?
ParlaMint-GB_2019-05-22-commons.u144	I fully appreciate the extent of concern that there is about this issue. Of course, we also have our independent inquiry into child sexual abuse here in England and Wales, and I recognise the impact on all those who have been victims of this sort of abuse. We call it “historical”—as the right hon. Gentleman said, the investigation is referred to as an “historical” investigation—but for those who have been victims it is not historical; this rests with them for the rest of their life. I recognise the concern about the issue he has raised. Obviously, if the Northern Ireland Executive were in place, this would be a matter that they would be addressing. My right hon. Friend the Secretary of State for Northern Ireland has been looking at this issue, and I will discuss with her what response can be given on what I recognise is a matter of deep concern to many people in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u145	I have a question to the Prime Minister from a Northern Ireland veteran. He is Royal Marine David Griffin, a Dublin-born Irish Catholic who joined the British Army and transferred to the Royal Marines. In 1972, in Belfast, he killed an IRA gunman who was about to assassinate one of his comrades at a guard post. Forty-seven years later, he is now being investigated by the Police Service of Northern Ireland. He is watching these proceedings now, Prime Minister, from his home, at the Royal Hospital Chelsea. He asked me to ask you this: “I served my Queen and country in uniform for over 20 years and I was commended for my service in Northern Ireland. Acting under the lawful orders of my officer commanding, I killed a terrorist who was about to murder one of my comrades, yet I am being investigated as if I were a criminal. The IRA have ‘letters of comfort’—we don’t. Why, Prime Minister, are you pandering to Sinn Féin-IRA, while throwing veterans like me to the wolves?” What is your answer, Prime Minister, to this Chelsea pensioner and all the veterans he represents?
ParlaMint-GB_2019-05-22-commons.u146	My right hon. Friend has put his case and that of the veteran he is representing, a Chelsea pensioner. We thank that individual, as we thank all those who served in Northern Ireland for their bravery and the determination with which they acted in Northern Ireland. As my right hon. Friend the Member for North Shropshire (Mr Paterson)—a former Northern Ireland Secretary—said, that bravery and determination enabled the peace that we see today in Northern Ireland It is not the case that the terrorists currently have an amnesty. [Interruption.] No, it has been made very clear that evidence of criminal activity will be investigated and people should be brought to justice. I want to ensure that we have a fair and just system. I do not believe that the system is operating fairly at the moment. I do not want to see a system where there is an amnesty for terrorists. I want to see a system where investigations can take place in a lawful manner, and where the results of those investigations can be upheld and will not be reopened in the future. In order to do that, we need to change the current system, and that is what we will do.
ParlaMint-GB_2019-05-22-commons.u147	Over the last few days, I have received distressed emails from a number of constituents who are EU citizens living in the UK, but who will not be able to vote tomorrow. Their predicament arises because of this Government’s late decision to participate in the elections, which did not give many EU citizens enough time to fill out the necessary form declaring that they will not be voting elsewhere. Will the Prime Minister use all the power of her office to take immediate steps this afternoon to ensure that the necessary form is made available at polling stations tomorrow so that EU citizens living in the United Kingdom will not be disenfranchised?
ParlaMint-GB_2019-05-22-commons.u148	We take every step to ensure that those who are entitled to vote in elections are indeed able to do so. The hon. and learned Lady says that it was a late decision by the Government to enter into the European elections. Of course, that decision was taken because of a decision by this House on 29 March not to agree a deal that would have made it unnecessary to hold European elections.
ParlaMint-GB_2019-05-22-commons.u149	I think the Prime Minister is beginning to understand the level of fury of veterans when it comes to their treatment by this place over this years. The most disturbing part of last weekend was the insinuation of equivalence between those who got up in the morning to go and murder women, children and civilians, and those who donned a uniform to go and protect the Crown. Will the Prime Minister take this opportunity to tell the nation that she sees no equivalence whatever between those two groups, and that the line that preferential treatment should not be given to veterans is not right?
ParlaMint-GB_2019-05-22-commons.u150	I would hope that it is absolutely clear from everything that I have said at this Dispatch Box that I value the sacrifice, bravery and commitment of our armed forces, whose work in Northern Ireland—alongside the police in Northern Ireland and others—enabled us to get to the stage at which we are at today, whereby we have the Belfast/Good Friday agreement and have had peace in Northern Ireland for many years now, and long may that continue. There is no question of equating that bravery and sacrifice with the acts of terrorists. I think the implication of my hon. Friend’s question is that he is urging me to put in place a system that would equate terrorists with members of the armed forces. Any statute of limitations and any amnesty that is put in place would, as a matter of law, have to apply across the board. I do not want to see—and I will not see—an amnesty for the terrorists.
ParlaMint-GB_2019-05-22-commons.u151	I thank the Prime Minister for recognising the impact on steelworkers and their families of the devastating news that British Steel has gone into liquidation, and for recognising the high quality of work that they do on Teesside, at Skinningrove and in my constituency of Scunthorpe. Will she meet cross-party MPs whose constituencies are affected by this news, so that we can look together at how best to ensure that this great industry moves forward to serve this country into the future?
ParlaMint-GB_2019-05-22-commons.u152	As I said earlier, I recognise that this is a worrying time for the hon. Gentleman’s constituents and others. The Government have been actively looking at what we can do. We have given support through the ETS agreement, but have not lawfully been able to give the further support that was requested. I will certainly meet the hon. Gentleman and a group of MPs to consider the issue. This is about one company, owned by Greybull Capital. However, we have taken steps in the past to ensure that the United Kingdom continues to have a steel industry, and we will want to look at the wider issue.
ParlaMint-GB_2019-05-22-commons.u153	Order. Just before we come to the Prime Minister’s statement, I think it is fitting for me to refer again to something that was mentioned at the start of questions to the Prime Minister by the Leader of the Opposition Three trawlers set out from Hull during January and February of 1968 and never returned, leading to the loss of 58 lives. Yvonne Marie Blenkinsop is the last surviving member of a group of women from Hull who became known, following that tragedy, as the headscarf revolutionaries. The women campaigned for better protection for their husbands, fathers, brothers and sons. Through their actions, countless lives have been saved. I am reliably informed that Yvonne Marie Blenkinsop is with us today, observing our proceedings. We salute her and her fellow women, and we extend to her the warmest welcome to the House of Commons. [Applause.]
ParlaMint-GB_2019-05-22-commons.u154	Before I make my statement, may I too recognise the work of Yvonne Marie Blenkinsop and others, and indeed all those who have campaigned over the years to ensure that those in the workplace can have the degree of safety and security that they need With permission, Mr Speaker, I would like to make a statement on the Government’s work to deliver Brexit by putting forward a new deal that Members of this House can stand behind We need to see Brexit through, to honour the result of the referendum and to deliver the change the British people so clearly demanded. I sincerely believe that most Members of this House feel the same—that, for all our division and disagreement, we believe in democracy, and that we want to make good on the promise we made to the British people when we asked them to decide on the future of our EU membership. As to how we make that happen, recent votes have shown that there is no majority in this House for leaving with no deal, and this House has voted against revoking article 50. It is clear that the only way forward is leaving with a deal, but it is equally clear that this will not happen without compromise on all sides of the debate. That starts with the Government, which is why we have just held six weeks of detailed talks with the Opposition—talks that the Leader of the Opposition chose to end before a formal agreement was reached, but which none the less revealed areas of common ground Having listened to the Opposition, to other party leaders, to the devolved Administrations and to business leaders, trade unionists and others, we are now making a 10-point offer to Members across the House—10 changes that address the concerns raised by right hon. and hon. Members; 10 binding commitments that will be enshrined in legislation so they cannot simply be ignored; and 10 steps that will bring us closer to the bright future that awaits our country once we end the political impasse and get Brexit done First, we will protect British jobs by seeking as close to frictionless trade in goods with the EU as possible while outside the single market and ending free movement. The Government will be placed under a legal duty to negotiate our future relationship on this basis Secondly, we will provide much-needed certainty for our vital manufacturing and agricultural sectors by keeping up to date with EU rules for goods and agri-food products that are relevant to checks at the border. Such a commitment, which will also be enshrined in legislation, will help protect thousands of skilled jobs that depend on just-in-time supply chains Thirdly, we will empower Parliament to break the deadlock over future customs arrangements. Both the Government and the Opposition agree that we must have as close to frictionless trade at the UK-EU border as possible, protecting the jobs and livelihoods that are sustained by our existing trade with the EU, but while we agree on the ends, we disagree on the means. The Government have already put forward a proposal that delivers the benefits of a customs union but with the ability for the UK to determine its own trade and development policy. The Opposition are sceptical of our ability to negotiate that and do not believe that an independent trade policy is in the national interest. They would prefer a comprehensive customs union with a UK say in EU trade policy, but with the EU negotiating on our behalf As part of the cross-party discussions, the Government offered a compromise option of a temporary customs union on goods only, including a UK say in relevant EU trade policy, so that the next Government can decide their preferred direction. We were not able to reach agreement, so instead we will commit in law to let Parliament decide this issue and to reflect the outcome of this process in legislation Fourthly, to address concerns that a future Government could roll back hard-won protections for employees, we will publish a new workers’ rights Bill. As I have told the House many times, successive British Administrations of all colours have granted rights and protections to British workers well above the standards demanded by Brussels. I know that people want guarantees, and I am happy to provide them. If passed by Parliament, this Bill will guarantee that the rights enjoyed by British workers can be no less favourable than those of their counterparts in the EU—both now and in the future—and we will discuss further amendments with trade unions and business Fifthly, the new Brexit deal will also guarantee that there will be no change in the level of environmental protection when we leave the EU. We will establish a new and wholly independent office of environmental protection, able to uphold standards and enforce compliance Sixthly, the withdrawal agreement Bill will place a legal duty on Government to seek changes to the political declaration that will be needed to reflect this new deal, and I am confident that we will be successful in doing so Seventhly, the Government will include in the withdrawal agreement Bill at its introduction a requirement to vote on whether to hold a second referendum. I have made my own view clear on this many times—I am against a second referendum. We should be implementing the result of the first referendum, not asking the British people to vote in a second one. What would it say about our democracy if the biggest vote in our history were to be rerun because this House did not like the outcome? What would it do to that democracy and what forces would it unleash? However, I recognise the genuine and sincere strength of feeling across the House on this important issue. To those MPs who want a second referendum to confirm the deal, I say that you need a deal and therefore a withdrawal agreement Bill to make it happen. Let it have its Second Reading and then those MPs can make their case to Parliament. If this House votes for a referendum, it would require the Government to make provisions for such a referendum, including legislation if it wanted to ratify the withdrawal agreement Eighthly, Parliament will be guaranteed a much greater role in the second part of the Brexit process: the negotiations over our future relationship with the EU. In line with the proposal put forward by the hon. Members for Wigan (Lisa Nandy) and for Stoke-on-Trent Central (Gareth Snell), the new Brexit deal will set out in law that the House of Commons will approve the UK’s objectives for the negotiations. MPs will also be asked to approve the treaty governing that relationship before the Government sign it. Ninthly, the new Brexit deal will legally oblige the Government to seek to conclude the alternative arrangements process by December 2020, avoiding any need for the Northern Ireland backstop coming into force. This commitment is made in the spirit of the amendment tabled by my hon. Friend the Member for Altrincham and Sale West (Sir Graham Brady), passed by this House on 29 January. Although it is not possible to use alternative arrangements to replace the backstop in the withdrawal agreement, we will ensure that they are a viable alternative Finally, tenthly, we will ensure that, should the backstop come into force, Great Britain will stay aligned with Northern Ireland. We will prohibit the proposal that a future Government could split Northern Ireland off from the UK’s customs territory, and we will deliver on our commitments to Northern Ireland in the December 2017 joint report in full. We will implement paragraph 50 of the joint report in law. The Northern Ireland Assembly and Executive will have to give their consent on a cross-community basis for new regulations that are added to the backstop. We will work with our confidence and supply partners on how these commitments should be entrenched in law, so that Northern Ireland cannot be separated from the United Kingdom Following the end of EU election purdah, the withdrawal agreement Bill will be published on Friday so that the House has the maximum possible time to study its detail. If Parliament passes the Bill before the summer recess, the UK will leave the EU by the end of July. We will be out of the EU political structures and out of ever closer union. We will stop British laws being enforced by a European court. We will end free movement. We will stop making vast annual payments to the EU budget. By any definition, that alone is delivering Brexit. By leaving with a deal we can do so much more besides: we can protect jobs, guarantee workers’ rights, and maintain the close security partnerships that do so much to keep us all safe. We will ensure that there is no hard border between Northern Ireland and Ireland, and we can bring an end to the months—years—of increasingly bitter argument and division that have both polarised and paralysed our politics. We can move on, move forwards, and get on with the job that we were sent here to do and what we got into politics to do. That is what we can achieve if we support this new deal Reject the deal, and all we have before us is division and deadlock. We risk leaving with no deal, something that this House is clearly against. We risk stopping Brexit altogether, something that the British people would simply not tolerate. We risk creating further division at a time when we need to be acting together in the national interest. We also guarantee a future in which our politics becomes still more polarised and voters increasingly despair as they see us failing to do what they asked of us. None of us wants to see that happen. The opportunity of Brexit is too large and the consequences of failure too grave to risk further delay. In the weeks ahead, there will be opportunities for MPs from all parts of the House to have their say, to table amendments, and to shape the Brexit that they and their constituents want to see In time, another Prime Minister will be standing at this Dispatch Box, but while I am here, I have a duty to be clear with the House about the facts. If we are to deliver Brexit in this Parliament, we will have to pass a withdrawal agreement Bill. We will not do so without holding votes on the issues that have divided us the most. That includes votes on customs arrangements and on a second referendum. We can pretend otherwise and carry on arguing and getting nowhere, but in the end our job in this House is to take decisions, not to duck them. I will put those decisions to this House because that is my duty and because it is the only way that we can deliver Brexit. Let us demonstrate what this House can achieve. Let us come together, honour the referendum, deliver what we promised the British people, and build a successful future for our whole country. I commend this statement to the House.
ParlaMint-GB_2019-05-22-commons.u155	I thank the Prime Minister for an advance copy of the statement. In fact, I received it yesterday when she made an appeal entitled, “Seeking common ground in Parliament”. Where did she make that appeal? Not in Parliament, but in a small room just down the road It is now clear: the bold new deal that the Prime Minister promised is little more than a repackaged version of her three times rejected deal. The rhetoric may have changed, but the deal has not. I thank the Prime Minister for her letter, but it offers no change on a customs union, no change on single market alignment, and no dynamic alignment on environmental protections. This Government are too weak, too divided, to get this country out of the mess that they have created. For more than two years, the Prime Minister bullishly refused to consult the public or Parliament She did not seek a compromise until after she had missed her own deadline to leave, and by the time she finally did, she had lost the authority to deliver. That became evident during the six weeks of cross-party talks that ended last week—talks that were entered into constructively on both sides to see if a compromise was possible But while those talks were going on, Cabinet Minister after Cabinet Minister made statements undermining what their colleagues in the room were offering. The Foreign Secretary, the Leader of the House, the International Trade Secretary and the Treasury Chief Secretary all made it clear that they would not tolerate a deal that included a customs union, while Tory leadership contender after Tory leadership contender took it in turns to make it absolutely clear that any compromise deal would not be honoured. Therefore, no matter what the Prime Minister offers, it is clear that no compromise would survive the upcoming Tory leadership contest. The multiple leaks reported from the Cabinet yesterday show that the Prime Minister could not even get the compromise deal she wanted through her own Cabinet, and it is clear that the shrunken offer that emerged satisfied no one—not her own Back Benchers, not the Democratic Unionist party and not the Official Opposition either. No Labour MP can vote for a deal on the promise of a Prime Minister who only has days left in her job Even if the Prime Minister could honour her promises, the deal she is putting before us does not represent a genuine compromise. Her 10-point plan is riddled with contradiction and wishful thinking. First, the Prime Minister pretends she is delivering something new with a temporary customs union. This is not a compromise— it is just accepting the reality. Under the withdrawal agreement, we will already be in a temporary customs union through the transition period, which can last up to four years, and if not, we will enter the backstop, which, in effect, keeps us in a customs union, too, without any say Secondly, why would this House legislate for a plan that has already been comprehensively rejected by the European Union? The Government want to align with the European Union on goods to keep frictionless trade, but they also want to pursue trade deals that would undermine this process. It is simply not compatible. The technology they need to continue to pursue their Chequers plan simply does not exist. It has already been ruled out by the EU as illegal, impractical and an invitation to fraud. The Government have failed to provide any economic analysis to show that this would make us better off. Why would the House support such a chaotic and desperate approach Labour set out a sensible compromise plan over a year ago, including a comprehensive and permanent customs union with the EU that gives us a say, which would allow us to strike trade deals as part of the world’s biggest trading bloc, bringing investment, while maintaining the highest standards. It is credible and achievable, and the best way to protect industry, manufacturing and jobs—something that this Government are woefully indifferent to, as the latest crisis in the steel industry shows today. The Government must be prepared to step in and take a public stake to save thousands of high-skilled jobs at British Steel—a foundation industry for any major economy. Instead, the Tory obsession is for striking trade deals with the likes of Donald Trump. They prioritise chlorinated chicken, further NHS privatisation and deregulation over protecting supply chains and jobs in this country On workers’ rights, we have yet to see the full package the Government intend to bring forward, but many people in the trade union movement remain very sceptical. As Frances O’Grady of the Trades Union Congress said yesterday: “This reheated Brexit deal won’t protect people’s jobs and rights.” On environmental protections, it is clear that the Prime Minister is not offering dynamic alignment and that under her proposals the UK would fall behind in a number of areas, with only a toothless regulator under the control of the Environment Secretary in place of binding international commitments to protect our environment Finally, on a confirmatory vote, I am sure that nobody here will be fooled by what the Prime Minister is offering. Will she tell us now, if this offer is genuine: will she give her party a free vote on this issue or will she, as before, whip against a confirmatory referendum? If the Government truly believe this is the best deal for the economy and for jobs, they should not fear putting that to the people For too long, our politics has been seen through a prism of leave or remain. This is dividing our society and poisoning our democracy. It means that vital issues are being neglected—the crisis in our schools and hospitals, the housing crisis and the cruelty of social security policy and universal credit. Our country needs leadership to bring us together. However, this Prime Minister is not the person to do that. Throughout the last three years, she has made no attempt to unite the country. She has been focused only on keeping her divided party together—and it has not worked. Her time has now run out. She no longer has the authority to offer a compromise and cannot deliver. That is why it is time for a general election to break the Brexit deadlock and give the country a say.
ParlaMint-GB_2019-05-22-commons.u156	I think that the right hon. Gentleman gave the game away when he made it absolutely clear that, as far as he is concerned, the way to get this through the House is for everybody else to compromise to his plan and only his plan. He was very clear that he was not making any proposals to compromise. The Government have indeed compromised. We have recognised that there are issues on which this House will need to decide—and that is the plain fact There are different opinions across this House on the two key issues of the future customs arrangement and the second referendum. I have made my position very clear on these. The Government have set out their position. But it is for this House to decide, and the best vehicle to do this is within the withdrawal agreement Bill, so then this House can finally make its mind up on what it wants the future customs arrangement to be and whether it thinks there should be a second referendum The right hon. Gentleman talks about free votes on a second referendum. Well, of course, in the indicative vote process that went through, we did indeed give Conservative Members a free vote on this issue, and the second referendum was rejected across the House The right hon. Gentleman made some inaccurate comments. He talks about the environmental regulator. It will be an independent body that is able to hold the Government to account on environmental standards. I think that he shows his blinkered view on trade when what he sets out is that, as far as he seems to be concerned, the only people he wants to trade with are in the European Union. Actually, what we want to see is a good trade deal with the EU and good trade deals with other countries around the world—that is the best way forward for the United Kingdom The right hon. Gentleman talks about British Steel. I answered questions in Prime Minister’s questions on British Steel and what the Government are doing. He talked about Labour’s position of wanting a comprehensive customs union, all the dynamic alignment and single market alignment. What the Labour party wants to achieve in its relationship with the EU would make it even harder for a British Government to take action to protect industries such as the steel industry. He has always complained about state aid rules, but he wants to tie us into those state aid rules with what he proposes The right hon. Gentleman talks about different opinions across the House. Of course, the one issue that has never properly been resolved in this House and that the withdrawal agreement Bill would force to be resolved is whether he himself is for Brexit or against it. If he is for Brexit, he will vote for the withdrawal agreement Bill. Voting against the withdrawal agreement Bill is voting against Brexit.
ParlaMint-GB_2019-05-22-commons.u157	The Environment Secretary was on the radio this morning, and when asked whether it was certain that the Bill would be brought to Parliament for Second Reading, he did not answer in the affirmative. He said that the Government would “reflect” and listen. Having presented this statement at the Dispatch Box, is the Prime Minister absolutely certain that she will bring the Bill to the House for Second Reading? If so, could she name the date now and then say she will stick to it?
ParlaMint-GB_2019-05-22-commons.u158	We have already made the Government’s position clear: the Second Reading of the withdrawal agreement Bill will be brought to the House after the Whitsun recess.
ParlaMint-GB_2019-05-22-commons.u159	It is customary to thank the Prime Minister for advance sight of her statement. It was some surprise that we all saw the statement being delivered not in the House of Commons but elsewhere yesterday. Why was the usual protocol of Parliament being the first to hear such statements from the Prime Minister not followed Let me give the Prime Minister some friendly advice: this deal is dead. Stop the charade, and let us get on with putting the decision back to the people once and for all. The headlines this morning cry of doom. Conservative Members are concentrating on ways to mount a leadership coup. Where are they? That is exactly what they are doing this afternoon—they are not here to support the Prime Minister This is no way to run a Government. The Prime Minister is asking MPs to vote for a deal that takes Scotland out of the single market and eventually out of the customs union. That simply cannot be allowed to happen. This is a rookie Government attempting to blackmail MPs. If we look behind the smoke and mirrors, we see a new, revised deal that has not even been negotiated with Brussels; a second EU referendum, but only if we vote for the Bill; a possible temporary customs union that a future UK Government could change and the European Union has dismissed; and a trade tariff arrangement that the former UK representative to the EU has described as “the definition of insanity” None of what the Prime Minister announced yesterday was discussed with the devolved Government in Edinburgh. This goes to the heart of the problem. In December 2016, the Scottish Government published a compromise position, which was rejected without discussion. Scotland’s voice has been ignored time and again. Brexit has meant powers being stripped away from the Scottish Parliament. There is no respect for the devolved Administrations by this Government. Westminster has ignored Scotland This is a sorry mess. Look around—there is no support for the Prime Minister’s deal. This deal faces an even bigger defeat than the last vote. Tomorrow, communities will make their voices heard in our democratic European elections. A vote for the Scottish National party is a vote to stop Brexit, a vote to stop this economic madness and a vote to respect Scotland’s decision in 2016. The Prime Minister has lost the confidence of her party. Parliament will not support her, and she has lost the trust of the people. It is time to go, Prime Minister. Will you do it?
ParlaMint-GB_2019-05-22-commons.u160	The right hon. Gentleman talks about discussions with the Scottish Government. Of course there have been discussions with the Scottish Government. I have met the First Minister, and my right hon. Friend the Chancellor of the Duchy of Lancaster has held a number of meetings with the Scottish Government. The devolved Administrations have been party to the debates and discussions that have been taking place The right hon. Gentleman says that a vote for the Scottish nationalists is a vote not to leave the European Union. A vote for the Scottish nationalists is a vote to betray our democracy and to betray the view of the people of the United Kingdom. People asked us in this House to deliver Brexit. We have a responsibility to do that. The question is how we do that. The withdrawal agreement Bill gives us the opportunity to debate the issues about how we do that. This House should have those debates, come to a decision, stop ducking the issues and get on with the job that the British people instructed us to do.
ParlaMint-GB_2019-05-22-commons.u161	What does the Prime Minister say to the many members of the public who think the Government should have kept their promise to take us out on 29 March with or without the draft treaty? What does she say to the millions of angry leave voters who do not see the agreement as any kind of Brexit, but a lock-in for many months with no clear way out?
ParlaMint-GB_2019-05-22-commons.u162	With the greatest respect to my right hon. Friend, what I say to voters who expected us to leave on 29 March is that the Government’s position was that we should leave on 29 March. The majority of Government Members voted for us to leave on 29 March. Sadly, Opposition Members and some others voted to keep us in on that date.
ParlaMint-GB_2019-05-22-commons.u163	Given that this Bill appears to have been sunk even before its publication, the Prime Minister must know that the only way now to break the deadlock—which, as today’s terrible news about British Steel shows, is damaging our economy—is to put the choice back to the British people. At this eleventh hour, may I urge her to take that one final step, change her mind and say that she will support a confirmatory referendum?
ParlaMint-GB_2019-05-22-commons.u164	As I have indicated in a number of answers to questions this afternoon, I have not changed my view on a second referendum. I believe that we should be putting into effect the views of the people expressed in the first referendum, but I recognise the strength of feeling in the House on this issue from the right hon. Gentleman and others, particularly on the Opposition Benches. That is why it is important that we in this House are able to determine this issue, which is best done through the passage of the withdrawal agreement Bill. That is why I have confirmed yesterday and today that there will be a vote during the passage of the withdrawal agreement Bill on whether to hold a second referendum. The Government’s position will be clear: we do not think it right to hold a second referendum. But it will be for Members of this House to come together and determine that, for those who believe there should be a second referendum to put their case to the House, and for the House to come to a decision.
ParlaMint-GB_2019-05-22-commons.u165	The Prime Minister tells us that, if MPs vote for the withdrawal agreement Bill—which we have not even seen, let alone the amendments that will be tabled to it—we would leave the European Union by 31 July. How on earth does she know that?
ParlaMint-GB_2019-05-22-commons.u166	Because I have been discussing, and business managers have been discussing, a timetable for the Bill’s passage. Obviously a business motion and a programme motion have to be agreed by the House. It is very clear, and the determination of the last European Council makes it clear, that bringing the Bill back for Second Reading after the Whitsun recess would enable us to do exactly what I said and leave the European Union on 31 July.
ParlaMint-GB_2019-05-22-commons.u167	Given the awful news about British Steel, it is crucial that the Government stand up for British manufacturing. The Prime Minister will know that a customs union is immensely important to manufacturing across the north and the midlands, and that industry needs a long-term deal to support investment. Given the reports coming out of Cabinet yesterday, can she tell us: has the Cabinet ruled out a long-term customs union being part of the future partnership with the EU that they are supposedly going to negotiate after this withdrawal agreement? Have they ruled out a long-term customs union—yes or no?
ParlaMint-GB_2019-05-22-commons.u168	The right hon. Lady referenced what has happened to Greybull Capital’s company, British Steel. She will be aware, as others will, that a number of issues and a number of challenges face the steel industry—not just in the UK, but globally—and part of that, of course, is the overcapacity issue because supply is outstripping demand. Of course, much of the excess production is coming from China. That is why in the G20 two or three years ago we acted to bring China around the table to try to deal with that issue The right hon. Lady asks about the long term. The compromise solution on the customs that I put forward and referenced in my statement is designed to ensure that a future Government can take that issue in the direction that they wish to take it, and for the House to determine what those negotiating objectives should be. What matters to our manufacturing industry is the frictions that take place at the border and having the benefits of the customs union in no tariffs and no quotas. That is exactly what is already in the political declaration—the benefits of the customs union—and, as I say, we are committed to ensuring that trade is as frictionless as possible.
ParlaMint-GB_2019-05-22-commons.u169	It is difficult to make any judgments about a Bill when it has not been published. If there were issues with purdah, the announcement should not have been made this week. Next week, this House is in a recess, which is very nice for all of us, but it is not needed, given the seriousness of the situation. I will probably vote for the Bill when it comes back, but please can I ask the Prime Minister to reflect very carefully on whether it should be put to Parliament, because the consequences of its not being passed are very serious? If she really wants to heal the divisions and to get on with it, I ask her to reflect very seriously about this Bill not being put to Parliament in early June and being allowed more compromise and more time being taken.
ParlaMint-GB_2019-05-22-commons.u170	My right hon. Friend is right that, if the Bill is not passed, this House will be faced with a stark choice. That choice will be whether Members go for no deal, for revoking article 50 or for a second referendum, with the intention that many have, in asking for a second referendum, to stop Brexit. That will be the choice that will face this House People talk about the compromises that have been made so far. There are people who are telling me that I have compromised too much in the package that has been put forward and others who are telling me I have not compromised enough in the package. At some stage, the House has to come together, and we have to decide the distance that we will go together in order to deliver Brexit and to deliver on what people asked us to do.
ParlaMint-GB_2019-05-22-commons.u171	The Prime Minister has referred a lot in this statement and yesterday to the new deal—the new Brexit deal—but is it not a fact that the deal itself has not changed? The treaty is as it is, and these are a series of domestic legislative provisions to try to mitigate what is, in some cases, a very bad deal, but they will not actually change the Brexit deal itself. To illustrate that, the alternative arrangements proposal that she has put forward seeks merely to legally oblige the Government to conclude their own processes, but will she confirm that there is absolutely no obligation on the European Union to agree alternative arrangements? Indeed, the final decision about whether it accepts them or views them as reasonable is entirely a matter for the EU. It will not even be a matter of objective assessment. If a member state Government decide that they would rather keep us in the customs union, that is what will happen. There will be no means of getting out of it.
ParlaMint-GB_2019-05-22-commons.u172	We have put forward to the House today a package of proposals. It is a new package of proposals. The right hon. Gentleman has been clear that, in relation to the operation of the backstop, one of his key concerns was making that UK-wide. That commitment is there in the statement that I have made today. As I have said, we are happy to sit down and discuss how we can ensure that these are enshrined in law, which I know has always been an issue of concern to him As regards the alternative arrangements, the groups to do that work have been set up by the Government and the money has been afforded by Government to do that work. But the European Union was clear—and it has committed itself in the legally binding commitments that have been made at recent Council meetings—that it will also work with us to ensure that those alternative arrangements are in place and are available by the end of December 2020.
ParlaMint-GB_2019-05-22-commons.u173	Has the European Union agreed to any changes to the withdrawal agreement that are legally binding in international law?
ParlaMint-GB_2019-05-22-commons.u174	I have said to my right hon. Friend and others on many occasions, and the EU Council has made it clear on many occasions, that the EU is not reopening the withdrawal agreement. What we have done in the processes that we have taken through the House up until now—until the most recent discussions with the European Union—is to be able to have certain legally binding commitments made by both the UK and the European Union in addition to the text of the withdrawal agreement, which cover a number of issues that have been of concern to people in this House.
ParlaMint-GB_2019-05-22-commons.u175	Does the Prime Minister understand that she will not get enough support from Members on the Opposition side of the House to allow her withdrawal agreement to pass unless she includes a confirmatory vote in the Bill? She has come to the end of the road. But if she and indeed any Conservative MP wants to stop the Prime Minister’s successor from inevitably pursuing a no-deal Brexit, they must back giving the public the final say. Time is running out. Prime Minister, please change your mind.
ParlaMint-GB_2019-05-22-commons.u176	This is an issue on which, as I say, there are very strong feelings across this House. I have met Members from all sides of the House who support a second referendum and who have put forward their case with their sincere belief in that second referendum. I have a different view. I believe we should be delivering on the first referendum, but I believe—because of the strength of view across this House, on both sides of the argument—that it is important that the House has the opportunity properly to consider it in a way that is appropriate, and that is through the withdrawal agreement Bill.
ParlaMint-GB_2019-05-22-commons.u177	One of the ironies of resigning from Government is that it gives you rather more freedom and emphasis when you choose to support the Government, and I will be supporting the Prime Minister’s Bill. I thank her for her efforts and ask her to recognise that there are still many people in the country who believe that the best future for the UK outside the EU is with a compromise deal based on the interests of both, rather than a reckless and increasingly bitter pursuit of a single type of no-deal leaving—at a cost to many businesses, industry and agriculture and a cost to the country—so expertly skewered by the Chancellor in his speech yesterday?
ParlaMint-GB_2019-05-22-commons.u178	I do indeed agree with my right hon. Friend that I think there are many people across this country who want to see us leaving the EU in an orderly way and with a deal. Indeed, that was the manifesto on which he and I, and those of us who sit here as Conservatives, stood at the last election. We stood to deliver the best possible deal for Britain as we leave the European Union, delivered by a smooth, orderly Brexit, with a new, deep and special partnership, including a comprehensive free trade and customs agreement with the European Union. Those are the objectives that I have been pursuing. I have put forward today a new package that does change the situation that has been voted on previously. I hope all those who want to leave the European Union with a deal will indeed support it.
