ParlaMint-GB_2019-06-06-commons.u1	I call Vicky Ford—not here.
ParlaMint-GB_2019-06-06-commons.u180	T6. I thank the Secretary of State for that very encouraging answer. I hope he will join me in welcoming the peaceful conclusion of the elections in Malawi, particularly the increased number of women MPs, even if that was slightly counterbalanced by the loss of some very good incumbents, including a friend of mine, Jacqueline Kouwenhoven, who you may remember meeting some years ago, Mr Speaker. The turnover of incumbents seems to be an increasing issue in democracies across Africa. What is his Department doing through the Westminster Foundation and other such organisations to strengthen democratic institutions and empower women in democracies?
ParlaMint-GB_2019-06-06-commons.u181	Yes. As my right hon. Friend said, the Scotland-Malawi partnership is a very strong one, as the hon. Gentleman has shown with his question. In the recent elections, the results of which we have welcomed, some two thirds of the parliamentary seats in Malawi changed hands. I am not sure if they learned that level of turnover from recent experience in Scotland not so long ago.
ParlaMint-GB_2019-06-06-commons.u182	Will the Leader of the House please give us the forthcoming business?
ParlaMint-GB_2019-06-06-commons.u183	The business for the week commencing 10 June will include: Monday 10 June—Remaining stages of the National Insurance Contributions (Termination Awards and Sporting Testimonials) Bill, followed by a debate on a motion on the mineworkers pension scheme. The subject of this debate was determined by the Backbench Business Committee Tuesday 11 June—Motion to approve a statutory instrument relating to the draft Consumer Rights Act 2015 (Enforcement) (Amendment) Order 2019, followed by a motion to approve a statutory instrument relating to the draft Child Support (Miscellaneous Amendments) Regulations 2019, followed by a general debate on the UK voluntary national review on the sustainable development goals Wednesday 12 June—Opposition day (unallotted day). There will be a debate on inequality and social mobility, followed by a debate on discrimination in sport. Both debates will arise on a motion in the name of the official Opposition Thursday 13 June—Debate on a motion on social housing, followed by a general debate on making Parliament a more modern, family-friendly and accessible workplace. The subjects of these debates were determined by the Backbench Business Committee Friday 14 June—The House will not be sitting May I, on this particular occasion, extend the best wishes and thoughts of the whole House to all who are assembled in Normandy today to reflect on and commemorate the D-day landings It has been a very crowded field, with many runners and riders, but here I am as the new Leader of the House, and also as the new Lord President of the Council, which means that I have become a leader without an election and a lord without having to be elevated to the peerage. For having quietly achieved that during these tumultuous times, I think I should be congratulated.
ParlaMint-GB_2019-06-06-commons.u184	You’ve already done it.
ParlaMint-GB_2019-06-06-commons.u185	Indeed I have I would like to pay tribute to my right hon. Friend the Member for South Northamptonshire (Andrea Leadsom). In so doing, Mr Speaker, may I say that I hope that we can continue in the warm and familiar spirit that characterised your relationship with my predecessor, and hope that I can benefit from your continued indulgence? My right hon. Friend travelled the length and breadth of our country to press the case for our Parliament. She pressed hard to protect the very fabric of our Parliament with all her work around restoration and renewal. She fought for the piloting of proxy votes to make this place a more family-friendly environment. She worked particularly hard to change the culture in the Palace of Westminster so that there should be no place for bullying or harassment of any kind. We owe her a great debt. I would also like briefly to pay tribute to my hon. Friend the Member for Sherwood (Mark Spencer), who stood in at such short notice on the previous occasion and performed with such oratorical brilliance and dexterity. His are big shoes to fill, not least because he has very large feet For my part, I will strive to be an effective voice for Parliament in Government and to conduct myself in a consensual and inclusive manner. My door will always be open to Members right across this House—especially, of course, to the hon. Member for Walsall South (Valerie Vaz), and all those who speak for their parties and the Committees of this House Beyond these walls, I will play my part to defend our democracy, in a world in which the public square has too often become a place of misinformation and abuse. This House is precious, yet sometimes fragile. When it is degraded, we are diminished, but when it is at its best, we are all enriched.
ParlaMint-GB_2019-06-06-commons.u186	I welcome the right hon. Gentleman to his new position and congratulate him on his appointment. Perhaps we can talk later about whether he is going to give a speech every time he announces the business; I am happy to have the extra time too. I thank him for giving the forthcoming business and for restoring our Opposition day. I am pleased that he is starting off in the right way—long may that continue Can the Leader of the House confirm the dates for the summer and conference recesses? I ask that not because I do not want to be here—we do want to be here—but because I have heard rumours that the House might rise on 19 July. There is a new timetable for the election of the Conservative leader, and we need to ensure that the House is not in recess when the new leader—effectively the new Prime Minister—takes up his or her post. Does he agree that it is vital for the House to have an immediate opportunity to test whether the new leader of the Conservative party commands the confidence of the House I remind the Leader of the House that he holds democracy in his hands, which is a very precious thing. This is a minority Government, and he needs to respect that. Can he confirm the status of the confidence and supply agreement and whether it will have to be renegotiated with the new Prime Minister? I am sure that he has been briefed, but I will give him the figure again: it is 715 days since the Queen’s Speech. This is now the longest continuous parliamentary Session since the Acts of Union in 1800 The Leader of the House is the voice of the House in Government. Can he assure the House that he agrees that Parliament is sovereign, and that Parliament has voted against a no-deal scenario? I say that because there are many candidates up and down the country coming here to have coffee and tea and talk to their colleagues, and they are saying various things. I am sure that he still respects his former colleague at the Treasury, the Chancellor, who said that the Conservative party is at risk of losing its “reputation for fiscal responsibility” as candidates fighting for the top job have made “unfunded” spending and tax-cutting pledges. Are those meaningful or un-meaningful pledges? Are they new policies? We need to know. As a former Treasury Minister, he knows that when someone makes a public spending commitment, they have to honour it. One of them is even talking about repealing the Health and Social Care Act 2012. Given that they have all been in the Cabinet, why did they not do those things at the time? Does that mean they are not very good at persuading their colleagues This Government are failing in their duty to bring forward important legislation. The Financial Services (Implementation of Legislation) Bill, the Immigration and Social Security Co-ordination (EU Withdrawal) Bill, the Agriculture Bill and the Fisheries Bill all need their Report stage, and the Trade Bill is stuck in ping-pong. Can the Leader of the House update us on when those Bills are likely to get their Report stage and when the Trade Bill will return to the House The House has resolved that there is a climate and environment emergency. I do not know about other Members, but I am already getting emails from people about the Environment Bill. The Environment Bill is required to put in place a domestic structure of environmental governance, but it is still to be published and is only in draft form. The draft Bill seems to exclude our cultural heritage from future environmental improvement plans. When the Leader of the House is having strategy meetings with his candidate, the Secretary of State for Environment, Food and Rural Affairs, can he ask him when the Environment Bill is likely to come before the House All the while, the UK manufacturing sector contracted in May for the first time since July 2016. The justice system is under threat while barristers are considering strike action in a dispute over legal aid rates and prosecution fees; that is about the rule of law. A shortage of qualified staff has become hospitals’ most pressing concern. The Royal College of Radiologists recently said that the shortage of cancer doctors “puts care at risk”. Also at risk is the community of Scunthorpe and, we learn today, the community of Bridgend Also at risk are children in Northamptonshire. Yesterday two Northamptonshire serious case reviews on the murder of two toddlers were published and widely reported, and they said that there was a serious failure, after child protection workers, police and the local authority missed crucial opportunities to intervene. An Ofsted inspection last year said that social workers and staff are inundated and are “drowning in work”. When will the Government make a statement on this horrific incident, and what steps are being taken to ensure it never happens again Mr Speaker, you can see why we need such debates. Given that the Government do not have much business or refuse to put business before this House, could the Opposition have that time because we could put forward how we see the future of this country? That is important because—and I join the right hon. Gentleman in saying this—on this day more than ever, we want to remember and thank the 22,442 British troops who gave their lives over the summer of 1944. They worked together to ensure, and they still ensure, peace and our freedom, fighting antisemitism, racism, fascism and injustice. Let us get this place and this country working so that we honour their sacrifice.
ParlaMint-GB_2019-06-06-commons.u187	I thank the hon. Lady for her comments, and particularly for welcoming me to my new role. I very much look forward to the great pleasure of working closely with her in the weeks and months ahead The hon. Lady asked several questions. She initially asked about recess and when we will be coming forward with the dates for recess. These matters are being considered in the normal manner at the moment, and I will come to the Dispatch Box to announce those dates in due course The hon. Lady raised an interesting question about a vote of no confidence and whether such a vote would be permissible. I think the desire to put forward such a motion is really something that originates from her side of the House, so I would suggest she speaks to the leader of her own party. I am aware that there is a lack of communication between the Back Benches and the Front Bench, but I did not realise that there is a lack of communication between the Front Bench and the leader of her own side. She would do well to speak to him in that respect The hon. Lady also raised the matter of the confidence and supply agreement. It is of course an agreement between the Conservative and Unionist party and the Democratic Unionist party, and I am therefore confident that it will not be affected by any change in the leadership of the Conservative and Unionist party The hon. Lady specifically asked whether Parliament is ultimately sovereign. Of course, the answer to that is very simple: it is yes. Parliament is the sovereign body within our constitution The hon. Lady raised—rather bravely, I thought—the issue of tax cuts, among other measures. That comes from a party that has pledged unfunded spending commitments approaching £1 trillion in total, and one can only imagine the kind—[Interruption.] I am looking at the shadow Chief Secretary to the Treasury, the hon. Member for Bootle (Peter Dowd), who is smirking away at the thought of all those tax cuts, which he knows he will be bringing in in the course of time. Meanwhile, our party has of course reduced tax left, right and centre, including the latest increase in the personal allowance in the last Budget, taking up to 3 million or 4 million of the lowest-paid people out of tax altogether since 2010 The hon. Lady quite rightly turned to the issue of legislation and the Bills that will come before this House. I would remind her that no less than 44 Bills have received Royal Assent in this Session. To go back to her point about tax, that includes the last Finance Bill, which reduced tax for no less than 32 million hard-working people up and down our country Perhaps I should finish by saying that it is our joint desire to get business through the House—it seems we both have such a desire—and I very much look forward to working closely with the hon. Lady to make sure that the views and aspirations of those right across this House are fully met.
ParlaMint-GB_2019-06-06-commons.u188	I join others in paying tribute to the outgoing Leader of the House and congratulating my right hon. Friend on his appointment. Will he find time for a debate on future relations between the United Kingdom and the Maldives? The House will be delighted to know that, following the election of the new President, Ibrahim Solih, the warring factions have joined together and the Majlis is now sitting. The Maldives wants to rejoin the Commonwealth, and it would very much like a free trade agreement with the United Kingdom.
ParlaMint-GB_2019-06-06-commons.u189	I welcome my hon. Friend’s question—I know he is a welcome and regular fixture on these occasions, and I look forward to future questions from him. The Government welcome the growing bilateral relations with the Maldives and President Solih’s commencement of steps to rejoin the Commonwealth. My hon. Friend may wish to raise that issue with Foreign Office Ministers during the next Foreign and Commonwealth Office questions on 25 June.
ParlaMint-GB_2019-06-06-commons.u190	I thank the new Leader of the House for announcing next week’s business, and I warmly welcome him to his post. He is only the fourth Leader of the House that I have encountered over the past four years, but I have a feeling that he will be about the best yet. In that spirit, given all the unallotted days that are kicking about, and the lack of business, how about giving the SNP a debate one of these days? Perhaps that could be a starting gift for him to offer the Scottish National party The post of Leader of the House is usually offered to those in government who are firmly on their way up, or decidedly on their way down. I will leave it up to the right hon. Gentleman to decide which category he falls into. However, looking at this poor excuse for business, it is not a new Leader of the House that is required—it’s the sandman. We do not need a business statement; we need a cup of Horlicks laced with Mogadon. This business purgatory is where zombies go to die. We have only another six or so weeks of this nonsense to go before we can all go away and do something much more interesting May I fully associate myself with what has been said about D-day? This 75th anniversary has caught the whole nation’s imagination, and we pay tribute to all those engaged in providing the freedom that we enjoy in this House today I bet Government Members are delighted to be back—that was a good and productive week off! Absolutely and totally gubbed in the euro elections, their Brexit going nowhere, and Farage pulling all the strings once again in their dilapidated party. May we have a debate about beauty contests—specifically, no-deal Brexiteer beauty contests? SNP Members are enjoying watching those Tory beauties strutting their stuff, with their mad plans about the degree of just how disastrous their Brexit will be. One thing that has come out of their hustings thus far, however, is the suggestion that this Parliament could be prorogued to facilitate their no-deal Brexit. The first thing that the new Leader of the House must say this morning is that that subversion of democracy will never be considered or entertained, and that he has no intention of suspending democracy in this country to facilitate that no-deal Brexit Lastly, may we have a debate about anything—something with some meaning? We have all this to look forward to when we come back again to hear another business statement that says exactly the same thing next week. Welcome to your new life, Leader of the House.
ParlaMint-GB_2019-06-06-commons.u191	I thank the hon. Gentleman for his contribution. I have observed him from a distance over many weeks performing as he has done—he normally has a tightly knit script of prose that he rattles through at great speed, and we were not disappointed in that respect this morning. With his comments about zombies and other references there was something more of the Rab C. Nesbitt than the Rabbie Burns about it on this occasion—[Interruption.] I do have a soft spot for the hon. Gentleman, so he will make good headway with me on a general basis On SNP Opposition days, the hon. Gentleman will know that the Standing Orders are clear that there should be 20 Opposition day debates in any one Session, with 17 for the largest Opposition party, and three for the second largest, which is the Scottish National party. Those days have already been allocated and occurred, but in the spirit of the hon. Gentleman’s generous opening remarks, I would be happy to sit down with him, at a time of his convenience, to discuss that matter, and perhaps even the vexed issue that he raised about whether I am on my way up or on my way down. Only time will tell The hon. Gentleman raised a specific point about prorogation, which of course is ultimately in the gift of the Queen. I think Her Majesty should be kept out of the politics of our Parliament, and I am sure that matter will be in the forefront for those who toy with such decisions in the future. He also mentioned the Bills being introduced, and I think many fine Bills are coming forward in this House, as well as many important debates. It should be borne in mind that debate does not just take place on the Floor of the House, and important work is also carried out in many important Committees.
ParlaMint-GB_2019-06-06-commons.u192	It is good to see another one of my protégés climb the greasy pole Martin Luther King said that law and order exist for the purposes of justice, but the injustice of disorder hurts people and spoils places as too many yobs and crooks penalise, torment, terrorise and taunt their innocent and vulnerable neighbours. Small shops are targeted in particular. The Federation of Independent Retailers said recently that the cost of crimes against the convenience sector alone is £246 million. Will the Leader of the House arrange for a debate on retail crime, which does so much harm in all our constituencies? Then, perhaps, as well as being a Leader, as well as being a President, as well as being a Lord, he will, like me, become a champion of the shopkeepers.
ParlaMint-GB_2019-06-06-commons.u193	Order. The right hon. Gentleman was legendarily eloquent and mellifluous, but it is extremely important that the proceedings of this House are intelligible to all those observing them. Therefore, for the purposes of clarification and the avoidance of doubt, I inform people that before the Leader of the House attained the giddy heights in the political stratosphere, which is he proud to announce today he has done, he did serve as Parliamentary Private Secretary to the right hon. Member for South Holland and The Deepings (Sir John Hayes). I fancy that the right hon. Member thinks that that was the apogee of the career achievements of the right hon. Member for Central Devon (Mel Stride).
ParlaMint-GB_2019-06-06-commons.u194	Thank you, Mr Speaker. I think it is very important to put that important matter clearly on the record. May I say what a privilege and honour it was to have served as my right hon. and gallant Friend’s PPS? I always found him to be visionary, wise, and just occasionally present in the 21st century. [Laughter.] I did stress the word “occasionally”, Mr Speaker, in that context. My right hon. Friend is absolutely right in his important point about crime and our local communities. We tend to see local communities and high streets through the prism of taxation and, in particular, business rates, but he is right to raise the other issues that impinge on the health of our high streets and communities. If he were to suggest this issue for a Backbench Business debate to the Chair of the Backbench Business Committee, it might well find favour.
ParlaMint-GB_2019-06-06-commons.u195	I welcome the right hon. Gentleman to his new role and look forward to working with him as we try to sort out parliamentary business over the coming weeks and months I very much echo the comments about D-day and remember the terrible sacrifice that was made as the liberation of Europe began on 6 June 1944. I wonder whether we could also spare a moment to remember those, like my dad, who were anxiously waiting to be liberated in prisoner of war camps across Germany and other parts of Europe. They had done their bit, but were captured in doing so. They could not perform any further heroics during the war, but they were still serving their country in prisoner of war camps The likelihood is that there will be two days of estimates day debates in early July. The Backbench Business Committee is anxiously waiting for applications for estimates day debates by Friday 14 June. The Committee will make its deliberations on Tuesday 18 June and we will then have an idea of what four estimates day debates will take place on those two days in early July Finally, last night I attended a function to celebrate the Open University’s 50th birthday. The OU is still a real chance for those already in work or those who missed out on studying for higher level qualifications after school, and for many to requalify in the fast-moving and ever-changing world of work. There is, however, a sting in the tail, which is that we have witnessed a massive reduction in the number of students from the UK signing up to courses because of tuition fees for adult learners. May we have a debate in Government time, so we can highlight the ever-growing need for lifelong learning and the great potential the OU still offers to people across this country?
ParlaMint-GB_2019-06-06-commons.u196	I thank the hon. Gentleman for his comments and very much look forward to working closely with him in the coming period. I echo his sentiments regarding D-day and the reference he made to his family and prisoners of war at the time of the second world war. It is important to reflect not only on those who made the ultimate sacrifice and the men and women who fought in the war on our behalf, but on all those who were damaged in many different ways by it: men, women and children not just in our country, but in many countries around the world The hon. Gentleman said that he seeks applications for estimates days by his deadline of Friday 14 June, so that the Backbench Business Committee can deliberate on 18 June and decide the four debates. If he requires any assistance from me as Leader of the House in ensuring that that process is followed through efficiently, I am entirely at his disposal The hon. Gentleman makes important points about the Open University, which has been a great success for our country, and I pay tribute to the Labour party, because the commitment of the former Prime Minister, Harold Wilson, saw the birth of that important institution. I believe that my hon. Friend the Member for Aldridge-Brownhills (Wendy Morton) is an alumni of the Open University, and it is good to see her on the Front Bench today As for a debate on the matter, perhaps the hon. Member for Gateshead (Ian Mearns) can consider that as a Backbench Business debate. He can ask himself that important question, deliberate and wrestle with the pros and cons and perhaps even come up with the answer that it would indeed be appropriate for a Backbench Business Committee debate.
ParlaMint-GB_2019-06-06-commons.u197	Parliament matters, and it seems to me entirely proper that a new Prime Minister should face the House before any recess. If the Government fall on a vote of confidence in a newly elected Conservative Prime Minister, I would expect that Prime Minister to take us to the country and return with a substantial majority. We should not be afraid of Parliament; we should encourage it. Will the Leader of the House confirm that the new Prime Minister will be in place to face Parliament before the recess?
ParlaMint-GB_2019-06-06-commons.u198	The answer to that question is an interplay between when the contest within the Conservative party for the new leader is due to conclude and when the recess is announced to fall. As we certainly do not know the answer to the latter, and I am not sure that we entirely know the answer to the former, I think that the answer, unfortunately, is no, not necessarily.
ParlaMint-GB_2019-06-06-commons.u199	There are reports today that Ford is planning to close its plant in south Wales. This would be a devastating blow to the 1,700 people who work there and for supply chains across Wales. May we have a statement from the Government on this dreadful situation and a programme of practical support for manufacturing in south Wales?
ParlaMint-GB_2019-06-06-commons.u200	I echo the hon. Gentleman’s concerns. Clearly, discussions are taking place, and I believe that senior executives from Ford America are taking part in them. We do not yet know the outcome of the discussions. No announcement has been made, although I am led to believe it is possible that one will be made later today. What I can assure him of is that this Government and the Department for Business, Energy and Industrial Strategy, in particular, will keep a very close eye on developments and respond appropriately.
ParlaMint-GB_2019-06-06-commons.u201	I welcome my right hon. Friend to his position and pay tribute to his predecessor, my right hon. Friend the Member for South Northamptonshire (Andrea Leadsom), who was in her place for a long time and did a lot of valuable work for the House May we have a statement or a debate on the Leader of the Opposition leading a student-type protest in Trafalgar Square against the leader of the free world when he purports to become the next Prime Minister? Is this appropriate?
ParlaMint-GB_2019-06-06-commons.u202	I respect the question, but I do not think it is for me to comment one way or the other on the decisions made by the Leader of the Opposition about which events or demonstrations he chooses to attend or not to attend—other than to say that I am sure the public will have noticed, and I am sure the electorate will draw their own conclusions.
ParlaMint-GB_2019-06-06-commons.u203	Yesterday we had an excellent debate on hidden disabilities, but there are still several areas in which those with disabilities are disabilities are being badly let down over accessibility. One of my constituents, Shirley Todd, has launched a campaign on that very issue. A particular problem is boarding aircraft. At most airports—including Edinburgh airport in my constituency, which has won several awards relating to accessibility—once passengers are beyond the gate they come up against a completely different set of circumstances, and are often literally manhandled on to the plane by baggage handlers. May we have a debate on the issue, and discuss how airlines and air transport services could be encouraged to tackle it a bit more sensitively?
ParlaMint-GB_2019-06-06-commons.u204	The hon. Lady raises a very important matter, particularly in the context of her constituent. The Government fund support for those with disabilities and long-term health conditions extensively, to the tune of some £55 billion a year. However, the specific issue of getting on and off aeroplanes might lend itself to an Adjournment debate, which would give the hon. Lady an opportunity to question a Minister in detail. I also refer her to Transport Questions, which will take place on Thursday 13 June.
ParlaMint-GB_2019-06-06-commons.u205	In a week in which Muslims across the world have celebrated the end of Ramadan, the crisis in Sri Lanka seems to be increasing still further, with the resignation of all the Muslim Ministers and officials in the Sri Lankan and state Governments. Today, in the other place, Lord Naseby is putting a question about travel advice given to UK citizens. I note that there has been no statement from the Government about either travel advice or the crisis. May we have a debate in Government time on the situation in Sri Lanka, so that Members of this House can put their views on record and challenge the Government on what they are doing to assist UK nationals?
ParlaMint-GB_2019-06-06-commons.u206	I believe I am right in saying that the Foreign and Commonwealth Office provides travel advice online, so that those who are considering travelling to certain parts of the world can be properly informed. This might well be an appropriate subject for an Adjournment debate, and my hon. Friend may wish to consider that.
ParlaMint-GB_2019-06-06-commons.u207	As I told the House earlier today, my thoughts are with those commemorating the 75th anniversary of the D-day landings. As a small child I saw very little of my father in the first five years of my life, because he was overseas serving in the Royal Engineers. I think that the House should think very profoundly about those young men and women who fought and lost their lives As a fitting tribute, could we seriously consider something that I am passionate about—the planting of trees to remember people and their contribution? Is the new Leader of the House aware that there is to be a new northern forest stretching all the way from Hull to Liverpool, containing 50 million trees? Could we expand that across the United Kingdom, as a real tribute to the people who fought for us in the war and many of whom died fighting for the freedom of this country?
ParlaMint-GB_2019-06-06-commons.u208	The hon. Gentleman is absolutely right: we should seek whatever means we can to pay tribute to those who fought on our behalf in the second world war. He mentioned the planting of trees. I remember that when I was a young boy, we were urged to “Plant a tree in ’73”, and I assume that there are forests of giant trees today as a consequence of that initiative. The planting of the great northern forest is an excellent and imaginative approach; I think that the Government intend to plant about 15 million trees. As for the hon. Gentleman’s specific point, environment questions, on Thursday week, will provide an excellent opportunity him to raise it with Ministers.
ParlaMint-GB_2019-06-06-commons.u209	May we have a debate about the Queen’s award for voluntary service? This year Forres in Bloom received the honour. Diane McGregor, the chairwoman, Sandra McLennan, the secretary, and all the volunteers do outstanding work throughout the year in Grant park and across Forres with their flowers and displays. This is appreciated by not just locals but the thousands of visitors to the town. Will the Leader of the House also join me in congratulating them on all these efforts, ahead of their 30th anniversary next year, in their three decades of work and agree that their motto is very fitting: “We love where we live”?
ParlaMint-GB_2019-06-06-commons.u210	My hon. Friend raises an excellent point, and I do of course join him in paying tribute to Diane McGregor, Sandra McLennan and the amazing band of volunteers for their outstanding work and for receiving the Queen’s award for voluntary service. The Government recognise the huge importance of volunteering and it would be an excellent subject for an Adjournment debate.
ParlaMint-GB_2019-06-06-commons.u211	I warmly congratulate the new Leader of the House, although I will not do your trick, Mr Speaker, of reminding him of where we first met as it would be far too embarrassing for me. May I just say that I think his answers on prorogation and whether a new Prime Minister will address the House swiftly after being elected have been wholly inadequate so far? It would surely be on a Venezuelan scale of outrage if we were to prorogue Parliament simply to force through a no-deal Brexit against the will of Parliament. Even Winston Churchill—during the midst of war when the British Expeditionary Force was in danger of complete collapse in France and we were trying to get people out of Dunkirk—when he was made Prime Minister in May 1940 addressed the House of Commons just three days later. Even the Marquess of Salisbury in 1885 knew he had to come to Parliament the next day. So surely to God the new Leader of the House should be able to say to us today, “Yes, a new Prime Minister will address the House of Commons within a week of being appointed.”
ParlaMint-GB_2019-06-06-commons.u212	I thank the hon. Gentleman for his question, and I am not quite as shy as him about revealing to the House where we first met: I was very proud to meet the hon. Gentleman I think for the first time as a fully signed up member of the Conservative party at Oxford University. Quite where it all went wrong after that I have no idea, but if the hon. Gentleman wants to come and talk to me about the error of his ways at any point I will be happy to try to enlighten him on those matters The hon. Gentleman raises once again the issue of prorogation, and he will know that these matters and others are all going to be decisions that the future Prime Minister will take and that it is not for me to speculate about what they might be.
ParlaMint-GB_2019-06-06-commons.u213	One thing we all know, because I have said it myself several times—and I think the hon. Member for Rhondda (Chris Bryant) believes this—is that Parliament will not be evacuated from the centre stage of the decision-making process on this important matter. That is simply not going to happen; it is so blindingly obvious that it almost does not need to be stated—but apparently it does and therefore I have done.
ParlaMint-GB_2019-06-06-commons.u214	May I also welcome the very modern-minded Leader of the House to his role? With that in mind, he may be aware that in 1989 when cameras were first allowed in this place they were brought in with restrictions: footage can be used on news programmes and so on, but not on satirical or light entertainment programmes, presumably to maintain the dignity of this place. Given that so much of this content, in particular the more light-hearted moments—a lot of it including you, Mr Speaker—is currently available online on YouTube and so on does the Leader of the House believe it is about time to update the rules and bring them into the 21st century?
ParlaMint-GB_2019-06-06-commons.u215	I am sure there are many light-hearted and satirical moments in the House—too many for any producer of any film to get their head around I would imagine. However, whether we should permit this might be the subject of a future debate, rather than my opining on it at the Dispatch Box.
ParlaMint-GB_2019-06-06-commons.u216	Unfortunately, many foreign-born citizens and others with the right to live and work in the UK are being made to feel like second-class citizens. This happened a couple of weeks ago to EU citizens who were turned away from polling stations, and last week at my surgery, Firas Ibrahim, the regional director for the middle east at the University of Edinburgh, came to tell me that, despite the fact that he loves living and working in Scotland, he feels that the UK Government are making him feel like a second-class citizen. Despite holding a British passport and fulfilling an important role at a Russell Group university, he has been repeatedly questioned by border officials on returning from business trips abroad, and as a dual Syrian national, he was very upset by the Home Secretary’s suggestion about banning travel to Syria. As the architect of the hostile environment—the Prime Minister—vacates her role, may we have a debate on how the hostile environment has made our friends, colleagues and family members who are foreign-born British citizens and EU nationals living here feel like second-class citizens, and on what we can do to remedy that?
ParlaMint-GB_2019-06-06-commons.u217	I think it is fair to say that our Prime Minister has done a huge amount to ensure that we reassure those EU nationals who live in our country that they are not only entirely welcome but an essential part of our communities and our society. The hon. and learned Lady raised a specific point about voting, and my comment would be that the Government ensured that we provided all the legal requirements and funding to facilitate that, and that the returning officers had the tools at their disposal to enable them to take the appropriate decisions. We will have Home Office questions on Monday, and she might wish to raise that issue with Ministers at that time.
ParlaMint-GB_2019-06-06-commons.u218	I warmly congratulate my right hon. Friend on assuming his position. May we have a debate on the replenishment of the Global Fund to Fight AIDS, Tuberculosis and Malaria? It is absolutely essential that the UK not only maintains its generous commitment but increases it, as a congressional appropriations sub-committee has just recommended that the United States should do. We need a proportionate increase to ensure that those deadly diseases can be tackled, and an early decision by the Government is now necessary so that they can continue to show the global leadership on this issue that they have shown in the past.
ParlaMint-GB_2019-06-06-commons.u219	I congratulate my right hon. Friend on his work in this area and on his chairmanship of the Global TB Caucus. The Government recognise the importance of the Global Fund to Fight AIDS, Tuberculosis and Malaria, and we are in fact the world’s third-largest contributor to it. We are currently considering a further commitment to the fund’s replenishment this year, and I will ensure that my right hon. Friend’s points are noted.
ParlaMint-GB_2019-06-06-commons.u220	I was under the impression that the new Leader of the House’s most important previous role was his position on the Northern Ireland Affairs Committee in 2010. That position has allowed him to speak with accuracy and clarity on the state of the confidence and supply agreement, and I hope that he will continue to develop his relationship with the people on the Ulster Bench. Will he take this opportunity today to commend the work of the education and engagement team in Parliament and to support them as they try to fill the gap to ensure that their brilliant work in reaching 11,000 children every year is extended to Northern Ireland, where only 37 children were reached last year?
ParlaMint-GB_2019-06-06-commons.u221	I echo my hon. Friend’s warm comments about our time together on the Northern Ireland Affairs Committee. I remember that time with fondness, when he and I worked on a lot of important matters. His point about education and engagement and the relatively low number of children coming from Northern Ireland seems to me—although I have not looked into this in great detail—to be something that might need to be addressed. I would therefore be happy to meet him to look at this more carefully.
ParlaMint-GB_2019-06-06-commons.u222	I should like to add my congratulations to the new Leader of the House. Earlier, my right hon. Friend the Member for South Holland and The Deepings (Sir John Hayes) referred to the problems faced by small shopkeepers. He and I attended an event yesterday that was organised by the National Federation of Retail Newsagents. As well as the issue of retail crime, they drew our attention to the anomalies in the business rates system that are having a damaging impact on them. Could the Leader of the House find time for a debate on that issue?
ParlaMint-GB_2019-06-06-commons.u223	I thank my hon. Friend for his question, and for mentioning my right hon. Friend the Member for South Holland and The Deepings (Sir John Hayes) again; may I say once again what a deep honour it was to serve as his PPS On business rates and high streets, this Thursday there will be BEIS questions, and that would be an opportune moment for my hon. Friend the Member for Cleethorpes (Martin Vickers) to raise the point that he has made.
ParlaMint-GB_2019-06-06-commons.u224	A constituent of mine is in the process of applying for a visa, but she has experienced technical problems online and is attempting to resolve the issue by phone. It would appear that the helpline—I use that term in the broadest sense—has been outsourced, and the company being used is charging £2.50 per minute for calls. She has already spent over £100 and is absolutely no nearer to getting the problem resolved. I thought the Government had told us that the hostile environment was over; it clearly is not. May we have a statement urgently on what the Government will do about that helpline?
ParlaMint-GB_2019-06-06-commons.u225	I am pleased that the hon. Lady has raised that matter, because there are a number of companies out there who purport to do things which, apparently, are too complicated to do for nothing, and make profits as a consequence. I personally believe in general terms that that is not right, and I would be happy to facilitate a conversation perhaps between the hon. Lady and the appropriate Minister.
ParlaMint-GB_2019-06-06-commons.u226	I very much support what my right hon. Friend the Member for Arundel and South Downs (Nick Herbert) said about the global health fund May we have a debate on the importance of smaller accident and emergency units up and down the country? Yet again, County Hospital, Stafford has come into the limelight. It is actually performing excellently at the moment. However, there is no way that the local health system—indeed, the regional health system—could survive without the A&E there and, indeed, the one a few miles away in Telford. May we have a debate so that we can highlight that, and ask for a different model for funding those vital smaller general hospitals up and down our country?
ParlaMint-GB_2019-06-06-commons.u227	My hon. Friend, who is a great champion for his local hospital, raises the issue of smaller A&E units in general. We are, of course, investing the largest cash amount in the national health service in its history—some £85 billion over the next five years—and we are fully committed to the NHS. The point that he raised might make a good BackBench Business Committee debate, or perhaps even a Westminster Hall debate when it is the Department for Health’s turn to respond.
