ParlaMint-GB_2019-07-16-lords.u1	To ask Her Majesty’s Government what steps they are taking to improve rural bus services.
ParlaMint-GB_2019-07-16-lords.u102	My Lords, on behalf of these Benches I welcome this Statement and thank the Government for early sight of it. I have had the privilege of sitting on the pre-legislative scrutiny committee on the draft Bill and fervently hope that we will eventually find all its recommendations—with the possible exception of polygraph testing—on the face of the Bill Domestic abuse is indeed a scourge on our society. I wish that speedier progress had been made since this Bill was first announced in 2017. I understand that our Prime Minister, who I know is passionate about these issues, now wants to speed things up to ensure that this Bill forms one of the key achievements of her legacy—and rightly so. In the Statement, the Minister talks of “further response” to other proposals later in the year. So, like the noble Baroness, Lady Gale, I would like to know the timescale for this Bill. When can we hope to see it on the statute book I particularly welcome the Minister’s comments on migrant victims and look forward to reading the Government’s updated asylum support policy. Might this find its way into the Bill? It is hugely important that asylum-seeking women and those whose immigration status is uncertain are not scared away from reporting abuse, and that not having recourse to public funds will not make them stay in a violent, abusive situation. I hope that the Government will accept the recommendation that there should be a firewall between reporting the crime, accessing report services and immigration control. Everyone deserves justice, no matter what their immigration status British citizens living in Northern Ireland are entitled to justice and protection too, so I am delighted at the Minister’s announcement that there will be a bespoke domestic abuse offence for Northern Ireland. On the committee, we recommended a sunset clause, so the full Bill should apply in Northern Ireland until the Assembly brings in one of its own. So it will be interesting to see what the bespoke offence will contain. If the Minister can enlighten the House further this afternoon, that would be very helpful I also welcome measures to tackle perpetrators’ behaviour, but measures also need investment in a wider range of perpetrator programmes, backed by the resources to carry them out. I am glad that the Government have acknowledged that children and young people who witness abuse are victims, too, and I hope that they will be afforded the same priority for accommodation, health and education services as our looked-after children. There is no word, however, on the recommendation on a gendered definition of abuse and the inclusion of other categories of victim, including disabled people, people abused by their so-called carers, and victims of FGM, forced marriage, modern slavery and so on We also recommended that the domestic abuse commissioner should have stronger powers and report to the Cabinet, not the Home Office. These and many other issues will become apparent as we progress through the stages of the Bill I end by welcoming wholeheartedly the great progress that has been made so far. The Statement asserts that the measures now allow for the Istanbul convention to be ratified. That will be a great day for human rights in Britain.
ParlaMint-GB_2019-07-16-lords.u103	I thank both noble Baronesses for their comments and their broad support for what we are about to embark on. I particularly commend the noble Baroness, Lady Burt, for the part she played in the whole pre-legislative scrutiny process, which was collaborative and helpful for all involved The noble Baroness, Lady Gale, asked me first about the domestic abuse commissioner and their independence. I confirm that the whole point of the domestic abuse commissioner is that she or he holds to account not only government but local government and other stakeholders who are involved in the protection of women. We expect that person to be in post in the autumn, and an announcement will be made very soon. We absolutely agree that their role will be crucial, and we have amended the Bill to create a new statutory framework document that will set out how the Home Secretary will work with the commissioner and will cover their accountability to Parliament. However, their independence is absolutely crucial in this The noble Baroness, Lady Gale, also asked me about the courts system. The Bill will include the fact that perpetrators cannot cross-question their victim in court. However, there is another point that the noble Baroness alluded to. It is about practice direction 12J, where child contact cases are involved and domestic abuse is a factor. The panel will soon call for evidence on this. So the noble Baroness made an important point Both noble Baronesses, Lady Gale and Lady Burt, talked about migrant women and the gendered nature of domestic abuse. On migrant women, it is important that we make very clear that all victims of domestic abuse should be treated, first and foremost, as victims of domestic abuse. That is why all the measures in the Bill apply equally to all victims of domestic abuse in England and Wales, irrespective of their immigration status. We recognise that there are migrant victims who are not covered by the existing destitute domestic violence concession, so we will undertake a review of the overall response to migrant victims of domestic abuse. The review will specifically consider the committee’s recommendation to extend the period for which support is offered and how it relates to a victim’s ability to access refuge accommodation and will take into account any obligations we may have under the Istanbul convention The third point made by the noble Baroness, Lady Burt, was about victims being worried about their immigration status and the firewall. Victims should be treated first and foremost as victims and not be concerned about this being abused as a route to test their immigration status, but we do not want to introduce a firewall that might prove detrimental to other vulnerable victims. That is an important consideration.
ParlaMint-GB_2019-07-16-lords.u104	My Lords, before I begin, on behalf of the whole House I wish the lovely noble Lord, Lord Judd, a speedy recovery. I was glad to see him sitting up and giving us a thumbs up on his way, hopefully, to St Thomas’ The noble Baroness, Lady Gale, asked about the gendered nature of domestic abuse. Of course, we want to ensure that all victims and all types of domestic abuse are sufficiently captured and that no victim is inadvertently excluded from protection or access to services. As the committee report recommends, we fully recognise that domestic abuse is a gendered crime that disproportionately affects women and girls and which, of course, has a devastating impact on children. That is why we have amended the Bill to expressly provide that the statutory guidance on the definition must include and address these issues. In the statutory guidance we also intend to recognise the additional complex factors that may occur in domestic abuse situations—for example, mental health or substance misuse issues—and their interplay with abuse Both noble Baronesses asked about our support for children. One of the key functions of the domestic abuse commissioner will be to encourage good practice in the identification of children affected by domestic abuse and the provision of protection and support to people, including children, affected by domestic abuse. Under the terms of their appointment, the commissioner will be required to have in their office a thematic lead to represent the interests of children. That is why the Government launched an £8 million fund up to March 2020 for new services designed to support children affected by domestic abuse. The proposed new statutory duty on local authorities in respect of the delivery of support in accommodation-based services is designed to meet the needs of all victims, including their children The noble Baroness, Lady Burt, asked about education places for children. We want to make the process of securing a school place outside the normal admissions round as straightforward as possible for parents and to reduce any delays, so that children—especially the most vulnerable—can secure a place as soon as possible and do not have any gaps in their education. We will give further consideration to the best way we can achieve that aim, taking into account feedback from the sector The noble Baroness, Lady Burt, also asked about disabled people and people abused by their carers. The Bill will recognise abuse of people with disabilities by their carer as domestic abuse if the victim and perpetrator are personally connected. A personal connection between the perpetrator and the victim is central to that form of abuse Both noble Baronesses asked about the Prime Ministerial candidates’ commitment to this Bill. After the Statement in the other place, my honourable friend confirmed that both candidates had firmly committed their support for this Bill going forward Both noble Baronesses asked when the Bill would arrive in this House. When it will pass through both Houses is a more difficult question to answer, but when it will arrive in this House is a good and understandable question. I understand that it will arrive here by the end of the year.
ParlaMint-GB_2019-07-16-lords.u105	My Lords, I concur with the Minister’s views about the noble Lord, Lord Judd. He will be greatly missed from the debate later today in the House. I served as a Member of the Scottish Parliament for the Borders and can recall casework where there were administrative problems with individuals who had to tackle cross-border issues with regard to the legal framework and relationships between local authorities in Scotland and England. That was prior to the welcome changes in legislation that the Minister referred to both for England and last year for Scotland, and prior to the changes in welfare legislation in relation to housing benefit in particular. What administrative relationships are in place to ensure that these changes do not exacerbate the potential difficulties that women, primarily, find themselves in on cross-border issues?
ParlaMint-GB_2019-07-16-lords.u106	The noble Lord makes a good point about having legislative alignment and making sure that legislation in one part of the UK does not contradict legislation in the devolved Administrations. Of course, those conversations and that work are ongoing to ensure that precisely that does not happen.
ParlaMint-GB_2019-07-16-lords.u107	My Lords, I crave the forbearance of the House. I have two questions; one of my own and one from the right reverend Prelate the Bishop of Durham, who, due to the adjournment, has had to leave. My question relates to the needs of very vulnerable people, mainly women, on release from prison. During my visits to our local women’s prison, I have learned that a higher proportion of women in prison than is the case in the general population come from violent and abusive relationships. It is critical that such women and other vulnerable people who have been abused are released into a safe, secure place with secure accommodation. Is the Minister aware that on occasion, due to things such as poor communication between the probation service in prison and the probation service outside prison, things go wrong and, tragically, a woman is released into danger. What action might the Government take and can the issue be looked at in this Bill, along with the needs of migrants and asylum seekers, so that women and vulnerable people are never left vulnerable and in danger on release from prison? That is particularly critical when a prisoner is released on a Friday and the weekend is coming up My second question is on the All Kids Count report on the two-child limit. My friend the right reverend Prelate the Bishop of Durham highlighted to me that serious questions arise from the rape clause and domestic abuse in relation to that policy. Will the Minister agree to meet him to explore that?
ParlaMint-GB_2019-07-16-lords.u108	I thank the right reverend Prelate for her question on behalf of the other right reverend Prelate. She talked about women on release. I fully concur with the points she makes, because I have visited women near to where I live in the local women’s prisons, and the percentage of those women who are in an abusive relationship and perhaps have children from that relationship is extraordinarily high. I observed that this is often coupled with substance abuse that may or may not be related to that abuse, and poor levels of education. So I think the right reverend Prelate refers to a multiplicity of vulnerabilities, which of course those women need support to overcome. I fully concur with that point and perhaps we will talk about it again. On the other point she made on behalf of the right reverend Prelate the Bishop of Durham, I think he may have raised it before—I am not sure—but certainly I would be happy to meet him about it.
ParlaMint-GB_2019-07-16-lords.u109	My Lords, with the leave of the House I shall repeat a Statement made in another place earlier today by Mims Davies, my honourable friend the Minister for Sport and—oh, I cannot remember what her title is. I am going to be in trouble now. The Statement is as follows: “Mr Speaker, with permission, I would like to make a Statement in relation to lotteries. The National Lottery and society lotteries contribute around £2 billion a year to good causes in this country, forming the backbone of giving across the UK. As preparations start on the competition for the next licence to run the National Lottery, it is important that we ensure that the wider lotteries landscape is fit for the future and allows as much money as possible to be raised for good causes within a suitable framework. To ensure clarity ahead of the upcoming fourth licence competition, I am today announcing next steps on society lotteries, and launching a consultation on increasing the age limit for playing the National Lottery Turning to society lotteries, first, in June last year, the Government launched a consultation seeking views on proposals to reform the existing limits on society lotteries, which have not been raised for more than a decade. I am aware that there has been strong support from across this House for the Government to increase the sales and prize limits for society lotteries and that changes have taken a long time to come. Society lotteries are a vital source of funds for charities and other non-commercial organisations, and in 2018 alone raised more than £300 million. As not just the Minister for Lotteries but the Charities Minister, I want to support the third sector and grow the overall pie for everybody’s benefit. I am aware that society lotteries are a vital funding mechanism for hundreds of charities in many of our local communities, including air ambulances and local hospices The consultation aims to ensure that both society lotteries and the National Lottery are able to thrive and that society lotteries can continue to grow, while maintaining the unique position of the National Lottery and its ability to raise funds across the country by offering the largest jackpots. We heard strong arguments from both sectors, and I am grateful to everyone who shared their views. In coming to a final decision I have balanced needs across the sector to ensure that returns to good causes can grow overall I am pleased to announce that I will raise the per-draw sales limit from £4 million to £5 million and the maximum prize limit from £400,000 to £500,000 for large society lotteries. These increases will allow for significant headroom for most of the sector to continue to grow, and I am pleased that the Gambling Commission has agreed carefully to monitor these changes for any potential wider impact. This will enable us to analyse the impact of the changes over time In addition, I will raise the annual sales limit from £10 million to £50 million. In recent years we have seen charities forced to slow their fundraising from lotteries as a result of the current limits or to adopt costly alternative structures to avoid breaching them, increasing admin costs and diverting money away from good causes. Indeed, one charity told us that introducing such arrangements could cost £345,000, with further additional running costs of more than £100,000 per year. A £50 million annual limit will reduce or prevent administrative burdens for society lotteries, and I fully expect to see an equivalent increase when it comes to the amount of money directed to good causes as a result of the lower admin costs and this increase. I will be watching this closely I am aware that many Members support an even higher annual limit of £100 million. I too share this ambition. However, this is a significant increase and I want to be certain that moving to this much higher limit will in reality increase returns to good causes across the sector. I want to be assured that there is an appropriate regulatory regime in place. It is therefore my aim to launch a further consultation, looking at an additional tier of licence, with suitable additional requirements for those very largest lotteries It is also important that society lotteries demonstrate the highest levels of transparency. I am therefore pleased that the Gambling Commission is also planning to consult on measures to tighten the existing licensing framework for all large society lotteries, looking in particular at the information provided to players on how the proceeds of society lotteries are used and the good causes which benefit. We will also be looking to consider further how best to increase transparency in relation to executive pay and will seek further advice from the Gambling Commission. I will look to legislate, if necessary, if these measures do not go far enough Turning to small society lotteries, there was less support for changing the limits. Having considered the evidence carefully, I do not plan to increase these limits at this time I have previously committed to laying Camelot’s response to the society lotteries consultation in the Library and will also lay the other key responses that my department received Today, I am also announcing a 12-week consultation on the minimum age for playing National Lottery games. The current licence period has seen a range of technological developments which have changed how we play the National Lottery, and changes in people’s gambling behaviours. Therefore, as we fully consider what the fourth licence might look like, I believe it is right to consider whether it remains appropriate to sell all National Lottery games to those under 18 as part of future-proofing it for the duration of the next licence Eighteen is widely recognised as the age at which one becomes an adult, gaining full citizenship rights and responsibilities. At present, all lotteries can be played from 16, one of the few exceptions to the age limit of 18 for gambling products. In addition to the option to raise the minimum age to 18 for all National Lottery games and retain the current limit of 16, I am seeking views on a differentiated approach that would increase the minimum age for instant-win games only. This includes scratchcards and online instant-win games My initial view, based on the evidence reviewed so far, is that such a split could be the best approach. This takes into account that the risks of harm associated with playing the National Lottery are the lowest of any form of gambling, but we know that the risk of harm is slightly higher for instant-win games than for draw-based games such as lotto. Given that the National Lottery matters so much to so many people, I am keen to see further evidence in this area and to hear what others think, including hearing from operators, distributors and retailers about any potential impacts and benefits of any change This year the National Lottery celebrates its 25th birthday and Mystic Meg herself could not have predicted how successful it has been in that time, raising over £40 billion to support our local communities, protect heritage, enhance the arts and transform funding across sport. The National Lottery has been at the very heart of creating, protecting and driving much of what we love. Each week it raises around £30 million for good causes. Since 1992, it has funded over 4,000 world-class UK Paralympians and Olympians. Each year it invests around £325 million in protecting some of our most prized national heritage, and it has funded the development of our artistic talent and access to art. It has ensured access to sporting opportunities for people in all communities and, alongside all this, it supports over 10,000 charitable causes each year with over £500 million of funding. I thank National Lottery players, the 12 distributors, the Gambling Commission and my department for making this possible Importantly, the announcements that I have made today both give clarity to those interested in running our National Lottery when the current licence expires in four years’ time, and provide society lotteries with the greater capacity to continue and increase their work across many colleagues’ constituencies. I look forward to seeing the real benefits that these changes will have for the charities and good causes supported by our lotteries across the UK. I commend this Statement to the House”.
ParlaMint-GB_2019-07-16-lords.u110	My Lords, before I begin, I would like to mention my noble friend Lord Judd. I am sure the whole House will join me in wishing him all the best for a speedy recovery.
ParlaMint-GB_2019-07-16-lords.u111	Hear, hear.
ParlaMint-GB_2019-07-16-lords.u112	I thank the Minister for repeating the Statement made in the other place. On this side, we welcome the Statement but somewhat regret that the Government have taken seven years to make up their mind about to deal with the society lottery sector. Although society lotteries were in existence at the time that the National Lottery was established, I do not believe anyone expected then that they would continue to thrive without having some effect on the National Lottery The Statement makes mention of the extraordinary sums that have been made available to good causes through lotteries—something we should all celebrate. This country embraced both the National Lottery and the society lotteries. It is right that the Government review regulations from time to time to make sure, as the Minister said, that they achieve a balance between enabling the sustainable growth of society lotteries and protecting the unique position of our UK-wide National Lottery I have three questions for the Minister. First, the Statement made it clear that there is concern about the proportion of funding going to good causes, the level of executive pay and other transparency issues. It suggested that the Gambling Commission may need to look closely at this, to the point where legislation may be required. Does this mean that the Government are concerned about the efficacy of the present regulations, does it apply to all society lotteries, and can a bit more be said about the timescale for this process? I am concerned that, if something is going wrong, we should act relatively quickly Secondly, can the Minister say a bit more about the timescale for the regulations bringing in the new annual sales limits and prize funds? When there was a change to the lottery limits in 2009, the implementation was immediate, but we are hearing that these changes might not happen until 2020. It is not clear what evidence is being sought on the ambition to move to £100 million per annum. Can he say more about that and about what sorts of timescales will be involved Thirdly and finally, on the age limit for National Lottery products, is there any need for consultation? Surely we all accept that to gamble you need to be 18; you cannot walk into a casino below that age. I do not think further consultation on this is necessary. There should be one rule: if you want to gamble, you need to be an adult and the minimum age for gambling products should be 18. It is as simple as that.
ParlaMint-GB_2019-07-16-lords.u113	My Lords, on these Benches we welcome the Statement and much of the direction of travel on this. It may not be the way that we would do it, but it is certainly not something on which we would want to make a huge stand. What I particularly like about the Statement is that it emphasises again and again the fact that we have a National Lottery that does certain things and has underpinned certain types of activity in our society which simply would not have happened without it John Major has said on several occasions how important he thinks it is; he brought it in because the dread hand of the Treasury would not otherwise have allowed us the types of sporting heritage, assistance for the arts, et cetera, that we have had. It was a realpolitik response to what was going on, and it should be preserved. I like the definition that these are two separate things: the National Lottery and the society lotteries When it comes to the details of, for instance, the age limitation, I am afraid much of my gut reaction is with the noble Lord, Lord Collins. I cannot see any real argument against raising the limit in relation to the instant scratchcard. There is that instant little buzz—although it is a long time since I have done it—that anyone who has bought one will recognise: “I just missed that; maybe I will have a second go”. That is not something we should be giving to a 16-year-old. If we keep the age limit at 16 for the National Lottery, the wait for a draw is sometimes several hours; by raising the age limit to 18, we would be removing that. I hope the change comes in The framework for the society lotteries could probably be described as “steady as they go”. Will the Minister give an assurance that things will be speeded up after the long wait we have had? Will there be greater clarification on when we can expect everything to come again, just to emphasise the development and the structure of what is going to happen in the future? I know he has mentioned it before, but a little more clarification would help. Will he also give a little more reassurance about the fact that we will make sure that the National Lottery and the society lotteries are kept apart, doing different things for different functions?
ParlaMint-GB_2019-07-16-lords.u114	I thank both noble Lords for their comments. Certainly, I completely agree from this side of the House with the noble Lord’s remarks about the noble Lord, Lord Judd. I hope he is back here soon The noble Lord, Lord Collins, asked three questions. As far as transparency is concerned, it is not that there is worry about the regulatory regime at the moment. Society lotteries have been regulated by the Gambling Commission for more than 50 years and we think they have been a success. There are not many larger society lotteries, but we need to keep an eye on them. If we increase their limits, we need to make sure that there is transparency. It is only right that we should review that and look at some of these problems. That does not imply that we are worried that there is a problem at the moment. The Gambling Commission will review the evidence on this The noble Lord also asked when these limits will be implemented. The plan is that there will be secondary legislation in the autumn, subject to parliamentary time—I always have to say that. The plan is to have the statutory instrument in the autumn, and then the implementation will take place when the Gambling Commission has to change the licence requirements in April, so we expect this to be in 2020. We want to get on with this, so we aim to do the legislative part when we come back in the autumn On the minimum age for the lottery, on the one hand, we are celebrating the fact that for 25 years the National Lottery has been a tremendous success—it has raised £40 billion for good causes; on the other hand, if we want to change it, or prepare for changes in the new licence competition, we need to get evidence on this. That is why we are asking for a consultation to change what has been a successful lottery. We recognise that there are different dangers associated with instant gratification games, such as scratchcards, and the lotto, which is the least harmful form of gambling, according to the evidence. It is reasonable to ask for consultation on that. Both noble Lords mentioned under-16s. The noble Lord, Lord Addington, was very clear and asked me to emphasise that we will keep the National Lottery and the society lotteries separate. We do not want to do anything to harm the National Lottery. Just over 90% of the money that goes to good causes is from the National Lottery, and just over £300 million, or 9.2%, is from society lotteries, so they are very different beasts. One reason we did not raise the limit to the level that some people wanted was because we wanted to make sure that the National Lottery, which is a monopoly lottery—that is the most efficient method for getting money to good causes—continued to be the mechanism that gives the large, life-changing payouts, and that society lotteries, which most people play to support good causes, continue in that vein.
ParlaMint-GB_2019-07-16-lords.u115	My Lords, I thank my noble friend for doing all he can to protect the exclusive position of the National Lottery. John Major’s legacy is in fact one of the most positive legacies of any Prime Minister in peacetime. He deserves the thanks of all parts of the House for that. But I enter one note of caution. Is my noble friend aware that the munificent grants from the National Lottery have recently begun to decline in the heritage sector? The assisted places of worship scheme has been abandoned, which does not mean that money is not being given to places of worship but there is no longer one exclusive earmarked pot. I am glad to see the noble Baroness, Lady Harris, with her interest in Ripon Cathedral—mine, of course, is in Lincoln—nodding vigorously. Will my noble friend keep his eye on this? Anything that significantly reduced the impact of the National Lottery in the field of heritage, sport and the arts would be a blow to all parts of the nation.
ParlaMint-GB_2019-07-16-lords.u116	I completely agree with my noble friend. Heritage causes, among others, are very important and have benefited hugely from the National Lottery, which gives about £1.6 billion a year to good causes. I cannot remember the exact figure for national heritage, but I think it is £300 million to £400 million of that. It is a reasonably significant amount. I certainly will keep an eye on it. The Minister, whose name I have forgotten—I did not forget her name, I forgot her title; I know what her name is—is keen to make sure we continue to provide as much as we can for good causes, which certainly include heritage. In many ways the structure we have prevents Governments directly getting into exactly what is provided for through the National Lottery, which is good, but I certainly take my noble friend’s point about heritage, which continues to be a very important part of what the National Lottery supports.
ParlaMint-GB_2019-07-16-lords.u117	My Lords, to take on the comments of the noble Lord, Lord Cormack, about cathedrals and places of worship, I declare my interest as high steward of Ripon Cathedral, where we have just lost an essential part of a planning development because we have no money from the National Lottery Heritage Fund, in spite of producing a very good plan. Will the Minister look at how the lottery heritage fund gives out money and the criteria it uses for these very special places of worship around the country?
ParlaMint-GB_2019-07-16-lords.u118	I am sorry to hear that the noble Baroness’s cathedral has not received what she hoped it would get. That is, of course, the problem with the lottery: it gives out an awful lot of money, but sometimes it also has to say no. I say only that it is worth trying again. I have heard of cases where requests have been denied but when they try again they are successful. It is not up to Ministers to take up special cases and treat them unlike others, but I encourage her to try again, because Ripon Cathedral is obviously a good cause. I hope she succeeds next time.
ParlaMint-GB_2019-07-16-lords.u119	My Lords, I hope your Lordships will allow me: unfortunately, I was detained and did not hear the Minister’s Statement. I welcome what he has said about the principle that, while the society lotteries are very worthy and excellent in their way, the Government still have a care to protect the National Lottery, for all the reasons he said I declare an interest as a member of the board of the National Lottery Heritage Fund. I will talk to the noble Baroness afterwards about how we have had to make decisions, but I emphasise the point made by the noble Lord, Lord Cormack. We have had an extremely hard few years planning our commitments in the face of declining incomes, and the competition has been extraordinarily tough. We still make every effort to fund places of worship. We are incredibly lucky in this country—we have so much heritage and so much ecclesiastical heritage—and we try our very best to be fair in all that we do. There are so many excellent and equal claims on our resources that we have to be scrupulous and transparent in our decisions. I hope the noble Baroness will forgive me if I leave discussing it for a later occasion.
ParlaMint-GB_2019-07-16-lords.u120	I am grateful to the noble Baroness for her question—or perhaps her statement—and for her efforts in the very difficult job that she does The consultation which preceded this found that views were very polarised. Supporters of the National Lottery were fearful that an increase in limits to society lotteries could affect it. We were very careful to strike a balance between the interests of the National Lottery—and all its good causes—and society lotteries, which are very important for individual charities, and have a place. By doing what we have done, we think we have struck the right balance. The Gambling Commission has confirmed that there is no evidence so far that society lotteries have affected the National Lottery. Indeed, over the years, both sectors have increased. The noble Baroness talked about National Lottery funds, and sales going down. That position has now stabilised, following the actions that the National Lottery has taken. It is about £1.6 billion on a stable basis every year.
ParlaMint-GB_2019-07-16-lords.u121	My Lords, in answer to the noble Lord, Lord Collins, the Minister said that consultation on raising the age from 16 to 18 had to take place to ensure that it did not damage the success of the lottery and the revenue that was coming in. Can I ask the Minister two questions? First, what percentage of revenue comes into the National Lottery from those aged 16 to 18? Secondly, what positive arguments can the Government put forward for young people aged 16 to 18 gambling on the National Lottery?
ParlaMint-GB_2019-07-16-lords.u122	I think I said that we need an evidence base to change legislation for the National Lottery, as it has been such a conspicuous success. The noble Lord implies that it is not the right thing to do. Technological changes to the way that people can play the lottery now are a concern, but in going out to consultation we are not presupposing the rights and wrongs. We are saying that if we are going to change what has been a very successful institution, we need evidence, and we want to ask people what they think about it.
ParlaMint-GB_2019-07-16-lords.u123	Talking of evidence, do we have any evidence about what strata of society, in terms of income, tend to buy most lottery tickets? Is it the less affluent or the more affluent, and is there any evidence as to how that is split?
ParlaMint-GB_2019-07-16-lords.u124	I should have said to the previous noble Lord that I do not have the figures for the percentage of lottery sales made to 16 to 18-year olds, but I will write to him. Speaking very generally, there is evidence that the less affluent sections of society spend disproportionately more on the National Lottery.
ParlaMint-GB_2019-07-16-lords.u125	That this House takes note of the Report from the International Relations Committee Rising nuclear risk, disarmament and the Nuclear Non-Proliferation Treaty (7th Report, HL Paper 338)
ParlaMint-GB_2019-07-16-lords.u126	My Lords, I am glad that we have been able to reach the time for this debate but, like others, I am obviously sorry about the circumstances. I join them in wishing a speedy recovery to my very good friend the noble Lord, Lord Judd This report is presented to your Lordships for debate against a background of a fast deteriorating world arms control environment and rising nuclear risk. Some have now suggested that the risk of nuclear weapons being used is at its highest since the Second World War. I thank my colleagues on the committee, the excellent committee staff who worked on this report and our superb specialist adviser Dr Heather Williams. She was an immense support as well There used to be a time when it was assumed that the international containment of nuclear weapons was in good hands, so that we could all confidently leave these matters to experts and diplomats, while getting on with more exciting and seemingly urgent matters such as Brexit, climate change or whatever Donald Trump is going to do next—but not any longer. The safe world, if one can call it that, of balanced nuclear deterrence where two sides are in mutual understanding about the catastrophic outcome of nuclear deployment has crumbled away, almost unnoticed by the world or by media busy on other issues. What seemed balanced has now become highly precarious; where there seemed progress, there is now stalemate. Some of the reasons for this are obvious and some much more obscure and complex: they lie in the deepest reaches of very advanced technology, with which Governments have barely caught up In this report, we have tried to throw light on some of the main influences changing the situation, including in particular the exponential growth of digital technological power. Meanwhile at the forefront, anyone who wishes to can see that at the international level rising tensions, ill will in place of goodwill and distrust in place of trust have grown, duly souring and paralysing the arms control dialogue. US-Russian contacts on these matters are now said to be less than they were even at the height of the Cold War; those two countries are still by far the biggest holders of nuclear warheads, by a factor of at least 10. The Intermediate-Range Nuclear Forces Treaty has been dropped by both sides, starting with outright Russian violation and, incidentally, ensuring that all Europe is now moving back into the missiles’ line of fire. The START I treaty is about to run out and there is no sign at all of renewal. Other treaties concerning fissile materials and the comprehensive test ban are stuck and still await entry into force. Both Russia and America are developing new missile vehicles and inflammatory rhetoric is flying around on all sides. The scene is complicated compared with the past, in that a third nuclear great-power force is now on the scene, namely China—officially and, to my mind, foolishly declared by America to be its enemy. Wisely, we do not see it that way ourselves Outside the big players, Iran is, predictably, ignoring the 2015 nuclear deal or Joint Comprehensive Plan of Action, as it is called, and speeding up uranium enrichment thanks to American rejection, while tensions now rise daily in the Arabian Gulf. We wait to see whether the European powers, including the UK, can rescue the Iran nuclear deal at this stage and whether the offered release of the Iranian oil tanker at Gibraltar will in any way ease the situation. Meanwhile Kim Jong-un carries on with his missile and nuclear programme, despite Mr Trump’s wooing efforts. Then there are the unofficial nuclear states, notably India and Pakistan, which carry on their bitter 70 year-old hostility However, the enormous technological impact on the nuclear scene is perhaps the newest and most unnerving danger. The committee was warned clearly about the vulnerabilities to nuclear command and control systems from cyberattacks. If cyberattacks can now knock out early warnings, simulate fake attacks or compromise delivery systems, the entire doctrine of nuclear deterrence is undermined. The Government’s response to our concerns on this was: “We will work with Allies to review the implications”, of “these new technologies”. Is that really enough? I am told that microchip processing speeds are now more than 240 million times—I repeat: 240 million—faster than they were in the Apollo 11 moon shot computer 50 years ago, which I think your Lordships will discuss later. We are now living in a completely different world from the one in which thinking on arms control was first developed At the core of the existing nuclear regime is the nuclear non-proliferation treaty, which is coming up to 50 years old and due for review next year. It has certainly done its work in containing the number of nuclear states, but it is not in good shape today. Some even fear that it is becoming obsolete. Trust is the key in keeping this treaty alive and effective: trust between the five nuclear powers it legitimises—the so-called P5—and trust between these five and all the non-nuclear signatories, in whose strong interest it is to stop further proliferation or, worse still, nuclear weapons getting to non-state and terrorist actors. The deal at the heart of the NPT is that the non-nuclear signatories will accept the disparity, provided that the five nuclear powers show a sustained path towards having fewer warheads, dismantling systems and having better verification methods to show that promises are being kept. Is this happening The non-nuclears think not, or not fast enough, and are getting impatient. As we report, many have banded together to agree to a straightforward ban or prohibition on all nuclear weapons—just like that. This so-called ban treaty has been endorsed by 122 countries but has not yet entered into force. It sounds splendid, of course, but the reasons why it will not work are equally obvious. Just wishing will not make it so. The tensions that keep nuclear weapons in place need to be wound down first; this can be done only step by patient step, and with the most advanced verification methods possible. The ban treaty will not help and may even hinder. On this latter point, our witnesses strongly disagreed with each other. The United Kingdom, along with the rest of the P5, definitely does not support a ban. We do not believe it is helpful In the meantime, we can do our best here in the UK by going for minimal critical deterrence, minimising warheads, keeping systems safe and, with the most modern controls, improving verification systems all the time and grinding away at the underlying antagonisms. This is broadly what the United Kingdom, for one, is doing. Our operational number of warheads is, I understand, now no more than 120 This step-by-step approach necessitates unending attempts at engagement in dialogue, including with Russia despite its other hostile and unhelpful attitudes and actions. This also means having a lot of patience rather than just passing hopeful treaties that get us nowhere. Nevertheless, the ban treaty’s supporters have a point, or so the committee heard in evidence. We believe that exchange and discussion between the P5 and the non-nuclear signatories to the NPT should be intense, continuous and understanding. Meanwhile, the dangers remain and grow. In this report we have urged the Government, as they currently chair the nuclear powers’ P5, to put all possible energies into making a success of the NPT and consolidating the trust essential to hold it together.
ParlaMint-GB_2019-07-16-lords.u127	If my noble friend will allow me, there is an important recommendation in view of the recent tension between India and Pakistan. The committee made a sensible recommendation to invite India and Pakistan to attend the next P5 meeting; they have been included in past discussions. I see that the Government’s response merely says: “Such an invitation would require the explicit agreement of all members of the P5” Does my noble friend know whether the Government will propose that to the other members?
ParlaMint-GB_2019-07-16-lords.u128	Like my noble friend, I am not enlightened by the Government’s reply. It would be a very good idea, but the P5 would have to do it. As the UK is its chair, it may have some additional influence in persuading that step to be taken. I very much hope so In conclusion, without the general determination between nations to co-operate closely, even with those who oppose and frustrate in other areas, the slide away from international rules towards international anarchy is certain, with nations putting their own narrow and short-term interests first, often driven by populist political appeal and force. From there, the step to nuclear deployment, accidental or intentional, unforeseen or sudden, at tactical or strategic level, is now perilously close. We can and must, at all costs, avoid and forestall. I beg to move.
