ParlaMint-GB_2019-10-30-lords.u1	To ask Her Majesty’s Government what is their policy on farm subsidies after 2020.
ParlaMint-GB_2019-10-30-lords.u74	Nobody can accuse the noble Lord of not being able to think on his feet. I would like to be able to support the amendment, but, at the moment, we would like to leave it so that I am able to talk. The issue is not whether the Bill has time to get through this House; it is whether it has time to get through the House of Commons. I am not in a position to agree that they—having, for example, elected a Speaker—will have time. If they do not have time, which was the position when I came into this Chamber—
ParlaMint-GB_2019-10-30-lords.u75	My Lords—
ParlaMint-GB_2019-10-30-lords.u76	I have not finished yet If the House of Commons has time and we are told that the situation has changed, of course I am open to discussions on that, but I cannot do it without confirmation from the House of Commons.
ParlaMint-GB_2019-10-30-lords.u77	My Lords—
ParlaMint-GB_2019-10-30-lords.u78	My Lords—
ParlaMint-GB_2019-10-30-lords.u79	My Lords, I quite understand the difficulties that the Government Chief Whip has in making commitments for the House of Commons, but we are not asking him today to make commitments for the other place; we are asking him to allow us to have time to do our job as the House of Lords. What then happens is in the decision-making capabilities of the other place. We should not be constrained by making other people’s decisions for them. I think that the feeling of the House on all sides is very strong. We all recognise that the Government Chief Whip cannot speak for the House of Commons; he can speak for this House, and this House wants the time to do this work.
ParlaMint-GB_2019-10-30-lords.u80	My Lords, I have just taken the initiative of calling the House of Commons to see what their situation is. I can only tell your Lordships what I have been informed, which is that a decision has not as yet been made, and that Monday and Tuesday are still a possibility. That may be helpful.
ParlaMint-GB_2019-10-30-lords.u81	My Lords, I have accepted that there is widespread feeling in the House on this. As I said, a lot depends on the House of Commons. It would be silly to spend a lot of time on this if we knew that it would not get through the House of Commons. If the noble Lord will withdraw his amendment, I will agree to talk to the usual channels and, if necessary, he could bring back his amendment tomorrow—or we may not even need an amendment. Is he happy to accept that?
ParlaMint-GB_2019-10-30-lords.u82	My Lords, I appreciate the dilemma and predicament that the Chief Whip is in; I am not having an argument with him. There is no argument across this House about the principle. I would hope that in pressing the amendment to a vote, as I intend to do, I would be helping him and the whole House provide leadership on this matter. The House of Commons needs to follow suit and support the victims concerned.
ParlaMint-GB_2019-10-30-lords.u83	I am grateful for the noble Lord’s suggested help. It is better if we follow the normal procedure, which is to agree these things between the usual channels. We have understood. I have agreed to talk to the usual channels tomorrow. I leave it up to him whether he will accept that and press his amendment or not.
ParlaMint-GB_2019-10-30-lords.u84	My Lords, I wish to press this to a Division.
ParlaMint-GB_2019-10-30-lords.u85	That, as proposed by the Committee of Selection, the following members be appointed to the Select Committee: Flight, L, Jones of Cheltenham, L, Haselhurst, L, Liddle, L, Porter of Spalding, L, Snape, L, Walker of Gestingthorpe, L. (Chair) That the quorum of the Committee be four; That the Committee have power to adjourn from place to place; That the evidence taken by the Committee be published, if the Committee so wishes; That the Report of the Committee be printed, regardless of any adjournment of the House; That the order of appointment of the Committee remain in force notwithstanding the prorogation of Parliament.
ParlaMint-GB_2019-10-30-lords.u86	That the Bill be now read a second time.
ParlaMint-GB_2019-10-30-lords.u87	My Lords, I am pleased to open the Second Reading debate. While this Government did not want an election, this Parliament has not been able to agree a way forward on the major political issue facing the country. The purpose of this Bill is to allow the public to have their say and to give the other place the mandate to resolve this deadlock Earlier this year, the other place voted three times on the withdrawal agreement negotiated by my right honourable friend Theresa May and, on each occasion, rejected it. Subsequent cross-party talks to seek a compromise also failed to agree a way forward. My right honourable friend the Prime Minister negotiated a new Brexit deal, which did win the support of a majority in the other place at Second Reading. However, MPs were unable to agree a timetable for the passage of the withdrawal Bill so, once again, this has meant that the other place has been unable to progress the required legislation I share the frustration of many around this House. We have sat and watched over the past few months while the House of Commons has repeatedly been unable to achieve consensus on a way forward. However, a December election has now been supported by the leadership of all major parties in the other place. This presents a chance to resolve the impasse that this country has endured for too long. The Government have tabled this short Bill to set 12 December as the date of the next general election. If it passes, this Parliament will dissolve 25 working days before the date of the poll. The Bill sets the date of the election in law and removes the discretion to set the polling day which otherwise exists under the early elections provisions in the Fixed-term Parliaments Act. The date of 12 December allows time for the Northern Ireland budget to pass before Dissolution, which is necessary so that the Northern Ireland Civil Service can access the funding it needs to deliver public services. The date also maintains the convention that general elections are held on a Thursday, which this country has followed since the early 1930s As noble Lords will be aware, only one amendment to the Bill was passed in the other place yesterday. The Government tabled an amendment to address the concern raised by the Scottish National Party, which was to ensure that the registration deadline for the election in Scotland was the same as that of the rest of the country. The effect of the amendment is to remove the St Andrew’s Day bank holiday from the calculation of time in relation to the deadline for registering to vote. It will instead be classed as a normal working day, but only for this election and only for limited purposes in relation to the electoral register. This will allow for a comprehensive UK-wide communications campaign by the Electoral Commission to advertise the deadline and ensure that all those in the UK who are eligible to register can do so within the same time period This Bill passed Third Reading in the other place by a majority of 418, and I think we can agree that the level of cross-party support for it there at this time was significant. Having an election will allow us all to put our case to the public, to give them the opportunity to decide how they want to move forward, and to ensure that the new Government have time to act before 31 January 2020.
ParlaMint-GB_2019-10-30-lords.u88	My Lords, if the Bill is passed and the election takes place on that date, what is the earliest date on which Parliament can be reopened?
ParlaMint-GB_2019-10-30-lords.u89	I may ask my noble friend to cover that point in his wind-up speech. I know that a number of conversations have been had, and I think that the Prime Minister has said something, but I do not want to put words in his mouth that are not accurate.
ParlaMint-GB_2019-10-30-lords.u90	He is here!
ParlaMint-GB_2019-10-30-lords.u91	Oh dear. This might be the last time you see me here anyway, after that. But we will respond to the noble Lord I hope that noble Lords will reflect, in their usual measured and considered way, on the manner in which this Bill was passed yesterday in the other place and replicate that in your Lordships’ House today. I beg to move.
ParlaMint-GB_2019-10-30-lords.u92	My Lords, when the Prime Minister was standing for election as leader of his party—and, therefore, Prime Minister—I asked an esteemed Conservative Minister and parliamentarian of some integrity whom he was voting for. I was surprised when he said Boris Johnson. I suspect he had his misgivings, but his reason was that he thought he was a winner. I countered that Boris Johnson would see Parliament as an inconvenience, and I regret that I am being proved right First, we had the unlawful Prorogation, when the Prime Minister attempted to shut down Parliament for five weeks. Then, last week, having gained parliamentary support for the Second Reading of his withdrawal Bill, he pulled the Bill only because MPs would not agree to an unreasonable programme Motion—not, as the noble Baroness said, to any kind of timetable; they would indeed have agreed to a timetable, just not that timetable. All that was being sought on that occasion was the normal and reasonable process of consideration and scrutiny. Then, having won the vote on his Government’s programme for the forthcoming year, he demanded a general election—thus again trying to avoid the normal and reasonable process of scrutiny of his legislation. Then, having failed to get a two-thirds majority for an election at a time of his choosing under the Fixed-term Parliaments Act, he was obviously relieved and delighted when the Liberal Democrats and the SNP threw him a lifeline and offered to support an election. The noble Lord, Lord Dobbs, joked during the Queen’s Speech debate that these days fact is certainly more unbelievable than fiction; he is right. This is a book that nobody would have dared write When the Fixed-term Parliaments Act was introduced by the coalition Government, we were told that it would create strong and stable government, even from a minority Government. The noble and learned Lord, Lord Wallace of Tankerness, who introduced the Bill for the Government, said that this would ensure that election dates would no longer be picked for a narrow, partisan, political advantage. We were given lots of high-minded, constitutional reasons why it was so important, yet our own Constitution Committee admitted to some scepticism, recognising that the Bill’s origins and content, “owe more to short-term considerations than to a mature assessment of enduring constitutional principles or sustained public demand”. Basically, the Conservative-led coalition Government sought to bind Parliament to give it a five-year term in power. Having succeeded in that, neither party now sees any further use for the legislation.
ParlaMint-GB_2019-10-30-lords.u93	I am grateful to the noble Baroness for giving way. What benefits did she think would accrue from a fixed-term Parliament, given that the Labour Party included a commitment to it in its 2010 election manifesto?
ParlaMint-GB_2019-10-30-lords.u94	I think the noble and learned Lord will find that, at the time, we proposed several amendments to the Bill that the noble and learned Lord rejected. Even in my wildest dreams, I did not suggest that it would be strong and stable government. I think the contradiction is that, at the time that the noble and learned Lord was taking the legislation through, he said that it would stop the politicisation of elections—nobody would call an election for political advantage. What do we think is happening at the moment?
ParlaMint-GB_2019-10-30-lords.u95	Will the noble Baroness give way?
ParlaMint-GB_2019-10-30-lords.u96	I will, because I think the noble Lord recognises the comment I made earlier in my speech.
ParlaMint-GB_2019-10-30-lords.u97	I need to confess that I was the Member that the noble Baroness referred to, and I was right about Boris Johnson—he is a winner, as she is about to discover. She is making a very devastating criticism of the Fixed-term Parliaments Act, so can we assume that in the Labour Party’s manifesto there will be a commitment to repeal it at the earliest opportunity?
ParlaMint-GB_2019-10-30-lords.u98	The noble Lord tempts me, and I have to say I would argue that case. Whether my party would fully accept everything I want in the manifesto is another matter, but I would certainly argue for it, because what is happening at the moment is that every time the Fixed-term Parliaments Act becomes inconvenient, the Government and their supporters could bring forward a Bill such as this in order to do away with it. Already, the Act has become nonsense During the Queen’s Speech debate, I joked that the first Bill in the Government’s programme would be a “Fixed-term Parliaments (Repeal) Bill”. I thought I was being clever—I have to say that my grandmother would have said I was being “too clever by half”. It was a joke, but I think it would have been a lot more honourable and honest to bring forward that kind of legislation. Perhaps the noble Lord and I could have a conversation afterwards, because if he wants to bring a Private Member’s Bill, I think it would find a fair amount of support in the House In that speech, I also joked about not having had a Queen’s Speech or Prorogation for more than two years, and then expecting two or even three in quick succession. I really was only joking, but some might now suspect I have a crystal ball in my office. The programme for government that we heard less than three weeks ago was, as we said at the time, a test run for the Conservative Party election manifesto rather than a serious programme for the coming year, but even we did not imagine that the election would be quite so blatantly soon. I have to say that the Tory Party’s enthusiasm for a general election every time it changes leader is proving to be rather expensive for the taxpayer. With a general election, a new Parliament and yet another Queen’s Speech all within a matter a months, perhaps the normally Conservative-supporting TaxPayers’ Alliance, with its diligent examination of public spending, will be sending an invoice to the Tory Party for the October event. If not, I might just be tempted to do so myself So much seems to have changed since 19 October. As we sat on a Saturday to consider the Government’s Brexit deal, I reflected that time and patience was running out for everybody: the public, the politicians and the EU. A situation without resolution was unacceptable to everybody. The bungling of Brexit has fractured our nation and divided friends, families and our politics. If MPs were unable to reach a conclusion on the slightly revamped but inferior deal, I conceded that the way forward would have to be to ask the public to consider the issue. The stalemate in Parliament has made me think again about a confirmatory referendum. A bit like in The Case-book of Sherlock Holmes, “when you have eliminated the impossible, whatever remains, however improbable, must be the truth” As I said then, if this was the best Brexit, one that a Brexit-supporting Prime Minister said was “a great deal”, then we should all have the confidence to ask the public if they agree. At the time, the noble Lord, Lord Newby, speaking for his party, agreed with me. He said—and I am sure that he will not mind me quoting him—that his party was, “absolutely sure that an early general election would deliver it many more seats. The same cannot be said for the Conservatives or Labour”— we will see about that— “yet we do not believe it is in the national interest to have one”.—[Official Report, 19/10/19; col. 289.] As my hero, Harold Wilson, would have said: “A week is a long time in politics” I said that my party will not stand in the way of this election: our doubts have been only about the timing, rather than the event itself, which we have been calling for and planning for for so long. I was sorry that our amendment in the other place for an earlier date was rejected. I wonder how tolerant a politics-weary electorate will be about interrupting their Christmas preparations to consider party manifestos. I hope that no party will be tempted to dress their leader in Santa costumes Let us be clear, first, that a general election is not just about Boris Johnson’s pledge to “do or die” or “Get Brexit done”. Those soundbites are about as meaningless as Theresa May’s “Brexit means Brexit”. A referendum would have been about the single issue of Brexit, but a general election is about so much more. It is about a vision for the direction of this country, and the Conservative Party will have to stand on its record. By contrast, we have an offer that will make a real difference for the people of this country in health, education, the environment, with a new generation of affordable homes and renters’ rights, free personal care for our loved ones who are most in need and a genuine transformative vision to support our economy and workers in creating the green future that we need. Inevitably, it will also be about the damage that a Johnson Brexit or a crash-out Brexit would do to our country Secondly, I make a plea for decency and integrity in campaigning. To hear a Conservative MP say that the country needs an election to “drain the swamp”, and other such inflammatory and disgraceful comments, is both sickening and dangerous. A general election based on the denigration of MPs from any party or all parties, who have been charged with the most difficult decisions and negotiations for a generation, would further undermine any public confidence in our politics. We expect our candidates and leaders to behave with the dignity that office demands, and we must pledge to do all we can to uphold that. If this election is truly to resolve the divisions largely caused by the bungling of Brexit, all parties must seek to heal as well as to win.
ParlaMint-GB_2019-10-30-lords.u99	My Lords, I have probably made more speeches than any other Peer arguing in favour of a referendum rather than a general election to reach a resolution on Brexit, so I am sure that many noble Lords find it rather perverse that I and my colleagues are supporting the Bill today. I last spoke in favour of a referendum, as opposed to a general election, as recently as 19 October, as the noble Baroness helpfully reminded the House. I did so in the belief that securing a referendum before the passage of the withdrawal Bill was possible. I was being assured by Members in the Commons from across the parties that that was so and that, by being patient, a pro-referendum majority would emerge However, to secure such a Commons majority, at least two out of three things would have to happen and, by the end of last week, it was crystal clear that none of them would. First, the DUP could have supported a referendum. It made it clear that it did not. All experience shows that when the DUP has adopted a firm position, it does not easily shift from it. Secondly, the bulk of the 21 Conservative rebels, who had at that stage had had the whip withdrawn, could have supported a referendum. Instead, with barely a handful of exceptions, they swung firmly behind the Bill. Many of them have now had their reward by getting the whip back. Thirdly, Labour could have united behind a referendum. It did not. From my conversations with Labour Back-Benchers, it became clear that people were so dug into their positions that they could not find a way to justify changing tack, even if they were minded to, which they were not By the weekend, it was clear to me that my long-held hopes and expectation that, at the last minute, there would be a majority in the Commons for a referendum, had been dashed. This view was shared by my colleagues in the Commons and by all serious commentators, and it was time to face that reality. If a referendum was off the table, only two courses of events were then possible. First, the Government could have secured an amended timetable Motion for the Bill and sought to get it through the Commons and the Lords in coming weeks. I believe that, had the Government pursued this course, they would have prevailed and a substantially unamended Bill would have passed. We would have been out of the EU by Christmas Secondly, we could indeed have an election that, imperfect as it might be, at least gives the people the chance to express a view on Brexit, as well who is best fitted to lead the country. To me and my colleagues in the Commons and your Lordships’ House, this is by far the better of these two evils. It is why we gave the Bill our support at Second Reading in the Commons yesterday. There are undoubtedly ways in which it might be improved, whether relating to the exact date of the election, the franchise or detailed election rules. There are also broader issues about the future of the Fixed-term Parliaments Act, to which I am sure Parliament will wish to return after the election. However, I believe it would be a mistake to seek to delay the Bill today. The Commons has given it overwhelming support as it stands. Now that a decision in principle to have the election has been made, we should simply get on with it. I suspect the rest of the country shares that view.
ParlaMint-GB_2019-10-30-lords.u100	Will my noble friend make clear that it would still be open to a Government, after the election, to hold a confirmatory referendum?
ParlaMint-GB_2019-10-30-lords.u101	It is indeed open to a Government to do that. In the unlikely event of there not being a majority Liberal Democrat Government, I heartily hope that that happens This will be the 10th general election in which I have been closely involved, since the formation of the SDP in 1981. In virtually every case, politicians argued at the start of the campaign that it was the most important election in decades. Of course, it was not and, in some cases, the election simply took the form of a rather fractious procession, but this election could be the most important in my political life At the end of each of the last nine elections and many more, the framework of party politics emerged fundamentally unscathed, but Brexit has been like a seismic shock to the system. This was most obviously seen in the European Parliament elections, where both Labour and Conservative did so badly. The conventional wisdom is that voters revert to type in a general election and, like a holiday fling, their infidelity in June will be forgotten under the harsh winds of December. But I am not so sure. The million people who marched 10 days ago in London, in opposition to Brexit, and the millions of others who could not make the journey, but shared their views, rightly see Brexit as the defining issue of the age and it will define their votes. Behind their determination to vote to stop Brexit lies a broader view of the kind of society they want: one that sees the positive value of working together to deal with the huge challenges facing humanity, be they climate change, migration and human trafficking or how to harness the potential of artificial intelligence; and one that embraces the future, rather than recoils from it. It is to those millions that the Liberal Democrats will direct our appeal over the coming six weeks, and it is a prospect that we relish.
ParlaMint-GB_2019-10-30-lords.u102	My Lords, at last this depressing saga is coming to an end—this very depressing failure of the parliamentary system to address a major political crisis “even the weariest river Winds somewhere safe to sea” I wish that I had written that myself, but I did not. It was written by a Victorian poet who presumably had no idea that there is a river that does not run somewhere safely to sea, and that is the Okavango. We have been in our Okavango time. Parliamentary processes have dried up in the middle of a political desert, so at last I can strongly support this Bill and we should get on with it However, I am going to add something else. We should get on with it unamended in any way, shape or form. But I want to express one reservation that goes back to something I go on and on about: let us be honest with ourselves and not be blind to the reality. We have once again tinkered with constitutional principles. There is a perfectly clear and unequivocal Act of Parliament that is extant and in force as I speak—the five-year Fixed Term Parliaments Act 2011. What we have done is to find a creative political device to get around it, but we are leaving it in force. The Act will remain in force whatever we may do with this Bill We have spent all the time we have spent because of the existence of the 2011 Act. There should have been a general election when Mrs May lost the major plank of her electoral process when she invited the House of Commons to agree her deal, and she had a humiliating failure. She was turned down flat by the House of Commons, so there should then have been a general election. That is how our constitution is supposed to work, instead of which, we and the other place have been sitting in paralysed impotence doing nothing except arguing about whether we should argue again. Using constitutional devices in this way can, as I have said to the House before, come back to bite us. I know that of course all noble Lords cheer for their sides and that I am lucky not to have a side. I will not even have a vote in the next election any more than will any other noble Lord. But who in this House can honestly say that at the end of this election, we will not end up with a minority Government? That is a very serious possibility If it is a possibility, that paralysed Parliament will be governed by the five-year Fixed-term Parliaments Act and we will have the same Parliament until December 2024. There will be a way around it because we will find another device or we will repeat the device we have used this time, provided the minority Government can get a few people on side to push a majority through the House so that, at some stage which is convenient, it may come to an end. That is not the right way to legislate because it is wrong in principle. We should address the five-year Fixed-term Parliaments Act by amending it, repealing it or by doing something to it which means that it will not be in force until 2024. For me, this is a very serious reservation. We have found a way to tinker with the constitution. I welcome that because this shambles has to come to an end, but I do not welcome the fact that we have had to achieve it in this way.
ParlaMint-GB_2019-10-30-lords.u103	My Lords, it is an honour to follow the noble and learned Lord, Lord Judge, but it is always slightly daunting as well. I believe that the House should expedite this business as simply and as quickly as it can. While I have much sympathy with giving the vote to 16 and 17 year-olds, that should be done with full due consideration and process at another time. Perhaps such a Bill could be introduced by the next Government. I also have sympathy with giving EU nationals the vote, but since that would be an example of the UK offering fuller and better rights than any current EU nation, it too would require proper scrutiny. Rushing it now would be inappropriate Whether a general election is the best way to take us out of our current impasse is certainly debatable. Whether doing so in December is good timing is, likewise, an interesting question. Will it tie us to another election in five years’ time? That question can surely be handled by the review of the Fixed-term Parliaments Act in 2020 or, in view of the comments already made, rather more quickly. However, it is the way that has been decided by the elected Members of the other place and I am sure that it is not our place to stand in the way of such a decision We all recognise that there is an impasse; a way forward has to be found. I hope and pray that, somehow, an election will break this impasse. If, however, the outcome were a House of Commons without a clear majority for a way forward, those newly elected MPs will have to consider very carefully how they handle such a situation differently from the history of these past months. They must not repeat it, if that is what occurs. We cannot afford a repeat of such a period I hope we will pass the Bill as it stands today. I trust that there will then be a campaign from all sides that is about seeking the best for the nation and is conducted with care, thoughtfulness, kindness, respect and generosity, and not with vitriol or false representation of the other. Then, once we have a new Government, let us all look to rebuilding trust, relationships and harmony beyond the general election As we pray at the outset of every day in this place the prayer displayed in the corridor on the other side of the Chamber, I hope that, “the result of all our counsels may be … the publick wealth, peace and tranquillity of the Realm, and the uniting and knitting together of the hearts of all persons and estates within the same, in true Christian Love and Charity one towards another”.
ParlaMint-GB_2019-10-30-lords.u104	My Lords, I think we should all say “Amen” to that, in our hearts as well as with our lips, as we do every day I strongly agree with those who have already said that the Bill, having been passed in another place by a huge majority, should go very quickly through this place with no attempt to amend it. We are the unelected House and the elected House has expressed itself emphatically in favour; we should go along with that Having said that, I agree most strongly with the noble and learned Lord, Lord Judge, in what he said about the Fixed-term Parliaments Act. We had quinquennial Parliaments before the Act came about, but we were able to shorten them in a number of circumstances, such as a defeat on the Queen’s Speech or the passing of a Motion of no confidence. We should go back to that condition. I hope that, whoever are in government after 12 December, they will make that an early priority and put it in the next Queen’s Speech. It would be serving Parliament to do so Like my noble friend the Leader of the House, I wish we were not here at the moment. I was one who supported the Theresa May deal from the word go, and I would have supported the Boris Johnson deal, even though, in some respects, I do not think it quite as good. I wish that, after the Second Reading vote and the majority of 30 last week, we could have allocated more time. We could have then gone to the country after Brexit had been done—some time towards the end of November, I suspect—and had an early spring election. Things would have been much smoother. On a party point, I say to colleagues on this side of the House that we would have also put our party in a much stronger position had we done so. But we have not, and we have this Bill There is one thing I really hope we will do, and it builds on the remarks made by the right reverend Prelate the Bishop of Durham. Our country has been torn apart; families and communities have been divided. We have to seek to come together and it would be no bad thing if the Conservative Party took a lead in this. Some of the servants of our party, who have collectively given decades of service, have had the Whip restored—they should all have had the Whip restored. I felt very sorry this morning when I learned that Amber Rudd, who announced that she would not seek re-election, had requested the Whip and had her request turned down. That is not acting in the spirit of generosity or magnanimity and I urge my noble and right honourable friends in the Government to think again. These are people who have given long and distinguished service. We owe them a great deal I fought my first election in 1964 in the neighbouring constituency to the Father of the House, Kenneth Clarke. He has rendered long, loyal, conspicuous service and that should be properly recognised. It is deeply unfortunate that it has not yet been so recognised. I very much hope that it will be I end with another plea to the Government. The last time that we had a general election, in 2017, we had the longest, most turgid manifesto in our party’s history. I think it was worse than the longest suicide note in history, which the party on the other side produced. Can we please all have, as a collective Christmas present, a short, emphatic manifesto, preferably on two sides of A4, but certainly not running to more than a couple of thousand words? That would also help the healing process. May it now begin.
ParlaMint-GB_2019-10-30-lords.u105	My Lords, rather like the noble Lord, Lord Cormack, I think that the most important issue in front of us is the restoration of trust between us and the electorate. I first declare an interest as chair of this House’s Democracy and Digital Technologies Committee. As such, with the date of the general election seemingly in place, it seems only right to ask the Minister how prepared he feels the country really is to hold a free and fair ballot. Surely this House will agree that nothing could be worse than a contested election result For a number of years, it has been clear that our election laws have failed to keep pace with technological change. As we are all aware as a result of the Cambridge Analytica scandal—and it was a scandal—messages can be placed online with no information about who paid for them, which candidate they support and why. It has become increasingly easy for campaigns to use microtargeted messages to fan the prejudices of individuals, safe in the knowledge that the wider electorate will not be aware of them The Government have promised that they will introduce proposals for imprints on all online political advertising, as is the case offline. The Government launched a consultation in July 2018, but have as yet failed to put forward any proposals. Earlier this year, they also committed to hold a consultation on measures to protect electoral integrity, including measures to increase transparency in political advertising. However, that also is yet to appear When the Democracy and Digital Technologies Committee questioned civil servants on when this consultation would take place, we were told that the decision was still sitting with Ministers. The sense of government inaction is incredibly worrying. The Electoral Commission put forward perfectly sensible recommendations for updating electoral law almost a year and a half ago, and the Government have yet to respond to them. The written submissions to our committee are all but unanimous in agreeing with the Electoral Commission’s suggestions that all political advertising should, first, come with an imprint, and secondly, be recorded in real time on publicly available databases so that the electorate can see the nature of claims being targeted at different audiences. There must be greater transparency. This failure to act risks undermining voters’ faith in democracy as a whole There is a real danger that, following the coming election, the losing side could plausibly claim the result to be illegitimate due to dark messaging having been used to subvert the democratic process. That in turn would undermine the legitimacy of whoever was elected—precisely the goal of every malign foreign actor wishing to influence the outcome of our elections The objective of dictators across the world is to spread the idea that democracy is a chaotic process that fails to lead to stable government. Government inaction in allowing this election to go ahead without the minimum recommendations of the Electoral Commission being in place can only help those foreign actors achieve their aims. There are enormous and unresolved questions over how digital technology should be regulated to ensure that, over time, it can support rather than undermine our form of representative democracy The immediate changes that need to be made are obvious, and have been for a good while. For too long the Government have failed to act, to a point at which there are entirely legitimate questions to be asked—and indeed answered. We cannot go into this election without the degree of transparency that the public deserve if we are to maintain trust in our democratic system. In “getting Brexit done”, we could all too easily inadvertently destroy long-term trust in British democracy itself.
ParlaMint-GB_2019-10-30-lords.u106	My Lords, I shall follow the points that the noble Lord, Lord Puttnam, has just made in a moment but, first, I want to deal with the specific timing of this election In the winter election of 1974, polling day was on 28 February. I paid my morning visit to the polling station for the scattered parish of Temple, in the wilds of Bodmin Moor, with snow and bitter winds developing. I asked the staff about turnout. They told me that 17 of the 18 on the electoral register had already voted. I asked whether I should collect the final voter. They said, “No, Mr Tyler. That would be difficult because he’s dead”. However, as he was still on the register, they had to stay there until 10 o’clock at night and could not go home, because that was how the law applied then The point I want to make is that even that very bad weather and the short amount of daylight produced an 83% turnout in that constituency, because the wise electors knew that it was going to be very close, and they were right. I had a majority of just nine votes, and the Liberals scored a post-war record of 19.8% of the GB share of the poll. The point is that it is not the weather or the time of year that is important; it is whether people feel that their votes will be important, valued and matter Indeed, the great reforming Liberal/Whig Government of Lord Grey were elected on 10 December 1832, so there is a good precedent Such is the present uncertainty and volatility of public opinion that there will clearly be very unpredictable local contests, and, as Professor Curtice has pointed out, there is a strong likelihood that no party will have a majority. It may be that our political system is at last catching up with public opinion. It is several decades since a majority of the electorate supported one political party, and they have long since departed from the bipolar, bilateral choice between the old parties. Therefore, every vote should count and should matter far more than in recent elections As my noble friend Lord Newby has already said, we would have preferred a people’s vote confirmatory referendum. Our MPs have urged this on no less than 17 occasions but they were thwarted by the vacillation and indecision of the Labour leadership Members of your Lordships’ House may recall that I convened a group comprised of colleagues from all parts of the House—cross-party and non-party—to supervise the drafting of legislation for a new referendum. We could have passed that legislation relatively quickly if we had used the very brief paving Bill that we drafted. That would have made it possible for the other, fuller Bill to correct the defects in the 2015-16 legislation without holding it up, and meanwhile the Electoral Commission could have undertaken the consultations that were required However, it was not to be. Both the then Conservative Ministers and the Labour leadership chose to ignore the growing clamour for the public to be given the final say, and the time wasted after January contributed to the collapse in support for their parties in May I and my Liberal Democrat colleagues would have preferred the public to complete this process, since they began it in 2016. We believe that it would have seemed more logical and more clear-cut, but we are realistic. As I have said before, there should have been a political will; then there surely could have been a parliamentary way. However, I accept the inevitability of this Bill and this election timetable As the noble Lord, Lord Puttnam, has just emphasised, Ministers have also said in recent months—to me and to others—that our electoral laws are not fit for purpose. The fallout from the Supreme Court judgment last year has not yet been properly addressed because the Electoral Commission’s excellent codes of practice have not been approved by Parliament. Similarly, the lack of effective regulation, reporting requirements and transparency of funding for online political messaging remains a potentially damaging omission. In our debate last Wednesday the noble Earl, Lord Howe, gave me specific assurances on this. Where are those assurances now Meanwhile, whatever the Prime Minister may now promise, this election is very unlikely to “get Brexit done”. With his deal there will still be many months, if not years, of complicated and significant negotiation. The public do not understand that; they have a nasty experience to look forward to. The only way to bring this to a halt is to stop Brexit— and that is what we Liberal Democrats will be inviting the public to vote for.
ParlaMint-GB_2019-10-30-lords.u107	My Lords, it is a pleasure to follow the noble Lord, Lord Tyler, who spoke with his usual energy—and colour; I say that while noting his tie. I will make only one substantive point, and that is about the speed of reappointment of all committees following the election. The European Union Committee is now scrutinising the withdrawal agreement, the political declaration and the EU (Withdrawal Agreement) Bill. Indeed, we have had two recent evidence sessions on those, and we are expecting to produce two outputs to inform the debate on the Bill, assuming that that will take place after the election The first output, the report on the withdrawal agreement and the political declaration, is an update on our report of December last year, which was 60 pages long—and it is, I think, full of interesting stuff that the House would want to have. The second output I expect to be a letter that I shall write to the Leader of the House tomorrow about aspects of the withdrawal Bill concerning scrutiny. Many other committees of the House are working hard on Brexit-related matters. I note that the Constitution Committee and the Delegated Powers and Regulatory Reform Committee are working particularly hard. All this work will pause on Dissolution. In 2010, after the election, it took seven weeks to reappoint the European Union Committee, and that was four weeks after the Queen’s Speech. In 2015 it took only five weeks to reappoint that committee. In 2017, admittedly, it took 19 days—but time is exceptionally short here, with the Christmas period and the necessity of including the processes for ratification in the European Parliament The issue of the speed of the reappointment of committees is common to all committees of this House. In the light of that, may I ask the Minister what comfort, speaking both as a Minister and as the Deputy Leader of the House, he can provide that there will be an expedited reappointment of all committees after the election, so that we can resume our work as soon as possible and continue apace?
