ParlaMint-GB_2019-04-30-commons.u1	1. What steps his Department has taken to promote youth entrepreneurship.
ParlaMint-GB_2019-04-30-commons.u168	Everybody wants to do their bit by recycling, but it is absolutely infuriating when we get to the supermarket and all the fruit and veg is wrapped in plastic. Then there is the exciting moment when we get home to the kitchen and see that there is a little sign, which looks like the packaging is recyclable, but then we read the words, “Not yet recyclable”. What on earth do they mean by that? Are we meant to keep it all until, suddenly, somebody announces that it is now recyclable? Are we meant to put it in the attic or store it in a cupboard? What are we meant to do? Surely, we should ban those words. The packaging is not recyclable and it should not be available.
ParlaMint-GB_2019-04-30-commons.u169	I entirely sympathise with the hon. Gentleman’s frustration on this point. I hope that he also noticed when it came to the London Marathon this weekend—congratulations to all hon. Members from all parts of the House who took part in that marathon—that the water was in bottles not made of plastic, but of compostable seaweed. As a Science Minister, I can say that a key issue is looking at what we can do to develop alternative forms of plastic, but we have to work with local authorities and supermarkets to make that happen.
ParlaMint-GB_2019-04-30-commons.u170	I know—from chairing the all-party parliamentary group for small and micro-business, and from talking with west Oxfordshire businesses—that one of the major challenges that small organisations face is finding sufficient people of the right skills to grow their businesses. What are Ministers doing to provide a national strategy to ensure that our young people have the skills they need for the future?
ParlaMint-GB_2019-04-30-commons.u171	I congratulate my hon. Friend on his work as chair of the all-party parliamentary group; he is extremely passionate about this subject and does a lot to champion small businesses in his constituency. We have outlined a £1.3 billion investment into UK talent and skills to attract the best. We are also keen to work with businesses—particularly small ones—to ensure that we are delivering on our apprenticeship targets. We have seen some fantastic results when young people have been brought into organisations and been given the training and workplace experience to grow and thrive. I very much hope to champion such schemes as we go forward.
ParlaMint-GB_2019-04-30-commons.u172	The other week, I was shocked to meet a constituent who had worked in care for nine months solidly without being given a single day off, while on a zero-hours contract. Such workers, who are vulnerable, need protection for their rights at work. Will the Secretary of State look at bringing in group claims for industrial tribunals and representative cases so that workers do not have to stick their head above the parapet?
ParlaMint-GB_2019-04-30-commons.u173	I was pleased to meet the hon. Lady yesterday to discuss this matter. I share her concerns about the case that she mentioned and take her suggestion very seriously. As I have committed to her, we will take this forward together.
ParlaMint-GB_2019-04-30-commons.u174	(Urgent Question): To ask the Secretary of State for the Home Department if he will make a statement on his review of the cases of overseas students falsely accused of cheating in Test of English for International Communication English language tests.
ParlaMint-GB_2019-04-30-commons.u175	Test centres operated on behalf of the Educational Testing Service were the subject of a BBC “Panorama” programme in February 2014 that aired footage of the systematic cheating in English language tests at a number of its UK test centres. Further investigation demonstrated just how widespread this was, and the scale is shown by the fact that 25 people involved in organising and facilitating language test fraud have received criminal convictions. They have been sentenced to a total of over 70 years’ imprisonment, and further criminal investigations are ongoing There was also a strong link to wider abuse of the student visa route. A National Audit Office report in 2012 made it clear that abuse of that route was rife and estimated that in 2009—its first year of operation—up to 50,000 people used the tier 4 student route to work, not study. Most students who were linked to this fraud were sponsored by private colleges, many of which the Home Office had significant concerns about before the BBC investigation. Indeed, 400 colleges that had sponsored students linked to the ETS had already had their licences revoked before 2014 Over the course of 2014, the ETS systematically analysed all tests taken in the UK dating back to 2011—more than 58,000 tests. Analysis of the test results identified 33,725 invalid results and 22,694 questionable results. Those with questionable results were given the chance to re-sit a test or attend an interview before any action was taken. People who used invalid ETS certificates to obtain immigration leave have had action taken against them The courts have consistently found that the evidence for invalid cases created a reasonable suspicion of fraud and was enough for the Home Office to act upon. It is then up to individuals to refute this, either through appeals or judicial reviews. Despite this, concerns have been expressed about whether innocent people could have been caught up in this. The Home Secretary has listened to the apprehensions of some Members, including the right hon. Member for East Ham (Stephen Timms), and has asked officials for further advice. The National Audit Office is also currently in the process of concluding an investigation into the handling of these issues, and this is expected to be published next month. Obviously, the Home Secretary has taken a close interest in the issue and will be reviewing the conclusions of the National Audit Office, and he will make a statement to the House once he has had time to consider the matter in full.
ParlaMint-GB_2019-04-30-commons.u176	I thank the Minister for her answer, and I am pleased to see the Home Secretary in his place. I congratulate him on achieving one year in his role today. On his first day in the post, I asked him to take a careful look at this issue, and he said that he would. On 1 April this year, I asked him for an update. He said: “We had a further meeting to make some final decisions just last week, and I will be in touch with him shortly.”—[Official Report, 1 April 2019; Vol. 657, c. 799.] But in the month since, nothing has been announced. Many students face desperate hardship and need urgently to know the decision, because their future depends on it As the Minister said, the Home Office cancelled the visas of those who ETS claimed, from its analysis, had definitely cheated. The claim by ETS that almost 97% of those who sat their test had cheated seems completely implausible, but we will let that pass. Colleges had to expel those who had their visas cancelled. By the end of 2016, there had been more than 35,870 refusal, curtailment and removal decisions in ETS cases and more than 4,600 removals and departures. One estimate is that at least 2,000 of those denied visas are still in the UK In-country appeals were not allowed, but some have got cases to court. A growing number have convinced the courts that they did not cheat. One showed that he never actually took a TOEIC test, and yet he had his visa cancelled because it was alleged that he had cheated in one. It has proved extraordinarily hard for students to obtain from ETS the recordings said to be of them taking the test. One computer expert told the Appeal Court that ETS’s evidence is worthless. The Appeal Court has criticised the Home Office’s evidence and said in 2017 that it was unlawful to force students to leave the country in order to appeal. Many of those affected speak excellent English so had no motive at all to pay someone else to take the test for them Thrown off their courses and denied any refund of their fees, the students cannot study or work. Some invested their families’ life savings to obtain a British degree. The savings have gone. They have no qualification and no income. They depend on kindly friends but say they could not endure the shame of going home with nothing, having apparently been convicted of cheating in the UK. Understandably, mental health problems are rife. Does the Minister agree that those who lost their visas on TOEIC grounds but remain in the UK should have the opportunity to sit a new test and, if they pass, obtain a visa in order to complete their studies and clear their names?
ParlaMint-GB_2019-04-30-commons.u177	I thank the right hon. Gentleman for his question. I will return at the outset to the comments I made about the National Audit Office report, which is expected to be published next month. The Home Office has been working closely with the NAO to provide information and evidence, and it is right that the Home Secretary has the opportunity to reflect on the report, consider its findings and come back to the House with a statement The right hon. Gentleman spoke about the court cases that have happened. Under the appeals framework, which is set by Parliament, and the Immigration Act 2014, there are no in-country appeals in the student route, through which these visas were issued, but the Home Office is taking a pragmatic approach. It is important to reflect that we are talking about fraud perpetrated back in 2014, and many people who have ongoing ETS litigation will potentially now have the right to bring a human rights claim. If they are refused under the human rights route, they will then generally have an in-country right of appeal There were an enormous number of cases where fraud was found, and matching showed that a number of individuals had taken repeat tests on behalf of thousands of people. There was a criminal trial at the start of this month, which saw a further five convictions. While I appreciate the strongly held beliefs of the right hon. Gentleman, it is important that we reflect that this was fraud on an industrial scale, and we should react responsibly.
ParlaMint-GB_2019-04-30-commons.u178	I declare an interest, as chair of the all-party parliamentary BBC group, because it was the BBC’s “Panorama” exposé that showed shocking examples of people reading out answers to those sitting the exams. As the Minister said, people have been convicted of fraud. While I have every sympathy with the individual cases, can the Minister ensure that we take very seriously the fact that our international standing as a centre for students will be harmed if we do not root out those who do wrong?
ParlaMint-GB_2019-04-30-commons.u179	My hon. Friend will be reassured to learn that 400 colleges that had sponsored students linked to ETS already had their licences revoked before the BBC “Panorama” programme. I am conscious that the student route was linked to widescale abuse, and my right hon. Friend the Prime Minister acted swiftly when she was Home Secretary to remove the licences of a number of bogus colleges. As I said, it is important that we work with the NAO, reflect on its findings and find a way to move forward and assist those who might have been wrongly affected.
ParlaMint-GB_2019-04-30-commons.u180	The Government’s treatment of innocent students has been unacceptable. Driven by the hostile environment and net migration target, about 34,000 students’ visas have been cancelled. Can the Minister tell us how many of those cases are ongoing? Are any of these students currently in immigration detention? What steps is she taking to identify and compensate students who were wrongfully removed The TOEIC visa scandal has been rumbling for years. The Government have lost case after case in the courts. My right hon. Friend the Member for East Ham (Stephen Timms) has been raising the issue in Parliament for over a year, and students have been protesting outside Parliament. The Home Secretary told Parliament a year ago that he would look carefully at the issue, but no concrete action has been taken. Does the Minister appreciate the urgency of this issue? Thousands of students are living in limbo, unable to work or study while they attempt to clear their names The Windrush scandal exposed a culture of disbelief in the Home Office, motivated by removal targets rather than careful consideration of cases. We were promised a culture change, yet the Home Office is again being investigated by the National Audit Office for its cruel and ineffective handling of immigration cases. Does the Minister accept that the years of suffering these students have endured is a result of the coalition Government’s decision to remove legal aid and appeal rights? We need a swift resolution to all outstanding TOEIC visa cases. The students have asked to be allowed to re-sit the English language tests, and that is a sensible suggestion. The UK’s reputation as a welcoming place for international students is suffering tremendously. International students are vital to our universities. They enhance the experience of UK students and further our soft power abroad, not to mention subsidising the fees of home students, but reports over the weekend suggested that EU students will be required to pay international fees, which the Minister could not confirm or deny yesterday. We now have the TOEIC visa scandal. What will be next?
ParlaMint-GB_2019-04-30-commons.u181	The hon. Gentleman has chosen to focus on a very small number of students who may have had incorrect results. What we know, and what the evidence shows, is that our response back in 2014 was driven by systematic fraud that was perpetrated in colleges and has seen significant criminal convictions and sentences of 70 years. We are working with the NAO and through the courts. As I said, the Home Office has taken a pragmatic approach to the judicial reviews and appeals coming through the courts, recognising that many of these individuals have been in the country for a significant period. Of course, the ability to speak English in 2019 does not necessarily mean that an individual did not cheat in 2014 or could speak English to the required level then I would like to comment more on what we are doing for international students. The UK has a proud track record of attracting an increasing number of students to this country. I am sure that the hon. Gentleman will welcome the commitment in the White Paper to continue to have no cap on the number of foreign students coming here and to make a more generous offer for post-study work arrangements for students who choose to come here. It is important that we support our world-class institutions and celebrate the fact that we have five British universities in the top 20 universities globally, and that we saw over the course of the past year a 10% increase in the number of tier 4 visas being applied for.
ParlaMint-GB_2019-04-30-commons.u182	I was pleased recently to go on a visit to China with the all-party China group, and we met many students there. The dream of many of those students was to come to the UK to go to university. It is therefore absolutely right that we tackle any fraud, and I am pleased by and thank the Minister for the way that she is dealing with this. We have to give clear signals that our world-leading education remains world-leading and that we have an open door for international students to come here to take advantage of that supreme education.
ParlaMint-GB_2019-04-30-commons.u183	My hon. Friend is absolutely right to point out the brilliance of UK universities. I would like to point to the increasing numbers of Chinese and Indian students at the university in my constituency, Southampton, which has done a brilliant job of attracting students from overseas, as indeed have many other institutions countrywide. We do ourselves a disservice if we turn a blind eye to abuse and fraud within the student route. My right hon. Friend the Prime Minister, when she was Home Secretary, took strong action in 2014 to close down bogus colleges, and she was absolutely right to do so.
ParlaMint-GB_2019-04-30-commons.u184	First, I give my sincere congratulations to the right hon. Member for East Ham (Stephen Timms) not only on securing this urgent question but on the manner in which he has relentlessly pursued this issue, which is finally getting the attention it has long deserved. For far, far too many people, this episode represents an absolute travesty of justice. When the Home Office discovered that ETS had completely failed to prevent widespread cheating—indeed, that some ETS staff were actively involved in facilitating it—it should have sacked the company and sought compensation from it. Instead, unbelievably, the Home Office asked ETS to mark its own dodgy homework and re-check the tests. How can that possibly be justified? The Minister referred to evidence, but in fact we are talking about the totally opaque say-so of ETS, on which basis the Home Office decided that thousands of students were guilty, and their lives were subsequently ruined. There is an abundance of evidence that a large number were totally innocent. They deserve an apology, and much more than that. Will she, at the very least, reverse the draconian repeal of in-country appeal rights that deprived many of justice? Will she agree to all that cross-party MPs have been demanding, including, as the right hon. Gentleman said, new tests and restored visas for those who pass, because that is the bare minimum that needs to be done to right this wrong?
ParlaMint-GB_2019-04-30-commons.u185	The hon. Gentleman will of course be aware of the expert report by Professor Peter French that concluded that false matches were likely to be very small—in the region of 1%—and more likely to give people the benefit of the doubt than to falsely flag people as having cheated. The courts have always said, even when finding against the Home Office on individual facts of a case, that the evidence was sufficient to make accusations of fraud. Of course he will recall from our exchanges during the passage through Committee of the Immigration Bill that this company was suspended from the immigration rules in July of that year and that the Home Office did take legal action against ETS in a case that was settled last year.
ParlaMint-GB_2019-04-30-commons.u186	The National Audit Office said that up to 50,000 apparent students came to the UK to work, not study, under the Labour Government back in 2009-10, so obviously action needed to be taken to stamp out abuse. I appreciate the Minister’s tone in being willing to listen to the current concerns. Can she assure me that the UK will continue to be open to genuine international students and that we will not put a cap on the numbers who can come here? [Interruption.]
ParlaMint-GB_2019-04-30-commons.u187	As my right hon. Friend the Home Secretary just said from a sedentary position, “More open”. Those words are included in the immigration White Paper that was published in December last year. We indicated that there would be no cap on international students and that we wished to make the post-study work regime more generous. However, it is important to reflect that this was about systematic fraud being perpetrated. We took action to stop it then. We must continue to be robust in making sure that we have high standards and requirements for English language testing—that is very important. I absolutely agree that we must celebrate the success of our universities and continue to work hard to attract international students.
ParlaMint-GB_2019-04-30-commons.u188	I welcome the NAO investigation into this issue. I sense from the Minister’s tone that, while she obviously cannot anticipate the NAO’s report, she is expecting it to raise questions about decision making in individual cases. In that light, may I ask whether she and the Home Office are now looking much more widely at some of the issues that have been persistently raised about the inaccuracy of Home Office decision making in very important immigration cases? What is being done to address some of the cultural problems that have been raised time and again about these decisions, which have such a huge impact on people’s lives and have to be got right?
ParlaMint-GB_2019-04-30-commons.u189	It would be wrong to prejudge the NAO report, but I would like to reassure the right hon. Lady that Home Office officials have worked closely with the NAO, providing it with information and evidence where requested. As she will know, we are conducting a number of reviews in the Home Office, including, following Windrush, the Wendy Williams lessons learned review, and the forward-looking Borders, Immigration and Citizenship Services review. Every day in the job as Immigration Minister, one sees individual cases of people who are impacted by our policies and our rules. It is important that we reflect very closely on that and make sure that we have a review of our BICS system that provides the human face of the Home Office that both the Home Secretary and I are very keen to ensure is seen.
ParlaMint-GB_2019-04-30-commons.u190	International students coming to this country are a vital source of our soft power because they are friendlily disposed to the United Kingdom after they have studied here and returned home. However, it is clearly important that those people can speak English before they arrive. What message is my right hon. Friend taking to the British Council and other institutions that work abroad to encourage young people to learn English before they come to this country so that they can satisfy the tests and fulfil their destiny?
ParlaMint-GB_2019-04-30-commons.u191	It is really important that this is a matter not simply for the Home Office but for the Foreign Office and for Government Departments across the whole piece. We want to encourage foreign students to come here to study at our world-class institutions because we know that when they return home after a period of study they take fond memories with them and have a relationship with the UK that lasts throughout the rest of their lives. It is therefore important that we continue to work to promote our great universities. As part of that, there are a number of campaigns, including the GREAT campaign, which does fantastic work promoting the benefits of study in the UK. It is important that that should be a joint piece of work with the Home Office, the Foreign Office and the Department for Business, Energy and Industrial Strategy to make sure that we continue to promote the UK as a brilliant place to study.
ParlaMint-GB_2019-04-30-commons.u192	I echo the very decent sentiments that have been expressed by Members in all parts of the House regarding our horror for the innocent students who are caught up in this trap. I have been here for two years and I am not an expert in home affairs, but there does seem to be a bit of a case history with the Home Office. We have had misfortunes and carelessness, and now we have this. Is now not the time for the Government to seriously consider taking responsibility for immigration, and all we are talking about today, and putting it into a separate Government Department where Ministers can concentrate solely on that?
ParlaMint-GB_2019-04-30-commons.u193	It is important to reflect that this was a fraud perpetrated in 2014. It is not new. The Government responded then to a systematic fraud, took action and we have seen criminal convictions as a result. However, the hon. Gentleman has made an interesting suggestion about the future of the immigration directorate within the Home Office. Unfortunately, the Home Secretary left moments before he made that point, but I am certain that it will not be lost on him.
ParlaMint-GB_2019-04-30-commons.u194	What happened to some members of the Windrush generation, through no fault of their own, was simply inexcusable, but at the root of these cases is a fraud that was conducted on a quite industrial scale. Is it not hugely insulting to members of the Windrush generation to try to draw a parallel between the two cases?
ParlaMint-GB_2019-04-30-commons.u195	I certainly would not draw a parallel. This was criminal behaviour and there have been significant sentences imposed on those who were perpetrating the fraud. Indeed, there are ongoing criminal investigations whereby we may yet see more convictions. It is important that we take stock of this and that we reflect on the NAO report when it is published and made available to us. As I have said, the Home Secretary will come to the House and make a full statement when we have the NAO findings. He continues, and indeed I continue, to review this situation and work out what is the best way forward.
ParlaMint-GB_2019-04-30-commons.u196	There is no doubt that we are concerned not about those who have committed crimes but about the innocent people who have been caught up in this. If the Government were so confident in ETS, they would not have stopped using ETS. In that context, what financial settlement was reached between the Home Office and ETS after its licence was revoked?
ParlaMint-GB_2019-04-30-commons.u197	As I mentioned earlier, the licence was revoked in July 2014, and the Home Office moved swiftly to revoke that licence. Action was taken against ETS but, because of the commercial sensitivities, I am afraid I cannot divulge details. However, I will ascertain from Home Office lawyers whether I can write to the hon. Lady and let her have that information.
ParlaMint-GB_2019-04-30-commons.u198	No one doubts that there was criminal behaviour and cheating, but it has been weeks since we were promised a decision by Ministers, months since we met the Home Secretary to outline concerns about people who had been wrongly implicated, and years during which these students have had their lives left in complete limbo, with them suffering mental ill health, financial hardship, family breakdown and a whole range of other detrimental consequences as a result of being accused of cheating—wrongly—by the British state. When will the Government finally get their act together? The longer this rolls on, and the longer people are caught up in expensive judicial action or lengthy, bureaucratic immigration appeals, the longer that is wasting their time, wasting their lives and wasting taxpayers’ money. Enough is enough.
ParlaMint-GB_2019-04-30-commons.u199	I gently remind the hon. Gentleman that those who were found to have a questionable result following the ETS investigations were given the opportunity to take a second test to establish their ability to speak English, so they could have taken that option. He was quite aggressive in his questioning, but I must reiterate that I think it is right, and the Home Secretary thinks it is right, to wait for the outcome of the NAO report, which we expect next month.
ParlaMint-GB_2019-04-30-commons.u200	Nobody is claiming that everybody is innocent. The Minister has quoted legal cases, and those who are guilty deserve everything that they get. However, the Home Office has also lost judgments in the courts. ETS evidence is quoted by the Minister, but that evidence has been challenged and undermined, and now we have a National Audit Office inquiry. Will the Minister confirm that she believes and accepts that there are some innocent students caught up in this mess?
ParlaMint-GB_2019-04-30-commons.u201	It is important to note that there have been a number of legal cases where students have challenged the decision through judicial review and subsequent immigration appeals. Some of those cases have been upheld by the courts, but not in all instances was that because those people were not thought to have cheated in the test; it was actually because they had been in the UK for such a long time that they had an established article 8 human rights claim to be here, and the Home Office is taking a pragmatic approach to those cases. However, I am very conscious that we have legislation that requires there to be no in-country right of appeal under the student route, and these people were here under the student route. It is right that we wait for the NAO findings, that we reflect on those and that we find a way forward.
ParlaMint-GB_2019-04-30-commons.u202	One of my constituents, who had been in the UK since 2005, was detained in Dungavel for 10 days because the Home Office claimed she had overstayed and had used deception in her TOEIC test. Neither of those things was true. The first tier tribunal found in her favour; the Home Office appealed, and the appeal was thrown out. It appealed to the upper tier tribunal, but the appeal was then withdrawn. My constituent has been fighting the Home Office for five years. Will the Minister apologise to her and let her and her three-year-old daughter get on with their lives?
ParlaMint-GB_2019-04-30-commons.u203	Unfortunately, the hon. Lady has not provided any information, and I cannot comment on an individual case on the Floor of the House, but if she cares to write to me about the case, I will look at it.
ParlaMint-GB_2019-04-30-commons.u204	I congratulate my right hon. Friend the Member for East Ham (Stephen Timms) on raising this issue and pursuing it so strongly. People’s lives have been put in limbo. Since 2014, my constituent Mr Muhammad Arsalan has not been able to work, study or get access to the NHS. That is not because he has been found guilty based on any evidence, but because he has been found guilty by association. If people have cheated, they should face the full force of the law. However, my constituent has not been able to appeal, because he is in country. Yes, he can now challenge on human rights grounds, but that takes time and money. Will the Minister therefore look at the suggestion from my right hon. Friend that, dependent on the outcome of the current investigation, she consider the idea of these people being allowed to sit another test to prove that they are competent in English?
ParlaMint-GB_2019-04-30-commons.u205	As I have said, we are going to wait for the findings of the NAO. However, it is important to confirm that the Home Office is looking at a range of options as to how we can find a way forward from this situation. The Home Secretary has been pleased to meet a number of Members on this subject. It is a recurring subject of parliamentary questions and Westminster Hall debates. We are looking at it closely, and I hope we will find a way forward when we have had a chance to reflect on the NAO findings.
ParlaMint-GB_2019-04-30-commons.u206	The Minister rightly talks about the importance of international students, but she will know that our market share fell from 12% in 2010 to 8% in 2016. We are falling behind competitor countries because of reputational damage, and that reputational damage has been added to by people being treated wrongly in this case. Will the Minister therefore tell the House what she will do to restore our reputation and to address some of the concerns about policy issues that have led international students to choose other countries over Britain?
ParlaMint-GB_2019-04-30-commons.u207	It is important to reflect that overall numbers are up—indeed, they are up 10% in higher education institutions in the last year alone. Of course we want to make sure that the UK can still provide a good and attractive offer to students. I commend to the hon. Gentleman the White Paper published in December, which sets out some of the ways we plan to make that possible.
ParlaMint-GB_2019-04-30-commons.u208	Yesterday, we had an urgent question about tuition fees for EU nationals post Brexit. Can the Minister confirm whether EU nationals will be required to sit the TOEIC test post Brexit?
ParlaMint-GB_2019-04-30-commons.u209	I thank the hon. Lady for that question. At the current time, there have not been any policy decisions that I am aware of with regard to the English language test. However, it is important—and we have said very clearly in our White Paper—that we will have a single, global system for immigration, where people from all countries will be treated equally.
ParlaMint-GB_2019-04-30-commons.u210	I am grateful to the right hon. Member for East Ham (Stephen Timms) for securing this question, and I welcome the NAO’s investigation into this issue. I have no doubt that there was systematic cheating, but I seriously doubt the scale—the ETS figures show that only 3.5% of the people who sat the test did not cheat, which seems incredible. What assessment has been made of the number of people whose visas were revoked who are still in the UK, and what would the cost be of allowing them to sit a new English test?
ParlaMint-GB_2019-04-30-commons.u211	I made the point earlier that evidence of ability to speak English now does not provide evidence of ability to speak English back in 2014. What the courts have consistently found is that the evidence we had in 2014 was sufficient to make accusations of fraud. This was wide scale, and we saw enormous numbers of proxy tests being taken on behalf of individuals for a wide variety of reasons. The Government acted swiftly to clamp down on bogus colleges and to revoke the licence of ETS. However, it is important that we reflect on the situation of those who remain in this country and, as I have said, the Home Office has taken a pragmatic approach when looking at the article 8 claims of individuals who have been caught up in the TOEIC issue.
ParlaMint-GB_2019-04-30-commons.u212	I would like to update the House on yesterday's social media summit and the progress we have made on tackling online harms to health. We called this summit to bring together the principal social media companies, including Facebook, Instagram, Twitter, Pinterest, Google and others, as well as the Samaritans and the eating disorder charity Beat. It was the second such meeting I have held, along with the Education Secretary and the Minister for suicide prevention, on how we can protect people—particularly children—from online content that promotes eating disorders and self-harm and suicide, as well as on how we address the growing problem of anti-vaccination misinformation Social media companies have a duty of care to people on their sites. Just because they are global, it does not mean that they can be irresponsible. We have been resolute that we will act to keep the internet safe, especially for children, and I am grateful to the companies for their engagement We have all seen and heard about tragic cases of vulnerable children turning to self-harm and even taking their own lives after accessing graphic images online that promote and even encourage suicide and self-harm. In the same way, we know that online content on eating disorders can be extremely harmful to vulnerable children and young adults. I have met the parents of children, brought up in loving homes, who had no idea of the dangers that their child was being exposed to on their smart phone or tablet while they were supposed to be safe at home. We all know of parents whose children have been affected, and for all of us this is very close to home We must do everything we can to keep our children safe online, so I am pleased to inform the House that, as a result of yesterday’s summit, the leading global social media companies have agreed to work with experts from the Samaritans to speed up the identification and removal of suicide and self-harm content, and to create greater protections online. They will not only financially support the Samaritans to do the work; crucially, suicide-prevention experts from the Samaritans will determine what content is harmful and dangerous, and the social media platforms committed to either removing it or preventing others from seeing it, and to helping vulnerable people get the positive support they need The mainstream media already have well-established codes of practice and training for removing material that promotes suicide and self-harm. In my experience, the British media act with great responsibility on the matter, and it is time that social media companies did the same. This partnership marks, for the first time globally, a collective commitment to act, to build knowledge through research and insights, and to implement real changes that ultimately will save lives The social media companies also gave us an update on the actions they have already taken. Following the first summit in February, Instagram now has a policy globally of removing all graphic self-harm imagery, and other sites have also taken action, but there is much more to do and more content to remove. Importantly, the commitments that the companies made at yesterday’s summit are what the Samaritans asked for, and they are a positive step forward. The progress that we have made so far shows that we can effect positive change, but I know that the House feels strongly that just because these companies are global does not mean that we as a House cannot determine society’s rules and expectations. On this we are prepared to act too My right hon. Friend the Home Secretary and my right hon. and learned Friend the Secretary of State for Digital, Culture, Media and Sport recently published the Online Harms White Paper, which sets out the proposed regulatory framework for addressing online harms. It sets out a new statutory duty of care to require companies to take more responsibility for the safety of their users and tackle harm caused by content or activity on their services. Compliance with this duty of care will be overseen and enforced by an independent regulator, which will be responsible for producing codes of practice that will explain what companies need to do to fulfil their duty, and the robust action they need to take to remove illegal or harmful content. The White Paper also proposes the sharing of information, research and best practice to improve the understanding of harmful content across the industry The summit also allowed us to discuss how we can work together to tackle another online danger: the spread of anti-vaccination misinformation. Since Edward Jenner’s discovery, vaccination has saved hundreds of millions of lives around the world. Few innovations have reduced human misery so much. After clean water, vaccination has prevented more deaths and disease than anything else in human history. The science is settled: vaccination saved lives. It protects not only our children but other vulnerable people who cannot do anything about it themselves. Failure to vaccinate puts their lives at risk. The rise of social media now makes it easier to spread lies about vaccination, so there is a special responsibility on social media companies to act Coverage for the measles, mumps and rubella vaccine in England decreased for the fourth year in a row last year, to 91%. There was a steep rise in confirmed measles cases last year, from 259 to 966. We forget that measles is a horrible disease. We have one of the most comprehensive vaccination programmes in Europe. The well-documented problems in America and on the continent are worse than here, but we are determined to get ahead of the problem, because failure to vaccinate has real and devastating consequences. Our action to promote vaccines is not limited to removing anti-vaccination misinformation online; we are promoting the objective facts about the importance of vaccination and increasing funding to primary care to improve access, and our prevention Green Paper will set out further actions Social media can be a great force for good and can help us promote positive messages, but it is the responsibility of us all to ensure that this new technology, with all its great potential and power, is moulded to the benefit of society. We will not duck this challenge. I commend this statement to the House.
ParlaMint-GB_2019-04-30-commons.u213	I am grateful to the Secretary of State for advance sight of his statement. These social media platforms must be made to take responsibility for the harm caused by the dangerous fake news they host, because they are helping to fuel a public health crisis. He talks about the actions that platforms such as Instagram have taken since February, but I have just searched on Instagram and found images and videos of graphic self-harm; there are 8 million posts with the hashtag #suicide—from a quick glance, many are distressing—226,000 posts with the hashtag #killmyself, and 249,000 posts with the hashtag #selfinjury. I found similar pro-anorexia posts and the normalisation of eating disorders. I am sorry to have to share those examples with the House, but I think that we have to understand the scale of the challenge we face. As the father of two beautiful daughters, aged seven and five, I would be devastated if they saw such posts as they grow up Dangerous content should be blocked and taken down. I look forward to the Samaritans’ recommendations, so can the Secretary of State update us on the timescale? He talked about the Online Harms White Paper, but we need action immediately, so can he tell us when the proposed legislation will come before the House? When will the new regulator and duty of care be enforced? Can he guarantee that there will be criminal sentences for executives for serious breaches? In what circumstances would the maximum fine of 4% of global turnover be applied? If, God forbid, something similar to what happened to Molly Russell—I am sure that the whole House will want to praise her father for his brave campaigning—should happen to another child, what action would be taken against the social media companies I have also been able to find dangerous anti-vaccination propaganda on platforms such as Facebook, at a time when measles outbreaks are on the increase across Europe and the United States and in parts of the United Kingdom. Unvaccinated children are being turned away from schools in parts of Italy and banned from public areas in parts of New York. I would hate to see that happen here. UNICEF has warned that more than half a million children have missed their measles vaccination, which means the UK now has the third-worst ranking of all high-income countries. As the Secretary of State said, take-up of the MMR vaccine has now declined for the fourth year in a row, making coverage for the vaccine the lowest it has been since 2011-12 I know that the Secretary of State said on the radio last week that he was considering banning unvaccinated children from schools in England, but we urgently need a clear vaccination action plan from the Government. This cannot be about penalising families. Yes, we need intervention with social media platforms when the legislation is in place, but while we wait for the legislation will he consider instructing Public Health England to launch an online social media campaign, on the platforms that are currently sharing anti-vaccination propaganda, to challenge those dangerous myths Will the Secretary of State also accept that our falling vaccination rates are not just about online activity? Public health services have been cut by £800 million. Our health visitors have been cut by 8% in recent years, and our school nurses by 24%. General practice has faced a funding squeeze, and GP numbers are down by 1,000 since 2015. At the same time, 2018-19 marks the first year that we have seen a reversal in the percentage of children receiving vital health check-ups on time since the measurement of these figures began: 14.5% of children are not receiving a six to eight-week review on time; 24% are not receiving a 12-month review on time; and the number of mothers over 28 weeks pregnant receiving their first face-to-face antenatal contact with a health visitor has fallen for the second year in a row. Will he therefore commit today to reversing public health cuts and restoring health visitor numbers, and will he invest in general practice so that we can meet the 95% national vaccination coverage rate, as recommended by the World Health Organisation? When does he expect us to meet that 95% rate Children are 20% of our population but 100% of our future. We must always put their health and wellbeing first. Yes, there has been some progress, but we need further action from the Government today.
