ParlaMint-GB_2019-07-15-commons.u1	1. What steps he is taking to improve the Disclosure and Barring Service.
ParlaMint-GB_2019-07-15-commons.u178	Thank you, Mr Speaker, for granting this urgent question. I thank the Father of the House for securing it and for being so diligent on this issue. He has spoken with typical lucidity on this matter, and I agree with everything he has said, particularly about the unfortunate long grassing There is no need for me to repeat what the right hon. and learned Gentleman has already said concerning the constraints that were placed on a nevertheless damning report from the Intelligence and Security Committee. He rightly says that the only way to lift those constraints is to authorise a judge-led inquiry where all the witnesses can be called and all the evidence examined so that finally we can get to the full truth about the historical allegations of torture and rendition that took place under a Labour Government and about the operation of secret courts established by the current Government under the Justice and Security Act 2013 The inquiry would be for the benefit of all future Governments, whichever party is in charge, as it would enable us all to truly learn the lessons from what has happened and to put in place new procedures and any necessary changes to the consolidated guidance so that we can absolutely guarantee that these abuses will never happen again. The reason it is so urgent is that in fewer than 10 days we will have a new Government in charge led by a Prime Minister who has proven by his actions not just as Foreign Secretary but also on the debate stage last week that he cannot be trusted to stand up to Donald Trump—a President who, let us not forget, has publicly said that he believes that water boarding and other forms of torture are effective and that we have to “fight fire with fire”. If we have a new Prime Minister who is willing to throw our ambassadors under the bus, we must have new procedures in place to stop that Prime Minister allowing our Government once again to be in danger of becoming complicit in torture and rendition by the United States or any other country to whom he kowtows I am glad to hear that there will be a further statement, and hopefully that statement will include a decision by the Prime Minister, but will the Minister tell the Prime Minister to establish the inquiry that we were promised seven years ago in the next week and to provide at least one fitting legacy from her time in office and one necessary protection for the country from the recklessness of her successor?
ParlaMint-GB_2019-07-15-commons.u179	Obviously I will not pre-empt the content of the Government’s statement later this week, but I think it is clear from the way in which the right hon. Lady has posed her questions that it is acknowledged on both sides of the House that this is an extremely important as well as an extremely sensitive decision. What I will say to her is that the protections against involvement in the use of torture apply to this and any future Government in the United Kingdom, not least by virtue of Ministers’ obligations to obey the law. That includes our international legal obligations, including those set out both in the United Nations convention against torture and the European convention on human rights In recent years we have seen not only a much stronger and, for the first time, a statutory role for the Investigatory Powers Commissioner—who now reports annually on his work, including the application of detainee policy—but enhanced powers for the Intelligence and Security Committee, notably the power that enables it, in law, to require rather than just request information from the security and intelligence agencies.
ParlaMint-GB_2019-07-15-commons.u180	I hear what my right hon. Friend says about obeying international law, but it is clear from the Prime Minister’s apology to the Libyan victims alone that the British Government, at very best, came perilously close to breaching article 3 of the European convention on human rights, which forbids torture but also its facilitation or complicity in it. Moreover, without an independent judge-led inquiry, the Government may now be in breach of article 13, which, as well as encapsulating centuries of established common law, provides for the right to “an effective remedy” I do not know what is making the Government take so long to decide whether to pursue a judge-led inquiry. It may be pressure from the agencies, although I doubt that now, or it may be pressure from allies who were complicit or involved in this. Whatever it is, I hope that what I shall say next will help my right hon. Friend in his argument with them. If he does not announce an independent judge-led inquiry in his statement later this week, or next week, I will certainly seek advice on whether we have broken either of those articles, and, if need be, use the proper judicial mechanisms to ensure that the Government are put back within the bounds of the law.
ParlaMint-GB_2019-07-15-commons.u181	As I said earlier, it is the duty of every Minister, in line with the Ministerial Code, to comply with our international as well as our domestic legal obligations. In the case of officials, those obligations are statutory, because the civil service code is itself incorporated in statute. I hope that when my right hon. Friend sees the detail of what will be announced later this week, he will be able to feel reassured by it.
ParlaMint-GB_2019-07-15-commons.u182	I commend the Father of the House, the right hon. and learned Member for Rushcliffe (Mr Clarke), for bringing this matter to the Floor of the House, and for securing what seems to be something of a concession in relation to an announcement later this week. However, it is still very unclear why there has been such a lengthy delay since the undertaking given more than a year ago that the decision would be brought to the House “within 60 days”. Can the Minister elucidate Before the publication of the Intelligence and Security Committee’s report on these matters last year, the United States Government were given the chance to review the report and to request redactions. Will the Minister tell us what discussions have taken place with the Trump Administration about a potential inquiry, and will he reassure us that the Government’s delayed response is not a consequence of pressure from the United States?
ParlaMint-GB_2019-07-15-commons.u183	This has taken time because the Government have felt, I think rightly, that an issue of such importance and sensitivity requires very careful and meticulous consideration. The Government’s decisions are made on the basis of the United Kingdom’s national interest, and nothing else.
ParlaMint-GB_2019-07-15-commons.u184	Not withstanding my right hon. Friend’s mellifluous and reassuring tones, it is pretty reprehensible that the Father of the House has had to raise this matter yet again. Not only were he and I members of the Cabinet that promised the House this inquiry nearly 10 years ago, but it is day 378 since the 60-day promise made by the Government and reinforced by my right hon. Friend the Minister for the Cabinet Office in answer to a written question from me. The damage that this has done to the UK’s precious international reputation is not well understood. This is not about hauling individuals before the courts; it is about transparency, openness, leadership and lessons learned The right investigation would have been by the Intelligence and Security Committee; a senior group of Privy Counsellors would have been best placed to handle this, and it would have been cheaper, but we are asking for this inquiry, the Government having hobbled the ISC’s inquiry. We are thrown back on a judge-led inquiry, but it must be a judge who is not part of the securitocracy.
ParlaMint-GB_2019-07-15-commons.u185	Looking at international practice, I think we in this country can point to a system that requires high standards, and that is remarkably transparent, given the extremely secret nature of some of the personnel and operations that are relevant here. We now have a statutory role for the Investigatory Powers Commissioner, and we have his annual reports, including on detainee policy. We have enhanced powers for Parliament’s Intelligence and Security Committee, and the Prime Minister no longer has the power to appoint its Chair. The framework established by the Justice and Security Act 2013 and the Investigatory Powers Act 2016 measures up against the best standards in the world.
ParlaMint-GB_2019-07-15-commons.u186	The Intelligence and Security Committee, on which I sit, finished its investigation on rendition, but the Government refused it access to certain individuals, so it could not interview them on the matter. If there were to be a judge-led inquiry, would the Government allow all individuals to give evidence to the judge?
ParlaMint-GB_2019-07-15-commons.u187	I will not speculate on the content of the decision later this week, but I take on board the challenge that the right hon. Gentleman has posed.
ParlaMint-GB_2019-07-15-commons.u188	I note my right hon. Friend’s answer to the point made by my right hon. Friend the Member for Sutton Coldfield (Mr Mitchell) about high standards for the United Kingdom, but if the United Kingdom’s reputation for having the highest standards in this area is to be sustained, surely it is important, in this case and in others in which our security services come into contact with potential violations of fundamental aspects of international law, that there is proper accountability, driven by the Ministers who are meant to oversee it.
ParlaMint-GB_2019-07-15-commons.u189	I agree with the final point that my hon. Friend makes, but I ask him to take account of the fact that we are dealing with the work of security and intelligence agencies—work on which the safety, and indeed the lives, of our citizens often depends—and that information about how operations are carried out can be of great value to our adversaries.
ParlaMint-GB_2019-07-15-commons.u190	It must surely be the objective of all civilised countries to ensure that such events as rendition and the mistreatment of detainees never occur across the world. If we are to achieve that, should we not stand on the highest possible moral ground?
ParlaMint-GB_2019-07-15-commons.u191	We should certainly act on the highest possible moral grounds. I believe that we have a statutory framework in which we can take considerable pride, and that marks a significant improvement on the practices that the Intelligence and Security Committee previously criticised.
ParlaMint-GB_2019-07-15-commons.u192	As a member of the Committee, I think it is worth putting on record our extraordinary respect for the young men and women who serve in our intelligence services and who make impossible decisions, often at a moment’s notice. I think that an inquiry would show the extraordinary times in which they lived and how life has changed since many of the cases in question came before us. For example, there was no consolidated guidance in the earliest stages of the period we were looking at. I believe that the Government made a fundamental mistake in not allowing us to see the witnesses we wanted to see, because we would actually have been able to show something that assisted the Government—namely, that we live in a completely different regulatory regime. I am glad that my right hon. Friend the Minister made the point about the changing powers and the extension of the consolidated guidance. Will he tell us whether the examination of the consolidated guidance will be announced soon, or whether we will have to wait a long time for it?
ParlaMint-GB_2019-07-15-commons.u193	First, I thank my right hon. Friend for the just tribute that he paid to the men and women working in our security and intelligence agencies. I can give him what I hope is a reassuring answer to his question. Yes, we will be publishing Sir Adrian Fulford’s conclusions and recommendations in full later this week.
ParlaMint-GB_2019-07-15-commons.u194	Does the Minister accept that any UK involvement in extraordinary rendition is a stain on our reputation as a country that claims to uphold the rule of law and defend human rights? Does he agree that the best way to deal with this is for him to announce this week that there will be an independent judge-led inquiry, and also to announce the appointment of the new Investigatory Powers Commissioner?
ParlaMint-GB_2019-07-15-commons.u195	I cannot promise the right hon. Gentleman an answer on that final point this week, but I believe that Sir Adrian’s recommendations will give him considerable reassurance.
ParlaMint-GB_2019-07-15-commons.u196	May I seek an assurance from my right hon. Friend that the scope of any inquiry will include reports of extraordinary rendition through UK territories such as the British Indian Ocean Territory?
ParlaMint-GB_2019-07-15-commons.u197	As I have said in response to earlier questions, I cannot pre-empt what will be in the Government’s statement later this week. However, I take note of my hon. Friend’s question.
ParlaMint-GB_2019-07-15-commons.u198	When a Minister of the Crown stands at the Dispatch Box and says that something will be brought to the Chamber within 60 days, how should we understand such a commitment? Given the utter failure to deliver on this occasion, surely the House is entitled to a fuller explanation than the one the Minister has given so far, which is that this is terribly difficult?
ParlaMint-GB_2019-07-15-commons.u199	It is not just a matter of something being difficult; it is a matter of Ministers having to consider the best course of action when we are talking about the work of security and intelligence agencies, which, by definition, has to be done in secret and whose disclosure could do considerable harm to our national interests.
ParlaMint-GB_2019-07-15-commons.u200	Governments all over the world are challenging international law and the rules-based international order, and we have a President in the United States who clearly does not support those laws, so is it not time for our Government to accept that the promises they made at the Dispatch Box should be carried out? The right hon. and learned Member for Rushcliffe (Mr Clarke), the Father of the House, is one of the most experienced figures in these matters, and he has been persistent in trying to get the clarity we need on these issues. When the Government make what I hope will be an oral statement on this, should they not bring the matter to a conclusion rather than forcing us to come back to it again under a new Prime Minister?
ParlaMint-GB_2019-07-15-commons.u201	It will not be in my power to decide whether the House wishes to return to these issues, but I can promise the hon. Gentleman that this will be a definitive statement.
ParlaMint-GB_2019-07-15-commons.u202	I commend the Government on their work on human rights, but does the Minister share my concern that failure to protect human rights by complicity by mistreating detainees diminishes the UK’s capacity to be a champion for human rights abroad?
ParlaMint-GB_2019-07-15-commons.u203	It is important that we demonstrate through our actions, not just our words, our commitment to human rights. Moreover, when one has the privilege of speaking to officers in the intelligence agencies about these matters, they make it clear that they want to uphold human rights. The intelligence agencies have to operate within the statutory remit that Parliament has given them. Anything that they do that breaches their lawful purpose and objective is something that they should not do.
ParlaMint-GB_2019-07-15-commons.u204	Although the Gibson and ISC inquiries were curtailed or restricted, nevertheless they revealed hundreds of cases in which the UK was complicit or benefited from torture or mistreatment. Does that not mean that there is more of a case to set up such an inquiry than there was nine years ago, when the then Prime Minister said that there should be a judge-led inquiry “fully independent of Parliament, party and Government”—[Official Report, 6 July 2010; Vol. 513, c. 181] The only thing that has changed in those nine years is that it would be difficult now to reach the truth because of the effluxion of time. Will the Minister at least say that there will be an inquiry, even if we hear the details later this week?
ParlaMint-GB_2019-07-15-commons.u205	I disagree with the hon. Gentleman in his assertion that little has changed. There have been important statutory changes in the Justice and Security Act 2013 and the Investigatory Powers Act 2016. There have been important changes in the powers of the Intelligence and Security Committee, and in the statutory basis of the Investigatory Powers Commissioner, and in the practice that Ministers must be consulted whenever an intelligence officer involved in a planned operation believes that a detainee is at risk of mistreatment by a foreign state. That obligation applies even when consulting a Minister might be thought to lead to a risk of a terrorist act succeeding. The rules are much stricter than they once were.
ParlaMint-GB_2019-07-15-commons.u206	Given that Britain’s reputation is at stake in relation to human rights when we talk to the world about our values, an oral statement should be made in the House so that we can make a judgment on what sort of inquiry should take place and so that we can question the relevant Minister, even if that is the Prime Minister herself.
ParlaMint-GB_2019-07-15-commons.u207	I hear what the hon. Gentleman says. What we are discussing as, in fairness, the right hon. Member for Islington South and Finsbury (Emily Thornberry) acknowledged, are historic allegations, particularly concerning the period from 2001 to 2010, and the immediate aftermath of the appalling 9/11 terrorist attacks on the United States. The statutory and administrative basis on which our affairs are now organised give us much greater assurance in the House that decisions are made appropriately and that our agencies adhere to the highest possible standards of conduct.
ParlaMint-GB_2019-07-15-commons.u208	The Minister made it clear that he thought that the change in the legislative, statutory and administrative frameworks were sufficient to assuage concerns that the House might have, but how can the House assess that unless it is thoroughly tested in this inquiry? That is the only way truly to understand whether it is effective or not.
ParlaMint-GB_2019-07-15-commons.u209	The tests would be threefold. First, there will be an annual report from the Investigatory Powers Commissioner about how Government and the agencies use the powers with which they have been entrusted. Secondly, there are the reports from the Intelligence and Security Committee, and the confidence that the House should have that that Committee now has much greater autonomy and power than was once the case. Thirdly, Sir Adrian Fulford, the commissioner, was asked by the Government to review, reflect on and recommend changes to the consolidated guidance, and that is what we will put before the House later this week.
ParlaMint-GB_2019-07-15-commons.u210	On a point of order, Mr Speaker. I apologise for taking time on another point of order on the question of the Home Office’s failure to answer questions satisfactorily, but you will recall that it is just over a year since, in June 2018, I raised a point of order on the Home Office’s refusal to provide information about tier 2 general certificate of sponsorship visas in response to written questions that I had tabled. This information was subsequently released in response to a freedom of information request When, subsequent to the information being provided via that FOI, I tabled a further question asking for updated figures, I assumed the Home Office would provide them to me, given that the information was now in the public arena, but it refused again, hence my point of order last June. In response, Mr Speaker, you shared my concern about the danger of FOI requests becoming a more effective way for colleagues to obtain information than a parliamentary question, and you said: “There is a basic issue here of parliamentary self-respect”.—[Official Report, 18 June 2018; Vol. 643, c. 78.] That is clearly relevant to all Members Mr Speaker, you also advised me on how to pursue the matter, and I followed up with a letter to the Home Secretary, on 19 June 2018, highlighting your comments. Despite repeated phone calls and emails to the Home Office’s correspondence unit, I have not yet received a response to that letter—over 12 months later I finally tabled a written question asking when I could anticipate a response, and I was told that it was “being prepared”. No reason has been shared with me that would explain why an answer about the procedure for parliamentary questions has taken over a year, Mr Speaker, so I would be grateful if you could advise me on how to pursue this matter and how I might receive a response before the House breaks for the summer recess.
ParlaMint-GB_2019-07-15-commons.u211	I am grateful to the hon. Gentleman for his point of order and for his characteristic courtesy in giving me advance notice of his intention to raise it In summary, the matter is very unsatisfactory. The way in which the hon. Gentleman has been treated does not fall foul of any particular rule or Standing Order of the House. That said, it does not in any way become any less unsatisfactory. The essential issue at hand is, as I indicated in response to his previous point of order, a matter of parliamentary self-respect and, I say to occupants of the Treasury Bench, of courtesy on behalf of Ministers towards Members of the House seeking to discharge their duty of scrutiny It is therefore very disappointing that the hon. Gentleman has not achieved satisfaction in this matter, and what I want to say to him is as follows. First, he has been dogged and persistent in pursuit of this matter and, as he indicated, he has waited over a year for a Minister to answer his letter, which referred to my answer to his previous point of order I would hope that the delay in replying—I say this as much in hope as in expectation—is because Ministers are keen properly to address the underlying issue of providing a less helpful answer to elected Members of the House than to those who pursue freedom of information requests I hope that Home Office Ministers, having heard this point of order, will ensure that the hon. Gentleman receives the full ministerial reply for which he has waited so long, and that he does so in a matter of days—specifically, before the summer recess The final point I would make, on which I expect concurrence, not least from senior and experienced Members of the House who have been here for decades, is this: it was at one time a very established expectation that, if Members were experiencing difficulty in securing replies from Ministers to letters or, indeed, written questions, the Leader of the House would see it as her or his responsibility to chase them in order to secure expeditious replies. I am sorry if that is not currently the case, but it used to be the case—[Interruption.] I note that the right hon. Member for Birkenhead (Frank Field) is nodding from a sedentary position, and I assume this view would be shared by Members in other parts of the House What I would say to the hon. Member for Sheffield Central (Paul Blomfield) is that he should approach the current Leader of the House, the right hon. Member for Central Devon (Mel Stride), and try to extract a commitment from him that he will engage in the matter and pursue Ministers. That is not only right for the hon. Member for Sheffield Central and his constituents but is in the interest of the effective functioning of all Members of the House. This is a matter not of rules but of parliamentary courtesy, and we need to return to it.
ParlaMint-GB_2019-07-15-commons.u212	Further to that point of order, Mr Speaker. I would have spoken to you earlier about this if there had not been a muddle in our diaries. I had a similar example, where I had tabled questions on how many victims of modern slavery were held in detention centres. The Home Office replied that it did not know, but an outside organisation, after two Freedom of Information Act requests, gained that information, which the Home Office had denied having. Might I therefore also register through you that there is something much more rotten in the state of Denmark than just one simple question taking a whole year to answer?
ParlaMint-GB_2019-07-15-commons.u213	On the back of what the right hon. Gentleman has said and of the initial intervention of the hon. Member for Sheffield Central, I will raise these matters in correspondence with the Leader of the House. But on the principle both of repetition and of reinforcement by numbers, I would strongly advise Members to do so themselves.
ParlaMint-GB_2019-07-15-commons.u214	On a point of order, Mr Speaker. Late last week, the Parole Board announced that Vanessa George, the prolific serial child abuser from Plymouth, is being released from jail. She abused toddlers and babies at the now closed Little Ted’s nursery in Plymouth and then shared these images with a national network of paedophiles for their sexual pleasure, and was rightly jailed. I cannot express to you the pain and horror felt by the families involved at the release from prison of Britain’s most prolific female paedophile. As she has not revealed the full list of the children that she has abused, the horrors are probably much greater than those for which she was convicted. What advice can you give me as to how I can place on record the concerns of the people I represent, and have you had any indication from the Ministry of Justice that a Minister will be coming to the House to make a statement on this matter, so that we can question why she was released and why they feel she is no longer a threat to children?
ParlaMint-GB_2019-07-15-commons.u215	I have received no indication from any Minister of an intention to make a statement on the matter. However, the matter is very important and of intense concern to the hon. Gentleman, to his constituents and, I rather imagine, to a lot of people around the country. What is my advice? My advice is that he should persist, persist, persist, as I invariably advise. What persistence means in this case is looking for opportunities to air concerns in the Chamber. My suggestion to him is that he seek an Adjournment debate, either on the specifics of the case or on what he considers to be its wider implications. If he does seek such an Adjournment debate, such applications tending to come my way, he might find that he is successful Bill Presented Employment (Minimum Hours) Bill Presentation and First Reading (Standing Order No. 57) Heidi Allen, supported by Frank Field, Ruth George, Ruth Smeeth, Justin Madders, Mrs Emma Lewell-Buck, Rosie Duffield, Anna Turley, Martyn Day, Kerry McCarthy, Mrs Madeleine Moon and Jeremy Lefroy, presented a Bill to require employers to offer workers on zero hours contracts the option of guaranteed minimum hours; and for connected purposes Bill read the First time; to be read the Second time tomorrow, and to be printed (Bill 421). High Speed Rail (West Midlands - Crewe) Bill: Business of the House Ordered, That the following provisions shall apply to proceedings on the High Speed Rail (West Midlands - Crewe) Bill: Timetable (1) Proceedings on Consideration and proceedings up to Third Reading shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption at this day’s sitting (2) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption at this day’s sitting Timing of proceedings and Questions to be put (3) If, following proceedings on Consideration of the Bill, a Legislative Grand Committee withholds consent to the Bill or any Clause of or Schedule to the Bill or any amendment made to the Bill, the House shall proceed to Reconsideration of the Bill without any Question being put (4) If, following Reconsideration of the Bill— (a) a Legislative Grand Committee withholds consent to any Clause of or Schedule to the Bill or any amendment made to the Bill (but does not withhold consent to the whole Bill), (b) the Bill is amended to remove any provisions which are not agreed to by the House and the Legislative Grand Committee, and (c) a Minister of the Crown indicates their intention to move a minor or technical amendment to the Bill as so amended, the House shall proceed to consequential Consideration of the Bill without any Question being put. (5) For the purpose of bringing any proceedings to a conclusion in accordance with paragraph (1) or (2), the Speaker or Chairman shall forthwith put the following Questions (but no others) in the same order as they would fall to be put if this Order did not apply— (a) any Question already proposed from the Chair; (b) any Question necessary to bring to a decision a Question so proposed; (c) the Question on any amendment, new Clause or new Schedule selected by the Speaker or Chairman for separate decision; (d) the Question on any amendment moved or Motion made by a Minister of the Crown; (e) any other Question necessary for the disposal of the business to be concluded (6) On a Motion so made for a new Clause or a new Schedule, the Speaker or Chairman shall put only the Question that the Clause or Schedule be added to the Bill (7) If two or more Questions would fall to be put under paragraph (5)(d) on successive amendments moved or Motions made by a Minister of the Crown, the Speaker or Chairman shall instead put a single Question in relation to those amendments or Motions. (8) If two or more Questions would fall to be put under paragraph (5)(e) in relation to successive provisions of the Bill, the Speaker or Chairman shall instead put a single Question in relation to those provisions, except that the Question shall be put separately on any Clause of or Schedule to the Bill which a Minister of the Crown has signified an intention to leave out Miscellaneous (9) Standing Order No. 15(1) (Exempted business) shall apply so far as necessary for the purposes of this Order.—(Mr Jack.)
ParlaMint-GB_2019-07-15-commons.u216	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2019-07-15-commons.u217	With this it will be convenient to discuss the following: New clause 2—Compensation scheme for tenants— ‘(1) The Secretary of State must by regulations make provision for a scheme to compensate tenants adversely affected by the scheduled works (2) Regulations under this section may contain such supplementary, incidental, consequential or transitional provision as the Secretary of State considers necessary or expedient (3) Regulations under this section must be made by statutory instrument (4) A statutory instrument containing regulations under this section is subject to annulment in pursuance of a resolution of either House of Parliament.” New clause 4—Independent peer review— ‘(1) The Secretary of State must commission an independent peer review of the High Speed Rail (West Midlands to Crewe) project (2) The review must include consideration of the project’s— (a) environmental impact, (b) economic impact, (c) engineering, and (d) governance (3) In this section, “independent” means it is carried out by persons who are independent of— (a) Government, (b) HS2 Ltd, and (c) persons contracted or subcontracted to carry out the scheduled works (4) In this section, a “peer review” is a review conducted by experts of equivalent professional qualifications, expertise and standing to the persons responsible for each aspect of the project set out in subsection (2). (5) A report of the review in subsection (1) must be laid before the House of Commons within 12 months of this Act receiving Royal Assent.” New clause 5—Non-disclosure agreements— ‘(1) The nominated undertaker, or any subcontractors thereof, must not enter into any non-disclosure agreement with any party in connection with the scheduled works unless the assessor of non-disclosure agreements related to the scheduled works (“the assessor”) has certified that it is in the public interest (2) The Comptroller and Auditor General must appoint a person to be the assessor (3) The assessor must be— (a) independent, and (b) a current or former high court judge, higher judge or Queen’s Counsel (4) In this section, “independent” means independent of— (a) Government, (b) HS2 Ltd, and (c) persons contracted or subcontracted to carry out the scheduled works (5) The assessor must undertake his or her work with a presumption in favour of transparency and public accountability in matters connected to the scheduled works (6) The assessor must review any non-disclosure agreement between the nominated undertaker, or any subcontractors thereof, and any party in connection with the scheduled works and in place before this section comes into force to certify whether it is— (a) in the public interest, or (b) not in the public interest (7) The assessor may not determine that a non-disclosure agreement is in the public interest for the purposes of subsection (1) or (6) except for the reason that it is justified because of exceptional commercial confidentiality (8) If the assessor certifies under subsection (6) that a non-disclosure agreement is not in the public interest that non-disclosure agreement immediately ceases to have effect (9) In this section, a “non-disclosure agreement” means any duty of confidentiality or other restriction on disclosure (however imposed).”
ParlaMint-GB_2019-07-15-commons.u218	May I thank you, Mr Speaker, for selecting the new clauses that stand in my name and those of my hon. Friends? When Labour envisaged HS2, it was a very different infrastructure project from what we see today. We recognised that the generations, particularly across the north and the midlands, needed far better connectivity. We wanted to regenerate the northern towns and cities of our country, and we saw the potential in the midlands to spark a new industrial age and how that was not being met After decades of disproportionate investment in London and the south-east, it was a Labour Government who saw how improved connectivity was needed to attract vital inward investment and to revitalise economies in the north. That is what Labour is about: creating high-quality jobs and opportunities to inspire a generation. It is in our name, Labour. Of course, we all knew that rebuilding connectivity had to start in the north, particularly with the east-west connections, to truly join up what is now aspiring to be the northern powerhouse. However, without the power of investment in the transport system, that will be nothing more than a soundbite. That is why Labour supports phase 2a, which will be the shortest leg of the route, at just 37 miles in total, and provide that vital north-south link, north of Birmingham to Crewe. Our support is not unreserved, though, and we believe colleagues should join us in the Lobby today to vote for Labour’s new clauses.
ParlaMint-GB_2019-07-15-commons.u219	As the hon. Lady knows extremely well, I have opposed this Bill and its predecessor Act of Parliament, which inaugurated the first phase, absolutely 100% all the way down the line. Although I have a great deal of sympathy for the new clauses that the hon. Lady has tabled, I cannot quite understand how she can reconcile what she has just said with the origins of the proposals. New clause 4 says that an independent peer review ought to consider questions relating to the project’s environmental and economic impact and its engineering and governance and that that review must be carried out by persons who are independent of the Government, HS2 Ltd and all the rest. It sounds to me like the hon. Lady is not terribly keen on the proposals.
ParlaMint-GB_2019-07-15-commons.u220	The hon. Gentleman’s intervention seems slightly premature, so I ask him to hold his breath as I come to talk about the other new clauses. This is clearly a massive opportunity, not least for the hon. Gentleman’s constituents, to benefit from more high-quality jobs, which our country desperately needs. I am sure that his constituents would want him to go through the Lobby to achieve that aim.
ParlaMint-GB_2019-07-15-commons.u221	Surely, the answer is that, right from the scheme’s inception, there have been serious concerns about the impact on the environment—I do not have time to go through all that—so it is perfectly logical for that to be included among any amendments. However, one of my difficulties with the scheme is that the costs are escalating. Some of my constituents are affected by it but do not get any compensation. From another angle, cities such as Coventry do not get anything out of it because it bypasses Coventry.
ParlaMint-GB_2019-07-15-commons.u222	I remind my hon. Friend that the whole country will benefit, because this is a national infrastructure project. Indeed, many jobs will be created in the supply chain in his very constituency, which I am sure he will welcome. Of course, the environment is a central plank of why Labour supports the Bill. We want to see modal shift—people moving out of their cars and out of the skies and on to trains—and this project will provide such opportunity.
ParlaMint-GB_2019-07-15-commons.u223	I am grateful to the hon. Lady for her generosity in giving way. She quite rightly points out that this was a Labour initiative. Given the point she just made about trying to move people away from the skies and on to rail, does she recall that the original Arup proposal would have linked HS2 with HS1, so someone could have got on a train in Manchester and got off that same train in Paris? It was Lord Adonis who actually made changes to prevent that from happening and created an environmental catastrophe in counties such as Staffordshire.
ParlaMint-GB_2019-07-15-commons.u224	The hon. Gentleman will know that one concern about the HS2 project is the escalating cost, and that is why we have tabled some new clauses. To join HS1 to HS2 sounds like a logical proposal, but it would mean that costs would go up considerably. Perhaps that is a project for the future, but to get that long overdue connectivity in the north, it is vital that we press on and build a network for the future. We will then see serious modal shift, not only of passengers but of goods.
ParlaMint-GB_2019-07-15-commons.u225	Is the hon. Lady not also worried by the very long delay before there is any additional capacity north of Birmingham? Is it not a paradox that something that was designed to help the northern powerhouse will actually produce only a Birmingham-London additional railway for the foreseeable future?
ParlaMint-GB_2019-07-15-commons.u226	I thank the right hon. Gentleman for his intervention. As I have already said, we would focus on the north and on making sure that we get those trans-Pennine links in place. We see that as a priority over all rail infrastructure projects, because we understand the power of joining up Leeds, Manchester and Sheffield and the cities and towns beyond. We want to see that investment coming forward. Electrification will also ensure that we benefit from better journey times, reliability and connectivity, which are vital for building our railways into the future. However far into the future it will be until we see the realisation of new rail, it does not mean that we will neglect that ambition to build more capacity north to south, which is vital if we are to take lorries off our roads and give freight an opportunity to move on the west coast main line.
ParlaMint-GB_2019-07-15-commons.u227	rose—
ParlaMint-GB_2019-07-15-commons.u228	I will, if I may, finish my point Although we all get frustrated because we want projects delivered sooner rather than later, what is crucial to us is that, if we do not start now, we will push the completion date even further away. That is why we are keen to get on with it today.
ParlaMint-GB_2019-07-15-commons.u229	I thank my hon. Friend for giving way. I share her enthusiasm for this ambitious project. She talks about journey times. To achieve that modal shift, particularly between Scotland and London, we need to get rail journey times below three hours. Does she agree that that requires much more ambition in the future to ensure that we have a UK-wide network, which includes integrating Glasgow and Edinburgh into the high-speed network?
ParlaMint-GB_2019-07-15-commons.u230	I certainly do agree with those excellent points, because HS2 cannot stop at Crewe. We must build further north and right into the heart of Scotland, particularly into the major cities of Edinburgh and Glasgow, to ensure that we get the connectivity right in the future. We know the power of infrastructure to transform people’s lives. We want to see inward investment into those conurbations, which is why we believe that, at this point—this is where the Government have been far too silent—we need to ensure that we build that vision for Glasgow and Edinburgh and beyond as we move forward. As my hon. Friend is such an excellent champion for his city of Glasgow, I am sure that he will be making those points to the Government time and again until we see more action.
ParlaMint-GB_2019-07-15-commons.u231	rose—
ParlaMint-GB_2019-07-15-commons.u232	I wish to make a little more progress, and then I will be happy to take the hon. Gentleman’s intervention Let me continue talking through a bit of the history of this project. We know that, by 2011, HS2 was being mapped out at a cost of £37.5 billion. We have seen that cost rise to £55.7 billion today. The narrative around the project has also changed. Frustrations have been expressed by the public, and often echoed in this place, because they want to fully understand the benefits that this project will bring. I trust that the Minister will go back and review the communications on this, because clearly people up and down the country have been hearing about the costs involved but not about the benefits. We need far more clarity, particularly when we know that this will be such a powerful instrument in creating jobs. We also want to give hope and new opportunities to businesses in the supply chain up and down the country, and there is work to do on that We need to ensure that those people who are making a sacrifice for this project—whether it is their home or their business that they are having to relocate—get the answers that they need. Labour wants far better governance of the project so that the public get their answers in a timely way from HS2, so that they can make their plans in confidence as they move forward.
ParlaMint-GB_2019-07-15-commons.u233	Scepticism is shared by many of my constituents, especially given the track record of non-delivery for the north. If we genuinely want to power up the north, major infrastructure projects are essential, but we need that Crossrail for the north. I am sick and tired of hearing about Crossrail for the south, and it is great to see some of the southern colleagues on the Government Benches now seemingly speaking up for some constituents in the north as well as those in the south—if only they had done that in the past. So I want assurances that this will be transparent and that investment will go into the north.
