ParlaMint-GB_2019-06-10-commons.u1	1. What steps he is taking to divert young people away from violent crime.
ParlaMint-GB_2019-06-10-commons.u195	Lord Patten has said that the decision to exclude any extradition agreement between Hong Kong and mainland China in 1997 was not a loophole, but a deliberate decision that was made in order to protect the autonomy of Hong Kong and the firewall between it and China. Does the Minister agree that if countries speak with one voice in expressing concerns about this issue, there is likely to be more of an impact? What is the UK doing to join like-minded countries in expressing such concerns?
ParlaMint-GB_2019-06-10-commons.u196	I thank my hon. Friend, who takes a great interest in matters to do broadly with China but also specifically with Hong Kong, and I pay tribute to her for her detailed and steadfast work in that regard. Yes, she is right: we need to work together as an international community on this. It is perhaps fair to put it on record that there are already some extradition arrangements between some countries and Hong Kong, but obviously we are deeply concerned that this particular law provides a much more general overview, particularly as it engages the Chinese mainland. But I will, if I may, reiterate what my right hon. Friend the Foreign Secretary and his Canadian counterpart, Christina Freeland, said as recently as 30 May: “It is vital that extradition arrangements in Hong Kong are in line with ‘one country, two systems’ and fully respect Hong Kong’s high degree of autonomy.”
ParlaMint-GB_2019-06-10-commons.u197	Thank you for granting this urgent question, Mr Speaker. I also want to congratulate my hon. Friend the Member for Hornsey and Wood Green (Catherine West) on securing it. I share her profound concern about these extradition laws, as evidently do hundreds of thousands of Hong Kong citizens who took to the streets over the weekend. These laws constitute not just an erosion but a fundamental breach of the Sino-British declaration and the one country, two systems principle it enshrines. They threaten the judicial independence of Hong Kong The warning signs have been coming for several years now: we have seen an increasing crackdown on dissent and protest. Now we face the prospect of a direct line between Beijing and Hong Kong’s courts that could see Hong Kongers sent thousands of miles away to face trial in mainland China’s flawed criminal justice system The UK does not have an extradition treaty with China, so why have the Government done next to nothing? The joint declaration is a legally binding treaty registered with the United Nations, and the British Government are the joint guarantor with China of the rights of Hong Kong citizens. Moreover, there are 170,000 British national overseas passport holders, many of whom reside in Hong Kong The concessions offered by the Hong Kong Government in the last few hours have no legal force, so I have one question for the Minister: will he make every effort to persuade the Executive in Hong Kong to halt the progress of these highly dangerous extradition amendments before Wednesday’s crunch votes?
ParlaMint-GB_2019-06-10-commons.u198	I thank the hon. Lady for her comments, although I think some of them are a little unkind to officials, Ministers and also more particularly our excellent consul general, Andy Heyn, who has been out in Hong Kong, as we have recognised that this issue has been emerging for quite some time. As I mentioned in my earlier comments, it is also fair to say that we have consistently, certainly in my two years as a Minister, at every six-monthly report expressed ongoing concerns about the deterioration, as we have seen it, in political and civil rights It is probably fair to say that these proposals—the proposed extradition law—did not originate at China’s instigation, but there is no doubt that the Hong Kong Government are now under distinct pressure from Beijing. We believe that some opportunities to climb down have been missed, but even the huge public display of defiance yesterday—as I have said, up until the last few moments it was very peaceable—combined with concerted opposition from the international business and legal communities has not been able to turn the tide I say to the hon. Lady that of course we will do all we can. Andy Heyn is I believe in London this week, but his very able assistant Esther Blythe is back in Hong Kong, and we will do all we can to make further urgent representations to the Hong Kong Government This issue has highlighted that it is not the Chief Executive and not even the Legislative Council that can provide an effective check to external influence in Hong Kong; it is the presence and continuation of an independent judicial system. Obviously, again as the hon. Lady rightly alluded to, it now looks as though we are heading towards a potential pitting of the Hong Kong judicial system squarely against that of Beijing.
ParlaMint-GB_2019-06-10-commons.u199	I agree with the Minister: the United Kingdom has a serious and special obligation to defend civil liberties in Hong Kong. One of the leaders of the Hong Kong pro-democracy movement said in a note last week that these new extradition amendments and this Bill will, if passed, “have destructive effects on our civil liberties as well as on our economy.” Does the Minister agree with that assessment, and does he feel we are discharging our obligation to defend civil liberties in Hong Kong as fully as we can at the present time?
ParlaMint-GB_2019-06-10-commons.u200	I thank my right hon. Friend for his question and I broadly agree with what has been said. I hope that the work of democracy and diplomacy will ensure that we are able to do our best not only to push back but to advise and express our deep concerns. We have only to look at the recent six-monthly reports to recognise the increasing buzz of concern on our side and indeed from many in Hong Kong in relation to this matter. In particular, the extradition treaty has engaged many in the business community, many of whom have felt broadly positive over the past 22 years. One of the messages we put to our counterparts in Beijing is that a strong Hong Kong is required for their own plans, whether on the belt and road or other economic initiatives, to be fully successful. Hong Kong’s unique legal system provides an opportunity for substantial capital markets. The great success of Hong Kong therefore relies on its high degree of autonomy being maintained.
ParlaMint-GB_2019-06-10-commons.u201	I congratulate the hon. Member for Hornsey and Wood Green (Catherine West) on securing this urgent question and I thank you for granting it, Mr Speaker Anyone who saw last week’s remarkable documentary by Kate Adie to mark the 30th anniversary of the Tiananmen Square massacre will not need to be reminded what respect for human rights means to the Government of China. Although people will say that China has moved on since then, it has not moved on enough even to admit that Tiananmen Square happened, never mind to apologise to the relatives of all those who were killed. Most people in China do not know that the weekend’s protests in Hong Kong happened because the Chinese Government made absolutely sure that they were not allowed to know about them. That is the extent of the ongoing repression of human rights in China and we should all be concerned that a similar repression of human rights will start to be inflicted on the people of Hong Kong as well Normally, under an extradition treaty, a person cannot be extradited for an offence that is not a crime in the country they would be extradited from. That will not apply in these circumstances, however, because China will not respect the terms of any treaty with Hong Kong. Also, a person cannot normally be extradited to a country where they would not get a fair trial, but does anyone seriously believe that that protection would be respected for anyone in Hong Kong? I welcome some of the assurances that the Minister has given, but will he say a bit more about what action the United Kingdom is taking just now—through the United Nations, for example—to ensure that all possible international diplomatic pressure is brought to bear, not just in Hong Kong but, more importantly, in China to ensure that this law never becomes effective? Also, given that China is one of the countries that we are supposed to be looking keenly towards for a trade deal, may we have an assurance that in no circumstances will the prospect of a trade deal allow the voice of the United Kingdom and our allies in Europe to be silenced when it comes to speaking up in defence of the rights of people to whom the United Kingdom continues to owe a legal and moral responsibility?
ParlaMint-GB_2019-06-10-commons.u202	I thank the hon. Gentleman from the Scottish National party for his comments and I will try to answer his questions. It is obviously not my place as a Minister in the Foreign and Commonwealth Office to comment on the specifics of trade deals other than to say that we will continue relentlessly to express any concerns about human rights with any country with which we are looking to strike a trade deal. That said, this is a particular circumstance because of the nature of the joint declaration. The hon. Gentleman rightly suggested that that document, which was signed by China and the United Kingdom in 1984, is now lodged with the United Nations and that is clearly one mechanism by which we could try to stand up for its terms. Back in 2016, there was a particular episode in which we thought the joint declaration was being abused and, if we feel that we are not getting the changes we are looking for on this extradition law, we will use whatever means we can The Hong Kong Government released a statement at 11 o’clock last night, Hong Kong time, noting the people’s right to freedom of expression and assembly, but insisting that the Bill would continue to its Second Reading on Wednesday. Chief executive Carrie Lam reiterated that message on television this morning, again Hong Kong time, and we are obviously looking to try to ensure that the safeguards put in place over the next two or three days are as watertight as possible. However, this is an ongoing discussion and I hope the hon. Gentleman will recognise that we want to leave all our options open.
ParlaMint-GB_2019-06-10-commons.u203	Beyond the Minister’s evident charm, what leverage do we actually have?
ParlaMint-GB_2019-06-10-commons.u204	I thank my right hon. Friend, as ever, for his charming and succinct question. He has obviously been to the same school as Mr Speaker in that regard. The reality of the situation is that there is an international agreement that was signed with the UN, and we and many other international partners take it seriously. I hope that my right hon. Friend was reassured when he heard what I had to say about our discussions with our Canadian counterparts—a significant number of Canadian nationals live and work in Hong Kong—which happened as recently as 30 May. The message that is coming out loud and clear is that, as my right hon. Friend the Member for Preseli Pembrokeshire (Stephen Crabb) said earlier, we need the international community to work together. This is clearly a crucial point in Hong Kong’s history, and our legal leverage may be more limited than we would wish, but we can maximise it by working together.
ParlaMint-GB_2019-06-10-commons.u205	The worries about this breaking of the firewall and the possible intrusion into one country, two systems would not exist if there were not serious concerns about egregious breaches of human rights in China. What further information can the Minister provide about the discussions between the UK Government and the Chinese Government about improving human rights in China more generally?
ParlaMint-GB_2019-06-10-commons.u206	As I have pointed out to the hon. Lady in our previous exchanges, we never stint from making our concerns clear in relation to issues in Xinjiang in the north-west of the country or more general issues around human rights. We have a strong diplomatic relationship with China that involves working together in a productive way in a range of areas, including tackling money laundering, people trafficking and, increasingly, climate change. Building up that body of trust also involves being able to have robust conversations about human rights matters. At the highest possible level, when the Prime Minister spoke to President Xi and when I speak to my counterparts in Beijing and other cities, we do not stint from making clear particular concerns where there are concerns, either on consular matters or, indeed, more generally on human rights.
ParlaMint-GB_2019-06-10-commons.u207	Coincidentally, earlier this afternoon, I met a group of students from Hong Kong who are studying here. They are British national (overseas) passport holders, and they are obviously concerned about the recent developments in relation to China. What consideration has the Department given to the effect that the proposed changes would have on BN(O) passport holders in Hong Kong? What steps is the Foreign Office taking to provide ongoing support and advice to BN(O) passport holders in Hong Kong?
ParlaMint-GB_2019-06-10-commons.u208	I thank my hon. Friend for his comments. He is absolutely right that we have significant obligations to British national (overseas) passport holders. He will be aware that the right of abode in the UK was defined by the Immigration Act 1971, so there are immigration controls to which BN(O) passport holders are subject. The rights they have are not the full rights of British citizens. None the less, they are British nationals from Hong Kong. It is something that we do take very seriously. I hope that he will forgive me if say that I will write to him in due course to try to answer his specific issues, with particular regard to any changes to the rights of such individuals since 1997.
ParlaMint-GB_2019-06-10-commons.u209	The Second Reading of the Bill to implement these changes will take place on Wednesday. Legislators in Hong Kong have told me today that they anticipate that, thereafter, the remaining stages of the Bill could be completed as early as the middle of the week after next. If that happens, clearly the Minister’s aspiration for more consultation will be dead in the water. What will he do then?
ParlaMint-GB_2019-06-10-commons.u210	I thank the right hon. Gentleman for what he says. It would clearly be of grave concern. There is an almost universal view, and not just from those who were on the streets of Hong Kong yesterday. Increasingly, business organisations based in Hong Kong and, indeed, around the world are asking for greater consultation. I would rather not speculate as to where we might be if the path he describes is taken over the next 10 days, and I sincerely hope that will not come to pass. Mr Speaker, you may be aware that the right hon. Gentleman has the Adjournment debate, in which we will be covering a little of this ground. I hope he will forgive me—I will want to talk more generally later about the relations between the UK, Hong Kong and China.
ParlaMint-GB_2019-06-10-commons.u211	I am most grateful for that public information announcement. It is potentially of interest to people observing our proceedings that this debate will indeed be resumed in the form of tonight’s Adjournment debate, under the auspices of the right hon. Member for Orkney and Shetland (Mr Carmichael), specifically on UK foreign policy in relation to China and Hong Kong Moreover, I will have the great honour and privilege tomorrow night of hosting a dinner in support of Hong Kong Watch, which, to put it bluntly, is a splendid organisation that has been set up to keep an eye on what the Chinese Government are up to in relation to Hong Kong. That organisation is magnificently led on a day-to-day basis by the estimable Ben Rogers, who as I speak might well be in our midst.
ParlaMint-GB_2019-06-10-commons.u212	With permission, Mr Speaker, I will make a statement on the Government’s response to the Grenfell Tower fire. I am also writing to the Chair of the Housing, Communities and Local Government Committee, the hon. Member for Sheffield South East (Mr Betts), to provide a formal report on progress, a copy of which will be placed in the Library First, I will take a brief moment to thank all those who responded to yesterday’s serious fire in Barking, east London. The London Borough of Barking and Dagenham provided emergency accommodation for those residents who needed it, and we will continue to work with the council to ensure that residents receive the support they need at this most difficult time Although the cause of the fire has yet to be confirmed, I have asked the Building Research Establishment to investigate the fire, working with the London fire brigade. I have also asked the independent expert panel on wider fire safety issues to provide urgent advice to the Government. We will take account of the findings of the investigation and of the panel’s advice in our further work on reviewing the fire safety guidance. The local authority and the building owners are reviewing fire safety for the rest of the development. I remain in close contact with the London fire brigade, and I will be visiting the community later today As we mark two years since the devastating events of 14 June, I know the whole House will join me in remembrance and solidarity with the people of north Kensington. I want them to know that this House is behind them in honouring the loved ones they lost, in helping those left behind to heal and rebuild their lives and in our determination to ensure that nothing like this can ever happen again The unprecedented disaster has been met with an unprecedented response across the Government, our public services, local government and the voluntary sector. I am hugely thankful to everyone involved, especially our emergency services and the public and voluntary sectors. In total, we have spent over £46 million of national Government funds and committed a further £55 million to help meet rehousing costs, to reimburse the Royal Borough of Kensington and Chelsea for the Grenfell site management costs, to deliver new health and wellbeing services and to deliver improvements to the Lancaster West estate Over £27.8 million of the nearly £29 million raised through the generosity of the British public has also now been distributed, thanks to the Charity Commission. Those affected are also getting vital support from the NHS, with a further £50 million committed over the next five years to address long-term physical and mental health needs. To date, nearly 8,000 health screenings have been completed, including for more than 900 children, with more than 2,700 individuals, including more than 600 children, receiving or having received treatment for trauma We are determined to make sure those affected remain at the heart of the response to this tragedy, which is why my right hon. Friend the Member for Ruislip, Northwood and Pinner (Mr Hurd) continues to meet families regularly, in his role as the Grenfell victims Minister. It is why the Prime Minister recently appointed two new panel members for phase 2 of the Grenfell Tower public inquiry, to make sure it has the necessary diversity of skills and experience. And it is why the community will be pivotal to decisions about the long-term future of the site, as the Government take ownership of this, to ensure that sensitivities are respected and that they are fully engaged in additional environmental checks, after concerns were raised. Testing has started, to assess any health risk, and we will ensure that all appropriate action is taken Clearly, one of our biggest priorities has been rehousing the 201 households who lost their homes, with the Royal Borough of Kensington and Chelsea acquiring more than 300 homes to meet their needs and provide choice. I am pleased that all 201 households have accepted permanent or temporary homes, with 184 households in permanent accommodation and 14 in good-quality temporary homes. That represents significant progress since last year, but I am concerned that three households remain in emergency accommodation, including one in a hotel. I asked the independent Grenfell Recovery Taskforce, which was set up to ensure that the Royal Borough of Kensington and Chelsea better supported residents and rebuilds trust, to look into this, and I have been assured that the council is taking an appropriate and sensitive approach, given the complex needs of those households, to find the right long-term solution for each of them A new home is undoubtedly an important step on the road to recovery, and it is vital that this is reinforced by long-term support, such as the recovery services co-designed by the council, in partnership with the community and local health partners. It is essential that we build on this collaboration, with the council listening and the community being heard. That is fundamental to laying the foundations for a new and stronger partnership between residents and those who serve them Central to this relationship, and indeed to so much of the work flowing from the fire, is the need to rebuild trust. Above all, that means ensuring that people are safe and feel safe in their homes. With that in mind, right hon. and hon. Members will be aware that we launched a consultation last week on proposals to implement meaningful reform to our building and fire safety regulatory systems, following the independent review led by Dame Judith Hackitt, to provide a clear focus on responsibility and accountability and to give residents a stronger voice to achieve the enduring change that is needed Alongside that, the Government also launched a call for evidence on the fire safety order to determine what changes may be required to strengthen it. This follows the recent launch of a new fund to expedite the remediation of buildings with unsafe aluminium composite material cladding in the private sector and protect leaseholders, adding up to a £600 million commitment from the Government to make the buildings of both the private and social sectors safe This builds on other significant measures we have undertaken, such as a ban on combustible cladding, a review of the building regulations fire safety guidance—or Approved Document B—and tests on non-ACM materials, to not only keep people safe now, but to fundamentally transform the way we build in the future, through legislation, yes, but, more crucially, through a change in culture. But I know that we must continue to challenge on what more needs to be done People living in buildings like Grenfell Tower need to trust that there can be no repeat of what happened that night—to trust that the state understands their lives and is working for them. That is why the social housing Green Paper, published last year, and the new deal it sets out for people living in social housing matter so much. My thanks go to the many residents who have engaged with us on this for their invaluable contribution. We are assessing the consultation responses and finalising our response. The deal it proposes aims to rebalance the relationship between residents and landlords, to address stigma and to ensure that homes are safe and decent. In addition to our drive, backed by billions, to boost the supply of social housing, the deal promises to renew our commitment to people in social housing, ensuring that everyone, no matter where they live, has the security, dignity and opportunities they need to build a better life Ultimately, that is our hope for the bereaved and survivors and for the strong, proud people of north Kensington, who have shown us the power of community. They and we will never, ever forget those who died in the most horrific circumstances. I know that the pain of loss continues as they wait for answers and to see justice done, as the police investigation and public inquiry continue their important work, but they should know that they are not alone: the Government, this House and, indeed, our whole country will always have a stake in the future of Grenfell, and I have every faith that this remarkable community, working in partnership, will move forward, rebuild and emerge even stronger. I commend this statement to the House.
ParlaMint-GB_2019-06-10-commons.u213	I thank the Secretary of State for the advance copy of his statement. At the start of this, the week of the second anniversary of that truly terrible Grenfell Tower fire, above all else we remember the 72 men, women and children who lost their lives, and we rededicate ourselves to doing everything needed to ensure that such a fire can never happen again The Grenfell survivors and families who are with us today will draw little comfort or confidence from the Secretary of State’s update statement. He made no new announcement and offered no new action. Earlier, he and I both spoke at the two-year Grenfell memorial event, with you, Mr Speaker, in Speaker’s House. Those survivors from Grenfell United who are still campaigning for change told us today: “We shouldn’t be here; we should be at home, rebuilding our lives” They said that in two years: “Little has changed and justice still seems so far off” There has been over these two long years some progress, which we welcome and for which individual Members and Ministers, including the Secretary of State, deserve some credit, but a national disaster on the scale of Grenfell Tower requires a national response on the same scale from the Government. That has not happened Ministers have been frozen like rabbits in the headlights. Their action has been too slow and too weak on every front. There has been the failure to rehouse survivors, despite the promise that every victim of the fire would have a new permanent home within one year. There has been a failure to give justice to the Grenfell community: despite the first phase of the public inquiry first having been due to report at Easter last year, it has still not been published. There has been a failure to re-clad other dangerous high-rise blocks: despite 176 private blocks having been confirmed to have the same Grenfell-style ACM cladding, nine out of 10 have still not had it removed and replaced, and more than 70 of the block owners do not even have a plan to do the work. There also has been a failure to identify unsafe non-ACM cladding, despite the Government’s testing contract having set a completion deadline of November 2018. There has been a failure to overhaul building safety legislation, despite the final report of the Hackitt review having been published in May 2018 Yesterday, there was the fire at Barking, where early reports point to serious problems: as at Grenfell, the De Pass Gardens residents raised safety concerns and were ignored; wood cladding was untreated for fire safety because the developer was not required to treat it; and the local council did not have the necessary powers to act to deal with this private development Will the Secretary of State now take up the five-point plan that Labour has published today to force the pace? If he does, he will have our full backing for such action. Will he name and shame the owners of blocks with dangerous cladding? Will he set a December deadline for the block owners to get work done? Will he update the sanctions available to councils under the Housing Act 2004 to include fines, followed by the takeover of blocks that still have dangerous cladding? Will he widen the Government’s testing regime to run full tests on all suspect non-ACM cladding? Will he bring in the long overdue overhaul of building safety legislation Finally, will the Secretary of State accept that only such tough action—only such far-reaching changes—will provide the proper legacy for those who perished at Grenfell Tower and that only such action and such changes will allow us all finally to say, with confidence, this can never happen again in our country?
ParlaMint-GB_2019-06-10-commons.u214	I thank the right hon. Gentleman for his contribution and for the important points he has made to the House this afternoon. Indeed, Mr Speaker, may I also thank you for allowing your State Rooms to be used this lunchtime to enable survivors, the bereaved and others to come together to share their very powerful and important experiences and to underline to us very clearly why this matters so much and why we must be resolute in the actions that we take The right hon. Gentleman also highlighted the work of so many who have campaigned on this matter. We note today the role of Grenfell United, and I appreciate and recognise the huge contribution that it has made. He is right to say that, no, its representatives should not be here. I commend them for the challenge and the very effective way in which they have underlined the needs of their community. I will certainly continue to work with them and bring about the change that I think is needed The right hon. Gentleman raised a number of important points. On rehousing, we remain deeply concerned about the three individuals—the three households—who are still in emergency accommodation. I can underline the fact that each household has a property reserved for it. Sensitivity is needed in undertaking this work, but we will continue to support and to challenge until all residents have a long-term home in place, because that is what matters to all of us, which is why the taskforce continues to challenge and to support us to ensure that that happens The right hon. Gentleman highlighted the issue of the remediation of ACM cladding as well. He will know well the frustration that I have had with the private sector, which has not done the job that it should have done. Some responsibility can be placed very firmly there, which is why we have provided an additional £200 million for the very purpose of speeding up the process so that blocks are remediated and made safe. Progress is certainly being made. If we look at the remediation in the social sector, we can see that good progress has been made there. At the end of April, remediation had started or been completed on 87% of the 158 social-sector buildings, with plans in place for the remainder. We are obviously seeing some progress in relation to the private sector The right hon. Gentleman highlighted the issue of local authorities and their need to see that enforcement is in place. I agree with him. That is why we are backing local authorities to take enforcement action where building owners are refusing to remediate high-rise buildings with unsafe cladding. This will include financial support, where that is necessary, for the local authority to carry out emergency remedial works. Where emergency financial support is made available, the relevant local authority will recover the costs from the building owner. Of course, we want to see this work completed as rapidly as possible, and I understand his desire to see some form of hard stop—some sort of certainty in relation to this. I say to him that some of the required work is extensive and complicated, and, indeed, that other issues, or other areas of work, may be highlighted in respect of individual buildings, but it is right that we continue to press on and take action Let me underline the actions that we have taken. We launched a consultation last week on proposals to implement meaningful reform to our building safety and fire regulatory systems following the independent review led by Dame Judith Hackitt, with the intent to bring forward legislation later this year, in the next Session. We want to get this reform on to the statute book and make it happen. We have taken steps with the ban on combustible cladding. We have taken steps to see that action is advanced and that buildings are made safe, and, indeed, we have taken steps with the remediation programme that is in place. Yes, there is absolutely more work to be done, and I do not shrink from that. I do not shrink from the challenge presented by the right hon. Gentleman or others across the House. I assure him and the community of our resolute determination to make that change so that people can feel—and are—safe, and to provide that lasting legacy to all those who died in the fire.
ParlaMint-GB_2019-06-10-commons.u215	Thank you, Mr Speaker, for opening your State Rooms today so that hon. Members could meet many of the survivors of Grenfell. I share the frustration expressed to me by many survivors today that, two years on, not enough progress has been made. I appeal to the Secretary of State to put his foot on the accelerator and move forward more quickly. I speak as a representative of an area of the country that has no tower blocks, but immediately after the fire and the tragedy my constituents told me that the Government are expected to do everything and anything they can to protect and support the victims, and to ensure that such a tragedy never happens again. I am not sure that we are moving quickly enough. I know that we are saying the right things, that we want to do the right things, and that we want be disciplined and respectful regarding the process, but may I appeal to the Secretary of State to move forward more quickly? By doing so, he will get my support and that of my constituents.
ParlaMint-GB_2019-06-10-commons.u216	Absolutely. It is important—especially in the remediation of this highest-risk ACM cladding—that we make as speedy progress as possible. We intend to attach conditions to the funds being made available to the private sector, for example, to show that this is able to progress quickly. Indeed, we have already written to all relevant building owners to set some expectations and outline things that they need to have in place, so that we do not lose time. What needs to happen could not be more fundamental, which is why I took the step to ban combustible materials on the external walls of residential high-rise buildings and other high-risk buildings. There is a firm commitment to seeing that that action is taken.
ParlaMint-GB_2019-06-10-commons.u217	Thank you, Mr Speaker, for hosting Grenfell United in Speaker’s House this afternoon. It gave us all a very good opportunity to listen to the testimonies of those affected by this awful tragedy. My thoughts are also with those affected by the fire in Barking. This really highlights how much still needs to be done to ensure that people can trust that their homes are safe to live in. There are clearly echoes of Grenfell in the case of Barking; people had flagged time and again that there were issues with their property, but they were not listened to. What is the Minister going to do to ensure that those who raise similar concerns are actually listened to and that action is taken I have with me the parliamentary briefing produced by Grenfell United, whose demands are absolutely reasonable. The things that these people are asking for are not, by any manner of means, things the Government cannot deliver should they have the will to do so. Will the Minister look at the demand for: “A new, separate, ‘consumer protection’ regulator to protect tenants, to change the culture of social housing across the country”, particularly as Scotland has had the Scottish Housing Regulator since 2011? In Scotland, the regulator provides a very useful means for tenants and residents to flag issues about their housing, to ensure that investigations take place and to see that action is taken, and this can make a real difference to people. If such a regulator had existed in England, it would have provided the means for residents to have their concerns heard Grenfell United also asks for: “Immediate removal of dangerous cladding…Improved fire safety regime…an extension of the Freedom of Information Act to cover TMOs and housing associations…Public Authority (Accountability) Bill…justice and change…For our community to be listened to.” It is on that last request that I want to finish. Karim spoke movingly at the event in Speaker’s House earlier, saying, “We’re not going anywhere until people are safe in their homes and you treat them with respect.” Both those things must be fulfilled for the people of Grenfell to feel as though any kind of resolution is going to come from this.
ParlaMint-GB_2019-06-10-commons.u218	I agree with a great deal of what the hon. Lady said. Yes, this is about that sense of justice and change. Clearly, there is an ongoing police inquiry that we must let take its course, and, of course, the work of the independent inquiry itself. The point about residents being listened to and respect being shown is very powerful and very important, and it will require culture change in so many ways. That process has started, but I know there is more work that needs to be done The hon. Lady highlights the issue of the social housing regulator—something that is of keen importance and is a key aspect of the social housing Green Paper. I am very clear, from the responses I have seen to the representations on that, that we need a much stronger response in terms of not just listening to tenants but acting on their concerns. That is the point. It is not just about trying to put something in place for the sake of it; it is about seeing that where complaints are made over building safety—there are separate regulations and issues that will come through from the implementation and the Hackitt review—there is a speedy process to see that things are done and remedied. That, for me, is and will be the test on all of this Of course we will keep in contact with the Scottish Government. I am open-minded as to where we can take learning, and apply and use lessons, on a two-way basis. There is good communication between my officials and officials in the Scottish Government as well. Therefore, we will learn the lessons, but equally, very firmly, make that difference.
ParlaMint-GB_2019-06-10-commons.u219	Two years on, what agencies are, hopefully, working together among the residents, particularly the children, in support of them?
ParlaMint-GB_2019-06-10-commons.u220	A number of agencies are working with the community. One of the issues that I have been very concerned about is mental health support. My right hon. Friend will have heard about the additional support and funding that is being provided in that regard. There are some amazing community leaders; I have had the privilege to meet them and to see the work they are doing and the difference they are making. The council clearly has a key role to play in terms of its recovery programme and how it is putting in place these further steps. That stance of working with the community and building trust will take time, but it is an essential element if we are to move on and make the progress we need.
ParlaMint-GB_2019-06-10-commons.u221	The time for platitudes is done. I am, frankly, shocked that Government Members have the face to wear a green heart—shame on them. How can they sleep at night when tens of thousands across the country cannot, living in homes that are potentially dangerous or with their investments worth nothing? I cannot sleep. Where is the leadership in this process? There is a whole generation of potentially unsafe buildings out there. It is hardly controversial to keep people safe in their homes. The Secretary of State talked about it being his mission. Please do not make it a mission—make it a legacy. It is within your power, and instead you consult, report, review; consult, report, review. Please, wake up from your torpor and legislate now; we know what needs to be done.
ParlaMint-GB_2019-06-10-commons.u222	I recognise the passion of the hon. Lady and the way in which she has sought, very firmly and very effectively, to represent her constituents. I know that that passion and the real desire to see change quickly is keenly felt. There is a weight of responsibility that all of us in Government hold in respect of this. I do take that hugely seriously in seeing how we can speed up and make the progress that we need to in relation to building safety and to breaking some of the culture and stigma issues, too. That is why we have taken the series of actions that I outlined in my statement to see that we get on and get the regulations in place. It is also why I am determined that we fix what is a broken regulatory system, and why the final step of that is the consultation that we have just launched. I encourage her to engage formally and properly on that so that we get the legislation right. But equally, we are determined to see that we speed up the process, with the private sector, on getting the buildings remediated—she is right to challenge firmly on this—and that is what we are intent on doing.
ParlaMint-GB_2019-06-10-commons.u223	The thoughts of the people of Stafford are very much with the Grenfell community and all those who have suffered in this appalling tragedy. I repeat the need for the review to result in action. Has my right hon. Friend taken into account other types of building—not only residential buildings, but schools, hospitals, hotels and office buildings—and looked across the European continent at what is best in class for fire safety, to ensure that we are at the top?
ParlaMint-GB_2019-06-10-commons.u224	Yes, I can give my hon. Friend that assurance. Indeed, when we made the decision to ban combustible cladding, we looked at what other practice was out there and how to standardise in that way. We are consulting on key elements of the new building regulation regime, so that we are in a position to legislate. He is right to talk about learning from experience elsewhere. That is what we are determined to do, so that we see a difference. As Members have said, this is about people’s lives and seeing change happening. It is not about dry reports or doing consultations; it is about seeing change come into effect, and that is what I am resolutely determined to do.
ParlaMint-GB_2019-06-10-commons.u225	I am grateful for the Secretary of State’s statement, but he made no real or meaningful reference to the means of justice for the Grenfell families and the bereaved. That justice is delivered by two things. The first is the public inquiry. Can he say more about the delays that seem to be dogging the inquiry and the frustrations of the families and their lawyers in participating fully in it? The second is the police investigation. Can the police update us on it, if he cannot? Many here believe that there is culpability, which must one day be found in court.
ParlaMint-GB_2019-06-10-commons.u226	The right hon. Gentleman makes a powerful point in his customary way. I know how much he has rightly challenged and been engaged in this issue. He may be aware that Metropolitan Police Service detectives investigating the Grenfell Tower fire have conducted 13 interviews under caution. That provides part of the criminal investigation into the fire, and Scotland Yard says that more interviews are being scheduled. This is clearly an ongoing investigation, with the police examining closely and assembling all relevant evidence, and it is right that we allow it to take its course The right hon. Gentleman highlighted the timetable of the public inquiry. It has been announced that the phase one report will be delayed until October this year. It is obviously an independent inquiry and process. The extension is to allow the inquiry to look thoroughly at the significant volume of evidence, and to allow time for what is known as a rule 13 process, which requires warning letters to be sent to individuals or organisations who may be subject to criticism. That is the process of the inquiry, which is independent of Government. It is for the inquiry to set out its timeline and needs.
ParlaMint-GB_2019-06-10-commons.u227	Thank you, Mr Speaker, for hosting Grenfell United today. I hope you will continue that tradition I have hundreds, if not thousands, of constituents living in dangerous or potentially dangerous high-rise buildings. While I welcome the Government’s cladding fund for private blocks, many of those blocks are still waiting to hear from the Government whether they will be eligible for that fund. Meanwhile, their residents are trapped in dangerous properties, with their lives completely on hold as they wait for that information. The fund does not cover many buildings in my constituency that have other cladding—not ACM cladding—or that have no firebreaks or other safety concerns. Residents in Skyline Central 1 face demands of up to £25,000 each to re-clad their building, and those in Burton Place face demands of up to £80,000 each. Those costs will not, as it stands, be covered by the fund. As there are a very high number of private blocks in my constituency, will the Secretary of State come to Manchester to meet some of these residents and talk about how we can make their lives safe and free them from the trap they are in, with properties that they cannot sell and are frightened to live in?
