ParlaMint-GB_2019-10-21-commons.u1	1. What recent assessment he has made of trends in the number of Army personnel.
ParlaMint-GB_2019-10-21-commons.u114	Penicuik in Midlothian is home to the Royal Highland Fusiliers at Glencorse barracks, and the battalion has had a number of serving Commonwealth soldiers, particularly from Fiji. Commonwealth citizens have made significant contributions to the defence of the UK throughout history, and continue to do so. I appreciate the warm words from the Minister and that he has had conversations, but is it not time that we repay their sacrifice by scrapping the minimum income requirement so they can be reunited with their families?
ParlaMint-GB_2019-10-21-commons.u115	I pay tribute to those from Commonwealth countries for their sacrifice and service over the years, which is exactly why we are looking to recruit more people from those parts of the world. I am in conversations with the Home Office to try and work out ways to get over the minimum income requirement, and a lot of options are being looked at—such as whether we work can with credit unions or advertise on payslips—but I am more than happy to meet with the hon. Lady.
ParlaMint-GB_2019-10-21-commons.u116	Much like ordinary civilians, Commonwealth soldiers are being unfairly treated by the Government under their hostile environment policies. Is the Minister aware of the significant difficulties that Commonwealth personnel have encountered in bringing their families to the UK, and will he engage with me to address these issues?
ParlaMint-GB_2019-10-21-commons.u117	I will be delighted to engage with the hon. Gentleman, and I would reiterate my point about the sacrifice and the service of so many of our Commonwealth soldiers, who have contributed so much to the armed forces in this country and who make them such a diverse and incredible set of armed forces that do such a good job on our behalf.
ParlaMint-GB_2019-10-21-commons.u118	14. What discussions he has had with the Secretary of State for International Trade on potential defence exports after the UK leaves the EU.
ParlaMint-GB_2019-10-21-commons.u119	Defence exports will continue to be supported, not just by the Ministry of Defence but by other Government Departments including the Department for International Trade, after the UK leaves the EU. Work is ongoing to explore how to strengthen the competitiveness of UK industry and to support exports, both to the EU and globally. My right hon. Friend the Defence Secretary has regular conversations with the Secretary of State for International Trade, including through the defence security and exports working group.
ParlaMint-GB_2019-10-21-commons.u120	I congratulate my hon. Friend on her appointment. I know that she is a fervent champion of the tremendous exporters that we have in the defence sector. She will know that they often face non-tariff barriers when they export to the United States. Can she reassure me that she will be championing their cause and ensuring that those non-tariff barriers are broken down when we have a new trade deal?
ParlaMint-GB_2019-10-21-commons.u121	I thank my hon. Friend for her kind words. I reassure her that, through our long-standing bilateral relationship with the US, we work closely across the full spectrum of defence, including on issues of shared economic interests such as reducing barriers. Free trade agreements are not used as a means of increasing defence exports. For non-sensitive and non-warlike defence goods and services, the UK may pursue greater access to US public procurement opportunities through the free trade agreement.
ParlaMint-GB_2019-10-21-commons.u122	The 13 old nuclear submarines tied up alongside Devonport provide a really important case not only for generating jobs in Devonport but for exporting skills and technology around the world. Will the Minister put forward a strategy for how we are going to recycle those old nuclear submarines within the next year?
ParlaMint-GB_2019-10-21-commons.u123	I thank the hon. Gentleman for his optimism that anything so big as that project could be done in a year, but I will certainly take up the challenge. I have been described by some in the Department as a poacher turned gamekeeper on this particular subject, especially as I have made it a priority to move this forward. I saw the work being done on the Resolution project up in Rosyth a couple of weeks ago, and I have been encouraged by the progress being made there. We are starting to see a structured framework that will enable us to move this project forward and move our way right through our elderly submarines that are now in need of retirement.
ParlaMint-GB_2019-10-21-commons.u124	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2019-10-21-commons.u125	In the light of recent events at the Syrian border, the Government urge all parties to ensure that they comply with international law, including international humanitarian law and obligations on human rights. We urge a swift de-escalation of the conflict by all parties.
ParlaMint-GB_2019-10-21-commons.u126	I note that changes were made last week to the political declaration on the future relationship between the EU and the UK. Can my right hon. Friend the Secretary of State confirm that no member of the British armed forces would ever be obliged to serve alongside any EU army without Ministers’ support?
ParlaMint-GB_2019-10-21-commons.u127	My hon. Friend makes the key point when she suggests that this could not happen without Ministers’ support, or indeed without the intention of this Government to voluntarily join an EU taskforce, a NATO task force or any other type of international task force. I can absolutely reassure her that we will not enter into any of these European schemes without doing so voluntarily and without a unilateral exit.
ParlaMint-GB_2019-10-21-commons.u128	As we approach Remembrance weekend and the launch of the Royal British Legion’s poppy campaign, we remember all those who have given their lives for our country and of course all the veterans who have served. Many veterans have accessed the veterans gateway for help and support, but there is significant concern that the funding for the gateway is not guaranteed. Will the Minister address that concern today and guarantee the necessary funding to enable the veterans gateway to continue its good work?
ParlaMint-GB_2019-10-21-commons.u129	The veterans gateway received an initial period of funding, and it is supported by a consortium of charities. It has been a success in helping veterans access help in this country, and a long-term plan is being devised for it at the moment. I would be more than happy to meet the hon. Gentleman to discuss that in due course.
ParlaMint-GB_2019-10-21-commons.u130	T2. Will the relevant Minister meet me as a matter of urgency to discuss the interminable delay in agreeing a lease for the Eastriggs site of MOD Longtown? This delay is causing a threat to important investment and job creation in my constituency.
ParlaMint-GB_2019-10-21-commons.u131	I welcome the opportunity to meet my right hon. Friend to discuss the Eastriggs site in his constituency. I am aware of the aspiration of Rail Sidings Ltd to develop its railway rolling stock storage business at MOD Eastriggs. Defence Medical Services continues to manage the site and may support initiatives to commercially exploit the rail infrastructure, provided that any increase in use does not conflict with the primary demands of defence.
ParlaMint-GB_2019-10-21-commons.u132	Will the Secretary of State commit to publishing his Department’s analysis of leaving the European Union as far as forfeiting our rights and responsibilities under article 42.7 of the Lisbon treaty is concerned?
ParlaMint-GB_2019-10-21-commons.u133	I will be delighted to write to the hon. Gentleman.
ParlaMint-GB_2019-10-21-commons.u134	T3. Given the surprise at the speed with which the Americans fled from the scene in Syria, what preparations are Ministers making for greater logistical independence for Her Majesty’s armed forces so that they do not feel abandoned?
ParlaMint-GB_2019-10-21-commons.u135	The UK remains fully committed to the long-term security of the region and to the counter-Daesh coalition. We continually assess UK and coalition logistical capability to ensure that we are well placed to continue to contribute to the counter-Daesh effort, and we remain at the forefront of the coalition’s air campaign.
ParlaMint-GB_2019-10-21-commons.u136	T6. It is just not possible to recognise the sacrifice and service of our armed forces in pay alone, but it is wrong that the salary of a new recruit is now worth over £1,000 a year less than it was 10 years ago. What is the Minister going to do? When will a new recruit’s pay match what it was 10 years ago in real terms?
ParlaMint-GB_2019-10-21-commons.u137	I am delighted to say that my understanding is that, as a result of the recent pay review, the starting salary of a private soldier has risen to over £20,000 a year.
ParlaMint-GB_2019-10-21-commons.u138	T4. What steps are being taken to protect veterans who served in Northern Ireland?
ParlaMint-GB_2019-10-21-commons.u139	The issue of protecting our servicemen and women from vexatious and repeated prosecution in Northern Ireland is something that the Government take incredibly seriously. Regular meetings are now ongoing between me, the Attorney General, the Secretary of State for Defence and the Secretary of State for Northern Ireland. We are absolutely committed to the Prime Minister’s determination that there will be no vexatious or repeated allegations and prosecutions without new evidence, and we will achieve that objective.
ParlaMint-GB_2019-10-21-commons.u140	T10. We heard earlier about Capita’s failures in Army recruitment and Carillion’s failures in Army accommodation. Is it not time to review the costly procurement process, under which the Government just last month signed a £1.6 billion contract to decommission Sellafield with Morgan Sindall Group, which was responsible for the Faslane leisure centre super-mess?
ParlaMint-GB_2019-10-21-commons.u141	Sadly, I cannot speak about the procurement of other Departments, but I can reassure the hon. Lady that, in my new role, I take how we do procurement, who we do it with, and how contracts are managed extremely seriously.
ParlaMint-GB_2019-10-21-commons.u142	T5. In London, some veterans are eligible for free travel under the veterans concessionary travel scheme, but Greater Manchester’s veterans do not have the benefit of year-round free travel on public transport. Transport is a devolved matter, and our veterans should be afforded gold-standard treatment on our transport network after years of service. What discussions has the Minister had with the Mayor of Greater Manchester?
ParlaMint-GB_2019-10-21-commons.u143	I have not had any discussions with the Mayor on this issue. Transport is devolved to the Greater Manchester, so it is a matter to be decided upon locally. However, as a supporter of the armed forces covenant, Transport for Greater Manchester provides free travel on Metrolink for veterans on important days, such as Remembrance Sunday. I am of course happy to meet the Mayor to discuss the matter further.
ParlaMint-GB_2019-10-21-commons.u144	I recently met some veterans of the far east campaigns of the 1950s, and they impressed upon me the gross unfairness of the pension situation for some of them who served for 15 years. Will the Government change the rule that means that people who served before 1975 must have served for 22 years to get a full pension?
ParlaMint-GB_2019-10-21-commons.u145	In respect of pensions for those who served pre-1975, there is a long-standing convention for which responsibility lies with the Treasury. We simply do not have the resources to backdate pensions, as has always been the case with pensions across the public sector.
ParlaMint-GB_2019-10-21-commons.u146	T7. The recent attack on a Saudi oil facility was carried out using small pilotless drones capable of flying hundreds of miles. Will the Minister tell the House what defence the UK has against similar attacks?
ParlaMint-GB_2019-10-21-commons.u147	The Home Office has responsibility for counter-drone activity within the United Kingdom. The MOD has a layered air defence capability, and we are happy to allow other Departments to use that capability when they specifically request it.
ParlaMint-GB_2019-10-21-commons.u148	Ministers will be aware that Hawk manufacturing at Brough is due to end in 2020 after more than 100 years of aircraft manufacture. I thank the Under-Secretary of State for Defence, the hon. Member for Berwick-upon-Tweed (Anne-Marie Trevelyan), for agreeing to meet me on Wednesday, but ahead of that meeting will she please consider all suitable BAE MOD contracts and what pressure can be put on BAE to ensure that some of them are manufactured in Brough?
ParlaMint-GB_2019-10-21-commons.u149	I have regularly met the unions from Brough over the years, and not only because I represent a site in Lancashire that also employs BAE workers. The key is for us to support BAE to get more export bids and, at the same time, to prepare for the next generation of fighter. With that, we will make sure that with our money and with taxpayers’ money comes a commitment from BAE that the jobs are as much based here, throughout the country, as they have always been.
ParlaMint-GB_2019-10-21-commons.u150	T8. My hon. Friend the Member for Chelmsford (Vicky Ford) mentioned cadets in the community, but the cadet expansion programme is about establishing 500 new cadet units in state schools. What assessment has my right hon. Friend the Secretary of State made of the value of cadet units to some of our most disadvantaged children in some of our most challenging schools?
ParlaMint-GB_2019-10-21-commons.u151	The University of Northampton’s research into the social impact of cadet forces, including those in state schools, suggests that membership can increase social mobility and help children reach their potential because of the activities they undertake. That is precisely why this has been such a successful process.
ParlaMint-GB_2019-10-21-commons.u152	The Secretary of State will be aware of reports of the use of white phosphorus by Turkey in northern Syria. What is he doing to assist NATO allies with the investigation into this?
ParlaMint-GB_2019-10-21-commons.u153	The hon. Lady is right that white phosphorus is permitted only for use in signals and markers; it is not allowed, under the Geneva convention, to be used as a weapon. A number of people are collecting evidence about that and many other incidents. When that evidence is presented either to me, to the Organisation for the Prohibition of Chemical Weapons or to the UN, we will consider together what the next step should be.
ParlaMint-GB_2019-10-21-commons.u154	Finally, because he must not miss out, I call Ranil Jayawardena.
ParlaMint-GB_2019-10-21-commons.u155	Thank you, Mr Speaker. I welcome what the Minister has just said and what the Prime Minister has said repeatedly—in March, in July and last week—that we must not let politics trump justice. I trust that legislation is coming to stop vexatious prosecutions, but when?
ParlaMint-GB_2019-10-21-commons.u156	The Department has completed a consultation—it closed only last week—brought forward by the previous Secretary of State on enhanced legal protections. We are now collating the responses and look forward to introducing a Bill early in the new year.
ParlaMint-GB_2019-10-21-commons.u157	On Saturday last, as reported at column 658 of Hansard, the Leader of the House rose on a point of order to announce the Government’s intention to bring forward a motion today under Section 13(1)(b) of the European Union (Withdrawal) Act 2018. Unfortunately, the point of order did not prove to be a prelude to an emergency business statement on which colleagues could question, probe and scrutinise the Leader of the House Rather, for approximately an hour, 30 points of order were raised with me by no fewer than 24 colleagues expressing disquiet and consternation that the Government intended to require the House to consider again on Monday the same matter which it had decided 48 hours earlier, on the immediately preceding sitting day. It was my privilege to listen and respond to the views of colleagues. I then undertook to reflect further on what Members had said and to give a ruling this afternoon, which I shall now do There are two issues, one of substance and the other of circumstances, to consider, and I shall address each in turn First, I have to judge whether the motion tabled under section 13(1)(b) of the 2018 Act for debate today is the same in substance as that which was decided on Saturday. Page 397 of “Erskine May” is clear that such a motion “may not be brought forward again during that same session.” It is equally clear that adjudication of cases is a matter for the Chair I invoked “Erskine May” and ruled on this issue as recently as 18 March 2019. Saturday’s motion sought approval for the withdrawal agreement, the political declaration on the future relationship between the EU and the UK and the declaration concerning the operation of the democratic consent in Northern Ireland provision. Today’s motion seeks approval for the withdrawal agreement, the political declaration on the future relationship between the EU and the UK and the declaration concerning the operation of the democratic consent in Northern Ireland provision. It is clear that the motions are in substance the same. However, this matter was decided fewer than 49 hours ago. After more than three hours of debate, the House voted, by 322 to 306, for Sir Oliver Letwin’s amendment, which stated that “this House has considered the matter but withholds approval unless and until implementing legislation is passed.” The second matter for me to consider was whether there had been any change of circumstances that would justify asking the House to reconsider on Monday what it had decided on Saturday. On the face of it, unless an event or development external to the House had interceded, it is hard to see a significant change of circumstances that would warrant a reconsideration on the next sitting day—in this case, a reconsideration pre-announced by the Leader of the House just under 21 minutes after the result of the Division was announced. However, the Government might argue—though, to date, they have not put forward any argument or explanation at all—that the change of circumstances is the Prime Minister’s application on Saturday night for an extension of article 50. This is not persuasive. The application is part of a process, rather than a significant event in itself. In summary, today’s motion is—[Interruption.] I am extraordinarily grateful to the hon. Member for South Suffolk (James Cartlidge). If he would bear stoically and with fortitude, I shall complete my statement. In summary, today’s motion is in substance the same as Saturday’s motion, and the House has decided the matter. Today’s circumstances are in substance the same as Saturday’s circumstances. My ruling is therefore that the motion will not be debated today, as it would be repetitive and disorderly to do so. For the benefit of colleagues not closely familiar with the so-called “same Question” convention, which is very strong and dates back to 1604, I will summarise the rationale for it in a sentence: it is a necessary rule to ensure the sensible use of the House’s time and proper respect for the decisions that it takes If it is not legitimate for the motion to be taken today, what is it legitimate for the Government to do? The answer is that, as the Prime Minister signalled in his point of order on Saturday, as reported at column 653 of Hansard, and in his letter to Members that evening, the Government can introduce their EU withdrawal and implementation Bill. Indeed, they have done just that, presenting the Bill for its First Reading today. I have no doubt that the Leader of the House will offer further details of the intended timetable for the Bill when he makes a business statement later today. Meanwhile, I hope that this ruling and explanation are helpful to the House.
ParlaMint-GB_2019-10-21-commons.u158	On a point of order, Mr Speaker. I entirely follow the logic of your argument, but what weight did you give to the fact that when we were debating on Saturday, nobody knew whether the Prime Minister would send a letter, and since that has happened, although you are quite correct, Sir, to say that the motion that is the same, an event outside has dramatically changed it? Given that the motion on Saturday was clear that final approval cannot be given until the deal has gone through in legislation, would it not be, as you have always said, for the House to decide on this matter, notwithstanding the fact that the previous motion is clear about what is going to happen? That would give the country the opportunity to know whether the House approves or disapproves of the Prime Minister’s deal.
ParlaMint-GB_2019-10-21-commons.u159	I am extremely grateful to the hon. Gentleman for his point of order. My response is as follows. I did not consider, in reaching a judgment on this matter, whether a letter would be sent; the letter was sent on Saturday evening. More widely, on whether the question whether a Minister of the Crown would obey the law would be a material consideration for the Chair, the honest answer to the hon. Gentleman is that that consideration had not entered my mind as pertinent to my reflection on the matter I note the wider point that the hon. Gentleman makes, and I respect the fact that it is a point of view. I intend no discourtesy to him when I say that I think I have made the argument for and explained the rationale behind the judgment that I have made. I am not seeking to rubbish the hon. Gentleman; I am simply making—[Interruption.] No, I am not seeking to rubbish the hon. Gentleman; I am simply making the point that, having reflected on all the considerations and the interests of the House, I have reached the conclusion I have reached. It is important that colleagues hear all parts of it. The hon. Gentleman did not like part of it, as he politely explained in his point of order, but he will also have heard me say what it is open to the Government to do. The Government can introduce their Bill, propose a programme motion for it and proceed with the support of the House, between now and the end of the month, as collectively Parliament prescribes. That seems to me to be entirely proper.
ParlaMint-GB_2019-10-21-commons.u160	I will come to other colleagues, particularly the illustrious Chair of the European Scrutiny Committee, the hon. Member for Stone (Sir William Cash).
ParlaMint-GB_2019-10-21-commons.u161	Further to that point of order, Mr Speaker. As you will recall, on Saturday afternoon, I was the Member who made the point that the Leader of the House should have been making an emergency business statement at that time, rather than relying on the device of a point of order to try to change the business today. I described it at the time as “low-rent jiggery-pokery”. It is not time that the Government, instead of playing games with the business of the House, actually subscribed to the usual practices, informed the Opposition of their intentions and, indeed, informed the Speaker of the House of their intensions in advance, so that we can all get on with the important business we have to conduct?
ParlaMint-GB_2019-10-21-commons.u162	I am grateful to the hon. Gentleman. Let us focus on the arguments and the issues. As a long-serving Member of this House who is sadly no longer with us once said, “It’s about policies; it’s not about personalities. It’s not about personalities; it’s about policies.” I do not want to get into the personalities of it. I know that the Leader of the House disapproves of jiggery-pokery, because I have heard him say so in the past—if memory serves me correctly, on 26 March 2015, in the Chamber, he made the very point that he deprecated the use of jiggery-pokery I do not want to get into that, but I suppose what I want to say is this: there are precedents for changes in business being announced on points of order—it is not the norm, but there are precedents—and I do not want to ascribe any improper motive to the Leader of the House, whose personal courtesy to me over the years has been and remains unfailing, and I hope that I have reciprocated it. He made the judgment that he made. There was very little notice that he was going to say what he said, but that was really perhaps a product of the circumstances The hon. Gentleman might think that the circumstance could have been anticipated and some advance notice would have been helpful, but we were where we were. I do not complain about having to respond to points of order. The Leader of the House did not stay for all the points of order—he stayed for some of them—but I feel certain that he will since have familiarised himself with all of them. We will hear from the Leader of the House later, and I am sure we look forward to that.
ParlaMint-GB_2019-10-21-commons.u163	Further to that point of order, Mr Speaker. A couple of days ago, on a point of order, I said that the law of the land was set out in section 1 of the European Union (Withdrawal) Act 2018, which quite unequivocally states: “The European Communities Act 1972 is repealed on exit day.” Exit day is on 31 October. The Benn Act 2019 has not yet done anything, other than in respect of the letter, to change the repeal of the 1972 Act. Therefore, I simply put it to you, Mr Speaker, that, as you mentioned in your statement, the question whether there are issues relating to the law being obeyed is not an issue at this stage in proceedings. For that reason, I simply ask you whether it is possible for you to reconsider your decision, because the reality is, I am afraid, that the law of the land remains as it was last Friday.
ParlaMint-GB_2019-10-21-commons.u164	I am extremely grateful to the hon. Gentleman, whose experience in these matters and whose prowess as a lawyer I readily acknowledge. I hope that he will not take it amiss—but if he does, it is a regrettable inevitability—when I say that he has put on record his understanding of the legal position, and he has said it, as he has on previous occasions, with crystal clarity. Other people have a different view about the legal position and the significance of the so-called Benn Act. If memory serves me correctly, I did not dwell in my statement on adherence to the law. I touched on that matter only in response to the point of order from the hon. Member for Wellingborough (Mr Bone). I totally understand what the hon. Member for Stone thinks and why Moreover, I made clear in the statement the option open to the Government, and I reiterated it in response to the hon. Member for Wellingborough. The amendment in the name of Sir Oliver Letwin, I remind not just Members, but those attending our proceedings, explicitly specified that the legislation should come first. Suddenly to have at the next sitting day a debate on the same matter upon which an explicit conclusion was reached on Saturday would seem very unusual, and I have made the judgment that I have made Colleagues, I am stating the obvious, but when you make a judgment on these matters, manifestly, some people, if it is controversial, are pleased and other people are displeased. That is in the nature of the responsibility. I have simply sought to discharge my obligations and to do what I believe to be right, and that is what the Speaker has to do.
ParlaMint-GB_2019-10-21-commons.u165	Further to that point of order, Mr Speaker. My point of order is about the nature of this power in the Chair to prevent Parliament being asked to vote again and again on the same thing. Surely this is to prevent an over powerful Executive—[Interruption.]
ParlaMint-GB_2019-10-21-commons.u166	I wish we were.
ParlaMint-GB_2019-10-21-commons.u167	I cannot quite read the lips of the hon. Member for Lichfield (Michael Fabricant), but I think he is saying, “If only”. The hon. Lady must be heard.
ParlaMint-GB_2019-10-21-commons.u168	It is an attempt to prevent an Executive from browbeating Parliament and making certain that it votes again and again on the same thing until it gets it right. Surely, Mr Speaker, this is an important defence of freedom in our democracy, and do you agree that this is even more important when we have a Government who are attempting to browbeat Parliament and set up a Parliament versus the people false narrative?
ParlaMint-GB_2019-10-21-commons.u169	The short answer is yes. I sought colleagues to frame my statement in factual terms, and it was—whether people agree with it or not—closely argued. I did not go in for adjectival excess on this occasion. It is, however, part of the thinking of the Chair that the House should not be continually bombarded with a requirement to consider the same matter over and over and over again. There are people who are concerned about such a prospect—that is, about the possibility of being browbeaten, harassed or intimidated. In the context of the statement I made to the House on 18 March, I was very aware of commentary in the public square along the lines of, “Well, we’ll bring it back—26 times if necessary—until we get the outcome.” That was a factor in my judgment that a ruling from the Chair needed to be given Absence of Speaker intervention on this same convention since 1920 or thereabouts is attributable, colleagues, not to the discontinuation of the convention, but rather to general compliance with it, and that is for the protection of the House. We also do not want contradictory and conflicting judgments to be reached in very short order, and what could be shorter order than the next sitting day after the last judgment was made? It may not appeal to everybody, but that is the rationale for the perfectly reasonable judgment that I have made.
ParlaMint-GB_2019-10-21-commons.u170	Further to that point of order, Mr Speaker. I am most grateful to you for allowing me to speak. I rather imagine that if you did not enjoy being bombarded, you would not so much enjoy sitting in that Chair. I note that the dilemmas you face mean that, on occasion, you will sometimes have to please some and not others, but it is becoming remarkable how often you please one lot and not the other lot. You have also inveighed against most unusual things happening in this House that you did not like, and I would say that it is most unusual for a Speaker so often to have prevented the Government from debating the matters that the Government wished to put before the House. It has been one of your mantras that the House should be permitted to express its view, even when it comes to changing the meaning of Standing Orders, and yet you have denied the House the opportunity to express its view on this matter. This motion that was never voted on on Saturday—[Interruption.]
ParlaMint-GB_2019-10-21-commons.u171	Order. I understand the strong passions, but I want the hon. Gentleman to be heard, as he must be—fully and without fear or favour—and I know that he will then allow me the courtesy of an uninterrupted response.
ParlaMint-GB_2019-10-21-commons.u172	This motion was never voted on, and it ceased to exist as soon as it was amended. I confess, Mr Speaker, that I am surprised that the reason my right hon. Friend the Member for West Dorset (Sir Oliver Letwin) tabled his amendment has failed to enter your head. The reason was that there was an anxiety that the law was not going to be complied with and the letter would not be sent; so the circumstances have changed in that respect. May I just alert you and the House to the fact that my Committee—the Select Committee on Public Administration and Constitutional Affairs—will be holding a hearing on the role of the Speaker, somewhat in the light of the experience of recent months?
ParlaMint-GB_2019-10-21-commons.u173	First, I am grateful to the hon. Gentleman for his multifaceted point of order—and it was multifaceted; there were several features to it, and that is important Secondly, I hear what the hon. Gentleman says about his Committee conducting an inquiry into the role of the Speaker, and that is absolutely proper—
ParlaMint-GB_2019-10-21-commons.u174	Tomorrow.
ParlaMint-GB_2019-10-21-commons.u175	I think he said something from a sedentary position about tomorrow, with evidence being taken and witnesses being heard, and that is absolutely right. I do not know what he expects me to deduce from that. I would not dream of seeking to comment adversely—still less to trespass, which it would be quite improper to seek to do—upon the legitimate autonomy of any Select Committee of this House. It is perfectly proper for his Committee to undertake such an inquiry. I am entirely untroubled by it, and it is a reflection of his conscientiousness that he should do it Thirdly, with regard to how unfortunate it is that one side seems to be disadvantaged by judgments from the Chair, I say to the hon. Gentleman—and there are people in this Chamber who know very well the truth of what I say—that I do not have, off the top of my head, a count of the number of times that I have in the past granted urgent questions, and in some cases, though they were less fashionable at the time, emergency debates, to people of what was then called a Eurosceptic disposition and would now be called a Brexiteer disposition—and he was one of them. When I was granting him and some of his hon. and right hon. Friends the opportunity to challenge, to question, to probe, to scrutinise, and, in some cases, to expose what they thought were the errors of omission or commission of the Government of the day, I do not recall him complaining that I was giving him too many opportunities to make his point and that it was not a fair use of the House’s time—that it was very unfair on his party and a violation of the rights of his Government. Now, it may be that sotto voce he was somehow making this point, but if so, I did not hear it I remind the hon. Gentleman additionally, and fourthly, I think, that—yes, I will make this point because it is an important point to make—his hon. Friend the Member for Basildon and Billericay (Mr Baron) tabled an amendment to the Queen’s Speech in 2103 on the case for a referendum on UK membership of the European Union, a most unusual though perfectly proper thing for a Government Back Bencher to do, and I selected that amendment. I did so because I thought that it was well supported and there was a compelling case for it to be considered. So what I am saying to the hon. Gentleman is that when he was getting the decisions in his favour, he was not grumbling. He is grumbling now because he does not like the judgment I have made, but the judgment is an honourable and fair one, and I am afraid that if he does not like it, there is not much I can do about that. I am trying to do the right thing for the House as a whole My last point to the hon. Gentleman—and it is very important not just for, or even particularly for, Members of the House, but for those observing our proceedings—is that nothing in what I have said in any way impinges upon the opportunity for the Government to secure approval of their deal and the passage of the appropriate legislation by the end of the month. If the Government have got the numbers, the Government can have their way, and it is not for the Speaker to interfere. The judgment I have made is about the importance of upholding a very long-standing and overwhelmingly observed convention of this House. That is what I have done, and I make absolutely no apology for it whatsoever.
ParlaMint-GB_2019-10-21-commons.u176	Further to that point of order, Mr Speaker. I am seeking clarification on the implications of the Benn Act for the proceedings over the next week or so. I am happy to put this in writing if that is helpful, and I am sorry for not having done so already. The Benn Act, as you know, was amended by the amendment put forward by my hon. Friend the Member for Aberavon (Stephen Kinnock). You may recall that in the debate my right hon. Friend the Member for Birkenhead (Frank Field) asked my right hon. Friend the Member for Leeds Central (Hilary Benn) why there was no purpose to his Bill, to which the latter Member of Parliament said, “We do not want a purpose to this Bill”, and the implication was to keep it open-ended. Clearly, the amendment that was then passed by this House included the amendment by my hon. Friend the Member for Aberavon, which stated very clearly that there could be no extension beyond 31 October unless it was to secure a deal. So could I have some clarification from you, Mr Speaker, or maybe in writing tomorrow, that when amendments come forward over the next few days or the next few weeks, only those that are pertinent to securing the deal, in relation to the essence of that deal, rather than revoking article 50 or having a second referendum, will be taken, because it is all about securing the deal?
ParlaMint-GB_2019-10-21-commons.u177	My response to the right hon. Lady is twofold. First, it is not for the Chair to interpret the Act. People will make their own assessment of that. That does not fall to me. Secondly, if she wishes to engage with me on that matter in correspondence, I am not promising to come back to her tomorrow but I will study any letter from her and respond in as timely a way as I can, compatible with a substantive response being provided. I shall be delighted to try to oblige her in that regard.
ParlaMint-GB_2019-10-21-commons.u178	On a point of order, Mr Speaker. Would it not be better to save consideration of these matters until the business statement, so that we can hear from the Leader of the House of Commons?
ParlaMint-GB_2019-10-21-commons.u179	That is perfectly possible. For that to be the case, a self-denying ordinance is required on the part of people who otherwise wish to raise points of order with me, but I note what the hon. Gentleman has said, and colleagues either will be guided by him or not.
ParlaMint-GB_2019-10-21-commons.u180	Further to that point of order, Mr Speaker. May I make a helpful suggestion, which is that you send a photocopy of “Erskine May” to members of the Government? On a more serious note, the Government keep insisting that Members of this House should have the opportunity to change their minds. Is it not time that they extended the same courtesy to the British people?
ParlaMint-GB_2019-10-21-commons.u181	I note what the hon. Lady has said. The second point is a political one, to which I will not respond. In relation to “Erskine May”, it is available free online. In relation to the same question convention, I simply make the point that when I pronounced on the same question convention on 18 March, one of the early responses came from an hon. Member who said: “may I say how delighted I am that you have decided to follow precedent, which is something I am greatly in favour of?”—[Official Report, 18 March 2019; Vol. 656, c. 778.] He went on to make other supporting points. The person who responded in that way was none other than the Leader of the House, the right hon. Member for North East Somerset (Mr Rees-Mogg). The Leader of the House was very much with me at that time on the same question convention. I take the same view seven months later, and it is for him to explain whether he does.
ParlaMint-GB_2019-10-21-commons.u182	Further to that point of order, Mr Speaker. However unfashionable it might be, I believe that you are quite right, and by the same token, it is quite wrong to expect the voters to have to answer the same question a second time.
ParlaMint-GB_2019-10-21-commons.u183	I have known the right hon. Gentleman for 22 years. I like him so much that I do not want to ruin a burgeoning political career, as he is only probably a quarter of the way through his, but one of his great merits is that he is a model of consistency, principle and fair-mindedness.
ParlaMint-GB_2019-10-21-commons.u184	Further to that point of order, Mr Speaker. The meaningful vote process is one which Parliament has insisted the Government adhere to. All the Government are trying to do is stick to a process set out by Parliament. The motion was amended on Saturday. Now we can have a clean vote, because I think there is an appetite among the country and this Parliament—these Benches are not exactly empty—to get a view on the Prime Minister’s deal. I agree with my right hon. Friend the Member for New Forest West (Sir Desmond Swayne): I think your ruling is probably right. But unlike most of “Erskine May”, we are prone to follow the EU constitution, which means at the moment that we will leave the EU at the end of this month. There is limited time, but we will be treated to the spectacle of empty Benches in this House when we go home, and we may be sitting late or at weekends to try to get Government legislation on the statute book. I am not sure that the British people will understand that.
ParlaMint-GB_2019-10-21-commons.u185	I just say to the hon. Gentleman—I genuinely apologise to him if I have misunderstood any part of his point, but I am reacting on the hoof—that whether or not there were the debate today, the Government require the passage of the requisite legislation. Therefore, in so far as the hon. Gentleman is concerned about the time required for the legislation, the programme motion for it, the sitting hours entailed by it and the inconvenience that might flow from it, those considerations would apply whether or not we had the debate today. The issue is whether we make a pragmatic judgment and allow for the breach of a long-standing convention or make a principled judgment, and I have made a principled judgment. There is every opportunity for the Government, with the support of the House, not only to have their say, but to get their way by the end of October, and I do not think I need to add anything to that. It is dependent on parliamentary opinion.
