ParlaMint-GB_2019-10-24-lords.u1	To ask Her Majesty’s Government what plans they have to encourage more people to travel by bus.
ParlaMint-GB_2019-10-24-lords.u112	I am sorry to interrupt the Minister when he has only minutes left, but can he give us some hint of what British Kurdish training units and British troops are left on the ground in this turmoil in the northern Syrian region?
ParlaMint-GB_2019-10-24-lords.u113	My noble friend will appreciate that I cannot go into the details of the specific British presence there, but we are working on the ground to ensure that we lend support to our allies. We are very cognisant of the situation of the Kurds My noble friend spoke about support in Iraq. I assure him and others that we are extending our support to the Kurdish regional Government and the Kurdish community in Iraq, particularly as displaced people cross the border. We continue to work closely with the Government of Iraq.
ParlaMint-GB_2019-10-24-lords.u114	My Lords—
ParlaMint-GB_2019-10-24-lords.u115	My Lords, I am very conscious of time Specific questions were asked by the noble Lord, Lord Hylton, among others, about white phosphorus. I am fully aware of the worrying allegations that white phosphorus was used against civilians. We are working to establish the full facts Co-operation with NATO was raised. While noble Lords will recognise that NATO does not investigate breaches of international humanitarian law, NATO Defence Ministers, including the Defence Secretary, will discuss north-east Syria in their meeting on 24 to 25 October A number of other questions were raised by the noble Lord, Lord Hylton. If I may, I shall write to him on those issues and on any other questions that I have been unable to cover As the noble Baroness, Lady Northover, said, this is an extensive subject which perhaps requires more than just the time allowed in a Question for Short Debate. I am sure that it is not just me who recognises that; I am sure that we will return to this issue in the coming days and weeks Let me assure noble Lords that the UK remains committed to continuing to play our part as a strong ally to the communities across the region. We remain committed to assisting unaccompanied minors and those identified as British citizens to ensure that we can represent them and examine each case We have a strong relationship with Turkey, and this should not be underestimated. We supported its application to join the EU. I think that is recognised. I have seen the detail of the discussions that my right honourable friend the Prime Minister has had with the President. The nature of that relationship allows us to play a role with Turkey. I am sure that all noble Lords recognise the importance of the invitation that my right honourable friend the Prime Minister has made to the President of Turkey, while also recognising that our key partners, especially France and Germany, should also be involved in that meeting The UK has opposed Turkey’s recent offensive in north-east Syria. As several noble Lords said, it is not an action that we would expect from a staunch NATO ally. It has caused unnecessary further bloodshed and suffering in a region that has already suffered too much, and it has diverted international attention from ensuring the lasting defeat of Daesh The UK has been active in pressing Turkey to end its operation. We will continue to make clear to Turkey the depth of feeling in your Lordships’ House and elsewhere about its continued actions. We remain committed to advocating the interests of the local population, including respecting the rights of the Kurds in both Syria and Iraq. We remain committed to the global coalition against Daesh, in which the Kurdish communities and representatives play an important part, and to the long-term stability of Syria, Iraq and the wider region. We will continue in our humanitarian efforts in this respect I thank again all noble Lords for their contributions to this vital debate, and I look forward to further discussions on this important matter.
ParlaMint-GB_2019-10-24-lords.u116	That this House takes note of the recent political unrest in Hong Kong, and of the calls to offer residents of Hong Kong citizenship in another country.
ParlaMint-GB_2019-10-24-lords.u117	My Lords, the purpose of today’s debate is to gain a better understanding of why up to 2 million people have felt compelled to participate in mass popular protests in Hong Kong; of how regressive changes in China have created a storm of anxiety; of why the UK has a moral and legal obligation to stand with its people, and of how the international community, including the Commonwealth, can provide guarantees to Hong Kong that will give its people an insurance policy of security and solidarity. On more than 20 occasions in the past year, I have highlighted the weakening of the guarantees contained in the 1984 Sino-British joint declaration—which is an international treaty—the disturbing erosion of “two systems, one country” and the changes in China that have caused such apprehension in Hong Kong. The joint declaration, through the Basic Law, enshrines the fundamental principles of the rule of law, democracy, human rights and free speech—not just a treaty but for Hong Kong’s people a way of life, now placed at grave risk What began as a rejection of Beijing’s erosion of the territory’s Basic Law and Carrie Lam’s unjust extradition Bill has become a broader fight about Hong Kong’s autonomy and very future. It is hard to disagree with the proposition that Hong Kong is the new front line in a clash of value systems. In the aftermath of the 1997 handover, Beijing upheld “one country, two systems”, but in the past few years, both Hong Kong’s freedoms and trust have been undermined and eroded increasingly dramatically The final straw was Beijing’s attempt to compromise the judicial system. The people of Hong Kong are well aware of how the Chinese courts administer justice. In 2018, according to the Wall Street Journal, the courts in Jiangsu province acquitted just 43 people while convicting 96,271. They are the ones who are actually given a trial, unlike Lam Wing-kee, a bookseller in Hong Kong for 20 years, who was abducted and incarcerated for eight months, and whom I met in Taiwan last month. He told me that highly placed Communist Party officials bought books from him. Without irony, he said that his bestsellers included George Orwell’s Animal Farm and Nineteen Eighty-Four. The Chinese authorities told Mr Lam, “If we say you have committed a crime, you have committed a crime”. Denied all contact with his family and left in degrading conditions, he contemplated suicide Belief in the rule of law has been further compromised by Carrie Lam’s unenforceable ban on face masks and her decision to invoke emergency powers—always a harbinger of autocracy and the latest in a long list of blunders. Amnesty accuses the Hong Kong police and points to, “an alarming pattern of … reckless and indiscriminate tactics”, beatings and torture. Dominic Raab has condemned the use of force as “disproportionate”, with calls for an independent inquiry The brutality of China’s agents was underlined last week when Jimmy Sham, a leading voice for democracy, was viciously attacked by five hammer-wielding assailants. You will never create a harmonious and law-abiding society by using agents provocateur, tear gas, iron bars and live ammunition. Shooting teenagers is no solution. The rule of law is not rule by law; it is simply inflammatory. If all this leads to diplomats issuing a formal warning to businesses in the region, there will be a flight of capital. Beijing would therefore be far wiser to seek dialogue and compromise, rather than killing the goose and the golden egg—China’s most profitable financial centre In recent months, I have asked about the expulsion of journalists and the banning of political parties, and I have worked with Hong Kong Watch, of which I am a patron. I particularly thank Luke de Pulford and Ben Rogers for their work and for bringing to Westminster the umbrella movement’s founders, Nathan Law and Joshua Wong, both of whom are totally committed to peaceful, non-violent protest but were jailed, with Nathan disqualified from the legislature. During this debate, we must discuss what the future holds for young people like them and for the city’s courageous people. Some 173 Members of both Houses have pressed the Foreign Secretary to lead an international initiative to guarantee second citizenship. The noble Lord, Lord Popat, will say more about this later, and I will refer to the position of BNO passport holders, but I think it would be helpful to the debate if, when the Minister comes to reply, he could tell us exactly how many people he believes are currently BNO passport holders. We will also hear today from many noble Lords with a great love of Hong Kong and its people, not least the noble Lord, Lord Patten of Barnes, and my noble friend Lord Wilson of Tillyorn, and many others with incredible knowledge about Hong Kong and China My own Hong Kong connections began when I was a student volunteer teaching English to families who had settled in Liverpool—home to one of Britain’s oldest Chinese communities—having escaped the cultural revolution. One of their descendants is my goddaughter. Liverpool was also the birthplace of William Gladstone, a vociferous opponent of the appalling opium trade, which he said was “at variance with justice”. The Opium Wars led, in 1842, to the treaty of Nanking, to the opening of five treaty ports to foreign merchants, and to the ceding, of course, of Hong Kong Island to the British Empire. It was in 1980, as a young Liverpool MP, that I first visited Hong Kong, and I subsequently went to Shanghai. There, I secretly met persecuted Christians whose bishop, Cardinal Ignatius Kung, had languished for 30 years in Chinese jails In 1979, it was against this backdrop that Margaret Thatcher had to negotiate with Deng Xiaoping the restitution of Hong Kong. In 1982, Deng told her: “I could walk in and take the whole lot this afternoon” In a characteristic retort, the Prime Minister replied: “There is nothing I could do to stop you, but the eyes of the world would now know what China is like” That is equally true today. The eyes of the world must stay trained on Hong Kong. Last week, the free world did just that when the US House of Representatives passed four pieces of bipartisan legislation, three of which were related to Hong Kong. But our eyes have seen other things too Thirty years ago, in Tiananmen Square, we saw the Red Army massacre 10,000 pro-democracy demonstrators, many of them young. We have also seen how Xi Jinping has been turning the clock back on Deng Xiaoping’s welcome attempts at reform. In June, on the 30th anniversary of Tiananmen, the regime said that the brutal suppression of those pro-democracy demonstrations had been good for society, describing it as a “vaccination” against political instability. We have also seen how Xi is repressing political dissent and religious belief. The assault on religion in China is the most systematic since the lethal cultural revolution, when churches were desecrated, looted, and turned into storerooms and factories. The religious were incarcerated, tortured, some burnt alive, some sent to labour camps, with Christians publicly paraded through cities and towns and forced to wear cylindrical hats detailing their crime of belief Over the summer I met Hong Kong’s Cardinal Zen and Martin Lee, the founder of Hong Kong’s Democratic Party—a meeting that the Chinese authorities tried to stop. I heard their fears that religious persecution will be visited again on Hong Kong. President Xi may not yet have a Little Red Book, but he has replaced the 10 commandments with his sayings. In addition to the lack of religious freedom, churches, mosques and temples have been shut or demolished, leaders imprisoned and surveillance cameras installed. The European Parliament described the situation as “a new low”. Writing about surveillance, George Orwell famously said in Nineteen Eighty-Four: “Big brother is watching you” But not just watching—Orwell said: “If you want a picture of the future, imagine a boot stamping on a human face—for ever” and that: “The most effective way to destroy people is to deny and obliterate their own understanding of their history” For Buddhists in Tibet and Muslim Uighurs in Xinjiang, Xi’s Sinicisation programme seeks to do just that. To ensure that their history is obliterated, over 40 Uighur cemeteries have been destroyed, with bones and ancestors’ remains scattered. At the APPG for Uighurs, of which I am vice-chairman, we heard disturbing evidence about the vile incarceration of 1 million Uighur Muslims, for them to be re-educated, brainwashed, intimidated, and reprogrammed. We have also seen disturbing evidence suggestive of why Uighur DNA is tested. Falun Gong practitioners told a parliamentary hearing how bodies have been turned into sources of forced human organ harvesting. An independent tribunal, chaired by Sir Geoffrey Nice QC, concluded that there is “incontrovertible evidence” that this has happened. We will hear more about this from my noble friends Lady Finlay and Lady Grey-Thompson. The Minister has the names of Chinese officials involved in this and other forms of persecution. Perhaps he will tell the House whether Magnitsky powers will be used to pursue those culpable Ministers and their officials need to be alive to China’s use of censorship, economic pressure and fear and favour to try and silence criticism and to close the world’s eyes to what is happening in Hong Kong. Perry Link, a Princeton academic, describes China’s heavy-handed attempts to close and censor debates as the “anaconda in the chandelier”. But the anaconda is not just in the chandelier—it is the chandelier. President Xi’s “great firewall” and dystopian “cyber sovereignty” is entrenched by laws that can result in job loss, years-long prison sentences or exile. This is not the free air of Hong Kong with unimpeded access to the internet, and Hong Kong has been watching all this with alarm In 2008, the Nobel Peace Prize laureate the late Liu Xiaobo, along with hundreds of others, published the pro-democracy and human rights manifesto Charter 08. He received a sentence of 11 years’ imprisonment. He wrote that his crime was to, “oppose systems of government that are dictatorships or monopolies … Opposition is not equivalent to subversion” He looked to the day when, “different values, ideas, beliefs, and political views ... can both compete with each other and peacefully coexist” The same thought was captured in the 1984 joint declaration, which said that Hong Kong’s, “life-style shall remain unchanged for 50 years” This included, “freedom of the person … of the press, of assembly, of association ... of demonstration ... of belief” But we have watched with dismay as promises have been broken, legislators disqualified, mass arrests take place, employees dismissed and live ammunition replace any attempt to cultivate dialogue or to find solutions. And we have seen China tell the UK—the only other signatory to a legally binding joint declaration—that we have no right to express a view. We have seen China say that the 1984 treaty is null and void: a “historical document”, with “no practical significance” and no binding effect on the Chinese central Government’s management of Hong Kong. So what must we do The United Kingdom has a unique moral and historic duty to bring together the international community in defence of the rule of law, democracy, free speech and human rights, and of “two systems, one country”. We should form an international contact group of like-minded nations to co-ordinate an international response. At next year’s Commonwealth Heads of Government Meeting, in Kigali, countries should be urged to give all Hong Kong citizens an insurance policy of second citizenship and a place of abode, to be available if China continues to resile from the joint declaration I chaired a hearing about British National (Overseas) passport holders, including former police officers and the 250 military who served the Crown. Their plight was said by the late Lord Ashdown to be “worse than Windrush”. In a letter to me this week, the Home Secretary said that the Government have, “no plans to amend the law” BNO passport holders are vulnerable and so are others with proven UK links. Perhaps the Minister can confirm that there is no legal impediment to us giving full British citizenship to those at risk and say whether we will help forge a comprehensive international solution for the people of Hong Kong Nobody wants anyone to have to leave Hong Kong. People are more likely to stay if they know that there will be ways to leave should the need arise. We should join the US in introducing legislation to strengthen the monitoring of the Sino-British joint declaration, with Magnitsky sanctions and the enactment of a Hong Kong human rights and democracy Act to hold perpetrators to account when it has been breached. We should ensure that, after Brexit, no free trade agreement is made with Hong Kong or China without a robust clause tied to the freedoms guaranteed in the Sino-British joint declaration. Trade law is critical and more enforceable than other forms of international law To conclude, the answers to Beijing’s fears about separatism and its desire for unity, and a stable future are to be found in the free air of Hong Kong, not in the Uighur re-education camps of Xinjiang or in a repeat of the massacre at Tiananmen, or through surveillance cameras or oppression. As Margaret Thatcher rightly said, the eyes of the world are on Hong Kong. We must stand in solidarity with them. In our day, we must neither avert our eyes or silence our voices. I beg to move.
ParlaMint-GB_2019-10-24-lords.u118	My Lords, I congratulate the noble Lord, Lord Alton, on giving the House the opportunity to discuss the current problems in Hong Kong. His Motion is commendable and worthy of the support of this House. Yes, we should encourage countries with better democratic and human rights policies to accept the people of Hong Kong to their shores at this time, but the conflict in Hong Kong is surely mainly the responsibility of this country; it is this country that should be in the forefront of doing what the noble Lord, Lord Alton, has ably given this House to discuss There are those who urge countries outside Hong Kong to avoid getting involved in a domestic dispute, but the conflict affects many other countries. In this vein, I was impressed to read in the Washington Post last week how the US Congress is being positive in its support for Hong Kong’s struggling democracy by promoting legislation advancing in both the House of Representatives and the Senate to amend the United States–Hong Kong Policy Act 1992, a pillar of America’s economic relationship with China and its special administrative region. Until now, the USA has treated Hong Kong differently from the People’s Republic of China for trade purposes, but that is currently very much under review. Under the Hong Kong Human Rights and Democracy Act 2019, the US Secretary of State is required to certify whether Hong Kong remains, “sufficiently autonomous to justify special treatment by the United States ... including the degree to which Hong Kong’s autonomy has been eroded due to actions taken by the Government of China” The Bill would, under the terms of Magnitsky Act, require the President of the United States to freeze the US-based assets of, and deny entry to the US by, any individual formerly responsible for abducting human rights activists in Hong Kong. Surely, this lead is very helpful and commendable and puts our own Government to some shame, considering our governorship of Hong Kong before the handover. Our Government should be in the forefront of opposing the barbaric measures taking place in Hong Kong today By way of conclusion, because of the time limit, I draw attention to an issue I raised last week in a debate, whereby students from mainland China in British universities are bullying and harassing fellow students from Hong Kong who support those demonstrating in support of the Sino-British declaration’s initial aims. I did not get a response from the Minister when he wound up then; perhaps I will today. Students at our universities should be given proper guidance on freedom of speech as part of their conditions of entry to universities in this country. It is important that students supporting the Beijing Government should not bring their standards of speech and tactics to these shores and our universities. If the Government are not prepared to take the lead in defending Hong Kong students and others at our universities, the obvious leader of that battle for freedom of speech should be the most qualified of all—none other than the noble Lord, Lord Patten of Barnes, who is in his place. He is chancellor of the best university in the land—Oxford—and I hope he does not mind me landing him with another job at this time Again, I congratulate the noble Lord, Lord Alton, a great advocate for freedom and justice, not only in Hong Kong but universally.
ParlaMint-GB_2019-10-24-lords.u119	I think my interests are all registered, not least the fact that, like my friend the noble Lord, Lord Wilson, I had the privilege of being Governor of Hong Kong for five years, the greatest privilege I have ever had The joint declaration incorporating “one country, two systems” was an extraordinary clever, adept way of coping with an issue that was politically and morally difficult for both China and the United Kingdom. It was morally difficult for China because it knew that more than half the population of Hong Kong were refugees from events in China under a communist regime. It was morally difficult for Britain because it was pretty well our only colony that we were not preparing for independence with democratic structures. When occasionally in the 1960s and 1970s Britain talked about greater democracy in Hong Kong, Chinese officials, including, famously, Zhou Enlai, made it clear they did not want that, because it would give people in Hong Kong the idea that they were going to turn out something like Singapore or Malaysia one day—an independent country Moreover, it was always the Chinese Government's position that the future of the people in Hong Kong was nothing to do with the people of Hong Kong. It all had to be determined by the British and Chinese Governments. Nevertheless, it is fair to say that for a dozen or more years after 1997, one country, two systems worked extraordinarily well. There was some rowing back by the Chinese Government on the pledges they had made on the introduction of greater democracy in Hong Kong, saying at a number of points that this was a matter for people in Hong Kong. The joint liaison office, their main point of contact in Hong Kong, threw its weight around too much, but by and large things went pretty well. I think the caesura in Hong Kong, and in the development of China, in the past few years has been the election of Xi Jinping as head of the Communist Party and President of China. Just as that has changed attitudes to economic matters in China, it has had an impact on political issues as well. There has certainly been a tightening of Beijing’s control over Hong Kong in the past few years That is the backdrop to what has happened since the extraordinarily foolish introduction of the extradition Bill. That was seen, not just by pro-democracy activists in Hong Kong but by the business community, as an attempt to dismember the firewall between the rule of law in Hong Kong and whatever passes for the law—I note what the noble Lord, Lord Alton, had to say—in mainland China. We saw the huge demonstrations, which began peacefully but have unfortunately developed a violent edge in the past few months. Bear in mind that this has been going on for four months now. I commend to the House an extremely good article in Asian Affairs by a retired Hong Kong police officer about what has happened in dealing with those demonstrations. First, he pointed out that, starting with the demonstrations on 12 June, which were around the government buildings, the police began to target not just the people behaving violently but a lot of those who were being perfectly peaceful. Secondly, we had the appalling affair in the MTR station and Yuen Long in July, when it was plainly the case that triads and other gangsters were used to beat up demonstrators to help in the policing. All those issues, along with the broader economic and social matters, justify establishing a commission of inquiry. That has been pressed for some months, including by the former Chief Justice Andrew Li and others. It is the most sensible way forward, and I implore the Government to do that in Hong Kong I also implore the demonstrators to recognise that they play into the hands of the Communist Party when they are violent. However, you have to understand that, when you say to them, “You will lose the moral high ground if you behave violently”, they say, “If we are on the moral high ground, who will be there with us? Who will be talking to us?”, because nobody addresses them or tries to form some sort of consensus with them. They are also extremely critical of the way the demonstrations have been policed, which has not been the greatest example of the behaviour of what used to be—and I hope still will be—a great Asian police force I will say three things in conclusion. First, I implore not just the demonstrators to give up the violence, but also Beijing to give the Government in Hong Kong, whether Carrie Lam or anybody else, the elbow room to make some accommodations with the demonstrators. Secondly, I implore the Chinese Government to behave more sensibly in general; most of us have received a rather impertinent letter this morning from the Foreign Ministry, which is a very good example of how the Chinese think that international laws and treaties they have signed must be followed by everybody else but not by them. Lastly, I refer to the Foreign Minister saying that all this has been whipped up by the CIA and foreign forces. It is always a weakness of authoritarian regimes that they do not understand what is happening below. That always causes difficulties I have one final point—I am sorry for going on for slightly longer than I should have. In 2016 I made a speech in Hong Kong saying that I would always support movements for democracy but was totally against any efforts to campaign for independence for Hong Kong, because it was not going to happen and it would be immoral of me to support it. Joshua Wong and others said, “Would you go along and talk to students, and say exactly the same thing?” I addressed 700 students at the University of Hong Kong and made those same points; I did the same the following year, and in between nobody from the Government had talked to them. At the end of that first session, the students said to me, “It’s all very well, Governor Patten, you coming along and making those sorts of remarks, but what happens if the Chinese continue to squeeze us? What will the rest of the world do? What will you do in Britain? What will the United States do? What will Europe do? What will you do personally?” It is a very good question.
ParlaMint-GB_2019-10-24-lords.u120	My Lords, it is a great honour to follow the noble Lord, Lord Patten of Barnes, not just because of his distinguished governorship of Hong Kong but because of the time he spent in Northern Ireland, a place beloved by both him and me, and his distinguished chancellorship of Oxford University, where I find great intellectual nourishment and run a small centre dealing with intractable conflict. It is also always a great pleasure to participate in debates led and hosted by the noble Lord, Lord Alton, who brings not only all his passion and enthusiasm but a thoroughly well-grounded and well-informed speech to start us off. I ask myself what I can usefully contribute after such valuable, insightful and experienced contributions. I will pick up where the noble Lord, Lord Patten of Barnes, left off: what can we do Can the Minister say whether there is any preparedness on the part of Her Majesty’s Government seriously to review the whole approach that has been taken to engagement with China over the last 20 years? I think it was largely informed by a view that, if markets were opened and there was economic engagement with China, a more liberal, democratic approach would, if not inevitably, most likely follow. There is a great vogue for evidence-based medicine. If there was any such thing as evidence-based politics, the evidence is clear that economic openings have not led to liberal democracy. On the contrary, the situation is getting much worse The Minister has freedom of religion or belief as one of his many responsibilities in government. As the noble Lord, Lord Alton, pointed out, the situation on freedom of religion or belief in China itself is deteriorating in a quite extraordinary way. The Chinese Government do not make any apology for it or try to hide it; it is absolutely up front as part of their policy that, unless you follow the beliefs, culture and approach of the Chinese Government and the Communist Party, you are to be squeezed out. I read phrases such as “their bones will be crushed and thrown aside”. These are incredibly dangerous, as well as obnoxious, words from anyone, but from a Head of State and Government they are unforgivable. Are Her Majesty’s Government therefore prepared to review the approach that we have taken When Mr Blair was in government, he was very much of the belief that this was the way to engage. Resources were taken away from many other parts of the world and put into engagement with China because this was the way forward and we could not do without it. If China believes that that is the case, anything we say about Hong Kong or any of the other abuses in China will simply be brushed aside. What does this require? I make one specific proposition: that when it comes to business, our approach to human rights becomes an important agenda item. One reason why Hong Kong was allowed to continue as it was, at least for a period, was that it was the jewel in the crown of China’s economic prospects It is absolutely clear that many businesses are now reassessing whether Hong Kong is the place to be; some are moving to Singapore, others elsewhere. However, it will not do what is necessary if they simply quietly slip away. It is important that it is made very clear to Beijing and the current Administration in Hong Kong that businesses will leave, should leave and may well be encouraged to leave if the human rights situation does not improve and more prospects are not given. I support the call that, at the next Commonwealth meeting, the question be raised of whether—we must do this along with other countries, though we will have to take a lead if we are to ask others—BNO passport holders will be given the opportunity to relocate. It is the best possibility not only for their future but for maintaining them there with some confidence that they have alternatives.
ParlaMint-GB_2019-10-24-lords.u121	My Lords, I too am grateful for this debate, initiated by the noble Lord, Lord Alton. There is a very high level of knowledge and expertise in the House: therefore, I make this contribution with some diffidence. However, the church in Hong Kong plays a significant part in the life of the community there, where it is distinctive, both in terms of worship and religious freedom but also education and social care. Hong Kong has a unique history, and this country has particular responsibilities The parish of St Martin-in-the-Fields, where I was vicar before becoming Bishop of Salisbury, has had a Cantonese-speaking, Hong Kong-based congregation for more than 50 years. At the handover there was some anxiety and much hope for a Hong Kong which developed as a special administrative region and was able to look both ways, inside China and out from China, uniquely connecting China to the wider world We want to stand with the people of Hong Kong. The question is: with which people, and how? It is a place with, to some extent, competing different views of the world. For mainland Chinese, the pride of the nation’s development is measured in education, employment, economic prosperity and healthcare. In Hong Kong, there is a deep commitment to democracy, the rule of law, human rights and religious freedom. The way in which the protests have been challenged and policed has been exacerbated by the use of artificial intelligence in the visual recognition of protesters, the ban on face masks, and so on. The different views of the world are not necessarily opposites, but they are very different emphases. Maybe the role of those of us outside is to exert pressure—to push together the best of what it is to be human, and people together The current disruption has its roots in the extradition Bill, as well as in housing, income inequality and a lack of social mobility. However, it is much more to do with identity. At the handover, it was assumed by some, for better and for worse, that in time, Hong Kong would lose its distinctiveness. For others, Hong Kong brought something distinctive to the Chinese polity, religion, and social and economic life. Now, those aged under 35 in Hong Kong see themselves as Hong Kongers first and Chinese second. In other words, Hong Kong’s identity has been hardened and has grown more significant, not less Of course, the Anglican Church in Hong Kong condemns violence but supports lawful and peaceful protest. From the perspective of Hong Kong leaders, it is less than helpful for foreign politicians to tell Hong Kong and Chinese people what to do and how to behave. The task for us is to work out how to exert pressure from outside so that we stand alongside those to whom we have not just a historic but a present commitment, to encourage the keeping of treaties and international law, and the finding of a peaceful resolution to the present conflicts.
ParlaMint-GB_2019-10-24-lords.u122	My Lords, it is a great privilege to be able to participate in this debate For decades, when visiting vibrant, colourful, lively, bustling Hong Kong, we have seen rapid change melded with Chinese culture, keeping traditions alive, including music on ancient rare instruments. When Bradbury Hospice opened in 1992, supported by Lady Patten and the Jockey Club, several fine compassionate doctors sought palliative medicine specialist education through Cardiff and established world-class services, founded on deep humanity and high clinical standards, sensitive to Cantonese culture. When SARS happened, they cared for those dying and helped contain it As we have heard, Cantonese religious traditions are broad and varied. Some British, interned by the Japanese invaders during the last war, gained inner strength from St John’s Cathedral church’s ad hoc services, and today its Filipino Christian fellowship supports those in domestic service Following handover, Hong Kong’s gentle realignment with mainland China became palpable, while keeping its own distinct identity. Meanwhile, China has developed at an astonishing rate, across all disciplines. To the outsider, China has nothing to fear from Hong Kong—but Hong Kong now fears China, whose more than 1.4 billion people represent almost 19% of the world’s population In the early 1990s, Falun Gong, with its Buddhist origins and fundamental tenets of truthfulness, compassion and forbearance, was favoured by the People’s Republic of China. As it became popular, it was proscribed by the atheistic state, and adherents appear to have been systematically persecuted, imprisoned in labour camps without cause, tortured and an unknown number killed. They are prisoners of conscience, along with Uighurs, house Christians, and Tibetans Those of us in rich, vibrant societies cannot understand what the perceived threat is to the communist state from people whose philosophy is non-violent and peaceful at all times. Yet now there is extensive evidence that China has been killing its Falun Gong prisoners of conscience to remove organs for commercial human transplantation. I recently met Sir Geoffrey Nice QC, chairman of the Independent Tribunal into Forced Organ Harvesting from Prisoners of Conscience in China, whose judgment makes harrowing reading. That evidence-based judgment, delivered in June this year, followed the earlier interim judgment that: “The Tribunal’s members are certain—unanimously, and sure beyond reasonable doubt—that in China forced organ harvesting from prisoners of conscience has been practised for a substantial period of time involving a very substantial number of victims” Is it possible that some doctors could perpetrate such crimes against humanity, even at times taking organs before the person was clinically dead? Shamefully, it seems so. The tribunal’s findings cannot be buried along with the bodies of the victims, so will the Government support the Bill of the noble Lord, Lord Hunt of Kings Heath, to cut off demand from any UK residents who want to participate in this transplant tourism How do we come to terms with this huge country, with whom we work well and trade on a daily basis? We welcome Chinese students to our universities and work with China on many major projects. Cardiff Metropolitan University, which I chair, recently welcomed the Deputy Premier of China and his team to our ZER02FIVE Food Industry Centre to help China develop public health training programmes in food handling. In many scientific and medical disciplines, excellent quality work in research and teaching is being undertaken. Collaboration across boundaries should benefit all Now, as Hong Kong cries out for open government, we have a moral duty to all those British passport holders. We must not abandon the strength and integrity of these people. We will lose highly skilled Europeans through Brexit, yet Hong Kong British should have open entry to the UK. China has nothing to fear from open ethical practices, but much to fear from abusing human rights. Meanwhile, the British people of Hong Kong, living by our code and legal system, must not be abandoned through wilful blindness.
ParlaMint-GB_2019-10-24-lords.u123	My Lords, I have lived and worked in Hong Kong and have been a frequent visitor to China since the early 1980s. This debate comes at a time when tensions in Hong Kong are extremely high, and the prospects of greater violence are increasing. Estimates are that up to 10% of the demonstrators are using violence, and that these people are well resourced and uncompromising. I see nothing to be gained by raking over the recent events and trying to apportion blame. For every rumour of the involvement of PRC undercover agents there is a counter-rumour of CIA interference. This gets us nowhere. The overwhelming priority is to end the violent protests of the extremists, who are damaging the very cause that they uphold, as well as at the same time moving quickly to much-needed and unforgivably delayed reforms in Hong Kong I am a supporter of the joint declaration and the approach of one country, two systems. This was a substantial victory for common sense and was to the advantage of all sides. Unfortunately, rather than seeing this as a holistic concept, some people have concentrated on one rather than the other, which has led to many of the problems we see today An old Chinese saying describes this perfectly: “two people sleeping in the same bed dreaming different dreams”. However, on balance China has adhered to the agreement because it is in the interests of China so to do. Hong Kong remains the pre-eminent financial centre in China and Asia. It is also of paramount importance to Chinese relations with Taiwan going forward Unless there is a complete breakdown of law and order in Hong Kong, I do not see the likelihood of a Chinese invasion. I also do not believe that, if the authorities introduce the necessary reforms, the structure will change even after 2047. If it works, it is good for China and Hong Kong The problems in Hong Kong are principally home grown, in that it has had various ineffective Governments since 1997, which have failed to introduce much-needed reforms in a variety of sectors, both social and structural. While the population of China has become increasingly affluent, the population of Hong Kong, with the exception of the rich, has become poorer and consequently more disaffected. Some of this is due to the dollar peg, which has caused massive asset inflation, which benefits the haves rather than the have-nots The incompetence of the Administration has not been assisted by its poor briefings and overall handling of the media, which sometimes gives a very one-sided view of events. The constitution and performance of LegCo is a big stumbling block. It is less than representative and too pro-Beijing. Its composition needs to be changed. The fault is not all that of the Government, as the behaviour of some democratic Members has been appalling, with outright and needless insults to the very name of China. This lack of respect does no one any good Much needs attention, and we in Britain should be clearly pointing this out to the Hong Kong Government. These matters are arguably more important than issues around passports which, we hope, will never be required. If the “one country, two systems” framework is made to work, it is to the overwhelming advantage of both Hong Kong and China. Hong Kongers will have little interest in passports. That is why all our current efforts should be directed to this objective alone First and foremost, the Government must restore law and order by giving their wholesale backing, including resources and training, to the police. The police are the first and only line of civic defence in Hong Kong, unlike in other countries. They are fellow Hong Kong citizens speaking Cantonese and with houses and children at the same schools in the community. They are not the PLA, which has none of these features or local relationships. It does not matter where in the civilised world you are: if you stab a policeman carrying out his duty, you are likely to get hurt as well as arrested, even if you are a 12 year-old. In the current circumstances, now that the Government have enacted the emergency law, they need to enforce it. The implementation of the face mask ban was a farce The police are already stretched and, unless they get full support, disintegration of the force could well begin. There have been no fatalities yet, but that is where things are headed. Once violent demonstrations are ended and there is a return to peaceful protest, the chief executive can start the conciliation process with inquiries and measures to reform LegCo, housing and much else. With compromise, good faith and good will, and without stirring nationalist sentiment, this can be solved. The Hong Kong Government’s withdrawal of the extradition Bill and their apology for the unintended spraying of paint at the Kowloon Mosque is a good start.
