ParlaMint-GB_2018-10-30-lords.u1	To ask Her Majesty’s Government what action they are taking to support the children of prisoners.
ParlaMint-GB_2018-10-30-lords.u69	My Lords, those who spoke before me, albeit just two, have committed themselves to devolution in Northern Ireland. That is something that I and my party are strongly in favour of. Indeed, records will show that we are the only party that has not dallied with other ideas for Northern Ireland over the past 30 or 40 years. We are strong believers in devolution. We believe that devolution is the way forward. We believe that it serves Northern Ireland well and that the people of Northern Ireland should be making those decisions However, I have some concern when I hear some Members past and present speak who want to cherry pick things that London should be deciding and then maybe Northern Ireland politicians can decide other things if and when devolution returns. We will strongly oppose any attempt to cherry pick and decide what should or should not happen in Northern Ireland. However, if—and I know that the Minister has not said this—it is the opinion that direct rule should return, then let it return in full, not piecemeal, because that gives everybody the worst of both worlds We stand here today ready to go back into a Northern Ireland Assembly tomorrow, with no ifs, ands or buts, and no preconditions. It has to be said here, loud and clear, that it was Sinn Féin members who brought down the Northern Ireland Assembly—and I suspect that, if it were to be restored again, they would do the same all over again at their own timing. That is the way they work There are aspects of this Bill about which we have great concerns. I have great concerns about Clause 4. I do not want to get into technical, legal arguments that I know others will want to address: I will save my contribution on that for Committee. I simply want to point out that some others do not want to point out that abortion is a devolved matter. Legislation in Northern Ireland is the most up-to-date in any part of the United Kingdom, having been decided in 2016 on a cross-party vote. There was no petition of concern, but it was decided on a simple, straightforward majority that the law should remain as it is.
ParlaMint-GB_2018-10-30-lords.u70	My Lords, will the noble Lord explain to the House what the Parliament of the United Kingdom is supposed to do where a matter is devolved and there are no devolved institutions?
ParlaMint-GB_2018-10-30-lords.u71	I simply point out again to the noble Lord that it is a devolved matter—but he consciously ignores that. I would respect him more if he would have more respect for what the people and the elected representatives of Northern Ireland have said quite recently. Furthermore, it is not going to help us to get power-sharing back. That surely should be the aim and the goal of this House: the restoration of devolution, as the Minister has already stated Polling of 1,013 adults in Northern Ireland conducted between 8 and 15 October showed that 64% of people do not think that Westminster should interfere in this issue but should leave it to the Northern Ireland Assembly. I agree with those 64%. The figures rise to 66% of women and 70% of 18 to 34 year-olds. The same polling also shows that 47% of people in Northern Ireland believe that intervention by Westminster would undermine devolution; only 30% disagree Furthermore, I understand that Amnesty has also done some polling on this same question, reaching different conclusions. However, I note, first, that it was conducted by an organisation that is not a member of the British Polling Council. Secondly, it did not release the polling tables for this question; and, thirdly—inexplicably—it left out the “don’t knows” and the “prefer not to says”. This inevitably distorts the outcome. Had the polling I cited been done, the proportion of Northern Ireland citizens saying that Westminster should not intervene would be more than 70% Of course, I accept that all polling has its limitations. The country vote on which we can depend was the election of the Northern Ireland Assembly, of which I was then a Member, by the women and men of Northern Ireland. This Assembly determined, by a simple majority vote and without reference to a petition of concern—I emphasise that—not to change abortion law in any way on 10 February 2016. Of course, if at some future point the Supreme Court issued a declaration of incompatibility with respect to any aspect of our law, the Northern Ireland Assembly would respond appropriately.
ParlaMint-GB_2018-10-30-lords.u72	My Lords, I said when the Bill was first mooted that it was a smokescreen for failure, and that is exactly what it is. It is before us only because the Government have been forced by various actions pending in the courts. One action would have forced the Secretary of State to call an election. The noble Lord, Lord Alderdice, referred some months ago to the fact that the Government had been acting ultra vires for quite a long time. The provocation for it, of course, was when a decision by a senior official in the Department for Infrastructure was struck down over a waste incinerator, of all things. The Government realised then that the civil servants who had been taking decisions could no longer do so and were not prepared to do so. I fully understand their position In many cases we are using the Civil Service in Northern Ireland as a football—as an excuse, in some respects, for not taking other decisions. As long as it is prepared to take decisions and keep things running, everybody can stand back and say, “Things are ticking over okay, there is no urgency” I also want to deal with the appearance that some form of political talks process and action is happening. There is not. Every fortnight, the Secretary of State rings up the party leaders, she speaks to them for a few minutes, asks a number of questions—probably off a list—and that is about the height of it. There is no formal process and there has not been one for months. There is nothing happening in that area at all The Minister has brought several pieces of legislation before us over the past year and we have had this conversation many times. He has said that we cannot continue with this, we cannot let this go on any longer, there is only so far we can push it. I have to say to the Minister that he has developed the ability to say nothing with great conviction and compassion. I do not believe that if he was put in the spotlight he could actually defend what is being done here. On the formation of an Executive, the dogs in the street know that there is not going to be an Executive this side of Brexit. Everybody knows that. Secondly, of course, in the last formal process between the parties, which ended in February, while there was no agreement between the parties at that stage, there was clearly a set of understandings that were to be put to the respective parties for their approval. That blew up in their faces at that time. So getting that process going again with the existing personnel in place is going to be extremely difficult The other thing that has happened is that support for devolution and for the Assembly is withering. The behaviour of the last Administration was absolutely outrageous by any standards. Anybody who has paid the slightest attention to the inquiry conducted by Sir Patrick Coghlin into the RHI would be shocked and appalled at the attitude and the culture that were operating in that Executive, where spads, paid enormous sums of money—between £85,000 and £92,000 a year—were able to effectively run departments. That applies to both the DUP and Sinn Féin. Sinn Féin’s Minister had to go cap in hand to somebody who was not allowed to be a spad, who did not even have that capacity but was in Sinn Féin headquarters, to get permission to see whether they could bring the heating scheme to an end and put a cap on the prices. A DUP adviser, when he thought the money was coming from annually managed expenditure, which is outwith the block grant, said that we could fill our boots. This is the attitude. This House and this Parliament seem to be oblivious to it; the Government know what is going on; they have not covered it up but have ignored it. They have turned a blind eye for months—for years. People are disgusted and fed up. Every time this happens, it is harder and harder to get things going I have drawn attention to issues concerning health. There is the issue of institutional abuse, which I know is coming forward in Committee. On health itself, I believe we have to take some decisions on humanitarian, not on political, grounds. With our waiting lists, people’s lives are being directly affected and injured as a result of the inability to have a Minister in place I say to this House and to Parliament in general that this situation cannot continue much longer, but as long as the Government are prepared to turn a blind eye to it, it will. There are no initiatives at all. Regarding the issues in Clause 4, while the public have latched on to this and we have all received lots of emails, nothing in this Bill is actually changing the law. People misunderstand that: they think the law is being changed, but it is not. To some extent, it is smoke and mirrors. Those who will be happy with the idea that the law is changing will be disappointed, and those who are not happy that the law is going to be changed are obviously frightened by this The Minister should at least clarify the legal position. We all know that the efforts to clarify the situation for civil servants are only going to last between now and the next judicial review. We will be back here in a few months in the same pickle as we are in today.
ParlaMint-GB_2018-10-30-lords.u73	My Lords, my intention is to speak about Clause 4 only and the legal situation which is the background to it. I am taking no position on the substantive issues which underlie the clause, but it is quite clear that the intention of those who promoted the Motion put to approve Clause 4 as an amendment in the House of Commons, on a free vote, was to bring the law on abortion in Northern Ireland into line with modern law on the other side of the Irish Sea. The position is that abortion has been made a devolved subject. Therefore, the only statutory authority with authority to alter the statutes and statutory instruments is the Legislative Assembly of Northern Ireland and Ministers of that Assembly. There is no power whatsoever in the United Kingdom Parliament to interfere with that while it is devolved The noble Lords, Lord Steel of Aikwood and Lord Bruce of Bennachie, mentioned that there is a border in the Irish Sea on this point. That is certainly true. There are borders between here and Scotland on a number of things, including, for example, free prescriptions in the health service. It is part of devolution that the law on one side of the devolved border may be different from the law on the other side. I am a little surprised that exponents of devolution found that surprising, but that is the fact. That is part of the background of the law on this matter. The devolved issue is one, as I say, for the Northern Ireland Assembly and Ministers acting as Ministers of that Assembly Where that is the law, the question of the Human Rights Act is important. Your Lordships will recollect that the Human Rights Act does not modify existing law. There is a power in the courts to declare a provision of British law—this would apply in Northern Ireland as well—incompatible with the convention provision in the Human Rights Act. That decision of the courts does not affect the law unless and until it is acted on by Parliament. Perhaps the best example of that was the relationship between the Westminster Parliament and prisoners’ voting rights. That was declared incompatible with the convention rights by a Scottish court many years ago and the English court followed it, saying it was not necessary to do it twice because there was nothing wrong with the way that the Scots had done it—which is a compliment that I always like to hear. Anyway, that is what happened, and it remained the law of the United Kingdom for a long time. There have been some slight modifications recently but the idea that the Human Rights Act changes existing statutes is wrong. It is part of the provision of the Human Rights Act that it does not do so Therefore, the only authority to alter the existing law and bring it into conformity with the Human Rights Act is the legislature in question, if it is a statute that is in issue. Therefore, there is no question that the Secretary of State could by guidance alter the law in this matter, which is to a considerable extent defined by statutes which are in existence and in force in Northern Ireland. The Secretary of State is mandated to do this—she must do this—but if she were to make an order, it would be immediately set aside because it is quite clear from the statistics that have been given that not everybody in Northern Ireland is of exactly the same mind in connection with abortion. If it were so, it might pass without any challenge but in Northern Ireland that is extremely unlikely. Therefore, if the Secretary of State were to make an order trying to escape the existing statutes of Northern Ireland relevant to this subject, she would be immediately struck down as doing something which she is not entitled to do. The fact that she would have been asked to do that by Parliament is an extraordinary situation I know that those who moved this amendment in the House of Commons did so with that in mind—that this might be a way forward—but in this House we must take the view that that is not possible. I tabled an amendment for Committee—the last one, which will presumably come fairly late this evening—about that. I am proposing to move the amendment so that discussion will be possible but I do not intend to press it to a Division because abortion has always been—rightly, because it is a matter of conscience—on a free vote. This amendment was passed on a free vote in the House of Commons and therefore I do not intend to press it here. There may be others who want to do that and the fact I have tabled the amendment makes that possible. I just make it clear that I am not going to do that because it would be completely ineffective in producing the result that the movers of it wanted.
ParlaMint-GB_2018-10-30-lords.u74	My Lords, the Bill is a sad necessity and many of us hoped that the Executive and institutions would have been restored in Belfast long before today. I will make just a few brief comments One of the arguments that has been put is that we should stop paying Members of the Legislative Assembly. I know that their pay is going to be cut a bit but I caution against doing more than that small cut, simply because if we take away all income from Members of the Legislative Assembly, they will have to find other jobs, and then when the Executive is restored we will have no politicians ready to take over and we would denude Northern Ireland of some people who would have a part to play in public life there. So I would caution against being too harsh with the pay of Members of the Legislative Assembly I have tried to understand what constraints the Bill seeks to permit or not to permit in terms of decision-making by civil servants—and I am bound to say that I found it pretty difficult. I have read the bits of paper, but maybe the Minister will throw some light on this in winding up. Of course, the civil servants in Northern Ireland have, by tradition, done a pretty good job. They are used to it. Ministers come and go, and the civil servants stay—but in the absence of Ministers they tend to be excessively cautious. One cannot blame them for that, but the difficulty with excessive caution is that very little will happen unless we take away the constraints that the civil servants impose on themselves Let me give a few examples. On the Parliament channel I happened to stumble on some Northern Ireland television and saw a bizarre example, which I think I have now had confirmed. It is not proper for Members of the Legislative Assembly to put on the noticeboard above their constituency office more than their name and their party; they may not put their email address or their phone number. Indeed, if that television programme was right, David Ford, a former Justice Minister, will lose his Assembly money and be penalised by £10,000 because he put his email address and phone number on the sign above his office door. I cannot think of anything dafter or more absurd. I hope that the Minister will find a way of getting rid of that stupid anomaly and giving David Ford the money to which he is surely entitled under the present provisions. We spend our time—or at least, they certainly do in the Commons—trying to make ourselves available to the public, yet there, by some bizarre reason, things go the other way I have been trying to understand the details of the Budget. I have not yet managed to do it all, but I understand that there are some provisions for extra expenditure in Northern Ireland, including expenditure on shared and integrated education projects. Is that extra money now available to be spent on integrated schools, and will civil servants get the go-ahead to do that, rather than having to wait until the Executive is restored? Integrated education is surely crucial to politics in Northern Ireland, and to harmony among communities. All we are saying is that parents in Northern Ireland would like to have the choice of integrated education, and I would like to feel that, on the basis of yesterday’s Budget Statement, there is a bit of money in the budget available for this purpose I also note what the Bill says about appointments. I think that there are some other appointments that are not listed, and the danger is that if the Secretary of State permits appointments to be made only fairly late in the day, there could be a lame duck in a senior post, not knowing whether he or she had a future. That is a very unsatisfactory position to be in. I urge that the Secretary of State should give as much notice as possible in the case of renewing appointments, or of removing appointees and appointing new people, so that there is at least some continuity. That would be fair to Northern Ireland and to the people concerned I am worried about what the decision-making will mean regarding planning constraints. There have been one or two such cases in Northern Ireland, and in the past few months civil servants have very cautious about giving the go-ahead for major projects requiring planning permission, because they are concerned about whether they have those powers or not. Planning constraints are important, but I hope there can be at least some relaxation, so that worthwhile projects that would create jobs and be beneficial to Northern Ireland are not held up. When people want planning permission for such projects they cannot always wait. They may not have the money to sit tight, and the chance will go away. The Minister will know of some examples I note what the noble and learned Lord who preceded me said about abortion, but I want to leave that until we deal with the amendment Penultimately, may I ask the Minister a question that he will expect to come from me—one about child refugees? I know that some parts of Northern Ireland have taken Syrian families, but I would like the Minister to answer this question: can it be made possible for Northern Ireland to provide foster accommodation for child refugees through the scheme under Section 67 of the Immigration Act? I have been told by people in Northern Ireland that they would like to co-operate, and there are local foster parents who would be willing. I understand that it is a matter for the health boards. I have talked to lots of people and they are all keen that there should be some progress. Can the Minister throw some light on whether that would be possible, or could be made possible Lastly, the Minister talked at a number of points in his speech about the consent of the Northern Ireland parties to one or two specific issues. I wonder how widely it could be made a principle underlying the Bill that the Northern Ireland parties should be asked in an informal consultation process about some of the issues we are talking about today. That would help to move things along. It would not give a mandate or make the process legal in terms of devolution, but at least consulting the Northern Ireland parties on some of the changes that need to be made might not be a bad idea.
ParlaMint-GB_2018-10-30-lords.u75	My Lords, the columns of our newspapers in Northern Ireland are frequently filled with people giving their wise or otherwise comments on public affairs. In the last few weeks the discussion of the Bill that is before the House today prompted one writer to say, “Here we go again”—and I have a feeling that that is the emotion that many noble Lords will be feeling at this moment. Because I believe that that is a danger in its own way, we need to put everything that we are saying this afternoon—and, as I have been reminded, this evening—in the context of what the reality is Yes, here we go again: we face another look at the disastrous consequences of a failure to establish a local Administration at Stormont. We all know the story, the excuses and the reasons, and we are left in no doubt that, even though at one stage in recent history, we are told, the main parties were within grasping distance of an agreement, no agreement was possible. For my part, I believe that we would be failing the people of Northern Ireland, who are after all the substance of what we are doing, if we did not realise that, no matter what the details are of our discussion and debate, it has an effect right across the board on a society that in many ways is unique It is unique because it is a devolved Administration and because many of the things that have happened question the value of devolution and the way in which the United Kingdom goes about it. In the margin of many of the arguments that we have heard over and over in this House, there are questions of a fundamental nature that we find it comfortable to avoid, such as: does devolution mean the New Jerusalem to those concerned because power is given to local politicians? When those local politicians find that the margins in which they are asked to work are not possible, we then ask the bigger question: does that mean we have somehow got the theory of devolution wrong Once more the disastrous consequence of the failure to reach agreement on the formation of that devolved Administration for which we had such hope at the time of the Good Friday agreement is that our people are being denied a voice on serious issues. The reality is that this failure means that medical services, education, social services, roads, transport and indeed victims face impossible odds because Stormont cannot take serious decisions It would be very easy to place much of what we are talking about this afternoon in a context that takes us away from the reality of the experience of Northern Ireland. It is a society which has suffered much and which is still trying to come to terms with the wounds of the Troubles. They are not just physical or obvious wounds. They are the failure to build relationships, to mature in political relationships and to understand that within our grasp, if we have the rare will to do it, we can achieve much that has so far eluded us. The absence of this local devolved Administration in these days as Brexit comes galloping—dare I say?—across the Irish border, fast approaching with all its unanswered questions, means that Northern Ireland is bereft of the presentation of its local voice We have been reminded by the Minister that this is the Government’s attempt to meet a unique situation. We are told that it is one means of encouraging local government in Stormont. It places on our Civil Service responsibilities to take actions that could easily lead it into a legal minefield. That, for me, is a real concern. It causes long-term questions on the theory of devolution. We are bound to ask: after this Bill, what happens next? What happens if the consequences of this Bill falter yet again? Will the Government face another situation where special needs must be met by special provisions? Are we, in fact—I ask the Minister directly—in danger of setting a precedent that could be interpreted in other devolution relationships in the United Kingdom? Today we face decisions affecting the people of Northern Ireland which their representatives, rather than Westminster, ought to take.
ParlaMint-GB_2018-10-30-lords.u76	My Lords, no one in this House who has just heard what the noble and right reverend Lord said would feel anything other than the most profound sympathy, both for what he said and the picture he painted. I am English but married to an Ulsterman and go regularly to Northern Ireland. I heard that with mounting depression, but it does not surprise me. I also feel a great deal of sympathy for the Government, who are doing their best not to take over. They are doing their best to allow for a situation in which they can persuade those who do not seem to want to be persuaded that they must form an Executive and recall the Assembly I want to say a few words about Clause 4, which is not, of course, government-inspired, for obvious reasons. In the other place, there were interesting and useful arguments on devolution and human rights. It is not necessary to explore those today, except to say that the Supreme Court has criticised the situation in Northern Ireland in no uncertain terms. I particularly remark on the speech of the noble and learned Lord, Lord Kerr, who was the Lord Chief Justice of Northern Ireland, and was perhaps more outspoken about the injustice to the women of Northern Ireland. On the Bill itself, even if there had been a declaration of incompatibility, as a previous speaker seemed to think, the Supreme Court could not make it because it came from the commission, not an individual, so there was no declaration. As the noble and learned Lord, Lord Mackay, pointed out very clearly in his exposition of the law, a declaration of incompatibility would not help at all in this situation. If he is right, as I assume he is, abortion is currently more serious an issue than same-sex marriage because at least there can be civil partnerships. The current situation on abortion is, however, as the Supreme Court said, profoundly unfair. I would not want to open the floodgates of easy abortion to Northern Ireland, but certainly there are situations of rape, incest and foetal abnormality that absolutely cry out to be dealt with Having heard the figures from various noble Lords, it is interesting that, like many others, I have had a lot of emails from women supporting the clause and women opposing it—more supporting the clause. I feel, “Poor dears, what do they think this clause really means?” The clause means absolutely nothing on abortion. It will help no one, and it raises expectations with a clear misconception, misunderstanding and misinterpretation of what the clause will say when it inevitably becomes law As the Secretary of State in the other place said, the clause puts an impossible burden on her because she will be expected to do something. Those who disapprove of it will see that she may do something they do not like. Those who want it—despite some of the figures we have heard, many women do want it—will find that she cannot do it. Her civil servants cannot do it. As the noble and learned Lord said, if they tried to do anything, they would rightly be slapped down by judicial review because sufficient people would oppose it for it to be taken to the Northern Ireland courts There has been a very well-meaning attempt by Members of the House of Commons to circumvent devolution by putting in a clause that I cannot believe they thought would mean anything or would do any good. I do not understand what they thought would happen but it will send a message—or a number of messages. I was told yesterday by somebody from Northern Ireland that this could even send a message that might have some adverse effect on the Good Friday agreement. That may be a step too far but it is certainly something that one cannot ignore. It is the expectation that has been raised that is so sad. What will the Belfast Telegraph, the News Letter or other newspapers in Belfast say after this goes through and becomes law If anything is to be done, the Government will have to take over the management of Northern Ireland and, in doing so, the point made by the noble and learned Lord will fall away because London—Westminster—would be making the laws. If Westminster makes the laws, it could change the Offences Against the Person Act, but until the Government do that—and they have absolutely no intention that I can see to do that, for obvious reasons—there is a stalemate, and nothing useful can be done. It is very unfortunate that seeing the Bill through on one day, for perfectly good reasons, means that there is no time for reflection on the best way forward. Clause 4 will pass and it is very unfortunate that it will become law.
ParlaMint-GB_2018-10-30-lords.u77	My Lords, I rise to support this Bill—the fifth piece of fast-track Northern Ireland legislation this Session. I confess that I do so with a slightly heavy heart, because legislating this way is far from ideal, as the Constitution Committee— of which I am a member—points out in its report. However, I sympathise with the Government’s predicament. Last year, as a Minister in the Northern Ireland Office, I brought before your Lordships’ House a fast-track Bill to extend the limit for creating an Executive to 108 days. Going the extra mile to try to restore devolved government in Northern Ireland is clearly right. By all accounts, as has already been pointed out, the DUP and Sinn Fein came within a whisker of an agreement in February. Further extending the time available is an understandable impulse, but will the sense of urgency to strike a deal diminish with each deadline passed and then extended? What happens if stalemate persists at the end of extra time, when there is no political equivalent of a penalty shootout to break the deadlock? These nagging questions remain All that said, in the circumstances I believe that the Bill is the least-worst option judged against two pretty unattractive alternatives. Those are either that there will be another Assembly election that changes little, with a campaign that might unhelpfully raise the political temperature; or that the spectre of direct rule returns. No one wants that; history has shown that it is not easy to escape from—it took nearly five years the last time That is why the current state of affairs is so frustrating. Between the end of direct rule and the dissolution of the Assembly in January 2017, Northern Ireland enjoyed the longest unbroken period of devolved government since the dissolution of the old Stormont Parliament in 1972. That was nearly 10 years in which there were real and positive steps forward in Northern Ireland, and it is a more peaceful and prosperous place today as a result. Yet, just at the moment that Northern Ireland should be driving forward and building on the progress of the last two decades, it has languished for 22 months without executive Ministers. If negotiations go to the wire allowed for by this Bill, the vacuum could in theory persist for another 10 months. That is nearly three years without an Executive developing policy and being held to account by a fully functioning Assembly This is a troubling democratic deficit that our UK Parliament could never hope to make up. However, if further legislation is required, or fresh guidance from the Secretary of State, I hope the Government will be mindful of the need to provide as much time as practical for this Parliament to scrutinise and debate what is proposed It is, of course, the Buick judgment in July that has forced the Government to act now. The court judged that decisions normally for a Minister to approve lie beyond the competence of a senior civil servant in the absence of a Minister. However, the court offered no definitive view on where the dividing line should be drawn. Matters that are significant, controversial or engage more than one department would normally be a collective executive decision, and therefore are clearly beyond a senior civil servant’s competence, in even these exceptional times The Bill still leaves a very large grey area. In the absence of this Bill and in the face of a heightened risk of further legal challenges, one can well imagine how there might be a chilling effect on Civil Service decision-making. The Bill seeks to fill that void. However, the lines between policy and administration are never clear cut. The scheme set out in Clause 3 and draft guidance attempts to strike a balance that is difficult, if not impossible to achieve—balancing sufficiently wide scope of administrative discretion with the controls on how that discretion is exercised, without normal accountability mechanisms. The Constitution Committee’s report highlights a number of constitutional issues, including the breadth of conferred powers, lack of clear lines of accountability and the retrospective effect of Clause 3. However, the committee accepts that exceptional times require an exceptional response, while expressing concern that the Bill’s exceptional and constitutionally challenging provisions are not taken as precedents for future legislation Whatever our concerns about the Bill, we must not lose sight of the bigger picture. In the absence of fully functioning devolved institutions, decisions crucial to the future prosperity and security of the people of Northern Ireland are simply not being taken. Devolved corporation tax designed to give a boost to Northern Ireland’s economy is stalled; £2 billion of critical economic infrastructure, such as the north/south electricity interconnector and the new Belfast transport hub are in a holding pattern. Recommendations from the Hart report into historical institutional abuse are unimplemented. A strong elected voice representing Northern Ireland’s interests in the Joint Ministerial Committee discussions to prepare for Brexit is absent, not to mention the pressures facing schools and hospitals. Nothing in the Bill will directly change this state of affairs. One can only hope that the Bill provides a space to facilitate a political resolution My last official engagement as a Northern Ireland Office Minister was on 7 June last year, on a windswept ridge in Flanders, at the ceremony to commemorate the centenary of the Battle of Messines. The battle has great symbolic significance for the island of Ireland. Soldiers from the 36th (Ulster) and 16th (Irish) Divisions fought together for the first time during the First World War. Unionists and nationalists set aside political differences to unite in a common cause. Their story and sacrifice made a powerful impression on all those there, nationalists and unionists alike. The example of those servicemen echoes down the years and stands as a rebuke to those who have not—after nearly two years—resolved their differences. As we approach our own national day of remembrance, I hope that Northern Ireland’s political leaders will reflect on the example set by those soldiers, rise to the same heights of leadership and do right by the people of Northern Ireland by restoring the devolved government they clearly want, urgently need and so richly deserve.
ParlaMint-GB_2018-10-30-lords.u78	My Lords, regrettably we are again discussing another piece of legislation that should not have been necessary. Once more, we are holding a debate against the backdrop of a Northern Ireland with no locally accountable decision-making body in place. None of us wants to be in the current situation with no local decision-makers. As I have said many times before in this House, it is vital that we move forward positively. Northern Ireland has moved on considerably during the last decade and, despite the present situation, none of us wants to go back to where we were in the past. In the context of the continued absence of a fully functioning Assembly and Government, legislation such as this is necessary to facilitate the continued governance of public services. Bills require scrutiny, analysis and examination. This is the level of accountability that one should expect. Time does not allow for a great deal of that today and I would, naturally, prefer that such matters were scrutinised in the context of Stormont. Unfortunately, this is not the present reality I support the Bill, but I do so cautiously as it is limited in scope and far from an ideal solution. Before focusing on a couple of specific concerns, it is important to look at how we have reached this situation. It is worth repeating that we are discussing these matters in your Lordship’s House, and in the other place, only because of one party’s narrow agenda. Instead of a fair and balanced way forward, the party that collapsed the Stormont Assembly in January 2017, and refused to return, continues to halt progress in re-establishing a Government. One party continues to place the fulfilment of demands ahead of governing in the interests of everyone in Northern Ireland. Unfortunately, the result is that there is little prospect of a return to local decision-making at this time The legislation before us, although welcome, will continue to present challenges. Unaccountable senior civil servants have been tasked with taking decisions within departments for a considerable period of time. It is true to say that in some instances, decisions have been delayed and many are still not being made. I commend the Government for being proactive in issuing supporting guidance to the Civil Service so that it can get on with its job of doing the necessary work to advance day-to-day living in Northern Ireland The Buick ruling undoubtedly undermined the status of officials. Although the legislation and guidance are aimed at dealing with this directly and at providing some advice and clarity to reassure officials, I remain concerned that it gives limited scope for decision-making. There are still real concerns that decisions will be subject or open to judicial review or legal challenges. Does this legislation do enough to minimise the possibility of such a scenario It is to be welcomed that there is some assurance that decisions can be made, although it is likely that these will be non-controversial, covering planning and investment, which enjoy a broad consensus. I welcome the Government’s clarity in the other place that a decision such as that on the transport hub, which is crucial to Northern Ireland’s economy, can be advanced under the terms of the legislation. Policing Board members and other appointments can now be made, and this is extremely important There is now a specific requirement for senior department officials to report monthly directly to Her Majesty’s Government on decisions that have been taken under the Bill. This is an important point which deals with transparency, and I am pleased to see that it has been included There are some understandable fears of a continuation of the current situation, in which decisions in a range of areas, such as education, health, housing and major projects are not being taken. The Bill provides no certainty on key decisions. Permanent Secretaries in a number of departments have been cautious to date about advancing the number of decisions which have been in the pipeline for a considerable time. More than 200 decisions have lain in abeyance across departments since the suspension of the Assembly, and although we have made some progress within this Bill, there is no compulsion for officials to make key decisions that impact on the people of Northern Ireland These decisions need to be made if we are to see day-to-day public services restored to the level at which they should be. Budgetary decisions also need to be taken urgently, and policing and departmental spending challenges will continue to be an issue in some cases, as the allocations officials are working with are based on historic decisions taken by the previous Assembly On Clause 4, regardless of one’s personal views on abortion, it must objectively be accepted that this is a controversial issue in Northern Ireland. An amendment has been tagged on to this Bill, and this does not allow enough time for proper consideration or scrutiny of this matter. It is also the case that, in the United Kingdom, this is clearly defined as a devolved matter. The courts have recognised that this issue is, rightly, for the relevant democratic body, which, in this instance, is the Assembly. This is an attempt to change the law. As the Government have previously noted, guidance cannot do that. Any change in the current law in Northern Ireland will require legislative change. This provision is asking the Government to ask officials to do something that is impossible in law. This clause is therefore an inappropriate vehicle, regardless of the substantive issue involved Given that we are now approaching two years since the Assembly last met, we have reached a point where there needs to be some level of political decision-making, accountability and public scrutiny. Decisions will need to be made on a range of issues. I ask the Minister to provide assurance to departments that relevant ministerial approval will be provided.
