ParlaMint-GB_2018-06-12-commons.u1	1. What steps he is taking to support economic growth while decreasing emissions.
ParlaMint-GB_2018-06-12-commons.u138	We can take Question 19, if it is brief.
ParlaMint-GB_2018-06-12-commons.u139	19. What the Government’s policy is on tidal lagoons.
ParlaMint-GB_2018-06-12-commons.u140	The right hon. Gentleman knows, more than many in the House, the need to invest in innovative technologies, while maintaining a focus on value for money. We have rightly looked at this project with very serious scrutiny. There are some very attractive things about it, but it has to pass the value for money test. When that decision is made, the House will be the first to know.
ParlaMint-GB_2018-06-12-commons.u141	Does the Minister accept that nuclear and offshore wind needed pathfinder projects, first-of-a-kind projects, to prove the technology and the economics and to get the cost down. Why can tidal lagoons not have such a pathfinder project, just as Charles Hendry recommended?
ParlaMint-GB_2018-06-12-commons.u142	Partly because of the right hon. Gentleman’s great policy decisions, we have had a world-leading advance in offshore wind in terms of the cost at which we can deploy it. He is right to say that we have to consider the whole life cycle of technologies and that is exactly what we have been doing in considering tidal technology.
ParlaMint-GB_2018-06-12-commons.u143	The right hon. Gentleman has been given the accolade of being the source of world leadership in a particular field. I trust, therefore, that he will be gratified with his efforts today.
ParlaMint-GB_2018-06-12-commons.u144	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2018-06-12-commons.u145	Since our last departmental questions, we have taken further steps to implement our industrial strategy. In early May, we launched UK Research and Innovation, with a budget of £6 billion a year, to drive forward our growing investment in research and development. The Prime Minister announced four missions that our grand challenges will achieve, including to save 20,000 lives a year through artificial intelligence-assisted cancer diagnosis. We have launched sector deals in AI, convened the first ever Retail Sector Council and launched a major programme to drive productivity in smaller companies. On the 150th anniversary of the creation of the TUC, from the party that established the royal commission that decriminalised trade unions, that brought in widows pensions and holiday entitlements, that created the national living wage—in other words, Mr Speaker, the true workers’ party—we wish the TUC a very happy birthday.
ParlaMint-GB_2018-06-12-commons.u146	Of course, I say to the Secretary of State that the Labour party was founded by the trade unions My question is about retail. In Hull, retail employs 12,000 people. Hull’s House of Fraser store is going to close, with the loss of 207 jobs. Hull has three Poundworld stores that are under threat and there are also concerns about Hull’s Marks and Spencer store, which may be one of the 60 unidentified branches closing by 2022. After the Comet collapse, which cost taxpayers some £45 million, what is the Minister going to do to assist shop workers and protect taxpayers?
ParlaMint-GB_2018-06-12-commons.u147	The hon. Lady will concede that the efforts and engagement through the city of culture year between the Government and Hull were very substantial and very effective. I am familiar with the House of Fraser store in Hull. I know what an important part it plays in the life of the town centre. I understand that the council is confident that such a prime site, which I know well, will be taken up. I will work closely with the council to make sure, through the sector council, it has all the help it needs.
ParlaMint-GB_2018-06-12-commons.u148	T4. Will my right hon. Friend update the House on what he is doing to support vulnerable people in Mid Dorset and North Poole with their energy bills?
ParlaMint-GB_2018-06-12-commons.u149	Of course, the whole House will shortly be able to pass the price cap Bill, which will assist all consumers with the cost of energy, and this comes on top of the prepayment meter and vulnerable consumers price caps that are in place. We are determined to continue supporting vulnerable consumers through such things as the warm home discount, winter fuel payments and repurposing the very large energy company obligation scheme to tackle fuel poverty.
ParlaMint-GB_2018-06-12-commons.u150	T2. Will the Secretary of State please think of the 150,000 homes that it would power, the thousands of jobs that it would create, the supply chain business that it would support in Wales and the west, and the climate change that it would tackle, and get off the fence and announce Government support for Swansea Bay tidal lagoon today?
ParlaMint-GB_2018-06-12-commons.u151	I have always admired the hon. Lady’s passion. Again, as I have said multiple times, we absolutely are very keen to scrutinise this deal. It has to deliver the low-carbon energy we all want and the jobs we all want at a price that is affordable for the consumers we all represent.
ParlaMint-GB_2018-06-12-commons.u152	T5. Following my Adjournment debate on 4 June, what steps has my right hon. Friend been able to take to progress geothermal energy in Clackmannanshire?
ParlaMint-GB_2018-06-12-commons.u153	Those who missed the Clackmannanshire energy project Adjournment debate missed a massive treat: it was a very enjoyable, informative debate. We are very supportive of the project. My officials are working closely to explore funding opportunities, and I commend my hon. Friend for his continued leadership in this important area.
ParlaMint-GB_2018-06-12-commons.u154	T3. Last night, I had the pleasure of travelling on the sleeper from Inverness to Euston, and with me on the sleeper was a consignment of delicious highland shellfish products. What are the Government doing to assist the transportation of fresh highland food products to markets in the south and, indeed, overseas?
ParlaMint-GB_2018-06-12-commons.u155	As you may well be aware, Mr Speaker, highland products are absolutely excellent and should well be distributed to all parts of the UK. The Government’s policy, with the industrial strategy to develop business by helping with research and development and through keeping fuel prices low, without the troughs and peaks that the Secretary of State mentioned, will help significantly.
ParlaMint-GB_2018-06-12-commons.u156	T8. Each year, I organise the Wiltshire Festival of Engineering, and this October’s event is set to reach thousands of young children. What will the Department be organising for this year’s Year of Engineering?
ParlaMint-GB_2018-06-12-commons.u157	The Festival of Engineering is particularly important for students because we want to encourage and inspire people to take engineering subjects and follow engineering careers. A lot of activity is planned and I will be delighted to share this with my hon. Friend.
ParlaMint-GB_2018-06-12-commons.u158	T6. With Government support for the third runway at Heathrow coming on top of Crossrail 2, is this not yet another example of infrastructure spending going to the south-east of England? Will the Secretary of State now up the ante and make sure that we get the infrastructure spend to realise the northern powerhouse?
ParlaMint-GB_2018-06-12-commons.u159	We are getting on with major infrastructure investments that would be good for the whole United Kingdom and that the previous Government did not take.
ParlaMint-GB_2018-06-12-commons.u160	T9. Like all good films, I hope that a Government response to the Hendry review is “Coming Soon”, but meanwhile, will the Minister share with us whether she agrees that the opportunities for marine energy, whether tidal stream, tidal lagoon or waves, are enormous? Does she agree that they deserve more support and encouragement to develop this fantastically innovative source of additional low-carbon, domestically produced energy?
ParlaMint-GB_2018-06-12-commons.u161	I must pay tribute to my hon. Friend’s brilliant chairmanship of the all-party group on this technology area. He is absolutely right: we do think that water power has incredible potential. That is why the Government have invested over £100 million since 2010 in investigating various forms of the technology and why we are keen to continue to pursue opportunities, but they have to be at the right price for consumers.
ParlaMint-GB_2018-06-12-commons.u162	T7. What assurances has the Minister received that the British steel industry can supply Heathrow expansion sufficiently?
ParlaMint-GB_2018-06-12-commons.u163	As I hope the hon. Gentleman is aware, I meet the steel industry regularly, and I am very interested to meet him to hear his views on the subject. I can assure him that everything that can possibly be done to deal with tariffs is being done. I had a meeting with all the chief executives of the steel business. I went to Brussels last week and met the director general of trade, as well as other CEOs and European colleagues.
ParlaMint-GB_2018-06-12-commons.u164	High street businesses lose out when banks close, pensioners lose banking services, and post offices are also facing challenging times. What can be done to make sure that the main high street banks provide their services at least in a host post office that acts as a hub?
ParlaMint-GB_2018-06-12-commons.u165	My hon. Friend, who makes some important points, will know that the Government have invested £2 billion in the post office network to ensure that across the country, in communities where retail banks are closing, the Post Office can step up and allow his constituents and businesses, among others, to access both personal and business banking in their local post office. That is good for the post offices and for our communities.
ParlaMint-GB_2018-06-12-commons.u166	T10. Dewsbury town centre is a shadow of its former self and has the second highest rate of vacant units in the country. Will the Minister tell me exactly what the Government are doing to deal with the decline of high streets in northern towns such as mine?
ParlaMint-GB_2018-06-12-commons.u167	The hon. Lady will know that the retail sector is particularly impacted on by changes in consumer behaviour. More people are shopping online, and that is a challenge for the sector. There is no silver bullet, but through the retail sector we are sitting alongside industry and trying to understand the challenges it faces, such as on business rates and how we adapt to ensure that we not only help the sector to make that transition, but protect the jobs of the 3 million people employed in the sector.
ParlaMint-GB_2018-06-12-commons.u168	When will the Government respond to the joint report on Carillion by the Business, Energy and Industrial Strategy Committee and the Work and Pensions Committee?
ParlaMint-GB_2018-06-12-commons.u169	I thank my hon. Friend for his question and thank the Select Committees for their work on Carillion. They did a truly remarkable job in holding the directors of Carillion to account and uncovering exactly what went on with the Carillion collapse. I think the report was issued on 16 May, and the Government have 60 days in which to respond, but I can assure him that we are doing all we can to meet the challenge.
ParlaMint-GB_2018-06-12-commons.u170	Order. We have run out of time so we must have very brief questions. I think a sentence will suffice.
ParlaMint-GB_2018-06-12-commons.u171	Factory output has decreased, according to the papers today. Will the Minister outline what he can do to assist factory manufacturing and initiate a clear industrial strategy?
ParlaMint-GB_2018-06-12-commons.u172	As the hon. Gentleman knows, through the industrial strategy, which has been developed in close collaboration with the Engineering Employers Federation, and through investment in research and development and skills, we are doing everything we can to take the opportunities arising.
ParlaMint-GB_2018-06-12-commons.u173	Given the success of auto-enrolment, will the Minister outline what steps the Department is taking to ensure that as the country saves more, we invest more in British industry?
ParlaMint-GB_2018-06-12-commons.u174	The hon. Gentleman will know that through the industrial strategy we are doing all we can to support British business and make sure it gets the investment it needs, particularly through the British Business Bank, which is looking to release £20 billion of patient capital to give our businesses the rocket fuel they need to grow.
ParlaMint-GB_2018-06-12-commons.u175	The decision by JLR to invest in electric vehicles is very welcome, but equally the decision to produce the Discovery model in Slovakia is profoundly worrying. Does the Secretary of State agree that it underlines the need for tariff-free access for both cars and components in the EU?
ParlaMint-GB_2018-06-12-commons.u176	I agree with what the hon. Gentleman said at the end—of course we need tariff-free access with a minimum of frictions to these important markets—but I disagree that this is not a sign of significant confidence. JLR is investing in the next generation of vehicles. I hope he will welcome that.
ParlaMint-GB_2018-06-12-commons.u177	What is the Secretary of State’s No. 1 initiative to ensure that the Greater Grimsby town deal moves from theory to reality?
ParlaMint-GB_2018-06-12-commons.u178	As I said to my hon. Friend the Member for Cleethorpes (Martin Vickers), I will come and sit down with Grimsby and Cleethorpes leaders to negotiate it myself.
ParlaMint-GB_2018-06-12-commons.u179	There is clearly a crisis on our high street, so will the Minister ensure that business rates are fully addressed in this year’s Budget?
ParlaMint-GB_2018-06-12-commons.u180	I can assure the hon. Lady that, together with the retail industry, we are looking at business rates, their impact on businesses and our ability to ensure we have a fair taxation system.
ParlaMint-GB_2018-06-12-commons.u181	The industrial strategy challenge fund round closed in April, but the Government are not expected to make a decision until the tail end of this year. Can they speed up the process please?
ParlaMint-GB_2018-06-12-commons.u182	We are determined to speed up the process, and obviously we are investing more than ever before, but it is important that we take our time to make the right investments to benefit UK industry.
ParlaMint-GB_2018-06-12-commons.u183	Employees in my constituency have time limits imposed on their toilet breaks, which are insufficient. What assessment has the Department made of businesses adopting such practices?
ParlaMint-GB_2018-06-12-commons.u184	The Department keeps a close eye on developments of this kind, and I assure the hon. Lady that the matter is firmly on our agenda. We want to ensure, through the Matthew Taylor review and the work we are doing ourselves, that workers are treated fairly, receive the support that they need in business, and are fairly paid.
ParlaMint-GB_2018-06-12-commons.u185	One of the biggest missing links in the tackling of money laundering is the Government’s own agency, Companies House. When will the Minister ensure that it is funded adequately and has enough staff to carry out proper checks on businesses?
ParlaMint-GB_2018-06-12-commons.u186	I assure the hon. Lady that we are seeking to ensure that Companies House is fit for purpose. As she will know, in 2016-17 it brought some 3,182 prosecutions. Companies House is very attuned to the challenges that it faces, particularly in relation to money laundering. That is why we are introducing, for instance, measures relating to Scottish limited partnerships, which I am sure the hon. Lady will welcome.
ParlaMint-GB_2018-06-12-commons.u187	I know that the Secretary of State is an honourable man. He is the Business Secretary. If we have a hard Brexit, British business will be devastated. Will he join us today in voting to keep us in the single market?
ParlaMint-GB_2018-06-12-commons.u188	I work night and day to make sure that British and international businesses continue to invest in this country, and they have shown a willingness to do so. We want to be the best location not only for trade with Europe but for trade around the world, and that will form part of our negotiations.
ParlaMint-GB_2018-06-12-commons.u189	What support can my constituents, who are among the 5,000 set to lose their jobs at Poundworld, expect from the Government?
ParlaMint-GB_2018-06-12-commons.u190	As the hon. Gentleman will know, I spoke to the chief executive of Poundworld yesterday to try to understand the challenges that it faces. Through the official receiver, the special manager is seeking to do everything possible to rescue the business, and they are hopeful that there are buyers out there for at least part of it. We in the Government have pledged to do all that we can to ensure that the business is rescued.
ParlaMint-GB_2018-06-12-commons.u191	On a point of order, Mr Speaker. May I seek your advice? Last Monday, following the oral statement on rail timetabling, I asked the Transport Secretary whether he would refuse any request by Arriva Northern to extend the immensely disruptive two-week suspension of the Lakes line in Cumbria. He replied: “I am not prepared to accept more than the current two weeks and…I have been clear to Arriva that doing this over the long term is simply unacceptable”.—[Official Report, 4 June 2018; Vol. 642, c. 58.] I was therefore horrified to learn on Friday that Arriva Northern had, in fact, extended the suspension by a further two weeks, to 2 July, and that a spokesperson for the Secretary of State’s Department had said that it did not object to the “operational decision” The Transport Secretary told the House that he would do one thing, and he has gone and done the complete opposite. What can you do, Mr Speaker, to compel him to appear before the House and explain himself and to ensure that commitments made by Ministers of the Crown in this House are actually fulfilled?
ParlaMint-GB_2018-06-12-commons.u192	I am grateful to the hon. Gentleman for his point of order. I am not privy to the details of this matter, but my response to the hon. Gentleman, off the top of my head, is twofold If a Minister feels that he or she has been inaccurate in a statement to the House, it is incumbent upon, and open to, that Minister subsequently to correct the record. It may be that the Minister holds a view, and would offer an interpretation of the sequence of events, that differs from that of the hon. Gentleman. I do not, in all candour, know I would just add, without offering any judgment on the merits of the case—which it would not be right for me to do—that a less than 100% correlation between what is said at one time and what happens at another time is not entirely without precedent in our parliamentary history I feel that on this occasion—and he will take it in the right spirit—the hon. Gentleman was perhaps more interested in what he had to say to me than in anything that I might have to say to him, and he has been successful in his mission: it is on the record.
ParlaMint-GB_2018-06-12-commons.u193	On a point of order, Mr Speaker. Sir Winston Churchill said: “The first duty of a member of Parliament is to do what he thinks in his faithful and disinterested judgement is right and necessary for the honour and safety of Great Britain. His second duty is to his constituents, of whom he is the representative but not the delegate.” With that in mind, Mr Speaker, I would like to draw your attention to the disgraceful front page of today’s Daily Express, which gives one “simple” warning to “our elected representatives”: “ignore the will of the people at your peril.” This is a threat, pure and simple, and an attempt to intimidate and threaten Members ahead of the votes on the Lords amendments today. That paper is not the only protagonist. This gives licence to people to abuse and threaten Members of this House who exercise their judgment to do what they think is best for our country, as the Under-Secretary of State for Justice, the hon. Member for Bracknell (Dr Lee), has done in resigning this morning. Already on social media, a UKIP supporter has called for him to be hanged, and another individual has called for him to be hung, drawn and quartered; and you will know, Mr Speaker, that just last week a gentleman was given a nine-week suspended jail sentence for sending threatening emails to the right hon. Members for Broxtowe (Anna Soubry) and for Loughborough (Nicky Morgan), my right hon. Friend the Member for Tottenham (Mr Lammy), my hon. Friend the Member for Wolverhampton South West (Eleanor Smith), the hon. Member for South Cambridgeshire (Heidi Allen) and other Members. What advice, Mr Speaker, would you give to Members in the face of such abuse and threats?
ParlaMint-GB_2018-06-12-commons.u194	My advice, in so far as it is ever required, is: do as your conscience dictates. That is what Members of Parliament on any side of any argument are not merely entitled, but perhaps constitutionally obliged, to do. The freedom of speech that we enjoy in this place was hard-won and by all Members of whatever hue will I am sure be jealously, and rightly jealously, guarded I must say en passant to the hon. Gentleman that until he held up that copy of that paper I had not seen the headline or report to which he referred; I am not in the habit of reading this sort of material and it is a matter of no interest or concern to me whatsoever. All that is of interest and concern to me is that right hon. and hon. Members do what they believe to be right by their constituents, by their conscience and by their country.
ParlaMint-GB_2018-06-12-commons.u195	Further to that point of order, Mr Speaker. Do you share my concern that to my knowledge at least one hon. Member on these Benches will today and tomorrow not vote in accordance with their conscience because of threats to their personal safety, to members of their parliamentary staff and to members of their family? Do you take that as a very serious threat to the democracy of this place, and if you do would you expect a senior member of Her Majesty’s Government to come forward and make it clear that this will not be tolerated by any party against any Member of Parliament?
ParlaMint-GB_2018-06-12-commons.u196	I can only repeat what I have said: Members must speak and vote as they think fit. No Member of this House, whatever opinion he or she holds, should be threatened because of it. No Member should be subject to threats, and any Member subject to threats of a kind—
ParlaMint-GB_2018-06-12-commons.u197	rose—
ParlaMint-GB_2018-06-12-commons.u198	In a moment, I will of course come to the Leader of the House Any Member subject to threats of a kind that would be unlawful must take the appropriate action. As we know, there are lots of things that happen in politics whereby attempts to persuade people are made which are perfectly legitimate and in which neither the Chair, nor I suspect the Leader of the House or any other Member, would seek to involve himself or herself. If the right hon. Member for Broxtowe (Anna Soubry) is suggesting that illegality is involved, Members know what course of action to follow. I would hope, and am confident, that today’s and tomorrow’s debates will take place in an atmosphere of mutual respect, in which opinions sincerely held will be robustly articulated. But no one in this place under any circumstance should be under threat If the Leader of the House still feels that anything needs to be added, she is welcome to attempt to do so.
ParlaMint-GB_2018-06-12-commons.u199	Thank you, Mr Speaker. I should like to accept the invitation from my right hon. Friend the Member for Broxtowe (Anna Soubry) and to say on behalf of the Government that any threats of violence or intimidation are utterly unacceptable to the Government. The Government will absolutely uphold the right of every Member to do what they believe is the right thing to do.
ParlaMint-GB_2018-06-12-commons.u200	I am most grateful to the Leader of the House. That is very clear, and it is on the record. I for one appreciate it and I rather imagine that it will be appreciated by other Members. If there are no further points of order—at any rate for now—we come to the ten-minute rule motion. [Interruption.] Order. I know that colleagues are eagerly anticipating the next business, but I am sure that they will want to accord a courteous hearing to the hon. Member for Congleton (Fiona Bruce) as she presents her ten-minute rule Bill.
ParlaMint-GB_2018-06-12-commons.u201	I beg to move, That leave be given to bring in a Bill to make provision about the minimum price at which alcohol may be sold from licensed premises in England; and for connected purposes I should like to begin by thanking the Government for the action that they have already taken on alcohol harm, including the duty increase on white ciders proposed by the Chancellor in his latest Budget, when he said: “Excessive alcohol consumption by the most vulnerable people is all too often done through cheap, high-strength, low-quality products, especially so-called white ciders.”—[Official Report, 22 November 2017; Vol. 631, c. 1053.] The Health Secretary recently announced £6 million of funding to support the children of alcoholics, stating: “The consequences of alcohol abuse are devastating for those in the grip of an addiction”, as well as for those around them. Alcohol harm affects not only those who drink but their families, children and colleagues, and wider society. Tackling this issue is a matter of social justice In England, more than 23,000 people die every year from alcohol-related causes, and many are from the poorest sections of society. The availability of cheap alcohol is a key driver of health inequalities, and it perpetuates deprivation. Of the 1 million alcohol-related hospital admissions last year, half were from the most deprived sections of society. Alcohol harm is the leading cause of death among 15 to 49-year-olds, and in 2015, it caused more years of life to be lost to our workforce than the 10 most common cancers combined. Alcohol harm is estimated to cost the NHS £3.5 billion a year, which equates to 117,000 nurses’ salaries, and Public Health England has estimated that the problem of dependent drinking could be costing UK society as much as £52 billion a year There is no silver bullet to eradicate alcohol harm, but I do not accept that we have exhausted our options for reducing it. There are still a number of reasonable, targeted policies that would have a significant impact, socially, economically and fiscally, and not least by helping to boost productivity. One is minimum unit pricing. What is minimum unit pricing? MUP sets a minimum price, sometimes called a floor price, below which drink cannot be sold. It is based on the number of units of alcohol that a drink contains. For example, the floor price could be set at 50p per unit, as has been done in Scotland, where MUP was recently introduced. That would mean that the minimum price at which a pint could be sold would be £1.15 Crucially, that would leave most drink prices untouched, including those in pubs, while increasing the price of the cheapest, strongest products, which are consumed by the most dependent and vulnerable drinkers and which cause the most harm. That should end the sale of irresponsibly discounted drinks in the off trade and, in so doing, provide some protection for local pubs. Moderate drinkers would barely notice the difference, as nearly all the alcohol they buy would be above the minimum price. Under a 50p MUP, moderate drinkers would spend just £2.25 extra a year, according to research quoted by the Institute of Alcohol Studies and Alcohol Concern. MUP is not a tax, nor is it telling people how to live their lives. It is a policy aimed at discouraging consumption among those drinking at harmful levels, many of whom want desperately to reduce their drinking and are far more likely to purchase alcohol at less than 50p a unit than other drinkers MUP would have the limited, specific impact of helping “those who are most vulnerable: the heaviest drinkers, the lowest socioeconomic groups and children.” That is not my claim, but what was said in expert evidence to the Select Committees on Health and Social Care and on Home Affairs earlier this year by Professor Sir Ian Gilmore, chair of the Alcohol Health Alliance. Rosanna O’Connor, director of alcohol, drugs and tobacco at Public Health England, told those Committees that MUP is “exquisitely targeted” at people who are drinking the strongest, cheapest alcohol. That is a staggeringly small group of people. About 4% of the population drinks just under a third of the alcohol consumed in this country—about 2 million people. Again, to distinguish it from a tax, Professor Nick Sheron, academic clinical alcohol adviser to Public Health England, told the Committees that MUP “is far more likely to be effective in reducing alcohol-related harm, because it does not put up the price of alcohol across the board, it does not increase the price of alcohol in pubs and clubs, and it is targeted at cheap alcohol.” By affecting the affordability of the lowest-cost, often high-strength alcohol, the policy is well targeted at health outcomes, and the Government’s own evidence review, undertaken by Public Health England in 2016, stated that tackling affordability is “the most effective and cost-effective approach to prevention” and health improvement. Since then, Scotland has introduced MUP, the Republic of Ireland is preparing to legislate for it, and the Welsh Assembly’s Bill is currently at stage 3—its Report stage. Aside from the cross-border complications that will ensue if England is out of step with both Scotland and Wales, particularly across the more populated England-Wales border, and notwithstanding what the Government are saying about waiting to see how MUP impacts in Scotland a year or so hence, would it not be preferable, and indeed right, to prepare for action now? Hence, my Bill. Can it be right that England lags behind on this social justice issue The policy would disproportionately benefit the poorest, with evidence suggesting that 80% of the lives saved by MUP would come from the lowest-income groups. An MUP in England of 50p would save 525 lives, prevent 22,000 hospital admissions and lead to 36,500 fewer crimes every year. MUP is targeted well, because it does not adversely affect local community pubs. Indeed, research by the Institute of Alcohol Studies shows that publicans support MUP by a rate of two to one. The measure is widely supported not only by colleagues across all the major parties, but by doctors, the police, homelessness services, children’s charities and 51% of the public. The significant and tragic impact of alcohol harm is far too great for us to fail to act. This matter is urgent. Public Health England’s latest update, published in January this year, states: “In recent years, many indicators of alcohol-related harm have increased.” This Bill has support from across the House, and I urge the Government to give it serious consideration without delay As a postscript, I thank the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Winchester (Steve Brine), for announcing just last month—after I applied for this motion—that he is commissioning a review of the evidence for MUP in England. No doubt that will form part of the current Home Office-led consultation on a new alcohol strategy, which I greatly welcome. I hope that that work will eventually lead to a Government Bill on MUP in England and that my Bill will therefore become unnecessary. In the meantime, I thank all colleagues who support my Bill here today Question put and agreed to. Ordered, That Fiona Bruce, Sir David Amess, Jack Brereton, Dr Lisa Cameron, Alex Cunningham, Sir Jeffrey Donaldson, Frank Field, Norman Lamb, Sir Edward Leigh, Jeremy Lefroy, Dr Philippa Whitford and Dr Sarah Wollaston present the Bill Fiona Bruce accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 26 October and to be printed (Bill 223).
ParlaMint-GB_2018-06-12-commons.u202	On a point of order, Mr Speaker. You will be aware that on today’s Order Paper there is a Liberal Democrat amendment to extend from two to three days the debate on the Lords amendments. I understand the reasons why it has not been possible to vote on that amendment today. However, can you advise me on how in future it will be possible for this House to secure adequate time to debate critical amendments, take back control and avoid situations such as the one we are likely to face today where, by Government design, there will be no time at all to discuss critical Northern Ireland amendments and critical devolution amendments? [Interruption.]
ParlaMint-GB_2018-06-12-commons.u203	First, I say to the right hon. Gentleman that a lot of these matters will still be able to be debated—whether they will be divided upon is another matter. Secondly, in response to those who were muttering from a sedentary position that he was eating into the time, let me say that simply as a matter of fact that is not correct. He is not eating into the time, for the simple reason that the Clerk has not yet read the Orders of the Day—we have not yet got to the start of the six hours. It is therefore quite wrong for people to say that the right hon. Gentleman is eating into the time—it is factually wrong and that is all there is to it Thirdly, I realise that the right hon. Gentleman regrets the course of events, but the passage of the programme motion has set in train a course of events and that is the reality of the matter. The only remedy would be for the House to divide upon fewer questions in the first group, but in relation to that I say simply two things to him and for the benefit of the House. First, on the merits of such a course of action—having fewer votes earlier—there would be different opinions in the House. Secondly, as he knows, such a remedy lies outside my hands.
ParlaMint-GB_2018-06-12-commons.u204	I must draw the House’s attention to the fact that financial privilege is engaged by Lords amendments 3, 13, 18, 22, 72, 103 and 121 to 124 Clause 1 Repeal of the European Communities Act 1972
ParlaMint-GB_2018-06-12-commons.u205	I beg to move, That this House disagrees with Lords amendment 110.
ParlaMint-GB_2018-06-12-commons.u206	With this it will be convenient to discuss the following: Lords amendment 128, and Government motion to disagree Lords amendment 37, and Government motion to disagree Lords amendment 39, and Government motion to disagree Lords amendment 125, and Government motion to disagree Lords amendment 19, amendment (a) thereto, Government motion to disagree, amendments (i) and (ii) to Government amendment (a) in lieu, and Government amendments (a) and (b) in lieu Lords amendment 52, and Government motion to disagree Lords amendment 10, and Government motion to disagree Lords amendment 43, and Government motion to disagree Lords amendment 45, and Government motion to disagree Lords amendment 20, and Government motion to disagree Lords amendments 11 to 14, 18, 21 to 23, 44, 47, 102 to 107, 112, 113, 115 to 119, 121 to 124, 126, 127, 130 to 134, 136 to 140, 142 to 148, 150, 152, 154, 156 to 158, 171 and 172.
