ParlaMint-GB_2018-05-01-commons.u1	1. What steps he is taking to ensure that markets work in the interests of consumers.
ParlaMint-GB_2018-05-01-commons.u303	I declare an interest as the chairman of the all-party group on the British Virgin Islands and as a former Minister for the overseas territories. I had the pleasure of visiting all but two of them during my time in office It is a pleasure to follow the hon. Member for Glasgow Central (Alison Thewliss). She said that not enough progress has been made, but I disagree. I think a lot of progress has been made, and I will come on to that in a moment. We are all of the same view, however, about the problem that exists, which was so eloquently outlined by the right hon. Member for Barking (Dame Margaret Hodge) and my right hon. Friend the Member for Sutton Coldfield (Mr Mitchell). No one can disagree with what they said or about the scale of the problem; it is just a question of how we attack and deal with this problem When I was a Minister, I came across a number of examples of straightforward pilfering by different parties in African countries. One that my right hon. Friend and I dealt with, when he was the Secretary of State for International Development and I was the Minister for Africa, involved the Democratic Republic of the Congo, where a company called Tullow had its licence expropriated, completely unreasonably, by the DRC Government. It transpired that, after it was expropriated, it was handed over to a nephew, I think, of President Kabila and to a relative of President Zuma, while the company receiving the assets was registered in the BVI We know exactly what the problem is, but the question is how we should go about dealing with it. In many ways, I am disappointed with the Government. I feel that they should have tabled their new clause a bit earlier and made the arguments for it and that they should very much have stuck to their ground, but we must now move forward As far as the economies of those territories are concerned, unless people have had the chance to go there, it is difficult fully to understand the extent to which some of them have become dependent on international financial services—in the Caymans, it is obviously banking; in the BVI, it is international corporate registrations. They are extremely successful economies, with a very large number of professional service jobs clustering around their business model. I agree entirely with my right hon. Friend when he said that they can compete in other areas, such as tax and efficiency, as well as looking after the clients, and I hope that many parts of those professional and service businesses can expand, but there will be a disruption to their business model in the short term I am concerned that the Foreign and Commonwealth Office will be required to work incredibly closely with the Governments of those territories—particularly those of the BVI and the Cayman Islands, and to some extent those of the Turks and Caicos Islands and Bermuda—to make sure that, over the next few years, it puts in a huge amount of effort, knowledge sharing and capacity building My right hon. Friend will be more aware than anyone that, under the International Development Act 2002, the Department for International Development is the first port of call for financial assistance when something goes wrong in the territories. He and I obviously remember what happened in Montserrat, when DFID quite rightly came to the rescue, and when the Government of the Turks and Caicos Islands in effect went bust, DFID came up with a very large loan. That is why it is incredibly important that successful economies, such as that of the BVI, can transition to the new world in which they are going to have to live I would not have supported my right hon. Friend’s new clause 6. He asked me to support it, and I thought long and hard about it. In many ways, I would like to have done so, but I was very concerned about it for a few reasons, the first of which involves the constitution. As the hon. Member for Bishop Auckland (Helen Goodman) pointed out, I was the Minister responsible for the overseas territories White Paper in 2012, into which DFID had a significant input, as indeed did the Department for Environment, Food and Rural Affairs My right hon. Friend the Member for Newbury (Richard Benyon) assisted in that part of the White Paper that looked at international obligations on biodiversity and so on. The White Paper said that the UK Government could and would legislate in extreme circumstances, and that was a given because the territories are our responsibility. The citizens of those territories are as British as we are, and we have the ultimate responsibility for them. In some circumstances, we would of course legislate, and we reserved the right to do so. But the White Paper, and all the discussions and promotion on it, made it clear that that would always be a last resort, and in every circumstance we would try to build consensus and work in partnership with the territories France has a different model, with some of its territories incorporated into La France and with representatives in the Assemblée Nationale. We have moved to a model of home rule that is different in every case. Every territory has a different constitution and a different type of home rule, and we must work now to try to build consensus. I sincerely hope that the nuclear option contained in new clause 6 of Orders in Council will not be needed. We will have to work hard to make sure that we make progress in terms of what is outlined in the new clause. If we do not, I foresee a serious stand-off with at least three of the territories. I also fear for the economies of the territories if change happens very quickly and they have a significant loss of income. How will they transition and build up tourism, for example, or agriculture, where the BVI is very far behind I am concerned also that those territories have nascent independence movements and they will look at what has been said in the House today and say, “Well, if Britain is not prepared to work with us on a consensual basis, why should we remain in the British family?” I will do all I can to dissuade them from that course of action. Over the next two or three years, I hope that Ministers will have many discussions and make a generous offer of assistance, so that we can make progress in the right way.
ParlaMint-GB_2018-05-01-commons.u304	The hon. Gentleman says that we need consensus and to try to work with the overseas territories. I would gently point out that the UK has been showing leadership on this issue since the international summit in 2013. Why does he think the overseas territories have engaged so little on this agenda, and why is he optimistic about success without the type of measure that the House will agree today, given that the Government have been making the case for five years?
ParlaMint-GB_2018-05-01-commons.u305	I understand the hon. Lady’s point, but I would point out that some of us worked extremely hard to build up to the exchange of notes in 2016, so that our law enforcement agencies can access key information from, for example, the BVI within a matter of hours and use it in various measures they take against serious organised crime, money laundering, international slavery and the expropriation of assets—[Interruption.] I hope that it is someone important. On 70 occasions, the law enforcement agencies have been able to move against unsavoury people and get results If we move too quickly and without a decent transition, many of the corporate registrations will not stay in the BVI, the Cayman Islands, the Turks and Caicos Islands, Anguilla and so on: they will move to places such as Delaware, Panama, Venezuela, Nebraska and Equatorial Guinea—which my right hon. Friend the Member for Sutton Coldfield and I know well, as we have both visited it. Unless we are incredibly careful, that displacement will take place and, as the right hon. Member for Birmingham, Hodge Hill (Liam Byrne) pointed out, it will take place to the Crown dependencies.
ParlaMint-GB_2018-05-01-commons.u306	My hon. Friend does not appear to accept the point that has been made repeatedly today that the territories may well allow access to law and order agencies, within an hour in the case of terrorism, through closed registers, but that does not allow civil society—charities, NGOs and the media—to expose them to the sort of scrutiny that the Paradise and Panama papers did. They allowed us to join up the dots. That is why I emphatically disagree with him on this point about closed registers. They work for law and order agencies, but they do not work to stop the dreadful money laundering.
ParlaMint-GB_2018-05-01-commons.u307	I will not get into an argument with my right hon. Friend because I think we agree on so much of this. My concern is that it required a leak from Panama to expose those people, and there will be many other jurisdictions that may not have leaks in future and where much of the business will go, unless the whole world moves to the end goal of open registers—
ParlaMint-GB_2018-05-01-commons.u308	I accept the point that my hon. Friend is making, but it is not the best point. Until we move, we have little chance of speeding up any response by Delaware, Panama and the other places he named. It is not an overwhelming argument to say, “Well, we should carry on having billions of pounds of criminal money flowing through our overseas territories while we wait for Panama to make a move.” That is not the strongest argument.
ParlaMint-GB_2018-05-01-commons.u309	My right hon. and learned Friend the Father of the House is, as ever, very wise. I want to proceed on a pragmatic, staged basis, and I think we could have come together on the Government’s compromise, had it been tabled in good time.
ParlaMint-GB_2018-05-01-commons.u310	Would not just waiting until everyone else moves show a lack of leadership on our part?
ParlaMint-GB_2018-05-01-commons.u311	That is a fair point, and those of us who have been supporting the Government loyally on this and working with them accept that it is a weakness in the argument. If we set an example, we hope that other people will follow. I hope that when the Minister winds up he will say how we will try to influence other countries and jurisdictions to follow this example.
ParlaMint-GB_2018-05-01-commons.u312	My hon. Friend has enormous experience of these territories and he will know, as I know, that the operation of surveillance and monitoring of flows of capital through the overseas territories is one of the best intelligence sources that we have on the movement of criminal moneys. To demand that the overseas territories all suddenly go public will give one hit—just like the WikiLeaks thing was a one-hit wonder—because no one will then trust those jurisdictions where the light of publicity has been shone. All it will mean is that the money goes to where it is darkest, as the right hon. Member for Birmingham, Hodge Hill (Liam Byrne) said. The surveillance and intelligence operations that have been so effective will no longer be applicable. I know the jurisdictions well, and that is what will happen.
ParlaMint-GB_2018-05-01-commons.u313	I very much hope that what my hon. and learned Friend says will not happen. Unfortunately, there will be a period of time when many corporate registrations will go elsewhere and we will then need the rest of the world to catch up Will the Minister, when he winds up, spell out very clearly how the Foreign and Commonwealth Office and Department for International Development will work with the territories to help them with the transition over the next few years? What specific efforts will be made to help them to diversify their economies away from financial services? What expert advice will be given to build up parts of businesses that we hope will attract international interest? Will he outline to the House what measures he thinks his Department can take in terms of representations we make to other jurisdictions? Having set an example, we need to make a virtue of it. We need to go out and ensure that we play our part even more fully in OECD and G20 initiatives across every single organisation involved, particularly the IMF and the World Bank. Will he spell out what we will do to work with them to ensure that we raise standards elsewhere in the world Finally, I would have supported the Government’s proposed amendment as I thought it was sensible and pragmatic. It would have helped to build a consensus with the overseas territories, rather than move in a direction that could lead to very serious constitutional problems and difficulties unless we are very careful indeed. The Minister needs to use all his diplomacy and experience to ensure that the transition is done properly and correctly.
ParlaMint-GB_2018-05-01-commons.u314	I promise to be brief, as there are so many colleagues who wish to speak. As a mere callow youth in this House compared to so many who have campaigned on this issue for a number of years, I just want to put my views on record My right hon. Friend the Member for Barking (Dame Margaret Hodge), my predecessor as leader of Islington Council, has led the way on this matter. I commend her and others for the excellent cross-party nature of their work. The right hon. Member for Sutton Coldfield (Mr Mitchell) argued that this measure will enhance not just our standing in international development, so that we can feel good about ourselves, but the work in developing nations to enrich everybody, not just a few who may benefit, often nefariously, from the tax havens that operate and provide cover for bad behaviour. I commend my hon. Friend the Member for Bishop Auckland (Helen Goodman) for all her work in Committee and all the tiny tit-bits she has let us have, as Members with an interest, as it has progressed. It has been like following a series on television. I am so pleased that we can welcome the Magnitsky clause and new clause 6 As a London Member, I want to put on record how pleased I am that there are measures that may assist in relation to property. It may not be perfect, but those of us who are London Members have very affluent parts of our constituencies where properties are purchased, often at a very high price, but then sit empty as assets, while in other parts of our constituencies families live in overcrowded homes. We need to use such international approaches to try to achieve some sense of equality.
ParlaMint-GB_2018-05-01-commons.u315	Given that across London almost 40,000 properties are owned by companies based in tax havens and given the scandal after Grenfell of trying to find people homes, does the hon. Lady agree that there is huge concern about these companies and organisations, and whether we are able to tackle the housing issue?
ParlaMint-GB_2018-05-01-commons.u316	Indeed. And I hope that the challenge will be met to reduce inequality in housing in Scotland, because I know that a very small number of people own rather a lot of properties. On the role of other facilitators of tax evasion and avoidance and the big four accountancy firms, many Members feel it is time that they were brought to book. My right hon. Friend the Member for Barking has done a lot of work on that. The next stage is to try to clean up the City of London more effectively and to see the closure of certain poor practices, such as Mossack Fonseca and others. Yes, it was a one hit wonder, but we did see the closure of a number of underperforming legal practices. The next step of this campaign is how to allow the pin-striped enforcers of tax evasion and avoidance to have a more honest and equal way of practising their profession That is all I want to say. It is so good to see consensus in the House today.
ParlaMint-GB_2018-05-01-commons.u317	It is a privilege to follow the hon. Member for Hornsey and Wood Green (Catherine West) I believe that the fight to improve the integrity of our financial system and to do what we can to reduce money laundering is critical in the fight against not only corruption but the malign influence of authoritarian states. I very much welcome the work done by my right hon. Friend the Member for Sutton Coldfield (Mr Mitchell) and the right hon. Member for Barking (Dame Margaret Hodge). I felt very proud to agree to rebel against the Government— I am quite glad I did not have to—but nevertheless, I thank them for that amendment On the point about corruption and the malign influence of others, the right hon. Member for Birmingham, Hodge Hill (Liam Byrne), the hon. Member for Rhondda (Chris Bryant), the right hon. Member for Exeter (Mr Bradshaw), my hon. Friend the Member for Gravesham (Adam Holloway) and I have been shown documents that we believe relate to our national security and money laundering. They originate from Monaco’s Sûreté Publique, the police department that manages security and foreign residents in that area. They are based on the Sûreté Publique’s own information and on information provided by the French Direction de la Surveillance du Territoire—the DST—which at the time, was the French equivalent of MI5 These documents are brief, terse, factual files, listing activities, associations and judicial actions. They have been authenticated by senior French intelligence sources and by British and American counterparts familiar with their contents. The documents link a noted individual in this country with Russian intelligence. These files are dated from 2005 and cover the period from the mid-1990s. The documents concern Christopher Chandler and his brother—Christopher Chandler is a public figure, owing to the Legatum Institute. In citing this evidence, I note the words of the right hon. Member for Exeter, who in November 2017 called for the House’s Intelligence and Security Committee to examine Mr Chandler According to the French security services, as recorded by their colleagues in Monaco—and clearly, I am confident that these documents are genuine—Mr Chandler is described as having been “an object of interest to the DST since 2002 on suspicion of…working for the Russian intelligence services.” I repeat: “an object of interest to the DST since 2002 on suspicion of…working for the Russian intelligence services.”
ParlaMint-GB_2018-05-01-commons.u318	As the hon. Gentleman rightly said, I first raised concerns about Legatum and Mr Chandler back in November. Does he agree that the information that he has just put in the public domain, combined with the growing concern about corruption, money laundering and the sale of passports in Malta, where Chandler has just acquired citizenship, demands urgent investigation by the UK authorities now?
ParlaMint-GB_2018-05-01-commons.u319	I am most grateful for that intervention. I am aware that the right hon. Gentleman has seen these documents and that he shares my concerns. I believe that the right hon. Member for Birmingham, Hodge Hill, should he have the privilege of being called to speak, will talk further on that point and make reference to these files Christopher Chandler’s personal file is marked “File code S”, a DST marker indicating, if I understand correctly, a high or higher level of threat to France. In France, the letter “S” is now used to designate radical Islam. In Monaco then, it was used to designate counter-espionage. As I have said, Mr Speaker, I believe that other Members, if you wish to call them, may cite further details—the right hon. Member for Birmingham, Hodge Hill, the hon. Member for Rhondda, the right hon. Member for Exeter or my hon. Friend the Member for Gravesham I wish to state explicitly that I make no criticism of the staff at Legatum, nor those people who have engaged with its charitable work, nor members of the public, nor, clearly, Members of this House who have dealt with this institution. I have thought long and hard before making this statement, but I have done so because I believe, and the five of us believe, that it is in the national interest to do so. If people like Mr Chandler are vulnerable to malign influence—maybe he is an innocent party in this, who knows?—especially if the information on them is covert, that matters to our democracy In November 2017, the Prime Minister highlighted the danger from Russia of subversion. I take my lead from her when she said that the Russian regime was trying to “undermine free societies”. I also read the excellent piece in The Sunday Times this weekend looking at how Russian bots may have manipulated elections. One of the problems in elections is that if they are manipulated successfully, the winning side does not want to know and the losers plead sour grapes, so the answer is to do what we can to strengthen our electoral system before it is too late.
ParlaMint-GB_2018-05-01-commons.u320	I commend the hon. Gentleman for what he has said and fully concur with what he has argued—I have seen the papers as well and I have come to the same conclusion as him. Does he think that the Magnitsky clause will make a significant difference in our being able to tackle this kind of hidden pervasive influence in British society and British politics?
ParlaMint-GB_2018-05-01-commons.u321	Anything that helps us is important because we need to keep our society free of covert and malign influence. I was in the States last week, as the hon. Gentleman knows, and I am working with Congressmen there and in Canada, Australia and New Zealand, so that we can combine best practice. That is important because a counter-propaganda Bill is going through the United States Congress—do we need that here, etc.? If I see information of this kind, I have a choice: I can disregard it and become complicit or, if it is genuine, I can put it in the public domain. It might be that Committees will wish to have access to this information, and I suspect that those who have it will provide it to any of the six Committees investigating Russia, if they wish to do so. It might be that Mr Chandler can provide a satisfactory explanation or argue that these relationships, if they existed, are now historical or have been misrepresented in the documents. I do not use privilege lightly, Mr Speaker. He might wish to offer evidence, written or oral, to any of those six Committees, whose work I am supporting, in a modest way, as secretary to the Russia steering group. I look forward to his response— I am quite sure there will be one I will be writing to the Prime Minister in the coming weeks to suggest further measures to strengthen our democracy and electoral system. The struggle of our generation is how we deal with authoritarian states and their actors, official or proxy, who use free and open societies to damage those free and open societies. We need to do something about it. Increasingly, Members now see that covert malign influence from authoritarian states, most commonly our friends in the Kremlin but also elsewhere, is a real and present danger to our nation, to our financial system—hence this debate—and to the transparency of our democracy and electoral system, not to mention the Kremlin’s ability to conduct acts of violence and murder on our soil. We have a duty to speak up and to use this House for the public good. That is what I am doing now.
ParlaMint-GB_2018-05-01-commons.u322	Order. I want to call several more colleagues and therefore there is a premium upon brevity.
ParlaMint-GB_2018-05-01-commons.u323	Having listened to various hon. Members refer to the excellent briefing by Transparency International UK, I should declare an interest, as I am married to its director of policy—the briefings really are excellent Turning first to the Magnitsky amendments, I welcome Government amendments 10 and 13, which reflect the Prime Minister’s commitment of 14 March. After Second Reading, many of us felt rather less confident than previously that they would be forthcoming, so I am glad that the Government have brought them forward, given that the issue has been raised repeatedly. I am particularly reassured by the Minister’s confirmation that the lists of people sanctioned will be put in the public domain for anybody to see. I agree with others that that is a very important deterrent The importance of human rights and the part that our country plays in upholding them internationally cannot be overstated—they are vital. The hon. Member for Glasgow Central (Alison Thewliss) set out the horrendous case of Sergei Magnitsky and the horrendous lengths to which oligarchs will go to protect their ill-gotten gains. I was reminded, on the wider issue of corruption, that we are talking about not just numbers on spreadsheets, but people’s lives—this is literally a life and death matter. I recall planning a visit to Russia to investigate human rights abuses in Chechnya. We had to postpone the visit because the individual we had been organising it with, Natalya Estemirova, who was from a human rights organisation, was assassinated. That followed the murder of the journalist Anna Politkovskaya, and last October we were shocked by the murder in Malta of the investigative reporter Daphne Caruana Galizia. These people were murdered for investigating and exposing corruption and human rights abuses. I was particularly pleased to see the launch of the Daphne project in tribute to Daphne, with 45 reporters from 15 countries carrying on her work so that her stories will live on. One of the most powerful ways to send a message to anyone who would seek to silence those trying to uncover corruption is to make sure that what they were uncovering is finally exposed The Minister mentioned the consultation that was launched yesterday on Scottish limited partnerships. The very real problems that have arisen under those partnerships have been in the public domain for more than 18 months, and given that we as a country have been trying to lead on this in recent years, we need to be moving with much more alacrity. The hon. Member for Glasgow North East (Mr Sweeney) made an incredibly important point about enforcement. We need to ramp up Companies House’s ability to investigate, and that requires resources. Very good people there are trying to do a very good job, but given that 17,000 Scottish limited partnerships were registered to just 10 addresses, there are questions to be asked about how risk-based investigation and digital tools could be improved.
ParlaMint-GB_2018-05-01-commons.u324	Does the hon. Lady agree that it is disappointing to hear Conservatives saying that the money will move elsewhere? If we do not make a start, how will we move forward? The gender pay gap reporting has done exactly that.
ParlaMint-GB_2018-05-01-commons.u325	I concur absolutely. The fact that we cannot solve this problem in every single jurisdiction in the world does not mean we should not do what we can in those areas where we can have influence. We should certainly be using our diplomatic influence to try to expand the use of public registers in other countries, but we should also be setting our own house in order, because if we do so, we will have more legitimacy and credibility when we urge other countries to follow suit The United Kingdom is trying to take a leadership role on this issue, and that is important. That dates back to 2013, when the then Prime Minister, David Cameron, set out the Government’s plans at the G8 summit and was aiming to secure international agreement through the anti-corruption plan. I was delighted to play a role as a Minister in the introduction of measures on beneficial ownership and the public register in this country through the Small Business, Enterprise and Employment Act 2015. There was also an anti-corruption summit in 2016. However, there has been delay since then. At that time, the Government committed themselves to legislate to increase transparency in the housing market and to require overseas companies that owned property to declare their beneficial ownership publicly. That was supposed to be in place by April, but now it, too, has been delayed. We will not see even a draft Bill until the summer, and we will not get the actual legislation until next year The issue of the overseas territories really matters. More than three quarters of corruption cases involving property that were investigated by the Met’s proceeds of corruption unit involved anonymous companies based in secrecy jurisdictions, and nearly four fifths of those were registered in either the overseas territories or the Crown dependencies. As I have said, it is important that we get our house in order. Conservative Members have said we should try to do that through consensus but, as I pointed out in an intervention, the Government have been attempting to do that with various levels of enthusiasm over the last five years yet the registers have remained firmly private What we are talking about is an international crime. It is not victimless. We are talking about corruption that has a very serious impact on vulnerable people in countries throughout the world. Money is siphoned off through corrupt means and denied to the populations of those countries when it should be funding public services and enabling individuals to be looked after. That has an impact on the UK’s own reputation as well It is worth recognising the significant role of the overseas territories. In the Panama papers, the British Virgin Islands was the most popular tax haven mentioned, and Bermuda is No. 1 on Oxfam’s list of worst corporate tax havens. That is why it is important that we act. The right hon. Member for Sutton Coldfield rightly explained the challenges involved in including the Crown dependencies under new clause 6 and the specific relationship levers that we have as a country. Nevertheless, I hope that, having accepted the new clause, the Government will be enthusiastic about pursuing the same issues with the Crown dependencies to ensure that they follow suit. They should definitely be required to publish such a register so that the UK can show global leadership on this issue.
ParlaMint-GB_2018-05-01-commons.u326	My experience of the House leads me to conclude that when somebody pays a Member a compliment, they should bank it and move on. However, although I am grateful to the Minister and the hon. Member for Bishop Auckland (Helen Goodman), it is important to say that a lot of people have worked on the Magnitsky amendment or law, as it has come to be known, many of whom sit on the opposite side of the House. Many of them have also been involved in this matter for a lot longer than I have, but I do stand to speak in support of new clause 3.
ParlaMint-GB_2018-05-01-commons.u327	I welcome everything my right hon. Friend has done around the Magnitsky law and the fact that the Government have accepted it. Is he aware that the Government and Parliament of Gibraltar have already introduced a Magnitsky law, which indicates their willingness to be ahead of the game, rather than having to be dragged forward?
ParlaMint-GB_2018-05-01-commons.u328	Then they should feel extremely virtuous. It is important that we recognise that we are today putting in place something that already exists in a number of other legal jurisdictions—the Baltic states, the United States and Canada. A number of other countries are looking to do this, too David Cameron has been mentioned a lot today, and his commitment on this matter has been vital. In a recent speech to Transparency International he said: “One of my regrets of my time in office was that we didn’t introduce the Magnitsky Act. The Foreign Office argument was that Britain’s existing approach was better, because we could sanction all the people on that list—and more besides. And I went along with it But I soon realised this ignored the advantages of working together—with other countries—under a common heading. It’s not PR, it’s a fact. You get extra clout from coming together across the world and saying with one voice to those who are responsible for unacceptable acts: ‘We are united in our action against you.’” He then paid tribute to his successor as Prime Minister and to Parliament for passing the provisions in the recent Criminal Finances Act 2017, and also referred to a person who deserves mention in this House today. Bill Browder, along with others, has put himself at huge risk to make sure that those who murdered his lawyer and friend Sergei Magnitsky are not able to travel around the world, bank, buy property and operate in a manner that we rightly take for granted in this country but should be denied to people who have behaved in that way. If we remember anyone today, we should think of the piteous image of Sergei Magnitsky after months of imprisonment. He was extremely unwell and then beaten to death by thugs at the behest of people who have still not been held to account. Today we are saying to them, “Not in our country are you going to be able to do business,” and we should feel proud of that In an act of extreme serendipity, I found myself on the Bill’s Committee. I am extremely grateful to members of that Committee, to the Minister and his officials, and subsequently, in recent weeks after the Salisbury incident, to the Prime Minister for absolutely accepting that we need to have what will be known as the full Magnitsky. We went a considerable way towards that a year ago with the Criminal Finances Act, but are now in a position to say that we are in accordance with the Magnitsky provisions of other countries. It is important that we get the definitions right—I do not think that we got there in Committee—but to now have a definition of gross human rights abuse that is in accordance with the Proceeds of Crime Act 2002 is important. My brief comments today will be about what Parliament does now, because the Bill is gratifyingly loose in its description of what kind of review mechanism Parliament will impose. This is crucial. In recent days, I have had useful discussions with Committee Clerks, the Chairmen of the Liaison and Procedure Committees and a number of others about what kind of structure we could create in accordance with the Bill to allow individuals—Members of this House, members of organisations such as Amnesty International or Bill Browder’s, or any individual—to say to the Government, “We have evidence that these people have done this and should be sanctioned.” The Government will produce a report to Parliament every 12 months setting out who has made representations to them. In an important response to the hon. Member for Aberavon (Stephen Kinnock), the Minister made a clear assertion that the names on the sanctions list will be made public. That is important.
ParlaMint-GB_2018-05-01-commons.u329	I have to say that the Minister did not go into very much detail in his excellent opening remarks about what would be in the report proposed under new clause 3. If my right hon. Friend has had discussions with him on that, it would be interesting to hear about them. If not, it would be interesting to hear more from the Minister later on.
ParlaMint-GB_2018-05-01-commons.u330	We have it in our power to create something in Parliament that will hold future Governments as well as this Government to account. I am full of respect for what our security Ministers have been doing recently to freeze the bank accounts of certain individuals, and I absolutely believe that the Government have the will to ensure that we get our economy sorted out so that we cannot be a safe haven for these people. However, what we are talking about will be happening way into the future. It will affect future Governments as well, and we must hold them to account We could put this in the hands of an existing Committee —perhaps a Select Committee—but I suggest that that might not be the right framework. A Select Committee has the specific role of holding a Department of State to account and looking into certain details. I personally like the idea of a bespoke Committee that would draw together members of different Committees. The example that I would throw out there for others more important than me to grab is the Committees on Arms Export Controls—the CAEC. It has a specific remit, with members from various Select Committees, and I think it would be an effective model.
ParlaMint-GB_2018-05-01-commons.u331	May I urge the right hon. Gentleman to read new clause 10, which sets out a proposal for a scrutiny Committee?
ParlaMint-GB_2018-05-01-commons.u332	Well, I have. I just think new clause 3 leaves it much more open for Parliament to make a decision, and I am quite content with that, although I am open to other suggestions. Some people say that the Joint Committee on Human Rights might be best placed to carry out this scrutiny, but I see, from delving into the Standing Orders, that Standing Order No. 152B(2)(a) states that the Joint Committee has a remit to look at “matters relating to human rights in the United Kingdom”. What we are talking about here is matters relating to human rights anywhere. We could be talking about someone who is evicting the Rohingya, for example, or actions taken in conflicts or situations as yet unknown and unforeseen. We need to ensure that we can look at human rights everywhere.
ParlaMint-GB_2018-05-01-commons.u333	As a member of the CAEC, I urge the right hon. Gentleman to think again about using it as a model for a scrutiny Committee. I sit on it, and it struggles to function—it did not meet for two years—but one thing that it did recommend was a measure to allow the Government to shut down brass-plate companies, on which I have tabled an amendment in the next group.
ParlaMint-GB_2018-05-01-commons.u334	I understand the point that the hon. Gentleman is making. I am not completely wedded to that idea. I simply say that this is in our grasp—this is now Parliament’s duty. Following the very good discussions that I have had with my hon. Friend the Member for Totnes (Dr Wollaston), the Chairman of the Liaison Committee, and my hon. Friend the Member for Broxbourne (Mr Walker), the Chairman of the Procedure Committee, as well as with other wise heads and people with much more experience than I have, I know that we need to design something that really works. The crucial thing that works in Congress and in other Parliaments is what is known in the United States as the “congressional trigger”, under which it is possible to really ask questions of the Executive. Through the measure that we are discussing today, the Executive are giving Parliament the power to get this right, and we must take that duty very seriously.
ParlaMint-GB_2018-05-01-commons.u335	I want to make two points in support of new clause 6 and to encourage the Government to take on board the arguments made by my hon. Friend the Member for Bishop Auckland (Helen Goodman). I also want to put on the record my tributes to my right hon. Friend the Member for Barking (Dame Margaret Hodge), the right hon. Member for Sutton Coldfield (Mr Mitchell) —my constituency neighbour—and the others associated with this step forward.
ParlaMint-GB_2018-05-01-commons.u336	It is perfectly within our power—the Government have committed to do this—to institute a public register that requires the beneficial owners of any overseas entity wishing to own property in this country to be declared in public. We can do that as it is part of our jurisdiction. However, does the right hon. Gentleman not see that the step that is now being taken goes much further than that and requires the overseas territories to make things public even in relation to property that is not owned in the UK?
ParlaMint-GB_2018-05-01-commons.u337	That is absolutely what I am proposing, and my reason is this country’s national security. Let me give the hon. and learned Gentleman a simple example. Back in November 2017, my right hon. Friend the Member for Exeter (Mr Bradshaw) raised the issue of some significant agents of influence in this country: the Chandler brothers, who happen to run an important think-tank that has enjoyed unrivalled access to Ministers during one of this country’s most important national debates. The risk—I put it no stronger than that—that we are running is that that support is financed from sources that derive from the Russian Federation, and it may therefore be part of the panoply of active measures that have been drawn together since the re-election of President Putin in 2012. He has made no secret of that. He set it out in a state of the union address to the Russian people in 2013. Some call it the Gerasimov doctrine, but, whatever it is called, we saw the sharp edge of that sword on the streets of Salisbury just a few weeks ago I want to give the House an example of how this influence can unfold in an innocent country like ours that has perhaps been a little inattentive to some of the risks that have been growing over the past few years. As the hon. Member for Isle of Man has mentioned—[Interruption.] As the hon. Member for Isle of Wight (Mr Seely) has mentioned—he would have a different kind of specialism if he were the hon. Member for Isle of Man—the individuals to whom he referred are men of influence who help to finance an important think-tank I note with interest that the think-tank is financed by the Legatum Institute, which is registered in the Cayman Islands—registration number FC028686, for those who take an interest in these things—but why should these brothers be of such interest to us? Well, we know that Christopher Chandler and his chief executive, Mark Stoleson, have both taken Maltese passports through the passport-selling operation Henley & Partners. They both publicly accept that they hold accounts at the Iranian-Maltese bank Pilatus, the assets of which were frozen and its chairman arrested at the behest of the FBI in March. Both Pilatus and Henley & Partners were the subject of investigations by the Maltese journalist Daphne Caruana Galizia, who was assassinated late last year The hon. Member for Isle of Wight has referred to more. Richard Chandler’s file contains the additional statement: “Richard Chandler and his brother Christopher play an important role in the capital of the companies Lukoil and Gazprom (linked to longstanding…Russian figures who could be linked to organised crime).” Furthermore, they maintain relations with an individual, a Chechen mafia figure, who was “expelled from Monaco”. They are connected with money laundering. These allegations are made in the file.
ParlaMint-GB_2018-05-01-commons.u338	Is my right hon. Friend also aware of the relationship between Henley & Partners and the social media data companies that have been allegedly involved in helping with political campaigns, including that of the recently elected Government in Malta?
ParlaMint-GB_2018-05-01-commons.u339	These are very real and very serious allegations, yet when I tabled questions to the Treasury about whether it was exploring the Maltese golden visa route, and the access to the European banking system and the Schengen area that it provides, it said no such conversations were under way The point is that I would like to know more about these brothers and whether they are beneficiaries of the money knocking around the overseas territories that derives from bad sources. I want to know whether that money is derived from Russian sources, and I want to know who the business partners were Global Witness has done this House an incredible service by highlighting how £68 billion of Russian money is now sloshing around the overseas territories. Given the national security situation that now confronts us, and given the update to the national security strategy that has just gone through, how can we be relaxed about our ignorance of where that £68 billion of Russian money, now buried safely and securely in the overseas territories and Crown dependencies, came from If there is innocence, it should be proved. It should be clear. That is why the disinfectant of sunlight is so important. What we cannot have is agents of influence peddling policies and proposals backed by dirty money from one of our country’s enemies. We cannot have that, and we in this House have a responsibility to ensure that we do not run that risk. For far too long, good and bad money has been allowed to mix together in our overseas territories and Crown dependencies. There is good money there, but we need to be honest with ourselves that some of that money comes into too close contact with cash generated by economies of evil. It is our responsibility to take steps to shut down that regime, which is why new clause 6 and the arguments of my hon. Friend the shadow Minister are so important. I hope the Minister will listen.
