ParlaMint-GB_2018-01-31-commons.u1	2. What steps he is taking to support cross-border economic opportunities.
ParlaMint-GB_2018-01-31-commons.u188	We have heard many requests and demands for this information to be published here today and in the press. Has the Minister had any similar requests from the devolved Government in Cardiff for Welsh-specific information from these assessments?
ParlaMint-GB_2018-01-31-commons.u189	I personally have not yet seen such requests. We do intend to make this information available to the devolved Administrations, as we did with the previous reports that we made available to this House. It is then a matter for the devolved Administrations to ensure that such documents are handled with appropriate confidentiality; we have no objection in principle to their being shared with Members of the devolved legislatures on the same basis of confidentiality.
ParlaMint-GB_2018-01-31-commons.u190	As the Minister is a former economist, can he persuade me that it will be worth my while to visit this reading room, given that every economic forecast that I have ever seen has been wildly inaccurate?
ParlaMint-GB_2018-01-31-commons.u191	My right hon. Friend raises an interesting point. I would like to turn to the analysis itself, so he pre-empts some of the caveats that are important to mention.
ParlaMint-GB_2018-01-31-commons.u192	I will give way in one moment The document is preliminary, unfinished and has only very recently been presented to Ministers in any form at all. It contains a large number of caveats, and sets out on every single page that this is “draft analytical thinking with preliminary results” The analysis has not been led by my Department or, for that matter, by any single Department. This next stage of analysis has been a cross-Whitehall effort to support our negotiating priorities. It is not yet anywhere near being approved by Ministers, and it has only been brought together in a draft paper for them to review this month. Even the ministerial team in my Department have only just been consulted on this particular paper in recent days, and have made it clear that it requires significant further work. It does not yet reflect this Government’s policy approaches and does not represent an accurate reflection of the expected outcome of the negotiations It would not be right to describe the figures as Government numbers, as they have not had formal Government approval or sign-off as most analysis or policy would. The primary purpose of analysis at this stage was a preliminary attempt to improve on the much criticised analysis published around the time of the EU referendum. It is there to test ideas and to design a viable framework for the analysis of our exit from the European Union.
ParlaMint-GB_2018-01-31-commons.u193	Since the Conservative party governs with the support of the 10 Democratic Unionist party Members—of whom I am not one—I am very curious to know whether any Member of the DUP will have advance notice of this economic analysis ahead of the Select Committee or, indeed, in addition to the Select Committee.
ParlaMint-GB_2018-01-31-commons.u194	The simple answer is no. We would make this information available to the whole House on the same basis, while responding to the points on confidentiality that are covered in the Opposition motion.
ParlaMint-GB_2018-01-31-commons.u195	Will the Minister give way?
ParlaMint-GB_2018-01-31-commons.u196	If the hon. Lady will give me one moment, I will give way. I just want to complete my point about the caveats to the analysis At this very early stage, the analysis only considers the off-the-shelf arrangements that currently exist, and we have been clear these are not what we are seeking in the negotiations. It does not consider our desired outcome, which is the most ambitious relationship possible with the European Union, as set out by the Prime Minister in her Florence speech—such an agreement is in the interests of both the UK and the EU—and, to be crystal clear, it does not consider a comprehensive free trade agreement scenario as some reports have suggested, but simply an average FTA. We believe that we can do much better, given our unique starting point and shared history. Therefore, the scenarios in this analysis continue to suffer from the flaws that we have seen in previous analyses of this type.
ParlaMint-GB_2018-01-31-commons.u197	Will the Minister give way?
ParlaMint-GB_2018-01-31-commons.u198	I will give way to the hon. and learned Lady after I have given way to the hon. Member for Bristol West (Thangam Debbonaire) Yesterday, a number of Members of this House spoke eloquently about the challenges of modelling uncertain outcomes over an extended period. The analysis presented by many organisations prior to the referendum is a clear example of those challenges. To date, we have seen outcomes that are quite different from some of those that were set out.
ParlaMint-GB_2018-01-31-commons.u199	I find this conspiracy theory so absurd. The Treasury published very clear and totally wrong short-term forecasts for the referendum debate, and it published very clear and, I think, equally wrong long-term forecasts before the referendum debate, so that the whole nation could engage with these wrong forecasts. The latest lot of leaks looks very much like the wrong long-term forecasts that the Treasury previously published. I look forward to the Minister getting some more common sense into the thing, because there is absolutely no reason at all to suppose that leaving the EU will cause any hit to the long-term growth rate of the UK.
ParlaMint-GB_2018-01-31-commons.u200	My right hon. Friend makes his point well. I think that the point on which we would all agree is that there have to be caveats to any form of modelling. As Members will see when they look at the analysis, it sets out the caveats very clearly.
ParlaMint-GB_2018-01-31-commons.u201	I am so grateful to the Minister for being very patient and giving way to me, but I must press him on this point. It is curious to think that the Government are at this moment planning their negotiating strategy without having considered adequate impact assessments. I went to the so-called reading room in December. It was laughable that I had to sign a piece of paper, a copy of which I was not allowed to remove, in order to promise that I would not reveal what was in the documents. If there is going to be another reading room, I will do exactly what I did last time and reveal what is not in them, which is quite a lot. When will the Government work out that they need these impact assessments to have a decent negotiating strategy?
ParlaMint-GB_2018-01-31-commons.u202	As we have said many times, the Government are informed by a wide range of analyses, but I am responding to the motion from the hon. Lady’s Front Benchers that respects the importance of confidentiality in this case.
ParlaMint-GB_2018-01-31-commons.u203	I will give way to my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) in a little while. I just want to finish my point about the nature of the analysis and the caveats that are contained in the document, as Members will see when they view it. Economies of all sorts face an uncertain future in the face of new technologies and the next phase of globalisation, which presents both challenges and opportunities.
ParlaMint-GB_2018-01-31-commons.u204	Will the Minister give way?
ParlaMint-GB_2018-01-31-commons.u205	Not right now Of course, there is a specific role for this sort of modelling, but it must be deployed carefully and appropriately alongside a full range of policy work in our EU exit plans. On its own, no model or analysis will be sufficient to provide us with the full picture of the various benefits and costs of different versions of Britain’s future relationship with the EU. Such models cannot predict the future. It is the Government’s job to use these sorts of models appropriately and to develop them as best they can. Despite this—and, in many cases, because of it—the analysis remains extremely sensitive.
ParlaMint-GB_2018-01-31-commons.u206	I am grateful to the Minister for giving way. Surely the million dollar question is this: if the Government have not yet assessed the model agreement that they want, when are they going to tell the British people what it is that they want, cost it and publish the results?
ParlaMint-GB_2018-01-31-commons.u207	The Prime Minister has set out a very clear strategy for developing an FTA between the UK and the EU that goes much further than previous models. As I am explaining, the analysis under discussion looks at the existing models and compares some of them, which is not the same as what the hon. and learned Lady sets out.
ParlaMint-GB_2018-01-31-commons.u208	I thank my hon. Friend for announcing that the common-sense decision has been made overnight to stop trying to withhold these documents. I accept what he says about the caveats attached to all forecasts, although the idea that they are all rubbish is a new and sensational claim made by some of his colleagues. Just to be clear about the status, is it not the case that the perfectly responsible Government Departments that produced these papers have reached the stage of briefing and informing Cabinet Ministers as they go to the next stage of discussions to try to create a policy for where we are going in the negotiations with the European Union? That status is the same as that for forecasts put to a Chancellor before making a Budget. Does my hon. Friend therefore accept that, although his words about caveats in economic forecasts are wise, we should not be tempted to drift into the rubbishing of the whole thing, which his colleague, the Under-Secretary of State for Exiting the European Union, my hon. Friend the Member for Wycombe (Mr Baker), rather unwisely embarked on yesterday?
ParlaMint-GB_2018-01-31-commons.u209	My right hon. and learned Friend knows a lot from his own experience as Chancellor about the confidential information presented to Ministers ahead of Budgets, but that process has to go through a number of stages. As I have said, this information, which is preliminary and not yet finished, was presented to Ministers for the first time in recent days. It is, therefore, not in a form that is approved to go forward in the way he describes Despite, and in many cases because of, the points I have made, the analysis remains sensitive. Let me stress that the only reason we do not oppose the Opposition motion is that it makes clear that the analysis is to be shared with the Select Committee and Members on a confidential basis. We are about to embark on exploratory talks with the European Union regarding our future relationship and will be in formal negotiations over the coming months. Having an incomplete analysis such as this in the public domain would not serve the national interest in the upcoming negotiations. I cannot imagine that any reasonable Member of this House genuinely believes that it is in the national interest for the Government to have to publish at the start of the negotiation unfinished, developing analysis of scenarios that we are clear we do not want There is, however, another equally important reason why this analysis should not be put in the public domain, and it is simple: the functioning of Government—by which I mean any Government—about which my right hon. and learned Friend knows a great deal. I ask hon. Members who have been Ministers, who aspire to be Ministers or who have ever held a position of responsibility how they would feel about having to publish their team’s work in progress partway through a project. I am sure they would agree that publishing unfinished initial findings can be extremely misleading, and I am confident that they would join me in ensuring that that does not happen on a routine basis.
ParlaMint-GB_2018-01-31-commons.u210	There is another reason why this set of analyses is peculiar and quite different. I listened carefully to my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke), but he is wrong on this count. This is not like advice to a Chancellor. This analysis, as I understand it, comes out of the back of the reality that all the previous forecasts, heavily reliant as they were on a gravity model of economics, have proved so wildly wrong that a variety of ways are being looked at to try to rectify that. There is, therefore, an experimental nature even to the economics, not just to the straight analysis, and that is why it does not have a massive bearing on the Government’s negotiating strategy at this point—because they themselves are questioning whether it is feasible to make a serious analysis or forecast that may be even slightly correct.
ParlaMint-GB_2018-01-31-commons.u211	My right hon. Friend makes an interesting point and I will leave it to Members to consider it when they see the actual information under discussion Throughout this process I have been impressed—and the Under-Secretary of State for Exiting the European Union, my hon. Friend the Member for Wycombe (Mr Baker) has been clear repeatedly that he has been very impressed—by officials across Departments and the way in which they are rising to the challenge of delivery of our exit from the European Union. To do that, however, we need to have the space to undertake internal work and to challenge preconceptions.
ParlaMint-GB_2018-01-31-commons.u212	I thank the Minister for giving way and for saying that the information will be made available to all Members in a confidential room. I remember making that suggestion when speaking about the sector-by-sector reports, which I have been to see and some of which are extremely useful. How many Members of this House have actually been to see them? I believe that the figure is probably fewer than one in 10, and I sometimes wonder whether Opposition Members are having a huge fight but not bothering to follow up on the real details that matter to real jobs in this country.
ParlaMint-GB_2018-01-31-commons.u213	My hon. Friend makes her point very well. I do not have the answer to her question, but we can certainly look into it and perhaps write to her in response.
ParlaMint-GB_2018-01-31-commons.u214	rose—
ParlaMint-GB_2018-01-31-commons.u215	I want to complete my remarks and give other hon. Members a chance to speak, but of course I give way to the right hon. and learned Gentleman.
ParlaMint-GB_2018-01-31-commons.u216	I assure the House that I and many of my colleagues have been to see the documents and discussed what I thought was not in them.
ParlaMint-GB_2018-01-31-commons.u217	Returning to the hard work of our officials, if every time any element of their work leaked we were forced to present unfinished work for the scrutiny of Parliament, the public and the press, there would be a very real chance that the quality of that work would suffer. It is simply not conducive to an open, honest and iterative process of policy making in government. That is as true for all the Government’s work as it is for EU exit. I do not believe that a single Member of this House believes that that would be in the national interest, so I urge the Select Committee, whose Chairman is here, to provide some assurances, in good faith, that, for those reasons and reflecting on the words of the motion, which recognise the confidential nature of the document, this preliminary analysis will not be made public.
ParlaMint-GB_2018-01-31-commons.u218	I am grateful to my hon. Friend for giving way. I have to say that, of all the Ministers, I think he does an outstanding job in exceptionally difficult circumstances. I thank him for the work he does. However, with bucket loads of respect, the Government cannot have it both ways. Either these are rather meaningless analysis documents that have not been done on any proper modelling and cannot be relied on and all the rest of it—in which case, publish the wretched things, because they are not of any value to right hon. and hon. Members—or they are indeed of great value and must be kept secret and highly confidential. Which one is it, because at the moment we do not know?
ParlaMint-GB_2018-01-31-commons.u219	I am grateful to my right hon. Friend, as always, for her kind praise, but I think I have already answered the challenge she sets as to the reasons why some of the information in the report should be kept confidential. That is something on which the two Front-Bench teams clearly agree, because it is in the Opposition motion. I also just want to emphasise that the misrepresentation in some of the press reporting of this leak makes this an exceptional request that the Government agree to on an exceptional basis. They do not accept a precedent for future action Finally, it is also for those reasons that I believe that forcing the release of partial and preliminary analysis risks undermining the functioning of Government at a vital moment.
ParlaMint-GB_2018-01-31-commons.u220	Will the Minister give way?
ParlaMint-GB_2018-01-31-commons.u221	Will the Minister give way?
ParlaMint-GB_2018-01-31-commons.u222	Not now. The public have voted through a referendum to leave the European Union. We must deliver on that result, in the national interest. I agree with the right hon. and learned Member for Holborn and St Pancras that we should work together to ensure that, and that must include scrutiny Only yesterday the Under-Secretary of State for Exiting the European Union, my hon. Friend the Member for Wycombe committed to ensuring that Parliament has the appropriate analysis on the terms of our exit from the European Union ahead of the vote on the final deal we agree with the European Union. That is entirely right and we will deliver on it. However, delivering on the referendum result, in the national interest, does mean being able to have a stable and secure policy-making process inside Government. It means Government taking seriously their obligation to preserve the security of our analysis and the work underpinning our negotiations, and receiving that analysis means Parliament sharing in that responsibility and obligation. As all Members of this House come together to deliver for the people the best possible outcome of the referendum result, it is with that sentiment that we will comply with the motion.
ParlaMint-GB_2018-01-31-commons.u223	I am grateful for the chance to speak in this debate and I commend the main Opposition party for securing it I am wondering why we are here because, yesterday, the Minister’s colleague beside him on the Front Bench, the Under-Secretary of State for Exiting the European Union, the hon. Member for Wycombe (Mr Baker), spent over an hour valiantly, loyally and completely unsuccessfully trying to persuade the House that the sky would fall down if this information were shared with anybody. Now we are being told that it can be shared at the very least with 650 people Incidentally, part of the reason why relatively few MPs—certainly those in the Scottish National party—went along to the “Kremlin” reading room to look at the sectoral analysis is that, having seen part of the papers, I told a lot of my colleagues not to bother. It simply was not worth their time to go through the security checks to read stuff that they could get by looking online Again, we are seeing a symptom of the fact that, despite all the assurances we get that Brexit will restore “sovereignty” to Parliament, this is really about trying to restore the alleged sovereignty of a minority Government over the will of Parliament. Parliament is supposed to tell Government what to do, but every time it looks as if Parliament is going to tell the Government to do something they do not want to do, it causes absolute panic on the Government Front Bench. It also causes a headache for civil servants, as one of their main responsibilities is supposed to be to prevent Ministers from doing anything that causes political embarrassment to the Government—good luck to them. If they can achieve that, they must be quite remarkable people.
ParlaMint-GB_2018-01-31-commons.u224	May I ask the hon. Gentleman a very simple question? Does he condone or condemn the leaking of Government papers? It is an important question.
ParlaMint-GB_2018-01-31-commons.u225	At this point, the answer is no: I neither condone nor condemn because I do not know what the circumstances were I walked away from a potentially successful career in NHS financial management. I wrestled for six months with my own conscience, seeing things that I knew had to be brought to public attention but knowing there was no way I could do that, and knowing that the public were being deliberately misled about what was going on in the health board that I worked in. The only way I could bring it to public attention was to resign and walk away from the job. So I will never, ever condemn anyone who believes they are acting in the public interest by doing something that they are not supposed to do I would be very surprised if there is a single Member in the Chamber today who is not at this very moment considering an important constituency case that has been brought to them by someone who technically was breaking the rules by raising it with a Member of Parliament. There are times when the public interest has to outweigh all other considerations, and until I have seen the full circumstances of why this information was disclosed, I am not going to condone or condemn, and I do not think anyone else should prejudice the case by commenting on it now.
ParlaMint-GB_2018-01-31-commons.u226	Does the hon. Gentleman agree that there is a distinction between a leak and whistleblowing? Whistleblowing is in the public interest. The provisional evaluation of the economic impacts, be it incomplete or imperfect, and given that good is not the enemy of perfect, should be in the public arena. This is a whistle blow, not a leak.
ParlaMint-GB_2018-01-31-commons.u227	I am grateful for that intervention. We have to be careful about language. There is whistleblowing as defined in the Public Interest Disclosure Act 1998 and it is not clear whether this incident would comply with that. As a council leader, I sometimes found myself having to respond to information that technically should not have been disclosed. I always took the view that, if the motivation was clearly public interest, we should seek to protect those who did that, even if they had not technically done it in the correct way. The question today should not be about the motivation or principles of whoever disclosed this information into the public domain. The question should be first about what the information tells us, and secondly about what the Government’s determination to hide this information from the people tells us about the Government’s handling of Brexit I hope that, when the Under-Secretary of State responds, he will do what the Minister did not do earlier, and tell us when the Government started to prepare this analysis. Is this the homework that the Secretary of State had to confess to a Select Committee he had not done yet when the House asked for it? It looks suspiciously like this is not only the Secretary of State’s late homework but that he copied it off his new pal Big Mike in the high school up the road in Scotland. The similarities between the Scottish Government’s analysis that the Government rubbished two weeks ago and the Government’s own analysis are so striking that it would be a remarkable coincidence if the people who prepared those analyses had not been copying from each other.
ParlaMint-GB_2018-01-31-commons.u228	I agree with the hon. Gentleman that it is clearly important to get this information out into the public domain or in controlled circumstances. Is he as worried as I am that, despite having information out in the public domain that tells us that Brexit, whatever version we go for, is going to cause us huge damage, not only the Government but, it seems, those on the Labour Front Bench are still going to proceed none the less?
ParlaMint-GB_2018-01-31-commons.u229	Again, this may not be the time for that debate. My position is perfectly clear. We have the results of four national votes and we have to seek to respect those as far as possible. We cannot respect them all because two of us want to leave and two of us want to stay, and the European Union does not allow bits of nation states to stay or go. However, on the Government Front Bench and, to a lesser extent, on the main Opposition Front Bench, there has been a failure to distinguish between leaving the European Union and leaving the single market, the customs union and various other European institutions, which is where the real damage exposed by these analyses lies. It is possible to leave the European Union, to comply with the referendum result, and not to bring down on ourselves, for example, the potential 8% reduction in Scottish GDP as a result. That can only be done if the Government admit that they got it wrong and step back from the red line on single market and customs union membership. There was no referendum about the single market or the customs union. At the moment, we only have unilateral political dogma from the Government, telling us that we have to leave The real reason why these analyses were never done and they were kept secret for as long as possible after they had been done is that they show that, in deciding to take us out of the customs union and the single market, the Government got it badly wrong. All we need is for the Government to admit they got it wrong and this whole debate then becomes an irrelevance. The Government’s behaviour demonstrates again the fallacy of the argument that Parliament holds the Government to account. In effect, we do not have an electoral system that is designed to produce a proper Parliament. We have an electoral system for this place that is designed to produce one winner and one loser, and it does not like it if there is more than one party on the alleged losing side, because the system cannot cope with having more than one big Opposition party. It does not like it if it is unclear who the overall winner is. This place is always in turmoil if a coalition has to be formed and there is a minority Government. The whole procedure of Parliament—the way that Bills are produced, the way that time is allocated and so on—is based on the assumption that the Government decide and just every once in a while Parliament tries to tell the Government that they should have decided something different In the discussion we had about the first batch of Brexit papers before Christmas—there have been elements of it again today—we heard that it is disloyal to the country and to our constituents for any Member of Parliament to suggest that the Government have got it wrong and should be doing something different. Whether it is in relation to publishing or not publishing the papers, to handing them over in secret to a Committee or not, to the decision to take us out of the customs union in the first place or to any other decision that the Government take and announce without having the full mandate of the people, it must be open to any Member of Parliament to criticise and seek to change it When I keep hearing Members—not so much those on my Benches, because we have a clear mandate from our constituents—on either the Government Benches or other Opposition Benches being denounced as traitors and enemies of the people simply for standing up in this place for what they believe in, we have to ask ourselves what is going on with democracy in these four nations. In some ways, that is even more fundamental than our membership of the EU and its related institutions. We have to get a grip It was disappointing to hear comments yesterday from Government Back Benchers about London-based elite remoaners. No one on the Government Front Bench picked up on that and said that that kind of language is not acceptable. There should never be any need to question the integrity or motivation of anybody in the Chamber simply because we disagree, however passionately, with what they are saying.
ParlaMint-GB_2018-01-31-commons.u230	I listened to what the hon. Gentleman said earlier about the sector-by-sector reports and I think I heard him say that he had told other colleagues not to bother to go and read them. My understanding is that we need a trade deal that works for all sectors of the economy and especially for areas such as food, agriculture and farming. My memory of those sector-by-sector reports is that that is an area that is enormously detailed, so perhaps he will think again about encouraging other Members to go and look at this detailed information.
ParlaMint-GB_2018-01-31-commons.u231	Part of the Government’s response earlier today to the disclosure of these documents was that the quotation or citation was selective and incomplete. I am afraid that is what we have just heard from the hon. Lady.
ParlaMint-GB_2018-01-31-commons.u232	Will my hon. Friend give way?
ParlaMint-GB_2018-01-31-commons.u233	May I deal with the first intervention first, please What I said was that the reason I had told my colleagues that it was not really worth while for them to hand over their phones, make appointments and so on to go and see the documents, was that there was nothing in there that they could not have got quite easily on the internet. Is it really a good use of a Member’s time to go through a security check more severe than at an airport, in order to read in a classified document that Airbus and Boeing make aeroplanes? To read in a classified document that gambling legislation in Northern Ireland is devolved but not elsewhere? These are all things that were in the documents that the Government said they could not disclose. To read in the sectoral report on the electricity industry that lots of people in the United Kingdom rely on electricity for domestic and commercial purposes Come on, Madam Deputy Speaker: there may well be information in the latest batch of documents that there is good reason for wanting to keep classified and confidential, but the Government’s attitude is that they tell the people and Parliament as little as they can possibly get away with. We all know that the reason for the change of heart from yesterday to today is nothing to do with the Government’s having decided that, because part of the documents had been published, they might as well give Parliament everything. The Government are not opposing the motion today because they know they would go down badly if they forced it to a Division. They do not have the support of their own Back Benchers; I doubt if they even have the support of their own Front Benchers. Their culture of excessive secrecy no longer has the support of their own people. They are not forcing the matter to a vote today because they know they would not only lose, but lose so badly that it would call into question the continuation of the Government in its entirety.
ParlaMint-GB_2018-01-31-commons.u234	rose—
ParlaMint-GB_2018-01-31-commons.u235	I did say I would give way to my hon. and learned Friend the Member for Edinburgh South West (Joanna Cherry).
ParlaMint-GB_2018-01-31-commons.u236	As usual, my hon. Friend is being modest. He is not explaining to the House that he is a member of the Exiting the European Union Committee and has been part of the project to produce detailed reports of sectoral analysis, so he knows, like anyone who has bothered to read the reports—I see the hon. Member for Chelmsford (Vicky Ford) is still sitting beside the hon. Member for Stirling (Stephen Kerr)—that all the information in these top-secret documents is already in the public domain.
ParlaMint-GB_2018-01-31-commons.u237	I am grateful for that intervention. I am aware of the time, and I do not want to impinge too much on other people’s—
ParlaMint-GB_2018-01-31-commons.u238	rose—
ParlaMint-GB_2018-01-31-commons.u239	I will give way once more, but I hope the intervention is a bit more relevant than the earlier one.
ParlaMint-GB_2018-01-31-commons.u240	I thank the hon. Gentleman for his gracious approach to my intervention. It is just that he is contradicting himself. He says that the Government are not responsive to Parliament—that Parliament is some kind of constitutional eunuch—and in the next breath he says that the reason there will not be a vote today is that the Government cannot control their own side. He cannot have it both ways. This Parliament is very successfully holding the Government to account and is being very thorough in its scrutiny. In defence of the honour of this Parliament, I needed to intervene to say that.
ParlaMint-GB_2018-01-31-commons.u241	The reason why Conservative Back Benchers will abstain in this debate is that the Government Whips have told them to abstain. The reason why the earlier motion on the main Brexit sectoral analysis was not opposed was that the Government told their Back Benchers not to oppose it. Since then a number of Back Benchers, sitting in this Chamber, have said that they would have been quite happy to lead a move against that Humble Address before Christmas but the Government Whips told them not to. The fact of the matter is that all too often the Government hold Parliament to account, not the other way around We shall not fix that today, but if we appreciate that that is the background against which this fiasco has developed, it is easier to understand how it is that, as soon as there is a Government who do not command a substantial majority in the House, there are problems. The British electoral system has a phobia against minority Governments or coalition Governments, despite the fact that in numerous other places—some of them not too far north of here—there are examples of Governments operating very successfully indeed, either in coalition or as a minority Government The Minister, as part of his argument to try to discredit his own Government’s analysis, points out that it is based on average free trade agreements, as opposed to the all-singing, all-dancing with bells and whistles free trade agreement that the Government keep telling us they will achieve within the next year or two. What is that assurance based on? What grounds does this Parliament have to believe that the Government have a snowball in hell’s chance of finding anyone to give the United Kingdom on its own a better trade agreement than they are willing to give to the 500 million people of the European Union single market? Have the Government done an analysis to tell them that they are going to get better trade deals? I hope not, because if they have done such an analysis, that analysis is quite clearly rubbish as well Given that analyses that come out of Her Majesty’s Treasury are no longer to be trusted, may we now take it as the Government’s official position that we can no longer believe what was said in the 16 analyses that were done by Government Departments in 2013-14, showing what a disaster a yes result in the Scottish referendum would be? And can we just cut to the chase, and save everybody a lot of time, by getting the Government to admit now that the bucketsful of analysis that they are going to produce next time around are also worthless and incomplete and selective, so they can just not bother producing them and save us all a lot of time Madam Deputy Speaker, when you get a Government who have to defend their own excessive secrecy by telling the people of these islands that they cannot rely on information that comes out from the Government, whether it was meant to come out or not—when the Government tell us we cannot rely on information that the Government themselves are producing—that is what undermines Britain’s negotiating position with the European Union. It is not the fact that information might be published that the EU could have put together itself quite easily; it is that the Government’s action in attempting to conceal that information and then seeking to discredit it demonstrates to our EU partners what they probably knew—that they are negotiating with a disorganised, disunited, shambolic and incompetent Government. That weakens Britain’s negotiating position more than any release of Brexit analysis papers could ever do.
ParlaMint-GB_2018-01-31-commons.u242	It is a pleasure to follow the hon. Member for Glenrothes (Peter Grant), although obviously I did not agree with much of what he said at the end of his speech I am delighted that the Government have had the good sense to agree to the motion. I am concerned about the circumstances in which these documents will now be made available, in some sort of secrecy, despite the fact that they can clearly be read on the internet. Why we are going through that farce, I do not know May I gently say to my Government, this madness has to stop. If we were in the middle of the summer, I might say that it was overexposure to a hot sun that seems to have caused a collective outbreak in the Government of a form of madness. Their inability to grasp Brexit and do the right thing, frankly, is now at a point where, as I say, it has got to stop. We have to start to do the right thing; and the right thing is to get this Brexit sorted out, to form a consensus in this place and within the country, and deliver—deliver not just on the referendum result, but on the hopes and aspirations of our people that we will have an economic future out of the European Union that will be safe and secure for generations to come.
ParlaMint-GB_2018-01-31-commons.u243	Will the right hon. Lady give way?
ParlaMint-GB_2018-01-31-commons.u244	In a moment The reality of these documents, of course, is that finally it seems that our Government have decided they are actually going to make some choices; they are actually going to form a view in Cabinet. It has only taken 19 months since the referendum to work out what they want from Brexit The Prime Minister told us, in her Lancaster House speech, what she did not want, but what nobody in the Government—in the Cabinet—has told us is what this Government do want by way of Brexit. And if I am agitated—and I am—I can assure the Front Bench that whilst I think most of the people of this country are just fed up to the back teeth, the people of this country are also agitated, because they are worried and they are nervous. And being blunt, there are millions and millions of people in this country who do not believe that either of the two political parties in this country represent their views, and indeed will forward their views I see it in these terms. I think there is a group of people—the hard Brexiteers—and you are not going to change them. In my party, my Government believe that somehow they can “manage” the 35 hard Brexiteers, who for decades have been banging on about Europe in a way that I think is not, at times, particularly good for their mental health—and they think they can “manage” them. They cannot be managed. Even if they were given what they wanted today, they would complain that it had not been done yesterday. For many of them it is a battle to the death, and they will not hesitate to destroy this party or our Prime Minister to get what they want. They can see the prize and they will be damned if anybody is going to get in their way. The Government need to wake up to that reality. So we have that problem to cope with, and that is the way to deal with it: see it off, build a consensus, and jump into the middle ground and put this country’s interests before anything else. As the CBI said, “Goodbye ideology; wake up to the interests of our country.” Over on the other side is a group of people who still want to fight the battle of the referendum—they are remainers, they are angry and they cannot and will not accept that we are leaving the European Union—but here in the middle is the majority of people. They are like corks, bobbing around in a sea. They feel queasy and uneasy, and they are worried about their own futures and their children and grandchildren’s futures, yet there is nobody for them—no thing, no vehicle coming along upon which they can jump; a big, warm ship that says to them, “Come on board. You’ve got a great captain at the wheel and we can see the land of our destination over there.” It might be Norway; it could be the European Free Trade Association—actually, I would like it to be the single market and the customs union, but hell, I will compromise. I will take EFTA. Why? Because I want to form a consensus to get the best thing for our country That is there, but at the moment there is nothing for people to get into that will save them from what, unless this madness stops, will undoubtedly be a catastrophe. Call it what you will—“walking off a plank” is how I think a noble Lord quite properly described it yesterday. Others have described it as “sleepwalking to a Brexit disaster” or “jumping over the cliff”. Whatever metaphor one wants to use, if this Government—and it can only be this Government—do not get a grip on the situation at the top, we will indeed walk into a Brexit nightmare.
ParlaMint-GB_2018-01-31-commons.u245	My right hon. Friend said that the Prime Minister had not set out what she wanted. I contend that she has done precisely that. Of course it is arguable whether she will get it, but as for the boat that my right hon. Friend wants to welcome everybody on to, the Prime Minister has set that out.
ParlaMint-GB_2018-01-31-commons.u246	With great respect to my right hon. Friend, that is absolute nonsense, and the good people of this country now require honesty and transparency. Some of us have been over to Brussels. Many people—right hon. and hon. Members, some of whom I can see on the Opposition Benches—have spoken to people at all levels of the 27 nations and to ambassadors from other countries. They have been over to Brussels and spoken to all manner of people, and no, we are not pleased. Don’t patronise; we are not stupid; we know when we are getting a line. We have spoken to disparate people, and every single one of them says, “Wake up, Britain. You’re not going to get a bespoke deal. You’re probably going to get Canada.” I do not want us to be like Canada. That is not what people in my constituency voted for. They did not vote to be poorer—and they would be poorer, God help us if we got a Canadian deal. People have a right to know what the consequences of the various options are. The problem with the Prime Minister’s position is that she has told us what she does not want—the customs union, the single market and the European Court of Justice—and that has seriously reduced the options available to our country. By drawing those red lines and refusing to move, she puts the EU in a position whereby it is limited in what it can offer us. I say to my right hon. Friend the Member for New Forest West (Sir Desmond Swayne) that we are deluding people if we continue to peddle this nonsense.
ParlaMint-GB_2018-01-31-commons.u247	The right hon. Lady is giving a passionate speech. The one thing that the Prime Minister has said she wants is to keep frictionless trade in Northern Ireland. The problem is that that is utterly irreconcilable with what she said she does not want, which is the single market and customs union. Therein lies the fundamental confusion that is causing so much difficulty in the country right now.
ParlaMint-GB_2018-01-31-commons.u248	I agree with the hon. Gentleman—I nearly called him my Friend, although on this he is, because he is absolutely right. The agreement made in December between the European Union and ourselves is such a fudge that it is impossible to put it into a text that could become a treaty. It is a superb fudge, and it has delivered the political outcome, but the reality, which has been accepted by this Government, is that in order to solve the problem in Ireland we are staying in the—not “a”, but “the”—customs union and single market. That is what the Government basically agreed to do in December.
ParlaMint-GB_2018-01-31-commons.u249	The right hon. Lady has hit on the heart of the problem, which is that the Government will not say what they want. However, turning to this issue, does she agree that the reason why the public are in the dark is that we have excellent independent economic forecasters in the Office for Budget Responsibility who say that they simply cannot do their job because we are all in the dark about what the Government actually want? Ought they not to rectify that?
ParlaMint-GB_2018-01-31-commons.u250	The hon. Lady is quite right—she can be my Friend in this debate, because she makes an important point. What responsible Governments do, quite properly, is to say to impartial, objective officials, “Right, these are the options. Cost them out, or assess them, and so on and so forth,” and yet bizarrely the Government did not put forward their own preferred option. What on earth does that say about our Government’s position? What further evidence does anybody want that they have not worked out their position? They have got to do that, because at the end of March the European Union will publish what its position is going to be, and there is every chance that our Government will still be messing about, fighting off hard Brexiteers and not grasping the nettle and doing their duty by the country.
