ParlaMint-GB_2018-11-26-lords.u1	To ask Her Majesty’s Government what plans they have to split payments in Universal Credit.
ParlaMint-GB_2018-11-26-lords.u93	My Lords, I have put my name to this amendment and I also support the Bill. I say to the Minister that the amendment is intended to be helpful I have been reflecting on the possibility that this might happen to me. From time to time, I wear very wide skirts, and more than once, in going up and down the stairs to the Tube, the skirt has come right up. I can just imagine a young man thinking it irresistible to stick his iPhone under my skirt as it goes right up for a lark. He might then say that it was not intended and that he did not think he would humiliate me. Quite simply, I would not be humiliated, alarmed or distressed. I would be extremely angry. And if I got the chance, I would put my leg exactly where you think I might. Bear this example in mind. In my view, it is not covered by the current wording of the clause because the action lacks intent and, much more importantly, was done to an elderly woman who then did not suffer any of the suggested reactions. As my noble friend Lord Pannick said, there is a gap—a manhole—and victims such as myself would not be covered I am sure the Minister had no hand in drafting this, but it is a well-meaning example of male paternalism. Nice, decent elderly men think that this is how all women would feel, but I am one who does not. For that reason, I strongly support this amendment.
ParlaMint-GB_2018-11-26-lords.u94	My Lords, I too support the Bill. I have seen something happen to a man’s kilt that was almost exactly as described by the noble and learned Baroness and equally embarrassing With great respect to those who tabled the amendment, I am not quite sure that they have found a solution to the problem they have identified for a reason I shall try to explain. New Section 67A has a number of subsections and, as I read it, subsection (1) describes the action of the person and subsection (3) describes the purpose for which the action is being taken or resorted to. The trouble with “invading the privacy of B” is that those words describe the action. The words in new subsection (1)(a), “operates equipment beneath the clothing of another person”, is an example of invading the privacy of that person by operating something beneath their clothing Therefore, I wonder whether the amendment is entirely right. The purposes are set out in new subsection (3) and my problem is that the wording of the amendment describes acts rather than purposes. We are in Committee and it might be worth reflecting on the aim—which I quite understand is being properly addressed by the words suggested.
ParlaMint-GB_2018-11-26-lords.u95	My Lords, I, too, fully support the underlying objective of this legislation, and apologise for not having played a part in any of the earlier processes Reading these amendments today has given me pause for thought along the same lines as my noble and learned friend Lord Hope of Craighead. My noble friend Lord Pannick describes this as a manhole or loophole in the legislation that can be got round. However, the whole point, surely, of new subsection (2)(c) is to limit the application of this provision. You look for a purpose and then you define the purpose in new subsection (3). However, if you include within that any invasion of the privacy of B, frankly, you might as well strike out the whole requirement for a purpose. Whether, as my noble and learned friend Lord Hope said, this is to be regarded as a purpose at all, if you do what is set out in new paragraphs (a) and (b), inevitably you are invading the privacy of B. Therefore that makes it otiose to have any reference to a purpose at all; it is unlimited As for an unlimited provision, I am agnostic—or hesitant—as to whether that is a good idea, but it is no good persuading ourselves that you are consistently with a purpose and then accommodating the amendment.
ParlaMint-GB_2018-11-26-lords.u96	My Lords, I too apologise for not having been here at Second Reading, but I have had the opportunity of reading the short debate In Section 67 of the Sexual Offences Act 2003, there is a mens rea, as it were, simply for the purposes of obtaining sexual gratification. Unfortunately, one has to pose the question of why anyone is doing this at all—I think it used to be assumed that it must be for some form of rather strange sexual gratification—and this addition of “humiliating, alarming or distressing” is added to cover the possibility that there might be some other motive. Those words are familiar and often interpreted in one context or another in the criminal law, whereas I am unaware—I will be corrected if I am wrong—that the concept of invading privacy finds much resonance in the criminal law, although of course it is reflected in other aspects of our law, not least in Article 8 of the European convention The noble Lord, Lord Pannick, rightly said that we do not want anyone who should be capable of relying on a defence to have one in circumstances where it would be unattractive if they did, and he cited a particular instance of someone having a laugh. He then gave the game away by saying it would be unfortunate if they could say this despite the distress that might be caused to the individual who had been the victim of this. Whose laugh are we talking about? Presumably we are talking about misjudged humour on the part of the perpetrator, not the amusement of the victim of this invasion. I take the point made by the noble and learned Lord, Lord Brown, that if there is to be a purposes clause, it is sufficiently wide. I think a magistrate directing himself or herself with the addition of a clerk would have no difficulty in considering this; nor would a recorder have any difficulty in directing a jury to consider this, so that if somebody said in their defence, “I was only doing it for a laugh”, they simply would not be believed.
ParlaMint-GB_2018-11-26-lords.u97	My Lords, I agree with what was said by the noble Lord, Lord Pannick, and the noble and learned Baroness, Lady Butler-Sloss. I am not sure that invading the privacy is not just as much a purpose as an activity. I shall be brief in support of Amendments 2 and 3 in my name and in the name of my noble friend Lady Burt of Solihull I made it relatively clear at Second Reading that I would have preferred the specified purposes provision to be omitted altogether, and in that regard I go further than the agnosticism of the noble and learned Lord, Lord Brown, and the point made by the noble Lord, Lord Faulks. That would mean that an offence would be committed by anyone taking upskirting images without the consent of the victim, though I would add a different proviso: so long as the action of taking or recording the images was not accidental. This could have been quite easily achieved in the legislation by the use of a word such as “deliberately”, and would have constituted an acceptable required level of mens rea—or guilty state of mind—to constitute the behaviour criminal. But my chief concern, and that of my noble friend Lady Burt and others, has been to ensure that no one is permitted to avoid criminal liability by running the defence that he lacked the required purpose. The amendment by the noble Lord, Lord Pannick, and the noble and learned Baroness, Lady Butler-Sloss, is designed to achieve that end I would add another problem that has not been covered. There is a concern that the specified purpose in new Section 67A(3)(b)—that is “humiliating, alarming or distressing” the victim, would be entirely absent, not only in the case of the robust constitution professed by the noble and learned Lady, Lady Butler-Sloss, but also in a case where the perpetrator intends to avoid detection by the victim by taking or recording the images without the victim knowing. If the victim is not to know of the behaviour, then she cannot be humiliated, alarmed or distressed by it. In such a case, the only remaining—
ParlaMint-GB_2018-11-26-lords.u98	I thank the noble Lord for giving way. The distress may not be something the victim is aware of at the time it takes place, but were they to become aware—which ex hypothesi they would in the case of a prosecution—surely then they would suffer humiliation and distress, having found out what had been done to them.
ParlaMint-GB_2018-11-26-lords.u99	I do not accept that, because in some cases these images would be published and a prosecution would follow without the victim ever being traced. The victim may not know the images are of her—there may be distinctive parts, there may not—but there may be cases where distress can come either with the prosecution or later. In the proposed new section as it stands, the prosecution has to prove that the intention of the perpetrator was to bring about that distress. That seems an unnecessary complication and hurdle to erect in front of the prosecution so that it has to prove that purpose to secure a conviction There may well be cases in which the perpetrator can say that sexual gratification, whether for himself or another person, was not his intention or purpose—the example has been given of “having a laugh”. In Amendment 2, we have identified financial gain, where these images are to be published to make money, as another intention. In Amendment 3, we have identified entertainment or amusement, which is another way of saying “having a laugh”, as another The noble and learned Lord, Lord Keen, has argued that financial gain will be achieved by the creation of these images or recordings only if they are to be sold for someone’s sexual gratification. I am not sure that this is entirely true. I believe that, in some circumstances, financial gain may be made by unscrupulous individuals peddling sick humour arising from such images, with no intention on the perpetrator’s part to secure sexual gratification for anyone, whether others may view them for that purpose or not. The purpose of the perpetrator must be proved, not the coincidental fact that others may get sexual gratification from viewing such images later The amendment moved by the noble Lord, Lord Pannick, is elegant and cleverly covers our point. However, the noble and learned Lord, Lord Keen, indicated to us that he might look on that amendment favourably even if I have not persuaded the Government—I am not sure that I have persuaded the Minister—of the merits of our amendments. I hope that I have done so; I do not see the difficulty in accepting our amendments. We regard them as improving the Bill by specifically outlawing taking or recording images for financial gain or for entertainment or amusement. Our amendments can be taken with those in the names of the noble Lord, Lord Pannick, and the noble and learned Baroness, Lady Butler-Sloss, which I hope the Government will accept in any event. The point is to avoid people who clearly should be convicted of offences under this new and welcome legislation unjustly running defences of absence of the relevant purpose and getting away with it.
ParlaMint-GB_2018-11-26-lords.u100	My Lords, I will add briefly to the comments of the noble Lord, Lord Pannick, the noble and learned Baroness, Lady Butler-Sloss and my noble friend Lord Marks. As the noble Lord, Lord Pannick, will already have gathered, we welcome Amendment 1, which would widen the offence to include, “invading the privacy of B, whether or not by”, humiliating, alarming or distressing them, for the reasons he has given Amendment 2 would widen the motivations to include financial gain by the person who took the photo or whoever has distributed it. Upskirting images are freely and easily available on the internet; this amendment spells out that anyone profiting from their distribution is committing a criminal offence Amendment 3 cuts off the defence that a group of “lads”—however old they may be—were bonding, having a laugh and did not mean any harm. It is not okay, whatever the motivation of the perpetrator or perpetrators, if the person has not consented. I believe that it is worth spelling that out. These points deserve to be made even if they do not make it into the Bill.
ParlaMint-GB_2018-11-26-lords.u101	My Lords, once more I rise in support of the Bill, and I know that it is rightly supported by Members on all sides of the House. After a lot of thought and some discussion, including with the noble Lord, Lord Pannick, I will stick to my Second Reading position that the Bill should pass through this House swiftly and completely unamended. I have two reasons for sticking to that position, the first pragmatic, but no worse for it, and the second a legal policy reason I will take the amendments in reverse order. I am very glad to hear that the noble Lord, Lord Marks, has abandoned his earlier preference for strict liability sex offences, which would be a very illiberal innovation in our criminal law. I take his point about accidental occurrences and so on, but I do not find either Amendment 2 or Amendment 3 to be particularly attractive or to add anything to the Bill.
ParlaMint-GB_2018-11-26-lords.u102	My Lords, I thank all noble Lords who have taken part in this short debate. The Bill creates two new offences to capture instances where a person takes an upskirt image for the purpose of obtaining sexual gratification and/or causing humiliation, distress or alarm to the victim. It also ensures that the most serious offenders, where the purpose of the offending is for sexual gratification, are made subject to notification requirements—colloquially known as being put on the sex offenders register. In speaking to Amendment 1, I will speak also to Amendments 2 and 3 Amendment 1, tabled by the noble Lord, Lord Pannick, and the noble and learned Baroness, Lady Butler-Sloss, does not add an additional purpose but replaces the purpose of humiliating, alarming or distressing the victim with a purpose of invasion of privacy, whether or not the perpetrator intends to humiliate, distress or alarm the victim. The prosecution would therefore need to show that the perpetrator intended to invade the victim’s privacy—or to obtain sexual gratification under the existing first purpose—to be guilty of one of the new offences Amendments 2 and 3, tabled by the noble Lord, Lord Marks, and the noble Baroness, Lady Burt, would add a third and/or a fourth purpose for which a perpetrator could commit either of the new upskirting offences contained within the Bill. They seek to ensure that those who commit upskirting for financial gain, or for entertainment or amusement, would be caught by the offences. There is support, as we have heard today, from all sides of your Lordships’ House to ensure that the law is suitably robust to protect victims from the distressing practice of upskirting. I recognise that these three amendments are well intentioned and that noble Lords are trying to be helpful, but they are unnecessary and may delay the passage of what is a good Bill as drafted. I thank the noble Baroness, Lady Chakrabarti, for her support in this Amendment 1 seeks to address concerns that perpetrators can argue that they had no intention to humiliate, distress or alarm the victim and, by doing so, get away with this heinous behaviour. The amendment is based on the view that, because by its very nature the act of upskirting is an invasion of privacy, it would be easier for a perpetrator to be caught by the Bill if it was drafted in this way, compared with the need to establish an intention to humiliate, alarm or distress the victim, as it is currently drafted The amendment would include those who may claim they committed an act of upskirting for financial gain, such as the paparazzi, which is the issue that Amendment 2 seeks to address; those doing it “for a laugh” or for entertainment or amusement, which is the issue that Amendment 3 seeks to address; or indeed those who claim that the victim could not have felt humiliated, distressed, or alarmed because they did not know that upskirting had taken place However, I am not convinced that Amendments 1, 2 and 3 address these specific concerns any better than the purposes as currently drafted, and I remain confident that the existing purposes will capture all those who should be criminalised for this behaviour, including those who would come under the proposed purposes set out in the amendments. Obtaining sexual gratification and humiliating, alarming or distressing a victim is terminology which is clear, appropriate, and familiar to criminal justice agencies and the courts. I thank the noble Baroness, Lady Chakrabarti, for her definition of “humiliating”. I too have looked it up in a dictionary and it is indeed very broad; nor is the bar set particularly high, I think Perpetrators of upskirting will likely have several different purposes or motivations when conducting themselves in this way. For example, if someone took an upskirt image because of their voyeuristic tendencies or because they were going to put it on a pornographic website, or have it published in some other way, they would likely be captured because there is a clear inference that their purpose was to obtain sexual gratification or so that another person could obtain sexual gratification It is no defence, with regard to the current purposes, to say that the victim was not aware that an upskirt image had been taken and therefore would not actively feel humiliated. It is the intent of the perpetrator when upskirting their victim which is key here: this is a fundamentally covert practice and the victim may not know it is happening at the time. The fact that the victim is therefore spared the humiliation, alarm or distress when the upskirting occurs does not change the fact that this was the perpetrator’s intent in taking the image in the first place. If it was not, the most likely alternative is that the perpetrator intended to obtain sexual gratification, which remains the other purpose in any event. In relation to Amendment 2, if an upskirt image of a celebrity is published in a newspaper or shown on any other media outlet, the image will be of interest and therefore may have value because of the humiliation, alarm or distress that is, or is intended to be, caused to the victim. Whether or not a person was paid for the image does not detract from the humiliation caused, but the act of offering it for publication might be taken into account at the sentencing stage as making the offence more serious. It does not matter whether it was the person who took the image or the person they intended to share it with who has the purpose of obtaining sexual gratification or causing humiliation—the new offences apply in either case. Indeed, where there is sufficient evidence that the purpose for taking an upskirt image was, for example, to humiliate the victim, a perpetrator could be charged regardless of any other reasons, financial or otherwise, they might have for taking the photograph. There is also a concern that “financial gain” is itself not defined and would need to be in order to be properly understood and interpreted in the context of upskirting and other sexual offences legislation Turning to Amendment 3, if someone takes an upskirt image “for a laugh”—or, to put it another way, for entertainment or amusement—it is clearly implicit that the laugh, entertainment or amusement derives from the humiliation, alarm or distress caused to the victim. The primary reason the upskirt image has entertainment value, to the perpetrator or anyone else, is again because of the humiliation, alarm or distress caused to the victim. Therefore, this behaviour will be caught by the purposes as currently drafted It is worth noting that Amendment 1 could limit the flexibility the Bill currently provides—for example, the existing purpose of intending to humiliate, alarm, or distress covers a case where a person takes an upskirt image to bond with friends or peers. It is less clear that the courts would consider that the friend—or “the lad”—looking at these images could be said to have the purpose of invading the victim’s privacy. This could be termed as a loophole I also wonder whether Amendment 1 would overcome the evidential issue that the noble Lord is concerned about. It is at least as arguable that the intent to humiliate is as intrinsic to the practice of upskirting as the intent to invade privacy. Surely the likely effect of the amendment would be to shift the focus of argument from whether a person intended to humiliate or distress a victim to whether they intended to invade their privacy. At this point I turn to the noble and learned Baroness, Lady Butler-Sloss, and her blowing up skirt. Would she have the expectation of privacy if her skirt had blown up? That argument would be had in the courts—another possible loophole, or indeed a manhole.
ParlaMint-GB_2018-11-26-lords.u103	I am grateful to the Minister for her thoughtful and detailed response to my amendment, and to all noble Lords who have participated in this debate. I accept that, as the noble Lord, Lord Faulks, said, distress for the victim is almost inevitable once she knows of the act of upskirting—though not in all cases, as the noble and learned Baroness, Lady Butler-Sloss, has told the Committee. The problem is that the offence as defined in the Bill will require proof beyond a reasonable doubt that “humiliating, alarming or distressing” the victim is the purpose of the wrongdoer I see the force of the Minister’s point that the “laugh” can be said to be the consequence of humiliation, alarm or distress. The difficulty remains, however, as the noble Lord, Lord Marks, pointed out, that it will almost always be the intention or purpose of the wrongdoer that the victim should not know of the act of upskirting. That would enable the wrongdoer to argue that it was not his purpose to humiliate, alarm or distress, although he will be forced to concede that once the victim knows what has happened, she—with the exception of the noble and learned Baroness and others who think like her—will be humiliated, alarmed or distressed. The prosecution have to prove purpose. That is the problem, as I see it The noble Baroness, Lady Chakrabarti, told the House candidly that she would prefer the drafting in Amendment 1—I see her nodding. She expressed two concerns, which were echoed by the Minister. The first is a pragmatic concern that this Bill should not be sent back to the other place because that will cause delay and there are uncertainties about what would happen to it. With great respect, that is a wholly unrealistic concern. If this amendment has force, and if the Government were to accept it—I know they do not—or were to accept some redrafting that addresses the concerns that have been expressed, it is simply inconceivable that the House of Commons could not find government time to consider the matter again. How long would it take? On ping-pong, the House of Commons deals with the most complex matters in 30 minutes or an hour. I simply do not accept that this a real concern—it could be raised about any Bill on any important subject. It is surely our job to try to get legislation right The second concern related to Scotland, where these defences have not so far succeeded. There is limited experience there. Our concern is not to cast doubt on Scottish legislation but to raise real concerns about what will happen in practice. We are enacting legislation, and we should get it right, not just follow the Scottish experience if we are persuaded that amendments are required I found the points made by the noble and learned Lords, Lord Hope of Craighead and Lord Brown of Eaton-under-Heywood, more troubling. As I understood them, neither disputed that the noble and learned Baroness, Lady Butler-Sloss, other noble Lords and I have raised real concerns about potential loopholes—or manholes. I see the noble and learned Lord, Lord Hope of Craighead, nodding. Their concern is whether the solution we are proffering is the right one. I will consider that, as will, I am sure, the noble and learned Baroness, Lady Butler-Sloss, before Report I would welcome the opportunity to discuss with all interested noble Lords and the Minister whether we can reach agreement on an amendment that in no way damages the strength of the Bill but removes a potential loophole. I am not wedded to this particular solution; I am concerned about the problem. I think we have to get this right. In the other place, when this subject was discussed in June, Diana Johnson MP asked, “how many hours of debate … will be required for Members to arrive at the conclusion that the taking of photographs underneath, mainly, women’s clothes by perverts is a bad thing?”—[Official Report, Commons, 18/6/18; col. 48.] We have taken 45 minutes, which I think that is a valuable use of parliamentary time. I think this is a subject we should return to, no doubt briefly, on Report, and a subject that may well require an amendment to the Bill, which I hope we can achieve by agreement. In the meantime I beg leave to withdraw the amendment.
ParlaMint-GB_2018-11-26-lords.u104	My Lords, Amendment 4 stands in the names of my noble friend Lord Marks and myself. The proposed new subsections (3A) and (3B) in Amendment 4 would widen the offence to all disclosures made without consent, with a get-out clause to cover the situation if a picture is inadvertently taken—for example, by a member of the paparazzi Researchers from Durham University have found that upskirt videos are easily and freely available on mainstream pornography websites. Over a period of just six months they found close to 2,500 videos on the landing page of the UK’s top three most accessed porn sites, depicting acts that can be classed as forms of image-based sexual abuse. Importantly, these titles were on the very front page of these mainstream sites, freely and easily accessible for a first-time user. They are not hidden We know from victim-survivors that their intimate images often end up on porn sites, viewed thousands of times and seriously amplifying the harms that they experience, making things worse. Once the images are uploaded to porn sites, getting them taken down from all sites is then extremely difficult The noble Baroness, Lady Chakrabarti, and the noble Lord, Lord Pannick, mentioned Scotland. As we know, Scotland has recently criminalised the distribution of upskirting images. Its new law came into effect in July last year. Since then, 421 incidents have been recorded by police. Analysts have concluded that while some of these cases may have been recorded as a different crime or offence had they occurred prior to the new law coming into effect, it is likely that the clear majority of them would not have been classified as a sexual crime It is also the case that the enactment of that legislation extended the criminal law to criminalise certain conduct that previously may not have been illegal. This analysis demonstrates that an offence of distribution is a useful tool for the police, and I hope the Minister will also recognise the value of such an offence.
ParlaMint-GB_2018-11-26-lords.u105	My Lords, I have one quick question: does this apply to men wearing kilts as well as to women wearing skirts?
ParlaMint-GB_2018-11-26-lords.u106	My Lords, I can address that question very quickly: yes, it does. This is a non-gender-specific piece of legislation Amendment 4 would create a further offence of disclosing an upskirt image to another person without the consent of the person in the image. It would also provide for two defences for this offence: namely, that the disclosure of the image was necessary for the purposes of preventing or detecting crime, or that the image was not disclosed with the intent of disclosing an image of another person’s genitals, buttocks or underwear. The Government share the concerns around the onward sharing of upskirt images and understands the very real harm that this causes victims. It is important to send a clear message that sharing such images without consent is unacceptable and causes humiliation, alarm and distress. It is therefore important that we ensure that the law is sufficiently robust to protect victims from this disturbing practice. However, the Bill is intended to close a small gap in the law around the taking of upskirt images, which is just one aspect of a far wider problem. Legislating for the non-consensual sharing of intimate or naked images, including upskirt images, is a far more complex issue than the offences covered by the Bill That is why the Parliamentary Under-Secretary of State for Justice committed in the other place to ask the Law Commission to review the taking and sharing of all non-consensual intimate images. This will be a broad review looking at how technological change has enabled new types of harmful behaviour and how the law needs to evolve to tackle it. The Ministry of Justice is currently working with the Department for Digital, Culture, Media and Sport and the Law Commission to consider how best to take this important and wide-ranging piece of work forward. This will build on the detailed and insightful report on online and offensive communications published by the Law Commission on 1 November. The report makes several recommendations about how the criminal law could be reformed to tackle abusive and harmful online communications.
ParlaMint-GB_2018-11-26-lords.u107	I am grateful for the Minister’s comments. I very much take her point that this is a complex issue and that other laws have been effected and could be used. It will have become apparent to the Committee that I am not a lawyer, but I feel a strong sense that this is an issue that we should consider. I take the point about the Law Commission review, which is under way at the moment, and with my noble friend Lord Marks and others, we will reflect on the Minister’s comments. For the time being, I beg leave to withdraw the amendment.
ParlaMint-GB_2018-11-26-lords.u108	My Lords, with the leave of the House I will now repeat a Statement made by my right honourable friend the Prime Minister in another place. The Statement is as follows: “With permission, Mr Speaker, I would like to make a Statement on the conclusion of our negotiations to leave the European Union. At yesterday’s special European Council in Brussels, I reached a deal with the leaders of the other 27 EU member states on a withdrawal agreement that will ensure our smooth and orderly departure on 29 March next year; and, tied to this agreement, a political declaration on an ambitious future partnership that is in our national interest. This is the right deal for Britain because it delivers on the democratic decision of the people. It takes back control of our borders. It ends the free movement of people in full once and for all, allowing the Government to introduce a new skills-based immigration system. It takes back control of our laws. It ends the jurisdiction of the European Court of Justice in the UK and means instead our laws being made in our Parliaments, enforced by our courts. It takes back control of our money; it ends the vast annual payments we send to Brussels. So instead we can spend taxpayers’ money on our own priorities, including the £394 million a week of extra investment in our long-term plan for the National Health Service By creating a new free trade area with no tariffs, fees, charges, quantitative restrictions or rules of origin checks, this deal protects jobs, including those that rely on integrated supply chains. It protects our security with a close relationship on defence and on tackling crime and terrorism, which will help to keep all our people safe. It protects the integrity of our United Kingdom, meeting our commitments in Northern Ireland and delivering for the whole UK family, including our overseas territories and the Crown dependencies On Gibraltar, we have worked constructively with the Governments of Spain and Gibraltar, and I want pay tribute in particular to Gibraltar’s Chief Minister Fabian Picardo for his statesmanship in these negotiations. We have ensured that Gibraltar is covered by the whole withdrawal agreement and by the implementation period. For the future partnership, the UK Government will be negotiating for the whole UK family, including Gibraltar. As Fabian Picardo said this weekend: ‘Every aspect of the response of the United Kingdom was agreed with the Government of Gibraltar. We have worked seamlessly together in this as we have in all other aspects of this two year period of negotiation. Most importantly, the legal text of the draft Withdrawal Agreement has not been changed. That is what the Spanish Government repeatedly sought. But they have not achieved that. The United Kingdom has not let us down’ Our message to the people of Gibraltar is clear: we will always stand by you. We are proud that Gibraltar is British and our position on sovereignty has not and will not change The withdrawal agreement will ensure that we leave the European Union on 29 March next year in a smooth and orderly way. It protects the rights of EU citizens living in the UK and UK citizens living in the EU, so they can carry on living their lives as before. It delivers a time-limited implementation period to give business time to prepare for the new arrangements. During the implementation period trade will continue on current terms so businesses have to face only one set of changes. It ensures a fair settlement of our financial obligations—less than half of what some originally expected and demanded. It also meets our commitment to ensure there is no hard border between Northern Ireland and Ireland—and no customs border in the Irish Sea—in the event that the future relationship is not ready by the end of the implementation period I know that some Members remain concerned that we could find ourselves stuck in this backstop. So let me address this directly. First, this is an insurance policy that no one wants to use. Both the UK and the EU are fully committed to having our future relationship in place by 1 January 2021. The withdrawal agreement has a legal duty on both sides to use best endeavours to avoid the backstop ever coming into force. If, despite this, the future relationship is not ready by the end of 2020, we would not be forced to use the backstop. We would have a clear choice between the backstop or a short extension to the implementation period If we did choose the backstop, the legal text is clear that it should be temporary and that the Article 50 legal base cannot provide for a permanent relationship. There is now more flexibility so that it can be superseded, either by the future relationship or by alternative arrangements, which include the potential for facilitative arrangements and technologies to avoid a hard border on the island of Ireland There is also a termination clause, which allows the backstop to be turned off when we have fulfilled our commitments on the Northern Ireland border. There is a unilateral right to trigger a review through the joint committee and the ability to seek independent arbitration if the EU does not use good faith in this process. Furthermore, as a result of the changes we have negotiated, the legal text is now also clear that once the backstop has been superseded it shall ‘cease to apply’. So if a future Parliament decided to then move from an initially deep trade relationship to a looser one the backstop could not return I do not pretend that either we or the EU are entirely happy with these arrangements, and that is how it must be. Were either party entirely happy, that party would have no incentive to move on to the future relationship. But there is no alternative deal that honours our commitments to Northern Ireland which does not involve this insurance policy, and the EU would not have agreed any future partnership without it. Put simply, there is no deal that comes without a backstop, and without a backstop there is no deal The withdrawal agreement is accompanied by a political declaration, which sets out the scope and terms of an ambitious future relationship between the UK and the EU. It is a detailed set of instructions to negotiators that will be used to deliver a legal agreement on our future relationship after we have left. The linkage clause between the withdrawal agreement and this declaration requires both sides to use best endeavours to get this legal text agreed and implemented by the end of 2020. Both sides are committed to making preparations for an immediate start to the formal negotiations after our withdrawal The declaration contains specific detail on our future economic relationship. This includes a new free trade area with no tariffs, fees, quantitative restrictions or rules of origin checks—an unprecedented economic relationship that no other major economy has. It includes liberalisation in trade in services well beyond WTO commitments and building on recent EU free trade agreements. It includes new arrangements for our financial services sector, ensuring market access cannot be withdrawn on a whim and providing stability and certainty for our world-leading industry. It ensures that we will leave EU programmes that do not work in our interests, so we will be out of the common agricultural policy that has failed our farmers and out of the common fisheries policy that has failed our coastal communities. Instead, as the political declaration sets out, we will be ‘an independent coastal state’ once again. We will take back full sovereign control over our waters, so we will be able to decide for ourselves who we allow to fish in our waters. The EU has maintained throughout this process that it wanted to link overall access to markets to access to fisheries. It failed in the withdrawal agreement, and it failed again in the political declaration. It is no surprise that some are already trying to lay down markers again for the future relationship, but they should be getting used to the answer by now: it is not going to happen Finally, the declaration is clear that whatever is agreed in the future partnership must recognise the development of an independent UK trade policy beyond this economic partnership. So, for the first time in 40 years, the UK will be able to strike new trade deals and open up new markets for our goods and services in the fastest growing economies around the world As I set out for the House last week, the future relationship also includes a comprehensive new security partnership with close reciprocal law enforcement and judicial co-operation to keep all our people safe. At the outset we were told that, being outside free movement and outside the Schengen area, we would be treated like any other non-EU state on security. But this deal delivers the broadest security partnership in the EU’s history, including arrangements for effective data exchange on passenger name records, DNA, fingerprints and vehicle registration data, as well as extradition arrangements like those in the European arrest warrant. It also opens the way to sharing the types of information included in the ECRIS and SIS II databases on wanted or missing persons and criminal records This has been a long and complex negotiation. It has required give and take on both sides. That is the nature of a negotiation. But this deal honours the result of the referendum, while providing a close economic and security relationship with our nearest neighbours, and in so doing offers a brighter future for the British people, outside the EU. I can say to the House with absolute certainty that there is not a better deal available. My fellow leaders were themselves very clear on that yesterday Our duty as a Parliament over these coming weeks is to examine this deal in detail, to debate it respectfully, to listen to our constituents and decide what is in our national interest. There is a choice which this House will have to make. We can back this deal, deliver on the vote of the referendum and move on to building a brighter future of opportunity and prosperity for all our people. Or this House can choose to reject this deal and go back to square one. Because no one knows what will happen if this deal does not pass. It would open the door to more division and more uncertainty, with all the risks that would entail I believe our national interest is clear. The British people want us to get on with a deal that honours the referendum and allows us to come together again as a country, whichever way we voted. This is that deal—a deal that delivers for the British people—and I commend this Statement to the House” My Lords, that concludes the Statement.
