ParlaMint-GB_2018-02-21-lords.u1	To ask Her Majesty’s Government what assessment they have made of living conditions in Gaza.
ParlaMint-GB_2018-02-21-lords.u202	My Lords, having added my name to the amendments in the name of my noble friend Lord Adonis, I want to explain that they are designed to give back to Parliament control of when the European Communities Act 1972 is repealed and to strengthen the effect of the amended Clause 9(1), which was designed to give Parliament a meaningful vote on the final terms of withdrawal and which required that a new statute be put in place before any regulations are made to implement the withdrawal agreement I do not need to remind your Lordships’ House that what is at stake is more than a matter of process or procedure. It is ultimately about whether either Parliament or a group of hard Brexiteers who are trying to manipulate the Government will decide the future of the people of this country. What is at stake is people’s jobs and standards of living, which depend on our trading relationships; the protection of labour rights and environmental standards; the alliances on which Britain’s future security depends; and the future of the Good Friday agreement, which has brought peace and stability to the island of Ireland for generations to come but is itself now under attack from assorted Brextremists—including, astonishingly and recklessly, a former Secretary of State, Owen Paterson, who should know a great deal better. It is reckless and downright dangerous to put Brexit dogma before peace and stability on the island of Ireland.
ParlaMint-GB_2018-02-21-lords.u203	My Lords, the noble Lord concluded his remarks by saying, effectively, that it should be Parliament that decides the terms. I am wholeheartedly in favour of that. It is an essential part of representative democracy, by which I mean that Parliament, at the end of the day, should be in a position to determine whether the terms that have been negotiated are acceptable, whether the absence of terms is acceptable, whether no deal is acceptable or whether we should remain in the European Union. It is Parliament, not the Executive, that should make that decision The amendments that have been tabled by the noble Lords, Lord Adonis and Lord Hain—it is remarkable that I find myself in agreement with the noble Lord, having been in disagreement with him for, I suppose, 25 years or so—are absolutely right. Give Parliament the power to determine the exit date and you greatly reinforce the control that Parliament has as to the outcome.
ParlaMint-GB_2018-02-21-lords.u204	My Lords, I want to make clear my unequivocal support for the last three speeches. The critical issue that my noble friend Lord Adonis raised on the interplay between the various clauses that deal with the timing and the possibilities of how that could go wrong and the points made by my noble friend Lord Hain and also the noble Viscount, Lord Hailsham, on the sovereignty of Parliament seem to me to be right at the very heart of what the whole process in this House is about. It is either about us assuming the responsibilities that we are supposed to have and display, or it is about giving Ministers what they have plainly wanted throughout, which is the ability to take decisions irrespective of what Parliament might wish. I hope that Ministers will not be tedious enough to get up and deny that this is what they have been trying to do. At every key stage of this process, whether in front of the Supreme Court or elsewhere, it has been essential to force out of the Government an understanding of the role of Parliament and that Parliament will not be set aside Like everybody else, I have of course thought hard about why anybody would put a hard date into a clause of a Bill of this kind. Why would you do it? The answer is that it is a party management issue—and only a party management issue. I am sure that many noble Lords on the Government’s side of the House will recognise that there are costs and disadvantages alongside what they might regard as advantages in taking the steps that they have taken. But the advantage they perceive—which seems to outweigh everything else—is that they can say with conviction to the people who are determined that we leave, crash out, or go any which way out of the European Union that they have set a hard date and have in some sense given certainty by virtue of that. I believe—and I think in this debate the House overall is likely to believe—that the complexities with which this country and this Parliament are faced in trying to deal with this absolutely massive constitutional, economic, security and every other kind of issue means that the setting of a hard date is about as arbitrary a thing as you could conceivably do in the circumstances In his response to the last debate, which I regret I found very limited, the noble Lord, Lord Callanan, said of a number of the amendments that they required reports to be made and the dates for many of those reports were arbitrary. There could scarcely be a more arbitrary date than this date, when almost nothing has been learned so far about the Government’s intentions and when there is absolutely no certainty that we will learn any more about those intentions. The fact is that setting a date makes it more or less impossible to conceive of all the different elements being drawn together with sufficient coherence for any of us to exercise that final act of parliamentary authority that we have all been promised I recall just three, four or perhaps five weeks ago, the noble Lord, Lord Heseltine, spoke on industrial strategy. He made the telling point that, whenever we deal with people from other countries who have strong industrial strategies, strong industrial histories and a great deal of success in all those, we go about it believing that our native wit and wisdom is so superior to all of them that we can constantly get exactly what we want from them and they will never have a presentable argument to put to us. The noble Lord, Lord Heseltine, quite rightly said that if you look at the countries where we tend to take that view—Germany, Japan, China now and the United States—you come across people who are extremely competent at developing industries and strategies, who have views and will argue for those views and who may very well prevail. In this discussion about what future trade will be like, those arguments will be displayed with great ability and, I have no doubt, will not be the pushover that many on the Government Benches seem to think they will be I suspect that one argument that will be made about having a hard date is that it focuses negotiation and is a means of drawing a negotiation to some sort of conclusion. I have said before in your Lordships’ House—and I do not say it to cause offence—that my experience is that, by and large, politicians are not the best negotiators that you ever come across. Many of us have spent parts of our lives as trade union negotiators or general secretaries of trade unions, have done negotiation in government, in the Foreign Office—in my case—and so on or have spent a great deal of their lives negotiating in business and in industry. I say without any doubt in my mind that if I wanted to make my life more difficult in any negotiation, I would say, “Here is the deadline”, and let everybody else stretch me out across the rack that I had made for myself, because that would be the easiest thing that they could conceivably do—and they will do it. If you are in a position of enormous strength, I guess you could say, “Well, we have set a date, we are going to push everybody else along”. But if you are not in a position of enormous strength and if, peradventure, you are in a position of enormous weakness, everybody else will take the maximum possible advantage and they will succeed I have heard some of the comments made by others who have business experience, and I draw attention to my entries in the register as well. In business, I have never once seen the weaker party in a negotiation have any advantage out of a fixed deadline. If we ever needed to learn that in spades, we would look at what is happening in Northern Ireland now and the constant setting of deadlines—which has happened in the past—only to find that the people of violence, or the people who have been prepared to allow people of violence to push the envelope further, have always been those who took the greatest advantage of it and made it more or less impossible for anybody else to make real progress I hope that we will not trap ourselves in that way. These amendments give us a means of not trapping us in that way, and I urge all noble Lords to give us the best chance we can have, rather than the worst.
ParlaMint-GB_2018-02-21-lords.u205	My Lords, I do not wish to emulate either the forensic skill or the eloquence of those who have already contributed to the debate but rather ask the Minister a very specific question. He will be aware that in Clause 14—the interpretation clause—there is a specific reference to exit day, which is spelled out in subsection (4): “A Minister of the Crown may by regulations— (a) amend the definition of ‘exit day’ in subsection (1) to ensure that the day and time specified in the definition are the day and time that the Treaties are to cease to apply to the United Kingdom, and (b) amend subsection (2) in consequence of any such amendment” As the noble Lord, Lord Hain, said, that is secondary legislation. The Minister will be only too well aware that the Delegated Powers and Regulatory Reform Committee, on which I serve on behalf of your Lordships’ House, is already very critical of the number of powers that Ministers are taking under this Bill, not least because it sets a precedent for powers that will be expected by Ministers under subsequent Bills in the series that relate to Brexit. Therefore, it is important for your Lordships’ House to be told very clearly at this stage by what process the Government intend to put that secondary legislation before the two Houses of Parliament. Will it be by the negative resolution, the affirmative resolution or, indeed, the super-affirmative resolution, as that completely changes the way in which Parliament will be able to exert its control, as noble Lords have suggested? If the process is to be undertaken by negative resolution, that is very limited and the powers of the two Houses of Parliament would be so undermined as to be laughable. If it is to be done by the affirmative resolution, there is more opportunity for discussion and either House can decide what should be done in those circumstances. However, I suspect we will be told that this has to be done with such speed that it will have to be done by an accelerated process, which will inevitably mean that there is no proper opportunity for either House to decide whether we agree with this process The super-affirmative process may well be selected. The Minister may be better informed than most Ministers on the Government Front Bench but I defy him to spell out to the House this evening which of these options will be put in place. This is of critical importance. We should not just sweep away this opportunity to take this decision. As all noble Lords who have spoken in this debate have said, it is an extremely important one which will colour the views of your Lordships’ House when we look at some of the other powers that Ministers seek to take under the Bill. Again, I refer to the recommendations of the Delegated Powers and Regulatory Reform Committee. If we really are taking back control, here is an early opportunity for the Government to show who exactly is taking back control.
ParlaMint-GB_2018-02-21-lords.u206	My Lords, I am somewhat confused by this debate because it has been suggested that the Government have taken a hard line in saying that a decision should be reached on our future relationship with the EU by 29 March next year. It is not the Government’s date; it is the Article 50 date as drafted—as the noble Lord, Lord Hain, acknowledged —by the noble Lord, Lord Kerr of Kinlochard, one afternoon in his garden in Brussels, when he decided that it should be two years from the moment when Article 50 was moved. Therefore, it is not our date, it is the EU’s date, or, more precisely, the date of the noble Lord, Lord Kerr. I do not quite know why we are now saying that somehow this is the Government taking a hard line. When the House of Commons voted by an overwhelming majority to move Article 50, surely that was on the understanding that the negotiations would be completed in two years from when it was moved. Therefore, we now seem to want to go against the other place and tell it that it has decided on the wrong date On top of that, the EU has made it clear that it wants the negotiations to be completed not by 29 March 2019 but by October or November this year, so it is bringing the date forward. I do not accept the remarks of the noble Lord, Lord Triesman, on deadlines. Perhaps he found deadlines inconvenient when he was a trade union negotiator, but it strikes me that they are the only thing which works when you are negotiating with the EU, and that everything seems to be decided at the last minute. It is important that we keep to 29 March next year and I would be very unhappy if that were changed.
ParlaMint-GB_2018-02-21-lords.u207	My Lords, we have heard some excellent speeches on these amendments. I particularly commend the brilliant analysis of my noble friend Lord Hain and the very penetrating questions asked by him and my noble friend Lord Triesman. I hope that those questions receive a serious response from the Government at the end of the debate on this group of amendments, and that they receive the clear and authoritative answers which Parliament deserves I wish to speak briefly about the transition or implementation phase, however you want to describe it, which emerges very much from the issues addressed by these two amendments. I am deeply worried about the way these negotiations are going. The Government seem very muddled in their own mind and have a completely false appreciation of the situation they confront. I will explain why I think those two provisions apply in a moment. There are surely just three logical possibilities. One is that we do not have a transition phase at all and go straight from the present regime of full membership of the EU to some future but permanent post-Brexit arrangement. Another possibility is that we have a special so-called bespoke intermediate regime between full membership of the Union and whatever ensues on a long-term basis in our relations with the EU. The third possibility is what we have by way of a transition period—namely, that we continue with the present regime until after agreement has been reached on the future regime and continue with it for some time—I hope at least a year or two—to give businesses the maximum amount of time to adapt to what they will know at that point is the new regime that is coming The first of those possibilities—that we have no transition at all—is rightly regarded, I think on both sides of the House and certainly throughout commerce and industry, as a disastrous prospect which would involve immense risks and costs for our businesses, quite unnecessarily so if a suitable alternative is available. I think there is general agreement on that. I would hope there would be agreement that the sensible thing to do is to choose the third option and continue with the present regime for some years after full detailed agreement is reached on its successor, so there is time for adaptation by everybody concerned. That seems to me thoroughly sensible. Unfortunately, I am told that that has been vetoed by the Eurosceptics in the Tory party. We know that Mrs May is very much under the heel of Mr Johnson and Mr Gove and is terrified that someone is going to send 41, 47 or 48 letters to Sir Graham Brady, and does not know how many have already been written. In these circumstances, she cannot move on that. She cannot accept that because, apparently, the Eurosceptics think that is an extension of our membership of the EU and they do not like it on symbolic grounds. I may misunderstand the situation but I am told on good authority that that is the position, so what might seem the most rational and sensible answer to this problem, which would certainly get strong approval from both sides of this House, is excluded for party-political reasons Therefore, we confront what appears to be the Government’s preference at the moment, which is the second possibility: the bespoke regime. I say that the Government are in contradiction with themselves, which they certainly are, because while that arrangement is supposed to reduce risks for business and industry, it actually doubles them. It has already been pointed out by my noble friend Lord Hain that under those circumstances there would be two future regimes for business to go through. There would be two thresholds into that new regime rather than one or two cliff edges in that context, to use that cliché which everybody seems to be so fond of at present. That is a serious matter: a Government who are in contradiction with themselves The second problem I have is that the Government clearly seem to have misunderstood the position of their counterparties in these negotiations and, once again, to have been quite excessively euphoric about the impact of any proposals that they would make on their negotiating partners. In short, they are overreaching themselves. That is of course again a worrying situation when you go into any kind of negotiation. I say that because it is inconceivable that our continental partners would agree to have some bespoke intermediate regime; it would be quite extraordinary if they did. It would mean that any member of the European Union could issue notice under Article 50 and immediately negotiate some special bespoke arrangement, maximising, presumably, its own benefits and minimising its own costs at the expense of other members of the Union, quite contrary to the whole purposes of the Union. Therefore I cannot believe that very intelligent and competent people, which the European Commission and leaders of our partner nations certainly are, would go down that road for a moment. That leaves a strong possibility that the Government will find that they have a rough time ahead of them I suppose that you can go into a negotiation with a self-contradictory proposal, although that is rather a handicap and not a good augury for the success of the outcome, and you can go into a negotiation making a fundamental misjudgment about the objective situation in which you find yourself. However, to do both is clearly to be at a considerable handicap. I fear that these negotiations will not result at all in a favourable outcome in this country and that there will be a lot of gnashing of teeth, shedding of tears and, no doubt, shouting and imprecations of all kinds. The Government will no doubt say that it is all very unfair, everyone is being beastly to them and that it is not their fault, and there will be a mixture of paranoid self-pity and nationalist demagoguery, which the Tory party seems, sadly, very often to fall victim to. That will be a sad day if it happens to this country. I hope that it can be avoided, that my analysis is wrong and that the Minister will explain to me exactly why it is wrong.
ParlaMint-GB_2018-02-21-lords.u208	My Lords, the noble Lord opposite who just spoke constantly makes disparaging references to members of the Conservative Party. I suggest that he might have been better informed about what happens inside the Conservative Party if he had remained a member. I do not consider him a great authority on the subject I would also like to deal with a canard which I find offensive and which I hope will not colour the next 10 days of debate. This is this business about people who favour Brexit wanting to repudiate the Good Friday agreement. The noble Baroness, Lady Kennedy of The Shaws, spoke with great passion on the subject, and I agreed with a great deal of what she said, certainly in the emotional content. She referred also to the cases she had taken which involved people in the Brighton case. Some of us were at Brighton on that day and many of us have lived with the consequences of the terrible events that took place and are passionately attached to the peace process and what happened in Northern Ireland. I am very proud that I served under a Prime Minister who had the courage to start the process that led to the peace agreement, Mr John Major. This false syllogism—it is the worst kind—which says, “Somebody who favours Brexit said that we might move away from the Good Friday agreement; therefore, every Conservative who favours Brexit is against the Good Friday agreement” is one that I find evil and offensive, and I hope it will be dropped. Those who express that view can answer for it, but I do not share it and I do not think that many on this side do Those are general points; the noble Lord, Lord Davies, took the debate a little wider, but I thought that, admirably, this debate had focused on a precise subject, which was raised clearly and forensically by the noble Lord, Lord Adonis, and by the noble Lords, Lord Hain and Lord Triesman, which is how we deal with this question of a date. The problem of the date is that exit day for the purpose of the Bill—it is in the Bill, although I note that there are now amendments to these clauses—is mentioned in Clauses 2(1) and 3(2)(a), which define laws which are retained as those which are in effect “immediately before exit day”. If exit day were not on the same day as the Article 50 date, as my noble friend Lord Hamilton of Epsom said, there would potentially be confusion. You would have a position where the UK had left the European Union but it was not clear what would happen with regard to retained law. This would create the very kind of uncertainty that noble Lords opposite say they wish to avoid. Therefore those two things have to march in parallel Here we come to the crux of the real argument behind these amendments and suggestions, which is that we should not leave so quickly as 29 March 2019; we should delay the matter; we should delay the implementation and extend the Article 50 period. As the noble Lord, Lord Kerr, said in one of our recent debates, we might want to be members again and might come back to reapply. In the first place, as has been pointed out in this debate, those things would require unanimity on the other side, and in the second place it would require legislation in this House and an Act of Parliament, as the Gina Miller case suggested. The reality is that we would have an Act of Parliament if we were taking the thing further down; we are already having an Act of Parliament on the withdrawal agreement. The two things have to march in parallel. At the moment that date is set, accepted and understood in this Parliament and across Europe as 29 March 2019. This is an Act of Parliament, so if Parliament wanted to define a date—we may not like the date of 29 March 2019, but it is the one in the process that has been set in motion—it would be legitimate. I do not particularly care for the amendment that was put in in the House of Commons—at the last minute in Committee, as someone pointed out—to give a power to the Secretary of State, but that is what the House of Commons has sent us. If that needs to be dealt with, deal with that question directly: ask the House of Lords. But do not decouple the date in the law from the date that is working in Article 50. That would create uncertainty and difficulty. It does not require a further Act of Parliament to set the exit day because this is an Act of Parliament; the Bill has already been approved by the other place and it is already there—we can just do it However, of course that is not the course that is being taken, because both these amendments seek to strike out the phrase “on exit day”. The noble Lord, Lord Adonis, has got out his dandelion clock—you used to blow on it when you wondered whether you would ever have a girlfriend, when you first came to be aware of those things. “This year, next year, sometime, never”, was it not? Many of the British people rather thought in 2016 that it might be this year. It has now been two years; many people in this House would agree that we have not got that far in two years, which is a bit disappointing, but it will not be this year. At least the Bill says that it will be next year: 29 March 2019. But along comes the noble Lord, Lord, Adonis, and—next year? No. It is now sometime. His amendment gives the impression that it will be on a date to be determined sometime, but we know that he means “never”. I know, the House knows, and the noble Lord, Lord Adonis, knows, that he would never vote for any exit day to be voted for by this Parliament Therefore we should not support a dandelion clock amendment. If we want to deal with the Secretary of State issue, that is a separate debate, but let us not create new and unnecessary uncertainty by removing the date and uncoupling the exit day and the Article 50 day.
ParlaMint-GB_2018-02-21-lords.u209	I should like to respond briefly to what the noble Lord, Lord True, has said. He refers to the Article 50 date. Without deciding where we wanted to go, we chose to send in an Article 50 declaration on 29 March. That meant that we chose when the clock would start ticking. That is my answer to the noble Lord, Lord Hamilton—like Nelson, I cannot resist provocation from a Hamilton. However, there is not a single Article 50 date. There is provision in the article for the possibility of an extension and there is also provision for the exit date to be after the two-year period. If you read the article carefully, you will see that you are out after two years or when the withdrawal agreement comes into effect, so there is the possibility of a post-dated cheque In my view, the noble Lord, Lord Triesman, is exactly right. Flexibility in negotiation is extremely important. Giving yourself deadlines is crazy, as is surrounding yourself with red lines. The reading of Article 50 by the noble Lord, Lord Hain, is, in my humble view, completely correct. However, the big point in this debate is not that; it is the question of who takes back control. Who decides? Is it the Executive or the legislature? So the point raised by the noble Lord, Lord Tyler, is extremely important I end by saying that I warmly welcome what the noble Lord, Lord True, said about the Good Friday agreement and the Belfast treaty of 1998, and in particular what he said about Prime Minister Major. To someone like me who was an observer at the time, it is completely correct. I remember when the leader of the Opposition, Mr Blair, went to Washington when I was the ambassador there. He was asked about Northern Ireland and what he would do if he became Prime Minister. His reply at my dinner table to assorted Senators and the Vice-President was that he would try to do exactly what John Major had tried to do and he would be very pleased if he could do it half as well. It is very good to hear that the solid voice of the Conservative Party is not that of the Patersons and Hannans but is in favour of retaining all the good work done by the Conservative Government and then by Mr Blair’s Government in that astonishing first year.
ParlaMint-GB_2018-02-21-lords.u210	If the House of Commons voted by an overwhelming majority to move Article 50, surely that was done on the understanding that the negotiations would be completed in two years. If the date was to be changed, surely that would need a vote in the other place.
ParlaMint-GB_2018-02-21-lords.u211	Perhaps I may ask a question for elucidation—I may have missed something. The noble Lord, Lord Adonis, and others have spoken as though Parliament is not to be consulted by the Minister making the order. However, paragraph 10 of Schedule 7 states: “A statutory instrument containing regulations under section 14(4) may not be made unless a draft of the instrument has been laid before, and approved by a resolution of, each House of Parliament” It may not be sufficient scrutiny, but there is scrutiny—Parliament is not being completely bypassed.
ParlaMint-GB_2018-02-21-lords.u212	I would like to offer an addendum to what the noble Lord has said. In a way, it is a response to my noble friend Lord True. All those who feel as passionately as he and I clearly do about the Good Friday agreement—I think that it would be slightly unsavoury to try to compare who did what about that agreement, and I am glad to see that my noble friend agrees with that—can later support the amendment to the Bill which will write the Good Friday agreement on to the face of the Bill. I look forward to having the support of my noble friends Lord True and Lord Hamilton and others when that amendment comes before the House. Perhaps even some of the duty Privy Council Brexiteers on their Bench down there will be able to support it too.
ParlaMint-GB_2018-02-21-lords.u213	Perhaps I may ask the noble Lord, Lord Kerr—the supreme oracle on Article 50—a question which, again, I think will be important for our deliberations later on. An extension of the Article 50 period requires unanimity in the Council. However, if Her Majesty’s Government wished to extend Article 50 for the purposes of holding a referendum, or conceivably for a parliamentary vote, thus completing our established constitutional procedures, would the Council recognise that automatically because it recognises the domestic procedures of member states when it comes to the ratification of agreements?
ParlaMint-GB_2018-02-21-lords.u214	I would like to follow that up with a relevant question to the noble Lord, Lord Kerr. I agree with all the excellent speeches in favour of this amendment. To me, the politics of the amendment is the question of whether, when exit day is discussed, Parliament knows what it is exiting to. That is the question. If Parliament does not know what it is exiting to, surely the logic is that the date should be extended until it does Along with my noble friend Lady Kennedy, I have recently been on Select Committee visits to Brussels, and she can confirm that there is much uncertainty about what information will be available to Parliament in the autumn of this year. If things go well, we might have a withdrawal agreement and a transition period, but the only thing on the future relationship that we will have is a political declaration. There is no question at all of there being a trade agreement when Parliament votes; it will be a political declaration. The European people to whom we talked said that they wanted that to be clear and precise. However, at the same time, people said to us, “We think that possibly your Government might quite like to get away with a fudge”. Why should Parliament be put in the position of taking this crucial decision when all the British Government are offering is a fudge?
ParlaMint-GB_2018-02-21-lords.u215	To respond simply to the noble Lord, Lord Adonis, it would be a political issue, not a legal or a treaty issue. My view has only the same weight as anybody else’s, but I would say that if one sought an extension in order to carry on a negotiation, it would be very doubtful that one would get it. However, if one sought an extension because Parliament had decided that the terms of the deal available were such that they should be put to the country at large in a second referendum, I am convinced that that request for an extension would be granted.
ParlaMint-GB_2018-02-21-lords.u216	It is very interesting that the noble Lord, Lord Adonis, has added a fifth element to the dandelion clock: this year, next year, sometime, never, and a second referendum. The idea of a second referendum is spreading across the Committee. However, returning to the point that the noble Lord, Lord Kerr, made, I was taken up for using a phrase as a lay man, just as my physics teacher used to take me up for not really understanding “light”. When I talk about an Article 50 date, it is the date that flows as a consequence of the article and the decision that Parliament has taken by an overwhelming majority, as my noble friend Lord Hamilton said. The date of 29 March is the date that everybody, from Monsieur Barnier to everyone else, is working to. Therefore, in lay man’s terms, that is what I mean by the date which would have to be changed, and I submit it would have to be changed in tandem. That is why I oppose moving “exit day” and the date out of the Bill.
ParlaMint-GB_2018-02-21-lords.u217	My Lords, this issue is linked to those under Clauses 9 and 14 about the withdrawal agreement and the exit day in that context. No doubt we will come back to some of these issues, because they are all interlinked and it is quite difficult to get a holistic view. The noble Lord, Lord Liddle, is quite right: one key issue is what we are going to be exiting to. Flexibility is one thing but an excess of uncertainty is another—particularly, as my noble friend Lord Tyler said, when it is coupled with ministerial discretion We have the exit date, we have the date when the treaties cease to apply, and we can add on the layer of what is going to be in the transition terms—I have not had time to read the Government’s proposal today. We also have the question about whether Article 50 might be extended, and the question of whether Parliament might want to put the deal to the citizens for a final say. There is also the question of the post-dated cheque. So, all in all, they went all round the houses in the other place—no fixed date, then an attempt to fix it, then a date movable by Ministers. In all this brew, the amendments raise a very reasonable point about Parliament being in the driving seat—something that has been the theme of so many of our debates in the last year and a half We have no idea exactly what being subject to EU law, or even respecting the remit of the ECJ, whatever that will turn out to mean, during transition and even in the longer term—because that was the implication of the Prime Minister’s speech on Saturday—means. That sits uncomfortably with the Bill as a whole, and especially with the specification of exit day. We are being asked to fall into a black hole and trust Ministers to get it right—which on current experience is not a very wise thing to do The amendments have been described as probing, but answers from the Government—I am sure that the Minister is about to give very precise answers—will be very helpful to our understanding of how the jigsaw will fit together. At the moment it all looks far too uncertain for anyone to be comfortable.
ParlaMint-GB_2018-02-21-lords.u218	My first question to the Minister is: why did the Government slot in the calendar date at Committee stage, when that was never foreseen in the original Bill? Was it for some good legislative reason, or was it, as my noble friend Lord Hain suggested, to satisfy a certain hard Brexit group of MPs sitting on the Prime Minister’s shoulder, rather like the 60 who have been writing her helpful letters today? It certainly looks as if this was more to do with party management, in the words of the noble Lord, Lord Triesman, than being in the national interest, which we have been advised should control everything we do Secondly, I ask the Minister to comment on the point discussed a few moments ago—the exact wording of Article 50. The Bill as it stands would allow the date specified to be extended in exceptional circumstances, but this probably deals only with the possibility of an extension to Article 50, which, as the noble Lord, Lord Kerr, has said, provides: “The Treaties shall cease to apply to the State in question”— that is us— “from the date of entry into force of the withdrawal agreement or, failing that, two years after the notification … unless the European Council, in agreement with the Member State concerned, unanimously decides to extend this period.” The date could be amended in accordance with what is in the withdrawal agreement. We indeed might come to an agreement that, for some other reason, chooses an earlier or a later date. Or we might want to amend the date if the withdrawal agreement were not finalised. On the evidence of negotiations so far, it is quite unlikely that this divided Government, seeking to negotiate something which, I have to say in all fairness to them, has never been undertaken before, will keep to their timetable. They should therefore want the flexibility There is another issue. Even if we had a deal, what would happen if the European Parliament voted it down? I understand that that vote could be as late as one year from now; it could be as late as February 2019. And the European Parliament has the right to vote any deal down. Guy Verhofstadt told Andrew Marr at the weekend that a thumbs down from the European Parliament meant exit with no deal. So if in a year’s time the Parliament were to vote a deal down, I assume that we would be out a month later, on WTO terms with no transition deal, which would also mean no safeguards for EU citizens—either ours living in EU countries or theirs living here. I do not think that the European Parliament would do that, but my judgment is that if it did, the 27—or indeed the 28, with our Government as well—would speedily get themselves into a room and row back from that. I cannot imagine that we, or they, would want to be in that position. Again, that would mean a change in the date, so the flexibility needs to be there.
ParlaMint-GB_2018-02-21-lords.u219	I am sorry to disappoint the noble Baroness, but we will be having a number of Brexit Bills, not least of which will be the withdrawal agreement and the implementation Bill, once we have reached agreement. I shall endeavour to respond to all the questions that I have been asked Repealing the European Communities Act is an important step to ensure that there is maximum clarity on the law that will apply in the UK after we leave the EU. I cannot see the sense in needing a separate Act to repeal the European Communities Act. This repeal in Clause 1 is front and centre of the Bill; indeed, this Bill was originally called the great repeal Bill. To prevent this Bill from repealing the European Communities Act would undermine perhaps the most important part of it I suspect that I have read the intention of the noble Lord, Lord Adonis, correctly when I say that he would prefer the European Communities Act to be repealed in the withdrawal agreement and implementation Bill that was announced by the Secretary of State in November. That Bill would then deal with the implementation period and our relationship to EU law during that period. This may be founded on the misconception that, if Parliament does not repeal the European Communities Act and appoint an exit day, that will somehow prevent the UK exiting the EU. If that is the case, I am sorry that I have to disappoint the noble Lord: our leaving the EU is a matter of international law, and we are leaving no matter what is or is not done to the European Communities Act I will address the noble Lord’s question about exit day and procedure. What will become Section 14(4)—currently Clause 14(4)—could be used to change the exit day in the Bill only if the Article 50 period were to be extended; it could not be used to prevent us leaving the EU. That is a matter of international rather than domestic law. The exercise of Section 14(4) to alter the exit day in domestic law in accordance with Article 50 would be subject—in answer to the noble Lord, Lord Tyler—to the affirmative procedure in both Houses. I will give more detail on that in a minute. We do not expect to use this power and we are leaving the EU on 29 March 2019 The noble Lord, Lord Hain, and the noble Baroness, Lady Hayter, asked further questions about our exit day and the amendment. In the other place we tabled an amendment which set exit day in order to provide certainty and clarity, and we accepted further amendments on the issue, again to provide further clarity. The amendments set the exit day in the Bill as 11 pm on 29 March 2019, while retaining the technical ability to amend the date at a later stage. As I said, that can happen only if the European Council—including the UK, of course—unanimously decides to change the date on which the treaties cease to apply to the UK, as set out in the famous Article 50. We do not intend this to happen I will give the noble Lord, Lord Tyler, more detail on his point. Any change to exit day in domestic law under the power of what will become Section 14(4) will be by the affirmative procedure, guaranteeing a vote in both Houses. The affirmative procedure in this instance is provided for in paragraph 10 of Schedule 7. Providing for the date of the repeal of the 1972 Act in the Bill that implements our withdrawal agreement might seem tidy in certain scenarios, but it would put the legislative cart before the diplomatic horse in what I feel would be quite a dangerous way. Both the withdrawal agreement and the implementation period are, of course, still matters for negotiation. This Bill, being agnostic on the negotiations, is designed to prepare the statute book for our withdrawal. I say to the noble Baroness, Lady Hayter, that there will be additional legislation to implement our withdrawal agreement. As I said a moment ago, this Bill is designed to implement the clearly expressed will of the British people to leave the EU, and therefore the date of repeal is set at the point that the UK will fall out of the Treaty on European Union and the Treaty on the Functioning of the European Union There are many demands on parliamentary time, as we know to our cost, and this is the Bill that will prepare our statute book for exit. The amendment would force the date of repeal into the agenda of another Bill. This is the right time and place for the debate on the repeal of the ECA, and the debate should incorporate all the additional context and provisions necessary for a smooth exit. Indeed, if we did not reach an agreement and the second of the noble Lord’s amendments were agreed, we would be in a state almost of paradox. To repeal the ECA, the Government would be compelled to enact a statute for the purposes of Clause 9(1) of the Bill— a clause which itself is predicated on the existence of a withdrawal agreement. So we would be forced to enact a statute enabling us to approve the final terms of the withdrawal agreement and set the date of the repeal of the European Communities Act without such a withdrawal agreement existing. That is too much of a logical conundrum to ask any Bill to bear, and not an acceptable way to go about legislating Clause 1 will provide certainty to businesses and individuals that the European Communities Act will be repealed on exit day. Any attempt to change this while negotiations are ongoing would lead only to a lack of clarity on the law that will apply in the UK after we leave the EU. This would run counter to the primary aim of the Bill, so I hope that the noble Lord will be willing to withdraw his amendment.
ParlaMint-GB_2018-02-21-lords.u220	I am grateful to the Minister for seeking to clarify the point about process, and I take on board what he said about paragraph 10 of Schedule 7. But will he give an absolute undertaking to the Committee that there will be no attempt to accelerate the process? I think he would accept that, if the Minister in this case were seeking to do something at speed, for expediency’s sake—surely that would be the only circumstance in which it would be necessary to change the date—it would be extremely difficult to give both Houses of Parliament advance notice and the usual time for consultation. Is the Minister giving us an absolute undertaking that the normal process and timescale will apply and that there will be no attempt to accelerate the process?
ParlaMint-GB_2018-02-21-lords.u221	Yes, I am giving the noble Lord an assurance that the normal timescale of the affirmative procedure for statutory instruments would apply in this case.
ParlaMint-GB_2018-02-21-lords.u222	My Lords, I am very grateful to the Minister and to all noble Lords who have spoken. We will need to study the Minister’s statements with care before we decide what course to take on Report If I may, I will echo the remarks of the noble Lords, Lord True and Lord Patten, about the Good Friday agreement. I fully recognise the huge contribution made by many noble Lords on all sides of the House in negotiating and taking forward the Good Friday agreement. I was very reassured indeed to hear from the noble Lord, Lord True, who from my experience of him in this House I take to be on the right of the Conservative Party, that not all of those on the right of the Conservative Party are turning against the Good Friday agreement. I take that to be a commendable statement, and hope that he manages to persuade his colleagues, including former Ministers, who are starting to call for an end to the Good Friday agreement that that is not an appropriate course. I beg leave to withdraw the amendment.
