ParlaMint-GB_2018-02-06-commons.u1	Object Bill to be considered on Tuesday 20 February.
ParlaMint-GB_2018-02-06-commons.u244	May I congratulate my right hon. Friend on her statement and answer her call that men should join the fight to secure women’s rights? May I ask her to do one small thing? I draw her attention to early-day motion 866, which has been signed by many right hon. and hon. Members, not least men from this side of the House. It asks the Government to implement section 106 of the Equality Act 2010, which would require political parties to publish the gender balance of their candidate lists. It might not be very conducive for this party to publish its lists, but that would encourage us to select more women as candidates to take their role in public life.
ParlaMint-GB_2018-02-06-commons.u245	I thank my hon. Friend for his contribution. He, of course, has played an important role in encouraging women to get involved in Parliament. We are always grateful for the additional support of men, which is such an important part of this. I will take a careful look at what he suggests.
ParlaMint-GB_2018-02-06-commons.u246	A hundred years on from the first women winning the chance to vote, power in our society is still predominantly and disproportionately in the hands of men. We are a long way from equal power. Government and legislation have an important role to play, but there is also a wider task for all of us to unpick the sexism and the gendered assumptions that are woven right through our culture. Does the Minister agree that the best way to honour the spirit of the suffragettes is for everyone, regardless of gender, to take action in their everyday life to promote gender equality?
ParlaMint-GB_2018-02-06-commons.u247	I wholly agree with the hon. Lady. It is interesting where one can see sexism, which can surprise one. I sometimes go to meetings and find that there are not any women there. All of us should have a responsibility for calling that out and saying to people who might be hosting a meeting or chairing an event, “That’s not good enough. Where are the women?” Of course, that gives one an opportunity to step up and take a role, but most importantly, it makes sure that there are fewer all-male events. We need to call it out wherever we see it.
ParlaMint-GB_2018-02-06-commons.u248	My young constituent Grace Tucker, aged 6, is in the Gallery today. Does my right hon. Friend agree that we must all take responsibility for bringing on and inspiring the next generation?
ParlaMint-GB_2018-02-06-commons.u249	I certainly do. We need to ensure that all girls and young women realise that they, too, have the opportunity to sit here and represent their constituency. What an honour it is when we get that opportunity.
ParlaMint-GB_2018-02-06-commons.u250	May I join the Minister in calling out controlling and misogynistic language—trying to shout women down in public life? We must learn the lesson that the suffragettes taught all of us: it is deeds, not words, that we are here to give. Will she join those of us calling out the Sierra Leonean politicians using female genital mutilation as an election pledge and standing with the women whose voices can no longer be heard, such as Michelle Samaraweera, whose rapist and murderer still sits free in India despite the Government asking for his extradition eight years ago? Madeleine Albright told us that there was a special place in hell for women who do not help other women. Let us use our platform to speak for women who cannot yet speak out and show the difference it makes.
ParlaMint-GB_2018-02-06-commons.u251	I thank the hon. Lady for raising that point, and I completely share her view. This Government, with cross-party support, have done much to ensure that we address female genital mutilation in this country and that, where we think girls are being taken abroad, the Border Force is trained to make sure that it looks after this issue. But there is no room to stop on that sort of action and I share her view. The idea of using female genital mutilation as an election pledge is just disgusting and disgraceful.
ParlaMint-GB_2018-02-06-commons.u252	May I add my support to that of my hon. Friend the Member for Harwich and North Essex (Mr Jenkin) in urging the Minister to look at section 106 of the Equality Act? When the right hon. and learned Member for Camberwell and Peckham (Ms Harman) was taking the Act through the House, she drafted that clause in a cross-party manner; I worked with her when I was the shadow Minister. There is nothing in the clause that we should be afraid of. We have seen from the BBC that transparency and publishing information help to make change, and although we have made progress on this side of the House, we know we can go further. I urge my right hon. Friend to look seriously at the request made by my hon. Friend the Member for Harwich and North Essex.
ParlaMint-GB_2018-02-06-commons.u253	I thank my right hon. Friend for the point, which he makes so eloquently. I also congratulate him on his new role as co-chair of Women2Win. I know he will play an important part in ensuring that we get more women into Parliament. As I have said, I will certainly take a look at the suggestion made by my hon. Friend the Member for Harwich and North Essex (Mr Jenkin).
ParlaMint-GB_2018-02-06-commons.u254	Order. I should just note for colleagues that the right hon. Member for Forest of Dean (Mr Harper), when he was Government Chief Whip, responded favourably and quickly to a request from me and others to establish the Women and Equalities Committee. His role in that matter ought to be acknowledged and respected.
ParlaMint-GB_2018-02-06-commons.u255	He’s a feminist.
ParlaMint-GB_2018-02-06-commons.u256	Steady.
ParlaMint-GB_2018-02-06-commons.u257	I was honoured in Leicester on Sunday to help unveil the statue to the suffragette Alice Hawkins. Alice was a shoe factory worker who fought all her life for equality and liberty, including infamously digging up Leicester golf club with the message, “No votes for women, no golf for men.” On a more serious note, Alice knew, as we all know, that the fight for equality never ends. Does the Home Secretary agree that one of the next big battles is to ensure that the increasing number of women who care for elderly relatives are treated fairly in work and get the support they need, because this will happen to all of us as we live for longer? For those women to have equality, we need better support, better social care and more flexibility in the workplace.
ParlaMint-GB_2018-02-06-commons.u258	The hon. Lady is right that the main carer for elderly people—often it is our parents—tends to be a woman, just as it does for children. One thing that we hope to achieve culturally, rather than through legislation, is to share that responsibility more equally. Certainly she is right that the Government need to give considerable support to the women who do so much of the caring.
ParlaMint-GB_2018-02-06-commons.u259	Emily Davison was a child of Northumberland and is buried in Morpeth, 6 miles from where I live. The town is in full bunting celebration this week to remember her and her bravery in stepping out, because she felt she had no other way to be heard, to try to reach the King on Epsom racecourse, where she lost her life The challenge is that bravery is still required to stand as a female politician. Too many people say to me, “Gosh, you’re very brave to be in politics.” I do not feel brave. Mostly, I feel very loud and noisy: I have stuff to say, I want to say it and I have this extraordinary place in which to share my beliefs. Can the Home Secretary give us confidence that we will get the police force and the Crown Prosecution Service to work more effectively to protect us and all those who follow us in politics from attacks? I have received personal attacks that have not been followed up, whereas colleagues have found police forces in other parts of the country more effective.
ParlaMint-GB_2018-02-06-commons.u260	My hon. Friend is absolutely right. I hope it is taken as a central theme of the message I am putting out today that we will do more to ensure that women who participate in elections are protected. The Law Commission is reviewing whether there is a parity of approach to offline and online offences, as we believe should be the case. If an additional piece of law is needed to ensure that electoral candidates get additional protection, we will put one in place. I will review what my hon. Friend has said to see if there is any additional help I can give her.
ParlaMint-GB_2018-02-06-commons.u261	Even in this Brexit-free week, the Government have chosen to bring forward Bills about smart meters and space technology, while the gender-based violence legislation has been postponed time and again. A century ago, Parliament managed to cope with a world war and the women’s suffrage legislation at one and the same time. When will the Government stop procrastinating and deliver on their duty to improve women’s lives?
ParlaMint-GB_2018-02-06-commons.u262	I do not recognise the hon. Lady’s criticism. We are bringing forward a domestic abuse Bill this year and will embark on a consultation shortly. We want to engage, as I have been doing, with stakeholders and Members of Parliament, including Opposition Members, to ensure that we include what really matters to them. Protecting women and their lives is central to what we do.
ParlaMint-GB_2018-02-06-commons.u263	My youngest daughter recently asked her father, “Daddy, can men become Members of Parliament too?” but I suspect that she is a little bit unusual. Does my right hon. Friend agree that we must use the opportunity of the centenary to encourage more women to stand for election and to overcome their fears of being in the public eye, because of the good they could do as an MP or a local councillor? In almost any elected role, one has the opportunity to give people a voice and make lives better.
ParlaMint-GB_2018-02-06-commons.u264	I reassure my hon. Friend that as part of the celebrations this year, we are focused on encouraging more young women to get involved in politics and, potentially, to become Members of Parliament. The Cabinet Office has an education pack that it will be putting out to schools. As I said in my statement, we are also commissioning organisations to engage across the country with young women to make them aware of the opportunities they have to represent their constituency in this place.
ParlaMint-GB_2018-02-06-commons.u265	There is nobody more partisan than I am, but today is no time to be partisan. It is a time to be proud that we are all lucky enough to be in this place on such an auspicious day, when we welcome and celebrate 100 years of women’s enfranchisement. When I first came here, there were only 60 women MPs and today we celebrate comprising nearly a third of all Members, but it is still not enough While we do not have the representation we want here, there is also an issue outside this place for the women who form 51% of the population: enforcement of the laws to protect them is very bad, particularly in the employment sphere. Will the Home Secretary take this opportunity to say how we can improve the enforcement of employment law to ensure that all women in every workplace up and down this country are properly protected?
ParlaMint-GB_2018-02-06-commons.u266	I thank the hon. Lady for raising not only women in Parliament, which is central to what we are discussing today, but the additional subject of women outside Parliament and ensuring that they have the access to top jobs and the full opportunities that men have. The Taylor review contained many recommendations, the vast majority of which we are taking forward. We now have a director of labour market enforcement to co-ordinate the different groups and ensure that there is no abuse of the labour market. We will always take working lives very seriously to ensure that there is no breach of the legislation.
ParlaMint-GB_2018-02-06-commons.u267	I am sure that my right hon. Friend will agree that Sussex is leading the way in having great women in politics, with our wonderful Home Secretary, our first female Muslim Minister who spoke at the Dispatch Box a few weeks ago, a female chief executive officer of East Sussex County Council, a female leader of West Sussex County Council and Katy Bourne, the Sussex police and crime commissioner. Does she agree that to replicate that success across the country, we need to work together across the parties not just to celebrate our achievements so far, but to make sure that we are doing more for women in politics?
ParlaMint-GB_2018-02-06-commons.u268	I thank my hon. Friend for her comments. She is an extraordinary woman in her own right. Not only is she a Member of Parliament; she is one of those wonderful Macmillan night nurses that we all know so well. She is an extraordinary role model and I hope that her presence here will encourage other women to come forward.
ParlaMint-GB_2018-02-06-commons.u269	I am pleased to see that the constituent of the hon. Member for Maidstone and The Weald (Mrs Grant), the six-year-old Grace Tucker, has very sensibly promoted herself from the third row to the front row. That, I think, will be widely welcomed.
ParlaMint-GB_2018-02-06-commons.u270	Just over 20 years ago when I was first elected to this place, I was only the 209th woman ever to be elected to the House of Commons. We have 208 women in this Parliament, so that is an advance, but we do not have 325. We have more to do. In that regard, will the Home Secretary commend the efforts of our trade unions, which spend their time enabling women to organise, improve their confidence and take part in public life, in a way that makes them much more likely to go on to seek to represent others in their communities in our councils and in this place?
ParlaMint-GB_2018-02-06-commons.u271	Yes, I will. Any route that helps women to get involved is incredibly important. One does not have to agree with another woman to admire how she engages and succeeds in her role. I think, in particular, of Frances O’Grady.
ParlaMint-GB_2018-02-06-commons.u272	Chelmsford was the birthplace of Anne Knight, who wrote the first ever pamphlet on women’s suffrage. I wonder what she would think of how easy it is today to publish our views online. I think that she would congratulate everyone who has spoken today about the need to be more careful about what we say on social media and online I am incredibly proud to be here after 100 years of women having the vote. The Government have designated this year the year of engineering, and next year is the 100th birthday of the Women’s Engineering Society. Do the Home Secretary and all the women here agree that the fusion of all those anniversaries presents an excellent opportunity to encourage more women into engineering, as well as politics, and for everyone to step up to that challenge?
ParlaMint-GB_2018-02-06-commons.u273	My hon. Friend is absolutely right: we need to make sure that more women get involved in engineering as part of widening their opportunities. While she is thinking of additional landmark anniversaries or celebrations, I point out that today is Safer Internet Day, which is a reminder of how important it is for positive things to be published and circulated online, and of how we have to be so vigilant to make sure that we are not put off coming into Parliament by the online negativity that sometimes takes place.
ParlaMint-GB_2018-02-06-commons.u274	I am delighted that we are celebrating 100 years since some women first got the vote, but now is the time to go further and ensure that all votes count equally by introducing a fairer voting system. It is not an accident that every democracy with more than 40% women legislators uses some form of proportional representation. Does the Home Secretary agree that a fitting tribute to the suffragettes would be to replace our archaic and undemocratic electoral system with one that ensures that every vote genuinely counts equally?
ParlaMint-GB_2018-02-06-commons.u275	I thank the hon. Lady, but I cannot share her view. We had a referendum on that not so long ago, and my view is that the public have had enough of referendums for now.
ParlaMint-GB_2018-02-06-commons.u276	I make the very simple point that with one third of women and one third of men not voting at general elections, and two thirds of women and two thirds of men—perhaps more—not voting in local elections, the best and easiest way to celebrate the centenary of women’s suffrage is for everyone to go out and vote whenever an election is called.
ParlaMint-GB_2018-02-06-commons.u277	My hon. Friend makes a characteristically logical point. We can all do more to champion the cause of voting when it comes around, and like most Members of Parliament, I am out there, up and down the streets in my constituency, encouraging people to do so.
ParlaMint-GB_2018-02-06-commons.u278	It is my belief that every one of us women MPs was encouraged by other women who wanted us to make this place look and feel more like the world we live in. I was particularly encouraged by my grandmother, Florence Parker, a stalwart of the Co-operative Women’s Guild, who campaigned so hard for women’s suffrage. I thank the Home Secretary for mentioning Bristol’s role in the suffrage campaign. Will she join me in congratulating the Co-operative Women’s Guild on its role in achieving women’s suffrage?
ParlaMint-GB_2018-02-06-commons.u279	Yes, I am delighted to join the hon. Lady in adding my congratulations to the Co-operative Women’s Guild.
ParlaMint-GB_2018-02-06-commons.u280	One hundred years on from gaining the vote, too many girls and women still have to struggle too hard to reach their potential and for equality. What the change showed 100 years ago is that sometimes the law is required for real equality. Will the Minister follow the example of Iceland and make it illegal to pay men more than women?
ParlaMint-GB_2018-02-06-commons.u281	Under the Equal Pay Act 1970, it is illegal to pay men more than women for the same work. We are focused now on making sure that we make more progress on the gender pay gap, which is why we have introduced legislation requiring all companies with more 250 employees to publish their gender gap by 4 April. After that, we will work with them to make sure that they take action to close it.
ParlaMint-GB_2018-02-06-commons.u282	I am proud to be one of those making what the Home Secretary described as the most diverse Parliament ever. I am not only one of the one third who are women, but one of the 7.8% who are from black and minority ethnic backgrounds. My maternal grandmother was illiterate; her passport had a thumbprint in it because she could not write her own name. Does the Home Secretary agree that on a day like today, it is not enough simply to pat ourselves on the back? We could do better not only on women, but on BME, lesbian, gay, bisexual, and transgender, disability, and all those things—some people may even inhabit more than one of those categories at once.
ParlaMint-GB_2018-02-06-commons.u283	Yes, I agree with the hon. Lady. We can talk today, as we should, about making sure that we encourage more women into Parliament and ensuring that there is more opportunity for women, but there is a wider issue of equality. I hope that thinking about women in this way today will encourage us all to think about it more diversely as well.
ParlaMint-GB_2018-02-06-commons.u284	It is a delight to be able to celebrate the 100 years today, but would it not be a terrible mistake if we showed any sense of complacency? After all, so often in the history of these matters, we took one step forward and two steps back. In 1739, women could vote for sextons and local government officials. In 1843, Grace Brown—she was a butcher in Lichfield, by the way—and 30 women voted in an election. In 1867, Lily Maxwell voted in a parliamentary by-election, but then in 1871, the men said, “No, you can’t vote anymore,” and expressly refused to allow them the vote, until it came in properly in the 20th century. Do we not need to make sure that every single man in Parliament is a proper honorary sister?
ParlaMint-GB_2018-02-06-commons.u285	I thank the hon. Gentleman, who is such an outstanding advocate for equality. That was a great history lesson on the forwards and backwards of women’s rights. I wholly agree with the central principle of his point. This is no time for complacency. I particularly feel—I sense that the rest of right hon. and hon. Members here share this feeling—that we all need to do more to stop the attacks on women who stand for election; and yes, we need the men in this Parliament to stand beside us and call it out.
ParlaMint-GB_2018-02-06-commons.u286	I am sorry that I was a little late, Mr Speaker, but I had something else that I could not avoid. However, I am so delighted to be able to celebrate this centenary. As some may know, men also played a major part in ensuring that the vote was given to women. In the late 1860s, Jacob Bright, with Richard Pankhurst, brought forward the first Bill to give women total female suffrage, and I believe that that tradition can be continued. For example, I pay tribute to my right hon. Friend the Member for Putney (Justine Greening) for her help in getting my Bill, which is now the International Development (Gender Equality) Act 2014, through to protect women. We men are behind everything that you have said.
ParlaMint-GB_2018-02-06-commons.u287	I was not intending to draw attention to the fact that the hon. Gentleman was three quarters of an hour late, but unfortunately, he has done so for me.
ParlaMint-GB_2018-02-06-commons.u288	I thank my hon. Friend for his comment. He brought forward that Bill on gender equality internationally. It was a very important Bill internationally for helping women, and he is right: we need men to participate to ensure that we not only protect women’s rights, but make progress with them.
ParlaMint-GB_2018-02-06-commons.u289	An exceptional occasion can allow for exceptional measures.
ParlaMint-GB_2018-02-06-commons.u290	I echo the many calls to encourage more women to enter politics. Until we have council chambers and a Parliament that truly reflect the rich diversity of British society, including gender balance, we will be doing a disservice to the next generation. Will the Home Secretary join me in commending the excellent work of the Labour Women’s Network and the Fabian Women’s Network, whose sisterly support, training and mentoring schemes have led, and are leading, to many women entering public life?
ParlaMint-GB_2018-02-06-commons.u291	It is interesting that we have cross-party initiatives to encourage women and also ones in our own parties. We have Women2Win and, as the hon. Lady said, Labour has the Labour Women’s Network. Of course, I commend them and encourage them; we need more women on both sides.
ParlaMint-GB_2018-02-06-commons.u292	With no working Northern Ireland Assembly, we have no outlet for celebrations for this great event. Would the Minister undertake to contact the permanent secretary in the Department for Communities of the Northern Ireland Assembly to ensure that Northern Ireland has a part to play in this wonderful and incredibly important celebration?
ParlaMint-GB_2018-02-06-commons.u293	I thank the hon. Gentleman for bringing that to my attention. I will certainly take up his proposal and ensure that there is an appropriate celebration this year in Northern Ireland as well.
ParlaMint-GB_2018-02-06-commons.u294	I welcome the funding that Nottingham has received for its centenary city celebrations. People may learn not only about Edith Annie Lees and Helen Watts, but about the Nottingham suffragettes who burned down the men-only Nottingham boat club in 1913—there is obviously a bit of an east midlands theme. They may be astonished that the club did not accept women into membership for another 57 years. As the Home Secretary acknowledged, it is some 48 years since the House passed the Equal Pay Act, and yet women still face a gender pay gap of more than 18%. When does she think that we will eliminate it?
ParlaMint-GB_2018-02-06-commons.u295	Gosh, it has been an interesting day of stories, what with boat clubs and golf clubs and the militant march of women. I hope that that will happen soon. That is why we are taking action on the gender pay gap and insisting that companies report by April this year. In my conversations with companies that are putting reporting in place, it is clear that they are surprised at the revelation of a gender pay gap and they are then proposing action. In one example, after a company discovered that many more men than women were in higher-paid jobs, it put in place training programmes. Those concrete actions will help to eradicate the gender pay gap.
ParlaMint-GB_2018-02-06-commons.u296	I thank the Minister for her statement about the grant programme to celebrate women’s suffrage. Will she confirm that the programme will celebrate the sacrifices of the suffragettes and the work of the thousands of women and men across the country who campaigned painstakingly for decades for women to be given the vote? Will she also confirm that the scheme will look not only backwards to celebrate but forward at the work that still needs to be done and which many Members have mentioned today?
ParlaMint-GB_2018-02-06-commons.u297	The hon. Lady is absolutely right to say that this funding and these projects must be about looking forward. We want to celebrate the past and the achievements to date, but we also want to keep up the pressure and the change and to work with the new generation to ensure that they have the opportunities to come forward. The purpose of these grants is to encourage local organisations to bid, so that they can make such proposals. I hope that organisations from Brentford and Isleworth will do just that.
ParlaMint-GB_2018-02-06-commons.u298	Today is a very important day. It is right that we celebrate. I think particularly of my daughter and of what society her generation will inherit—will theirs finally be the generation that sees equality across all areas of public life? To assist with that, when my daughter and other young women visit Parliament, I want them to see more female role models immortalised in this place. I think particularly of Winnie Ewing and my late friend Margo MacDonald. Will the Minister work with the Vote 100 campaign and the House authorities, through you, Mr Speaker, to ensure that that enduring inequality in this place is finally ended?
ParlaMint-GB_2018-02-06-commons.u299	Yes. I thank the hon. Gentleman for his question. It is delightful to hear that he took his daughter around to see the great opportunity and stature of this place. I hope it gave her some inspiration. He has put his finger on it. It is all about ensuring equality for women, but there is still so much to do and I hope that he will support some of our plans this year.
ParlaMint-GB_2018-02-06-commons.u300	I welcome the Minister’s statement about encouraging more women into Parliament and I am immensely proud to be here today representing my home seat 100 years after women first got the vote. Does she agree that sitting well beyond 10 pm, as we did numerous times in December, is hardly family friendly and hardly encourages women to enter Parliament? Does she further agree that a lot more still needs to be done, including introducing baby leave, as proposed by my right hon. and learned Friend the Member for Camberwell and Peckham (Ms Harman), to make this place more welcoming and open to future female MPs?
ParlaMint-GB_2018-02-06-commons.u301	I agree in principle with the hon. Lady. This House has come a long way, as Members who have been here a lot longer than me would point out. There are occasionally longer sittings, but I think that they are pretty unpopular with many Members of Parliament. I urge the Chief Whip and shadow Chief Whip to engage in more constructive discussions. It takes both parties to agree not to sit past 10 pm.
ParlaMint-GB_2018-02-06-commons.u302	We obviously need more women to be elected to this House, but may I draw the Minister’s attention to local government? In the not-too-distant past, only males were elected to some local councils. When young female councillors are elected, the problem is not so much the abuse they might get during the election process, but the treatment they receive from council officers: they are spoken down to, mainly by male officers; told they do not know what they are doing when they are elected; often are not offered appropriate training; and often either leave office early or do not seek re-election—all because of the treatment they receive inside local government.
ParlaMint-GB_2018-02-06-commons.u303	The hon. Gentleman makes an important point. Council election is often the first step women take before becoming a parliamentary candidate. The number of women in local government is shockingly low. We all need to do more to ensure that we find women in our constituencies willing to stand for the local council. The example he describes is very unsatisfactory. We need to be vigilant to make sure that women who do take the step are not talked down to.
ParlaMint-GB_2018-02-06-commons.u304	I am proud to be Croydon’s first female MP and I have been learning this week about the suffragette Dorinda Neligan, who, as well as being arrested outside this place, was the first headteacher of an all-girls school in Croydon, despite complaints about strong-minded women encouraging girls to be dissatisfied with life at home. I am proud to be surrounded by many strong-minded women today. What can the Government do to promote more strong women in our school curriculum, from English literature to history, where we remain woefully under-represented?
ParlaMint-GB_2018-02-06-commons.u305	The hon. Lady has highlighted the issue of girls in schools and the need to be vigilant to make sure that there is no sexism at that level. Women who have written great works or are great historians need to be ably represented in school. I suggest that her question is more specifically for the Department for Education, but I will certainly have a word with the Secretary of State to ensure that that is the case.
ParlaMint-GB_2018-02-06-commons.u306	I thank the Minister for her statement. Will she join me in paying tribute to the group of women in Durham who this year are not only helping to organise the Durham miners’ gala but are reinstating the women’s gala on 30 June to celebrate 100 years of women’s suffrage?
ParlaMint-GB_2018-02-06-commons.u307	I am delighted to join the hon. Lady in commending those women and welcoming their participation. Participation in public life can start with some small civic act and lead, as it did for many women here, to becoming a councillor and then a Member of Parliament. That first stage of activism in civic life is so important in encouraging women eventually into Parliament.
ParlaMint-GB_2018-02-06-commons.u308	Chesterfield is very proud today of Winifred Jones, a suffragette who was jailed twice during the suffragette struggle. I am sure that Winifred would be delighted to know that Chesterfield Borough Council now has a woman leader and a woman deputy leader and that the chair, the secretary and the treasurer of Chesterfield Labour party are all women. The Minister is absolutely right that this is no time for partisanship, so it was disappointing that she reflected purely on the misogynistic abuse from the left. My right hon. Friend the Member for Hackney North and Stoke Newington (Ms Abbott) faced appalling abuse from people on the right. Would it not be best today to recognise that across the political spectrum there are people who engage in misogynistic abuse and that we all have to work collectively to get rid of them from our political discourse?
ParlaMint-GB_2018-02-06-commons.u309	I would be cautious about not calling out abuse where it happens. The hon. Gentleman is right up to a point—as I have said, there has been appalling abuse of Labour Members as well. If, however, we tiptoe politically too much around the cause—I refer him to Claire Kober’s comments last weekend—we do not help women who themselves would like us to call it out.
ParlaMint-GB_2018-02-06-commons.u310	I am proud to stand here as Burnley’s MP on this historic day and to reflect on the work and achievements of the suffragettes and suffragists. Does the Minister agree that a fitting tribute to their work would be at the very least to guarantee the safety of all women in our communities? As we stand here today, women who are victims of domestic violence are taking the brave step of leaving and seeking refuge, but only too often they find that their refuge is full or sometimes closed down—the likely fate of the refuge in my constituency. I understand that the Government intend to review domestic violence legislation, but I fear that for many women that will be too late. Will the Minister join me in saving these important facilities and doing our bit to stand up for women?
ParlaMint-GB_2018-02-06-commons.u311	I share the hon. Lady’s view that those refuges provide essential support for women who are victims of domestic abuse and I am proud that we have more beds available now than we had in 2010. She is right that we are conducting a review. The Ministry of Housing, Communities and Local Government is doing that review, but I will work closely with it to ensure that there is no reduction in the number of beds available. That will be a central part of our domestic abuse Bill, which will be coming forward later this year.
ParlaMint-GB_2018-02-06-commons.u312	This is an amazing day for all of us women who have been elected to Parliament. I am the 201st woman to be elected. I think today reminds us that so often when we study history, women’s participation in it, and contribution to it, is not celebrated or talked about. This is about ordinary people, ordinary women, doing extraordinary things. Does the Home Secretary agree that it would be a wonderful contribution to this centenary year if we asked all MPs to provide a story about the women in their constituencies or areas who did something for the suffrage movement? It could be kept in the House to be used by the education service, so that there will be no reason for future generations of boys and girls not to understand the contribution that women made.
ParlaMint-GB_2018-02-06-commons.u313	I think that that is an excellent idea. I have a very good story from Hastings, which I am longing to put in that book.
ParlaMint-GB_2018-02-06-commons.u314	May I take this opportunity to recognise all the women who are currently serving in this place and the other place and those who have gone before us? We may not always agree politically, or see eye to eye, but I absolutely recognise the courage that many have shown to get here I agree with the hon. Member for Berwick-upon-Tweed (Mrs Trevelyan) that it is important for the police and the criminal justice agencies to understand that, when female MPs—or, indeed, male MPs—come forward with stories of abuse, whether it be online or otherwise, they must be taken seriously. We do not necessarily want to be making those police reports. I would welcome the opportunity to discuss my own recent experience with the Home Secretary Further to the point made by my hon. Friend the Member for Chesterfield (Toby Perkins), I think it extremely important—I have raised this point with the Prime Minister—that we recognise that abuse comes from all sides of the political spectrum. I acknowledge that it comes from my own party, which makes me incredibly ashamed, and I would never condone it. However, I have been subject to some significant abuse from the right. I think that the more we make this a party-political issue, the more we are prevented from making progress.
ParlaMint-GB_2018-02-06-commons.u315	The hon. Lady has made a characteristically important point. On the issue of abuse, I do not really share her view. Speaking honestly, I do not think that this is about being party-political. The fact is that plenty of Labour MPs have come to talk to me about the abuse that they have received from Momentum. It is not just we who receive such abuse. It is fine if some members of the Labour party do not want to call it out, but I think it is fair that we call it out because I do not think it is helpful to ignore it. We can talk about “all sides” and, of course, horrific abuse also comes from the right, although it does not, I think, come from members of the Conservative party. So I think there is a difference and I do not think it is helpful to ignore it As for the reporting of domestic abuse or any violence against women, the position has improved. Far more reporting is taking place and it is largely true that the police engage with it in a completely different way from the way in which they engaged with it 20 years ago. I think we should all welcome that, although, as in so many other instances in which there has been progress in respect of the protection of women and women’s rights, there is always more to do.
ParlaMint-GB_2018-02-06-commons.u316	Let me wish everyone a happy feminist Christmas, which is what today feels like. I started the morning at 8.45 with everyone dressed in their Sunday best, and it genuinely feels like a happy moment in this place to celebrate something genuinely happy Following what the Home Secretary has just said about abuse, I have a suggestion for her that would make Labour women very happy. If she is hearing the concerns of Labour women, she could say today that she will do the following, and it will make Labour women very happy. When I see metro mayors and police and crime commissioners, I do not notice that any of them looks particularly like me. There is a huge problem with the representation of women in that regard. There is a very simple thing that the Government could agree to do today: they could agree to allow all-women shortlists to be used and agree to add a provision to the Equality Act 2010, so that they could be used for those positions. At present, it is illegal for the Labour party to use all-women shortlists. If the Home Secretary would like to do Labour women a solid, that is the one that we would ask for today.
ParlaMint-GB_2018-02-06-commons.u317	I hate to let down the hon. Lady, who is such an extraordinary champion for women. All Conservative Members are full of admiration for the work that she does. However, she clearly has not noticed the Sussex police and crime commissioner, Katy Bourne, who does a fantastic job and is particularly focused on protecting women. That reminds us how important it is to have women in those senior roles. [Hon. Members: “And Vera Baird.”] And Vera Baird as well—I thank hon. Members for the reminder. There is more that all of us can do to encourage women to put themselves forward for roles such as police and crime commissioner and mayor.
ParlaMint-GB_2018-02-06-commons.u318	On a point of order, Mr Speaker. Yesterday, the Minister for Immigration told the House that the immigration White Paper would be published “in the coming months”. This morning, in the media, the Home Secretary could only say that it was likely to be published before Brexit day in March 2019. Given the apparent discrepancy, Mr Speaker, do you agree that it would be helpful to have some clarity from the Home Secretary? Have you had any indication from her that, in the absence of an immigration White Paper, she will at least make a statement to the House setting out all the outstanding issues relating to the transition arrangements, the registration policy and the Government’s immigration objectives in the negotiations?
ParlaMint-GB_2018-02-06-commons.u319	I have not, but it would. Let me recap, in case some colleagues have forgotten the earlier part of the right hon. Lady’s point of order. I have not received an indication that any such statement is planned, but it would be helpful to have a guide as to the likely sequence of events. There is no obligation for the Home Secretary to provide any such information now, or indeed from the Dispatch Box at any time, but, knowing this place as I have come to know it, it is perfectly obvious that if such clarification is not provided, it will not be beyond the wit and ingenuity of colleagues to raise this matter continually on the Floor of the House in circumstances that require the presence of a Minister. The sooner it is clarified, the better.
ParlaMint-GB_2018-02-06-commons.u320	Further to that point of order, Mr Speaker. I thank the right hon. Member for Normanton, Pontefract and Castleford (Yvette Cooper) for her point of order, and I thank you, Mr Speaker, for the opportunity to respond. The right hon. Lady has written me a substantial letter, which I received yesterday, and I look forward to replying to it with the clarification that she seeks.
ParlaMint-GB_2018-02-06-commons.u321	I am very grateful to the Home Secretary.
ParlaMint-GB_2018-02-06-commons.u322	rose—
ParlaMint-GB_2018-02-06-commons.u323	rose—
ParlaMint-GB_2018-02-06-commons.u324	Order. I will call the shadow Secretary of State for Housing, Communities and Local Government first. I have the hon. Member for Middlesbrough (Andy McDonald) in mind; he need not worry.
ParlaMint-GB_2018-02-06-commons.u325	On a point of order, Mr Speaker. This is further to my point of order on 24 January, following which I wrote to the Secretary of State for Housing, Communities and Local Government to ask whether the serious allegations set out in The MJ— otherwise known as The Municipal Journal—were true. Those allegations were that the Secretary of State had knowingly misled the House on figures published in the provisional local government settlement and had knowingly misled right hon. and hon. Members in the answers that he had given to their respective questions. Yesterday I received a letter from the Secretary of State confirming that he and the Department knew “the overall scale of the error” but nevertheless “published the provisional settlement on 19th December on the basis of” those “statistics”. At no stage in the proceedings did the Secretary of State advise the House that those data were incorrect, and many local authorities based their 2018 budget settings on the figures that he gave in his statement of 19 December, believing them to be correct. That is now creating a damaging lack of trust in the Ministry across local government More seriously, however, the Secretary of State has not publicly apologised to the House, but both “Erskine May” and the ministerial code go further, stating that Ministers who knowingly mislead Parliament—that is now the case—must offer their resignation to the Prime Minister. Has the Secretary of State indicated to you, Sir, that he plans to make a personal statement to the House on his conduct in relation to this matter?
