ParlaMint-GB_2018-07-17-commons.u1	1. What steps he is taking to support growth in the offshore wind sector.
ParlaMint-GB_2018-07-17-commons.u208	No, I am not in a position to comment on individuals. I have already said that very, very clearly. What I will say again for the benefit of the Liberal Democrat party is that we will be delivering the referendum result and we do not intend to hold a second referendum.
ParlaMint-GB_2018-07-17-commons.u209	I regret the atmosphere in which this urgent question is taking place. I have just spent nine months sitting on the Independent Commission on Referendums under University College London’s Constitution Unit looking at what is wrong with the rules on referendums, and looking specifically at financing. A member of the Opposition party also sat on that commission. We have looked at the use of public funding, spending limits and transparency, and there is a common concern that our regulation does not fit the purpose that we would like in a modern democracy. May I recommend to my hon. Friend the Minister that she reads this report cover to cover and takes on board our recommendations for new regulations and new legislation to try to improve this area, which, after all, is a very important part of our democracy these days?
ParlaMint-GB_2018-07-17-commons.u210	I have begun to read that report and I welcome its thoughtfulness about how referendums fit into the rest of our election landscape. I look forward to more discussions with my right hon. Friend and her colleagues on it.
ParlaMint-GB_2018-07-17-commons.u211	These are extremely serious matters. That said, we do need much shorter questions if we are to have a chance of accommodating some colleagues—[Interruption.]—and shorter answers as well. We will have to move on in a quarter of an hour or so.
ParlaMint-GB_2018-07-17-commons.u212	We have in our democracy clear rules so that we do not exercise, or see the exercise, of undue influence. For that reason, certainly in the last decade, we have had two elections declared void—in South Thanet and Oldham East and Saddleworth. Can the Minister confirm whether the Government can declare this referendum void on the basis of the evidence that we have been provided with by the Electoral Commission? If not, given that this was an advisory referendum by this Parliament, can she bring forward a vote in this Parliament to declare this referendum void?
ParlaMint-GB_2018-07-17-commons.u213	No, the Government will not be bringing forward such a proposal.
ParlaMint-GB_2018-07-17-commons.u214	Let the law take its course. By what factor did the Government and the other remain campaigns outspend the leave campaigns? It was 2:1, was it not?
ParlaMint-GB_2018-07-17-commons.u215	My right hon. Friend reminds us that there are designated lead campaigners in referendums. The subject matter of this report is in part how leave campaigners interacted with other campaigners. The virtue of having this report is that it allows us to examine spending—it brings spending into the light. It is about transparency of spending, as is, of course, the rest of the apparatus of what we do to regulate elections. This is an examination of allegations rather than the whole dataset. Again, my right hon. Friend reminds us that there are people who feel that these arguments cut both ways.
ParlaMint-GB_2018-07-17-commons.u216	A £60,000 fine is peanuts to these people. Found guilty, they could not care less and instead defiantly lash out. For these Brexiteers, and all the UK parties, our electoral laws are an optional extra and fines but a mere electoral expense. When will we get serious about our electoral laws, because no one and no political party takes them seriously? It is time to review the whole useless, ineffective system. When will the Minister do it? ‘
ParlaMint-GB_2018-07-17-commons.u217	I am sorry if the hon. Gentleman thinks that his political party does not take these rules seriously; we do.
ParlaMint-GB_2018-07-17-commons.u218	Will my hon. Friend confirm that the faux outrage that we are hearing today from Members from all parts of this House, some of whom have now left, is nothing to do with a breach of the rules by the leave campaign? It is to do with the fact that they lost; they are not representing the people. They lost that referendum despite the fact that they themselves overspent by millions of pounds.
ParlaMint-GB_2018-07-17-commons.u219	I came here today to try to respond to the subject matter of the report, but also very clearly to lay on the record again that the people in this country want us to get on with delivering the result, rather than to go back over it.
ParlaMint-GB_2018-07-17-commons.u220	The Government propose legislation. The Electoral Commission has made specific recommendations to the Government about what they need to do. Will the Minister do it?
ParlaMint-GB_2018-07-17-commons.u221	I think that the right hon. Gentleman is referring to the Electoral Commission’s earlier report on digital campaigning, which I am considering very carefully. As I said earlier, there are a number of issues to look at in the round. There are other ongoing reports and investigations such as that of the Information Commissioner, which last week produced a progress report, but not its final report. As the right hon. Gentleman knows from his experience in government, it is important to look at those things together, and that is what the Government will do.
ParlaMint-GB_2018-07-17-commons.u222	Will my hon. Friend confirm that the Government, in the run-up to the EU membership referendum, spent over £9.25 million on a taxpayer-funded leaflet advocating that we remain members of the European Union?
ParlaMint-GB_2018-07-17-commons.u223	It is the case that such a leaflet was produced, and that was because the Government recognise the importance of the public being informed ahead of a referendum. Again, I think that the debate—even on that leaflet—has been had. The point is that we should now get on and implement the result.
ParlaMint-GB_2018-07-17-commons.u224	I feel slightly sorry for the Minister, because she has been sent to defend the indefensible. Given her complacent demeanour today and her complete lack of acknowledgement about how serious this issue is, can she tell us quite how big a scandal would have to be before she actually reacted to it appropriately?
ParlaMint-GB_2018-07-17-commons.u225	I am sorry that the hon. Lady has felt the need to get quite so personal. I am not complacent. If she had been listening carefully, she would have heard me say that these issues are very, very serious. I am also saying that the Government respect the work of an independent regulator and do not comment on its ongoing investigations, but will wish to look in the round at the results of all the ongoing investigations.
ParlaMint-GB_2018-07-17-commons.u226	Have the Government received any representations from the Labour Front Bench to rerun the referendum?
ParlaMint-GB_2018-07-17-commons.u227	Not at the last count. I believe that there were 60-odd individuals who did want to do so, but I am not sure whether they are on or off the Front Bench at this time.
ParlaMint-GB_2018-07-17-commons.u228	The Government’s response to electoral fraud is shockingly, obscenely complacent. In trying to give some impression that she is taking this matter seriously, could the Minister agree to three really simple things? First, the fines should be unlimited, because £20,000 is pitiful; it is a tap on the wrist. Secondly, campaigns should declare their expenditure online in real time so that they cannot overspend in this way. Thirdly, does she agree that we need a digital bill of rights so that we can clear up the data harvesting that has been taking place on an industrial scale by organisations such as Facebook?
ParlaMint-GB_2018-07-17-commons.u229	I welcome the hon. Lady’s policy suggestions as a contribution to this point. If she will forgive me, she underlines exactly what I have been saying—that we need to look at a number of these issues in the round. For example, her last point does not at all come from the report before us today; it comes from the Information Commissioner’s work.
ParlaMint-GB_2018-07-17-commons.u230	This is undoubtedly a very shoddy affair. In hindsight and on reflection, the referendum campaign—on either side of the argument—was not our finest hour in democratic activity. Would the Minister take the point about the reporting of expenditure in real time, as was mentioned by the hon. Member for Brighton, Pavilion (Caroline Lucas)? Reporting after the event leads to the sort of situation that we have at the moment. If we do not address this matter of real-time reporting, the shysters and the snake-oil salesmen who seek to undermine our democracy will have won.
ParlaMint-GB_2018-07-17-commons.u231	I welcome that as a policy consideration that ought to be looked at in the round alongside the results of a number of ongoing investigations. I would just return to the core point, which is that we have these rules in place. It is these rules that buttress our democracy and that mean that we have an independent democracy where sanctions follow misdemeanours, and that is what the report tells us today.
ParlaMint-GB_2018-07-17-commons.u232	If the Minister will not talk about the specifics of this case, will she address a very simple general question? Can she envisage any level of corruption so gross that it would ever invalidate any referendum?
ParlaMint-GB_2018-07-17-commons.u233	I am really not in a position to answer the question. The hon. Gentleman tries to tempt me with a yes or a no or a very simple question, but this is not a simple matter. There are a number of reports across a number of different investigations with a number of elements that are still ongoing. It is for that reason that I have come here and tried to be very clear, in a way I hope is understood by parliamentarians, that I cannot prejudge the investigations of independent bodies. [Interruption.] If you would bear with me for one second, Mr Speaker, I will offer a thought to the House. Those who have looked at election regulation over time—including many Members of this House who served here for some decades—have not seen fit to place in those election rules the idea that a result can be invalidated. I am simply stating the current law. That concept does not yet exist in our law. It would be a new concept, as it has not yet been seen fit to be put in place by Parliament.
ParlaMint-GB_2018-07-17-commons.u234	Transparency is hugely important. I know that investigations are ongoing, but following this report does my hon. Friend agree that all investigations into our elections and the running of our democracy generally must be conducted in a way that is thorough, transparent and that people have faith in?
ParlaMint-GB_2018-07-17-commons.u235	Yes, I do. That is exactly my view. Investigations should also be done by an independent organisation that is given the space and time to conclude its work.
ParlaMint-GB_2018-07-17-commons.u236	I never thought that I would see the day when a Government Minister would come to this House and seek to downplay one of the most serious attacks on our democracy in history. This is not just about overspending, as important as that is. This is about dark money, foreign interference in our democracy and serious misuse of data. The Government must commit to a full, police-led investigation of all aspects of this matter. I suspect that I know why the Minister will not commit to that; there are at least four sitting members of her Cabinet who are not here today, but who served on the campaign committee for the organisation in question. That is even more reason why the Government must now stand up for our democracy and against its abuse.
ParlaMint-GB_2018-07-17-commons.u237	The hon. Lady is quite seriously misrepresenting my words. What I have said today is that these are very serious matters. I have agreed with all right hon. and hon. Members around the House who say that this matters and that it is serious. That is precisely my point. The hon. Lady went on to say that this matter ought to be the subject of a police investigation. It is. Individuals from this investigation are also being investigated by the police. The hon. Lady also said that this is—
ParlaMint-GB_2018-07-17-commons.u238	Order. Please resume your seat, Minister. I say two things. First, Members should not stand up while an answer is being given; that is not the right way in which to operate in the Chamber. Secondly, may I very politely say that the Minister could help herself by giving somewhat pithier answers? It would be most unfortunate if people thought that long answers were preventing other people from having the chance to ask a question. A short answer, not a disquisition, is required. Minister, we are grateful.
ParlaMint-GB_2018-07-17-commons.u239	I shall leave that one there and wait for the next question.
ParlaMint-GB_2018-07-17-commons.u240	The Minister’s own words are that this cuts both ways, but I do not think that that is the case. The Electoral Commission has been absolutely clear. It did all it could, but it lacks power to do more. Will the Minister correct herself? This does not cut both ways, does it? As my hon. Friend the Member for Wigan (Lisa Nandy) said, this is one of the worst, most despicable abuses of electoral law that we have seen in the lifetime of this House.
ParlaMint-GB_2018-07-17-commons.u241	The hon. Lady raises an important point about the powers of the Electoral Commission that has been put forward in its reports—for example, on digital campaigning. As I have said, the Government will be looking at those issues in the round.
ParlaMint-GB_2018-07-17-commons.u242	First, Scottish Tory dark money; now, the Electoral Commission showing that the leave campaign broke the law. We have these rules for a reason—to stop people buying our democracy—and yet the Minister appears complacent about that. So what confidence can our constituents have not only in the referendum result, but in the former and current Government Ministers who were involved in the running of Vote Leave?
ParlaMint-GB_2018-07-17-commons.u243	I will say it again: the issues in the report are extremely serious. It is right that they have been investigated. The Government are not going to comment on individuals or organisations that are subject to ongoing investigations. We hope that those investigations will be speedily concluded. We believe that that is a way to give further confidence to our constituents in this referendum and in other elections.
ParlaMint-GB_2018-07-17-commons.u244	In the light of what the Electoral Commission has said today—and, indeed, the evidence that has been given to the Digital, Culture, Media and Sport Committee, on which I serve, that has clearly proved that this referendum was won by cheating—will the Minister do what the Government should be doing, call this referendum null and void, and protect British democracy?
ParlaMint-GB_2018-07-17-commons.u245	No, we will not be re-running the referendum; we will be continuing to deliver its result. However, the hon. Lady reminds us that her Select Committee—an organ of this Parliament—is also conducting an ongoing investigation into fake news. There is another part of the larger set of issues that I am referring to that I want us to be able to look at together.
ParlaMint-GB_2018-07-17-commons.u246	This House is the guardian of free and fair elections. It is now clear that this referendum result was corrupt because it was bought, quite possibly with Russian money. Which Minister will now ask the Director of Public Prosecutions to consider a joint enterprise prosecution so that it is not just the staff of these campaigns that are prosecuted but the governing minds as well?
ParlaMint-GB_2018-07-17-commons.u247	The police have already received references from this investigation, and I think that stands for itself.
ParlaMint-GB_2018-07-17-commons.u248	Does the Minister understand that the anger is because we are not discussing a parish council election or a local authority by-election, but a matter that goes to the heart of the most important political and constitutional arrangement that has happened in most of our political lifetimes? Does she recognise that the scale of the fines being imposed is derisory, not just in terms of the overspend but the size of the prize that the leave campaign cheated to obtain?
ParlaMint-GB_2018-07-17-commons.u249	I entirely understand the points that Members have come to the House today to make. I am simply acknowledging that there are broader issues than only those in this report that need to be looked at together to continue to maintain confidence in our democracy. For the record, though, I think that any election, parish council or otherwise, is important and deserves its security.
ParlaMint-GB_2018-07-17-commons.u250	Today, Darren Grimes of BeLeave has accused the Electoral Commission on Twitter of putting him through hell by seeking “to justify this by saying that I failed a box ticking exercise” Can the Minister confirm that what has happened here is much, much more serious than that? The Electoral Commission has found that Vote Leave broke the law, that it cheated during this referendum, and that it had undermined our democracy. What are the Government now going to do about that?
ParlaMint-GB_2018-07-17-commons.u251	Certainly, what is in this report today is very, very serious. Consequences follow for those organisations that are named in it.
ParlaMint-GB_2018-07-17-commons.u252	The issue of the lack of transparency on social media political advertising is a problem for every democratic country. In the US, there are moves to prohibit anonymous advertising whereby social media platforms have to publish who pays for the adverts. Is this something that the British Government are considering?
ParlaMint-GB_2018-07-17-commons.u253	Yes, it is. In response to a report by the Committee on Standards in Public Life, we will shortly bring forward a consultation on ensuring that there are imprints on digital campaigning material just as much as there would be on paper. I think that is important.
ParlaMint-GB_2018-07-17-commons.u254	The Minister confirms that there is now an ongoing police investigation as a result of this report. Does she not therefore think it is right that all those who could potentially be part of that police investigation recuse themselves from Government until it is concluded? Surely law-makers should not be law-breakers.
ParlaMint-GB_2018-07-17-commons.u255	It is not for me to confirm a police investigation—it is for the Electoral Commission. It is not for me to comment on what ought to be in a police investigation—it is for the independent regulator. I think that distinction is quite important.
ParlaMint-GB_2018-07-17-commons.u256	Order. I am very sorry to disappoint remaining colleagues, but the House is heavily constrained for time. Perhaps I can give advance notice, in respect of the statement that is about to be delivered, that the exchanges on it will need to be extremely brief. We have a live debate on the Trade Bill, and the votes on the first group of amendments have to be at 3.30 pm, so extended exchanges on the statement will not happen today.
ParlaMint-GB_2018-07-17-commons.u257	On 21 February, I informed the House that the Ministry of Defence would produce a strategy for the combat air sector. Development of the strategy has drawn heavily on expertise from across defence, wider government, academia, think-tanks, industry, and international partners. Defence of the United Kingdom, protection of our people and our contribution to securing the rules-based international order requires us to deter adversaries by having the capability and the will to use decisive force to deliver our defence, foreign policy and economic objectives The threats we face are evolving and increasing ever more rapidly. World-class combat air capability allows us to maintain control of the air both at home and around the world. The United Kingdom’s combat air sector provides the capability to underpin our ability to keep Britain safe and act around the globe. It also makes a significant contribution to the United Kingdom’s economy and to our international influence. The UK is a global leader in combat air, with cutting-edge military capability underpinned by world-class industrial and technical know-how. That is why we are creating Tempest The UK combat air sector has an annual turnover of over £6 billion and directly supports over 18,000 highly skilled jobs across the UK. It supports over 100,000 jobs in the supply chain and more than 2,000 companies across the UK. The UK is the world’s second-largest exporter of defence equipment, with defence aerospace representing over 80% of the value of these exports. This is a position that I and, I am sure, the whole House wish to protect going forward We are at the heart of a number of key international programmes, including F-35—the largest defence programme in the world. Our position was secured through world-leading intellectual property, understanding, innovation and industrial capability. As we leave the European Union, we will continue to seek partnerships across Europe and beyond to deliver UK, European and global security. To do this, we must retain access to our proud industrial base. The UK’s combat air sector is therefore critical to the UK’s prosperity and to our ability to deliver the best capability to the frontline to deter and act against the threats that we face The future of the UK’s combat air sector, however, is not assured. There has been a gap between major combat air development programmes, and a clear indication of future UK military requirements is required to stimulate and deliver the research and development investment that is needed. The strategy defines a clear way ahead to preserve our national advantage and maintain choice in how it is delivered We will work with wider government, industry and international partners to deliver the strategy by taking the following steps. We will invest in upgrading Typhoon to maintain its world-class capabilities for the coming decades. The MOD will provide investment in key UK design and engineering skills as a means to generate UK intellectual property by the implementation of the future combat air system technology initiative. The initiative was established by the 2015 strategic defence and security review and builds on recent UK technology investment. We will work together to achieve a more open and sustainable industrial base that invests in its own future, partners internationally and breaks the cycle of increasing cost and length of time to introduce new fighter aircraft The UK will work quickly and openly with allies to build on or establish new partnerships to define future requirements and how they can be delivered in a mutually beneficial manner. By preserving our ability to maintain operational advantage and freedom of action, the strategy will ensure we have greater choice in how we deliver future capabilities and are able to maximise the economic and strategic benefits of future combat air acquisition programmes In the 100th year of the Royal Air Force, this strategy demonstrates that we can achieve anything. Britain is a world leader not only with our armed forces but in the fighting machines we can produce. The strategy demonstrates that Britain will retain its world leadership in this sector, by having the greatest fighter aircraft of any nation in the world. I commend this statement to the House.
ParlaMint-GB_2018-07-17-commons.u258	I thank the Secretary of State for his statement and for advance sight of it. May I pay tribute to the former Defence Procurement Minister, the hon. Member for Aberconwy (Guto Bebb), who was forced to resign last night for supporting the Prime Minister’s position on Brexit Our aerospace and defence sectors are truly world leading and are vital to our security and national prosperity. We welcome the publication of the combat air strategy, but might it not have been better to publish an overarching defence industrial strategy to give the wider industry the certainty it requires? If the Secretary of State’s Department will not do that, will it publish a land strategy sometime in the near future A key aspect of the combat air strategy is the creation of a project to consider how to deliver next-generation capability. I am not quite sure how the Government adopted the name “Team Tempest”, but it seems apt this week. The Secretary of State has been clear that the future approach hinges on international collaboration, so what discussion has he had with allies about this project? Has he considered the impact that partnering with non-NATO nations could have on our interoperability This strategy has been published at a time of great uncertainty in the aerospace industry about the impact of Brexit. Does the Secretary of State agree with the assessment of the industry, the trade body ADS and Members from across the House that the UK must be in a customs union to guarantee the industry’s future success The Secretary of State said that he wants to see the Tempest fly alongside the Typhoons and the F-35s. Will he confirm how many F-35s the Government plan to buy, in what timeframe and which variant they will be Rumours abound that the UK’s future airborne warning and control system capability will be gifted to a company without competition, just as the mechanised infantry vehicle was. Does the Secretary of State agree that that would be a hypocritical approach, when his defence industrial policy refresh emphasised the importance of competition? Can he confirm that there will be an open competition for the UK’s future AWACS capability? Members from across the House, our industrial partners and our allies are all eagerly awaiting the publication of the modernising defence programme. We were told that we would get the headlines before last week’s NATO summit, and then we were told that it would be out before the summer recess. In the light of the Government’s proposed new parliamentary timetable, will it be tomorrow or Thursday?
ParlaMint-GB_2018-07-17-commons.u259	I, too, pay tribute to my hon. Friend the Member for Aberconwy (Guto Bebb), who served with great distinction as Defence Procurement Minister and was instrumental in securing the order of the future frigates programme from Australia, which benefits many people and adds to the prosperity of this nation The hon. Lady proposes a defence industrial strategy. We have looked at a national shipbuilding strategy and at combat air, and we will look at the concept of developing a land strategy. We want to ensure that whatever we do in defence adds to the prosperity of our nation. That is why we welcome the report by my hon. Friend the Member for Ludlow (Mr Dunne), which highlights the importance of defence in creating jobs and economic growth We should look not just to Europe in forming partnerships with other nations. For far too long, we have been bound by the thought that we can look only to other European Union nations. Now is the time to look to the whole globe, see what other nations we can partner with and build strong new alliances. We have strong military links and deep connections with many nations. We are confident that, because of our world-leading position in combat air, many nations will want to work with us. I do not believe that we should be in the customs union, and that is the Government’s policy. I do not believe for one minute that being outside the customs union will in any way restrict our ability to deliver Tempest Finally, on the modernising defence programme, as I said just the other week, we intend to update the House before the recess.
ParlaMint-GB_2018-07-17-commons.u260	The combat air strategy signals the Secretary of State’s commitment to the importance of conventional armed forces in the future. How is his combat ground strategy going in persuading the Treasury to pay for it?
ParlaMint-GB_2018-07-17-commons.u261	There is always great value in heavy armour. In the combat air strategy, we highlight an exciting future. We highlight the fact that we are willing to embrace new technologies and fuse them with traditional jet fighters. We are ensuring we are able to bring new technologies such as drones and artificial intelligence on to platforms to make sure that the Royal Air Force has the cutting-edge capabilities it needs to keep Britain safe.
ParlaMint-GB_2018-07-17-commons.u262	I, too, thank the Secretary of State for advance sight of his statement and pay tribute to the resigning hon. Member for Aberconwy (Guto Bebb). The Scottish National party broadly welcomes the new strategy, but one overarching question is, where on earth is the money coming from? Surely the £20 billion funding gap in the procurement budget will drag many of the aspirations in the strategy to the ground. May I ask the Secretary of State about spreading the economic benefit around the UK? What will the benefit be to Scotland? Admittedly, it has a small industrial sector in this area—shipbuilding is much bigger—but I certainly hope this is better than the national shipbuilding strategy Will the Secretary of State ensure that the currency projections are much better? As the National Audit Office pointed out, his Department has been getting them wrong by as much as 25% in some cases How will this strategy complement the modernising defence programme? Where on earth is that programme? The House may rise on Thursday, and I would not dream of robbing the Secretary of State of his moment in the sun at the Dispatch Box. Will he ensure it is not sneaked out in a written statement, so he does not avoid scrutiny?
ParlaMint-GB_2018-07-17-commons.u263	I hope to avoid the many problems relating to currency projections by ensuring this new fighter is built in Britain. It is a great advantage to have the pound sterling. How do we bring the benefits to Scotland and every other part of the United Kingdom? Some 2,000 companies across the United Kingdom benefit from combat air. We are happy to have discussions with the devolved institutions about how to encourage them and work with them to build their industrial base for combat air This is a great opportunity for the whole of the UK. We are a world leader in this sector: other countries turn to us for leadership. That is what we are providing; that is what we will deliver, and we will provide the jobs and prosperity that come with it.
ParlaMint-GB_2018-07-17-commons.u264	I very much welcome this statement, in which the Secretary of State mentioned the Typhoon. From memory, we are contracted to buy about 160 across three tranches. When the older tranche 1 aircraft retire, rather than sell them off, will he consider keeping them as a war reserve to provide mass for our Royal Air Force if we are ever involved in a peer-on-peer conflict?
ParlaMint-GB_2018-07-17-commons.u265	My right hon. Friend actually makes a very valid point about our ability to maintain the mass of aircraft. I want to pay tribute to Sir Stephen Hillier, the Chief of the Air Staff, who has driven forward so much of the Tempest project, as well as driving forward the utility of the Typhoon aircraft. We will certainly be looking at that to make sure we maintain the utility and mass of the Typhoon force.
ParlaMint-GB_2018-07-17-commons.u266	On 17 November 2017, we had a debate in the House about the need for a defence aerospace industrial strategy. This combat air strategy is one step forward, but it does not talk about sovereign skills in terms of the need for a training platform. May we have a serious conversation about what is going to happen at Brough?
ParlaMint-GB_2018-07-17-commons.u267	We listened very carefully to the hon. Lady in calling for a combat air strategy, and we have answered by providing one. We are aiming to look at all the different aspects of how we actually provide all the different areas of combat air. On fighter jets, Tempest is obviously one of the most important and significant investments that we will be making, but we will look at all the different aspects, along with our industrial partners, BAE Systems.
ParlaMint-GB_2018-07-17-commons.u268	I congratulate the Secretary of State on the statement, and I thank him for choosing to make the announcement yesterday at the opening day of the Farnborough international air show. From what he has seen at Farnborough, does the Secretary of State agree with me that Farnborough is the beating heart of the British aerospace defence and aviation industry, and that it will surely play a leading role in turning the vision of a combat air strategy into a reality?
ParlaMint-GB_2018-07-17-commons.u269	My hon. Friend very much represents the beating heart of the aviation industry. In the 110 years since the first manned flights took off from Farnborough and the 70 years since the creation of the Farnborough air show, Farnborough has really been at its heart. What has been so useful over the past few days has been engaging with international partners, and the fact is that they are so keen to work with the Royal Air Force and our industrial base to start making this project a reality.
ParlaMint-GB_2018-07-17-commons.u270	I welcome the combat air strategy, but does the Secretary of State agree with my constituent Andrew Moxham, who wrote to me yesterday to ask how on earth the UK alone can afford this project? This can only be delivered as part of a collaboration—preferably a European collaboration, as with the Typhoon—and it will also require export orders. Britain alone cannot afford this project.
ParlaMint-GB_2018-07-17-commons.u271	I remember that in one of the first questions I was asked as Secretary of State for Defence, the hon. Gentleman demanded a combat air strategy and called for this type of investment and leadership, but when we actually deliver it, he starts saying that we need to be looking to others. We can lead: we have always led in this field, and we have the world’s greatest technology. To show such leaderships means that other nations will come and be part of the project, and that is part of the dialogue we are having.
ParlaMint-GB_2018-07-17-commons.u272	May I add my congratulations to my right hon. Friend for driving the combat air strategy through the Department, alongside Air Command? It is a very exciting moment to be at the outset of a new combat air programme, but will he elaborate on what he thinks it will do for the defence industrial landscape of this country for generations to come?
ParlaMint-GB_2018-07-17-commons.u273	Had we not taken the decision to do this, as we have done, we would have been putting in jeopardy many tens of thousands of jobs not just in the north-west, but right across the country. That is why we have to make this investment and why we have to show world leadership. We must continue to invest in the technology, the science and the skills in order to keep that world leadership role and to continue to benefit from the exports and the wealth that this industry creates.
ParlaMint-GB_2018-07-17-commons.u274	I welcome the statement and the combat air strategy, but I say to the Secretary of State that it is deeply worrying how often we have gone to America to buy our fighters. Will we be looking to British industry to provide the AWACS aircraft, because these advance warning aircraft should be British-made and British-built?
ParlaMint-GB_2018-07-17-commons.u275	We always look at how we can do the very best for delivering for British industry, and at how to make sure that we have the capabilities that the Royal Air Force, the Royal Navy and the British Army need to do their job.
ParlaMint-GB_2018-07-17-commons.u276	Havant-based Lockheed Martin has worked successfully with my right hon. Friend’s Department to deliver the new F-35 jet. Will he ensure that the new combat air strategy benefits the south coast, and will he come and join me in meeting those involved in the F-35 programme?
ParlaMint-GB_2018-07-17-commons.u277	Over the past few days, I have had the privilege of having discussions with the chief executive of Lockheed Martin. Lockheed Martin is an important industrial partner for us, providing a great number of jobs and a great deal of investment in the United Kingdom. I would certainly be happy to join my hon. Friend on such a visit.
ParlaMint-GB_2018-07-17-commons.u278	I warmly welcome my right hon. Friend’s commitment to Britain’s future air defence, but will he say a little about affordability? It is important that we have cutting-edge units, but it is equally important that we have sufficient room in the budget to buy enough of them.
ParlaMint-GB_2018-07-17-commons.u279	Absolutely. We need to be able to build mass into our air force, as well as exquisite technology. One of the key changes we want is rapidly to reduce the amount of time it takes to develop the new airframe. With the F-35, we saw that go on for far too long, and we need to reduce that period. I would like to see Tempest flying in the first half of the next decade, and we should bring forward the technology and give this project the inspiration and the drive to make it a reality as quickly as possible.
ParlaMint-GB_2018-07-17-commons.u280	France and Germany are already co-operating on a sixth-generation fighter, so although this strategy is welcome, we are playing catch-up. Will the Secretary of State set out whether this will be an allied, NATO, European or transatlantic project, and how will workshare benefit aerospace businesses, including those in Plymouth?
ParlaMint-GB_2018-07-17-commons.u281	This is going to be a global project. One thing I would say is that Britain is a nation that actually has fifth-generation fighters and has the industrial expertise to develop new generation fighters. France or Germany do not have that expertise; we do, and we have that leadership role. We do not want to limit our sights just to European partners, but to open this up to the globe, working with partners with whom we have not worked in the past and bringing the benefits to our allies that are global allies.
ParlaMint-GB_2018-07-17-commons.u282	Order. The hon. Member for Nuneaton (Mr Jones) was looking uncontrollably excited, to the extent that I was mildly worried about his circumstances, but we must hear from the fellow.
ParlaMint-GB_2018-07-17-commons.u283	It is very good of you to think of my welfare, Mr Speaker I welcome my right hon. Friend’s announcement. Many of my constituents work in the defence aerospace sector. Will he say how this fits in with the Government’s industrial strategy, and what does it mean for skills and for securing the jobs that currently exist and for creating new jobs in our great defence sector?
ParlaMint-GB_2018-07-17-commons.u284	This is about securing those jobs and those skills not just for the next decade, but for the decade from 2040 onwards. My hon. Friend makes an important point, because this is part of our wider industrial strategy. Defence leads: for every £1 that is invested in defence, £4 is generated. We spend 2% of our GDP on defence, yet it accounts for 8% of our economy. It is vital for the prosperity of Britain to continue to invest in defence.
ParlaMint-GB_2018-07-17-commons.u285	The UK’s defence aerospace industry is vital for the future of our economy, providing higher-quality, high-skilled jobs up and down the country. What does it say about this Government’s ability to protect those jobs and that industry when one of the Secretary of State’s own Ministers resigns over the Government’s shambolic handling of Brexit negotiations? What are the implications of that shambolic handling not just for his Department and the industries it is supposed to champion, but for every other sector of our economy?
ParlaMint-GB_2018-07-17-commons.u286	Britain has been a world leader in this sector, and we continue to be a world leader in this sector. We continue to deliver the jobs and prosperity that are absolutely vital and on which so many of our constituents depend. That is what Tempest is about, and that is what we are delivering. We are going to make sure that the Royal Air Force has the finest, the greatest and the most technologically advanced fighter jet to ensure Britain continues to remain safe.
ParlaMint-GB_2018-07-17-commons.u287	I understand that directed energy weapons use concentrated bursts of microwave or particle beam energy to inflict damage. Does the Secretary of State agree that the intention to equip the Tempest with that sort of weaponry signals our intent to be at the forefront of aircraft technology for some considerable time?
ParlaMint-GB_2018-07-17-commons.u288	What is absolutely critical is that we embrace these new technologies and we lead the world in using these technologies on the new platforms that we introduce for the RAF and the other services. By leading in terms of the defence of the UK, we end up leading the world, and that creates new opportunities for British industry to export. This is a massive vote of confidence in Britain, by industry—by Leonardo, BAE Systems, Rolls-Royce and MBDA. They are saying that they want to invest in Britain, British skills and British technology because they believe in this country.
ParlaMint-GB_2018-07-17-commons.u289	I have worked in the defence industry. In fact, I worked at Rolls-Royce and a lot of people there probably welcome this statement. So that we can all welcome the statement, will the Secretary of State tell us who will fund it, how it will be funded and who are these new partners he is thinking about outside of Europe? If he is thinking about the United States, I am sure that many people in the defence industry will tell him that we always come off second best when we are up against them.
ParlaMint-GB_2018-07-17-commons.u290	We are looking at a range of different international partners. We see this as an opportunity to offer something that is different and alternative to the offerings that the United States has traditionally brought forward. We see this as an opportunity to collaborate with new nations that have not usually been involved in such collaborations before. The initial indications are exceptionally positive.
ParlaMint-GB_2018-07-17-commons.u291	This is a very heartening announcement, especially given the recent centenary of our fantastic Royal Air Force. My right hon. Friend mentioned the potential for lucrative defence sales downstream from this announcement. When we leave the EU, what partners does he envisage us having as, in trading terms, we spread our wings?
ParlaMint-GB_2018-07-17-commons.u292	My hon. Friend makes an important point: we do need to spread our wings. Before the recent order placed by Australia for future frigates— the new Hunter class Type 26 frigates—Opposition Members said that we would not be able to sell ships to any other nation, and we have proved them wrong. Naysayers on the Opposition Front Bench constantly want to talk down Britain: we want to talk up Britain. Industry, and not just British industry, wants to invest in our technology and our capabilities.
ParlaMint-GB_2018-07-17-commons.u293	It would be churlish and mean-spirited not to acknowledge that there is much that is very good in the Secretary of State’s statement. However, does he agree that a no-deal Brexit would hamper his well-intentioned idea of working with European partners?
