ParlaMint-GB_2018-12-17-commons.u1	1. What recent estimate his Department has made of the number of children in the care system.
ParlaMint-GB_2018-12-17-commons.u214	I thank the right hon. Gentleman for his question. Obviously, the intention is to have a proper number of days for debate when the vote is brought back in January. At that stage, how the matter is put before the House will depend on the further discussions that have taken place with the European Union. As we have always said, any motion on this issue is of course amendable by Members of the House.
ParlaMint-GB_2018-12-17-commons.u215	We are told that the United Kingdom does not want the backstop. We are told that the European Union does not want to enter the backstop. What on earth is stopping the European Union giving us a legal guarantee that such a backstop would last only for a very short time?
ParlaMint-GB_2018-12-17-commons.u216	It is exactly that further political and legal assurance that we are looking at. There have been very clear statements from the European Union. Those have been reiterated not only in the Council conclusions but after the Council conclusions as well. The best way to stop the backstop coming into place is of course to have a firm date for introducing the future relationship. That is currently the intention and that is currently 31 December 2020. We will continue to discuss what further assurances we can get on this point.
ParlaMint-GB_2018-12-17-commons.u217	When precisely will the Prime Minister be securing this “Miracle on 34th Street” guarantee from the European Union on the backstop that she will come back with before 7 January? If she does come back with it, will the House be debating it on a fresh Government motion? On her commitment to come back on 7 January to start the debate, is that a promise?
ParlaMint-GB_2018-12-17-commons.u218	First of all, the business motion and the way in which the debate is to be dealt with by the House will of course be discussed through the usual channels. I said we would be starting the debate in the first week, with a vote in the following week. The hon. Gentleman asked me about the timetable. Discussions are continuing with the European Union and I expect them to continue into the new year.
ParlaMint-GB_2018-12-17-commons.u219	Here is what would do irreparable damage to the integrity of our politics: to run down the clock and end up forcing through a deal that 48% did not want because they did not want to leave the European Union, and that the majority of those who voted for Brexit do not want. The mathematics simply do not stack up. The majority, in this House and in the wider country, do not want this deal. Can I ask the Prime Minister to get on with it, so that we can vote on it and then look at practical alternatives?
ParlaMint-GB_2018-12-17-commons.u220	As I indicated in my statement, we will bring the vote back in the second week in January. It is our intention that the debate will start in the previous week, the first week of January. As I said earlier, I have listened to the House. Had I not listened to the House and started the work to try to get further assurances, I suspect hon. Members would have raised that issue. It is right that I and the Government are doing exactly what we said we would, which is work with the EU for those further political and legal assurances.
ParlaMint-GB_2018-12-17-commons.u221	We now know what the plan is. Having failed to win support for the deal in Parliament and having failed to get any meaningful change to it at the EU Council last week, the Prime Minister now simply wants to run down the clock and intimidate Parliament into choosing between a bad deal and the disaster of no deal. I put it to the Prime Minister that it is wrong to threaten and intimidate Parliament in this way. More importantly, it is reckless to take options off the table, as she has tried to do today, that could prevent the disaster of no deal for the country.
ParlaMint-GB_2018-12-17-commons.u222	Whatever the point at which this House faced the meaningful vote, it will be a decision for Members of this House as to whether to accept the deal or—[Interruption.] There are some who would prefer to see action taken so that we do not leave the European Union—I think that would be wrong. What I believe is right is that we deliver on the referendum. The question will be for Members of this House as to whether they accept that responsibility, and to come to a decision. At the moment, there have been lots of ideas around this House about what should happen, but no alternatives that actually deliver on the referendum in a way that protects jobs. That is what the deal does, but it will be a decision for individual Members of this House to bear the responsibility that they have.
ParlaMint-GB_2018-12-17-commons.u223	The Prime Minister will be aware that those of us who have large manufacturing companies in our constituencies—in my case, Johnson Matthey in Royston—that do integrated manufacture on a European basis with short supply lines are getting on to people like me and saying, “Look, it’s very urgent that we have a deal.” When she is negotiating and discussing in Europe with people like Mr Juncker, does she have the feeling that there is that urgent need to get a deal and that they are prepared to listen to what she says and really put in a shift? I must say that when I saw him looking so relaxed and really being rather patronising to our Prime Minister, I felt that was not really him putting in the sort of shift that she has.
ParlaMint-GB_2018-12-17-commons.u224	The very clear message that comes back from the European Union—from the Commission and EU leaders—is that they do want a deal. We have obviously negotiated this deal. There are those further assurances that I am working to achieve, and it has been made clear by President Juncker and others that those further discussions can indeed take place.
ParlaMint-GB_2018-12-17-commons.u225	The Prime Minister knows that no better deal will be found in Europe and that no majority will be found in Westminster. She also knows that no deal is disastrous. She delayed a vote because she knew her deal would fail to get the support that it needed. She can employ the same logic again. Will she confirm that she holds the power to seek an extension for article 50?
ParlaMint-GB_2018-12-17-commons.u226	First of all, the Government hold the power to seek an extension for article 50; and any extension of article 50 would have to be agreed with the European Union, but I have been clear that what I believe is the right course of action, having triggered article 50 and having undertaken the negotiations, is that we ensure that we leave the European Union on the timetable that we have already set out.
ParlaMint-GB_2018-12-17-commons.u227	The Prime Minister in her statement talked about empowering this House. The trouble is that she is asking the House to accept a deferral for several weeks of the meaningful vote on the draft withdrawal agreement, on the basis that further assurances can be agreed with the European Union, but there is nothing in what she has said today or in what has been reported from the EU Council to suggest that those further assurances are likely to be given. I say this as somebody who was going to vote for her draft agreement on the basis that she set out—that businesses need certainty and the country needs reassurance. I honestly do not think that businesses, employers and our constituents will understand why this House is going on holiday for two weeks when we should be having the meaningful vote this week.
ParlaMint-GB_2018-12-17-commons.u228	What I believe is right is that, having heard the concerns that have been expressed by Members of this House, the Government are taking those concerns to the European Union. Yes, we have further statements from the EU with legal status in the Council conclusions than we have had before, but we are seeking yet more and further assurances from the European Union. I think that is the right thing to do, then that can be debated properly by this House and the vote taken.
ParlaMint-GB_2018-12-17-commons.u229	Last Thursday, the Attorney General told the House that he was reviewing the question of whether article 50 could be revoked by a simple vote of this House or by legislation. This Thursday, the Scottish case is being referred back from the European Court of Justice to the court in Edinburgh to look at this issue. Can the Prime Minister confirm for us that the Government’s position on how article 50 could be revoked—whether through legislation or whether simply a vote of this House is required—will be set out to the court in Edinburgh on Thursday?
ParlaMint-GB_2018-12-17-commons.u230	I will certainly look into that issue and get back to the hon. and learned Lady about the specifics in terms of the Government’s stance on the case that is going to the court in Edinburgh. I know that she has taken a considerable interest in revoking article 50. I simply remind all Members that the Government have said that we will not revoke article 50, because it means staying in the European Union.
ParlaMint-GB_2018-12-17-commons.u231	I am one of the Members who would have and will support the Prime Minister’s deal, but I have to say that what is coming back to me from business, industry and the City is that we are haemorrhaging support and investment on a daily basis and it is getting worse. That is why I join hon. Members in saying, please think again about holding the vote and about considering a series of stand-alone resolutions, which mean that we can take a view and move on.
ParlaMint-GB_2018-12-17-commons.u232	I understand the concern that my hon. Friend expresses about business. Business wants certainty. Business wants the deal. Business welcomed the deal when we negotiated it and I think that it still takes that approach. My hon. Friend referred to what have been called indicative votes—a number of motions that could be brought before the House. I have no plans for indicative votes. I say to him and other Members that it is necessary for the House to reflect on what Members want in terms of their responsibility to come to a decision on this matter. At the moment, there are a number of views in the House: some want to stay in the EU, some want to go for a second referendum, some would support no deal and some would support looking at other arrangements. As I said, any of those arrangements would require a withdrawal agreement, because they would require us to make clear the basis on which we are withdrawing from the European Union.
ParlaMint-GB_2018-12-17-commons.u233	Last week, the Prime Minister admonished Jean-Claude Juncker for his use of the word “nebulous”. Many Members would take issue with her use of the word “meaningful” because there is nothing meaningful about a vote that forces Members to choose between her deal and no deal. When will the Prime Minister stop digging, start listening and build a consensus with Members across the House to get us out of this mess?
ParlaMint-GB_2018-12-17-commons.u234	It was always going to be the case, whenever the vote came before the House, that Members would have a decision on whether to support the deal that had been negotiated with the European Union, with the consequences that failure to support it would bring. That is the same whenever that vote is taken.
ParlaMint-GB_2018-12-17-commons.u235	Does the Prime Minister recall telling the House on 3 December that the £3 billion to £4 billion set aside in the Budget for contingency no-deal planning was about to be allocated in the next few days to relevant Departments? Has that allocation has been made and is the money now available for essential contingency planning?
ParlaMint-GB_2018-12-17-commons.u236	Yes, I do recall saying that. Of course, the 2018-19 financial year allocations are in place and money is being spent. I think my right hon. Friend was referring to—and I was referring to—the 2019-20 allocations. Negotiations on those are well advanced, several Departments have settled and we expect to be in a position to confirm all those shortly.
ParlaMint-GB_2018-12-17-commons.u237	Last Friday, a constituent said to me that although she had voted to leave in the referendum in 2016, she now wanted to register the fact that she had changed her mind, as she put it, for the sake of her grandchildren. If it emerges that a significant number of previous leave voters have reached the same conclusion, what would be more democratic: allowing them the opportunity to change their mind, or pressing on regardless?
ParlaMint-GB_2018-12-17-commons.u238	I also hear from people who are in the opposite position: they voted to remain and now say that they would vote to leave the European Union. If there were a second referendum, which had the same result, would those hon. Members who wish people to be given the chance to think again continue to say that there should be a referendum? If there were a different result, I think many people would ask, “How many referendums shall we have?” We had the referendum and I believe that it is our duty to deliver on it.
ParlaMint-GB_2018-12-17-commons.u239	The problem is that there is a consensus in the country, and that consensus is that this is one unholy mess and a solution must be found. The Prime Minister has still not told us what her plan B is. Does she not understand that, if we left the European Union without a people’s vote, knowing what Brexit looked like, and then it turned out that the people of this country, knowing what Brexit looked like, did not want us to leave the European Union, it would be the biggest betrayal of democracy in this country, and the people of this country, especially the young people, would never forget or forgive us—especially our party?
ParlaMint-GB_2018-12-17-commons.u240	I know that my right hon. Friend has taken a particular view in relation to this issue, but I continue to believe that what we should be doing is delivering on the vote. As I said when I gave the figures in my statement, it was the overwhelming view of this Parliament that the people should have a vote in the referendum, and it was the overwhelming view of this Parliament that article 50 should be triggered. Article 50 leads to our leaving the European Union, and it is now our duty to deliver that.
ParlaMint-GB_2018-12-17-commons.u241	How does the Prime Minister have the gall to accuse those of us who want more democracy of breaking faith with the public, when she herself has turned faith breaking into a new art form? She promised no general election last year, and then granted one. She promised a meaningful vote last week, and then cancelled it. But one cannot break faith with the British public by asking for their views. Why can the Prime Minister not understand that a people’s vote would be the first opportunity for people to vote on the facts, not on the fantasy and the fabrication?
ParlaMint-GB_2018-12-17-commons.u242	Many people up and down the country—17.4 million people, I think—would say that, if the vote that took place in 2016 were not honoured by this Parliament, that would be breaking faith.
ParlaMint-GB_2018-12-17-commons.u243	As my right hon. Friend has said, the outcome is that we leave without an agreement to leave, a transition and future arrangements, or we somehow return to the attempt by some to reverse the result of the referendum—or we have the deal with the agreements that are being negotiated now. In an article published in The Times on Thursday, Freddie Sayers made it clear that seven people out of eight in the country—and, I suspect, here as well—would rather have the deal with the agreements than drop out without a deal or have another referendum. So I can say to the Prime Minister that I think most people support her, and we should too.
ParlaMint-GB_2018-12-17-commons.u244	I thank my hon. Friend. What he has said reflects comments from around the country: people say or write to me that they want us to get on with it, to deliver and then to be able—as a Government and as a Parliament—to get on with addressing the domestic issues that matter to them day to day.
ParlaMint-GB_2018-12-17-commons.u245	Let us be clear: it is the long list of broken promises of leave campaigners whom the Prime Minister appointed to her Government that has done irreparable damage to the integrity of our politics. She has made three statements in the House, and on each occasion the House has made clear that it will not vote for her plan, but she continues to refuse to listen. May I ask her a specific question? She has said that no deal is not something that she would countenance. Let us suppose that we reach the March 2019 European Council and there is no consensus in the House on a route forward. Will she now commit herself to request an extension of article 50 at that European Council to stop no deal from happening?
ParlaMint-GB_2018-12-17-commons.u246	I have indicated my approach in relation to the extension of article 50.
ParlaMint-GB_2018-12-17-commons.u247	Notwithstanding what Emmanuel Macron said on Friday, recent comments from the European Commission have been rather more hostile, and anything but nebulous. Martin Selmayr is reported to have told officials that losing Northern Ireland was the price of Brexit. Briefing EU ambassadors on the deal, Sabine Weyand said that the UK “must align their rules but the EU will retain all the controls.” At the weekend, a further EU official was reported in The Times to have said: “To use a Christmas theme, we want all parties and factions in the British parliament to feel the bleak midwinter.” Does that sound to my right hon. Friend like people negotiating in good faith?
ParlaMint-GB_2018-12-17-commons.u248	I have always been clear throughout this that these have been tough negotiations, but we have held our side and achieved a deal that delivers on the vote of the British people, and delivers it in a way that protects jobs and security and, I believe, protects our prosperity for the future.
ParlaMint-GB_2018-12-17-commons.u249	Is it not the truth that, while the Prime Minister talks about democracy, she prevented the Cabinet from having a vote, she is preventing Parliament from having a vote and she does not want the public to have a vote on this deal? If she wants to talk about democracy, she should think very carefully about that. Will she not admit that she is acting in a completely reckless fashion with jobs, with business, with investment and with our constituents’ futures, because on 2 January, when the vast majority of people in this country will go back to work, this Parliament will not be sitting, the Government will still be stalling for time and trying to come up with a magic solution and people will simply be asking, “What is going on?”
ParlaMint-GB_2018-12-17-commons.u250	The hon. Gentleman asked me a question in relation to what I was doing and I have to say that my answer to that question is no.
ParlaMint-GB_2018-12-17-commons.u251	We have had our people’s vote in Lincolnshire—and they are people, by the way. May I express an unfashionably supportive view of the Prime Minister today? I think that this matter is resolvable, and many of us who have been sceptical about the deal so far could be persuaded to vote for it if there were a legally binding protocol saying that, as is normal with international treaties, if a temporary arrangement ceases to be temporary, then either side can unilaterally withdraw, and in any event under international law we would have the right to abrogate those parts of the treaty if they prove not to be temporary. So I say to the Prime Minister—keep calm and carry on.
ParlaMint-GB_2018-12-17-commons.u252	I thank my hon. Friend for his comments and I think that the amendment he has tabled to the motion reflects the view he has just expressed. There are many ways in which we can achieve what everybody, I think, who is concerned about the backstop wants, which is to make sure that if it is used it is only temporary. I want to try to make sure it is not used at all.
ParlaMint-GB_2018-12-17-commons.u253	Is the Prime Minister aware that many people in our country feel that they were conned over the last referendum by a combination of fraudsters, cheats, foreign money and dissembling about the real truth of the challenges our country faces? Does she also know that many of us feel it is tragic to see her so isolated—isolated from her party, from this Parliament and from the people in the country? Will she change her mind, as I have done, and go for a people’s vote and a people’s choice on the facts, not on the theory?
ParlaMint-GB_2018-12-17-commons.u254	No, I have already made my views clear. I mentioned them in my statement in relation to the concept of a second referendum. I think that we should be delivering on the referendum that took place in 2016.
ParlaMint-GB_2018-12-17-commons.u255	My right hon. Friend has said that she is going to be stepping up work to mitigate any disruption in the event of a no deal and the Cabinet will be discussing that tomorrow. Given that there are just over 100 days to go and we have the Christmas and new year break, can she inform this House and the watching country how many COBRA meetings there will be, how many she will chair, and whether there will be meetings throughout the Christmas and new year break of Cabinet Ministers and COBRA to plan for this?
ParlaMint-GB_2018-12-17-commons.u256	There have already been fortnightly meetings taking place, and that will move to a more regular rhythm in January as we continue to step up the preparations for no deal.
ParlaMint-GB_2018-12-17-commons.u257	May I welcome the Prime Minister ruling out a second referendum when we have not actually implemented the first, and may I also congratulate her—she did not get her hair ruffled by President Juncker in the way he seems to do to everybody? However, has she had a word with the Chancellor of the Exchequer? He implied the people who voted leave—17.4 million people—were extremists. Has she had a word with him to make sure that he is not going to take that attitude to decent people across the country?
ParlaMint-GB_2018-12-17-commons.u258	Everybody in this Government recognises that this Parliament gave people the decision on whether or not to leave. People went out and 17.4 million people chose that we should leave the European Union. They did so for a variety of reasons—ending free movement was a reason for many of them, but for many of them a reason was also the concept of wanting a United Kingdom able to stand independent in the world, to make those trade deals around the rest of the world, but to be free of the bureaucracy of Brussels; that was another reason people voted to leave. They did that with their hearts and with their heads and with the best of intentions, and it is our job to deliver on the vote they gave.
ParlaMint-GB_2018-12-17-commons.u259	By your leave, Mr Speaker, may I congratulate the Prime Minister on winning the confidence of the Conservatives in this House last week and assure her that she therefore commands my confidence, too? On the issue of the second referendum—better known as the losers’ vote—I support the Prime Minister’s opposition to this not only because it is undemocratic and would be divisive but because it would be very hard to deny a second referendum in Scotland if we had a second referendum on membership of the European Union.
ParlaMint-GB_2018-12-17-commons.u260	My hon. Friend makes a good point. We have a record on a number of referendums over the years. We have accepted the decisions that people have taken and we have not gone back to them with a second referendum. He is absolutely right, and I also thank him for his remarks at the beginning of his question.
ParlaMint-GB_2018-12-17-commons.u261	We have been told that there is going to be a 34-day delay, from when we were supposed to have the meaningful vote last Tuesday until the new date of 14 January. There are clearly not going to be any substantive changes to the withdrawal agreement, and we all know what the outcome of the vote will be, so it is irresponsible of the Prime Minister to prolong this uncertainty while not ruling out a no-deal Brexit. Further to the question from my right hon. Friend the Member for Exeter (Mr Bradshaw), I want to ask her again: what is the cost to our country of pressing the button on the no-deal contingency plans, which we know that many businesses and public services across the country, including our NHS, will now have to trigger before Christmas?
ParlaMint-GB_2018-12-17-commons.u262	I will give the hon. Lady the same answer that I gave to the right hon. Member for Exeter, which is that these are plans that it is sensible for the Government to make as contingency arrangements in the circumstances that we have. If she and other Members wish to ensure that we do not leave the European Union without a deal, the only way to do that is to support a deal.
ParlaMint-GB_2018-12-17-commons.u263	Twenty-seven Prime Ministers across Europe have agreed unanimously to offer the UK the deepest trade agreement they have ever offered. Five of those Prime Ministers are from sister parties of the British Labour party and seven are from sister parties of the British Liberal Democrat party. Does our Prime Minister agree that the best way for our Opposition parties to avoid a hard Brexit is to look again at the deal that is being offered by Prime Ministers across Europe?
ParlaMint-GB_2018-12-17-commons.u264	I echo my hon. Friend’s comments; she is absolutely right. I understand that those sister parties have been talking to the parties on our Opposition Benches and encouraging them to see that this deal delivers a far wider and more ambitious trading arrangement than has ever been offered to any other third country.
ParlaMint-GB_2018-12-17-commons.u265	For weeks now, the Prime Minister has been clear about what her deal is. For weeks now, the European Union has been clear about what deal it will offer. For weeks now, this House has been clear about what it will reject. However, it is not true that nothing has changed, because it is clear that what little support the Prime Minister had left on her own Benches is now ebbing away by the hour—[Interruption.] Well, cheer if you want, gentlemen, but it is not happening, is it? We know that the quicker we take the deal, the longer we will have to prepare for whatever the outcome of that vote is. The British public will not forgive any of us for going away on holiday without having made any progress on this. For goodness sake, Prime Minister, stop wasting our time! Get on and table that vote, and let us prepare for what comes next.
ParlaMint-GB_2018-12-17-commons.u266	It is not correct to say that no progress has been made, but I want to see further progress being made and that is what I am going to be working on.
ParlaMint-GB_2018-12-17-commons.u267	The draft withdrawal agreement is 585 pages long, and while I appreciate, although do not necessary agree with, the case for not producing a full plan for a managed no-deal Brexit, if the withdrawal agreement fails and is rejected in this House, how quickly will the full no-deal preparation be published?
ParlaMint-GB_2018-12-17-commons.u268	As I am sure my hon. Friend will recall, the formal position is that if the deal is rejected, the Government have a limited number of sitting days in which to bring forward proposals for the next stage and for dealing with that situation, and that is the timetable that we would obviously meet.
ParlaMint-GB_2018-12-17-commons.u269	It is interesting that the one passage leaked to the press yesterday of the Prime Minister’s lengthy statement today was her antagonism towards the idea of a people’s vote. It is entirely consistent with her approach to this process that she took this House to the Supreme Court to stop us having a say at the beginning and then withdrew the vote last week at the end. If she is going to pause, stop and prevaricate in the next few weeks, I beg her to use that time to start listening to and engaging with people in this House and the anxieties that are felt out there by the public. For the very first time, will she engage and listen?
ParlaMint-GB_2018-12-17-commons.u270	I have made the point about listening to the House, which is why further discussions are taking place, and as I said in my statement, I am of course happy to speak with people in this House. I have been speaking with quite a few of my colleagues over the past couple of weeks, and I am happy to continue to speak with colleagues about how we can ensure that we deliver on the vote and that we deliver a good Brexit.
ParlaMint-GB_2018-12-17-commons.u271	Should the Prime Minister’s recent experiences at the EU Council not serve as a powerful corrective to any illusion that we could have remained a member of it?
ParlaMint-GB_2018-12-17-commons.u272	My right hon. Friend makes an interesting point. I suspect that what he saw actually fed into the concerns that many of the 17.4 million people had when they voted to leave.
ParlaMint-GB_2018-12-17-commons.u273	This afternoon, on a cross-party basis, 60 Members of Parliament wrote to the Prime Minister asking her to rule out no deal. She knows the costs. What possible reason can she have for not doing that now?
ParlaMint-GB_2018-12-17-commons.u274	The only way to rule out no deal is to agree to a deal.
ParlaMint-GB_2018-12-17-commons.u275	The Prime Minister is right to seek further assurances on the backstop, which, after all, is what many right hon. and hon. Members on both sides of the House asked her to do. Is it not the case that most hon. Members who now support a second referendum, most of whom voted to trigger article 50, are doing so working on the heroic assumption that remain is likely to win? Have they stopped for one second to consider the possibility that leave might win or, worst of all, that we would have another very narrow result that would cause uncertainty in this country in the months and years ahead?
ParlaMint-GB_2018-12-17-commons.u276	My right hon. Friend makes an important point about the uncertainty that would come to this country. As I have said before, a second referendum would be divisive; it would not necessarily be decisive. However, many people who assume that it would result in a remain decision actually underestimate the character of the British people, and the view of many people would be, “We gave a very clear message; we wanted to leave; and we’ll vote in even greater numbers to do so.”
ParlaMint-GB_2018-12-17-commons.u277	Does the Prime Minister not realise that the reason why the EU is clinging limpet-like to this agreement is that it knows that there are concessions within that will enable it, when it comes to the future trade arrangements, to extract even more concessions from the UK Government? Would it not be far better to walk away now with £39 billion in her pocket and with her hands free and able to do the kind of work that any Government should want to do to make this country prosperous?
ParlaMint-GB_2018-12-17-commons.u278	Of course, it has been made clear to the Government that it is not the case that we would not have any financial liabilities in a no-deal circumstance. There would be some financial liabilities for this Government. Of course, the £39 billion is the negotiated settlement in relation to the withdrawal agreement, but there would be financial liabilities even in a no-deal situation.
ParlaMint-GB_2018-12-17-commons.u279	It is not just the backstop that worries colleagues, myself included; for me, it is the lack of legal certainty over what our future trade deals might look like. The political declaration is not legally binding, so any EU country leader, including our own should we have a different leader, could rip it up and we could spiral to a no-deal Brexit at any time. The Prime Minister has said it is not about our view, and I agree with her. That is why she has appealed to the country directly with her deal, and it is why I must represent my constituents. If she really believes in the views of constituents being the most important thing, surely the right thing to do—dare I say the democratic thing to do?—is to be honest and grown up by displaying proper engagement with the people, which means checking with them that they are content with her deal.
ParlaMint-GB_2018-12-17-commons.u280	The arguments my hon. Friend puts about listening to people could equally be put about listening to people in relation to the first referendum held in 2016. She raises an important point about the nature of the political declaration, and that concern is another issue that I have been raising with the European Union, because I want to ensure that right hon. and hon. Members are able to have full confidence in that future trade agreement.
ParlaMint-GB_2018-12-17-commons.u281	The Prime Minister made a deal with the EU on Ireland, and Ireland is right to keep her in a cage of her own making to make sure that the UK cannot backslide on its commitments. Last week, the EU27 will have noticed the sleekit way her Government changed the laws and moved the goalposts when dealing with Scotland in the Supreme Court. The reality is that, where once Britannia said it ruled the waves, now the EU’s big fear, as we have seen with Scotland, is that, when given the chance, Britannia will waive the rules and will be away on holiday before voting on any deal.
ParlaMint-GB_2018-12-17-commons.u282	I think the hon. Gentleman is referring to the Bill that the Scottish Parliament brought forward that challenged the changes made in relation to the withdrawal Act. On the relationship between the withdrawal Act and the decisions of the Scottish Parliament in relation to Scotland, SNP Members and, indeed, the Scottish Government were aware of the position when they brought that Bill before the Scottish Parliament.
ParlaMint-GB_2018-12-17-commons.u283	Despite assurances from the Prime Minister that the backstop would be temporary, I remain very concerned that if this House approves the deeply flawed withdrawal agreement, we risk being trapped in the backstop indefinitely. Will my right hon. Friend confirm that income tax was introduced in 1799 as a temporary measure to pay for the Napoleonic wars?
ParlaMint-GB_2018-12-17-commons.u284	I am interested in the historical link my hon. Friend draws on this matter. I recognise that he and others have concerns about the backstop, and I continue to work to provide the assurances that I hope would enable him to accept a deal and make sure that we leave the European Union with a deal.
ParlaMint-GB_2018-12-17-commons.u285	Several members of the Prime Minister’s Cabinet said this weekend that, if her deal is voted down, it should be for Parliament to decide what happens next. Does she agree?
ParlaMint-GB_2018-12-17-commons.u286	There is a process set out in the legislation. If the deal is voted down, it is for the Government, within a certain period of time, to bring forward their proposals to Parliament. A motion will be tabled before Parliament and, following the amendment agreed by Parliament a couple of weeks ago, the motion will be amendable.
ParlaMint-GB_2018-12-17-commons.u287	Judging by the tone and content of today’s statement, it would appear that the Prime Minister is still implacably opposed to what I think is the only democratic solution to this impasse. For the sake of clarity, will she confirm that she is so opposed that she would prefer no deal?
ParlaMint-GB_2018-12-17-commons.u288	What I want to see happening, and what I prefer, is for us to leave the European Union on the basis of a good deal, and I believe this is a good deal.
ParlaMint-GB_2018-12-17-commons.u289	Both the Prime Minister and the Leader of the Opposition know there is no point in kicking this can down the road—nothing is going to happen over Christmas and the new year. May I ask the Prime Minister to bring forward her meaningful vote this week and the Leader of the Opposition to bring forward his motion of no confidence this week, and then this week we can move on to where we know we are going, which is a people’s vote?
ParlaMint-GB_2018-12-17-commons.u290	No, there are further discussions with the EU and those will continue into the new year.
ParlaMint-GB_2018-12-17-commons.u291	I want to commend the Prime Minister’s dogged determination, and so many people on the streets of my constituency this weekend commended her for her attitude. Does she agree that given that this is the only deal on the table, everything must be done to make it acceptable, which means everybody pulling together for the sake of the nation and, in particular, for the sake of our younger generations, who do not seem to be mentioned enough? That was reiterated to me at University Centre Somerset just this weekend, because we do have to leave them with an economy that is fully functioning and viable.
ParlaMint-GB_2018-12-17-commons.u292	My hon. Friend is absolutely right to say that we need to ensure that we are protecting the economy for the future, and that is what this deal does. Those young people at University Centre Somerset would want to see not just a Government but an Opposition putting their interests and the national interest first, rather than the Opposition putting their party interests first.
ParlaMint-GB_2018-12-17-commons.u293	The past few weeks have shown that this deal is going nowhere, and today’s statement does not change that. Does the Prime Minister now regret not working cross-party to build a consensus in this House? Why will she not accept that there is a way out of this hopeless situation by extending article 50 and working together, without the political posturing, for a deal that works for everyone?
ParlaMint-GB_2018-12-17-commons.u294	We have negotiated a deal that works for everyone. I say to the hon. Lady simply this: in June 2016, a vote was held and people voted to leave the European Union. On 29 March 2019, the date set for us to leave the EU, it will be nearly three years since that vote. I think people want us to get on with leaving the EU, and that is what we will do.
ParlaMint-GB_2018-12-17-commons.u295	Does the Prime Minister realise that when Jean-Claude Juncker called her “nebulous” he fundamentally underestimated the attitude of the British people, who completely disagree with that sentiment? That is what I found in my constituency this weekend, where people praised the Prime Minister’s determination to get a deal that works for my constituency. Can she display that similar determination in ruling out a second referendum, which would be so insulting to my constituents and suggest that they do not know what they voted for the first time round?
ParlaMint-GB_2018-12-17-commons.u296	My hon. Friend makes a very important point. Many people who voted to leave in the referendum in 2016 would say exactly that: they knew what they were voting for; they voted for what they believed was right for this country; and they want a Government who deliver that.
ParlaMint-GB_2018-12-17-commons.u297	I have asked the Prime Minister before whether her deal is better than the one we have now and she cannot give a straight answer, because I think she knows the answer is no. What undermines the integrity of our democracy, Prime Minister, is to ask—eventually—Members of this House to knowingly vote for something that will make their constituents poorer; it is not those in this House who want the people to have the final say on whether they actually wanted that to happen in the first place. Prime Minister, is your deal better than the one we have now? If it is, can we have the vote on the meaningful vote this week?
ParlaMint-GB_2018-12-17-commons.u298	I have set out when the meaningful vote will take place. The hon. Gentleman again referenced people being poorer under this deal than they are today. They are not going to be poorer under this deal than they are today. The economic analysis is very clear about this, and it is clear that the best deal—the best approach that delivers on the referendum and protects jobs and the economy—is the deal.
ParlaMint-GB_2018-12-17-commons.u299	A number of Opposition Members and, indeed, some Government Members have been talking about people who have changed their minds and how important it is that we respect people’s opportunity to change their minds. Does the Prime Minister agree that although there is no evidence to show that a meaningful number of people have changed their mind in respect of the referendum result, it is clear that a number of Opposition Members have changed their minds, because previously they said they would respect the outcome of the referendum and they clearly now no longer wish to do so? If they want to stop Brexit, they should be honest with this House and their constituents and just say so.
ParlaMint-GB_2018-12-17-commons.u300	I absolutely agree with my hon. Friend. It is the case that both the Conservative party and the Labour party campaigned in last year’s election on the basis that we would respect the referendum and deliver on its result. I believe that is important, and the Opposition should take that position as well, to reflect their manifesto and the promise that they made to the British people.
ParlaMint-GB_2018-12-17-commons.u301	Given that the Conservatives have had the opportunity to decide on the Prime Minister’s own position twice in the past two years, in what way is it undemocratic to give the people a second vote on Brexit?
ParlaMint-GB_2018-12-17-commons.u302	It is important that we recognise when we have a referendum in this country that we do not say to people, “Well, if it comes out with the result that most people in Parliament want, we will accept it, and if not, we won’t.” We accept the results of referendums in this country. Given that the majority of Members of this House stood last year on manifestos that said they would respect the result of the referendum, we should do that.
ParlaMint-GB_2018-12-17-commons.u303	The certainty of World Trade Organisation terms from 29 March, without even including the opportunity for tariff-free trade under article 24 of the general agreement on tariffs and trade and the immediate opportunity to negotiate and conclude free trade agreements with the EU and the rest of the world, hardly sounds like an outcome to be avoided at all costs, and certainly not like a disaster. The extent of any disruption from a move to WTO terms depends on the policies of our European Union partners. If it becomes clear on Wednesday that their preparations appear to make transition more difficult, not easier, will the Prime Minister make sure that of the £39 billion that we would otherwise pay to the EU, the first charge is for British businesses affected by their policies? Will she show the first flash of steel by making it clear that she will at least consider that the £1.2 billion of sunk costs in the Galileo project might also come into consideration?
ParlaMint-GB_2018-12-17-commons.u304	The work on the financial settlement that led to the £34 billion to £39 billion—significantly less than the £100 billion that was being talked about at European Union level at one stage—did of course take into account all the aspects of the contributions that the United Kingdom has made into the European Union over the number of years of our membership. As a result of the tough negotiations that the UK undertook, we have seen a significantly smaller sum of money than the one that the European Union initially thought of.
