ParlaMint-GB_2018-11-01-commons.u1	1. What steps he is taking to support tourism throughout the UK.
ParlaMint-GB_2018-11-01-commons.u271	If somewhere in the deep state there was knowledge of a plan to kidnap Mr Khashoggi and he was not tipped off, we would be complicit. The Foreign Secretary would not comment, but can we have time to debate this?
ParlaMint-GB_2018-11-01-commons.u272	My right hon. Friend knows well that we are extremely concerned about this case. The UK has been active in calling for answers about the murder of the journalist Jamal Khashoggi, which we have condemned in the strongest possible terms. The Prime Minister spoke to King Salman on 24 October and reiterated our desire for a credible explanation following a full investigation. My right hon. Friend the Home Secretary has announced that those who have been implicated in Mr Khashoggi’s murder would be prevented from entering the UK. We will continue to press the Saudis to co-operate fully with the Turkish investigation.
ParlaMint-GB_2018-11-01-commons.u273	I thank the Leader of the House for announcing the business for next week A chill is in the air and, like winter, Brexit is coming. The undead White Walkers of the ERG have breached the wall and Westminsteros is under siege. While the Prime Minister is no Mother of Dragons, she does have her fire-breathers to contend with, and she might just be about to be consumed by the flames. In the battle with the 27 kingdoms, we are told apparently to expect 21 November as the date for a Brexit agreement, only for DExEU to issue a statement downplaying the significance of that date. Can the Leader of the House explain what exactly is going on? When will we have the meaningful vote, on what conditions and what basis will it be put to the House, and what range of options will we have to consider? Can she assure us that the meaningful vote will not be a meaningless vote Later today, we will be voting on the Budget resolutions. We in the SNP are very pleased that the Chancellor has listened to our representations to freeze duty on whisky. However, we are not too happy about some of the other issues to do with the Budget. On Tayside, we are extremely disappointed that the UK Government did not match-fund the Scottish Government in the £200 million pledge for the Tay cities deal, breaking the arrangement whereby each Government contributes equally. Can we have a debate on city and regional deals in Scotland, and ensure that the UK does not short-change communities north of the border again I want to support the calls by the shadow Leader of the House regarding EU nationals. We really do need a statement from a DExEU or Home Office Minister. Apparently only 650 of the 3.5 million people who need to apply for settled status have gone through the process. The Immigration Minister said in the Home Affairs Committee that determining people’s status would be tricky during the planned two-year transition period. This is raising all sorts of alarm, concerns and anxieties in constituencies right across the United Kingdom, where EU nationals now need to be absolutely reassured about their status here, so will the Leader of the House ensure that we have a Minister at the Dispatch Box on Monday so that we can question them about what is going on?
ParlaMint-GB_2018-11-01-commons.u274	The hon. Gentleman mentions various excerpts from “Game of Thrones”. All I would say to him is: “You know nothing, Jon Snow”—and I am afraid that that is often the case in this place. However, I shall hope to be able to enlighten him On the meaningful vote, it is absolutely the case that this House will be invited to give its views and to lend its support to the deal that the United Kingdom will be seeking to agree with the European Union. It will be vital that we have that approval in order to proceed. Such a motion will be a motion of the House and it will be amendable. But to be very clear, it will be important—as I said last week and, I think, the week before—that the Government have the permission of the House to go ahead with a deal that has been agreed. If they do not have that permission, they will not be able to proceed with that deal. I do hope that that clarifies the matter for the hon. Gentleman I am delighted that the hon. Gentleman is pleased that whisky duty has been frozen. I am more pleased that good old Northamptonshire gin duty has been frozen. Perhaps we can compare notes at our next one-to-one meeting The hon. Gentleman asks what else has been done for Scotland. First, I would like to congratulate him: I gather that his latest MP4 record, EP5, is out. In fact, my team logged in and listened to one or two of his tracks this morning. I do wish him every success. It is available from all good retailers, in case hon. Members wish to purchase it. [Interruption.] You have the opportunity, Mr Speaker, to buy the hon. Gentleman’s latest record. It is going to be fantastic On the hon. Gentleman’s point about what else has happened as a result of the Budget, the Chancellor has announced that the Scottish Government’s budget will increase by over £950 million through to 2021, before adjustments for tax devolution. There will be £150 million invested in the Tay cities deal. We continue negotiations on the borderlands and Ayrshire deals, and we will begin formal negotiations on a Moray deal. As an ex-Energy Minister, I am particularly delighted that we continue to support the oil and gas industry in Scotland—a vital sector for Scotland—to ensure that Scotland becomes a global hub for decommissioning. We will continue to support the United Kingdom in every way that we possibly can.
ParlaMint-GB_2018-11-01-commons.u275	Over the last two nights, I have had the pleasure of hosting very full community events in the House to celebrate the cultural and spiritual side of Diwali. There are no business questions next week, and I shall be attending 11 temples on Hindu new year. May I invite my right hon. Friend to wish Hindus, Sikhs, Jains and Buddhists “Shubh Diwali” for next week and, if she finds time, to accompany me on one of those visits to a temple?
ParlaMint-GB_2018-11-01-commons.u276	I am grateful to my hon. Friend and share his good wishes to all those celebrating Diwali next week. I am impressed that he intends to visit so many different celebrations, and if my diary permits, I would be delighted to go with him.
ParlaMint-GB_2018-11-01-commons.u277	By the calculations of the officers of the Backbench Business Committee, we have had 24 Chamber days in the last 16 months, when the Standing Orders suggest that we would get 27 days in a normal 12-month sitting period. We are three short already, and we do not have any allocation of time in the week beginning 12 November. I want to express my disappointment to the Leader of the House, on behalf of the Committee and Back Benchers across the House who have heavily subscribed but unallocated debates yet to be heard on subjects such as protection for homebuyers in new build properties, appropriate treatment for sufferers of ME, the Rohingya refugee crisis, International Men’s Day or victims of Equitable Life. All those and others are as yet unheard debates, but we have no allocation of time yet again. I am disappointed.
ParlaMint-GB_2018-11-01-commons.u278	I am sorry that the hon. Gentleman is disappointed. He will realise that it was important to prioritise the Budget debates this week. Standing Orders specify that the Backbench Business Committee is allocated 35 days each Session, and, as I acknowledged last week, although this is an extended Session, the Committee has already had more than the number specified in the Standing Orders. I will work closely with him, however, to find other dates I point out gently that in response to requests from hon. Members for Government time to be given to debates that have also been priorities for the Backbench Business Committee, we have held debates on subjects such as the use of folic acid, the centenary of Armistice Day and, importantly, road safety, which I know the hon. Member for Bradford South (Judith Cummins) has been keen to pursue. I hope that the hon. Gentleman will bear with me, and I of course will seek Back-Bench time as soon as possible.
ParlaMint-GB_2018-11-01-commons.u279	The Leader of the House, in replying to the hon. Member for Perth and North Perthshire (Pete Wishart), confirmed that we are going to have a meaningful vote on the Government’s agreement when it comes back from Brussels, and she confirmed that we are going to have meaningful votes, because there will be amendments to that motion. She was of course right to say that the Government cannot ratify the draft agreement if this House rejects it, but does she accept that the meaningful votes on the amendments mean that if an amendment is passed, the Government will feel that they should go back to Brussels and try to negotiate a deal as amended by the majority of this House? I hope she is not reverting to the argument “It’s the deal we’ve got or no deal at all,” which the Government were defeated on when we debated the withdrawal Bill earlier this year.
ParlaMint-GB_2018-11-01-commons.u280	My right hon. and learned Friend is absolutely right to point out the facts of the case, which are that the Government will bring forward a vote on the deal that they have negotiated, it will be an amendable motion of the House, and should the House amend that motion, the Government would take action on those amendments. However, I must point out to the House again that having negotiated a particular deal with the European Union, it may well not be possible for the Government to proceed on the basis of an amended motion. Whether the House will be asked to decide whether it agrees that the Government negotiate on the basis of the agreed deal will be a matter for the House.
ParlaMint-GB_2018-11-01-commons.u281	Over 1 million young people participated in the UK Youth Parliament’s “Make your Mark” campaign, and ending knife crime has topped the ballot as young people’s No. 1 priority. As has already been said, that will be debated in the Chamber on 9 November, and I will be joining the young people for that debate here. This is a clear priority, so I will ask for the fourth time: when will the Government schedule a debate on their policy of using a public health approach to tackling violence?
ParlaMint-GB_2018-11-01-commons.u282	As I have previously said to the hon. Lady, I wrote to Home Office Ministers in response to her questions in this place two weeks ago. I am waiting for a reply, about which I will update her directly. She has also written to me on this issue and I have taken it up, as I said I would. A few months ago, she requested Government time for a debate on our serious violence strategy, which I was pleased to be able to provide, so there was a debate quite recently on that subject. Furthermore, as I understand it, the Youth Parliament will be debating this next week as one of the issues that it has raised. On 2 October, the Home Secretary announced further measures to address violent crime, including a consultation on a new legal duty to underpin a public health approach to tackling serious violence, as well as a new £200 million youth endowment fund and an independent review of drug misuse. I hope to have further updates once I hear back from Home Office Ministers.
ParlaMint-GB_2018-11-01-commons.u283	Last week, the chief exec of Somerset County Council wrote a rather pathetic begging letter to the Government. This week, we discover it is going to spend £10 million on one building. May we have a debate in this place on local government finance, so that chief execs across the country get the message that this is not up for grabs? Local government funding matters to us all?
ParlaMint-GB_2018-11-01-commons.u284	My hon. Friend is absolutely right to raise the importance of local government financing. He is clearly concerned about his particular area, so I encourage him to seek an Adjournment debate in which to raise that issue directly with Ministers.
ParlaMint-GB_2018-11-01-commons.u285	At Forest Hill School in my constituency, class sizes have gone up but per pupil funding is down by £191. The Chancellor’s money for “little extras” equates to just £45 per students, which goes nowhere near restoring the cuts to schools in my constituency. When can we have a stand-alone debate in Government time on education funding?
ParlaMint-GB_2018-11-01-commons.u286	I hope that the hon. Lady will be as delighted as I am that there are now 1.9 million more children in good and outstanding schools than there were in 2010, and that 86% of schools in England are now rated good and outstanding, which is up from 68% in 2010. Many more children are getting the opportunity of a good education than under the previous Government. She is absolutely right to raise the issue of school funding. We are investing £1.3 billion in our schools, so the schools budget will rise by about £2.6 billion over this year and next, which means per pupil funding is protected in real terms. If she has a particular question, she may wish to ask it at Education questions on Monday 12 November.
ParlaMint-GB_2018-11-01-commons.u287	The chair of the National Police Chiefs Council, Sara Thornton, is reported in this morning’s media as having suggested that the police should refocus and concentrate more on burglary, shoplifting and violent crime. That is something my constituents would widely support. Will the Leader of the House find time for a debate on this so that the Government can make their position clear?
ParlaMint-GB_2018-11-01-commons.u288	My hon. Friend is quite right to raise the importance of good policing in reducing the number of traditional crimes as well as in dealing with the recent rise in serious violent crimes, such as knife crime and the problem of county lines. He will be aware that we have increased the total investment resources available to the police by over £460 million, and announced a significant increase in counter-terror police funding for next year. It is for police and crime commissioners to decide the priorities in their own areas. My hon. Friend may well wish to seek an Adjournment debate so that he can discuss the issues in his own constituency.
ParlaMint-GB_2018-11-01-commons.u289	Order. As the House will be aware, it has been my custom and practice to try to call everybody at business questions. Very occasionally, I have not been able to do so, but that has been the norm. It will not be possible to do so today, and it is only fair to give the House notice that I want to run this for another 10 minutes or so, but not beyond that because 77 hon. and right hon. Members wish to speak in the final day’s debate on the Budget.
ParlaMint-GB_2018-11-01-commons.u290	The Leader of the House might be aware of early-day motion 1768 in my name, which concerns my constituent Delsie Gayle who was racially abused on a Ryanair flight from Barcelona [That this House notes the entirely unprovoked and racist verbal attack on Ms Delsie Gayle onboard a Ryanair flight from Barcelona to London; further notes that Ryanair failed to move the perpetrator but instead moved Ms Gayle to another seat; points out that Ryanair have still not contacted Ms Gayle or any member of her family; condemns Ryanair's tolerance of a clear case of racism; and calls on the airline to conduct an immediate inquiry and to offer an unreserved apology to Ms Gayle.] Ryanair moved her and not the abuser, and has since not contacted the family, either directly or indirectly. May we have a debate on racism?
ParlaMint-GB_2018-11-01-commons.u291	All hon. Members will have been shocked by that story, and the hon. Gentleman is right to raise it in this place. I encourage him to seek an Adjournment debate on the matter.
ParlaMint-GB_2018-11-01-commons.u292	The Director-General of the National Crime Agency has drawn attention once again to the problem of so-called county lines, which the Leader of the House mentioned a moment ago, and which involves drug networks that extend from urban to rural areas. Lynne Owens reported that 1,500 county lines are now operating in Britain, and it is feared that thousands of children are being used to move drugs. This is a case of feckless so-called recreational drug users—no doubt disproportionately drawn from the privileged bourgeois liberal class—making life a misery for those who are less privileged. Edmund Burke said that good order is the foundation of a good society, so may we have a statement from a Home Office Minister, in Burkeian terms, describing how good order can be maintained?
ParlaMint-GB_2018-11-01-commons.u293	My right hon. Friend raises an issue that concerns all hon. Members across the House, and the Government’s serious violence strategy is looking at what more we can do to prevent young people from getting involved in that appalling criminal lifestyle. We are investing significant sums through a new early intervention youth fund, and we are providing millions of pounds through the Home Office anti-knife crime community fund to help communities that are tackling knife crime.
ParlaMint-GB_2018-11-01-commons.u294	In my constituency many horse riders have written to me expressing their dismay that in the review of The Highway Code that has been announced, there is no mention of horses or their riders. May we have an urgent debate on the review of The Highway Code? I obviously welcome anything that makes things safer on our roads, but we cannot ignore the plight of horses or their riders—it is too important.
ParlaMint-GB_2018-11-01-commons.u295	The hon. Gentleman raises an important issue, and the safety of horse riders is key. There is a debate on road safety on Monday afternoon, and the hon. Gentleman might wish to raise the issue then.
ParlaMint-GB_2018-11-01-commons.u296	I am delighted that next week we will be able to debate the centenary of the Armistice. In a similar manner, as we approach the last few weeks of the suffrage centenary, may we have a debate on the sacrifices made by those brave women in their fight for the right to vote? What more can we do to celebrate that important anniversary?
ParlaMint-GB_2018-11-01-commons.u297	My hon. Friend is right. This year has already seen some amazing commemorations and it is not over yet. Next week we welcome female MPs from around the world to a conference held in this Chamber, and 21 November is Ask Her to Stand Day in Parliament, which is organised by 50:50 Parliament. On the 100th anniversary of the Parliament (Qualification of Women Act) 1918, I hope that every Member will invite a “bloody difficult woman” from their constituency to Parliament, to see for themselves the difference that they could make through a career in public life.
ParlaMint-GB_2018-11-01-commons.u298	Many if not all of us in this place will have constituents or loved ones—perhaps even ourselves—who depend on the continued and reliable availability of lifesaving medicines. Given that the Prime Minister did not quite give a guarantee to my right hon. Friend the Member for Ross, Skye and Lochaber (Ian Blackford) on Wednesday that that will continue should we leave the European Union, will the Leader of the House find time for a debate to reassure the public that there is no danger of a loss of those medicines?
ParlaMint-GB_2018-11-01-commons.u299	The hon. Lady will be aware that the Government are taking every step necessary to deal with any eventuality, including the unlikely event of no deal, and to protect the supplies of medicines wherever we need to do so.
ParlaMint-GB_2018-11-01-commons.u300	May we have a debate on the huge contribution of unpaid carers and the support that councils up and down the country give them, which is currently under threat because of other priorities?
ParlaMint-GB_2018-11-01-commons.u301	I think that we all pay tribute to the amazing work done by unpaid carers. They need as much support as possible. My hon. Friend may wish to raise this issue directly with Ministers from the Ministry of Housing, Communities and Local Government at its next question time.
ParlaMint-GB_2018-11-01-commons.u302	Two months ago, the Government were told that they were no longer compliant with the Human Rights Act 1998 in relation to widowed parent’s allowance. When will we have a statement that will allow the 3.3 million cohabiting couples, should they lose a partner, to access that benefit for the benefit of their children at a time of great loss in the family?
ParlaMint-GB_2018-11-01-commons.u303	The hon. Lady raises a very important issue. I advise her to raise it in a parliamentary question direct to Ministers, as it does need a specific answer. She will be aware of the Civil Partnerships, Marriages and Deaths (Registration Etc.) Bill, promoted by my hon. Friend the Member for East Worthing and Shoreham (Tim Loughton), which aims to enable opposite sex civil partnerships and which I certainly hope will go some way to providing a solution for cohabiting couples.
ParlaMint-GB_2018-11-01-commons.u304	Figures from the Federation of Small Businesses in Scotland last week revealed that Moray has the highest share of women who are self-employed. May we have a debate on this issue, so my right hon. Friend can join me in congratulating outstanding businesswomen such as Pearl Hamilton, herself a member of the FSB Scotland policy group, and encourage more women in Moray and across the country to become self-employed?
ParlaMint-GB_2018-11-01-commons.u305	I join my hon. Friend in congratulating outstanding local businesswomen in Moray. Since 2010, UK female entrepreneurship has grown. There are now 1.2 million female-led small and medium-size businesses in the UK. According to Women’s Enterprise Scotland, women-led businesses contribute over £5 billion to the Scottish economy. However, I agree with Pearl that more needs to be done. My hon. Friend will be pleased to know that in September the Treasury launched a review of the barriers faced by women entrepreneurs.
ParlaMint-GB_2018-11-01-commons.u306	On Saturday 28 October, a gunman walked into the Tree of Life synagogue in Pittsburgh and opened fire, killing 11 innocent Jewish worshippers. This horrifying attack is part of a wider global trend of rising antisemitism and intolerance of freedom of religion or belief. In the UK alone, there has been a 40% increase in reported race and hate crime, which is mainly targeted towards Muslims and Jews. Will the Leader of the House agree to a statement on this very pressing issue?
ParlaMint-GB_2018-11-01-commons.u307	The hon. Gentleman raises an issue that has already been discussed here today. We all send our condolences to the families and friends of those who were attacked in such a barbaric way. There can be absolutely no excuse for any form of religious or racially motivated attack of this nature.
ParlaMint-GB_2018-11-01-commons.u308	More and more residents in my constituency are using mobile apps to communicate with neighbours to discuss security in their community. For instance, the Neighbourhood Watch app allows residents to pass on and receive news of crime with their local police force. May we have a debate on the benefits of mobile technology in promoting community safety and reducing neighbourhood crime and on how best we can support Neighbourhood Watch groups across the UK?
ParlaMint-GB_2018-11-01-commons.u309	My hon. Friend raises a really interesting idea. I am sure that a Neighbourhood Watch app would be of great interest right across the United Kingdom. I encourage all hon. Members to raise it locally, so they can see whether it would be of value in their communities.
ParlaMint-GB_2018-11-01-commons.u310	At a packed meeting this week of the all-party group on the post office network, we were told by Post Office Ltd that its flawed consultation is going to continue with the closure of post offices and that input from MPs would just be “noted”. May we have a proper debate in this House? It is not good enough that this public service is a back office of WHSmith. We need to hold a Minister of the Crown to account.
ParlaMint-GB_2018-11-01-commons.u311	I understand that the matter was discussed in yesterday’s Budget debate and there will be further opportunities today. As I made clear last week in business questions, the Post Office does not intend to reduce the number of available post offices. It is changing the way those resources work. For many communities, the post office provides more flexible opening hours and is therefore quite helpful in providing banking and post office services.
ParlaMint-GB_2018-11-01-commons.u312	In recent weeks, Govia Thameslink Railway has started allowing those who provide ATM machines at their stations to charge about £2. May we have a debate on charging for use of ATMs, as local communities often have no other choice?
ParlaMint-GB_2018-11-01-commons.u313	I am grateful to my hon. Friend for his question and I am really sorry to hear about this—I am sure that it is extremely frustrating for his commuters. This is, of course, a commercial matter between Govia Thameslink Railway, the ATM operator and the ATM network provider, but he might like to apply for an Adjournment debate to raise the issue more widely and see whether Transport Ministers can do anything more about it.
ParlaMint-GB_2018-11-01-commons.u314	Today, I am wearing a special poppy pin from Poppyscotland, with a poppy and a ship’s bell marking the loss of HMY Iolaire, when at least 201 men perished of the 283 on board off Stornoway at the end of world war one. It is being suitably marked in Scotland, as it should be. As we approach Remembrance Sunday, however, I wonder whether the Leader of the House can offer a statement from the Ministry of Defence on the loss of HMT Lancastria on 17 June 1940 off Saint-Nazaire in Brittany during world war two. With an estimated 4,000 dead, it is the largest single ship loss in UK maritime history, yet it has never been properly recognised for relatives to remember their loved ones. Will the Leader of the House look to help right this historic injustice?
ParlaMint-GB_2018-11-01-commons.u315	I completely sympathise with the hon. Gentleman’s desire to raise this issue here in the House. We have a full debate on Tuesday on the centenary of the Armistice. That would be an appropriate time to raise the issue of ships lost during the second world war; I am sure that would be in order and he can raise his questions directly then.
ParlaMint-GB_2018-11-01-commons.u316	This week, the National Football League has announced four regular season games to be played here next year—two at Wembley and two at Tottenham Hotspur’s ground. Could we have a statement next week from the Government on the development of American football in this country?
ParlaMint-GB_2018-11-01-commons.u317	I am thrilled to hear about this exciting, new and no doubt televisual opportunity. My hon. Friend will be aware that we have just had Digital, Culture, Media and Sport questions, and if he wants to raise it further, he should perhaps do so through a parliamentary question to Ministers.
ParlaMint-GB_2018-11-01-commons.u318	This weekend in Newport, we will, as always, be commemorating the Chartist uprising of 1839. We have had excellent events and exhibitions to commemorate women’s suffrage this year. What more can we do in the House to debate and commemorate the role of those in the Chartist movement who came before them and the ordinary people whose struggles and sacrifices, as in Newport, have shaped our democracy in this place?
ParlaMint-GB_2018-11-01-commons.u319	I am grateful to the hon. Lady for raising this issue, which is clearly very important not just in her constituency but across the country. If she attends the Commonwealth women’s conference, she might find the opportunity there to raise this issue, which I am sure will be of interest to women across the world.
ParlaMint-GB_2018-11-01-commons.u320	Following my question to the Prime Minister yesterday, has the Leader of the House seen my early-day motion 1754 about cutting cancer treatment travel costs for families with young children [That this House recognises the immense cost of travel for families driving to specialist hospitals for cancer treatment for their child; notes with concern that research carried out by children’s cancer charity, CLIC Sargent, found that thousands of families of children and young people with cancer across the UK are currently facing an average 60-mile round trip to get their child to life-saving treatment; further notes that the cost of these journeys can mount up to £180 a month when treatment is at its most intense; understands that these extortionate costs are plunging thousands of families into debt; and urges the Government to set up a Young Patient Travel Fund to assist struggling families with these unavoidable expenses.] Estimates by CLIC Sargent suggest that families are paying £180 a month to look after their children in taking them for treatment. May we have a debate on this subject?
ParlaMint-GB_2018-11-01-commons.u321	I am very sympathetic to my right hon. Friend’s question, and I certainly did hear the Prime Minister’s reply yesterday. It is vital that we do everything we can to support people, particularly children, who are suffering from cancers. He will be aware that the NHS’s long-term plan is looking at what more can be done to support children with cancer, and I encourage him to seek an answer directly from Ministers.
ParlaMint-GB_2018-11-01-commons.u322	Order. I am sorry, but as I foreshadowed some minutes ago, we are heavily time-constrained and must now move on.
ParlaMint-GB_2018-11-01-commons.u323	On a point of order, Mr Speaker. One of the biggest issues facing the UK economy is whether our financial services sector will have access to the EU once we leave next year. The degree of that access and the terms under which it takes place will have a significant impact on our tax base and employment. Following press reports this morning that a deal may have been agreed, can you advise us whether you have had any notice from the Treasury about a statement coming before this House with details of what that deal might entail?
ParlaMint-GB_2018-11-01-commons.u324	The short answer to the hon. Gentleman is that I have received no such indication or any approach on the matter, but he has put his point forcefully on the record and it will have been heard by those on the Treasury Bench. For now, we shall have to leave it there, but I am grateful to him for alerting us to his concerns.
ParlaMint-GB_2018-11-01-commons.u325	On a point of order, Mr Speaker. We were surprised and shocked to hear the announcement this morning that the Appledore shipyard in Devon is to close. It will mean the loss of 200 jobs. I wonder whether the Government will make a statement to the House on Monday about this very serious situation.
ParlaMint-GB_2018-11-01-commons.u326	That is a matter for the Government, although it is perfectly legitimate for the hon. Gentleman to raise the matter through me. I am not aware of any intention to make a statement, but we have until Monday for the Government to choose to do so, if they so wish—they may wish to do so, they may wish not to do so. He will be familiar with the procedures of the House that could be used if he wishes to ensure that the matter can be aired in a suitable fashion and at such length as he thinks appropriate in advance of Monday. He knows what options are open to him.
ParlaMint-GB_2018-11-01-commons.u327	On a point of order, Mr Speaker. With the Budget debate so heavily subscribed, as you said earlier today, would it not be possible for the Whips on both sides to do something useful for a change and push back the moment of interruption so that more Members can speak?
ParlaMint-GB_2018-11-01-commons.u328	The hon. Gentleman asks whether it would be possible. The short answer is that it would be unimaginable for such a thing to happen today, because the Order Paper is set for today, and there are good reasons, in the name of the protection of the House more widely, why the Order Paper cannot suddenly be messed around with by Executive fiat. It is not my normal practice to think it necessary to rush to the defence of the Whips. Let them defend themselves as best they can and with such resources as they have available to them. In advance of today—that is to say yesterday—in the knowledge or likely expectation of large demand, however, it would have been open to the Government to do that. But they did not, and we are where we are. The role of the Speaker is to take account of the different interests in the House and the level of concern about particular subjects and to operate accordingly. In that respect, am I much bothered about the views of the Whips on either side? No.
ParlaMint-GB_2018-11-01-commons.u329	On a point of order, Mr Speaker. On Monday at Home Office questions, I raised concerns about the UK visa and citizenship application service being operated by the private firm Sopra Steria. An immigration lawyer based in Newcastle has told me that, even though the new centre is opening on Monday, she cannot find out where it is. The Glasgow Scotland and Northern Ireland MP service has told me that it does not know where the Glasgow service is due to be located, and Sopra Steria has told my office that it has not been told anything about it and that it should be on the UK Visas and Immigration website, where I cannot find any information whatsoever. Have you had any indication from Home Office Ministers of a statement or written statement? If people are expecting to turn up at a service on Monday and nobody knows where it is, it seems an excessively high bar for a visa.
ParlaMint-GB_2018-11-01-commons.u330	Sadly, I cannot advise the hon. Lady. My strong advice to her is that she should contact a Home Office Minister today, either directly, if she can, or perhaps with the help of the Leader of the House. It would be a perfectly proper request for her to make of the Leader of the House, although it would be entirely up to the latter what she does in response. That would be the pragmatic course of action that I would commend to the hon. Lady.
ParlaMint-GB_2018-11-01-commons.u331	On a point of order, Mr Speaker. You will know that there is nothing more unsettling than being uncertain about the future of local government in one’s area. I notice on the Order Paper today that the Secretary of State for Housing, Communities and Local Government will be making a written statement on a local government update. As we are waiting in Buckinghamshire to hear the decision on whether we are to have a unitary authority or two authorities in Buckinghamshire, have you had any notification that the Secretary of State will come to the House to discuss this so-called local government update in relation to Buckinghamshire?
ParlaMint-GB_2018-11-01-commons.u332	I will answer the right hon. Lady as succinctly as I can but candidly. The short answer, in the name of transparency, is that I have had conversations with the Secretary of State about this matter purely in my capacity as a constituency Member of Parliament, which other Buckinghamshire Members may also have done, but if she is asking me whether I have been given any indication by the Secretary of State or anyone acting on his behalf that he intends to broach that matter in the Budget debate today, the answer is that I have had no such indication. In my experience in the House, the Secretary of State is among the most courteous and accommodating of Cabinet members, and if he was planning on saying something today, he would probably have told me and would certainly have told somebody as illustrious as the right hon. Lady.
ParlaMint-GB_2018-11-01-commons.u333	On a point of order, Mr Speaker. I apologise for not giving advance notice of my point of order. I am not normally here on a Thursday and the moment just took me. Lots of people have been in touch with me in the past week or so who wanted to speak to me, as either their local Member of Parliament, or a Member of Parliament about whether they can talk to MPs about non-disclosure agreements that they have signed. Can you give me some advice—I am happy for it to be given to me afterwards because I did not give notice of this point of order—about whether those agreements can stop people seeking advice from their Member of Parliament?
ParlaMint-GB_2018-11-01-commons.u334	I am very grateful to the hon. Lady for her point of order, which, as she acknowledges, is new to me. I had no notice of it whatsoever. I have a general principle as a serving Member of Parliament about the primacy that should be attached to the relationship between a constituent and his or her Member. However, I could not offer the hon. Lady off the top of my head a legally sound answer. Rather than pretend to know, I say to her that it is a very fair and reasonable point and I understand why she raises it. If she is content, I will reflect on it, take advice and revert to her as soon as I can.
ParlaMint-GB_2018-11-01-commons.u335	On a point of order, Mr Speaker. It has been suggested to me that Doorkeepers are not allowed to wear poppies. Will you advise me whether that is the case and whether, if Doorkeepers wish to wear poppies for remembrance, they are allowed to do so?
ParlaMint-GB_2018-11-01-commons.u336	I am advised that the normal arrangement is that Doorkeepers wear the poppy only on 11 November if that is a sitting day. Again, off the top of my head, if the hon. Gentleman is asking me whether I personally would have any objection to a Doorkeeper wearing a poppy in the way that Members of Parliament frequently do, for a period of days running up to 11 November, I would have none whatsoever. However, the difficulty in these cases—I hope the hon. Gentleman will understand me when I say this—is that there are normally procedures for determining particular courses of action: what members of staff are or are not entitled to do, and I have to have some respect for the fact that there may have been a process, a procedure or a discussion that led to a decision. Not everything comes across the Speaker’s desk. I certainly do not want to say anything that is critical of a member or group of members of the House staff, or a collective of members of staff who at some time made a decision on the matter. If the hon. Gentleman is asking me personally whether I think it reasonable for Doorkeepers to wear poppies in the run-up to 11 November, I do, but these are matters better dealt with outside the Chamber, rather than through points of order of which one has not had notice. I thank the hon. Gentleman and we will leave it there for now.
ParlaMint-GB_2018-11-01-commons.u337	I inform the House that I have selected the amendment in the name of the Leader of the Opposition. As I intimated earlier, approximately 77 Members want to speak and I know that the Front Benchers will do their best to tailor their contributions to take account of the extent of interest in the House.
ParlaMint-GB_2018-11-01-commons.u338	This week’s Budget was a Budget for our proud public services, jobs, housing, opportunity and enterprise, and a brighter future for every part of our country. Above all, it was a Budget dedicated to the British people and their tireless efforts to rebuild the economy and to bring it back from the brink and the chaos under the last Labour Government. Let us not forget what a mountain we have had to climb Thanks to the Labour party, we are running the highest budget deficit in peacetime, with the Government having to borrow £1 for every £4 they spent. It has been difficult to turn that around, but the families and communities that make up this great country can be confident that their hard work and the Government’s balanced, long-term approach have paid off.
ParlaMint-GB_2018-11-01-commons.u339	I strongly welcome the measures in the Budget, particularly those to help small shops on our high streets—they will transform our high streets. Will my right hon. Friend set out what the Budget and the Government are doing to ensure that we have more affordable and social housing?
ParlaMint-GB_2018-11-01-commons.u340	I am grateful to my right hon. Friend for his early intervention. I intend to cover several housing announcements, but he rightly underlines the Government’s commitment to build the homes that our country needs. We want councils, housing associations and the private sector to build, thereby meeting the challenges and problems that the broken housing market has presented. The Government are determined to fix that.
ParlaMint-GB_2018-11-01-commons.u341	If the Secretary of State is serious about house building, where is the funding in the Budget for the Bakerloo line extension, which would provide not only vital transport infrastructure for south-east London, but bring with it house building—private house building as well as 5,000 social housing homes and 2,000 genuinely affordable, London living rents?
ParlaMint-GB_2018-11-01-commons.u342	I am grateful to the hon. Gentleman for highlighting transport infrastructure. The additional £500 million that the Chancellor announced for the housing infrastructure fund is firmly about investing in that infrastructure to deliver the housing agenda. I will come on to an announcement in the Budget about London and investment in transport infrastructure. It may not be the one that the hon. Gentleman was looking for, but support for the docklands light railway, unlocking housing growth in that part of London, was an important announcement The results speak for themselves: the economy has been growing for eight years, over 3.3 million more people are in work, wages are growing at their fastest pace in almost a decade, the deficit is down, national debt is falling, and the number of households where nobody works is down by almost 1 million. Those are huge strides that we risk at our peril. It has taken eight years to secure those hard-won gains, and it is clear that the Labour party would undo all that good work The Government are not content with just clearing up Labour’s mess. We have to live within our means, but we have bigger ambitions. We want to build a country in which there is opportunity for all and no one is left behind.
ParlaMint-GB_2018-11-01-commons.u343	The Secretary of State repeated what the Chancellor said on Monday—that the wage growth enjoyed in the past year was the best in the decade. Does he accept that that is easy to say, given that the past decade has been the worst for wage growth in 210 years?
