ParlaMint-GB_2018-09-11-commons.u1	1. What fiscal steps he is taking to support the pubs sector.
ParlaMint-GB_2018-09-11-commons.u182	I beg to move, That this House has considered the recent escalation of violence in Yemen I thank you, Mr Speaker, for granting this urgent debate under Standing Order No. 24. With the United Nations Human Rights Council and General Assembly this month, we are approaching what could be a pivotal moment in the Yemen conflict. I am extremely grateful to colleagues from all parties who supported my application yesterday, and I am pleased that the House has this opportunity to consider the ongoing conflict in Yemen before the conference recess This has been an ugly conflict, with all warring parties committing atrocities. The Houthi attack on Riyadh’s main international airport last year was described by Human Rights Watch as “most likely a war crime”, while there have been widely documented civilian deaths attributed to the Saudi-led coalition. The Houthis have been accused of indiscriminate shelling of civilian areas, of besieging the city of Taiz and of using “wide area effect” munitions in built-up parts of Yemen. If confirmed, these acts would constitute violations of international humanitarian law. Our aim must be to ensure the protection of civilians, humanitarian workers and supplies, as well as working through diplomacy to bring all the parties together around the table to negotiate peace Tragically, August was one of the most violent months so far in this conflict. In the first nine days of August alone, it is estimated that more than 450 civilians lost their lives, including 131 children—nine days, 131 children! Three events, in particular, stand out: the coalition attack on 2 August on a market and hospital, which killed 55 and injured 130; a week later on 9 August, the coalition airstrike that hit a school bus full of children, killing 40 children and leaving 56 injured; then on 23 August, at least 22 children were killed trying to escape fighting in the port town of Hodeidah Abdul’s son was one of those who died in the 9 August school bus attack. The bus, he says, was returning from a picnic. As he searched through the wreckage of the bus to find the remnants of his son, he broke down and said, “I didn’t find any of his remains, not a finger, not a bone, not his skull—nothing.” The parents of those killed cannot even hold a proper funeral because of security concerns. This is the horrifying reality for the people of Yemen. Families are losing children every day To my knowledge, the Government have not condemned these August attacks. A statement by the Department for International Development and the Foreign and Commonwealth Office earlier this month expressed “serious concern” and welcomed the speed of the coalition’s investigation into the school bus airstrike. That is too soft. We need a strong, clear and firm condemnation by our Government of these attacks.
ParlaMint-GB_2018-09-11-commons.u183	I am grateful to my hon. Friend for securing this debate. I, too, was deeply troubled by the lack of a firm condemnation from the Government. Does he agree that simply asking the coalition to investigate its own misconduct is not enough, and does he understand the concern felt by many of our constituents about our complicity in these actions given our association with a coalition that has shown callous disregard for human life and human rights and dignity?
ParlaMint-GB_2018-09-11-commons.u184	I concur entirely with everything my hon. Friend has just said. On an independent investigation into these atrocities, time and again in debates on this issue in the House, the point has been made that we need a fully independent UN-led process that looks at all allegations by all sides—the Saudi-led coalition, the Houthis and others in this multifaceted conflict.
ParlaMint-GB_2018-09-11-commons.u185	On callous disregard, would the hon. Gentleman refer to the fact that the Houthis are launching drone boats against commercial shipping, recruiting child soldiers and killing those who will not join the military, and have sown 500,000 land mines, posing a mortal danger to innocent civilians? It is important in this debate to get the balance right.
ParlaMint-GB_2018-09-11-commons.u186	The hon. Gentleman is absolutely right, and I similarly concur with everything he has just said. I have already spoken about a number of the Houthi atrocities—the attack on Riyadh that Human Rights Watch described as almost certainly a war crime, and the siege of Taiz—and in a moment I will come on to the specific issue he has rightly drawn to the House’s attention, which is the engagement of child soldiers in the conflict by a number of different parties, but particularly, as he says, the Houthis.
ParlaMint-GB_2018-09-11-commons.u187	I completely concur with the points my hon. Friend has just made about the indiscriminate attacks by the Houthis, including the rocket attacks, the indiscriminate artillery shelling and many of the other issues. Does he share my frustration that, despite the Saudi Foreign Minister and the Saudi Government repeatedly promising to provide the results of the investigations of the Joint Incidents Assessment Team into these attacks over the past few years, we have not seen reports into all those incidents? That is why we need an independent UN investigation.
ParlaMint-GB_2018-09-11-commons.u188	I thank my hon. Friend, who has done fantastic work on this issue over a long time, and agree absolutely with his comments. Others in the debate may wish to enter into that aspect of the discussion.
ParlaMint-GB_2018-09-11-commons.u189	In opening this debate, the hon. Gentleman has, to a degree, drawn an equivalence between the behaviour of the Houthis and that of the coalition. The truth is that we are actually on the side of the coalition, which is unanimously endorsed by the UN Security Council. It is trying to suppress the Houthi rebellion, which is against the legally constituted Government of Yemen, and while we will rightly have serious criticisms of how the coalition is carrying out its operations, in the end it is our coalition, endorsed by the United Nations. It is important that it is held to account, but it is also important that we understand that it is trying to do the job of the international community.
ParlaMint-GB_2018-09-11-commons.u190	Let me make two points. First, international humanitarian law applies, whether the alleged violations are committed by a recognised Government or by a rebel force. In fact, surely we have a greater responsibility to condemn the actions of those whom the hon. Gentleman has described as our allies if they are acting—as has been widely alleged—in violation of international humanitarian law.
ParlaMint-GB_2018-09-11-commons.u191	Does my hon. Friend agree that it is unfortunate that we have not had a proper debate about our involvement in the coalition of which, as we have just heard, we are apparently part? It is particularly concerning that we continue to sell arms to the coalition, but do not investigate some of the atrocious issues that my hon. Friend and others have raised.
ParlaMint-GB_2018-09-11-commons.u192	My hon. Friend, who is a new Member, has already made his mark on both the International Development Committee—which I chair—and the Committees on Arms Export Controls, which is especially relevant to this debate. In a moment, I shall deal with the issue of our arms sales to members of the coalition, particularly Saudi Arabia.
ParlaMint-GB_2018-09-11-commons.u193	The hon. Gentleman is making an eloquent speech and is already presenting a very balanced argument about who is to blame. For me, however, the biggest cause for concern is the support for a Saudi-led coalition that has imposed an embargo—basically a siege—on the port of Hodeidah. Millions of civilians will be affected in respect of food and resources, which could lead to the largest famine that we have ever seen in the middle east.
ParlaMint-GB_2018-09-11-commons.u194	The hon. Gentleman, who is an active member of the International Development Committee, has anticipated the next part of my speech. In the light of that, I shall plough on.
ParlaMint-GB_2018-09-11-commons.u195	Just before he does so, will the hon. Gentleman give way?
ParlaMint-GB_2018-09-11-commons.u196	Of course.
ParlaMint-GB_2018-09-11-commons.u197	I am most grateful to the hon. Gentleman We have heard that we are supporting the “legitimate” regime in Yemen. Does the hon. Gentleman agree that President Hadi’s regime was elected on a ballot paper with only one name on it, that his term of office has long since expired and that he spends most of his time either in Riyadh or offshore, on an Emirati warship? He is one of the few Presidents who have to make a state visit to their own countries.
ParlaMint-GB_2018-09-11-commons.u198	The right hon. Gentleman has expressed that very well indeed, and I pay tribute to his sterling efforts on this issue. Unlike me, he has visited Yemen during the conflict. I think that what is really important—and I shall return to it in a moment—is for us to enable all the different parties to come together to undertake a peace process. That is surely something on which all of us can agree.
ParlaMint-GB_2018-09-11-commons.u199	Should not the answer to the right hon. Member for Sutton Coldfield (Mr Mitchell) have been that President Hadi’s is the legitimate Government because it is the Government recognised by the United Nations Security Council? Were that not the case, the position would be entirely different, but is that not the clear position, which is being flouted not only by the Houthis but, very deliberately—and I hope that my hon. Friend will come on to this—by the theocracy in Tehran?
ParlaMint-GB_2018-09-11-commons.u200	Clearly, the United Nations Security Council recognises that Government, but I think that the right hon. Member for Sutton Coldfield (Mr Mitchell) made a very fair point in assessing the level of support that President Hadi actually has now in Yemen. I think that if we are to secure a meaningful peace process for Yemen, that will be determined on the streets of Yemen, not in the corridors of New York and votes in the Security Council. My right hon. Friend was right in saying—as did the hon. Member for Reigate (Crispin Blunt)—that the Security Council’s position is to recognise the Hadi Government, but what he said does not contradict the powerful point made by the right hon. Gentleman that the level of popular support for that Government in Yemen is at least open to question, to put it very mildly Let me now deal with the position on Hodeidah, which was raised earlier. When the Minister responds, will he tell us what is the British Government’s view of the coalition strategy there? Does he agree with me that in the light of the attempts to restore a peace process, to which I shall return in a moment, the coalition should halt its military offensive in Hodeidah so that peace can be given a chance in Yemen The American Congress has taken a strong line on recent events, and I encourage the British Government to reflect on that. Lawmakers in Congress have signed amendments which would provide for greater scrutiny of US arms sales and would make it a condition of ongoing US support for the Saudi coalition that the Secretary of State should certify that the coalition is supporting peace talks, improving humanitarian access and reducing the number of innocent casualties. Todd Young, a Republican senator from Indiana, has said: “The actions of the Saudis in Yemen undercut our —American— “national security interests and our moral values—exacerbating the world’s largest humanitarian crisis.” May I invite the Minister, when he responds, to agree with Senator Young in that regard?
ParlaMint-GB_2018-09-11-commons.u201	Does my hon. Friend also share my concern about the fact that the head of the Export Control Organisation, which controls arms sales here in Britain, advised the Minister in 2017 that he thought it would be “prudent and cautious” to suspend licences, “given the gaps in knowledge” that the British have about the humanitarian results of use of our weapons? It is concerning, is it not, that the Minister overturned that official advice and continues to allow sales?
ParlaMint-GB_2018-09-11-commons.u202	I do share my hon. Friend’s concern. I hope that he will catch your eye later, Mr Speaker, so that he can elaborate on that important aspect I am pleased to see that the Chair of the Foreign Affairs Committee, the hon. Member for Tonbridge and Malling (Tom Tugendhat), is with us. Yesterday his Committee published an excellent report entitled “Global Britain: The Responsibility to Protect and Humanitarian Intervention”. It recommended that “The Government should update its protection of civilians in armed conflict strategy to include a focus on the use of explosive weapons in populated areas. As part of that strategy the Government should set out the measures it is taking to reduce the impact of these weapons on civilians and on the essential services that civilians rely on, such as healthcare facilities.” I urge the Minister to respond positively to that recommendation when the Government consider their response to it, and, in particular, its central relevance to the situation in Yemen The sharp increase in the civilian death toll must surely act as a reminder to us all that this conflict is far from over. August also saw the release of the report on the conflict by a United Nations panel of experts on Yemen. It is a damning report, and it is damning of all sides, saying that all the parties are “responsible for a violation of human rights”, including rape, torture, disappearances, and the “deprivation of the right to life” As we heard earlier from the hon. Member for Kettering (Mr Hollobone), children as young as eight are being conscripted into the conflict, in a clear violation of the convention on the rights of the child. It is estimated that in 2017 alone, 800 children were conscripted, mostly—as the hon. Gentleman rightly said—by the Houthis The experts’ report says that some of these horrendous atrocities could amount to war crimes and that the international community should “refrain from providing arms that could be used in the conflict” Spain recently cancelled an arms deal with Saudi Arabia over concerns that such weapons were being used in the war in Yemen. As I said earlier, there is also a live debate in the United States about American arms sales to the coalition. May I once again urge the Government to consider suspending the sale by the United Kingdom of arms that could be used in Yemen?
ParlaMint-GB_2018-09-11-commons.u203	rose—
ParlaMint-GB_2018-09-11-commons.u204	rose—
ParlaMint-GB_2018-09-11-commons.u205	rose—
ParlaMint-GB_2018-09-11-commons.u206	Three Members wish to intervene, and I will give way to them in the order in which I saw them.
ParlaMint-GB_2018-09-11-commons.u207	Does the hon. Gentleman agree that this debate is happening not just in Parliament, but throughout these islands? According to the findings of a YouGov poll, released this week, just one in 10 of the British public supports UK arms sales to Saudi Arabia, and one in six believes that they promote British values and interests. This is a dead duck, and almost no one in these islands believes in it. I hope that the Minister will say a bit more about that when he responds to the debate.
ParlaMint-GB_2018-09-11-commons.u208	My friend the hon. Gentleman expressed that point very well.
ParlaMint-GB_2018-09-11-commons.u209	In supporting my hon. Friend’s call for a suspension of arms sales pending an investigation, which the Leader of the Opposition—who is in the Chamber—and I in my previous capacity jointly made a couple of years ago, does my hon. Friend not agree that this is a matter of the law? I know that there has been a legal case, but criterion 2c says very clearly that a licence should not be granted “if there is a clear risk that the items might be used in the commission of a serious violation of international humanitarian law” Are not the incidents in August merely further proof that breaches of international humanitarian law are being committed by the coalition?
ParlaMint-GB_2018-09-11-commons.u210	I pay tribute to my right hon. Friend for the role he has played on this issue over a significant period of time, and I absolutely share his view. I know there are different views about this in the House, and we had a fundamental difference of view on this in the Committees on Arms Export Controls in the previous Parliament, but I share his view, and I fear that our approach to this as a country undermines our credibility as a force for good in the control of arms around the world.
ParlaMint-GB_2018-09-11-commons.u211	In my hon. Friend’s considerations in coming to that conclusion, does he give any weight to the tens of thousands of skilled aerospace workers, and their families and their communities, who depend on the military aircraft, let alone the whole aerospace supply chain which is vitally important for our industry? Should we not be thinking about them as well?
ParlaMint-GB_2018-09-11-commons.u212	My right hon. Friend is of course right to say that one of our considerations in having a policy on the defence industries must be the work for those who are in those industries, but we have not only signed up to a set of laws in our own country, in Europe and internationally on arms control. We have taken the lead in international forums, and those laws and rules have very little meaning if we are not prepared to enforce them, and enforce them consistently.
ParlaMint-GB_2018-09-11-commons.u213	As the hon. Gentleman said so graphically, we have heard different views from different sides in this difficult issue. Does he agree that we operate one of the most robust arms control regimes in the world at the moment, and would it not be sensible to wait for the conclusion of the judicial process in the UK? The matter is being very carefully considered by the courts, and it was in the divisional court last year, which found for the Government.
ParlaMint-GB_2018-09-11-commons.u214	I am of course aware of the court case, and the hon. Lady is right that that process will move forward. She is right, too, that on paper we have some of the strongest and most robust controls in the world, but the test is in the reality of what we do, and our country has not been turning down licences for the members of the Saudi-led coalition, unlike other countries. That raises concern about the practice, as distinct from the theory, of our robust approach to arms control in this country.
ParlaMint-GB_2018-09-11-commons.u215	I thank the hon. Gentleman for giving way and for calling this debate. Does he not agree that in considering our support for the coalition, it is important to understand that it is also fighting against al-Qaeda in the Arabian Peninsula? Should we not commend the efforts of Emirati troops who have liberated Mukalla, which is a common security benefit for us all?
ParlaMint-GB_2018-09-11-commons.u216	The hon. Gentleman makes a fair point. This conflict is multifaceted; it is not simply two-sided. AQAP is a security challenge that predates the Yemen conflict and there is a further element to which I will refer in a moment: the north-south element of this conflict. However, all of us will of course agree that the defeat of al-Qaeda is of absolutely crucial importance.
ParlaMint-GB_2018-09-11-commons.u217	Is this not at the heart of the complications of this conflict: on some occasions we have found, to our horror, the coalition engaging in battle with the Houthis and supported by ISIL and al-Qaeda, the very people who, as my hon. Friend the Member for Aldershot (Leo Docherty) says, we profoundly oppose?
ParlaMint-GB_2018-09-11-commons.u218	The right hon. Gentleman expresses his point very powerfully The mandate for the UN panel of experts to continue its work is one of the topics being considered at the UN Human Rights Council meeting which started this week. It is vitally important that the work of this group is able to continue so that it can ensure that all potential violations of international humanitarian or human rights law by any side in this conflict are investigated thoroughly by a neutral panel. There is serious concern that, at the HRC, Saudi Arabia and the UAE might try to block the extension of the panel of experts’ mandate. Will the Minister say when he responds to the debate whether the UK Government believe that the coalition may well try to do that, and if so how will the UK work to ensure that this vital body can continue? In particular, will he confirm to the House today that the UK will give its support to the work of the panel when this issue is debated in Geneva Also in Geneva, the UN special envoy was due to hold the first round of consultation talks on peace in Yemen last week. The Houthi delegation failed to turn up, citing claims that they were not guaranteed safe return to Yemen once the talks were finished. Geneva has the potential to be a major step forward for a peaceful resolution to the conflict. Martin Griffiths, the UN special envoy, has said that this latest impasse does not mean that the talks are dead, and he is visiting Sana’a to meet Houthi leaders to agree a new timetable for talks.
ParlaMint-GB_2018-09-11-commons.u219	Why does the hon. Gentleman think the Houthis did not turn up to that meeting? The demands they made show they were not serious about attending in the first place.
ParlaMint-GB_2018-09-11-commons.u220	The hon. Gentleman anticipates what I was going to say next. I was going to ask the Minister the question the hon. Gentleman has asked me, on the basis that the Minister is probably rather better briefed on these matters than I am. So I ask the Minister for the Government’s assessment of the reasons for the non-attendance of the Houthis. What will the UK do to help facilitate their participation so that the talks can get under way as soon as possible?
ParlaMint-GB_2018-09-11-commons.u221	I commend my hon. Friend on his excellent speech It is deeply disappointing that the peace talks did not proceed, but does my hon. Friend not agree that here is an opportunity for our Government to call together the Quint in London in order to keep the peace process going? We simply cannot wait for Martin Griffiths; we need to take the initiative and we need to hold talks here. President Macron managed to do it in Paris; we should be doing this in London.
ParlaMint-GB_2018-09-11-commons.u222	I pay tribute to my right hon. Friend’s work, not least with the all-party group on Yemen. Again, he has anticipated the next part of my speech. A meeting of the Quint would be a very welcome move by the UK, and of course we hold the pen on Yemen in the UN Security Council, which places a responsibility on us to increase our efforts to bring the parties around the table and seek a peaceful solution.
ParlaMint-GB_2018-09-11-commons.u223	It is my understanding from speaking to contacts in the region that some of the Houthi leadership did in fact want to attend those talks. Does my hon. Friend agree that we must make space for those talks to proceed and for the work of Martin Griffiths, that we must look at other options, as my right hon. Friend the Member for Leicester East (Keith Vaz) has just suggested, and that the worst thing that can happen at this stage is an all-out assault on Hodeidah, both in terms of the cost in lives and also the potential for undermining the possibility of peace talks?
ParlaMint-GB_2018-09-11-commons.u224	I absolutely agree with both parts of what my hon. Friend says. That point illustrates once again the complexity of the situation. None of us has any illusions about the Houthis, and none of us, I think, has any illusions about Iran and its role, but if we are to get a peace process going, we are going to have to engage with people, including some pretty unsavoury people; we will have to do that if there is to be any chance of bringing peace to Yemen. I also urge the Government to seek an immediate ceasefire so that we can work constructively with the special envoy towards peace.
ParlaMint-GB_2018-09-11-commons.u225	The hon. Gentleman has, for the first time in his speech I think, mentioned the “I” word: Iran. How are we going to achieve peace in this situation unless we involve Iran at the beginning and stop the massive export of weapons from Iran to the Houthis?
ParlaMint-GB_2018-09-11-commons.u226	The hon. Gentleman is absolutely right to say that Iran needs to be fully engaged in this process. The war is often described as a proxy war between Iran and Saudi Arabia, but that is quite simplistic. The situation is far more complicated than that, although that is definitely one of the dimensions. We know of the damage that has been done by Iranian influence in the Syrian conflict, so there are no illusions at all about Iran I have sought to highlight the atrocities of the Houthis as well as those of the Saudi-led coalition, because it is incredibly important to take an accurate and balanced approach to these questions. Those atrocities have contributed to the scale of the humanitarian catastrophe. The statistics are shocking: 22 million people in Yemen are in need of humanitarian protection and assistance, and half of them are children. That is actually 4 million more children than was the case six months ago. I checked that figure when I was preparing for this debate, because it sounded so dramatic: 11 million children are now affected Famine, the denial of access to goods, the destruction of medical and educational infrastructure and mass outbreaks of cholera and diphtheria are the daily reality of life for the people of Yemen. Petrol, a key commodity, has more than doubled in price, which is severely debilitating transport and healthcare. The transport issue is hugely important; if goods and aid cannot be moved throughout the country, people will clearly continue to suffer on the edge of starvation Let me praise the Department for International Development, which has a positive story to tell when it comes to Yemen. Since the beginning of the conflict, DFID has allocated more than £400 million to help to relieve the humanitarian crisis. That money has helped more than 1 million children and pregnant women to get food and medicine, supported children through education and reached around 650,000 people through water, sanitation and hygiene programmes. That work would not be possible without the dedication and skill of those delivering those programmes on the ground. Those aid workers put themselves in great personal danger to help to relieve the suffering of some of the most vulnerable people in the world, and it is our duty to ensure that they have the resources they need to carry out their work and to do so in as safe an environment as possible The UN group of experts highlights the lack of proportionality in the use of blockades across Yemen, which it says “have had widespread and devastating effects on the civilian population” This is further deepening the humanitarian crisis on the ground. Civil servants in Yemen have not been paid for years, and the rial, Yemen’s national currency, has lost more than half its value since the beginning of the war. Over recent weeks, citizens have taken to the streets of Aden to protest against the ongoing economic turmoil in their country. The situation could represent a turning point in the south, where instability threatens to spill over and create more conflict between the Hadi Government and the southern separatist movement When this conflict is eventually resolved, there is a huge risk of leaving behind a lost generation of young people whose lives have been ravaged by conflict. Will the Minister tell us what the British Government will do, when the conflict ends, to support rebuilding in Yemen? The time is surely ripe for real, meaningful action. With the UN Human Rights Council and the General Assembly meeting this month, the UK and other parties have an opportunity to pressure the warring sides to get back round the negotiating table. For too long now, we have seen atrocities in Yemen, seemingly without an end in sight. We have an opportunity to act now to prevent further bloodshed, to ensure that civilians and humanitarian aid are protected and to achieve an immediate ceasefire and the resumption of peace talks. Rebuilding Yemen after this conflict will be a huge task, requiring humanitarian assistance, development aid and diplomacy. I urge the Minister today to affirm the UK’s long-term commitment to Yemen and its people.
ParlaMint-GB_2018-09-11-commons.u227	I draw the House’s attention to my outside interests, which are clearly registered in the House of Commons Register of Members’ Financial Interests. I congratulate the hon. Member for Liverpool, West Derby (Stephen Twigg) on securing this debate. The House has shown on no less than three occasions, when you, Mr Speaker, have granted an emergency debate, the deep concern that is felt in all parts of the House about the humanitarian consequences of this dreadful conflict The arrival of a new Foreign Secretary is perhaps a good time to take stock of Britain’s position on this matter. Our position very much affects the role we play at the United Nations. As we have heard, this issue is increasingly of salience in a Britain dominated by the Brexit debate, and it is increasingly a matter of concern to our constituents. I do not expect to carry everyone in the House with my remarks today, but the one thing that ought to be able to unite everyone here is the importance of moving from conflict to a ceasefire and negotiations. These conflicts always end either by outright military victory—it is fairly clear that that is not going to happen—or through a ceasefire and negotiation I want to look briefly at the position of the three protagonists, starting with the Saudi position. When the Crown Prince came to Britain, I think we were all delighted to see him here. We all thought that he was a breath of fresh air as a result of the changes he was seeking to bring about domestically in his country. It was equally clear, however, that he had a complete blind spot when it came to Yemen. I noticed that there were advertisements for the extraordinary amount of aid that Saudi was giving to Yemen—it is true that it is giving that country an extraordinary amount, as indeed are we—but it was not pointed out that this was basically the equivalent of punching someone in the face and offering them an Elastoplast afterwards. Night after night, the bombing of innocent Yemeni citizens continues, and there is a complete blind spot in that regard. It would be worth while for those leading this war to study closely what happened to America during the Vietnam war Let us consider what is happening in Hodeida. In the past few days, and overnight, the fighting there has intensified, and large numbers of United Nations stores and warehouses are now caught up adjacent to where the fighting is taking place. The UN is bravely trying to take those stores into Hodeida. But just imagine what would happen if the coalition were able to invest Hodeida. Imagine the result of that entirely crackers, bonkers strategy. There is a small number of soldiers on the ground and some naval assets offshore attacking Hodeida, and an almost equivalent number of Houthi fighters dug in in the city resisting them, as well as a population of between 300,000 and 400,000 people. If that crazy strategy were to work, and the coalition were able to take Hodeida, it would then hold the port through which more than 80% of all the food required in Yemen comes in. It would also be responsible for looking after the 300,000-plus citizens there, who would have had their infrastructure smashed and who would be without food and the basic sustenance of life.
ParlaMint-GB_2018-09-11-commons.u228	My right hon. Friend has served in uniform, as have I, and he knows the complexities of trying to run states that have collapsed. Does he remember, as I do, those moments in Basra after the invasion of Iraq in 2003? Many of us were on the streets, looking around and trying to establish which way was up, and the locals would come up to us and ask us things. Someone responded by saying, “You must ask the Government about that,” to which the response was, “You are the Government. You have removed the Government and now you are the Government.” That is the problem that our Emirati and Saudi friends could face if they continue with this absurd strategy.
ParlaMint-GB_2018-09-11-commons.u229	My hon. Friend is absolutely right. He brings to this debate his thoughts and experiences as the Chairman of the Select Committee, and he has served extremely bravely in combat zones in the past I am using Hodeida as just one example—
ParlaMint-GB_2018-09-11-commons.u230	Will the right hon. Gentleman give way?
ParlaMint-GB_2018-09-11-commons.u231	I will give way to the right hon. Gentleman, my neighbour, in just a moment. I just want to finish this point. I am only using Hodeidah as one example of this crackers, crazy strategy whereby the Saudis are, to use my words and the words of the Minister, on a hiding to nothing. They are going to be humiliated. As for the Shia-Sunni divide, as referred to by the hon. Member for Liverpool, West Derby, who started this debate so well, the Iranians are scoring a cheap victory and will be laughing up their sleeves, and the Saudis are playing into the Iranians’ hands. That is what I wanted to say about the Saudi position, so I will now give way to the right hon. Member for Warley (John Spellar), who is my constituency neighbour.
ParlaMint-GB_2018-09-11-commons.u232	I thank the right hon. Gentleman for giving way. Will he address whether the Houthis are using their position to steal the food that is being brought in? They are using food as a weapon by depriving anyone who does not support them and making huge sums of money to finance their vicious rebellion.
ParlaMint-GB_2018-09-11-commons.u233	The right hon. Gentleman may well be right. There are no good guys in this appalling conflict. I am certainly not standing up for the Houthis, but he needs to address the military position that I have described, which is why the Saudis are on such a hiding to nothing. All that I will say on the Houthis is that I met President al-Sammad on my visit to Yemen, and it was probably a mistake for the Saudis to kill him in an air attack when he was one of the doves among the Houthis who might have assisted in the negotiations that I was describing.
ParlaMint-GB_2018-09-11-commons.u234	I am afraid that my right hon. Friend cannot get away from the fact that there is a perfectly sensible alternative analysis here. Hodeidah is the vital ground in this conflict, and it is the control of Hodeidah that finances the Houthi rebellion through all that it rakes off from the international aid coming through the port. If Hodeidah is secured by the coalition, the conflict will be on the way to being sorted. It is our responsibility to help the coalition to deliver that objective. There have been endless opportunities for a political process, and the Houthis simply did not turn up to the latest one, which was the last of a long list of efforts.
ParlaMint-GB_2018-09-11-commons.u235	My hon. Friend is a distinguished former soldier, but he is not addressing the military aspects of how that point would be reached. Even if he is right that whoever controls Hodeidah is in a strong position, the coalition will nevertheless have to take and look after Hodeidah, and my submission is that there is no chance of it being able to do so Turning to the Yemeni position, the country is in complete and total chaos. A famine looms, and I described to the House in a previous emergency debate what it is like watching a child first starve and then die as a result of famine. This is a man-made famine, and we are part of the people who are creating it. The infrastructure that has been destroyed by the coalition and the advancement of medieval diseases that have been eradicated throughout most of the world underline that point. Bombing by the Saudi air force happens night after night, killing innocent civilians. The people of Yemen know that the UK and the US are involved. It is written all over the walls in Sa’dah, which I had the chance to visit. They know who is to blame. Equally, British-led groups are also trying to clear mines, which shows the confusion. All that means that a younger generation of Yemenis see what is happening and hundreds and thousands of them are prey to the immoral advances of terrorists. They are prey to those who tell them who is causing the situation and then radicalise them Wanton damage is so prevalent in Yemen. I went to the location of the funeral where so many innocent mourners were killed by the Saudi air force. We heard about the murder of innocent children dressed in the blue colour of UNICEF while out on a picnic—40 of them killed in what has quite rightly been described as a war crime.
ParlaMint-GB_2018-09-11-commons.u236	The right hon. Gentleman is giving an excellent speech, and I completely agree with him. I am sure that, like me and others, he has had contact with senior military officials in the Saudi Government, so does he share my frustration that, despite repeatedly discussing avoiding targeting humanitarians, hospitals, schools and civilians out in the open as he described, they keep on making these terrible mistakes? We are so fearful of an all-out assault on Hodeidah because they have shown repeatedly that they cannot avoid killing civilians.
ParlaMint-GB_2018-09-11-commons.u237	The hon. Gentleman makes a good point, but my point is that it would be hard to find a more eloquent and effective recruiting sergeant for those who wish to do us ill than the policy that is being pursued by our Government Finally, I come to the position of the British Government. We hold the pen on Yemen at the United Nations, and we know that a presidential statement, drafted by Britain, had to be suppressed by the Norwegians, the Russians and the Swedes. We are increasingly nervous—let us not beat about the bush—about a diminution of Britain’s influence at the United Nations. My submission to the Government is that the UK needs to move from outright support through the coalition for our friends in Saudi Arabia to a much more neutral position, using our moral authority not to protect the Saudis, but to save them from the ignominious fate that so clearly awaits them in Yemen.
ParlaMint-GB_2018-09-11-commons.u238	The right hon. Gentleman is being generous with his time and is making some powerful points. Will he join me in urging our Government to support the UN High Commissioner for Human Rights, who said last week: “It is crucial that there be…international and independent investigations into all allegations of violations of international humanitarian law” We know that such violations are happening, and we need an international investigation. Will the British Government please do that?
ParlaMint-GB_2018-09-11-commons.u239	The hon. Lady is right on that point, not because a Saudi-led investigation will necessarily be false, but it simply will not be trusted. If I may use a wholly inappropriate analogy, people will think that the Saudis are marking their own homework. It would therefore be much better to have an international investigation The Minister agrees that the Saudis are on a hiding to nothing, so surely it is the duty of the Saudis’ friends and allies to move them to a better place. Some time ago, the British Government took a judgment through the National Security Council that our economic and security relationship with Saudi Arabia took precedence over everything else. I believe that that judgment is now fundamentally flawed, because both our economic and security relationships are being greatly damaged by what is happening in Yemen In trying to persuade the Government that we need to move to a position of much greater neutrality, using our power and influence at the United Nations, I hope that the Minister, who understands such things, will reiterate today the importance of supporting without qualification the work of Martin Griffiths, a distinguished British international civil servant, as he tries to move this whole awful experience from fighting to a ceasefire and then to talks. My understanding is that the reason why the Houthis were not in Geneva was that there were no adequate guarantees of safe passage, and Martin Griffiths has specifically said that he wishes to address that point and ensure that the next round of talks, to which he is absolutely committed, are more inclusive and therefore more comprehensive The important thing is that we move to a ceasefire and to talks. The talks will be difficult, halting and slow, but as the extremely impressive work of the UN group of eminent experts on Yemen has so clearly stated, the present position is the worst of all worlds for all involved. We must now get a ceasefire and move to talks, which are the route through to the end of this dreadful catastrophe.
