ParlaMint-GB_2018-05-21-commons.u1	1. What steps she is taking to implement the 2017 Budget changes to universal credit.
ParlaMint-GB_2018-05-21-commons.u161	I am glad the hon. Gentleman asked that question, because this was totally misreported in The Times today; we are not going to close down any organisation at all that is supporting disabled people into work. I have been in ongoing discussions with the sector to make sure not only that we have the existing scheme, but that it is enhanced and mainstreamed into a new, improved programme.
ParlaMint-GB_2018-05-21-commons.u162	May I ask the relevant Minister whether I have got this clear, because I thought that this understanding was given to Parliament: where someone appeals against the loss of their personal independence payment, their Motability car will not be taken away from them until the decision is made by the independent tribunal? Have I got that right?
ParlaMint-GB_2018-05-21-commons.u163	I thank my hon. Friend for his question. If somebody has appealed their PIP decision, they can keep their car.
ParlaMint-GB_2018-05-21-commons.u164	Unemployment in my constituency now stands at 7.1%, which represents an increase of 1,200 on this time last year. What is the Department doing to support people into decent, well-paid and secure employment?
ParlaMint-GB_2018-05-21-commons.u165	As the hon. Gentleman knows, we have record levels of employment across the country. There are more than 800,000 vacancies in the economy and help is available at jobcentres, with one-to-one personalised support.
ParlaMint-GB_2018-05-21-commons.u166	Will the Minister consider changing how budgeting loans are administered, as they currently do not take into account personal debt and so, ironically, can make budgeting harder?
ParlaMint-GB_2018-05-21-commons.u167	Budgeting loans are indeed available, but under universal credit we also have budgeting advances. If my hon. Friend has any specific cases she wishes to raise, I would be happy to talk to her about them.
ParlaMint-GB_2018-05-21-commons.u168	Constituents who cannot afford a driving licence or a passport cannot do an initial online verification of their universal credit claim, meaning that they have to wait up to two weeks in order to be seen for a personal appointment. That is driving people to see loan sharks in some cases, so will the Minister look at it?
ParlaMint-GB_2018-05-21-commons.u169	I will look at it, but if the hon. Lady would come forward with specific cases, that would make it easier.
ParlaMint-GB_2018-05-21-commons.u170	Between 2010 and 2017, the basic state pension rate rose by £1,250. What will the Minister do to ensure that pensioners in my constituency continue to be protected and looked after by this Government?
ParlaMint-GB_2018-05-21-commons.u171	My hon. Friend is right to say that the state pension has been enhanced and increased; the new state pension has gone up to £164-plus. There is fantastically good news on auto-enrolment in her constituency, and I will write to her with the specific details.
ParlaMint-GB_2018-05-21-commons.u172	My constituent was called back early for a PIP assessment, which made no reference to the fact that he has an inoperable brain tumour, which has led to his having intractable epilepsy and Parkinson’s disease. Can the Minister explain why he was recalled for an assessment?
ParlaMint-GB_2018-05-21-commons.u173	I am sure the whole House will appreciate that without looking at the details of the hon. Gentleman’s constituent’s case, it is impossible to do that. As I have explained, the process is designed to treat people with compassion, accurately looking at the medical evidence that it is presented, alongside their assessment of their conditions.
ParlaMint-GB_2018-05-21-commons.u174	My hon. Friend the pensions Minister is doing a lot of work on auto-enrolment for the self-employed. Has he looked specifically at the so-called worker category, in which a person might do their self-employed work for one large firm that could, with willing and regulatory help, roll them into its employee scheme?
ParlaMint-GB_2018-05-21-commons.u175	I would be delighted to take up that specific example and will definitely take it forward. I remind my hon. Friend that 12,000 people have been auto-enrolled in his constituency.
ParlaMint-GB_2018-05-21-commons.u176	The latest quarterly figures show that in Coventry, 81% of PIP, 76% of ESA, 83% of income support and 100% of jobseeker’s allowance appeals heard by Her Majesty’s Courts and Tribunals Service were decided in favour of the appellant. Does the Minister accept that the high proportion of successful appeals highlights the flawed nature of the DWP’s decision-making processes?
ParlaMint-GB_2018-05-21-commons.u177	It is really important to put all those numbers in context. Let us be absolutely clear: we want to make sure that we make the right decision the first time and we are working really hard to make sure that that is the case. We have recently recruited 150 presenting officers, who now work in the courts, providing invaluable feedback so that we can improve the situation.
ParlaMint-GB_2018-05-21-commons.u178	I recently had the privilege of attending a Disability Confident event in Ayrshire. What more can the Government do to encourage or incentivise employers to invest in disabled young talent?
ParlaMint-GB_2018-05-21-commons.u179	I am grateful to my hon. Friend for leading a Disability Confident event. Disability Confident is growing from strength to strength. The most recent numbers show that more than 6,500 employers have signed up. Of the largest companies in the country, more than a quarter of the workforce is covered. Each year, we see more people with disabilities go into work. We are utterly determined to close the disability employment gap and get a million more people with disabilities into work.
ParlaMint-GB_2018-05-21-commons.u180	Finally, I call Ms Angela Eagle.
ParlaMint-GB_2018-05-21-commons.u181	My constituent of working age suffered two strokes and has now been diagnosed as suffering from vascular dementia. He has been found to be fit for work, even though he has major problems with his short-term memory. He will have to appeal the decision and faces a wait of up to 30 weeks before he gets any kind of hearing or has his benefit restored. How can this possibly be a system that is working or acceptable?
ParlaMint-GB_2018-05-21-commons.u182	I would of course be more than happy to meet the hon. Lady to go through the specifics of that case.
ParlaMint-GB_2018-05-21-commons.u183	On a point of order, Mr Speaker.
ParlaMint-GB_2018-05-21-commons.u184	The hon. Gentleman wishes to raise a point of order that flows from his question, and therefore exceptionally I will take it now.
ParlaMint-GB_2018-05-21-commons.u185	Earlier, in response to my question, the Under-Secretary of State for Work and Pensions, the hon. Member for North West Hampshire (Kit Malthouse) indicated that I said one thing during the coalition and another thing post-coalition on the issue of rent payments to private landlords. The Under-Secretary was not a Member of Parliament at that time, so he will not know that I am on the record, both as a member of the Work and Pensions Committee and with the then Secretary of State, as having consistently opposed throughout the coalition the idea of paying direct payments to tenants and not to private sector landlords.
ParlaMint-GB_2018-05-21-commons.u186	I am extraordinarily grateful to the hon. Gentleman for his perspicacity in raising the point of order, and for his courtesy in giving me advance notice of the gravamen of it. If everybody in the Chamber was not previously conscious of the particular stance taken on this matter by the hon. Gentleman over a sustained period, they all are now. I do not cavil at the hon. Gentleman, but in fairness to the Minister—this is why I think no response is required—my sense of the subject was that the Minister’s critique was collective, rather than applying exclusively or in particular to the hon. Gentleman. I hope that that reassures him. He can reassure the good people of Eastbourne that he has volunteered his views with force and alacrity, and they are on the record.
ParlaMint-GB_2018-05-21-commons.u187	(Urgent Question): To ask the Secretary of State for Housing, Communities and Local Government if he will make a statement on the action taken and planned by the Government with respect to residents in tower blocks with dangerous cladding, following the Grenfell Tower fire.
ParlaMint-GB_2018-05-21-commons.u188	We are remembering those who lost their lives in the tragedy at Grenfell Tower today as the public inquiry opens. I know this will be an incredibly difficult time for all those affected. The whole House will join me, I am sure, in sending them our thoughts and prayers. I am determined to ensure that no community suffers again as they have done To that end, in the days since the fire, my Department has worked with fire and rescue services, local authorities and landlords to identify high-rise buildings with unsafe cladding; to ensure that interim measures are in place to reduce risks; and to give building owners clear advice about what they need to do over the longer term to make buildings safe. Remediation work has started on two thirds of buildings in the social housing sector, and we have called on building owners in the private sector to follow the example set by the social sector and not pass on costs to leaseholders. I will be holding the first roundtable with representatives from the private sector this week and repeat what I said last week: if the industry does not step up, I am not ruling anything out. My predecessor and the then Home Secretary asked Dame Judith Hackitt to carry out an independent review of building regulations and fire safety. I welcomed her final comprehensive report last week, which called for major reform. Having listened carefully to the arguments for banning combustible materials in cladding systems on high-rise residential buildings, the Government are minded to agree and will consult accordingly In addition, the Prime Minister announced that the Government will fully fund the removal and replacement of potentially dangerous aluminium composite material—ACM—cladding on buildings owned by social landlords, with costs estimated at £400 million. I will be writing to social sector landlords this week setting out more detail It is vital that people living in buildings like Grenfell Tower are safe and feel safe. I am confident that the work we are undertaking and the important reforms triggered by the Hackitt review will help to restore confidence and provide the legacy that the Grenfell communities need and deserve.
ParlaMint-GB_2018-05-21-commons.u189	As the Secretary of State has said, on this first day of the commemoration hearings at the Grenfell Tower inquiry, we remember the 72 people who lost their lives. We will not forget our special duty as Members of Parliament to do right by them, so it is a matter of deep regret that I must drag Ministers to Parliament again to explain their response to the Grenfell Tower disaster The Government have been off the pace at every stage since the fire. More than eleven months on from Grenfell, how is it that two thirds of Grenfell survivors are still in hotels or temporary accommodation? How is it that the Government still do not know how many private tower blocks are unsafe? How is it that only seven out of more than 300 tower blocks across the country with the same Grenfell-style cladding have had it removed and replaced? How can it be that Ministers offered money to councils and housing association landlords for re-cladding costs and finally agreed to consult on a combustible cladding ban only last week Many people will have learned only yesterday that the London fire service has fundamentally changed its safety advice to residents in blocks still wrapped with the same Grenfell-style cladding. In place of “stay put” if a fire breaks out—strong advice given for decades to all residents in all tower blocks across the country, including those in Grenfell Tower—the London fire brigade now says “get out” directly. Do all fire brigades now give the same advice? Do all residents in all blocks with unsafe cladding know that? I say to the Minister that more action, more clarity and more urgency are required from the Government When will the Secretary of State publish a clear national statement on evacuation policy? When will he confirm when all tower blocks be re-clad? When will he get sprinklers retrofitted—the Opposition and fire chiefs have argued that they are needed? When will he make public the location, ownership and fire safety status of all high-rise blocks at risk? The information is held by the Government, but Ministers are keeping it secret. We know that the Secretary of State knows—he is the new Secretary of State—that more action and greater urgency is needed. When will we get it?
ParlaMint-GB_2018-05-21-commons.u190	May I underline what I said in my opening comments about the importance of remembering and reflecting on the very moving testimony that has already been provided in the public inquiry? It is right that all those affected are able to share their memories of those who lost their lives and, indeed, that there should be no time limit on that process. We all need to reflect extremely carefully on the testimony given The right hon. Gentleman raises many points, a number of which we dealt with last week during the debates on Grenfell Tower and during my statement on the Hackitt report. He knows that I have been very clear about wanting to speed up the process, which is why I said last week that it is not a question of waiting for the final recommendations to be fully implemented, and it is why I took the steps that I did in relation to combustible cladding and other issues such as the use of desktop studies. I have outlined that although the consultation on desktop studies closes later this week, I will obviously not hesitate to ban them if they cannot be used safely The right hon. Gentleman highlights the advice from the fire authorities. Obviously, we are guided by the National Fire Chiefs Council on these matters, and the London fire brigade has given its advice in that regard. He mentions sprinklers. I would underline the points that I made last week—that is, we have given certain advice regarding the provision of sprinklers on new blocks of over 30 metres in height, but for existing buildings it is for the building owner to decide. As Dame Judith Hackitt rightly pointed out in her report, no single fire safety measure, including sprinklers, can be seen as a panacea I have already outlined the further steps that we are taking regarding remediation. We gave further instructions to local authorities last week to further empower them to take action in respect of identifying buildings. There is no lack of urgency on my part or on the part of my Department when it comes to moving forward with addressing these issues and underlining and recognising the serious concerns that have been expressed. Equally, I have underlined our desire to do the right thing in relation to fire safety. We will be taking the actions that I outlined last week and underlined again today to ensure that we are following this through and pursuing it rigorously.
ParlaMint-GB_2018-05-21-commons.u191	Order. There is considerable interest in this matter, as I would have anticipated, and which I shall endeavour to accommodate, but it might help the House if I advise colleagues that I do not want to run this urgent question at great length. There is another to follow; there will be many further opportunities to debate Grenfell; and of course we have other important business of which to treat. Succinctness personified would be appreciated and could be aided by the right hon. Member for New Forest West (Sir Desmond Swayne) if he were standing, but it will not be because he is not.
ParlaMint-GB_2018-05-21-commons.u192	rose—
ParlaMint-GB_2018-05-21-commons.u193	But it will be, because he now is.
ParlaMint-GB_2018-05-21-commons.u194	What can be done to encourage developers to follow the example of Barratt?
ParlaMint-GB_2018-05-21-commons.u195	My right hon. Friend is right to highlight that Barratt has done the right thing by saying that it will not be passing costs on to leaseholders. It is outrageous that many have acted in the way in which they have by not participating. I am this week hosting the first roundtable to consider the next steps. As I said, I am not ruling anything out.
ParlaMint-GB_2018-05-21-commons.u196	I welcome the comments of right hon. and hon. Members across the House that no stone will be left unturned in delivering justice for the victims affected by this tragedy. I also welcome the news that the inquiry has opened today and that the necessary lessons will be learnt. As we approach the one-year anniversary, we need to look at all necessary regulation changes and the implementation of pre-emptive systems. Will the Secretary of State confirm that these will be planned and that the review of all at-risk buildings will be included?
ParlaMint-GB_2018-05-21-commons.u197	Obviously, we have taken steps to identify at-risk buildings. As I pointed out, we set out a further direction last week aimed at local housing authorities in England. We want to support them in their work through that statutory declaration. There are some local authorities that still have more work to do, which is why we have committed a sum in the order of £1.3 million to support local authorities to move as swiftly as possible to identify buildings and see that remediation takes place.
ParlaMint-GB_2018-05-21-commons.u198	If we are banning the cladding, which is absolutely right, are we also banning bad work practices to ensure that all installations and all retrofittings are of an acceptable standard, so that there is no compromise with regard to the new cladding put on?
ParlaMint-GB_2018-05-21-commons.u199	I am grateful to my hon. Friend for her question, because it touches on some of the issues in the Hackitt review about a culture change—a culture shift—across the whole sector in terms of the standards that should be applied. That is why I am determined that we will pursue this rigorously and follow through on the recommendations that Dame Judith Hackitt has given.
ParlaMint-GB_2018-05-21-commons.u200	Last week, the Select Committee welcomed the Secretary of State’s decision to consult about banning all combustible material from the cladding on tower blocks. May I ask him, once again, whether he has given further thought to banning the material on existing blocks as well as on new blocks and refurbishment works? If he is minded to do that, does he accept that the Government would then have a responsibility to compensate building owners for the effects of building regulations that were changed retrospectively?
ParlaMint-GB_2018-05-21-commons.u201	I welcome the action of the Select Committee in this regard. We are obviously working at pace to move forward with the consultation, which is intended to be forward-looking. I hear the hon. Gentleman’s point about building regulations that could only speak to the existing timescale. There is also an issue, which comes through very clearly in Dame Judith Hackitt’s report, about the risks of these sorts of systems and why these building owners need to take their responsibilities extremely seriously.
ParlaMint-GB_2018-05-21-commons.u202	As a former firefighter and Fire Minister myself, I am really pleased to hear the Secretary of State say that we should immediately, as soon as this report allows us to, ban combustible cladding. That is something that we could do. One thing that we could easily do tomorrow morning is to make sure that there are heat-seeking cameras on every appliance that goes out to any incident in the country. That would provide the opportunity to make sure that there are no hotspots, which could mean that this sort of fire could have been put out much earlier.
ParlaMint-GB_2018-05-21-commons.u203	My right hon. Friend touches on broader issues of appliances. There is also an issue in relation to electrical safety. Some colleagues may be familiar with some of the building regulations standards in that respect. The Government are continuing to work with the British Standards Institution on a revised standard that is due to be published in July.
ParlaMint-GB_2018-05-21-commons.u204	While last week’s announcement of money to replace unsafe cladding on social housing is welcome, that still leaves a lot of private blocks, including in my constituency, where leaseholders are facing potentially a very large cost and great uncertainty about when the work will be done. Since the Government’s policy is that those who own the freehold should pay, will the Secretary of State now introduce a low-interest, long-payback loan scheme so that the work can be done and my constituents, and everybody else’s, can get peace of mind at last?
ParlaMint-GB_2018-05-21-commons.u205	I am grateful to the right hon. Gentleman for highlighting the really essential issue of private sector leaseholds, where I have made the points that I have. That is why I will be hosting a roundtable this week, with a further roundtable to follow, to inform next steps. I hear what he has said, and all I can say to him at this stage is that I have not ruled anything out.
ParlaMint-GB_2018-05-21-commons.u206	I welcome the £400 million that the Government have put forward to help remove unsafe cladding. What advice would the Secretary of State give to housing associations on accessing this fund so that they can bring the work forward very quickly?
ParlaMint-GB_2018-05-21-commons.u207	Like my hon. Friend, I would like the funds to be available quickly. That is why we will be writing out to relevant agencies later this week with further details. This is about prioritising the funding becoming available to relevant housing associations and local government, and we will take action this week.
ParlaMint-GB_2018-05-21-commons.u208	I have just come from the Grenfell inquiry, which began this morning. One of the survivors said to me, “If it was thought that combustible cladding was responsible for the fire and it had to come down, why is not banned?” Can the Secretary of State give some timetable on when combustible cladding will finally be banned?
ParlaMint-GB_2018-05-21-commons.u209	I understand and hear very clearly the call that has been made. There are certain statutory obligations to consult under the Building Act 1984. That is why I have said that I am minded to make this change, subject to the consultation. My officials are working at pace in relation to getting that consultation out, because I hear the very clear message that the right hon. Gentleman is giving about the urgency of this.
ParlaMint-GB_2018-05-21-commons.u210	What confidence can I give to my constituents who work in tall buildings that they will be as safe at work as people who live in tall buildings?
ParlaMint-GB_2018-05-21-commons.u211	Obviously it is for all building owners to ensure that they are taking appropriate steps. We know that interim measures are in place. As I said to my hon. Friend last week, Dame Judith Hackitt’s recommendations are focused on residential accommodation of 10 storeys and above, but she has said that some of her recommendations may have a broader application, and we will consider that as part of the consultation.
ParlaMint-GB_2018-05-21-commons.u212	I welcome the launch of this inquiry. The Secretary of State will be aware that the fire was started by a faulty piece of electrical equipment. Given that recall of these sorts of products is currently only running at around 20%, what further action can the Government take to ensure that faulty products are fully recalled?
ParlaMint-GB_2018-05-21-commons.u213	The Department for Business, Energy and Industrial Strategy effectively leads on that issue, and we will continue to work in conjunction with it, to work with industry and to support action, so that all fire safety issues are at the forefront.
ParlaMint-GB_2018-05-21-commons.u214	You will recall, Mr Speaker, that in Edgware in my constituency, Premier House was recently converted from an office block into residential property, but unfortunately the cladding has remained. Many of my constituents who saved up to buy a property there find themselves in a situation where the owners of the building want to charge them for removal of the cladding. I hear the point that was made about a low-interest scheme, but does my right hon. Friend agree that leaseholders should be afforded the same protection as tenants and not have to pay for that out of their own pocket?
ParlaMint-GB_2018-05-21-commons.u215	I understand the point that my hon. Friend makes on leaseholders. Obviously there are legal relationships, but that is why I have underlined the need for us to take further action and to have the initial meetings that I have set out. I have been pretty clear in my view.
ParlaMint-GB_2018-05-21-commons.u216	The “stay put” policy has been a recognised element of fire safety for a long time, and those of us who have thousands of residents in high-rise towers in our constituencies now want clarity from the Government. My understanding is that the London fire brigade has changed its policy for blocks with particular types of cladding, but are residents expected to know what kind of environment they are living in before deciding whether to stay put or to leave? What will the Government do about that to ensure that there is total clarity, from tonight, to guide people?
ParlaMint-GB_2018-05-21-commons.u217	I understand the concern that the hon. Lady raises. Obviously that advice would normally come from the National Fire Chiefs Council. The London fire brigade has made that specific alteration. I will take further advice from the National Fire Chiefs Council and ensure that we report back to the House as a matter of urgency.
ParlaMint-GB_2018-05-21-commons.u218	Does the Secretary of State share my surprise that the Hackitt review did not look in detail at the building regulations? Does he accept the need for urgent revision of the building regulations and clarity on them, particularly with regard to combustible materials, and will he set out the process and timescale for that review?
ParlaMint-GB_2018-05-21-commons.u219	Dame Judith has set out a whole review of the system, end to end, and has taken a comprehensive stance. As I said in my statement last week, I intend to update the House before the summer on next steps. Knowing that certain issues will require legislation and others will not, I want to get on with it.
ParlaMint-GB_2018-05-21-commons.u220	Does the Secretary of State accept that there is a real issue of enforcement here and that self-regulation, especially in competitive industries such as construction, simply will not work? I suspect that that is what Dame Judith Hackitt was getting at in her report. Given austerity cuts, can he assure the House that enforcement will be strengthened, so that as the regulations are changed, they bite and have an effect?
ParlaMint-GB_2018-05-21-commons.u221	The hon. Lady is right to point out what Dame Judith Hackitt says in that regard—she certainly underlines the need for stronger enforcement, and indeed criminal sanctions in a number of cases. That will be subject to consultation, as I indicated last week, and we will review carefully the submissions that we receive.
ParlaMint-GB_2018-05-21-commons.u222	I welcome the tone of the Secretary of State’s responses, but can he say a bit more about the issue of desktop studies? I think many people find it very surprising that there can be a desktop study to see whether something will be safe in such a large building.
ParlaMint-GB_2018-05-21-commons.u223	In her interim report, Dame Judith Hackitt recommended that the Government should significantly restrict the use of so-called desktop studies. We have accepted that recommendation, and we are consulting on significantly restricting or banning the use of desktop studies. As I have already said, the inappropriate use of such studies is unacceptable, and I will not hesitate to ban them if the consultation does not demonstrate that they can be used safely.
ParlaMint-GB_2018-05-21-commons.u224	What advice does the Secretary of State have for landlords who are replacing cladding now? Perhaps the reason why only seven blocks have been re-clad is that landlords do not know what to do. Given that he has said he is minded to ban combustible cladding, why does he not put in place a provisional ban and advise landlords to use only non-combustible materials?
ParlaMint-GB_2018-05-21-commons.u225	There are legal restrictions on me in terms of my obligations under the Building Acts to consult on changes to building systems and regulation. However, I underline that, as Dame Judith points out, the safest approach is to use non-combustible materials, and that is the very clear advice.
ParlaMint-GB_2018-05-21-commons.u226	The Select Committee had an opportunity to review Dame Judith Hackitt’s report and to question her on it. One of the clear issues is legislative change, as my right hon. Friend has mentioned. Will he set out whether that is primary or secondary legislation, and what the timeframe is for the process we will have to go through, because decisions need to be made?
ParlaMint-GB_2018-05-21-commons.u227	The end-to-end approach that Dame Judith recommends in her report will require primary legislation and secondary legislation. That is why I have said I will come back to the House before the summer recess to advise on the next steps, with a comprehensive response in the autumn. I made a commitment to primary legislation on Thursday, and I believe that is what is required, but it is a question of getting it right.
ParlaMint-GB_2018-05-21-commons.u228	Will the Secretary of State tell the House how many private blocks have combustible cladding, and what sanctions will be imposed on companies that are passing on costs to leaseholders? He has mentioned not ruling anything out, so will he provide some specifics to reassure our constituents who are living in those blocks?
ParlaMint-GB_2018-05-21-commons.u229	I can tell the hon. Lady that the latest figures I have are that 304 buildings have ACM cladding systems that the expert panel advises are unlikely to meet current building regulations: 158 are social housing buildings; 14 are public buildings, including hospitals and schools; and 132 are in the private sector, of which 101 are private residential buildings. Obviously, it is a question of the private residential side stepping up to the mark, and owners may well be taking interim measures. However, a sense of urgency needs to be applied, which is why I have mentioned the steps for getting on with making sure that leaseholders do not have to meet such a liability and that building owners meet their obligations.
ParlaMint-GB_2018-05-21-commons.u230	I note that remedial work is under way on two thirds of public sector blocks where there is unsafe cladding, but what steps is my right hon. Friend taking to make sure that the final third are dealt with as quickly as possible?
ParlaMint-GB_2018-05-21-commons.u231	It is important that we see the public sector estate dealt with as quickly as possible. Obviously, the additional funding of £400 million that the Prime Minister announced last week will go towards supporting that activity. Equally, there is an important point about the other things that may not be being focused on at the moment. Indeed, there is the actual supply side of more affordable homes and other building costs that might not otherwise receive the same focus.
ParlaMint-GB_2018-05-21-commons.u232	What are the Government doing to ensure that residents of these high-risk buildings are made aware of the new arrangements about leaving in the case of a fire? Eight months since the change of policy there, residents of the privately owned Blenheim block in Hounslow have still not been given evacuation instructions or had a fire drill, and the only people who left the building when several fire engines turned up at one of several recent fires were the paid fire marshals.
ParlaMint-GB_2018-05-21-commons.u233	I would certainly be interested in receiving further details from the hon. Lady about the case she highlights, because it is important that advice is followed and that appropriate steps are taken. I will certainly look into the issues she raises.
ParlaMint-GB_2018-05-21-commons.u234	There is an increasing trend for modern high-rise buildings to contain a mix of office, retail, hospitality and residential offerings. Will he ensure that sufficient attention is therefore paid to building regulations on all such buildings?
ParlaMint-GB_2018-05-21-commons.u235	This goes to the general point highlighted by Dame Judith Hackitt in her report about the need for a culture change, and a culture shift across the board on the responsibilities we all hold. That is why I think the report was a watershed moment.
ParlaMint-GB_2018-05-21-commons.u236	The Secretary of State was good enough to agree to investigate why, the best part of a year on, Birmingham’s 10,000 households and 213 tower blocks are waiting for the Government to honour their pledge to provide financial support to make them safe. A sense of urgency is now absolutely vital, so I ask the Secretary of State: how many more weeks or months will they have to wait?
ParlaMint-GB_2018-05-21-commons.u237	I committed to working with the hon. Gentleman in respect of Birmingham, and I hope that he recognises the announcement last week about additional funding. The point is that it is retrospective. I hope that will give him some assurance, but I will continue to pursue it with the urgency he asks for.
ParlaMint-GB_2018-05-21-commons.u238	There is no enforceable legal obligation on builders, freeholders or insurance companies to pay for the removal of flammable cladding from private sector blocks, which means that the cladding will remain in place. Leaseholders feel that they are being hung out to dry and that their safety is being disregarded. If the Government believe that they can enforce a moral obligation, why do they not pay to take the cladding down, keep people safe and recover the funds from whoever they believe is responsible for paying for it?
ParlaMint-GB_2018-05-21-commons.u239	I do not want to let the private sector off the hook for its responsibilities. That is why in the time for which I have been Secretary of State I have underlined my commitment and why I will be talking to industry this week and next to underline that clear message. I can then consider the right next steps to ensure that this is followed through with that intent.
ParlaMint-GB_2018-05-21-commons.u240	The Secretary of State and his predecessor have repeatedly said that they wish to see essential fire safety works completed in tower blocks across the country, yet across the country councils are saying that sprinklers are the essential fire safety works that can save residents’ lives in the future. In several cases, they have been told that the Government do not consider sprinklers to be essential. No funding for sprinklers has been provided by the Government. Will the Secretary of State explain how that is consistent with the Government’s stated commitment to do everything possible to ensure that another catastrophic tower block fire cannot happen and will he think again about funding for sprinklers?
ParlaMint-GB_2018-05-21-commons.u241	Sprinklers can be an effective fire safety measure, but they are one of many such measures that could be adopted. As Dame Judith Hackitt points out in her report, no fire safety measure, including sprinklers, could be seen as a panacea, as I highlighted earlier. We have obviously set out clear advice about new blocks over 30 metres, and for existing buildings it is for the building owner to decide, based on risk, the appropriate safety measures to take.
ParlaMint-GB_2018-05-21-commons.u242	A study by the Association of British Insurers found that standard UK fire safety testing fails properly to assess risk. Why has the Secretary of State refused to initiate a large-scale programme of testing of suspected combustible cladding other than cladding made of aluminium composite materials?
ParlaMint-GB_2018-05-21-commons.u243	Obviously, we have seen this issue with ACM material. We will continue to reflect on this in the light of Dame Judith Hackitt’s report. There are other issues as well. I made a written ministerial statement on fire doors and issues that have been highlighted in that regard, including on how we intend to follow through with further testing on fire doors to ensure that there are no further issues across the sector.
ParlaMint-GB_2018-05-21-commons.u244	A year on, the NHBC is yet to conclude whether the New Capital Quay development in Greenwich was or was not compliant with building regulations at the time of construction. What can the Secretary of State do in such cases to ensure that warranty providers wrap up their assessments and determine claims as a matter of urgency?
ParlaMint-GB_2018-05-21-commons.u245	I am happy to look into the specific issue of New Capital Quay. If the hon. Gentleman will send some more details, I will certainly investigate to establish the facts, the issues and what further action can be taken.
ParlaMint-GB_2018-05-21-commons.u246	(Urgent Question): To ask the Foreign Secretary if he will make a statement on the decision of the UK Government to abstain from voting on the resolution of the United Nations Human Rights Council held on 18 May, calling for an independent investigation into recent violence in Gaza.
ParlaMint-GB_2018-05-21-commons.u247	First, I thank the hon. Gentleman for his question We abstained on calls for a commission of inquiry into recent violence in Gaza during the UN Human Rights Council session on Friday. The substance of the resolution was not impartial and it was unbalanced. We could not support an investigation that refused to explicitly examine the action of non-state actors such as Hamas. An investigation of that kind would not provide us with a comprehensive assessment of accountability. It would risk hardening positions on both sides and move us further away from a just and lasting resolution to the Israeli-Palestinian conflict However, the United Kingdom continues to fully support the need for an independent and transparent investigation into recent events. We call directly on Israel to carry out a transparent inquiry into the Israeli Defence Forces’ conduct at the border fence and to demonstrate how this will achieve a sufficient level of independence. We believe this investigation should include international members. We urge that the findings of such an investigation be made public, and, if wrongdoing is found, that those responsible are held to account. The Foreign Secretary stressed the importance of Israel conducting an independent investigation when he spoke to Prime Minister Netanyahu on 16 May.
ParlaMint-GB_2018-05-21-commons.u248	Last Tuesday, the Minister assured the House that he endorsed calls for an international, independent and transparent inquiry into the appalling events unfolding in Gaza, yet when United Nations Human Rights Council resolved on Friday to set up a commission of inquiry to undertake precisely that kind of investigation, the UK failed to join 29 partner countries and instead abstained from the vote. The Government alleged that, as the Minister said today, the UN Human Rights Council resolution was “partial, and unhelpfully unbalanced”. May I remind the Minister that the remit of the UN inquiry is to investigate “all violations of international humanitarian law and international human rights law” and that it calls on Israel and “and all relevant parties” to co-operate fully with the inquiry? That includes Hamas and other Palestinian factions, as well as Israel. Which bit of the resolution and the remit do Ministers not understand May I put it to Minister that the Government’s feeble response to last week’s events in Gaza only encourages the culture of impunity that the Government of Israel too regularly display these days, apparently believing that whatever they do, they will in practice never be held to account? Will the Minister confirm that now the UN Human Rights Council has made its decision, the UK Government will get behind it? What consequences should follow if Israel, or anybody else, either refuses to co-operate with the inquiry or is otherwise found to be in breach of international law?
ParlaMint-GB_2018-05-21-commons.u249	I am grateful to the hon. Gentleman for pursuing this matter I draw attention to the detail of the resolution, which names the state of Israel in many cases right the way through. That follows a clear demonstration by the UN Human Rights Council in the past of a biased view towards Israel. I think it was the general nature of the resolution, clearly specifying Israel as opposed to any other, that caused concern. We of course were not alone. This is not a matter on which the United Kingdom is alone. There were 14 other abstentions, including by four other EU members, so it is not a question of the United Kingdom taking one view on this; it is a question of other states believing that if we want to get to the truth, it will have to be done another way I said last week, and I repeat, that we want an independent and transparent inquiry. The House has heard me say again today that if it is carried out by Israel, it must have an international element to it. It is very clear that if it is done solely by the Israeli legislative and judicial system, it is unlikely to carry the sort of confidence that the international community is looking for. That is what we will continue to press for, but this resolution in itself will not do the job we all want to see.
ParlaMint-GB_2018-05-21-commons.u250	Order. Many hon. and right hon. Members are seeking to catch my eye on this important matter, as could have been anticipated. I am keen to accommodate demand up to a point, but as in respect of the previous urgent question I do not wish to run this at inordinate length. There is other important business to which we must attend, so I am looking to move on after approximately half an hour from the start of exchanges. Pithy questions, pithy answers and we will maximise participation.
ParlaMint-GB_2018-05-21-commons.u251	I very much welcome the Government’s decision not to back a resolution that was one-sided and biased against Israel. Will the Minister urge the UNHRC to desist from adopting these heavily one-sided resolutions as they have done so many times in the past?
ParlaMint-GB_2018-05-21-commons.u252	I thank my right hon. Friend. We have made our position clear about the HRC on a number of occasions. We have expressed concern that elements of the HRC’s work have been clearly biased against Israel and that detracts from the other good work that it does. We will continue to maintain that position, but equally, if this inquiry is not the right vehicle, there must be another.
