ParlaMint-GB_2018-10-22-lords.u1	To ask Her Majesty’s Government what steps they are taking to reduce youth crime in London.
ParlaMint-GB_2018-10-22-lords.u152	I must advise the Committee that if this amendment is agreed to, I cannot call Amendment 56 for reasons of pre-emption.
ParlaMint-GB_2018-10-22-lords.u153	My Lords, I support what my noble friend Lady Barker said about this important set of amendments. Briefly, they look at the interaction between the Mental Capacity Act and the Mental Health Act, which has not been properly thought through at all in how the Bill has been brought forward. The amendments focus in particular on people with fluctuating conditions. We have had a bit of discussion about such people but not nearly enough to understand what the real implications will be for people who may have a severe mental illness that fluctuates. They may have a range of other physical conditions requiring treatment and care. There may be times when they are in a position to give consent to treatment and times when they are not. We really need to think much more about how that is to be dealt with in the new system My concern, if I may summarise it, is that this complex interaction between the two Acts will result in a two-tier system, with a considerable imbalance in rights and safeguards between the regimes of the Mental Health Act and the Mental Capacity Act. To pick out one example, I understand that under the Mental Capacity Act everyone is entitled to make a legally binding advance decision to refuse various future medical treatments, but that decision can be overridden under the Mental Health Act in most circumstances. It is complicated. There are people covered by both Acts; it is not a question of having the Mental Health Act and people covered by it over here and having the Mental Capacity Act and people covered by that there We really need to think this through and satisfy ourselves that any new system deals with that and, frankly, makes the most of the opportunity to streamline these regimes, in particular to take account of people who are covered by both. I would be particularly pleased if the Minister, in responding, would say something about the needs of people who are severely affected by mental health issues and whose capacity may fluctuate, and about how that has been taken into account in the drafting of the Bill.
ParlaMint-GB_2018-10-22-lords.u154	My Lords, I feel that I should contribute to this debate although I have no speech prepared because, in the discussion with Sir Simon Wessely that I referred to last week, I challenged him about this issue. I asked what we were doing by debating this Bill before his review came out. He was clear and while I cannot say what he is proposing, maybe I can indicate the sort of areas he is looking at. These may help to illuminate the clear differences in certain ways between the two sets of debates and legislation. For example, he is looking at the role of the Ministry of Justice in relation to people under restriction orders. There are specific mental illness issues in that area. He is looking at how community treatment orders operate—there might be less use of such orders—and how detentions in hospital for people with psychotic illnesses operate, and so on. Those areas are, in general, probably quite distinctive to the Mental Health Act. The bit where I feel there really is a potential overlap is in the area of mental health tribunals, which I will raise when we come on to deprivation of liberty concerns in the context of specific domestic situations. I will have a proposal to make then. I will not go into it here, as it would not be appropriate Sir Simon Wessely’s position is clear: he feels that the Mental Health Act needs reform and I think he will have very interesting proposals to make about that. We also all agree that the DoLS system needs reform and we are discussing how that should be done. What he is doing and what noble Lords are trying to do here are both quite complex sets of reforms. Sir Simon Wessely’s view—I hope that he would agree with me—is that these two sets of reforms need to be in place for quite a period. He talked about a decade, actually. There is also the Northern Ireland situation; there are proposals for some bringing together of these things there. There is of course no government in Northern Ireland but Sir Simon Wessely wants that Northern Ireland Government to be formed and for them to be the pilot of all this and see how that works over a period of years. We would then come forward with some proposals, as and if appropriate, for bringing these two pieces of legislation together I hope that I have represented Sir Simon Wessely properly. It is important for us all to be aware that we do not have the support of the person in charge of the review of the Mental Health Act when we say, “Come on, what are we doing by having this first? Surely it should all be done at once”.
ParlaMint-GB_2018-10-22-lords.u155	I want to make it clear to the noble Baroness that I am not talking about bringing these two pieces of legislation together. I know some people have suggested that that should be done, but I am not asking for that. I am simply suggesting that this legislation, which makes a substantial change to what has been the basis of decision-making about best interests on the basis of harm to self, is now going to include harm to others. We were told back in the summer, when the Minister sent us a letter, that the Government were waiting for the outcome of the Mental Health Act review to see what the impact would be. We are now being told, as the noble Baroness, Lady Stedman-Scott, confirmed, that that basis of decision-making is changed by this legislation. It is linked to the necessary and proportionate assessment that people will have to make. I think that is a major change that will perhaps result in the detention of quite a number of people. I do not think it is unreasonable for the Government to wait until Sir Simon Wessely has published his report to ensure that the two pieces of legislation are not drifting further apart.
ParlaMint-GB_2018-10-22-lords.u156	My Lords, I am the world’s greatest pragmatist in this matter. I am very sympathetic to what the noble Baronesses, Lady Barker and Lady Tyler, are saying. This Bill is by no means perfect. It has huge gaps and we would not have started from here, but the reality is that this Bill will be with us for the rest of the autumn and I believe that Sir Simon Wessely’s report will be submitted to the Government around 12 December, so it is likely to come before Third Reading and before we finish the Bill. We will be able to see if there are great big gaps. I do not think the two things will overlap very much. We might be helped out, particularly on amendments on advanced directives, and in that context we can perhaps make ourselves closer to what Sir Simon Wessely recommends, but I do not think there is anything to address, except that the current Bill is not working. We have all those people waiting for an assessment who will never be assessed. We need some legislation in place. There is some urgency. I know we would like a perfect Bill, but we are not going to get one. What we need is an implementable Bill which makes assessments doable for people who need them and so that we can get some process in place. The Bill is not perfect. We would not start from here, but we have this Bill and we should continue with it.
ParlaMint-GB_2018-10-22-lords.u157	I shall continue on the theme that my noble friend Lady Murphy has set out. Last week, I chaired the National Mental Capacity Forum leadership group. One of the people there said that: “While there was an initial knee-jerk reaction amongst care providers and the local council, if you consider the,” liberty protection safeguards, “in more detail you quickly come to understand that it is actually quite an innovative solution”, because there is such a backlog and so much difficulty in trying to get anything in place I am concerned that we are trying to draw clear lines between different types of illnesses and conditions when it is pretty impossible to do so. There are mental health conditions that impair your capacity, even though you may be compliant with treatment, there are physical illnesses that result in impaired capacity, and there are illnesses—Lewy body dementia is one of them—where part of the illness means that you may be a risk to other people. Huntington’s disease is similar and a horrible disease to have. Trying to draw clear lines between those different groups is difficult I looked at the amendment and for a definition of “fluctuate” and “short”. I tried to think how I would define “fluctuate” or “short” in a clinical context, and I could not because “short” might be short to some people and long to others and fluctuation can be all kinds of directions and with different degrees of severity. The difficulty we are grappling with here is that we are trying to write something in legislation that will be literally black and white: black words on a white page. The people we are dealing with are incredibly individual and have very different needs. That is why, returning to our previous debate, the stress on wishes and feelings and on consulting people who know the person becomes incredibly important. We will go on to talk about ways that people can call for external scrutiny because, if they care about the person, they need to be able to do that.
ParlaMint-GB_2018-10-22-lords.u158	I have to disagree with the noble Baroness, Lady Finlay. Mark Neary had to resort to the law, not to a code of practice, to get his son out of a place where he should never have been detained. We need to have further discussions about what needs to be in the Bill and the role of regulation and the code of practice. I think she has a fundamentally wrong take on this. This is about legal protection for very vulnerable people. That sometimes has to be in a brief outline in law. It has to be stated in the Bill that a person has to be spoken to face to face. We can then go on to put a load of stuff in the code of practice about how we do that To pick up the point made by the noble Baroness, Lady Murphy, I think this is a terrible Bill containing huge holes and some real problems. If the Government take the tack they took last time, we may be able to improve it substantially, but we are in danger of putting one bureaucracy in place of another bureaucracy, and the only difference between the two is that there are far fewer protections for the most vulnerable people. We would be somewhat negligent to go ahead on that basis. I cannot approach the Bill in that way.
ParlaMint-GB_2018-10-22-lords.u159	I thank the noble Baronesses, Lady Barker and Lady Tyler, for tabling this amendment. I agree with the remarks of the noble Baroness, Lady Barker, about the state of the Bill. I am rather—“disappointed” may not be quite the right word—surprised that the noble Baroness, Lady Murphy, who has brought discipline to the House to focus on good legislation and how it should work, is suggesting that we have to have something, so this is it. I really hope that that is not the case and that this Committee will have revealed to the Minister, and particularly to the Bill team, that many elements in the Bill need clarification, need to be changed and can be improved. That is our job, and the noble Baroness, Lady Barker, is highlighting but one of those elements. In fact, the amendment that I am due to talk about next refers to the difficulties that the Bill has brought and the differences between the Mental Health Act and the Mental Capacity Act The last month or so has been very revealing. The Bill was sold to us as something really quite simple that was going to streamline things, get rid of the backlog, save some money and so on, and it really needed only one day in Committee. That is certainly how it was sold to me on these Benches and, I am sure, to other people in the House. In fact, what has happened over the last couple of months is that all the stakeholders and people who are writing to us are saying, “No, this will not do. This Bill does not work. It is dangerous and difficult”. It needs clarification, and these amendments highlight the areas that need it. We are going to move on to other areas that need clarification and which will certainly need amendment. This is an important and legitimate question to ask about the Bill.
ParlaMint-GB_2018-10-22-lords.u160	My Lords, I thank all noble Lords—I keep saying “noble Lords” but it has really been noble Baronesses, so I will switch my language—who have both tabled amendments in this group and spoken to them Before I come to the substance of the amendments, I shall say two things. First, I agree with the noble Baroness, Lady Murphy, that there is an urgency. To use the words of the Local Government Association, “the current system is unable to ensure there is adequate protection for human rights”. That is the reality of the situation that we find ourselves in at the moment Secondly, views about the perfection or otherwise of the Bill will vary across the House, but I hope that in the two days of Committee prior to this one I was able to demonstrate that the department and Ministers are absolutely committed to improving the Bill in any way that we can during its passage through Parliament, especially in this House where there are so many experts. I really think we have made some progress. I realise that that will not be enough to satisfy everyone and there is clearly much more to come—care home managers are clearly a big area of work that we need to focus on—but we have made some progress. I encourage noble Lords to continue in that mindset because I think we can reach a good outcome that deals with the fact that, as Age UK says, the system leaves, “many highly vulnerable older people languishing without any legal protection at all”, something none of us can accept. We stand ready to undertake that work, as noble Lords know, and I know they do so too I turn to the amendments in this group. Amendment 55, tabled by the noble Baronesses, Lady Barker and Lady Tyler, outlines the circumstances in which an authorisation ceases to have effect, particularly noting that authorisations should end if they conflict with a valid decision of a court-appointed deputy or a donee of a lasting power of attorney. The amendment also states that an authorisation would not cease to have an effect if a person’s capacity fluctuated, and would create regulation-making powers to define what constitutes fluctuating capacity Section 6(6) of the Mental Capacity Act already provides that action cannot be taken that conflicts with a lasting power of attorney or a deputy’s valid decision, and I can confirm that the Bill does not change that. This means that an authorisation can only be given if it is accordance with a valid decision, so I hope I have provided reassurance on that front. I can also confirm that if it emerges that an authorisation conflicts with a decision of a donee of a lasting power of attorney or by a court-appointed deputy, a review should be arranged under paragraph 31 of the Schedule. In particular, it will need to be considered if the attorney or deputy has valid and applicable powers to make this decision, and if the deprivation of liberty authorisation continues to be necessary. That means that in the event of such a conflict, the authorisation ceases to have effect. I hope that provides reassurance to the noble Baronesses on that point The noble Baroness, Lady Tyler, focused particularly on fluctuating capacity. I agree that an authorisation should not necessarily cease to have effect if a person’s capacity fluctuates and there are short periods of lucidity. That is currently the case under the DoLS system and I can confirm that it will continue under the liberty protections safeguards. However, as the noble Baroness, Lady Finlay, brought to life, it is very difficult to define either “fluctuating” or “short”, particularly in legislation. For that reason, we do not think regulation-making powers are appropriate; we believe this would be better dealt with through a code of practice, which would allow for more detail and more regular updating but would also allow the use of case studies to bring examples to life. We plan to give much more detailed guidance in the new code of practice, and I reassure noble Lords that we will be working with the sector in order to produce it Amendments 56 and 58 from the noble Baronesses, Lady Barker and Lady Tyler, relate to the thorny issue of the interaction between mental health and mental capacity legislation. They would mean that an authorisation had effect in relation to arrangements that were not in accordance with mental health requirements. As noble Lords know, mental health requirements are conditions placed on Mental Health Act patients living in the community. Currently, DoLS authorisations no longer have effect if a person is subject to arrangements or conditions under the Mental Health Act and that authorisation would be in conflict. This means that the terms of a DoLS authorisation cannot conflict with those of, for example, Section 17 leave of absences. The Bill has been drafted to reflect the interaction that currently exists between the Mental Health Act and the Mental Capacity Act The review of the Mental Health Act has been mentioned in this debate. The review, chaired by Sir Simon Wessely, has been considering, among other things, the interaction between these two pieces of legislation. I know the noble Baroness, Lady Barker, has sincere concerns about the nature of that interaction and about why we are bringing forward this legislation now. My short answer is that urgent reform is needed for the reasons that we have set out, including the quotes that I have given. The contribution from the noble Baroness, Lady Meacher, was helpful, and I have put in my notes that I need to speak to Sir Simon Wessely myself to understand his perspective. However, if I have understood correctly, regardless of the timing of his report, the process of implementing his proposals will take some time to do properly. In our view, it is not right to wait until that has been perfected before we try to deal with many of the issues under consideration in the Bill in the light of the current inefficiencies of the DoLS system. It is for that reason that we want to push ahead. As I have said, I will take it upon myself to speak to Sir Simon Wessely and get a real understanding of his expectations on timing, and to try to understand from his point of view the scale of the interaction between these two pieces of legislation so that we really know what is at stake I think the noble Baroness herself said that the amendments are essentially probing. She will know that the effect of them would be that two authorisations could be live at the same time. I am confident that that is not what she is proposing, not least because it would have the perverse effect of requiring people to be in two places at once, so I know she was using this as an opportunity to discuss this question. As I said, it is important that we move ahead for the reasons that we have discussed, notwithstanding that the Government will of course consider incredibly carefully the findings in Sir Simon Wessely’s report and what action is required to implement his recommendations On a couple of occasions the noble Baroness, Lady Barker, referred to the consideration of harm to others. I am told that harm to others can be considered under the current DoLS system, so what is proposed is not a change from the current system. However, I will pick that point up with her offline so that we can really get to the bottom of it and ensure complete clarity to a degree that satisfies her. I hope that on that basis, the noble Baroness feels able to withdraw the amendment, and I look forward to discussing more of these issues throughout the evening.
ParlaMint-GB_2018-10-22-lords.u161	I thank all noble Lords for taking part in that debate, which was a useful exchange of views and information. The Minister is in some difficulty, because the two organisations that he cited are on record as saying that they do not support the Bill in its current form. I remain of the view that we run the risk of attempting to deal with an underfunded, under-resourced system by putting in place another underfunded, under-resourced system which dilutes the protection of vulnerable people Ahead of debates on other groupings, I simply ask how many times the Mental Capacity Act and DoLS codes of practice were changed. How many times were they amended? I do not disagree that a code of practice is a good place in which to put examples; I do not think it is a substitute for having well-drafted legislation and regulations—regulations can often be changed I will read Hansard with great care, but I reserve the right and hope, with the assistance of the noble Baroness, Lady Browning, who is not in her place but is equally concerned about these matters, to return to the matter. I beg leave to withdraw the amendment.
ParlaMint-GB_2018-10-22-lords.u162	The amendment would reduce the maximum time for which an individual can be held in detention without renewal from three years back to 12 months. The Bill would allow responsible bodies to renew an authorisation of deprivation of liberty in some cases for up to three years, while simultaneously reducing the safeguards that a renewal process would require. The amendment would shorten that three-year period to a maximum of 12 months Why is that important? Tripling the potential length of an authorisation period to three years creates a stark difference between the Mental Capacity Act and the Mental Health Act, apart from anything else, and moves away from best practice in other countries. Paired with the new LPS renewal process, which weakens safeguards designed to prevent lengthy detentions, a three-year authorisation will be likely to face legal challenge At its core, the new LPS system is intended to safeguard vulnerable people who have been deprived of their liberty on mental capacity grounds. The possibility of a three-year period of detention with limited safeguards gets the balance wrong between safeguarding vulnerable individuals and the desire to reduce the bureaucracy of the system Strasbourg case law confirms that a lawful deprivation of liberty for the purposes of Article 5(1)(e) of the ECHR must include both “limits in terms of time” and “continuing clinical assessment of the persistence of a disorder warranting detention”. Therefore, in order to comply with Article 5, any system must contain, first, a provision for the termination of the authorisation after the maximum time has expired and, secondly, an ability to terminate an authorisation before the time limit has expired if the deprivation of liberty is no longer necessary A three-year renewal limit is likely to pose problems for responsible bodies, especially in cases concerning conditions such as learning disabilities, acquired brain injuries and other non-degenerative mental impairments. The courts are likely to intervene to interpret those paragraphs concerning renewals—paragraphs 27(a)(ii), 28(b)(ii) and 29(1)(b)—as narrowly as possible. Capacity assessments are time specific, and a three year-old capacity assessment cannot be relied on as accurate evidence for detention. Therefore, we propose to reduce the three years to 12 months It is notable that a 2017 paper comparing mental health legislation in five different jurisdictions—Canada, Australia, Scotland, the Republic of Ireland and England and Wales—states that renewal orders vary in different jurisdictions, “with the time periods for subsequent orders being longer in duration up to a maximum of 12 months, except in Ontario (3 months) and Victoria (6 months)” The Law Commission states that a three-year period should be considered only in the context of robust safeguards and constant review. Given the weakening of the safeguards throughout the rest of the Bill, it would be inappropriate to triple the length of time for which an authorisation can last. In his opening remarks on the Bill, the Minister stated: “It is essential that the system afford the necessary protections for the most vulnerable people”.—[Official Report, 16/7/18; col. 1061.] The Bill as currently drafted would in this respect not deliver that protection. I beg to move.
ParlaMint-GB_2018-10-22-lords.u163	My Lords, I have three amendments in the group designed to remove any ambiguity about authorisations, in that an authorisation would fall if it partly fell—in other words, if the person’s condition had either improved or changed to such an extent that the plan in place was no longer applicable, even in part, that would warrant a complete review. I accept that it would have to be a light-touch revision, because some things might not have changed, but I am not comfortable with simply allowing it to be reviewed and people to say that these parts of the condition no longer apply Amendment 58C is to stress the need for evidence to be supplied to support statements. I hope that the Minister will be able to provide me with some assurance. That evidence might come from photographs, video recordings of behaviour or whatever. That may be quite different to the written word. I worry that one person’s observed written word may not adequately portray a picture, particularly where the cared-for person has become withdrawn. Someone might interpret that as their being compliant, when actually they may be deeply unhappy. A broader direct recording of the person could be helpful I tabled Amendment 62A because I was concerned that the care home manager might be in the process of arranging for adaptations to be made to meet the cared-for persons in line with that person’s wishes and feelings, and that the Bill’s wording does not provide enough flexibility to consider the arrangements to meet the individual’s needs.
ParlaMint-GB_2018-10-22-lords.u164	I thank the noble Baronesses for tabling their amendments about renewals. I deal first with Amendment 58A, moved by the noble Baroness, Lady Thornton, which, as she said, would have the effect of meaning that authorisations cannot be renewed for longer than 12 months. As she pointed out, this would go against the Law Commission’s recommendation, which was that there could be circumstances under which renewals took place for up to three years, particularly following an initial review after up to 12 months and if it was unlikely that there would be a change in the person’s condition These three-year renewals are in place so that those who are in a stable condition and unlikely to recover are not subjected to annual assessments. The Bill does provide the safeguard—referred to by the noble Baroness—which ensures that an authorisation would need to be reviewed if there is a change. We would also want to make sure that there are appropriate reviews of arrangements when annual reviews under the Care Act take place. It would be up to the responsible body to set review periods. In care home settings, the care home manager must report to the responsible body on any reviews that have been carried out. As the Bill stands, there are significant safeguards to prevent abuse or lack of care of the vulnerable person. All that being said, I know how strongly noble Lords and stakeholders feel about this issue. The noble Baroness, Lady Thornton, made a valid point about aligning the review process with the terms set out under the Care Act. I would like to give further thought to this, particularly in the context of the discussions which will be taking place about the proper role of the care home manager. There is clear concern about a proper system of oversight and regular review where responsibility has been devolved to the care home manager. If the noble Baroness will allow me, I will follow that up after this debate Amendment 58B, tabled by the noble Baroness, Lady Finlay, considers an authorisation ceasing to be renewed if it has lapsed wholly or in part. We will want to give further consideration to that. As discussed earlier in Committee, there are circumstances under which one might be happy for an authorisation to continue after a very minor change. That might be the proper process to align this to, and I want to give further thought to this Amendment 58C asks that, when deciding whether to renew authorisations in care home cases, responsible bodies should consider other relevant information, as well as that provided by the care home manager. I can confirm that the Bill does allow responsible bodies to consider information other than that provided by the care home manager. That would, inevitably, be in other formats too. We will set out more detail on that in the code of practice Amendment 62A would add the word “arranging” to the scenarios in which the care home manager was required to notify the responsible body that an IMCA should be appointed. The amendment intends to make sure that that happens at the earliest stage, including when the assessments are being arranged. That is what the word “proposing” in the Bill achieves. We are satisfied that the language currently in the Bill means that care home managers would be looking at this issue when they are beginning to propose an authorisation, which is the earliest point at which planning for, arranging or bringing together the assessments would take place. I would be happy to demonstrate what underpins our belief that this is the case. I do understand what the noble Baroness is driving at; it is something which we are trying to achieve On that basis, I hope that the noble Baronesses are willing to withdraw or not move their amendments.
ParlaMint-GB_2018-10-22-lords.u165	I thank the Minister for his answer. I am encouraged that we are going to continue the discussion on this issue. Apart from anything else, I will need quite a lot of convincing that the Bill provides the right kind of protections to allow a period of three years, as currently stated On the amendments tabled by the noble Baroness, Lady Finlay, I was reminded when reading the letters the Minister has written to noble Lords, and the record of the previous two days in Committee, that we need to clarify the meaning of “care home manager”. Or is it “care manager”, an expression which he has also used? I do not want an answer to that now, but I put it on the table as one issue which we need to clarify in our discussions and in the Bill. I beg leave to withdraw the amendment.
ParlaMint-GB_2018-10-22-lords.u166	My Lords, I do not want to detain the Committee by revisiting too much of our debate on day 2, when the Minister stated that the local authority would decide for itself how to organise and manage how AMCPs will operate. My concern is that they must be trained to a uniformly high standard. Such training should include assessment in all the key domains of responsibility. They should be registered as an AMCP and subject to revalidation over time. These people will, potentially, hold an enormous amount of power over somebody who is vulnerable I am also concerned that, unless those professional standards are in place, we will have a problem with quality control. In the event of a concern being raised about an AMCP, it is important that they are formally registered with the local authority. I also raise the question of how they will be indemnified and who will be responsible for their appraisal and supervision. They must have honorary contracts with adjacent local authorities to enable them to act, because some local authorities have relatively confined geographical areas. Given that these should be professionals, they should be listed with their professional body as having specialised training and skills. Another reason for this is my worry that, if they are going to function in hospitals, and unless they have a formal honorary contract from the local authority and are registered, we may end up with a two-tier system between local authorities and hospitals. I am not sure how that is going to work Amendment 61A seeks to expand the range of people who can train to become an AMCP. I declare an interest as president of the Chartered Society of Physiotherapy; I was at its annual conference at the weekend. I did not add physiotherapists to the list when I wrote the amendment, because I had not had a chance to consult them. However, it was evident, from many inspirational presentations, that physiotherapists working in head injury, acute trauma and stroke units, and in mental health services, can often be key to rehabilitation and restore people dramatically to a degree of independence that others had not envisaged. They felt very strongly that they did not want to be excluded; they have a lot to offer and are keen to train up, which seems very sensible. I have also come across a few—not many—doctors who have retired from their main clinical practice but remain on the medical register, still work in some capacity or another, and, in later life, have developed an interest in people with impaired capacity. They have years of experience behind them, particularly in old-age psychiatry and so on, and would like to train as an AMCP. The criteria on which to select people should be their motivation, personal skills and background experience. We should not judge them by their original clinical degree qualification, because that is arbitrary. It does not mean that just because you are a nurse, a clinical psychologist or a social worker you would be perfectly fitted to this role; nor does it follow that because you are a speech and language therapist or a physiotherapist or whatever, you would not be suitable to take on this role and these responsibilities I therefore hope that the Minister might be able to expand a little, or perhaps not even discuss it here but think again, on how we will ensure that the people who carry this responsibility are trained to a uniformly high standard, are properly indemnified, can be identified, are able to function properly and can be held to account for the way in which they take decisions and advise. I beg to move.
ParlaMint-GB_2018-10-22-lords.u167	I would like to add a few more points on training. An awful lot of people in an awful lot of new roles will require training to get whatever system that we are going to end up with up and running at pace. Which organisation will be responsible for setting up the programmes for ensuring the delivery of good-quality training? Who has the responsibility to ensure that nothing is implemented until all the appropriate professionals have received their training? There is nothing worse than determining a date to fire the gun if you discover that all the people who are going to run the system are not yet trained. Can the Minister confirm that all this will start with plenty of time before the rollout of this new system? We expect that training should be effective and ongoing. Who will assess the trainers? What is the process for ensuring quality and a national standard? We may well be able to twist something that currently exists and make it work, but I do not have that knowledge. Can he also confirm that, as part of this training, the rights of the individual will be reinforced? Will the training clarify the role that each of these professionals within this new system is going to have in ensuring that an individual’s rights are observed and respected?
ParlaMint-GB_2018-10-22-lords.u168	My Lords, I want to follow up the remarks of the noble Baroness, Lady Finlay, by referring to the recent CQC annual report, which had a section on the implementation and practice in relation to DoLS. The report laid out a number of key concerns about care home and hospital providers that are actually using DoLS at the moment in relation to the Act itself. There is a huge variation in practice and this variation is commonly linked with a basic lack of understanding of the law, which is complex and difficult to understand. The report says that the result is that there are unnecessarily restrictive practices that can result in the loss of freedom and, in some cases, the loss of people’s human rights. The problems are reinforced by limited staffing levels, a lack of time to complete applications and inadequate staff training I am aware, of course, that the intention of this Bill is to streamline some of those procedures, although I think that, because the safeguards have been drastically reduced, we might be landing ourselves in future problems once the courts begin to hear some of the cases that will arise. The point is that it is quite clear that, at the moment, effective training is not taking place among many of the organisations involved in the operation of DoLS. The risk is that the same will happen in relation to the new legislation. We need some guarantees that there are going to be resources and a concerted training programme to ensure that we mitigate that impact.
ParlaMint-GB_2018-10-22-lords.u169	I will add to the questions that have already been asked of the Minister: who is going to pay for this? Training is very expensive and I was waiting for the noble Baroness, Lady Jolly, to ask that question but she did not, so I am asking it. As I recall from the impact assessment, I am not sure that there is a large sum of money in there for the amount of training that might be necessary to ensure that this Bill is properly enacted.
ParlaMint-GB_2018-10-22-lords.u170	I thank the noble Baroness, Lady Finlay, for tabling these amendments and precipitating this discussion. I will move straight on to the substance of the amendments. Amendment 61 provides that local authorities must make arrangements for a named person to be in charge of training and revalidation of approved mental capacity professionals and that local authorities must make arrangements for contracts with neighbouring local authorities and health bodies as required On the issue of approvals and training, the Bill is clear that local authorities must approve individuals to become AMCPs, and regulations under paragraph 33 will make provision around training, qualifications and other eligibility criteria. The question of what kind of training there should be and who pays is something that we discussed at some length on the last Committee day. That was more in relation to care home managers, which was primarily the focus of the questions of the noble Lord, Lord Hunt. The same read-across applies to AMCPs as well. On that occasion, I committed to bringing forward more details of what the training would look like. I also confirmed that, in England, Health Education England and ADASS would be responsible for working with skills for care, and Social Work England. Those are the bodies that would be responsible for overseeing and designing the training. The noble Baroness, Lady Jolly, asked about the rights of individuals. Of course, that would be the centrepiece of any training programme to make sure that those rights are properly respected On the specific question about local authorities naming an individual, I say that the Bill does not prevent them doing so. It is something that they are able to do and, in our view, it does not need to be set out in primary legislation. There is no such requirement for best-interests assessors or approved mental health professionals, I understand, and that has not caused any difficulties in practice. To that extent, we can mimic the arrangements in place there. Making arrangements with other local authorities is again not precluded by the Bill. Clearly, that is something that local authorities will want to do, depending on the arrangements they have commissioned in care across different authorities. I can confirm that we will provide guidance on this in the code of practice Amendment 61A adds to the criteria that must be met for a person to become an AMCP. They must be, “a registered professional, with a minimum of three years clinical experience” A list sets out whom that could include; that list has been added to by one tonight, which in some senses exemplifies the nature of the problem. I completely agree with the noble Baroness: we need to set out not only the kind of professionals but the kind of qualifications and experience. There has to be a balance and a mix between all of those. That will be set out in regulations. The noble Baroness, Lady Barker, asked about the proper place to set out the rigidity or robustness, and we believe that the appropriate place would be in regulations, which provide a degree of flexibility that would not apply if we enshrined this in primary legislation. That is why we are proposing the approach of defining the groups that should be acting as AMCPs.
ParlaMint-GB_2018-10-22-lords.u171	How many cases have been taken to the Court of Appeal on the basis of regulations not being observed, as opposed to something in an Act? I do not expect an answer now, but I would like to know.
ParlaMint-GB_2018-10-22-lords.u172	I am afraid that I do not know, but I will write to the noble Baroness and circulate the letter to all noble Lords To conclude, I hope that I have provided the noble Baroness, Lady Finlay, with the reassurances that she was looking for and that she will be prepared to withdraw her amendment.
ParlaMint-GB_2018-10-22-lords.u173	My Lords, I learned some years ago not to have lists in the Bill, and I have fallen over my own list on this amendment. I am most grateful to the Minister for the reassurances that he has given. A lot of work will need to be done so that we make sure that training is there for the right people at the right time, but for now I beg leave to withdraw the amendment.
ParlaMint-GB_2018-10-22-lords.u174	My Lords, in this group of amendments we begin to get into the issue of IMCAs and how that whole system will operate. In Amendment 63 I use the words, “there is reason to believe”, because I feel strongly that anyone who is concerned about the cared-for person—whether they are family, a friend who knows them well, a care assistant in the care home, if they are in a care home, or somebody who is coming in to wherever they are being cared for, such as supported living—must be able to raise them independently, if necessary anonymously, and to request that an IMCA is appointed to go and see what is happening In Amendment 64 I removed the word “only” because I was attempting to remove the veto from a care home manager. The potential veto of a care home manager has caused so much concern in debate, and a great deal of anxiety in the briefings that have come through to us. I stress that advocacy—we will come on to that overall—needs careful monitoring, too, and people who act as advocates need support and supervision. Not just anybody can be an advocate, and we have to be careful that we do not exclude family and those who know a person well by having an advocate come in when in fact a family member who has known them for years may be in a much better position Also, we have to have a way of screening out advocates who, for whatever reason, may not be the right people to do this at the time. Unfortunately, it is inevitable and part of human nature that people will want to work in a field if they have had some experience of being on the receiving end. But certainly, when you look at bereavement counsellors and so on, they need to have a clear period before they are selected, and they need to be carefully selected and screened, and supervised. We are talking about extremely vulnerable people here, and the last thing we want to do is somehow to open the door to them being vulnerable at somebody else’s hands through our best intentions. I beg to move.
ParlaMint-GB_2018-10-22-lords.u175	My Lords, this is again a rather fundamental indicator of some of the things that are badly wrong with the Bill. The words “best interests” appear in it three times, and twice they are used in relation to a care home manager being able to restrict access to advocacy. As the Bill stands, referral to advocacy is controlled by a relevant person, either the responsible body or the care home manager, and an advocate must be appointed if a person has capacity and requests an advocate—that is quite rare, and I have to say that under the Bill it would be something of a miracle, because they do not have the right to information about not only their current circumstances but about other less restrictive options. The Minister’s statements on information last week, when he referred to GDPR, were so strange that it has taken me a considerable time to work out that he had completely misunderstood that under the current system people have a right to information. They have the right not to request information but to be provided with information, which this amending Bill severely restricts However, the second condition is by far the most worrying. Somebody can request an advocate if the person lacks capacity and the relevant person is, “satisfied that being represented and supported by an IMCA would be in the … person’s best interests” I invite noble Lords to think what would have happened if those words had been in law during Winterbourne View. That is why I am quite happy to use the word “shocking” about the Bill, as this is unacceptable. My amendments would try to get rid of the abuse of the term “best interests” to limit vulnerable people’s access to support. The Minister knows that under the DoLS system, by and large, if somebody requests an advocate, it is up to the relevant body to try to do their best to find one, or that they find an appropriate person. I refer to the point made by the noble Baroness, Lady Finlay, that under case law at the moment, local authorities have the right to override if an appropriate person is not doing their job properly on behalf of the person. That too will be undermined by the Bill The Minister will also know that if somebody has no relatives and nobody else in the world—they are “undefended”, to use that rather archaic but useful and clear term—they have an automatic right to advocacy. I know that much will be made of advocacy being expensive, advocates being a resource that is not readily available, and that people who do not need advocacy will be unnecessarily interviewed. I am quite happy to talk at length to the Government about ways in which advocates or advocacy resources could be better used and better targeted—but absolutely not by drawing it like this, putting this sort of hurdle not even in a code of practice but in a Bill.
