ParlaMint-GB_2018-03-23-lords.u1	That the House do now resolve itself into Committee Amendment to the Motion
ParlaMint-GB_2018-03-23-lords.u69	My Lords, I want to speak as a Peer appointed through the Appointments Commission. I am, as you know, a nurse, and there was huge pressure from the nursing profession to get another Member here. I know that I, like you, was extremely fortunate to be selected, and I know some really excellent nurses who were not. The 1999 Act was designed to make this House more representative of the population that it serves. It is not about being in with a party, it is about contributing to the work of the House. I am aware that several hereditary Peers contribute in an excellent manner, but why should not some of them come through the Appointments Commission and apply in that way in future?
ParlaMint-GB_2018-03-23-lords.u70	My Lords, we have lost sight of one important principle. The Bill of the noble Lord, Lord Grocott, does not eject any hereditary Peer from this House. We value their contribution. Despite the remarks of my noble friend Lord Trenchard, I still support the Bill. In this year of all years, as we celebrate the 100th anniversary of the Royal Air Force, we should all remember the enormous debt that we owe to my noble friend Lord Trenchard’s grandfather, but we really ought now to move on. This House has demonstrated in previous votes a year ago and again this morning—although I accept the strictures of my noble and learned friend Lord Mackay up to a point—conclusively and absolutely that the majority of Members of your Lordships’ House support the principles of the Grocott Bill and therefore oppose this string of amendments which would destroy the Bill We should also have regard to the admirable Burns commission, which perfectly properly parked two questions. One was the question of Bishops and the other was the question of hereditary Peers. But at the same time, it pointed out that if we reduce the size of the House, as those of us who truly care about the House wish, the percentages would be out of joint. Therefore, what the noble Lord, Lord Grocott, is doing, is not against the spirit of Burns at all. Indeed, it makes the enactment of Burns—I should say the acceptance of Burns, because legislation is not needed—all the more necessary and all the easier I say to every hereditary Peer who is here this morning—some are not, many of whom I know strongly support the Bill—that your position is not at risk. Your contributions can continue until you are summoned to higher places or decide to retire. But this is a constructive, modest measure, which has already had overwhelming support from all parts of your Lordships’ House. Those who seek by a maverick exercise to frustrate the will of your Lordships’ House are in fact not serving it in the way they should.
ParlaMint-GB_2018-03-23-lords.u71	For somebody who has just been involved in an extensive filibuster on the European withdrawal Bill, I think that is a bit cool, really.
ParlaMint-GB_2018-03-23-lords.u72	What is offensive is the remark just made by my noble friend. If he had been here, he would have heard that most of the speeches made on the withdrawal Bill have been brief—certainly, mine have been. I have every right, as has every Peer in this House, to speak out on issues of great moment. His slur is unmerited and, if he respects himself and the House, he really ought to withdraw it.
ParlaMint-GB_2018-03-23-lords.u73	I want to just say, in support of what the noble Lord, Lord Grocott, has said, that my understanding is that this Bill has received a Second Reading. Therefore, it is inappropriate to propose amendments that have the effect of destroying the Bill, because that is trying to reverse a decision that the House has already taken The other thing that I want to say is that my noble friend Lord Butler and I have worked together for years and years, but I dispute very much the idea that the only way in which this House could indicate in a very strong manner that it supports the Bill proposed by the noble Lord, Lord Grocott, is by an absurd procedure that requires two Members of this House to record their vote in opposition to what they really believe. I think that there would be something very seriously wrong with the procedures of this House if there were no other ways in which the House could show its support of the Bill The other empirical observation that I want to add is that, if you want to make progress on the whole, it does not help you to interrupt the people who are opposing you.
ParlaMint-GB_2018-03-23-lords.u74	Before the noble Lord sits down, can I just say in reply that, if he reads the newspapers tomorrow or listens to “Yesterday in Parliament”, he will hear that the way in which the House demonstrated that it wanted to support the Grocott Bill was through that Bill.
ParlaMint-GB_2018-03-23-lords.u75	My Lords, I want to say one thing on Amendment 59, which is the last one in this group and is a non-destructive amendment, which is why intrigued me.
ParlaMint-GB_2018-03-23-lords.u76	My Lords—
ParlaMint-GB_2018-03-23-lords.u77	The habit has started in the last few years of interrupting people in the middle, which slows everything up.
ParlaMint-GB_2018-03-23-lords.u78	Will the noble Earl declare an interest?
ParlaMint-GB_2018-03-23-lords.u79	I am a hereditary Peer. It makes no difference, actually, because I am not about trying to preserve things. I know that I will not be thrown out. Lots of people seem to think that it is a bribe to us that we will not be thrown out. If the noble Lord reads it, Amendment 59 shows the intention of the Bill, which is very simple—to change this into an appointed House over the long term without having to go to a vote of both Houses of Parliament. The point about this Bill is that this is a backdoor way of ending up with an appointed House. It might as well declare that intention on the front of the Bill. I know that it is not about throwing us out The one thing that I would like to say to the noble Lord is that it is totally irrelevant whether I am hereditary or not, because I have no interest in this. It is for the future. The only interest that I have is for my grandchildren to be able to elect the people who pass legislation, and if you put this on the front of the Bill it is non-destructive but it points out the intention of the whole thing I shall raise a quick point of interest, and then I shall sit down. The hereditary principle, I am told, was originally invented to stop the King being able to pack this place with cronies. So you established the great families as de facto people in very powerful positions. That is why we have the Earl Marshall and people like that. That is how the hereditary principle started; whether it works is another matter, and I heartily like the fact that we have an independent Appointments Commission bringing people into this House that is not through the political system. That is what worries me, and it is the reason why we should have proper reform, with most of the House elected, before we go down this route—otherwise we are not going to do it.
ParlaMint-GB_2018-03-23-lords.u80	I would also like to speak to Amendment 59, which is in my name and grouped with this, because what the noble Earl, Lord Erroll, has said is absolutely right, and it is an important point that we will come to.
ParlaMint-GB_2018-03-23-lords.u81	Will the noble Earl declare an interest?
ParlaMint-GB_2018-03-23-lords.u82	In deference to the noble Lord, Lord Campbell-Savours, I am not giving way to him but I declare my interest as a hereditary Peer and declare my interest that I know why I am here. Some people in this House are, I guess, still wondering why they are here What the noble Earl, Lord Erroll, has said is absolutely right. I want to pick up three brief points on what has been said. The noble Lord, Lord Foulkes, talked about 15-minute speeches in Committee. I hope that he will pass the Standing Orders on to his noble and learned friend Lord Goldsmith, who spoke for 40 minutes at 10 o’clock at night in moving an amendment, and various others who have prevaricated in that Bill I totally agree with the noble Baroness, Lady Smith of Basildon, on what she said on one Parliament not binding another, but actually, what her noble and learned friend Lord Irvine of Lairg proposed was personal on each of us who came to vote. It was not one Parliament binding another; it was for each of us who turned up to vote. Therefore, it is up to us to decide whether that is a principle that should be maintained, as I do, or that it is not a principle worth supporting anymore On the point about succession, I would be only too happy to support a Bill that gave the first child the right of succession to a hereditary peerage. That would be an extremely good move but, unfortunately, that is not the Bill that we are discussing. I have supported that before, and I would support it again.
ParlaMint-GB_2018-03-23-lords.u83	My Lords, perhaps I could briefly intervene and declare an interest as not being a hereditary Peer. I doubt that I would ever catch the eye of the selectors, even if there were such a provision The noble Lord, Lord Blunkett, referred to the late Ivor Richard. Having been present at those times, I add my appreciation to the great service that Lord Richard did to his country, his party and this House. It was an honour to deal with him, albeit briefly. The misunderstanding in what the noble Lord, Lord Blunkett, said was that the late noble Lord did not support an all-appointed House, which this Bill would produce. I heard many times in those days and since that Lord Richard supported the principle of a two-thirds elected House—believing that the public should be entitled to elect their politicians to both Chambers of this Parliament—and a one-third appointed House. That was his provision, and he was summarily dismissed in 1998 and further and different arrangements were made. My view on the future of this House, to follow on from the noble Earl who spoke, is rather akin to that of the late Lord Richard. I do not see in the longer term why the public should not elect the politicians to both Chambers of this House Apart from the point of honour, which is a personal point, and which, having been involved, I do hold, I accept that that will not count for other Peers, and I respect that and do not expect to bind them to that—but that is something that moves me in this respect, as well as my feeling that it is an objective fact and truth, however much we may protest otherwise, that the longer-term effect of this Bill would be to create an all-appointed House by stealth, bit by bit and stage by stage. That is the inevitable result of your Lordships agreeing to this legislation and, if it went down there, the other place agreeing to it I personally believe that such a proposition of the creation of an all-appointed Chamber permanently as part of our legislature in the 21st century should be brought before Parliament in a serious and major Bill by a Government in future. Yes, if the Labour Party or the Liberal Democrats or even our party succeeds in winning an election, and it is our view that we wish to present a Bill for the abolition of the hereditary peerage and creation of an all-appointed Chamber, that is the proper way in which to proceed in a democracy: to secure a mandate from the public before the election for such a great proposition, and to go forward. In my submission, we should not, in a hole-in-the-wall piece of legislation, move bit by bit towards that end. I detect a certain eagerness, exemplified on the Benches on my side, to push this Bill forward. It has not escaped my notice that some of the most eager are those who wish to create an all-appointed House in the longer term I have sympathy with those hereditary Peers who have spoken. I do not believe that we should start challenging the right by which one sits here. As has been said, that would be a difficult and uncomfortable place for some of us to go to. While we are all here, we are all equal. We are all Peers and should be allowed to be heard. I would not follow my noble friend Lord Hamilton entirely, but having sat through many hours on the European Union (Withdrawal) Bill, the minority sometimes feels it has to hear a lot from the majority. I do not particularly care for majorities ganging up on minorities. I support Amendment 59, and if it is pressed I will vote for it I will make some other brief points. As my noble friend Lord Caithness said, the argument about gender within the peerage is strong and valid, but that matter needs to be addressed by wider legislation on the peerage. If the noble Baroness wishes to attempt that, she can bring legislation forward So far as binding the Parliament’s successor is concerned, the original deal had two parts. The first was that, until the end of that Parliament, hereditary Peers who departed—the proper English word is died—would be replaced by ones on the list of those who had been put forward at the election. It was not conceived at the time that this arrangement would continue, but provision was made by Parliament for it to continue in successive Parliaments. That is the process we have now, which came into effect after the 2001 election. So provision was made specifically for this to last until such time as your Lordships’ House is finally reformed The noble Lord, Lord Steel, who is no longer in his place, referred to his Bill. A serious mistake was made in that Bill—which I did not support—requiring that a hereditary Peer who retires should be replaced. Under the original arrangements, when there was no retirement system, a hereditary Peer who took leave of absence would not be replaced. In the Bill introduced by the noble Lord, Lord Steel, it was your Lordships, in your wisdom, who made the deliberate decision to extend to retired Peers the privilege of being replaced.
ParlaMint-GB_2018-03-23-lords.u84	The noble Lord, Lord Steel, included that provision in order to avoid the kind of exercise we are seeing from some hereditaries today.
ParlaMint-GB_2018-03-23-lords.u85	I do not know about that but, having heard what other hereditary Members of the House have said today, I doubt that would have been the case. At the time, I thought it was a very odd decision, but there it is. That is why retirement is there, and if an amendment comes forward to remove it I will support it, irrespective of the wider provisions The proportion of hereditary Peers is now lower now than it was in 1999, when there were 666 of us. I do not believe that that is a conclusive argument either way: I simply note the fact. I found unattractive the appeal to self-interest of my noble friend Lord Cormack, who said: “You will not be affected, so do not worry, you can come along with us”. That exemplified the eagerness to beguile noble Lords into accepting a long-term result. No one in this House, including my noble friend, should feel they have to act upon self-interest, even if that were the case.
ParlaMint-GB_2018-03-23-lords.u86	I have listened very carefully to the noble Lord, Lord True. His speech was probably the most substantial criticism so far of the Bill—which I support. Does he notice the apparent contradiction at the centre of his arguments? Up until now, the main argument against the Bill is the independence and independent authority of the hereditaries. In his closing remarks, the noble Lord made the opposite argument: the reduction in hereditaries was important because it affected the party-political balance, as the hereditaries had an overwhelming party-political role in the numbers of the Conservative Party. Does he see the apparent conflict in those two arguments?
ParlaMint-GB_2018-03-23-lords.u87	My Lords, I do not see any distinction at all, though I am always grateful for a compliment from the noble Lord, whom I esteem highly. I do not particularly follow the argument about independence. It is true that hereditary Peers come here by a different route, but I have never made that argument. As was said in a challenge to the noble Viscount, it is an objective fact. They come here through election by a political college and they take a political place. I therefore have some doubt about the argument. There are nuances in all these things.
ParlaMint-GB_2018-03-23-lords.u88	Does the noble Lord accept that his point about the disproportionate effect on these Benches is exactly why such a reform might appeal to certain elements in the Labour Party when they become the Government of this country, as they inevitably will?
ParlaMint-GB_2018-03-23-lords.u89	I never like to challenge or take issue with my noble friend, but his argument is—to put it politely—feeble in the extreme. If the Labour Party wished to achieve its historic objective of getting rid of the hereditary peerage and was armed with a popular mandate, I very much doubt it would wait until the noble Lord, Lord Strathclyde, died in 2060 to do so. The noble Lord’s argument is immaterial to that.
ParlaMint-GB_2018-03-23-lords.u90	My Lords—
ParlaMint-GB_2018-03-23-lords.u91	I will not take further interventions. There are serious points to be made against the Bill and some of those that I have addressed remain unresolved.
ParlaMint-GB_2018-03-23-lords.u92	My Lords, very briefly, I am wholly opposed to this whole group of amendments for the very important reason given by the noble and learned Lord, Lord Mackay of Clashfern: these are wrecking amendments. If they were going to be pursued appropriately in your Lordships’ House, they should have been raised at Second Reading as an opportunity to vote against the Bill then. I am particularly opposed to Amendment 59, which has been given so much emphasis in the last few minutes and reads: “Whereas it is no longer intended to substitute for the House of Lords as it at present exists a Second Chamber constituted on a popular basis” That is a subjective supposition. It may be true; I do not know whether it is true. What sort of timescale is envisaged? It is not a fact and, therefore, for us to put it into the Bill would be absurd If I may take this opportunity, the first person who I think would have reacted to that particular suggestion would be our former colleague Lord Richard. I served with him in a number of capacities but, in particular, through a whole year on the Joint Committee on the then draft Bill brought forward by the coalition. He would not have accepted that as a statement of fact, because it is not a statement of fact. It is a supposition. I therefore hope we will dispose of this whole group of amendments and, in particular, dispose absolutely clearly and without any doubt of Amendment 59, if only to make sure that Lord Richard’s view on this issue remains with us. He was always clear and consistent and argued his case with such conviction; we should at least respect that in this case.
ParlaMint-GB_2018-03-23-lords.u93	My Lords, I intervene very briefly on this group in the hope that I can speed things up, because these amendments are clearly designed to wreck the Bill. The vote should have taken place at Second Reading; the noble Lord, Lord Trefgarne, and others decided not to vote against Second Reading. We are now nearly two hours into this debate and we are on the second group of amendments. I conceded the first group entirely to the noble Earl, Lord Caithness, and said that I would accept his amendment. What is taking place now—I know there have been interventions—is an abuse of this House. To be crystal clear about this, virtually none of the contributions has been about this group of amendments—or very few; there have been one or two exceptions. They have been Second Reading speeches, repeating time after time tired old arguments that are long out of date and have been long refuted I very rarely disagree with the noble and learned Lord, Lord Mackay; I can think of no other way in which the House could express its opinion as to the overwhelming majority who support this Bill and are concerned about the reputation of the House and this very small part of our constitution. It is part of our constitution that we have elections in which there are 11 candidates and three people entitled to vote—try to defend that. Do not go into the history books and explain precisely why the original 1999 Act was passed in the way that it was. I could wax lyrical on that—I was working in Downing Street at the time. The noble Lord, Lord Trefgarne, and others, made it pretty plain—by whatever right they must explain for themselves—that the Labour Government, with our majority of 170-odd and with a precise and unarguable commitment in our manifesto to end the hereditary peerage, would be prevented from doing so. It was made perfectly plain to us that many of the 750 hereditary Peers who were here at the time would not just block the Bill—they were intent on doing that—but wreck the Labour Government’s democratically elected manifesto and programme It seems to me that the same thing is happening now, but by different means. A tiny minority in this House are trying to block the overwhelming view of the majority. I greatly respect the procedures of this House. They are terrific in the way that they enable people to make contributions, to table amendments and to speak frequently. It is a great privilege to which we are all party. But to deal with, effectively, just one group in the best part of two hours—after an attempt was made to delay Committee stage—is a clear abuse of this House. If the people who persist in opposing the Bill do not do it by the proper mechanism, which is to vote against Third Reading—Report and Third Reading are to come, quite apart from it going to the Commons thereafter—then their proper course of action is to let the Bill proceed and let it be amended in a way that improves it, not that wrecks it. Then, if they are still not happy—which many of them will not be, I know—it is their right to get rid of it at Third Reading. I think we should expedite this, and I hope that the noble Lord, Lord Trefgarne, will quickly withdraw his amendment and others will not move substantial amendments. I can see that they make the House look ridiculous and, in some cases, make themselves look ridiculous.
ParlaMint-GB_2018-03-23-lords.u94	Perhaps I may remind the noble Lord that, in the previous Parliament, when he was Chief Whip, on the boundary changes Bill, his party kept your Lordships up all night, filibustering with what were, in effect, Second Reading speeches, to frustrate that Bill. He cannot have it both ways.
ParlaMint-GB_2018-03-23-lords.u95	May I just remind the House of whether the Bill became law?
ParlaMint-GB_2018-03-23-lords.u96	The noble Lord’s party blocked the Bill; that is my point.
ParlaMint-GB_2018-03-23-lords.u97	I am afraid the noble Lord needs to attend rather more frequently before he makes interventions on what happened when. The Bill was passed. There were long discussions and long debates; I do not object to that. However, what is happening here is a deliberate attempt to do in Committee what should have been done at Second Reading. These are age-old procedures and I respect them enormously: First Reading, Second Reading, Committee, Report and Third Reading. To do what is being done now in Committee is an abuse and it should stop.
ParlaMint-GB_2018-03-23-lords.u98	My Lords, before the noble Lord sits down, he has spoken of abuse—we are in Committee, so I may come back—I believe that I tried to make a reasonable speech and I asked the noble Lord a specific question on Amendment 33A. He has not had the courtesy to respond. I am disappointed by that; it was meant as a constructive amendment to enable progress to be made, I do not accept widespread, scatter-gun accusations of abuse against those of us who seek to make a contribution on this matter.
ParlaMint-GB_2018-03-23-lords.u99	My Lords, the noble Lord, of all people, should know that we will debate Amendment 33A when we reach it. If I start responding to amendments we have not even reached, we will go on even longer.
ParlaMint-GB_2018-03-23-lords.u100	My Lords, when I moved Amendment 2 a little while ago, I should have said that I was speaking at the same time to Amendments 5, 24, 31, 35, 52, 53 and 59. I beg leave to withdraw Amendment 2.
ParlaMint-GB_2018-03-23-lords.u101	I beg to move.
ParlaMint-GB_2018-03-23-lords.u102	My Lords, I shall speak to this group of amendments. I also resent the accusation that I have been using delaying tactics. After the noble Lord, Lord Grocott, intervened to accept my Amendment 1, I immediately sat down so that progress could be made The noble Lord has presented his arguments under two headings. The first is that he has this prejudice against hereditary Peers and their succession. This is part of Labour policy, I fully understand that, and I fear that there is also probably resentment at being out-argued by my noble friends Lord Cranborne and Lord Strathclyde in 1999. The Prime Minister at the time is not the first person to have been out-argued by a Cecil, and doubtless will not be the last. That is well known in history The second flank of the noble Lord’s argument is about the by-elections. He has made some very witty speeches and written witty articles on this subject. These amendments deal with the by-elections. I wish to address in particular Amendment 10 in this group. The noble Lord has pointed out, at Second Reading last year and before that, that some circumstances in which certain by-elections are conducted are not entirely compatible with modern thinking on how they should take place. He has a point. However, the point of these amendments is to retain the by-elections but give the noble Lord what he wants: namely, a change in how they are constituted.
ParlaMint-GB_2018-03-23-lords.u103	The noble Earl really must acknowledge what he is doing. It is not a question of amending the by-elections; the clue is in the Title of the Bill, which includes the words, “Abolition of By-Elections”, so all the amendments in this group are clearly trying to reverse or block the fundamental purpose of the Bill. They are all about changing bits and pieces in the mechanism by which the by-elections take place. These by-elections are unimprovable, and the noble Earl ought to acknowledge that this whole group of amendments would wreck the Bill. I hope that he will draw his comments to a conclusion.
ParlaMint-GB_2018-03-23-lords.u104	My Lords, if that is the noble Lord’s sole argument he should not have said what he did at Second Reading and he should not have used those arguments in his recent articles. He argued very firmly that the present basis of election was unfair in some aspects and rather stupid in others. We are seeking to correct that. If the noble Lord is going to absolutely set his mind against that, he should not have said what he did at Second Reading or written what he did; that is the equivalent of claptrap, because it has absolutely nothing to do with the fundamental point I support my argument with a few quotes from when this issue was debated in another place. I refer particularly to the comments of the then Sir Patrick Cormack, now my noble friend Lord Cormack, who said: “I believe without equivocation … that the House of Lords will be better for the 92” I understand that he has changed his mind but I think he ought to explain that to the House.
ParlaMint-GB_2018-03-23-lords.u105	I did that as the party’s Front-Bench constitutional affairs spokesman in another place, welcoming what was happening at that time. As has been made very plain by the noble Baroness the Leader of the Opposition in this House, no Parliament can bind its successor. We are now almost 20 years on. I would therefore ask my noble friend to reflect on what he has said.
ParlaMint-GB_2018-03-23-lords.u106	My Lords, I have reflected and I have stated exactly what I did. My noble friend also went on to say that we should, “recognise that the interim House, as it is called by some, which will assemble next week, could exist for some considerable time”.—[Official Report, Commons, 10/11/99; cols. 1200-01.] So my noble friend knew exactly what the situation was, and what he said was repeated by John MacGregor, now the noble Lord, Lord MacGregor of Pulham Market.
ParlaMint-GB_2018-03-23-lords.u107	I think I am right in saying that the noble Earl is the 20th Earl of Caithness and his title goes back many centuries. Instead of speaking here, would it not be better if he went back up to Caithness, got down on his knees and thanked the Lord that he lives in the United Kingdom and not in France, where they had a rather more ruthless way of getting rid of their aristocracy?
ParlaMint-GB_2018-03-23-lords.u108	Well, some survived that too and doubtless some of us will survive this onslaught against us. My noble friend Lord Deben, the then Mr Gummer, also said what a good thing it was to have some hereditaries here because: “A society is better run when, even if it is not entirely rational, power is spread a bit, with the opportunity for different people to make different comments about different things.—[Official Report, Commons, 10/11/99; col. 1173.] All I am asking is that the noble Lord, Lord Grocott, consider that we amend the way by-elections take place at the moment to make them for the whole House rather than just individual parties, and that we revisit this when, as I said earlier, there is greater implementation of the report of the noble Lord, Lord Burns.
ParlaMint-GB_2018-03-23-lords.u109	In this short intervention I support the proposition to which I referred earlier that the by-elections should be conducted on an all-House basis.
ParlaMint-GB_2018-03-23-lords.u110	For the benefit of the public, will the noble Lord declare an interest?
ParlaMint-GB_2018-03-23-lords.u111	My Lords, there are arrangements for declaring interests set out in Standing Orders. I do not think that what the noble Lord proposes is required by Standing Orders. If he would like to arrange for the Standing Orders to be changed, that, of course, would be another matter As I was saying, I believe there is a powerful argument for running all by-elections on an all-House basis, as those for the so-called officeholders are at present. Also, the list of candidates for hereditary Peer by-elections has, I think, only one female on it. I have a Private Member’s Bill waiting in the list behind the noble Lord, Lord Grocott, to change all that. I hope your Lordships will support it.
ParlaMint-GB_2018-03-23-lords.u112	My Lords, this is all about the by-election process. If the noble Lord, Lord Campbell-Savours, would like to declare how he got here and what he did to get here, I would be very happy.
ParlaMint-GB_2018-03-23-lords.u113	I want to speak on behalf of my noble friend. He served as a Member of Parliament with great distinction for many years and looked after the interests of thousands of people; he deserved to get here.
ParlaMint-GB_2018-03-23-lords.u114	Thank you for that but in the same way that we have to declare interests, the noble Lord should also have to. I am sure that he has served with great distinction but does that, towards the end of the career, qualify him for going automatically into the House of Lords Leaving that aside, I go back to the nub of what I want to talk about, which is the by-elections. I have been reading the 1999 Act. As far as I can make out, the whole thing, including the party proportions, is set in our Standing Orders; it is not in the primary legislation. So, actually, as an interim measure, I would have thought the first thing we should do is amend our Standing Orders to make them more sensible. I know that there will be changes in the party balance but I think that is right. Having done that, we can then deal with the democratic issue of whether or not we slowly become an appointed House. I realise that for some people that will not be acceptable, because it might result in there being less pressure to change to an appointed House more quickly. I personally think that we should look first at our Standing Orders. That is what this series of amendments is about. However, I do not think they need to be in primary legislation to achieve that.
ParlaMint-GB_2018-03-23-lords.u115	My Lords, unfortunately, the contributions that have been made have to be dealt with even though they clearly do not address this group of amendments. Changing the Standing Orders does not alter the fundamental reason why these by-elections must end. A key argument, which has already been made, is that changing the Standing Orders will not alter the gender balance of the people who sit in the Lords currently as hereditary Peers. As my noble friend rightly reminded us, people are watching this debate and, I guess, wondering what on earth is going on, so we need to remind them of the facts. Of the 92 hereditary Peers in the House at the moment, one is a woman and she supports my Bill. It is worth remembering as well that in the 19 years since the original Act was passed, the situation has got worse. There were four women among the original 92, so the whole operation has got worse during the 19 years of this temporary measure. It has no prospect of getting better under the present system, and Standing Orders do not touch this because, of the 198 people who are currently on the register of hereditary Peers, just one, coincidentally, is a woman. None of these amendments addresses that. Do we really say that in 2018 we should continue with a system, even when the size of the House is diminishing overall, in which 92 protected places are virtually exclusively male? I hope that before anyone speaks on any of these amendments to try to improve the unimprovable, which is the current system of by-elections, they will address that problem and why they continue to support an effectively men-only 92 bloc that cannot be reduced, and which will not be reformed unless my Bill goes forward.
ParlaMint-GB_2018-03-23-lords.u116	My Lords, I will speak to this group, with particular reference to Amendment 25 I am conscious that I was not born with a silver spoon in my mouth; I was born with a broken leg, which is how doctors diagnosed my disability. I therefore have no more of an interest in the perpetuation of privilege than I do in the perpetuation of prejudice on the grounds of disability, for example. But surely we all have an interest in ensuring that a focus on privilege does not prejudice either the perpetuation of the noble tradition of public service or, crucially, our capacity to reform and strengthen your Lordships’ House and improve it from within I am struck by the simple fact that not that long ago, someone like me would have been lucky to get into a workhouse, never mind your Lordships’ House, because of my disability. Fortunately, attitudes have changed, society has evolved, and social reform achieved over many decades has enabled me to contribute to your Lordships’ House as a Member. I thank all noble Lords, past and present, for enabling that to happen, including social reformers among hereditary Peers I am not against reform. Indeed, it is essential, which is why I want your Lordships’ House to retain the power and the opportunity to reform itself from within. By-elections—in accordance with Amendment 25, of all Members of your Lordships’ House—give it that power because through by-elections we have the opportunity to address the point made by the noble Baroness, Lady Watkins of Tavistock, about the representative nature of the House. We have the opportunity to change the face we present to the public. The total number of Peers—a subject some noble Lords have mentioned today—may be important to us. The fact that on paper—if not in attendance, since the average daily attendance in the 2016-17 Session was 484—we are larger than the elected House may weigh heavily on our consciences. But I would be prepared to wager that what is far more important to the person in the street in terms of the legitimacy of your Lordships’ House is that noble Lords are more representative, not necessarily politically but in terms of women, disabled people and people from black and minority-ethnic and LGBT backgrounds I appreciate that, as has already been touched on, as the law stands, the vast majority of titles may be inherited only by a man. I do not support that, and indeed I know that my noble friend Lord Trefgarne has, in the past, attempted to legislate on that issue. Unfortunately, we are constrained as to what we can do as a House in that area. However, we can surely do our bit on disability, because I know of at least one hereditary Peer whose ancestors served our country with distinction as Members of your Lordships’ House who would love to have the opportunity to do the same themselves by standing successfully as a candidate in a by-election of your Lordships’ House. I can think of no more powerful message to send to the public that we are both capable of and committed to making your Lordships’ House more representative than if we were to use by-elections to elect more disabled Peers to serve as Members of it.
ParlaMint-GB_2018-03-23-lords.u117	We all value enormously the contribution which my noble friend makes to this House, and I very much support his view about improving the diversity of this House and having more disabled people in it. But surely by limiting the cohort in the way that by-elections do, he is arguing against himself.
ParlaMint-GB_2018-03-23-lords.u118	I do not accept that point, because if one looks at the appointments to this House, one can argue that if we were all to agree today that in future by-elections we would prioritise the election of disabled hereditaries, we could make quite significant progress on improving the composition I will close with the following point, on which I hope we can all agree. We recently marked the centenary of women aged 30 and above being given the vote. Would it not be wonderful if, to complement our commitment to reform from within through by-elections, we also gave our support to this country’s second woman Prime Minister should the majority of people whom she recommends that Her Majesty send to your Lordships’ House be women, with a significant proportion of them from BAME backgrounds? Both measures, taken together, would do more to strengthen the legitimacy of your Lordships’ House than any reduction in our numbers, important though that is. The retention of by-elections is therefore a crucial part of the organic process of reform from within. For that reason I support Amendment 25.
ParlaMint-GB_2018-03-23-lords.u119	My Lords, I am grateful for all the contributions we have just heard, and I beg leave to withdraw the amendment.
ParlaMint-GB_2018-03-23-lords.u120	My Lords, I would like to move Amendment 10, and I am emboldened to do so by what my noble friend Lord Shinkwin just said. It is worth reminding the House that at the moment, there are 214 ex-politicians in this House. Add to that—
ParlaMint-GB_2018-03-23-lords.u121	My Lords, I remember distinctly, because it was only 20 minutes or so ago, that when we began discussing this group, the lead amendment of which is Amendment 6, the noble Earl, Lord Caithness, devoted most of his speech to Amendment 10, which is in this group. He has been in this House for 40 years or something of that nature, though not as long as the noble Lord, Lord Trefgarne, so he knows we have dealt with this group of amendments. Of course he may want to speak to his point at a later stage of the consideration of the Bill, but he has already addressed the specific point of this amendment within the group that we have now disposed of. I respectfully suggest to him that we should move on to the next group, which begins with Amendment 11.
ParlaMint-GB_2018-03-23-lords.u122	I do not think the noble Lord is right. Although the amendments are grouped for the convenience of the House, you can still speak to an amendment individually whether or not it has been in a group. I am speaking to Amendment 10. I just wanted to add a few words because I wish to test the opinion of the House on this, as I think it is important. There are at the moment 214 ex-politicians in this House, added to which there are another 101 ex-councillors, and I have excluded councillors who became politicians in later life. That is about 40% of the House. If one removes the hereditaries, the balance of the House shifts yet further. It is for that reason that I think we ought to have an electoral system that is different from the one that we have at the moment, and I beg to move.
ParlaMint-GB_2018-03-23-lords.u123	My Lords, I have to tell your Lordships that in the first Division the number voting Not Content was in fact 129, not 127 as announced Motion
ParlaMint-GB_2018-03-23-lords.u124	That the House do now resume.
ParlaMint-GB_2018-03-23-lords.u125	My Lords, the business list for today indicates that after we have received the reply to the Urgent Question, the House will move into Committee on the conscientious objection Bill. As we have made good progress on the Bill of the noble Lord, Lord Grocott, I suggest that we keep going on that to see whether we can get through the rest of that business today, rather than move on to the Committee of another Bill.
ParlaMint-GB_2018-03-23-lords.u126	My Lords, I understand the appetite to make progress on the Bill that we have been discussing. There have been discussions through the usual channels, including with the sponsor of the Bill, and it has been decided to split the day half and half between the Bill we have just been discussing and the conscientious objection Bill. I think that the House ought to stick to the arrangement agreed through the usual channels.
ParlaMint-GB_2018-03-23-lords.u127	My Lords, can the noble Lord say whether further time will be available for the Committee stage of the Bill of the noble Lord, Lord Grocott? That may be something that exercises the people who are interested in it.
ParlaMint-GB_2018-03-23-lords.u128	The Government will not be making time for the Bill. Its progress on a Friday is something that will need to be discussed with the Chief Whip.
ParlaMint-GB_2018-03-23-lords.u129	My Lords, that is why I proposed that we should keep going on this Bill. We have made good progress on it and, as the noble Lord has indicated, there is no assurance of getting further time for it. I accept that an agreement has been reached through the usual channels but the House is sovereign on these matters and I would like to put it to the House that, after we have heard the Answer to the UQ—
ParlaMint-GB_2018-03-23-lords.u130	I am grateful to the noble Lord for giving way. Although I personally have every sympathy for the Bill of my noble friend Lord Grocott, and I would like to hear whether he feels that there is a way of getting it through the House, the second Bill raises some very significant ethical issues which it is important to discuss. The conscientious objection Bill is not a trivial measure and it is right and proper that we discuss it in Committee, as arranged by the usual channels.
