ParlaMint-GB_2018-06-13-commons.u1	1. What progress is being made on the roll-out of universal credit in Wales.
ParlaMint-GB_2018-06-13-commons.u204	rose—
ParlaMint-GB_2018-06-13-commons.u205	rose—
ParlaMint-GB_2018-06-13-commons.u206	rose—
ParlaMint-GB_2018-06-13-commons.u207	I see that a former shadow Secretary of State wants to get in, but I will take the right hon. Member for Orkney and Shetland (Mr Carmichael) first, and then the shadow Leader of the House.
ParlaMint-GB_2018-06-13-commons.u208	On a point of order, Mr Speaker—this is, in fact, further to the point of order from the hon. Member for Moray (Douglas Ross). As you have said, Mr Speaker, applications should normally be made by half past 10 in the morning. Obviously, I did not make such an application, but Standing Order No. 24, subsection (4), allows you, Mr Speaker, to consider an application if “the urgency is not so known” at 10.30 am, and notice can be given “as soon thereafter as is practicable.” My suggestion to you, Mr Speaker, is that the urgency became apparent at the point at which the right hon. Member for Ross, Skye and Lochaber (Ian Blackford) decided that pulling a stunt was more important than allowing Scottish Members a proper debate on this subject.
ParlaMint-GB_2018-06-13-commons.u209	I am very grateful to the right hon. Gentleman, and I say that with sincerity. He is an accomplished and dextrous lawyer—[Interruption.] Well, I think he is an accomplished fellow. What I say to him is “nice try”, but I am afraid that it does not work. The reason why his argument, or thesis, if I may dignify it thus, does not quite work is that the matter in question, which was arguably urgent or even constituting an emergency, was the need for a debate on the Sewel convention, adherence to, violation of or non-compliance with it. That was the urgent matter, and not the fact that there was subsequently an eruption, whether pre-arranged or otherwise, in the Chamber. I do not blame the right hon. Gentleman for having a go—he would not be the versatile lawyer he is if he did not—but I am afraid that it does not work on this occasion. I rather think that the genial smile on his face suggests to me that he knows he was being a cheeky chappie. We will have to return to these matters subsequently—I hope at not such excessive length, but I will take the remaining points of order briefly.
ParlaMint-GB_2018-06-13-commons.u210	On a point of order, Mr Speaker. May I seek your advice on clarification about this misinformation that seems to be circulating that the Opposition did not want to take part in the debate on devolution yesterday and on the amendments? You will know, Mr Speaker, that the Opposition voted against the Government’s programme motion. Initially, we were allocated only 12 hours, but then under pressure, it was extended to two days. My hon. Friend the Member for Glasgow North East (Mr Sweeney) made this point yesterday through a point of order and was shouted down. My hon. Friend the Member for Darlington (Jenny Chapman) mentioned in the debate that the only voice that would be heard was the Deputy Prime Minister’s. Could we seek your clarification on the fact that the Opposition did want the extra time to debate the devolution amendments?
ParlaMint-GB_2018-06-13-commons.u211	I am not sure that it is for me to interpret proceedings, and to attempt to place my own construction on motivation not publicly declared, but what I would say to the shadow Leader—I think I can say this without fear of contradiction, because it has the advantage of being true, and demonstrably true—is that the Opposition opposed the programme motion. That is a matter of unarguable, incontrovertible fact. There was a Division on the matter, and I was notified by the Opposition Chief Whip, the right hon. Member for Newcastle upon Tyne East (Mr Brown), courteously—he was not obliged to notify me, but he did notify me in advance—of an intention to oppose that motion, so it certainly should not be said that the motion was bought into by or was under the ownership of the Opposition. It was a Government programme motion I have tried throughout these difficult altercations of the last 24 hours to be scrupulously fair. As I said to Scottish National party Members last night in the presence of the Chancellor of the Duchy of Lancaster and Minister for the Cabinet Office, the Minister was not guilty of any procedural impropriety yesterday at all. He was entirely entitled to speak for the length of time that he did in setting out the Government’s position and indeed, characteristically, taking a very significant number of interventions, including from people who subsequently complained about the fact that they did not have the chance to speak. He was entirely in order and the Government were procedurally perfectly in order to operate as they did in the construction and submission to the vote of the programme motion. The Standing Order is written in that way presumably for a reason, and it has been written, in a sense, and approved with Government support. There was nothing disorderly about that, but it certainly was not the Opposition’s programme motion. It is abundantly clear to me that the Opposition were opposed to the programme motion. I do not think that I need to add anything more beyond that.
ParlaMint-GB_2018-06-13-commons.u212	Further to that point of order, Mr Speaker. I am grateful to have caught your eye from such an unfamiliar place in the Chamber. We had lengthy points of order yesterday on what the shadow Leader of the House has just intimated, and we were looking forward to the Standing Order No. 24 application today, so that we could represent our constituents on major amendments relating to devolution and the European Union (Withdrawal) Bill. Given that we no longer have that Standing Order No. 24 opportunity because of the childish antics of certain Members of this House from the Scottish National party, I wonder whether, through you, I could ask the Secretary of State for Scotland, who is in his place, whether he would be willing to bring forward a statement in the House today, or first thing tomorrow morning, so that Scottish Members who are here, with their voice, to represent their constituents can make the points about the Sewel convention that were the basis of the Standing Order No. 24 application and so that the SNP cannot gag us as well as themselves on behalf of the people of Scotland.
ParlaMint-GB_2018-06-13-commons.u213	I am very grateful to the hon. Gentleman for that. I simply say to him that I do not think I need to consult the Secretary of State for Scotland on this point. There is no possibility of a statement on that matter today, even if the Secretary of State were minded to volunteer it. That would interfere with our proceedings in a way that a lot of Members would regard as frankly unsatisfactory. In so far as the hon. Gentleman is seeking some guidance from the Chair, I would say that that would not be appropriate today. Tomorrow is another day. I simply point out, without wanting to venture further into this otherwise hazardous terrain, that even had an Standing Order No. 24 application been successful, the debate would not have been today—it would have been on a subsequent day. The debate would not have allowed any vote on any propositions appertaining to parts of the European Union (Withdrawal) Bill; it would simply have been a debate on a “take note” motion. There could be such a debate subsequent to today; tomorrow is another day and let us wait to see what happens.
ParlaMint-GB_2018-06-13-commons.u214	rose—
ParlaMint-GB_2018-06-13-commons.u215	I must apologise to the right hon. Member for Derby South (Margaret Beckett), because she has an important point of order, which hails from her experience not just as the Member for Derby South, but as a former Leader of the House.
ParlaMint-GB_2018-06-13-commons.u216	On a point of order, Mr Speaker. Will you confirm that under the rules of order of this House, if the parliamentary leader of the SNP had had his way, not only the baby to whom you referred but every member of the public and indeed of the press would have been cleared from this House? Can you inform me, because I am not now sure about this, whether under present circumstances it would also have led to the cessation of the broadcasting of this House, which would have brought a great loss in public scrutiny?
ParlaMint-GB_2018-06-13-commons.u217	In the first instance, people would have had to exit the Gallery—I am pretty certain of that and the right hon. Lady is quite right. The specific proposition was that the House do sit in private. I do not know whether amid the hubbub people heard that that was the thrust of what the leader of the SNP here was requesting, but it is the gravamen of what he was requesting and it would have required members of the public to exit the Gallery at once. If the motion had been carried, the broadcasting of our proceedings would have had to be halted with immediate effect. It is important that people understand the implications of some of these devices that people use I also add, without prejudice to any particular application but on the basis that I think the House will believe me and that the record shows this to be true, that I am very open to urgent questions being heard in this place and to Standing Order No. 24 debates taking place, whether the Government of the day particularly like it or not. I might make the judgment, as Speaker, that it is in the interests of the House for such a debate to take place, but of course if people absent themselves when they have the opportunity to make these applications, they cannot then complain. I really do think it would be a good thing if we perhaps brought to a close the operation of stunts and focused instead on the proper discharge of our responsibilities in this place. I thank the right hon. Lady for her point of order.
ParlaMint-GB_2018-06-13-commons.u218	On a point of order, Mr Speaker. Will you confirm that where someone is named, as happened today, they have to leave the House for the remainder of the parliamentary business? I believe they also give up pay for the day. They certainly cannot vote in any proceedings that happen in the day, so the implication of what the leader of the SNP parliamentary group did today, apart from pull a stunt, is that he made it easier for the Government Chief Whip to get his business through.
ParlaMint-GB_2018-06-13-commons.u219	I hope the hon. Lady will understand when I say that all she needs to know, and all the House needs to know, is that the right hon. Member for Ross, Skye and Lochaber is out for the day. You cannot be half in and half out. You cannot come in and out.
ParlaMint-GB_2018-06-13-commons.u220	Not like the customs union.
ParlaMint-GB_2018-06-13-commons.u221	We are not talking about the customs union. The fact is that the Member is out for the day. He cannot speak today and he cannot vote today. The position has now been made crystal clear.
ParlaMint-GB_2018-06-13-commons.u222	rose—
ParlaMint-GB_2018-06-13-commons.u223	The right hon. Gentleman is on his feet, so let us hear the fellow.
ParlaMint-GB_2018-06-13-commons.u224	Further to that point of order, Mr Speaker. I just wondered whether you were aware of a piece of paper that came into my possession just before the start of today’s business. It listed points of order to be made on the European Union (Withdrawal) Bill, with eight of them written out. It even had words such as “outrage” and “disappointment” in three of them. I am happy to put this in the Library so that all Members can get hold of it.
ParlaMint-GB_2018-06-13-commons.u225	I simply say to the right hon. Gentleman that there will have to be quite a lot of copies.
ParlaMint-GB_2018-06-13-commons.u226	rose—
ParlaMint-GB_2018-06-13-commons.u227	Of course I take a point of order from Mr Dennis Skinner.
ParlaMint-GB_2018-06-13-commons.u228	On a point of order, Mr Speaker. As a bit of an expert on being thrown out, may I just explain to you that there are various ways of throwing people out? Obviously, one is where everybody follows, but that has never happened in my case. Secondly, it has been possible for somebody to be sent by the Speaker’s Office to the room upstairs that I inhabited and for them to say to me, “On reflection, the Speaker said you can stay.” That is a different way. Another way is where people are sometimes barred from the House but not from the building. These variations have something to do with the Speaker at the time. So all I want you to explain to me is: just which one is this, because it is different?
ParlaMint-GB_2018-06-13-commons.u229	I am always open to discussing these matters with the hon. Gentleman. I did not discuss this matter with him at 7.30 am, because, obviously, the eruption had not happened by then. However, as I toddled my way back from the health club this morning, we did discuss the question of last night’s points of order. He volunteered his opinions to me about that matter with his customary forthrightness, of which I was duly appreciative. He asks what type of exclusion today’s was. The answer is that the right hon. Member for Ross, Skye and Lochaber was excluded from the Chamber and from the precincts of the Palace of Westminster for the remainder of the day. I think that is now clear. If there are no further points of order, and I hope there are not, as we have a long way to go and many hours of Chamber debate to come, we will now come to the presentation of Bills Bills Presented Employment Guarantee Bill Presentation and First Reading (Standing Order No. 57) Frank Field, supported by Sir Nicholas Soames, Jack Brereton, Margaret Beckett, Stephen Timms, Jeremy Lefroy, Sir Roger Gale, Kate Hoey, Ruth Smeeth, Sammy Wilson, Jim Shannon and Diana Johnson, presented a Bill to require the Secretary of State to guarantee paid employment for six months for claimants of Jobseeker’s Allowance, or the jobseeker’s component of Universal Credit, who have been unemployed for six months or longer; and for connected purposes Bill read the First time; to be read a Second time on Friday 6 July, and to be printed (Bill 224).
ParlaMint-GB_2018-06-13-commons.u230	That is a very good day—the first Friday of Wimbledon Animal Welfare (Service Animals) Bill Presentation and First Reading (Standing Order No. 57) Sir Oliver Heald, supported by Sir Roger Gale, Sir Paul Beresford, David Hanson, John Spellar, Mr Ben Bradshaw, Neil Parish, Gareth Thomas, Maggie Throup, Mr Nigel Evans, Jim Fitzpatrick and Sir Mike Penning, presented a Bill to amend the Animal Welfare Act 2006 in relation to service animals Bill read the First time; to be read a Second time on Friday 15 June, and to be printed (Bill 225).
ParlaMint-GB_2018-06-13-commons.u231	I beg to move, That leave be given to bring in a Bill to require producers of packaging products to assume responsibility for the collection, transportation, recycling, disposal, treatment and recovery of those products; and for connected purposes In recent years, Members of Parliament have worked hard on this issue in an attempt to safeguard our wildlife and oceans for future generations. I pay tribute to their efforts, and I am grateful to colleagues from all parties for their support for the Bill. Packaging pollution first came to my attention more than 10 years ago, while I was working as an adviser to Ministers in the Welsh Government. Back then, the impact that packaging and plastic pollution were having on wildlife, natural resources and climate change was becoming increasingly evident. That is why in Wales we introduced the 5p charge on single-use carrier bags, which has resulted in a 71% reduction in their usage since 2011. That is a perfect example of the difference that can be made when a Government acts The UK Government followed Wales with a 5p charge in England four years later, but since then their commitment to addressing the overwhelming amount of single-use and non-recyclable packaging that we use every day can only be described as erratic at best. David Attenborough recently said: “Wherever I go now, whether it be in the mountains, on the moors or on the coast there is discarded plastic everywhere. The government hasn’t a clue, by the time they act it will be too late.” Only last week, tests carried out by Greenpeace found that even in the remotest parts of Antarctica there is microplastic contamination. Not only is it ruining one of the most pristine environments on the planet, but the tiny shards of plastic—often less than a twentieth of a millimetre wide—can be mistaken for prey by tiny marine animals. Those microplastics then make their way up the food chain, potentially inflicting harm on larger animals such as sea birds and whales, as well as getting into our food chain via shellfish My father spent two years in Antarctica with the British Antarctic Survey, from 1961 to 1963. I am really proud of the pioneering work that he carried out there—and even more proud that it was recognised by the naming of the McMorrin glacier after him. I remember from when I was growing up his many stories of life in that vast, beautiful, untouched landscape and of how the natural world shaped him. His passion for the environment and his determination to change things has stayed with me. It is unthinkable that our actions today are threatening those previously untouched landscapes, and many others just on our doorstep We have now reached a crisis point. In Cardiff, clean-up volunteers describe seeing on the banks of our rivers piles of takeaway cartons, broken-up polystyrene, and even a swan’s nest made of plastic bottles. The founder of the Cardiff rivers clean-up group said: “There is a huge opportunity with people wanting to make a difference, the governments need to be a lot stronger, stop talking and just do it.” A recent study by Eunomia suggests that UK Government figures drastically underestimate how much plastic packaging waste Britain generates. Its analysis suggests that it is a staggering 50% higher than projected. However, that is unsurprising considering that Eunomia also analysed the composition of UK waste and found that the system for calculating recycling rates is inclined to overestimate success. That is not ideal when we use those figures to make decisions and future projections In France, there is a proposed 50% penalty for packaging that is not easily separated and that is therefore considerably disruptive to the recycling stream, such as coffee cups and black plastic packaging, which is problematic. Instead of just introducing a higher penalty, the Government need to address a common complaint of producers, which is that the current system does not substantially reward, and therefore encourage, recyclability in product design. A solution could be to introduce bonuses for producers via a reduction in the levy that they pay. The bonuses could cover three categories, including reducing the packaging weight of their product, making it easier to recycle, and raising awareness by applying a clear and correct label to the product Why is the Bill so important? Because crucially, with extended producer responsibility currently not enshrined in law, the cost of recycling falls to councils, which are already struggling to pay for social care, education and community services, while also being asked to pick up the tab for recycling and waste management. Currently, businesses that handle packaging are required by law to pay for the recycling and recovery via compliance schemes, whereby the more packaging they produce, the more they pay. Between 2014 and 2016, the average revenue from that compliance was about £60 million a year, but the estimated cost of the delivery of recycling services across local authorities is nearly £600 million. So even if local authorities benefited from the full amount, it would still come to only 10% of the cost borne by local authorities. It is a cheap form of compliance for the producer, but one that means that others pay the cost of ensuring that products are properly recycled and disposed of at the end of their life cycle, which is absolutely necessary. Research shows that more than half of UK councils have had to cut budgets for collections and for communications and advertising for kerb-side plastics recycling The aim of the Bill is to encourage producers to take responsibility, not only for the product but for its disposal—to be responsible for the clean-up and not just contribute to it. It would encourage producers to innovate and change the packaging of their products and to contribute more to getting better recycling infrastructure for all councils within whose area their product is consumed Most importantly, this Bill is what the British public are calling out for. A recent study shows that almost all 16 to 75-year-olds in the UK are concerned about the effects of plastic waste on the environment, with 54% willing to buy more products made from recycled materials, but there is only so much that consumers can do if alternatives are not available. In my constituency of Cardiff North, students at Rhiwbeina Primary School have started the Kids Against Plastic #PACKETin campaign. The children collect crisp and chocolate wrappers and post them back to the manufacturers with a letter asking them to switch to packaging that can be recycled. That is a positive campaign that gives our next generation a voice—but are the producers listening Some supermarkets are willing to play their part and listen to customers, but they cannot force independent producers to change their packaging. Manufacturers welcome the Bill because it would help innovation and drive growth. That is why I urge the UK Government to take heed, work with me on the Bill and respond to the growing number of voices becoming more and more frustrated by being unable to prevent packaging pollution. The BBC’s “Blue Planet” has had a massive impact on our psyche. Who can forget the image of the turtle wrapped in a plastic sack, or the photo of the stork wrapped in a plastic bag? If the UK Government do not use their power to legislate properly, such images are going to keep on coming. I commend the Bill to the House Question put and agreed to. Ordered, That Anna McMorrin, Mary Creagh, Zac Goldsmith, Ben Lake, Kerry McCarthy, John Mc Nally, Dr Matthew Offord, Jo Platt, Liz Saville Roberts, Mr Barry Sheerman, Alex Sobel and Matt Western present the Bill Anna McMorrin accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 26 October, and to be printed (Bill 226).
ParlaMint-GB_2018-06-13-commons.u232	I remind the House that financial privilege is engaged by Lords amendment 3 Clause 19 Commencement and short title
ParlaMint-GB_2018-06-13-commons.u233	I beg to move amendment (a) to Lords amendment 51.
ParlaMint-GB_2018-06-13-commons.u234	With this it will be convenient to discuss the following: Lords amendment 51, amendment (b) thereto, and Government motion to disagree Lords amendment 1, amendment (a) thereto, and Government motion to disagree and Government amendment (a) in lieu Lords amendment 2, amendment (a) thereto, and Government motion to disagree and Government amendment (b) in lieu Lords amendment 5, and Government motion to disagree Lords amendment 53, Government motion to disagree, and Government amendment (a) in lieu Lords amendment 4, and Government motion to disagree Lords amendment 3, motion to disagree, and amendments (c), (e) and (d) in lieu Lords amendment 24, Government motion to disagree, amendment (i) and Government amendment (ii) to Government amendment (a) in lieu, and Government amendments (a) and (b) in lieu Lords amendments 32, 6 to 9, 33 to 36, 38, 40 to 42, 159 to 161, 163, 164, 166 to 168 and 170.
ParlaMint-GB_2018-06-13-commons.u235	I rise not only to move amendment (a) to Lords amendment 51, but to support the other Lords amendments that we are considering today. May I start by thanking the other House for its work? In particular, I wish to record our thanks to our Labour Lords team, led by Baroness Hayter and Baroness Smith, who have worked extremely hard to improve this Bill The amendments in this group this afternoon, as with yesterday, cover a number of crucial issues, such as enhanced protection for EU-derived rights, environmental safeguards and the charter of fundamental rights. In many respects, that should not be controversial, and I will return to those issues later on Let me start with Lords amendments 1 and 2. These amendments, if upheld here, would require a Minister to lay before both Houses of Parliament a statement outlining the steps taken in the article 50 negotiations to negotiate our continued participation in a customs union with the EU. I do not suppose that it is the making of a statement that the Government object to; it is the negotiation of a customs union with the EU. In fact, so determined are the Government not to accept a customs union with the EU that they have gone to extraordinary lengths to dream up alternatives When the so-called partnership agreement and the so-called maximum facilitation options first saw the light of day last summer, nobody really took them seriously, not even the Brexit Secretary. Within two weeks, he was describing the customs partnership as blue-sky thinking. Thus, when the Prime Minister resurrected them in her Mansion House speech earlier this year, many of us, including myself, were genuinely surprised. Since then, it has become increasingly apparent that neither option is workable, that neither is acceptable to the EU and that neither will get majority support across this House. The Foreign Secretary calls the customs partnership “crazy”. The Business Secretary says that the maximum facilitation option would cost thousands of jobs in manufacturing. It is no wonder that a Cabinet peace summit is planned for July The proposal in Lords amendments 1 and 2 that the Government should seek to negotiate a customs union with the EU as part of the future arrangement is a sensible one for many reasons.
ParlaMint-GB_2018-06-13-commons.u236	Is the right hon. and learned Gentleman prepared to accept free movement as the cost of a customs union, or is he not?
ParlaMint-GB_2018-06-13-commons.u237	I will come to that issue, but I am sure that the hon. Gentleman is aware that free movement has nothing to do with the customs union.
ParlaMint-GB_2018-06-13-commons.u238	Given the reports that we are hearing just now that No. 10 has rejected the agreement that was made yesterday with sensible Conservative MPs on the Grieve amendment, at least the third part of it, there is no guarantee now—absolutely none—that there will be a meaningful vote. Is it not absolutely essential that a loud voice goes out from this House today to say that we want the least damaging Brexit possible—in the customs union and in a single market?
ParlaMint-GB_2018-06-13-commons.u239	I am grateful for that intervention. I have not seen the news that is just coming through. If that is the case, it is extremely concerning. A strong message needs to go out from this House about the proper role of Parliament in the article 50 process and one that argues for the best possible outcome in terms of a close economic relationship with the EU.
ParlaMint-GB_2018-06-13-commons.u240	rose—
ParlaMint-GB_2018-06-13-commons.u241	I will give way—
ParlaMint-GB_2018-06-13-commons.u242	Give way!
ParlaMint-GB_2018-06-13-commons.u243	I have already given way, so I cannot be accused of not giving way.
ParlaMint-GB_2018-06-13-commons.u244	I thank the right hon. and learned Gentleman for giving way. We need to be very clear about this. Something may have happened, but I heard the Prime Minister saying very clearly from the Dispatch Box that an amendment would be forthcoming, that it would largely incorporate much of the amendment that my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) tabled yesterday, that discussions and negotiations are continuing, that that amendment will be tabled in the Lords in due course and that the job will be done on a meaningful vote involved for this House.
ParlaMint-GB_2018-06-13-commons.u245	I am grateful for that intervention. I have not seen whatever news is coming out, but having observed the proceedings yesterday and the various interventions, it seems to me that what the right hon. and learned Member for Beaconsfield (Mr Grieve) was saying was very clear for us all to hear. He spoke about the specific paragraphs that were of huge importance, and we heard about what the proposed amendment in the Lords would contain. Obviously, we will have to wait and see what the wording is, but, from my point of view, as someone who was observing it, I thought that it was pretty clear what was being said from the Front Bench about what was likely to happen in the course of next week.
ParlaMint-GB_2018-06-13-commons.u246	Will my right hon. and learned Friend give way on that very point?
ParlaMint-GB_2018-06-13-commons.u247	I will, but I must say that I was not anticipating spending the whole afternoon on re-interpreting yesterday, but let us see how we get on.
ParlaMint-GB_2018-06-13-commons.u248	Does my right hon. and learned Friend agree that, though it was fun yesterday, the truth is that, if this House wants a meaningful vote, there are ways and means by which we will have a meaningful vote irrespective of what the legislation says?
ParlaMint-GB_2018-06-13-commons.u249	I could not help noticing yesterday that, as my hon. Friend the Member for Greenwich and Woolwich (Matthew Pennycook) was spelling that out, the Government’s position was that, should article 50 be voted down, they guarantee that they will make a statement within 28 days and that that was not particularly convincing—the Brexit Secretary himself found that to be a cause of some amusement. That is certainly not enough. What is needed is the opportunity for this House not only to vote on the article 50 deal, but to have an appropriate and proper role if the article 50 deal is voted down. I am afraid that we are rehearsing yesterday’s argument, but we on the Labour Benches voted for the amendment, which would have given not only a meaningful vote, but a proper role for Parliament afterwards to decide what happens next.
ParlaMint-GB_2018-06-13-commons.u250	Order. The right hon. and learned Gentleman is completely innocent in this matter, but he has, almost unavoidably, been diverted from the path of virtue as a result of interventions. I simply want to remind not just him but the House that we are supposed to be focused on amendments that relate to the European economic area. What we must not do is have a replay of yesterday’s proceedings.
ParlaMint-GB_2018-06-13-commons.u251	Well said, Mr Speaker.
ParlaMint-GB_2018-06-13-commons.u252	Well, that is very generous of the hon. Gentleman—
ParlaMint-GB_2018-06-13-commons.u253	It’s right hon. Gentleman.
ParlaMint-GB_2018-06-13-commons.u254	Well, the right hon. Member for Wantage (Mr Vaizey). Well, my cup runneth over today. I am having moral support from sedentary positions both from the right hon. Gentleman and from the right hon. Member for Broxtowe (Anna Soubry) to boot. It is clearly my lucky day.
ParlaMint-GB_2018-06-13-commons.u255	I will press on, make my case and take some further interventions later on I was saying that the proposal in Lords amendments 1 and 2 that the Government should seek to negotiate a customs union with the EU as part of the future arrangements is a sensible one for many reasons. The first is the economy. Over a number of decades, our manufacturing model has adapted to the arrangements that we currently have with the EU, including the customs union. Thus, typically, we see, across the UK, thousands of manufacturing businesses that operate on the basis of a vital supply chain in goods and parts from across the EU. The car industry is an obvious example, but not the only one Such businesses operate on the basis of a just-in-time approach. Whereas years ago there were stockpiles of parts and so on, these days there is a just-in-time approach. Parts come in and are assembled, and the finished product then goes quickly and seamlessly across the UK and/or out to the EU. That is the manufacturing model that this country has operated for many years, and MPs across the House know that that is what goes on in their constituencies.
ParlaMint-GB_2018-06-13-commons.u256	The outgoing president of the CBI said today that manufacturing sectors, particularly the car industry, would be severely damaged if the UK did not stay in a customs union with the EU. Does my right hon. and learned Friend agree that those comments are very concerning?
ParlaMint-GB_2018-06-13-commons.u257	One of the risks for Members taking interventions is that the very next point we are about to make is stolen, but my hon. Friend is absolutely right. I will just remind the House that the president of the CBI this morning said: “If we do not have a customs union, there are sectors of manufacturing society in the UK which risk becoming extinct... Be in no doubt, that is the reality.” This is at the heart of the debate. If we destroy the manufacturing model that I just described, we destroy a vital part of the economy and job losses will be considerable. That is why there are such high levels of concern across the business community about the Government’s current approach.
ParlaMint-GB_2018-06-13-commons.u258	The right hon. and learned Gentleman is being very generous in taking interventions. Will he just tell the House whether he believes that Britain should remain in the EEA—yes or no?
ParlaMint-GB_2018-06-13-commons.u259	For the benefit of the House, I am going to go through the customs union argument before moving on to discuss the EEA and the single market, and then I have other remarks to make. If the hon. Gentleman will forgive me, I will deal with his point when I deal with the EEA. I am currently dealing with the customs union.
ParlaMint-GB_2018-06-13-commons.u260	Is Labour in favour of staying in the customs union, or a customs union that approximates to a customs arrangement that would allow us to make free trade deals with states other than the EU—the customs union, or a customs arrangement?
ParlaMint-GB_2018-06-13-commons.u261	The current customs arrangements are in the membership treaty. Therefore, if they are to be replicated and if there is to be a customs union that does the work of the current customs union, there needs to be a new treaty. That is why we are in favour of a customs union, but a customs union that does the work of the customs union that we are currently in. Although this was a point of great heat and discussion weeks and months ago, I think most people now understand that there will have to be a new agreement that replicates and does the work of the current customs union.
ParlaMint-GB_2018-06-13-commons.u262	I am going to make some progress; I have taken a lot of interventions and I will take others later The concern about the customs union is not confined to the business community. It inevitably extends to trade unions, on behalf of those they represent; those who depend on the manufacturing sector; and those who work in and operate our ports and places of entry and exit. I have visited Dover to look at the operation there and to talk through with management and staff the impact of any change to the current customs arrangements. I have also visited Holyhead, the second biggest port, where there are high levels of concern.
ParlaMint-GB_2018-06-13-commons.u263	I know that the right hon. and learned Gentleman wants to separate out the customs union from the single market, but we cannot separate those two things if we are talking about frictionless trade and just-in-time deliveries. Checks would be required not just for customs and rules of origin, but for product regulations and conformity with standards. Further to the question from my hon. Friend the Member for Middlesbrough South and East Cleveland (Mr Clarke), is the right hon. and learned Gentleman therefore willing to accept free movement of people as the price of access to the single market?
ParlaMint-GB_2018-06-13-commons.u264	I assure the hon. Gentleman that I will discuss the single market and the EEA, and I will deal with his question then. At the moment, I am making a case on the customs union, although I accept the proposition that the customs union on its own does not produce frictionless trade, and nor does it answer the question, “How would you prevent a hard border in Northern Ireland?” I will specifically deal with this matter later in my speech, and I will take further interventions then.
ParlaMint-GB_2018-06-13-commons.u265	Is my right hon. and learned Friend aware that the Dutch Government and the European Commission have begun to advise businesses not to take car parts produced in the UK for export because of concerns about rules of origin. Will today’s proposals address that?
ParlaMint-GB_2018-06-13-commons.u266	I had heard that. It is not an isolated example; there are others. This is deeply troubling, which is why the amendments before the House today are so important.
ParlaMint-GB_2018-06-13-commons.u267	My right hon. and learned Friend has already reminded the House that the Cabinet has not made up its mind on what sort of customs arrangement it wants. Is it his understanding, as it is mine, that the maximum facilitation option would entail infrastructure on the border in Northern Ireland, so it would get us back to the hard border that everyone says we want to avoid?
ParlaMint-GB_2018-06-13-commons.u268	The main problem with maximum facilitation is that it involves technology yet to be invented and certainly yet to be made to operate. Nobody knows quite what it is, whether it can be developed and delivered, and if so, when. On the Northern Ireland border—although I will speak about Northern Ireland later—the commitment is to no infrastructure, no checks and no controls. I will come to that point specifically when I deal with Northern Ireland.
ParlaMint-GB_2018-06-13-commons.u269	My right hon. and learned Friend will be aware that the permanent secretary of Her Majesty’s Revenue and Customs indicated that the implementation costs of maximum facilitation would be £17 billion to £20 billion a year. This information was shared across Whitehall, so Ministers are well aware that it would be damaging to our economy.
ParlaMint-GB_2018-06-13-commons.u270	Yes, I did see that figure. It is deeply concerning that those sorts of costs are even contemplated for that option in relation to technology that has not been developed or, in many respects, even invented. That is why there is such a bitter dispute going on in the Cabinet.
ParlaMint-GB_2018-06-13-commons.u271	Will the right hon. and learned Gentleman give way?
ParlaMint-GB_2018-06-13-commons.u272	I am going to press on, if the hon. Gentleman does not mind. I will take other interventions later I realise that all sorts of fanciful promises about new customs arrangements were made during the referendum and have been made since, but we have a duty to protect our economy, jobs and the manufacturing sector across the UK. That is at the heart of today’s debate. The only way to uphold that duty is to negotiate a customs union with the EU There is, of course, another important aspect. In December last year, our Government made a solemn promise in the phase 1 agreement: no hard border in Northern Ireland. And that was spelt out—no infrastructure, no checks and no controls. Now, in all the to-ing and fro-ing yesterday, what may have been missed is that one amendment that went through, without any dissent from the Opposition, was a Government amendment to Lords amendment 25 for that obligation to be legally binding in UK law. That is a very significant amendment; after the political commitment in December to no hard border, no infrastructure, no checks and no controls, we now have a binding law to that effect. This goes to the issue of maximum facilitation, because if maximum facilitation does involve infrastructure, checks or controls, it would be unlawful under the provision passed yesterday. Therefore, it cannot happen.
ParlaMint-GB_2018-06-13-commons.u273	The right hon. and learned Gentleman is right. We did not get to debate that amendment because we ran out of time yesterday, but it is huge. It means that, logically, we will have to come to a customs union agreement, partnership—[Interruption]—I’ll do that. I do not care what we call it, but that is what we will need to avoid any border at all in Northern Ireland. It is great progress.
ParlaMint-GB_2018-06-13-commons.u274	It is a significant amendment, and it was also a significant amendment in the Lords. Even as amended—taking it back to being closer to the wording of the phase 1 agreement—the amendment is still a very significant measure.
ParlaMint-GB_2018-06-13-commons.u275	It also goes further than that, does it not? Not only will we have to stay in a form of customs arrangement amounting to a union, but we will also have to have a high level of regulatory alignment. Otherwise, the life that takes place along the border will be impossible because of different regulations on either side.
ParlaMint-GB_2018-06-13-commons.u276	I agree, and I will develop that argument, because a customs union alone will not solve the conundrum of how to keep to the solemn commitment to having no hard border in Northern Ireland.
