ParlaMint-GB_2018-10-10-commons.u1	1. What recent assessment she has made of the humanitarian situation in Yemen.
ParlaMint-GB_2018-10-10-commons.u184	The Chair of the Select Committee on Health and Social Care makes an absolutely important point. I have had the opportunity to talk to Dame Sally Davies, who has written a brilliant short book about the vital importance of dealing with antimicrobial resistance. I should also pay tribute to Lord O’Neill, who led work under Prime Minister David Cameron on this. My hon. Friend is absolutely right to say that the Bill contains provisions to provide support and payments to farmers who take the appropriate animal health and welfare measures to ensure that we can fight the overuse of antibiotics, which is both a threat to human and animal health, and an environmental danger.
ParlaMint-GB_2018-10-10-commons.u185	May I go back to the point made by my right hon. Friend the Member for Wokingham (John Redwood) about schedule 3, which gives specific powers to Wales? Is the Secretary of State telling the House that those specific powers are available to England as well?
ParlaMint-GB_2018-10-10-commons.u186	The powers in Wales are different, but we have powers for improving productivity and providing farmers with the grants, support and loans they need not just to improve productivity but to ensure that producer organisations can work effectively in the market to secure for UK farmers, whether in England or in Wales, all the advantages they need to market effectively and secure the right price for their product.
ParlaMint-GB_2018-10-10-commons.u187	Will the Secretary of State use the new system of farm support to discourage the intensive farming methods that can lead to low welfare standards and the overuse of antibiotics?
ParlaMint-GB_2018-10-10-commons.u188	At the heart of everything we wish to do is making sure that we have an ethical approach and that farmers in the UK, who, overwhelmingly, are doing the right thing and leading the way in progressive farming, are supported. One thing I should say, which I believe is mentioned in the policy statement that accompanied the publication of this Bill, is that Dame Glenys Stacey is leading a review of farm inspection, because one problem we have at the moment is that, notwithstanding the good efforts of our field force, the level and intensity of farm inspection is not what we need it to be in order to ensure the very highest animal welfare and environmental standards.
ParlaMint-GB_2018-10-10-commons.u189	I shall seek to make some progress, because I know that more than 30 Government Members and some 14 Opposition Members wish to speak in this debate. I hope the House will recognise that I have been generous in accepting interventions. I will say a little more about the contents of the Bill before, of course, listening to the contributions in this debate I should preface my remarks by saying that I want to pay a particular tribute not just to my predecessors in this role, my right hon. Friends the Members for North Shropshire (Mr Paterson), for Meriden (Dame Caroline Spelman) and for South West Norfolk (Elizabeth Truss), for the work they have done to ensure that DEFRA has been well led in recent years, but to the Minister for Agriculture, Fisheries and Food, my hon. Friend the Member for Camborne and Redruth (George Eustice). This week marks his fifth year in DEFRA. I think everyone from across the House will agree that someone who was brought up in farming, who has dedicated his whole life to getting the best possible deal for British agriculture and who has been an exceptionally thoughtful, courteous and wise guide to a succession of DEFRA Secretaries deserves the House’s thanks and congratulations. [Hon. Members: “Hear, hear.”] I also wish to stress my gratitude to those from devolved Administrations. As we know, sadly there is no Assembly in Northern Ireland, but the excellent civil servants who work in the Department of Agriculture, Environment and Rural Affairs have been instrumental in making sure that provisions are there for Northern Ireland in this Bill. I also want to pay tribute to Lesley Griffiths of the Welsh Assembly and Fergus Ewing of the Scottish Government. Lesley Griffiths has taken advantage of the provisions in this Bill, as a number of Members have pointed out, to shape a settlement specific for Wales. I am delighted that the Labour Government in Wales are supporting the Bill, even if not every Labour Member here is taking the same pragmatic and positive line This Bill will set a clear direction for the future of agriculture. It will ensure that farmers have time to make the appropriate changes required: there will be a seven-year transition period from 2021 in order to enable our farmers to take advantage of the new opportunities that this Bill provides. We believe that strikes the right balance between addressing the urgency of the need for change in order to reward farmers better for the environmental and other public goods that they provide, and providing people with an opportunity to change their business model, if necessary, in order to take advantage of those changes in a staged and appropriate way It is striking that during the consultation we undertook on what should replace the common agricultural policy there was a universal embrace of the need for change; not one of the submissions we received argued that the CAP status quo should remain. It is striking also that in the pages of The Guardian George Monbiot, not naturally a friend or supporter of Conservative Governments, points out that this legislation takes us in the right direction. It is striking also that the National Farmers Union has pointed out that although it understandably would like to see more detail about how these schemes would operate—that detail will be forthcoming—it, along with the Country Land and Business Association, The Wildlife Trusts and Greener UK, welcomes the direction in which this Government are taking agriculture Of course, one reason why no one can defend the current system is that it allocates public money—taxpayers’ money—purely on the basis of the size of an agricultural land holding. As we know, many of the beneficiaries are not even UK or EU citizens, but foreign citizens who happen to have invested in agricultural land. Many people have made the point, as the hon. Member for Bishop Auckland (Helen Goodman) and my hon. Friend the Member for Brecon and Radnorshire have done today, that we must support our upland farmers particularly well. At the moment, the CAP does not give the bulk of its funds to those who are farming in marginal or upland areas; it gives the bulk of its funds to major landowners. It is a simple matter of social justice and economic efficiency that we need to change that system.
ParlaMint-GB_2018-10-10-commons.u190	The approach my right hon. Friend has adopted of building the big tent coalition in support of the Bill’s principal aims and objectives is the right one. However, will he address a concern that I have? Will he confirm that food production and food security are integral parts of the Bill, and that farming and food production are seen as important and not as an attractive add-on to broader environmental issues?
ParlaMint-GB_2018-10-10-commons.u191	My hon. Friend is right about that. When I was visiting an agricultural show recently—that is one of the many pleasures of this job—I was talking to a farmer who, although wholly supportive of the approach we were taking, reminded me that if we want all the environmental benefits that our farmers can produce, because they are responsible for 70% of the landscape of the United Kingdom, we must ensure that farms remain profitable businesses. This Bill will not only reward farmers for the public goods they provide, but provide a platform for increased productivity, because food production is at the heart of every farm business—as that farmer reminded me, “You can’t go green if you are in the red.”
ParlaMint-GB_2018-10-10-commons.u192	Will the Secretary of State spell out what assurances he can actually give on food standards and various other standards that apply to this Bill? A lot of people want assurances on that and, in particular, environmental issues too.
ParlaMint-GB_2018-10-10-commons.u193	I absolutely agree with the hon. Gentleman that consumers are increasingly demanding, and rightly so, about the provenance, quality and standards of the food being produced. As my right hon. Friend the Member for East Devon made clear, we have the opportunity to reform our labelling system, to ensure both that human health and safety are better protected than ever before and that people have a guarantee of the circumstances in which their food has been produced.
ParlaMint-GB_2018-10-10-commons.u194	The Secretary of State is well aware that the UK Government withheld £160 million of convergence uplift money that was due to Scottish farmers. How much lobbying have Scottish Tory MPs done to recover that £160 million? How much of that money have they secured for Scottish farmers?
ParlaMint-GB_2018-10-10-commons.u195	I mentioned earlier that an enjoyable part of my job is visiting agricultural shows, where I have had the opportunity of meeting Scottish MSPs, but I have never met a Scottish National party MP at any agricultural show in Scotland that I have visited. I have seen my hon. Friend the Member for Banff and Buchan (David Duguid) standing up for Scottish farmers. I have seen my hon. Friend the Member for Ochil and South Perthshire (Luke Graham) standing up for Scottish farmers. I have seen my hon. Friend the Member for Gordon (Colin Clark) standing up for Scottish farmers. I have seen my hon. Friend the Member for Stirling (Stephen Kerr) standing up for Scottish farmers. I have visited farms with my hon. Friend the Member for Angus (Kirstene Hair). We can tell by the representation of Scottish Conservative Members here today, and by the dearth of SNP Members, who stands up for rural Scotland. The hon. Gentleman makes a signal and it shows exactly what the Scottish Government are doing for Scotland’s farmers—sweet zero Food production is critical, and making sure that farmers get a fair price for their products is important. For too long, farmers have been price takers, because there has been inadequate information about how supply chains work and inadequate powers to intervene. The Government have a duty to step in to support farmers, and we have in this Bill powers to ensure that the data is there for farmers to get a fair price at the farm gate for their produce and, in the event of severe market disturbances, that we can also intervene to ensure that farmers get a fair price There is one other critical thing. I mentioned the role of producer organisations earlier. Collaboration is critical not just in delivering environmental improvements at landscape scale, but in making sure that farmers get a fair price for what they produce. This Bill makes provision for increased collaboration.
ParlaMint-GB_2018-10-10-commons.u196	I am enjoying the speech—not all of it, but most of it—but I hope that the Secretary of State will remember not just to tilt at windmills that are easily demolished, but to take on vested interest that will oppose him. I would like to hear more on the supermarkets. The role of the supermarkets in the agricultural and food sectors in this country is very dominant and sometimes very negative. Is he willing to take them on?
ParlaMint-GB_2018-10-10-commons.u197	I appreciate the vital importance of supermarkets and other retailers. The powers that we are taking in this Bill should ensure that farmers get a fair price. However, I do want to stress—I had an opportunity to do so briefly earlier—the increasingly progressive role that those leading our supermarkets and our food retailers are taking. They are responding to consumer demand for more information about where food comes from. They are also responding to some of the criticisms in the past about the uniformity of vegetables that are capable of being sold. The Co-op and others who have responded to Hugh Fearnley-Whittingstall’s campaign for wonky veg—I am all in favour of wonky veg—are doing the right thing. The hon. Gentleman is right: we do need to remain vigilant both for the consumer and for the food producer to ensure that we have the right outcomes.
ParlaMint-GB_2018-10-10-commons.u198	I am glad that the Secretary of State has turned his attention to the food supply chain. He will be aware, I am sure, of the reforms introduced last week by the French Government that will radically alter the power within the supply chain away from supermarkets to the producer. Is that something that the British Government are looking at?
ParlaMint-GB_2018-10-10-commons.u199	I am always interested in what we can learn from France. We want to make sure that food and drink, which is our biggest manufacturing sector overall, can continue to be world leading. Critical to that, as the hon. Gentleman mentioned and as I acknowledged in responding to the hon. Member for Huddersfield (Mr Sheerman), is making sure that there is a fair price at the farm gate for our food producers. Our farmers do not want subsidy; what they want is fairness, and that is what this Bill seeks to deliver Talking of fairness, I just want to stress the critical importance of recognising what a public good is. There has been some debate over what a public good might mean. It is some time since I studied economics, but public goods have a clear definition: they are non-exclusionary and non-rivalrous. We can all enjoy them, and as we all enjoy them, no one, if they are enjoying a public good, does so at the expense of anyone else. I am talking about clean air, soil quality and making sure that we invest in carbon sequestration, that farmers get supported for the work that they do to keep our rivers clean and our water pure, that the public have access to our glorious countryside and that the contribution that farmers make to animal health and welfare is recognised. We all benefit from those public goods, but, at the moment, our farmers are not adequately rewarded for them. We in the UK spend a higher proportion of common agricultural policy funds on rural development and on environmental schemes than any other country in the European Union—I should say that the Welsh Administration lead the way in this—but far too much of our money still goes on coupled support based on hectarage payments, rather than on rewarding farmers for what they do and on giving DEFRA the opportunity to intervene to give farmers the deal that they deserve.
ParlaMint-GB_2018-10-10-commons.u200	rose—
ParlaMint-GB_2018-10-10-commons.u201	I am very happy to give way to—ah—the hon. Member for High Peak (Ruth George).
ParlaMint-GB_2018-10-10-commons.u202	I congratulate the Secretary of State on his reading ability. He has mentioned animal welfare. Various Members have asked about the difference between Wales and England. Local abattoirs are very important—as important as farms—to high standards of animal welfare. Will he commit to supporting small abattoirs, a third of which have closed already, in the investment that they need to comply with the regulations and to looking again at DEFRA’s decision last week not to award grants to small abattoirs as is being done in Wales?
ParlaMint-GB_2018-10-10-commons.u203	It is important that we have a network of abattoirs that enables, wherever possible, sustainable local food production. I know that it is an issue close to the hon. Lady’s heart; it is also close to mine. I pay tribute to Patrick Holden and the sustainable farming network for the campaigning work that they have done. We are doing everything we can to support small abattoirs. When it comes to animal welfare, it is also important that we make sure that we have a strong network of official veterinarians guaranteeing the quality of our food. It is also important that we recognise that this Government—originally under the leadership of my right hon. Friend the Member for South Northamptonshire (Andrea Leadsom)—have introduced, or required, CCTV in all abattoirs to make sure that there is no hiding place for animal cruelty. It is critical that we recognise that our farmers thrive on the basis of producing high-quality food with animal welfare at its heart.
ParlaMint-GB_2018-10-10-commons.u204	In the timeline that was published this morning, it says that higher animal welfare standards will be defined in 2020. Will the Secretary of State assure me that the bar for those will not be set any lower than they are at present? Ideally, they should be considerably higher.
ParlaMint-GB_2018-10-10-commons.u205	Absolutely. I recognise that I have been on my feet, although taking questions, for 27 minutes now, so I do want to draw my remarks to close.
ParlaMint-GB_2018-10-10-commons.u206	rose—
ParlaMint-GB_2018-10-10-commons.u207	I must give way to the hon. Gentleman.
ParlaMint-GB_2018-10-10-commons.u208	I can assure the right hon. Gentleman that he would be very welcome to come and visit us at the Black Isle show next summer. It is self-evident to me that we cannot do much with the straths and glens in my constituency other than rear sheep. I want to push him on one other point. Tourism depends on seeing our straths and glens populated with livestock and on vibrant and successful farming. May I push him for his comments on the tourism aspect of agriculture?
ParlaMint-GB_2018-10-10-commons.u209	I thank the hon. Gentleman for his point. I would be delighted to visit the Black Isle show and also to visit Lairg in his constituency, where I know that some of Scotland’s finest sheep farmers have an opportunity every year to demonstrate what they can do. He is absolutely right: iconic landscapes from Caithness and Sutherland and Easter Ross through to the Lake District and, indeed, Exmoor and Dartmoor depend for their tourist appeal and for their pull on the human heart on the work of our farmers. It is inconceivable that those iconic landscapes could survive and flourish without the rural, economic and social network that sheep farming and other forms of farming provide. Absolutely, we do recognise that. It is a public good, and public access to our countryside is placed here.
ParlaMint-GB_2018-10-10-commons.u210	rose—
ParlaMint-GB_2018-10-10-commons.u211	rose—
ParlaMint-GB_2018-10-10-commons.u212	I am happy to give way, but this will probably be the last pair that I give way to.
ParlaMint-GB_2018-10-10-commons.u213	I am extremely grateful to my right hon. Friend. I warmly support this Bill because it incentivises farmers to enhance biodiversity and to promote animal welfare. This is not just a rural issue; it is an urban issue as well. What can he say about how there will be better potential for my constituents in Cheltenham to access this even more diverse and even more beautiful countryside?
ParlaMint-GB_2018-10-10-commons.u214	I know how important the environment and animal welfare issues are to my hon. Friend, as he has tirelessly campaigned on them. I also know that his constituents will be able to enjoy improved access to the countryside through the provisions in the Bill. My right hon. Friend the Secretary of State for Education is making £10 million available to ensure that more schoolchildren have an opportunity to understand what goes on in our countryside. Making sure that the next generation understands where our food comes from and the vital importance of food production will be absolutely critical. When the Department for Education set up the school food plan and when this Government ensured that all children up to the age of 14 received lessons in where food comes from and in cooking, that was an earnest example of our commitment to ensuring that everyone appreciates the vital importance of our farmers and the work that they do.
ParlaMint-GB_2018-10-10-commons.u215	I am seduced by the vision of the future of British agriculture painted by the Secretary of State, but I am puzzled why he wants to take so long before he can get started on it. Why do we have to remain trapped in the limbo of the transition, whereby we will still be trapped in the common agricultural policy when, by joining the European Free Trade Association and the European economic area on our way out of the EU, we could start on his magnificent reforms next March?
ParlaMint-GB_2018-10-10-commons.u216	I am delighted to have been able to seduce my hon. Friend. What is striking in the seduction is that, rather than asking for a slower hand, he wants a rough wooing. He makes the best possible case for his proposition, but I must respectfully disagree with him. The transition period, both the one that is being secured as we leave the European Union and the one for our farmers, is the right balance between urgency and space for reform.
ParlaMint-GB_2018-10-10-commons.u217	My right hon. Friend was talking about public goods—an approach that I welcome. May I bring him to the question of health? Can he assure me that his Bill will support the production of fruit and vegetables in this country, which is so important to the nation’s health?
ParlaMint-GB_2018-10-10-commons.u218	Absolutely; the consumption of more fruit and vegetables is critical to improving public health. I am delighted that, thanks to the lobbying of my hon. Friend and so many Conservative Members, we were able to introduce a seasonal workers scheme pilot to ensure that fruit and vegetable growers get the support that they deserve. We will also have new schemes—improved over those that the EU provides—to ensure that the producer organisations that represent our growers continue to do the brilliant job that they do I should stress that the Bill will also ensure that the UK can take its seat at the World Trade Organisation and negotiate on behalf of the whole United Kingdom. Some people have suggested that the Bill constitutes a power grab from our devolved Administrations—nothing could be further from the truth. The Bill will empower the Welsh Assembly, the Northern Ireland Government and the Scottish Government to do what they believe is right for our farmers, and what is right for our farmers is to move away from a system that has constrained their energy, undermined their enterprise, held back innovation in food production and inadequately rewarded them not only for the food that they provide, but for the environmental and other goods that they provide for us The Bill gives us an opportunity to put farming across the United Kingdom on a surer footing, so that we can produce more, sell more and export more, but also hand on our environment in a better state to the next generation. I commend it to the House.
ParlaMint-GB_2018-10-10-commons.u219	It will be very obvious from the number of people now on their feet that there is a huge demand for time to speak this afternoon. Although we have many hours ahead, I will have to impose a time limit from the very beginning. I give warning now—so that people can throw away pages and pages of their notes—that the time limit will initially be eight minutes, and I anticipate that it might well reduce later.
ParlaMint-GB_2018-10-10-commons.u220	I beg to move an amendment, to leave out from “That” to the end of the Question and add: “this House, whilst recognising that on leaving the EU the UK needs to shift agricultural support from land-based payments to the delivery of environmental and other public benefits, declines to give a Second Reading to the Agriculture Bill because it fails to provide a strategy to safeguard the nation’s food supply at a time when food poverty and foodbank demand are rising rapidly alongside an epidemic in food-related health inequality, fails to recognise the central importance of UK sustainable food production and supply, leading to a greater reliance on imports, while failing to provide for controls over the production methods, working conditions, or animal welfare and environmental standards in countries from which the UK’s food is imported, and, when the natural environment is in crisis, with species decline at an alarming scale, soil degradation and increasingly volatile and extreme weather conditions driven by escalating climate change, provides the Secretary of State with wide-ranging powers but no duties or legally enforceable environmental protection targets, whilst giving Parliament limited ability to scrutinise any changes in the regime, and fails to legislate for current funding to continue until 2022 as Ministers have promised; and is of the opinion that the publication of such a Bill should have been preceded by a full process of pre-legislative scrutiny of a draft Bill.” This country is in desperate need of an Agriculture Bill that provides certainty and clarity for our food and farming industry, but instead the Secretary of State has laid before us nothing but a huge missed opportunity. There are no targets for environmental improvements or reducing carbon emissions; there is no commitment to producing healthy, home-grown food in a post-Brexit world; and there is no commitment to protecting the people of this country from food poverty at a time when thousands rely on food banks. We need an Agriculture Bill, but we need it to be better than this The Labour party absolutely agrees with the need to shift financial assistance in the way proposed by the Bill, from support for simply owning land to the principle of public money for public goods to help those who work our land to restore and improve the natural environment. This has been rightly welcomed by environmental campaigners as a real turnaround in the Government’s thinking. I join those campaigners in applauding the Secretary of State in this regard, because—make no mistake—our natural environment is in crisis, with soil degradation, species in alarming decline, increasingly volatile and extreme weather conditions, and air pollution that has remained at illegal levels since 2010. But does the Bill actually match up to the scale of the environmental crisis facing us The Bill provides only powers. Clause 1 states that the Secretary of State “may” give financial assistance for environmental purposes—there is no duty or requirement for him to actually do anything. The environmental outcomes we need delivered are not prescribed. There are no targets and no mechanism for setting any targets. No funding is identified in the Bill. No delivery or regulatory bodies will be resourced by it.
ParlaMint-GB_2018-10-10-commons.u221	My hon. Friend is making a marvellous speech. She will be aware of the warning from the UN Intergovernmental Panel on Climate Change that we will reach the 1.5° C threshold in 12 years, by 2030, and of the contribution of cattle and agriculture in general towards our carbon emissions. Does that not underline the importance of having targets, which are so sadly missing from this Bill?
ParlaMint-GB_2018-10-10-commons.u222	My hon. Friend makes an extremely important point. The report was deeply shocking and the Bill must reflect that urgent action needs to be taken Let me bring the Secretary of State’s green Brexit dream into the cold light of day. At first contact with the Chancellor and all the other competing demands on the Treasury, the reality is that the Secretary of State’s green Brexit will soon wither on the vine without any commitment written into the Bill to maintain the current levels of spending. Farmers and green campaigners are in complete alignment on this.
ParlaMint-GB_2018-10-10-commons.u223	My hon. Friend is making a very powerful speech. I had hoped to intervene on the Secretary of State but he refused to let me. I would have told him that many small upland livestock producers in my constituency are really concerned about the lack of detail in the Bill, particularly given that the Secretary of State says that he wants to support them and enhance their profitability. Does my hon. Friend share my concern about when we might get this detail and whether the Government will even consider the different scenarios that Brexit could bring to these upland producers?
ParlaMint-GB_2018-10-10-commons.u224	My hon. Friend makes an important point. There are also many upland farmers in my constituency, and they have raised exactly the same concerns with me We know that for farmers to be sustainable environmentally, they must also be sustainable economically. I remind the Secretary of State who the farmer he quoted earlier actually was: Minette Batters, president of the National Farmers Union, who said that farmers cannot be green if they are in the red. Farmers need to be able to invest with certainty over long periods, especially in sectors such as forestry. How can they be expected to stay afloat when the Secretary of State has proved himself unable to make good in the Bill any of the funding promises?
ParlaMint-GB_2018-10-10-commons.u225	The hon. Lady is making a very sensible point, specifically regarding basic payments for farmers. However, the post-Brexit agricultural policy of the Welsh Labour Government more or less mirrors exactly what has been proposed by the Secretary of State. After the hon. Lady finishes her speech, will she get on the phone to the branch manager, Carwyn Jones, and tell him to introduce a more sensible policy?
ParlaMint-GB_2018-10-10-commons.u226	Well, I think that more powers are provided in this Bill for some Welsh Ministers than for English Ministers. I have had a long discussion with my counterparts in the Welsh Government and will continue to work with them to discuss these points.
ParlaMint-GB_2018-10-10-commons.u227	Will the hon. Lady explain why the Welsh Government appear to be supporting this Bill and the European Union (Withdrawal) Act 2018, yet her colleagues are opposing this legislation?
ParlaMint-GB_2018-10-10-commons.u228	As I have said, we believe that greater powers are provided for Welsh Ministers than English Ministers in this Bill; there is more certainty. It is really important that we bring that back On Sunday, I attended a harvest festival at my local church, and I am sure that many hon. Members did something similar. I know that the whole House will join me in expressing our thankfulness for everything that the farming community in this country achieves to help feed the nation, often against the odds. After the extreme weather that farmers endured last winter and this summer, they are probably more affected by climate change than any other sector However, agriculture now accounts for 10% of UK greenhouse gas emissions—a larger share than at any time since 1990—and the Committee on Climate Change has reported that there has been virtually no change in agricultural emissions since 2008. This means that agricultural emissions are not on track to deliver the carbon budget savings required by 2022 Net carbon sequestration from forestry has flatlined but the Bill provides only for mitigating or adapting to climate change. It seems that the Secretary of State has not heard the Committee’s call, made only in June, for this Bill to link financial support to agricultural emissions reduction and increased carbon sequestration.
ParlaMint-GB_2018-10-10-commons.u229	Does the hon. Lady agree that the Bill needs to have a net zero emissions target for the agricultural sector? If we shifted to more support for organic farming, that would help too: organic soils are much better at retaining carbon than intensively farmed soil.
ParlaMint-GB_2018-10-10-commons.u230	The hon. Lady makes a good point. It is critical that we begin looking across all industries to see how we can shift to net zero.
ParlaMint-GB_2018-10-10-commons.u231	Will the hon. Lady explain how much, according to her calculations, it will cost to achieve net zero in agriculture? Will that be met from general taxation through the Government or through increased food prices at the supermarket?
ParlaMint-GB_2018-10-10-commons.u232	I do not believe that I made that commitment, so it is not something on which I have done calculations at this time Continuing to deplete soils, lose pollinators and pollute waters does nothing for farm productivity; that is why we need a Bill that delivers food security as well as environmental outcomes. It is self-defeating and academic to separate those objectives, as the Secretary of State is attempting to do. This is the first time in more than 40 years that a Secretary of State has been directly responsible for the nation’s food security, yet food security has drifted off the Government’s agenda, and they are not offering any clear vision for the future of our nation’s food supply. The Bill is worryingly silent when it comes to food poverty. It says nothing about the balance between the production of healthy and sustainable British food and reliance on imports, the jobs and health and safety of agricultural workers, and preventing trade deals involving lower standards, undercutting British producers It is 71 years since the Agriculture Act 1947 was passed by the great post-war Attlee Government. Attlee judged that its author Tom Williams “effected nothing less than a revolution in British agriculture” and that “his place in history is assured as the greatest British Minister of Agriculture of all time” I remind the House that the purpose of the Act was “promoting and maintaining...a stable and efficient agricultural industry capable of producing such part of the nation’s food and other agricultural produce as in the national interest it is desirable to produce in the United Kingdom, and of producing it at minimum prices consistently with proper remuneration and living conditions for farmers and workers in agriculture and an adequate return on capital invested in the industry.” Article 39 of the treaty of Rome set out the aims of the common agricultural policy, including ensuring “a fair standard of living for the agricultural community…the availability of supplies”, and that “supplies reach consumers at reasonable prices.” It is a matter of strategic national interest and social justice that we should ensure that our country is better able to feed itself with healthy, nutritional food while protecting itself against volatility. That is why it is important for sustainable food production to be a central part of the Bill.
ParlaMint-GB_2018-10-10-commons.u233	Why did we lose so much market share and end up importing so much food under the CAP?
ParlaMint-GB_2018-10-10-commons.u234	That is a good question, but one to which I do not have a detailed answer—I apologise to the right hon. Gentleman for that. It is a really important point: we were increasing production, but then it began to drop. It is an issue that we need to address. If there is a dramatic reduction in UK food production, greater reliance on imports would result in a lack of control over production, animal welfare, and environmental and working standards.
ParlaMint-GB_2018-10-10-commons.u235	The answer lies simply in the tastes of the consumer. We like oranges—we like food that grows abroad but which we do not grow. That demand has grown over the years, so we import more. We should be careful lest we try to search for set levels of output or demand in what is still a market economy.
ParlaMint-GB_2018-10-10-commons.u236	Clearly, we cannot grow everything that consumers would like to purchase in this country, but we can do more to increase the production of food that can be produced in this country. It is important that we protect standards too, and any trading deals should protect the standards that our farmers currently work to.
ParlaMint-GB_2018-10-10-commons.u237	I think the answer will be yes, but does the hon. Lady agree that it will be a hallmark of success for the whole Brexit process if, 10 or 15 years down the line, we find that we are importing no more foodstuffs than we do today, and preferably less because we are producing more?
ParlaMint-GB_2018-10-10-commons.u238	The hon. Gentleman makes an important point I would like to think about health, because the Bill fails to recognise the importance of food and diet for health. Why, when we spend so much money subsidising our food producers, are so many of them on the verge of bankruptcy or breakdown? Why is there so much wasted food when foodbank demand has never been higher? While the quality of our home-produced food has never been higher, why do we have an epidemic of obesity and diabetes? The Bill completely misses the opportunity to tackle those problems. We need a Bill that strengthens and enshrines support for sustainable food production, promotes healthy outcomes and supports rural economies, because we believe that access to good-quality, healthy food must not be allowed to become the preserve of only those who can afford it.
ParlaMint-GB_2018-10-10-commons.u239	Given the shadow Minister’s concern about these issues—green Brexit, food, food waste and all those things—it is interesting that she was not given a major slot on the main stage at the Labour conference. In my meetings, I have not come across a single environmentalist or farmer who does not support the initiatives in the Bill.
ParlaMint-GB_2018-10-10-commons.u240	The hon. Lady may recall that the Leader of the Opposition discussed the environment and issues connected with the Department for Environment, Food and Rural Affairs in his speech All over the world, nearly all farmers are supported financially to produce food, and our farmers must be able to compete with them, but to do so they will need the right financial and policy framework so that they are not disadvantaged in a competitive and volatile global marketplace. We need to move away from the current system of direct payments, but if we are to bring in land management contracts, they need to be accessible. The recent delivery of payments to farmers and landowners has been poor, and the hoops that have to be jumped through put many people off signing up in the first place. We need to ensure that the agencies are adequately resourced—only then can they properly help the farmers who need the support that subsidies provide.
ParlaMint-GB_2018-10-10-commons.u241	Does my hon. Friend agree that, given their excellent relationships with farmers and landscape managers, national parks are ideally placed to provide that network in our national park areas, where so much farming goes on?
ParlaMint-GB_2018-10-10-commons.u242	I thank my hon. Friend for her contribution. I have discussed that with the Lake District national park, which is in my constituency, and I am sure that there will be other discussions in this area.
ParlaMint-GB_2018-10-10-commons.u243	An important point was made about the number of forms that farmers have to fill in to access funds. Does the honourble not agree that one of the most important things is ensuring the availability of reliable broadband, given that the amount of farming now done online is way in excess of the amount of farming when Clement Attlee was the post-war Prime Minister?
ParlaMint-GB_2018-10-10-commons.u244	I thank the right hon. Gentleman for that important contribution. It is disappointing that the digital roll-out came before farmers could access it. I would add that mobile connectivity is as important, because when farmers submit their application online, they are sent a text message with a code that they need to put in; if they do not have a mobile signal, they cannot continue with the application. All these things need to be considered before we move forward We praise all our farmers for the important role that they play in environmental stewardship. The Secretary of State talked about the fact that the food and drinks industry is such a huge manufacturing sector. It is incredibly important that we get more support for our farmers than the Bill currently offers. At the moment, the Bill offers our family farmers just a payoff, which we believe risks leaving our fields to ever larger, more intensive factory farms run by global big business It worries me that the vision of the UK as a leading free trade nation with low tariff barriers is completely at odds with the commitment to thriving British food and farming sectors. Combining and delivering those two objectives will be a considerable challenge for this Government, who are and always have been in favour of more deregulation and who have a blind reliance on the free market to deliver social outcomes. Labour will oppose any free trade deal that threatens existing standards: we will fight any such deals tooth and nail In conclusion, the development of a new post-Brexit UK agriculture policy is a seminal moment for the future of our environment, our food production and our countryside. Never has it been more important to lift our line of sight and to talk proactively about what we want to see as part of a long-term strategy for food, farming and the environment. Sustainability, above all else, has to be at the forefront of a thriving farming, food and drink sector It is right that we shift agricultural support for land-based payments to the delivery of public and environmental benefits, but the Bill sadly falls short in a number of areas. There is no strategy to safeguard our nation’s food supply or recognition of the importance of sustainability to reduce the reliance on imports. There is no provision for controls over production methods, working conditions, animal welfare or environmental standards in countries from which our food is imported. The Bill hands wide-ranging powers to the Secretary of State but includes no legally enforceable environmental protection targets, and there is no provision for current agricultural funding to continue until 2022, as Ministers have previously promised This House should have had the chance to conduct proper prelegislative scrutiny of the Bill. What we are discussing here is fundamental to the future of British agriculture, and getting it right is crucial. For those reasons, I am afraid that Labour cannot support the Bill’s Second Reading, and that is why I strongly urge colleagues to vote for our reasoned amendment tonight.
ParlaMint-GB_2018-10-10-commons.u245	This is an historic moment, as we last had an agriculture Bill in this House in 1947, since when there have been 15 Prime Ministers and many Governments. We therefore really need to get this Bill right The Bill is about agriculture and the environment not just today, but in the future, so I welcome our Secretary of State’s commitment on food security. During the Bill’s passage, I will look for us to adopt for England provisions similar to those in schedule 3 for Wales to ensure that we can support high-quality food production and high animal welfare standards in England and across the United Kingdom. Food security—the ability to have plenty of food, and good food, for our constituents—is very much a public good, and we will debate that further While I very much welcome the Bill, I am disappointed that my Select Committee was not offered the opportunity to subject it to prelegislative scrutiny. However, the Secretary of State and Ministers should not worry, because we will do our utmost to ensure that we scrutinise the Bill carefully, clause by clause. While the Bill is very good, I am sure that a little tweak here and there will not do it any harm I welcome the long transitional period because it gives farmers certainty over that time. We also need to ensure that as we build stewardship schemes, land management schemes and environmental schemes, we also enter into contracts with farmers of at least five to 10 years. Ministers and the Secretary of State might say that we cannot bind successive Governments, but we must ensure that we have a contract in place so that land management and farming can go hand in hand. We talk as though the environment, food production and farming are all separate, but they are not—they are very much combined. I believe that farmers are the original friends of the earth, and we will ensure that we deliver better soil, a better environment and great food while having as much food security as possible in this country I also welcome the Bill’s attempt to tackle unfairness in the supply chain.
