ParlaMint-GB_2015-10-21-commons.u1	1. What progress is being made on completing the electoral register
ParlaMint-GB_2015-10-21-commons.u209	I hear what the hon. Lady says and that issue will be given a great deal of consideration. I will comment on the matter later in the course of the Committee, but the message has been heard loud and clear by Government. As I said in my opening remarks, we are keen to find consensus where we can on this agenda. I hope that at this stage, subject to the debate that might take place, that will sufficiently reassure the hon. Lady so that she can await those discussions in due course.
ParlaMint-GB_2015-10-21-commons.u210	rose—
ParlaMint-GB_2015-10-21-commons.u211	I cannot give way to my hon. Friend, because I must make some progress. I apologise to him, but there will be opportunity throughout today to discuss this matter I doubt that it would be right to accept this amendment, but we shall of course listen carefully to the debate, both on this amendment and on the amendments of my hon. Friends the Members for Hazel Grove and for Shipley. We recognise the strength of feeling and we want to find a way to ensure the broadest possible support for this legislation. I have put on record the Government’s views and the concerns that we have to the proposed approach, but we will of course listen to what is said later on today Amendment 46, which is in the name of my hon. Friend the Member for North East Somerset (Mr Rees-Mogg), seeks to prevent the ceremonial county of Somerset— the administrative county of Somerset and also the two unitary authorities of Bath and North East Somerset and North Somerset—from adopting arrangements that include a mayor for the area of the combined authority. There are two difficulties with the amendment. I suspect that my hon. Friend will speak to the amendment later, and I will listen intently to the comments that he makes. The first is that it would single out Somerset, Bath and North East Somerset and North Somerset as some kind of special case.
ParlaMint-GB_2015-10-21-commons.u212	They are a special case.
ParlaMint-GB_2015-10-21-commons.u213	Although those places are indeed special, the amendment is completely at odds with the generic, enabling provisions of the Bill. To recognise the unique character of an area is not to seek to exclude it from the enabling provisions. Rather, it is through those enabling provisions that we can recognise the particular character of Somerset along with the particular character of any other area. That is at the heart of the Government’s flexible approach—the bottom-up approach—of delivering devolution that is bespoke to the areas that want it Secondly, the amendment would rule out the Somerset authorities from having the option of adopting one of the models for strong and transparent governance that is available. Clause 3 enables an area to adopt the model of a combined authority mayor, but it will be for the councils themselves to decide whether they wish to move to this form of governance. We will not impose devolution on anyone, but it should be possible for everyone. I look to my hon. Friend the Member for North East Somerset to withdraw his amendment, but I will listen with interest to the comments that he makes I also want to comment on amendments 53 and 56, which are tabled in the name of the hon. Member for Nottingham North. Amendment 53 seeks to extend the Secretary of State’s powers under the new section 107A, so that in addition to providing by order for there to be a mayor for a combined authority area, provision could be made in certain circumstances, following a proposal from the constituent authorities, for some other governance and accountability structures for the combined authority area. Amendment 56 seeks to provide that, where such other governance structure has been provided, the combined authority would be a major precepting authority, as it would be if there were a mayor for the combined authority area In general, I have some sympathy with what might be seen as the underlying idea of those amendments, which is to introduce some greater flexibility, but in this case I am not persuaded that this is the right approach. The amendments risk being seen as an attempt to hold out the possibility of some governance arrangement that does not have that sharp single point of accountability. Although we have been clear that the Government wish to impose that accountability on no one, it will be a requirement for those deals that are similar in their scope and ambition to that with Greater Manchester.
ParlaMint-GB_2015-10-21-commons.u214	The Minister is being very generous in giving way. May I take him back to the point made by the hon. Member for Bury North (Mr Nuttall) about making arrangements that can be flexible and allow evolution, particularly of the larger areas that will be devolved? I know that Core Cities are particularly interested in this concept. It could be the equivalent of a pre-nup agreement with a smaller authority before it comes into full membership, almost like with the EU where there is a trial period, to see whether people get on before taking it forward as consenting authorities.
ParlaMint-GB_2015-10-21-commons.u215	I hear the hon. Gentleman’s thoughts and recognise the intention behind the amendment. I will listen carefully to his comments later and will look to find consensus where we can to ensure that the safeguards that all Members want to see are included while ensuring that we deliver on this agenda and on the manifesto pledge made by my party at the election, only six months ago I am conscious that a number of hon. Members wish to speak, so I shall try to move through some of the other amendments reasonably quickly. Amendment 57 is tabled by the shadow Secretary of State and his colleagues and requests that a gender balance must be considered when the mayor appoints a deputy. I gently remind those on the shadow Front Bench that this approach was considered for the leadership of their party and rejected. The mayor, who will have a democratic mandate to govern, needs to be able to determine who will best assist him or her in delivering on the promises they have made to voters. That person should be the best person, regardless of gender, and I asked that the amendment is withdrawn.
ParlaMint-GB_2015-10-21-commons.u216	On the question of dissolving a combined authority, will not the difficulty always be that pooling and sharing arrangements will have been put in place and borrowing arrangements will have been made that a constituent authority might not easily be able to exit? That would make the long-term stability of the combined authority very uncertain were the amendment to be passed.
ParlaMint-GB_2015-10-21-commons.u217	The hon. Gentleman makes a salient and important point. The Government will not support the amendment for that very reason, but I will listen carefully to the speeches that are made because it is important that we address concerns to the fullest extent to which we are able without attracting from the intention of the Bill and the intention of the Government to deliver on our agenda Clause 3 provides flexibility to enable a single local authority to leave, in line with the comments that the hon. Gentleman has just made, if it does not wish to continue to be part of a combined authority. A council can also leave a combined authority once a mayor has been elected for the area of a combined authority without the need for the combined authority to be dissolved and reformed, using exactly the same process as is used to establish such an authority of undertaking a governance review demonstrating that the change would improve the exercise of functions. In addition, a council that wishes to leave a combined authority can do so if it obtains consent from the other constituent councils of the combined authority, and if there is one, the mayor. Again, I will listen carefully to the comments of hon. Members with a view to finding a position that can get broad agreement across the House as the Bill makes progress Amendment 39 is tabled by my hon. Friend the Member for Amber Valley (Nigel Mills). It applies to circumstances in which a combined authority is proposed and seeks to require that no order can be made for a combined authority unless local government electors have been consulted on replacing the existing county councils and district councils with unitary authorities. That moves away from the flexibility we want to be to deliver and puts conditions on deals that we might want to make but that we do not necessarily want to impose. Again, I will listen very carefully to my hon. Friend’s comments later on in today’s discussions.
ParlaMint-GB_2015-10-21-commons.u218	Will the Minister also listen to the problem in the districts in north Nottinghamshire and north Derbyshire? They are part of the Sheffield city region for economic purposes under the proposed deal but not for transport purposes, because in order to come under the mayor’s jurisdiction they need the permission of the county. Equally, the districts have to give their permission to join a county combined authority. This is a really complicated situation that needs resolution with Government help.
ParlaMint-GB_2015-10-21-commons.u219	We will consider both the specific situation that the hon. Gentleman raises and more generally its application to our policy direction. I will listen carefully to the comments made in the rest of today’s debate Amendment 18 to 22, 27 and 28 are technical and simply provide that where the Secretary of State has powers in relation to electoral matters, those powers may also be exercised by the Chancellor of the Duchy of Lancaster. The provisions are similar to those in other legislation regarding local electoral matters, such as the election of mayors under the Local Government Act 2000, and ensure that the rules made on the election conduct of elections are consistent over wider electoral landscape. I hope that the explanation I have been to give in the time available adequately and sufficiently explains the Government’s position. I reiterate our commitment to listen to the comments of hon. Members and to build as broad a consensus as we can.
ParlaMint-GB_2015-10-21-commons.u220	I want to make a very few points, because I know that other Members want to speak, particularly my hon. Friend the Member for Nottingham North (Mr Allen), who has tabled a number of amendments and has a long track record of constructive engagement in matters of constitutional reform and devolution of which I am very supportive. He did excellent work on that in the last Parliament My first point is about the question of elected mayors and takes me back to the point I made on Second Reading. If the Government are committed to considering bespoke arrangements on devolution for particular parts of our country and considering requests from combined authorities—groups of authorities voluntarily coming together and proposing what they want to see devolved—why do we need one element of imposition in all this? Why do we need one element that says that they can have the powers they come up with providing that agreement is reached but that they must exercise them in a particular way and that there is no ability to discuss that or come to a different view? I find it completely inconsistent with the rest of the Government’s approach I do not know why the Government are so insistent on having a mayor as a solution. If it was left to the combined authorities, they would come up with different arrangements. The arrangement in Sheffield has been negotiated not because the combined authorities wanted it but because they were told that they had to have it or else they could not have devolution. That is the situation.
ParlaMint-GB_2015-10-21-commons.u221	I absolutely agree with the thrust of the hon. Gentleman’s remarks. Does he share my view that the element of imposition in the proposals means that there is a danger that the devolution proposals put in place will enjoy lower levels of support than they otherwise might if communities had been properly consulted and allowed to choose their own models of governance?
ParlaMint-GB_2015-10-21-commons.u222	The right hon. Gentleman is absolutely right. Of course, the whole principle of the devolution that the Government propose, which I support, is that areas should come forward with their own ideas about what they want to see devolved. Why should they not also come forward with their own ideas about how that devolution should be exercised and about the governance arrangements for it?
ParlaMint-GB_2015-10-21-commons.u223	I agree with my hon. Friend, but it is obvious why the Government want mayors. In certain areas—in his area and in others—they are hoping to break up the powers of locally elected Labour local authorities in the hope that if they have an elected mayor, they will either get an independent or someone who claims to be independent but is actually a member of the Conservative party.
ParlaMint-GB_2015-10-21-commons.u224	I would not want to second guess the motives of the Secretary of State, so I will use my own arguments to resist what the Government are trying to do Apart from the inconsistency of approach, the proposals are confusing. That takes me back to the point I made in my intervention on the Minister. In the Sheffield city region the economic powers, which are important and cover skills, economic development and the infrastructure associated with it, are to be devolved to the combined authority, which will cover nine districts—four metropolitan and five non-metropolitan districts. But as I understand it from the deal, the mayor will have responsibility for just transport. So the mayor is to run transport, and the combined authority is to run economic development. The public want some consistency of approach on these matters. I do not believe that the combined authority, the district, would naturally have come forward with a proposal that broke up the responsibilities in this way.
ParlaMint-GB_2015-10-21-commons.u225	My hon. Friend is making a powerful case. The difference between his deal and the Greater Manchester deal is that the Greater Manchester deal is within a single metropolitan county, so functions such as police and eventually fire and rescue can also be devolved to the Mayor’s office.
ParlaMint-GB_2015-10-21-commons.u226	There is a big difference in the Manchester case. I am not arguing that Manchester should have a mayor imposed on it. If Manchester wants that, that is a matter for it, but it is different. In Sheffield we have hybrid devolution, with transport going to the mayor, but the mayor is not going to cover the nine districts. The mayor will cover only four districts—the old south Yorkshire districts—so how are people to understand the devolution deal, which has one set of governance arrangements for economic powers and skills, and another set of governance arrangements for transport, where one set of governance arrangements covers four authorities, whereas the other set covers nine The whole purpose of combined authorities is to bring local authorities together on a voluntary basis to cover a travel to work area—the natural economic entity—yet transport, the mayor and the associated powers will not cover the whole travel to work area of Sheffield. This is a real dog’s dinner. It is not going to work, and it is certainly not going to be understood by the public That leads me on to my second point. There is a problem with mayoral imposition, which in Sheffield’s case will not cover all five areas. Other districts can choose to join the arrangements for mayors if they wish. My understanding—I may be wrong—is that the districts of north Derbyshire and north Nottinghamshire, which are part of the Sheffield city region, are going to join the combined authority, which they are part of, for the economic powers. However, for transport powers to be devolved to those areas through a mayor, those districts will not merely have to agree, but they will have to get the county, which is the transport authority, or two counties, to agree as well. Does the county have a veto over what happens to devolution in the Sheffield city region This is not workable. At the same time as the Sheffield city region has a mayoral possibility, Derbyshire and Nottinghamshire are looking at having a joint combined authority, which would have a mayor as well. As I understand it, the mayor can exist for the districts of north Derbyshire and north Nottinghamshire only if those districts agree to the county mayor for Derbyshire and Nottinghamshire being created. So they have a veto over that. At some stage, surely, Ministers have to take some responsibility for coming forward with proposals to sort out this mess, or it will stop devolution working effectively in these areas.
ParlaMint-GB_2015-10-21-commons.u227	As the hon. Member for Macclesfield on the other side of the Pennines, I understand the hon. Gentleman’s concerns and enjoy working with him on the all-party parliamentary group on national parks. Does he agree that one of the fundamental points of having a mayor is to achieve clear accountability? The lesson from London is that probably the greatest accountability the Mayor has is for transport. At a local level, surely much of the work needs to be done to bring the partnerships together. It cannot all be imposed by the Minister. It has to be about dialogue, which may sometimes be uncomfortable, at a local level as well.
ParlaMint-GB_2015-10-21-commons.u228	I understand that argument, and it would be a lot easier to accept it from the Government if there was clear accountability and a clear understanding of what was happening, and if I had not just had to explain the situation in Sheffield city region, which has neither clarity nor accountability. Transport arrangements are to be devolved to a mayor who does not cover the whole travel to work area. That is not clarity or consistency, and it will not work Big issues are involved. I see the hon. Member for Carlisle (John Stevenson) in his place. We had discussions in the Select Committee, of which he was a valuable member in the previous Parliament, and I know he has clear views about moving towards unitaries if we are to have a combined authority that works. Otherwise we will have districts, counties and combined authorities, as well as parishes in some areas. I am not sure that that amounts to easy-to-understand government. The hon. Member for Amber Valley (Nigel Mills) has raised some interesting issues. I am not sure about his solution, but there is a problem, for which Ministers have to accept some responsibility I realise that others wish to speak. On the amendment tabled by my hon. Friend the Member for Nottingham North, I hope the Government will listen to the idea of some sort of independent body to look at these issues. That was discussed by our Select Committee last time. If there is genuine disagreement between central Government and local government, an independent body could bring the two sides together and produce a report for Parliament to consider. In the end it is not just about Government agreeing these deals; it is about Parliament taking a view where there is disagreement. Even if Ministers are not minded to accept the amendment today, it is an interesting idea to which they might give some thought Finally, we cannot legislate for double devolution because in the end, devolution has to allow areas to do things their own way, but there is a role for Ministers, parliamentarians and the LGA to get the message across that devolution does not stop at the town hall door. Where powers are devolved to local authorities, it is for them to move those powers into communities and to engage with communities in a positive way to make devolution happen even further down the line.
ParlaMint-GB_2015-10-21-commons.u229	It is a pleasure to speak in the debate, and I shall speak to amendment 39 in my name. The purpose of the amendment is not to divide the Committee, but to ask how these devolution deals will work in areas that have a partly unitary and partly two tier authority structure. It is not clear that that is an effective or desirable situation for various reasons The reason for proposing a consultation with local people is that I am not sure there will be much enthusiasm among local people to pay for three different tiers of local government. It is confusing. They have no idea now which council does what. In Heanor in my constituency, for example, people elect 21 town councillors, they elect councillors to a borough council that has 45 councillors, and county councillors to a county council that has 64 members. How many more people do they need to represent them on these issues It is worth having an open consultation. There has been too little information and consultation with the public on the Government’s proposals, and I fear that my constituents will wake up one morning and find that they are part of an elected mayor area, together with the constituents of the hon. Member for North East Derbyshire (Natascha Engel), who is chairing this debate, and of the hon. Member for Nottingham North (Mr Allen), without any of those constituents realising that that was going to happen I am not sure many people feel there is a natural community that covers the whole of those two counties or that they wish to be part of such a local government unit. I suspect that paying for three tiers, plus town and parish councils, will not be popular, so before the proposals are implemented people ought to have a say about whether they would rather have only one of the two existing tiers. That would be a more easily understood and more cost effective local government structure The reason for proposing a consultation, rather than an absolute condition that devolution could not take place and elected mayors could not be introduced without moving to unitary authorities, is that I feared that the pearl-handled revolver that the previous Secretary of State still has in his desk drawer might be drawn out and fired at me in this debate if I suggested compulsory local government reorganisation. But if we are saying to local areas, “You can choose whether you want to be part of devolution and whether you want an elected mayor,” we should allow them to choose what unitaries they want. That is the next step. Three tiers of local government are not sustainable. That would focus the mind on what local government would look like and how we could best deliver these important services to our local people As a matter of fairness, I am not sure how a city of 300,000 people can have one leader at the table, and a county which has, say, 700,000 or 800,000 people can have nine people at the table, all with a veto and a combined authority on certain issues. If I were a member of a city council, I do not think I would see that as fair. We have a multi-level local government system which looks a bit odd. It does not help, for example, with the new homes bonus. I am not sure how business rate setting can be devolved to a two-tier area with questions over who gets to set what and who gets to keep what. There is a need to look at how local government works, and this would be the perfect time to do it. We can say to local people before they get their devolution and their elected mayor, “You tell us what you want. Do you want unitaries or do you want to keep the existing structure, with the advantages of a very local council, but with the extra cost that that brings?”
ParlaMint-GB_2015-10-21-commons.u230	In Greater Manchester work on the devolution proposals is very advanced. Amendment 51, tabled by the hon. Member for Hazel Grove (William Wragg), would put that work on hold until a referendum was held to determine whether the public supported having an elected mayor. It would also require 50% of the population to vote yes before a mayor could be introduced, which is a high bar. The turnout in the 1998 referendum on establishing the Greater London Assembly and the Mayor of London was 34.6%. Although the turnout in the 1997 referendum on Scottish devolution was higher, the percentage of the total electorate who voted yes was less than 50%, and the same goes for the 1997 referendum on Welsh devolution.
ParlaMint-GB_2015-10-21-commons.u231	I think that the hon. Lady has mistaken the explanatory statement, which refers to the 50% threshold, for the amendment itself. Perhaps she should pay a little closer attention to the wording of the amendment, rather than the explanation provided by the office.
ParlaMint-GB_2015-10-21-commons.u232	The hon. Gentleman will appreciate that when I read an explanatory statement that says: “The intention of this amendment is that elected mayors will be introduced only if that proposal has been endorsed, in a referendum, by 50% of the population”, I am likely to believe the Clerks.
ParlaMint-GB_2015-10-21-commons.u233	My hon. Friend will know that the Greater Manchester devolution settlement came from the bottom up, from the 10 councils of Greater Manchester, and the 10 leaders always intended to appoint an 11th member of the combined authority to act as full-time chair. The mayor merely becomes that 11th member.
ParlaMint-GB_2015-10-21-commons.u234	I thank my hon. Friend for that intervention—his knowledge in this area is comprehensive As I was saying, 50% is a very high bar that is unlikely to be reached, so amendment 51 is, in effect, a wrecking amendment intended to stop the devolution of decision making from Whitehall to Greater Manchester. It is a kick in the teeth for the people of Greater Manchester The population of Greater Manchester is 2.7 million, and we have a shared sense of identity, even if, at the very minimum, it is, “We’re different from London.” Surely it is right that services to meet the needs of local people should be designed locally. Local people care about that much more than they do about esoteric arguments about organisational arrangements. Greater Manchester comprises 10 local authorities, 11 police divisions and 12 clinical commissioning groups. We have an opportunity to bring those resources together. Too often there are barriers to working together and sharing information and the delivery of services because of boundaries between councils and, for example, health agencies. The combined authority would bring together the strength, competence and experience of the existing local authorities and other agencies in Greater Manchester under the leadership of an elected mayor, which is supported by the 10 local authorities, so that the public can see the public face of that new devolved authority.
ParlaMint-GB_2015-10-21-commons.u235	Of course, the point is that the Greater Manchester combined authority already exists in statute; it is a body corporate. The Bill will allow the 11th member, who chairs the combined authority, to be directly accountable to the 2.7 million people who live in Greater Manchester. Surely that is a good thing.
ParlaMint-GB_2015-10-21-commons.u236	My hon. Friend is absolutely right; it is a good thing. When people talk to me—and, I am sure, when they talk to him—and ask who they can go to, to them having a mayor makes perfect sense Of course, there are outstanding issues with regard to health, but there is nothing in the Bill that will take away from the people of Manchester the right to national health services enjoyed by people elsewhere. The problem in Greater Manchester is the fragmentation of health, so it is good that these proposals will help reduce the number of commissioning organisations and allow providers to work together in a more collaborative way for the benefit of local people. However, we need a funding settlement that gives greater flexibility in developing high-quality health and social care services in the community across Greater Manchester as an alternative to hospital admissions, and at the moment it is difficult for each clinical commissioning group to free up resources in order to do that. Without that investment, the demand for expensive hospital care will continue. The authority cannot simply be a bank that hands out money under the current funding arrangements There has been a lot of talk about accountability, but in my experience accountability is at its best when well-informed elected representatives, such as my hon. Friend the Member for Denton and Reddish (Andrew Gwynne), demand answers and are willing to make their case loudly and publicly. No complexity in the arrangements for governance can take the place of that, and that is the accountability that the public expect us to ask for Last year I did some work looking into child sexual exploitation across Greater Manchester, at the request of the police and crime commissioner, Tony Lloyd, and following that I published my report “Real Voices” last October. Talking to children at risk of child sexual exploitation, it is absolutely clear that they do not observe local government boundaries, health boundaries or police boundaries, and neither do their predators. The digital age has redefined boundaries. A lot of progress on that has already been made across Greater Manchester. In particular, I want to congratulate Project Phoenix, a cross-boundary, multi-agency response to child sexual exploitation across the whole of Greater Manchester, which is working to ensure that child victims receive the same standard of response regardless of where they live. It has also initiated a very successful “It’s not okay” campaign to build public awareness of child sexual exploitation and help young people recognise when they are being groomed. It is clear that work on this crucial agenda will be enhanced by more devolution powers for Greater Manchester. We must overcome the silos and boundaries that prevent people working together to protect children from abuse Amendment 51, if passed, would be a kick in the teeth for the people of Greater Manchester and their children, who have felt for years that their voices have been ignored by Whitehall and Westminster. Devolution and the creation of a mayor offer the opportunity to the people of Greater Manchester to develop services that reflect their priorities and needs. We should take that opportunity and be positive about the opportunities we are being offered.
ParlaMint-GB_2015-10-21-commons.u237	I am pleased to have an opportunity to participate in this brief debate in Committee. We have already had some useful exchanges, and my hon. Friend the Minister has, as usual, been courteous and helpful—I am sure that he will be even more helpful before the end of our proceedings The hon. Member for Stockport (Ann Coffey) spoke with obvious passion, and we all very much appreciate the work she did on child sexual exploitation, but I want to pick up on the point she made right at the end of her speech, despite my hon. Friend the Member for Hazel Grove (William Wragg) making it clear that amendment 51 would require a simple majority in the referendum, whatever the explanatory statement might say. I think that she can relax about the prospect of any kick in the teeth for local people.
ParlaMint-GB_2015-10-21-commons.u238	I understand from my hon. Friend the Member for Nottingham North (Mr Allen), who is very knowledgeable in these matters, that it is the Member who writes the explanatory statement for an amendment, not the Clerks.
ParlaMint-GB_2015-10-21-commons.u239	I should not speak for my hon. Friend the Member for Hazel Grove in this instance, although I will put on the record my gratitude to the Clerks for their assistance in drafting the amendments and explanatory statements that stand in my name. I will speak briefly to amendments 42, 43 and 44, allude to amendment 51—I am sure that my hon. Friend the Member for Hazel Grove will speak to it in due course—and comment on Government amendment 4.
ParlaMint-GB_2015-10-21-commons.u240	I want to try to clarify the point about the 50% threshold. In a referendum in which the electorate vote either yes or no, what we are trying to make clear is that it would have to have the support of over 50% of the people voting in the referendum. It is no more complicated than that.
ParlaMint-GB_2015-10-21-commons.u241	I am grateful to my hon. Friend, who expresses the matter clearly and succinctly We have already shed light on a number of important things. I particularly welcome the Minister’s reassurance, which is important to those of us who are evangelists for devolution for the Greater Manchester area, that in due course, when it has proved as successful as we all hope it will be, some of the neighbouring authorities such as Cheshire East Council—I am delighted to see my hon. Friend the Member for Macclesfield (David Rutley) here—might apply to be part of the journey to this great new world on which we are embarking. I am sure that he would not be alone in wishing to come and join us.
ParlaMint-GB_2015-10-21-commons.u242	I have great respect for my hon. Friend, who is indeed a great friend. Like him, I would absolutely love to see devolution succeed in Greater Manchester, in partnership with authorities in the counties around it, including East Cheshire unitary authority.
ParlaMint-GB_2015-10-21-commons.u243	I am glad to have enabled my hon. Friend to speak for himself Amendment 42 seeks a very simple and not terribly onerous change. It would simply require the Government to report annually on how they have exercised their functions in order to demonstrate that they have not themselves exercised any of the devolved functions that rightly belong with the combined authority or the mayoral authority. There might be better ways of doing this, and I hope that my hon. Friend the Minister will put forward his own proposals in due course. However, the underlying point is that although the Government have been very pleased to place obligations on local authorities through the process of forming agreements or deals, as the Secretary of State likes to term them, very little in the Bill as it stands provides any mechanism to hold the Government to account and ensure that they fulfil their side of the bargain. I think that would be welcomed by everybody who is an evangelist for devolution—as I am sure we all are The Minister alluded to amendments 43 and 44, which seek to provide an easier route for exit. I happily accept that, as the hon. Member for Denton and Reddish (Andrew Gwynne) said, it would be very difficult for any authority to leave a combined authority, especially a mayoral authority, at some point in the future. An enormous number of functions, agreements, financial obligations and so on will bind local authorities together, increasingly so as the years pass, and therefore no local authority would do this lightly. However, the ability to leave, should the devolution arrangements not work in practice for any one or more of the local authorities in an area, is, in some ways, the ultimate guarantee that no abuse should take place. It is particularly important that we should have such a safeguard if we reach the end of our deliberations without a referendum lock in place. If the public are not to be given the choice as to whether they want to have the elected mayor and this new structure of governance put in place over them, surely there must be a safeguard so that if, at a future date, the new arrangements were not working for the people of Trafford, Bury, Stockport or Bolton, they could seek to leave, without penalty, to find a new way of providing services and representation to the local community Amendment 51 calls for a referendum test to be passed. This also relates to Government amendment 4. I think the only reason the Government are so determined to overturn the amendment passed in another place which seeks to prevent conditionality—local authorities being told they are allowed to have devolution only if they accept the model of an elected mayor as a condition—is that negotiations in Greater Manchester have moved as far as they have under those conditions. It seems wrong that the Government are expecting local authorities to accept a particular model of governance as the price for this kind of devolution settlement, particularly if the Government do not have the self-confidence to consult the people and to believe in their own argument such that they could persuade the public that it is something they ought to welcome. This is the ultimate test of the Government’s arguments. The Minister is a very persuasive man, as we have seen in the Chamber today. I am certain that with his enthusiasm, charm and powers of persuasion, he could go out and sell this proposition to the people of Greater Manchester, and perhaps to those in Sheffield and other parts of the country. I wish that he would have the confidence in his own abilities that we all have.
ParlaMint-GB_2015-10-21-commons.u244	I am sorry, obviously, to interrupt the much deserved flattery. Does my hon. Friend accept that, especially in areas outside Manchester, none of the council leaders proposing these deals has been elected on such a mandate? I do not recall that in the 2013 county council elections there was any suggestion of “Vote Labour and we’ll try and create an elected metro mayor for Nottinghamshire and Derbyshire combined.” I agree with local decision making and I support these changes, but there is no local electoral mandate for them.
ParlaMint-GB_2015-10-21-commons.u245	I absolutely agree with my hon. Friend. In my Greater Manchester constituency, the level of knowledge of what is being proposed on changes in governance is still remarkably low. Certainly, it was not a significant feature of the general election campaign or the last local election campaign. We need to try to create a better level of knowledge and engagement.
ParlaMint-GB_2015-10-21-commons.u246	It is correct that no political party has so far campaigned on a metro mayor, but can the hon. Gentleman tell me of any political party, in Greater Manchester or elsewhere, that has ever campaigned on more power for central Government? In fact, the opposite has always been true. Having written Labour party manifestos several times, I know that political parties have always asked for more decentralised power.
ParlaMint-GB_2015-10-21-commons.u247	The hon. Gentleman and I agree in a distressingly large number of circumstances, and I absolutely agree with what he says now. Most of us are very firmly in favour of the devolution of powers from central Government to a level closer to the people, but we are discussing the mechanism for governance and whether people should have the right to consent to changes in that mechanism My hon. Friend the Minister says that this is a necessary package. Clearly, the position that the Government are seeking to establish is one where we can have these levels of devolution only with the particular type of accountability that comes through a directly elected mayor. In that case, does he not believe that that can be put to the people of Greater Manchester as a package? If the benefits of the devolution package are sufficiently good to make it an attractive proposition—if enough of the powers that the hon. Member for Blackley and Broughton (Graham Stringer) and I would like to come closer to the people are being devolved—perhaps even those who are sceptical about the elected mayor model might accept it as a whole. I hope that the Minister, in looking at how the Government might more effectively take on board the views of local people, will consider that possibility as well as the one we have put before the Committee in amendment 51.
ParlaMint-GB_2015-10-21-commons.u248	Before I begin, I should inform the Committee of the breaking news that our good friend Michael Meacher, the right hon. Member for Oldham West and Royton, has passed away. He was a good friend to many people in this House, and I am sure there will be an appropriate moment for us all to pay tribute to a fine parliamentarian and good friend This is my first opportunity to put on record my gratitude and the thanks of the House to my hon. Friend the Member for Stockport (Ann Coffey), who seized the opportunity to produce a magnificent report on areas in and around her constituency. I hope she will take great pleasure in the fact that the Government are now actively considering creating a What Works institution to address the sexual abuse of children. It will ensure not only that people are not victimised, but that perpetrators do not repeat their offences. I hope she feels that her work has been rewarded. I know that was not what she was looking for, but she put a great amount of energy and thought into a very difficult subject Turning to the Bill, I want us to think about where we might be in 2020. As I said on Second Reading, I suspect there will be at least one more devolution Bill—possibly two—so the Bill under discussion is getting the ball rolling, and as we progress I think that many of the edges to which Members on both sides of the Committee have rightly referred will be knocked off If the Government were minded to approve the 38 bids they have received, that would give devolution to about 80% of English local authorities. There is, therefore, not a lot more to do in terms of taking coverage further, but there is a lot more to be done in a number of specific areas. I hope that the Minister, who kindly said he would listen carefully to my remarks on my proposed amendments, will be able to use them and others to ensure that we get a practical devolution settlement that sticks and delivers for people. That cannot happen under this Bill, which is about beginning the evolution of the process. I commend the Government for that I am pleased to see present one colleague from the Scottish National party, the hon. Member for Glasgow Central (Alison Thewliss). Whatever our differences with the SNP, it is not the only party that got votes in Scotland at the general election, although one could be forgiven for sometimes thinking that that was the case. In fact, if we were operating under a proportional system, many more Labour, Conservative and Liberal Members of Parliament would be representing Scotland Putting that aside, we can learn a great many things from the package given by the Westminster Parliament to Scotland after intense negotiations. It could be used as a template for further English, Welsh and Northern Irish devolution. We should try, with a lot of humility, to understand how the package—which resulted from negotiations prior to the referendum—works, how it came about and how it could be applied to the rest of the UK. The answer to any argument in favour of separatism is that everybody in the United Kingdom should enjoy the maximum amount of devolution and run as much of their own affairs as possible, whether that be nationally—as in Scotland, Wales, England and Northern Ireland—locally, or at the level below that of the local council.
ParlaMint-GB_2015-10-21-commons.u249	I am grateful to the hon. Gentleman for tempting me to intervene on him. Does he share my disappointment with the draft Wales Bill, which was published with much fanfare yesterday, but which pales into insignificance when compared with the powers made available to Scotland? The ad hoc nature of devolution across the UK is inherently unstable. Of course, my hon. Friend the Member for Glasgow Central (Alison Thewliss) and I want to go further than the Scottish settlement, but surely that is the benchmark we should be working towards.
ParlaMint-GB_2015-10-21-commons.u250	Unless there is a written settlement, there has to be an evolutionary settlement and someone has to pile in first, make the breakthrough and be a pioneer. In terms of the nations of the United Kingdom, that has been Scotland. All those who contributed to that devolved settlement—including, obviously, Donald Dewar, but also the Scottish Constitutional Convention and many others in civic society—deserve acclaim for their achievements. It is up to the rest of us, whether we are in Wales, England or Northern Ireland, to go through the gap and say, “Devolution is a great thing.” It is not an expedient to buy off Scotland, but a matter of principle that should be applied equally, and at an appropriate pace, to Wales, England and Northern Ireland.
ParlaMint-GB_2015-10-21-commons.u251	My hon. Friend talks about the principles of devolution, but one of the key factors as to whether it will work will be the proper and fair allocation of resources. This Government have a track record of devolving responsibility to local authorities while at the same time top-slicing their budgets. Is not my hon. Friend concerned that this Government, who are committed to a small state, will devolve not only responsibility without resources, but blame for cuts?
