ParlaMint-GB_2015-10-26-commons.u1	1. What support her Department offers to kinship carers.
ParlaMint-GB_2015-10-26-commons.u163	I thank the Minister for his statement. Right hon. and hon. Members from across the House will, I am sure, however, share my deep concern at the way in which Dr Shao Jiang, a former Chinese dissident and veteran of the Tiananmen Square protests of 1989, was arrested last Wednesday on the Mall and the fact that a short time later two Tibetan students, one of whom, Sonam Choden, was a British Citizen, were also arrested for attempting to display a Tibetan flag while the Chinese President’s cavalcade was passing the Mansion House. Dr Shao, who is now a British citizen, stepped out into the road while he was trying to display two A4-sized placards protesting against China’s human rights abuses when he was tackled to the ground by five Metropolitan police officers. This was shown on “Channel 4 News”. While the three protesters were being held in the cells in Bishopsgate, their homes were searched and their computers and iPads seized. Their mobile phones were also kept by the police. Does the Minister have any idea when their possessions will be returned? Will the confidentiality of the data on their computers be respected, as all three depend on their computers for work? Will he comment on why their homes were searched at night while they were in custody The three people arrested were told that any charges they may face will be decided on in early December. Does the Minister believe that that delay is justified? Is it acceptable to detain lawful protesters overnight in the cells? Finally, will the Minister comment on whether these arrests are related to last week’s visit of the Chinese President, Xi Jinping?
ParlaMint-GB_2015-10-26-commons.u164	There is an ongoing police investigation. Three people are on bail while it continues, and I will not jeopardise the case or any investigations by commenting further.
ParlaMint-GB_2015-10-26-commons.u165	“Shameful.”
ParlaMint-GB_2015-10-26-commons.u166	Order. What the Minister chooses to say or not to say is a matter for him. Equally, other Members can raise these matters, with the agreement of the Chair and if appropriate, whenever and how often they wish. These matters will run and run, so colleagues must not worry about that.
ParlaMint-GB_2015-10-26-commons.u167	This seems to be extraordinary. If only three people were arrested when a lot of people were wanting to protest, the police must have allowed protest. If there were a complaint about 300 people being arrested, I would understand the problem, but not when there were only three.
ParlaMint-GB_2015-10-26-commons.u168	As I said in my statement, a lot of preparation work was done to ensure that people had the right to protest peaceably, as the law stipulates. But if the police made a decision to arrest—and they have made that decision—that is an operational matter and not a matter for the Police Minister to comment on.
ParlaMint-GB_2015-10-26-commons.u169	China is a proud country of 1.4 billion people. It is the second largest economy in the world—soon to be the largest. The Anglo-Chinese relationship is very important. We have, for example, Chinese collaboration, Chinese investment and Chinese students. If it is right that we seek to strengthen that relationship, then that relationship should be underpinned by an integrity of approach. There are certain values of universal human rights that transcend any commercial or other relationship. That is why this country rightly believes that, domestically, our Bill of Rights is so important, rooted as it is in our great democratic traditions back to the Magna Carta. That is why, internationally, in a free society we both engage and speak out, as indeed you did last week, Mr Speaker—would that the Prime Minister had been quite as vigorous as you—as did the Leader of the Opposition and the BBC’s Laura Kuenssberg in her interrogation of the Chinese President. In a free society, we defend the right to dissent and to protest. It would not be appropriate to comment in any detail on the circumstances of this case, because it is under investigation, but these are very serious allegations that should be properly investigated, including the raid on the homes of those engaged in dissent. My hon. Friend the Member for Leeds North East (Fabian Hamilton) is absolutely right to raise these concerns on the Floor of the House of Commons.
ParlaMint-GB_2015-10-26-commons.u170	I am not certain whether there was a question there. If I have missed it, I will write to the hon. Gentleman. I think that I agree with everything that he said early on in his contribution about our relationship with China. Indeed, some very, very important business was done last week. The principle of protest is absolutely right. Three people are on bail while an investigation takes place. It would be wrong of me to comment, in any shape or form, on the legitimacy of the case at the moment.
ParlaMint-GB_2015-10-26-commons.u171	I am glad that the Minister shares our pride in our tradition of peaceful protest. Does he share my shame at the purported harassment of a Tiananmen Square survivor, Dr Shao Jiang? What would the Minister do if peaceful protesters such as myself or other Members in this Chamber got a knock on the door in the middle of the night from the police? Would he help us?
ParlaMint-GB_2015-10-26-commons.u172	I am not going to prejudge an investigation by the Metropolitan police, for whom I have great respect—as I do for the other 42 police authorities for which I am responsible. Let us wait and see, rather than prejudge the case. If we let the investigation continue, we will all know the facts.
ParlaMint-GB_2015-10-26-commons.u173	The Chinese ambassador to the UK recently stated that nobody would be put behind bars simply for criticising the Chinese Government. I appreciate that the Government are keen to banish human rights protections in this country, but is the Minister really happy not even to be able to make the same civil liberties commitment as China claims to make? I appreciate that the Minister cannot comment on an individual case, so I will not ask him to do so. Will he tell me, however, whether he can think of any reason, hypothetically speaking, why somebody waving their country’s flag should lead to them being arrested, put behind bars and having their mobile phone and PC taken from them?
ParlaMint-GB_2015-10-26-commons.u174	With all due respect, this might become slightly repetitive. The police made a decision operationally on the ground, which we should respect. We should wait for the investigation to finish and then we can all make our commentary on the facts. If people want to make a complaint, there is a certain way that that can be done and it certainly does not involve this House. It happens after the case is finished.
ParlaMint-GB_2015-10-26-commons.u175	Will my right hon. Friend assure the House that these potential breaches of the peace will be subject to the same investigation and same due process as they would whether they had involved the Chinese President’s visit or anybody else’s visit? Will he also say whether the powers of the Independent Police Complaints Commission will be invoked wherever necessary?
ParlaMint-GB_2015-10-26-commons.u176	If an individual wants to make a complaint pertaining to this case to the police complaints authority, that is for them to do. It does not matter whether this was a Chinese demonstration or any other sort of demonstration; if the police decided at the scene that an arrest was needed, I will back them for that. I think that the whole House would support that decision, too.
ParlaMint-GB_2015-10-26-commons.u177	Does the Minister have any idea of the anger felt in this place and outside it over what occurred? It is unfortunate that he appears to be an apologist for that, as it seems to many people that what took place, as far as the police were concerned, could be described as British police action with Chinese characteristics.
ParlaMint-GB_2015-10-26-commons.u178	I will treat some of those comments with contempt. Given the amount of experience the hon. Gentleman has in this House, I would have thought that he would have supported the police in this difficult situation. I was not there and I saw the TV coverage, too. The officers who were there made the decision to arrest. Ongoing litigations continue, so let us wait and see what happens.
ParlaMint-GB_2015-10-26-commons.u179	Perhaps I can elicit more of a comment from the Minister if I talk in generalities. I am pleased that he mentioned freedom of expression as a centrepiece of our democracy. When I asked the Minister of State, Foreign and Commonwealth Office, my right hon. Friend the Member for East Devon (Mr Swire), the same question on Thursday, I appeared to receive an answer to a completely different question, so will the Minister tell me how freedom of expression was equitably allowed by police who corralled peaceful Tibetan demonstrators at the back of the Mall with a line of police officers in front of them while pro-Chinese demonstrators, wearing T-shirts issued by the Chinese embassy, were allowed prime position at the front?
ParlaMint-GB_2015-10-26-commons.u180	How to police the protest and surrounding situation is an operational police decision. Politicians stay out of such decisions because we do not want to live in that sort of state.
ParlaMint-GB_2015-10-26-commons.u181	One of the three individuals arrested, Sonam Choden, is a constituent of mine. She is a British citizen and was arrested on Wednesday for waving a Tibetan flag. I understand the Minister’s point about not getting involved in operational matters, but if it proves to be the case that there were no grounds for arrest, will he support me in looking into how the protests are policed and operationally overseen, as it seems that these three individuals were arrested without sufficient grounds?
ParlaMint-GB_2015-10-26-commons.u182	I can understand the concern. I am a constituency MP and if I were on the Back Benches I would have the concerns that the hon. Gentleman expressed. However, I would also wait for the police investigation. There are a lot of assumptions about who, why and where. Let us wait. I have faith in the police in this country, as we all have. Let us wait and see as the investigation progresses.
ParlaMint-GB_2015-10-26-commons.u183	Dr Shao Jiang is a constituent of mine. The world saw him arrested for waving two A4 placards calling for human rights in China. His home was searched when no one was there, and his and his wife Johanna’s computers have been confiscated. I spoke to Johanna this afternoon. It was a very traumatic experience for both of them, but particularly for Dr Jiang, given that he has already been held for 18 months in a Chinese jail for organising the Tiananmen Square demonstrations. Will the Minister advise me how I as Dr Jiang’s Member of Parliament can hold to account those who made the disgraceful decisions to arrest someone who was, on the face of it, behaving in a way that was entirely peaceful, who should not have been arrested and whose house should not have been searched?
ParlaMint-GB_2015-10-26-commons.u184	Although I fully understand the hon. Lady’s feeling that she needs to support her constituents—I fully understand that—we must wait, because that is the sort of democracy we are in. It is an ongoing investigation. The gentleman she refers to is on bail. Let us wait and see what happens. After it is all over I will be more than happy to meet colleagues to discuss this, but we must wait.
ParlaMint-GB_2015-10-26-commons.u185	I spent most of last week in Geneva chairing a committee of the Inter-Parliamentary Union on the human rights of parliamentarians. Many of the breaches of their rights involved freedom of expression and so on—many of the things that appear to have taken place here last week—and I feel rather embarrassed to be lecturing politicians from other countries about freedom of expression when what was, as I understand it, a peaceful demonstration was treated in such a way.
ParlaMint-GB_2015-10-26-commons.u186	I met the right hon. Lady just before she went to Geneva so I know exactly why she was there, and I hope it was a very successful visit. Thousands of people did demonstrate peacefully. Three people were arrested. Let us wait and see what the investigation shows. [Interruption.] I trust the police to do an investigation. The hon. Member for Walsall North (Mr Winnick) does not, and he should be ashamed. [Interruption.]
ParlaMint-GB_2015-10-26-commons.u187	Order. Not an appropriate observation from a sedentary position. The loyalist chirruping of the hon. Member for Northampton North (Michael Ellis)—[Interruption.] Order. No comment is required from the hon. Gentleman. His loyalist chirruping is unsurpassed by any Member of the House of Commons. I recognise that in the exercise of his important note-passing responsibilities as Parliamentary Private Secretary to the Home Secretary, he feels a duty to discharge his obligations with great commitment. [Interruption.] No, I am not interested in the hon. Gentleman’s views. His responsibility is to sit there and nod and shake his head in the appropriate places as a PPS, and to fetch and carry notes when required. It is always a joy to hear the hon. Gentleman on his feet, but I do not need to hear him when he is in his seat.
ParlaMint-GB_2015-10-26-commons.u188	This may have been a lawful arrest; I do not want to prejudge the police, not knowing the evidence, but what we do know is that up and down the country, not only in the Metropolitan police area, but in other police forces in England and Wales, there are unlawful arrests every single day of the week, and for that the taxpayer has to pay out millions of pounds of compensation every year. What we do not know, because the Home Office has yet to publish those figures and is unprepared to do so thus far, is how much that costs taxpayers. Does the Minister agree that if those figures were published, it might incentivise the police to be a little bit more careful about what is lawful and unlawful?
ParlaMint-GB_2015-10-26-commons.u189	I think my hon. Friend is trying to drag me into a discussion on whether the arrests were lawful or unlawful. I am not willing to get into that discussion while there is an ongoing police investigation.
ParlaMint-GB_2015-10-26-commons.u190	The Minister is absolutely right: operational matters are and must be for the police, but when the execution of these operational matters is done in such a way as to risk a chilling effect on freedom of speech, that becomes a matter for this House. I do not see how it would prejudice any future prosecution for the Minister to interrogate those responsible for the policy behind these actions now. Indeed, I suggest to him that he has a duty to do so. Will he do that?
ParlaMint-GB_2015-10-26-commons.u191	As I said in my opening remarks, before the state visit the Home Secretary was briefed by the Metropolitan Police Commissioner on how legitimate protests would be policed, and on the possibility of protests that were not legitimate or legal. Ultimately, what took place was still the result of operational decisions taken on the day, and of course those decisions will be reviewed. Today’s urgent question was about three people being arrested, and I cannot comment on that because doing so could jeopardise ongoing investigations. Of course, we must always learn from how policing is done, and I am sure that is exactly what we will do.
ParlaMint-GB_2015-10-26-commons.u192	When the Minister looks back on these police actions and forms a judgment on whether they were appropriate, will he also look at the actions of Birmingham City Councillor Alex Yip—a Conservative councillor—who, as The Independent reports today, has been accused of helping pro-Chinese demonstrations? As far as I can see, that was deemed to be totally appropriate.
ParlaMint-GB_2015-10-26-commons.u193	I must admit that I am not aware of the actions that the right hon. Lady refers to, but I will look into the matter and perhaps drop her a line.
ParlaMint-GB_2015-10-26-commons.u194	Does the Minister not appreciate the propaganda value of what has happened over the past few weeks? First it was all about China, human rights and Tiananmen Square—indeed, you, Mr Speaker, almost referred to that in your remarks in the Royal Gallery. Today, however, the Chinese can say, “Well, things are no different in Britain.”
ParlaMint-GB_2015-10-26-commons.u195	I find that completely baffling. We went out of our way, during a state visit by a very senior member of a foreign Government, to ensure that people had an opportunity to protest, and at huge cost to the Metropolitan police. When people have been arrested and are on bail while investigations take place, it would not be right for a Policing Minister to judge how other countries will look on those arrests until those investigations have been concluded.
ParlaMint-GB_2015-10-26-commons.u196	As someone who has worked very hard to build bridges between this country, this Parliament and China, and who thinks that the recent visit was, by and large, a great success—the balance was right, because they heard some things they did not want to hear, especially from you, Mr Speaker, but it was also a very positive visit—I have to say to the Minister, whom I have known a long time, that we would be much happier if he had started his remarks with the same tone that he has since used. Our right as Members of Parliament is to say that we are really concerned, so my hon. Friend the Member for Leeds North East (Fabian Hamilton) was right to ask this urgent question. At first the Minister sounded as if he was full of testosterone and ready to defend his patch, but he has ended up being much more conciliatory. He should have started that way, because we all quite like him when he is in that mode.
ParlaMint-GB_2015-10-26-commons.u197	rose—
ParlaMint-GB_2015-10-26-commons.u198	Mystic guidance has been provided from Huddersfield, and the Minister must make his own assessment of it, as will all colleagues.
ParlaMint-GB_2015-10-26-commons.u199	To be fair, this is a massively serious issue, particularly for the three people who were arrested, but it is also a very important issue for the police, and perhaps for the Crown Prosecution Service, but we all need to wait, and perhaps we will all learn a little from that.
ParlaMint-GB_2015-10-26-commons.u200	This is a serious matter, but is the Minister aware that a few days before the state visit by the President of China there was a visit to this country by the Chief Executive of Hong Kong, and outside the Dorchester hotel the umbrella movement were playing music and shouting into megaphones? Can he tell us whether any of those democracy protesters from Hong Kong were arrested, or is it a case of one country, two systems?
ParlaMint-GB_2015-10-26-commons.u201	The hon. Gentleman’s question is better than the last one, but I do not think the soundbite quite worked. I do not know because I was not aware of that, so let me find out. If anyone was arrested, I will obviously let the hon. Gentleman and the House know.
ParlaMint-GB_2015-10-26-commons.u202	During the visit of President Xi I met a Chinese dissident, Chen Guangcheng—a human rights lawyer who was granted asylum by the Americans. He talked about the pressures that human rights activists are facing in China with the persecution of journalists and of Christians. I appreciate that the Minister is not able to talk about police operations, but it is important that we recognise the sensitivity in countries like China at seeing how democracy operates in Britain and that freedom of speech is respected, as is the freedom to demonstrate. I hope he will make sure that the Metropolitan police are made aware of that.
ParlaMint-GB_2015-10-26-commons.u203	I am sure that the Metropolitan police are listening to this discussion, but I will also make sure that I mention that in the discussions I have with them. The fact that peaceful demonstrations by thousands of people took place in this country is an example to the world that we can have demonstrations like that. I am not going to go into the issue of what happened with the arrests, but we are a democracy where peace-loving people can demonstrate, and thank goodness they can.
ParlaMint-GB_2015-10-26-commons.u204	Does the Minister know whether formal complaints have been made to the Metropolitan police? If they have, does he think it is appropriate that rather than being dealt with through an internal investigative measure they should be referred automatically to the Independent Police Complaints Commission because of their sensitivity?
ParlaMint-GB_2015-10-26-commons.u205	I am not aware of whether a formal complaint has been made. It is the normal procedure for the matter to go to the Metropolitan police and then the Met themselves can either refer it or it can be referred later on once it has gone through the due process of the complaints procedure. I will find out whether the Metropolitan police have done this and arrange for the commissioner to write to the hon. Lady.
ParlaMint-GB_2015-10-26-commons.u206	The Minister may be embarrassed on behalf of the Government’s distinguished foreign guest, but does he understand that many in this House are embarrassed when Mrs Zhang, one of the arrested people, says “It feels like when I was in China”? The police pick up signals from Government, and this Government are in the process of repealing the Human Rights Act 1998 and our obligations under the European convention on human rights, including the article 11 rights to protest and freedom of association. When the operational decisions are over, will he properly investigate these circumstances to ensure that our feelings on these matters are not unsubstantiated?
ParlaMint-GB_2015-10-26-commons.u207	Of course, once the investigation is over and decisions are made we will all look very carefully at what went on. It is, however, a stretch of the imagination to insinuate that the police would police a protest because of a feeling they get from a Government’s possible future legislation.
ParlaMint-GB_2015-10-26-commons.u208	I am most grateful to the Minister and to participating colleagues. We come now to the urgent question from Chi Onwurah.
ParlaMint-GB_2015-10-26-commons.u209	(Urgent Question): To ask the Secretary of State for Culture, Media and Sport if he will make a statement on Government responsibilities and policies for protecting consumers and infrastructure following large-scale data breaches such as that suffered by TalkTalk.
ParlaMint-GB_2015-10-26-commons.u210	Let me begin by saying that this is clearly a very serious matter. We are all aware that TalkTalk suffered a data breach last week. I want to reassure Members of this House, and TalkTalk customers who may have been affected, that law enforcement has been working very closely with the company since the breach was notified and of course continues to do so I commend the chief executive of TalkTalk for her openness and transparency since the company became aware of the attack. I know that she will do all she can to protect her customers. Nevertheless, this is a very serious incident. I understand that the company has offered free support to customers to ensure that they are alerted to any suspicious activity in relation to their bank accounts. I am also reassured that the Financial Conduct Authority has said that it is not aware of any unusual activity at the moment, and that further advice and guidance is available in a range of places such as Get Safe Online and Cyber Streetwise However, it is extremely important that companies do all they can to protect themselves, and of course their customers, from cyber-attacks. This Government and the previous Administration have worked extremely hard to ensure that companies have the tools they need to protect themselves. We have invested £860 million over five years in the national cyber-security programme, set up the national cybercrime unit inside the National Crime Agency, and launched the Cyber Streetwise and Cyber Essentials schemes. I am pleased that the number of businesses aware of Cyber Streetwise has doubled and that more than 1,000 businesses have now signed up to the Cyber Essentials scheme, which sets out basic technical controls A year ago we made it mandatory that any company that contracts with Government should be accredited under the Cyber Essentials scheme, where appropriate and proportionate. I am also pleased that almost every FTSE 350 company has included cyber-security on its risk register. The “10 Steps to Cyber Security” guidance gives large businesses and organisations comprehensive advice and there are simplified versions available for small and medium-sized enterprises Recent events show how vital it is that we maintain that momentum and that businesses act on our advice in order to protect their customers from harm. I will write again to the FTSE 350 companies, to reinforce the steps we expect them to take and the robust procedures that they need to have in place The Government take the UK’s cyber-security extremely seriously and we will continue to do everything in our power to protect organisations and individuals from attacks.
ParlaMint-GB_2015-10-26-commons.u211	Thank you, Mr Speaker, for granting this urgent question When someone’s data are lost, criminals are given a gateway into their lives. I have spoken to one woman who lost £5,000 in a sophisticated scam following a previous TalkTalk breach. Today, up to 4 million people are wondering what data they have lost and where a cyber-attack will come from. They are checking their bank accounts, callers and credit cards. The Government need to reassure us that our digital lives are secure, and they need to help our digital economy to grow When did the Minister first speak to TalkTalk about the breach and its implications? Is he now aware of what data were taken and whether they were encrypted? What obligations were there on TalkTalk to report the breach to the Information Commissioner’s Office and to advise customers, and did it do that quickly enough? What rights of compensation do TalkTalk customers have and for how long, and how can they exercise them Will the Minister ask the Information Commissioner to update his guidance in the light of the current confusion? What additional resources will police have to respond to the up to 4 million inquiries from frightened customers, and will the breach be reported as one cybercrime or many For many years, we have been calling on the Government to take action to protect consumers and citizens from cyber-scams. This Government’s data policy is chaos illuminated by occasional flashes of incompetence. Will the Minister acknowledge that all the innovation has come from the criminals while the Government sit on their hands, leaving it to businesses and consumers to suffer the consequences?
ParlaMint-GB_2015-10-26-commons.u212	Of course, the hon. Lady is perfectly entitled to ask those questions, many of which are valid, but I have to take issue from the very beginning with her assertion that the Government have somehow been sitting on their hands. I do not think she heard my response to the urgent question. We have invested more than £860 million in cyber-security and we have a number of very effective schemes with which to engage business. It is worth remembering that that money was invested at a time of economic austerity and that that was one of the first decisions taken by the coalition Government The hon. Lady asked how many people have lost their data. The situation is fast moving and, given that the investigation is ongoing, it would be remiss of me to put a final figure on it. As I said in my response, law enforcement agencies have been in touch, and we have been in continuous discussion, with TalkTalk since Thursday On the question of what data have been taken, the chief executive of TalkTalk has issued a number of statements, saying that bank account details have been given out and that some credit card details, albeit tokenised, have been stolen as well The question of whether TalkTalk reported the breach to the Information Commissioner’s Office in time will be a matter between the Information Commissioner and TalkTalk, although I understand that it was reported on the Thursday. As I understand it, any rights of compensation and how long they will take will also be a matter for the Information Commissioner. I am delighted that, since last month, the Information Commissioner falls within my Department. It is precisely that kind of joined-up government that is needed to make our combating of cybercrime and cyber-fraud as effective as possible. I will certainly meet the Information Commissioner to discuss the issues The police have extensive resources with which to combat cybercrime, and we are the Government who set up the national cybercrime unit.
ParlaMint-GB_2015-10-26-commons.u213	May I just confirm that we will look very closely at this issue on the Culture, Media and Sport Committee? Has my hon. Friend noted that it appears that much of the information had not been encrypted? Is there in fact a case for requiring the encryption of customer data by other companies, such as this one, in future?
ParlaMint-GB_2015-10-26-commons.u214	I am delighted that the Chairman of the Select Committee will conduct an inquiry into data protection. I am sure that the inquiry, particularly the findings that come out of the report, will be extremely valuable. It has to be said that companies should encrypt their information. There has been some misinformation that the Government are somehow against encryption.
ParlaMint-GB_2015-10-26-commons.u215	Wednesday’s cyber-attack on TalkTalk has illustrated the problems faced by a Government who have failed to protect the interests of consumers through their lightweight regulation of telecoms. For the third time in less than a year, the 4 million customers of TalkTalk have had their confidential details compromised and, once again, the Government and TalkTalk have fallen short in their response TalkTalk has attempted to downplay the impact of the attack on its website, stating that the core system was not affected, but that ignores the broader use of personal data in fraud and identity theft. It is estimated that the value of a credit card number to a criminal increases by 500% when combined with the personal details of the individual. Although credit card numbers expire and can change, self-evidently people’s names, addresses and dates of birth do not. Once a criminal has those details, they can use them for numerous purposes. TalkTalk is clearly not taking that seriously enough In the United States, AT&T was fined £17 million for failing to protect customer data. In the United Kingdom, the ICO can only place fines of up to £500,000. For a company that received an annual revenue of nearly £1.8 billion, a fine that small will clearly not be terrifying. The regulation of telecoms must be strengthened to protect consumers Does the Minister agree that telecom providers must be held fully responsible for failing to protect confidential data? Regulation needs to be strengthened to ensure that; I am afraid that free counselling from TalkTalk is meaningless twaddle.
ParlaMint-GB_2015-10-26-commons.u216	I thank the hon. Gentleman for that extensive question. As I said earlier, the Information Commissioner’s Office will obviously look at this data breach. It has extensive powers to take action and, indeed, to levy significant fines. The Government are always open to suggestions about how that could be improved. As I said in an earlier answer, I will certainly meet the Information Commissioner to look at what further changes may be needed in the light of this data breach.
ParlaMint-GB_2015-10-26-commons.u217	The internet is the fastest growing sector of the economy, having moved from about 6% of GDP in 2011 to 10% now and growing. One of the aims of the Government’s admirable UK cyber-security strategy is to make the UK “one of the most secure places in the world to do business” in cyberspace. However, that depends on the capabilities of our law-enforcement operations, such as the Met police who are working with TalkTalk today. What can the Minister say about ensuring that our law-enforcement officers have the skills and capabilities needed to tackle cybercrime and to maintain the valuable confidence we need to continue to do growing business on the internet?
ParlaMint-GB_2015-10-26-commons.u218	My right hon. Friend is quite right to say that cyber-security lies at the heart of the success of our digital economy. It is absolutely vital that customers can trust the websites to which they go and that we have the right law-enforcement capabilities. I am delighted that the police national cybercrime unit has received significant funding and that we have regional cybercrime units, including the Metropolitan police’s very effective cybercrime unit, which has worked so closely with TalkTalk since this matter came to light.
ParlaMint-GB_2015-10-26-commons.u219	Two years ago, Adrian Leppard, the country’s most senior police officer for online fraud, told the Home Affairs Committee that we were not winning the war against cybercrime. Every month there are 600,000 cyber-attacks against British companies, and we need a 21st-century response to this 21st-century crime. Will the Minister seek an urgent meeting with the Home Secretary to see whether more of the cyber-budget could be put into policing, and will he consider what can be done to advise and assist British companies that lose £34 billion every year to cybercrime? Many attacks are launched from the territories of EU partners, and this is an international crime. The Government should be commended for putting in the money, but we must do more through Europol, in conjunction with other countries.
ParlaMint-GB_2015-10-26-commons.u220	Given that the right hon. Gentleman has been gracious enough to commend the Government for investing money in this area, let me meet him half way. Of course Ministers meet across Departments—a number of Departments have relevant interests in this area—and we will always consider what more can be done. I will certainly take the right hon. Gentleman’s advice and ensure that Ministers meet across Departments to consider how we can co-ordinate our action more effectively.
ParlaMint-GB_2015-10-26-commons.u221	I welcome what the Minister has said because it underlines the importance of cyber-security skills to our whole economy. Will he join me in congratulating Training 2000, which is currently establishing an institute of cyber-security in my constituency? That will provide cyber-security apprenticeships, along with a range of other courses for small and medium-sized businesses in my area.
ParlaMint-GB_2015-10-26-commons.u222	I certainly join my hon. Friend in commending Training 2000. There are around 14 cyber-security clusters throughout the United Kingdom, and the Government continue to support this important industry.
ParlaMint-GB_2015-10-26-commons.u223	No doubt the Minister is aware that many companies have decided to rethink their data protection strategies in the light of some of the more publicised cases of cybercrime, yet according to recent surveys, some 24% of companies are not doing that. The Government need to take more action to persuade companies to act. Perhaps the Minister will also think about reviewing the legislation on these matters, which is no longer fit for purpose.
ParlaMint-GB_2015-10-26-commons.u224	This is not a case of the Government simply issuing a strategy and forgetting about it: we constantly engage with businesses, trade associations and professional services that can do a huge amount to advise their clients. However, I will take the right hon. Lady’s question in the spirit in which it was asked, because we can—and should—constantly engage with businesses on this issue. We will certainly consider any changes in legislation that she thinks necessary, and keep the issue under review.
ParlaMint-GB_2015-10-26-commons.u225	The suggestion by the Chair of the Home Affairs Committee that most of these attacks come from the European Union means that I can blame the European Union for something more, although probably unfairly in this case. More seriously, constituents are getting calls and emails from companies that apparently need to talk to them because of the TalkTalk situation. Those companies say, “So that we know we are talking to the right person, can we have your address and date of birth?” What is the Minister’s advice to my constituents?
ParlaMint-GB_2015-10-26-commons.u226	This case has achieved a great deal of publicity, and common sense tells us that people will somehow try to scam off the back of it. My advice to my hon. Friend’s constituents is to put the phone down. If hon. Members have an issue with a constituent who feels that this matter is not being taken seriously, they are welcome to contact me.
ParlaMint-GB_2015-10-26-commons.u227	I was not clear from the Minister’s response to the Chair of the Home Affairs Committee whether the data that have been stolen from TalkTalk are raw or encrypted. There is a lot of concern about that. Is not part of the problem that all the information has to be provided online, and there is no opportunity for other forms of data—such as the old paper way—which were safer? Many people feel more secure providing smaller amounts of data but keeping copies.
ParlaMint-GB_2015-10-26-commons.u228	The hon. Gentleman makes an interesting point. We now live in a digital world and we will see more and more companies engaging with their customers on digital platforms. Indeed, it is important to stress that customers find this convenient. I am sure all of us in this House transact with many organisations digitally, so I am not sure we can go backwards in that respect. The challenge for the Government is to engage with business and to emphasise, as we have not been shy in doing, the importance of maintaining proper cyber-security.
ParlaMint-GB_2015-10-26-commons.u229	With the apparently increasing frequency of cyber-attacks, and to reassure my constituents, will my hon. Friend say whether he agrees that businesses that handle sensitive personal data such as bank account details must now put in place comprehensive procedures to ensure that customers are informed immediately if their data may have been breached by cyber-attack?
ParlaMint-GB_2015-10-26-commons.u230	It is very important that all businesses, particularly those handling significant amounts of sensitive customer data, have robust procedures in place to protect those data and to inform customers when there may have been a data breach.
ParlaMint-GB_2015-10-26-commons.u231	Has the Minister had any meetings with the Home Office to discuss the legislative changes that are required? Also, has he thought about using the draft communications Bill, which would seem to be an ideal vehicle for that and which I understand will come before the House later this month?
ParlaMint-GB_2015-10-26-commons.u232	Whether it is an ideal vehicle would be a matter for the Home Office, but we certainly have plans to sit down with Ministers across Departments to discuss any possible legislative changes that need to be made.
ParlaMint-GB_2015-10-26-commons.u233	The Minister will be aware that there are discussions in the European Union about updating data protection legislation, so, first, what outcomes would he like for consumers and what chance is there of achieving them? Secondly, if anyone has lost out financially as a result of this data protection breach, would TalkTalk or the banks be liable for compensating those consumers?
ParlaMint-GB_2015-10-26-commons.u234	We have been working for many years on data protection regulation in the European Commission, and it is almost at the point of being completed. It has always been an important principle from the UK’s perspective that we put the consumer and the citizen at the centre of this. These are their data, and it is their right to own them and be sure about how they are used As far as compensation is concerned, as I said earlier, it will be a matter for the Information Commissioner’s office and TalkTalk to decide on any appropriate levels of compensation.
ParlaMint-GB_2015-10-26-commons.u235	Since the election, the number of people working for the Government data services has declined and the appointment of a chief data officer has still not been made. What impact is that having on the advice that Ministers receive from officials about data protection and the security of online digital services in government?
ParlaMint-GB_2015-10-26-commons.u236	I think the hon. Gentleman is referring to the Government Digital Service; and the Minister for the Cabinet Office, who is responsible for that service, has today made an important speech on its future. It is an extremely successful part of Government, and the hon. Gentleman can rest assured that the Government take the protection of citizens’ data on their own platforms extremely seriously.
ParlaMint-GB_2015-10-26-commons.u237	I had better start by declaring an interest: I am a customer of TalkTalk and have so far not been contacted by the company by email or phone, or in any other way. The title for the urgent question contains the words “consumer protection”. Have Ministers considered ways that consumers can assess whether the providers of any of these services have robust cyber-security mechanisms in place? At the moment, we are completely blindsided as consumers.
ParlaMint-GB_2015-10-26-commons.u238	The right hon. Lady makes a valid point. In many cases, businesses set out extremely detailed terms and conditions, but the idea that they are consumer-friendly is wide of the mark. If I can take, as it were, the spirit of her question, some kind of kitemark to denote companies that have robust cyber-security procedures in place would be something worth exploring.
ParlaMint-GB_2015-10-26-commons.u239	On a point of order, Mr Speaker. Moving from the latest in data protection to a more traditional format, may I ask your advice on a matter concerning the Administration Committee, on which I serve? I was, I have to admit, a few moments late for a meeting of the Committee on 12 October and was surprised to discover that a motion had been rushed through in the first few seconds of the meeting to change the means by which we record the Acts of Parliament from vellum, which has been used for 1,000 years or more, to paper. I immediately registered my opposition and said that I disagreed with that, but was very surprised to discover this morning when the report was published that the decision appears to have been unanimously supported by the Committee, including by me Mr Speaker, am I right in thinking that because the use of vellum was brought in by an order of the House, voted for on the Floor of the House, its removal would also require a vote of this House? If that is the case, would that be an opportunity for me both to register my dissent properly and to try to encourage hon. Members on both sides of the House to oppose what seems to me to be a disgraceful piece of heritage vandalism?
