ParlaMint-GB_2015-12-14-lords.u1	To ask Her Majesty’s Government whether they have plans to reform Sunday trading laws.
ParlaMint-GB_2015-12-14-lords.u128	My Lords, we believe that we have challenged the question of the cost of the amendment. We also believe that our focus on targeting 15 year-old attainers does not preclude the targeting—through, in particular, work in schools—of 16 year-olds who currently do not come under the definition of attainers I make it clear to the noble Lord, Lord Kakkar, that the decision of the Speaker and the Clerk is not being questioned. However, we continue to want an answer on the issues of transparency and the minimum thresholds for when financial privilege, which can and will severely curtail the power of this Chamber, can be invoked. However, we accept the point made by the noble Lord, Lord Pannick, that this does not stop this House dealing with the merits of the amendment. We believe that there is an appetite in the country for the young to become more engaged in political debate. We believe that they are more equipped than any generation in history to become involved at the age of 16 in determining the future direction of their nation Young people are the future of this country. This is their one chance to have a say in the country’s relationship with the EU. It is an exceptional vote. We need to reach out to a new generation of voters to demonstrate to them that we have faith in them and that we respect their opinions. We have not been convinced by the arguments put forward by the Minister and we therefore wish to test the opinion of the House.
ParlaMint-GB_2015-12-14-lords.u129	My Lords, I speak to Amendment 57, tabled in my name and that of my noble friend Lord McKenzie of Luton, and with the support of the noble Earl, Lord Listowel, and the noble Baroness, Lady Manzoor. Its purpose is to provide for a full, independent review of the operation of the sanctions regime, to determine the effectiveness of sanctions in moving claimants into sustained work as well as any adverse impact on particular groups. It echoes a recommendation made twice by the Work and Pensions Committee but rejected by the Government The Government gave three main reasons for rejection in response to the committee’s recent report on sanctions. First, they wanted the improvements already made to bed in. Welcome as the improvements may be, they do not meet all recommendations from either the committee or the earlier Oakley review. There is evidence from many quarters that problems persist. Secondly, the Government argue that international evidence is clear that benefit regimes tied to conditionality get people into work. Last week the noble Baroness, Lady Meacher, pointed to how the international evidence is not unequivocally in support of the value of sanctions and getting people into sustained work and achieving positive, longer-term outcomes. In any case, I do not see the relevance to the case for a review of this sanctions regime. Similarly, the Government point to wide agreement that sanctions play a vital role in supporting conditionality—up to a point, provided they are, “applied appropriately, fairly and proportionately”, to quote the Work and Pensions Committee. But the whole point is that few agree that they are. That is why we need an independent review that goes beyond the narrow remit of the Oakley review, helpful as that was Last week the noble Lord, Lord Kirkwood of Kirkhope, referred to the toxic effect of sanctions. The noble Baroness, Lady Meacher, cited some of the evidence, drawing on her experience as a member of the Fawcett inquiry into the impact on women, particularly lone mothers, rather spoiling the rosy picture painted by the Minister on Wednesday night There is also evidence from a wide range of organisations, such as Gingerbread, Citizens Advice and local advice agencies, including an Advice Nottingham report I helped to launch the other day. More evidence has emerged since our last sitting from the All-Party Parliamentary Group on Hunger and Food Poverty, in the foreword to which the most reverend Primate the Archbishop of Canterbury expressed shock at sanctions’ contribution to widespread hunger and reliance on food banks; and from Crisis, which published a study from Sheffield Hallam University that found that sanctions were leading to homelessness and exacerbating the situation of those already homeless, particularly those with mental health problems. I do not have time to document this evidence, but I want to interrogate some of the department’s responses to the Work and Pensions Committee’s recommendations, drawing on an analysis by Dr David Webster of Glasgow University, to whom I am indebted, as I am for his regular analysis of the sanctions statistics. I am glad to say that these show some improvement recently, but the rate remains well above the pre-2010 rate The response to the committee’s report was perhaps spun to give the impression that it had conceded rather more than it had. In particular, what was dubbed acceptance of a yellow-card system looks more like a deferred red card to allow for representations to the referee. I am sure my colleagues know that I do not normally draw on football metaphors. The recommendation was that the: “DWP pilot pre-sanction written warnings and non-financial sanctions”, for first-time incidents of non-compliance. The response was to, “trial arrangements whereby claimants are given a warning of our intention to sanction, and a 14-day period to provide evidence of good reason before the decision to sanction is made”, and to, “provide further evidence to explain their non-compliance” That is a welcome improvement but I am sure noble Lords can spot the difference. Indeed, the noble Lord, Lord Freud, himself, in a previous role, called for first-time non-compliance to be met with a written warning rather than a sanction. The Oakley review called for the trial of non-financial sanctions for first-time failures. SSAC, too, favours such an approach In eliding it with a recommendation for an independent review, the department also rejected without explanation the call for an evaluation of the efficacy and impact of the four-week minimum sanction period under the 2012 Act, compared with a minimum period of one week. Perhaps we could have an explanation now The current chair of the Work and Pensions Committee has written to the Secretary of State to express his disappointment at the refusal to accept the recommendation on monitoring the destination of sanctioned claimants. As he argues: “Monitoring employment outcomes is surely fundamental to understanding … the ultimate aim of getting claimants back into work and out of poverty” The Secretary of State’s response to this crucial recommendation referred simply to quality-assuring universal credit statistics, with a reference to other unspecified factors that might affect claimant destinations, which was not very encouraging. Surely the department wants to know whether sanctions are moving claimants into sustained work and what happens when they are not. The Crisis study found that, perversely, sanctions were pushing some of those affected further from the labour market and that homelessness service users were begging, borrowing and stealing to meet their daily need. Indeed, some actually said that they were trying to get put into jail because it would be better than destitution. Surely the department wants to know the impact on the health and well-being of those sanctioned and their families, which, again, the Crisis study and others have shown can be very negative. These are all issues that an independent review would address and that I really believe that the department itself surely wants to know the answer to.
ParlaMint-GB_2015-12-14-lords.u130	My Lords, I attached my name to this amendment because in past experiences of working with young people in hostels, I have often seen how the administrative machine makes mistakes and causes young people such hardship. On Friday I visited the First Love Foundation food bank in Poplar. I spoke with young people and families asking for help from the foundation. I heard that often, because of mistakes in sanctions, or because of sanctions, children were going hungry. I was also told of the case of a man who would be sanctioned if he failed to finish a course he was on, but who would also be sanctioned if he failed to attend the other course he was supposed to be doing. He was put in an impossible situation. This amendment is a reasonable request to make of the Government and I hope the Minister will accept it.
ParlaMint-GB_2015-12-14-lords.u131	I accept everything the noble Baroness, Lady Lister, and the noble Earl, Lord Listowel, have said. The last time this Committee sat, noble Lords touched on the question of how we can learn lessons if we do not put reviews in place. If we do not review sanctions, how will the Government assess whether they have been effective or whether they can be adjusted to get people back into work? That is surely what it is about and why sanctions have been put there in the first place. We must have an independent review and I hope the Minister will look seriously at this issue.
ParlaMint-GB_2015-12-14-lords.u132	My Lords, I do not object to reviews in principle. I have done some for the Government and I am now doing the official review of Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Act, which covers the impact on non-party political campaigning. They have a useful role and, in light of the work I have done for the Government, it would be strange if I objected in principle to what the noble Baroness and the other noble Lords proposing these amendments are saying. I leave aside the question of whether there is a real purpose here: the noble Baroness rather disregarded the Oakley review and other things as being of little value. If reviews are to have worthwhile purposes, they need to meet certain tests. Other noble Lords will have their own tests, but I will share three with the Committee this afternoon First is the question of timing. The full impact of legislation takes time to emerge. In these circumstances, we are obviously seeking to change people’s behaviour. Their first reaction may not be their last and further reactions—good or bad—may emerge over the months and years after the legislation comes into effect. The amendment suggests 31 March 2016 as the date by which the review must be set up into whether sanctions are an, “effective and proportionate means of meeting the Government’s objectives” I doubt whether it is possible to adhere to that timescale and reach meaningful outcomes, given the complexity of the subjects we are discussing and the likely evolution of events and behaviours. I am therefore concerned about the timing The second question is about the remit, which is too narrow. Each statute contains a number of pieces, as in a jigsaw. If one piece of the jigsaw is moved, all the other pieces have to move as well. The amendment looks at just one piece and does not pay enough attention to the wider implications, strategic aims and objectives of the Bill as a whole. Its benefits and value suffer as a result of its proposers making it so narrow The third question is the terms of the review. To be worth while, a review has to be reasonably even-handed as it sets out. I notice that the word “sanctions” is used four times in the amendment. By no stretch of the imagination can “sanctions” be said to be a neutral word: it is a pejorative term. The review sets out with these terms in order to arrive at, and find, a particular outcome.
ParlaMint-GB_2015-12-14-lords.u133	My Lords, does the noble Lord not agree that the word “sanctions” is employed in my noble friend’s amendment because that is the word the Government choose to use?
ParlaMint-GB_2015-12-14-lords.u134	In these circumstances, a word such as “provisions” would be a better and more even-handed way of looking at the measure From my point of view, the timing proposed in the amendment is too soon, the remit is too narrow and the terms of reference are designed to achieve only one result. Therefore, I hope that my noble friend will reject it.
ParlaMint-GB_2015-12-14-lords.u135	My Lords, I also have a slight reservation about my noble friend’s amendment, but it is not the kind of semantic quibble which the noble Lord has just advanced, if I might term it that way. I would like to see the review of the out-of-work benefits regime and sanctions, which she rightly calls for, extended to certain other aspects of the welfare system as it is now operating In debates in your Lordships’ House, I have referred before to the area in Newcastle I represent as a councillor. It is a ward in the west end of the city with high levels of deprivation and a life expectancy 12 years lower than that of the area where I live, some 12 minutes’ drive away. The ward has six primary schools, two of which are Roman Catholic schools. All the schools, together with the Excelsior Academy, founded by a Conservative philanthropist, provide breakfast clubs for their pupils. The ward is served by the largest food bank in the country and poverty is a very real local issue On 26 November, I was contacted by a constituent, a single parent with two very young children, whose child tax credit payments had been stopped for eight weeks. The family was left with £33 a week child benefit and £117 a fortnight income support. The children’s milk tokens had also been stopped, and formula milk needed by one child who suffers from asthma could no longer be afforded. The parent of these children could not top up the gas meter, when required, to the usual extent Concentrix, the firm dealing with my constituent under contract to HMRC, had initially stated that it would take six weeks to check the eligibility for child tax credits. I forwarded the details and my reply to the constituent to the local Member of Parliament, and advised my constituent that I had done so and would also endeavour to take up the matter with the Minister. However, three days later, on 1 December, I was again contacted by my constituent, who told me that a further telephone conversation had taken place with Concentrix. The initial response—now nine weeks after payments ceased—was that inquiries were ongoing. A request was then made to speak to a supervisor. Initially, that led only to an assertion by the supervisor that the mandatory reconsideration was being carried out by another department which did not accept calls from claimants. However, after it was said in the course of this telephone conversation that the local Member of Parliament had been informed about the case, the problem was miraculously resolved and payments immediately resumed, even though for weeks Concentrix had claimed that this could not be done by the department to which the calls had been made This sorry saga raises serious questions about the administration of the child tax credit system in general, and by Concentrix in particular. Of course, it is right that claims should be validated, but your Lordships might think that even six weeks seems like a long time for payments to be suspended, let alone the nine weeks which had elapsed in this case and the even longer period which, but for the mention of the Member of Parliament, would otherwise have ensued There are also issues about the approach taken by Concentrix in dealing with the matter, not just the length of time taken. This US-owned company, another beneficiary of the passion for outsourcing these services, was featured in an article in the Independent in February. Staff claimed they were under pressure to start 40 or 50 inquiries a day into possibly fraudulent claims without any initial cause. In effect, they were asked to fish for fraud. As of August, the Mumsnet website carried 91 cases of applicants complaining about how they felt intimidated by the company’s approach and its demands, for example, for original documentation such as bank statements, rent payments or catalogue, fuel and other bills, which were often prefaced by unsubstantiated and false assertions that claimants were not lone parents but were living with someone All of this is symptomatic of a deeply troubling approach to an important component of our welfare system, or, as I prefer to characterise it, our system of social security, which in so many ways the provisions of this Bill threaten to undermine A week last Friday, I watched a recording of JB Priestley’s powerful and moving play “An Inspector Calls”, set more than a century ago, which deals with the tragic history of a young woman driven to suicide by poverty and the withholding of what was then known as poor relief. I am not, of course, suggesting that we are in a similar position today or that this Bill, however imperfect, will take us back there. But I believe it is time for an inspector to call not only on Concentrix but on HMRC, the department and the Government as a whole to review not just how the system is administered, but the implications for those in need of the policies embodied in this Bill.
ParlaMint-GB_2015-12-14-lords.u136	My Lords, perhaps I may make two points on this very important subject, which will become more important as universal credit comes to be rolled out. That will happen significantly over the coming months and it is causing fear and anxiety that the sanctions regime, which at the moment affects individual benefits, as colleagues know, will start to be applied on a much wider scale on a wrapper which contains within it six benefits. The stakes are therefore a lot higher and, as I said last week and as the noble Baroness, Lady Lister, mentioned, I am getting strong signals that people are worried about universal credit, in a way that I hoped they would not be because of the extra 1 million people who will be embraced on full rollout. In steady state, universal credit will bring that new degree of conditionality, so we need to be careful to answer some of the questions that have been raised Some of the casework that we have heard about obviously needs to be thoroughly investigated, and we need to try to deal with that as much as we can. However, the issue for me is about working with interest groups, such as Gingerbread and others, to try to bridge the gulf—and it is a gulf at the moment—with what the Government say is actually happening. The noble Baroness, Lady Evans, did a valiant job against the clock last week in trying to set out what the Government believe to be the circumstances. I would just report that that explanation, while done in good faith, was met with incredulity by some of the specialists working in this field. It may be that they are dealing with families which are predisposed to the risk of the sanction effect, particularly in the lone-parent client category. But we really need to try to bridge the gap between what the Government think is happening and what the pressure groups, which we have all worked with for years and whose judgment I trust, feel is happening before universal credit gets too much further rolled out I am in favour of a review of the generic kind suggested by the noble Baroness, Lady Lister. Speaking for myself, what really needs to happen concerns decision-makers, particularly skilled and experienced decision-makers. The problem is that the people who I get access to in Jobcentre Plus offices are more likely to be experienced because, if I was the departmental manager, I would want visitors such as me to see experienced hands and I have been doing that for a long while, so I have factored that in. I am presupposing that the training and guidance have been rolled out properly; the departmental expenditure limit makes that harder and harder but the explanation of the noble Lord, Lord Freud, last week, which I accepted, was that you can front-load the staff because you save money on administration with the technology. But I am absolutely convinced that these decision-makers with experience are skilled and savvy enough to know whether a case in front of them is missing essential evidence. I do not think that they have enough discretion at the moment about freezing the application until they are satisfied that they have the information in front of them The trouble is that these cases are visited on them through the technology system, so they are not able to see the case all the way through in the way that case officers could in the old days. Jobs get passed around the system, which is technologically clever and efficient, but that deprives the decision-makers of being able to say “Look, there’s something missing here. I want this attended to, and within two weeks I need this other information. If it is absent, their sanction will be applied but if we can find it, I’d be much happier”. I do not think that that flexibility exists I know that the guidance is all online and people can see it, and that it all makes sense when read in a cold situation. But in a hot family situation, an experienced decision-maker should be given more latitude in looking at the papers which they have and estimating what other evidence, which because of their experience is likely to exist somewhere else, would make a difference. That would save a lot of money in successful appeals, which would be spawned once the evidence was received, and make the client’s experience a whole lot better. There are things that could and should be done, but my plea, as it is all through the Bill, is that we have to get these things straightened out to the best of our possible ability before universal credit is rolled out to 7.7 million households across the country by 2020 or thereabouts.
ParlaMint-GB_2015-12-14-lords.u137	My Lords, I would like to ask the Minister a question. Concerns have been expressed to me by legal advice centres and the local equivalents of CABs and so on. Anybody who is threatened with a sanction can obviously appeal or ask for a second opinion, and that would then go to an independent decision-maker. How long will that independent decision-maker take to arrive at their judgment? The advice I have been getting is that that is where it is being held up and that there are sometimes waits of six, eight, 10 or 12 weeks before a decision is made. As a result, there is a long queue for the independent decision-maker However, you cannot go to appeal, where the original decision may quite possibly be overturned, until it has been reviewed by the independent decision-maker. I am in favour of the department reviewing its own internal decision-making before we go through to the tribunal appeal process, but only if that is done speedily and competently, as well as fairly. Can we be reminded of those statistics, because I am advised in case after case that it is being used as a narrow gateway? It puts a lot of delay in and doubles the difficulties of the sanction procedure. Then there is an entirely different question, not connected with that at all, which goes back to the Minister’s words towards the end of the last Committee day on work conditionality and sanctions and on the preparation for work interviews for those with a toddler aged two years or more—although the requirement to work does not bite until the toddler is three. Are people required to attend such work interviews or work preparation without their toddler? Consider a situation in which a lone parent has recently had to move, perhaps six months before, from a privately rented, mouldy property on an insecure tenancy to another property, and there is no support system in place. The little two year-old boy still does not speak, although he perhaps has the beginnings of a bit a temper. That child still needs to be fed and to have his nappies changed, but there is no local support network in place and the little boy has never been looked after by anyone other than his mother. Given that we are not talking about a work placement or continuous employment, as would happen when that toddler is three years old, but about attending, often on quite short notice, a work interview or work preparation training, may I have the Minister’s assurance that the lone parent may bring her two year-old toddler with her? In that case, are the jobcentres appropriately staffed and do they have provision for nappy-changing facilities and the like for such small infants?
ParlaMint-GB_2015-12-14-lords.u138	May I correct something I said earlier? On my visit to the food bank in Tower Hamlets on Friday, the principal reasons given for people coming to food banks were mistakes in benefits and their own lack of knowledge about their entitlements; it was not to do with sanctions brought against them. I have checked my notes and apologise for my mistake.
ParlaMint-GB_2015-12-14-lords.u139	My Lords, I speak enthusiastically in support of Amendment 57, moved with her customary precision and passion by my noble friend Lady Lister. I am pleased that it also has the support of the noble Earl, Lord Listowel, the noble Baroness, Lady Manzoor, my noble friend Lord Beecham, and the noble Lord, Lord Kirkwood, with his particular focus on getting these things sorted out before we get fully into universal credit The amendment seeks a full and independent review of sanctions attached to working age benefits, with particular reference to their application to lone parents and disabled claimants. The review should also focus on the effectiveness of sanctions in moving claimants into sustained work. The noble Lord, Lord Hodgson of Astley Abbotts, posed three tests for a review, based on timing, remit and even-handed terminology. I think that we have established that the terminology involved is that which the department itself uses. On timing, the issue here is that the hardship and detriment people are suffering because of the sanctions regime is happening to them now. They do not have the time to wait for a fuller, more extended review. On the remit, I doubt whether my noble friend would have great problems in seeing that expanded. We would be interested to know quite how much further detail the noble Lord wants. The proposition follows a call from the House of Commons DWP Committee in its March 2015 report, referred to by my noble friend. We know the call has been rejected, but we hope that this debate will help the Government to change their mind. This is of course inextricably linked to conditionality issues, which we debated at some length on Wednesday. We can agree that conditionality has long been a component of social safety nets and needs a system to support compliance. But as the amendment makes clear, as did my noble friend in moving it, the system should be applied appropriately, fairly and proportionately, and with a clear focus on improving sustained employment outcomes. It should not be seen as a substitute for effective support to help individuals back into work We support the approach that says that the design and application of sanctions need to be considered alongside conditionality and employment support. The three go together. The coalition Government initiated the Oakley review, although as we have heard it was narrow in its remit. It focused on JSA claimants and back to work programmes, but the number of sanctions overwhelmingly associated with the Work Programme represented only some one-third of the total JSA sanctions in 2013.
ParlaMint-GB_2015-12-14-lords.u140	My Lords, the amendment, moved by the noble Baroness, Lady Lister, and supported by the noble Baroness, Lady Manzoor, the noble Lord, Lord McKenzie, and the noble Earl, Lord Listowel, would put into statute an independent review of the sanctions system. However, we are not sure that that is necessary, as the Government already keep the operation of the sanctions system under constant review to ensure that it continues to function fairly and effectively There is clear evidence that sanctions are effective with more than 70% of JSA and more than 60% of ESA recipients saying that sanctions make it more likely that they will follow the rules, but, where we identify that there is an issue, we act to put it right. This is clearly shown in the improvements already made to the JSA and ESA sanction system following the recommendations of Matthew Oakley’s independent review last year. However, as I said, we do not stop reviewing the process to ensure that it is fair and effective. That is why we have accepted, or accepted in principle, many of the recommendations made by the Work and Pensions Select Committee’s recent report into sanctions The chair of the Work and Pensions Select Committee, the right honourable Member for Birkenhead, has welcomed our response and our willingness to work with the committee to ensure that the conditionality system works as it should. In our response to the committee, we announced that we will trial a sanctions warning system giving claimants a further two weeks to provide evidence of good reason before a decision is made. We believe that this will help to strike the right balance between conditionality and fairness I can confirm to the House that it is our intention that the trial will operate in Scotland from March 2016, running for approximately five months. A full evaluation of the trial will be undertaken, and findings will be available from autumn 2016 The noble Baroness, Lady Lister, asked about the monitoring of the destinations of sanctioned claimants. DWP officials are currently quality-assuring the data for universal credit official statistics. As part of this review process, we will carefully consider the option of including destination data. We are not yet in a position to confirm which statistics will be provided in future We are also considering extending the list of JSA vulnerable groups for hardship payment purposes to include those with mental health conditions and those who are homeless. This will mean that these claimants can receive hardship payments from day one of their sanction, provided that they also meet the other criteria The noble Baroness, Lady Lister, also asked about sanctions being applied fairly. Any decision to sanction a claimant is not taken lightly, and there is a full and proper process that includes the claimant from the start. At the start of the claim, as noble Lords will know, all claimants receive a tailored claimant commitment, and the requirements take into account mental health conditions, disabilities or caring responsibilities. Any failure to meet a requirement is always thoroughly considered and claimants are given the opportunity to provide good reason for not complying before any decision to sanction is made by the decision-maker, but I will need to come back to the noble Baroness, Lady Hollis, on the timescales that she asked about, because I do not have that information to hand The noble Baroness, Lady Lister, also mentioned the Crisis report. We absolutely understand that homelessness is a complex issue, and our priority is to ensure that individuals affected get the right support. That is why we have made more than £1 billion available to prevent and tackle homelessness and support vulnerable households since 2010, and we will continue to work closely with organisations such as Crisis to make sure that support is provided where it is needed most On the question of the noble Baroness, Lady Hollis, about lone parents being required to come to jobcentres without a toddler, no, requirements to attend appointments at the jobcentre should be tailored to take into account individual claimants’ caring responsibilities, and work coaches should be able to help to make appropriate arrangements, including helping to arrange appointments around childcare. I cannot speak about the range of facilities within jobcentres, but it is within the gift of the work coaches to be flexible in working with lone parents.
ParlaMint-GB_2015-12-14-lords.u141	So I have the Minister’s assurance that any lone parent who turns up with a toddler in tow will not as a result be sanctioned?
ParlaMint-GB_2015-12-14-lords.u142	I have already said that I cannot speak to all the facilities, but as I am writing to the noble Baroness on a previous issue I will include that in that response It is important that we focus on ensuring that all the agreed recommendations proposed by the Work and Pensions Select Committee are delivered and can be embedded in the design and delivery of universal credit. To clarify for the noble Lord, Lord Kirkwood, I say that universal credit sanctions are just on the standard element, not on the whole amount. We believe that a call for a further independent review is unnecessary to embed this in legislation.
ParlaMint-GB_2015-12-14-lords.u143	The noble Baroness said earlier that a pilot was being mounted in Scotland for five months. Is that for all of Scotland, or just individual areas within Scotland? I would be surprised if it was Scotland-wide.
ParlaMint-GB_2015-12-14-lords.u144	No, it will be within a particular region of Scotland Sanctions play an important part in the labour market, encouraging people to comply with conditions which help them move into work. We want the sanctions system to be clear, fair and effective in promoting positive behaviours and we will continue to keep it under review so that it meets its aims, but also to ensure that it is flexibly delivered, as noble Lords said The noble Lord, Lord McKenzie, asked about sanctions statistics. We will look carefully at the point raised and consider what further information is useful to inform public debate. We have made a start on this, and our statistical releases now include additional information on sanctions.
ParlaMint-GB_2015-12-14-lords.u145	Can the noble Baroness deal specifically with the issue of how many, if any, three-year sanctions there have been?
ParlaMint-GB_2015-12-14-lords.u146	JSA sanctions continue to decrease, and the JSA monthly sanctions rate has slightly fallen—by 15%—over the past year. Each month, on average, 95% of JSA claimants comply with the reasonable requirements placed on them. On average, 5% of JSA claimants were sanctioned each month of last year. We can provide those figures; I will write to the noble Lord The noble Lord, Lord Kirkwood, asked about the gulf between the department and what charities say about sanctions. I can only attempt to reassure him that officials are working closely with charities to investigate concerns. For instance, we have worked closely with Crisis and Gingerbread on improving communicating sanctions and will continue to do so. I will take the issues raised by the noble Lord, Lord Beecham, back to the department, because I do not have some of the more detailed information that he was asking about On the basis of those responses, I hope that the noble Baroness will withdraw her amendment.
ParlaMint-GB_2015-12-14-lords.u147	I realise that this is a sensitive issue, but the amendment in the name of my noble friend has been tabled for some time on sanctions, time, efficaciousness and the need for a review. I would have expected in the Minister’s brief the detail of how many sanctions for how long, how long the decision-making is taking, the number of people going through as a result to appeal, and the results of the appeals. I would have expected two or three pages in her brief giving her the statistical detail which would empower her to answer many of the questions which, understandably, she is taking away today. I am surprised at that, because the amendment has been tabled for some time. The department will have the statistics, and they should have been made available to us in Committee, so that we have that material here today before we consider what we—and my noble friend in particular—may or may not do on Report I am in no sense criticising the Minister, but Ministers are coming to this House woefully underprepared with the information they need, which is of a detailed sort, to deal with the amendments being discussed. Members on the Opposition Benches have a right to expect Ministers to have that at their fingertips.
ParlaMint-GB_2015-12-14-lords.u148	My Lords, that was an unnecessary intervention. Most of the information that was asked for is available on public websites—in particular, on the question about the three-year sanctions. I will ensure that noble Lords have the address of that website to check.
ParlaMint-GB_2015-12-14-lords.u149	It should not be a question of going to a website. If a question is asked on the Floor of the House, and it is on a website, I would expect the Minister to have that detail in the briefing from the Box. That is their function—that is their job. I do not blame or criticise the Minister in any respect, but I would have expected a higher level of appropriate technical briefing for her, with which to equip her to answer what are obviously technical questions.
ParlaMint-GB_2015-12-14-lords.u150	My Lords, I thank the Minister for her response on vulnerable groups, the mentally ill and others. Perhaps in the letter that the noble Lord has kindly offered to send me on care leavers, he can confirm that care leavers were flagged up in the welfare system and will get this special consideration before any sanction is made on them—and whether he might consider extending that. Currently, if a care leaver is participating in work or education, up to the age of 25, they are flagged up in the DWP system and special measures can be taken for them—but if they are not doing that, they do not get that support; it finishes at the age of 21. So 21 to 25 year-olds not in education or training are missing out. I encourage the Government to think about extending the kind of considerations to vulnerable groups that she was just describing to care leavers who are not in education or training but who would be called care-experienced adults. In a sense, they are the most vulnerable, because they are not in education or training but have been in care and face all the difficulties. I am sorry to speak for so long—but in that letter, I would appreciate some comments on that.
ParlaMint-GB_2015-12-14-lords.u151	I am very grateful to noble Lords who have spoken, particularly those who spoke in support of the amendment. The noble Lord, Lord Kirkwood, made the very important point that we need to be clear about this before universal credit is rolled out any further. Increasingly, I feel that we are in two parallel universes—the universe of those on the ground and the voluntary organisations and the universe of Ministers and officials. I am very glad that the Minister said that they are meeting to talk but, unfortunately, it seems as if they still operate within these parallel universes, where there is a completely different understanding of what is happening. I am grateful to my noble friend Lord McKenzie for the very comprehensive and thorough case that he made for an independent review. I am grateful, too, to the noble Lord, Lord Hodgson of Astley Abbotts, who said that he was not opposed in principle to reviews. Perhaps we could look again at his criteria My noble friend made the point about timescale—that people suffering as a result of sanctions need this review now. However, I am a very reasonable person and I accept that, by the time the Bill becomes law, it will not leave very long between that and the timescale in the amendment. I would be very happy to discuss with the Minister perhaps a more realistic timescale On the remit being too narrow, I say that the whole point of the criticisms of the Oakley review was that it was too narrow. Indeed, Matthew Oakley himself acknowledged the narrowness of his remit and suggested that perhaps something broader was needed. So I am delighted that the noble Lord would like a broader remit than the one suggested in the amendment. The point about the term “sanctions” has already been addressed, but I just wonder how many times the Minister actually used the word; it was probably at least as many times as in the amendment itself. Perhaps, given that the noble Lord does not oppose in principle the idea of a review, he might help me to produce a better amendment for Report, if we decide to come back to this issue I am grateful, too, to the Minister. She started by saying that she was not sure whether the proposal was necessary. That seemed a rather tentative statement about something so important because, on this side of the House, we are sure that it is necessary. We have heard from my noble friend Lord McKenzie and others why it is necessary. She did not seem to have taken on board what I said about the yellow-card system. I welcome what is proposed, but it is not exactly the original Work and Pensions Committee recommendation. I was a bit disappointed that she did not explain why there had been that unacknowledged shift from what had been recommended. Perhaps she could write to me, and pop the letter to other noble Lords who have spoken on the specific question that I asked, about why the Government have rejected the Work and Pensions Committee recommendation that there should be a specific evaluation of the efficacy and impact of a minimum of four weeks’ sanctions. That was rejected without any explanation in the response to the report. I asked for an explanation and would be very happy to have one in writing. That said, I am grateful to her for her response. I do not think that it will satisfy the kind of organisations mentioned by the noble Lord, Lord Kirkwood, or the people living in the universe that is engaging on a day-to-day basis with claimants suffering as a result of sanctions. I beg leave to withdraw the amendment.
ParlaMint-GB_2015-12-14-lords.u152	My Lords, with the leave of the House, I shall now repeat a Statement made in the other place by my right honourable friend the Secretary of State for Transport. The Statement is as follows: “With permission, Mr Speaker, I would like to make a Statement about airport policy. Aviation is a British success story. Today we have the third-largest aviation network in the world, second only to the US and China, but with that success comes challenges. Heathrow is full; Gatwick is filling up. If no action is taken, the entire London system will be full by 2040. Yet we need new connections to new cities in new economies. There are other challenges, too. Airports create jobs and opportunities. Technology is changing. Planes are becoming quieter and more efficient. But there is still, inevitably, an environmental impact To some, the arguments seem simple—oppose all expansion anywhere, or back it, but always somewhere else. And yes, there are opportunities in our network of national airports, with global connections from cities such as Birmingham, Edinburgh, Glasgow, Manchester and Newcastle. But growth here will come alongside growth in the south-east, not instead of it. That is why in September 2012 Sir Howard Davies was asked to lead a commission on the issue. Its final report was published less than six months ago. It made a strong case for expansion in the south-east. We have considered the evidence. The Government accept the case for expansion, and accept the Airports Commission’s shortlist of options for expansion. We will begin work straightaway on preparing the building blocks for an airports national policy statement, in line with the Planning Act 2008. Putting this new framework into place will be essential groundwork for implementing the decisions we take on capacity, wherever new capacity is to be built. That is the issue I want to turn to now Sir Howard Davies and his team produced a powerful report. Heathrow Airport Ltd’s scheme was recommended by the Airports Commission, but all three schemes were deemed viable. We are continuing to consider all three schemes, and we want to see action, but we must get the next steps right, both for those keen to push ahead with expansion and for those who will be affected by it. So we will undertake a package of further work First, we must deal with air quality. I want to build confidence that expansion can take place within legal limits, so we will accept the Environmental Audit Committee’s recommendation to test the commission’s work against the Government’s new air quality plan. Secondly, we must deal with concerns about noise. I want to get the best possible outcome on this for local residents, so we will engage further with the promoters to make sure the best package of noise mitigation measures are in place. Thirdly, we must deal with carbon emissions, so we will look at measures to mitigate carbon impacts and address the sustainability concerns, particularly during construction. Fourthly, we must manage the other impacts on local communities. I want people who stand to lose their homes to be properly compensated for the impacts of expansion, and I want local people to have the best access to the opportunities that expansion will bring, including new jobs and apprenticeships. So we will develop detailed community mitigation measures for each of the shortlisted options We expect to conclude this package of work by the summer. Crucially, this means the timetable for delivering additional capacity set out by Sir Howard does not alter. The commission reported that an additional runway would be required by 2030, and we intend to meet that. In saying this, I am fully aware that some will wish we could go further and others will wish we were not making such progress. We are prepared for that because I want to get this decision right. That means getting the environmental response right and in the mean time getting on with the hard work to build new capacity to the timetable set out by Sir Howard in the commission’s report. I commend this Statement to the House” My Lords, that concludes the Statement.
