ParlaMint-GB_2015-09-15-commons.u1	1. What recent assessment he has made of the UK’s membership of the EU on businesses.
ParlaMint-GB_2015-09-15-commons.u215	The question is that the hon. Member have leave to bring in the Bill.
ParlaMint-GB_2015-09-15-commons.u216	On a point of order, Madam Deputy Speaker. Certain Opposition Members have clearly indicated their dissent to this Bill, but they have not risen to oppose it. Can you give some indication of how the House might test the will of Members if no one opposes the Bill and see through their clearly indicated dissent by forcing a Division?
ParlaMint-GB_2015-09-15-commons.u217	There are a number of ways that people can indicate their dissent, including voting against something during a Division. It is perfectly possible for Members to indicate their dissent without voting against the Bill. I will now put the Question Question put and agreed to. Ordered, That Andrew Rosindell, Mr Henry Bellingham, Mr Douglas Carswell, Sir William Cash, Mr Jeffrey M. Donaldson, Frank Field, Mr Roger Godsiff, Kate Hoey, Ian Paisley, Tom Pursglove, Gavin Robinson and Mr Laurence Robertson present the Bill Andrew Rosindell accordingly presented the Bill Bill read the First time; to be read a Second time on 22 January 2016, and to be printed (Bill 68).
ParlaMint-GB_2015-09-15-commons.u218	I beg to move, That the Bill be now read a Second time This Bill implements our manifesto commitment not to increase national insurance contributions for employers and employees. It will be interesting to discover whether it will be opposed by Her Majesty’s Opposition now that their new leader favours a 7% increase in national insurance for higher earners Hon. Members will be aware of the Government’s strong record of significantly reducing the burden of national insurance. At Budget 2011, my right hon. Friend the Chancellor announced a £21 a week above-inflation increase to the employers national insurance threshold. In 2014 we introduced the employment allowance to support businesses and charities across the UK by saving them up to £2,000 every year, and that has already benefited well over 1 million employers. The Government are now going further, and hon. Members will recall that the Chancellor announced in the summer Budget that that saving would be increased to £3,000 from next April. That means that a business will be able to employ four people full time on the national living wage and pay no national insurance at all From April 2015, the vast majority of employers employing under-21-year-olds were lifted out of employers national insurance as well. The exemption will be extended to cover apprentices under 25, helping young people to stand on their own two feet and fulfil their aspirations.
ParlaMint-GB_2015-09-15-commons.u219	I am sorry to intervene so early in the Minister’s speech, but for the sake of clarity will she explain the long title to the Bill, which appears to apply only to class 1 national insurance contributions? I presume that the other classes will be covered in due course.
ParlaMint-GB_2015-09-15-commons.u220	My remarks will be so short that hon. Members will need to intervene quickly with their points of clarification on this five-clause Bill. The hon. Lady will be aware that in the summer Budget the Chancellor announced that we are asking the Office of Tax Simplification to look at class 2 and class 4 contributions. We are expecting that consultation, which opened on 21 July, to inform the Budget next year. She asks a sensible question and I welcome her curiosity.
ParlaMint-GB_2015-09-15-commons.u221	Can the Minister clarify what assessment she has made of the number of self-employed people who may apply for an exemption from paying class 2 contributions, especially as at least half of the increase in employment is self-employed people and, on average, self-employment incomes have fallen to less than £10,000?
ParlaMint-GB_2015-09-15-commons.u222	We are very pleased that we are backing those who want to take a chance, start their own business and become self-employed. In fact, we have taken measures in previous Budgets to simplify the process so that self-employed people can consider making those contributions alongside their self-assessment.
ParlaMint-GB_2015-09-15-commons.u223	Has the Minister done an impact assessment on public services—for example, the impact that the Bill will have on the national health service and benefits?
ParlaMint-GB_2015-09-15-commons.u224	I am delighted to hear the first bid from the Opposition not to freeze national insurance for employers and employees. As the hon. Gentleman will know, national insurance contributes a substantial sum to the Exchequer and we have committed as a Government to continue to increase the amount of money that goes into the NHS.
ParlaMint-GB_2015-09-15-commons.u225	The Minister should not twist my words. I asked her about the impact of the Bill.
ParlaMint-GB_2015-09-15-commons.u226	Of course, the impact of freezing national insurance for employers and employees is that throughout the life of this Parliament they can have the confidence that their national insurance rates will not change—a confidence they would not have if the hon. Gentleman had any say in it.
ParlaMint-GB_2015-09-15-commons.u227	The Minister’s team might helpfully do something about the fact that if one searches online for the impact of this Bill, one gets a 404 error message. It would be useful to have some view on the Bill’s impact.
ParlaMint-GB_2015-09-15-commons.u228	I thank the hon. Lady for her sensible suggestion. I know that those who put together the impact assessment online will have taken her wise words to heart and will make a change. Clearly, when one brings in legislation to freeze national insurance rates, the impact is that there is no change in national insurance and therefore no impact to report.
ParlaMint-GB_2015-09-15-commons.u229	I have businesses in my constituency that work hard and do the right thing. They do not want to be clobbered with more taxes. The impact of the Bill is that if people do the right thing and work hard, the Government will support them to succeed in life.
ParlaMint-GB_2015-09-15-commons.u230	I thank my hon. Friend for making that excellent point. The Government want to back small businesses, entrepreneurs and those who want the certainty over the next five years that if they employ four people on the new national living wage, they will not have to pay any national insurance because of the employment allowance.
ParlaMint-GB_2015-09-15-commons.u231	May I press the Minister on the point I made in my earlier intervention, which she did not actually answer? What assessment has she made of the number of self-employed people who earn so little that they could apply for an exemption from class 2 national insurance contributions?
ParlaMint-GB_2015-09-15-commons.u232	When one starts out in business, it is often the case that one earns a small amount, but it is those fantastic people who start businesses, often at their kitchen table, whom the Government are trying to back with the measures in the Bill, which will give them a certainty that they would not have if Labour were in charge.
ParlaMint-GB_2015-09-15-commons.u233	Freezing NI is important for my constituents, many of whom are low wage earners and have benefited tremendously over the last few years from the dramatic rise we have seen in the personal allowance. Does my hon. Friend agree that hard-working people already pay enough in tax?
ParlaMint-GB_2015-09-15-commons.u234	I certainly agree that the Government are keen to take steps to back an economy that continues to grow and to create jobs so that everyone can have the dignity of taking home a pay cheque or starting their own business. We have taken other steps in the Finance Bill to raise the amount that people can make before having to pay income tax, and that is what this Government stand for.
ParlaMint-GB_2015-09-15-commons.u235	Surely the Minister has not forgotten that in the lifetime of the previous Parliament—from 2010 to 2015—no fewer than 24 tax increases were put on working people by her Government. The latest Budget also includes the tax increase on insurance premiums.
ParlaMint-GB_2015-09-15-commons.u236	That is an extraordinary line of attack. The Government have nearly doubled the personal allowance—the amount that people can make before they pay income tax—from the £6,475 that the hon. Gentleman thought was appropriate at the end of the 2010 Parliament. That is what this Government stand for.
ParlaMint-GB_2015-09-15-commons.u237	Will the Minister comment on how successful the previous Government were in getting people into work? This policy is in addition to that record and will increase the number of people in employment, taking home a wage packet and providing for themselves.
ParlaMint-GB_2015-09-15-commons.u238	That gives me a welcome opportunity to state that every Labour Government in history has left office with more people out of work than when they came into office. This is the party of working people and we created many jobs during the last Parliament, which no one expected, and we continue to back businesses and their growth through this Bill.
ParlaMint-GB_2015-09-15-commons.u239	My hon. Friend may be ruing her invitation to Members to intervene. In a constituency such as mine, where the main focus of economic activity is on micro and small businesses, one of the first questions that a potential employer asks is how much it will cost to take on an additional person. That is the engine that will grow the economy, and the Bill is extremely welcome.
ParlaMint-GB_2015-09-15-commons.u240	My hon. Friend’s point is well made, because in North Dorset and around the country it is the small and micro businesses that are the engines of job creation. That is why the employment allowance is so important—it will mean that a small business taking on its first employee will not have to pay employers national insurance at all under this Government. Indeed, if every small business took on just one extra employee, we would have full employment. That is why the Government back small businesses.
ParlaMint-GB_2015-09-15-commons.u241	One of the problems with national insurance contributions for employers is that they are a direct tax on employment, making it more expensive to employ someone in both the private and the public sector. It may be worthwhile Opposition Members noting that putting up national insurance contributions for employers would hit local councils severely, giving them an extra bill to pay. The Bill backs business, but it will also help public services by keeping their bills low.
ParlaMint-GB_2015-09-15-commons.u242	My hon. Friend is right. The Bill’s measures strongly back business and other employers, many of whom will benefit from the employment allowance too The Bill legislates our commitment to provide certainty on national insurance rates for the duration of the Parliament. Hon. Members will be aware that our other commitments in the manifesto to lock taxes were that we would not increase the main rates of income tax and value added tax, as well as not increasing national insurance. The Finance Bill will deliver those commitments and this Bill delivers the commitment on national insurance.
ParlaMint-GB_2015-09-15-commons.u243	The Bill is very much welcome and goes hand-in-hand with what the Government are doing in other areas, such as the local growth fund. The Government have set aside £12 billion, £7 billion of which has already been spent on building homes and supporting businesses. The wider picture is that the Government are supporting businesses on the front line, creating homes, jobs and opportunities. That is the right way forward.
ParlaMint-GB_2015-09-15-commons.u244	My hon. Friend is absolutely right. This is part of a package of measures the Chancellor announced in the July Budget.
ParlaMint-GB_2015-09-15-commons.u245	The Office of Tax Simplification has been asked to look at proposals to merge income tax and national insurance. Will the Minister say where we are with that? In particular, what assessment has been made of its possible impact on pensioners?
ParlaMint-GB_2015-09-15-commons.u246	My hon. Friend is correct. In the summer Budget, the Chancellor announced a consultation on behalf of the Office of Tax Simplification. It is currently undertaking its work. I expect my right hon. Friend to take its recommendations into account in due course Turning to the detail of this five-clause Bill, it provides that the rate of class 1 national insurance contributions paid by employees and employers must not exceed existing rates.
ParlaMint-GB_2015-09-15-commons.u247	On a point of clarification—this may be a bit cheeky—I take it that we could reduce national insurance if we wanted to. The Bill would not stop us doing that.
ParlaMint-GB_2015-09-15-commons.u248	That is not a cheeky question; that is a very sensible question. It is indeed the case that we will still be able to reduce levels of national insurance. This is only a ceiling, as is noted in the Bill’s title. It has been the convention that the level of the upper earnings limit for national insurance is aligned with the level of the higher rate threshold for income tax. The Bill formally limits increases to the upper earnings limit, so that its annual equivalent amount cannot exceed the level of the higher rate threshold for income tax. Both the restriction on national insurance rate rises and changes to the upper earnings limit come into force on Royal Assent and apply until the start of the tax year following the date of the first parliamentary general election to take place after Royal Assent The Bill provides certainty for employers and for employees that the national insurance rates that affect millions of employees and employers across the UK will not rise for the duration of this Parliament, and that the upper earnings limit will not exceed the higher rate threshold. The Bill demonstrates the Government’s commitment to provide certainty on tax rates for the duration of this Parliament. I commend it to the House.
ParlaMint-GB_2015-09-15-commons.u249	As the Minister described, the Bill provides for the Government’s commitment, as set out in their manifesto, to a tax lock: a commitment not to increase the rates of VAT, income tax or national insurance in the next Parliament. The Bill provides for the national insurance element of that pledge. Such a measure has to remain separate from the Finance Bill currently going through Parliament, because statutory provisions regarding national insurance contributions cannot be included in the annual Finance Bill As we have heard, the Bill prevents any increase in the current rates of class 1 national insurance contributions paid by employees and employers for the duration of the 2015-20 Parliament. It also provides that the upper earnings limit cannot exceed the higher rate threshold, which is to say that the upper earnings limit cannot exceed the sum of the personal allowance and the basic rate limit Responding to the tax lock announcement during the election campaign, many people wondered why such a commitment etched into the statute book would even be necessary. If Ministers—indeed, the Prime Minister—commit to not raising income tax, national insurance contributions or VAT in the run-up to an election, surely such a commitment should be taken at face value. Apparently not in the case of Conservatives, who perhaps felt that the low levels of trust in their pledges were such that they would have to go much further. No wonder, when we consider that the Prime Minister made a similar commitment in 2010 not to raise VAT, only then to raise it to 20% after entering Downing Street.
ParlaMint-GB_2015-09-15-commons.u250	Will the hon. Lady confirm that in her party’s manifesto, on which she just stood, there was a similar commitment not to increase national insurance rates, yet the new leader of her party has stated publicly that he would like to increase them by 7% for higher earners?
ParlaMint-GB_2015-09-15-commons.u251	I will come on to my party’s manifesto commitments in a very short while. I do not think it is helpful, and I am not going to respond, to any interventions or points made by Government Members that refer to things the current Leader of the Opposition said before he was Leader of the Opposition. [Interruption.] That is a different situation. What I have just said is that when the Prime Minister was elected in 2010, he raised VAT when he had said that he would not do so Beyond the broken pledge on VAT, which is a serious matter—[Interruption.] Government Members can sit giggling, but these are very serious matters that hit the country hard. It is worth remembering that the Prime Minister appeared to rule out cuts to tax credits when appearing in front of a special “Question Time” audience during the recent election campaign. Yet, we are due to vote later today on that measure, and the Government’s cuts to tax credits will leave some 8 million families on average over £1,000 a year worse off. That is a shocking broken pledge.
ParlaMint-GB_2015-09-15-commons.u252	Unlike the hon. Lady, not all Government Members are obsessed with the new leader of the Labour party. Surely she has to accept that on broken promises, the greatest albatross around her party’s neck is the previous Prime Minister, Mr Brown, who promised the end of boom and bust? That was signally incorrect and is the biggest albatross from which the Labour party can never be freed.
ParlaMint-GB_2015-09-15-commons.u253	Government Members should stop going back in time. I have just referred to the fact that the Prime Minister promised before the 2010 election not to raise VAT. [Interruption.] Look at your record. You’re in government. You’re defending your Bills.
ParlaMint-GB_2015-09-15-commons.u254	Order. The hon. Lady is using the term “you” which refers to the occupant of the Chair, not Government Members.
ParlaMint-GB_2015-09-15-commons.u255	Thank you, Madam Deputy Speaker, that is really helpful. It is sometimes easy to forget I have made the point and I am prepared to come back to it again and again. In five years, there have been two serious broken pledges that have cost the British public dearly Let us get back to the Bill. [Hon. Members: “Hear, hear.”] I did not make the diversion. Let me be clear, Labour in opposition wholeheartedly supports the principle of not raising taxes for working people. The Minister has just questioned me on this. During the election campaign, it was the Labour party that first pledged not to increase national insurance contributions. In fact, we did it before the election campaign, because the pledge was made on 25 March. As such, we will not be opposing the Bill today. Regardless of that, however, there is no doubt that this tax lock has become the height of gimmickry. It was said to be such during the election campaign and it remains so today Let me give you, Madam Deputy Speaker, and hon. Members present, some quotes relating to the tax lock. On 29 April, the Financial Times, lamenting what it saw as the level of gimmickry coming all too often from the Conservative campaign, put in its leader: “What is more of a shock is the stream of gimmicks and poor policies coming from the Conservatives…arguably the silliest idea yet came this week when David Cameron proposed an act of parliament that would make it illegal for a future Tory government to raise various taxes to close the deficit: VAT, income tax, and national insurance…the UK fiscal deficit is still high. Removing the option of tapping revenue streams that in aggregate raise more than £350bn for the exchequer would make the challenge needlessly harder.”
ParlaMint-GB_2015-09-15-commons.u256	I hear what the hon. Lady is saying—she believes the Bill is purely a gimmick—but would she not agree that this so-called gimmick will save money for millions of hard-working families? It is not a gimmick to the hard-working people we represent.
ParlaMint-GB_2015-09-15-commons.u257	In a minute, I will record how other commentators also think it is a gimmick. I have said we are not going to oppose the Bill because we do not want working people to pay more, but we have just seen in this Parliament a tax-raising Budget. I will talk more about that in a moment One of the main concerns about this policy gimmick is the serious constraints it will place on the Treasury and the Government’s ability to raise taxes or maintain the flexibility to raise revenue in response to economic events. As Alex Henderson, tax partner at PricewaterhouseCoopers, said: “Arguably the lock means the Government has less flexibility on where tax revenues could come from, with the burden more thinly spread.” He also pointed out that it would not constrain Ministers’ ability to raise revenue from the same taxes in other ways—for example, by delaying the uprating of thresholds and removing reliefs. So it is not true that people are not going to pay more; there are other ways. We know the Chancellor used such measures, otherwise known as fiscal drag, to great effect in the last Parliament, because, according to the Institute for Fiscal Studies, they have raised taxes of roughly £64 billion a year by doing so. The headlines people read do not indicate tax rises, but the measures used do Simon Walker, director general of the Institute of Directors, said: “While IoD members are opposed to increases in the rates of VAT, Income Tax and National Insurance, we consider it imperative that the Government’s commitments do not prevent bold tax reforms to both simplify taxation and reduce the burden upon businesses and individuals.” As Paul Johnson, director of the Institute for Fiscal Studies, pointed out, the tax lock could rule out sensible tax reforms, such as the treatment of national insurance contributions for the self-employed, which has already been referred to.
ParlaMint-GB_2015-09-15-commons.u258	I am a little confused. The hon. Lady has said that she supports the policy but is now quoting a load of people who do not support it. Surely, she supports it because it gives hard-working people the chance to keep more of their income and gives businesses certainty about the number of people they can employ.
ParlaMint-GB_2015-09-15-commons.u259	The hon. Lady confuses our not opposing a pledge that we made first on 25 March—it is our pledge, if you like—with a Bill that I am denouncing as a gimmick. It is not just me who is denouncing it as such; a range of commentators have done so as well.
ParlaMint-GB_2015-09-15-commons.u260	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u261	No Paul Johnson believes that the tax lock could rule out sensible tax reforms. That is the answer to the question from the hon. and learned Member for South East Cambridgeshire (Lucy Frazer). The commentators and others who work day in, day out on these issues think it ties the Government’s hands too much. Paul Johnson said it was “extreme to tie your hands for such a long period with the main rates of the three largest taxes” It is worth reminding Members of The Guardian’s view of the tax lock—Members may not have read it—as set out in its editorial on 29 April.
ParlaMint-GB_2015-09-15-commons.u262	Nobody reads it.
ParlaMint-GB_2015-09-15-commons.u263	I can assure the hon. Gentleman that Opposition Members do. It read: “No one can see into the future. So a responsible chancellor ought to be duty-bound to keep options open, to be able to respond to events and adapt to unexpected changes in the economy, not close them off. Instead, the Conservatives are now committed to tying their hands behind their back, placing the taxes that provide roughly two-thirds of all government income – income tax, national insurance and VAT – wholly off-limits, come what may, for five years. This is madness.”
ParlaMint-GB_2015-09-15-commons.u264	So it is not a gimmick then, but welcome certainty for families and business.
ParlaMint-GB_2015-09-15-commons.u265	The hon. Lady is not listening The Financial Times leader, to which I referred earlier, said: “It is unwise for the Conservatives to bind their hands, legally or otherwise, against using tax rises to close the deficit. Much of public expenditure is unavoidable or politically protected”— that is the important thing; these days certain budgets are politically protected— “so that ever more savings need to be found from the shrinking funds for welfare, social care, justice and defence. It makes sense to leave oneself the option to turn to tax in times of adversity to smooth the path of consolidation.” Nothing better reflects the gimmickry of this measure than the fact that the recent summer Budget included some significant revenue-raising measures that amounted to significant tax rises for millions of people. As the Office for Budget Responsibility set out, the tax-raising measures announced in the summer Budget amounted to nearly £16 billion of tax rises by 2020-21—we touched on this point last week—£3 billion of which will come from changes to vehicle taxation, as well as increases in the insurance premium tax, which will raise £8 billion by 2020-21 Last week, we debated the increase in insurance premium tax, and as I pointed out then, some of the UK’s biggest insurers, including Aviva and RSA, have confirmed that they plan to pass on the cost of that tax increase to customers. Experts say that many people will now see their household insurance bills rise by between £50 and £100 a year, if they have more than one car and they insure their buildings and contents. I highlighted the fact, and still think it a serious point, that young drivers would be hardest hit, and many might wrongly take the risk of driving uninsured. In the last week, therefore, we have seen a £50 to £100 tax bombshell for millions of families, and this tax-lock Bill does nothing to guard against that. What is more, the Government are yet to offer any assurances that they will not raise insurance premium tax further in subsequent Budgets. Given that a Conservative peer, Lord Northbrook, has called insurance premium tax an “easy target”, I invite the two Treasury Ministers present to say whether they will be increasing insurance premium tax any further. Would either like to say what their intentions are?
ParlaMint-GB_2015-09-15-commons.u266	Madam Deputy Speaker, may I seek your guidance about whether we ought to be discussing something that Parliament settled last week or the Second Reading of this Bill?
ParlaMint-GB_2015-09-15-commons.u267	The hon. Lady is experienced enough to know that if she wishes to raise a point of order, she can do so by way of a point of order. However, the point she raises is a matter for discussion, so I invite the shadow Minister to respond, if she wishes.
ParlaMint-GB_2015-09-15-commons.u268	I think that the whole range of the tax regime and national insurance is under discussion today Given that we hear no assurances that there will not be further increases to insurance premium tax in this Parliament, I want to make it clear again that we support the principle of not raising taxes for working people. That is why we do not oppose the Bill. As I mentioned earlier, before the election campaign started properly, we pledged not to raise national insurance contributions, so this could rightly be described as our idea.
ParlaMint-GB_2015-09-15-commons.u269	The hon. Lady says that the Opposition will not oppose this welcome measure. Does that mean they will vote for it, or simply abstain?
ParlaMint-GB_2015-09-15-commons.u270	As I understand it, there will not be a vote because it will not be opposed, but I cannot speak for other parties in the House The Government’s tax lock, of which the Bill forms a part, is nothing more than a gimmick of epic proportions, as I have outlined and demonstrated with many comments from people outside the House. It speaks volumes about the lack of belief that Conservatives have in their own policy commitments. We vote annually on tax legislation, and the Government regularly introduce Bills on NICs alongside Finance Bills—we have already heard about suggested changes to NICs—and, as such, primary legislation, debate and Division are already required in the House.
ParlaMint-GB_2015-09-15-commons.u271	The hon. Lady keeps referring to the measure as a gimmick. It would be helpful if she could explain why, when the Labour party commits to it, it is not a gimmick, but when the Government commit to it, it is.
ParlaMint-GB_2015-09-15-commons.u272	I do not think that the hon. Gentleman is listening. I know that Conservative Members often sit there with their Whip’s brief and try to find a way of working in some point that the Whips have given them to say. [Interruption.] I do not know what the hon. Gentleman is looking at. The point is, as I said earlier, this is a gimmick because we do not need legislation. A commitment was given on this. All that is required is that the Government and the Prime Minister stick to that commitment. It is a question of delivering on what was pledged. We do not need a Bill for every single element of what a party has pledged in the run-up to an election campaign. I am questioning—and people outside the House are questioning—why we need a Bill for the Government to bind themselves not to increase the rates, which they have already set out. It is very strange indeed.
ParlaMint-GB_2015-09-15-commons.u273	I can understand why the shadow Minister does not want to comment on her new leader’s position, but will she comment on the shadow Chancellor’s position? The hon. Member for Hayes and Harlington (John McDonnell) recently said that he would commit his Administration to a 7% rise in national insurance and to a 2.5% increase in corporation tax. What she is saying now seems to suggest a change in position. Will she confirm that that is the case?
ParlaMint-GB_2015-09-15-commons.u274	We are not signalling any change of position. It is amusing to hear this from Conservative Members, after a tax-raising Budget that is taking £8 billion from British people through the insurance premium tax, and after they put VAT up to 20%—when they promised not to do it. The absolute gall of Conservative Members in raising these points is amazing.
ParlaMint-GB_2015-09-15-commons.u275	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u276	No, I will not The tax lock restricts the Government’s ability to respond to unexpected economic events. That is why this Bill is seen, both outside and inside this place, as a gimmick. If we have learned anything in the last decade, it is that such flexibility is absolutely essential. Indeed, it was this flexibility at the time the Labour Government left office in 2010 that meant we had an economy recovering and growing once again. Above all, this tax lock provides no protection to millions of hard-working families, who, if the statutory instrument on tax credits is voted through by Conservative Members later today—
ParlaMint-GB_2015-09-15-commons.u277	Is it not indicative of the level of trust in politics and politicians generally, but specifically in this Government and their record on tax, that they need to come to the House of Commons to legislate not to increase a specific tax, rather than allow people to accept their pledges at elections at face value?
ParlaMint-GB_2015-09-15-commons.u278	Indeed. I agree with my hon. Friend and I thank him for raising that point. I think that Ministers have got to think about what they are doing to public trust if they have to introduce gimmicks such as this Bill—it is a gimmick, and was seen as a gimmick by a host of commentators outside this place.
ParlaMint-GB_2015-09-15-commons.u279	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u280	No, I have nearly finished As I have argued, the Bill provides no protection for millions of hard-working families, and if the statutory instrument on tax credits is voted through by Conservative Members, those families will be £1,000 a year worse off on average. That will be a direct result of the Chancellor’s fiscal decisions, and I believe many Conservative Members will come to regret it. Ministers should not be wasting their time on legislative gimmicks such as this so-called tax lock.
ParlaMint-GB_2015-09-15-commons.u281	I am most grateful to the hon. Lady for allowing me to intervene. She will know that the Bill extends to Northern Ireland. I have listened very patiently to what she has said here today, but I think the people of Northern Ireland and of the United Kingdom generally are entitled to know the policy of the Labour party, the main Opposition party, after a change in the leadership and with a new shadow Chancellor of the Exchequer. What exactly is their policy on national insurance contributions? Is Labour not going to increase them? Does Labour agree with the Government that they should not be increased for five years? Is that the clear policy of the Opposition?
ParlaMint-GB_2015-09-15-commons.u282	Yes, it is. I am the shadow Treasury spokesperson responsible for the Bill today. [Interruption.] Well, I am standing here today. We made the pledge first. I am very pleased that the hon. Lady raised the question in the manner she did. As I say, we made the pledge first: it is our pledge. Let us get back to that point Rather than wasting their time with gimmicks such as this so-called tax lock, Ministers should perhaps direct their focus on supporting low and middle-income families. [Interruption.] Ministers should really bear in mind that every time they sit there laughing on a day when they are going to take £1,000 off 8 million hard-working families, they simply provide grist to the mill of people who contribute to newsletters up and down the country. The Government’s fiscal policies are too serious for Ministers to sit there laughing. I really advise them to stop it. They should direct their focus at supporting low and middle-income families who will be worst hit by the summer Budget of this Conservative Government—with or without a tax lock.
ParlaMint-GB_2015-09-15-commons.u283	It is often forgotten that companies do not actually pay tax. All they do is collect their tax on behalf of the Government from their customers and pass it on. If we go into the Tea Room and buy a Mars bar or whatever, we pay the cost not only of the ingredients, the machines and the capital deployed by the company, but of the corporation tax, the duty, the VAT and indeed national insurance as part of the price. Over the last 30 years that I have been in business, it has certainly been the case that the moving parts in running a business have become ever more complex, and tax in the general sense has occupied ever more time of the business person, particularly those who run small businesses. Anything that injects an element of certainty into the tax horizon for business is therefore extremely welcome, particularly at a time when lots of other things are changing for small businesses. The introduction of reforms in pensions, particularly auto-enrolment, changes to the living wage and other employment regulations create an atmosphere in which running a business feels very much like a game of 3-D chess. We can look around the world at tax regimes for business where stability and lack of change have been a constant for some time and see success, irrespective of the rates. If we look at the United States, corporation taxes are actually quite high in comparison with this country—pleasingly—but also with the rest of the world. The US economy does extremely well, largely because tax rates have not changed for decades. The US has elected for stability and a lack of change to the relative level of the rate because it knows that one of the things most valued by businesses is certainty. Whenever people are starting or running a business, they spend their entire lives forecasting what the world is going to look like over the next two or three years. When people do that, they know that the day after the forecast, it will be wrong because of the many different moving parts, as I said. One area that business should be able to rely on for some certainty and stability is government. So the introduction of the Bill, which provides a four-and-a-half or five-year time horizon on national insurance, is extremely welcome There are people who might say that this is a gimmick, but much of what we do in the House is about signals. Economics is all about psychology and the individual choices that people make.
ParlaMint-GB_2015-09-15-commons.u284	The hon. Gentleman talks about the need for certainty and explains why he believes that the Bill will give certainty to small and medium-sized enterprises. If certainty is so important, why have this Government removed the climate change levy exemption for many SMEs?
ParlaMint-GB_2015-09-15-commons.u285	The hon. Gentleman will have to ask my right hon. Friend the Chancellor of the Exchequer that question next time he appears. I hope that the hon. Gentleman would support me in urging those on the Treasury Bench generally to provide a level of certainty and in many ways to be slower about their decisions.
ParlaMint-GB_2015-09-15-commons.u286	My hon. Friend is generous in giving way. The question of certainty has been raised and eloquently explained by him. Does he agree that, when Members question certainty, they should ask themselves why they ask for referendums on whether they should be part of the United Kingdom, which surely breeds uncertainty?
ParlaMint-GB_2015-09-15-commons.u287	My hon. Friend has made a strong point. During the debate on the referendum concerning our possible divorce as nations, businesses piped up very loudly about what was likely to be a very uncertain horizon for them on the far side of the debate. The majority opted for the status quo, because a bird in the hand was worth God knows what in the bush.
ParlaMint-GB_2015-09-15-commons.u288	I can tell the hon. Gentleman that it was certainly worth two Lords in the Lords In fact, the uncertainty has arisen as a result of our lack of independence. Scotland lost powers under the Energy Act 2013. The Government made a lot of promises on that. Now we are to lose the renewable energy obligation in Scotland because of the uncertainty caused by our losing the referendum. I wanted to put that on record, and to give the hon. Gentleman a bit of clarity.
ParlaMint-GB_2015-09-15-commons.u289	These things always involve a balance. A point that I have often made in another elected chamber—this is one of the things that dismays me a little—is that under the last Government we became used to having, effectively, two Budgets a year. There were two points during the year at which businesses, and indeed everyone else, had to hold their breath because there might be some change in the fiscal environment. Pleasingly, however, over the last four or five years, that change has been generally beneficial. The direction of travel of the United Kingdom has been towards a lower-tax environment for business, and we have seen the benefit of that in the jobs market and the growth of the economy over the last few years.
ParlaMint-GB_2015-09-15-commons.u290	Does my hon. Friend agree that taking on staff constitutes a large responsibility for employers? They know that they are responsible not only for their employees’ health and safety, but for their future financial security, because the employees’ mortgages depend on their careers in the business. Anything that the Government can do to remove a barrier from the ability to employ someone has to be welcomed.
ParlaMint-GB_2015-09-15-commons.u291	That is exactly the point that I am making. Businesses are much more likely to employ people if they have some certainty about the overall cost of employment—not just wages, but on-costs such as expenses. Within that, national insurance is a very significant cost, and providing an element of certainty over the next four or five years is therefore extremely important Let me now return to a point that I was making earlier about signals. When I was Deputy Mayor for business and enterprise at City Hall, a position that I occupied for three and a half years, I was in charge of foreign direct investment. My job was to go around the world encouraging people to come and invest in London and the south-east. One of the things I learnt from that experience was that signals from City Hall about what we were willing to do, and how welcoming we were likely to be to particular companies, individuals or investors, was critical to whether they wanted to come here. In that context, an element of certainty and predictability, not just political and legal—we are seen to have that around the world—but fiscal, was absolutely vital
ParlaMint-GB_2015-09-15-commons.u292	Of course I agree with what my hon. Friend says about certainty and clarity. Does he not think that the shadow Minister’s argument—that when a promise has been made, there is no need to legislate for it—is quite contradictory? The Blair Government passed more legislation than any other Government: they passed 26,849 pieces of legislation. Labour cannot have one rule in government and another in opposition. Clarity is the way forward.
ParlaMint-GB_2015-09-15-commons.u293	My hon. Friend is absolutely right. It must be said that the Brown years injected an enormous sense of uncertainty into business. Although, for some of that period, we were benefiting from what could be described as a global boom, businesses existed in an environment, and on a battlefield, that was for ever changing. Anything that calms down such situations, and makes decision making much more predictable, is key. That is particularly important when it comes to foreign direct investment. When businesses want to locate large manufacturing plants that are both capital and labour-intensive, employment taxation and employment law are the two biggest drivers of whether they decide to come to the UK. The Bill will make employment taxation much more predictable, and seen to be predictable, for the next five years, and not just on the say of a “here today, gone tomorrow politician”—was it John Nott who objected to being so described? The facts will be there on paper, in black and white, and the fact that they can be relied on will make a big difference to foreign direct investment decisions.
ParlaMint-GB_2015-09-15-commons.u294	I applaud what my hon. Friend has said about stability and certainty in the business community, especially in relation to foreign direct investment. During Business questions this morning, I mentioned the aerospace growth partnership. The aerospace sector has longer product cycles than other sectors. It is important for us to support such sectors, and for firms investing in aerospace to have a long period of certainty. The UK’s aerospace sector is the second largest sector in the world, and we are keen to support it.
