ParlaMint-GB_2015-06-15-commons.u1	1. What plans she has to review the school funding formula.
ParlaMint-GB_2015-06-15-commons.u148	Last year, Dorset schools welcomed £3.1 million in additional funding, and Poole schools £3.2 million in additional funding. What reassurance can my right hon. Friend give me and schools in Poole and Dorset that this was but a downpayment for fairer funding for our underfunded schools in Mid Dorset and North Poole?
ParlaMint-GB_2015-06-15-commons.u149	I thank my hon. Friend for his question and I welcome him to the House. As I said in reply to an earlier question, I recognise the need to look at all aspects of school funding in the round, and we will take further decisions on fairer funding and implement the fairer funding commitment in our manifesto after extensive consultation with parents, schools, local authorities and any other interested parties.
ParlaMint-GB_2015-06-15-commons.u150	Why have apprenticeship starts in IT and construction fallen so dramatically since 2010?
ParlaMint-GB_2015-06-15-commons.u151	The apprenticeship programme is demand-led, because we require employers to create jobs. That is what apprenticeships are under this Government, unlike under the Government the hon. Lady supported, when they took place at college full time. We have seen a dramatic expansion in the apprenticeship programme, and we will see a further expansion. I would have thought that she welcomed that. I am absolutely sure that one reason she is sitting on the Opposition Benches rather than on the Government Benches is the success of our apprenticeship programme.
ParlaMint-GB_2015-06-15-commons.u152	Schools such as Tuxford Academy near Newark, which were built under poorly worded private finance initiative contracts, are finding it expensive to maintain their buildings because the maintenance costs set out in the PFI agreements are higher than school funding. Will the Minister look into that and come back to me?
ParlaMint-GB_2015-06-15-commons.u153	We are aware of the costs involved in the PFI agreements. In some schools, we are having to put walls back into schools so that there are individual classrooms. We are keeping that whole matter under careful review.
ParlaMint-GB_2015-06-15-commons.u154	We have touched several times on failing academies. Will the Secretary of State give an undertaking that Grace Academy in Coventry should rigorously enforce and increase standards in the interests of pupils and of their parents?
ParlaMint-GB_2015-06-15-commons.u155	I thank the hon. Gentleman for that question. I am not aware of the circumstances that surround that individual school, but he can rest assured that the Government’s determination to raise standards for all pupils extends as far as all schools in Coventry, too.
ParlaMint-GB_2015-06-15-commons.u156	rose—
ParlaMint-GB_2015-06-15-commons.u157	Order. I have sought to extend the envelope, but I am afraid that we must now move on.
ParlaMint-GB_2015-06-15-commons.u158	On a point of order, Mr Speaker. You will no doubt be aware that on Friday the Independent Police Complaints Commission announced that it would not be investigating the allegations of serious misconduct against South Yorkshire police regarding the events at the Orgreave coking plant in 1984 and suggested that doing so would require a Hillsborough-style public inquiry. In response, the Home Secretary made a statement to the media but not to Parliament. Given that the victims of Orgreave have been waiting for more than two years for this decision from the IPCC, is there any way you can encourage the Home Secretary to make a statement to this House and can you give guidance on how else I can raise this issue with the Government as a matter of urgency?
ParlaMint-GB_2015-06-15-commons.u159	Yes. I am grateful to the hon. Lady for her point of order, and I congratulate her on her ingenuity in raising a point of order so early in her tenure. The question of whether a Minister chooses to make a statement is a matter for the Minister, not for me. That said, her remarks are on the record and will have been heard by those on the Treasury Bench. In response to her specific inquiry about advice about what mechanism she might use to highlight this matter, I would suggest that she goes to the Table Office. There are debates that can be had that would enable her to highlight the matter not just momentarily but very fully. I feel sure that she would be encouraged and supported by a number of her colleagues in so doing. I should say that the Table Office is a friendly place for Members and I encourage them to use it, just as they would want to use the Library. They will not find it unprofitable.
ParlaMint-GB_2015-06-15-commons.u160	I beg to move amendment 16, page 1, line 7, leave out first “A” and insert “The”
ParlaMint-GB_2015-06-15-commons.u161	With this it will be convenient to discuss the following: Amendment 37, page 1, line 7, leave out “is recognised as” and insert “shall be” Amendment 17, page 1, line 7, leave out “recognised as” Amendment 58, page 1, leave out lines 7 and 8 and insert— ‘(1A) The Scottish Parliament is a permanent part of the United Kingdom’s constitution (1B) Subsection (1) or (1A) may be repealed only if— (a) the Scottish Parliament has consented to the proposed repeal, and (b) a referendum has been held in Scotland on the proposed repeal and a majority of those voting at the referendum have consented to it.” This amendment is to ensure that the Scottish Parliament can only be abolished with the consent of the Scottish Parliament and the Scottish people after a referendum. Amendment 38, page 1, line 8, at end insert “and may not be abolished without the consent of the Scottish people given effect by an Act of the Scottish Parliament” Amendment 18, page 1, line 12, leave out “recognised as” Amendment 59, page 1, leave out lines 12 and 13 and insert— ‘(1A) The Scottish Government is a permanent part of the United Kingdom’s constitution (1B) Subsection (1) or (1A) may be repealed only if— (a) the Scottish Parliament has consented to the proposed repeal, and (b) a referendum has been held in Scotland on the proposed repeal and a majority of those voting at the referendum have consented to it.” This amendment is to ensure that the Scottish Parliament can only be abolished with the consent of the Scottish Parliament and the Scottish people after a referendum. Clause 1 stand part Amendment 89, in clause 11, page 13, line 42, at end insert— ‘(2A) In paragraph 4 of Schedule 4 (protection of Scotland Act 1998 from modification), insert new sub-paragraph— “(5A) This paragraph does not apply to amendments to Schedule 5, Part II, Head A, Section A1 insofar as they relate to: (a) taxes and excise in Scotland, (b) government borrowing and lending in Scotland, and (c) control over public expenditure in Scotland.” This amendment would enable the Scottish Parliament to amend the Scotland Act 1998 to remove the reservation on taxation, borrowing and public expenditure in Scotland, with the effect that the Scottish Parliament could then legislate in these areas to provide for full fiscal autonomy in Scotland. New clause 2—Constitutional convention— ‘(1) The Prime Minister shall establish a Constitutional Convention within one month of the day on which this act is passed (2) The Chair and Members of the Constitutional Convention shall be appointed in accordance with a process to be laid before, and approved by, resolution in each House of Parliament (3) The Chair of the Constitutional Convention is not permitted to be a Member of Parliament or a member of a political party (4) Members of the Constitutional must include, but not be limited to, the following— (a) members of the public, chosen by lot through the jury system, who shall comprise the majority of those participating in the convention; (b) elected representatives at all levels; (c) representatives of civil society organisations and, in an advisory role, academia (5) The Constitutional Convention shall review and make recommendations in relation to future governance arrangements for the United Kingdom, including but not limited to the following— (a) the role and voting rights of Members of the House of Commons; (b) democratic reform of the House of Lords; (c) further sub-national devolution within England; (d) codification of the constitution (6) The Constitutional Convention shall engage in widespread consultation across the nations and regions of the UK, and must provide a report to both Houses of Parliament by 31 March 2016 (7) The Secretary of State must lay before both Houses of Parliament a formal response to each recommendation of the Constitutional Convention within four months of the publication of the final report from the Constitutional Convention.’ This New Clause provides an outline for a Constitutional Convention selected from the widest possible number of groups in society to analyse and design future governance arrangements for the United Kingdom, and to report by 31 March 2016. New clause 3—Transfer of reserved matters— ‘(1) Schedule 5 (which defines reserved matters) to the Scotland Act 1998, has effect with the following modifications (2) In Part I (general reservations) omit paragraph 6 (political parties) (3) Part II (specific reservations) is omitted (4) Insert Part IIA (UK pensions liability) as follows— Part IIA UK Pensions liability The consent of the Treasury is required before the enactment of any provision passed by the Scottish Parliament which would affect the liabilities of the National Insurance Fund in respect of old age pensions.” (5) In Part III (general provisions) the following provisions referring to Part II of the Schedule are omitted— (a) paragraph 3(2); (b) paragraph 4(2)(c).’ This Amendment would allow the Scottish Parliament to make provision for the registration and funding of political parties, but would otherwise retain the Part I reserved matters covering the constitution, foreign affairs, public service, defence and treason. It would entirely remove the remaining reservations over financial and economic matters, home affairs, trade and industry, energy, transport, social security, regulation of the professions, employment, health and medicines, media and culture and other miscellaneous matters. The consent of the Treasury would be needed for any changes in old age pensions which would affect the liabilities of the National Insurance Fund. New clause 6—Constitution of Scotland— ‘(1) The 1998 Scotland Act shall be cited as The Written Constitution of Scotland (2) A standing Scottish Constitutional Convention shall be convened jointly by the Secretary of State and the Scottish Ministers to conduct reviews and to make recommendations to the Scottish Parliament and the Parliament of the United Kingdom.’ The New Clause renames the Scotland Act 1998 and introduces a standing Scottish Constitutional Convention. New clause 7—Application of the Parliament Acts to the Scottish Parliament and the Scottish Government— ‘(1) The Parliament Act 1911 is amended as follows (2) In subsection 2(1), after “other than a Money Bill”, insert “or a Bill amending sections 1 or 2 of the Scotland Act 2015.’ The New Clause entrenches the permanence of the Scottish Parliament and the Scottish Government by ensuring that changing Clauses 1 and 2 of the Bill once enacted would be possible only with the consent of both Houses of Parliament. New clause 8—Scottish Parliament nomination of members of the House of Lords— ‘(1) The Scottish Parliament shall nominate members for appointment to the House of Lords, in a method to be determined wholly by the Scottish Parliament (2) The number of members of the House of Lords appointed in accordance with this section shall at any time be in broadly the same proportion to the total membership of the House of Lords as the population of Scotland is to the total population of the United Kingdom.’ The New Clause would require the Scottish Parliament to nominate members to sit in the House of Lords in proportion to Scotland’s share of the United Kingdom population. New clause 9—Constitutional convention— ‘(1) Within one month of the day on which this Act is passed, a constitutional convention is to be held to consider and make recommendations on the constitution of the United Kingdom (2) The Secretary of State must make regulations to— (a) appoint a day on which the convention must commence its operations, (b) make fair and transparent rules about how the convention is to operate and how evidence is to be adduced, (c) make further provision about the terms of reference prescribed under section 2, and (d) specify how those who are to be part of the convention are to be chosen in accordance with subsection (8) (3) The date appointed under subsection (2)(a) must not be later than 31 December 2016 (4) A statutory instrument containing regulations under subsection (2), if made without a draft having been approved by a resolution of each House of Parliament, is subject to annulment in pursuance of a resolution of either House of Parliament (5) The convention shall have the following terms of reference— (a) the devolution of legislative and fiscal competence to and within Scotland and the rest of the UK, (b) the devolution of legislative and fiscal competence to local authorities within the United Kingdom, (c) electoral reform, (d) constitutional matters to be considered in further conventions, and (e) procedures to govern the consideration and implementation of any future constitutional reforms (6) The convention must publish recommendations within the period of one year beginning with the day appointed under subsection (2)(a) (7) The Secretary of State must lay responses to each of the recommendations from the convention before each House of Parliament within six months beginning with the day on which the recommendations are published (8) The convention must be composed of representatives of the following— (a) all registered political parties within the United Kingdom, (b) civic society and local authorities of the nations and regions of the United Kingdom.’ The New Clause would require the appointment of a convention to review the operation of the Act resulting from the Scotland Bill in the wider context of the Union. Amendment 1, in clause 63, page 67, line 24, leave out paragraph (a) This amendment provides that section 1 will not come into force on the day on which the Act is passed, in order to link the commencement of Part 1 of the Act (Constitutional arrangements) with the work of the Constitutional Convention, outlined in New Clause NC2, which would be required to report by 31 March 2016. Amendment 2, page 67, line 26, at end insert— ‘(1A) Part 1 comes into force within one month of the publication of the report of the Constitutional Convention appointed under section (Constitutional Convention).” This amendment provides that Part 1 of the Act (Constitutional arrangements) comes into force after publication of the report of the Constitutional Convention, as outlined in New Clause NC2, which would be required to report by 31 March 2016.
ParlaMint-GB_2015-06-15-commons.u162	Amendments 16, 17 and 18 are essentially probing amendments, authored by the Law Society of Scotland. Subject to the response that we hear from Ministers and from those in other parts of the House, it is not my intention to seek to press them to a Division The amendments change the nature of clause 1 from one that recognises the permanence of the Scottish Parliament to one that declares it. The genesis of the clause was the Smith commission report, which required that there should be a statement in the legislation to follow it that the Scottish Parliament and the Scottish Government were permanent institutions. The form of words in clause 1 was inserted by the draft clauses published at the end of January, which recognised that permanence. The permanence of the Scottish Parliament is to be found not in any amendment or statutory enactment, but in the will of the Scottish people. It is a permanent institution because, frankly, it is unthinkable that it would be repealed at this point. For that reason, and given the comments of the Scottish Parliament’s Devolution (Further Powers) Committee, it is right that we should revisit the issue At the heart of this debate is the issue and the definition of sovereignty. The context is a classic Diceyan definition of sovereignty, which says that Parliament here is sovereign. Although matters have moved on somewhat over the years and although it remains the case that Parliament cannot bind its successors, it is undoubtedly the case that since the European Communities Act 1972 we have taken a different view of parliamentary sovereignty, one in which sovereignty is shared with the European Union, as it now is, in Brussels, the Scottish Parliament, the Welsh Assembly, the Northern Ireland Assembly and even the London Assembly. It was the subject of considerable debate during the constitutional convention back in the late 1980s and early 1990s The view that was taken then, which as I recall was contained in the claim of right, was that in Scotland the Diceyan version of sovereignty—that Parliament is sovereign—has never been the case, and that sovereignty has always been vested in and remained with the people of Scotland. From that point of view, I see considerable merit in amendment 58 in the name of the hon. Member for Moray (Angus Robertson) and his colleagues in the Scottish National party, requiring that if there were ever to be a repeal of the Scotland Act 1998 it could be done only with the consent of a majority voting in a referendum. That honours and respects the view that sovereignty lies with the people in Scotland However, even that clause could be got around by a simple repeal, a consequence of the doctrine that Parliament cannot bind its successors. As long as we try to do these things by way of primary legislation, we will keep tying ourselves up in knots and any solution that we bring forward will lack permanence and will be unsatisfactory.
ParlaMint-GB_2015-06-15-commons.u163	Does the right hon. Gentleman recall that the former Member for Monklands East and leader of the Labour party, John Smith, said that the British constitution, which embraces the Scottish constitution, should not be a matter of judicial archaeology—that was the phrase he used—but should be put down plainly as a written constitution for all to see? Is that where his argument is going? I hope it is.
ParlaMint-GB_2015-06-15-commons.u164	I have long held that view. I cannot remember a time in my conscious political being that I have held a view other than that. It is never going to be easy to get to that point, of course, and it will require a fundamental change in the way we do things. The reference to judicial archaeology is interesting, because it would render some of the things that were done in this place reviewable in the courts. As long as there is a proper separation of powers, I am quite happy with that.
ParlaMint-GB_2015-06-15-commons.u165	I hear what the right hon. Gentleman says about amendment 58, and he is correct that Parliament cannot bind its successors, but if we put it into the Bill that there has to be a referendum of the Scottish people before there can be a change, that is a very powerful moral argument against this place, and the strongest we can make under the current constitutional settlement.
ParlaMint-GB_2015-06-15-commons.u166	Indeed, and it is for that reason that I said that I saw some merit in the proposal. The hon. Gentleman would have to accept, though, that the point I have already made—that even that could be repealed by a simple vote in this Chamber and the other place—will always be a problem for any Government seeking to do that by way of primary legislation.
ParlaMint-GB_2015-06-15-commons.u167	Does the right hon. Gentleman share my hope that English Members here will approach this change with a view to giving Scotland stability? Some of us very much hope to be discussing the English question later in this Parliament, and we will be asking Scottish Members to give us similar stability.
ParlaMint-GB_2015-06-15-commons.u168	I actually agree with the right hon. Gentleman on that point. Indeed, I see the Bill as the start of a process that must continue, because we risk putting an intolerable strain on the Union if we proceed with constitutional change that relates only to Scotland and not to the rest of the United Kingdom, particularly in relation to the different parts of England. As far as the future of the English constitution is concerned, the only point on which I am clear is that there is absolutely no consensus on the shape that it ought to take. I stood at the Dispatch Box often enough during the previous Parliament, answering questions from both sides of the House, and being told, “This is what we need”, and I rarely heard the same proposition twice. It is for that reason that, if we are to have a written constitution, we must first have a constitutional convention, because we will never build the necessary consensus for this sort of constitutional change merely within Parliament. That was the experience with Scotland’s constitutional convention in the 1990s, and it was then the lesson of the Smith commission and, before it, the Calman commission.
ParlaMint-GB_2015-06-15-commons.u169	While the right hon. Gentleman opposes those doubts, does he not accept that, given that we are now in the process of changing our constitution and meeting the wishes of the Scottish people, we in England will probably not have to wait as long for opinion to come together on what England needs as the pioneers had to wait to get justice for Scotland?
ParlaMint-GB_2015-06-15-commons.u170	I am heartened by the right hon. Gentleman’s optimism in that regard; I always think that achieving consensus in these matters is much easier to talk about than to get. Frankly, that is a debate that England now needs to have for herself. It is certainly not for us to intervene in it, any more than we would have welcomed the intervention of the English, Welsh or Northern Irish in the constitutional convention discussions of the 1990s. I wish the English every bit as much joy with it as we have had in Scotland with our constitutional debate over the years The hon. Member for Edinburgh South (Ian Murray) has tabled a new clause proposing a constitutional convention, and there is a great deal in it that I find worthy of support, particularly the requirement that it be convened within a month of the Bill becoming an Act, because I do not think that these matters become any easier by being left. I am also impressed by the fact that it has a reporting date, which I suggest would serve to concentrate minds Speaking as a Scottish Member, I think that the hon. Gentleman’s proposal has the further benefit of allowing a constitutional convention to go ahead; we would be saying today that it is something that is going to happen, but it would not in fact delay the passing of the Bill. In order to hold faith with the 55% of the people of Scotland who voted no last September, I think that we should proceed with the Bill with all due dispatch. I do not think that it would be acceptable for the passing of the Bill to be somehow contingent on constitutional arrangements being refined elsewhere in the United Kingdom I would have preferred—inevitably so—to see included in the remit of the proposed constitutional convention the question of electoral reform, for which I think there is now greater support in the Labour party, but I would not let that omission stand between me and supporting the Bill today.
ParlaMint-GB_2015-06-15-commons.u171	I congratulate the right hon. Gentleman on the case he is making in his usual eloquent and persuasive way. Many Members on both sides of the Committee will welcome the fact that he is here and will want to express our support for him and tell him how much we hope that he is successful in standing up to the Scottish National party Members sitting in front of him, who clearly want to create a one-party state in Scotland and whose supporters engage in the most disreputable bullying tactics in order to silent any dissent in that country.
ParlaMint-GB_2015-06-15-commons.u172	I will take support anywhere I can find it, but I am not entirely sure that the hon. Gentleman’s remarks are germane to the matter that is before the Committee Amendment 89, which was tabled by the Scottish National Party, will facilitate a debate on the concept of full fiscal autonomy. I shall listen with interest to the hon. Member for Moray and others in their exposition of that, and I shall reserve my remarks on it until the end of this string of amendments, when I know I will be able to catch your eye, Mr Hoyle.
ParlaMint-GB_2015-06-15-commons.u173	New clause 3, which stands in my name, would deliver full fiscal autonomy, real home rule and a Scottish Parliament in control of everything save defence and foreign affairs. I am only a Back Bencher and I do not have the assistance of Government officials, so if the new clause is defective in technical detail, I apologise. If it were voted for tonight, however, it would establish a clear principle and a way forward The contention is clear: the new clause would deliver full fiscal autonomy. The Scottish Parliament would have full freedom to raise all taxes as it liked. It would not be restricted to fiddling around with bands; it would control all thresholds and all VAT dividends, and it would have full freedom to spend that money as it liked. That is what real Parliaments do, and that is why they are responsible The Scottish Parliament is constructed in a manner that is inherently conducive to the culture of grievance, and that would still be true even if the Smith commission proposals were adopted. The Scottish Parliament will raise only 50% of what it spends. Worse, under the 30-year-old, discredited Barnett formula, which even its conceiver condemned towards the end of his life, Scotland’s block grant will be based not on needs but on English levels of spending. No matter which tartan is chosen to clad the Scottish purse, the purse strings will still be controlled by England. That, I believe, has to change. Following reports by the Office for Budget Responsibility and the Institute for Fiscal Studies, it has been said that Scotland faces a £7 billion black hole. Presumably, however, the SNP wanted independence in the next year. We cannot have an independent Parliament that does not have full fiscal autonomy, so let us have a real, informed debate about the figures.
ParlaMint-GB_2015-06-15-commons.u174	When the hon. Gentleman uses the term black hole, does he mean a deficit? When people talk about the UK’s deficit, they say “deficit”. When they talk about Scotland’s deficit, they say “black hole”. Why the use of pejorative language?
ParlaMint-GB_2015-06-15-commons.u175	It can be referred to as a deficit. We have listened to the Institute for Fiscal Studies and the Office for Budget Responsibility, so now let us have an informed debate I want to make it clear, by the way, that I am not in favour of cutting Scotland loose. I am in favour of United Kingdom solidarity, and I am in favour of a new grant mechanism, if the need for one is proven. My aim is not to trap the SNP, call its bluff or reveal its timidity. I genuinely want to give the Scots what they want: the freedom to run their own affairs and not to blame others if things go wrong, but all within the buttresses and safety of the United Kingdom. I am a fervent Unionist.
ParlaMint-GB_2015-06-15-commons.u176	Will the hon. Gentleman concede that Scotland has contributed more than the rest of the UK in tax per head of population in each of the last 34 years, and that Scotland with full economic powers would be able to deliver prosperity and social justice for the people of Scotland?
ParlaMint-GB_2015-06-15-commons.u177	The hon. Gentleman can vote for my new clause, if that is what he believes. That scenario is on offer tonight, and he can vote for it. As a No. 10 spokesman said helpfully over the weekend—it is not often that No. 10 spokesmen have supported my new clauses, but I am grateful to him—the new clause “is the acid test for the SNP over whether they will back their own policy” A Labour party spokesman helpfully said over the weekend, “They can have full fiscal autonomy by 10 o’clock tonight if they want to vote for it.”
ParlaMint-GB_2015-06-15-commons.u178	Those of us who have a Eurosceptic point of view, as my hon. Friend does, have always been very cautious about fiscal autonomy without monetary autonomy. Would his amendment also enable the Scottish Parliament to have monetary autonomy?
ParlaMint-GB_2015-06-15-commons.u179	As my hon. Friend made that point last week, I was waiting for it. If he will be patient for a moment, I will finish a couple of sentences and come directly to him, because this is the kernel of the matter Under my proposals, the Barnett formula would be scrapped and an alternative formula based on need would be created. In the modern world—in modern finance—we create formulas based on need.
ParlaMint-GB_2015-06-15-commons.u180	Does my hon. Friend agree that there will not now be the automatic application of the Barnett formula to solve all the many money issues between Scotland and the rest of the United Kingdom, but there has to be a fundamental renegotiation of the block grant and an attribution to Scotland of revenues by some formula? In practice, the whole financial settlement is in the melting pot anyway, so it will be very interesting to see how the SNP respond to his proposed further development.
ParlaMint-GB_2015-06-15-commons.u181	Absolutely; we are a united kingdom. For instance, Lincolnshire gets more money in its educational grant because of the sparsity factor. All these things can be worked out in a constructive manner between the United Kingdom Government and the Scottish Government so that there is a fair support mechanism based on need that takes account of issues such as declining oil revenues, the sparsity factor that I mentioned, declining heavy industries, or an ageing population. The grant should be determined by these matters, not by some ageing formula based on what the United Kingdom spends.
ParlaMint-GB_2015-06-15-commons.u182	Is not the hon. Gentleman being very clever with his amendment because he is ultimately talking about an English Parliament and therefore a federal Government in future?
ParlaMint-GB_2015-06-15-commons.u183	My personal view, for what it is worth, is that if we are to create a sustainable Union we must, in effect, create full fiscal autonomy for Northern Ireland, for Wales, for Scotland and, ultimately, for England. This almost imperial Parliament would remain determining the support mechanisms to ensure safety. So, yes, in that sense I am a federalist Barnett is a gift to those who want to break up the Union. It is also incredibly expensive for the English, with £1,680 more a year spending per head in Scotland than in England because Scottish spending is inextricably linked to English spending. When that is cut, SNP Members quite understandably—I do not blame them for this; they are good politicians—can cry foul, as they did last week, and say, “The Scots people didn’t vote for austerity but it’s being imposed on us.” They can vote on every education and health measure, and say, “What you spend in England on health and education is going to determine what we spend.” We then get a crazy situation whereby if some taxes in Scotland are raised the grant will go down. This simply does not work. It is not a recipe for preserving the Union or for a sustainable future.
ParlaMint-GB_2015-06-15-commons.u184	The hon. Gentleman mentions the Barnett figures. He will of course point out, for completeness, that Barnett is only about two thirds of total spending. For further completeness, he will also point out, I am sure, that the Barnett figures for London and Northern Ireland are higher than those for Scotland.
ParlaMint-GB_2015-06-15-commons.u185	I do not want to get into a sterile debate about whether London subsidises Scotland or vice versa; I simply want to be fair and open. I am happy for Scotland to have all its oil. It can determine its oil policy and its level of taxation, and as the oil revenues decline, if they do decline, I am happy for the United Kingdom Government to step in and increase its grant.
ParlaMint-GB_2015-06-15-commons.u186	Might not the hon. Gentleman be entering into this debate a note of unpleasantness that need not be there? Is it not in the interests of those of us representing English seats that whatever settlement is made for Scotland is durable, taking into account, at some stage, that it will have repercussions for how we settle the English question. Should not we approach this subject as generously as possible because we want it to succeed, not to fail? The more it succeeds, the more we answer the question when we get on to our own requirements for an English Parliament.
ParlaMint-GB_2015-06-15-commons.u187	I am grateful to the right hon. Gentleman, who has been a good personal friend of mine over many years, for summing up the situation. I am not trying to play party political games; I really want to be helpful. I want to create the durable settlement for which Scottish people voted: they want to stay part of the United Kingdom. They want to have that buttress if there is a catastrophic shock, as happened in 1929 and 2008, but they also want to run their own affairs.
ParlaMint-GB_2015-06-15-commons.u188	May I thank the hon. Gentleman for the spirit in which he is presenting his argument? I also heard his speech on Second Reading and agreed with the analogies he drew with Ireland. If we are to move to a form of, as the hon. Gentleman describes it, benign fiscal freedom for Scotland, surely that requires a degree of transition, given the scale of the UK deficit and the unique circumstances post-2008. Therefore, the issue of division between us is the transitional arrangements, not the issue of fiscal freedom itself.
ParlaMint-GB_2015-06-15-commons.u189	I hear what the hon. Gentleman says and nobody is suggesting that, even if my new clause 3 were passed tonight, full fiscal autonomy would start immediately. Of course there has to be a discussion and, inevitably, if oil revenues are declining, there has to be some sort of support mechanism from the United Kingdom Government. I say to SNP Members that they can have this new clause. Parliament is a democratic Assembly. I do not want to overplay my importance—I suspect the Whips might ensure that my new clause is defeated—but this is an historic opportunity to give full home rule to, and to establish that principle for, Scotland, which is what the Scottish people want.
ParlaMint-GB_2015-06-15-commons.u190	rose—
ParlaMint-GB_2015-06-15-commons.u191	The hon. Gentleman is now going to tell the Committee that he supports my new clause.
ParlaMint-GB_2015-06-15-commons.u192	We seem to be very happy with the hon. Gentleman’s new clause at the moment, but he talks about support mechanisms as though they are unique to Scotland. Will he concede that the UK has itself been reliant on support mechanisms since 2001 and that it has not raised the taxes to match its expenditure since then?
ParlaMint-GB_2015-06-15-commons.u193	I am afraid we are getting into the historic arguments of who is to blame: is it the UK Government? The Scottish Government face a fundamental problem, in that spending is 20% higher but tax revenues are, inevitably, lower. That is a fundamental problem that SNP Members have to—[Interruption.] Well, I have lost them there—fair enough We can have that debate, but let us not get too bogged down on that. They want independence; they can have it—[Interruption]—full fiscal autonomy The fact is that the SNP’s capture of all but three of the Scottish seats is an even greater victory than Sinn Féin’s in Ireland in the 1918 general election. Then the Unionists managed to secure 22 of the 105 Irish seats. We have to listen: this is actually a very serious issue.
ParlaMint-GB_2015-06-15-commons.u194	rose—
ParlaMint-GB_2015-06-15-commons.u195	I will make a bit more progress, because I want to get to my hon. Friend the Member for North East Somerset (Mr Rees-Mogg). He has been very patient, and I will get to him eventually Like then, everything is different now. What will happen if Smith stays? Can we sustain a permanent settlement that prevents Scotland from setting the initial threshold for income tax or from changing universal credit? What will happen when the Scottish Conservative party promises in its election manifesto to cut taxation? How credible will that be if it affects the block grant available from the United Kingdom? All these issues have to be discussed Under the Smith proposals, universal credit will remain a reserved matter. Holyrood will be able to vary the frequency of payments and the way it is paid, while the power to vary the remaining elements of universal credit remain reserved, but I would ask why. I have read the Smith commission. Why?
ParlaMint-GB_2015-06-15-commons.u196	Universal credit has been reserved because if Scotland decided to make it more generous, the issue would arise of how it would pay for that. What we find with fiscal independence is that we have to delegate both sides of the equation—the raising of the money and the spending of it—and then it can decide how much it wants to spend.
ParlaMint-GB_2015-06-15-commons.u197	Full fiscal autonomy results in full responsibility. That is what real Parliaments do Responsibility for bereavement allowance, bereavement payment, child benefit, guardian’s allowance, maternity allowance, statutory maternity pay, statutory sick pay and widowed parent’s allowance will all remain reserved and administered by the Department for Work and Pensions. Why? The Smith commission further proposes a complex system for sharing responsibility for income tax. Why? That is all affected by an oscillating block grant. As I have said, how can SNP Members promise lower taxes in an election or higher spending unless they are masters of their own fate What are the objections to full home rule? What are the real objections to full fiscal autonomy, apart from the fact that we appointed a Lord Smith—with lots of no doubt very worthy people—to produce a report, which has been overtaken by events? We are told that full fiscal autonomy will result in tax competition within the Union. What is wrong with that? That is what keeps the American states vibrant and competitive with one another and continually innovating. Do we not insist that our taxes in Britain compete with those of Europe? We are told that tax competition would create downward pressure on taxes. Well, I am sorry about that. Why should the Scottish Parliament not be able to lower or raise air passenger duty? It can do whatever it likes. I know it has had that power and it will be allowed it under Smith, but if that power is allowed, why not powers for other things On Second Reading, my hon. Friend the Member for North East Somerset said that a single currency requires fiscal and monetary union, with the implication that that is proved by the Greek experience. Surely he is not suggesting that the Scots are Greeks, or that the Scottish economy is as different from England’s as Germany’s is from Greece’s. No; Scotland can thrive with full fiscal autonomy because Scotland has the will and the skills to do so. It has universities, research, manufacturing, logistics, light manufacturing, oil and gas, food and drink and a flourishing creative sector. [Hon. Members: “Hooray!”] Vote for my new clause.
ParlaMint-GB_2015-06-15-commons.u198	I agree with all the wonderful things my hon. Friend has been saying about Scotland, which are so clearly and self-evidently true. The point I was trying to make is that if a country has fiscal autonomy and issues debt in a currency other than its own, it may well get squeezed in the way seen not only in Greece, but in Italy and Spain, and in countries across Asia during the Asian financial crisis in the 1990s. For a country to have fiscal autonomy without its own currency is a recipe for economic failure. To go back historically, the same was true of the gold standard in the 1930s.
ParlaMint-GB_2015-06-15-commons.u199	That is a very fair point. I agree that that is a matter for debate. I have already made the point that Scotland’s situation is very different from that of Greece. I am actually suggesting that we remain a United Kingdom, with a sharing of the national debt. Nothing is more debilitating in this whole debate than saying, “That bit of the national debt is yours, or this bit is mine.” We are back to the same dreary arguments about who is responsible for spending and when. My hon. Friend makes a serious point. If we achieve full fiscal autonomy, which I believe is inevitable—whether it happens now or in five years time, it will happen—the Scottish Parliament and the Scottish Government will have to act responsibly and live within their means. I have confidence that they will do so.
ParlaMint-GB_2015-06-15-commons.u200	I can feel the sap rising at various points in the hon. Gentleman’s speech. When he said that Scotland is where Ireland was in the early years of the last century, I felt obliged to check the record, because last week he said we were “where Ireland was in the 1880s.”—[Official Report, 8 June 2015; Vol. 596, c. 965.] We seem to have advanced 20 years in a week. Does that mean that in a week’s time, we will be where Ireland was in the 1920s?
ParlaMint-GB_2015-06-15-commons.u201	That is an amusing point, but the right hon. Gentleman knows exactly what I am trying to say. This is a very serious point; it is not just a debating point. We have a responsibility to learn from history. What I was saying last week, and what I believe, is that we were wrong to abolish the Irish Parliament, wrong to delay granting Catholic emancipation, wrong not to listen to Gladstone in the 1880s, and wrong not to implement full home rule at the outset of the great war. We were wrong, wrong, wrong and wrong again. We need to have an element of statesmanship and vision in these affairs. The right hon. Gentleman, with all his debating skills, can laugh at what I say, but I assure him that I genuinely believe in what I am trying to do.
