ParlaMint-GB_2015-12-01-commons.u1	1. What fiscal steps he is taking to support businesses.
ParlaMint-GB_2015-12-01-commons.u232	I am unashamedly moving lots of amendments, and there are several others that we on these Benches support too, which I will come to in due course. The large number of changes that we want reflects our hostility to this Bill, which we oppose outright and will vote against this evening as ill-conceived and regressive, and which will do little to move the country towards the Government’s increasingly ludicrous-looking net migration target. If the Bill passes, perhaps one or two of these amendments might provide a little comfort in an otherwise bleak piece of legislation New clauses 16 and 17 seek to rectify two provisions that exemplify for us where fundamental problems lie with this Bill. New clause 16 would put in place some restriction on one of the many significant, inappropriate and untrammelled powers that the Bill passes to immigration officers and other officials. A large part of the Bill seems to be a wish list of powers from UK immigration staff, which the Government unquestioningly want to hand over to them.
ParlaMint-GB_2015-12-01-commons.u233	If I heard the hon. Gentleman correctly he does not like the Bill, and his amendments and new clauses might make it a little more likeable. If they were all passed, would he be in the Aye Lobby this evening?
ParlaMint-GB_2015-12-01-commons.u234	We have done our best to make the Bill slightly more palatable, but even with all our amendments I regret to say that we would still find the damage that the Bill will cause unacceptable. Regardless of what happens today, therefore, we will be voting against Third Reading New clause 17, would repeal the right-to-rent provisions introduced by the Immigration Act 2014, provisions which, like their successor provisions in this Bill, will have limited effect on the Government’s pretend net migration target, but are none the less deemed necessary to make the Government look tough on immigration. As I said on Second Reading, it is in reality immigration theatre—acting out the part of immigration enforcer. But while there is little evidence that it will achieve much in terms of immigration control, its consequences on cohesion could be significant.
ParlaMint-GB_2015-12-01-commons.u235	The hon. Gentleman talks about looking tough and effective. Does he not agree that that is the challenge for the Government in the Bill? We want to see immigration measures that are effective, not that just appear to be tough.
ParlaMint-GB_2015-12-01-commons.u236	I agree that we need to enforce the immigration rules and laws that we have put in place, but the problem is that the resources and manpower are not being put in to do that. We do not need new powers and rules; we simply need resources to enforce the rules that already exist. I suggest that some of the rules already go far too far New clause 16 is a modest response to clause 13, which creates wide powers for immigration officials to close premises for 48 hours before any court involvement is required in certain cases of suspected illegal working. These could have very significant consequences, including for perfectly innocent workers whose place of work is closed for up to two days. Provision for statutory compensation, which our amendment would introduce, is designed to ensure that notices are not issued in an oppressive manner by immigration officials New clause 17 is without doubt the more significant of the two new clauses. It would remove the right-to-rent provisions in the 2014 Act. We have signed other amendments in relation to right to rent, starting with the crucial amendment 35, which would remove the criminal sanctions and what we regard as Dickensian eviction processes from the Bill. Amendment 46 is designed to prevent those letting out rooms on essentially a charitable basis from being criminalised. Finally amendments 54 to 57 remove powers for the Secretary of State to legislate by way of regulations for new Scottish right-to-rent provisions, with immense effect on devolved Scottish housing law We also support changes proposed by Labour Members such as amendment 22, which seems designed to fix what we can only presume to be a drafting anomaly under which a landlord or landlady would be guilty of an offence for renting to a person with no right to rent, even during the period of 28 days when they could not evict that person. We also fully back their amendments 23 to 26, which would remove the obscene proposals that would see landlords and landladies turned into not only immigration officers but High Court judges, and would see summary evictions without judicial oversight I know that my hon. Friend the Member for Glasgow North East (Anne McLaughlin) will have more—much more—to say on these dreadful and draconian measures if given the opportunity, Madam Deputy Speaker. Our view is essentially the same as it was on Second Reading. Right to rent is not evidence-based, but in fact flies in the face of the evidence provided by the Joint Council for the Welfare of Immigrants, and indeed parts of the Government’s own pilot review. It is unfair to place these duties and now criminal sanctions on landlords, and it will lead to inadvertent discrimination or racism, with foreign nationals and even British citizens without documents at risk of being rejected from a tenancy whenever there is a safe and easy option of a British passport holder to rent to. It will push more families away from authorities and immigration control, making enforcement harder, not easier The one part of the Bill from which something useful might actually emerge is the first few clauses of part 1, and the provisions for a Director of Labour Market Enforcement, which we welcome. It is sad that its presence in an immigration Bill suggests that the new role might be seen as one primarily concerned with enforcing immigration laws, so we have joined our Labour colleagues in supporting amendment 18, which is designed to ensure that the functions of the director are exercised for the purpose of protecting the victims of labour market exploitation More fundamental is amendment 19, which seeks to remove the offence of illegal working. We share the widespread concerns that, like other offences, it will have little effect in terms of immigration control, but will have other significant adverse effects. In this case, the negative consequence is to undermine the decent work that the Government have been doing to tackle slavery and trafficking. The Bill will drive exploited, undocumented workers further underground, and leave them more at risk of exploitation, rather than less While on this issue, we know that James Ewins’ report on domestic workers is with the Government but as yet not available to Members. We question why that is the case, and when we will be able to see and debate it in order to inform what should happen with this Bill if it gets a Third Reading Finally, in relation to part 1 of the Act, amendment 33 seeks to ensure that employers who innocently and inadvertently employ a person without the right to work are not criminalised by the Bill. It does so by applying a threshold of “knowingly or recklessly” to the offence of employing an adult without permission to work, instead of merely requiring that they have “reasonable cause to believe” that the employee may be such a person. We are concerned that the current test might catch people who are not the intended target There are two further sets of amendments in this first grouping that I need to speak to. The first set relates to how a number of these provisions would be implemented in Scotland. Clauses 10, 11 and 16 all include what I am told are referred to as Henry VIII clauses—broad powers to legislate for Scotland, and indeed Northern Ireland and in one case Wales. Whereas provisions on licensed premises, private hire vehicles and right to rent are set out in significant detail in schedules to the Bill, and subject to full legislative scrutiny, that is not the case for Scotland. Instead, the Secretary of State is given the sweeping power to legislate in a similar way for Scotland by way of regulation. The power includes the ability to amend Acts of the Scottish Parliament, without any consideration of that Parliament’s view on the matter—and that is despite the fact that liquor licensing, private hire car licensing and housing are all devolved matters I understand that Parliament has long been hostile to Henry VIII clauses, and rightly so. These clauses are particularly pernicious for the reasons given, and so should be rejected. That can be done by supporting amendments 47 to 53, which would remove the power to regulate for Scotland in this way, thereby requiring primary legislation and the full scrutiny that that entails. Alternatively, amendment 41 requires that any such regulations would require the consent of the Scottish Parliament, again enabling proper scrutiny. That is surely only right and proper in the circumstances Finally, on new clause 13 and amendment 32, this House witnessed a powerful Backbench Business debate back in September, led by the hon. Members for Sheffield Central (Paul Blomfield), for Bedford (Richard Fuller) and for Enfield, Southgate (Mr Burrowes), who I know will all want, if they can, to speak on the issue again today. On that day there were strong speeches on all sides of the House as it united to tell the Government that immigration detention without a fixed and certain time limit was no longer acceptable. We are the only country in the EU without a time limit so it is inexcusable for this country not to operate one. We on the SNP Benches would prefer that we move straight to a position where immigration bail is granted after 28 days, as set out in amendment 32. Alternatively, we will support new clause 13 to see progress towards that goal.
ParlaMint-GB_2015-12-01-commons.u237	My hon. Friend will be aware that the immigration detention inquiry panel heard evidence from a consultant psychiatrist that those who are detained for more than 30 days suffer significantly more mental health problems than those detained for fewer than 30 days. Does my hon. Friend agree that this evidence reinforces the need for new clause 32?
ParlaMint-GB_2015-12-01-commons.u238	I agree entirely. That is one of a huge number of reasons that were highlighted during the Backbench Business debate earlier this year.
ParlaMint-GB_2015-12-01-commons.u239	Does my hon. Friend share my concerns for the wellbeing of the migrants being detained—an experience described by one man as his three years in a cage? The conditions in which migrants are detained lack any shred of dignity. Does my hon. Friend concur with me that the Home Office seems to have forgotten that human rights are universal and not conditional upon immigration status?
ParlaMint-GB_2015-12-01-commons.u240	My hon. Friend makes her point powerfully. The issue is not just a time limit going forward, but conditions of detention and moving away from routine use of immigration detention to make it a rare exception, rather than almost the norm In conclusion, there is widespread demand for change, and perhaps if there is one— just one—piece of silver lining on the dark cloud represented by this Bill, it will be a time limit on detention.
ParlaMint-GB_2015-12-01-commons.u241	As I have had cause to mention previously in the Chamber, immigration was the single most important issue for my constituents in Castle Point at the recent election and remains so. I am sure many hon. Members in all parts of the House find that to be the case. Having spent several weeks sitting on the Committee that considered the Bill, I fully support it as the Government have drafted it I shall speak in particular on new clauses 8 and 9, dealing with time limits on detention. Although I fully appreciate the thinking behind such amendments, I cannot support them because introducing a time limit on detention is, I believe, a poor approach to an important issue. I believe also that new clause 13 is premature as we await the results of several Government reviews of the whole system of detention The Home Office already has a policy to safeguard against unnecessary or arbitrary detention of individuals. Detention must be used sparingly and for the shortest period possible, and cases must be assessed on an individual basis.
ParlaMint-GB_2015-12-01-commons.u242	I am conscious that we are covering ground that we covered in Committee. The hon. Lady will recognise that although that is the principle of the Home Office, there is powerful evidence that the Home Office is failing to achieve those objectives, as shown by the fact that many people are detained for months, and some for years. A statutory limit could therefore bring a culture change in the approach to the issue.
ParlaMint-GB_2015-12-01-commons.u243	I thank the hon. Gentleman for his intervention, but the Home Office is undertaking three separate reviews of the process, which makes the new clauses premature while we await the results of much more detailed work.
ParlaMint-GB_2015-12-01-commons.u244	I appreciate my hon. Friend’s point about the need for those reviews to inform the debate. Does she share my disappointment that although the reviews have been pending for many months, we in this House do not have that information as we deliberate the amendment before us today?
ParlaMint-GB_2015-12-01-commons.u245	I recognise the frustration of my hon. Friend and others about that, but properly conducted reviews can take time and we have urgent business, which is to deal with many of the measures in the Bill. I feel confident that the Government will deal appropriately with the issue in due course In instances where an individual is detained while their case is being investigated, regular reviews can be undertaken to ensure that such detention remains lawful and proportionate. I feel sure that subsequent to the findings of those three reviews, any improvements that can be made will be made by the Government. In addition to this, detention is always a matter for the judiciary. Cases where an individual has been detained are rightly subject to scrutiny and oversight by the courts, which have the power to examine any case as they see fit. The judiciary is clear that factors such as risk to the public and an individual’s immigration history are key in deciding the appropriate timescale for detention. It is correct that judicial authority and experience should be the guiding principle in such cases, and not a random figure imposed by politicians in the Chamber today Imposing a maximum time limit of 28 days, for example, is not only arbitrary, but potentially dangerous and irresponsible. Such a limit risks allowing all sorts of individuals to effectively and maliciously subvert the rules. They can refuse to co-operate with the authorities, safe in the knowledge that in doing so they will be released after just four weeks. I need hardly remind the House of the consequences that such a rule would have in the case of someone such as Abu Qatada. This surely cannot be the intention of the House. Placing a time limit on the detention of individuals could be an irresponsible risk to our national security and, especially in the light of recent events around the world, I cannot support the amendments and I urge other Members to oppose them.
ParlaMint-GB_2015-12-01-commons.u246	I shall speak to the amendments in my name. I hope it will be helpful to the House if I indicate as I go through them which of those amendments I currently intend to press to a Division, so that the Minister will know I start with the labour market provisions and say at the outset that we on the Labour Benches support the establishment of a director of labour market enforcement. This will provide strategic leadership, which is much needed and very welcome. The real issues in relation to the director are resources and focus. In Committee we heard evidence from Professor Metcalf, who is chair of the Migration Advisory Committee. He said that he understood the issues of public finances, but he did not think the enforcement bodies had enough resources. He pointed to the fact that on the evidence in the report on low-skilled work, Her Majesty’s Revenue and Customs could be expected to visit any given premises once every 250 years and that there was the prospect of a prosecution every 1 million years I accept that any investigation would be intelligence-led and targeted, but those figures are stark and point to the problem of resourcing. As another example, the Gangmasters Licensing Authority investigations dropped from 134 in 2011 to 68 in 2014. Clearly, we cannot deal with resources here in this debate, but amendment 18 is intended to give a focus to the director, to ensure that the functions of the director are exercised for the purpose of protecting the victims of labour market exploitation and to make this explicit on the face of the Bill. This mirrors the way in which the Modern Slavery Act 2015 dealt with the functions of the Anti-Slavery Commissioner established by that Act There is therefore a good precedent for the amendment. It provides clarity and it avoids any misconception or temptation about this role, which is being introduced in an immigration Bill—namely, that it should be about labour market enforcement, not immigration control. The experience of other countries suggests that this is the right focus for this important role Amendment 19 would omit the proposed illegal working offence and maintain the status quo. Time and again in the House and elsewhere the point has been made about the exploitation of the vulnerable. The Migration Advisory Committee reported in 2014 that “the combination of non-compliance and insufficient enforcement can lead to instances of severe exploitation, particularly of vulnerable groups such as migrants.” The Committee said in the same report: “We were struck on our visits around the country by the amount of concern that was expressed by virtually everyone we spoke to about the exploitation of migrants in low-skilled jobs.” There is a great deal of other evidence to the same effect. What is desperately needed is more resources for inspections, a focus on exploitative employers and a mechanism to encourage employees to have the confidence to come forward. The new provision cuts across that Clause 8 is likely to ensure that the most exploited and vulnerable will become even more so; in effect, it will simply strengthen the hand of gangmasters over exploited workers. It also fails the test of necessity. There are already criminal provisions relating to those who have breached immigration rules and there is no need to introduce a new criminal offence for employees. We are talking about the most vulnerable and exploited people, who need the confidence to come forward if the director is to achieve the functions set out in the Bill. My current intention is to push amendment 19 to a vote, although obviously I will listen to what the Minister has to say I turn to amendment 20, which also relates to the offence of illegal working. It is a strict or stark offence: an employee who simply does not have the right immigration status commits an offence and has no defence at all. I shall give an example of the injustice likely to be caused. If an employee in good faith relies on his or her employer to sponsor him or her, but something wrong in the process means that as a matter of law, and unbeknown to them, they do not have the right immigration status, they automatically commit an offence and have no “reasonable excuse” defence. That cannot be right for a new criminal offence in this field. With all due respect to the Director of Public Prosecutions, it is not good enough to say that the prosecution must weed out those cases. There needs to be a defence in statute to cover cases of mistake and error that are not the employee’s fault I turn to the provisions on landlords and the right to rent. The background is important during this Report debate. The Immigration Act 2014 introduced a civil penalty scheme in relation to the right to rent. That was discussed in the House; there were concerns about the impact it would have in practice and in particular about whether there would be any discriminatory effects. Assurances were given about piloting and properly evaluating the civil penalty scheme before it was rolled out. This Bill, in 2015, proposes to extend the civil penalty scheme by introducing a criminal penalty before there has been a full and meaningful evaluation As was mentioned on Second Reading, the Joint Council for the Welfare of Immigrants carried out an evaluation showing, alarmingly, that 42% of landlords said that the right to rent provisions made them less likely to consider accommodating someone who did not have a British passport. At that stage, we did not have the advantage of the Home Office evaluation, which was made available in Committee, as the Minister said it would be. That evaluation, however, was small and narrow. The Home Office itself said that it was not sure about the statistical significance of part of the evaluation and that the sample sizes were too small to draw any robust conclusions. We say that the assurance in relation to the civil penalty scheme has not been fulfilled and there is no warrant for extending the scheme to include a criminal sanction. Amendment 22 deals with the position of landlords who, under the current provisions, would automatically commit a criminal offence the moment they were served notice that they had a tenant without the right to rent. They would be criminalised notwithstanding the period between receipt of that knowledge, normally by a notice, and their best prospect of getting anybody evicted. A reasonable, objective landlord who received a notice and acted on it immediately would still be criminalised during the process. There cannot be any sensible or compelling case for that state of affairs, which causes great concern to landlords and puts them in an impossible position. I understand that the Government may be considering the issue and obviously I shall listen carefully to what the Minister says. On the face of it, however, it is difficult to see that there could ever be a case for such a measure Amendments 23 to 26 all relate to the important issue of summary eviction. The Bill introduces a fast-track process—innovative in this field—in which a notice from a landlord stands as a court order, leading to provision for summary eviction. Some 30 or 40 years ago, the House set its face against summary evictions for a very good reason: there were too many examples of locks being changed and families literally being put out on to the street to sleep on the pavements. Everybody agreed that there should be due process before individuals and families, particularly families with children, were evicted. The Bill cuts through that protection for no good reason. In this country in the 21st century no group of individuals should—for whatever reason, and whether renting lawfully or not—be subject to summary eviction proceedings that, as I said, we turned our back on a long time ago I move on to immigration detention, which has already been touched on and is a matter of increasing concern to many in this House and beyond. The fact of immigration detention causes real distress and anxiety, particularly among vulnerable groups, and its indefinite nature adds to that. There is strong evidence of the impact on varying groups, particularly women. I think I am right in saying that the UK is the only country in Europe that does not have a time limit of any sort on immigration detention. That has been the subject of inquiry by the all-party groups on refugees and on migration. They concluded: “We believe that the United Kingdom has a proud tradition of upholding justice and the right to liberty. However, the continued use of indefinite detention puts this proud tradition at risk.” The reforms suggested by the cross-party joint APPG group were backed by the House of Commons when they were debated in September this year, and a motion supporting them was passed. The issue is one of increasing concern and justifying indefinite immigration detention is increasingly difficult. Amendment 32 is intended to deal with that by introducing a 28-day limit, which many people feel is the right one New clause 13 is intended to allow a review by an independently chaired panel to consider the issues and report to Parliament within three months; it is not premised on a fixed period. It is important that there is progress on these issues. Immigration detention is a real cause for concern and this is an opportunity to do something necessary.
ParlaMint-GB_2015-12-01-commons.u247	The hon. Gentleman just said that new clause 13 does not prescribe a particular length of time, yet paragraph (a) specifies a 28-day time limit. Will he confirm that that is his position?
ParlaMint-GB_2015-12-01-commons.u248	I apologise. I meant that it proposes a review of the time limit rather than a time limit itself, and that therefore, given the nature of the review, it would be open to it to look at other options. There are shared concerns across the House about immigration detention and its indefinite nature. There will be disagreements as to the precise time limit, if there is to be one, and that can be discussed, but at this stage sitting back and simply accepting the status quo is not an acceptable way of proceeding. However, I will obviously listen to what the Minister has to say on this.
ParlaMint-GB_2015-12-01-commons.u249	Does the hon. and learned Gentleman agree that one of the values of a time limit is that it provides the detained person with some certainty about what is happening while they are being detained? We heard evidence, and we know from our constituents, that the difficulty is that people are put in detention and do not know what is going to happen to them, with consequential mental health, and other, impacts.
ParlaMint-GB_2015-12-01-commons.u250	I completely agree with the hon. Gentleman. There is the fact of detention in the first place, covering a wide range of individuals detained for different reasons, and then there is its indefinite nature, which adds to the anxiety, because most terms of detention are for a fixed period that allows the individual to know when they may regain their liberty As I say, there will be debates about what the precise time limit should be, but sustaining a position of indefinite detention is no longer acceptable in the 21st century. It is not the position in almost all other countries in Europe, and it should not be so in this country
ParlaMint-GB_2015-12-01-commons.u251	As somebody who served with the hon. and learned Member for Holborn and St Pancras (Keir Starmer) and others on the Bill Committee, there is a terrible sense of déjà vu, to put it politely, or “Groundhog Day”, not so politely, about this debate. We had a lot of these debates and discussions in Committee. I hope that those who did not join me in voting as I did in Committee would at least recognise that it was a very thoughtful process in which we went through the whole Bill in great depth and a great raft of amendments were tabled and debated. However, even the Opposition parties managed to run out of steam, allowing the usual channels to pull stumps some little time before the Committee stage was scheduled to finish. I hope that that in no way suggests that we cantered with unseemly haste through the important issues that the Bill seeks to address My hon. Friend the Member for Castle Point (Rebecca Harris), who is no longer in her place, hit the nail on the head, as did my hon. Friend the Member for Norwich North (Chloe Smith) in Committee. This is probably one of the most important issues that this House and this Parliament will deal with. If we get it right, we will engender a sense of an understanding of fair play and that this place “gets it”. If we get it wrong, we will seem to be even more disengaged from the communities that we seek to serve. I am lucky to represent a predominantly rural constituency where even a casual glance at the census returns would suggest that immigration was not an issue that would be raised on the doorstep or in meetings. However, even in rural North Dorset, it has been, and continues to be, such an issue.
ParlaMint-GB_2015-12-01-commons.u252	I represent a constituency that has a significant proportion of people who have come from other countries, and immigration was raised with me on the doorstep once in the course of a year. Parties such as the United Kingdom Independence party tend to do well in areas where there are few immigrants, so it is perception that is causing people to have a problem with immigration rather than reality.
ParlaMint-GB_2015-12-01-commons.u253	This is noteworthy for Hansard—the hon. Lady and I have found something on which we agree. What we are seeking to do—this sits at the kernel of the Bill—is to shoot UKIP’s fox: the idea that the country, the Government, Parliament, Westminster or Whitehall has become rather soft and flabby on this issue and needs to—
ParlaMint-GB_2015-12-01-commons.u254	rose—
ParlaMint-GB_2015-12-01-commons.u255	Let me address the hon. Lady’s first intervention and then I will be happy to give way to her again Although I represent North Dorset, I have the most enormous pleasure—the first prize in the lottery of life—to be a Welshman. I was hoping for some supportive comments there, but no. I come from Cardiff—a very mixed, culturally diverse city, which, thank God, has hitherto had very little tension between the communities. However, it was becoming an issue back in the 2010 election, and people are very keen, irrespective of the immigrant make-up of a community, to address it. That is what this Bill is all about, and what all these amendments—
ParlaMint-GB_2015-12-01-commons.u256	rose—
ParlaMint-GB_2015-12-01-commons.u257	Before I give way to my hon. Friend I must first take the intervention from the hon. Member for Glasgow North East (Anne McLaughlin).
ParlaMint-GB_2015-12-01-commons.u258	Does the hon. Gentleman agree that rather than shooting UKIP’s fox with this Bill, the Government are allowing the party that has one single MP in this place to make the rules and are pandering to what it calls for?
ParlaMint-GB_2015-12-01-commons.u259	rose—
ParlaMint-GB_2015-12-01-commons.u260	Order. We are venturing into much broader aspects of the principles of the Bill rather than the amendments before us. I am happy for the hon. Gentleman to respond to the hon. Lady’s point, but then I would be very grateful if we moved back on to the amendments.
ParlaMint-GB_2015-12-01-commons.u261	I have fallen into my usual trap, Madam Deputy Speaker. I always like to set a backdrop to my remarks, and I am trying to explain the kernel of the Bill, why it has come about, and why the amendments and new clauses are, in my judgment, fundamentally wrong The hon. Member for Glasgow North East has taken me neatly on to my second point—the amendments in her name and the names of her hon. Friends. The position of the separatists is entirely disingenuous on this issue. The hon. Member for Cumbernauld, Kilsyth and Kirkintilloch East (Stuart C. McDonald) told us that they would be unable to support the Bill not only if new clause 16 were not passed, but if the whole raft of other SNP amendments were not passed as well. We should not be unduly surprised by that, because in Committee we were able to tease out from their questioning of our witnesses that Members representing Scottish seats in the SNP interest believe in uncontrolled and unfettered immigration—an open-door policy. Moreover, they seek, on behalf of their friends in the Scottish Parliament, to assume to themselves powers and privileges reserved to this House with regard to the control of immigration, and suddenly, via the back door, to see it as a new devolved power. Anybody with a strand of Unionism and common sense in their body should seek to resist that, and that is why I will vote against the amendments In essence, at the heart of these amendments, SNP Members are seeking to encourage further devolution—further separation—and to have a greater tension between the regions and the countries of the United Kingdom. [Interruption.] The hon. Member for Glasgow North East says, with her customary self-deprecatory humour, “Us?” Yes, I do mean the SNP. Government Members will seek to resist the devolution of power over the control of immigration into, let us be frank, a small island with incredibly porous borders, given our coastal and island nature. It would be folly to open a Pandora’s box of devolution with regard to immigration issues. This affects the whole of the United Kingdom.
ParlaMint-GB_2015-12-01-commons.u262	Will the hon. Gentleman give way?
ParlaMint-GB_2015-12-01-commons.u263	With the most enormous pleasure, as always.
ParlaMint-GB_2015-12-01-commons.u264	I rather think the hon. Gentleman is missing the point about the amendments and new clauses. The Bill has very detailed provisions for England and Wales, and in some cases for Northern Ireland, but it just provides the Secretary of State with a broad, sweeping power to do the same for Scotland, without any scrutiny in Parliament or in the Scottish Parliament. Even if the hon. Gentleman does not agree with us about getting approval from the Scottish Parliament, he should at least agree about getting rid of the regulatory powers so that this would have to be done in primary legislation, with full scrutiny in this House, rather than by a Henry VIII clause.
ParlaMint-GB_2015-12-01-commons.u265	I hear what the hon. Gentleman says. All I would say to him in reply is that the Bill has been brought forward in the United Kingdom Parliament and has had full and forensic discussion both on Second Reading and in Committee, as it will today on Report and, doubtless, on Third Reading. I suggest he should say to his friends holding ministerial office and other positions of power in Scotland and the Scottish Parliament that, when they are in effect carrying out duties passed to them under a devolved settlement, they should ensure that how they deliver such policies and put them in place on the ground always reflects the national law of the land When I gave way to the hon. Gentleman, I was simply concluding that if the new clauses and amendments, which would in effect devolve immigration to Holyrood, were agreed to, the United Kingdom Government would by definition need to find ways of controlling the movement of people from Scotland south into England, and very possibly people going from the south to the north as well. As I have said, we teased out in Committee—both in the evidence sessions and the other sittings—the SNP’s firm commitment to have an open-door policy and no fetters on immigration. My constituents in the south of England will be grossly alarmed by that.
ParlaMint-GB_2015-12-01-commons.u266	Can the hon. Gentleman tell the House anything that any SNP Member said that leads him to believe we support an open-door, open-borders policy? I cannot think of anything, and I am sure my hon. Friend the Member for Paisley and Renfrewshire North (Gavin Newlands) cannot do so. What is the hon. Gentleman referring to?
ParlaMint-GB_2015-12-01-commons.u267	Unlike Lord Green, I had no difficulty understanding what she and the hon. Member for Paisley and Renfrewshire North (Gavin Newlands), who knows precisely what I am referring to, said at any time in Committee. However, the tone and the tenor, the winks and the nods, and the direction of travel of the questions and the amendments in Committee—and, indeed, of the amendments today—can only lead one to assume that SNP Members, for reasons that are entirely respectable for them to deploy, do not believe in having any control of immigration at all. That is the narrative arising from the heartland of the hon. Lady’s speeches. The hon. Gentleman, who was also a member of the Public Bill Committee, told us that nobody raised with him the issue of immigration on the doorstep during the election campaign.
ParlaMint-GB_2015-12-01-commons.u268	I want to go back to our thoughtful discussions in Committee, in which the issues were well debated. I agree with my hon. Friends the Members for Castle Point (Rebecca Harris), for Norwich North (Chloe Smith) and for North Dorset (Simon Hoare), who said that immigration was the No. 1 issue on the doorstep. In Eastleigh post the by-election—we were third, before moving into second place and then absolutely came first—we had to reflect that fact in our deliberations. It was disingenuous to hear about one lawyer who represented a freedom of movement blog. Immigration was the No. 1 issue, and the caseload left us by the Labour party—
ParlaMint-GB_2015-12-01-commons.u269	Order. The hon. Lady is hoping to catch my eye later in the debate. I suggest that she saves her very full intervention for then.
ParlaMint-GB_2015-12-01-commons.u270	The good folk of Eastleigh, many of whom I got to know during the by-election, will no doubt breathe a huge sigh of relief at having a doughty champion in the form of my hon. Friend. She absolutely gets the point that if we are to have a sensible, vibrant and vivacious debate about politics and public affairs in this country, it is absolutely right for this House to address such issues through legislation—hence the Bill introduced by my right hon. Friend the Minister for Immigration.
ParlaMint-GB_2015-12-01-commons.u271	In defending the pivotal role of immigration detention centres, will my hon. Friend defend the detention of pregnant women or the victims of human trafficking, torture or sexual violence? If not, will he support my new clause 8?
ParlaMint-GB_2015-12-01-commons.u272	To answer my hon. Friend’s questions in reverse order, no and yes. Whether or not a woman is pregnant is immaterial. The issue is about the environment in which people are detained and the care and attention they are given, rather than about their status. I know the proximity of Yarl’s Wood to my hon. Friend’s constituency—from memory, it is in his constituency—but I would tell him that I heard, both from staff and from those detained, that they had seen people destroy their papers or hide their child under the bed, where they cannot be touched, when an aeroplane was on the tarmac waiting to take off to take them away. In my judgment and experience, which is all I can speak from, the staff approach such problems with huge sensitivity, often in very difficult circumstances.
ParlaMint-GB_2015-12-01-commons.u273	I, too, think that the people we ask to manage detention centres do a good job in general. On a point of clarification, my concern arises not from my constituency’s proximity to a detention centre, but from the proximity of the rules to my ethical code. My hon. Friend mentions that the issue is about the care of people in detention centres. Is he aware of the case of PA, a pregnant woman detained in Yarl’s Wood? The Home Office has recently had to admit that she was not given proper antenatal care. Is not the issue that if we detain pregnant women, mistakes will be made, and we therefore need to protect ourselves and our ethics from such mistakes by exempting those people from the rules?
ParlaMint-GB_2015-12-01-commons.u274	I do not wish to test your patience, Madam Deputy Speaker, or indeed that of the House, by straying too far, but my hon. Friend has made a valid point. I certainly am aware of that case, but I never think it is right to build a policy on the basis of one incident. Terrible things happen when women are pregnant, whether they are detained or just going about their ordinary business. Medical negligence can happen even to those outside prisons or detention centres. Nasty, upsetting and tragic things happen. He is absolutely right to say that such things should raise questions, and right hon. and hon. Members should continually ensure that those detained can access a range of care that is wide, deep, qualitative and professional. My hon. Friend is absolutely right, but I do not believe that one isolated incident should force us to say that immigration removal centres and the principle of detention are inherently wrong or unethical. As a practising Christian, I find no difficulty in reconciling good quality care in detention with my faith and ethical basis.
ParlaMint-GB_2015-12-01-commons.u275	My hon. Friend said that the Bill was about fair play. The question of fair play is also at the heart of the amendments relating to pregnant women. I shall cite not an individual case but the Home Office guidance, which states that pregnant women are normally considered to be suitable for detention only in very exceptional circumstances. The issue is whether that guidance is being properly applied or whether it needs further legislative attention. We are concerned about having proper fair play for those people. I am sure that my hon. Friend’s constituents, and mine, are concerned about fair play for those in detention centres as well as about controlling our borders.
