ParlaMint-GB_2015-03-23-commons.u1	1. What her policy is on the net migration target; and if she will make a statement.
ParlaMint-GB_2015-03-23-commons.u176	We can all wish for a political solution and a national unity Government in Libya, but the reality is that it is not happening and an al-Qaeda or ISIL-linked state is being established on parts of the coast, which is a serious threat to our country and the rest of Europe. What are we going to do about the situation in Libya, rather than just wishing for a change?
ParlaMint-GB_2015-03-23-commons.u177	It is not a question of simply wishing for a change; we are working with our allies to help to bring one about. The aim so far has been to produce a national unity Government by bringing together the different parties that there are in Libya. We have not taken the approach that some in the region have taken of trying to pick sides and creating conflict between the various parties. I accept, however, that as we see the growth of ISIL in Libya, we are going to have to challenge all those who could take part in a national unity Government to oppose ISIL and any formation it is able to achieve in Libya. That will be an important part of the stability that we seek not just for the sake of the Libyan people, but for that of our own.
ParlaMint-GB_2015-03-23-commons.u178	In my last week as a Member of Parliament, may I commend my right hon. Friend not just for his statement, but for his work over the past five years in re-establishing the United Kingdom as a serious and respected player in international affairs Turning specifically to the good governance fund that he mentioned with regard to Ukraine and eastern Europe, will the Prime Minister look at the money that has been transferred to this country, particularly from Russia? Oligarchs and others seem to have thought that here and western Europe were good places to put their money, most of which was looted from the good people of Russia. Part of the reason why there is a problem in Russia is that money has been taken out of Russia and placed here.
ParlaMint-GB_2015-03-23-commons.u179	First, may I thank my right hon. Friend for the valuable work that he has done for his constituents in this House, but also as part of the Government both in Northern Ireland and at the Ministry of Defence? He has played an absolutely crucial role, and he will be missed On the issue of Russian money, we have some of the toughest controls anywhere in the world in terms of money laundering and other such issues. I would make the point that Britain has very much been in the vanguard of arguing for sanctions on Russia and Russian individuals, even though it could be argued that this might in some way disadvantage investment coming into the United Kingdom. We have put the interests of Europe and the interests of the Ukrainian people first.
ParlaMint-GB_2015-03-23-commons.u180	Is the Prime Minister aware that many of us on the Labour Benches who are pro-European want what our allies want, which is a strong Britain in a strong Europe? Yes, we want a reformed Europe—all of us are in favour of reform in Europe—but we are not in favour of weakness and vacillation, which manufacturers and exporters in my constituency say will damage this country over the next three years while we wait for a referendum.
ParlaMint-GB_2015-03-23-commons.u181	The hon. Gentleman says that he is in favour of reform, but I have not heard one single proposal from the Labour party about anything it wants to reform. He is presumably standing on his leader’s ticket, but I do not know whether he has his picture on his leaflets. When I met my Labour opponent in Chipping Norton market square this week, I had a look at his leaflet, and there was not a dicky-bird when it came to the Leader of the Opposition. It could have been from a totally different party. There are plenty of pictures of me. The Leader of the Opposition has said: “I don’t think Brussels has got too much power” That is the official position of the Labour party: it is not for reform, but for the status quo.
ParlaMint-GB_2015-03-23-commons.u182	As the only major party leader to trust the British people with an in/out referendum on EU membership, my right hon. Friend has certainly reassured the patriotic British electorate. Will he now go the whole way by reassuring them that throughout the next Parliament, when he is Prime Minister, Britain will not fall below the NATO recommended minimum of 2% of GDP on defence?
ParlaMint-GB_2015-03-23-commons.u183	I would say to my hon. Friend, who I know cares passionately about this issue, as I do, that we are one of the few countries in Europe to meet 2%. We have met it through this Parliament, and we are meeting it this year and next year. He has very specific guarantees about a full replacement for Trident, a £160 billion equipment programme that will go up in real terms each year and no further reductions in regular personnel in our armed forces. I think those are bankable assurances, which will resonate on the doorsteps as he goes house to house
ParlaMint-GB_2015-03-23-commons.u184	Even at this late stage, I think that the Prime Minister might thank my right hon. Friend the Member for Kirkcaldy and Cowdenbeath (Mr Brown) for keeping us out of the euro. As he knows, the euro has been sinking like a stone in recent weeks and there are terrible stresses inside the eurozone, arising from the rigidities of the euro. Is not the only serious solution to dissolve the euro and recreate national currencies? Is he not in a strong position to say that?
ParlaMint-GB_2015-03-23-commons.u185	I believe strongly in maintaining our national currency, but it is not a realistic option to tell all other countries in Europe which currency they should use. Many of them are hugely enthusiastic about the euro. However misguided I feel that is, arguing that they should all break up their currency is not a viable option. Obviously, being in the euro and not being able to devalue have damaged Greece’s ability to respond to the problems, but we cannot lay all the problems with the Greek economy at the door of the euro. Greece has a long history of not making structural reforms, having ludicrously early retirement ages—[Interruption.]—having problems with its working practices and all the rest of it. The hon. Member for Bolsover (Mr Skinner) asks what is wrong with ludicrously early retirement ages. He has enjoyed making such comments from a sedentary position for many, many years and I am sure that he will do so for many years to come. There is a slight irony there.
ParlaMint-GB_2015-03-23-commons.u186	Did my right hon. Friend have any discussions at the European Council about the jobs miracle in this country, in that there are more people employed here than at any time in our islands’ history? Did he ask members of the European Council to come and see that miracle at first hand in Harlow, where unemployment has halved, youth unemployment is down by nearly 60% and apprenticeships are up by 116%?
ParlaMint-GB_2015-03-23-commons.u187	I am grateful to my hon. Friend for his question. We discussed the employment situation across Europe and I was able to give a very strong report on what is happening in Britain: the 1,000 jobs that are being created every day and the plummeting levels of unemployment and youth unemployment. I said that that is evidence of the combination of long-term structural changes and economic recovery. There are European countries with very high structural rates of unemployment that need to take action to deal with that.
ParlaMint-GB_2015-03-23-commons.u188	My party heartily congratulates David Natzler on his appointment. There could be no one more suitable and appropriate for this role in the House of Commons. On the Tory European referendum, what will happen if the UK votes to leave the European Union, but Scotland votes to remain within it? Should the Scottish people just put up with being yanked out of Europe against their will? Would it not be better if all the siblings in the Prime Minister’s family of nations agreed individually before they were taken out of Europe?
ParlaMint-GB_2015-03-23-commons.u189	What I want to know is, where are the rest of the Scot nats? They are preparing for power and writing Labour’s Budget. They are obviously very busy. What I would say about referendums is that the hon. Gentleman lost the first one and he will lose the next one.
ParlaMint-GB_2015-03-23-commons.u190	You will have noticed, Mr Speaker, that my hon. Friend the Member for Wellingborough (Mr Bone) no longer talks about his wife, but about the excellent Conservative parliamentary candidate in Corby, Thomas Pursglove. I believe that that is because Mrs Bone is going to become a councillor in my constituency and so has been talking to me. She regrets the fact that the Liberal Democrats have not allowed the Government to negotiate formally on a renegotiation in Europe, but she wonders whether the Prime Minister has taken advantage of his meetings on the sidelines of the European Council to talk about our renegotiation with our European partners.
ParlaMint-GB_2015-03-23-commons.u191	I must say, I did not know that those sorts of things happened in Northamptonshire. They are obviously very exciting events. I congratulate Mrs Bone on trying to become a councillor. I am sure that she will make a great contribution, as she did to the film about this place. Of course I have had discussions with our European partners about what Britain wants to see renegotiated and I will continue to do so.
ParlaMint-GB_2015-03-23-commons.u192	The Prime Minister is keen to extol the virtues of a referendum and the benefits of Europe, so will he say whether he would lead the yes camp or the no camp?
ParlaMint-GB_2015-03-23-commons.u193	I have been absolutely clear: I want Britain to stay in a reformed European Union. That is the aim I have and I am confident I will achieve it.
ParlaMint-GB_2015-03-23-commons.u194	Does the Prime Minister agree that this Government’s great progress in turning round the British economy has been achieved despite the eurozone and not because of it?
ParlaMint-GB_2015-03-23-commons.u195	Although my hon. Friend and I do not always see eye to eye on issues European, he is making a strong point. We have not seen much of a boost to the British economy from the eurozone because it has been relatively stagnant. We have had to achieve economic recovery by selling to other parts of the world and getting our own economy moving. If we do see a recovery in the eurozone—which we hope to—that will obviously be very good news for Britain.
ParlaMint-GB_2015-03-23-commons.u196	If we ask a group of lawyers their opinion on whether TTIP would apply to the NHS, we will get as many answers as there are lawyers. The Prime Minister cannot get away with saying that it will not apply, because by opening up the NHS to market tendering and market forces in the way he did with the Health and Social Care Act 2012, he has opened the door to treaties such as TTIP applying to the national health service. That is the problem he needs to protect the NHS against.
ParlaMint-GB_2015-03-23-commons.u197	I am baffled by Labour’s position on this as I thought it was a party that believed in free trade and backing Britain’s exporters. There are so many areas where we are disadvantaged in our trade with America and where we could be creating jobs and growth, but instead Labour Members want to read out a script handed to them by the trade unions to oppose the trade deal. It makes you weep for the time when the Labour party was in favour of progress and trade.
ParlaMint-GB_2015-03-23-commons.u198	At the Council did anyone raise the treatment of journalists? Does my right hon. Friend agree that the witch hunt that has seen several journalists from The Sun, for example, put through three years of hell and cases that juries keep throwing out is un-British, in that the Crown Prosecution Service is seeking to neuter the abilities of journalists to obtain information in the public interest? Should there be a rethink of CPS policies for similar prosecutions, because that reflects across the whole of Europe?
ParlaMint-GB_2015-03-23-commons.u199	That issue was not raised with me or at the press conference. Obviously, the CPS is independent in our country, as it should be, but my hon. Friend is right to say that justice delayed is justice denied and these things should always be resolved as speedily as possible.
ParlaMint-GB_2015-03-23-commons.u200	Many jobs in my constituency depend on continued investment by leading manufacturing companies that also have companies on mainland Europe. Labour Members can say that a Labour Government would give them a categorical reassurance that the UK will remain in the EU. What would the Prime Minister say to those companies if his shilly-shallying over Europe about some sort of referendum were to drive them to invest elsewhere?
ParlaMint-GB_2015-03-23-commons.u201	Interestingly, the conference of the British Chambers of Commerce—probably the biggest business trade body in Britain—supported my approach of a renegotiation and referendum, and did not support the alternative of just meekly going along with whatever the European Union is doing today. Business is on the side of the changes I am putting forward.
ParlaMint-GB_2015-03-23-commons.u202	I am a big fan of the public sector. Does my right hon. Friend agree that Greece teaches us a lesson that we can have a strong public sector only if we have a strong economy?
ParlaMint-GB_2015-03-23-commons.u203	My hon. Friend is absolutely right. If we look at what happened in Greece with the economic difficulties it has had, we see that it had to make sweeping cuts to its national health service because it was in so much economic trouble. That underlines the point that we will make every day from now and for the next 45 days, which is that if we want a strong NHS, schools and policing, we must have a strong economy.
ParlaMint-GB_2015-03-23-commons.u204	In his statement the Prime Minister said that he wanted a European Union where freedom of movement was not an unqualified right. If he does not secure an exemption from freedom of movement by the time of the referendum in 2017, will he be voting no?
ParlaMint-GB_2015-03-23-commons.u205	I am very confident that we will get the changes we need, not least on the operation of our welfare system. Back in European history, there was a time when freedom of movement was about accepting a job that had been offered, rather than simply the freedom to move to look for work. I have been clear, and we will be clear on the doorsteps, including in the hon. Gentleman’s constituency: no unemployment benefit for visiting EU migrants; after six months if someone has no job they have to go home; someone must work for four years before they get in-work benefits; and no sending home of child benefit. Those are things that I suspect each and every one of the hon. Gentleman’s constituents wants put in place.
ParlaMint-GB_2015-03-23-commons.u206	With regard to the Iranian nuclear deal, may I urge great caution on the part of the Prime Minister and, indeed, other members of Europe? The road between a civil nuclear energy Iran and a military nuclear Iran is a very short one. Contrary to what at least one of my right hon. Friend’s constituents has said, it would be better for the middle east to have no deal than a bad deal.
ParlaMint-GB_2015-03-23-commons.u207	I absolutely understand and share the concerns that people right across the world, including in Israel, have about the prospect of a nuclear-armed Iran. The deal should keep Iran away from having a nuclear weapon, with proper inspection and verification so that if there were any changes to those circumstances, they could be seen. Obviously, we should not do a deal at any price, but the alternatives to doing a deal are not attractive. Frankly, they are not attractive for Iran. The sanctions we put in place—Britain led the charge in Europe—have done such damage in Iran that it is in its interests to conclude a deal.
ParlaMint-GB_2015-03-23-commons.u208	Earlier this month, I met a group of talented young people at John Fisher and Thomas More Roman Catholic high school in Colne, who, through CAFOD, are helping to raise the profile of climate change. They have all made their own climate change pledges, which they presented to me. Will the Prime Minister say more about his discussions on energy policy and the prospects of our reaching a long-term agreement in Paris this December?
ParlaMint-GB_2015-03-23-commons.u209	I am very grateful to my hon. Friend for that question. I think the prospects are good, because of the deal Britain helped to broker at the previous EU Council. It shows that the European Union will be making a very serious contribution to reducing carbon emissions. We obviously had to allow some countries, such as Poland, some flexibility, but the overall numbers for Europe are impressive. Now what we need to do, with the movement by the Americans and the Chinese, is discuss the matter with all the countries which might, if we are not careful, put a spoke in the wheel of progress, so that, with others, we will help to ensure that the sort of mitigation that they will need in their countries goes ahead.
ParlaMint-GB_2015-03-23-commons.u210	In his statement, the Prime Minister spoke about opportunity. Does my right hon. Friend agree that people will have an opportunity to reform the EU and have an in/out referendum on this country’s membership of the EU only by voting Conservative, and that voting for any other party will kill that opportunity?
ParlaMint-GB_2015-03-23-commons.u211	My hon. Friend is right. Voting for another party is really opening the back door to a Labour Government, who would not renegotiate or have a referendum. It would just lead to a sigh of relief in the corridors of Brussels that none of those changes was necessary. If people are serious about wanting reform and a referendum, there is only one box they can put their cross in.
ParlaMint-GB_2015-03-23-commons.u212	On foreign policy, did the European Council look at the coup in Yemen against the legitimate Government of President Hadi? Taking into account the words of the Yemeni Foreign Minister in today asking for Gulf Co-operation Council countries to send in their forces to avoid civil war, the Saudis have asked their ambassador to operate from Aden to show support for the legitimate Government. Will we be doing the same?
ParlaMint-GB_2015-03-23-commons.u213	We did not discuss Yemen specifically at the Council because we were very focused on Tunisia, Libya, Ukraine, energy union and the eurozone crisis, but my hon. Friend is absolutely right that what is happening in Yemen is deeply worrying. It is extremely unstable. We still, obviously, support and believe that President Hadi is the legitimate power. Frankly, what is needed in that country is what is needed in so many other troubled countries in the middle east, which is inclusive government that includes representatives of all the people of that country, so there can be some sort of progress.
ParlaMint-GB_2015-03-23-commons.u214	Despite yet another eurozone crisis, the UK economy continues to grow strongly, creating more jobs than the rest of Europe added together. Does the Prime Minister agree that it would have been a huge error of judgment, especially by someone who aspired to be Prime Minister, to have backed Francois Hollande’s failed socialist policies when he should have been backing our long-term economic plan?
ParlaMint-GB_2015-03-23-commons.u215	We all remember what the Leader of the Opposition said. He stood on the steps of the Élysée and said he wanted Britain to follow the French course. If we had done that, unemployment would be twice as high as it is and growth would be one seventh of what we have achieved, so I am sure that when it comes to the choice at the election, people will recognise that we should follow not the French course but the British course, which means voting Conservative.
ParlaMint-GB_2015-03-23-commons.u216	Before I call the Minister for the Cabinet Office and Paymaster General to make his statement to the House, it might be helpful to colleagues to know that the final day’s debate on the Budget is very heavily subscribed, with no fewer than 38 colleagues seeking to catch the eye of the Chair. As a consequence, it will be important to be very pithy in the statement now, both from the Back Benches and the Front Bench. We will then proceed with the main business of the day
ParlaMint-GB_2015-03-23-commons.u217	With permission, I would like to make a statement on Government savings from efficiency and reform Since May 2010, my Department has led a cross-Government programme, working closely with the Treasury, to ensure that taxpayers’ money is focused on front-line services. With rising public expectations for high-quality services, coupled with the huge budget deficit we inherited in 2010, the coalition faced a huge challenge to do more—and better—for less. Over this Parliament, we have secured unprecedented levels of savings, delivering for successive years £3.75 billion, £5.5 billion, and £10 billion, compared with spending in Labour’s last year. For 2013-14, we saved £14.3 billion, against a 2009-10 baseline That is testament to the hard work of civil servants across Whitehall and the strong support of my right hon. Friends the Chancellor and the Chief Secretary and other Treasury colleagues. Last July, the Comptroller and Auditor General recognised the pace and priority we had injected into the efficiency agenda. We started this with the introduction of tight spending controls just days after we entered government, and these controls have delivered the largest share of savings. Since 2010, we have negotiated billions of pounds off expensive legacy contracts and cut central Government spending on consultants and interim workers by over half. Like for like, the civil service is 21% smaller. I publish today our annual “State of the Estate” report, which shows that we have exited in aggregate more than one building every day since May 2010, reducing the total size of our estate by 20% As part of our long-term economic plan, our aim was to save £20 billion from central Government efficiency and reform for the last year of this Parliament, including by reducing losses to the public purse through fraud, error and uncollected debt. I can tell the House that we are on course to meet and indeed exceed this target. Up to January 2015, we have already identified £11 billion of efficiency and reform savings—over a third up on the same point last year—with the largest savings coming in the final quarter every year so far. With fraud, error and debt benefits still to be counted, we are well on the way to the £20 billion target. The full year’s savings will need to be confirmed by independent audit, and, as in previous years, we will invite the National Audit Office to undertake this We have made significant progress in transforming government and cutting costs, but this is only the beginning. At the autumn statement, we published, with the Treasury, a document entitled “Efficiency and reform in the next Parliament”, which set out our intention to save a further £10 billion for 2017-18 and £15 billion to £20 billion for 2019-20 compared with the current year. We now set out our next steps. We will implement a new approach to land and property, based on central ownership and management of assets and Departments paying market-level rents. This will provide greater incentives for Departments to rationalise space, as well as releasing land and property for productive use—for example, for up to 150,000 homes. To do this successfully will mean working even more closely with local government, including through our One Public Estate programme, which now operates across 32 local authorities The UK is now a world leader in digital government, and we will work with local government to take this transformative approach into the wider public sector. Digital services improve the citizen experience, while being significantly cheaper to provide. We will continue to reduce the cost of technology in government, as extravagantly expensive legacy IT contracts fall in over the coming years. To that end, I have signed an innovative deal to create a joint venture for data hosting that will save up to £100 million All of this work has been driven by an increasingly strong corporate centre, supporting and challenging Departments to work together to maximise efficiencies and improve services. We are strengthening central leadership across 10 key cross- departmental functions, including commercial, digital and technology, project management, legal and human resources. Later this week, we will publish our functional leadership model The chief executive of the civil service will lead the build-out of this strengthened model, under which the Treasury and the Cabinet Office will work together as the corporate centre to support Departments to continue their programme of reform and to deliver future spending consolidations. Spending controls will remain in place and evolve in time to strong functional standards, while Departments will need to own more of the transformation agenda. As part of this, we are recruiting 25 commercial directors across government and launching a new project leadership programme at Cranfield university. This programme will help to build project management skills in parallel to our successful major projects leadership academy I am grateful for the collaborative way in which the shadow Cabinet Office Minister has approached this important programme, which continues that of her predecessor, the hon. Member for Barnsley East (Michael Dugher), and also for the support of the Chair of the Public Accounts Committee and its members, who have seen the point of what we are seeking to do and given significant support to it We have made substantial and long-overdue improvements to the way government operates, but much more lies ahead. We have shown that we can drive down the cost of government while improving the quality of services. We have shown that we can get more and better for less, and that we have a long-term plan to deliver it. I commend the statement to the House.
ParlaMint-GB_2015-03-23-commons.u218	I thank the right hon. Gentleman for advance sight of his statement. His statement today has a little bit more content than his empty statement of two weeks ago, but only a little bit more. One has to wonder again why it is that I keep being called to this House for his statements. Is it perhaps because he wants to continue his very long career of public office in the other place after May and is using Hansard to scrub up his CV? Or is it, more seriously, to distract me and this place from the disarray that is now besetting the Conservative party’s election campaign? Perhaps his and his colleagues’ time would have been better spent today deploring the despicable actions of the Tory candidate for Dudley North or by explaining to the public where the axe will fall, following last week’s confirmation of the Chancellor’s extreme spending cuts in the next Parliament The Minister has carried out his job in government of identifying efficiency savings with zeal and his work to reduce the cost of government bureaucracy is welcome. While I might disagree with him on occasion, I do not question his motives to reduce costs. I also commend the civil service for its work on the shared agenda The Minister for the Cabinet Office thanked the Chancellor for his support on this agenda, but I have to say to the right hon. Gentleman that it really should be the other way around. It is clear from the Office for Budget Responsibility and the Institute for Fiscal Studies that after the Chancellor’s Budget last week, unprotected Departments will face huge and colossal cuts to meet his spending plans and unfunded tax cuts. With all due respect to the Minister, no amount of back-office efficiencies will save front-line police, armed forces or social care services, or working families from the Government’s secret VAT plans. Only so much can be got from efficiency savings and even with his savings in this Parliament, the Government are still only halfway to their own deficit reduction targets. That is why, even with his savings, public services would face even bigger cuts in the next Parliament than they have in this one. Opposition Members have a better plan. We will balance the books in a fair way, ensuring a recovery for the many, not just for the privileged few We broadly support the approach to land and property that the Minister has outlined. On digital government, I am pleased to see that he has been reading our independent review on this topic. Just weeks ago, he was saying that the Government Digital Service could not work with councils to improve services and save money. Now he is championing this, and I welcome his conversion today. We agree that stronger functional skills in the civil service are important, and we will examine in detail the Minister’s plans for new commercial directors and a new project leadership programme Any new Government will have to think about how we can provide better and more responsive public services with less, but with just a few weeks to go, the country faces a clear choice at the election. No amount of spinning on efficiency savings will hide the Tories’ true agenda of cutting front-line public services and hitting families with a rise in VAT.
ParlaMint-GB_2015-03-23-commons.u219	I am very sorry that the hon. Lady has been so mean-minded about this. She has cast some unworthy aspersions on the reasons for my statement. The historic purpose of the House is to vote Supply and scrutinise the way in which Governments spend their money. I am astonished that, when I come to the House to explain how this Government have delivered savings running into tens of billions of pounds, and have protected front-line services by taking out the cost of government, the hon. Lady should trivialise something that is at the core of the historic mission of the House of Commons. She has done no honour to her position The hon. Lady should reflect on the fact that the Office for National Statistics, which began its series on public sector productivity in 1997, has shown that during the years of the Labour Government, up to 2010, productivity in that sector remained flat, while productivity in the nearest analogue, the private services sector, rose by nearly 30%. She should reflect on the difference that could have been made to the deficit of historic proportions that her party bequeathed to the coalition The hon. Lady talked about the future, and about the contribution that could be made by what she described as back-office efficiencies. We are talking about much more than back-office efficiencies; we are talking about the introduction of very different and improved ways of delivering public services. That can be done, and we have shown that it can be done. The public’s expectations in terms of the quality of public services are, properly, rising; the demand in terms of the quantity of public services is also rising as people—happily—live longer; and the amount of money that is available to support those public services is less, thanks to the deficit that we inherited We therefore must do more, and do it better, with less money. We have shown over the last five years that that can be done, and we have also shown that it needs to be done again. There should never be an end to efficiencies. The most efficient organisations in the world always look for further efficiency savings every year, and that is what this Government, under a Conservative leadership, will do in the next Parliament.
ParlaMint-GB_2015-03-23-commons.u220	Why has the rigorous challenge that the coalition Government have had to make to the way in which money is spent in many Departments not been applied to the criminal justice system? Having a larger prison population than nearly all the other European countries is not necessarily the most cost-effective way of keeping people safe. Will the Minister look at the American states that are trying to reverse that trend in order to spend the taxpayer’s dollar in the way that is most likely to keep the taxpayer safe?
ParlaMint-GB_2015-03-23-commons.u221	Let me say to my right hon. Friend, as we both enter our last week in the House of Commons, that, as he knows, the reason our prison population is so large is the rate of reoffending. I know that he will support, as I do, the rehabilitation revolution, led by our right hon. Friend the Lord Chancellor, which is committed to a radical reduction in the rate of reoffending that is the sole reason why our prison population is so much higher than those of comparable countries.
ParlaMint-GB_2015-03-23-commons.u222	The Treasury’s problems are, above all, about income, not expenditure. There is a gap of £120 billion a year between the tax that should be paid and the tax that is actually paid. However, the Government have presided over tens of thousands of job cuts in Her Majesty’s Revenue and Customs, where senior staff collect 20 times their own salaries and junior staff 10 times theirs. Are the Government not shooting themselves in the foot?
ParlaMint-GB_2015-03-23-commons.u223	The hon. Gentleman is completely mistaken if he believes that there is a direct linear relationship between the number of HMRC officials and the amount of tax that is being collected. There is absolutely no evidence of that. The size of HMRC, in terms of headcount, was falling before the 2010 election, and the amount of tax being collected has risen. We can do things differently and we can do things better—we have already shown that that is the case—but if the hon. Gentleman thinks that the only problem with the public finances is that we are not taxing enough and not raising enough taxes, I am afraid that he and I differ. I think that we must cut our costs first, which is what we are doing and will continue to do.
ParlaMint-GB_2015-03-23-commons.u224	May I congratulate my right hon. Friend and parliamentary neighbour, who has done a superb job in driving these savings and thereby ensuring front-line services can be protected? He has done a fine job behind the scenes and will be much missed from this place, but I hope he will be able to continue in some way in this important public service. Does he agree that the key part of his statement was that these savings have been achieved as a result of a strong corporate centre—a central drive for efficiency—and is it not the case that that centre will have to be strengthened further if significant additional savings are to be achieved?
ParlaMint-GB_2015-03-23-commons.u225	I am grateful for my right hon. Friend’s kind comments, and I also hugely appreciate what he and the right hon. Member for Wentworth and Dearne (John Healey) have done in leading the work of GovernUp, which has made the case very powerfully, as indeed has the Public Accounts Committee, for a strong corporate centre in Government that can drive these sorts of changes. When we examined this, we found that, in almost all cross-government functions, the historical position of the British Government is to have an extraordinarily weak centre. That is part of the reason why it has been proved in the past to be so difficult to drive these sorts of efficiency savings, but we are changing that.
ParlaMint-GB_2015-03-23-commons.u226	This was a swansong statement, if I may say so, which largely looked backwards rather than forwards. Nevertheless, what the Minister has announced today about stronger central leadership within Whitehall, clearer professional standards right across the Departments and more power to the elbow of the new chief executive of the civil service are welcome on all sides. The right hon. Gentleman over five years has made something of a start in ensuring we get better and more for less, but his statement this afternoon is clearly passing the baton for the next five years to this side of the House and my hon. Friend the Member for Manchester Central (Lucy Powell) on our Front Bench.
ParlaMint-GB_2015-03-23-commons.u227	I agree with every part of what the right hon. Gentleman says except the last part, but I am grateful for what he says and the work he has done on this issue. He is a very experienced former Minister himself and he has seen very vividly how we can do these things better. We have made a start but there is much, much more to be done.
ParlaMint-GB_2015-03-23-commons.u228	As my right hon. Friend has stated, public sector productivity flatlined between 1997 and 2010, but what assessment has he made of improvements in civil service productivity since 2010?
ParlaMint-GB_2015-03-23-commons.u229	Productivity has improved dramatically. Like for like, the civil service is 21% smaller, yet I do not think anyone would say the civil service is doing less. It is not; if anything, in some places it is doing more. Productivity has markedly improved and I pay a very warm and genuine tribute to those hundreds of thousands of civil servants who do a fantastic job, often in very difficult circumstances. All of us in this House should be warm in our tribute to them.
ParlaMint-GB_2015-03-23-commons.u230	I agree with what the Minister has said about extending digitisation in government, but what is he doing to ensure millions of people are not excluded from the process of digitisation?
ParlaMint-GB_2015-03-23-commons.u231	That is a very good point. When the now Baroness Lane-Fox reported to me at the very beginning of this Parliament when she introduced the concept, which we warmly adopted, of digital by default—if a service can be delivered online, it should be delivered only online—she made the point, which again we strongly supported, that there must always be an assisted digital option, which ideally can be used to help people who are currently digitally excluded to become full participants in the online world, so, for example, older people can more easily communicate with distant family members. There is a big programme here that we are strongly promoting.
ParlaMint-GB_2015-03-23-commons.u232	I am so pleased to hear that we are protecting public services while cutting down the cost of government, but does my right hon. Friend share my concern that we have been prevented from delivering one of the bigger cuts—namely, cutting the number of Members of Parliament by delivering our proposed boundary changes? Does he agree that although the Opposition refer to fairer cuts, they give no indication of what those cuts would be, and that the public therefore cannot trust anything they have to say?
ParlaMint-GB_2015-03-23-commons.u233	Aneurin Bevan once said: “Why look into the crystal ball when you can read the book?” The last Government did nothing to drive the sort of efficiency savings that we have achieved, so when it comes to making cuts in public spending, we can only fear that they would cut the services, whereas we are cutting the costs, which is the better way to go.
ParlaMint-GB_2015-03-23-commons.u234	Why has there been no reform of the continuing parliamentary scandals of cash for access to politicians and cash to buy peerages? Why has there been no brake on the revolving door that allows retiring Ministers to prostitute their insider knowledge to the highest bidder, and why are there no controls over lobbyists who are still free to buy influence and privilege in this House? Is not the Minister ashamed that, after his Government have been in office for five years, the reputation of politics remains firmly in the gutter?
ParlaMint-GB_2015-03-23-commons.u235	I cannot imagine a greater contribution to that reputation than the hon. Gentleman going on about it all the time. As he above all people ought to know, most people come into this particular form of public service, known as politics, for high reasons and with high motivation, and they do their job in an honourable way. He might just occasionally shrug off that carapace of cynicism and give due credit to the public servants in this House as well as to those outside it.
ParlaMint-GB_2015-03-23-commons.u236	My right hon. Friend can leave the House knowing that he has done an outstanding job in reforming our public services, and it would have been nice to hear a little more humble pie from the hon. Member for Manchester Central (Lucy Powell). On the question of getting better digital coverage across our country, does he agree that the public estate should be made more available for things such as mobile phone masts if we are to have a 21st-century digital economy? What more can be done to encourage the public sector estate to make up for the absence of support from the private sector estate in getting greater digital coverage?
ParlaMint-GB_2015-03-23-commons.u237	My hon. Friend makes a really good point, and there is much more that we can do. For example, we will make available public sector Government-owned land and buildings for the siting of mobile phone masts, which will be beneficial in lots of ways. It will provide locations for the masts as well as income for the Government. We have now also published the second iteration of our map of the publicly funded digital infrastructure. This includes the many thousands of miles of fibre that have been paid for by the taxpayer but which are massively underused and under-exploited. If that network can be mobilised to support the roll-out of mobile coverage and rural broadband, it could accelerate the programme to which my hon. Friend and I are both deeply committed.
ParlaMint-GB_2015-03-23-commons.u238	It is three years to the day since the Minister took up my invitation to visit Ark Data Centres in Corsham with me, and I am delighted to hear that the taxpayer stands to benefit to the tune of £100 million from the Crown hosting joint venture with the company. Does he agree, however, that the benefits of digital services extend much further than that, in that they allow a total redesign of the processes that underpin our public services?
ParlaMint-GB_2015-03-23-commons.u239	My hon. Friend is completely right. The digitisation of services is sometimes seen as just a pretty front end on a website, but this goes much deeper. It is about a fundamental redesign of the way in which services are delivered, with the processes being designed and built around the needs of the citizen instead of around the convenience of the Government, which has far too often been the case in the past.
ParlaMint-GB_2015-03-23-commons.u240	As this is probably my right hon. Friend’s last statement in the House, may I thank him for the numerous visits he has made to Pendle over the past few years and for recently meeting Training 2000 in the Cabinet Office to discuss its plans to set up a cyber-security institute in my constituency? Will he say more about public service mutuals, the increase in their number under this Government and how they can benefit productivity?
ParlaMint-GB_2015-03-23-commons.u241	I am grateful to my hon. Friend. The public service mutuals programme is important. There are now more than 100 of them, whereas there were fewer than 10 when the coalition Government were formed. More than 35,000 members of staff have joined public service mutuals, which are delivering public services to the value of more than £1.5 billion. Most of them choose to be not-for-profit, and have seen an extraordinary improvement in productivity by bringing together: entrepreneurial leadership, of which there is much more in the public sector than is generally thought; staff who are liberated from bureaucratic constraints; hard-edged commercial discipline; and the public service ethos. Those four factors, brought together, are an extraordinarily powerful driver of improved productivity and value.
ParlaMint-GB_2015-03-23-commons.u242	In my right hon. Friend’s swansong—I commend him for it and for his five years’ work, saving money for the public purse—I wonder whether I might pick up on one specific issue of government efficiency reform, which is the trade unions training fund. It was set up a dozen or so years ago by the previous Government; some £10 million to £12 million was given to trade unions’ training and, lo and behold, £12 million came back as a bung to the Labour party. Will he update the House on what has happened to that?
