ParlaMint-GB_2015-02-11-commons.u1	1. What recent representations he has received on religious organisations and charitable status.
ParlaMint-GB_2015-02-11-commons.u151	I agree with the hon. Lady’s argument. Just as poor care has been identified in hospitals, so we have seen terrible examples of things happening in residential care and of inadequate domiciliary care. It is more complex, because the delivery of social care is more diffuse, but one way to deal with this is through the proper integration of health and social care and the proper assessment of quality based on the entire package of care that people receive, not just in individual institutions but across the board. We are doing a lot of work on that.
ParlaMint-GB_2015-02-11-commons.u152	Like others, I welcome the report, but may I urge my right hon. Friend to reconsider the issue of safe staffing levels on acute hospital wards? I know that Robert Francis pointed to issues of culture and standards, but those are areas of interpretation and disputation. If we had the measuring stick of safe standards, particularly where a ward has less than one registered nurse to seven acutely ill patients—the level recommended by the Safe Staffing Alliance—whistleblowers would be able to point to a clear failing and service risk, which is especially important if the Secretary of State is worried about avoidable hospital deaths.
ParlaMint-GB_2015-02-11-commons.u153	The hon. Gentleman makes an important point, but I hope I can reassure him, because NICE has published guidelines on safe staffing levels, although they are different for different parts of a hospital: in intensive care, it is 1:1; for less severe illnesses, it is one nurse to eight patients; and in other parts of a hospital, it is one nurse to four patients. Those are all published, and I hope they will help whistleblowers in Cornwall and elsewhere.
ParlaMint-GB_2015-02-11-commons.u154	What support will the Secretary of State give to trusts to ensure that safe staffing levels are implemented, given that they might need extra resources?
ParlaMint-GB_2015-02-11-commons.u155	We have protected—indeed increased—the NHS budget in real terms at the time of the biggest financial crisis since the second world war, so I think the Government have done what they can to make resources available. However, improving care is not always about money, and some hospitals manage to staff their wards safely and achieve financial balance. In fact, hospitals that practise safe care tend to be in a better financial position than ones that do not, so safe care and good finances actually go together.
ParlaMint-GB_2015-02-11-commons.u156	I commend my right hon. Friend for his statement and thank Sir Robert Francis for his excellent report, which, as the Secretary of State knows, goes to the heart of the Public Administration Committee’s inquiry into clinical incident investigation. It comes as no surprise that we still have severe problems in the NHS. Perhaps the “freedom to speak up” guardian role needs to provide complete legal protection for people speaking up, immunity from freedom of information requests so that the information and the names cannot be exposed maliciously, and the capacity to investigate what is reported to them on a completely independent basis. We look forward to his giving evidence to our Committee.
ParlaMint-GB_2015-02-11-commons.u157	I thank my hon. Friend for his interest in the issue of culture change, including at his local hospital, which I visited last week and where I was pleased to see a change in culture happening, despite some very severe problems. It is excellent that PASC is doing this inquiry, and his suggestions sound very worth while. We will consider them as part of our consultation—in fact I would encourage his Committee to submit them formally, to ensure that we give meaning to these “freedom to speak up” guardians.
ParlaMint-GB_2015-02-11-commons.u158	I welcome the report by Sir Robert Francis and the Secretary of State’s commitment to changing the culture around the protection of whistleblowers—the Health Committee recently published a report making specific recommendations about such protections. May I draw the Secretary of State’s attention to the actions of the General Medical Council, which wrote to the employer of a whistleblower who gave evidence to the Committee after he had expressly stated that he was acting in a personal capacity in raising questions and providing evidence of financial inducements being paid by private health care companies to secure referrals?
ParlaMint-GB_2015-02-11-commons.u159	I am happy to look into that case carefully, if the hon. Gentleman will supply me with the details.
ParlaMint-GB_2015-02-11-commons.u160	rose—
ParlaMint-GB_2015-02-11-commons.u161	In calling the hon. Gentleman, I congratulate him on his wedding. We wish him a long and happy marriage.
ParlaMint-GB_2015-02-11-commons.u162	Thank you, Mr Speaker A good friend of mine, a consultant cardiologist, had his career ended and his life completely disrupted after he blew the whistle on the unnecessary deaths of patients at a hospital he worked at. It has taken him more than 12 years to win his case at a tribunal, and he still awaits compensation. These cases often manifest themselves in employment disputes, with trumped-up charges brought against the individual. What can the Secretary of State do to ensure that such things never happen again?
ParlaMint-GB_2015-02-11-commons.u163	I add my congratulations to my hon. Friend, who makes an important point. The heart of the problem of whistleblowing is the confusion between employment law and patient safety. We need to divorce those two things and put in place a proper procedure to ensure that the right thing happens if someone raises a concern about patient care, and that it can be externally investigated to ensure that the trust did the right thing. Issues of employment law and someone’s professional behaviour should be pursued on a completely different track—those things are rightly and properly a matter for the courts. It is precisely because of the kind of issue he talks about that people are afraid to speak out. They worry that if they do, even if they win at an employment tribunal, they might never get a job again. For that reason, we welcome the shadow Secretary of State’s commitment to work with us and put on the statute regulation-making powers making it illegal for NHS organisations to discriminate against former whistleblowers.
ParlaMint-GB_2015-02-11-commons.u164	The Secretary of State and I spoke last week about the importance of the upcoming Kirkup report. Grieving families in my constituency want to be able to move on from the tragedies they have suffered and see proper change in the culture at Morecambe Bay. What happened was not right and is still under criminal investigation. Will the improvements the right hon. Gentleman has announced today be in place when the report is published, and does he agree that the response to it must be neither whitewash nor witch hunt? If he does, how can he help make it happen?
ParlaMint-GB_2015-02-11-commons.u165	I thank the hon. Gentleman for the close interest he has shown in this issue and the constructive way in which he has engaged with families locally to try to get to the bottom of a really terrible tragedy. He puts it better than I could. We need to implement the recommendations in a tangible and real way so that something actually changes, but we do not want to do it in a way that has unintended consequences. That is why the focus of what Sir Robert is saying this time is not about new criminal sanctions. Although the law has a role—we changed the law on wilful neglect, for example—this is about creating a supportive culture through which people want to listen and learn when others speak out. Of course, if people do not, there should be sanctions, but that should not be the primary motivator.
ParlaMint-GB_2015-02-11-commons.u166	I was pleased to be with the Secretary of State last Thursday when he visited Colchester general hospital—one of 19 in special measures—and I am sure he will want to join me in praising the hard-working medical and support staff for all they are doing. He referred in his statement to the “entire NHS” being “committed to patient-centred culture change”, and observed that no one takes responsibility for a vulnerable patient so that the buck gets passed. I suggest that Sir Robert Francis would do well to look at the silo mentality—the reality rather than the rhetoric—in the case of the Haven Project in Colchester, to which the hon. Member for Harwich and North Essex (Mr Jenkin) and I have drawn attention. That is a classic case where the reality does not match the rhetoric.
ParlaMint-GB_2015-02-11-commons.u167	Yes, and I remember the conversation I had with the hon. Gentleman about that issue. I will look into the case carefully. I am not saying that the NHS culture is changing today, because I think it is a very long journey. That is why it is important to have cross-party agreement. This is something that will take decades to happen. If we look at the best hospitals in the world, in England or abroad, we find that they get their culture right over decades. We must understand that. Breaking down those silos, putting patients first and making sure that that is not compromised, whatever the external pressures—that is the heart of the matter.
ParlaMint-GB_2015-02-11-commons.u168	When Pauline Lewin, a whistleblower, came forward in Hull to raise concerns about the then chief executive, Phil Morley, she found herself subject to hostility and bullying and has not been able to return to work—despite corroboration from a damning Care Quality Commission report, an ACAS report that established bullying and an independent KPMG report on financial irregularities. Meanwhile, the chief executive has moved on to another such post, earning £170,000 a year. I listened carefully to what the Secretary of State said—that he was “calling time on bullying…and victimisation” in the NHS—so will he reassure me that that will apply to this case, which his Department is currently investigating?
ParlaMint-GB_2015-02-11-commons.u169	I remember the good meeting I had with the hon. Lady and the former Secretary of State about that issue, which we are looking into. I hope she will understand that it would not be right for me to comment on that individual case, but let me say that it seems to exemplify exactly how things have gone wrong. That is why we need to look into it very carefully. We need to create a culture through which the management actually want to listen to their staff. I do not want managers to do so because of something I say; I want them to feel that they want it happen. It is as much about making sure that organisational priorities are correctly set from the centre, as it is about changing the law.
ParlaMint-GB_2015-02-11-commons.u170	Culture change is a big tanker to turn, and senior managers under pressure from targets and headlines need significant sanctions and incentives to reveal rather than smother or downplay difficult truths. Doctors have the General Medical Council, although it needs improvement, but managers have no regulatory body to make them accountable. Will the Secretary of State consider doing something about that?
ParlaMint-GB_2015-02-11-commons.u171	I thank my hon. Friend, whom I know has thought extremely hard about this issue. Indeed, we talked yesterday about getting the fit and proper persons test to work properly. It is still in the early stages, so it is difficult to assess whether it is having the impact we want. We certainly hope it will have some impact. There is an unfairness about the fact that a clinician as a chief executive of a hospital is accountable to the GMC as a doctor, whereas a chief executive who is not a doctor is not accountable. We actually want more doctors to become chief executives. On the whole, they do a really good job, and we should give further consideration to that.
ParlaMint-GB_2015-02-11-commons.u172	It will take a great deal to change the culture. I have spoken to a senior hospital manager who would like to express his concern about the lack of qualified nurses, forcing him to advertise posts abroad. I have spoken to two A and E nurses who are concerned about the critical situations occurring at their unit every day. One of them has become an agency nurse so she can limit the number of hours she is forced to work. Then there is an ambulance worker who is concerned about the 12-hour shift and the lack of time he is given to clean his ambulance between dealing with patients. They would all like to come forward to express their concerns, but they do not feel that anyone above them would listen. What can the Secretary of State say today to reassure those people?
ParlaMint-GB_2015-02-11-commons.u173	I can say that we are consulting on making a big change that would mean they would have someone independent in their organisations to whom they could talk and raise their concerns. They could say, “I want to say this, but no one is listening to me”. That is what Sir Robert Francis calls “freedom to speak up” guardians, whom he wants in every organisation. It is what Helene Donnelly is championing in her work. That is the way forward to address those concerns.
ParlaMint-GB_2015-02-11-commons.u174	East Lancashire Hospitals NHS Trust was placed in special measures, following the Keogh review, in July 2013, and it successfully exited that regime in July 2014. The trust has employed an additional 201 nurses and nursing support staff and 26 more doctors since June 2013, taking the total increase since May 2010 to 391 additional nurses and 40 additional doctors. In January 2014, the Royal College of Midwives named the maternity services unit the maternity service of the year. Will my right hon. Friend join me in paying tribute to the dedicated staff at East Lancashire hospitals for working with the new tougher regime and turning my local hospital trust around?
ParlaMint-GB_2015-02-11-commons.u175	I absolutely will. This is a great example, and I would like to thank my hon. Friend for the interest he has shown in this issue. For one hospital to have 390 more nurses over four years is remarkable. It may interest my hon. Friend to know that those numbers do not include agency staff, so if the hospitals have any such staff, they will be counted on top of those figures. This is a dramatic turnaround for the quality of patient care, which we all welcome. That just shows that if we get the incentives right from the centre, trusts do want to do the right thing. We did not instruct the trust to employ a single extra nurse; rather, we set up a new inspection regime and special measures regime, and what my hon. Friend said shows it has worked.
ParlaMint-GB_2015-02-11-commons.u176	I, too, welcome the report. In his statement, the Secretary of State committed to the view that the new measures are not about “naming and shaming”. Does he therefore agree with the Prime Minister, who said: “Francis does not blame any specific policy. He does not blame the last Secretary of State for Health. And he says we should not seek scapegoats”?
ParlaMint-GB_2015-02-11-commons.u177	I do not think we should seek scapegoats, but I do think we need to understand where policies have inadvertently led to the wrong outcomes. Sir Robert talks clearly about the dangers of an excessive focus on targets, which is one of the things that have driven the wrong culture. On that, I hope to get cross-party agreement.
ParlaMint-GB_2015-02-11-commons.u178	As my right hon. Friend will be aware, one reason why Basildon hospital came out of special measures so quickly is that under the new chief executive, openness and transparency are is encouraged at every level. Does he therefore agree that it should be incumbent on all of us to be open, transparent and honest? Why does he think the Opposition are tweeting that the numbers of doctors and nurses at Basildon hospital are down, when I have just checked with the chief executive and found that the reality is that the numbers are up?
ParlaMint-GB_2015-02-11-commons.u179	It is very important that everyone uses the right figures. What has happened at Basildon hospital is an inspiration to other trusts in special measures. In just a few months, it moved from being in special measures to being rated “good” by the CQC. The trust has an inspiring new chief executive, Clare Panniker, who really does listen to staff. I have been there and been told by staff how they feel that they are being listened to. We all have an obligation to make sure that the right information goes out to local communities, so that they understand where things really are getting better.
ParlaMint-GB_2015-02-11-commons.u180	Most, if not all, hospitals are very concerned about next year’s proposed 3.8% efficiency saving. They fear that it will have an impact on access to and quality of services, and hence on patient safety. In the spirit of the openness and transparency that we now want to see, may I ask whether the Secretary of State was aware of those concerns, and whether, if he was not, he will find out why?
ParlaMint-GB_2015-02-11-commons.u181	I am glad to note that this is rapidly becoming one of the most open and transparent exchanges of questions and answers we have had in the Chamber. I am, of course, aware of trusts which say that they will find it difficult to meet stretching efficiency targets, but I would say to them that if they look at some of the safest hospitals in the world—such as Salford Royal in England and Virginia Mason in Seattle—they will find that they have the lowest costs. It is not a choice between cost and safety; better safety leads to lower cost.
ParlaMint-GB_2015-02-11-commons.u182	Will my right hon. Friend join me in welcoming the progress that has been made at George Eliot hospital since the Keogh review? The employment of 91 extra doctors and nurses has certainly helped, but does he agree that we cannot be complacent and must continue to root out bad practice wherever it exists, in a very open and transparent fashion?
ParlaMint-GB_2015-02-11-commons.u183	Absolutely. I have visited George Eliot hospital, and observed a few beds in the A and E department. One of the most inspiring things about it is that it came out of special measures by developing a strong link with University Hospitals Birmingham NHS Foundation Trust—under the leadership of Dame Julie Moore—which enabled it to learn very quickly what changes were needed. The “buddying” of trusts in difficulty with high-performing trusts is one of the measures that have worked the best.
ParlaMint-GB_2015-02-11-commons.u184	I am pleased that the report mentions support for the right of NHS workers to speak up. When I was a Unite workplace rep in the NHS, I spent much of my time giving support and advice to workers who asked about blowing the whistle on malpractice. Does the Secretary of State recognise the vital advisory and supportive role provided by trade unions in the NHS, and will the Government cease their attacks on trade union facility time?
ParlaMint-GB_2015-02-11-commons.u185	I agree that unions have an important role, but this should not have to be about unions. Regardless of whether a hospital has unions, people should be able to contact someone independent if they feel that their concerns about poor care are not being listened to, and that person should be enthusiastic about listening to what they say.
ParlaMint-GB_2015-02-11-commons.u186	This morning I was contacted about a patient at Basildon hospital who was suffering from Parkinson’s disease and who, on asking for assistance to go to the toilet, was told by nurses that they were too busy, so he had to use his pad. He was left in some distress, and suffering from nappy rash. Does my right hon. Friend agree that, when we are developing a patient-centred culture in the NHS, such behaviour should not be tolerated?
ParlaMint-GB_2015-02-11-commons.u187	I do agree, and I have had many discussions with my hon. Friend about how local health care services can be improved. It shows real courage to raise a concern about patient care at one’s own local hospital. Basildon is a fantastic hospital—it is very well run, and it has really turned a corner—but that does not mean it is perfect, as I am sure its chief executive would be the first to accept. It is possible to have a sensible debate about improving care while being honest about the problems. That is the big change we need to make, and my hon. Friend has given us an example.
ParlaMint-GB_2015-02-11-commons.u188	I welcome the focus on whistleblowers and the support package, but the Francis report also said that patients’ complaints should be viewed as the canary for failing hospitals. What support is the Secretary of State giving to patients who make complaints, and can he reassure us that the hospitals and the Care Quality Commission will take the issue very seriously?
ParlaMint-GB_2015-02-11-commons.u189	Yes. We have set out new guidelines. The right hon. Member for Cynon Valley (Ann Clwyd) helped us a great deal when we were looking into how to improve the NHS complaints procedure, in particular advising people about how to complain and ensuring they knew that they could talk to someone independent if they needed to. I try to look at a letter of complaint about something that has gone wrong in the NHS every day before I start my work, and I make sure that the trusts are aware of that.
ParlaMint-GB_2015-02-11-commons.u190	Before Christmas, I alerted Ministers to attempts by Gloucestershire Hospitals NHS Trust to prevent a governor from expressing concern to the local media about the care of local people. Does the Secretary of State agree that gagging governors is also unacceptable, and that the new spirit of openness should apply to governors and board members as well as staff?
ParlaMint-GB_2015-02-11-commons.u191	I do, and I think it important to bear in mind the role of the press as a last resort for whistleblowers. Many of the problems of which we are aware have come to light because people have spoken to the press, and that is to be welcomed, but I think we would all agree that it is a real shame if things have to reach that stage. We need a culture in which people are listened to straight away. That governor should have felt that he or she could talk to someone in the hospital who would do something about the problem, rather than having to go to the press.
ParlaMint-GB_2015-02-11-commons.u192	The Secretary of State has said that trusts are becoming more transparent in relation to data, and of course that is welcome, but data alone may not provide full information for patients. In 2011, Trafford general hospital had very poor standardised mortality figures, but, thanks to the assiduity of my constituent Mr Dennis Wrigley, we now know that they were due to a recording error. How will the Secretary of State encourage trusts not just to provide raw data, but to contextualise the data and tell patients what they might mean?
ParlaMint-GB_2015-02-11-commons.u193	I hope the hon. Lady will be pleased to know that we have now made it a criminal offence to supply false or misleading information, but let me respond to the broad point that she has made, because I think it is important The publication of data is indeed welcome, but we do not want it to cause the entire NHS to focus on gaming the system, or changing the way in which data are collected in order to make its organisation look better. The purpose of data is to identify issues. The CQC then makes rounded judgments on the performance of institutions, which are based not just on data but on visits and conversations with patients, doctors and nurses. I think that that system can provide us with the best understanding of how well those institutions are actually doing.
ParlaMint-GB_2015-02-11-commons.u194	As the Secretary of State will know, my hon. Friend the Member for Bristol North West (Charlotte Leslie) and I wrote to him about Southmead hospital after a large number of our constituents had written to us about poor quality care there. Today the CQC published its report on North Bristol NHS Trust and Southmead, which states that the urgent and emergency services are inadequate and causing a “serious risk to patients’ safety”, and also states: “Several staff told us they were ‘ashamed’ of the standard of care” at Southmead I have just received a letter from the chief executive of North Bristol trust, which makes no mention whatsoever of the fact that Southmead A and E had been declared inadequate. Instead, she simply refers to “some teething problems which are being dealt with” Does that letter not illustrate the overall culture problem in the NHS, namely that there is active denial among some chief executives who will not admit what is going wrong in their local hospitals?
ParlaMint-GB_2015-02-11-commons.u195	I have not seen the letter, so I hope that my hon. Friend will understand if I do not comment on it, but I strongly agree with his broader point. Any chief executive or manager in the NHS needs to understand that the best way in which to reassure the public, and to reassure Members of Parliament who speak out for their constituents, is to be honest about the problems My local trust was the first in the country to be given an “outstanding” rating. When I last went to see its chief executive, I said that I had three constituency problems, and I raised all three of them with him. He said, “Yes—we were wrong on that one; we should not have done that; and we were wrong on that one.” One of the best trusts in the country was being totally honest about its problems, and wanted to do better. We need to make managers understand that that is the right thing to do, and that we will back them if they do it.
ParlaMint-GB_2015-02-11-commons.u196	Longton cottage hospital had to close because the local trust could not recruit enough nurses to ensure its safe operation, yet the Government slashed nurse training places. Now the Department refuses to release the secret KPMG report on “distressed” health economies. The people of Stoke-on-Trent deserve to know what is happening to their local hospitals and to local health care. The Secretary of State rightly says that we need to stop secrecy and have openness, but when will he whistleblow his Department’s own report? The Department is setting a very bad example when it comes to openness and transparency.
ParlaMint-GB_2015-02-11-commons.u197	I will look into the issue that the hon. Gentleman raises, but let me deal now with the issue of nurse training places. The cuts began under the Labour Government, and we have been gradually reversing them. The main point, however, is that, in all parts of the House, there was a lack of understanding of the importance of safe staffing in wards before the Francis report, which is why successive Secretaries of State made mistakes in their projections of what was needed We have 8,000 more nurses in our hospital wards, including those at Stoke, and I hope the hon. Gentleman welcomes that.
ParlaMint-GB_2015-02-11-commons.u198	The Secretary of State will want to congratulate North Lincolnshire and Goole NHS Foundation Trust on getting out of special measures and employing more nurses and doctors. On the issue of “freedom to speak up” guardians, will he ensure there is one in every hospital, because in my trust staff in the smaller hospital sometimes feel their voice is not heard by the two big district general hospitals, which are up to 60 miles away?
ParlaMint-GB_2015-02-11-commons.u199	That is a very good point. I had a great visit to my hon. Friend’s local hospital and saw a knee operation which was quite gory but looked to me to be a very good example of safe care. He makes a good point and I will certainly feed into the consultation the idea that it should be easy to contact somebody who works in the same hospital or building, rather than someone who is a long way away.
ParlaMint-GB_2015-02-11-commons.u200	When I entered this House in 1987 I was put on a Select Committee for the parliamentary ombudsman, which dealt with the health service and complaints within it. In bad cases, we would bring chief executives, chief nurses and chairmen of the trust concerned before us. That was a good deterrent. Why not bring it back?
ParlaMint-GB_2015-02-11-commons.u201	All these things should be looked at, but through the Select Committee on Health we do now get chief executives of trusts to be accountable to Parliament. The Public Administration Committee is looking at the role of the ombudsman to make sure that works as well as it can, and we should wait for its recommendations.
ParlaMint-GB_2015-02-11-commons.u202	Following on from the question of the hon. Member for Barrow and Furness (John Woodcock) about Morecambe Bay trust, has the Secretary of State had a chance to look at yesterday’s “Better Care Together” future plans report by the trust, which finally puts to bed the wild allegations locally of hospital and A and E closures and also sets a road map for eliminating the pre-2010 deficit, provided we get some recognition of the difficult geography of our area?
ParlaMint-GB_2015-02-11-commons.u203	I know geography is a big issue, and the driving distance between Morecambe bay and Lancaster is a big challenge for the trust. I will look closely at that report, and I think Members in all parts of this House would welcome a commitment to avoiding scaremongering about local hospital services in the run-up to the election.
ParlaMint-GB_2015-02-11-commons.u204	I represent a constituency in Wales, and look with some envy at the commitment to openness and transparency on both sides of this Chamber, and indeed the commitment to transparency and openness throughout the NHS in England following the Francis report and the Keogh review. What discussions can my right hon. Friend initiate, perhaps with the Opposition, to introduce the same level of transparency and openness in Wales so that my constituents in Montgomeryshire can also benefit?
ParlaMint-GB_2015-02-11-commons.u205	I think it is very simple—there is a lot of agreement between us about what needs to happen. I recognise that the shadow Secretary of State is not personally responsible for what happens in Wales, but his party is, and a Keogh review of high mortality hospitals, a chief inspector of hospitals for Wales and a commitment to the whistleblowing measures announced today would do a lot to allay the concerns of my hon. Friend’s constituents that the lessons about openness are not being learned across the border.
ParlaMint-GB_2015-02-11-commons.u206	Does the Secretary of State recall that the Care Quality Commission found that in East Kent hospitals senior management and the front line were disconnected, there were problems with bullying and harassment, and people would not say how things could be improved, including in terms of clinical risk? Does that not indicate that this is not just about whistleblowers, but that it is important that management sets a culture of openness, and listens and hears the staff voice?
ParlaMint-GB_2015-02-11-commons.u207	My hon. Friend is absolutely right, and I thank him for his interest in his local hospitals and his campaign for them. In the end, culture comes from the top. When people start a job they look at the values of their direct line manager and they copy them, because they think that is what it takes to get on, and the line manager looks to the chief executive and the chief executive in the end looks up to the Secretary of State, so it is very important—[Interruption.] I grant that that may not be the best thing. It is important that right from the top we set the right example about these issues.
ParlaMint-GB_2015-02-11-commons.u208	I thank my right hon. Friend for the work he has done on this and for his forthcoming visit to Princess Alexandra hospital in Harlow. Further to the question on trade unions, we have outstanding trade union representatives in the Princess Alexandra hospital and they do a huge amount of work on these issues. Can my right hon. Friend confirm that these guidelines will also include trade union workers, so that they are covered by his recommendations?
ParlaMint-GB_2015-02-11-commons.u209	That is an interesting point and we should certainly reflect on it in the consultation. I am looking forward to visiting my hon. Friend’s trust in March. On many of the visits I have made to hospitals in special measures, which his hospital is not, I have met union representatives and they have an important contribution to make, because nine times out of 10 the real problem is that the people on the front line feel they are not being listened to, and when that is put right the other things start to be solved as well.
ParlaMint-GB_2015-02-11-commons.u210	As a former airworthiness engineer, may I strongly endorse my right hon. Friend’s direction of travel? Will he confirm that Buckinghamshire Healthcare NHS Trust, having exited special measures after the Keogh review, has enjoyed a fantastic transformation, which I believe he saw when he visited Wycombe hospital?
ParlaMint-GB_2015-02-11-commons.u211	I had a fantastic visit there. This was a hospital that, putting it bluntly, was one of the worst in the country, and it is now on its way to becoming one of the best. The motivation and excitement not just of the management team but also the staff there, were palpable, and I think a huge number of good things are happening. What has worked there is the sense that what we are asking of the hospital is the same thing that they want to deliver for their patients—safe, compassionate care—and that must remain the focus.
ParlaMint-GB_2015-02-11-commons.u212	On a point of order, Mr Speaker. I provided your office with a copy of the minutes of the petitions committee of the European Parliament of 11 November—
ParlaMint-GB_2015-02-11-commons.u213	Order. The hon. Gentleman is a remarkable denizen of this House and it was very good of him to give me advance notice of what he wanted to cover, and I am genuinely sorry to interrupt him. He has indeed, as he rightly says, given some advance indication of the question to which he seeks an answer from the Chair. However, the issue he raises, and which he did, as I say, courteously treat of with my officials in advance, is in my view more properly raised not as a point of order in the Chamber, but in discussion between the hon. Member and me and my advisers, since raising the matter orally in the Chamber may itself, no doubt inadvertently, breach the rules of the House. I should therefore be grateful for the hon. Gentleman’s forbearance, and let me say for the avoidance of doubt that to welcome the hon. Gentleman to Speaker’s House for a meeting around the table with my advisers over a cup of tea will be an enjoyable experience for me, and I hope also for the hon. Gentleman, and I look forward to him speedily getting in touch with my office to arrange that agreeable encounter. Perhaps we can leave the matter there for today?
ParlaMint-GB_2015-02-11-commons.u214	In terms of discussing this at the Procedure Committee, the fact that I cannot even raise the point of order is in itself a useful piece of information for it to consider.
ParlaMint-GB_2015-02-11-commons.u215	Well, it has to be said that the hon. Gentleman is a distinguished member of that Committee and I feel sure he will advise it of his views, as he has always done—with alacrity—in this House. We look forward to further and better particulars in due course, and I am grateful to the hon. Gentleman for his understanding.
