ParlaMint-GB_2015-10-15-commons.u1	Object To be considered on Thursday 22 October.
ParlaMint-GB_2015-10-15-commons.u126	Will the Minister organise a meeting in her office to which she can invite the chief executives of the largest employers with the largest gender pay gap and the chief executives of the largest employers with the smallest gender pay gap so that one group can learn from the other?
ParlaMint-GB_2015-10-15-commons.u127	I thank my hon. Friend for that very practical suggestion. I am sure that my officials have taken a careful note of it, so we will go away and see how and when we can make it happen.
ParlaMint-GB_2015-10-15-commons.u128	11. What steps she is taking to increase the number of girls studying science, engineering and maths at school and university
ParlaMint-GB_2015-10-15-commons.u129	In the week in which we celebrate Ada Lovelace day, let us be clear that we cannot allow any girl to grow up thinking that some careers are off limits because of their gender or background. It is almost exactly one year since we launched the fantastic Your Life campaign, which is encouraging more and more girls to consider careers in STEM—science, technology, engineering and maths—related fields. As I have said previously in this House, the UK needs 83,000 engineers a year over the next 10 years, and, to be frank, they cannot all be men.
ParlaMint-GB_2015-10-15-commons.u130	I am pleased that record numbers of girls are studying STEM subjects at school and university. I recently crossed the border into my neighbouring constituency of Gosport—that of the Under-Secretary of State for Women and Equalities and Family Justice, my hon. Friend the Member for Gosport (Caroline Dinenage)—to visit the defence technology company QinetiQ, of which she is an enthusiastic supporter, to support its powerboat challenge, in which it engaged directly with local schools to encourage their pupils to study STEM subjects. What more can local businesses like QinetiQ do to engage directly with business so that young people, particularly girls, take up these subjects?
ParlaMint-GB_2015-10-15-commons.u131	The excellent work that QinetiQ is doing demonstrates how girls’ aspirations can be broadened by engaging with local businesses. Its managing director and its apprentice of the year are both female, which is a good start. We are working with British Chambers of Commerce to explore different approaches to school and business partnerships. Last year I announced that we would fund a careers and enterprise company to strengthen links between employers and young people so that they can act in a broad range of careers and so that, at a young enough age, they are inspired by the careers opportunities that are open to them and nobody says that any doors are shut to them.
ParlaMint-GB_2015-10-15-commons.u132	13. What steps she is taking to encourage diversity reporting in technology sectors.
ParlaMint-GB_2015-10-15-commons.u133	Of course, companies work better when their workforce reflect Britain’s diversity. It is more important than ever that we make the most of everyone’s skills and talents to maximise our economic growth. That is why we are requiring larger companies, including those in the technology sector, to publish their gender pay gap so that they have the incentive and the information they need to improve fairness for women.
ParlaMint-GB_2015-10-15-commons.u134	I welcome the Minister’s warm words on women in technology, but she will know that the British Computer Society’s recent IT scorecard showed a lamentable lack of progress in increasing the proportion of women in tech jobs. She will also know that I have long campaigned on this subject. Companies that hide on this key issue for our economic future are betraying the next generation of engineers and technologists. What will she do to ensure that companies and her Government publish information on tech diversity?
ParlaMint-GB_2015-10-15-commons.u135	The hon. Lady is an incredible champion for the whole of the STEM world, but particularly for women in engineering. Diversity is wider than just gender, of course; it extends to race and social background. Evidence shows that educational attainment is the single biggest predictor of the future life chances of children. We are requiring businesses to publish their gender information. Driving change through transparency works, as we know from the results of the work that Lord Davies has done. There are now no all-male boards in the FTSE 100. We want to continue this work, particularly in Ada Lovelace week. In an international week celebrating women in STEM industries, there is no better time to be publishing this information, holding businesses to account, and encouraging women to do the very best they can in the fields of engineering.
ParlaMint-GB_2015-10-15-commons.u136	16. What steps the Government is taking to support more women in setting up their own businesses.
ParlaMint-GB_2015-10-15-commons.u137	The Government are committed to supporting women to start and grow their own business. Last year 5.7% of women in the UK were involved in starting or running a new business, and we would of course like that number to grow. The start-up loan scheme provides mentoring and financial support to entrepreneurs. It has now made over 28,000 loans worth over £150 million, with 38% of those going to women-led businesses.
ParlaMint-GB_2015-10-15-commons.u138	Does the Minister agree that by extending the provision of free childcare we are helping more women into work and enabling more women to start their own business? Women in my constituency certainly agree that that would be a big help in doing so.
ParlaMint-GB_2015-10-15-commons.u139	My hon. Friend makes an excellent point, and I wholeheartedly agree. I am delighted that tax-free childcare could provide about 1.8 million families across the UK with up to £2,000 of childcare support per child per year. This will be rolled out from early 2017. I welcome the fact that for the first time self-employed women will be able to benefit from this vital childcare support.
ParlaMint-GB_2015-10-15-commons.u140	17. What support the Government provides for lesbian, gay, bisexual, and transgender people who receive abuse or harassment online.
ParlaMint-GB_2015-10-15-commons.u141	The Government are absolutely clear that abusive and threatening behaviour online, whoever the target, is unacceptable. What is illegal offline is also illegal online. My Department has funded the development of a new website—Stop Online Abuse—which launched on 17 June. It provides advice on action that individuals, particularly LGBT people, can take against offensive, damaging or threatening content online and in other media.
ParlaMint-GB_2015-10-15-commons.u142	As part of my casework I have been contacted by a teenager who is fearful of telling friends and relatives that he is gay. Such young people may be at particular risk of bullying. What particular help is the Minister offering schools to support such cases?
ParlaMint-GB_2015-10-15-commons.u143	No young person should ever feel that they are not able to be honest about themselves and their sexuality for fear of bullying. Tackling all forms of bullying is a priority. We have awarded £2 million to charities and community sector organisations, to help schools tackle homophobic, biphobic and transphobic bullying. I have also had the privilege of visiting some schools that are tackling the issue head on, such as Eastbourne academy and Caludon Castle school in Coventry, which are both Stonewall champion schools.
ParlaMint-GB_2015-10-15-commons.u144	One quarter of LGBT students at school say that they suffer online abuse. Is the Minister working with the Department for Education to provide proper advice to schools, and is she working with the National LGBT Hate Crime Partnership’s excellent Speak Up campaign to tackle this particular form of bullying and hate crime?
ParlaMint-GB_2015-10-15-commons.u145	I am open to working with all organisations in order to stamp out this hate crime. I am lucky enough to hold two Government jobs and am able to bring them together on this particular issue and provide £2 million of funding to pilot projects across the country to work with schools in order to stamp out unacceptable homophobic, biphobic and transphobic bullying. The secret seems to be to take a whole-school approach, with everybody from the head to the teachers and pupils knowing exactly that that sort of behaviour is unacceptable.
ParlaMint-GB_2015-10-15-commons.u146	18. What steps she is taking to increase the number and accessibility of women’s refuges.
ParlaMint-GB_2015-10-15-commons.u147	We are committed to making sure that no victim of domestic abuse is turned away from the support they need. In July the Chancellor announced an additional £3.2 million to increase specialist accommodation support for victims, including refuges, and to provide more help for victims to access that support.
ParlaMint-GB_2015-10-15-commons.u148	During my annual community consultation over the recent recess, lots of women constituents raised concerns about the future of refuges, recognising that local authority funding was being stretched to breaking point, particularly in big cities such as Sheffield. The Government’s recent £10 million cash injection is a sticking plaster that will only delay closures. Will the Minister use the forthcoming spending review to put in place a long-term funding solution for the national network of refuges?
ParlaMint-GB_2015-10-15-commons.u149	I reassure the hon. Gentleman that our goal is to ensure that no victim of domestic abuse is turned away from the support they need. We have recently carried out, along with the Home Office, a review of domestic abuse services, and its emerging conclusions will feed into the spending review and the updated Home Office strategy on tackling violence against women and girls. As I am sure the hon. Gentleman is aware, all future funding will be dealt with in the forthcoming spending review.
ParlaMint-GB_2015-10-15-commons.u150	20. . As my hon. Friend the Member for Sheffield Central (Paul Blomfield) has just pointed out, funding for refuges is under great pressure. A recent report by Women’s Aid said:“The current model for funding specialist domestic and sexual violence services is not fit for purpose. Many services are under huge financial pressure”and are being “forced to close” or to use reserves just to survive. What is the Minister going to do about that?
ParlaMint-GB_2015-10-15-commons.u151	As I have said, this is subject to the spending review, but Women’s Aid has warmly welcomed the funding recently announced by the Chancellor. It is important for local authorities to provide such services, and it is also important to note that these services are still being provided up and down the country. We should not talk them down, as Labour Members are doing, because the fact is that if we talk down services and people think they are not available, many women may not come forward and access the important services they need.
ParlaMint-GB_2015-10-15-commons.u152	19. What recent assessment she has made of the effect on equality of the Government’s policies on child poverty.
ParlaMint-GB_2015-10-15-commons.u153	The Government are committed to governing as a one nation Government and achieving true social justice, which is why we want to tackle the root causes of poverty and improve the life chances of all children. Our proposals in the Welfare Reform and Work Bill introduce new measures of worklessness and of educational attainment, which will make the biggest difference to disadvantaged children now and in the future.
ParlaMint-GB_2015-10-15-commons.u154	Does the Minister agree that the Government’s rebranding of the child poverty commission as a social mobility commission represents a damaging shift in emphasis? The most vulnerable children will be disadvantaged by this change in tack and by a lack of focus on the equality of outcomes for children living in poverty.
ParlaMint-GB_2015-10-15-commons.u155	No, I do not agree with the hon. Lady because this Government’s approach is working. The number of children on relative low incomes has fallen by 300,000 since 2010, and the number of children who grow up in workless households is also at a record low. If she wants to focus on outcomes, I encourage her to focus—as we do, particularly in education—on the outcomes of all children. The gap between the advantaged and the disadvantaged has narrowed since 2010.
ParlaMint-GB_2015-10-15-commons.u156	Does the Minister agree that one of the best ways to reduce child poverty is to get into work families that do not have a breadwinner? Is that not exactly what this Government have been doing so successfully?
ParlaMint-GB_2015-10-15-commons.u157	My hon. Friend is absolutely right that work is absolutely the best way out of poverty. Of course, yesterday’s employment numbers showed strong employment growth, including the fact that there are now over 920,000 more women in work in this country than in 2010.
ParlaMint-GB_2015-10-15-commons.u158	Before I take the urgent question, may I underline to the House that its narrow terms should be adhered to? This must not simply be a re-run of exchanges that took place the other day. That is the first point The second point that it might be helpful for the House to know is that I am keen to move on to business questions at approximately—but very close to—10.50 am, so this will be a pithy exchange.
ParlaMint-GB_2015-10-15-commons.u159	(Urgent Question): To ask the Secretary of State for Business, Innovation and Skills if he will make a statement on the Government’s £80 million released to help former employees of the SSI steelworks in Redcar.
ParlaMint-GB_2015-10-15-commons.u160	I may break your rule, Mr Speaker, because I actually have quite a lot to say over and above what was said on Tuesday We know and accept, and everybody understands, that this is a deeply dreadful time for all concerned in Redcar. That is why, on 2 October, the Secretary of State and I went to Redcar—I had been there since the previous Wednesday—and announced a package worth up to £80 million to help both the workers directly affected and the supply chain and the local economy more broadly. We briefed the local taskforce, including the hon. Member for Middlesbrough South and East Cleveland (Tom Blenkinsop), that day on the contents of the package As Members will know, some elements of that package have already been rolled out and are delivering support. In terms of helping individuals, only yesterday the Jobcentre Plus service co-ordinated a very large and very successful jobs fair to help people affected to move into jobs as quickly as possible. Initial reports are that about 1,500 people attended the event, along with 50 employers offering 1,000 vacancies. That is on top of the individual support sessions that Jobcentre Plus has already been offering locally The redundancy payments service has established a dedicated team to process the redundancy pay, holiday pay, arrears of wages and other elements that are due to SSI employees. That is of course subject to statutory limits, but will be done as quickly as possible. I also note that the Government’s business support helpline is prioritising calls from businesses directly affected by the SSI closure, businesses in the local area with the potential to grow and take on former SSI employees, and former SSI employees who are looking for advice on starting a business. That is up and running, and it is working well. Callers will be fast-tracked to an expert adviser, who will provide advice on the issues they are facing, provide information on the local support package and refer them on to any other forms of support they need. That is a good start, but we know we need to do more As Members will be aware, we established a local taskforce to help to shape the support to be provided. Right from the start, our intention was not to impose solutions from Whitehall, but to ask the local taskforce for solutions on how best to target money and support. It is meeting right now, but I can understand why both Members who are part of the taskforce—the hon. Gentleman and the hon. Member for Redcar (Anna Turley)—are in the Chamber and not at that meeting. We have now received some initial proposals from the taskforce about supporting workers impacted by the closure of SSI, mitigating the impact on other companies directly affected by the proposal and supporting the growth of the wider economy. As hon. Members might imagine, we are assessing those projects urgently I know that the hon. Member for Middlesbrough South and East Cleveland has asked about further education colleges. The full cost of retraining former SSI workers and others made redundant in the supply chain will be met. Local colleges will therefore be able to claim full funding for education and training provided to any learner who was employed at the SSI Redcar plant at any time during 2015, or to a learner made redundant in the supply chain as a result of the plant closure, to support them to gain employment or start their own business. Eligibility will be confirmed by a referral from a Department for Work and Pensions work coach or a National Careers Service adviser who is working with affected individuals. That will enable local colleges to provide wide-ranging support to learners for short programmes of training that enable immediate entry into the labour market or for study that leads to full qualifications such as A-levels or their equivalents. Colleges that meet the quality criteria will receive additional funding to cover the costs incurred because of the additional flexibilities I will continue to work closely with the local taskforce, as I hope will the hon. Members for Middlesbrough South and East Cleveland and for Redcar, on how we can best support the workers of SSI, the affected supply chain and the local economy. I pledge that no worker will be left behind.
ParlaMint-GB_2015-10-15-commons.u161	The official receiver has indicated that the Government have released no further funds to buy coke. The last shift at Redcar coke ovens pushed the final bed this morning. One hundred and seventy years of steelmaking have come to a terrible, shuddering halt in only four weeks Since the liquidation announcement, we have learned that the original figure of £80 million was a public relations gimmick. There is no new money. Why has the Secretary of State continued to ignore calls to provide at least £30 million of new money, when it has been demonstrated that that money is guaranteed under statute for any worker who undergoes redundancy? Why have no colleges or training providers dealing with SSI workers, contractors and downstream workers received any additional funding on top of their existing budgets? What are the estimated clean-up costs of the Teesside Cast Products site in Redcar? How will security and funding be guaranteed for the Redcar bulk terminal and beam mill, which are still in operation? Why are arguably the best coke ovens and the largest blast furnace in Britain, which are on one of the handful of sites in the EU where production costs are lower than 90% of other EU sites, being allowed to close, while less efficient sites continue during this global steel price downturn?
ParlaMint-GB_2015-10-15-commons.u162	That was a large number of questions and time precludes me from answering them all. I undertake to ensure that any questions that are not answered in what I say receive a written response. It is not true that there is no new money. There is an £80-million package, £30 million of which is an estimated figure. We discussed all that during the urgent question on Tuesday. Indeed, the hon. Member for Redcar said that the estimate was between £20 million and £30 million. In any event, there is at least £50 million of new money. I have answered the question on FE colleges. That £50 million of new money is there to support the workers and the supply chain, so that there is reskilling, retraining and—[Interruption.] I am sorry, but I cannot hear what the hon. Member for North Durham (Mr Jones) is saying. If he wants to ask a question, he is more than capable of doing so, and I will answer it The reason why we are in this situation in Redcar is that, unfortunately, month on month, year after year, SSI lost money. It never made money at the Redcar steelworks. The coke ovens, as I said on Tuesday, were losing £2 million month on month. That is the harsh reality. The hon. Member for Middlesbrough South and East Cleveland knows the situation. Of course he feels huge passion about it because he has put a long-seated investment of his own life and skills into the plant. He knows the devastating effect that its closure will have on the local community, but the Government have done all they can and now we have to look to the future.
ParlaMint-GB_2015-10-15-commons.u163	They haven’t.
ParlaMint-GB_2015-10-15-commons.u164	They absolutely have. The hon. Gentleman who shouts at me from a sedentary position knows what Government officials and I have done on numerous occasions in the face of the most peculiar and appalling practices from the Thai owners. He knows that on one occasion, for example, the employers liability insurance had not been paid. We found out at 4.20 in the afternoon. I was making calls at 9 o’clock at night to make sure that the workers still had their insurance cover at least up to Monday. We literally scrabbled around looking for money. We made sure that the workers were paid their wages. He knows that that was done on the specific direction of myself and the Secretary of State, who said, “Get the money together to make sure the workers are paid.” Those are the sorts of things that the Secretary of State and I have done Now we have to look to the future to ensure that there is a future for the workers, their children and their grandchildren. That is what this package delivers.
ParlaMint-GB_2015-10-15-commons.u165	I call Philip Davies
ParlaMint-GB_2015-10-15-commons.u166	indicated dissent.
ParlaMint-GB_2015-10-15-commons.u167	I thought the hon. Gentleman was standing—I had been so advised. Never mind; it is a rarity that he does not wish to contribute. I call Mr Alan Mak.
ParlaMint-GB_2015-10-15-commons.u168	Will the Minister confirm that although strict EU state aid rules have prevented the Government from directly intervening in the steel industry, the £80 million package that they have announced represents strong and practical intervention in a difficult situation?
ParlaMint-GB_2015-10-15-commons.u169	That is the case. It is not good enough for Labour Members, who know the confines of the state aid rules, to shout “rubbish”. Let me put SSI’s losses on the record: 2012, £275 million; 2013, £193.5 million; 2014, £81 million. Until the end of June 2015, there were losses at Redcar of £92.5 million. That represents more than £0.5 billion of losses in little more than three years. That is indeed heartbreaking, but it is the harsh financial reality of the situation at Redcar.
ParlaMint-GB_2015-10-15-commons.u170	One has to ask what moral universe Ministers inhabit if they think that it is acceptable to spin about the financial package for workers at Redcar. We have just heard an admission from the Minister that the figure is not £80 million, which is the figure that the Government have used and widely publicised. She now claims that there is £50 million of new money, but we need to look more closely at that. How much of that money is from the Work programme? How much is money that Ministers have put aside from the Government’s resources as new money to help the workers at Redcar, and how much is just recycled spin? That is what we have been getting from the Minister There are still questions to answer—I will not go on for too long because of what you said earlier, Mr Speaker—[Interruption.] The Minister said “Oh good”. I bet she did. She has not said anything to answer questions about the clean-up of the site, which she was asked earlier this week and today. This country needs an industrial strategy. We are losing an irreplaceable strategic national asset without a fight from our country’s Government, and that is an unforgiveable betrayal.
ParlaMint-GB_2015-10-15-commons.u171	I will accept some criticisms, but to say that I have not fought for Redcar is outrageous because it is not true. I assure the hon. Gentleman that my officials and I worked—I have an email trail that proves it—until midnight last night—[Interruption.] There is no point shouting as it does not achieve anything. I was on the phone on that Friday night until 9 o’clock in the evening, and along with the Secretary of State and my officials, I was literally going around looking for sums and pots of money to help. The harsh reality is £0.5 billion of losses over five years On the clean-up operation, if the hon. Gentleman had taken time to find out from the taskforce and the meeting that I attended on 2 October—[Interruption.] I was there; he was not. I am trying to tell him, but he is sitting there pointing his finger and heckling. It does not get us anywhere.
ParlaMint-GB_2015-10-15-commons.u172	You’re the one who is pointing.
ParlaMint-GB_2015-10-15-commons.u173	Yes, well I’m entitled to under the circumstances. I answered this question on Tuesday, but I am happy to answer it again. In truth, the Health and Safety Executive and the Environment Agency had been engaged with my officials for some considerable time leading up to 2 October because we feared that that day would come. The hon. Gentleman should know—this is my experience having gone to Redcar—that some of the people with the most responsible realistic assessments of the situation were the leaders of the unions, and particularly the Community trade union leadership. Because they were working there, they knew the awful, harsh financial reality of a plant that was losing £0.5 billion over five years.
ParlaMint-GB_2015-10-15-commons.u174	The Minister will be aware that we had a similar experience in Sherwood with the collapse of UK Coal. Will she assure the House that Government support and taxpayers’ money will go into the pockets of workers to help them to get new careers, and not into the pockets of receivers, accountants, consultants and a failing company?
ParlaMint-GB_2015-10-15-commons.u175	Yes, I can give my hon. Friend that assurance. I pay tribute to him for the work he has done for the workers at Thoresby. May I put on record that this sum of money, which is new money, represents £44,000 and more of investment per worker—it is investment in them as individuals—so that they can get the skills and training they need to get new jobs?
ParlaMint-GB_2015-10-15-commons.u176	The Minister is overseeing the death of 170 years of steelmaking on Teesside. It does not have to be the end—the site is still viable. You’ve thrown the towel in. I have literally just got off the phone to people on the site. German companies are willing to buy foundry coke that we can produce in the coke ovens. That sells at £520 a tonne, compared to £190 for ordinary coke. The site is viable. We have companies willing to invest. We have companies willing to come in and supply the coke ovens to keep the plant running and to do the mothballing. You are not giving us time. You are just throwing the towel in. The official receiver has not done proper diligence. We can find buyers, we just need three months. Please, keep the plant alive. You hide behind the excuse that it is the Thai banks, the Swiss banks, the American banks, the British banks—this is British industry.
ParlaMint-GB_2015-10-15-commons.u177	Order. We have the point. Can people please remember that I haven’t done anything in this matter?
ParlaMint-GB_2015-10-15-commons.u178	And neither have I, apparently, Mr Speaker. But I have and I think the hon. Lady knows that. The hon. Lady is fighting for her constituents. She does so with passion and she is right so to do. She is putting on record that this is the end of steel production. It is a tragedy. But what I would say to the hon. Lady is this: I have an email trail that she knows I am more than happy to share with her and the hon. Member for Middlesbrough South and East Cleveland. I do not know all the detail, because some of it is apparently commercially sensitive, but she needs to know this. The official receiver specifically said to those people who were interested, “Put the money in to buy the coal to keep the coke ovens going” and they refused. That is the harsh reality.
ParlaMint-GB_2015-10-15-commons.u179	Does my right hon. Friend agree that in these circumstances it is right and proper that the Government do all they can—which they are doing—to support the workers in Redcar and in the communities around Redcar?
ParlaMint-GB_2015-10-15-commons.u180	My hon. Friend is right. What happened on 1 October, when we were looking at ways of support, is that we suddenly discovered—literally on a website, on a tweet—that the parent company in Thailand had effectively gone into administration and had registered so in Thailand. That changed things completely. The Secretary of State and I sat in Redcar at 9 o’clock that morning and we knew and understood that any money we put in would go straight into Thailand and into the pockets of three Thai banks. There are no procedures and no devices in those circumstances to ensure that the money would, in any event, have gone to Redcar—never mind the state aid rules.
ParlaMint-GB_2015-10-15-commons.u181	Why is the Minister not listening to the two consortia that have come forward with bids at the last minute? They should be given the opportunity to formulate those bids and the Government should be keeping it going. It is no good doing the Pontius Pilate act and just washing your hands of the responsibility. Why are Ministers privately supporting mothballing, yet not getting that support from the Secretary of State and the Prime Minister? If you can’t answer this, what are you there for? What’s your purpose if you don’t step up?
ParlaMint-GB_2015-10-15-commons.u182	The hon. Gentleman is right, but I am afraid he is, in this instance, absolutely wrong. The situation is that, yes, there have been expressions—[Interruption.] No, let me answer. He is right that there have been expressions of interest very late in the day, after the official receiver said on Monday that no deals had been forthcoming that were workable. The official receiver then went back to those consortia and said, in effect, “Put your money where your mouth is,” and they refused—[Interruption.]
ParlaMint-GB_2015-10-15-commons.u183	You put your money where your mouth is.
ParlaMint-GB_2015-10-15-commons.u184	Order. Mr McDonald, I absolutely understand and empathise with your incredibly strong feeling on this subject—and I mean that—but we cannot have a situation in which people yell at a Minister who is giving an answer. You might not like the answer, but, forgive me, the answer must be heard. The Minister is capable of looking after herself, but the answer must be heard. Please. I will always give people a chance, but the Minister must be heard.
ParlaMint-GB_2015-10-15-commons.u185	I know the hon. Gentleman and I disagree, but we cannot—
ParlaMint-GB_2015-10-15-commons.u186	You can.
ParlaMint-GB_2015-10-15-commons.u187	The hon. Gentleman can sit there and say, “You can”, until he is blue and red in the face, but the state aid rules are incredibly clear.
ParlaMint-GB_2015-10-15-commons.u188	indicated dissent.
ParlaMint-GB_2015-10-15-commons.u189	The hon. Gentleman forgets that the last time Redcar was mothballed, it was mothballed by Tata, and it did so because those were the state aid rules. If there was a viable offer and anyone looked, as they have, at the situation at Redcar, they would say, “Those ovens are losing £2 million month on month”. The steel was losing half a billion pounds. In reality—and the official receiver has said the same—who will want to invest in something that was losing money hand over fist?
ParlaMint-GB_2015-10-15-commons.u190	I wish to convey my sympathies to the community in Redcar following this devastating news, but I would mention that the steel price has almost halved in the last year, China now produces 50% of steel, whereas in 2000 that figure was 15%, and the number of jobs has reduced under successive Governments. Is not the key thing now, on a cross-party basis, to deliver this retraining and bring more jobs to the north-east?
ParlaMint-GB_2015-10-15-commons.u191	I very much agree with my hon. Friend. The harsh reality is that all the steel industries in this country are losing huge amounts of money. Some companies are regularly losing £700 million per year. That is the reality, but we are determined not to lose the steel industry in this country, so we now have to find the solutions to save it.
ParlaMint-GB_2015-10-15-commons.u192	I do not question the Minister’s efforts, but she has clearly been hung out to dry by the Prime Minister and the Business Secretary. Many small companies in the north-east are affected by this closure. Has the Department drawn up a register of where they are, and what measures will she put in place to help those small companies that are creditors?
ParlaMint-GB_2015-10-15-commons.u193	I always give a straight answer to a question. I honestly do not know the answer, but I will make inquiries and write to the hon. Gentleman and everybody else who is concerned. I must make it clear, however, that I, the Business Secretary and the Prime Minister are as one on this.
ParlaMint-GB_2015-10-15-commons.u194	Clearly, we are all concerned about the loss of jobs at Redcar and the impact on individuals and families, but would the Minister agree that the only way to create new jobs and businesses is to invest properly in infrastructure and skills, and will she make this a priority for Redcar?
ParlaMint-GB_2015-10-15-commons.u195	Yes, absolutely, and that is why we have put this package together, which, as I say, is worth about £44,000 to each worker.
ParlaMint-GB_2015-10-15-commons.u196	It is important and proper that resources and support be given to mitigate the impact of the closure of SSI Redcar, particularly for those staff who will lose their jobs, but it is reactionary, and it seems that little has been learned with the benefit of hindsight. In how many other constituencies will the Government need to repeat this process? What will they do to support the steel industry in my constituency at Clydebridge and that of my hon. Friend the Member for Motherwell and Wishaw (Marion Fellows)—
ParlaMint-GB_2015-10-15-commons.u197	Order. I am sorry, but we must focus narrowly on this particular situation, rather than on wider issues. I think we can leave it there.
ParlaMint-GB_2015-10-15-commons.u198	rose—
ParlaMint-GB_2015-10-15-commons.u199	Okay, in a sentence.
ParlaMint-GB_2015-10-15-commons.u200	Just to say, we are holding a steel summit tomorrow. All these matters will be raised, and I am sure we will share all the outcomes with the hon. Lady.
ParlaMint-GB_2015-10-15-commons.u201	I hope the hon. Lady is satisfied with that holding response. Thank you, Minister.
ParlaMint-GB_2015-10-15-commons.u202	I recognise the difficulty of the situation in Redcar, especially as I represent a seat in the west midlands with a long and proud history of steelmaking, but will the Minister agree that her and the Government’s focus should be on taking all the practical action necessary to provide alternative job opportunities and reskilling for the people affected in Redcar?
ParlaMint-GB_2015-10-15-commons.u203	I absolutely agree and embrace everything that has been said, and would add that the task now is to ensure we do everything we can to support this vital industry, as the Prime Minister said.
ParlaMint-GB_2015-10-15-commons.u204	This is not the first time the north-east has suffered the closure of steelworks under a Conservative Government. As well as being devastating for those communities, it can take a long time for people to move into alternative employment. The Minister mentioned short-term training, but will she stay with those workers for the longer term to ensure they find new employment?
ParlaMint-GB_2015-10-15-commons.u205	There is a side of me that cannot be bothered to play party politics because this issue transcends it, but it needs to be said that the last time the Redcar plant closed was under a Labour Government. In other words, it is all completely meaningless. What the hon. Lady suggests is vital and she makes a good point. One thing we do know is that a large number of the people who were laid off last time did not return when the plant reopened, and it is newer and younger workers who are now, unfortunately, being made redundant at SSI.
ParlaMint-GB_2015-10-15-commons.u206	As the hon. Member for North Durham (Mr Jones) has said, the livelihoods of thousands of self-employed people and workers in small enterprises will now be at stake as a result of the collapse of SSI. Can the Minister confirm that Her Majesty’s Revenue and Customs will deal sympathetically with those small businesses, which may now be unable to meet their liabilities as a result of the collapse of this company?
ParlaMint-GB_2015-10-15-commons.u207	That is a very good point, and the simple answer is yes.
ParlaMint-GB_2015-10-15-commons.u208	The coke ovens and the blast furnace are national assets, and this Government should do everything, even at this eleventh hour, to secure them so that they are not lost and are instead retained in order to allow the future to be bright again.
ParlaMint-GB_2015-10-15-commons.u209	That is exactly what we will do: we will do everything we can, within the law, and bearing in mind the harsh economic realities that face Britain’s steel industry.
ParlaMint-GB_2015-10-15-commons.u210	Teesside without steel is almost unthinkable, and I hear nothing from the Government on how they are going to replace these 2,200 jobs. The Minister has talked about small business, but it is simply not realistic to expect people to do what she has suggested without help with living costs. Will she therefore confirm that there will be help with living costs within start-up allowances?
ParlaMint-GB_2015-10-15-commons.u211	What I can confirm is a £50 million package that will mean that, in effect, there is an investment of £44,000 in each and every worker to help them find alternative work.
ParlaMint-GB_2015-10-15-commons.u212	It was the Tory Lord Heseltine, as he now is, who said that to help British business he would “intervene before breakfast, before lunch, before tea and before dinner. And…get up next morning to start again.” Might the Minister not regret the fact that she did not save steelmaking on Teesside, which would have been far better for our national economy than the package that she has announced today?
ParlaMint-GB_2015-10-15-commons.u213	Obviously, the hon. Gentleman will not have access to all the television interviews that I did at the time. If I had a magic wand, the simple answer would be, “Absolutely, yes”, but the harsh reality is that we have slab falling by half its price, overproduction, under-consumption and a steel plant losing half a billion in five years. That is the harsh reality, and it would not be fair on his constituents if we were to try to bail out Britain’s steel industry, which would probably cost £1 billion a year.
ParlaMint-GB_2015-10-15-commons.u214	Will the Leader of the House give us the business for next week?
ParlaMint-GB_2015-10-15-commons.u215	The business for the week commencing 19 October will be as follows: Monday 19 October—Second Reading of the Psychoactive Substances Bill [Lords]. I also expect my right hon. Friend the Prime Minister to make a statement following the European Council Tuesday 20 October—Opposition day (7th allotted day). There will be a debate on tax credits on an Opposition motion Wednesday 21 October—Consideration in Committee of the Cities and Local Government Devolution Bill [Lords] (day 1) Thursday 22 October—A motion to approve standing orders relating to English votes for English laws Friday 23 October—Private Members’ Bills The provisional business for the week commencing 26 October will include: Monday 26 October—Remaining stages of the Finance Bill I should also like to inform the House about some debates to be held in Westminster Hall Monday 19 October—Debate on an e-petition relating to immigration Tuesday 20 October—Debate on the availability of cancer drugs Thursday 22 October—General debate on the conflict in Yemen, followed by a debate on fire safety measures in school buildings Monday 26 October—Debate on an e-petition relating to term-time leave from school for holidays As you heard, Mr Speaker, I announced that next Thursday we will be debating and voting on the Government’s proposals to allow for English votes for English laws. I should just inform right hon. and hon. Members that I have this morning published updated proposals for changes to the Standing Orders, reflecting the discussions and feedback I have had since July, as well as the letter I received from the Procedure Committee in September, which is published on its website. The revisions are clearly indicated in the new document. I have published these proposals today to give the House further time to consider them before the debate. I am also conscious that the Procedure Committee is due to report on Monday, and I will not be tabling the final proposed Standing Order changes until I have read that report and been able to make any final changes before we table them, probably on Monday night.
