ParlaMint-GB_2015-12-15-commons.u1	1. What steps he is taking to support higher-level skills in further education.
ParlaMint-GB_2015-12-15-commons.u201	Talking of national resilience, does the hon. Lady think it was a failure of the last Labour Government not to have done exactly the same in 2005? In Carlisle, for example, we have a sub-station in a floodplain area that was flooded in 2005. Fortunately, due to the hard work of the emergency services, it was not flooded in 2015, but should it not have been looked at after 2005 with a view to possibly moving it?
ParlaMint-GB_2015-12-15-commons.u202	We commissioned the Pitt review. The hon. Gentleman mentions the work of the emergency services, and I would like to take the opportunity to say that when I was in Cumbria I met the Fire Brigades Union and Mountain Rescue, which have done fantastic work. There are calls for the fire brigade’s response to flood risk to be put on a statutory footing, rather than just an add-on to its other duties. Mountain rescue teams do wonderful work based on the voluntary contributions and the work of volunteers. I hope that that will be looked at as part of the review.
ParlaMint-GB_2015-12-15-commons.u203	On that point, does my hon. Friend agree that this is a timely opportunity to look again at the funding of fire services up and down the country? On Merseyside, we have certainly seen extreme cuts, and the whole model needs revisiting.
ParlaMint-GB_2015-12-15-commons.u204	That issue was raised with me. I believe that five fire stations in Cumbria are due for closure. The control centre is in Warrington, but the point was made to me that local firefighters have the best local knowledge. People in Warrington were sending firefighters to places where people’s fire alarms had gone off because of rising water, but those firefighters knew that the towns and villages were already underwater and that the roads were impassable. A lot can be said for retaining local knowledge and for keeping the local fire stations open. I am sure that constituency MPs would have something to say about that Flooding has had a devastating impact on farmers and many in Cumbria have, as the National Farmers Union highlighted, been hit by a double whammy, after being informed that they will not receive their basic payments until February. Given the losses they suffer as a result of flooding and the positive contribution farmers can make to land management, I hope that DEFRA will work closely with farmers to involve them in a long-term strategic approach to flood risk, looking at surface run-off and soil management to maximise absorbency and how the Government can promote agroforestry. Studies have demonstrated, for instance, that reforesting 5% of land reduces flood peaks downstream by 29%. The Government could be looking at sediment management and river restoration, as well as woodland development more generally In urban and developed areas, sustainable drainage systems could make a positive difference, but progress has been slow and the scope for local authorities to make progress on flood risk management strategies seems limited, especially given the additional budget cuts. As the Climate Change Committee reported, many authorities are yet to finalise their strategies, despite its having been a legal requirement for the past five years. I hope that the Environment Secretary is co-ordinating cross-departmental work to manage the flood risk and ensure that it is factored into plans, including plans for new house building in areas of high flood risk, which my right hon. Friend the Member for Don Valley (Caroline Flint) mentioned In light of the agreements reached in Paris, I would urge the Environment Secretary to bring forward the climate change risk assessment and consider whether the national adaptation programme is fit for purpose. As the Committee on Climate Change has said, the next programme needs a “clearer sense of priorities” and “measurable objectives”. Even if commitments are met, the Paris agreement means that the Government must prepare for temperature rises of nearly 3°. Will the Secretary of State ensure that the announced national resilience review is only the first step in tackling the problem? It must lead to a realistic resilience plan—and, most importantly, action As yet, we do not know what DEFRA needs to adapt to, because we do not know what the Energy and Climate Change Secretary is proposing in order to implement the Paris agreement in the UK. In her statement on Paris yesterday, there was little sense that the Government had any strategy—let alone a coherent, fully-funded one—to meet the UK’s climate change commitments and help the global community to keep temperature rises below 2° The UN’s chief environment scientist has even had to intervene to challenge this Government’s policies on renewable energy. While the rest of the world is investing in renewables, she said: “What’s disappointing is when we see countries such as the United Kingdom that have really been in the lead in terms of getting their renewable energy up and going” withdrawing subsidies and enhancing the fossil fuel industry. We can only agree with her conclusion: “It’s a very serious signal—a very perverse signal that we do not want to create.” Under the last Labour Administration, the UK had a proud record on climate change—from Lord Prescott’s role with the Kyoto protocol and Gordon Brown’s work in establishing the Global Climate Fund to the role of my right hon. Friend the Member for Doncaster North (Edward Miliband), and indeed that of his brother before him, in the Climate Change Act 2008, which has now been emulated by about 100 other countries. It was ground-breaking at the time; we were the first That legacy is slipping away and future generations will pay the price. Given that the right hon. Lady failed to answer the questions of my hon. Friend the Member for Wigan (Lisa Nandy) yesterday, I hope the Energy and Climate Change Secretary will, when winding up the debate this afternoon, be able to confirm the Government will review the recently abandoned green policies and that the UK will continue to support raising European targets on reducing carbon pollution by 2030 It is not just on energy where we need leadership. Will the right hon. Lady ensure that there is more co-ordination with the Department for Transport, that BIS prioritises green jobs and that our financial services do not keep promoting and investing in fossil fuels? And will she stop the Chancellor from making short-term cuts to energy efficiency and renewables, ignoring the longer-term environmental, financial and human costs Expert after expert is warning that the Government are failing on climate change, and failing to protect people from flooding. They are letting down communities who are dreading the next heavy rainfall, and they are letting down future generations who will bear the brunt of climate change. I hope that both Secretaries of State will agree that the Government have run out of excuses, and that now is the time to act.
ParlaMint-GB_2015-12-15-commons.u205	The exceptional rainfall that we have seen over the past couple of weeks has led to some very distressing situations for families and businesses in the north of England, where serious flooding has occurred. It is right that we in the House use every opportunity we are offered to express our sympathy for those who are most deeply affected. It is also right that we pay tribute to the work of emergency responders—the Environment Agency, and volunteers from around the country—who have worked tirelessly to help to get people to safety, and to clean up quickly so that people can return to their homes as soon as possible. The Government mobilised a full national emergency response. We deployed the military from day one to protect people’s lives. The Cobra civil contingencies committee has met daily to co-ordinate the best possible deployment of resources for affected communities, and the recovery effort continues.
ParlaMint-GB_2015-12-15-commons.u206	Have the Government considered applying to the European Union solidarity fund to help the people of the north-west, who have suffered so much? If an application were made, how quickly could the additional funds be made available?
ParlaMint-GB_2015-12-15-commons.u207	Of course that is one of the options that we are considering, but it would take seven months for the money to arrive. What we have done, within a week of these terrible floods occurring, is make £51 million available to give immediate relief to households and businesses in Cumbria and across the north that have been affected. The Chancellor announced last week that we were supporting households and businesses in affected areas The hon. Member for Bristol East (Kerry McCarthy) asked about accommodation. We are anxious to ensure that accommodation is available to those who have had to leave their homes, and we are working closely with local councils to ensure that they have every resource that they need for that purpose. Divers are assessing the bridges so that they can be opened as soon as possible, and diggers are clearing roads. We are doing all we can to ensure that Cumbria is up and running as soon as possible, and is open for business as soon as possible.
ParlaMint-GB_2015-12-15-commons.u208	The Secretary of State has rightly pointed out that great efforts have been made to clear the roads. As she will know, the A591 connects the north and south lakes at Grasmere and Keswick, and its closure has effectively ruined the tourist industry on both sides of that divide. The Royal Engineers did a great job in clearing up the mess, but they left yesterday. Would the Secretary of State be able to invite them back to rebuild the road quickly?
ParlaMint-GB_2015-12-15-commons.u209	The hon. Gentleman is absolutely right. The A591 is a critical artery for tourism and for local residents to get about. It is now passable in a 4x4 vehicle, but we are working on getting it fully up and running as soon as possible, and the Department for Transport is working closely with the Cobra team to ensure that that happens, because it is a priority. I am pleased to say that the west coast main line was up and running as quickly as possible. Nearly all the 169,000 households and businesses whose power was cut off have been reconnected, although a small group of fewer than 50 need extra work at flooded properties. The Environment Agency has been assessing what more can be done, and has been moving in heavy equipment to clear rivers Our priority must continue to be public safety. Although 84 flood warnings have been removed in the last day or so, further flooding could occur as a result of rain falling on saturated ground. I urge people to keep up to date with the latest situation through the Environment Agency’s website and other news sources I know that this is of no comfort to those who have suffered, but the flood defences in Carlisle and Kendal successfully defended more than 100,000 households and businesses and prevented them from losing their power supplies. It is important for us now to consider how we can further improve resilience in our country The Secretary of State for Energy and Climate Change is working to ensure that we have long-term energy security, and that we tackle dangerous emissions. I think that she has shown massive leadership over the past week. Hers was an historic achievement in Paris, and I think that Opposition Members should applaud her for showing such leadership at an international level. I see that some of them are acknowledging her leadership; that acknowledgement is particularly welcome from the former Climate Change Secretary, the right hon. Member for Doncaster North (Edward Miliband).
ParlaMint-GB_2015-12-15-commons.u210	I apologise to my right hon. Friend for returning to the subject of flooding when she has—rightly—just moved on to the subject of climate change, but does she agree that it is now time for a radical change in the way in which we fund our flood infrastructure and maintenance? The hon. Member for Bristol East (Kerry McCarthy) pointed out that when floods occur, there is investment, there are promises, but the investment then fades. That happened under the Labour Government, and it tends to happen under all Governments. Should we not hand responsibility for a regulated standard to, for instance, the water companies?
ParlaMint-GB_2015-12-15-commons.u211	We have already made a major change. Rather than allowing a stop-start in flood defence spending, we have, for the first time, laid out a fully funded six-year programme to give communities the certainty they need. I shall say more about that later, but I was in the middle of praising my right hon. Friend the Secretary of State for Energy and Climate Change. She has done a fantastic job, and I think that that needs to be acknowledged. She has achieved an international climate change deal that will bring about a level playing field—it is very important for countries across the world to contribute—but she is also making sure that we deal with customers’ bills at home. It is right for us to improve our economy, achieve economic growth and reduce carbon, and my right hon. Friend is showing how that can be done.
ParlaMint-GB_2015-12-15-commons.u212	rose—
ParlaMint-GB_2015-12-15-commons.u213	I have already given the hon. Gentleman an opportunity to contribute. I want to make a bit of progress now Under this Government, there is a long term-plan for economic and energy security, part of which involves improving our resilience and investing in flood defences. Extreme weather events are becoming more common. There have been devastating floods in Cumbria, Lancashire, Northumberland and elsewhere, and there has been record rainfall. Water levels in our rivers have been more than half a metre higher than they have ever been before. Yesterday, during my second visit to Cumbria in a week, I went to Appleby and Threlkeld, where I met residents, Army volunteers, and others whose work has been tremendous during this rescue effort. I saw the sheer power of the water, which had washed bridges downstream, but I also saw a huge amount of spirit and resilience among the Cumbrian people.
ParlaMint-GB_2015-12-15-commons.u214	May I invite the Secretary of State to return to the question asked by the hon. Member for Bristol East (Kerry McCarthy) about maintenance grants, and the amount that will be spent on maintaining existing flood defences? Does she accept that there is a shortfall of £2.5 billion between that amount and what the Environment Agency says is needed, and, if so, is she going to fill the gap?
ParlaMint-GB_2015-12-15-commons.u215	I can confirm that, as the Chancellor said in the autumn statement, we will increase our current maintenance expenditure of £171 million a year in real terms. In a climate in which we are having to reduce Government budgets, we are increasing, in real terms, both flood capital spending and flood maintenance spending. That shows where our priority lies.
ParlaMint-GB_2015-12-15-commons.u216	In his report following the devastating 2007 floods, Sir Michael Pitt said that flooding was the greatest risk that our country faced from climate change, and that flood defence spending needed to rise by more than inflation each and every year. Can the Secretary of State explain why, in real terms, we will be spending exactly the same in 2015-16 as we were spending in 2009-10?
ParlaMint-GB_2015-12-15-commons.u217	The reality is that between 2005 and 2010 Labour spent £1.5 billion on flood capital, whereas between 2010 and 2015 we spent £1.7 billion, which is a real-terms increase and not a cut. In this Parliament, we are investing £2 billion, which is a real-terms increase and not a cut.
ParlaMint-GB_2015-12-15-commons.u218	The question is: does the Secretary of State think that that is sufficient, given the recent events, and given the clear and growing link to climate change and its devastating effect?
ParlaMint-GB_2015-12-15-commons.u219	I thank the hon. Gentleman for his question. The additional funding we are putting into flood defences will mean a reduction in flood risk over the next six years. That is not an elimination of risk, and we also need to make sure that we have the right emergency response in place, but flood risk will be reduced.
ParlaMint-GB_2015-12-15-commons.u220	I just want to answer the point raised by Opposition Members about the spending in recent years. Following the 2013-14 floods, we put in an extra £270 million to repair and rebuild the defences that were destroyed. That is the money that Opposition Members are talking about, but even if we take account of that extra funding, which rebuilt and repaired defences after the winter floods, we are still spending more in real terms in this Parliament on flood defences, and we are laying it out in a six-year programme for the first time ever. When Labour was in power it never laid out plans for more than one year at a time, whereas we are laying out a six-year plan.
ParlaMint-GB_2015-12-15-commons.u221	When the Chancellor was pulling together his fast-track zones for housing, whereby half the houses are going to be built on floodplain areas, did the Secretary of State have sight of that policy? Did she comment on it? If not, why not?
ParlaMint-GB_2015-12-15-commons.u222	I will be very clear with the right hon. Lady: the Environment Agency is part of the planning process and it does not allow house building on floodplain areas—that is part of the planning process.
ParlaMint-GB_2015-12-15-commons.u223	The Secretary of State will remember not only the floods in Cumbria, but the awful flooding in Somerset. The Government have committed £35 million to Somerset until 2021, but will she comment on the arrangement we are putting in place through the Somerset Rivers Authority, which may become a model for dealing with flooding, funding and the wider catchment area?
ParlaMint-GB_2015-12-15-commons.u224	I thank my hon. Friend for her intervention. She is absolutely right to say that Somerset Rivers Authority, which is now established, forms a model that we can use in other parts of the country. It gives local people, who understand the area and the local catchment, the power to make decisions—
ParlaMint-GB_2015-12-15-commons.u225	rose—
ParlaMint-GB_2015-12-15-commons.u226	I have already given way to the right hon. Lady once and I want to make progress, in order to give the many constituency MPs who are part of the debate an opportunity to speak I want to respond to the Opposition’s point about local farmers, some of whom I met yesterday. We are helping them to get their land sorted out, as much of it is covered with rubble. We are putting in place a special scheme to help farmers, which will be open from this Friday, and we are also seeing what we can do to prioritise basic farm payments for the worst affected farmers I have talked about our £2.3 billion programme—this is the first time ever that a Government have laid out their future flood defence spending. The private sector partnership money that the hon. Member for Stockton North (Alex Cunningham) has been talking about is in addition to the real-terms increase—extra money so that even more flood defence schemes can go ahead. We have already secured £250 million of that money and we have a further £350 million earmarked. We are only six months into the scheme. Let us remember what happened between 2005 and 2010: only £13 million was raised. We raised £134 million in the last Parliament—10 times that raised under the previous Government The money we are putting in represents real flood defences across the country. It means that in Boston we are building a new £90 million barrier; in Rossall, Lancashire, we are investing £63 million for a new 2 km sea wall; in Exeter, we are investing £30 million in new flood defences; and on the Thames we are investing £220 million in a 17 km flood relief channel. I am pleased to say that in the constituency of the hon. Member for Bristol East we will invest £1 million in a scheme for Brislington, and that in Stockton North we are investing £8 million in a scheme at Port Clarence and Greatham South. What this money—this real-terms increase in spending—means is real protection for real families and real businesses across the country, in addition to protection for 420,000 acres of farmland.
ParlaMint-GB_2015-12-15-commons.u227	My right hon. Friend knows that local MPs supported a proposal to the Department seeking about £1 billion to help the Humber area, which faces the second greatest strategic risk in the country, after London. What plans does the Department have to work on coming up with a viable programme for our area?
ParlaMint-GB_2015-12-15-commons.u228	I thank my hon. Friend for his question. We are investing £80 million in flood defences for that area, but I am happy to meet him and his colleagues to talk about what more we can do to increase resilience there It is very important to note that we are not complacent about our flood defences. We will look at what has happened in recent weeks to make sure we learn lessons and act upon the new evidence that has come to light. We have committed ourselves to two reviews: first, the Cumbria flooding partnership, led by the Under-Secretary of State for Environment, Food and Rural Affairs, my hon. Friend the Member for Penrith and The Border (Rory Stewart), who has responsibility for flooding, will look at how we can improve downstream defences, do more to look at the overall catchment and slow the flow upstream, and more fully involve the community. I saw a fantastic project last week at Stockdalewath, where upstream mitigation is being used to reduce the peaks in river flow. This is already happening, but I want to see more of it, which is why we are launching this new workstream. Secondly, we are putting in place a national resilience review to look at how we model and plan for extreme weather, how we protect our critical assets and how we make future investment decisions—my hon. Friend the Member for Beverley and Holderness (Graham Stuart) asked about that. With the £2.3 billion programme that we have laid out, we want communities to have certainty that their projects are going ahead, so this review will look at future flooding investment to make sure that the formula is adapted to what we now know Let me be clear with Opposition Members that we already have some of the most sophisticated flood modelling in the world. For the first time in Cumbria, during this flooding we used ResilienceDirect, which meant that all the emergency services could communicate with each other in real time and with the Environment Agency, which was very effective at getting early action. We are working to make sure that we keep up to date with the latest trends in climate and in extreme weather, which the hon. Member for Bristol East was talking about The Government are completely committed to doing whatever it takes to make sure Cumbria and the other flood affected areas are up and running and more resilient for the future. But the reality is that without a strong economy, under a Conservative Government, we would not have money for these crucial schemes. It is our party that is investing in new power stations and making sure we have energy supplies, while reducing carbon emissions. It is our party that is investing to make this country more resilient and adapt to climate change and extreme weather. The Labour party has no plan, having shirked these decisions when it was in office and wasted our money. Let us all remember what the then Chief Secretary to the Treasury said: “I’m afraid there is no money” That was the Labour Government’s legacy. The fact is that it is the Conservative party that is protecting our economy, and safeguarding our security and our future.
ParlaMint-GB_2015-12-15-commons.u229	Mr Speaker, thank you for allowing me the opportunity to take part in this debate. I should like to urge Opposition Members in particular to pay close attention to what I have to say. Unfortunately, the motion shows a fundamental lack of understanding of the reality on the ground in Hawick and the Scottish borders, which is my constituency and which suffered serious flooding earlier this month.
ParlaMint-GB_2015-12-15-commons.u230	Does the hon. Gentleman accept that in my constituency in Northern Ireland there has been serious flooding in the past 10 days, and the motion makes no reference to that? Even today, at least 16 roads are still closed in the constituency.
ParlaMint-GB_2015-12-15-commons.u231	That is an excellent point. My constituency is mentioned in the motion, yet it has not been mentioned once in the debate so far, and the hon. Gentleman has had the same experience. It is extremely disappointing that the motion makes a fundamental error in terms of the funding process for flood defences in Scotland. I hope to explain this and say why I make this statement up front On 5 December the River Teviot broke its banks and it is true that some 600 people had to be evacuated in Hawick. A total of 333 homes were impacted, as well as 45 local businesses. However, the town reacted magnificently to the crisis. I was among the volunteers, along with the Scottish Minister for Community Safety and Legal Affairs, Paul Wheelhouse, putting down sandbags under the direction of Hawick flood group, with the police and emergency services, who all did a fantastic job. The reality is that, had it not been for their help and intervention, things would have been a lot worse. I pay tribute to all their efforts, including Scottish Borders Council. We all know that our councils tend to be the whipping boys on occasion, so I pay particular tribute to it for co-ordinating the effort The damage and disruption caused by the Hawick flood has been significant. The Scottish Government made it clear from the start that the Bellwin scheme would be implemented to fund repair work. They also emphasised that money was available to fund a full flood prevention scheme. A preferred scheme has been chosen, and we are now moving to detailed design. It is critical to get this right, as a wrongly built scheme can fail or even make things worse. This swift response has eased the worries of people in the town and shown the Scottish Government to be empathetic and fast acting.
ParlaMint-GB_2015-12-15-commons.u232	Just so that I am following the hon. Gentleman’s speech, is he saying that the Scottish Government have been exemplary and wonderful, and there is nothing else that he would ask them to do on behalf of his constituents in this important matter?
ParlaMint-GB_2015-12-15-commons.u233	That is a wonderfully glowing tribute to everyone in my constituency. I thank the hon. Gentleman. If he would like to listen a bit more, I will go on to explain the process in more detail. If anyone says that nothing can be learned, they are mistaken. There is always potential to improve the response and do better next time. The flooding that took place will be examined in detail, and will inform the flood defences that are put in place Right across Scotland, there was a first-class and highly impressive multi-agency response. However, the stark truth is that we will never be able to stop flooding fully. It has been with us throughout history. Both the Old Testament and the Koran tell us the story of Noah and the Ark. I am afraid that there must have been people in Scotland and indeed in the constituency of the hon. Member for Carlisle (John Stevenson) who thought they were extras in the sequel. As we cannot prevent water flows, we must do our best in redirecting them. In Scotland, all the flood defences we had in place held. In Galashiels in my constituency, they stayed in place, and in Selkirk, although only half built, they did their job. This highlights how well-designed schemes can make all the difference The Scottish Government regard reduced flood risk as a priority and provide annual funding of £42 million for councils to add to and invest in major flood prevention schemes.
ParlaMint-GB_2015-12-15-commons.u234	Does my hon. Friend accept that there is also an issue of urban flooding, which has perhaps been slightly less reported? Summerston in my constituency has been renamed an island because all the major access roads were blocked by sudden flooding and overflowing drains. It is important that local authorities are able to invest the money appropriately.
ParlaMint-GB_2015-12-15-commons.u235	I thank my hon. Friend for that excellent point. It is absolutely not just a rural challenge. The flood damage in urban areas is exacerbated by the concentration of dwellings.
ParlaMint-GB_2015-12-15-commons.u236	I was in charge of flood risk management for Wales, so I know how important devolved Administration is in this respect. Has the hon. Gentleman considered the capture of water on buildings in butts to reduce the amount that goes into sewers or investing in the resilience of particular properties by putting plugs up walls, waterproofing and so on? No defence is 100% reliable.
ParlaMint-GB_2015-12-15-commons.u237	The hon. Gentleman displays an admirable knowledge of the subject. If I ever live in a house built on a floodplain by the Conservatives, I will know where to go for advice It is important to consider all aspects. The debate is about climate change and flooding, but many other issues such as land use and planning could be covered in a lot more detail. We must always plan to prevent flooding at a local level and mitigate where we can. The hon. Gentleman makes an excellent point, and I thank him The Scottish Government enacted their Flood Risk Management (Scotland) Act in 2009. This introduces a sustainable and modern approach to flood risk development which considers the problems of climate change. For instance, it creates a revised and streamlined process for protection schemes as well as a framework for co-ordination between organisations involved in flood risk management. New methods have also been put in place to ensure that stakeholders and the public have an input into this process, as is happening in Hawick now Another hugely important piece of legislation is the Climate Change (Scotland) Act, again enacted in 2009. This sets some of the toughest climate change targets in the world, with an interim 42% reduction by 2020 and an 80% reduction target by 2050. Ministers are required to report regularly to the Scottish Parliament on progress and emissions. Earlier this year, the Committee on Climate Change concluded that Scotland had continued to make good progress towards meeting these ambitious greenhouse gas reduction targets. We are on track to meet that 42% target ahead of schedule. In fact, we continue to outperform the UK as a whole In western Europe, only one of the EU15 states, Sweden, has achieved greater reductions. The Scottish Government have not hit all their targets, partly because of data format revisions, but they should be applauded for their ambitious vision and for seeking to lead the way. The determination is that Scotland should continue to be a world leader in this area. That, surely, is the right approach. We should acknowledge their ambition and successes so far. I hope that in this Chamber we will recognise that there is a lot to learn from them in terms of best practice. For instance, the Scottish Government have pledged some £1 billion of funding over two years for climate change action and have plenty of reason for optimism Last year, renewables overtook nuclear as Scotland’s largest source of electricity. Only last month, wind turbines produced 131% of the electrical needs of Scottish households. These are highly encouraging figures. However, no nation can operate in isolation in this area. Only by working together can world leaders properly address this, the greatest global environmental threat of our age. At last week’s Paris summit, we finally managed to achieve a universal agreement—one that has been signed up to by rich and poor countries alike. I congratulate the Secretary of State on her role and hard work in securing success at that historic event, which was also attended by Scotland’s Environment Minister and First Minister. The deal reached will not by itself solve global warming. It is not a panacea. But Paris finally showed that the will, along with a firm commitment, is there.
ParlaMint-GB_2015-12-15-commons.u238	The hon. Gentleman will know that emissions from aviation and shipping were left out of the Paris agreement. Does he agree that that is a fatal omission and, similarly, that airport expansion, be it at Heathrow, Gatwick or anywhere else, would fatally undermine the UK’s ability to make a fair contribution to keep global warming well below 2 °C, let alone the 1.5 °C goal that is a matter of survival for many vulnerable countries?
ParlaMint-GB_2015-12-15-commons.u239	The hon. Lady makes an excellent point. It is notable that the recent carbon report made the same point about excluding the contribution of air quality in this regard. We must start looking at the whole picture Paris did, however, show that the will exists, along with a firm commitment. As long as the 196 nations which signed up to the declaration are prepared to prove that their word is truly their bond, we can look forward to a future that is bright and a future that is green. In Scotland, as in so many other countries, this agreement could literally reshape our landscape. At present, increasing rainfall and changes in patterns mean that our 50,000 kilometres of rivers are likely to flood more often. That could affect most of our major airports, which are on low-lying land, as well as places such as the petrochemical complex at Grangemouth. Rising sea levels also mean that some of our coastal habitats could be lost entirely There is another effect. Climate change affects lungworm, a disease which affects sheep and renders their lungs unusable as food. I hope not to disturb my colleagues but sheep lungs are, of course, a key ingredient in haggis, which is central to Scottish culture. What would Burns night be without haggis? There could be a threat to our very nationhood! Hopefully, though, we can now avoid some of the worst consequences of climate change and the consequent risk to one of our finest native foods Since the election in May, the SNP has argued strongly against UK Government moves to roll back support for renewable energy. Subsidies to onshore wind, solar and power station conversion to wood or biomass are being reversed, and green deal funding scrapped. I know that some of my colleagues plan to talk about this in more detail and about the Treasury’s decision to cut investment in carbon capture and storage technology, which is unwise and short-sighted Some environmentalists say that we are now going through the worst period in green policy for 30 years. The need for positive and dramatic action stares us in the face. Climate change can no longer be denied. After Paris, every nation will have to be bolder. This offers us a real opportunity to change the direction of travel. It is the perfect time for Ministers to reverse their recent negative attitude towards renewables and, like Scotland, turn the UK into a leader. They must walk the walk. This is our moment of choice. We can, literally, turn back the tide. For us, and for our children and grandchildren, while there is still time, I implore this Government to help to do so.
ParlaMint-GB_2015-12-15-commons.u240	It is a pleasure to take part in this debate, following as it does the excellent news from Paris and the rather more depressing news of recent flooding I have just lost two of my favourite Ministers from the Front Bench—although they are staying for a moment—but I have another still on the Front Bench. I am delighted to have their temporary audience. Like my right hon. Friend the Secretary of State for Environment, Food and Rural Affairs, I congratulate our right hon. Friend the Secretary of State for Energy and Climate Change on her part in helping to deliver a deal in Paris. Colleagues across the Chamber will doubtless debate how important and how effective that deal is and how it contrasts with Copenhagen, from which the right hon. Member for Doncaster North (Edward Miliband) bears such scars. Despite much of the detail being left for future work, I think we have a framework from Paris which can give us hope for the future. The intended nationally determined contributions provide the building blocks with which we can go forward. We have in place in the agreement the promise of not only a stocktake, but a review and, we hope, a growth in ambition over time Following Paris, my right hon. Friend the Secretary of State for Energy and Climate Change has two things to do. One is to ensure that UK decarbonisation proceeds within the framework provided by the Climate Change Act 2008 and the fourth and fifth carbon budgets—our most current—which have been produced by the Climate Change Committee. We have not always got it all right. For instance, in the case of onshore wind, which is the lowest cost form of renewable energy that we have, there was a misdiagnosis of the problem The diagnosis of the problem, which people like me helped to provide over many years on behalf of our constituents, was that our constituents did not like having onshore wind turbines foisted on them, their local councillors ignored and a distant inspectorate insisting on them being built, resulting in our constituents losing any sense of control over the local environment. What local people wanted was to have control over their local environment. In those areas where there was least opposition, or where the recompense was adequate, onshore wind turbines should be allowed, but where local people were set on not having them, they should not go ahead That was a mistake that Labour made in government. With various Ministers in place I tried to get them to see that we would ultimately end up with more if we went with the grain of local opinion rather than trying to fight against it, but inevitably those whose local environment would be dominated by those constructions and who had had no say on it would find a political voice and eventually bring the scheme to a halt. We would end up with fewer, rather than more, wind turbines. So it has proved The misdiagnosis lay in the fact that my party came to the conclusion that the difficulty was not the planning, but the subsidy, even though it is the lowest subsidy of any form of renewable energy. So we got to the bizarre situation where there is no subsidy for the cheapest form of renewable energy, at the same time as we talk about lowering costs to consumers. We should have removed the right to appeal to the inspectorate and allowed the developers to provide packages which won support in certain parts of the country. Personally, I felt that we would have ended up with more, but somehow we have ended up with the cheapest form of renewable energy in effect receiving no support, which is a bizarre outcome. We do not want to make further such mis-steps On the positive side, in my local area we have offshore wind. By next year we should have 6 GW of offshore wind in this country, more than the rest of the world combined. By 2020 we should have 10 GW and, as the Secretary of State laid out recently, as did the Chancellor in the autumn statement, there is every hope that we will see a doubling of that between 2020 and 2030. So we are making significant progress in offshore wind, and it is only because of the pipeline that we have seen the supply chain and manufacturers able to invest and lower cost The big task for the Secretary of State is to work out how we are going to deliver decarbonisation of the UK economy at the lowest possible cost. It became apparent to me 10 years ago at the Montreal COP—conference of the parties—that we had to get the costs down. Sadly, hand-wringing environmental concern is not widely shared among the general populace of this country, among parliamentarians or across the world. We need to get the costs down so that it becomes more politically acceptable to people to do that which is compatible with tackling the risks suggested by the science My advice to the Secretary of State is that in every decision she makes in this area, she needs to think about creating a framework which encourages that investment. The state is only a relatively small player. Sometimes Ministers of successive Governments in this country talk as if the state is the key driver. The state is not the key driver; it is a small player. We create the framework, then we get the investment. It is that investment in solar by private companies in China and elsewhere, partly driven by the German market, that has led to the massive reduction in costs for solar. It has been the private sector investment, with the help of the Green Investment Bank, which has helped accelerate the cost curve downwards for offshore wind. That is what we must do—create a consistent environment There was a lot of positive rhetoric under the Labour Government about tackling climate change, but remarkably little action. In the end, in 2010, there had not been the progress that we should have seen. In the United States, by comparison, the rhetoric has always been negative but the policy environment for investment has been more positive. That is why there has been a great deal of investment in the United States, as well as more innovation and more jobs created than in this country, even though we, through the Climate Change Act and other things, have tried to be, and appeared to be, world leaders.
ParlaMint-GB_2015-12-15-commons.u241	I cannot let the hon. Gentleman’s comments pass without intervening, but I will try to say this on a cross-party basis. The success in offshore wind, which is now quite remarkable and we need to keep it going, was built on the back of the pipeline that was set up during the period of a Labour Government. That Government—I was an Environment Minister at the time—put in place things such as the £60 million investment in the ports facilities that is now allowing Siemens to carry out manufacturing in this country, and gave the go-ahead for the licensing.
