ParlaMint-GB_2015-06-30-commons.u1	1. What steps he is taking to support small and medium-sized businesses to become more competitive.
ParlaMint-GB_2015-06-30-commons.u136	I fully agree with my hon. Friend. We will continue to work very hard to cut regulations, building on the very successful red tape challenge in the previous Parliament and the policy of one in, two out. Cutting regulation for businesses is like a tax cut for those businesses. The only difference is that it does not cost the Exchequer anything, so we should cut as much regulation as possible.
ParlaMint-GB_2015-06-30-commons.u137	Britain has the worst productivity in the G7, bar Japan. Proper adult skills provision, not just apprenticeships, plays a vital role in addressing that, but the adult skills budget has been cut by 35% in the past five years. Now the Chancellor tells us that a further £450 million is to be taken out of the Department’s budget, which could lead to the end of further education as we know it. In the light of these very real concerns, what assessment has the Business Secretary undertaken on the risks posed for the sector? Will he now guarantee that no college will close as a result of what he and the Chancellor are going to do?
ParlaMint-GB_2015-06-30-commons.u138	One of the most important things for businesses, and for a vibrant economy, is making sure we continue to deal with the record budget deficit we inherited from the previous Labour Government. The hon. Gentleman knows that himself. He has been busy telling the press very recently: “to be running a deficit in 2007, after 15 years of economic growth, was…a mistake.” He understands the importance of this, and it means the Government have to make difficult decisions. He also said very recently to the Financial Times that “We are starting from square one.” I think he was talking about the economic credibility of the Labour party. I do not think that was an accurate statement; I think he was—
ParlaMint-GB_2015-06-30-commons.u139	Order. The Front-Bench exchanges have to be brief. A lot of Back Benchers want to get in. It is very self-indulgent to have these long-winded exchanges from the Front Bench.
ParlaMint-GB_2015-06-30-commons.u140	When consolidating, you have to make appropriate choices—you do not want to cut off your nose to spite your face. If we want to increase revenue, we need to increase productivity. Look at South Gloucestershire and Stroud College, which the Secretary of State attended: this month it confirmed that 70 staff posts are in danger due to the reduction in its adult learning funding. The principal of that college said: “we need to reduce our costs in line with the reduction in funding to maintain our solvency.” Should the alarm bells not be ringing when his own college is citing issues of solvency before we have seen the full scale of what he is going to do to the productive capacity of the economy?
ParlaMint-GB_2015-06-30-commons.u141	It was an excellent college—[Hon. Members: “Was!”] And it still is. I know many people who attend the college and they speak of it very highly. The important point is that all colleges, not just that college, have the resources they need to do their jobs. We will not put that at risk, especially as they continue to invest in apprenticeships, which are one of the surest ways to give people the training they want and to ensure they have skills that are wanted in the marketplace.
ParlaMint-GB_2015-06-30-commons.u142	T3. I have been contacted by further education colleges in my constituency that are concerned about the decisions being made in-year to reduce funding. Will my right hon. Friend lay out a strategy that enables colleges to have a five-year programme, even if it means a gradual reduction in funding?
ParlaMint-GB_2015-06-30-commons.u143	I know my hon. Friend recognises that difficult choices have had to be made and will have to be made during the spending review to bring the deficit down. It is that process of deficit reduction that has led to the massive growth in employment. I absolutely hear the argument he makes. Long-term certainty would be of tremendous value to colleges, and I will definitely make sure that that argument is made.
ParlaMint-GB_2015-06-30-commons.u144	T2. Will the Secretary of State tell me what discussions he has had with the Secretary of State for Transport to ensure that business and growth do not suffer as a result of the delay to the electrification of the trans- Pennine line?
ParlaMint-GB_2015-06-30-commons.u145	I was disappointed by that recent news, because it is important that we continue to invest in infrastructure—not least for increased productivity and, therefore, jobs growth. I have not yet had a discussion with the Transport Secretary, but I am looking forward to doing so.
ParlaMint-GB_2015-06-30-commons.u146	T5. Does my right hon. Friend think that the CBI’s poverty of ambition for a radical new relationship with the EU is attributable to the fact that the CBI receives funding from the EU?
ParlaMint-GB_2015-06-30-commons.u147	The point I made yesterday to the CBI was not just about the CBI, but was a call to all business groups. The best way to get the EU reforms that many of them seek is for them to help the Government with their negotiations, speak to their partners in other European countries and then make up their minds at the end of the process.
ParlaMint-GB_2015-06-30-commons.u148	T4. I am sure the Secretary of State will agree that helping businesses to grow and develop is a key aim of the devolution and northern powerhouse agendas. Will he explain, therefore, why the word business does not appear anywhere in the Cities and Local Government Devolution Bill?
ParlaMint-GB_2015-06-30-commons.u149	Not only do I agree with the hon. Gentleman about the importance of business, but my father’s first business began in his constituency, so I understand the importance of this to people in Rochdale and elsewhere. It is important that the word “business” and the importance of business appear throughout Government policy, as they do in the Conservative manifesto and, as I am sure he will hear next week, in the Budget.
ParlaMint-GB_2015-06-30-commons.u150	T6. Low-paid workers in my constituency will have been pleased to see the first above-inflation rise in the minimum wage since the financial crash, but what more can the Government do to encourage employers to pay the living wage where affordable?
ParlaMint-GB_2015-06-30-commons.u151	My hon. Friend is absolutely right. It is tremendously welcome that, as a result of the recovery, it has been possible for the Government to implement this second increase in the minimum wage—and the first that is higher than the rate of increase in both inflation and average earnings—which takes the minimum wage to £6.70. We want any employer that can afford to pay the living wage, without losing jobs, to do so, and we encourage them all to think of doing so soon.
ParlaMint-GB_2015-06-30-commons.u152	T9. Workers at the Young’s Seafood factory in Grimsby are worried for their futures after Sainsbury’s ended a contract with it. Grimsby already has the 17th highest unemployment rate in the country, and in the past few years it has seen several established companies leave the area, leaving behind nothing to replace them. Given that the Young’s site provides 500 skilled jobs, what support can the Government offer to avoid further losses of skilled jobs?
ParlaMint-GB_2015-06-30-commons.u153	Officials from my Department have already met people at Young’s in her constituency, following the question from my hon. Friend the Member for Cleethorpes (Martin Vickers). Those meetings are continuing. I assure the hon. Lady, however, that if it is bad news, all the good support she would imagine coming from the Department for Work and Pensions to make sure people can find new work will be put in place. None the less, I am more than happy to meet her and my hon. Friend to discuss the matter.
ParlaMint-GB_2015-06-30-commons.u154	T7. The Minister knows my background and support for small businesses in High Peak. I am delighted that 135 new businesses were set up in my constituency in the last Parliament, leading to more than 4,000 new apprenticeships. Will he tell me and my constituents what plans he has to build on this record, see unemployment fall and provide more opportunities across High Peak, particular for young people?
ParlaMint-GB_2015-06-30-commons.u155	My hon. Friend reminds us that this is a “one nation” recovery that is benefiting all parts of the country, including his own stunningly beautiful constituency. We are determined over the next five years to create thousands more businesses, millions more jobs and millions more apprenticeships for his constituents and the constituents of all hon. Members.
ParlaMint-GB_2015-06-30-commons.u156	May I congratulate the Secretary of State on his appointment and wish him and his ministerial team every success? On Thursday, he announced the sell-off of part or all of the UK Green Investment Bank, but it is unclear what proportion will be sold off. When it was established in 2012, the bank’s impact assessment said it was the only option that addressed market failure and barriers. How have these market failures been fully addressed and how will the Government’s sketchy plans for the most active green investor in the UK not undermine market confidence?
ParlaMint-GB_2015-06-30-commons.u157	I congratulate the hon. Gentleman on being elected Chairman of the Business, Innovation and Skills Select Committee and look forward to working with him. Since it was set up three years ago, the UK Green Investment Bank has been very successful. In fact, this year, for the first time, it is expected to turn a profit. I want to make it stronger and even more successful, however, and one of the best ways to do that is to ensure it can access both private capital and private equity—
ParlaMint-GB_2015-06-30-commons.u158	Order. I call Michael Tomlinson.
ParlaMint-GB_2015-06-30-commons.u159	T8. I welcome the Government’s work to encourage businesses to take more people on by reducing the burden of employment law, helping more people in my constituency to get into work. What reassurance can the Secretary of State give me that he will further reduce the burden of regulation, thus helping businesses in Mid Dorset and North Poole and across the country?
ParlaMint-GB_2015-06-30-commons.u160	I welcome my hon. Friend to his place. As he has heard, it is an absolute priority for the Government to continue the great work we achieved over the last five years, with £10 billion-worth of saving by deregulation and a promise of £10 billion more to come in the next five years. I look forward to working with my hon. Friend and others—via Twitter or whatever—so we can find out where the regulations are that do not need to be there, get rid of them and make sure that we keep Britain working.
ParlaMint-GB_2015-06-30-commons.u161	Having failed to rule out a hike in university tuition fees during this Parliament, can the Minister rule out at least that there will be no changes either to tuition fee levels or the terms of repayment on student loans for existing students and graduates? Yes or no?
ParlaMint-GB_2015-06-30-commons.u162	The hon. Gentleman has previous experience as president of the National Union of Students, so it is valuable to us to have him here. He will know that the OECD has praised the UK as being one of the only countries in the world to have come up with a sustainable way of funding higher education, and this Government have every intention of continuing to ensure that our higher education system is funded successfully and sustainably over the years ahead.
ParlaMint-GB_2015-06-30-commons.u163	T10. Small businesses are a substantial part of the local economy of my constituency. I was pleased to welcome the news that, since launch, 22 people have already taken up start-up loans worth nearly £140,000 to start new businesses in Cannock Chase. However, relatively speaking, this is low. What steps are the Government taking to encourage more people to take advantage of this scheme in areas such as my constituency?
ParlaMint-GB_2015-06-30-commons.u164	I welcome my hon. Friend to her place. We know that start-up loans have led to considerable success. One thing I am keen to do is to ensure that we keep all small businesses, especially entrepreneurs and people looking to start up their business, well informed and absolutely aware of the various schemes available to them. I know the British Business Bank, through its website and other media, can provide that information, and I want to make sure that it is working, so that in the real world, people have access to funds, to schemes and the advice they often need when starting up their business.
ParlaMint-GB_2015-06-30-commons.u165	The Secretary of State will be aware of the great concern about the Government’s failure to meet export targets. With UK Trade & Investment’s own surveys saying that more than a quarter of businesses reckon that there is no business benefit from UKTI, how does he propose to deal with this problem?
ParlaMint-GB_2015-06-30-commons.u166	We have seen some growth in exports over the last five years, but not enough. This remains a challenge, which means looking carefully at UKTI and improving what it does. That is exactly what the Minister for Trade and Investment, Lord Maude, is doing. The hon. Lady may know that we have seen record inward investment, which is also important and a job of UKTI to promote. It has now topped £1 trillion—the highest in Europe.
ParlaMint-GB_2015-06-30-commons.u167	The Secretary of State will know that from this September, companies will have two years in which to introduce the new general data protection regulations, estimated to cost £2 billion. Will he ensure that his Department does all it can to minimise costs and to make industry aware, so that they can comply within the timescale?
ParlaMint-GB_2015-06-30-commons.u168	I thank my hon. Friend for his question; he makes an important point. I know my diary is going to get busy, but I would very much welcome a meeting to discuss this with him because—[Interruption.] I do not know why Labour Members seem to be complaining about Ministers meeting Back Benchers—I would be happy to meet even the right hon. Member for Birmingham, Hodge Hill (Liam Byrne). I look forward to working with my hon. Friend on this important matter, of which we are aware. We must make sure that we do this properly.
ParlaMint-GB_2015-06-30-commons.u169	Has the Secretary of State had an opportunity to consider last week’s report from the Northern Ireland Consumer Council, which highlights the barriers to online consumers getting postage to Northern Ireland, the islands or the highlands of the United Kingdom? What steps can the Secretary of State take to create, dare I say it, a “one nation” consumer market where the inhibitors and the barriers are removed once and for all?
ParlaMint-GB_2015-06-30-commons.u170	I have not yet had an opportunity to look at the report, but now that the hon. Gentleman has mentioned it, I shall certainly do so, and I shall then be able to respond to him on the issue that he has raised. He may be interested to know, however, that just today it was reported that consumer confidence throughout the United Kingdom had hit a 15-year high, which means that the Government’s long-term economic plan is working.
ParlaMint-GB_2015-06-30-commons.u171	rose—
ParlaMint-GB_2015-06-30-commons.u172	Order. I am sorry, but we must move on.
ParlaMint-GB_2015-06-30-commons.u173	On a point of order, Mr Speaker. Have you received any notification from the Government that they intend to announce plans on Thursday to restrict the rights of Scottish Members of Parliament here in the House of Commons, even if the matters concerned have an impact on the Scottish budget? The Daily Telegraph reports today: “Number 10 hopes to use an obscure parliamentary procedure known as standing orders to lock Scottish MPs out of shaping legislation that only affects English voters. The move needs just a single vote of approval from MPs to be put into law in a move that would circumvent the months of parliamentary scrutiny which comes with full legislation.” Have you been given any notice of those proposals, Mr Speaker, and have there been any discussions with you about the potential role of the Speaker in certificating such procedures?
ParlaMint-GB_2015-06-30-commons.u174	I have a number of things to say to the hon. Gentleman. First, in so far as there are periodic discussions on a wide range of matters involving the Chair, those discussions take place properly between the participants. The matters that are discussed are not aired on the Floor of the House. I hope that the hon. Gentleman will respect the significance of that principle and its application in this context Secondly, I have received no formal notification whatsoever of Government intentions on the matter relating—as the hon. Gentleman said—to Thursday. I think the hon. Gentleman knows that this is an issue that has been discussed over a period, and, if memory serves me, his right hon. Friend the Member for Gordon (Alex Salmond) aired it only the other day in a point of order; so it is not a novel concept Thirdly, let me say very gently to the hon. Gentleman, who is an experienced denizen of the House, that he is far too worldly wise to be beguiled or swept along by the journalistic licence that causes a scribe to refer to Standing Orders as an obscure device. There is nothing obscure about Standing Orders. The hon. Gentleman, exercising his customary patience and statesmanship, must await the development of events.
ParlaMint-GB_2015-06-30-commons.u175	On a point of order, Mr Speaker. It concerns yesterday’s business. Some of us were very concerned about the mixed nature of the Prime Minister’s statement. Many of us thought that two separate statements would have been more appropriate. Did you take that into consideration, Mr Speaker, when the Prime Minister made his request to make a statement? Some of us found it very awkward that a tragedy—a deeply felt tragedy—was mixed up with a report from a European meeting that the Prime Minister had attended. They did not seem to us to sit well together.
ParlaMint-GB_2015-06-30-commons.u176	I am grateful to the hon. Gentleman, who is a very experienced Member of the House. The short answer is that it was entirely a matter for the Prime Minister. Let me add—just to put the matter in context, and so that the hon. Gentleman is not misled—that it would always be a matter for the Minister in question, whether that Minister be the Prime Minister or any other Minister. I note what the hon. Gentleman has said, and it should be heard on the Treasury Bench, but it is still a matter for Ministers to decide In the circumstances—and I think that the Prime Minister had very good intentions in seeking to address the House on both subjects, even if the hon. Gentleman did not think it was the right way to go about things—I thought that my role was to try to maximise the number of contributors, bearing in mind that some Members would want to raise the atrocious events in Tunisia, while others would be more focused on the matters appertaining to the European Union The hon. Gentleman is very experienced, and I think he will testify that exchanges on statements nowadays tend to last somewhat longer. My own view is that the interests of the House, rather than the convenience of a Minister, should come first. I know that that does not altogether meet the hon. Gentleman’s concerns, but he has put them on the record, so let us see how matters progress. He may find that, as he is somewhat of a sage, his counsel will be heeded in future I think that the point of order appetite has been satisfied. The Clerk will now proceed to read the Orders of the Day.
ParlaMint-GB_2015-06-30-commons.u177	I beg to move amendment 128, page 21, line 39, leave out from “of” to the end of line 7 on page 22 and insert “a disabled person or person with a physical or mental impairment or health condition in respect of effects or needs arising from that disability, impairment or health condition.” The current definition of ‘disability benefit’ used in the Bill is restrictive and could place unnecessary limits on the kind of replacement benefit the Scottish Government has the power to introduce. It may not, for example, allow the Scottish Government to introduce a benefit to assist people with very low level disabilities or those for whom the effect of their disability is largely financial.
ParlaMint-GB_2015-06-30-commons.u178	With this it will be convenient to discuss the following: Amendment 112, page 22, leave out lines 6 and 7 Removes the word “short-term” in the clause devolving disability benefit. It is not clear what “short-term” means in this context, how it will be defined or whom it may exclude from receiving the benefit. Amendment 48, page 22, line 45, leave out sub-paragraph (a) Clause 19 stand part Amendment 115, in clause 20, page 23, line 27, after “financial”, insert “or other” This amendment would enable the provision of assistance, in relation to benefits for maternity, funeral and heating expenses, in a form other than cash. Amendment 49, page 23, line 33, leave out “8” and insert “9” Amendment 50, page 23, line 34, leave out “8” and insert “9” Clause 20 stand part Amendment 12, in clause 21, page 24, leave out lines 9 and 10 Clause 21 stand part Amendment 129, in clause 22, page 24, line 27, leave out from “who” to “appears” in line 32 The current Exception 6 would extend the power to provide discretionary housing payments only to those already in receipt of housing benefit. Those who lose entitlement to any housing benefit as a result of the under-occupancy charge are precluded from accessing discretionary housing payments. The amendment seeks to allow the Scottish Parliament to mitigate the impact of the bedroom tax. Amendment 116, page 24, leave out lines 36 to 48 This amendment would remove some of the restrictions, including those relating to sanctions, in relation to discretionary housing payments. Amendment 13, page 24, leave out lines 36 and 37. Amendment 132, page 25, leave out lines 1 to 8 The exception in the Bill could be problematic where claimants have had their housing benefit wrongly suspended. The amendment would allow the Scottish Parliament to provide discretionary housing payments in cases which might be regarded as arising from non-payability of a reserved benefit. Clause 22 stand part Amendment 8, in clause 23, page 25, line 28, leave out “short-term” Amendment 117, page 25, leave out lines 30 to 37 This amendment would broaden when discretionary housing payments can be made by removing some restrictions including those relating to sanctions. Amendment 111, page 25, line 39, leave out “occasional” Amendment 131, page 25, line 45, at end add “or (b) who are part of a family facing exceptional pressure.” Clause 23 stand part New clause 31—New benefits— “In Section F1 of Part 2 of Schedule 5 to the Scotland Act 1998, in the Exceptions, after exception 8 (see section 23 above) insert— “Exception 9 A benefit not in existence at the relevant date provided entitlement to or the purpose of the benefit is different from entitlement to or the purpose of any benefit that is— (a) in existence at the relevant date, (b) payable by or on behalf of a Minister of the Crown, and (c) otherwise a reserved benefit For the purpose of this exception— “the relevant date” means the date of introduction into Parliament of the Bill that becomes the Scotland Act 2015; “reserved benefit” means a benefit which is to any extent a reserved matter.” This New Clause broadens the circumstances under which the Scottish Parliament can create new benefits, as recommended by the Smith Commission.
ParlaMint-GB_2015-06-30-commons.u179	This afternoon, we are competing with the BBC’s coverage of Wimbledon; I hope we do not damage its ratings as Andy Murray kicks off his tournament. Of course, everyone in the House wishes Andy Murray well—not just for today’s match, but for the rest of the tournament. We apologise in advance if nobody watches his tennis match because their eyes are focused on this Chamber It is a privilege to speak on the Bill’s welfare provisions, to move amendment 128 and to speak to the other amendments as well as the very important new clause 31, which stands in my name and those of other hon. Members. I hope that Scottish National party Members—I had called them a braying mob, but there are slightly fewer of them this afternoon than last night—will not implode when I start by complimenting them: we will support their amendments 115 and 131, to which I have also added my name This area of the Bill devolves to the Scottish Parliament new and substantial powers over welfare, transferring to it £2.5 billion-worth of welfare responsibility. This is a real opportunity for Scotland; today we could pass amendments that fundamentally transform the Scottish Parliament’s relationship with the welfare system. It would then be up to the Scottish Government of the day to design the system that they want, and that the Scottish people have voted for, and find the resources to pay for it As much as the SNP has been desperate to be disappointed by the Bill, its approach to the welfare section has been broadly similar to Labour’s. I think that the only major difference arises from the SNP amendments to devolve national insurance. As I said yesterday—perhaps this was lost in the melee of the debate—that is a perfectly legitimate amendment for a party that believes in independence, but we disagree with that fundamental principle. As the party of devolution, we believe in a strong Scottish Parliament within the UK. We passionately believe that it is in the best interests of all Scots and the rest of the United Kingdom that there should be a pooling and sharing of resources, redistributing wealth from the haves to the have-nots The Conservatives believe in the redistribution of wealth from the have-nots to the haves. Since 2010, the House has seen a sustained attack on the most vulnerable. It was not the poorest and most vulnerable who caused the worldwide recession, but the reckless gambling on the financial markets. That led to a Government income crisis, which led to a Government obsessed with austerity, and that has choked off demand in the economy, hitting the poorest hardest right across the United Kingdom There are many examples, but the most pernicious, unfair and unequal of those welfare changes must be the bedroom tax. It has hit the most vulnerable very hard for the sake of very few savings on the welfare budget. A further £12 billon of unfunded welfare cuts were announced at the general election, with no detail whatever about where they would fall The Government’s problem is that they are failing to deal with the welfare system’s underlying problems. For example, the lack of affordable and social housing is increasing the housing benefit bill as many are forced into the much more expensive private rented sector. I see that happening every single day in my constituency.
ParlaMint-GB_2015-06-30-commons.u180	There are reports in the press that Labour and the SNP are proposing to introduce higher welfare payments in Scotland and higher welfare bills, which the Bill would allow them to do. Does the hon. Gentleman not agree that both parties should spell out which taxes the Scottish people would have to pay to fund those commitments?
ParlaMint-GB_2015-06-30-commons.u181	We have a number of proposals relating to the Bill, including devolving housing benefit, which we will discuss this afternoon. We think that that money should be reinvested, wherever possible, in the building of social and affordable housing, because that would ultimately bring down the housing benefit bill. The hon. Gentleman tends to forget that if we invest to deal with the fundamental underlying problems in the system, we can bring the benefit bill down Getting people into work, introducing higher pay and building social housing to get people out of the more expensive private rented sector would all make a huge difference to the benefit bill. More money would then be available to reinvest in the system. Our double devolution proposals to get the Work programme, the Work Choice programme and Access to Work into the hands of the local authorities, which are in the best position to deliver them, would allow us to reinvest into the system. The Conservatives’ response of simply cutting the welfare bill rather than dealing with the fundamental underlying problems is the reason why the bill has been going up despite all the changes that the Government made during the last Parliament Let me make it clear that Labour is the only true guardian of the UK welfare system, supporting pensioners and the most vulnerable against Conservative cuts that will hit working people the hardest and against an SNP group determined to break up the system without having any idea of the consequences. That is why the Bill is so important. According to the House of Commons Library, if the Bill were passed in its present form, the Scottish Parliament would be responsible for 62% of all public expenditure. If the new clause proposing the devolution of housing benefit were passed, that figure would rise to 65%, but that is within the integrity of the UK welfare system.
ParlaMint-GB_2015-06-30-commons.u182	I know that the hon. Gentleman is a reasonable man, and I do not want him to get too carried away with his narrative of how beastly the Conservatives have been to the poorest people. In my constituency, no new social housing was built during the 13 years during which we had a Labour MP. Now, 100 new social houses have been started. His narrative is precisely the one that his party tried, and failed, to get across during the general election. Does he not agree that it is time to look at welfare in a completely different light?
ParlaMint-GB_2015-06-30-commons.u183	That might be the experience in the hon. Gentleman’s constituency surgeries on a Friday and Saturday, but it is not the reality for my constituents. Many disabled people, and all the disability and voluntary sector organisations that have contributed to these parts of the Bill, have said something completely contrary to what he has just said. That might be the experience in his own backyard, but it is certainly not what I see in my constituency. The Scottish Council for Voluntary Organisations, the Child Poverty Action Group, Shelter Scotland, Enable and many other disability charities have all said that the situation is completely contrary to the one he is describing. I do not think that having the lowest level of house building since the 1920s is anything to be proud of. We should be doing something about that, across the House.
ParlaMint-GB_2015-06-30-commons.u184	The hon. Gentleman’s preamble was slightly depressing, because it failed to wake up to a fact that I thought Labour Front Benchers had woken up to—namely, that all his party’s intentions and warm words about welfare would come to nothing if they were not underpinned by a strong economy.
ParlaMint-GB_2015-06-30-commons.u185	I do not think that the hon. Gentleman was listening to my preamble, as he puts it, because I was talking about the underlying problems in the welfare system. They include: a lack of affordable social housing, which pushes people into the more expensive private rented sector, which pushes up the housing benefit bill; a lack of higher pay, which pushes up the benefit bill; and a lack of skills and opportunities to progress in the workplace and increase productivity, which also pushes up the welfare bill. Indeed, in Business, Innovation and Skills questions this morning, the Business Secretary said that the UK had a problem with productivity and that it had to be resolved. If we could resolve those three underlying problems in the welfare system, we might be in with a fighting chance of making life better for people in this country and of bringing the welfare bill down.
ParlaMint-GB_2015-06-30-commons.u186	Is my hon. Friend suggesting that, although the baseline will always be the UK welfare system, lifting some of the restrictions that the Bill would place on the Scottish Parliament would allow it to build on the provisions?
ParlaMint-GB_2015-06-30-commons.u187	I shall come on to that. Indeed, new clause 31, which SNP Members have signed, too, incidentally, would essentially give the Scottish Parliament full power to introduce new benefits in all devolved areas and to top up any benefits in reserved areas. Anybody who wished to put together a manifesto for a Scottish parliamentary election would have to determine what they would do with the welfare system and would consequently have to pay for that, but the important principle is that the UK welfare state would remain integral and the Scottish Parliament, as an autonomous and powerful Parliament, would be able to make its own decisions to reflect the interests of the Scottish people The exact amount of money that is spent and who spends it are not the key concerns of the Bill, which is about ensuring that powers are exercised where they most benefit the people of Scotland. The Labour party was the architect of the welfare state—the system of social insurance that covers every citizen, regardless of income, from the cradle to the grave and that is perhaps one of our greatest achievements and the purest expression of our common values and shared purpose. As the architect of the modern welfare state, the Labour party will do everything it can to ensure that it serves the needs of people not just across the UK but, crucially in terms of this Bill, in Scotland. That is why we have sought to be the driving force in this section of the Bill, tabling a total of 21 amendments and new clauses, more than any other party, to ensure that the Smith agreement is not only delivered consistently in spirit and in substance but that the Bill goes much further in welfare provisions Each and every one of the amendments has a purpose: to improve the lives of families in Scotland while maintaining the fundamental principles of the underpinning of the UK welfare state. May I take the opportunity to thank all the charities and voluntary sector organisations from across Scotland who have assisted me in this task? They do valuable work day to day with those who are most in need, and we should thank them every single day for what they achieve. Without them, society would not operate in Scotland and across the UK. To put it simply, we should all thank them I am glad that the SNP has seen fit to support a number of the amendments. We will work closely together to ensure that we can deliver them. In the same spirit of inter-party co-operation and consensus, I have signed a number of the SNP’s amendments that attempt to improve the Bill. Although this is a fairly technical exercise and welfare is hugely complicated, I want to make it clear that fundamentally our amendments will ensure, as I said in response to my hon. Friend the Member for Denton and Reddish (Andrew Gwynne), that the Scottish Parliament has the unrestricted power to create any new benefits in areas that are devolved, in addition to the guarantees of the UK benefits and pension system, as well as the power to top up any benefits that remain reserved in this Parliament. That wide-ranging provision effectively gives the Scottish Parliament the power to design its own welfare system in its entirety. However, unlike others, we are determined to ensure that the welfare state remains an integrated and UK-wide system of social security to allow for the continued pooling and sharing of risks and of resources We will also actively pursue our policy of double devolution by devolving as many powers as possible to local communities so that they can be tailored to local needs and circumstance, starting with the Work programme, Work Choice and Access to Work, which we will debate later. Subsidiarity should be at the heart of the Scottish Parliament to ensure that the public are engaged and that there is full community spirit in designing the system that is best for community needs Before I speak about Labour’s specific amendments, I want to place on record my disappointment at the comments made by the hon. Member for Dundee East (Stewart Hosie) during yesterday’s debate. He described the proposals in the Smith agreement as “miserable”, and I think that that is quite wrong in the context of this Bill. We should be using this opportunity to improve on the provisions in front of us and to make the system better in Scotland. The Secretary of State has consistently said that he will consider sensible amendments to improve the Bill, both in substance and in spirit, and I hope that he will see many of our amendments on welfare as worth while, tabled in the spirit of co-operation and trying to make the Bill better rather than trying to make political points Clauses 19 to 23 concern the devolution to the Scottish Parliament of a number of welfare benefits, including power over disability benefits, industrial injuries allowance and carer’s allowance, the power to introduce top-up payments for people receiving reserve benefits, control over discretionary housing payments and the power to introduce new discretionary payments to help alleviate short-term need. The powers in the clauses are extensive, but there are a number of areas in which I believe they fall short, particularly as regards limiting the scope of the Scottish Parliament to make discretionary payments and create new benefits Paragraph 51 of the Smith commission’s report states that the Scottish Parliament “will have complete autonomy in determining the structure and value of the” devolved “benefits…or any new benefits or services which might replace them.” As I have said, we are committed, wherever possible, to abide by the spirit as well as the letter of the Smith commission’s recommendations. We believe that the term “discretionary”, as applied in this context, should not necessarily refer to the strict definition of the recipient of a payment or the duration or frequency with which they receive that payment. As Professor Paul Spicker stated in evidence to the Scottish Parliament’s Devolution (Further Powers) Committee: “A payment is discretionary, not because it is short term or individual, but because it is in the power of the delegated authority to determine whether or not the payment will be made.” However, the Bill as it stands adheres to a more restrictive interpretation of what constitutes a discretionary payment and includes a number of definitions of who can receive benefits and for how long and how often they can receive them, which would limit the autonomy of the Scottish Parliament in a way that, in my opinion, Smith did not intend Our amendments seek to ensure that the Scottish Parliament will not face unnecessary restrictions in its provision of discretionary payments to carers, those with disabilities or any other applicant, both in terms of who they are paid to and for how long and how often they are paid.
ParlaMint-GB_2015-06-30-commons.u188	Does my hon. Friend agree that as well as being an unnecessary restriction in the legislation, the definition is also likely to give rise to a dispute about the ambit of the Bill? A wider definition that would embrace more people would be much simpler to administer.
ParlaMint-GB_2015-06-30-commons.u189	I agree, and we should be removing as much ambiguity as possible from the Bill. If the Scottish Parliament wanted to introduce a new benefit or a top-up benefit in one of these categories, the definition should be as wide as possible to enable it to do so. We do not want to end up with a dispute between two Governments or between recipients and the deliverer of the benefits or services about the definition in the Act. It would be good to get some clarity about what is meant by clauses 19 to 23 As an example, I will consider disability benefit. As Inclusion Scotland has argued, the definition of disability benefits in clause 19 might “restrict the autonomy” of the Scottish Parliament in constructing a new disability benefits “system based on empowering disabled people to lead active and productive lives and promoting the human rights of disabled people and independent living.” We have therefore tabled amendment 128, which offers an alternative, broader and more flexible definition of disability benefit that would, among other things, allow the Scottish Parliament to introduce a benefit to assist people with low-level disabilities or those for whom the effect of their disability is largely financial Likewise, the definition of what constitutes a “relevant carer” is also, we believe, too prescriptive. As Enable Scotland observes, it “prescribes to whom carers benefits would be payable, stipulating that the recipient would be over 16, not in full time education and not gainfully employed; and requiring that the cared-for person is in receipt of disability benefit.” The Scottish Parliament’s Devolution (Further Powers) Committee’s report of May 2015 on the Smith commission proposals and the UK Government’s response concluded: “The Committee is concerned that the current definition of carer in the draft clauses appears overly restrictive and could limit the policy discretion of future Scottish administrations in this area. The Committee recommends that the clause should be re-drafted to ensure that the future Scottish administrations are able to define what constitutes a carer.” I agree with both Enable Scotland and the Scottish Parliament Committee that the clauses as drafted unnecessarily limit the scope of the Scottish Parliament’s powers and might limit their ability in future to create new benefits. We have therefore tabled amendment 48, which seeks to remove the definition from the Bill to allow the Scottish Parliament to arrive at its own definition. I am pleased that the SNP has supported the amendment and want to reciprocate by supporting amendment 115, which provides for the provision of non-financial assistance as regards benefits for maternity, funeral and heating expenses, and amendment 121, which inserts the additional qualifying criteria for provision of discretionary payments and assistance for being part of a family facing exceptional financial pressure.
ParlaMint-GB_2015-06-30-commons.u190	Does the hon. Gentleman agree that the overall approach being taken in the UK now is of concentrating on tackling poverty by giving people skills, pushing the work obligation and removing barriers to employment, and that it is important that the welfare system should dovetail with that? There are of course provisions in this Bill to that effect. Does he agree that it would be wrong if Scotland were to take a different approach and go back to a dependency culture?
