ParlaMint-GB_2015-12-14-commons.u1	1. What support his Department is providing to the northern powerhouse initiative.
ParlaMint-GB_2015-12-14-commons.u180	The Minister should not expect social responsibility from the man who controls Sports Direct in my constituency, at the warehouse at Shirebrook on a pit site. That man has not made £6 billion because he is a considerate employer; he is a monster of a man who does not even reply to MPs’ letters—I have sent him many. He has £6 billion and is on The Sunday Times rich list, because he is the type of man that will not take any notice of HMRC unless the Government really mean business. This man, Mike Ashley, would fit very nicely on millionaires’ row, along with his pals. This will be a test of the Minister’s mettle—get stuck in.
ParlaMint-GB_2015-12-14-commons.u181	I have never had the pleasure of being encouraged to get stuck in by the hon. Gentleman before, but I promise to follow up on that. Let me be clear: I do not care how famous or well connected employers are, and I frankly do not care how much money they have made. They must obey the law, and if they do not, we will enforce it. We will fine them and disqualify directors if necessary.
ParlaMint-GB_2015-12-14-commons.u182	As well as strong enforcement by the Government, it should be possible for those who are employed by bad businesses to vote with their feet and move to better employers. What is being done to help to create more and better jobs for those employed by Sports Direct, and to communicate the availability of those jobs?
ParlaMint-GB_2015-12-14-commons.u183	I thank my hon. Friend for bringing us back to the important and constant theme of this Government, which is an economy that is creating new jobs at an unprecedented rate. Most of those jobs are now full time, and most not only pay more than the minimum wage, but pay more than the national living wage that will be introduced in April. It is ultimately through a dynamic economy that we will create opportunity for anyone who does not feel that they are getting a square deal from their current employer.
ParlaMint-GB_2015-12-14-commons.u184	When Sports Direct announced that it would build its factory at Shirebrook, people in north Derbyshire were delighted. It is a tragedy that an organisation that employs nearly 3,000 people should have such a terrible reputation. What steps can the Minister take to communicate with that company and try to ensure that its future success does not come at the expense of my constituents and those of my hon. Friend the Member for Bolsover (Mr Skinner)?
ParlaMint-GB_2015-12-14-commons.u185	I am delighted that the hon. Gentleman has pointed out how important that organisation is as an employer in his constituency. It is important we acknowledge that Sports Direct employs a great many people, and I am sure a great many people are very happy to work there. I reinforce the point, however, that no company director and no company owner will want the House of Commons to be discussing, in the terms we are discussing, the kind of breach that was alleged in the newspaper article. I am absolutely certain that, when faced with the kind of enforcement action I have set out, any employers, including those in his constituency, will want to sort themselves out.
ParlaMint-GB_2015-12-14-commons.u186	What message of Christmas cheer does my hon. Friend have for all those people who are self-employed and earning far less than the minimum wage, but are faced with having to submit quarterly returns to HMRC instead of annual ones?
ParlaMint-GB_2015-12-14-commons.u187	I am full of admiration for anyone who is self-employed. It brings many rewards, but money is not always one of them. I am absolutely clear that the Government must do everything they possibly can to reduce the burden of regulation on those who are self-employed.
ParlaMint-GB_2015-12-14-commons.u188	Does the Minister recognise that what is so disturbing about the newspaper report is the fear among many people working there? In some instances, women are apparently not willing to stay away from work, even if their child is sick for a day, simply because they may lose their job. Is it not totally unacceptable to have such fear and exploitation in a company? Does it not remind one of the early years of the last century when workers were treated in such a contemptible way? Finally, why was the advice given to Mr Speaker that this was not an urgent question? If the Minister is so keen on coming to the House and welcoming The Guardian investigation, why did he try to stop the question being asked in the first place?
ParlaMint-GB_2015-12-14-commons.u189	Mr Speaker, it is always for you to judge whether a question is urgent. I simply acknowledge that this question is important, which is why I am so delighted to answer it. On the hon. Gentleman’s broader points, while the Government believe in deregulation and reducing the burden on business, we have made it clear that certain laws are absolute and must be adhered to: minimum wage legislation is one, along with health and safety legislation and a whole slew of other employee protections. We intend to enforce those protections robustly.
ParlaMint-GB_2015-12-14-commons.u190	According to the Office for National Statistics, a quarter of million people are not paid the minimum wage. According to the Minister, HMRC has found 26,000 of them. What is the Minister going to do to bridge the gap? If the Minister does not have any ideas—it does not look as though he has a plan—may I suggest something? To not pay the minimum wage is a criminal offence. Why have there not been any prosecutions taken out against directors who are not paying the minimum wage? The department in the Attorney General’s office responsible for taking out prosecutions has been cut for the past three years and there has not been a single prosecution during that time.
ParlaMint-GB_2015-12-14-commons.u191	The hon. Lady always comes to this House knowing the complete answer to every question, but it might help her sometimes if she would actually listen to the list of measures we have introduced that go significantly further than any enforcement activity the Government she supported ever brought forward to defend their minimum wage. When the set of enforcement measures is working as well as it currently is, I see no reason to take any instruction, however helpfully phrased, from the hon. Lady.
ParlaMint-GB_2015-12-14-commons.u192	This is an extremely important matter but we have other important business to follow, so I am looking for pithy questions and answers.
ParlaMint-GB_2015-12-14-commons.u193	On the facts, the case in The Guardian is disturbing. Does the Minister agree that one good piece of news is that, whatever else happens, in April next year Sports Direct will have to pay these people 11% more than they are getting now?
ParlaMint-GB_2015-12-14-commons.u194	That is absolutely right. That has happened because the majority Conservative Government have run the economy sufficiently well that we can expect employers to do that and still prosper.
ParlaMint-GB_2015-12-14-commons.u195	The Minister has pointed out that HMRC conducts risk-based enforcement in sectors where there is a high risk of workers not getting paid the legal minimum wage. Is the sector in which Sports Direct operates a high-risk sector? If so, how many proactive initiatives has HMRC launched in it?
ParlaMint-GB_2015-12-14-commons.u196	The targeted sectors are those where low pay is prevalent and where many employers are therefore close to the minimum wage boundary and those where there have been significant breaches in the past and where there is therefore good reason to expect other such breaches in the future. I cannot tell the right hon. Gentleman how many such investigations there have been, but I am happy to write to him and place a copy in the Library.
ParlaMint-GB_2015-12-14-commons.u197	The Minister wrote to me on 14 October about the care sector—one of the sectors he just referred to—saying that HMRC was investigating several companies in the sector, but he could not confirm which companies or comment on the progress of the investigations. Given what he said about being strident with the owners, managers and directors of these companies, will he be strident with MiHomecare and Mitie—previously run by the new Tory Baroness McGregor-Smith—about whose conduct significant concerns have been raised?
ParlaMint-GB_2015-12-14-commons.u198	It is not the job of a Minister of the Crown to lay down the law on individual cases and companies that have not been found definitely to have breached the law. I have been as clear as possible about any employer, large or small, that does breach the law, and I hope the hon. Gentleman can apply that to any particular case.
ParlaMint-GB_2015-12-14-commons.u199	In our area, everyone knows that English native speakers cannot get a job at the Sports Direct warehouse, despite 3,000 people working there, and there was a baby born in the toilets there. Why were there 80 ambulance visits to Sports Direct in two years? Is it because employees are too scared and not allowed time off to see the doctor, and there is therefore a misdirection of NHS resources? Might there also be tied housing, meaning that people are too scared to speak because they are provided with a house to live in, the rent and the transport they have to pay for to get to work? We need a full investigation not just into Sports Direct but into the plethora of agencies it used to employ.
ParlaMint-GB_2015-12-14-commons.u200	If the hon. Gentleman or any other hon. Member has allegations and evidence of bad practice in relation to minimum wage, or any other, legislation they would like to bring to my attention, I would welcome it. The hon. Member for Streatham (Mr Umunna) mentioned that a trade union had raised concerns about this particular employer. If employees do not trust the Government phone line, despite the ACAS hotline being genuinely confidential and independent, and if they would like to submit their evidence through the union, they can, but I am sure hon. Members will understand that they need to be willing to engage with enforcement officers to provide evidence. The Government have to act on the basis of evidence; however well researched the Guardian article was, it is not enough on its own.
ParlaMint-GB_2015-12-14-commons.u201	Is it not time the Government considered introducing a specific criminal offence of exploitation, which they refused to do in the Modern Slavery Bill in the last Parliament?
ParlaMint-GB_2015-12-14-commons.u202	We have enough criminal offences; what we need is effective enforcement, and that is exactly what the 50% increase in the enforcement budget and the new powers we are giving to the HMRC enforcement team will achieve.
ParlaMint-GB_2015-12-14-commons.u203	My understanding is that the trade unions have made representations on behalf of staff who, for good reasons, want to remain anonymous. Should HMRC continue to ignore representations on behalf of legitimate trade unions, or should it act now and search the offices of Sports Direct?
ParlaMint-GB_2015-12-14-commons.u204	I have made it clear that if any individual complaint is to be assessed for its validity, HMRC needs to be able to follow it up. I have also made it clear that in sectors of concern, HMRC undertakes targeted enforcement activity that does not wait for a complaint. It will be listening to this debate.
ParlaMint-GB_2015-12-14-commons.u205	The Minister said that it is ultimately a growing, dynamic economy that should give people confidence about being able to find well paid jobs, but good employment practices and legislation also give them confidence. One issue that is greatly worrying a number of residents in my constituency is the use of tips and service charges to top up wages and the murky world of requirements used by employers such as Turtle Bay, a local restaurant. Will the Minister meet me and some of the campaigners from the GMB union to look into these practices further? I know he has recently conducted an investigation, but it would be incredibly beneficial to those on low wages in my local community to look at how these practices are used to top up wages or otherwise, especially ahead of the new higher minimum wage that he has talked about.
ParlaMint-GB_2015-12-14-commons.u206	In my experience the hon. Lady is often on to things before the rest of us, so I would be delighted to meet her.
ParlaMint-GB_2015-12-14-commons.u207	What a perceptive fellow the Minister is. We are most grateful to him, and I thank him for engaging with the urgent question so comprehensively.
ParlaMint-GB_2015-12-14-commons.u208	It gives me great pleasure to report to the House on the United Nations conference of parties in Paris last week. COP21 has delivered an historic new global climate change agreement that takes a significant step forward towards reducing, on a global scale, the emissions that cause climate change. For the first time, nearly 200 countries have made a commitment to act together and to be held accountable. In doing so, this agreement will help to protect not just our environment but our national and economic security, now and for generations to come. As the Prime Minister said in his speech at the start of conference: “instead of making excuses tomorrow to our children and grandchildren, we should be taking action against climate change today.” I am proud to say that there are no more excuses. With the Paris agreement, we have shown that the world has committed to action This deal is unequivocally in Britain’s national interest. It moves us towards a level playing field at a global level within which the UK’s society and businesses can thrive, as we transition to a low-carbon economy. This is a deal we are wholeheartedly committed to, recognising that action by one state alone cannot and will not solve climate change. It is what we do together that counts This is a moment that all parties in the House can take significant credit for. Together, we passed the Climate Change Act 2008, which set an example to the world of what ambitious domestic climate action looks like. Together, since Copenhagen in 2009, we have supported a long, difficult and complex negotiation, which has brought us to this point. I want to pay tribute not just to the Prime Minister and my colleagues across Government, but to my predecessors as Secretary of State for Energy and Climate Change for all the hard work they put in to bring us to this point As a country, we should be proud of the role we have played, leading in the European Union, working closely with major global players, including the US and China, and leading many of the negotiations. My Department, with the Foreign and Commonwealth Office and the Department for International Development, has worked tirelessly to build the political conditions and the capacity to enable countries to act. The UK team in Paris last week showed commitment, passion and resilience. When Laurent Fabius asked me to chair the finance session at 4 am on Friday morning, I was well supported, and when I left at 6.30 am, they stayed to write up the conclusions and send them to the presidency. That, Mr Speaker, was commitment The UK played a key role in building alliances and shared positions, especially with the most vulnerable countries, to ensure that pressure for ambition could be maximised. The deal in Paris was not done to us; it was done by us. Indeed, it reflects many of the elements that we as a country have already committed to as part of the Climate Change Act. Of course Paris is not the end of the road. We cannot sit back and say, “Job done.” Far from it: Paris is the beginning. Now the hard work to implement the agreement begins. Let me turn to what the nearly 200 countries have agreed. First, we have set out a clear long-term goal for the world to achieve net zero emissions by the end of the century. The long-term goal sends a strong signal to investors, businesses and policy makers that the shift to a global low-carbon economy will happen and it provides the confidence needed to drive the scale of investment required. We have confirmed our collective ambition to limit global temperature rises to below 2° C. We have agreed a further aspiration of 1.5°. However, the current level of commitments by individual countries will not meet this ambition, so crucially, countries will come back to the table to assess overall progress towards the 2° goal in 2018 and every five years thereafter As investment grows and the costs of low-carbon technologies come down, the Paris process will provide not just the opportunity but the political pressure to step up individual countries’ emissions reductions targets. Starting in 2020, countries are expected to update their own plans to cut emissions, and will be legally obliged to do so again every five years, thus providing regular political moments to scale up ambition This agreement is not only comprehensive in its scope, as it also recognises the role of both developed economies and emerging economies in helping the poorest and most vulnerable countries to protect themselves from the effects of climate change as they transition to a low-carbon economy Over the last five years, the UK’s £3.87 billion international climate fund has been helping millions of the world’s poor better to withstand extreme weather and rising temperatures. At the UN Secretary-General summit in September, the Prime Minister announced a significant uplift to increase climate finance by at least 50% with £5.8 billion-worth of climate finance over the next five years to support poor and vulnerable countries to adapt to climate change and to curb emissions. This is part of a global commitment to mobilise $100 billion a year from both the public and private sector to protect the most vulnerable and support economic growth from 2020. Other developed countries, including Germany, France, the US, Japan, and Canada have all recently announced increases in their climate finance Important as the Paris agreement is, we will achieve our ultimate ambition only if it acts as a catalyst for transformational action from all parts of society. That is why it has been so important to see real action over the last month from business and civil society. A new initiative, for example, called “Mission Innovation”, will see some of the biggest global economies—including the UK, US, and India—doubling their investments in clean energy research and development. Crucially, it is private investors who will join us in this endeavour to bring down the costs of low-carbon technologies Here in the UK, we have committed to doubling spending in clean energy research and development, so that by 2020 we will be spending in excess of £400 million. That pledge has been matched by 19 other countries worldwide. This is in recognition of the fact that we will tackle climate change effectively only if we find technologies that are both clean and cheap. Let me emphasise that the announcement I made last month—that I would set out proposals to close coal by 2025 and restrict its use from 2023—added to the momentum at Paris. The Paris agreement truly marks an historic turning-point. It builds on the Kyoto protocol, and for the first time ever provides the comprehensive framework in which not just developed countries, but nearly every country of the world has committed to take the global action needed to solve a global problem. Of course, it was hard fought and of course it required compromise to bring everyone with us. Of course, too, it has not solved every problem in one go Now we have to set about implementing the commitments made, but we should not underestimate the significance of what has been achieved. All parties have recognised that economic and global security requires us to tackle climate change. All have come together to commit to a single goal—net zero carbon emissions by the end of the century. All have agreed to set out plans to curb emissions and to be held accountable for their actions. We have made a huge step forward in meeting our responsibilities to this and future generations. As the excellent Executive Secretary to the United Nations Framework Convention on Climate Change, Christiana Figueres, said: “I used to say we can, we must, we will. Now I can say we did.”
ParlaMint-GB_2015-12-14-commons.u209	I thank the Secretary of State for her statement, and for giving me advance sight of it. I also thank her for paying tribute to successive Secretaries of State on both sides of the House. She is right to recognise that the cross-party consensus that has existed since 2008 helped to build the road to Paris, and gave the United Kingdom its voice in the negotiations. It is a precious legacy for all of us, and we must not allow it to fracture now For the first time, leaders from nearly every country in the world have come together to cut carbon pollution and set us on the path to a cleaner, greener future; to agree on a common goal of building a carbon-neutral global economy within a generation; to reduce pollution; and to switch to cleaner energy—and, as the Secretary of State rightly recognised, all countries have agreed to raise their ambition every five years until the job is done. I particularly welcomed the Secretary of State’s announcement that the developed world would do its fair share by providing at least $100 billion of finance to assist poorer and more vulnerable countries This is a moment to celebrate, not because the agreement is sufficient—we must be honest about the fact that the pledges made by each country do not add up to a commitment that will keep temperature rises well below 2°—but because it gives us enough to take us much, much closer to climate safety, and sends a clear signal to global financial markets that the era of unchecked fossil fuel use is coming to an end This accord is testimony to the fact that we are stronger and safer when we work together, both at home and abroad. Our voice has been heard more loudly because we have worked closely with our friends in the European Union and we have spoken together, united and with one voice. Our voice has also been heard because of the hard work and the skills of our lead negotiator, Pete Betts, and his team in the Department for Energy and Climate Change, who worked tirelessly with Sir David King and his team of diplomats in the Foreign Office to secure the agreement. Let me place on record our thanks for what they have achieved. Let me also commend the dedication of the British scientists, campaigners, faith groups, business leaders and civil society organisations who mobilised public support for this global deal. Last month, along with some of my hon. Friends, I joined hundreds of thousands of people to march peacefully through the streets of London, Edinburgh and other major cities around the world, to ensure that our collective voice was heard in the negotiating rooms of Paris The question that must now be asked is “What does this deal mean for Britain?” In recent months, the Government have made a series of decisions that have reversed our progress on the road to climate safety. Ministers have attacked the cheapest options for achieving carbon targets, and household energy bills may rise as a result. Last week, during the Paris negotiations, they decided to raise household and energy bills again through the capacity market auction. Hundreds of millions of pounds will go to energy companies to keep open power stations that would have been open anyway. It is difficult to see how that is consistent with what the Secretary of State has said today, and with her claim to be acting to control costs. Will she explain that to the House today Ministers have also undermined our progress on carbon capture and storage, which is crucial to ensuring a just transition and support for climate change action from the communities of Britain who work in the important industries that rely on fossil fuels. In Yorkshire and Scotland, communities, scientists and engineers are reeling from the Chancellor’s decision to axe a £1 billion fund for CCS. Can the Secretary of State tell us today that that decision will be reversed The Government have wasted no time in blocking new wind farms even where they enjoy strong local support, and have made severe and short-sighted cuts in energy efficiency and solar power schemes. Thousands have lost their jobs, and thousands more could still do so. Millions around the world will go into the coming winter facing the prospect of cold homes and high energy bills, and in this country that is avoidable. The Government’s decisions will cause immense damage to human lives and to the planet Following the Prime Minister’s important words in Paris, will the Secretary of State demonstrate to the House that the Government as a whole will listen, and that they will prevent the Green Investment Bank from being sold off in a manner that will remove its green mandate, leaving it free to invest in fossil fuels; cancel the new tax on more efficient vehicles; and stop another tax raid on the renewable energy industry? All those steps will take us backwards on climate change and jeopardise jobs in the industries of the future. It raises this question: what is this Government’s plan for meeting Britain’s climate change commitments? The Government’s own advisers, the Committee on Climate Change, recently warned that existing energy policy is “failing”, and only this morning the CBI called for more clarity for British business. On news of the Paris deal and the goal it contains to limit global temperature rises, its director told the BBC: “Businesses will want to see domestic policies that demonstrate commitment to this goal” So can the Energy Secretary confirm whether her Government’s recent string of green U-turns will now be reviewed in the light of the new assurances we have that every country will play its part in addressing climate change? Secondly, can the Energy Secretary confirm that the UK will continue to support raising European targets on reducing carbon pollution by 2030, to ensure we are making our fair contribution to the international effort and grasping the maximum potential for our economy from green industries? Finally, will the Energy Secretary ask the independent Committee on Climate Change to review the adequacy of Britain’s existing carbon reduction targets in light of the new internationally agreed goal of limiting global temperature rises to well below 2 °C, and ideally to no more than 1.5 °C Two weeks ago the Prime Minister said that when we look back, we will ask “what was it that was so difficult when the world was in peril?” The Secretary of State rightly said in her statement to the House that there are no excuses, and I look forward, as do all my hon. Friends, to hearing how she intends to breathe life into this historic landmark agreement.
ParlaMint-GB_2015-12-14-commons.u210	I thank the hon. Lady for her questions and welcome her support for the overall global deal. In answering her questions, I would make the following points. First, the UK’s emissions are 1.2% of the world’s, so our emphasis must be on making sure we get an international deal. That is why we were so committed to it. That is why we spent the past week flat-out trying to achieve it, and working to ensure we got China into the deal, which is responsible for 26% of the world’s emissions—more than the EU and the US combined. We remain committed to the Climate Change Act and to making sure we go forward on a low-carbon future, but there is no value in it if we do not actually have influence in the rest of the world. That is what we achieved this week: making sure that that influence was absorbed and taken on, so we reached that agreement—very late on Saturday night To answer the hon. Lady’s questions about our position in this country, I repeat that we are committed to the Climate Change Act 2008 and to our goals and our carbon budgets, but the difference between her side of the House and ours is that we will not risk security of supply and we will not put additional costs on consumers. She asks about the capacity markets but I am afraid that her interpretation is wholly wrong. The purpose of the capacity market is to take absolutely no risks with security of supply. That is what we have done, and we are proud of doing that In terms of the actions on renewables, this is about ensuring that our consumers pay the right price for the renewables to which we remain committed. As the costs of renewables come down, it is absolutely right that the subsidies come down. It is completely wrong to characterise us as having any negativity about renewables. We remain committed to them, but we will continue to make provision for them at the best value for money As far as CCS is concerned, it was a tight spending round in the review with the Treasury. The cost was £1 billion, and we made a decision not to proceed with the fund. I believe that CCS is going to play an important part in decarbonising in the future, particularly industrial CCS, and we will work internationally to make progress on that. Overall, this Government are absolutely committed to a low-carbon future that is value for money and constantly provides security to consumers and families.
ParlaMint-GB_2015-12-14-commons.u211	As far as I am aware, there are only two peer-reviewed studies that have computed the total reductions in emissions promised by the member states at Paris, fed them through the standard climate model and calculated the impact on future temperatures. Both have concluded that the temperature in 2100 will, as a result of this treaty, be a mere 0.2 °C below what it would otherwise be. Has my right hon. Friend any alternative figures, and would not the trillions of pounds being spent on such a puny achievement be better spent on alleviating poverty and eradicating disease?
ParlaMint-GB_2015-12-14-commons.u212	I thank my right hon. Friend for his question, but at its core is a suggestion that what we are doing will not alleviate poverty. On that he could not be more wrong. Particularly through climate finance and the investment that will come from the private sector, which Governments will be able to leverage, we will help to alleviate poverty and provide energy in areas of Africa and India that have never had it before. That is an essential part of what we will achieve.
ParlaMint-GB_2015-12-14-commons.u213	Order. I should gently point out to the House that hon. or right hon. Members who were not present at the start of the Secretary of State’s statement should not expect to be called. Now that I have made that point, it would be rather unseemly for them to continue to stand, as well as fruitless.
ParlaMint-GB_2015-12-14-commons.u214	I add my thanks and that of my party to the Secretary of State, her team and all those both at home and abroad who made the deal possible. The term “historic” has rightly been used in the rhetoric, but we will be judged not on words but on deeds We very much welcome the money to be provided to those most at risk from climate change and to those who have contributed least to it. That is the theme of climate justice, which I have spoken about here before. The deal is not perfect, and it has been acknowledged that it is not enough. We need to up our game both at home and abroad if we are to meet the target of a 2° C rise or well below, and extensively so if we are to meet the aspiration of a 1.5° C rise It strikes me that we almost have two Secretaries of State—the one who made her eloquent statement extolling the virtues of the low-carbon economy, and the one who answered questions and reiterated some of the appalling betrayals that the green economy has suffered at the hands of this Government. She said in her statement that there are no excuses, but for the past six months I have heard excuse after excuse. On onshore wind—excuses. On the solar feed-in tariffs—excuses. On carbon capture and storage—excuses. On the Green Investment Bank—yet more excuses. Will she rethink those policies and reinvest in them, or are we to hear yet more excuses The world stands on the brink of a global green revolution, and the economic possibilities are enormous, yet we seem determined to throw away our lead in various technologies. To use the words that my hon. Friend the Member for Na h-Eileanan an Iar (Mr MacNeil) regularly uses, the Government are being penny-wise but pound-foolish. There has been betrayal on carbon capture and storage—I had to question my hearing when it was said that it had a bright future in the UK following the recent decision. It might, but it will be technology developed by others, and others will make the money out of it. That is so short-sighted that it is beyond belief Scotland wants to play its part, and we can play our part, but we require this Government to match their rhetoric with deeds. Will the Secretary of State back the green economy and allow us to play our part, or will we hear yet more excuses?
ParlaMint-GB_2015-12-14-commons.u215	I simply do not agree with the hon. Gentleman’s characterisation. I share his enthusiasm for the low-carbon economy, but we are going about it in a different way from the one taken under the coalition. We are making sure that we deliver better value for money, and we are investing in the future in a way that has not been done over the past 20 to 25 years—for instance, with nuclear and with offshore wind, which I am sure he would support. While supporting the low-carbon economy, we must also maintain security of supply, and I am sure he will continue to support the Government’s commitment to oil and gas in Aberdeen.
ParlaMint-GB_2015-12-14-commons.u216	My right hon. Friend will recall meeting my concerned residents in Wealden, who talked about other countries’ commitments to climate targets. What is her Department doing to encourage other countries to meet their climate targets?
ParlaMint-GB_2015-12-14-commons.u217	My right hon. Friend rightly says that not all countries have the same resources as we do to meet their targets. I am happy to say that we have a number of helpful tools that we offer in working with other countries, such as the global calculator. It helps them to work out what steps they need to take to meet their targets, and we expect to step up that engagement to help them to do so.
ParlaMint-GB_2015-12-14-commons.u218	I commend the Secretary of State for her role in this agreement and, in particular, the formation of the so-called “high ambition coalition” between developed countries and vulnerable countries, which was such an important part of getting the deal that she did. Labour Members want her to be part of a high ambition coalition at home as well as abroad. She mentioned the very important goal of net zero emissions contained in the agreement—I believe this is to be in the second half of the century. Can she confirm not only that that will apply globally, but that it must apply to each and every country that is a signatory to the agreement?
ParlaMint-GB_2015-12-14-commons.u219	I thank the right hon. Gentleman for his words, and I certainly share his enthusiasm nationally for high ambition—perhaps less of the coalition, for now. It is a great achievement to have the zero emissions target within the long-term goal, but for now the UK will continue to focus on our Climate Change Act targets for 2050.
ParlaMint-GB_2015-12-14-commons.u220	Given that the UK’s climate change laws are stricter than the obligations agreed in Paris, does my right hon. Friend agree that there is a real risk of British business being put at a competitive disadvantage if we do not cut the costs of energy, particularly for energy-intensive companies?
ParlaMint-GB_2015-12-14-commons.u221	My hon. Friend is right to highlight the issue of competitiveness. The fact is that getting this global deal is a way of addressing that issue, because other countries will have to step up and make the same sort of plans that we are making. But the best way to reduce the costs of energy is to drive them down through the sort of actions this Government are taking.
ParlaMint-GB_2015-12-14-commons.u222	In all the acres of media coverage of the Paris agreement, George Monbiot sums it up best: “By comparison to what it could have been, it’s a miracle. By comparison to what it should have been, it’s a disaster.” I welcome the inclusion of the 1.5° goal, but it is meaningless without policies to deliver it—in particular, keeping the vast majority of fossil fuels in the ground. Will the Secretary of State tell us how the Government’s recently agreed duty to “maximise” the economic recovery of oil and gas is anything other than completely incompatible with what she has just signed up to in Paris?
ParlaMint-GB_2015-12-14-commons.u223	I am going to interpret that as a cautious welcome from the hon. Lady. There is an element of this deal that she must agree is rather extraordinary: having 200 countries participate. The answer to her question is that we cannot take any risks at all with energy security. Maximum economic recovery is absolutely a commitment from this Government. We have to get a balance right. We have to make sure that we protect energy security while growing our low carbon economy—we can do both.
ParlaMint-GB_2015-12-14-commons.u224	I, too, congratulate the Secretary of State and her team on what they have achieved in Paris. She will be aware that since 1990 the UK has decreased emissions by about 28%, which is faster than the EU average, whereas other EU countries have had difficulty in achieving anything like that. Indeed, Austria, Holland, Spain and Portugal have all increased emissions since 1990. What processes exist within the EU to make sure that that is not allowed to continue?
ParlaMint-GB_2015-12-14-commons.u225	My hon. Friend, who is so experienced in this field, has highlighted the issue of the EU sharing of responsibilities, which we will move to next year. I do not doubt that this will be a challenging negotiation, but the UK’s experience is that we can demonstrate our leadership by showing that we have driven down emissions while growing our economy. We hope that we will be able to demonstrate that to other countries and encourage them to follow suit.
ParlaMint-GB_2015-12-14-commons.u226	First, I thank the Secretary of State for advance sight of her statement and congratulate her on her involvement in the Paris talks. Will she now take the chance to review and reset the last six months of policy of her Government? Solar and onshore wind—the cheapest forms of renewable generation—energy-efficiency and carbon capture and storage have all been cut. Will she look again at the diesel generation loopholes and make sure that transportation plays its full part? Those are to name but some things. I fear that this Government view investment as cost today, rather than as, more correctly, savings for the future, except of course when it comes to nuclear. Just what will change in her Department as a result of the Paris talks?
ParlaMint-GB_2015-12-14-commons.u227	I am happy to say that the Paris agreement allows us to continue on the path that this Government have set in delivering a low carbon future, sticking to our Climate Change Act commitments and always ensuring that we take no risk with security of supply and that we provide value for money for consumers.
ParlaMint-GB_2015-12-14-commons.u228	I congratulate my right hon. Friend on what has been achieved and the French Government on their magnificent hosting of this summit. Given that much of the climate finance pledged by the wealthy nations is likely to be classified as official development assistance and that many of our friends in Europe show no real sign of increasing the amount of ODA that they are giving as a percentage of their gross national income, is she concerned that some of this climate finance might be taken away from the amounts available for the refugee crisis in Syria and other concerns around the world?
ParlaMint-GB_2015-12-14-commons.u229	My hon. Friend is right to praise the French Government who managed this summit in an extraordinarily able way and with great diplomatic skill. The matter of the $100 billion to be mobilised by 2020 is challenging for everybody involved, and we will constantly return to it to ensure that it is delivered, but let us not forget that the money is “mobilised”, so it is not entirely the Government’s to deliver; it is also an attempt to generate private sector influence as well.
ParlaMint-GB_2015-12-14-commons.u230	Let me add my congratulations to all those involved in the important talks in Paris. One of the most remarkable things about the agreement is the aspiration to hold reductions to 1.5 °C. As the Secretary of State rightly said, the Paris process adds political pressure to emissions reduction. Will she apply some of that political pressure on the Chancellor of the Exchequer who said the other day that he had inherited zilch and that the decision on carbon capture and storage was not a cut?
ParlaMint-GB_2015-12-14-commons.u231	I think I will just welcome the hon. Lady’s comments about our 1.5° ambition, which was achieved while working very closely with the high ambition coalition.
ParlaMint-GB_2015-12-14-commons.u232	It is no longer a question of whether the world tackles man’s impact on the climate, but when. It is a huge achievement to have included developing economies in that ambition, and to have made that ambition realistic. What part can we play in accelerating research and development for game-changing technology, and what part will the clean energy from Hinkley Point in Somerset play in that process?
ParlaMint-GB_2015-12-14-commons.u233	My hon. Friend is absolutely right to say that the distinguishing factor of this agreement, rather than of previous ones, is that it includes developing countries. We are committed to ensuring that we work across other Governments to develop new energy sources through our programme of mission innovation. I also agree that nuclear power, including that from Hinkley Point, which is the first new nuclear deal to be commissioned for 25 years, will be an important part of the low carbon future.
ParlaMint-GB_2015-12-14-commons.u234	The Secretary of State is correct in wanting a level playing field between Britain and other countries, but the failure of Paris to reach the aspirations of the Durban conference to have legally binding limits on carbon dioxide emissions from all countries must put this country at a disadvantage because we do have legally binding commitments. We have already lost great chunks of the steel industry and the aluminium industry. How will the right hon. Lady produce that level playing field to the advantage of our industries?
ParlaMint-GB_2015-12-14-commons.u235	The hon. Gentleman raises an important point about competitiveness. Although there are some elements of this that are not legally binding, there are plenty that are. The fact is that every country has to come back every five years and to demonstrate what they are doing. There will, I hope, be a political moment at that point. Non-governmental organisations, civil society and businesses will be watching and campaigning to ensure that we always make progress. Countries cannot go back on their commitments; they can only go forward. The hon. Gentleman should not underestimate the impact that this deal will have internationally.
ParlaMint-GB_2015-12-14-commons.u236	I add my congratulations to the Secretary of State and all those who have worked for many years on achieving an impressive outcome. Will the Secretary of State confirm whether the success criteria set before the conference were achieved at it?
ParlaMint-GB_2015-12-14-commons.u237	My hon. Friend asks a good question. Most of our criteria were met, but nobody will have left the conference saying that all their criteria were met. That is how we got a deal—everybody had to compromise a little. That was the achievement of the agreement.
ParlaMint-GB_2015-12-14-commons.u238	I thank the Secretary of State for a landmark statement. I congratulate her on her personal stamina at 4 am and in particular on the tribute that she paid to her predecessors of all political parties. I think she will agree that the fact that Europe has spoken with one voice was a significant part of the process. None the less, there is still the inconsistency. Does she not agree that, although it was essential that we signed up to ambitious targets in Paris, there is an inconsistency in our scrapping schemes, signed in the last Parliament, that had a meaningful role in dealing with climate change at home?
