ParlaMint-GB_2015-01-16-commons.u1	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2015-01-16-commons.u46	I have several concerns about the group of amendments tabled by my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot), but they have been helpful in enabling us to discuss and further explore the extent of the Bill. I have a particular concern about the proposal to limit prayers to three minutes. We have talked about the parliamentary Prayers with which we start every day here in Parliament. I glanced over my shoulder this morning just as we finished our prayers to see that they lasted three minutes and 40 seconds, so parliamentary Prayers would offend the proposed three-minute limit. I do not think that in religious observance of any kind there is room for a stopwatch.
ParlaMint-GB_2015-01-16-commons.u47	I am very grateful to my hon. Friend for giving way on the issue of a stopwatch. I would like to bring to his attention the fact that in the church in Nempnett Thrubwell in my constituency there is a 20-minute egg timer for the sermon.
ParlaMint-GB_2015-01-16-commons.u48	I can think of several church services I have been to recently where I might have wanted to take the egg timer with me. I will come on to the comments made by my hon. Friend in a moment. I look forward in particular to supporting his Bill, following the next private Members’ Bill ballot, to reintroduce a full mass before every sitting of the House I came to this place in 2010. I, and colleagues, have had the privilege often of being in this Chamber when huge events of national importance were about to take place and we were about to consider and debate them. I think particularly of the riots, where Parliament was recalled, and the parliamentary votes on whether to take military action in Libya and in Syria. On each occasion when I attended Prayers, they extended beyond three minutes. The Speaker’s Chaplain the Rev. Rose, who is a wonderful and inspirational preacher, extended the prayers to discuss—they are held in private, but if I may just lift the veil briefly—the matters being considered later that day. I am sure colleagues of faith and of no faith enjoyed the extended opportunity to consider the very difficult decisions we faced, and enjoyed the style and eloquence with which the Speaker’s Chaplain conducted proceedings. If the three-minute rule were introduced in local authorities, where they have similar difficult decisions to make on issues of local importance—opening schools, closing schools or cancelling bus services—they would be hampered by the time limit I am also concerned about why it should be necessary for a council to have a two-thirds majority to have prayers. If we were to have a two-thirds majority for prayers, why should that not be the case for everything else? I am sure local people would feel that lots of important issues of day-to-day relevance should be decided by a two-thirds majority—moving from weekly to fortnightly bin collections, for example. Such issues have more relevance and impact on people’s lives than council prayers. The decision on whether a council is able to pray should be made by a simple majority. I will be resisting the amendments and hope that they will not be pressed to a Division The proposal to hold a referendum every four years is unnecessary and overly bureaucratic. It should be for councils to decide locally, in their town hall, what goes on. Everyone who opposes the decisions they make already has a vote in a referendum every four years: they can sack all of their councillors. I have known some very lazy councillors in my time—I will not name them—and I would encourage people to sack them at local elections If people oppose what is done, either in Parliament or in the council chamber, they now have many ways to communicate it. They can contact their representatives on Facebook and Twitter. They have even been known occasionally to send Members of Parliament e-mails—several hundred a day. They do not need a referendum if they are unhappy with decisions; they can vote out councillors every four years and, in between, have many, many ways of making contact and corresponding with them. I am grateful for the amendments that have been tabled. They have improved the debate today, but I do not think they are necessary and I hope they will be resisted The amendment tabled by my hon. Friend the Member for Shipley (Philip Davies) is also valuable in enabling us to discuss the Bill’s provisions and how they would affect local people. I am an advocate of and a believer in localism. I do not think it is for Whitehall to dictate to councils how they should conduct their business; the town hall should be free to do so. We should not seek to mandate from this place or even move towards mandating from this place how local authorities conduct their business, especially in such a sensitive area as religious belief. The Bill is, as has been stated repeatedly, about freedom and about empowering and entrusting that freedom to our local authority councillors, the vast majority of whom, if not all, are excellent individuals who have sharp and keen minds capable of making the decision locally about how to conduct their business Finally, I promised to return to the contribution of my hon. Friend the Member for North East Somerset (Jacob Rees-Mogg). The idea of his private Member’s Bill for starting all proceedings in local authorities with a mass and incense might be an idea with legs, so I will watch with interest where he comes in the private Members’ ballot next year. I may be prepared to become a subscriber to his Bill, although I am not sure that I would support the abolition of the Church of England and the restoration of the Roman Catholic Church. There are, of course, Anglo-Catholics who are almost more Catholic than the Catholics in some of their tastes and traditions for their own Church, so this could be explored further on a future date With all those assurances, I hope that my right hon. Friend the Member for North East Hampshire will be willing to withdraw his amendment and that my hon. Friend the Member for Shipley will not press his.
ParlaMint-GB_2015-01-16-commons.u49	I beg to ask leave to withdraw the amendment Amendment, by leave, withdrawn. Third Reading
ParlaMint-GB_2015-01-16-commons.u50	I beg to move, That the Bill be now read the Third time I shall not detain the House for long. We have had a good debate today, and I have enjoyed it immensely. I am grateful for the contributions of my hon. Friends the Members for Gainsborough (Sir Edward Leigh) and for Shipley (Philip Davies), my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot), my hon. Friends the Members for North East Somerset (Jacob Rees-Mogg) and for Bury North (Mr Nuttall), the Minister and the shadow Minister Let me briefly put on the record my thanks to the Minister for her support of this Bill and my profound thanks to all the officials from her Department who have been excellent. Whenever I had a question to ask, they were happy to help and advise. They have been instrumental in ensuring the smooth passage of the Bill through the House. I thank the shadow Minister and Opposition Members for their support. It is clear that this Bill can unite parties and people across the House in support of providing freedom for people to pray It has been a great privilege for me to have the opportunity to bring forward a private Member’s Bill in an area that is of particular interest to me—religious freedom and faith. It is a great privilege to have this Bill now being read for the Third time. I have been contacted by churches and people of faith in my constituency, including imams and representatives from our local mosque. The Bill has not only been discussed here, but has been held in the prayers and religious observances of many people across Rossendale and Darwen. I am sure from the number of people who have written to me to wish us luck that many across our nation have been inspired by the Bill I said at the time of the money resolution that I believed—and I still believe—that there is more power in prayer than in the stroke of any Minister’s pen, than in the power of the Chair—and you were in the Chair at the time, Madam Deputy Speaker—or than in any Division of this House. I am extremely grateful to people all over the country, and more particularly in my constituency, who have held this Bill and its passage through Parliament in their prayers. I hope that they will continue to hold it in their prayers as it proceeds through the other place.
ParlaMint-GB_2015-01-16-commons.u51	It is a privilege to rise again in support of this Bill. Let me express my thanks once again to the hon. Member for Rossendale and Darwen (Jake Berry) for taking it through the House with such confidence, style and aplomb. Last week’s discussion in Committee indicated a breadth of support from all parts of the House, and I am pleased that the point was made—time and again—that this Bill fundamentally protects freedom of choice. I warmly congratulate the hon. Gentleman on seeking to preserve the balance in the Bill, and I applaud the gentleness of the language. The word “may” as proposed in clause 1 is crucial. It is not for us to determine whether prayers should be included; it is our role simply to enable those decisions to be taken at a local level and based on individual local circumstances As I have said, I come from a multi-faith community—one that celebrates diversity of religion and culture. Our gurdwaras, our mosques, our temples and our churches of all types and denominations are full on Fridays, Saturdays and Sundays. Having served as a local councillor, I know it was our tradition to have chaplains of all faiths exercising their role in the council chamber. Prayer was used as a means of bringing people together and highlighting the common ground that is found in many, if not all, faiths The Bill does not make prayers compulsory. It is simply about giving councils and public bodies the right to include prayers if they so wish. It is right that these decisions are taken locally, that they take into account the range of traditions, cultures and views of communities and that councils are sensitive in exercising their discretion. Should they decide to incorporate prayers or reflections of whatever tradition, councils will be able to take decisions about the detail of arrangements to ensure that they are inclusive and that no one is left feeling excluded or alienated. We must trust that our councils are best placed to make decisions that accurately reflect the needs and wishes of their own communities I welcome the Bill, which delivers the same degree of choice for a wide array of public bodies listed under clause 2. I think it is a clever way of emphasising that all public bodies, of whatever stripe, have a role to play in supporting communities and promoting community cohesion, as well as encouraging faith and non-faith groups to engage with those public bodies and contribute to that cohesion. I thought that was really well done I support the hon. Gentleman, too, in his efforts to ensure that all types of local authorities are entitled to make a decision of their own and to contribute in the same way as larger bodies. I am grateful for the clarification he brought to underline the opportunity for local authorities to contribute to religious events. He illustrated clearly in Committee, and again today, that the Bill will protect traditions that we take for granted at the moment At its heart, the Bill is about maintaining the right balance, providing choice without prescribing measures; enabling prayers to be included, while also making it clear that this is a localised decision to be based on local circumstances. I believe the hon. Gentleman has got the balance absolutely right, and I am happy to support the progress of his Bill.
ParlaMint-GB_2015-01-16-commons.u52	I rise to support the Third Reading of this Bill. As the House will be aware, the Bill received what I described in Committee as the equivalent of a bye in the first round of the FA cup in that there was no debate on Second Reading. There was a brief discussion about the Bill when the money resolution was passed. Apart from that and the Committee debate, today has been the first—and, indeed, the only—occasion on which the Bill has been discussed on the Floor of the House. Let me thank my parliamentary next-door neighbour, my hon. Friend the Member for Rossendale and Darwen (Jake Berry), for introducing the Bill From time to time, we are faced with situations brought about as a result of an unexpected turn of events in the courts. Judges sometimes reach decisions that throw into question the whole basis on which we have previously conducted our affairs in this country. In 2010, earlier in the present Parliament, there was a court case involving Bideford town council, a member of which, with the support of the National Secular Society, objected to the holding of prayers at the beginning of council meetings. Prayers were included on the agenda as the first item, before apologies for absence. Although the council member tabled motions to end the practice, they were rejected, so—again, with the help of the National Secular Society—he took the council to court, where it was argued that the council had no power to hold prayers as part of its formal business. Everyone in the land had always assumed that councils did have that power It is testimony to the ability of my hon. Friend the Member for Rossendale and Darwen that he has managed to pilot the Bill to its current stage, with the result that it is now crystal clear that councils have the power to hold prayers as part of their proceedings. It also clear that councils can take part in and facilitate religious events. That is particularly relevant to remembrance, and specifically, in my own local authority in Bury, to the marking of Gallipoli day.
ParlaMint-GB_2015-01-16-commons.u53	My hon. Friend is making a very good point about councils needing to be represented at remembrance events, but, speaking as one who does not have a belief in God, I wonder whether those events need involve God. I think it is very important for us to commemorate, honour and respect veterans and those who have died fighting for their country, and I have no objection to this part of the Bill, because I think that councils need to be represented at such events, but I find it regrettable that those events must necessarily involve something in which many people do not believe.
ParlaMint-GB_2015-01-16-commons.u54	No one is suggesting that those who have no faith should not be equally able to commemorate events of the past in their own way, but we have a long-standing tradition in this country of commemorating them by attending a religious service. Of course, there is no reason why those who have no faith whatsoever cannot organise a separate event with no religious content. However, I think that most authorities hold religious services. Bury council has a long tradition of commemorating Gallipoli day, marking it with a special Sunday on which it holds a civic service every year. The centenary of Gallipoli will be commemorated this year, not just in Bury but across the country For all those reasons, I am pleased to be able to support the Bill. I am sure that it will be given a Third Reading, and I wish it a speedy passage in the other place.
ParlaMint-GB_2015-01-16-commons.u55	I do not wish to delay the House, but I think it is worth our reminding ourselves why the Bill is necessary at all. It is necessary because in 2012 the High Court ruled, on the basis on a narrow interpretation of the Local Government Act 1972, that councils had no statutory power to hold prayers as part of official business. The Bill will give councils that statutory power, and gives them freedom to pray As has already been made clear, the Bill does not compel anyone to pray; nor does it define what constitutes prayer, or what constitutes religion. It does not contain an exclusive list of religions or a definition of what constitutes prayer, because it gives bodies and individuals freedom to determine those matters for themselves. It takes a workable approach, giving local authorities freedom to include in their business time for prayers or other religious observance, or observance connected with a religious or philosophical belief. It also enables them to support, facilitate and be represented at events with a religious element Throughout the Bill’s passage so far, I have had in mind an event in my constituency: our Remembrance day service in Portsmouth, which, as would be expected in Portsmouth, is a pretty spectacular event. Representatives of all the main faiths in the city give readings and say prayers, which are interspersed with secular poems and hymns. It is an amazing event, which gathers huge crowds. I think that it is much stronger for the participation of all the city’s faith groups, and I say that as one who did not swear on the Holy Book when I affirmed my allegiance to Her Majesty and took my seat, but made a secular affirmation. I recognise the important role that religion plays in civic life, and I think that my local branch of the Royal Navy chaplaincy would have been very concerned to hear the comments of my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) Faith can be a unifying force for good. Faith organisations are intertwined with our communities. Councils, and councillors, should be free to allow faith to play a part in their business should they wish it to do so. The Government support the Bill because it gives authorities freedom to pray if they wish. The choice will be a local one. It will be for councils, and for the public who elect their councillors, to decide whether meetings will begin with a prayer, a reflection, or neither. It will be for councils to determine the content of prayers, which may, for instance, reflect the faith composition of their local areas. We consider that the Bill performs a valuable function. It is right for an authority that makes the decision to say prayers as part of its formal business to be able to do so. We should trust local people to decide I commend this straightforward, sensible and proportionate Bill to the House, and I thank and congratulate my hon. Friend the Member for Rossendale and Darwen (Jake Berry) Question put and agreed to. Bill accordingly read the Third time and passed.
ParlaMint-GB_2015-01-16-commons.u56	I beg to move amendment 1, page 2, line 8, leave out “an” and insert “a pony, jennet,”
ParlaMint-GB_2015-01-16-commons.u57	With this it will be convenient to discuss the following: Amendment 2, page 2, line 35, in clause 2, leave out “to whom the horse belongs” and insert “both to whom the horse belongs and an address within the United Kingdom at which proper service as defined under this section may be made” Amendment 3, page 2, line 36, in clause 2, at end insert— ‘( ) For the purposes of this section proper service of a notice may be made by posting by first class post to the address of the person to whom the horse belongs a written notice— (a) stating that the horse has been seized and the date and time at which it was seized; and (b) giving details of how contact can be made with the person detaining the horse.”
ParlaMint-GB_2015-01-16-commons.u58	It is strange that I should have views on both this Bill and the one that preceded it. I entirely support this Bill, which does something necessary and helpful Amendment 1 clarifies the definition of “horse” in clause 1. I just suggest that it should, as the Welsh equivalent Bill does, make it clear that the word “horse” includes ponies and jennets.
ParlaMint-GB_2015-01-16-commons.u59	I am not trying to be clever or unhelpful, but I do think that the normal definition of a horse would include anything that was of the same species as a horse—that is to say equus ferus caballus—which ponies and jennets are. Donkeys are separately identified because they are not the same species. They are equines, but they are equus africanus asinus, if I remember correctly, and therefore they have to be defined separately, but—
ParlaMint-GB_2015-01-16-commons.u60	Order. I very rarely pick up on points like this, but the hon. Gentleman must address the Chair—or must look as if he is just occasionally addressing the Chair—and not have his back to the House.
ParlaMint-GB_2015-01-16-commons.u61	Please forgive me, Madam Deputy Speaker. I have not been in the House for very long, as you know, and that is a mistake that incomers make. I do apologise. I also sound like I am lecturing the right hon. Gentleman, but I am not trying to; I am simply saying that I think his amendment is otiose.
ParlaMint-GB_2015-01-16-commons.u62	My hon. Friend is almost certainly right. It is clear from his intervention that he knows far more about this matter than I do—he probably knows far more about most matters than I do.
ParlaMint-GB_2015-01-16-commons.u63	The right hon. Gentleman has said the legislation is already in place in Wales, and, as a Welsh MP, may I say that I think it is important to make the distinction, as the vast majority of animals left on these fields are ponies?
ParlaMint-GB_2015-01-16-commons.u64	As it happens, until a couple of years ago we had, in the meadow next to our house, a pony—that sadly died at the age of 35, which I think is going it some, frankly. It was as a result of the knowledge of our own pony, who was called Porky, that I moved this amendment. If this amendment is unnecessary and we do not need to describe what a horse is, as my hon. Friend the Member for Somerton and Frome (Mr Heath) suggests, I will move on to my second and third amendments I think these two amendments are more important. I think they genuinely address what may be a problem with the Bill, but my hon. Friend the Minister will no doubt set me right on that when he comes to speak. I think the problem may be this: the detention of a horse under the provisions of this Bill could be continued beyond 24 hours if the person who detains the horse does not know to whom the horse belongs, provided he tells the police about it, but it could not be continued beyond 24 hours if the person who detains the horse does know to whom the horse belongs, but does not know how to get hold of him. These amendments are intended—despite my own, no doubt, cack-handed drafting—to deal with that. My hon. Friend the Member for Somerton and Frome will no doubt tell us whether they achieve the clarity and helpfulness I intend to achieve, but that is the purpose behind them.
ParlaMint-GB_2015-01-16-commons.u65	One can only speculate as to why the right hon. Member for North East Hampshire (Mr Arbuthnot) has brought forward this group of amendments. However, Opposition Members would not wish them—or amendment 4, which is to be debated later—to delay the passage of the Bill, so I will be brief Amendment 1 attempts to clarify further the definition of what actually constitutes a horse, and I would encourage the Minister to put on the record later in the debate a full definition and whether, indeed, this covers a jennet or a pony. The term “jennet” is used to describe a Spanish jennet horse. It is, I understand, a fairly new breed registration dedicated to an attempt to recreate the coloured variety of gaited horses that resembles the historical jennet or “Spanish jennet.” It would seem obvious, therefore, that the term “horse” as already used in the Bill would cover a jennet, but I await the Minister’s response The term “pony” is used to describe a small equus which, depending on context, can be a horse that is under an approximate or exact height at the withers—usually 14.2 hands, if memory serves, with the hand being 4 inches in imperial measure—or alternatively is a small horse with a specific conformation and temperament. Again, the Minister may wish to elaborate.
ParlaMint-GB_2015-01-16-commons.u66	I am grateful to my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) for tabling these amendments and asking some important questions about the Bill Amendment 1 seeks to add ponies and jennets to the definition of a horse covered by the Bill and, in turn, to the provisions on horses in the Animals Act 1971. It may be helpful quickly to explain how the provisions in the Control of Horses Bill amend the Animals Act 1971. The Bill carves out special arrangements in the 1971 Act for stray and fly-grazing horses and other equidae. Its leaves the measures in the 1971 Act as they apply to other livestock unchanged. The provisions cover a range of equidae. As well as horses, the Bill’s provisions apply to asses, mules and hinnies. These equidae need special mention because, as the hon. Member for Somerton and Frome (Mr Heath) pointed out, they are not horses. Each is a different species. Horses are of the equus ferus caballus, and ponies are of the same species, as the hon. Gentleman pointed out. It might also be worth clarifying that the legal definition of a donkey is an ass, so they are also covered A pony is just a small horse and does not need to be specified, so they are already covered. Similarly, a jennet is a small breed of horse. Thus neither ponies nor jennets need to included in the definition of horse For completeness, I should say that I asked a number of questions about the definitions when scrutinising this Bill with officials, and I therefore point out that a mule is the offspring of a male donkey and a female horse, and a hinny is the offspring of a male horse and a female donkey. That is made clear in the legislation I understand the reasoning behind amendments 2 and 3. My right hon. Friend just wants to make it clear that there is a proper process for contacting the owners of a horse, where this is known. Unfortunately, it is not always easy for a person or local authority detaining a horse to identify the owner and then serve them with a notice of detention. Many fly-grazed horses cannot be identified through microchipping, as required by law, and even when a horse can be properly identified, the person detaining it might not be able to access its identification data We considered these points and decided that the police should remain the central point of contact for reporting detained or missing horses, and that notice of detention should be registered with the police in any case, even when the person detaining the horse is able to notify the horse’s owner. Under the existing provisions in the Animals Act 1971, the police have systems in place for registering this kind of information, which is often shared with local authorities. Horse owners should therefore contact the police immediately if they are concerned that their horse might have been detained The Bill leaves it open to the person detaining a fly-grazing horse to contact the owner directly, if the owner is known to him, but I believe that it would be a backward step to prescribe what form such action should take, such as sending a letter by first-class post, as my right hon. Friend the Member for North East Hampshire suggests. The person might know which caravan the owner lived in, for example, and could go and knock on their door and talk to them. Alternatively, they might know the owner’s e-mail address. It would be wrong to be prescriptive in this regard I asked questions about this again when we were considering the Bill, and I want to reassure my right hon. Friend. Clause 3(2) of the Bill states: “The right to detain the horse ceases at the end of the period of 24 hours”, and goes on to say that the person detaining the horse must notify the police and the owner, if they know who that is. If the Bill had required notification of the police or the owner, but not both, he might have a stronger case for requiring more clarity. I believe that the requirement to notify both, and to contact the police in any event, will provide sufficient clarity. As the shadow Minister, the hon. Member for Brent North (Barry Gardiner), pointed out, we are keen to get the Bill through and it would be wrong to introduce measures that were inconsistent with the 1971 Act. I therefore hope that, in the light of these clarifications, the right hon. Member for North East Hampshire will be able to withdraw his amendment.
ParlaMint-GB_2015-01-16-commons.u67	It is a pleasure to speak briefly to amendments 1, 2 and 3, tabled by my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot). I must also put on record my thanks for his support for the Bill. On amendment 1, the Minister has already set out how a horse is defined for the purposes of the Bill. The shadow Minister, the hon. Member for Brent North (Barry Gardiner), has set out his position on that as well, and I do not need to say more on that I should like to speak briefly to amendments 2 and 3. I completely understand the very sensible intentions behind the amendments, but I believe that the police must remain the central point of contact, as the Minister has said. It is also clear that there has to be flexibility in these circumstances. First-class post might be the most appropriate way of notifying an owner in certain circumstances, but it is essential to have flexibility on that decision, and not to specify in statute exactly what should be done. The Minister talked about the time involved, and using first-class post might delay the notification so that it did not arrive within the required four clear days I fear that the introduction of detailed specifications of how notifications should be served could unnecessarily delay what should be an immediate process relating to animal welfare. Such delay must be avoided in the interests of all parties involved, not least the fly-grazed horses, in the light of the welfare issues involved. I therefore hope that my right hon. Friend will not press his amendment to a vote.
ParlaMint-GB_2015-01-16-commons.u68	I am not entirely convinced that we have dealt fully with the circumstances in which someone might know the owner but not know how to get hold of him. I hope that my hon. Friend the Member for York Outer (Julian Sturdy) will consider this point further when the Bill goes to another place, but in the circumstances, and given the gracious way in which he has dealt with the matter, I beg to ask leave to withdraw the amendment Amendment, by leave, withdrawn. Clause 5 Commencement, extent and short title
ParlaMint-GB_2015-01-16-commons.u69	I beg to move amendment 4, page 4, line 20, leave out “and Wales” I have tabled this amendment because I am puzzled. In 2014, the Welsh Assembly passed the Control of Horses (Wales) Act 2014 to deal with this issue. As this is now a devolved matter, there is no reason why it should not have done so; indeed, there is every reason why it should. Clause 1(1) of this Bill states that “a local authority in England may detain a horse”, and the entire Bill seems to apply to England until we get to clause 5(2), which states: “This Act extends to England and Wales.” That leaves me wondering what on earth Wales is meant to do with the legislation, and how it can extend to England and Wales. I therefore suggest that we leave out “and Wales”.
ParlaMint-GB_2015-01-16-commons.u70	I rise again to speak briefly to this amendment. It is not unusual for Bills passing through this place to include Wales in their jurisdiction. My understanding is that Wales is included in the Bill for technical reasons. The Animals Act 1971, which the Bill amends, extends to both countries, and any Bill that amends that Act needs to apply its provisions to both countries. However, because the Welsh Assembly has legislated for fly-grazing separately in the Control of Horses (Wales) Act 2014, the provisions of this Bill will in effect apply only to England. The 1971 Act does not apply to either Scotland or Northern Ireland, so they do not need to be included in the Bill. I would be grateful if the Minister reassured the House that the provisions in the Bill will apply in effect only to England. If that is the case, we would not wish to support the amendment.
ParlaMint-GB_2015-01-16-commons.u71	Amendment 4 seeks to limit the extent of the Bill to England only, and not to England and Wales as currently drafted. I realise that it might be confusing to have a Bill that extends to both England and Wales but has provisions that apply only to England, but I can reassure hon. Members that this is not a mistake. The Bill extends to England and Wales for legal reasons. As the shadow Minister pointed out, the Bill amends the Animals Act 1971, which extends to England and Wales. Because the 1971 Act extends to England and Wales, any Bill that amends it must also apply to England and Wales I shall give the shadow Minister the reassurance that he seeks. Although the Bill extends to England and Wales, none of the provisions will apply in Wales. Furthermore, none of the amendments that are made to the Animals Act will apply to Wales. I should also point out that we took soundings from the Welsh Government when considering these matters, to ascertain whether they wanted Wales to come under the scope of this Bill, but the feedback that we received was that because they had introduced their own legislation in this area, they did not want to confuse matters further by extending these provisions to cover Wales. That is why the Bill explicitly excludes Wales. I hope that, in the light of that explanation, my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) will not press his amendments to a vote.
ParlaMint-GB_2015-01-16-commons.u72	Again, it is a privilege to speak to amendment 4. As the Minister rightly says, the Bill extends to England and Wales, not because of a mistake but for legal reasons. Although it extends to England and Wales, none of its provisions will apply to Wales. An important reason for that is what the Welsh Government put in place in 2014 and I pay tribute in this House to the Welsh Government for acting and introducing what became the Control of Horses (Wales) Act 2014. One reason I introduced my Bill was to follow on from that to make sure that this is covered in England, too.
ParlaMint-GB_2015-01-16-commons.u73	With those wonderful explanations, I beg to ask leave to withdraw the amendment Amendment, by leave, withdrawn. Third Reading
ParlaMint-GB_2015-01-16-commons.u74	I beg to move, That the Bill be now read the Third time It is huge privilege to speak on Third Reading. First, I must draw the House’s attention to my declarations in the Register of Members’ Financial Interests. As hon. Members will be aware, my background is in farming, and it is from a deep affinity for the land and countryside that my interest in this Bill first arose. Thankfully, I have not suffered from the devastating effects of fly-grazing personally, but I have witnessed at first hand the problem it causes farmers, the unfortunate horses themselves and unwitting motorists in my constituency.
ParlaMint-GB_2015-01-16-commons.u75	May I congratulate my hon. Friend on getting his Bill through to this stage and, indeed, on introducing it? He is a great champion of his constituents, but I can assure him that on this issue not only they but many of my constituents will be grateful. This is a Bill and we are all grateful to him for the way he has steered it through.
