ParlaMint-GB_2015-01-27-commons.u1	1. What recent estimate HM Revenue and Customs has made of the amount of uncollected tax in the UK.
ParlaMint-GB_2015-01-27-commons.u131	T6. This Government are demonising those on benefits, while doing little about tax evasion and avoidance, which, as we have heard, have risen significantly on their watch. Today sees the launch of the Tax Dodging Bill campaign, as 85% of British adults say that tax avoidance by large companies is morally wrong, even when it is legal. Why will the Chancellor not impose penalties for breaches of the general anti-avoidance rule, as we have called for?
ParlaMint-GB_2015-01-27-commons.u132	First, it was this Government who got the base erosion and profit shifting process running with the OECD, looking to deal with the international rules. It was this Government who announced at the autumn statement that we are bringing in a diverted profits tax to deal with some of the contrived and artificial behaviours that people are worried about. It was also this Government who introduced the general anti-abuse rule and it is this Government who are consulting on bringing in penalties for it. I have to say, it is not a bad record.
ParlaMint-GB_2015-01-27-commons.u133	T5. I commend the Chancellor’s aim of running an overall budget surplus in 2019-20 and cutting the national debt so that the next generation are not saddled with punitive taxes. Does he agree that this is a case of simple fairness, not ideology?
ParlaMint-GB_2015-01-27-commons.u134	My hon. Friend is absolutely right. Countries such as Canada and Sweden, both of which have quite strong social democratic traditions, have forms of balanced budget rules, or rules where surpluses are run in good times. That has enabled them to bring their public finances under control and their debt down. They did not endure the hardship we saw as a result of the financial crisis here in the UK. We propose that countries should run a surplus in good times. That is the only sustainable way to get our national debt down. If we do not do that, we leave Britain exposed to whatever economic shocks the world throws at us.
ParlaMint-GB_2015-01-27-commons.u135	T7. The Chancellor will be aware of the importance of the success of Newcastle international airport and of the need for successful businesses to plan ahead. He will understand, then, how the possible cut in air passenger duty north of the border is felt as a threat. Will the Chancellor give an assurance to the business of the Newcastle international airport and to other potential businesses affected that we will match any cut in APD funding north of border?
ParlaMint-GB_2015-01-27-commons.u136	The hon. Gentleman raises a serious point, and there is agreement on it across the political divide. The devolution of air passenger duty to Scotland raises the potential for real pressure to be put on airports in north-east England, but also on Manchester airport, which is partly in my constituency. We will of course have to see what the Scottish Parliament does when the powers are devolved, but the hon. Gentleman has my assurance that we will work together to ensure that we minimise the impact on the north-east if this happens, and that we will protect regional airports in England. We have a couple of years to work this out—it does not have be done tonight or tomorrow—and we can work out a plan that protects the brilliant Newcastle, Manchester and other regional airports.
ParlaMint-GB_2015-01-27-commons.u137	This Treasury team abolished Labour’s unjustifiable and unfair beer duty escalator and delivered two historic successive cuts in beer duty. We still pay more tax on our beer, however, so our British brewers are not getting a fair deal in comparison with their European counterparts. Will the Treasury make it a hat trick?
ParlaMint-GB_2015-01-27-commons.u138	During his time in Parliament, my hon. Friend has been a champion of the beer industry, small pubs and small brewers across the country—and a very effective champion he has been, too. Of course I cannot make any commitments about the Budget at this stage, but I welcome his recognition of the progress made on this subject during the course of this Parliament, and I will certainly take his recommendations for the Budget very seriously.
ParlaMint-GB_2015-01-27-commons.u139	Britain has an enormous and persistent trade deficit with the European Union—clear evidence of a misaligned exchange rate. The significant weakening of the euro in recent days will make the position even worse and cause damage to British industry. When are the Government and the Bank of England going to take seriously the need to achieve and sustain an appropriate sterling-euro exchange rate?
ParlaMint-GB_2015-01-27-commons.u140	This Government do not target a particular exchange rate. Successive previous Governments found to their cost that doing so was difficult and damaging. What we do is ensure that Britain is competitive. I think the best thing to do to support exports is to make sure that our British businesses are taxed in a competitive way; they have great skilled work forces working for them—[Interruption.] They are chuntering away on the Opposition Front Bench. I seem to remember that when the Labour leader was asked recently when Britain would join the euro, he said it depended on how long he was the Labour leader. It is still official policy to join the euro and tie the currency up to the eurozone—with all the ensuing chaos that would follow.
ParlaMint-GB_2015-01-27-commons.u141	Is the Chancellor aware that since 2010 unemployment in my constituency is down by a staggering 1,000? What assessment has he made of the role of small business start-ups in reducing unemployment?
ParlaMint-GB_2015-01-27-commons.u142	Small business start-ups have been central to job creation. We have helped them with the employment allowance and the enterprise investment scheme, and we have given the new enterprise allowance to young unemployed people to help them to start businesses—and that has been a great success. We have in place many initiatives to back our brilliant small businesses in Norfolk and across the country.
ParlaMint-GB_2015-01-27-commons.u143	Considering the economic modelling carried out by one of the Treasury’s own economists, Professor Blake, what further progress has been made on reducing VAT on tourism, which would benefit all regions and particularly coastal regions in the UK?
ParlaMint-GB_2015-01-27-commons.u144	We have looked at that, but there is a significant cost involved in making the changes. On the point of helping tourism, the hon. Lady will be aware of the substantial increase in Northern Ireland and other places over recent years and, secondly, the coastal communities fund provides a lot of support to many of the areas that benefit from tourism.
ParlaMint-GB_2015-01-27-commons.u145	Cutting beer taxes, raising income tax thresholds and stopping the petrol tax increases proposed by the Labour Government have helped the Evans household and, probably, a number of other household budgets throughout my constituency. In the next Budget, will the Chancellor please keep calm and carry on cutting taxes?
ParlaMint-GB_2015-01-27-commons.u146	I will not make any commitments in relation to the Budget, but my hon. Friend is right to point out that our support for the pub industry and for motorists has provided huge boosts for industries and families in Lancashire and throughout the country. Of course, we do not encourage people to mix the two.
ParlaMint-GB_2015-01-27-commons.u147	Last but not least, and very pithily, Alison McGovern.
ParlaMint-GB_2015-01-27-commons.u148	Will the Chancellor confirm that he has ruled out a further VAT increase in the next Parliament?
ParlaMint-GB_2015-01-27-commons.u149	Our plans do not involve a VAT increase, because we are prepared to make difficult decisions on public expenditure, including decisions on the welfare budget. The hon. Lady and her colleagues voted for £30 billion of consolidation. If they are not prepared to do that by achieving expenditure savings, they must be contemplating big tax rises. With 100 days to the election, we know the choice: it is between a competent Conservative plan that is delivering growth, and a return to economic chaos under the Labour party.
ParlaMint-GB_2015-01-27-commons.u150	rose—
ParlaMint-GB_2015-01-27-commons.u151	Order. I apologise to colleagues whom I was not able to accommodate, but, as usual in the case of Treasury questions, demand massively outstripped supply
ParlaMint-GB_2015-01-27-commons.u152	Before I call the hon. Member for North Antrim (Ian Paisley) to ask his urgent question, I must remind the House that the inquest into the death of Mr Gareth O’Connor, although stayed, is still sub judice. I have agreed to waive the sub judice resolution in order to allow an issue of national importance to be raised, but I ask Members in all parts of the House to be very careful in making any reference to the inquest. Members should also take care to ensure that their comments do not impede any future prosecution. Questions about the on-the-run scheme and the dates of the crimes concerned would be in order.
ParlaMint-GB_2015-01-27-commons.u153	(Urgent Question): To ask the Secretary of State for Northern Ireland to make a statement about recent developments relating to the on-the-run letters which have permitted a second fugitive to evade justice.
ParlaMint-GB_2015-01-27-commons.u154	On Monday 26 January, the coroner conducting the inquest into the death of Mr Gareth O’Connor, who disappeared in May 2003, directed that the inquest should be stayed pending an investigation by the Police Service of Northern Ireland into one of the suspects in Mr O’Connor’s murder. The suspect was part of the administrative scheme dealing with so-called on-the-runs, and was in receipt of a letter from the Northern Ireland Office informing him that he was not wanted for arrest by police forces in the United Kingdom. This case is specifically covered on pages 107 and 108 of the Hallett report on the on-the-runs scheme, where it is described as “error 2”. The fact of the error has therefore been in the public domain for some time, and the case is not a new development The Police Service of Northern Ireland is investigating the suspect’s case, and will be considering whether charges can be brought against the individual concerned. I spoke to the Chief Constable of the PSNI yesterday, and I understand from him that this is a live police investigation. I also briefed the Justice Minister—in brief—on the case. The police will investigate where the evidence leads them. In the circumstances, it would not be appropriate for me to comment further on the specifics of the case As for the OTR administrative scheme, I set out the Government’s position fully in my statement to the House on 9 September. That followed detailed consideration of the report by Lady Justice Hallett, which was published in July. I made clear in my statement that the scheme was at an end, and that there was no basis for any reliance on letters received by so-called OTRs under the scheme. There is no amnesty, immunity or exemption from prosecution. Those who received letters under the scheme should be in no doubt: if there is considered to be evidence or intelligence of their involvement in crime, they will be investigated by the police, and if the evidence is sufficient to warrant prosecution, they will be prosecuted.
ParlaMint-GB_2015-01-27-commons.u155	I thank the Secretary of State for her answer. The most disturbing aspect of what she has told the House today is the fact that the O’Connor murder relates to a post-1998 murder that occurred in 2003. We have been consistently told that the names of the OTRs were critical to securing a 1998 peace agreement, yet this murder post-dates that. Will the Secretary of State now agree to publish all the names with all the letters? Will she publish correspondence between Baroness Scotland and the right hon. Member for St Helens South and Whiston (Mr Woodward), whom I informed earlier I would be mentioning in the House, in terms of the relationship between that correspondence and the murderer of Mr O’Connor? Will the Secretary of State estimate how many other errors there are in this catalogue of errors and accept that the Government and the Hallett review conclusion that there is a single error is now without foundation Will the Secretary of State now consider legislation formally to annul the value of all these letters, to put meat on the bones of what she has said: that these letters are without value? Does she agree that Gerry Kelly must be formally investigated for how these letters have been distributed and for whom these letters have been requested? What compensation is now being considered for the families of those who have suffered as a result of Mr Downey’s activities and as a result of the actions by the murderer of Mr O’Connor, because these people cannot get justice by any other means and must now be entitled to some form of compensation?
ParlaMint-GB_2015-01-27-commons.u156	As is clear from the conclusions of the Hallett report, this letter should not have been issued; it was issued in error. For a number of reasons I do not think it would be appropriate to make public the names of the individuals who received letters under the scheme, not the least of which is that doing so could prejudice a future prosecution and make it more difficult to secure a conviction In relation to the number of errors, Lady Justice Hallett identified in her report two errors in addition to the one made in the case of Mr John Downey. She also identified a further 36 cases considered by Operation Rapid where she believed there was a risk that the wrong test had been applied. She did not conclude that there were actually errors in these cases, but she proposed that they should be a priority for further investigation because the risk of error in those cases was higher than in others In relation to legislation, as I briefed the House in September, it is clear to me that the most effective means to guard against future collapses of trials and future abuse of processes defence is to issue a clear statement indicating to anyone who received a letter under the scheme that it is not safe to rely on those letters—that they should not be relied on—and that is what I did. The option of legislating on these matters was carefully considered, but the conclusion is that legislation would not be as effective as a clear statement at the Dispatch Box that the scheme is at an end and these letters should not be relied on, not least because of a risk that errors have been made in other cases.
ParlaMint-GB_2015-01-27-commons.u157	I thank the Secretary of State for the response to the urgent question. She will be aware that as well as the 36 cases identified by Hallett as being perhaps the most worrying, we were told by the then assistant chief constable, now the deputy chief constable, of the PSNI that 95 people who received letters are connected through intelligence to almost 300 murders. That is a very serious situation indeed. Will the Government ensure that the PSNI has the full resources to look into all those cases not in the period of as long as nine years that the PSNI estimates it may take it, but very quickly so that the Government can decide whether there is a need for legislation to make it absolutely clear that nobody can rely on these letters to protect them from prosecution?
ParlaMint-GB_2015-01-27-commons.u158	I am grateful to the Chairman of the Select Committee on Northern Ireland Affairs for his question. It is of course important that the PSNI has appropriate resources for its investigations under Operation Red Field relating to OTRs, as is the case for all other matters for which it has responsibility. I welcome the fact that the agreement on a final budget for the Northern Ireland Executive for 2015-16 allocated an additional £20 million to the PSNI. There is also the Stormont House agreement, which commits the Government to contributing £150 million to aid Northern Ireland in its treatment of legacy cases. I will look carefully at how that money should be appropriately deployed in the coming weeks On the question of legislation, I do not think I can really add to my previous answer. Having considered this carefully, the most effective means to ensure that we do everything we can to remove barriers to justice is a clear statement indicating that this scheme is at an end and these letters should not be relied on. That is what I have done. Legislation would not take us further and, I believe, would not be the right option in this instance.
ParlaMint-GB_2015-01-27-commons.u159	As the hon. Member for North Antrim (Ian Paisley) suggested, the revelation yesterday regarding the collapse of the inquest into the murder of Gareth O’Connor has caused further concern and anxiety in Northern Ireland. Our thoughts today should be with the O’Connor family. Like so many of those left behind, they sought justice and truth about what happened to Gareth in 2003. They have waited 12 long years for an inquest into the death of their son, and the thought of preparing for a week-long inquest would have been harrowing for the family. This development made a highly stressful situation even worse News of another error from the administrative scheme for the on-the-runs is devastating, following the catastrophic error in the Downey case last year. We have apologised for the Downey error, and do so again for the error in the O’Connor case. In the same way as this scheme never offered amnesty, it was also never intended to cover alleged offences committed after the signing of the Good Friday agreement. Doubly troubling is the delay in the coroner and the family being made aware of the error. The Northern Ireland Office and the police knew about the case—indeed, it was referred to in the Hallett report I have several questions for the Secretary of State. Why did the Northern Ireland Office not ensure this family were told of the error in the immediate aftermath of the publication of the Hallett report? Secondly, further to the question from the Chairman of the Select Committee, in view of the financial pressures facing the PSNI, how long does the Secretary of State estimate it will take to review all the cases covered by the OTR scheme? I do not believe she has clarified that in her answer to the House today. Finally, on a related matter that has caused similar concerns, can the Secretary of State update the House on investigations into the missing information regarding royal prerogatives issued before 1997?
ParlaMint-GB_2015-01-27-commons.u160	I thank the shadow Secretary of State for his questions. It is useful to remind the House that this scheme never offered an amnesty, and that it was designed to give individuals who were not wanted an indication that they were not wanted by police, so the letters issued in relation to the Downey case and this one were clearly issued in error On the Chairman of the Select Committee’s question about the connection between the 95 individuals and intelligence or indications relating to 300 crimes, these are of course matters for the police to investigate, but I would emphasise that a connection to intelligence or evidence is not necessarily sufficient to justify arrest or prosecution I welcome the shadow Secretary of State’s repetition of the apology he gave on behalf of the previous Government for the errors made in these cases, and I, of course, am happy to reiterate the apology I made on behalf of this Government for the pain and hurt caused to all families affected by the OTR scheme. I think there is consensus that the scheme should, at the very least, have been handled in a much more transparent way I acknowledge that the way the family in this case found out about the connection to the OTR scheme was very problematic. My understanding is that the PSNI has issued an apology for that, and I join in confirming that apology. It is, of course, as I said in response to the previous question, important that the PSNI is properly resourced for all its functions, which is why the Government have provided extra security funding of £230 million and one reason why we have provided funding for help in investigating the past. Even with those additional resources, it is clear that Operation Red Field, the investigation into all the OTR cases, will take some years.
ParlaMint-GB_2015-01-27-commons.u161	The Secretary of State is to be congratulated on bringing some transparency to this scheme, via the Hallett inquiry. Such transparency was needed, because the previous Government set up the scheme and kept it under the carpet, if not secret from the nation. Does she agree that it was one of the shabbiest deals they did, notwithstanding the shadow Secretary of State’s apology? Will she further reassure me, the House, the country and the courts that she has taken legal advice on her statement that nobody can rely on one of these letters any more?
ParlaMint-GB_2015-01-27-commons.u162	I have taken into account a number of factors in deciding how to respond to the Hallett report, and they of course include legal advice on the best way to guard against further trial collapses as a result of abuse of process. My right hon. Friend has referred in clear terms to his view of the scheme. As I said, I think there is agreement that it was deeply unfortunate that the scheme was not handled in a more transparent way. That is something for which I have apologised, but I emphasise once again to the House that it was never an amnesty and it was never a scheme to let people wanted for arrest get off without arrest or prosecution; it was, from the start, intended to be a scheme that merely indicated to those who were not wanted by the police that that was the factual position at the time in question.
ParlaMint-GB_2015-01-27-commons.u163	The Secretary of State has repeatedly said that individuals should not rely on the OTR letters as the police carry out their duties. Does she agree that the law-abiding community in Northern Ireland would see much greater strength in that reassurance whenever they saw people with an OTR letter in their possession standing in the dock and the judge carrying out his duty, despite their having possession of a letter?
ParlaMint-GB_2015-01-27-commons.u164	It is, of course, important for all crime to be properly investigated in Northern Ireland and for those guilty of offences to be brought to justice, regardless of whether or not they have an OTR letter.
ParlaMint-GB_2015-01-27-commons.u165	We all want to see people with a strong case against them standing trial to see whether a jury will convict them. Will the Secretary of State revisit her legal advice on her statement that these letters should not have any great effect on a trial, to make sure that, in the light of this new decision, it remains correct and there is no need for further action by this place?
ParlaMint-GB_2015-01-27-commons.u166	I am certainly happy to do that, and I discussed the matter with the Chief Constable yesterday. Just to reiterate, the Northern Ireland Office stands ready to take any further steps that might assist in removing barriers to prosecution. My current view is that the best way to guard against future problems in relation to abuse of process is a clear statement that these letters should not be relied on, and that is what I have made and issued to this House in September.
ParlaMint-GB_2015-01-27-commons.u167	The PSNI has already confirmed that Operation Red Field will take at least three years, so I am glad the Secretary of State is looking directly at how she can assist with the funding. This was a Northern Ireland Office scheme, not a devolved scheme, and so the review should not come from the Northern Ireland budget. Is she in a position to shed any light on the allegations that have been made in the media that this individual was issued with a letter in respect of crimes that predated 1998 but which included a crime for which they were wanted in 2003, and that the tag of “wanted” on their file was then changed subsequent to the issue of that letter to “not wanted”, which would have made this incredibly difficult to detect?
ParlaMint-GB_2015-01-27-commons.u168	For the reasons I have given, I am reluctant to get into the specifics of this case. As I have mentioned, the hon. Lady will find some further detail on these matters on page 108 of the Hallett report. In particular, there is a real concern that the offence in question was a post-1998 offence.
ParlaMint-GB_2015-01-27-commons.u169	Having done three operational tours in Northern Ireland, I fully appreciate that some areas are murky and remain so, and these 200 letters were a shabby effort to sign up to the peace deal. Will the Secretary of State tell me how long it will take to investigate these 95 people who have received letters? As we understand it, through intelligence, they are connected to 300 murders, so how long will it take to pursue this and ensure that proper justice is done?
ParlaMint-GB_2015-01-27-commons.u170	As I have said to the House, it will, unfortunately, take some years to go through all the OTR cases. That is why we will need to give serious consideration as to whether some of the extra funding provided as a result of the Stormont House agreement to deal with matters relating to the past can be used in some way to assist the PSNI in this important work.
ParlaMint-GB_2015-01-27-commons.u171	In response to the question that my hon. Friend the Member for Bury South (Mr Lewis) asked about why the family and the coroner were not involved in July when Hallett produced the report, the Secretary of State said that it was “problematic”. That is not good enough. We want to know what has been going on since July. We have been told earlier that the police are now investigating this case, but what have they been doing since July? And what has the NIO been doing since July?
ParlaMint-GB_2015-01-27-commons.u172	The NIO has been involved in a number of matters implementing the conclusions of the Hallett report. They include consideration of this case by the policy board set up as a result of Lady Justice Hallett’s conclusions. We also implemented a number of her conclusions through my statement to the House to provide clarification of the status of the scheme. That also covers the recommendations that she made in relation to removing barriers to prosecution. The PSNI has also made progress on the matters in Lady Justice Hallett’s recommendations on how it deals with police databases and the PSNI’s liaison with other police services in the United Kingdom.
ParlaMint-GB_2015-01-27-commons.u173	What about this family?
ParlaMint-GB_2015-01-27-commons.u174	We have to bear in mind that deployment and disclosure of information in relation to these individual cases needs to be handled with the greatest care, because any disclosure presents risks in relation to future prosecutions. That is probably one of the reasons why the information came out at the time that it did. So we need to reflect carefully on these matters. It did come out in an unfortunate way; I reiterate the apology I made earlier to the family for how they learned of this matter, but we all need to take care on the disclosure of information about this scheme, because none of us would want to be responsible for the collapse of a future trial.
ParlaMint-GB_2015-01-27-commons.u175	I am reflecting and thinking of the O’Connor family from Newry today. Will the Secretary of State confirm, notwithstanding the content of the Hallett report, that no further errors will be revealed?
ParlaMint-GB_2015-01-27-commons.u176	No, I am afraid that I cannot give that confirmation. The Hallett report was clear in its conclusions about the management of the scheme: it was not properly managed and the risk was not properly managed. Anyone reading the Hallett report must expect that further errors will come to light. As I told the House earlier, Lady Justice Hallett highlighted 36 further cases as ones where the risk of error is higher than in others. That is one reason why nobody should be relying on these letters; because of the errors in the way the scheme was managed, it is likely that other errors will come to light.
ParlaMint-GB_2015-01-27-commons.u177	The Secretary of State will know that I have raised the position of the victims on a number of occasions, and they are at the core of the whole issue. Many victims will never see justice because of these OTR letters. My hon. Friend the Member for North Antrim (Ian Paisley) made a point about printing the names. Is one reason why the Government will not print the names of those with OTR letters and the royal pardons that they were received by some people who have been elected to this House and are currently elected to the Assembly?
ParlaMint-GB_2015-01-27-commons.u178	Let me emphasise that the issue of an OTR letter does not necessarily lead to the result that it did in the John Downey case. The judgment is clear: the reason why the trial collapsed was that the letter was incorrect. Mr Downey was wanted, but he was sent a letter indicating that he was not. The issue of an OTR letter does not give immunity from prosecution; it never did and it will not do so in the future. On the disclosure of names, I have said to the Northern Ireland Affairs Committee on many occasions that, by disclosing names, there is a risk that I would jeopardise future prosecutions, make them more difficult and increase the risk of an abuse of process. That is why I will not disclose names in relation to this scheme or be drawn on categories of individuals who might have been part of it.
ParlaMint-GB_2015-01-27-commons.u179	Does the Secretary of State agree that we should not have short memories when it comes to Northern Ireland? The fact is that 3,600 people were killed during the civil war. Rather than condemn the previous Government, we should acknowledge the risks that they took to make Northern Ireland the fantastic place that it is today.
ParlaMint-GB_2015-01-27-commons.u180	I have certainly always tried to be objective and measured in how I view the actions of the previous Government on these matters. In relation to OTRs generally, there certainly are some differences between the parties, not least of which is the opposition of the Conservatives and the Liberal Democrats to the Northern Ireland (Offences) Bill. In relation to this scheme and the way in which Northern Ireland matters were handled generally by the previous Government, I do not doubt their sincerity. They were motivated, I am sure, by a wish to see the process move forward and to secure peace and stability for Northern Ireland. The key problem that was revealed by the Hallett report was that, unfortunately, the scheme was not managed in the way that it should have been, and that gave rise to risks. Errors were made, which, unfortunately, could jeopardise future prosecutions.
ParlaMint-GB_2015-01-27-commons.u181	At a time when yet another OTR is issued a covert letter to escape jail, British soldiers—funded by legal aid—are being investigated for a shoot-out with terrorists which led to the much-deserved deaths of those terrorists. Does the Secretary of State not accept that the legal system and the rule of law are being undermined by the fact that while some individuals are not being charged for their terrorist activities, British soldiers are being investigated?
ParlaMint-GB_2015-01-27-commons.u182	For some, confidence in the legal system has been shaken by the OTR scheme. But that is a reason to be very clear that it was not an amnesty; it never was. It was a scheme designed to ensure that individuals who were not wanted by the police were told that that was the case as a matter of fact at a particular point in time. It is important that the scheme is described in such a way to provide as much reassurance as possible to the people who have been understandably distressed by what has happened.
ParlaMint-GB_2015-01-27-commons.u183	The Secretary of State will recall that much of the negotiations in relation to the Stormont House agreement revolved around concerns to protect the option of the inquest process into the future. Does it not strike her as somewhat disappointing that after parties such as the SDLP and Sinn Fein argued to defend that very process, an inquest has been compromised by what has happened in relation to this discredited OTR scheme? Although we will not join the call for the publication of the names of everyone who received letters, we ask the Secretary of State to assure us that those letters and the details around them will be shared with the new bodies that will be dealing with the past, which were set up as a result of the Stormont House agreement. In that way, no one else can be surprised by events in the way that they were with this twisted and terrible case.
ParlaMint-GB_2015-01-27-commons.u184	I agree with the hon. Gentleman that inquests were a key matter that were considered at great length in the Stormont House agreement talks. Although we could not build a consensus on the way to reform inquests, we did reach a consensus on the fact that the inquest system needs to be reformed because, at the moment, it is not working effectively enough to give proper answers to families. I am working with the Justice Minister and others in the devolved Executive to do everything we can to take that reform process forward; it is vital that we do that. Disclosure was also debated at length, and I can assure the House that the Government are committed to the fullest disclosure in relation to the new bodies to be set up under the Stormont House agreement. But when it comes to onward disclosure, we will of course need to put in place national security measures, which are broadly equivalent to those that apply in respect of current institutions. In conclusion, I wish to pass on my condolences to the O’Connor family, who must have been distressed and upset by recent events.
ParlaMint-GB_2015-01-27-commons.u185	I am sure that the Secretary of State will understand why the people of Northern Ireland are cynical about her oft-repeated mantra that no one can rely on these letters, when we have already had two people relying on them, and she has indicated today that there could possibly be another 36. Will she tell the House who was responsible for the error, and what the nature of the error was? In that way, we can at least determine whether this was a deliberate action to ensure that a killer was not brought to justice or a genuine mistake.
ParlaMint-GB_2015-01-27-commons.u186	The Hallett report indicates that the error may well have originated within the PSNI, but we should not rush to judgment on that. As I have said in relation to the John Downey case, wherever the error arose, the problem was that the scheme was not designed to guard against errors or to pick up on them when they were made. The overall responsibility for the errors still rests at ministerial level. There is a consensus on both sides of the House that the Ministers in power at the time need to take responsibility for what happened, even if, at the end of the process, the error may have been made by the PSNI. It is a matter on which we should not rush to judgment. The hon. Gentleman may wish to look at page 108 of the Hallett report to assess how the error occurred
ParlaMint-GB_2015-01-27-commons.u187	I beg to move, That leave be given to bring in a Bill to make provision for the registration of voters by registration officers; and for connected purposes Mr Speaker, as you and many Members of this House may know, I have been raising the issue of voter registration since 2001. In that time, we have seen massive and far-reaching changes to the way in which we register to vote in order to empower citizens with the ability and confidence to cast their vote come election time. What I propose in this Bill will work towards increasing the number of people registered to vote, particularly those who are least likely to be registered to vote, which includes young people Since 2001, we have seen the number of non-registered voters increase. I do not wish to shy away from the arguments about why people are not registered to vote, but first let me say that, according to revised figures from the Electoral Commission last year, some 7.5 million people were missing off the electoral register in 2010. But even in the past 18 months, England, Wales and Scotland have collectively gone through the biggest change in the way people register to vote since the Great Reform Act 1832. The move to individual electoral registration has seen 5 million people fail to transfer over from the household register to the new individual electoral registers, and 1 million people have fallen off the electoral register completely I have been working with the fantastic group, Bite The Ballot, which is a neutral cross-party youth democracy group, to bring forward this Bill to tackle the under-registration of young people in England Wales and Scotland, and to make registration easier with an “opt-in” option on Government forms The first part of this Bill seeks to emulate what is now practice in Northern Ireland. Following the transition to individual voter registration in Northern Ireland in 2002, there was a marked decrease in the number of people registered to vote. In 2008, to tackle that problem, the chief electoral officer for Northern Ireland was given the power to request information from post-primary schools to pre-populate electoral registration forms for those eligible attainers The schools initiative, according to the chief electoral officer for Northern Ireland, is the most productive part of his community engagement programme. His office visits 182 schools between mid-September and early November each and every year, and has successfully registered 50% of the total eligible youth population via the scheme alone. Bite The Ballot, which has five years’ experience in inspiring attainers and young people to register, tells us that face-to-face engagement is the best way of ensuring that young people register, so I say, why not follow best practice in Northern Ireland, and follow suit in the rest of the United Kingdom? By visiting schools and colleges, and running voter engagement sessions, our youngest citizens can be inspired to begin their lifelong democratic journeys as active, engaged citizens. The Bill also seeks to open up the avenues to registration with a simple opt-in tick box on all Government forms. The measure is similar to the USA’s “Motor Voter” Act of 1993, which has enabled a massive 32% of American voters to register through interactions with the state. It would empower citizens to register to vote when filling in, for example, applications for a renewed driver’s licence, a passport and benefits, or when enrolling with a GP. The system I am advocating would only ever operate on an opt-in basis to protect the individual’s private data and identity. Having moved to a system of online registration, that type of data sharing is surely not beyond the skill of the Government Digital Service The Government have just announced £10 million to aid local authorities and national organisations in the task of registering people to vote. That is welcome, and must be spent on activities that work and are known to work. School and college visits, as Bite The Ballot proves, work. Enabling people to register when they interact with Government services, as the Americans have proved, works. My Bill seeks to make the UK’s system of voter registration as easy, engaging and accessible as possible. I believe that the two proposals I make in the Bill go some way towards achieving that In conclusion, may I pay tribute to you, Mr Speaker, for your support for the issue of registration and turnout, including your support for lighting up the Victoria tower with a big X on voter registration day next week, and your support for online voting by 2020 Question put and agreed to. Ordered, That Chris Ruane, Mr Russell Brown, Nic Dakin, Mr Clive Betts, Mr Kevan Jones, Mr George Howarth, Mr Mark Williams, Mr Elfyn Llwyd, Jim Shannon, Jessica Morden and Mark Durkan present the Bill Chris Ruane accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 6 March 2015 and to be printed (Bill 163).
ParlaMint-GB_2015-01-27-commons.u188	I beg to move, That the Bill be now read a Second time The Bill provides for the devolution of a rate-setting tax power to the Northern Ireland Assembly and would allow Northern Ireland to set its own rates of corporation tax. Just under five years ago, the Conservative party went into the general election with a commitment in our Northern Ireland manifesto to produce a Government paper examining the mechanism for changing the corporation tax rate in Northern Ireland. The pledge subsequently formed part of the coalition’s programme for government. It was part of our strategy for rebalancing the Northern Ireland economy from over-dependence on the public sector by revitalising private enterprise and attracting new investment The commitments in the Conservative manifesto and the programme for government were fulfilled a little under four years ago, when the Government launched a consultation on rebalancing the Northern Ireland economy and on the potential for devolving corporation tax powers to the Executive and the Assembly. The response to that consultation was near-unanimous support from Northern Ireland’s political leaders and the business community for the devolution of corporation tax. We have worked tirelessly since then on the technical details needed to make devolution possible My predecessor, my right hon. Friend the Member for North Shropshire (Mr Paterson), whom I welcome to the Chamber today, established a joint ministerial working group with the Treasury and Executive Ministers in late 2011 to work through the main questions of contention. In the economic pact that we signed with the Northern Ireland Executive in June 2013 on the eve of the G8 summit, we committed to further progress and a final decision in principle on devolution no later than the autumn statement of 2014. In that autumn statement my right hon. Friend the Chancellor said that “we recognise the strongly held arguments for devolving corporation tax-setting powers to Northern Ireland. The Treasury believes it can be implemented provided that the Northern Ireland Executive can show that they are able to manage the financial implications. The current talks will see whether that is the case. If it is, the Government will introduce legislation in this Parliament.”—[Official Report, 3 December 2014; Vol. 589, c. 314.] As I informed the House on 7 January, following extensive negotiations, those cross-party talks reached a successful conclusion on 23 December with the Stormont House agreement. That agreement, which also covered crucial legacy issues such as flags, parading and the past, sets a path for the Executive to put their finances on a sustainable footing for the future. That has paved the way for us to go beyond the commitments we made in our manifesto in 2010 and to introduce the Bill to devolve corporation tax rate- setting powers to Northern Ireland. Unlike the Opposition, the Government believe in lower taxes for business because we understand that businesses thrive when they are free to get on with what they do best, unencumbered by burdensome regulations and excessive taxes That is why since 2010, the Government have cut the main rate of corporation tax from the 28% we inherited from Labour to 21% today. It will fall still further to 20% in April, giving the UK the joint lowest rate of corporation tax in the G20—a competitive edge that Labour wants to deny British business, as the Shadow Chancellor is committed to reversing that reduction. The small profits rate has also been cut to 20%. Those tax cuts are a central part of the Government’s successful long-term economic plan to make the UK as a whole more competitive, supporting business investment and job creation— something that would be jeopardised by a return to the high-tax, high-spending, high- borrowing policies of the previous Government.
