ParlaMint-GB_2015-06-08-commons.u1	1. What the timetable is for the strategic defence and security review.
ParlaMint-GB_2015-06-08-commons.u250	Why are the Secretary of State and his party denying the people of England the right to have a constitutional convention, given that over the past two decades the Scots have had two referendums and the Welsh, the Northern Irish, the people of London and the north-east have had referendums? Why is he denying the rest of the people of England such a right, and fobbing them off with an idea drawn up by the Chancellor on the back of a fag packet?
ParlaMint-GB_2015-06-08-commons.u251	We have had a general election in which the issues were debated extensively across the United Kingdom. What the Government are committed to do in relation to Scotland is to deliver the Scotland Bill You have not selected the amendment, Mr Speaker, but, as the hon. Member for Perth and North Perthshire (Pete Wishart) stated, it mentioned a veto, and I want to clarify the issue of so-called vetoes. The Smith agreement is clear that matters such as the mechanism for paying universal credit across the UK and the Jobcentre Plus network will remain reserved. That was an important argument during the referendum and was endorsed by the majority of Scots. In order to deliver, we need a system that allows the Scottish Government to take responsibility for benefits, including by being able to top them up, but allows the reserved universal credit payments mechanism to carry on working effectively. That is what the Bill does It is wrong to call that a veto—as I said earlier, a veto means that someone can prevent something from happening if they do not like it. The Bill does not give the UK Government that power. In fact, it explicitly says that consent for a change cannot be unreasonably withheld.
ParlaMint-GB_2015-06-08-commons.u252	But that does mean that it can in fact be withheld, because a Minister here in Westminster will have to give agreement to when a change will take effect. That Minister is not obliged to give any agreement, so consent could be withheld and it is effectively a veto.
ParlaMint-GB_2015-06-08-commons.u253	I do not agree with the hon. Gentleman’s analysis at all. The provision is not even about agreement to a decision. It is a timing arrangement as part of the systems that need to operate. It will work the other way, too; the UK Government will need to consult the Scottish Government when they want to make changes to devolved universal credit flexibilities that will have an impact on Scotland. Other clauses, such as those on transport and elections, also require the UK Government to consult Scottish Ministers before acting.
ParlaMint-GB_2015-06-08-commons.u254	It is helpful that the Secretary of State has said on the record in this Chamber what the intentions are in relation to the clauses in question. What will happen in the event of a dispute about the outcome of such a consultation process? Where will disputes be decided?
ParlaMint-GB_2015-06-08-commons.u255	There are existing dispute reconciliation mechanisms in the Joint Ministerial Committee. There have inevitably been a number of disputes between the Government of the United Kingdom and the devolved Administrations, and most of them have been able to be resolved through that process To respond to the hon. Member for Dundee East (Stewart Hosie), I will turn to the provisions of the Bill. It is a wide-ranging Bill that will bring about a transfer of responsibility to Holyrood that will touch just about every aspect of Scottish life, affect every pay packet in Scotland and have the potential to deliver real and tangible benefits to the people of Scotland I turn first to the provisions on taxation. Central to the Bill is the devolution of income tax. Although the definition of income tax will remain reserved, the Scottish Parliament will have full control over rates and bands. That builds on the tax devolution set out in the Scotland Act 2012, which provided for significant powers over income tax that will come into effect next April One notable change to the Bill, compared with the draft clauses published in January, is the confirmation that the Scottish Parliament will be able to set a zero rate of income tax on earnings if it so chooses. That effectively gives it the opportunity to reduce the individual’s tax burden significantly if it can afford to do so and makes appropriate spending cuts or tax rises elsewhere. Of course, the reverse is true—if the Scottish Government want to spend more, they will be able to do so by taxing more, and they will be accountable to the Scottish taxpayer for it Alongside the devolution of income tax sits the assignment of half of Scotland’s VAT revenues. Members will recall that it is against EU law to have differential VAT rates within a member state, so the devolution of VAT would not be legal.
ParlaMint-GB_2015-06-08-commons.u256	Will the Secretary of State give way?
ParlaMint-GB_2015-06-08-commons.u257	No, I have already taken an intervention from the hon. Gentleman Instead of the devolution of VAT, the Smith commission recommended that half the VAT revenues raised in Scotland should be assigned to the Scottish Parliament, thereby further linking Holyrood’s funding to the performance of the Scottish economy. The more the Scottish economy grows, the greater the revenue from VAT that Holyrood will be able to keep. That is an incentive to achieve growth.
ParlaMint-GB_2015-06-08-commons.u258	Will my right hon. Friend give way?
ParlaMint-GB_2015-06-08-commons.u259	No; let me make a little progress The devolution of income tax on earnings and the assignment of VAT revenues, when taken together with the devolution of air passenger duty and the powers under the 2012 Act, mean that the Scottish Parliament will have important decisions to make. The Scottish Parliament is now responsible for raising about only 10% of what it spends, but under the Bill Holyrood will be responsible for raising more than 50% of what it spends. It will truly be one of the most powerful devolved legislatures in the world.
ParlaMint-GB_2015-06-08-commons.u260	May I take the Secretary of State back to the comments made by my hon. Friend the Member for Blaydon (Mr Anderson) and the hon. Member for North Antrim (Ian Paisley) on the impact of changes on the rest of the United Kingdom? Air passenger duty is a case in point. Regional airports in the north of England will undoubtedly feel the impact of any changes to air passenger duty in Scotland. Is that not yet another reason why, as we proceed with devolution arrangements, we need to have a proper constitutional convention so that all measures can be considered across the whole of the United Kingdom?
ParlaMint-GB_2015-06-08-commons.u261	I have made my views on a constitutional convention known. Other hon. Members have raised the issue of air passenger duty. The Treasury has established a group to look at the impact any changes to air passenger duty in Scotland could have on airports in England On welfare policy, there will also be a highly significant transfer of responsibility. While the social security reservation remains in place, part 3 of the Bill means that the Scottish Government will be responsible for welfare, which last year accounted for around £2.5 billion of spending in Scotland. The Scottish Parliament will be able to make provision for a number of types of social security benefit, discretionary payments and employment support. The Bill also contains provision to transfer executive competence to Scottish Ministers to allow them to vary certain aspects of universal credit. It will give the Scottish Parliament more responsibility for benefits paid to carers, disabled people, those who are ill, those who require help with winter fuel costs, funeral payments and maternity payments. As a result of the Bill, when people most require help the Scottish Government will be able to tailor that help to particularly Scottish circumstances.
ParlaMint-GB_2015-06-08-commons.u262	The new powers are clear. Is it not time we heard what the SNP will do with the new powers?
ParlaMint-GB_2015-06-08-commons.u263	I absolutely agree with my hon. Friend. As ever, I have been working very closely with the Scottish Government. I am looking forward to speaking tomorrow with Alex Neil, the Cabinet Secretary responsible for welfare matters, and to taking forward the work of the joint ministerial welfare group. I have made it clear, in relation to that group, that we want to put in place transition arrangements to allow the powers to be transferred as quickly as possible. However, we need to know what we are transitioning to and so need clarity on the Scottish Government’s position in relation to the operation of those powers.
ParlaMint-GB_2015-06-08-commons.u264	On a point of order, Mr Speaker. There is a rumour sweeping the Benches that Conservative Members have been provided with a prompt sheet on questions to ask the Minister. If such a disgraceful thing had happened, would that be within the rules of the House?
ParlaMint-GB_2015-06-08-commons.u265	rose—
ParlaMint-GB_2015-06-08-commons.u266	Order. I will deal with the right hon. Gentleman first. I always enjoy the theatrical performances of the right hon. Gentleman, the last of which was marred only by the sudden emergence of a puckish grin on his face as he was making his point. The answer is that there would be nothing disorderly about that. As the right hon. Gentleman knows, there are very few novelties in this place. There is usually a precedent for everything.
ParlaMint-GB_2015-06-08-commons.u267	Further to that point of order, Mr Speaker.
ParlaMint-GB_2015-06-08-commons.u268	I am not sure that a further point of order is required, but let us hear whether the knight has something new to say.
ParlaMint-GB_2015-06-08-commons.u269	For some reason, my Whips Office has not given me a prompt sheet. [Laughter.]
ParlaMint-GB_2015-06-08-commons.u270	I think the hon. Gentleman knows the answer to that: they gave up on him some time ago.
ParlaMint-GB_2015-06-08-commons.u271	On a point of order, Mr Speaker. You are incredibly indulgent There have been reports that some Members have been required to sign a piece of paper undertaking not to disagree with those on their Front Bench as a condition of being Members of this House. Would that be in order?
ParlaMint-GB_2015-06-08-commons.u272	I gather it has been denied. I must say, I would not have lasted long in the House had I been required to sign any such paper. I am innocent of such matters. It is the first I have heard of it and I doubt it will last.
ParlaMint-GB_2015-06-08-commons.u273	Thank you, Mr Speaker The Smith agreement does not stop at powers over tax and welfare. The Scottish Parliament will receive a transfer of legislative competence in a range of significant policy areas. I cannot list each power in detail now—as I have said, the House will have ample opportunity to scrutinise them in Committee—but I will provide some examples. The Bill will enable the devolution of the management of the Crown Estate’s economic assets in Scotland to the Scottish Parliament and of the management and operation of reserved tribunals to designated Scottish tribunals. The Scottish Parliament will also have additional responsibility over roads, speed limits, road signs and the policing of railways in Scotland, as well as powers over onshore oil and gas extraction—
ParlaMint-GB_2015-06-08-commons.u274	rose—
ParlaMint-GB_2015-06-08-commons.u275	I have already taken a small speech from the hon. Gentleman The Bill provides the Scottish Parliament with powers over gaming in new premises and for additional duties on the UK Government to consult Scottish Ministers on functions carried out by a range of important public bodies. It will also enable public sector bodies to bid for rail franchises in Scotland; provide for the ability to state how schemes related to fuel poverty and energy efficiency are run; and increase the ability of the Scottish Parliament to require certain bodies to give evidence before it. In addition, part 1 will take forward in full the Smith agreement that the permanence of the Scottish Parliament be recognised in UK legislation and that the so-called Sewel convention be put on a statutory footing.
ParlaMint-GB_2015-06-08-commons.u276	Under the Bill, this Parliament will retain an incredibly broad power to legislate on devolved matters, even without the Scottish Parliament’s permission. Why is that, and will the Secretary of State provide examples of when he thinks such action would be appropriate?
ParlaMint-GB_2015-06-08-commons.u277	The hon. Gentleman will be aware that since the coming into existence of the Scottish Parliament, the UK Parliament has legislated in devolved areas only with the agreement of the Scottish Parliament, under the Sewel convention, and that the Bill will put that convention on a statutory footing.
ParlaMint-GB_2015-06-08-commons.u278	On income tax, what will happen if someone is resident in Scotland but works over the border for an English company? If the income tax rates are different, will that not add to the compliance costs for that business? Who will compensate that small business in England for the additional compliance costs of the income tax variation?
ParlaMint-GB_2015-06-08-commons.u279	That point was debated in full during the passage of the Scotland Act 2012, which introduced the Scottish income tax rate. In simple terms, for the hon. Gentleman’s purposes, it will be done by way of a tax code generally containing the letter S, allowing businesses to operate the PAYE system as they would normally do and without additional expense. There is a designation of “Scottish taxpayer” that is dependent on residence—and, as a point of fact for new colleagues, all Scottish MPs are resident in Scotland for Scottish tax purposes Finally, the Scottish Parliament will find itself largely responsible for how it runs itself, how it is elected and the people who can vote to elect it. I am pleased to confirm that we have already agreed to a request from the Presiding Officer to take action to ensure that the 2020 UK general election date and the Holyrood election date do not clash It is clear that a significant range of powers will be devolved to the Scottish Parliament and that the onus is now on the Scottish Government to be clear with the electorate about how they will use them.
ParlaMint-GB_2015-06-08-commons.u280	My constituents in England will no doubt be listening to what powers are being devolved, but they are also waiting to hear what is happening to the block grant and the Barnett formula, for example. They will be interested to hear how the money is flowing. Will the Secretary of State say something about that?
ParlaMint-GB_2015-06-08-commons.u281	The hon. Gentleman’s timing is impeccable, because I was just coming on to the so-called fiscal framework that underpins the transfer of tax and welfare powers to Holyrood. Alongside the Barnett formula, the framework will deliver a fair and lasting financial settlement for Scotland and the rest of the UK. The framework will provide the Scottish Government with the means by which they can determine a mix of taxation and spending specific to Scotland, but which fits with the UK Government’s overall fiscal plan This means that Scotland will continue to benefit from the pooling of risks and resources across the whole of the UK, but the Scottish Government will soon be responsible for raising substantial amounts of its revenue through taxation. As a result, it will be more accountable to the Scottish Parliament and to the Scottish people. The Scottish Government will in future be responsible for more than 50% of their funding. Changes in the Scottish Government’s funding will therefore be increasingly determined by changes to Scottish taxation The detail of the Scottish fiscal framework will be agreed between the UK Government and the Scottish Government on the basis set out in the Smith agreement. Discussions on the framework have already begun with the aim of reaching an agreement alongside the passing of the Scotland Bill. My right hon. Friend the Chancellor of the Exchequer has met the Scottish Government Deputy First Minister, John Swinney, today. This timetable demonstrates the Government’s determination to make quick progress on the fiscal framework.
ParlaMint-GB_2015-06-08-commons.u282	Will the Secretary of State clarify whether the final say on social security levels will rest with the Scottish Parliament?
ParlaMint-GB_2015-06-08-commons.u283	The Scottish Parliament will have the capacity to top up welfare benefits. It could be said that it would have the final say on the level of benefit. UK benefits will obviously be determined in this House, but the Scottish Parliament will have the opportunity to top them up, as is clearly set out in the Bill.
ParlaMint-GB_2015-06-08-commons.u284	Does not the notion of “topping up” benefits suggest that in and of themselves they are deficient?
ParlaMint-GB_2015-06-08-commons.u285	What I think it suggests is the requirement for responsibility. If the Scottish Government believe that benefits are not at the level they should be, they will be able to ask the Scottish taxpayer for the funds to increase them. That is what I would regard as responsibility within a Parliament.
ParlaMint-GB_2015-06-08-commons.u286	A few minutes ago, my right hon. Friend described the fiscal framework of the Barnett formula as long-lasting and fair. Surely that would be the case only if the Barnett formula were based on need rather than on a historic anomaly. It is a formula that results in my constituents getting £1,600 less per person per year than they would get if it were based on need, which one would think a progressive party would wish to be the case.
ParlaMint-GB_2015-06-08-commons.u287	My hon. Friend is a long-standing critic of the Barnett formula, and I acknowledge the point he makes. The Prime Minister, the then Leader of the Opposition and the leader of the Liberal Democrats made it absolutely clear that their parties had no intention of changing the Barnett formula. That certainly remains the position on the Government side.
ParlaMint-GB_2015-06-08-commons.u288	The Secretary of State has acknowledged the point, but can he justify why English constituents will get £1,600 less?
ParlaMint-GB_2015-06-08-commons.u289	I did not know that that was the policy of the Labour party. I had understood that it supported the Barnett formula, and I can reiterate the continuing support of Government Members for it One issue closely linked to the fiscal framework is the much talked-about issue of full fiscal autonomy. This issue was raised a number of times today and during the general election campaign, and some SNP Members have talked tirelessly about it. My party and the Government have made it clear that we will strongly oppose full fiscal autonomy for Scotland. As the analysis by the independent and respected Institute for Fiscal Studies told us, full fiscal autonomy would leave Scotland with a £7.6 billion black hole in its finances this year and almost £10 billion by the final year of this Parliament. This Government will never support a policy that leaves one part of the UK in such a perilous financial situation: we are members of a social union, too. However, given that the SNP set such store by the issue in its election campaign, I look forward to SNP Members bringing forward amendments on full fiscal autonomy in Committee. That is to be welcomed, because apart from anything else, such amendments would mean the people of Scotland might actually get to see what the definition of full fiscal autonomy is.
ParlaMint-GB_2015-06-08-commons.u290	Is not the lesson of the euro that fiscal autonomy needs to go with monetary autonomy, and that if Scotland has fiscal autonomy it must also have its own currency?
ParlaMint-GB_2015-06-08-commons.u291	That is a very good point and I think my hon. Friend and the right hon. Member for Gordon (Alex Salmond) will be able to spend hours debating it.
ParlaMint-GB_2015-06-08-commons.u292	The Secretary of State is being remarkably generous in giving way—very much like the SNP is with other people’s money. The Secretary of State said it would lie within the power of the Scottish Government to top up—I think that was his expression—welfare benefits. We know how they like being generous with other people’s money, but if they overspent at the end of one year—because of course benefits are demand-led—who will pick up the bill, the British taxpayer or the English taxpayer?
ParlaMint-GB_2015-06-08-commons.u293	In relation to matters for which the Scottish Parliament is responsible, it will be the Scottish taxpayer who has to pay. So if the Scottish Parliament and Government want additional spending, the Scottish taxpayer will have to pay I wish to conclude my remarks, but I have sought to take as many interventions as possible because part of the Bill is about accountability. The Bill represents the fulfilment of a promise to the people of Scotland that a no vote in the referendum was not a vote for no change. It delivers on the all-party Smith commission agreement, as the Law Society of Scotland and many others have already made clear. The Government and the Smith Commission engaged extensively on the agreement, and on the draft clauses since January, and the Bill before us today is all the stronger for that extensive engagement. It will benefit further from four days of full line-by-line scrutiny in this Chamber. The challenge will then be for the Scottish Government to finally set out what they will do with the new powers they will receive. Now is the time for the Scottish Government to stop acting and start doing. I commend the Bill to the House.
ParlaMint-GB_2015-06-08-commons.u294	May I start by offering my congratulations to you, Mr Speaker? This is the first time I have been at the Dispatch Box since you were elected as Speaker. It is a tremendous pleasure to see you back in the Chair, especially after the events on the last day of the last Parliament I also congratulate the right hon. Gentleman the new Secretary of State, and not on his Castroesque speech—he spoke for nearly an hour—but because he has always been helpful, courteous and kind. I hope we will continue in that spirit now he is Secretary of State. The House may not know this, but we share something in common. We both share the distinction of being the most difficult choices that our party leaders had when choosing someone for our respective roles. I hear the Prime Minister mulled over the list of potential candidates for Secretary of State for hours before deciding on the right hon. Gentleman, but I am sure he will be a wise choice It would be remiss of me not to extend my congratulations to the Scottish National party Members on their unprecedented result in Scotland. There is a heavy weight on their shoulders—by the looks of it, on the end of their third Bench as well—to deliver the considerable promises that they made to the Scottish people during the election campaign. I say this sincerely to them: the political enemy in this place is on the Government Benches, and I hope that they will remember that in the coming years. Where we agree, I will endeavour to work with them and I hope that they will reciprocate; where we do not, and where scrutiny and principled opposition are required to hold the SNP Government to account in Holyrood, I will be a strong voice in such scrutiny. [Interruption.] The hon. Member for Perth and North Perthshire (Pete Wishart), who is chuntering from a sedentary position, does not seem to be starting off on the right footing I want to pay tribute to my many colleagues and friends who lost their seats in Scotland at the general election. They should all be thanked for their unstinting commitment to serving their constituents; they will be a big loss to this place and I wish them all well. No one epitomised that dedication to public service more than my predecessor as the Opposition’s spokesman, Margaret Curran. She worked day and night in this place and beyond to stand up for the interests of Scotland and her constituents. We all owe her a debt of gratitude for that strong voice and for the position we are in today with the Bill Today marks a momentous point in Scotland’s devolution journey. Whatever the outcome of the general election, the Bill would have been in the first Queen’s Speech, regardless of who was sitting on the Treasury Bench. In 1997 one of the first acts of the new Labour Government was to present a Bill to the House to deliver the referendum that gave us the Scottish Parliament. That was a promise made then and kept then; we should bear that in mind when debating the Bill today. The Labour party is and always will be the party of devolution. “There will be a Scottish Parliament”—the words of the father of Scotland, Donald Dewar. When he uttered those words, however, it signified a journey in devolution. That journey has seen Scotland recently travel through an extraordinary democratic process. The referendum was a once in a generation—once in a lifetime, depending on who is speaking—experience, marking a defining choice about Scotland’s membership of the United Kingdom. It was a no vote, but it was not a vote for no change. We can draw a constitutional lesson from that: Scotland wants to be in the United Kingdom, but it wants to be unique and able to make its own political choices Labour argued passionately for Scotland to remain in the UK and we won the argument. Perhaps we sacrificed our own party’s interests in doing so, but it was certainly the right thing to do. It is important to understand what the agreement was, why Scots chose to stay in the UK and why it is so important for the Bill to deliver for Scotland. It is therefore worth putting the Bill in its constitutional context Over the past year we have had a debate about Scotland’s place in the world and how, in an uncertain international environment, Scotland’s interests are best served as part of a larger country and stable Union; a debate about Scotland’s economic interests, with more opportunities for jobs, for businesses and for investment as part of the wider UK; a debate about sharing economic and financial crisis risks, whether in the rebuilding of the Scottish-domiciled banks or the shared risks from the ups and downs in the oil price; a debate about shared tax and spending resources, about how Scotland can take greater control over tax and spending while maintaining the UK-wide pooling and sharing of resources that guarantees pensions and benefits, and safeguards Scotland’s public services; and, most importantly from a Labour point of view, a debate about social solidarity, about sharing across the territory of the United Kingdom so that together the nations of the UK can work together for the benefit of everyone who lives here In the end, this is about our sense of belonging: we are not simply Scots on our own, but part of a wider family of nations in the United Kingdom. The lesson of the referendum campaign is that those links remain powerful and valued by most Scots. However, it is clear that securing Scotland’s place in the UK is simply not enough. That is why the Bill really matters, because it guarantees not only economic benefits and UK social solidarity, but the scope under devolution to do more, to make different choices and to set a different course for Scotland, distinct from a UK agenda that might not always be—today certainly is not—in accordance with the public opinion of Scotland The Bill will make the Scottish Parliament one of the most powerful devolved Parliaments in the world—not my research, but that of the Scottish Parliament itself—with responsibility for more than 40% of tax revenues and more than 60% of public spending. Critically, the Bill provides more accountability. Lord Smith said that the agreement had the potential to increase financial discipline, promote greater budget transparency and enhance the debate on fiscal policy in Scotland. That is important, because the Scottish Parliament already has devolved responsibility for many of the areas that are critical to the day-to-day life of Scots: health, education, housing, justice, transport, economic development, local authority and business rates, 10p of income tax and all immovable taxes, borrowing powers and much more besides. The problems in Scotland with accident and emergency waiting times, lower educational attainment and a crisis in housing show that the more important debate in this House is about how powers are utilised, rather than where they lie. After this Bill is passed, the Scottish Government, as the most powerful devolved Government on earth, will have immense power to change our society for the better—to create a fairer Scotland and a fairer country—but the Bill will also ensure that Scotland continues to benefit from the pooling and sharing of resources across the United Kingdom What is required now is the imagination and political will to deliver on that potential. That political will has always been a Labour priority, as demonstrated through the Calman and Smith commissions, to deliver progressive change for Scotland. The question becomes: will it be the SNP’s priority to start using new powers as a responsible Government or will it continue with a politics of grievance and blame? It appears to me from today’s exchanges that the SNP is desperate to be disappointed before the Bill has even started its passage through this House Labour has always been committed to ensuring that the infamous vow, negotiated by the cross-party Smith commission, was delivered in full. May I take this opportunity to thank Lord Smith of Kelvin and the 10 commissioners for their sterling work in getting us to where we are today? The Bill meets the commitment on the timetable and Labour will ensure, through the Bill’s passage in this House, that the legislation promises are also met in full, both in substance and in spirit. The original purpose of devolution was to keep the social solidarity that comes from being part of something bigger while recognising the uniqueness of Scotland’s role in the UK.
ParlaMint-GB_2015-06-08-commons.u295	Does the shadow Secretary of State agree that one secret of devolution, and of this kingdom, has been parity for all of our peoples across all of the nations that share this kingdom and that the break-up of parity in social welfare payments alone has had the most destabilising impact in Northern Ireland? Indeed, more interest is given to the levels of disability living allowance than to the levels of IRA activity in Northern Ireland. Will the change to welfare payments affecting Scottish people also have a destabilising impact, not only on Scotland’s place in the Union, but on our place together as a people?
ParlaMint-GB_2015-06-08-commons.u296	I am grateful for the intervention, because the hon. Gentleman is describing devolution—that is how it works. It is up to individual Parliaments to make the choices, within the powers they have, on how they want to serve. Under a democratic system, the people will decide at the ballot box whether or not those decisions are ones they wish to vote for. Unfortunately, when there is devolution there will be disparities across the nations of the United Kingdom, but the important point is that the United Kingdom stays together.
ParlaMint-GB_2015-06-08-commons.u297	I do not want to fall out with my hon. Friend, but it feels like the people of England will not get the choice to take any position in a democratic vote, because we are being told, “If you want devolution, you have to sign up to a regional mayor, whether you like it or not.” Without any debate, we are told, “If you don’t do that, you can’t get any money.” That is not devolution. He has talked often about social solidarity, but where is the social solidarity for us in England when this is being done without our chance to have a real debate in this country?
ParlaMint-GB_2015-06-08-commons.u298	I am grateful for that intervention. The Scottish referendum debate demonstrated that when there is a proper constitutional debate, under a framework for proper constitutional debate, the results are there for all to see. The overall position of the constitutional convention that we were proposing in our manifesto would have been the way to take some of these issues forward. Colleagues across England would be significantly upset to see that the devolution structure across the UK is progressing quickly while they are being hamstrung with what is being offered to them. The Government really do need to get a grip of this whole constitutional settlement across the UK, so that England does not seem as though it is losing out.
ParlaMint-GB_2015-06-08-commons.u299	On that point, does my hon. Friend think it bizarre that this Government are giving Scotland the right to increase and decrease its income tax, while legislating so that England and Wales cannot increase income tax? Is that not a bit strange?
ParlaMint-GB_2015-06-08-commons.u300	I am grateful for my hon. Friend’s intervention, because one key question for the Treasury Minister wrapping up today’s debate will be: if the Government legislate for not increasing VAT, national insurance or income tax, what are they going to increase to cover the £23 billion of promises they made during the general election? I suppose the direct answer to my hon. Friend’s question is to say that that is the way devolution works and it is up to the different legislators to decide what they wish to do. This Bill allows Scotland a settlement where the responsibility and the accountability goes straight to the heart of politics in Scotland I was saying that as this Bill makes its passage through the House, Labour will ensure that legislation promises are fully met both in substance and in spirit. The original purpose of devolution was to keep the social solidarity that comes from being part of something bigger while recognising the uniqueness of Scotland’s role in the United Kingdom. But we in the Labour party want to go further. We have been calling for more powers for some time and included most of them in our manifesto, so this is not a knee-jerk response to the general election result as some would say, but a continuation of the devolution commitment.
ParlaMint-GB_2015-06-08-commons.u301	I have been listening carefully to the hon. Gentleman, and he is not saying anything that was not said by Labour during the general election campaign. In many other areas, the Labour party is undergoing fundamental reassessment of policy. Having lost 40 out of 41 seats in Scotland, is there any new policy with which the hon. Gentleman wants to enlighten this House and Scotland?
ParlaMint-GB_2015-06-08-commons.u302	If the right hon. Gentleman wishes me to make some progress, I will come on to those very issues. Let me remind him that the devolution settlement was agreed to by all five parties on the Smith commission. The Bill that is in front of us is to ensure that the Smith agreement is put forward in full, and we want to ensure that it is put forward in full both in spirit and in substance, as I have said twice already. [Interruption.] I hear someone chuntering, “It doesn’t” from a sedentary position. Well, we are going through this parliamentary process and will seek to amend the Bill precisely because we want to ensure that it does fulfil everything in the Smith agreement, but we also want to go further We will seek to amend the Bill to go beyond the Smith agreement without compromising on the pooling and sharing of resources across the UK that guarantees the Barnett formula and the UK pension system for Scots. On welfare, we will ensure that the final say on benefit levels remains in Scotland by giving the Scottish Parliament a wider power to top up all reserve benefits. We will ensure that the Scottish Parliament can introduce new benefits in devolved areas funded from Scotland to meet Scottish circumstances; bring employment and welfare policy together with a positive vision for tackling the low skills, numeracy and literacy problems that hold back adults trapped in long-term unemployment; fully devolve housing benefit; and ensure double devolution by devolving job creation powers to local communities, providing real opportunities, as my private Member’s Bill demonstrated at the tail end of the previous Parliament.
ParlaMint-GB_2015-06-08-commons.u303	My hon. Friend is making a very good speech. Will the ability to top up social security payments enable the Scottish Parliament to get rid of welfare vouchers that were introduced earlier this year?
ParlaMint-GB_2015-06-08-commons.u304	That goes to the heart of some of the discussions that we will have in this Chamber during the five days we will spend considering this Bill, as some of the choices that the Scottish Parliament have made fly in the face of its rhetoric both of being anti-austerity and of looking after the most vulnerable. With the £444 million underspend in the Scottish Parliament budget last year, many of the questions just raised by my hon. Friend will be asked by ordinary Scots up and down the country.
ParlaMint-GB_2015-06-08-commons.u305	I am delighted to see that at least my hon. Friend is in his place. Sadly, all too many of our colleagues are not. On the devolution Bill and these proposals, is there not a danger that if things go really well, the SNP will take all the credit, but if things go badly, Westminster will get the blame?
ParlaMint-GB_2015-06-08-commons.u306	My hon. Friend raises the fundamental principle of nationalist politics. I remember the former First Minister, the right hon. Member for Gordon (Alex Salmond), taking great credit when unemployment fell in Scotland, and then blaming everyone else when unemployment rose, and that was a regular trend throughout the time of his premiership in Scotland. [Interruption.] I can hear him chunter “Shameful” from the Back Benches. People just have to look at the record and determine the facts for themselves.
ParlaMint-GB_2015-06-08-commons.u307	I would go further than my right hon. Friend the Member for Gordon (Alex Salmond). The result for Labour a few weeks ago was catastrophic, and we have heard nothing thus far from the hon. Gentleman’s contribution that suggests that he is addressing those problems. What will he do? Will we hear a new story from Labour? Will it work with us on a progressive agenda across Scotland so that we can take on the Tories, address austerity and deal with the menace of Trident?
ParlaMint-GB_2015-06-08-commons.u308	Well, if my mathematics is correct, I have been on my feet for 15 minutes, and it is quite obvious that the hon. Gentleman has not listened to the first eight pages of my speech. It was about social solidarity and some of the changes that we want to see in this Bill. Let me put it on the record that I have just seen a tweet from him claiming that Labour will not vote on the SNP amendment tonight. Well, I understand that the amendment has not been chosen, so perhaps he would like to correct the record on his Twitter feed rather than yet again spreading mistruths in this House for political gain. This is a serious Bill that is trying to develop the constitutional settlement for Scotland.
ParlaMint-GB_2015-06-08-commons.u309	The point made by my hon. Friend the Member for Stoke-on-Trent South (Robert Flello) was that if things go right in Scotland, the SNP will claim credit, but if things go wrong it will always be Westminster’s fault—[Interruption.] If this Bill is not good enough in terms of what the Scots Nats want, why are they not going down the route proposed in their “Stronger for Scotland” document, which was a move to full fiscal responsibility?
ParlaMint-GB_2015-06-08-commons.u310	When my hon. Friend made his point about the SNP claiming credit when things go well and blaming others when things go badly, the right hon. Member for Gordon shouted, “Sounds like a good narrative.” We are talking about people’s lives, and if we rule our country simply on a narrative we are in trouble My hon. Friend the Member for North Durham (Mr Jones) is absolutely correct, because it was in the SNP manifesto that they would deliver full fiscal autonomy for Scotland. In fact, the First Minister said that all the MPs elected to Westminster under the SNP banner would vote for it this year. It seems to me that there is back-pedalling on that at the first opportunity. Perhaps we will get some enlightenment on their current position on full fiscal autonomy when the hon. Member for Moray (Angus Robertson) speaks, but it certainly was not mentioned in the amendment.
ParlaMint-GB_2015-06-08-commons.u311	Is my hon. Friend not concerned and confused by the fact that the incoherent amendment tabled by the Scots Nats contains no mention whatsoever of what has just been suggested?
ParlaMint-GB_2015-06-08-commons.u312	Nothing in the amendment addresses the question of full fiscal autonomy, but perhaps during our consideration of the Bill we will find out whether that is a goal that the SNP wants to promote—[Interruption.] I hear chuntering again from the right hon. Member for Gordon from just behind my left shoulder. The level of public respect for politicians is pretty low and we are only a few weeks away from everyone having voted in the general election. When the party that won 56 out of the 59 seats in Scotland—as it consistently trumpets—dumps its manifesto just a few weeks afterwards, there is little wonder that there is so little respect for politicians in this country.
ParlaMint-GB_2015-06-08-commons.u313	The SNP remains committed to a situation in which the Scottish Government will have full financial control over their own affairs and be able to raise their own revenues. We want that to be done in a responsible way that does not disadvantage the people of Scotland. During the election campaign, we were treated by your party to a grotesque caricature of our proposals. I point out to you and ask you to reflect on the results of that election campaign, when people rejected what you said. You said that if they voted SNP they would bring on themselves some sort of economic Armageddon. The people did vote SNP and rejected your view.
ParlaMint-GB_2015-06-08-commons.u314	Order. I do not have a party and I did not say any of the things that have just been attributed to me, but I know that the hon. Gentleman will become a seasoned practitioner before very long.
