ParlaMint-GB_2015-10-14-commons.u1	1. What estimate she has made of the number of people killed by the IRA.
ParlaMint-GB_2015-10-14-commons.u272	That emphasises my point. As much as the Bill may offer a form of devolution, the truth is that whenever financial decisions are made by the Treasury, true devolution will not be achieved. That is what should be in the Bill, and that is why the point I am making is so important My third reason for why the Bill is not satisfactory refers to something that is happening at No.11. It was announced at conference that business rates are to change, which must be a good thing, but, as always, the devil is in the detail. No clear announcement was made about how the redistribution between richer and poorer councils would take place. Some £26 billion is collected in business rates, £2 billion of which goes to Westminster council. We need more information in the Bill about how such a scheme will work. Let me say to Members, many of whom represent suburban areas in London, seaside towns, rural communities, shire districts, market towns and all the wonderful places that make up England, that they should be seeking answers to these questions. The Bill is silent on all these matters Fourthly, the Bill threatens to do a great disservice to the very backbone of England and English democracy. It is a puzzle to me why a Tory Secretary of State should ignore this. The market towns, the county villages, the shire counties, the county towns, the suburbs and some of the smaller freestanding cities are the backbone of England—the great cities are wonderful, but they are not the backbone—and they have been offered a second-class form of devolution. Why should that be? I was once privileged to lead the great city of Leeds, which is one of the most powerful economic and cultural engines in the north, and even in England. Indeed, the renaissance of English cities, mostly under Labour control, has been one of the great successes of the past 20 years—I have always thought that this should be added to the checklist of the enduring achievements of Labour in government—but this Bill risks neglecting all the areas that are not in those great urban centres. The potential for growth and enterprise lies elsewhere in England, which is a rich, diverse country that we all love. The Bill is almost silent on the matter. The Chancellor’s ambassadors who were running around the country did not bother to call in to the market towns and the shire towns of the country; they went to the big cities The bottom line for me is that the same powers should be on offer to both urban and rural areas of England. For example, whatever powers are available to metro mayors to raise business rates—by the way, it will not be possible to raise business rates unless an area has a metro mayor—should also be available to the smaller towns and the rest of England, too.
ParlaMint-GB_2015-10-14-commons.u273	The hon. Gentleman should be aware of the recent Cornwall deal, which deals with the very heart of the rural communities; it is not all about the big cities. The Prime Minister himself delivered that deal to the very rural area of Cornwall.
ParlaMint-GB_2015-10-14-commons.u274	As everybody in local government knows, the truth is that the Treasury deals with the big cities. The big cities are where the glamour is and where the general direction of this Bill is. Other areas have been left to the lesser actors within the Government. It may be that, in some areas, the best way to promote connectivity and economic growth and to establish devolved institutions that reflect the identities and culture of the locality is to have a combined authority. Let me take Yorkshire and Humber as an example. My own view—I am not going to impose anything because we do not believe in imposition—is that Yorkshire has the strongest identity and is the most obvious economic unit. It is a great shame that the Government’s consultation process did not allow ordinary citizens of the county to be engaged in a debate about the county’s own future As with other proposals in the Bill, the only people excluded from having a view are the electorate themselves. That brings me to the final weakness in the Government’s proposals, which is their complete failure to consult the public, businesses and the wider civic society. What happened to the big society? Leaders of councils from all parties have basically had to enter negotiations with the Treasury, and we all know that it is the Treasury and not the Secretary of State for Communities and Local Government that is conducting these negotiations. The leaders have all entered into the negotiations with a gun held to their head. They either do devolution Whitehall’s way or it will not happen at all Council leaders have had to do the best they can for their areas, but it is noticeable that they and others are beginning to become more vocal in their concerns about this whole top-down process. For example, the great newspapers of the north-west, including the Manchester Evening News, The Bolton News, the Wigan Evening Post and the Oldham Evening Chronicle, have taken an unprecedented united stance in campaigning for a fair devolution deal. They are asking not only for the necessary funds to make devolution a reality, but for no more closed-door decision making. A basic flaw of the Bill is that there is no list of the powers that central Government seek to devolve. That is because, in reality, the whole agenda is being driven by Downing Street Let me briefly return to my opening remarks about hubris. It sounds like we all believe in devolution, but Labour are determined to make it happen. We will seek to work with those of other parties and those of no party who share the same objective. The past few weeks—I have spoken to leaders about what has happened over the past few weeks—have seen the demeaning process of the Chancellor’s emissaries dashing round the country meeting leaders in private, attempting to strong arm local councillors into so-called devolution deals for which there is as yet no statutory basis. I am sorry to say this but the Secretary of State, as charming as he is, has been little more than a passive observer. He was not even in the room. I fully understand why councillors will engage in these negotiations, and indeed some progress has been made—it is right that I should acknowledge that. However, we are not convinced that the Bill incorporates all the necessary safeguards to be supported in its present form, and that it is sufficiently bold or radical in resolving the English problems.
ParlaMint-GB_2015-10-14-commons.u275	It is noteworthy that national organisations, such as the British Medical Association and the Nuffield Trust, are very concerned about the health proposals, and the Minister should take that on board. They have expressed concerns about how health powers and resources will be devolved. The matter is not clear. This is an area where there are already variations in funding, in standards of care and in the way NHS funding is used. This is a question for the Minister. What will national pledges and targets mean in future when there are shared budgets? It was forced on Greater Manchester, which is why none of it is clear.
ParlaMint-GB_2015-10-14-commons.u276	My hon. Friend makes an important point. That is why we need a comprehensive settlement to the constitutional and political problems facing our country. Clearly, there is a role for a central, active Government, but not for a bureaucratic top-down Government. Some decisions do need to be made nationally to ensure that there is no postcode lottery, especially in the health service and other areas. On the other hand, decisions should be made as close as possible by the people themselves Let me finish on the following point. Rather than remaking the shape of our democracy, the Bill is more about remaking the image of the Chancellor as he prepares to become the Tory party leader. In their present form, the deals that are being made will prove to be no more than a short-term fix. Most of them will not endure in the longer term. We will seek to amend the Bill, but would it not be preferable, even at this late stage, for the Secretary of State to agree to put aside the Bill for a period of time and join with us and others in the hard but necessary task of rebuilding our constitution and our political culture on a consensual basis from the bottom up? This Bill is a top-down imposition on local democracy.
ParlaMint-GB_2015-10-14-commons.u277	I am grateful for the opportunity to make a brief contribution so early in this important debate. Let me begin by saying how warmly I welcome the principle that lies behind the Bill. The intention of bringing real power and decision making closer to the people we represent is one that I think almost all of us in this House share. From a Greater Manchester perspective, we must also acknowledge the great prize that lies ahead if we can achieve the proper integration of health and social care, but I emphasise the importance of getting the detail right in the implementation I would also like to thank the Secretary of State for the courteous and constructive engagement he has already offered to colleagues who are interested in the Bill, which gives me considerable confidence that we will be able to move forward in a way that delivers the objectives while overcoming the concerns that some of us have. He has also indicated that the Bill will be considered in Committee of the whole House, which is clearly the right thing to do I have four broad concerns. The first—the hon. Member for Hemsworth (Jon Trickett) spoke about this at some length—relates to the imposition of the model of governance, which I think is unfortunate. We need to ensure not only that the public generally buy into the principle of devolution and feel that they own the new arrangements, but that the new arrangements bring genuine accountability to governance The hon. Member for Worsley and Eccles South (Barbara Keeley) mentioned some of the concerns about the devolution of healthcare. We already have a worrying straw in the wind in Greater Manchester, with the initial reorganisation of hospital services coming before all of this. It has been handled in a deeply regrettable fashion and raised considerable concerns. Certainly, I am deeply concerned about the apparent lack of accountability in the process. Given that some of these issues are already arising, it is timely that we are now looking at them as we legislate and trying to ensure that accountability is in place.
ParlaMint-GB_2015-10-14-commons.u278	It is good that a consensus is being built across Greater Manchester. The hon. Gentleman is right to raise that issue, and I know that Wythenshawe hospital is very concerned about being left out of the equation in that regard, so how these decisions will be made and consulted on in future is very worrying. But there are other concerns as well. Salford was a leader in the integration of health and social care, and my fear is that that will now be set back by having to work across Greater Manchester.
ParlaMint-GB_2015-10-14-commons.u279	I agree with the hon. Lady. It would be regrettable if, in seeking to devolve power, we ended up taking some decisions further away from people and making it harder for their voices to be heard My second concern is about the distribution of powers. I hear my right hon. Friend the Secretary of State’s assurance that this can only be about bringing powers from central Government, but I do not think that is really clear in the Bill, so I would welcome much more clarity as we proceed in Committee. Clauses 8 and 9 make provision for the exercise of statutory functions in relation to an area to be transferred to a combined authority. Clause 5 makes it possible by order for any function of a mayoral combined authority to be a function exercisable only by the mayor. Therefore, I do not think that it is as clear in the Bill that power can move only in one direction as many of us would want to see. We might return to that at a later stage My third concern, which was raised with me by my local authority, relates to the possibility that this deal amounts to a one-way commitment. It relates to those local authorities that have made a commitment to the combined authority. The Greater Manchester agreement will place obligations on the local authorities, and certain expectations are being placed on the Government, but there is no mechanism by which the local authorities can hold this Government, or indeed any future Government, to account to ensure that they meet their obligations as part of the deal. I invite my right hon. Friend the Secretary of State to consider whether we might find a way to tighten the provisions and make it clearer that the Government’s obligations will be observed My fourth and final concern—in a way, this could provide a solution to all the other concerns—is about what happens if the arrangements do not work. What happens if a local authority reaches the point at which it regards the agreement as a mistake and thinks that the powers have been vested in the wrong place? It is the question of final resort. What are the terms under which a local authority could choose to walk away from a deal? What happens if it says, “This clearly isn’t what we bought into”— possibly a microcosm of a bigger debate that we might have by the end of 2017? It is about a local authority being able to leave a combined authority without penalty A deal that transfers spending from central Government to the local level is very welcome, but the mechanism set out in the Bill for allowing local authorities to leave a combined authority is very messy. Rather than the local authority simply deciding to opt out, the combined authority must decide to dissolve itself and then reform with the other authorities that wish to remain. The mechanism makes no provision for ensuring that a local authority can leave on fair terms and without penalty.
ParlaMint-GB_2015-10-14-commons.u280	The hon. Gentleman makes an important point about how one might unpick the constitutional arrangements of a combined authority. One example is the pooling and sharing of business rates. For instance, if Trafford decided to leave the combined authority, it would be very difficult to unpick that. Another example is the health devolution arrangements.
ParlaMint-GB_2015-10-14-commons.u281	I am grateful to the hon. Gentleman. These matters will need to be made clearer during the passage of the Bill In conclusion, as I said at the beginning of my remarks, I think that the principle behind the Bill—the Government’s evident desire to transfer spending and decision making closer to the people—has very wide support, and I think that few Members of the House would differ from it. I will certainly vote enthusiastically for that principle today, although I anticipate having interesting debates and discussions in Committee. I am grateful to the Secretary of State for the assistance and engagement that he has already offered in that regard.
ParlaMint-GB_2015-10-14-commons.u282	I do not intend to spend a great deal of time speaking on the Bill, as clearly it affects only England and Wales, not Scotland. However, I would like to offer a few observations and questions that I hope will be of value First, I ask the House to consider the journey that Scotland has been on. The people of Scotland have been seeking devolution in some form or other for many decades. The experiences of the no vote in the 1979 referendum, the yes vote in the 1997 referendum and the recent independence referendum have all shaped public views on what devolution means and how it should operate. We arrived at this situation through public and civil society demanding change in a way that I am not quite convinced is yet the case for England’s cities and regions. Devolution should not be done in haste, and great consideration should be given to its purpose and the means by which local people will be involved Scotland is a hub of expertise on the devolution process, and we feel that public engagement is critical. We recognised the hunger for local community power by passing the Community Empowerment (Scotland) Act 2015 in the Scottish Parliament and introducing the “Empowering Scotland’s Island Communities” consultation, in which the islands have demanded more powers from the Scottish Government. We support more efforts to deliver devolution for local authorities, but the process must be transparent and consider the views of local communities In the past two years there has been great consideration by organisations such as Common Weal and the Electoral Reform Society Scotland, as well as by other civic groups and individuals, such as Lesley Riddoch, whose book, “Blossom: What Scotland Needs to Flourish”, looks at what shape democracy should take and how local people can be more involved in the process. I recommend that Members have a look at Lesley’s book to see how the bottom-up approach can be taken. I have asked the Library if it could seek a copy for their information. I also direct Members to the Electoral Reform Society Scotland’s Democracy Max project, which looked at the idea of “mini publics” as a means of engaging the public in shaping their own democracy. I very much agree with the hon. Member for Nottingham North (Mr Allen) that double devolution must go through local communities as well, and cannot stop at the mayoral level My reading of this Bill is that it is, sadly, very top down. Powers are being given rather than demanded, and there is still the same level of control from the centre. I agree with the hon. Member for Hemsworth (Jon Trickett) about that. An example is the imposition of mayors against the will of local people, particularly those who rejected such a principle in local referendums. Transferring powers from a centralised Westminster system to an all-powerful mayor is not really, in practice, local participatory democracy. People do not have a say, and that reflects on the legitimacy that the mayor will then have. If people are to have faith in the process, a good deal more work needs to be done to establish what they want their local democracy to look like and what powers it should have.
ParlaMint-GB_2015-10-14-commons.u283	Londoners are broadly comfortable with the originally established system of devolution in London, but one thing they look enviously at in Scotland is the power to control and shape housing policy. Would the SNP look sympathetically on an amendment from London Back Benchers seeking to give that power to London?
ParlaMint-GB_2015-10-14-commons.u284	The hon. Gentleman makes a good point on the ability to control housing policy. While the SNP is not necessarily going to vote on this because it is an England and Wales-only Bill, we strongly agree with the principle that housing should be in the control of London, and other local authorities as well, because if people are unable to control the housing stock or to make decisions about construction, funding and everything else, they are hamstrung in their ability to influence local housing supply I seek to establish the Government’s true purpose in devolution to cities and to local government. Members may remember that Scottish devolution was supposed to have killed the SNP stone dead, but if that were its purpose, it has demonstrably failed, despite the fact that our Members are not in the Chamber today. If devolution to cities and local government in England and Wales is based on the general principle of the importance of local decision making and democracy, that is a worthy ideal that I absolutely support, but if, as suggested by a lot of the rhetoric, it is simply about economics and growth rather than democracy, I am less convinced. Tying the deals to economic indicators puts a great deal of pressure on the new set-up, and I fear that it could then be a hostage to economic fortune. Should it not meet those economic targets and goals, it could be seen by the Government and by local people not to have achieved the objectives that were put on it I also seek an assurance that devolution is not being used as a cover for cuts. A lot of people involved in the NHS, in particular, are concerned about this. Like other Members, no doubt, I have had lots of representations from various organisations. This should not be a cover for regionalisation of the NHS by the back door. That is fine if Scotland has control over the NHS, which is a great thing, but it should be debated on its own as a case that can stand or fall on its own merits. To cut funding and blame the new authority would make the position of that authority absolutely untenable In this place, decision making feels very far away from ordinary people, whether they be in Wick, Glasgow, Manchester or Cornwall. I hope that this Bill will create and engage a groundswell of support for local democracy in England, and that powers and money are returned from Westminster to local people, as they should be. I urge the Government to consider how best to embed the principle of subsidiarity within the Bill, and to seek and listen to the views of local people on what they are seeking from their democracy.
ParlaMint-GB_2015-10-14-commons.u285	I am delighted to speak in this important debate, as aside from the economy, devolution is one of the great domestic issues of our time. We have seen changes in Scotland and Wales driven by a devolutionary agenda, and now England too will be part of this overdue reform. The Bill presents this country with a huge opportunity to rebalance the relationship between local and central Government and, indeed, to improve it, but it is also an opportunity to rebalance our country, not just politically but economically. I therefore fully support the Bill’s Second Reading In many ways, this Bill is a clever one—an enabling Bill that allows for a great deal of flexibility and permits room for innovation. Both those freedoms are very welcome as we create an environment for bespoke deals that will give responsibilities and powers to different parts of our country and, most importantly, provide the opportunity for different cities, counties and districts to develop and grow in their own way and on their own terms One of the Bill’s central themes is the concept of elected mayors, of which I have been a long-standing supporter. In my perfect world, I would like to see them as a default setting for all councils. They are a modern, more accountable and more transparent form of local government. They provide visible leadership and responsibility, and a vehicle for real change in our cities and counties. One need only look at London to see the benefits that this visibility and leadership can bring to a place. I therefore continue to support the Minister in his endeavours towards the advancement of elected mayors, an idea that I hope will be of particular benefit to the north of the country. I understand the Government’s view that the Bill will bring about evolution not revolution, and that central Government will not be imposing their will on local government. I do not fully agree with that. I do accept, though, that it is vital that the Bill works with the grain of the people I take issue with the Government on three parts of the Bill, the most important of which is clause 16(3), which, in effect, gives any council, however bloody-minded, parochial or underperforming, a full veto on what could otherwise be a well-supported and essential proposal for reform. It gives the few—small-minded politicians—the power to prevent progress for the many I take Cumbria as an example. It is a county with just under half a million people, but with seven separate councils and over 380 councillors. In Cumbria, it is accepted across the political parties and by the business community, the LEP, the health sector and, most importantly, the wider public that the current structure is not working and is holding our county back. Cumbria, it is recognised by all, needs fewer councils and fewer councillors. It needs unitary governance and everyone in Cumbria knows it. However, under the Bill as drafted, just one of those seven councils can veto proposals for change and the entire process, against the will of the majority, would be scuppered. I therefore ask Ministers to review that clause, not with the intention of allowing central Government to impose themselves, but to ensure that where there is overwhelming support for reform among local communities they cannot be held to ransom by a minority My other concerns are clauses 20 and 21. On clause 20, it is understandable to consider a reduction in the age required to vote, but this must be a policy for all elections or for none. In addition, thought must be given as to whether it would also mean that 16 and 17-year-olds could stand for election. I therefore ask the Government to give the clause further consideration.
ParlaMint-GB_2015-10-14-commons.u286	During the debates on the European Union Referendum Bill, much was said about the voting age and when young people should get involved. Lots of people said then that that was not the time—why is now not the time?
ParlaMint-GB_2015-10-14-commons.u287	I am not making a comment as to the merits of the case. I am merely suggesting that if it is to be introduced, it should be consistent across all elections. I ask the Government to consider that further As for clause 21, I would be very reluctant to see such a change removing the moratorium on areas that have chosen directly elected mayors. As I intimated earlier, I would like the position of elected mayor to be encouraged and expanded further. Indeed, I encourage the Government to consider making it easier for local communities to trigger a referendum to have an elected mayor by reducing the threshold required for a petition from 5% to 1%. That would clearly demonstrate the Government’s commitment to elected mayors and to the principle of allowing local areas to determine their own future I remain fully supportive of the Bill and its intentions, and I applaud Ministers for bringing about this long-overdue legislation. However, I hope that these small changes are considered in Committee or on Report to ensure that local communities, particularly the people of Cumbria and Carlisle whom I represent, are able to take full advantage of this important policy.
ParlaMint-GB_2015-10-14-commons.u288	I have over the years had disagreements with the Secretary of State about the pace of change of devolution: I probably wanted to go faster than he and the Government have gone. I have had disagreements with him about the amount of devolution: I probably wanted to go further than the Government have gone. I have had some disagreements with him on the detail. The important thing, however, is that we are actually talking about devolution. Devolution is a key element of Government policy and it is happening. It is important to have regard to such matters Although my disagreements may be about the pace and extent of devolution, the direction of travel is absolutely clear. I think that credit, on a cross-party basis, should be given to the Government and to the Secretary of State—both in his current job and his past roles—for driving forward this agenda, which deserves support Thinking about it, there probably never was a realistic chance of getting a big bang, with complete devolution across the board of everything that I would eventually like to be devolved. After years of centralisation, it was probably always going to be the case that incremental change would be the successful way forward—convincing the Treasury that economic growth would be improved and that value for money in public services would be increased. Indeed, we must watch to make sure that those things actually happen, and that proper impact assessments are made over the years to show that the change has brought such benefits Having different solutions in different areas was likely to be the way forward to achieve devolution on a realistic basis, and that is also completely consistent with the localist approach, which is that things should be done differently in different areas. However, I have one serious disagreement with the Secretary of State, which the Local Government Association has also raised. The disagreement is that one size does not fit all in terms of the powers that will be devolved and how those powers should be administered. We therefore come back to the imposition of elected mayors Why is such imposition necessary? If the rest of the approach is about agreement, with local areas coming forward with their views on what needs to be devolved in their area, why cannot we trust them to come forward with ideas about how powers should be administered in their area? The Government must provide an answer on that challenge, because that is the one inconsistency in their whole approach.
ParlaMint-GB_2015-10-14-commons.u289	Does the hon. Gentleman agree that the Government already seem to have conceded that point in relation to Cornwall, which does not have a mayor?
ParlaMint-GB_2015-10-14-commons.u290	Yes, I think so. Ministers will have to explain that. I think their answer would be that Cornwall has elected councillors for one county, which is slightly different from the situation in combined authorities. I do not accept that, because I think we can come up with arrangements in combined authorities. Indeed, to come back to the Sheffield model, I understand that some of the economic items to be delegated, such as those on skills, will be devolved to the combined authority, not to the mayor, but that transport items will be devolved to the mayor. That means there will be a two-party approach: on some items, the elected leaders of the various constituent councils, acting as a combined authority, will have the powers, but other powers will go to the mayor. I think that will be more confusing than ever to the public, who will not know where powers rest under the new approach The Government must give thought to one or two things, as should local government. The deals being done—I understand how they are now being done to move forward a very centrist agenda on a more devolved basis—still give a bit of an impression that ideas are being cooked up in back rooms by councillors, and that deals are then done in back rooms with Ministers. We must try to move to having a more open debate. Ideas for devolution should be brought forward by councils and there should be a more open debate on the Government agreeing to such deals. We must find ways of involving the public more in the whole approach if we are to take them with us. In the end, one of the key issues of devolution should be greater public engagement, with the public feeling that they have more control over the decisions that affect their daily lives. That has to be a key element of devolution, but there is a problem at present I agree that we will eventually have to get an overall framework for devolution, including a list of powers that councils can have as of right. Ultimately, there must be a move from devolution by patronage—Ministers agreeing that certain things can be done in a certain way—to councils having the right to have such matters devolved to them. We are a step away from that situation at present, but we must move in that direction. As I said to my Front-Bench colleague, my hon. Friend the Member for Hemsworth (Jon Trickett), let us look at wider devolution—ultimately, we may want a constitutional convention—but in the meantime we must not stop the progress that is being made. Let us make sure that the devolution deals can go ahead and take us in the right direction of travel. Perhaps that is something on which we can get consensus I want to raise a couple of problems. In Sheffield, there is still a problem about the non-metropolitan districts that are part of the city region. It is unique as a city region because it crosses more than one region—it does away with the old regional boundaries—but the non-metropolitan areas cannot join the transport deal because transport is a county function. The elected mayor will cover only the south Yorkshire districts, not other districts in Derbyshire and Nottinghamshire, but it cannot be right that a devolved authority’s travel-to-work area is not covered by the new mayor who has responsibility for transport. That is a challenge and a problem I do not share the concerns that colleagues have expressed about health, although one of my concerns is that we do not really have standardised treatment and service levels throughout the national health service anyway. However, we must avoid the dead hand of centralism in the Department of Health stopping innovation at local level in joining up health and social care in a way that will be allowed under devolution deals, whether in a combined authority such as Manchester or in an individual authority such as Sheffield I am pleased that the Secretary of State has become a convert to fiscal devolution. In the end, real devolution is not just about allowing local authorities greater freedom to spend the money they are given by central Government; it has to be about more freedoms for councils to raise money. The Chancellor’s statement on the full localisation of the business rate is a step forward. In the last Parliament, the Communities and Local Government Committee produced a report on “Devolution in England: the case for local government”. I hope that the Government will look at the proposals for further fiscal devolution. Business rates and how full localisation is done are obviously important issues. As I said to the Secretary of State earlier, there is an opportunity, with the extra money retained in local government through full localisation, to allow more devolution right across the board. That will be a very big conversation during this Parliament, and I am pleased that the Secretary of State is committed to a full consultation on that both in Parliament and with local government as a whole.
ParlaMint-GB_2015-10-14-commons.u291	I am glad to have caught your eye in this very important debate, Mr Deputy Speaker. I am delighted to follow the Chairman of the Select Committee, the hon. Member for Sheffield South East (Mr Betts). His experience clearly showed through during his speech, and I largely agree with everything he said I am delighted to join my right hon. Friend the Secretary of State in his enthusiasm for this concept, which is one of the largest devolutions of powers to local government since the 1970s. We have to be careful how we do it, because we want to get it right, but I have no doubt that, for example, in Gloucestershire, to which more than £1 billion of public spending may be devolved, there is considerable scope for innovation to deliver better services on behalf of the people of Gloucestershire In Gloucestershire, the county council, six district councils, the local enterprise partnership, the clinical commissioning group and the police and crime commissioner have worked hard during the summer to produce a very credible, 75-page document, “We are Gloucestershire”, in which they set out their bid for devolution to Gloucestershire. On Monday, six of Gloucestershire’s MPs met to discuss the document. I must tell my right hon. Friend that there was a large measure of agreement, although we have some concerns, which I shall elucidate in my short speech Approximately £3 billion of public money is spent in Gloucestershire. However, taking out the Department for Work and Pensions budget for pensions and benefits and certain parts of the education budget, we estimate that about £1 billion of spending is likely to be devolved. As my right hon. Friend knows, Gloucestershire has the considerable advantage that all the institutions I have mentioned are coterminous with the county boundary, which makes our bid considerably easier. However, the document that has been produced is very light on governance. On this I agree entirely with my hon. Friend the Member for Carlisle (John Stevenson). The devil is in the detail: how is this thing going to be managed? A delivery board will be needed, and all the partner institutions involved must be part of it We already have several joint structures in Gloucestershire: the £200 million business rate pool is one, and the joint working of Cotswold—my own council—West Oxfordshire, Forest of Dean and Cheltenham Councils is another. However, the really big prize in Gloucestershire would be the devolution of health and social services. That would be much easier under one authority, and it would stop the gaps that are currently emerging between different authorities There are two areas of concern: planning and elected mayors. Gloucestershire’s devolution bid states: “We will integrate leadership and direction of the planning workforce across all agencies and appoint a Strategic Planning Commissioner to lead this work for Gloucestershire.” That makes me uneasy. The district councils have local democratic accountability for planning. In my area, 80% of which is an area of outstanding natural beauty, planning is an extremely difficult and controversial matter. I would therefore be very uneasy to see it merged into one Gloucestershire-wide planning authority The second area of concern, on which I made a rather impish intervention on the Opposition spokesman, is elected mayors. I read out what the Bill says on the matter, so I will not do so again. The Government did make some concessions in the House of Lords by putting that clause in the Bill. However, I say to the Secretary of State that my feeling, from speaking to the authorities, is that if an elected mayor is imposed on Gloucestershire, this bid will not fly. At the moment, we want the leader of the county council to be in charge of the organisation. That is not to say that we will not move to an elected mayor in the future I think that having an elected mayor would have two consequences for Gloucestershire. First, we would have to move rapidly towards having a unitary authority, otherwise Gloucestershire would have too many democratic tiers. Secondly—I am not averse to this, I must say—we would have to lose our police and crime commissioner, because there would be no point in having another elected police body I want to raise one really important point with the Secretary of State that has not been aired in this debate, and that is the business of administrative savings. Whether the budget is £1 billion or more, there are currently a lot of Government mandarins administering it. When those people no longer have to administer the budget, I would like some of the savings to go to Gloucestershire. After all, Gloucestershire will have to employ extra people to administer it. It is only fair that some of the savings that the Treasury makes be devolved to Gloucestershire Finally and importantly, I point out to the Secretary of State that this excellent document was produced largely without consultation with Gloucestershire’s Members of Parliament. By their nature, Members of Parliament know better than almost anyone else what is going on on their patch and what their patch needs. It is therefore incumbent on any devolved organisation to have the closest possible co-operation with its Members of Parliament. I would like it written into any bid that Gloucestershire makes that the devolved organisations have to consult Members of Parliament on a regular basis. That must be meaningful consultation that they have to take notice of I warmly welcome the Bill. There are some difficulties with it and, inevitably, the devil is in the detail. However, it is a great concept that up and down this great nation of ours could unleash the potential of local enthusiasm and generate once again the Victorian idea of competition between local authorities to deliver better services on behalf of our people. That is surely what all of us here are all about.
ParlaMint-GB_2015-10-14-commons.u292	I strongly welcome the Bill. It is an enabling Bill that will allow negotiations to take place between local authorities and central Government. Not before time, it brings the beginning of the end of centralisation in this country The Secretary of State gave one reason why this country has been so centralised: the drive for uniformity across the country. That was what was wrong with the reorganisation of local government in the early 1970s. It has been a sin of omission by the Labour party over the years to fail to devolve, because it has always looked for a perfect solution. The Conservatives committed more of a sin of commission in the rows between central and local government in the 1980s I refer right hon. and hon. Members to Lord Heseltine’s speech on Second Reading in the House of Lords. It was a mea culpa for his early career as a junior Minister in the Department of the Environment. He said that he was ashamed of some of his responses to local government at that time. However, Lord Heseltine and Lord Adonis have made a terrific contribution to the Bill and to devolution generally. I urge people to read Lord Heseltine’s speech I cannot support the Opposition amendment. To put it simply, if it were passed, all the work that has been done by local government leaders in Greater Manchester, west Yorkshire, south Yorkshire, Merseyside and elsewhere would be wasted. This is not a perfect Bill, but it is a good Bill in that it devolves power. My hon. Friends on the Front Bench have talked about consultation. I spoke to the leader of one of my councils this morning, and before the amendment was tabled by Labour Front Benchers there was no consultation on our position. That is a great shame One could make a very long speech about this Bill, but I just want to talk about a few matters. I agree with my hon. Friend the Member for Hemsworth (Jon Trickett) that it does not deal with the disparity in the distribution of money in this country, but it does deal with the disparity in the distribution of power and may well lead to better economic growth in the areas that have devolution. We do need to deal with that issue One item that has not been mentioned much in this debate and which I ask the Minister to mention in his winding-up speech is the re-regulation of buses, which is one of the really attractive parts of this devolution. Control of the bus network will come under the elected mayors. That proposal is not covered in the Bill, so when will it be brought forward? My worry is that although this Secretary of State and the Chancellor of the Exchequer are enthusiastic, I am less convinced that the Secretaries of State for Health and for Transport are quite so enthusiastic The area of greatest controversy is what has been called the imposition of an elected mayor. Really, it is a negotiation. I say to those who are opposed to it that many more powers and a lot more resources are being offered. Whether there is a referendum or whatever, there has to be an answer to the question of who will be elected to look after the extra resources and money. If it is not to be an elected mayor, we would have to recreate the old Greater Manchester and South Yorkshire County Councils or have a Greater London Authority-type structure. It seems to me that the best structure is an elected mayor, so that people know who they are voting for and who will have responsibility for the services. The core of democracy is the ability to throw people out of office. That cannot be done if there is secondary representation by elected leaders. An answer is needed to that fundamental question.
ParlaMint-GB_2015-10-14-commons.u293	The hon. Gentleman has posed the most significant question in respect of elected mayors. Surely it should be the responsibility of combined authorities to make the decision. If they want an elected mayor, so be it, but if they want a GLA-type set up, surely that is their choice.
ParlaMint-GB_2015-10-14-commons.u294	Traditionally, it has been the responsibility of the Government to determine the structure of local government and then for people to elect it. I am not saying that people should necessarily be excluded; I am just saying that people who do not like elected mayors have to come up with an alternative. I do not think that a combined authority is an alternative, which makes consulting people rather difficult. Given that we have waited so long for devolution, I do not want any barriers put in its way. It is better to have an imperfect system than to wait even longer for the perfect answer.
ParlaMint-GB_2015-10-14-commons.u295	My hon. Friend is making a typically robust speech from his massive experience as a local government leader. Does he agree that we have to be careful that the mayoral issue does not divert us from the big picture of devolving powers and finance and making things work in the locality? If we are not careful, the mayoral question will become the Labour version of English votes for English laws, which has led the Conservatives to focus on just one aspect, to the detriment of the big picture.
