ParlaMint-GB_2015-01-12-commons.u1	1. What steps he is taking to increase the number of cadet units in schools.
ParlaMint-GB_2015-01-12-commons.u162	I stand alongside the shadow Minister in welcoming the reopening of the school in Peshawar. We should all stand together against violence and terrorism around the world. By doing that, we can face it down The shadow Minister asked about UK support. I imagine he was referring to the package of support announced on 12 June 2014 by my right hon. Friend the Leader of the House, then the Foreign Secretary, who is in his place now. Since then we have enlarged our programme of capacity-building support for the Nigerian armed forces to provide direct tactical training and advice to the Nigerian forces engaged in this fight against terrorism. With France and the United States we are supporting regional intelligence-sharing arrangements between Nigeria and its neighbours. As I said to the hon. Member for Brent Central (Sarah Teather), a DFID-US aid partnership will draw 1 million more school children into education by 2020, which includes increased support for girls’ education in particular. This is in addition to the £1 million which we committed in May to the UN safe schools initiative, which I alluded to earlier. DFID is providing advice and assistance to Nigeria for a more strategic approach to economic development in the north The right hon. Gentleman referred to the brutality of Boko Haram. There is no other word that better describes their actions. They are extraordinarily brutal to their own Muslim brothers, as well as to Christians—indeed, to any one who seems to get in their way. The tales of what they leave behind when they move into these areas are too ghastly to rehearse here this afternoon. They are one of the most brutal organisations known to man The issue that caught the attention of this House and of the world was the abduction of the Chibok girls. We are still supporting the Nigerian authorities in trying to establish the girls’ location through the provision of surveillance assets and intelligence expertise. Information generated by these assets has been provided to an intelligence fusion cell in Abuja, where British personnel are working alongside Nigerian, American and French colleagues. We are clearly unable to comment on the results of ongoing intelligence operations, as the House will accept, but while the girls are still missing our resolve and that of the international community to continue the search remain strong. I remind the House that we are dealing with an area the size of Belgium under the control of Boko Haram, and intelligence is difficult, but we are not giving up at this point.
ParlaMint-GB_2015-01-12-commons.u163	What is happening in northern Nigeria with Boko Haram is grotesque and it is important that the House and everyone else should demonstrate that all human life is equally valid and equally sacred. My right hon. Friend made it clear that he is the Minister with responsibility for relations with the Commonwealth, and as the right hon. Member for Warley (Mr Spellar), who spoke for the Opposition, made clear, this is not just about northern Nigeria; it equally applies to the north-west frontier province in Pakistan. What is the potential for the Commonwealth as an institution to show solidarity by ensuring that Commonwealth countries act collectively to support Commonwealth members that are seeking to resist terrorism and fundamentalism?
ParlaMint-GB_2015-01-12-commons.u164	My right hon. Friend raises an extremely good point. I am the Minister with responsibility for the Commonwealth, although I do not have direct responsibility for Nigeria, and I have been asking officials about this matter this afternoon. I think that there is a role for the Commonwealth. Particularly in Nigeria, more work could be done locally through organisations such as the African Union, but the Nigerian Government have to want other countries to come in and do that. It is worth looking at a pan-Commonwealth approach to dealing with terrorism of this nature, from which few countries currently seem to be immune, and I shall raise it with the secretary-general.
ParlaMint-GB_2015-01-12-commons.u165	The vast demonstrations in Paris and in other French cities against murderous religious fascism were among the most impressive in my lifetime. Is there not genuine concern that the authorities in Nigeria are simply inadequate to deal with this terrible threat? Time and again when the Nigerian President has been under a good deal of international pressure, and rightly so, his response has been such that one can conclude only that the commitment to fight the terrorism and atrocities in that country is not as it should be.
ParlaMint-GB_2015-01-12-commons.u166	No one living outside the affected areas in Nigeria should believe for one minute that they are immune to the possible terrorist activities of Boko Haram. As I said, there is an election in February, and presumably there are those who wish to campaign in this large chunk of the country in the north. It is a problem for Nigeria. Yes, we certainly wish that its institutions were stronger, but I think that both the Nigerian Government and the international community are absolutely certain that Boko Haram needs to be routed out, and quickly, before it does further damage within the country and to its vulnerable neighbours.
ParlaMint-GB_2015-01-12-commons.u167	I agree entirely with what the Minister and the shadow Minister have said. I particularly agree with the Government’s decision not to intervene in Nigeria directly with military force. Will the Minister explain, though, why the west is right to try to use military force in Syria and Iraq, in rather similar situations, but not in Nigeria?
ParlaMint-GB_2015-01-12-commons.u168	We have deployed assistance to Nigeria and we will continue to do so, particularly on the intelligence side. I repeat that Nigeria is one of the richest countries in Africa and it spends 20% of its own budget on defence expenditure. In the normal course of events, it should be able to handle these things itself, but it cannot, and that is why we are providing assistance to enable it to do so. Drawing any parallel between what is going on in Syria and Iraq is not useful, if I may say so. This is something localised to Nigeria, and we want to prevent it from spreading across other parts of Africa.
ParlaMint-GB_2015-01-12-commons.u169	I draw the House’s attention to the Register of Members’ Financial Interests, where I have registered visits to Nigeria over the years. The Minister will be aware that the situation in Nigeria is a matter of great concern to the British people. It is also of concern to the tens of thousands of our constituents with strong family connections in Nigeria who want to know what the British Government are doing for their friends and family. As he pointed out, Nigeria has the capacity to deal with Boko Haram if it so chose. After all, it has the largest GDP on the continent and spends huge amounts of money on arms and weaponry, and it was very effective in relation to Ebola. Does he agree that people want to know what the British Government are doing to put maximum political pressure on the Nigerian Government to make them aware that people all over the world are watching them and want them to step up to this crisis?
ParlaMint-GB_2015-01-12-commons.u170	We are more than stepping up to the crisis. I have said that we have one of the biggest bilateral aid budgets to Nigeria in the world—it is approximately £250 million a year—as well as the additional packages I have just announced. For the diaspora here, that is something of which we can be proud. The hon. Lady said that, given the wealth in Nigeria, Nigerians have the capacity to handle these things, but I disagree. I would say that they should have the capacity to deal with them, but the reality is that they do not. That is why a lot of UK support is going towards helping to build the capacity they need, with direct tactical training and advice to the Nigerian forces. I agree that they should have it, but currently I do not believe that they do.
ParlaMint-GB_2015-01-12-commons.u171	Does the Minister agree that the answers to violent extremism lie in inclusion and reconciliation, and development and good governance—all of which the Department for International Development will continue to support in Nigeria, even after the cameras have moved on? Does he also agree that effective evaluation of Government-to-Government aid must accompany that work?
ParlaMint-GB_2015-01-12-commons.u172	The first thing to point out is that no UK aid goes directly to the Government of Nigeria; it goes to other organisations within Nigeria. Yes, we should continue to help build. As I have said, I believe that we have to justify overseas aid because it is a contentious issue and people do not want to see it going to countries that squander it in some way. That is why we do not on the whole give Government-to-Government overseas aid. Given Nigeria’s huge wealth and its huge divisions of wealth, particularly between the north and south, we think there is a role—in the British interest, apart from anything else—to help build capacity and strengthen institutions in that country so that it can handle these issues itself. We will continue to do that, whether the cameras are on us or not.
ParlaMint-GB_2015-01-12-commons.u173	I think the whole House appreciates what the Government have done to support the Government of Nigeria. In my view, we have the best counter-terrorism operation in the world. Has the Minister had a specific discussion with the Home Secretary about any counter-terrorism support we can give the Nigerian authorities? They may be very rich, but they lack our expertise.
ParlaMint-GB_2015-01-12-commons.u174	The best thing we can do is what we have done, which is provide satellite imagery, training, and surveillance and intelligence assistance to the Nigerian authorities. In an earlier search, we deployed Sentinel and Tornado GR4 aircraft with surveillance capabilities. I have not had a discussion with the Home Secretary; these things have been handled to date by the Ministry of Defence, the Department for International Development and the Foreign and Commonwealth Office.
ParlaMint-GB_2015-01-12-commons.u175	The problem with trying to gain intelligence is that the only way to get really good intelligence is to put troops into the area where it can be gathered. The Nigerian Government already spend 20% of their gross national income on security. Will the Minister consider the possibility of putting on the ground some kind of coalition—under the United Nations and paid for, at least in part, by the Nigerian Government—so that effective troops could go into this area the size of Belgium to get decent intelligence and give some reassurance to the people there?
ParlaMint-GB_2015-01-12-commons.u176	No British troops will be deployed in that role in Nigeria.
ParlaMint-GB_2015-01-12-commons.u177	I should declare that I chair the all-party group on Nigeria. Although I do not want to play down the evils of Boko Haram, we know that the security forces and the Nigerian police have themselves caused problems while tackling its actions. I know that the Foreign Office has met the Metropolitan police’s Nigerian police forum—there are nearly 900 Nigerian-origin police officers in the Met. Will the Minister update the House on those discussions and on whether there is a role for the Metropolitan police and other police in the UK to help embed human rights policing in Nigeria?
ParlaMint-GB_2015-01-12-commons.u178	There are human rights issues in not only the police in Nigeria, but in the armed forces there as well, and those very serious concerns have to be balanced against any assistance we provide. That applies to us, France and, of course, the United States. The hon. Lady’s question about any assistance that the Metropolitan police might be able to offer would be best answered by the Home Office, and I shall make sure that my right hon. Friend the Home Secretary answers it fully.
ParlaMint-GB_2015-01-12-commons.u179	As the appalling violence spreads, will the Minister outline what specific measures the UK has taken to help the Nigerian authorities protect civilians in the more isolated and rural areas? Given the targeting of so many women and girls, what steps are being taken to share our technical expertise in preventing and prosecuting sexual violence in conflict?
ParlaMint-GB_2015-01-12-commons.u180	I will not rehearse again all the assistance that we have given to Nigeria, particularly since June. It is extraordinarily difficult to have a conversation at the moment about the prevention of sexual violence in conflict, to which my hon. Friend alludes. We could have it with the Nigerian military. However, given that across great swathes of the country vast numbers of girls are being abducted, made to convert from their religion and married off, it is a bit premature to start talking about the prevention of sexual violence. This is an endemic problem right across the struggle between the Nigerian authorities and Boko Haram.
ParlaMint-GB_2015-01-12-commons.u181	It is a sobering thought that the deaths of so many hundreds and thousands of Nigerians last week warranted so little attention in this country. My right hon. Friend the Member for Warley (Mr Spellar) spoke of the need for solidarity across continents. In the discussions that will undoubtedly happen in the wake of yesterday’s moving show of solidarity across the channel, will the Minister see how the UK and France can work together to provide security assistance—particularly at the porous border between Nigeria and Niger, which enables Boko Haram to melt back after its atrocious crimes?
ParlaMint-GB_2015-01-12-commons.u182	There have been a number of ministerial meetings around the world to look at the security situation in Nigeria and the UK will attend the next follow-up meeting on 20 January in Niamey, the capital of Niger. Co-ordinating the regional approach to Boko Haram’s violent campaign is vital, as the hon. Lady suggested. The terrorists do not respect national borders. The recent attacks on Cameroon have also been extremely bloody. The House should be in no doubt that this will be a long and difficult task, but we are totally committed to standing by Nigeria in its fight against terrorism.
ParlaMint-GB_2015-01-12-commons.u183	As the hon. Member for Hackney North and Stoke Newington (Ms Abbott) said, the Nigerian state showed a strong response to Ebola, yet its response to terrorism in the north has been extraordinarily weak, with soldiers reportedly not even having bullets for their weapons. How does the Minister of State account for that enormous discrepancy in competence?
ParlaMint-GB_2015-01-12-commons.u184	We would like to have seen a more robust attitude from the army and the military to what is going on in the northern states. However, it is an extraordinarily complicated question and it is extraordinarily difficult to find out what is going on. We read lots of stories about people changing sides and equipment being seized. The Nigerian army certainly needs better training to combat the incredibly violent terrorist organisation that is Boko Haram. It needs more assistance and training, but, as I have said, that cannot be done overnight.
ParlaMint-GB_2015-01-12-commons.u185	The House owes a debt of thanks to the hon. Member for Brent Central (Sarah Teather) for ensuring that this question was asked today. Millions turned out across Europe yesterday, particularly in France, because of the atrocious killings in Paris; millions more need to turn out all over the world over the deaths of innocent people in Nigeria. Does the Minister not think that it is important for all Governments—and all Parliaments, for that matter—to send the message that a human life lost because of such atrocities is equally awful in France, Nigeria or anywhere else, and that every human life is a human life that should not be taken?
ParlaMint-GB_2015-01-12-commons.u186	Hear, hear to that! We estimate that in 2014, at least 4,000 people were killed in Boko Haram attacks. The insurgency is growing and it is a growing humanitarian issue. The UN estimates that more than 1.5 million people have been displaced and at least 3 million affected by the insurgency The hon. Gentleman will have noted the recent words of the Catholic Archbishop of Jos in Nigeria, who claimed that the west is not doing enough to support Nigeria in tackling Boko Haram and drew an unfavourable comparison with the international community’s response to the Paris terrorist attacks. I think that the United Kingdom is showing the way through leadership, financial assistance and training. Perhaps other countries should look at themselves and see what more they can do to join in with the attack on terrorists.
ParlaMint-GB_2015-01-12-commons.u187	Members of the Nigerian armed forces have complained that one reason why they cannot defeat Boko Haram militarily is that money destined for equipment has been siphoned off by senior officials. To go back to a question that my hon. Friend the Member for Brent Central (Sarah Teather) asked, what specific action is my right hon. Friend the Minister taking to tackle corruption in Nigeria?
ParlaMint-GB_2015-01-12-commons.u188	There are allegations of equipment going missing and money not reaching the right place, and unfortunately I believe that all those allegations are founded on truth. That is why we have training teams in Nigeria—to try to build better institutional capacity for a better, more accountable and more transparent military, so that such things do not go on happening.
ParlaMint-GB_2015-01-12-commons.u189	It has been reported that the French have an initiative whereby they are trying to create a multinational taskforce comprising Nigeria, Niger, Cameroon and Chad, but so far none of those countries has been prepared to provide the troops required. Is the United Kingdom supporting the French Government in that initiative, which must surely be the way forward?
ParlaMint-GB_2015-01-12-commons.u190	I think I said earlier that the solution should be regional. Some of those countries, such as Niger and Cameroon, are on the borders of Nigeria and are already affected. However, we cannot offer help if the country we are offering it to does not want it, so we have to hear more from the Nigerian Government about how the international community can assist, particularly locally. Hopefully, a force such as the hon. Lady suggests can come from that.
ParlaMint-GB_2015-01-12-commons.u191	No one can have a sensible discussion about Nigeria unless they consider its exponential population growth. In 1950 there were 33 million Nigerians, and there are now 175 million. The UN’s central estimate for 2100 is that there will be 730 million. One in five Africans is Nigerian, and half the population is under the age of 14. Against the background of that huge demographic instability, is the Minister satisfied that the Foreign Office understands the potential catastrophe for Africa of a successful Islamic insurgency in that country?
ParlaMint-GB_2015-01-12-commons.u192	We are extremely concerned about the problem spreading—I have already said that—but let me look at the glass as being half-full, rather than half-empty as my hon. Friend sees it. Nigeria is the richest economy in Africa, and it has huge talent—we have only to look at the Nigerian diaspora in this country to recognise that. It is rich in resources, so there are huge opportunities for it. However, it has endemic problems, such as a disparity of wealth, including a north-south geographical disparity, that is far too great I believe that if an incoming Nigerian Government of whatever persuasion in February are determined to invite in the international community in a more open way to help rebuild a modern Nigeria, they can become a shining beacon on the African continent of what such a country can achieve.
ParlaMint-GB_2015-01-12-commons.u193	I fear that many people listening to this exchange, perhaps including the 1 million or more British citizens of Nigerian origin, will see the Minister’s response as inadequate: first, because he has framed the problem as being smaller than they perceive it to be; secondly, because his response that we are at the behest of the Nigerian Government, rather than actively pushing them for change, is too weak; and thirdly, because he has not outlined one measure that will give the thousands of people who are running for their lives right now any hope for any change in the near future With the greatest respect to those who took part, our response to Boko Haram needs more than a hashtag and a photo opportunity. It needs an active response from the British Government, who believe in the freedom of the individual wherever they are in the world. May I ask the Minister to reflect on that and perhaps come back to the House with a more substantive response?
ParlaMint-GB_2015-01-12-commons.u194	I simply do not recognise any of that. My hon. Friend talks about photo opportunities and Boko Haram, but there have not been any that I am aware of. We have one of the biggest bilateral aid budgets at £250 million, and we are doing a lot on education and safety in schools in Nigeria. However, Nigeria is a rich country and it needs to be taught to do those things itself. I believe that the UK is at the forefront of trying to assist Nigeria, but we cannot impose assistance if it is not asked for. There is something called sovereignty, which may have escaped my hon. Friend’s notice, and the Nigerian Government are perhaps, as I have said, too slow to ask the international community for help. The United Kingdom should be proud of its record at the forefront of attempts to right some horrible wrongs going on in that country.
ParlaMint-GB_2015-01-12-commons.u195	With this it will be convenient to discuss schedule 1.
ParlaMint-GB_2015-01-12-commons.u196	It is a great pleasure to serve under your Chairmanship, Mrs Riordan, and to debate the Bill Clause 1 amends section 55 of the Finance Act 2003 to change the basis of calculation for stamp duty land tax on residential property transactions, and provide a new table of rates and thresholds that apply to those transactions. It also introduces the schedule that makes the consequential changes to SDLT, and to the method of calculating the amount of tax due when certain reliefs are claimed. As right hon. and hon. Members will be aware, the measure came into force through a resolution under the Provisional Collection of Taxes Act 1968 for transactions whose effective date—usually the date on which the purchase contract is completed—is on or after 4 December 2014 Let me briefly remind the House why we have introduced this important and comprehensive reform to SDLT on residential property. In essence, the stamp duty system on residential property as it previously stood was flawed and widely criticised, and it created an enormous hike in taxes at certain thresholds. Someone paying £250,000 for a house would pay £2,500 in stamp duty, but if they paid £250,001, they would pay £7,500—three times as much. Inevitably that created peaks in transactions at those thresholds and dead zones above them, and that big distortion affected a significant number of properties. We have got rid of the inefficient and distorted old system and replaced it with a fairer new system that cuts SDLT for 98% of those who pay it. No buyer of a property under £937,500 will pay more SDLT than they would have done before 4 December. We have provided a calculator on the HMRC website so that people can work out how much tax they will pay, and I am happy to confirm that to date it has been used more than 1.25 million times.
ParlaMint-GB_2015-01-12-commons.u197	As the Minister points out, this change will result in savings for the vast majority of people purchasing a home. What assessment has he made of the impact on house price inflation as a result of the changes?
ParlaMint-GB_2015-01-12-commons.u198	There may be a slight impact on house prices, but we must put that in context. Many factors determine house prices, and on the evidence before us our view is that the changes will not have a significant impact on the overall level of house prices. They are likely to have a bigger impact on removing some of those dead zones and distortions in the housing market, which is beneficial in creating a more efficient and effective housing market The reform has been welcomed by right hon. and hon. Members in all parts of the House and by outside bodies, including the Council of Mortgage Lenders, the Institute of Directors and the Institute for Fiscal Studies. Jonathan Isaby, from the TaxPayers Alliance, called it: “an early Christmas present for young people looking to get on the housing ladder.”
ParlaMint-GB_2015-01-12-commons.u199	Will the Minister comment on the impact on revenue? He may collect more revenue where rates have been cut, but lose revenue at the top end.
ParlaMint-GB_2015-01-12-commons.u200	That is not our assessment. My right hon. Friend is an eloquent and distinguished advocate of the argument that it is possible to raise more revenue by reducing rates, and he has over many years demonstrated cases where that would apply. I do not believe that we will quite see that dynamic effect to that extent in this case. I think more revenue, and certainly a greater proportion of it, will be raised from properties above £2 million. Undoubtedly, we will see a few more transactions, which will mean additional revenue that would otherwise not come in. On balance, we will see a reduction overall in revenue across the SDLT regime, but we believe that that is none the less the right thing to do to ensure that we deliver a reform that benefits the vast majority of people who pay SDLT Under the rules as they applied on 3 December, the amount of tax payable was a percentage of the chargeable consideration—the purchase price—for the acquisition of the property. Different scales of percentages, table A and table B, applied respectively to transactions consisting wholly of residential property and to transactions that consisted of, or included, non-residential property. The clause substitutes a new table A, setting out the new tax rates and bands that apply to a transaction consisting wholly of residential property. It also amends the calculation rules for those transactions, so that each rate of tax applies only to that part of the consideration that falls within the relevant band. The total tax due is then the sum of the amounts of each band.
ParlaMint-GB_2015-01-12-commons.u201	I stress again how welcome the change has been for residents in St Albans, particularly at the lower end of the market where there have been big savings. Has consideration been given to expanding the scheme to commercial properties, and not just keeping it to wholly or partly residential properties?
ParlaMint-GB_2015-01-12-commons.u202	All these matters are kept under review. My hon. Friend has been a consistent and doughty campaigner for reform in this area. If we had exactly the same system in place for commercial property, with the same thresholds and so on, we would be imposing a much greater burden on commercial property transactions, because by their nature they tend to be of a more substantial size. There is a higher level of consideration in place than for most residential property transactions. The argument for reform for residential property was particularly strong, which is why we took these steps. Consideration of whether there is a strong and persuasive case for reform for commercial property is perhaps a matter for another day.
ParlaMint-GB_2015-01-12-commons.u203	I join my hon. Friend the Member for St Albans (Mrs Main) in welcoming the provisions, which will provide a great deal of assistance to the housing market The Minister knows that for some time I have been pursuing stamp duty land tax for all those affected by the notorious HS2 infrastructure project. Is the Minister willing, while he is looking into this matter, to review those provisions? The SDLT relief applies to only a very narrow number of properties. To keep the property market operating normally, it should be possible to extend it to properties up and down the line that are being so adversely affected by the project.
ParlaMint-GB_2015-01-12-commons.u204	I am grateful for that observation from my right hon. Friend and constituency neighbour. I know well how the issue of SDLT in general must be relevant to many of her constituents. On the specific point about HS2, the Government remain to be persuaded that SDLT is necessarily the right measure for addressing the concerns that she identifies and on which she provides an articulate voice in defence of her constituents and others affected by the project. We remain to be convinced, but I know that she will continue to make her argument, and we will continue to look at it carefully. As I said, however, we are not yet convinced that reform of SDLT, or an exemption or relief, would necessarily provide the right support for those with properties affected by HS2 Clause 1 substitutes a new table A setting out the new tax rates and bands applying to a transaction consisting wholly of residential property and amends the calculation rules for these transactions so that each rate of tax applies only to that part of the consideration that falls within the relevant band. The total tax due is then the sum of the amounts for each band. The new calculation rules extend to linked transactions—those that form part of a scheme arrangement or a series of transactions between the same buyer and seller. In this case, SDLT applies to the aggregate consideration for all the linked transactions The new rules do not apply to transactions to which table B in section 55 of the 2003 Act applies—transactions or linked transactions consisting wholly of non-residential or a mixture of residential and non-residential property. The clause introduces the schedule, which makes consequential amendments to SDLT legislation to take account of the reform. The main changes are to the method of calculating the tax due under certain SDLT reliefs. The first relief is for statutory leasehold enfranchisement, where leaseholders of flats club together to buy the freehold of their block. This relief formerly operated by setting the rate of SDLT according to the amount paid for the freehold, divided by the number of qualifying flats. Under the new arrangements, first we divide the amount paid for the freehold by the number of qualifying flats and calculate the amount of tax due on that sum. We then multiply that amount of tax by the number of qualifying flats in order to arrive at the total tax due. Secondly, a similar change is made to relief for purchasers of multiple crofts from a landlord by a crofting community body under the crofting community right to buy scheme. This relief only applies in Scotland so will only be relevant until 1 April 2015, when SDLT in Scotland is replaced by the devolved land and buildings transaction tax Finally, a similar change is made to multiple dwellings relief, which applies to purchasers of more than one dwelling in either a single transaction or linked transactions. This relief was previously subject to a minimum rate of 1%. Under the new rules, the amount will be equivalent to 1% of the chargeable consideration given for the dwellings, which in practice gives the same result Right hon. and hon. Members raised several important points on Second Reading. I would like to take this opportunity to explain in a little more detail the Government’s position on some of those issues. First, it has been asked why we have chosen not to apply the new rules to non-residential—commercial and agricultural —property as well as to residential property. That point was raised just now by my hon. Friend the Member for St Albans (Mrs Main). As I said, the market for non-residential property is very different from the market for residential property. For example, non-residential properties have a higher value on average and many are held on market rent leases granted for a small or no premium. At this time, the Government do not feel it appropriate to make changes to non-residential SDLT, although all taxes are kept under review as part of the policy making process. Any change to non-residential SDLT would have to be considered very carefully Some concern has been expressed about the possibility of purchasers avoiding SDLT by designating the property as either residential or non-residential in order to obtain a more favourable result. What constitutes residential property is set out in the legislation. Property can be either residential or non-residential, which is a matter of fact. There is no option, as it is has been suggested there is, to flip property between one and the other. I can reassure the Committee on that Finally, it has been suggested that the highest rate of tax payable under the new rules might reduce the disincentive to envelope residential property provided by the 15% higher rate SDLT charge, which applies to purchasers of residential property by a company or other non-natural person. The highest marginal rate of SDLT for the purchase of residential properties above £1.5 million is now 12%. However, SDLT is charged at 15% on the whole value for residential properties bought through corporate envelopes for more than £500,000. We are not proposing to make any changes to the 15% higher rate charge. However, in the autumn statement, we announced that the annual charges of the annual tax on envelope dwellings—ATED—would increase by 50% above inflation for the chargeable period 1 April 2015 to 31 March 2016 in order further to discourage the use of enveloping. The Government keep all taxes under review where individuals continue to hold property within corporate wrappers. They should be prepared to pay their fair share of tax These reforms to SDLT will remove the previous economic distortions in the system, benefiting the housing market and improving the fairness and efficiency of the tax system. They will give another boost to people looking to fulfil their aspirations of owning the place they live in and will make a real tangible and positive difference to the lives of people up and down the country.
ParlaMint-GB_2015-01-12-commons.u205	It is a pleasure to serve under your chairmanship, Mrs Riordan I thank the Minister for his introduction to clause 1 and schedule 1. Let me confirm from the outset that we support these measures, as we did in the previous two debates on the Bill. We will do so again today. As I say, we have already had a couple of debates and it is a small Bill, so many of the issues have been debated thoroughly before. I am grateful to the Minister for dealing with some of the questions that arose on Second Reading. I have just a couple of points on which I would like to press him, and I will be grateful to hear his response in his summing up First, can the Minister provide us with an update on HMRC’s handling of the queries that arose when these measures were announced? Can he confirm the number of queries that HMRC had to deal with, clarify the nature of the queries that the public or their advisers raised and confirm whether all outstanding queries have been dealt with Secondly, let me press the Minister a little further on the revenue. I put some points to him on Second Reading about the expectations of revenue, but that matter has not been fully covered by the responses we have received. The Minister knows that these measures are expected to cost £395 million in 2014-15, rising to £760 million in 2015-16. Research by Lonres and Dataloft has found that more homes changed hands on the day of the autumn statement than on any other day in the past decade, so one in six of all homes sold in London’s most expensive areas in the last three months of the year changed hands on 3 December. The research by Lonres and Dataloft estimates that, as a result, buyers saved £9.4 million in taxes. Is that in the order of the behavioural change that was expected, as modelled by the Treasury in its costings? I am sure the Minister will repeat that they have been independently certified by the Office for Budget Responsibility I should like to know whether the number of transactions and the cost in Exchequer revenue after the announcement of the measures in the autumn statement are along the lines that the Government were expecting. As the Minister knows, the Office for Budget Responsibility, which applies a rating system to the “certainty” of costings, has said that it considers the costings to be medium to high risk. How confident is he about the numbers, and about the extent of the behavioural change that is expected?
ParlaMint-GB_2015-01-12-commons.u206	I am delighted that the hon. Lady and her party welcome measures that are intended to help people who aspire to own their homes. How does she think this policy contrasts with a policy of an annual property tax which may force some people out of their homes if they have to pay it?
ParlaMint-GB_2015-01-12-commons.u207	I think that the Bill shows that the Government have accepted that properties with a very high value are under-taxed. The hon. Gentleman alluded to our proposals for a mansion tax, which would help to pay for our NHS commitments. Our measures will not force anyone out of their homes, because, as we have pointed out, a deferment option will be available to basic-rate payers. I am afraid that that was a bit of party political scaremongering on the hon. Gentleman’s part.
ParlaMint-GB_2015-01-12-commons.u208	The hon. Lady mentioned the mansion tax. My constituents fear that the threshold might start at, say, £2 million, and then drop very quickly to levels applying to properties that ordinary hard-working taxpayers are aspiring to own. The Labour party has done that in the past. Will the hon. Lady tell us what would be the threshold for her so-called mansion tax?
ParlaMint-GB_2015-01-12-commons.u209	I am delighted that the hon. Gentleman has given me an opportunity to tell his constituents that their fears are entirely misplaced. Anyone who publishes literature suggesting that the threshold will lower is doing nothing more than scaremongering. As we have made clear, the number of high-value properties will not increase, because the indexation of the threshold will be in line with the average rise in value for the highest-value properties. That means that the number of properties caught by the tax is not expected to increase. I am, as I say, delighted that the hon. Gentleman has given me an opportunity to reassure people who are currently living in properties that are below the £2 million threshold that they will not be caught by our proposed mansion tax The Minister explained that the changes in the Bill would not apply to commercial property, and I am grateful for his clarification of the Government’s thinking. However, I should like to press him a little further on a couple of matters. First, one of the reasons why the Government were so keen to proceed with stamp duty changes applying to residential property was their anxiety about labour mobility. Has any thought been given to the impact on business mobility of maintaining the slab structure for commercial property transactions Secondly, changes will come into effect later this year in Scotland, where stamp duty is now a devolved matter. The Scottish Government will introduce a land and buildings transaction tax, which will apply to both residential and commercial properties. Have the Minister and the Treasury considered whether there is a risk that England might be disadvantaged, particularly in relation to business mobility? Does the Minister agree that the differential in the treatment of commercial property in Scotland and England is not ideal, and is the Treasury taking account of that aspect of the changes Finally, I want to raise a point that has been highlighted by the Chartered Institute of Taxation. It noted the different treatment given to definitions of residential dwellings, and observed that clause 1(3) inserts new subsection 1B: “If the relevant land consists entirely of residential property and the transaction is not one of a number of linked transactions, the amount of tax chargeable is”, and so on. The CIOT notes that various amendments to the tax system, including the introduction of the annual tax on enveloped dwellings, or ATED, have led to subtly different definitions of “residential” property for the purposes of SDLT. In schedule 29A to the Finance Act 2004 there is different treatment for investment-regulated pensions and potentially for capital gains tax, capital gains tax-related ATED, business investment relief for non-domiciliaries, capital allowances and VAT The Minister and I have had a number of debates when discussing other Bills about the different treatment given to particular phrases in employment law as against taxation law. There seems to be a nuanced difference in the way residential dwellings will be identified in these different elements of different taxes. I am concerned that inconsistencies are creeping in, which lead to complexity and create more work for lawyers. They will welcome that, of course, but ordinary taxpayers will not. It would be helpful if the Minister could give us his comments on those differences in definitions and say whether the Government are considering clarifying that.
ParlaMint-GB_2015-01-12-commons.u210	I will keep my remarks brief. I have spoken in each previous debate and do not have a great deal to add. My party very much supports these measures and, as I have said in previous debates, dealing with the slab system that we had and the consequent cliff edges and removing the incentives for strange behaviour and sub-optimal activity has to be the right thing to do I have only one point to add, which partly follows on from the remarks of the right hon. Member for Wokingham (Mr Redwood) and the assessments of the Office for Budget Responsibility. I would have thought that the taxation of a fixed asset transfer like this, with the certainty that that implies, would mean this is a very low risk method of changing a tax system, but if the OBR regards it as medium to high risk, and if the right hon. Gentleman is suggesting there may be more complex effects that I have not understood, I would like the Minister to clarify whether I am missing something. I would have thought this was a very straightforward way of raising taxes in a highly certain manner—and certainty is, of course, one of the hallmarks of a good tax system I will not detain the Committee any longer. Our party supports these measures. They affect 98% of the population favourably, and, broadly speaking, the other 2% are millionaires, and therefore those with the broadest shoulders. I am pleased that through this Bill this Government have found yet another way to help deliver a small amount of redistribution, with the pain felt by those with the broadest shoulders. The support for it is universal in my constituency, as I think everybody will be a winner. Overall, these measures will lead to a more liquid housing market and therefore a stronger economy, and they also make the system fairer.
