ParlaMint-GB_2015-12-16-commons.u1	1. How her Department monitors outcomes of its spending in the Palestinian territories.
ParlaMint-GB_2015-12-16-commons.u195	I begin by passing on the apologies of my right hon. Friend the Member for Leeds Central (Hilary Benn), the shadow Foreign Secretary, who is unable to respond to the statement because he is visiting the Occupied Palestinian Territories and Israel. On behalf of the Opposition, I thank the Foreign Secretary for the courtesy extended to me by his office, for advance sight of his statement and for updating the House before the recess The scale of the humanitarian catastrophe stemming from the civil war in Syria is almost too great to comprehend. The death toll is well over 250,000 people. Millions of men, women and children will spend this Christmas as refugees living in tents in Lebanon and Turkey, and in Europe in Greece, Serbia and Calais. Even after all the brutality we have seen over the past four years, the situation continues to deteriorate. This week there were the appalling reports that Daesh will murder children who have Down’s syndrome. The international community has failed the people of Syria and we must now do everything we can to address the situation On the military aspect of the UK’s strategy, I note that UK military action up to now has focused, first, on economic infrastructure, particularly oil, which is so key to financing Daesh and, secondly, on alleviating the pressure on Kurdish peshmerga forces operating in Syria. It is notable, however, that the Foreign Secretary did not mention action to support other moderate forces in Syria. Can he update the House on what progress the Government have made in identifying and co-ordinating with such forces I note that the Foreign Secretary stated that there had been no civilian casualties resulting from UK military action in Iraq and Syria. Can he outline to the House the steps taken before a strike is authorised to minimise civilian casualties and then after a strike has occurred to ensure any possible civilian casualties are investigated I pay tribute to the outstanding bravery and professionalism of the British military personnel who have carried out these early missions. When we all return to our constituencies over the Christmas break, and return to our families, these very brave men and women will be continuing to serve our country in difficult and dangerous circumstances. For this, they deserve our unflinching admiration and respect Of course, as the Opposition have consistently argued, military action could only ever be a part of the package of measures needed to defeat Daesh and end the Syrian civil war. The UK’s overriding priority has to be supporting a diplomatic agreement that unites the elements opposed to Daesh within Syria and paves the way for the departure of Assad. The first step to this is an agreement between the Sunni factions opposed to both Assad and Daesh I note the progress towards that achieved in Riyadh. There has been a lot of speculation about those talks, so can the Foreign Secretary inform the House how the groups that were invited to attend the talks were selected? Did the UK make representations to the Saudis as to who should be invited? In particular, were key Kurdish groups such as the Syrian Democratic Forces and the Democratic Union party present at the talks It was reported that the Salafist group Ahrar al-Sham pulled out of the Riyadh talks last week and was opposed to any peace talks with Assad. It was later reported that it had signed the agreement, so will the Foreign Secretary confirm the correct position? That group has an estimated 20,000 fighters. Will he also confirm whether those 20,000 formed part of the 70,000 figure the Government cited as being moderate forces opposed to Assad and Daesh The key test for the Riyadh agreement will be whether it facilitates meaningful peace talks and a ceasefire, as outlined at the second Vienna conference. I am pleased that the Foreign Secretary is optimistic about the possibilities for these talks. Will he confirm whether, following the Riyadh agreement, the Syrian opposition will have a common position and a single representative at these talks, or whether there will be distinct factions represented at the talks The original timetable was for a possible cessation of hostilities to coincide with the start of peace talks from 1 January. Does the Foreign Secretary still think this is achievable? Was there a clear commitment to this timetable from all the parties present at the Syria talks in Paris on Monday With so many different parties to the Syrian civil war, maintaining a ceasefire will be extremely complex. Have the Government explored the possibility of a UN resolution reinforcing the outline agreement, including the ceasefire, agreed at the second Vienna conference? Can the Government confirm whether they will seek a UN resolution to support any agreement that is reached between Syrian opposition forces and Assad Finally, I want to return to the humanitarian response and the millions of refugees in tents this Christmas. In Lebanon, nearly one in four of the population is a recent refugee from Syria. Jordan is hosting more than 1 million Syrian refugees. Around 340,000 refugees have been resettled in Germany. Just this week we saw Canadian Prime Minister Justin Trudeau welcoming the first of 35,000 refugees to be resettled in Canada by next October. And I was pleased to hear in Prime Minister’s questions today that the 1,000 refugees the Government had promised to resettle will be here in the UK by Christmas.
ParlaMint-GB_2015-12-16-commons.u196	I am grateful to the hon. Lady and she is right to highlight yet another recent example of Daesh’s cruelty. I do not think there is anything that this organisation is not capable of The hon. Lady asked about the focus of UK military activity. It is important that I emphasise that we do not do this independently as a national contingent. We are operating as part of a coalition. Our aircraft are assigned to CAOC—the combined air operations centre—which tasks them with whatever needs doing at the time, and this can literally be aircraft in the air being diverted to provide close air support to forces on the ground who are engaged in an action The hon. Lady asked about UK support for moderate forces. I am slightly confused by her question because the proposition put before this House two weeks ago was clear and narrow: it was about conducting airstrikes against Daesh in Syria. It was not about intervening in the civil war between the moderate opposition and regime forces. Different Members may have different views about the wisdom of taking such action, but at the moment we are very clear that that is not what the UK is engaged in doing I should also just clarify: the hon. Lady said I had said in my statement that there had been no civilian casualties. I cannot, of course, make that statement. What I said was that we have had no reports of civilian casualties arising from UK airstrikes The hon. Lady asked what steps we take to minimise the risk of casualties. The RAF has, of course, very strict rules of engagement—among the strictest of any air force in the world. The Defence Secretary explained to the House that he has created structures that give a high degree of direct control over targeting decisions, and we use standard NATO procedures for analysing battle damage and dealing with any allegations of civilian casualties or collateral damage I am grateful to the hon. Lady for her acknowledgement of the commitment of our 800 military personnel in theatre and her recognition of the sacrifice that their families in particular will be making this Christmas, spending it without their loved ones who are on active service Of course, this military action is part of a comprehensive strategy. I think we all understand in this House that we are not going to resolve this problem by military action alone. The Riyadh talks were an important step forward. It was the Saudi Arabians who brought the opposition together, using their convening power—the convening power of the King of Saudi Arabia as the guardian of the two holy mosques. No one else could have done that. What we have now is a new opposition grouping that includes a large number of representatives of the armed opposition on the ground, and it is a significantly more legitimate body than previous representatives of the opposition, which have tended to represent oppositionists who are outside the country and not directly engaged in the fighting In answer to the hon. Lady’s direct question: yes, the UK and other coalition partners provided the Saudis with lists of suggestions about who should be included. Ultimately, who was included in the invitation was their decision The hon. Lady asked me about the curious question of Ahrar al-Sham, and she is right to do so because there is a little ambiguity about its position. It attended the conference, it signed the declaration, but it did leave the conference before the end of it. But it has signed the declaration and we take it as bound by the commitments made in that declaration. For clarity, the figure of 70,000 opposition fighters that we have used does not include the Ahrar al-Sham forces. While not extremists like al-Nusra or Daesh, they are clearly not democrats in the sense that Free Syrian Army supporters are, so we do not include them in that figure The hon. Lady said I was optimistic about talks. I have to tell her that I am under no illusion that we still have a huge distance to go. We still have a chasm to bridge between ourselves on the one hand and the Russians and the Iranians on the other about the future of Bashar al-Assad, and that will be an issue for many of the oppositionists who are now engaging in this process In terms of Syrian opposition unity, the convening power of Saudi Arabia can do a great deal to deliver that. The conference last week was a great step forward, but I do not think anyone should imagine that there will not be disagreements within the Syrian opposition even as they confront the Syrian regime in face-to-face talks, and it will not be a single negotiator; a negotiating panel will be selected The hon. Lady asked about the ceasefire. It remains the clear intention of US Secretary of State John Kerry to try to get agreement on Friday in New York to a ceasefire. Frankly, that will be highly challenging, but I commend him for his ambition We are also holding this meeting on Friday in New York rather than Vienna specifically to be able to go immediately to the United Nations Security Council if it becomes clear during the morning that it is possible to reach an agreement that the Russians will not veto in the UN Security Council. So there is a possibility—I put it no higher than that—that Friday’s meeting will end with a UN Security Council resolution Finally, may I join the hon. Lady in commending the extraordinary effort and sacrifice of the people of Lebanon, Jordan and Turkey in providing refuge to so many of those fleeing the chaos in Syria, and taking this burden on unasked and without fanfare not just over the past few months, but for many, many years?
ParlaMint-GB_2015-12-16-commons.u197	May I join the Opposition in welcoming the Foreign Secretary’s update to the House, and join him in congratulating the Saudi Arabians on success last week in assembling that opposition group In relation to Ahrar al-Sham, what progress is there on the Jordanian task of identifying those Islamist groups that are going to stand outside the whole negotiation process between the Syrian Government and opposition forces? There have been long-standing disturbing reports of Turkish action, or inaction, on the Turkish-Syrian border that has served to aid Daesh. Now that the Foreign Secretary has identified Turkey as a like-minded member of the coalition, what reports does he have that action on that border is now firmly not in the interests of Daesh? Finally, turning to Iraq, he referred to the preparation of a Sunni police force for Ramadi; what progress is there on a Sunni national guard force around Anbar and on the national guard Bill in the Iraqi Parliament?
ParlaMint-GB_2015-12-16-commons.u198	On the Jordanian process, and the strand that is attempting to identify who should be considered terrorists, I spoke with my Jordanian counterpart on Monday evening. That work is progressing and all parties have fed in their views on the vast number of different groups. The Jordanians are currently seeking to distinguish those groups that have a significant number of fighters from those that comprise only one or two dozen people, and cross-referencing the views of the different coalition partners. That is work in progress On the question of the Turkish-Syrian border, I had a meeting yesterday with the US President’s special envoy, Brett McGurk, the successor to General John Allen, and we talked about this issue. He told me that there were clear signs on the ground that the Turks were moving to close the border along the 60-odd mile gap that remains open. That is very good news. On the question of the Iraqi national guard, the legislation to create a national guard, which we regard as important, is bogged down in the Iraqi Parliament. It is precisely for that reason that the rather pragmatic approach of creating an armed local police as a ground-holding mechanism in the absence of the ability to create a national guard has been taken.
ParlaMint-GB_2015-12-16-commons.u199	I thank the Foreign Secretary for giving me early sight of his statement. UK forces in theatre carry the admiration and support of those on these Benches I would like the Foreign Secretary to tell us more about three aspects of this issue. First, I welcome the new initiatives on finance and on information and propaganda. He said that the Chancellor would be going to the first ever meeting of Finance Ministers in the Security Council to pursue the Security Council resolutions. Does it not speak volumes that that is the first meeting to tackle the flows of finance, the financial institutions and the arms dealers without whom Daesh could not move a muscle or fire a shot? Will the Foreign Secretary assure the House that, after waiting so long for initiatives in this direction, these will be pursued as vigorously as are other elements of the tactics Secondly, the Foreign Secretary announced that a communications cell had been established. Can he tell us how many people—and how much money—have been devoted to intercepting, interrupting and counteracting Daesh propaganda? Given the extraordinary financial cost of military action, it would be of interest to the House to have that comparison between what is spent militarily and what is spent on countering Daesh’s poisonous propaganda Finally, on the subject of civilian casualties, I welcome the fact that the Foreign Secretary said that there had been no reported casualties as a result of UK action in Syria. However, he also knows that the UK-based Syrian Observatory for Human Rights has reported in the last few days that 26 civilian casualties have resulted from the action of the coalition of which we are part, including the reported deaths of seven children and four women. As the bombing moves into urban areas and city centres such as Raqqa, where I understand there has been no bombing by UK forces as yet, will he tell us by what means we will take forward the NATO protocols on investigating reports of civilian casualties, and how that will be reported timeously to this House and elsewhere?
ParlaMint-GB_2015-12-16-commons.u200	I thank the right hon. Gentleman, particularly for his comment on the commitment of UK forces to their task. This will be the first meeting of Finance Ministers in the Security Council, and I think that sends a very clear signal about the importance with which we regard the issue. It does not mean that no steps have been taken; many measures have been taken already. Financial sanctions are in place, and a financial flows working group, led by Bahrain, has been operating for a year now, but the fact that Finance Ministers of the key countries in the world are going to New York tomorrow to sit in the forum of the Security Council to pass further sanctions measures is an important symbol of our commitment to shutting down this channel of Daesh’s lifeblood. We regard it as extremely important. We saw, in relation to sanctions on Iran, that getting the financial sanctions right was at least as important as getting the sanctions on flows of physical goods right The right hon. Gentleman asked me about the communications cell. The operation of the cell necessarily encroaches into the area of the secret intelligence agencies’ work, so I cannot give him details of the resources available to it or of the number of people deployed in it, but I can tell him that it is already having a visible and measurable effect on Daesh’s communication channels. He also asked me about deaths resulting from coalition action. Of course, any civilian death is deeply regrettable. I was referring to deaths attributable to RAF action, and I believe that while the House will obviously be concerned about civilian deaths more widely, it will be on the question of RAF-caused civilian casualties that hon. Members will want to focus, and I intend to ensure that the House remains updated if the situation changes in respect of any reports of any RAF-caused civilian casualties Finally, the right hon. Gentleman asked me about the protocols for investigating civilian casualty reports as the campaign moves on. NATO has well-established protocols for investigating any incidents where CIVCAS are estimated to have occurred or where imagery suggests that there could have been collateral damage to civilian buildings, and it routinely publishes the outcome of those investigations.
ParlaMint-GB_2015-12-16-commons.u201	Recent discussions with Government officials on a visit to countries in the region confirmed that key questions remain unanswered about the Government’s strategy on combating Daesh, which remains the best-funded terrorist group in history. On the non-military side, why are hard questions not being asked of regional allies about the funding of donations to Daesh from within those countries? When it comes to oil, why are we not asking our regional allies not only to disrupt the flow of stolen oil heading north but to combat the end customers of that oil? Without a market, there can be no cash flow.
ParlaMint-GB_2015-12-16-commons.u202	My hon. Friend is right. We are focusing on all channels of funding to Daesh. He asserts again that it is receiving funding from within the region, and of course I cannot be certain that there are no channels of funding remaining open to Daesh from the region, but I am confident that none of the Governments in the region either contribute to or condone any such funding. On the question of the flow of oil, he well knows that that oil is being sold into a black market, and I am afraid that black markets are an inevitable consequence of any kind of embargo on the sale of goods. We are doing everything we can to interdict and disrupt the flow of oil and indeed to disrupt the flow of the proceeds of the sale of that oil. He will know that the scale of that production is small and that the means of transport are crude and sometimes even primitive, so it is difficult to disrupt that process to the extent that we would like. Bombing the wellheads so that the stuff cannot be produced in the first place is likely to be the most efficient way to do it.
ParlaMint-GB_2015-12-16-commons.u203	Following on from the comments of the right hon. Member for Gordon (Alex Salmond), is not the crucial difference that the RAF goes out of its way to avoid civilian casualties, while Daesh goes out of its way to destroy, kill and maim as many innocent civilians as it possibly can? As well as commending the professionalism and dedication of the RAF staff on the mission in the field, will the House also remember their families back home at RAF Marham, and at RAF Lossiemouth in Scotland, who will be without their loved ones this Christmas?
ParlaMint-GB_2015-12-16-commons.u204	I entirely agree with the right hon. Gentleman; he is absolutely right. The training and doctrine of the RAF and other NATO air forces are built around minimising the risk of civilian casualties. I am afraid that that is not the case with all air forces in the world and it is certainly not the case with Daesh.
ParlaMint-GB_2015-12-16-commons.u205	I warmly welcome the broad-spectrum initiatives that the Foreign Secretary has announced, all of which are designed to degrade and eventually destroy Daesh. Outstanding among them is the Saudi Arabian initiative relating to an Islamic military coalition, which seems to me to be the basis for a very good ground force for the future. It is quite right that we should not be involved in that in any shape or form, but does my right hon. Friend agree that we have some capabilities to offer, perhaps in the form of command and control, training or other things which would not involve British troops being on the ground in Syria but which could none the less make a useful military contribution to the success of that coalition?
ParlaMint-GB_2015-12-16-commons.u206	We have ruled out the use of UK combat forces in Syria, and indeed in Iraq, but we have not ruled out the provision of UK capabilities in support of combat forces provided by others. UK command and control, logistics, surveillance, and intelligence gathering and analysis could all provide a very substantial reinforcement to any troops that were deployed on the ground.
ParlaMint-GB_2015-12-16-commons.u207	Yesterday, I met people from the Waltham Forest Council of Mosques to discuss Daesh. They share the concern to tackle the threat it poses, but do have questions about the strategy. The Secretary of State said that failure was not an option, but will he set out for my constituents a bit more about what he means by either failure or success in our operations in Syria?
ParlaMint-GB_2015-12-16-commons.u208	For me, success is the destruction of Daesh. As I have said many times in this House, I do not delude myself into thinking that destroying Daesh will end the threat of Islamist extremism, but this particular iteration of it as a military force occupying territory has to be ended. The struggle to defeat the perversion of Islam that the Daesh ideology—the extreme Islamist ideology—represents will take much longer. It will be the struggle of a generation, and it is a struggle that must be led by Muslims themselves, reclaiming their religion from the extremists.
ParlaMint-GB_2015-12-16-commons.u209	I very much welcome the Foreign Secretary’s briefing and look forward to similar such briefings in the new year. As chairman of the all-party group on Kurdistan, I was wondering what feedback or briefings the Foreign Secretary has had, and what effect there has been on the morale and military capability of Kurdish peshmerga forces following these targeted UK airstrikes on both sides of the Syria-Iraq border.
ParlaMint-GB_2015-12-16-commons.u210	The Under-Secretary of State for Foreign and Commonwealth Affairs, my hon. Friend the Member for Bournemouth East (Mr Ellwood), was in Kurdistan yesterday and he reports that our action has boosted morale among Kurdish forces, as we would expect. In particular, what has been happening around Sinjar has considerably boosted morale and the strategic position of Kurdish forces. They are extremely delighted—there is no other word for it—about the decision this House made two weeks ago.
ParlaMint-GB_2015-12-16-commons.u211	In his statement, the Secretary of State said, “The majority of Russian air strikes continue to target Syrian opposition forces rather than Daesh.” Is it not clear that Russia’s priority is to protect the Assad regime? Does it remain the position of the British Government that Assad cannot be part of any solution to the Syrian crisis?
ParlaMint-GB_2015-12-16-commons.u212	I long since gave up using the word “clear” to describe anything about Russian policy, because it is anything but clear—it is always opaque. We simply do not know what the Russian strategy is. We do not know what Russia’s objectives are, and my assessment is that most people in the Russian system do not either; perhaps Mr Putin has in his head an idea about what the end game is. What I do know is that some 75% of Russian airstrikes are being conducted against people whom we believe have to be part of the solution to the Syrian problem, not against Daesh, which we are very clear is the enemy.
ParlaMint-GB_2015-12-16-commons.u213	I welcome the emphasis on a political solution and possible ceasefire in Syria. Given the growing strength of Daesh in Libya, can my right hon. Friend tell us how we might get political progress in Libya? Are there military consequences of that growing concentration?
ParlaMint-GB_2015-12-16-commons.u214	As they say, I am glad that my right hon. Friend asked me that question, because it just so happens that a signing ceremony is planned for tomorrow in Morocco, at which it is hoped by the UN special representative, Mr Martin Kobler, that a majority of the House of Representatives and a significant number of members of the General National Congress will sign an agreement creating a Government of national accord. If that happens tomorrow, the western countries and the Gulf countries will swing behind that Government of national accord and will look to build their capability as soon and as quickly as possible, so that we can start to work in Libya to contain the threat that Daesh now clearly represents in that country.
ParlaMint-GB_2015-12-16-commons.u215	With the escalation of the UK’s role in the conflict, the Department for International Development should form a central part of the planning processes to ensure that the humanitarian situation in Syria does not deteriorate. How will the Government ensure that coalition military operations do not worsen the conditions faced by civilians in Syria or negatively affect DFID’s capacity to deliver humanitarian assistance?
ParlaMint-GB_2015-12-16-commons.u216	DFID does do precisely what the hon. Lady has suggested, but of course the lion’s share of DFID work is concentrated on supporting refugees who have left the country. We face issues associated with getting supplies into Syria to support refugees, and one crucial strategic area is the relatively small corridor along the Turkey-Syria border that still remains open to international traffic. Securing that and making sure it remains open is a key objective of coalition forces, for humanitarian reasons.
ParlaMint-GB_2015-12-16-commons.u217	May I warmly applaud the new impetus that has been given to the diplomatic approach and say how delighted I am that the UK is playing such a prominent role, led by my right hon. Friend the Foreign Secretary to boot? The role being played by Saudi Arabia is also to be welcomed. In his statement, he set out the details of the strikes by the RAF that have taken place in Iraq, but he did not mention what has happened in Syria. Given that the application of the dual mode Brimstone was such a key difference between us and other coalition partners, can he set out how many strikes have taken place in Syria with the dual mode Brimstone or give us more detail on other strikes that have taken place?
ParlaMint-GB_2015-12-16-commons.u218	As my hon. Friend well knows, those are operational details that I cannot give more detail on. As I said in response to the Opposition spokesman, the UK forces are committed to the combined air operations centre, which tasks aircraft from coalition countries with whatever task is in hand. The analysis of strikes carried out by the coalition is done by CAOC and in due course—in the new year, I believe—it will release those figures.
ParlaMint-GB_2015-12-16-commons.u219	Does the Secretary of State ever tune in to the Airwars website? If he does, he will see its estimate of between 660 and 970 civilian casualties in the last 15 months of operation in Iraq and Syria. Will he please send an official from the Foreign Office to discuss with people from that website the definition of a “non-combatant”—a civilian—casualty and work that out, so that this House may know the truth about how many civilians are dying in Iraq and Syria as a result of our actions?
ParlaMint-GB_2015-12-16-commons.u220	The hon. Gentleman put a slight caveat in his question in the last few words when he said “as a result of our actions”. Of course he is absolutely right to say that civilians are dying in Iraq—they are dying at the hands of Daesh and they are dying as a result of ongoing conflict across the country. Our commitment is to ensure that civilian casualties arising from the operations of the RAF are minimised or, ideally, avoided altogether, and I am sure that we are doing an excellent job.
ParlaMint-GB_2015-12-16-commons.u221	Will you send an official?
ParlaMint-GB_2015-12-16-commons.u222	I do not know the website that the hon. Gentleman is talking about and I cannot commit a Foreign Office official to go to talk to a website. We have to use proper, official definitions of civilian casualties, co-ordinated through CAOC.
ParlaMint-GB_2015-12-16-commons.u223	I join my right hon. Friend in welcoming the 34-nation coalition formed by Saudi Arabia to defeat terrorism. Will he urge all middle east states, whether Shi’a or Sunni, to get behind this military Islamic alliance to defeat Daesh, because stability in the region also requires bold but much-needed steps towards a Sunni and Shi’a reconciliation?
ParlaMint-GB_2015-12-16-commons.u224	I certainly agree with my hon. Friend on that. The Sunni-Shi’a division in the middle east, which is a relatively new phenomenon to the politics of the region, is unhelpful and, ultimately, destabilising. I am assured by my Saudi Arabian counterpart that the initial 34 nations that have announced their membership of this coalition is not an exclusive list and that other countries are considering joining. I very much hope that further countries will join, giving it the broadest base and the greatest legitimacy possible.
ParlaMint-GB_2015-12-16-commons.u225	I remain deeply concerned about the lack of progress on civilian protection inside Syria, much of which is being perpetrated by the Assad regime. Does the Secretary of State agree that ending Assad’s indiscriminate use of barrel bombs is a key confidence-building measure that should be prioritised alongside efforts towards a formal ceasefire? Should a ceasefire not be delivered on Friday, may I urge him to look again at other measures to protect civilians, including putting in place no-bombing zones. Will he also reconfirm the Government’s unequivocal commitment not to have truck with anyone—including the hon. Member for Uxbridge and South Ruislip (Boris Johnson)—who says that working with Assad’s forces is a compromise that we should be willing to make? That would be not only morally wrong, but counter-productive given that Assad is Daesh’s biggest recruiting sergeant.
ParlaMint-GB_2015-12-16-commons.u226	As I said in my statement, the US Secretary of State aspires to deliver a ceasefire as an outcome of Friday’s meeting, but even he recognises that that is ambitious. We are also very focused on confidence-building measures, which do not go as far as a ceasefire, but are likely to be more readily achievable. They include an end to the use of indiscriminate weapons in civilian areas, an end to the bombing of hospitals and medical facilities and a guarantee of humanitarian access to besieged areas on both sides of the conflict. The hon. Lady asked me whether we would consider alternative methods of protecting the civilian population, with specific emphasis on no-bomb zones. We have looked extensively at that, and much military effort has gone into analysing what is and what is not possible. I am afraid that the analysis is that it will not be something that is practical to deliver in the absence of forces on the ground, and, as she knows, we have no intention of committing forces on the ground I want to pick up on the point that the hon. Lady made about Assad. The reason we say that Assad can play no part in the future is not just to do with a sense of moral outrage about what he has done. We all want to end the killing and, despite what has happened in the past, if I thought that that would bring an end to the killing more quickly, I would look at it, but it will not. We will not get a ceasefire, an end to the civil war and all the guns in Syria turned on Daesh until Assad has gone.
ParlaMint-GB_2015-12-16-commons.u227	Does my right hon. Friend agree that when one sups with Vladimir Putin, one needs a very long spoon? It is very dangerous for some of our European colleagues to say that his involvement in this battle is somehow helpful and that we should reconsider sanctions against him. Will he confirm that that is not the view of the Government?
ParlaMint-GB_2015-12-16-commons.u228	The Government have been clear that anyone who genuinely wants to take part in the fight against Daesh is welcome to join the coalition and to do so, but what the Russians have done so far is, at best, ambiguous. Yes, they have bombed Daesh positions. Although the percentage of Russian airstrikes targeting Daesh has increased since the loss of the Russian aircraft over Sinai—which was almost certainly due to a Daesh-inspired or planned bomb attack—they are still only about 25% of the total of their airstrikes. The remainder are targeted at the moderate opposition, and that is, to put it mildly, deeply unhelpful.
ParlaMint-GB_2015-12-16-commons.u229	The Minister referred in his statement to a coalition of 70,000 troops to defeat Daesh. The coalition is very diverse, with groups having different goals, ambitions and strategies. Will he update the House on how that coalition army is coming together? Who will lead it? How is its training going, and has it got the crucial equipment?
ParlaMint-GB_2015-12-16-commons.u230	As we covered quite extensively in the debate two weeks ago, this is not a single army; of course it is not. There are diverse groups fighting the opposition. We have identified approximately 70,000 fighters whom we regard as within the pale in the sense that they have objectives with which we can broadly associate and that they are people with whom we are broadly prepared to work. As I set out in my speech closing that debate two weeks ago, the way we envisage this working is through an end to the civil war, thus creating a legitimate Government in Syria, which the international community can support with training, intelligence, surveillance, reconnaissance, weapons, ammunition and command and control support. The Syrian army, thus legitimised, will work alongside these various other militias going after Daesh to finish the job of reclaiming the territory of Syria. That is the outcome that we seek.
ParlaMint-GB_2015-12-16-commons.u231	Daesh is on the back foot in Iraq. Sinjar has been liberated and, as we speak, Iraqi forces are fighting street by street in the liberation of Ramadi. There have been some very good and positive outcomes with the return of the Sunnis to Tikrit, but there have been some greater challenges around Diyala, and there is a real need for a strong political push for post-conflict co-ordination in that country. We have a strong ambassador who is respected by all parties. Will the Foreign Secretary commit to us taking a lead on that post-conflict co-ordination in Iraq to safeguard the Sunni return?
ParlaMint-GB_2015-12-16-commons.u232	We have been doing just that. As my hon. Friend says, we have considerable influence in both Baghdad and Irbil. The problem is that some of the steps that need to be taken to create an environment in which the Sunni population in Iraq feels comfortable and as if they are fully fledged citizens of the country are blocked in the Iraqi Parliament. They are being blocked for a variety of reasons, some of which are to do with the basis of power politics rather than issues of high principle.
ParlaMint-GB_2015-12-16-commons.u233	Does the Foreign Secretary agree that Vladimir Putin must choose whether he wants his country to remain a respected member of the UN Security Council, or to continue down the road towards being an international pariah and rogue state? If Russia chooses the latter path, do the UK and coalition partners have the steel to ensure that it does not profit in any way from its flagrant abuses in the region?
ParlaMint-GB_2015-12-16-commons.u234	I want to answer that question carefully. I have said before in this House that, while I deplore many things that the Russians do, I do not believe that Russia is soft on Daesh. Russia and President Putin recognise a threat from Daesh to Russia, which is at least as great as the threat from Daesh to the west. Russia has 13 million Sunni Muslims living inside the borders of the Russian Federation. What we disagree about is methodology. Mr Putin would say, if he were here to answer the question, that he is going about defeating Daesh in the way that he believes will be most effective. We fundamentally disagree with him for the reason that I explained to the hon. Member for Batley and Spen (Jo Cox), which is that unless and until Assad is gone, we will not get a reconciliation in the Syrian civil war and we will not get all Syrians turning their guns on Daesh.
ParlaMint-GB_2015-12-16-commons.u235	The fellow may have some difficulty securing election in a UK constituency by the recognisably democratic methods that we favour, but I know what the Foreign Secretary was saying. I call Mr David Tredinnick.
ParlaMint-GB_2015-12-16-commons.u236	My right hon. Friend has referred at some length to the challenges presented by Russia, but does he not agree that there are now also huge opportunities? A very good example is the co-operation we saw yesterday with Tim Peake going into space. Does he recall that, 24 years ago, another British cosmonaut, Helen Sharman—she was known as the woman from Mars, because she worked for the Mars confectionery company—went up in space, and the former Member for the Western Isles, Calum MacDonald, and I were there to see it at the Baikonur cosmodrome? Does my right hon. Friend not agree that, overall, it is now in the British national interest to have better relations with Russia, and that if he wants more co-operation at the UN, it would be a good idea to look again at the Russian-Ukrainian situation?
ParlaMint-GB_2015-12-16-commons.u237	Yes, clearly those are two separate situations, and we are not trading them off. Russia must comply with its international obligations in relation to Ukraine. It must remove its troops from the territory and comply with its obligations under the Minsk agreement. It must also decide whether it wants to be part of the international coalition against Daesh, or whether it is pursuing other objectives by its own methods.
ParlaMint-GB_2015-12-16-commons.u238	It is right that the Foreign Secretary has come to the House to make his statement today, and it is right that hon. Members across the House pay tribute to the inspiring commitment of our armed forces and their families; but on the subject of commitment, does he think it a little strange that we keep hearing the Government berate other countries for their lack of commitment on aid for Syria, when our commitment to refugees has been so very poor? Does he think that it would improve our diplomatic commitment if we gave a little more sanctuary to just a few more people?
ParlaMint-GB_2015-12-16-commons.u239	No. As I have said before, we are clear that the best way to support most refugees is by providing the aid that they need for the food programmes, healthcare, shelter and education for their children, to enable them to remain in the region until the conflict is over and then to return to their homes to rebuild their country and be part of Syria’s future. We have said we will accept for resettlement those who are especially vulnerable, as defined by the UN. They are the most vulnerable refugees, requiring extensive support once they arrive here, and we are proud to have resettled 1,000 of them by Christmas.
ParlaMint-GB_2015-12-16-commons.u240	My right hon. Friend has reassured us that President Assad cannot be part of the long-term solution. Will he advise us whether all necessary parties, including the Assad regime, are co-operating with the political process, which is so important alongside military action?
ParlaMint-GB_2015-12-16-commons.u241	The Assad regime has said that it has selected its negotiating team and is ready to meet the Syrian opposition on a no-preconditions basis. Of course that assertion remains to be tested, but the regime has indicated that it is willing to engage in those discussions. As in many things around the conflict, in the end the attendance of the Syrian team at the talks will depend, I am sure, crucially on a phone call from Moscow.
ParlaMint-GB_2015-12-16-commons.u242	Order. I was going to call the hon. Member for Hyndburn (Graham Jones), but I wish to be assured that he did not leave the Chamber at any stage.
ParlaMint-GB_2015-12-16-commons.u243	I just nipped to the gentleman’s—
ParlaMint-GB_2015-12-16-commons.u244	Very well; I will not inquire further into the hon. Gentleman’s domestic arrangements.
ParlaMint-GB_2015-12-16-commons.u245	I am grateful to the Foreign Secretary for a welcome statement. He talks about defeating Daesh and, of course, all the financial implications, but as we see in Afghanistan, ISIS is now recruiting in 24 of the 39 states. It is transferring money clearly from the oilfields of Syria and Iraq to fund that campaign and paying some of its soldiers—the foreign fighters— $600 a month, and it has now got trained divisions in Afghanistan and has declared war on the Taliban. What is the Government’s assessment of the situation in Afghanistan, and what does he think ought to be done to defeat Daesh?
ParlaMint-GB_2015-12-16-commons.u246	Whatever the hon. Gentleman’s issues, after the 11-and-a-half-hour Syria debate, it is not a problem that any of us think you share, Mr Speaker. I am grateful to the hon. Gentleman for his question. There is evidence of Daesh penetration in many countries, including Afghanistan. What we have to do in Afghanistan is to continue to support the Government, as we and the international coalition have done, to fund the Afghan national police and the Afghan national army to resist the attempt to create a new caliphate, and we will find that happening elsewhere. We need to be clear about this; it will pop up in other countries as well, and we need to be ready to respond to it, wherever it arises.
