ParlaMint-GB_2015-09-09-commons.u1	We begin today with speeches to mark Her Majesty the Queen becoming our longest serving monarch.
ParlaMint-GB_2015-09-09-commons.u106	rose—
ParlaMint-GB_2015-09-09-commons.u107	rose—
ParlaMint-GB_2015-09-09-commons.u108	I will give way first to my hon. Friend the Member for Gloucester (Richard Graham).
ParlaMint-GB_2015-09-09-commons.u109	The UK has a good track record in providing match-funding for good causes to help people in disaster zones. Would she consider arranging for match-funding for a new vehicle which would be available to everybody in the UK who wants to donate specifically to help Syrian refugees settle in this country?
ParlaMint-GB_2015-09-09-commons.u110	My hon. Friend has put an interesting and brand new idea on the table. I am sure it will not be the only proposal that we hear in the debate today. I will take all of them back and look carefully at the art of the possible to see what we can do and how we can knit together, as we already do in many other humanitarian responses, the amazing generosity of the British people with the work that the UK Government are doing, often with NGOs, to provide the support that we seek to give We need a step change in the way that the international community supports refugees. We must recognise that the existing model for crisis funding supports short-term need but not protracted displacement. What that means in practice is that we see food, life-saving medical support and shelter understandably prioritised. What is left out of that UN work when it is only half-funded is education for children, work on helping to provide skills for young men so that they have the prospect of a successful livelihood ahead of them, and the work needed by host communities, which may see their populations double. The UK is focused on providing a lot of support in that vein. The problem is that it cannot be done at scale when UN appeals are as underfunded as the present one is. That, I am sorry to say, is symptomatic of other appeals for which the UN does not have appropriate funding We must look down the line at the challenges that we will face. Even today, we heard the President of the European Commission talking about the need for stepped-up EU activity to address the wider root causes of the refugee crisis by fighting poverty, improving governance and helping to support sustainable growth.
ParlaMint-GB_2015-09-09-commons.u111	My right hon. Friend encapsulates the general thinking of the country that that requires an international response. She is right to make that point. Given her historical and contemporary interest in Syria and the policies of President Assad, can she advise the House what steps Russia is taking to alleviate the crisis?
ParlaMint-GB_2015-09-09-commons.u112	I have set out the fact that the US and the UK, alongside other nations, have led on the humanitarian front. It is less clear what humanitarian role Russia is playing. We were pleased when we finally achieved consensus on the UN Security Council to pass a resolution on cross-border access for humanitarian supplies from countries such as Turkey into parts of Syria. That required Russia’s co-operation. It took some time to get it, but it was absolutely vital in enabling us to make progress. The key now—my hon. Friend alluded to this—is getting a political solution. The work that my Department does tirelessly every day is aimed at dealing with the consequences of the failure to do that. Ultimately, we will need a longer-term solution to the crisis if we are ever to see an end to the kind of suffering we have seen in the region—I have seen it myself—over the past four years.
ParlaMint-GB_2015-09-09-commons.u113	Will the Secretary of State give way?
ParlaMint-GB_2015-09-09-commons.u114	I will give way, but then I must make some progress, because many Members wish to speak.
ParlaMint-GB_2015-09-09-commons.u115	I congratulate the Secretary of State on the work she has done. Are we providing any support to the people who have been displaced and are trying to reach the refugee camps so that they do not have to use smugglers and other criminal organisations?
ParlaMint-GB_2015-09-09-commons.u116	Helping anyone inside Syria is incredibly difficult, which is one of the reasons I paid tribute to the work of the World Food Programme. We have seen the kinds of risks that humanitarian workers face while trying to get on with the amazing job they do. Some of them, including from Britain, have paid the ultimate price and lost their lives. The help that we can give kicks in the minute we get to people We have also worked with countries such as Jordan and Lebanon, which understandably have concerns about how they can cope with the huge influx of people across their borders and into their communities. I would like to put on the record my thanks to the people of Jordan and Lebanon, who have seen their communities literally double in size, but they have provided incredible generosity of spirit and support. That is why we are right to support those host communities, given the sheer number of refugees they have had to deal with in recent years Our response to this highly complex crisis has had to evolve. As the humanitarian situation has deteriorated, we have scaled up the UK’s support—it increased fivefold from 2012 to 2014. When it began, our planning with UN agencies related mostly to the logistics of putting in place the supply chains to get the food, water, shelter and medical support to the flow of people coming out of Syria. Then it was about ensuring that they could get through that first winter, which meant providing the kind of shelter required for moving from searing summer temperatures to very cold winter temperatures We then turned our attention to the challenge of educating the children affected by the crisis, for example by getting them into local schools. Over half of all registered refugees are children. In 2013, alongside the UN and the then EU Commissioner, Kristalina Georgieva, I launched the “No Lost Generation” initiative, which aims to provide the resources needed to help schools in Jordan and Lebanon cope with the double shifts they are having to put on. We have already allocated £111 million to help provide not only education, but protection and psychosocial support for the children affected by the crisis. I have talked about the need, ultimately, for a political solution. I have talked about how hard the UK has worked, and will continue to work, on the UN Security Council to ensure that we can get on with delivering humanitarian support and, in time, play our role in reaching a political solution. I have talked about my visits to the region and the shocking things I have seen at first hand As has been noted, the evolving nature of the crisis has meant that our support closer to home has also had to change. A significant number of Syrians have now left the region. The last time I visited the Zaatari refugee camp, I met a man who only the night before had been texted images of his restaurant in Damascus, which had just been bombed. People see their prospects change in an instant and, like anyone else, reassess how to deal with the next stage of their lives In response to that, the Prime Minister announced on Monday that we will expand the Syrian vulnerable persons relocation scheme and resettle up to 20,000 additional Syrians who need protection over the lifetime of this Parliament. We have been very clear that we have come up with an overall number and are working hard to ensure that it is not only effectively targeted, but measured, so that we can cope with the number of people coming here and provide the kind of support they will need.
ParlaMint-GB_2015-09-09-commons.u117	Will the right hon. Lady give way?
ParlaMint-GB_2015-09-09-commons.u118	I will give way, but then I absolutely must make some progress.
ParlaMint-GB_2015-09-09-commons.u119	Will the right hon. Lady tell the House how the Government arrived at the figure of 20,000? Other European Union countries are using a formula that is broadly based on GDP, population, the unemployment rate and the number of applications already processed, which seems a reasonable way of proceeding.
ParlaMint-GB_2015-09-09-commons.u120	We have tried to arrive at a figure that means we can have an impact and ensure that we are playing our role, but also one that we have a clear sense we can deliver. Already a number of local authorities have generously come forward and said that they want to play their role, and no doubt we will have discussions with the devolved Administrations in the coming weeks, which I very much welcome. The right thing to do now is ensure that we can deliver on our level of ambition. We are getting on with that not just in the work that is being done domestically, led by the Home Secretary and the Secretary of State for Communities and Local Government, but in the work we are doing on the ground with the UNHCR. We are helping the most vulnerable and needy people still in the region, many of whom could never make the kinds of journeys that others have made. We are identifying the people who most need help and assessing what packages of support will be needed if they are to be relocated to the UK.
ParlaMint-GB_2015-09-09-commons.u121	Will the Secretary of State give way?
ParlaMint-GB_2015-09-09-commons.u122	I will of course give way to the hon. Gentleman, whom I welcome to his new role as Chair of the International Development Committee.
ParlaMint-GB_2015-09-09-commons.u123	On Sunday the Chancellor of the Exchequer spoke about the funding for refugees settled here in the first year coming out of official development assistance, so it is not something new. Can the Secretary of State clarify that the Government are not proposing any change in the existing rules with regard to the ODA applicability of refugees who resettle here?
ParlaMint-GB_2015-09-09-commons.u124	Yes, I can. It recognises the fact that many of the host communities are in Lebanon and Jordan, and we are right to support them, but when refugees come here, there is an impact on our communities as well, so we should also use the aid budget, appropriately and within the rules—they are there precisely to enable this to happen—to provide support to communities here. I have talked about the need to work with local authorities. We should recognise that many of the refugees that our communities will be welcoming have been through very traumatic experiences, so we need an overall package of support to ensure that that works for everyone concerned. We know that the refugees will require a whole range of services, including healthcare, housing and education. We will stay within the ODA rules so that, quite sensibly, we can use the aid budget to fund such costs I think the House should be proud that the UK has delivered on its promise to spend 0.7% of gross national income on development assistance. We are seeing why that was the right thing to do, and why it was right that we enshrined it in law. I think that we are seeing how problems far away in another country can seem like they have nothing to do with us, but in the end they do.
ParlaMint-GB_2015-09-09-commons.u125	For 40 years UK Governments signed up to the 0.7% pledge and missed it, and that totals about £90 billion-worth of spending that could have helped prevent many humanitarian disasters. We congratulate the Government, but they keep pressing this point, yet they have only very recently met this target, so we need to continue to see action.
ParlaMint-GB_2015-09-09-commons.u126	As I said, I am proud that we have now met that target. I would urge the hon. Gentleman to put as much passion as he put into his intervention into going to other countries around the world and pressing them to do the same. It is incredibly important that Britain does not stand alone among the major economies of our world in meeting the 0.7% target. As he says, we need to think not only in the short term to tackle the impact of the humanitarian crisis in our midst because of the Syrian conflict, but in the long term The best way to protect against poverty and instability is through development—through people having countries that offer them opportunity and the potential to get on with their lives and feel like they can make a future for themselves, and their families in security and safety. That means growing up in countries that have the kinds of institutions that we have, such as our Parliament, where disagreement and debate happens in a democratic way and people have choices over their future. Alongside everything we have talked about today, the UK works on that every day of the week in very many countries. Later this month, we will sign off on the next set of global goals for the next 15 years, which we hope can eradicate extreme poverty once and for all. We should all be proud of the UK’s work in leading that effort. Whatever our debates on the details of how we respond to complicated crises month by month, I hope that we can continue to have consensus across the House on the 0.7% target and on Britain continuing to play its role in responding to the crises that we see around the world and in driving development.
ParlaMint-GB_2015-09-09-commons.u127	Order. There are 26 Members seeking to catch the Chair’s eye, so we are going to impose a 10-minute limit on speeches after the shadow Secretary of State has spoken.
ParlaMint-GB_2015-09-09-commons.u128	I rise to support the motion. I very much welcome the spirit in which the SNP has sought all-party support for it. The hon. Member for Moray (Angus Robertson) made a very powerful speech. Like him, I hope that the motion will win the support of the Government It is right that the House is debating how Britain should respond to this crisis, which, as we have heard, has been described as the largest movement of refugees since the second world war. But what is the reality? The reality is mothers and fathers and children, brothers and sisters, forced by bloody conflict, their homes and their schools destroyed, their relatives killed, to flee from the land in which they were born, to seek help from the kindness of strangers. From Syria, hundreds of thousands of people are trying to make their way to safety in Europe, taking to dangerous and overcrowded boats, climbing over fences that have been erected to keep them out, queuing outside stations and then, despite desperate exhaustion, walking mile after mile along roads and railway lines to try to reach a new life in a new country They do this for one simple reason: they are desperate. Everything they had and knew has been destroyed. They see no hope, no future, no life. Deep down, every single one of us in this Chamber today understands, because it is exactly what we would do if those we loved were confronted by the same horror. Human beings will brave many dangers because the human urge to survive is strong and when we see people in these circumstances, our human urge to help is just as strong. It is, after all, our moral obligation, especially when we know what others are doing; Germany and Sweden, in particular, have already been mentioned. The fact that we are not in Schengen does not mean that we should opt out of our responsibility to stand shoulder to shoulder with our European friends and allies in playing our part. I say this to the Secretary of State: why is a child who has made the same perilous journey that claimed little Alan Kurdi’s life and is now in Greece any less deserving of our help than a child in a Syrian refugee camp? We should help both, and it is a false choice to argue otherwise As always happens in war, it is the neighbouring countries that bear the greatest burden. There are nearly 2 million refugees in Turkey. Jordan has seen its population increase by 650,000. Lebanon’s population has increased by 1.2 million, or 25%. That is equivalent to the United Kingdom taking in 16 million people. Let us compare that with the number of refugees we have actually taken from Syria under the UN vulnerable persons relocation scheme thus far: 216. Britain has given very considerable help in humanitarian aid to these countries; we are the second most generous donor in the world. I pay tribute to the Secretary of State and to the Government for everything that they have done. It has been as exemplary as the Government’s initial refusal to take in a share of refugees, saying that we had done enough, was profoundly mistaken. Like my right hon. Friend the Member for Normanton, Pontefract and Castleford (Yvette Cooper), the shadow Home Secretary, I genuinely welcome, as did the hon. Member for Moray, the Government’s change of heart But we have to turn that commitment into practical steps that will help change people’s lives, and do so now, because the crisis is now. The families here in Europe need somewhere to live, somewhere for their children to go to school, and the chance to make something of their lives now, not in four years’ time. That is why the question of how quickly we can fulfil the commitment that the Government have made is so important. Four thousand people a year, dividing 20,000 by five, is not enough. As my right hon. Friend said yesterday, there needs to be a plan for how we are going to take in those refugees, and it should include people who are already in Europe.
ParlaMint-GB_2015-09-09-commons.u129	I confess that I fail to understand the logic of the right hon. Gentleman’s argument. There are schools, hospitals, doctors and all the social infrastructure in the rest of the European Union; that is not a unique preserve of the United Kingdom. On what logic does he base his argument that when these people have found places across the continent of Europe, they should merely use that as a stepping-stone to come to the United Kingdom? Those European countries can provide succour just as well as we can.
ParlaMint-GB_2015-09-09-commons.u130	I say in all honesty to the hon. Gentleman that it is about playing our part, including by taking those who have sought shelter in Europe and those who are still in the camps in the region. It is about doing our bit. It is not a competition between providing the generous help that the Government have given in humanitarian aid and providing help and succour to those, in particular, who have made such a perilous journey.
ParlaMint-GB_2015-09-09-commons.u131	I greatly admire the Prime Minister’s attempt to help the maximum number of people in this desperate position in the fallout from the Syrian war. The amount of money that he is spending to help as many people as possible is a huge credit to our country. But I also admire the fact that he clearly understands that there are hundreds of millions of people in impoverished states in the middle east and north Africa—some, yes, in the grip of war—and realises that if we say to hundreds of millions of people, “Europe is open,” at some point Europe will have to close, and before that point we will lose thousands more people in the Mediterranean and lose the emphasis that he has put on looking after people properly in the areas where they are, which is what we have to do. It is a scandal that the international community is not doing enough to look after these people.
ParlaMint-GB_2015-09-09-commons.u132	I shall address directly the hon. Gentleman’s point about the wider challenge of the movement of human beings around the globe, because he is right to raise it and it is important that we consider it. However, the specific question I am addressing in this part of my speech is what we do now to help those who are fleeing Syria, including those who have made the perilous journey to our shores.
ParlaMint-GB_2015-09-09-commons.u133	Does my right hon. Friend agree that citing the possibility that hundreds of millions of people may be on the move as an argument against taking our fair share from the current migrant crisis is dishonest and an argument for doing very little, possibly nothing at all?
ParlaMint-GB_2015-09-09-commons.u134	I agree with my hon. Friend, who makes the point that this debate is about taking our fair share. The Government have moved to acknowledge that, which I welcome Tomorrow my right hon. Friend the Member for Normanton, Pontefract and Castleford will meet representatives of local authorities, and we now hear that the Government will meet representatives of the Local Government Association on Friday. If we are going to take on this responsibility, which we should, it is important that all of us, including Parliament and all local authorities—not just some—and charities, voluntary organisations and communities do our bit and play our part in making this happen Picking up on the point made by the International Development Secretary, we also need to persuade other countries to play their part in giving their share of humanitarian aid. The United Nations has warned about lack of funding for essential supplies. In July the World Food Programme—I echo every single word the International Development Secretary said about that extraordinary organisation, with which I too had the privilege of working when I held her position—announced that it had halved the value of the food vouchers being given to Syrian refugees in Lebanon because it does not have enough money to continue giving as much as before. The United Nations High Commissioner for Refugees reports that ration cuts, lack of electricity and people who are sick and cannot get treatment for themselves or their children are reasons given by refugees for making the journey to Europe Although we are understandably focusing on Syria today, as we speak another hidden humanitarian catastrophe is unfolding in Yemen, where according to the International Committee of the Red Cross just under 13 million people are food-insecure and 500,000 children are severely malnourished.
ParlaMint-GB_2015-09-09-commons.u135	As my right hon. Friend knows, I am one of three Members who were born in Yemen, and as chair of the all-party group on Yemen for a number of years I have been very concerned about the situation. Does he agree that it is extremely important that none of the aid that will be spent here as a result of the Syrian refugee crisis should be diverted away from Yemen at this critical time in its history?
ParlaMint-GB_2015-09-09-commons.u136	I agree with my right hon. Friend, who is very knowledgeable about that country. I am sure that is the Government’s position. The practical problem in relation to aid to Yemen is access. Concerns have been expressed that some of the aid is being used for purposes connected with the nature of the conflict. Humanitarian aid should be given to people on the basis of need, not on the basis of which side of the conflict they happen to be on or find themselves on because of where they happen to live at any particular moment I say to the Government that Britain’s proud record on humanitarian aid gives us particular authority, which I know the International Development Secretary uses, to speak out and urge other countries to do their bit. We cannot run the international humanitarian system on the basis of insecure and intermittent funding. That will not work.
ParlaMint-GB_2015-09-09-commons.u137	My concern is that if we are to speak with authority and ensure that the support these families need is delivered, the process needs to be ongoing. We need sustainable, ongoing community support for people who are traumatised, who need language skills and who need school places. That is vital and all Members on both sides of the House need to support local authorities.
ParlaMint-GB_2015-09-09-commons.u138	The hon. Lady is absolutely right. The Government will use the international development budget, as the official development assistance rules allow, in the first year to support local authorities, but she raises the question of what will happen the following year. I have no doubt that one of the first questions local authorities will ask Ministers when they meet will be, “If you’re going to help us in the first year, how are we going to sustain that support?” Every one of us knows the extraordinary pressure that local authority budgets are under Turning to the cause of the crisis, the Prime Minister was right to say that it will be solved only when peace and stability return to Syria. Despite considerable efforts, no progress has been made and yesterday the UN envoy, Staffan de Mistura, said there was no more time for a long political process, and he is right. He urged Saudi Arabia and Iran finally to start talking to each other, as Russia, the United States and other countries are doing. We need an urgent diplomatic effort, under the auspices of the United Nations, to work out a future for Syria. It is time that Syria’s neighbours started trying to solve the conflict instead of continuing to fuel it. They should also discuss—I understand that this is extremely difficult in Syria—whether it is possible to establish safe havens to help those who are fleeing violence, and they should talk about the humanitarian funding crisis that we have just discussed We also have a responsibility, as part of the international coalition, to defeat ISIL/Daesh, politically and militarily, and to confront its brutal ideology. We should be unashamed in proclaiming our values of openness and respect for others in direct opposition to its brutality and ignorance, which have forced so many people to flee for their lives. One of the best ways in which we can give expression to the best of British values is to welcome and take in those who have fled, because we have a long and honourable tradition as a nation of giving shelter to those fleeing further persecution.
ParlaMint-GB_2015-09-09-commons.u139	I thank my right hon. Friend for allowing me to intervene. What really concerns me is that within Syria there are huge numbers of would-be refugees. In my experience people who have no resources whatsoever, who are traumatised and terrified and who are being beaten up and killed are stuck. It is our duty, as the shadow Secretary of State has said, to sort out what is happening on the ground in Syria as part of an international effort.
ParlaMint-GB_2015-09-09-commons.u140	I agree with the hon. Gentleman, who has great experience in these matters and is a true humanitarian. We need to put as much effort as possible into putting pressure on those who hold in their hands the future of this conflict and its resolution I want to reflect on what else this crisis and the wider points it raises tell us. It shows us that the Dublin agreement, which says that people entering Europe should seek asylum in the first country in which they arrive, and the Schengen agreement, which allows free movement but does not apply to the United Kingdom, are both creaking at the seams. It is unsustainable—this was the argument I made to the hon. Member for North Dorset (Simon Hoare) when he intervened earlier—for some countries, just because of their geographical position, to bear the full weight of responsibility for refugees when they clearly cannot cope It shows us that the idea that leaving the European Union would somehow make the problem go away is absolute nonsense. A refugee fleeing with her family and her children is not suddenly going to stop at Calais and say, “Ah! Britain’s not in the European Union any more. I’m not going to take another step forward.” It reminds us that we live in an increasingly interdependent world: what happens in one country will affect all of us who live in another country, even if we happen to be far away. In the 21st century we cannot, as human beings, shut the doors and close the curtains and wish that the rest of the world would go away.
ParlaMint-GB_2015-09-09-commons.u141	Will the right hon. Gentleman give way?
ParlaMint-GB_2015-09-09-commons.u142	I will give way and then I will bring my remarks to a conclusion.
ParlaMint-GB_2015-09-09-commons.u143	A fleeing refugee will stop in the first place they feel safe, and the problem is that many refugees do not feel safe in the camps we are providing. We need to address the insecurity for women and girls in many of the camps. This is a short, medium and long-term problem that we are not yet solving.
ParlaMint-GB_2015-09-09-commons.u144	The hon. Lady is absolutely right. Reflecting on my experience of visiting refugee camps in Darfur, that was absolutely the issue. Women were going out to collect firewood and were being attacked or raped. We must provide security. I know that the Government have done a lot of work on that issue in recent times and, again, I applaud them for that. It is more complicated than people thinking, “We are in a place where those who were killing us and who led us to flee are no longer to be found.” Insecurity is about how people feel in their minds about whether they, their family and their children are safe We are in this together and the way forward has to be through co-operation with our neighbours, including the rest of the European Union. We are confronted with the painful truth that the world has to be much more effective in dealing with conflicts like this before they turn into brutal and bloody civil wars. The responsibility to protect was meant to be about that, but let us be honest: in Syria, no responsibility has been taken and nobody has been protected We have to recognise that as well as refugees—I come to the point made by the hon. Member for Gravesham (Mr Holloway)—many, many other people are seeking to move across the globe to find a better life, in part because of conflict. They are coming not just from Syria, but from Eritrea, Afghanistan, Iraq, Nigeria, Somalia, Sudan and other countries where there is poverty and a lack of economic opportunity. We talk about economic migration, but that is the story of human history.
ParlaMint-GB_2015-09-09-commons.u145	As a television reporter, I lived in the Sangatte camp in Calais and joined people who were being ethnically cleansed in the Balkans. There is an enormous difference between an economic migrant and a refugee. Surely the Prime Minister is absolutely right to focus our cash on places where we know people are refugees and on looking after them, rather than exposing our borders to hundreds of millions of people who are making the perfectly rational decision to seek a better life in Europe.
ParlaMint-GB_2015-09-09-commons.u146	I am well aware that there is a difference; that is precisely the point I am making. However, I am trying to make a broader point about the challenge that this small and fragile planet of ours is facing and will face increasingly over the years ahead I am making the point that our human story is a story of economic migration. Whether anyone would describe William the Conqueror as an economic migrant, I do not know, but America, the land of my mother’s birth, certainly was built on economic migration. The story of movement within the European Union is also one of economic migration We must look ahead. The world’s population is 7.2 billion people. It is forecast that by the end of this century, it will be 11 billion people. Look at how the population of Nigeria is going to grow. We can already see the tensions and conflicts in countries across north Africa that are created by a lack of jobs, lack of hope and lack of opportunity. We see a generation in those countries who are looking at other parts of the world and seeing opportunity, jobs and hope for the future because of technology. This is the century in which every single one of us is having to lift our eyes to look beyond our own borders and see the lives of others Then there is the threat of global climate change. If people can no longer live where they were born because their houses are under water or because there is no water any more, they will do what human beings have done throughout human history: they will move to try to find a life somewhere else. The wave of economic migration we have seen in Europe these past few summers will be as nothing compared with the wave that is to come if we do not act on these issues—to tackle climate change, to fight conflict, to promote economic development and to fight poverty—so that people can build a life for themselves and their families in the land in which they were born All of these things are the expression of the fundamental interdependence of humankind. We will not be able to deal with them if we pull up the drawbridge, if we say that we have done enough, if we think that they are somebody else’s responsibility or if we deny entry to some people because they are supposedly of the wrong religion I spoke at the beginning about the reality of the mass movement of refugees, but the rest of us have to face our own painful reality. There has been unanimity of purpose and the expression of generosity so far in this debate, but let us be honest that there are other voices in Europe that are not so generous and who say, “It is too hard for us to help those in trouble.” We have a responsibility to say to them, “It is infinitely harder for those whose lives have been changed by circumstance— war, famine, disease—in the most profound way.” Our job—the Government’s job—is to tell the truth and to lead, because by doing so we have the best chance of giving full expression to that fundamental wish to help that represents the best of our character as human beings.
ParlaMint-GB_2015-09-09-commons.u147	Clearly, this is the worst problem that faces Europe and, quite possibly, the world at the moment I listened carefully to the speech by the hon. Member for Moray (Angus Robertson). There is a lot of agreement between his party and the Government. Putting compassion at the heart of our response is central. The Scottish National party wants there to be a compassionate approach and so do the Government. The disagreement is about how we implement the mechanisms to improve the situation for the Syrian people and those who live in neighbouring countries I think that we would all accept that there are no simple solutions to this problem, but we need to tackle the problem at source in order to deal with it effectively. We cannot tackle the problems that Syria faces exclusively from outside Syria. We have to go to the root of the problem. We will not find solutions to Syria’s problems in Europe. The downside of encouraging refugees to come into this country and processing them here is that it gives a green light to people smugglers and those who wish to exploit refugees further.
ParlaMint-GB_2015-09-09-commons.u148	Is that not the crux of the debate about the balance between relocation and resettlement? Over the past couple of days, I have heard from a number of Government Members the idea that by taking part in EU relocation programmes, we will incentivise other people to make the journey across the Mediterranean. However, the UK has been making it clear for weeks that it will not take part in relocation schemes and it has not deterred a single person from making the crossing. Whatever the terms of the debate, this myth should not be part of it.
ParlaMint-GB_2015-09-09-commons.u149	I would argue that if we send out a green light to people by saying that if they come over to mainland Europe, they will find sanctuary, there is a huge danger that we will inadvertently encourage people to make the perilous journey that has cost so many lives. It is clear that if we suggest to people that all will be well if they come over the Mediterranean to mainland Europe, it will encourage more people to take the journey and hundreds more people will die in the boats, as has happened before.
ParlaMint-GB_2015-09-09-commons.u150	Does the hon. Gentleman not accept that that was exactly the catastrophic rationale that lay at the heart of the decision in autumn 2014 to suspend Mare Nostrum? That decision was taken on the basis that rescuing people was encouraging more people on to the seas. The decision to suspend Mare Nostrum exacerbated the problem and cost many, many lives, and the folly that he is stating will do the same.
ParlaMint-GB_2015-09-09-commons.u151	I have to disagree with the hon. Gentleman. There will not be a long-term solution to this problem until we sort out the problems that Syria faces within Syria. If we ensure that there is a safe place to live there, the necessity to make the dangerous journey will go away. That is the positive way forward.
ParlaMint-GB_2015-09-09-commons.u152	I understand the argument that the hon. Gentleman is making. My problem is that I cannot see how we can give people a sense of hope and a sense that remaining in Syria is their future, when what we are offering to do is either bomb Assad or bomb Daesh. Bombing either side would only strengthen the other, and in the middle there is nothing that can fill the vacuum and provide people with a sense of hope that they can have a safe future in their own land.
ParlaMint-GB_2015-09-09-commons.u153	I argue that we can give some hope to the people of Syria by investment through the overseas aid budget and by ensuring that it continues. I am very proud of the 0.7% commitment, on which there was almost an all-party consensus. Only one major political party in this country disagreed with that, and its representative is not here in the Chamber—I refer to the UK Independence party. That party was wrong to take that approach, and this whole crisis has illustrated why it is right for this country to provide 0.7% of its GDP to help overseas countries.
ParlaMint-GB_2015-09-09-commons.u154	That international development money is going into the camps in Jordan, Lebanon and Turkey—it is not keeping people in Syria. It is impossible to put international aid into Syria, because there is no one to give aid to there.
ParlaMint-GB_2015-09-09-commons.u155	I would argue that that money has been spent on education in Syria, on running water in Syria and on improving the quality of life of people living in that region. We have seen time and time again that with the overseas budget we are able to ensure a greater degree of stability. What I have found from refugees is that ultimately they want to go back home. The only way we can give them the hope that the hon. Lady mentioned is by ensuring that there is a chance that one day they can get back home. They will not have that hope unless we have a stable country for them to return to, and we will not get that stability without the investment we are giving.
ParlaMint-GB_2015-09-09-commons.u156	The civil war that has been visited on the people in Syria has, apparently, knocked that country back 40 years, as cities have literally been flattened and entire populations have left. I know that this is not necessarily within the scope of this debate, but do we not need to begin thinking not only about the scale of the refugee crisis—the humanitarian crisis that we need to address—but in Marshall plan terms, to do for Syria what we failed to do in Libya, where we spent 13 times more on bombing it than we did on winning the peace, and indeed we failed to do in Iraq and Afghanistan?
ParlaMint-GB_2015-09-09-commons.u157	I am glad that the hon. Gentleman mentioned the example of Iraq, because one lesson that came out of the Iraq war is that there was no plan for what would happen afterwards. He was right about that, and it shows why the investment in those countries is essential. He also rightly said that Syria is going to take years to heal itself after the evil of ISIL and President Assad, which is why it is crucial that we keep investing in the area. The Secretary of State made the point that this is the greatest investment of humanitarian aid that this country has ever made, and it is right that we recognise the importance that this Government have placed on ensuring that that investment is in place and that people are receiving it, because that is the only way, in the long term, that we will resolve this situation.
ParlaMint-GB_2015-09-09-commons.u158	Does my hon. Friend share my concern, which I believe is held by many others, that if we take the argument of those who are supporting this afternoon’s motion, we are, in effect, giving carte blanche to Assad and to leaders of other countries to cause widespread disruption and destruction within their own countries because others will just take in the people they do not want? Keeping those Syrians close to Syria in well-run humanitarian camps means that they are a constant reminder to the international community and to Assad as to why Assad and ISIS must be defeated, so that we can then start building peace.
ParlaMint-GB_2015-09-09-commons.u159	I think we are encouraging people by encouraging the people smugglers and human traffickers to allow people to come over to the Mediterranean and be exploited in that way The world response to this problem emanated from the picture that we saw. It is probably unprecedented for a picture to change the way the world sees a particular problem. That painful picture of the young boy is testament to the fact that his family, like many others, believed that the only option open to them was to take that ill-fated journey. The message we have to send out from here and from around the world is that it simply does not need to be like that. We do not need to place obligations on refugees to take a hugely dangerous journey, forcing them to pay people traffickers.
ParlaMint-GB_2015-09-09-commons.u160	As the hon. Gentleman may know, one reason why refugees have to take this dangerous overland journey is a European aviation directive which prevents them from flying at a quarter of the cost. The directive means that the criminal gangs will grow, and these people have to cross overseas and are risking their lives. Is there an argument for suspending that directive, with the aim of saving life and ensuring that these people can get to a sanctuary, with the hope of returning to Syria some day? They have to live in order to do that.
ParlaMint-GB_2015-09-09-commons.u161	The hon. Gentleman makes an interesting point, but my argument is still that the solution to this problem, if there is one, lies in Syria—it does not lie in mainland Europe The people who are in the worst situation are those in the camps in Syria. Those in Europe are certainly in need, but they are away from the evils of ISIL and President Assad. I come back to my central point: we have to tackle this issue from its source. I voted for military action in Syria and I would be persuaded to do so again. We have to take direct action against the fascism of ISIL, which, if left unchecked, will continue not only to destabilise the middle east but to act as a launch pad for attacks on the UK Let us be clear where the responsibility for this crisis lies. It lies with the actions of ISIL and President Assad, as they have created this exodus of people from Syria. They are currently the greatest threats to the security of this country, so it is right for us to take defensive, direct action against those who mean us harm. Sadly, this is how modern warfare has evolved, and we cannot just ignore people who plan to do us serious harm. We have to tackle the root causes of this problem. There will be occasions when a military approach is right, but it is also right that we do what we can to stabilise Syria and the wider region In conclusion, I come back to the speech made by the hon. Member for Moray at the beginning; I think this House has come together in its desire to see compassion for the people of Syria and of the wider region. The difference of opinion is on how we actually achieve that. It is on how we achieve a solution in the short, medium and long terms for the people of Syria and how we stabilise the whole region. It is essential that we ensure that the people of Syria have their future protected and we do not see the sorts of pictures that we have seen, and that we do all we can for the people who live in that region.
