ParlaMint-GB_2015-01-15-commons.u1	1. What estimate he has made of the contribution of tourism to the economy.
ParlaMint-GB_2015-01-15-commons.u252	I thank the right hon. Gentleman for giving way and pay tribute to him for the tremendous amount of work he has done on the issue. It would be fair to say that since he has been involved there has been a degree of progress, although not total progress, because we will not have that until we get some action. Does he agree that many of the families feel very strongly about this and often feel frustrated by the lack of progress?
ParlaMint-GB_2015-01-15-commons.u253	I am grateful to the hon. Gentleman for his kind remarks and I appreciate them very much. Yes, one thing we were told in our meetings in April was that people are sick of coming to Parliament. They have been coming for many years and many of them will feel that even today, but this is the best we can do as Members of Parliament. We know that those on both Front Benches are listening.
ParlaMint-GB_2015-01-15-commons.u254	I must admit that this issue was not on the radar for me until recently, when I had a discussion with a constituent who was one of three siblings all of whom were contaminated as a consequence of this blunder. I want to put on record my gratitude for the work that my right hon. Friend has done and my support for this campaign. I wish him all the best and all my support as it progresses.
ParlaMint-GB_2015-01-15-commons.u255	I am deeply grateful to my hon. Friend, but the gratitude should actually be given to the sufferers and their beneficiaries who have made an attempt to approach MPs, sometimes for the first time. This year, we were able to bring it home to people that despite all the privacy and other reservations they might have had—some have not been able to tell family or close friends what they have been suffering—there is a need to approach MPs such as my hon. Friend to make them aware of the issue. That has been a new element of the campaign and is another reason for this debate.
ParlaMint-GB_2015-01-15-commons.u256	I do not wish to embarrass the right hon. Gentleman, who has cross-party support on this issue, but I think that he is being very modest and that his intervention with the Prime Minister has helped to galvanise the position. Given that it now looks as though Penrose will not be published until late March, is there sufficient time to get that settlement before the general election campaign and the election itself?
ParlaMint-GB_2015-01-15-commons.u257	Again, I am grateful to the hon. Gentleman for his kind remarks. I do not think there is time, because I think it is possible that Penrose will have such far-reaching implications that no Government could make sensible decisions on future financial considerations until it had reported. I hope that my hon. Friend the Minister might be able to say a little more today about what might be done outside the financial considerations. I think that a conclusive settlement cannot now be reached. Penrose was originally supposed to report in March last year, which would have given time. That was the timetable we were all hoping to work to, but needs must and we are where we are.
ParlaMint-GB_2015-01-15-commons.u258	On the point that my right hon. Friend was just making about what could be done without any more money being made available in the interim, does he share my concerns about the process that people have to go through to access the support that is already available, how invasive and demeaning the processes often are and how much that upsets those who are already in a very difficult position, when they are simply trying to get what they should be getting anyway?
ParlaMint-GB_2015-01-15-commons.u259	I thank my hon. Friend. The report by my hon. Friend the Member for Colne Valley and the hon. Member for Kingston upon Hull North, who I will call my hon. Friend for these purposes, covered those issues in some detail. I am sure that my hon. Friend the Member for Kingston upon Hull North will speak about some of the practical issues to do with financial provision Following the public meetings, we decided to take the opportunity to use new technology. Both the all-party group and my group of colleagues went out with surveys to as many people as we could find. I am deeply grateful for support given by YouGov and the personal support given by my hon. Friend the Member for Stratford-on-Avon, whose commitment and resource allowed us to do this job. It is a measure of the impact of this problem that about 1,000 people responded to our surveys, which is statistically way above the normal response to such surveys. We are profoundly grateful to those who responded so honestly and no doubt with much pain as they went over difficult and hurtful circumstances in an effort to inform us and the Government of what they had experienced. Key findings in our survey included the ideas that lump sums rather than ongoing payments might suit some sufferers better, that ongoing support for widowed partners and spouses was vital and that some form of inquiry was still relevant. All our findings have been reported to Government We then asked more people to contact their Members of Parliament, as my hon. Friend the Member for Richmond Park (Zac Goldsmith) has just mentioned. The number of colleagues now involved is well into three figures, and the number who have signed our motion can be seen on the Order Paper. I have colleagues who wanted to be here but could not—the hon. Member for Central Ayrshire (Mr Donohoe) and my hon. Friends the Members for West Worcestershire (Harriett Baldwin), for Ipswich (Ben Gummer) and for Erewash (Jessica Lee). I could go on about their stories for some time I do not expect the Minister to deal with the possibility of further financial relief today. I accept that the delay to Penrose means it is possible that it could report in such a way as to require some form of response from the Government that might have financial implications which it would be unwise to commit to now and have to revise again quite soon. However, I put it on record that I do not expect that closure can be effected without some further financial provision. There will always be inevitable arguments about money. The truth for a Government is always that at any one moment there is money and no money. When the banks needed to be bailed out, money was found. When we needed to compensate those who had lost their futures through Equitable Life, even if all the money could not be found, over £1 billion was found. If, God forbid, the country were to have a catastrophe tomorrow, we would find money. A catastrophe? Perhaps 1,800 dead is a catastrophe.
ParlaMint-GB_2015-01-15-commons.u260	Like other colleagues, I pay tribute to the work that my right hon. Friend has done on this. I do not have any constituents who are affected, but I have served in this House, along with him, since 1983, and I feel that this is business that neither the House nor successive Governments have properly resolved. Does he agree that as this blood was provided by the national health service—by the state—it is therefore the responsibility of the state to sort out the affliction that has affected these people over decades?
ParlaMint-GB_2015-01-15-commons.u261	My hon. Friend puts it very well. He is yet another example of an MP who does not have a constituency interest but has recognised the responsibility that we all share, and the state shares, for what has happened Only this morning we saw in one of the newspapers that local authorities had spent £5 billion on consultants. As I say, at any one time a Government will have no money or can find money.
ParlaMint-GB_2015-01-15-commons.u262	I apologise for not having been here at the beginning of the right hon. Gentleman’s speech. I want to touch on his point about payments. My constituency has four times the national mortality rate from hepatitis C—of course, not all of it acquired from contaminated blood—and a number of constituents who are living with the condition have written to me about it over the years. The latest comments have been about getting a conclusion to this process as fast as possible. One of them says: “Existing mechanisms should be disbanded and replaced as quickly as possible with a new improved arrangement for processing payments.” Is that not a short-term consideration to go with the longer-term ones?
ParlaMint-GB_2015-01-15-commons.u263	I personally think that it is. That process will be informed by what the all-party group has spoken of, and its members will speak today. I thank the hon. Gentleman for his intervention As I said to my hon. Friend the Member for Stratford-on-Avon, I am not sure that I fully share the conclusions of the all-party group’s report with regard to the MacFarlane Trust. There is a great deal of detail in the report. As I was not responsible for compiling it, I can be lavish in my praise of the effort that went into it. A lot of hard work was done by a lot of people connected with the offices of the hon. Member for Kingston upon Hull North and my hon. Friend the Member for Colne Valley, and I am grateful for that. On the basis of information contained in the report and other information that we have, I do not believe that the MacFarlane Trust is saveable or capable of reform. I and others have seen a copy of a letter to the Secretary of State from two former trustees that is quite damning of its leadership, and one from some 68 beneficiaries that is equally uncompromising It would be unfair to go into more detail now. It may be that the trust has an impossible role. However, there should be no doubt that a body set up to support beneficiaries and those who have been victims of what happened is anything other than on their side—not an arm of Government, nor seen to be, and prepared to take on the Government to argue for the funds it needs without fearing a conflict of interest. The Department of Health has contributed to the situation by structuring too cosy a relationship, possibly in its own interests, and that has to stop.
ParlaMint-GB_2015-01-15-commons.u264	My right hon. Friend has worked very hard on this issue, as has the all-party group on haemophilia and contaminated blood. I attended a public meeting yesterday with survivors and their families, and there was a very strong feeling that they have just had enough. They have been through a series of betrayals and disappointments at the hands of those who were supposed to help them, including trusts, departments and the Government. Does my right hon. Friend agree that this is our last chance to get this right for those people who have to suffer so very much?
ParlaMint-GB_2015-01-15-commons.u265	I thank my hon. Friend for her kind words, and I agree with her. I will come to the trust invested in us in a moment, but, given the effort that has been put in, the work being done by Members on both Front Benches and the acknowledgement that we all share this responsibility, perhaps there is a chance that we will get to where we want to be Mr Speaker has been very generous with time, so let me finish. Last week, on the day that we circulated information about today’s debate to the community, I received the following e-mail, which was addressed to all of us as MPs: “Thank you for your continued persistence in this issue. I wish to continue to be informed of any developments but I am very bitter that my husband of 21 years who got Hep C as a child from being a Haemophiliac sadly lost his fight and passed away yesterday after years of suffering due to Hep C. He never had an apology for all the years of ill health, he was a fighter right up to the end but it was also a fight he should never have had to deal with. Again on behalf of my husband, my daughter and myself thank you for your continued support and I hope a speedy result is had for those who still continue to struggle with the physical and mental stress this situation has caused.” Finally, a friend who was told as a child that he had HIV and hep C, and a life expectancy of four years if he was lucky, says: “I find each and every day is like being on death row for a crime I didn’t commit. I long for the day that I can wake up in the morning and not have to fight the Gov’t for the right to have a better life. Imagine what it’s like to believe for years that what we have been given was an accident. The medical staff constantly told us ‘it was an unavoidable accident’ only for us to learn the truth for ourselves. Where did my human rights go at 12 years old. And WHY do I still not have any When you are stripped of your pride, your dignity, your finances, your job, career, your future, what do you have left? Your spirit and your fight, that’s what. Which is why we will be sitting there on Thursday and we will keep coming back until justice is done or the last one of us dies.” As MPs, we have been privileged to be given the deepest, most personal details of these people and their loved ones. Some of us have been given family medical records, people’s deepest, darkest secrets and their hopes and fears. We have been privileged to have that. The words “devastation” and “struggle” appear far too often in the stories we deal with. We are not talking about a tiny handful of people, but about thousands who still feel wronged. As Members on both Front Benches prepare for an election, let us ensure that this Parliament as a whole remains committed to providing, finally, the best closure for those who trust us to do so.
ParlaMint-GB_2015-01-15-commons.u266	rose—
ParlaMint-GB_2015-01-15-commons.u267	Order. In order to try to accommodate everyone who wishes to contribute to this important debate, I have thought it necessary to impose, with immediate effect, a seven-minute limit on Back-Bench speeches. Such limit may have to be reviewed, probably downwards, in the course of the debate.
ParlaMint-GB_2015-01-15-commons.u268	May I start by thanking the right hon. Member for North East Bedfordshire (Alistair Burt) for securing this debate and for all his incredibly hard work over the past year or so in championing this cause? I also thank him for his kind remarks about the late Paul Goggins, the late Jim Dobbin and the late Lord Morris I co-chair, along with the hon. Member for Colne Valley (Jason McCartney), the all-party group on haemophilia and contaminated blood, and it has been a privilege to be involved in putting together the report. I think I speak for both of us when I say that many of the contributions made by the nearly 1,000 people who gave evidence to the APPG were harrowing and at times very moving. The substantive report would simply not have been possible without those submissions. They are quoted throughout the report and highlight in vivid detail how the current system of support is not fit for purpose. Our report is clear that there needs to be dramatic change to the level of support people get, and the way in which it is managed, before we can even hope to achieve closure for these people. Needless to say, my biggest thanks go out to the whole community of people who have been affected by this tragedy In addition, I thank YouGov and the hon. Member for Stratford-on-Avon (Nadhim Zahawi), who generously helped put together the survey; the Haemophilia Society, which provides the all-party group’s secretariat, and particularly its chief executive, Liz Carroll, without whose help we could not have conducted the inquiry or produced and printed the report; and Fiona McAndrew and Thomas Stephens, who both worked so hard to put the report together. I am also pleased that my right hon. Friend the Member for Leigh (Andy Burnham) is on the Labour Front Bench, and that the Secretary of State for Health and his Minister, who has direct responsibility for this area, are also present I want to highlight two matters. First, I want to clarify the issue about the number of people infected with hepatitis C. Since we concluded our inquiry, several people have got in touch about the figures. We state at the beginning of the report that, historically, it was estimated that more than 30,000 people were infected with the virus during the relevant period, and the figure was given in the Government’s 2011 review of support for those affected. Figures for the numbers affected by haemophilia derive from the United Kingdom Haemophilia Centre Doctors Organisation, and those for the number of people without bleeding disorders who are infected are estimates from an academic study I want to make it clear that no support package would extend to anywhere near such a number, because many of those originally infected have—unfortunately and sadly—died, while some cleared hepatitis C at the acute stage and others, especially those infected through a blood transfusion, would find it very difficult to link their hepatitis C infection with a single period of NHS treatment and so could never qualify for help in practice. It would be a shame if any Government used such a figure to argue that it is too costly to expand support. In practice, trust-based assistance would cover only a much smaller number of people—fewer than 6,000—and any consideration of the costs of extending the support package should take that into account Secondly, I want to highlight the case of my constituent Glenn Wilkinson, who was infected with hepatitis C from NHS-supplied blood products. Without Glenn, I would never have become involved in the all-party group. He is a resolute and determined activist, and he has campaigned vigorously for more support for those affected. We all owe him a huge debt of gratitude for keeping on going, and for fighting for what is right As a minimum, Glenn would like a number of measures taken to reach a full and final settlement for all. I will set out what he has told me in the past few days and how it fits with what we said in the report. First, he wants to remove the distinction between stage 1 and stage 2 hepatitis C, because the majority of people in stage 1 do not receive ongoing payments. The distinction is based on a decision that those in stage 1 are not in a state of ongoing need, but our inquiry clearly showed that they are in need. The accounts we received show that the Government need to rethink the current system, which denies ongoing support to those in stage 1. We therefore recommend that the Government provide ongoing payments to all people with stage 1 hepatitis C at a level to be set by a public health doctor Secondly, Glenn wants all widows and family members of deceased infectees to have equal access to financial support, irrespective of the infection that caused the virus. We recommend that all widows of hepatitis C infectees, who are currently denied any ongoing support, get the same support as those of HIV infectees. We also recommend that the families of deceased hepatitis C infectees should get the same support for at least nine months after the primary beneficiary dies, as is already the case for those with HIV. Thirdly, Glenn wants the support to be simplified and administered by just one trust, rather than by the five trusts that currently exist. Our report recommends that the Government review the support provided, because it is a mishmash and a hotch-potch.
ParlaMint-GB_2015-01-15-commons.u269	I congratulate my hon. Friend and other Members involved in producing this excellent report. One of my constituents affected, Councillor Bill Payne, has praised the report. On her point about the piecemeal nature of the support available, I must say that I was really struck by that when I read the report. It is difficult enough to deal with the health care system and the welfare system without the additional burden of bureaucracy, and it seems that some of the organisations involved are not very good at responding to people’s needs, so I agree that that needs to be addressed urgently.
ParlaMint-GB_2015-01-15-commons.u270	I am grateful for that intervention. I think I should be allocated an additional minute that has not been put on the clock. [Interruption.] Thank you, Madam Deputy Speaker Fourthly, Glenn told me that he thinks it would be fair to see priority access to NHS treatments for those affected, and that is rightly one of our recommendations. He also wants automatic passporting to employment and support allowance and disability benefits for all infectees. Because this is an all-party group, that recommendation is not included in the report, but I think it should be considered by the Government. Just today I received a message from someone who said that the money they get from one of the trusts is now being spent on paying the bedroom tax—I am sure the Minister does not think that that is what trust money should be used for. Once the Penrose inquiry is published, we hope there will be no further delays, or that any delays will be minimised in any inquiries that the Department of Health and Government need to make I will end with a quote from a person I think was very brave to come forward. She is an HIV infectee and the widow of an HIV-infected husband: “I refuse to be a victim. Despite everything I cherish my life and count my blessings. I have faith that this will end soon and maybe then, my talents, intelligence, spirit, sense of justice, experience and energies can be better directed at contributing towards and being part of a better society. I pray for the day when this Trust is out of my life. I do not think that is much to ask.”
ParlaMint-GB_2015-01-15-commons.u271	As co-sponsor of this important debate I thank the Backbench Business Committee for scheduling it. I also thank the Health Secretary and the shadow Health Secretary for their attendance in the Chamber, which shows the significance and importance of this issue One of my first speeches as MP for Colne Valley came on 14 October 2010 in a Backbench Business Committee debate on contaminated blood. Four years and a few months on, and we are still asking for a similar conclusion to this scandalous saga: for the Penrose inquiry to be published; for the trust offering financial assistance to operate in a fairer and more transparent way; and for a final settlement and an apology to the infected community from the Government of the day. By 2010, 1,800 of the 4,800 people infected with hepatitis C had died, and of the 1,243 people who contracted HIV, only 345 remained. Today the number of survivors has fallen even further, and with each month of delay more of the infected community will not live to see any closure to this scandal. The date for the publication of the Penrose report will be announced shortly, and as it covers pre-devolution Scotland’s NHS treatment it will have implications across the United Kingdom. I implore the Government to respond positively to its findings My right hon. Friend the Member for North East Bedfordshire (Alistair Burt) has been working tirelessly with No. 10 on behalf of the infected constituents to try to get a final settlement, and I praise him for that work. As the motion suggests, I praise and welcome the Prime Minister’s commitment to look into this situation, which for too long has been ignored by Administrations As the Penrose inquiry is imminent and discussions on a final settlement are under way, the all-party group on haemophilia and contaminated blood, which I co-chair with the hon. Member for Kingston upon Hull North (Diana Johnson), set up a survey with the infected community to ask how it felt about current financial arrangements organised through the Skipton Fund, the MacFarlane and Eileen Trusts, and the Caxton Foundation. The survey received 961 responses, the majority of which were unhappy with current arrangements. I thank Tom Stephens, and my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi) for his co-operation, and of course Liz Carroll and the Haemophilia Society for their help in compiling this important report The human stories from the infected community are the most poignant, and the replies to the survey contained hundreds of pages of heartfelt responses from those who have faced hardship and tragedy due to their illnesses. A woman from my local area asked me to relay her story to the Health Minister. Melanie was infected when she was a child undergoing surgery. Her parents received the terrible news that she was HIV-positive when she was just eight years old. Now 36, Melanie has been unable to fulfil her aspiration of becoming a paediatric nurse or a play specialist. Instead, she must rely on Government support and assistance from the Eileen Trust. She wants what many in the infected community desire: closure to the contaminated blood scandal, so they can live the rest of their lives in dignity and without having to beg for each bit of support. It is her and others I am thinking of today Another constituent, who wished to remain anonymous, described the 30 years of hopelessness, pain and medication that followed his infection with HIV, hepatitis B and C, and blood containing variant CJD, when he was just 12 years old. Not only has that severely limited what he could achieve in adulthood in terms of a career and a family, but he describes the stigma surrounding the diseases and the fear of discovery by those ignorant of the circumstances involved in the initial infection. The all-party group’s report on the survey makes a number of recommendations to improve conditions. I hope the Health Minister will respond positively to them, so that we can move forward. That is very important Finally, while this Administration have been open to improving the situation for those infected with contaminated blood, what those people really need is a final resolution. The Prime Minister has shown great courage and great strength in apologising to the victims of Hillsborough and Bloody Sunday. He can now take the lead on this issue and apologise on behalf of the nation to those infected with contaminated blood. With the work of other Back-Bench Members, the publication of the all-party group report and imminent publication of the Penrose report, there will be no better time for the Government to commit to improving the conditions of those infected. We have waited long enough.
ParlaMint-GB_2015-01-15-commons.u272	rose—
ParlaMint-GB_2015-01-15-commons.u273	Order. Before I call any more speakers, it may not have escaped the notice of Members that there is a problem with the clocks in terms of each Member’s allotted time this afternoon. May I reassure Members that I will also be timing speeches to ensure that they have the correct amount of time and are not short-changed? I appreciate that seven minutes is a short period of time. If the clock indicates that you do not have any more time, I advise you to keep talking until I ask you to resume your seat. I understand entirely that this is not what normally happens, but I want to be fair to every Member. Hopefully, the fault will be corrected. None the less, Members should keep an eye on when they start speaking. Adding seven minutes to the clock is not really that challenging, I hope.
ParlaMint-GB_2015-01-15-commons.u274	I went to the launch of the report by the all-party group yesterday. On behalf of my constituents who are affected, may I say a very big thank you to hon. Members and former hon. Members who have pursued this issue over the years, in particular my hon. Friend the Member for Kingston upon Hull North (Diana Johnson) and the hon. Member for Colne Valley (Jason McCartney)? It is hard to believe that, after all these years, this is the first survey of those affected by this scandalous tragedy. I support wholeheartedly the efforts of the right hon. Member for North East Bedfordshire (Alistair Burt) to secure this debate and all the work he has done. Even though the Penrose report has been delayed, we cannot delay talking about this matter—it has taken far too long already I support the recommendations in the report that deal with the experiences that constituents such as Lynn Ashcroft have had. I spoke to her last night on the phone. She had been reading the report and described it as “very comprehensive and moving”. Lynn’s late husband, Bill Dumbelton, was a haemophiliac. Bill was one of the first haemophiliacs to treat himself at home with cryoprecipitate. He contracted HIV and hepatitis C from the blood he was given. He lost his job with BT in the 1980s after he told the occupational health department about his HIV status Sadly, Bill died at the age of 49 and Lynn was widowed at 35. Bill had no life cover. As Lynn explained, because of his haemophilia no one would insure “people like him”. As well as having to come to terms with the loss of her beloved husband, Lynn was left with the mortgage and other financial challenges. Lynn did receive money through the Skipton Fund, although she feels she had to jump through many hoops to get it. It took her two years to get to stage one, during which vital medical records were lost. In her words, the Skipton Fund process was “brutal”. Several appeals in three to four monthly intervals over two years made her grieve all over again. It took a huge toll on her personally. As Lynn says, the Government cannot bring back the dead or restore their health, but they can award a financial package that will ensure survivors and their families are financially secure for life. In her words, she wants to see no more charities, no more funds and no more begging. Lynn has been helping other widows to get through the overly complicated system. I hope that, as a consequence of the report, the Government will act on its recommendations Bill died in the same year as Colin Smith. Colin’s parents, Janet and Colin, live in my constituency. Colin’s tragic story is on the “Tainted Blood” website, as is Bill’s, and the story of his extremely short life illustrates why we need a public apology, which is long overdue. Colin went into hospital at eight months of age for a minor ear condition. As a haemophiliac, he received factor VIII, which the family learnt following a freedom of information request came from a batch from a prison in Arkansas. He spent his short life fighting illness. He died, aged seven, of AIDS and hepatitis C. The family did not know he had hepatitis C until three years after his death. That was kept secret, as so much has been kept hidden. It was a real battle to discover that On behalf of the family, may I say they are angry that there was never a public inquiry and that the full findings of Archer were not accepted? They passionately believe that more should be done to help those still living with the consequences of what Lord Winston described as the worst treatment disaster in the NHS. They have taken comfort in the friends they have made through the “Tainted Blood” campaign, but say they have not felt strong enough to attend the constant funerals, as their friends pass away. The Smith family and others need and deserve closure Two days ago, it was the 25th anniversary since Colin’s death. This was the tribute on the “Tainted Blood” Facebook page: “Today marks the 25th anniversary of the death of Colin Smith. He was a haemophiliac, but despite that lived a normal fun-filled life, along with his two brothers and his mum and dad. Then, in the middle of the AIDS crisis, he was given a non-emergency operation, during which he was given a batch of blood product. Colin died of AIDS, aged seven, in Janet’s arms, weighing around the same as a baby. His family have never recovered from it, and never will Please, as you read tomorrow’s APPG report and as you watch the debate…remember Colin and all of those who, like him can’t be there with us. Please remember all of those who might not see the end of this year…Thousands of people, like Colin, simply didn’t make it this far. He never had the chance to join the cubs, play football for his school, have a girlfriend, go travelling or get married…Instead, his short life was filled with hospitals, doctors and illness. He was just a little boy, but a very special one who we, at TB, always keep in mind as we campaign.” While long overdue, it is time for a public apology and a final settlement. Anything less will just continue to hurt the innocent victims and their families who, through absolutely no fault of their own, have had their lives torn apart by this national scandal.
ParlaMint-GB_2015-01-15-commons.u275	The hon. Member for Newport East (Jessica Morden) has explained this tragedy extremely well. I first became aware of the issue in the early 2000s when I was a member of the all-party group on hepatitis C. I would like to pay tribute to the work of Jim Dobbin, whose memorial service it was yesterday. He was a great campaigner on a number of health issues and will be sadly missed I congratulate my right hon. Friend the Member for North East Bedfordshire (Alistair Burt) on doing a wonderful job to secure the debate, and on working so hard on this issue. A constituent of mine recently told me that attending a meeting chaired by him in the House had left her more reassured than ever that he, and the group of MPs involved, would eventually obtain a decent settlement for all victims and their families I have a very old friend who has haemophilia. He has kept me informed on the issue over many years but is not very well these days. I would like to pay tribute to my constituent Mrs Ward. She campaigns on the issue on behalf of her family, who have been very badly affected by it. It is an issue of compassion; it is an issue for our generation; it is an injustice and a scar on the NHS. It has to be resolved We all feel for the people who are continuing to struggle with the aftermath of this decades-old mistake. The right hon. Member for Cardiff Central (Jenny Willott) made the point that this blight can run down the family for years. Obviously we understand the background of the original lack of understanding and the medical challenge to treat people with haemophilia, not knowing with security that the blood was safe. It is good that Governments have now recognised the extreme harm and the disaster that this was for victims, for which compensation was necessary. The arrangements put in place in 2011 were a major step forward I want to make three points. The first is that the APPG’s excellent report highlights the confusing system for compensation, with the five separate bodies all receiving Department for Health funding. There are two private companies and three registered charities; it is too opaque. I hope Ministers will see whether there is some way of improving the signposting to ensure that people can find their way through it The second point is that even if one understands the funding to which one is entitled, the process of claiming it is difficult, confusing and onerous.
ParlaMint-GB_2015-01-15-commons.u276	Does the hon. and learned Gentleman agree that people need help through the difficult and complex process to ensure they get the outcome they deserve?
ParlaMint-GB_2015-01-15-commons.u277	Yes, I do agree. The hon. Gentleman will know that there were people who underwent treatment for hepatitis C, but somehow the NHS has lost their records. That affects their applications. As the hon. Gentleman says, some way must be found to support people in this complex process One of my constituents tells me that new treatments for curing genotype 1 hepatitis C have been approved, but access seems to be granted only on “compassionate grounds”. Apparently, that excludes that constituent. She describes it as a “painful irony” that the problems that led to the NHS providing contaminated blood in the first place are now denying a survivor the appropriate treatment. I hope the Minister will look into this case, so that rather than having to prove compassionate grounds it can be dealt with as an entitlement The tragedy of this is deeply upsetting, and we must step up to tackle its legacy. The Penrose inquiry is expected to report soon, and its findings will, I am sure, be considered carefully by the Government. We are all pleased that these steps are being taken and that there has been progress, but this has not yet led to closure. That is necessary for the survivors, and it is necessary for the survivors and their families to have the support and dignity that they deserve. It is incumbent on our generation to sort this out, and this is the place to do it.
ParlaMint-GB_2015-01-15-commons.u278	May I say from the outset how pleased I am that the right hon. Member for North East Bedfordshire (Alistair Burt) has secured a debate on an issue that has had profound and devastating consequences on the lives of at least two of my constituents and indeed thousands of individuals and families across the country I hope that through my contribution I will be able to give a voice to my constituents who have been affected by contaminated blood and who, up until now, have had no answers to what is considered to be one of the worst tragedies in modern health care. The experiences of my constituents echo many of the findings in the APPG report, particularly in terms of the inadequacy of the support available and the difficulties encountered when applying for entitlements from the Skipton Fund. I want to take this opportunity to praise the work of the APPG for haemophilia and contaminated blood I was deeply saddened to hear of the plight of two of my constituents who received contaminated blood during the 1980s.
ParlaMint-GB_2015-01-15-commons.u279	My hon. Friend will be aware that some of us who have sought for many years to get legislation through the House but have not yet achieved it feel that whoever wins the next election should make sure that time is available for this. Does he agree with that objective?
ParlaMint-GB_2015-01-15-commons.u280	Yes, I certainly concur with my right hon. Friend and commend him for his work in this field My constituent Mr Billy Cannon of West Calder suffered from a burst ulcer in 1986, which meant he required two blood transfusions. Mr Cannon was fine after the operation and recovered. However, it was not until August 2010, some 24 years later, when he was diagnosed with advanced liver cancer that he discovered he had hepatitis C. Sadly, after a brave battle, Billy Cannon, aged 57, passed away in February 2013. The loss of Billy, understandably, has been devastating for the Cannon family and I wish to take this opportunity to pass on my sincere condolences to Linda, Billy’s wife, who has shown great courage in the face of a very difficult set of circumstances It is the circumstances around Mr Cannon’s death that are so hard to accept because there have been no answers, no apology and no acknowledgement that mistakes were made that led to his untimely death. His wife recognises that apportioning blame will not bring back her beloved husband. Nevertheless, the death of Billy has had such profound consequences for many different aspects of her life and leaves so many questions unanswered Like Billy Cannon, another constituent, Vera Gaskin of Livingston, also contracted hepatitis C from contaminated blood. You, Madam Deputy Speaker, may recall that I raised her circumstances with the Prime Minister in the House a few years back. Mrs Gaskin received a blood transfusion during her treatment for cancer in 1985. Fortunately, Vera recovered from the cancer. However, later in 1996 when she began to feel unwell, it was revealed that she too had hepatitis C. Again, no explanation was given to Mrs Gaskin of how she had been infected with contaminated blood What is evident in the case of both of my constituents is the lack of information on the circumstances surrounding the passing of hepatitis C through contaminated blood. It is for this very reason that it is so important that there is a review of the events and decisions that led to the tragedy Luckily, Mrs Gaskin was in the early stages of the virus when she was first diagnosed and could therefore receive treatment. Nevertheless, living with hepatitis C has been particularly difficult for her and has impacted on all aspects of her life and that of her husband and family. The stigma alone of having hepatitis C has been mentally draining for Mrs Gaskin and her quality of life has been greatly reduced. The hepatitis C has denied her many opportunities and brought many difficulties What makes Vera Gaskin’s story even more upsetting is that she has not only had to come to terms with the devastation of her diagnosis, but has had to deal with an inadequate support system, further adding to her distress. Her view of the Skipton Fund, set up to help those affected by the tragedy, is: “It is not fit for purpose, does not serve the victim and is causing more harm than good” I believe that this speaks volumes about the effectiveness of the support arrangements put in place following the tragedy I recognise that some improvements have been made to the support and compensation available to those affected, but changes are still clearly required in two areas: first, in the criteria used to determine entitlement for payment from the Skipton Fund, and, secondly, in the amount of financial support available. Despite having the medical proof that she had cirrhosis—the medical criteria required in order to receive further compensation—Mrs Gaskin was denied her stage 2 payment from the Skipton Fund She is not alone in encountering such difficulties. The APPG report revealed that 16% of all claims considered by Skipton have been deferred or rejected, many on the basis of insufficient proof. It was not until after a year-long battle that Mrs Gaskin’s application to receive her second stage payment was approved. What is evident from my constituent’s experience is that the criteria used by the Skipton Fund are too strict and only make it more difficult for victims to receive funds that they are perfectly entitled to. In response, I would urge the Government to take action to improve the system of allocating funds and to review the criteria, making it easier for those affected to provide proof. The second important issue about the support arrangements is the amount of compensation available. Although no amount of money will be able to take away the pain experienced on a daily basis by those affected, it is clear that the amount of compensation available is simply not enough. Many individuals living with hep C continue to experience hardship and financial difficulties, despite the existence of Government-established funds, which is why I would urge the Government to reconsider the amount available with a view to increasing it so that individuals can maintain a good quality of life In conclusion, I am sure all Members would agree that what my constituents and others across the country went through is tragic and cannot be undone. That said, I am hopeful that a positive outcome can be reached in the form of a review of the circumstances and the support arrangements available—for the sake of those who are sadly no longer with us and for the sake of those who continue to suffer. The all-party group report makes some important recommendations, to which I hope the Government will respond carefully and positively. I strongly support the report’s recommendations, particularly the calls for a public apology from the Prime Minister on behalf of successive Governments. I hope that, following this debate and, most importantly, following the publication of the Penrose inquiry, some form of justice will be delivered for each and every individual and family across the country who continue to have to deal with the consequences of this awful tragedy.
