ParlaMint-GB_2015-11-10-commons.u1	1. What assessment he has made of recent trends in apprenticeship starts.
ParlaMint-GB_2015-11-10-commons.u216	Those are all matters that will be addressed during the course of the negotiations.
ParlaMint-GB_2015-11-10-commons.u217	Does my right hon. Friend agree that ensuring full permanent access to the single market without joining the euro is a key objective for our future economic health and would be a key sign that our continued membership of a reformed European Union gives us the best of both worlds—prosperity and flexibility?
ParlaMint-GB_2015-11-10-commons.u218	My right hon. Friend put that very well, and getting that best of both worlds is exactly what the Prime Minister is seeking to do.
ParlaMint-GB_2015-11-10-commons.u219	I was very pleased to hear in the Prime Minister’s letter that he hopes to be in a position to campaign with all his “heart and soul” to keep Britain in the European Union, but any negotiation requires priorities. What are the Prime Minister’s priorities?
ParlaMint-GB_2015-11-10-commons.u220	The Prime Minister’s priorities are the four policy objectives that he set out this morning, and that I repeated in my statement today.
ParlaMint-GB_2015-11-10-commons.u221	After all the statements made by the Prime Minister, the Minister for Europe, the Foreign Secretary, and the former Foreign Secretary about being in Europe and not being run by Europe, and after all the pledges to restore the primacy of national Parliaments and to get an opt-out from the charter of fundamental rights to restore our borders, is that it? Is that the sum total of the Government’s position in this renegotiation? Is not the onus on those who advocate that we should stay in the European Union to explain why we should put up with being a second-tier country in an increasingly centralised European Union, paying more and more, and losing more and more control?
ParlaMint-GB_2015-11-10-commons.u222	Just on the charter of fundamental rights, the Prime Minister did refer to that in his speech this morning. It is an issue that we will be seeking to address through the forthcoming British Bill of Rights. I think that my hon. Friend underestimates how demanding and how far reaching the proposal that we have made will be. The Danish Prime Minister said this morning that what the Prime Minister proposed was “a good basis for concrete negotiations” but that “it will be difficult”. I hope that we succeed because we need a strong UK in the European Union.
ParlaMint-GB_2015-11-10-commons.u223	How will the Minister ensure that investment will not be impacted by the uncertainty that will precede an EU referendum, bearing in mind that Northern Ireland is in a unique situation, with a land border with a south of Ireland that will continue to be part of the European Union?
ParlaMint-GB_2015-11-10-commons.u224	The hon. Lady is right, and it is one reason why I regard it as an important responsibility on my part to keep in very close contact with what the three devolved Administrations—in this case the Northern Ireland Executive—are thinking. At the moment, there are no signs that the flow of foreign direct investment is drying up. In fact it is still the case that the United Kingdom gets a bigger share of third country direct investment into the European Union than any other member state.
ParlaMint-GB_2015-11-10-commons.u225	Given that my right hon. Friend has conceded that several elements of the Prime Minister’s letter will require treaty change, will he tell the House what is his best estimate of the length of time that that change will take, even if it were miraculously to be immediately agreed?
ParlaMint-GB_2015-11-10-commons.u226	I do not blame my right hon. Friend for asking what is a legitimate question, but that is something that we will be talking about in the context of the negotiations. Clearly, it is true—this is what I think lays behind his question—that each member state will have its own constitutional arrangements for ratifying any new treaty.
ParlaMint-GB_2015-11-10-commons.u227	Has the Prime Minister told the Minister of State the date by which he will make up his mind and tell us which way he will go in this referendum? If we are voting to leave the EU, why has he not set out exactly what we are voting for?
ParlaMint-GB_2015-11-10-commons.u228	The Prime Minister will make his position clear at the end of the negotiations. It would seem slightly odd to embark on a process of negotiations and declare at the beginning what the outcome was going to be.
ParlaMint-GB_2015-11-10-commons.u229	Will the Minister tell us whether we or Europe should decide on how many migrants come to the UK?
ParlaMint-GB_2015-11-10-commons.u230	We are seeking a situation in which we have tougher rules against the abuse of freedom of movement by criminals, fraudsters and others. We also want to reduce significantly the pull factor that our welfare system provides at present.
ParlaMint-GB_2015-11-10-commons.u231	The Minister referred to working together to block unwanted European legislation. Our fishing industry has been subject to some of the most unwarranted European legislation, giving us more red tape, more bureaucracy, fewer fishing boats and fewer jobs. Our fishing sector just wants control over local fishing waters; it does not want the EU to have that control. Will the Minister tell us what has been done to help our fishermen?
ParlaMint-GB_2015-11-10-commons.u232	I think that we have demonstrated, through our actions as well as our words, our support for the UK fishing community. I am talking about the reform of the common fisheries policy that British Ministers helped to secure last year. That has led to a ban on the practice of discarding, which is something that British Governments of all colours have been trying to achieve for decades, and a shift towards more local and regional management of fisheries than was the case in the past.
ParlaMint-GB_2015-11-10-commons.u233	What has not been included in the statement is far more important than what has been included. There is nothing about regaining control over our trade deals with the rest of the world, nothing about regaining control over farming, fisheries, regional aid or state aid and nothing about ending the free movement of people. Does my right hon. Friend agree that today will be looked back on as the day when it became clear that the renegotiation amounts to no more than tinkering around the edges, and fundamentally on great areas of policy this country will still finish up being told what to do by the rest of the EU?
ParlaMint-GB_2015-11-10-commons.u234	No, I do not, on two counts. First, my hon. Friend understates the significance of the reforms that my right hon. Friend the Prime Minister has proposed. Secondly, this is a matter in the end for the British people, not me, the Prime Minister or any other Member of the House, and if they decide to stay in a reformed European Union, the responsibility of this and any future British Government will be not to be passive but to lead the debate within Europe and secure outcomes that benefit the security and prosperity of the British people.
ParlaMint-GB_2015-11-10-commons.u235	As the Minister did not answer my hon. Friend the Member for North East Fife (Stephen Gethins), can I ask again what specifically from Scotland’s agenda for EU reform has been included in the Government’s negotiations?
ParlaMint-GB_2015-11-10-commons.u236	The last time I talked to Scottish Ministers about their proposals, they were very keen on measures to deepen the single market in services and digital, which would provide major benefits to Scotland, and to take forward new free trade deals with countries around the world. I remind the hon. Gentleman that greater access to foreign markets for the Scotch whisky industry is something that the United Kingdom Government consistently put at the forefront of our own input into the Brussels discussions.
ParlaMint-GB_2015-11-10-commons.u237	If the result of the EU referendum is to be enduring, it must not be on the basis of a false prospectus. Will my right hon. Friend therefore give us an assurance that any changes that are agreed will be properly legally binding and not subject to a fudge when the referendum is over?
ParlaMint-GB_2015-11-10-commons.u238	The Prime Minister has made it very clear that we need to have outcomes that make sure that whatever package of reforms can be achieved, assuming that the negotiations are successful, they are legally binding and irreversible, for exactly the reasons that my hon. Friend gives.
ParlaMint-GB_2015-11-10-commons.u239	There has been a lot of speculation about an early referendum. Without a running commentary, will the Minister set out the essential steps and the timetable necessary to make it possible to hold a referendum next year?
ParlaMint-GB_2015-11-10-commons.u240	We need to have the European Referendum Bill on the statute book and to have concluded the European negotiations. When both those criteria have been fulfilled, we need to allow time for secondary legislation that appoints a specific date to go through both Houses of Parliament, and after that we need to allow for a campaign period of a minimum of 10 weeks.
ParlaMint-GB_2015-11-10-commons.u241	Europe’s economies will eventually return to growth, so is it not in the national interest of our continental European partners to support the Prime Minister in seeking to reduce in-work benefits and in turn to reduce the brain-drain out of Europe?
ParlaMint-GB_2015-11-10-commons.u242	I completely agree with my hon. Friend. It is quite a tragic predicament to find many highly qualified, very well-educated young men and women who feel that they have no option but to take an unskilled, low-paid job in another European country because they cannot find work at home. The long-term answer to that challenge must in large part lie in the ability of national Governments and the European Union to generate resurgent economic growth and add to opportunities for employment.
ParlaMint-GB_2015-11-10-commons.u243	Can I cheer up the Minister by assuring him that pro-EU, pro-reform Members on this side of the House warmly welcome his statement today? What would be the Government’s position in the event of an out vote? Members on these Benches remember the ‘90s, and we do not want to see this Prime Minister marching out into the rose garden and inviting the right hon. Member for Wokingham (John Redwood) to put up or shut up. We want the Prime Minister to tell us where he stands; we do not want that lot dictating what happens in the event of an out vote.
ParlaMint-GB_2015-11-10-commons.u244	I am grateful for the hon. Gentleman’s kind thoughts, but I always strive to continue to be cheerful in this job. The result of the referendum will be regarded by the Government as binding. This is a sovereign decision for the British people as a whole to take, and I am proud that it is my party and a Conservative Government that are finally giving the British people the right to take that decision.
ParlaMint-GB_2015-11-10-commons.u245	It has never been a matter of no immigration; we want controlled immigration. What evidence is there that reducing access to benefits will have any real effect on the number of people coming into this country?
ParlaMint-GB_2015-11-10-commons.u246	A number of factors give rise to migration, but the fact that roughly 40% of people from elsewhere in the EU who live in the UK are in receipt of benefits or tax credits of some sort indicates that that is one of the major contributors to the pull factors.
ParlaMint-GB_2015-11-10-commons.u247	In his speech this morning the Prime Minister announced his intention to scrap Labour’s Human Rights Act. Is he opposed to the Act because it was a Labour Government who finally implemented it, or is he opposed to human rights on a more fundamental level?
ParlaMint-GB_2015-11-10-commons.u248	I am sorry if the hon. Lady was shocked by that sentence in the Prime Minister’s speech, but it was in the Conservative party manifesto back in May. She is obviously entitled to defend the Blair Government’s Human Rights Act, but this country enjoyed a long tradition of respect for human rights well before that legislation was enacted, and I am confident that the United Kingdom will continue to have such a tradition when it has been replaced.
ParlaMint-GB_2015-11-10-commons.u249	I will be proud to walk through the Division Lobby in support of the Government’s European Union Referendum Bill. Does my right hon. Friend think that most of the Opposition parties completely lack credibility, first, because they fought the right of the British people to have a say on our EU membership, and secondly because they now seem to be fighting the concept of reform?
ParlaMint-GB_2015-11-10-commons.u250	My hon. Friend is right. Some Opposition Members grossly underestimate the sense of resentment among many men and women in this country at having seen treaty after treaty go through, changing the balance of powers in Europe, with the British people never being asked to have their say.
ParlaMint-GB_2015-11-10-commons.u251	It is said that Christopher Columbus, when he set out, did not know where he was going; when he got there, he did not know where he was, and when he got back, he did not know where he had been. Is there not a serious danger of the Prime Minister facing exactly the same situation with his holographic negotiation strategy? Is the Minister not concerned that in personalising this, as he did in his statement, as the Prime Minister’s renegotiation, he creates a fundamental point of weakness in that we will have a Prime Minister’s referendum on a question that people view as somewhere between a figment and a fig leaf?
ParlaMint-GB_2015-11-10-commons.u252	The entire Government were elected on a manifesto of renegotiation, reform and referendum. I enjoyed the joke, but Christopher Columbus is remembered for his achievement in navigation and discovery and for symbolising the opening of a new age. I hope that this renegotiation is the start of a new age of greater flexibility, democracy and competitiveness for Europe.
ParlaMint-GB_2015-11-10-commons.u253	Some minutes ago I think I heard my right hon. Friend explain that the Bill of Rights would deal with our obligations under the charter of fundamental rights. Do the Government intend to legislate notwithstanding our obligations under the EU, or do they have some other plan, as yet unannounced, to deal with our voluntary subjection to the European Court of Justice?
ParlaMint-GB_2015-11-10-commons.u254	In many cases involving trade and the single market, the European Court of Justice has produced judgments that have been very much to the advantage of British interests. It is true that if there is a single market, some kind of independent judicial arbiter is needed to settle disputes. My hon. Friend will need to contain his understandable impatience a little longer. My right hon. Friend the Justice Secretary intends in due course to announce details of the way forward on replacing the Bill of Rights and the implications of that policy.
ParlaMint-GB_2015-11-10-commons.u255	I welcome the statement. The Minister has set out some very reasonable things to the House. May I assure him that there are many on the Opposition Benches who will work constructively with him and the Government to get the best for the UK and to face down some of the abuse that he has received from his own side on the statement today? There are people who would recklessly leave the EU, regardless of the cost to this country.
ParlaMint-GB_2015-11-10-commons.u256	For five and a half years now I have had the pleasure of vigorous and sometimes robust discussions with my right hon. and hon. Friends, as well as with Opposition Members. There are passionately and honourably held differences of view across the House in all parties about the United Kingdom’s relationship with Europe. I hope we can continue to take this debate forward in a spirit of mutual respect for people whose views may differ from our own.
ParlaMint-GB_2015-11-10-commons.u257	The debate on whether the British people should vote to remain in or leave the EU has been characterised by some in terms of the certainty of remaining against the uncertainty of leaving, but does my right hon. Friend agree that with the current uncertain situation in Europe, particularly on the eurozone and the impact of the migrant crisis, voting to remain is as much a leap in the dark as voting to leave?
ParlaMint-GB_2015-11-10-commons.u258	I advise my hon. Friend to wait until the conclusion of the negotiations, because we will then have much greater clarity over the nature of the choice that the British people will have to make.
ParlaMint-GB_2015-11-10-commons.u259	The Minister will be aware that the Financial Secretary promised to negotiate at EU level to achieve a zero rate of VAT on feminine hygiene products. He did not commit to a timetable, however, nor did he say that this would be placed alongside the Prime Minister’s other demands. Can the right hon. Gentleman reassure the House that women’s rights are not a second-class issue on this Government’s European agenda, by making those commitments today?
ParlaMint-GB_2015-11-10-commons.u260	My right hon. Friend the Financial Secretary made a very clear pledge to the House from this Dispatch Box, and the Government will pursue that.
ParlaMint-GB_2015-11-10-commons.u261	Part 1 of the letter on economic governance states: “There are today effectively two sorts of members of the European Union”— those in the euro and those outside. Does my right hon. Friend agree that many of the countries currently outside the euro other than ourselves are likely to remain in that position for many, many years to come, and that therefore it is in the wider interests of the whole EU that the European Union accepts that reality and enters into our negotiations on this point with an understanding of that fact?
ParlaMint-GB_2015-11-10-commons.u262	My hon. Friend makes a very important point. For as far ahead as I can see, some EU member states will be part of the single currency and a significant number, not only the United Kingdom, will be outside it. I believe that those in the eurozone will need to integrate their fiscal, economic and, to some extent, political arrangements more closely. The stability of the currency union is in the interests of the United Kingdom, even though we are not going to join it, so getting that relationship right between euro-ins and euro-outs is an important strategic challenge, and it is a central feature of our negotiation for that reason.
ParlaMint-GB_2015-11-10-commons.u263	The Minister’s statement understandably consisted largely of significant chunks quoted from the Prime Minister’s letter to President Tusk. One section that the Minister did not repeat, though, was the Prime Minister’s closing remarks, in which he said: “I am ready to campaign with all my heart and soul to keep Britain inside a reformed European Union” Why did the Minister not include that? Is it because, instead of campaigning with his heart and soul with his own party leader, he intends to campaign with the leader of UKIP?
ParlaMint-GB_2015-11-10-commons.u264	Despite the challenges ahead, I remain confident of a successful outcome to these negotiations and of joining enthusiastically with my right hon. Friend the Prime Minister in favour of continued British membership of a reformed European Union on the basis that my right hon. Friend set out in his speech this morning.
ParlaMint-GB_2015-11-10-commons.u265	I thank my right hon. Friend for his statement to the House today. I am pleased to see that “rule nothing out” still features large in everything that is said and heard. What vexes me, and I am sure many right hon. and hon. Members, is the best way to achieve that deal and the aims that he has advanced today, which are both welcome and laudable—free trade, immigration and benefits control, sovereignty of Parliament, independent economic governance and the removal of ever closer union. Does he agree that the best way to achieve these aims is very simple—that is, to vote to leave?
ParlaMint-GB_2015-11-10-commons.u266	Order. I let the hon. Gentleman blurt it out because I did not wish to stop him in mid-flow, but the question, which was more a list, suffered from the disadvantage of being too long, and it would be good to avoid that in future. I say that to be helpful to the hon. Gentleman and to the House.
ParlaMint-GB_2015-11-10-commons.u267	No, I agree rather with the Prime Minister when he said that we would get the best of both worlds by continued membership of a reformed European Union which provided us with amplified power for our own economic and security objectives for international work, but which was also a Europe more committed in the future than now to democratic accountability, to acceptance of its own diversity and to economic competitiveness.
ParlaMint-GB_2015-11-10-commons.u268	Yesterday the Irish Prime Minister, the Taoiseach, was in Downing Street, where he spoke of his concerns about the impact that a UK exit would have on British-Irish relations. Does the Minister accept that those concerns are shared by many people in Britain? What do the Government propose to do to address them?
ParlaMint-GB_2015-11-10-commons.u269	We have a very close relationship with Ireland and it is true that the reconciliation in Northern Ireland has in part been brought about in the context of the fact that the United Kingdom and Ireland have worked very closely together as partners within the European Union. We will certainly be listening to all our friends across Europe, as well as to the views of leaders in Northern Ireland, but at the end of the day this is a matter for the people of the United Kingdom to decide, just as the Irish people have voted many times on whether or not to accept new European Union treaties.
ParlaMint-GB_2015-11-10-commons.u270	I thank my right hon. Friend for making the statement, and I commend him on the way he goes about making statements and engages with the House. I very much welcome the evolution of the themes and policies in the statement. My constituents will probably make up their mind based on two things—whether we can control our own borders, and the ability to trade widely with the world. With the Transatlantic Trade and Investment Partnership bogged down in a politically correct quagmire in the European Union, what is my right hon. Friend’s assessment of the ability of the European Union to conclude future free trade deals?
ParlaMint-GB_2015-11-10-commons.u271	It is indeed complex and challenging sometimes to get an agreed negotiating position across 28 different countries and give the mandate to the Commission to negotiate collectively on our behalf, but the weight—the leverage—that derives from negotiating as a marketplace of 500 million people is very significant indeed. It makes other Governments, even of large countries, more willing to endure the political hassle that they themselves face with their own business interests in order to bring about free trade agreements which, I believe, are a win-win for both sides.
ParlaMint-GB_2015-11-10-commons.u272	Given that the Government have repeatedly rejected the principle of a double majority in the referendum, will the Minister accept the result if England votes narrowly to leave, but is outvoted by the rest of the UK voting to stay in? More importantly, will his Back Benchers, who have barely asked a single supportive question, accept that result?
ParlaMint-GB_2015-11-10-commons.u273	It is the United Kingdom that is the member state of the European Union. I remind the hon. Gentleman that his party in May this year was against giving the people of Scotland or anywhere else in the United Kingdom the chance to vote on their future in Europe.
ParlaMint-GB_2015-11-10-commons.u274	I respect my right hon. Friend very much indeed, but does he seriously believe that Timmermans’ grudging enjoinder, “Europe where necessary, national where possible”, iterated in the Tusk letter and reiterated in his speech today, is a sufficiently ambitious lodestar for the UK’s negotiations?
ParlaMint-GB_2015-11-10-commons.u275	It is one important and significant element in the negotiation, but it is not the whole story.
ParlaMint-GB_2015-11-10-commons.u276	I welcome my right hon. Friend’s statement, which is an important step on the journey towards fundamental reform in the EU. Given the current unsustainable migration flows, does he agree that it is vital to ensure that visitors from the EU must first reside here and also contribute before they qualify for in-work benefits and social housing, and will he make this an urgent priority?
ParlaMint-GB_2015-11-10-commons.u277	Indeed; that is exactly the objective that my right hon. Friend the Prime Minister set out in his speech today.
ParlaMint-GB_2015-11-10-commons.u278	Does my right hon. Friend agree that it is in both our and the EU’s interests to trade more freely with the high-growth-potential Commonwealth economies, and that if the EU continues to move glacially on this issue, we should build more free trade agreements with the Commonwealth on our own?
ParlaMint-GB_2015-11-10-commons.u279	The Commonwealth countries, important though they are, account for only 17% of global GDP, taken all together. I agree with my hon. Friend’s emphasis on the need to forge free trade agreements with emerging economies as well as with developed economies, but I caution against thinking that it would be quicker and easier to strike such a deal if the United Kingdom, with 65 million people, were negotiating rather than the European Union, with a 500 million-strong market.
ParlaMint-GB_2015-11-10-commons.u280	At this time of renegotiation, those who have their minds set on what they are going to do are almost irrelevant. However, will my right hon. Friend send a message to Europhiles like the political scientist Professor Hix, who gave evidence to the European Scrutiny Committee and felt that no matter what the renegotiations achieved, the dangers lie in those who believe that this country would vote to stay in if nothing is achieved? The default position at the moment, as I read the Prime Minister’s statement, is that if nothing changes we will opt to leave.
ParlaMint-GB_2015-11-10-commons.u281	The Prime Minister is very clear that he believes that serious reforms are essential if the British people are to believe that their future lies in membership of the European Union.
ParlaMint-GB_2015-11-10-commons.u282	If we vote to leave the European Union, how long will a legally binding exit take—days, weeks, months or years?
ParlaMint-GB_2015-11-10-commons.u283	My hon. Friend is understandably inviting me to speculate about a post-referendum outcome when the Government are focused on what happens during a referendum. I suggest that he might like to study article 50 of the treaty on European Union, particularly subsections (2) and (3), which will give him a lot more detail on the matter.
ParlaMint-GB_2015-11-10-commons.u284	I am sure that it is in the Library if the hon. Gentleman is not fully conversant with it already. I expect that the Minister of State could reproduce it backwards in Sanskrit, and probably did so when he won “University Challenge”.
ParlaMint-GB_2015-11-10-commons.u285	I thank the Minister for his statement and the fortitude he is showing in answering so many questions. Does he agree that the crisis in the eurozone means that the eurozone countries need to move together and agree a single fiscal policy for their single currency, but the key for our negotiations has to be that for the non-euro countries, Europe needs to do less and do it better?
ParlaMint-GB_2015-11-10-commons.u286	My hon. Friend puts the point well and succinctly, and I agree with his comments.
ParlaMint-GB_2015-11-10-commons.u287	As hon. Members have said, the EU is very slow at concluding important free trade deals around the world, and that can harm our international competitiveness. Are the Government still committed to negotiating a means to fast-track important free trade deals in Europe?
ParlaMint-GB_2015-11-10-commons.u288	We believe that Europe needs to take forward with much greater energy and determination the work in securing free trade deals with other countries and regions of the world. The trade strategy recently published by the Commission demonstrates a new and raised level of ambition that we very much welcome, but we want this agenda to be turbocharged.
ParlaMint-GB_2015-11-10-commons.u289	Does the Minister agree that when we, as a sovereign Parliament, find ourselves in the position where we cannot even reduce the level of VAT on women’s sanitary products, the European Union has far too much power? Will he join me in criticising those who naively say that they would stay in Europe at any price, thereby undermining our renegotiations because without a walk-away position there can be no meaningful renegotiation?
ParlaMint-GB_2015-11-10-commons.u290	The Government are clear that we need some very clear agreed reforms in order to make the recommendation to the British people that the Prime Minister said that he wishes to make, but also the British people will need to see serious reforms if they are to be persuaded to vote in favour of continued British membership. Beyond that, Europe as a whole would benefit from the sort of reforms that we are advocating because there are too many jobless young people in Europe who need greater European competitiveness, and in very many European countries we are seeing a sense of dissatisfaction and alienation from the way in which decisions are currently taken in Brussels.
ParlaMint-GB_2015-11-10-commons.u291	My right hon. Friend rightly said at the beginning of his statement that we have a mandate to renegotiate thanks to our securing an outright Conservative victory at the general election. Does he agree that the reforms need to be permanent and irreversible as well as sufficient, because otherwise residents in my constituency and elsewhere will simply vote to leave?
ParlaMint-GB_2015-11-10-commons.u292	I agree with my hon. Friend.
ParlaMint-GB_2015-11-10-commons.u293	Does my right hon. Friend agree that the referendum at the end of these negotiations must be final and that there can be no question of second chances or further renegotiation if people choose to leave the European Union?
ParlaMint-GB_2015-11-10-commons.u294	Yes. The decision that the British people make will be binding. As the Prime Minister said, this is probably the most important vote for the future of this country that any of us who are of voting age will take part in during our lifetimes. The idea that one can then somehow go away and think again is at odds with reality and at odds, too, with the procedure spelled out in the treaties.
ParlaMint-GB_2015-11-10-commons.u295	rose—
ParlaMint-GB_2015-11-10-commons.u296	Time for dessert. I call Mr Peter Bone.
ParlaMint-GB_2015-11-10-commons.u297	Thank you, Mr Speaker May I thank the excellent Europe Minister for making this statement, and for his long tenure in office and the way in which he has managed to change position so many times? On occasion, I almost believe him. I thank the Prime Minister for his honesty today in coming forward with a renegotiation package that makes it clear that if the package is successful, we will still be in a political union and still have free movement. That allows Eurosceptics to say, “No longer do we have to pretend there’s going to be a substantial renegotiation—we can get on with campaigning to come out.” Will the Minister pass on my thanks to the Prime Minister?
ParlaMint-GB_2015-11-10-commons.u298	I am always happy to pass on compliments from my hon. Friend. I have to confess that I would have been somewhat surprised had almost anything I said been enough to satisfy him, but I am sure we will continue to have these debates in future.
ParlaMint-GB_2015-11-10-commons.u299	I have received a report from the Tellers in the No Lobby about Division No. 112 on the Scotland Bill, which took place yesterday at 8.40 pm. They have informed me that the number of those voting No was erroneously reported as 269 instead of 289. The Ayes were 56 and the Noes were 289 Bill Presented Coroners and Justice Act 2009 (Duty to Investigate) (Amendment) Bill Presentation and First Reading (Standing Order No. 57) Ann Coffey presented a Bill to amend the Coroners and Justice Act 2009 to provide that a person who dies while deprived of their liberty under Schedule A1 to the Mental Capacity Act 2005 shall not be considered to have died while in custody or otherwise in state detention for the purposes of section 1 of the 2009 Act; and for connected purposes Bill read the First time; to be read a Second time on Friday 29 January, and to be printed (Bill 93).
ParlaMint-GB_2015-11-10-commons.u300	I beg to move, That leave be given to bring in a Bill to establish a target for the relocation of central Government functions, offices and staff from London to other parts of the United Kingdom; to make provision for implementation, monitoring and performance reporting against such a target; and for connected purposes This Bill would ensure more balanced economic growth across the country; bring new jobs and greater prosperity to areas that have struggled to replace traditional industries they have lost; reduce pressure on the overheated London economy; and save billions of pounds to help reduce the deficit. These proposals should also be seen as a central part of the debate about devolution and improving public services, because they would improve policy making and reform the way in which public services are delivered by getting regional, local and central Government working more effectively together, bringing government closer to the people, and enabling civil servants to find out what life is like for people in Dudley and the rest of the country My proposals would move the vast majority of central Government civil servants and staff of non-departmental public bodies and quangos from London, transferring 100,000 jobs from the capital to the rest of the country. They would distribute wealth more fairly across the country and make a huge contribution to the regeneration of 50 city and town centres. They would benefit London by making more than 20 million square feet of central Government real estate available for the private sector, for new business start-ups in the capital, or for conversion to desperately needed homes for people in London. They would also benefit the taxpayer by saving an initial £10 billion and ongoing annual savings of £725 million We live in one of the most centralised countries in the world. According to the OECD, central Government control 72% of public expenditure here, compared with 35% in France and just 19% in Germany. Unlike in most other economies, only 2% of our taxation is raised at a local level. Government, finance, business, broadcasting, the media, culture and the arts are all concentrated here in London. As a result, investment and growth have been concentrated in the capital and stifled elsewhere. The economic outputs of seven out of eight of the UK’s largest cities consistently perform below the national average, whereas in Germany all eight of the largest cities outside Berlin outperform the national average. There is a similar picture in Sweden, Italy and France The historical north-south divide has been reinforced by the dominance of finance and the weakness of manufacturing, which has benefited the capital and hit the regions hard. Those factors have distorted Government policy for decades, exacerbated the decline of the UK’s traditional industries and hampered the regions’ abilities to attract new investment and new jobs to replace them Since the 1940s, there have been six attempts to decentralise Government Departments, most recently the Lyons review in 2004 and the Smith review in 2010. Hundreds of civil servants moved to Sheffield in 1979 to run the newly created Manpower Services Commission. The MSC, and then the Training Agency, brought many jobs to the city; David Fletcher, who led its inward investment team, said: “The bulk of those jobs in some way shape or form are still here. Some jobs do come and go but it’s given us a platform to build for growth.” Elsewhere, there were successful transfers to Bootle, Bristol, the north-west and the midlands, so there were some successes, but my proposal is much more radical The proportion of the country’s civil servants located in the capital actually increased every year between 2010 and 2015. There are now 79,000 civil servants and 63,000 staff of non-departmental public bodies based in London. Despite deep cuts elsewhere in the country, there are now 5,000 more civil servants in the capital than there were in 2013 The capital’s civil service occupies almost 30 million square feet of space, which is equivalent to 57 London Gherkins. The average annual cost is £867 per square metre, which is more than twice the national average of £406. Worse still, newly created public bodies, such as the Government Digital Service, Health Education England and the Government Communication Service, have all been located in London and have not been joined up with the wider public sector When I was a Communities and Local Government Minister in the previous Labour Government, I am sure I had meetings with fewer than 30 of the 1,000 or so civil servants who worked at Bressenden Place. With email and videoconferencing, the rest could have been based anywhere else in Britain. Let us move all civil service posts that do not require regular face-to-face contact with Ministers, as well as all 24 of the newly created non-departmental bodies, all 43 regulators, inspectorates and ombudsmen, and all bodies with a localism or regeneration remit, such as HS2, Visit Britain or the Homes and Communities Agency. Between 7,500 and 10,000 civil servants would remain in London, with flexible working space and meeting rooms available when needed. It would even be possible for all Ministers from different Departments, their private offices and policy people to be in one building. Imagine what that could do for cross-departmental working and getting Ministers and Departments collaborating more closely Across the country, civil servants and local and regional government officers should share buildings and work together more effectively. Towns and cities could bid or submit proposals to host Departments, share services and save money. Would it not make sense to move the Department for Business, Innovation and Skills to the black country, this county’s manufacturing heartland; transport to Birmingham in the centre of the country; the Department for Culture, Media and Sport to Manchester, which has the BBC, MediaCityUK, world-beating sports teams and brilliant facilities; and the Department for Environment, Food and Rural Affairs to Norwich?
ParlaMint-GB_2015-11-10-commons.u301	Don’t forget Doncaster!
