ParlaMint-GB_2015-09-14-commons.u1	1. What support his Department is providing to areas seeking a devolution deal.
ParlaMint-GB_2015-09-14-commons.u236	There should be no requirement for clarification because the hon. Gentleman is an experienced denizen of this House. He will know that there is an opportunity to declare in the register any relevant interests, and that it is the responsibility of each Member to declare in the way that he or she thinks is necessary for the House to be informed I call the shadow Secretary of State, Angela Eagle.
ParlaMint-GB_2015-09-14-commons.u237	rose—
ParlaMint-GB_2015-09-14-commons.u238	Order. The hon. Gentleman must calm himself. I feel sure that this will be a separate point of order, as no further point of order is required. On that assumption, I will hear the hon. Gentleman.
ParlaMint-GB_2015-09-14-commons.u239	On a point of order, Mr Speaker. Since reference has been made to the funding of political parties, should Government Members who have a shareholding in a hedge fund or a company that has supplied resources to the Conservative party also make a declaration?
ParlaMint-GB_2015-09-14-commons.u240	I fear that an undesirable trend has been started by the hon. Gentleman, no doubt with great innocence of public purpose, but we will not persist further. I stand by what I have said: the opportunity exists to make a declaration in the register, and Members must declare as they think appropriate, if and when they come to speak in the Chamber. There is nothing new about that; it is well established. I call Angela Eagle.
ParlaMint-GB_2015-09-14-commons.u241	Third time lucky, Mr Speaker I thank the Secretary of State for his gracious welcome, and especially for the timing of today’s Second Reading debate on this Bill, which he has arranged for maximum convenience. I hope he will continue to be so accommodating as we go forward and I oppose him from the Dispatch Box Let me begin by drawing the attention of the House to my entries in the Register of Members’ Financial Interests which, in the interests of transparency, I declared earlier than was technically necessary. I was especially pleased to win the nominations of Unison, the Union of Construction, Allied Trades and Technicians, the Communication Workers Union, the Transport Salaried Staffs Association and the recommendation of Unite in the recent contest to be deputy leader of the Labour party—hon. Members can see where that got me. As the register shows, my campaign was supported by donations in cash and kind from some of the unions affiliated to the Labour party I also want to make a second declaration: I am a lifelong and proud trade unionist. I believe in social partnership at work, and that the right of trade unions to exist and represent their members at work is a key liberty in any democracy. I am dismayed that we have a Government who believe in attacking trade unions, rather than working with them in the spirit of social partnership to improve economic efficiency and productivity in our country.
ParlaMint-GB_2015-09-14-commons.u242	My hon. Friend will know that in recent years, the average trade unionist has been on strike for one day in 15 years. In sharp contrast, the export of goods last month was down to its lowest level since 2010. Does she agree that the focus should be on collaboration across industry and trade unions to raise productivity and wages, whereas the Bill will get people on the streets and force conflict?
ParlaMint-GB_2015-09-14-commons.u243	I agree wholeheartedly with my hon. Friend’s analysis of the effect of the Bill, despite the pantomime that we have just had from the Secretary of State at the Dispatch Box.
ParlaMint-GB_2015-09-14-commons.u244	May I declare that I am a proud trade unionist and was a full-time trade union official for more than 10 years? Does my hon. Friend agree that the Bill’s real agenda is to stop public sector workers speaking out against this Government’s attacks on their pay and conditions?
ParlaMint-GB_2015-09-14-commons.u245	It is impossible not to agree with my hon. Friend, and it saddens me beyond words that we are here today dealing with the most significant sustained and partisan attack on 6 million trade union members and their workplace organisations that we have seen in this country in the past 30 years. With the number of days lost to strike action down 90% in the past 20 years, there is no need whatsoever to employ the law in this draconian way.
ParlaMint-GB_2015-09-14-commons.u246	I welcome my hon. Friend to her new position. She says, rightly, that the number of days lost to strikes in the UK is at its lowest for 20 years. It is even more significant than that: we lose fewer days to strike action in the UK today than we did during the second world war. There is no problem here that needs fixing.
ParlaMint-GB_2015-09-14-commons.u247	Again, I agree wholeheartedly with the comments of my hon. Friend.
ParlaMint-GB_2015-09-14-commons.u248	Does the hon. Lady have a message for people in London trying to get to work or students trying to get to schools or colleges on the tube? Does she think each one of those strikes was right and necessary, and what is her advice to the travelling public?
ParlaMint-GB_2015-09-14-commons.u249	My message is that the Mayor should start doing his job and help to respond to the dispute There is no necessity to employ the law in this draconian way, especially when this country already has the most restrictive trade union laws in Europe. The Chartered Institute of Personnel and Development, the trade group for the human resources sector, has criticised the Bill as an “outdated response” to today’s challenges, commenting that the “Government proposals seem to be targeting yesterday’s problem instead of addressing the reality of modern workplaces”.
ParlaMint-GB_2015-09-14-commons.u250	Does the hon. Lady not find it amazing that 99% of the time the Conservatives go on about regulation and red tape in business and the workplace? What are they trying to do now but introduce regulation and red tape unseen in Germany, Norway or other major economies of Europe? This is just a symptom of low-pay Britain.
ParlaMint-GB_2015-09-14-commons.u251	I shall come on to the smothering of trade union administration in what I will call “blue tape” later in my speech. I agree with the hon. Gentleman and I hope that he will join us in the Lobby tonight to vote against the Bill.
ParlaMint-GB_2015-09-14-commons.u252	I agree with my hon. Friend that trade unions are central to democracy and that we already have some of the most restrictive trade union legislation in the world—and the Bill will make it worse. Does she agree that the Government’s proposals are a threat to the security of our country because they threaten democracy?
ParlaMint-GB_2015-09-14-commons.u253	I will come on to aspects of that, but it is important that we do not discount the attacks on democracy contained in the Bill, including the sinister attack on freedoms that many of us have taken for granted, perhaps for too long.
ParlaMint-GB_2015-09-14-commons.u254	I declare my interests: I am sponsored by trade unions—the cleanest money in British politics and far cleaner than on the other side of the House. Does my hon. Friend agree that on Sky News yesterday the right hon. Member for Haltemprice and Howden (Mr Davis) described elements of the Bill as like something out of Franco’s dictatorship?
ParlaMint-GB_2015-09-14-commons.u255	Great minds obviously think alike, and I may well come back to that issue later in my speech.
ParlaMint-GB_2015-09-14-commons.u256	I declare an interest: I am a proud member of Unite the union and I have been since the miners’ strike. Does my hon. Friend agree that it is remarkable that 77% of the public believe that trade unions defend important aspects of workers’ rights and that we need them?
ParlaMint-GB_2015-09-14-commons.u257	It is wise to remember that trade unions defend not only their own members. Over the years, trade unions have created a process that has given us holidays, weekends and reasonable working hours. It is right that the benefits that trade unions bring to our society are recognised and extended to those who are not members of trade unions but happen to be at work. Any attack on those rights that weakens those powers threatens the progress made over many years in democracy at work.
ParlaMint-GB_2015-09-14-commons.u258	My hon. Friend mentioned the CIPD, and it is not only the usual suspects who oppose this Bill—there are some unlikely bedfellows because the Bill goes beyond party politics. As we have heard, the right hon. Member for Haltemprice and Howden (Mr Davis) called it redolent of Franco’s Spain. The Secretary of State pooh-poohed Vince Cable, the former Business Secretary, for calling it “vindictive”. A letter has been signed by 100 academics, mostly from business schools which are not usually seen as hotbeds of radicalism in our country. Will independent-minded Conservatives join us and our new leader in the Lobby tonight to oppose this draconian legislation?
ParlaMint-GB_2015-09-14-commons.u259	I would like to live in a world in which the Tory party did not have this kind of blood lust against trade unions, but alas we are not there yet.
ParlaMint-GB_2015-09-14-commons.u260	I congratulate the hon. Member for Wallasey (Ms Eagle) on her promotion. She works hard in the north-west It is interesting to note that the new shadow Chancellor has told trade unionists: “We will support all demonstrations in Parliament or on the picket line”— against the Bill— “We will be with you at every stage. It is not often you have heard that from a Labour MP but you are hearing it now.” Does the shadow Business Secretary agree with that?
ParlaMint-GB_2015-09-14-commons.u261	I agree with the right to demonstrate. I thought we were living in a free country The Bill is draconian, vindictive and counterproductive. It is: “very provocative, highly ideological and has no evidence base at all”. Those are not my words; they are the words of Vince Cable, the right hon. Gentleman’s predecessor as Business Secretary in the previous Government. He has a very revealing insight into the mindset of the Conservative party, the people he was in coalition with for five years, which has concocted the Bill “When we were in government, the Tories were constantly pressing for more aggressive trade union legislation of the type we see…They see the trade unions and the Labour party as the enemy. The question then is how do you weaken them? That is their starting point.” This is the prism through which we have to see the proposals before us today. Forget the blabber from the Secretary of State; this is the prism through which we have to judge these proposals.
ParlaMint-GB_2015-09-14-commons.u262	I, too, congratulate my hon. Friend on her elevation The Bill comes straight out of the right-wing playbook of the American Legislative Exchange Council. As Governor of Wisconsin, Scott Walker did exactly the same thing in 2011 and put industrial relations back in that state for a generation. Does my hon. Friend not agree?
ParlaMint-GB_2015-09-14-commons.u263	More than that, I think the slightly shifty looks on the faces of many Government Members demonstrate that they know they have been found out. They have been rumbled It is abundantly clear that, whatever protestations we may have to the contrary, Vince Cable’s analysis explains what is really going on with this disgraceful piece of proposed legislation. Perhaps that is why so few people will defend it. Even Government Ministers will not defend it in public, as this tweet from “Murnaghan” revealed on Sunday: “We asked the Government and the @Conservatives for an interview with any Minister/MP to defend the Trade Union Bill. No one was available.” They do not want to be questioned about it. Like all authoritarians, they just want do it as quickly as possible and brook no dissent The right to be part of a trade union to campaign for protection at work is a fundamental socioeconomic right. It is enshrined in the UN’s universal declaration of human rights and the international covenant on civil and political rights.
ParlaMint-GB_2015-09-14-commons.u264	Will the hon. Lady give way?
ParlaMint-GB_2015-09-14-commons.u265	No. I have given way a lot of times and I am in the middle of the peroration Before I was so rudely interrupted, I was just about to say that the Bill rides roughshod over that right. It threatens the basic options that those at work have to safeguard their pay and conditions by standing together to win improvements. Liberty, Amnesty and the British Institute of Human Rights have all said that the Bill’s purpose is to “undermine the rights of all working people” and amounts to a “major attack on civil liberties in the UK.” That warning should not be dismissed lightly by the Conservative party. Workers’ rights to freedom of expression, freedom of assembly and freedom of association are all undermined by the Bill. For example, the requirement forcing workers to disclose media comments to the authorities a week in advance or face a fine and the requirement under clause 9 for picket supervisors to register with the police and wear identifying badges are a dangerous attack on basic liberties that would not be tolerated by the Conservative party if they were imposed on any other section of society Remember that it is now known that thousands of people in the building trade have had their livelihoods taken away and their lives ruined by illegal employer blacklisting, a scandal that this Government have failed either to pursue or remedy. The Bill has been criticised for being OTT, with parts of it resembling the dictatorship of General Franco. Those are not my words, either, but the words of that noted Marxist agitator, the Conservative right hon. Member for Haltemprice and Howden (Mr Davis) That sinister intent needs to be added to other attempts by the Government to curb dissent in our country today. They have restricted access to justice by imposing fees to access the courts, which are causing the innocent to plead guilty. They want to scrap the Human Rights Act, which safeguards our basic freedoms. Their commitment to transparency in Government is in tatters with their plans to limit freedom of information powers. They have slashed legal aid and introduced employment tribunal fees, which deny women the chance to sue for equal pay or defend themselves against sexual harassment. They have limited the scope for judicial review and used their gagging law to bully charities into silence at the election, and now they are trying to silence the trade union voice through a tax on the existence of political funds, which finance general non-party political campaigning as well as the Labour party This is another gagging Bill, and those of us who care for the health of our democracy and civil society are united in opposing it. Clauses 2 and 3 are deliberately designed to undermine the bargaining power of trade unions by requiring minimum turnouts, thresholds and support before a strike ballot is valid. The new proposals demand a mandate for unions that breaks the democratic conventions of our society by counting votes not cast as essentially no votes More than half of the Cabinet would not have met that arbitrary threshold had it applied to their election to this House in May. Why do the Government have different standards for democracy and trade unions than anywhere else in our society? Clause 3 ensures that the 40% level of support restriction will apply to a much bigger list of sectors than the internationally recognised definition of “essential services” and, ominously, allows sectors to be added by secondary legislation that is as yet unpublished. From listening to the Secretary of State, it appears that the Government do not intend to publish it until the Bill is in the Lords If the Government are so worried about participation in ballots, why do they not allow e-balloting and secure workplace balloting, which are used routinely by many organisations? Clauses 4 to 6 might more usefully be described as the clauses that smother unions in “blue tape” and the hypocrisy of the Business Secretary in this respect is staggering. In July, he launched his drive to cut red tape, yet when it comes to unions he is increasing the powers of the certification officer and deliberately placing additional information and reporting burdens on unions. Not content with doing that, the Government, through clauses 12 and 13, are reducing the ability of trade union officials to do their jobs with the introduction of new powers to restrict facility time It is not hard to come to the conclusion that these proposals have been written to be as unworkable and difficult to comply with as possible. They also create many more opportunities for ballots to be challenged by employers for minor technical reasons. Again, it is clear that the increased risk of employer challenge is an integral part of the Government’s intentions.
ParlaMint-GB_2015-09-14-commons.u266	Does my hon. Friend recall that throughout the 1980s the working people of this country were lectured about giving managers the right to manage? Management in this country has agreed with trade unions at a local level who should have facility time and what they should do with it. Why should the Government have to intervene to destroy that partnership, which has worked for the benefit of all concerned?
ParlaMint-GB_2015-09-14-commons.u267	Rather like Don Quixote, they are tilting at windmills, and legislating for an absurd caricature of the reality of industrial relations up and down the country, for partisan purposes. That is why we oppose the Bill Clauses 7 and 8 extend the notice requirements for any industrial actions and restrict the effect of any ballot for strike action to four months. These clauses are designed to narrow the effectiveness of any industrial action, even if it has reached the much higher requirements of turnout and support required for clauses 2 and 3. There is no sign of any evidence that could justify these changes and no sign of a clamour for employers to change the existing system. Indeed, these changes may intensify industrial dispute during the four-month period, and make things worse.
ParlaMint-GB_2015-09-14-commons.u268	I am grateful to the hon. Lady for allowing me—unlike the Secretary of State—to intervene. Everyone who heard the Secretary of State’s contribution will know that he cited the example of Northern Ireland, stating that what was good enough for Northern Ireland was good enough for the rest of the country. In particular regard to the political fund, trade union members in Northern Ireland have had to opt in, and that has been the case for over 60 years. Will the hon. Lady clarify what percentage of trade union members in Northern Ireland have opted in to the political fund?
ParlaMint-GB_2015-09-14-commons.u269	I do not know; perhaps the hon. Lady wants to tell me.
ParlaMint-GB_2015-09-14-commons.u270	I am most grateful to the hon. Lady. I have enormous regard for her and I congratulate her most sincerely on her appointment to the shadow Front Bench. The answer to the question—I am sure it must have slipped her mind, as she always does her homework before contributing to debates—is 39%. Let me add that it could be to do with the fact that the Labour party never fielded candidates in Northern Ireland. Perhaps under the new leadership, the party might think of rivalling its buddies in Sinn Féin.
ParlaMint-GB_2015-09-14-commons.u271	Madam Deputy Speaker—[Interruption.]
ParlaMint-GB_2015-09-14-commons.u272	Order.
ParlaMint-GB_2015-09-14-commons.u273	We will have to have a chat about whether the Labour party should organise in Northern Ireland. It is a long-standing issue within our party. I would be more than happy to talk to the hon. Lady about that, but I suspect Madam Deputy Speaker would stop me from doing so over the Dispatch Box We all know that this Government—barely with a majority—increasingly behave in a grossly partisan way, whether it is through individual electoral registration designed to disfranchise voters, by introducing English votes for English laws, or now by making changes to party funding to try to hobble the main Opposition.
ParlaMint-GB_2015-09-14-commons.u274	Will the hon. Lady give way?
ParlaMint-GB_2015-09-14-commons.u275	I suppose so—[Interruption.] The hon. Gentleman has melted my heart.
ParlaMint-GB_2015-09-14-commons.u276	That is something I thought I would be unable to do; I am grateful that my persistence has paid off. The motivation behind this Bill has nothing to do with the things that the hon. Lady has just mentioned; it is to do with protecting and helping ordinary hard-working people to go about their day-to-day lives and their work unimpeded by strike action, which sometimes has turnouts as low as 16%. It is reasonable to protect them, and I ask the hon. Lady to support that
ParlaMint-GB_2015-09-14-commons.u277	Disillusion has set in very quickly, I am afraid, with the hon. Gentleman. All I can say is that I am a long-standing member of a trade union, so I know many trade unionists, and I know that very few of them would contemplate being silly enough to have industrial action with very low turnouts and very little support, because that simply does not work The Prime Minister used to say he wanted to reform party funding and would limit donations from all sources. Now, however, instead of addressing the big money in politics—and the big issues that are causing disillusionment from politics generally—with millionaire hedge-fund donors being treated to lunches and dinners with the Cabinet, this Government are, outrageously, focusing on curbing only trade union donations. There is an important issue about big money in politics, but it needs to be dealt with on a cross-party basis.
ParlaMint-GB_2015-09-14-commons.u278	Will the hon. Lady give way?
ParlaMint-GB_2015-09-14-commons.u279	No As I was saying, that issue needs to be dealt with on a cross-party basis to change our political system fairly, and not just with the partisan interests of the Tory party in mind As the Regulatory Policy Committee has noted, these proposals for changes are rushed, and have had nowhere near the level of consultation that they deserve. The committee has described the impact assessment as “not fit for purpose”. There are serious questions about whether this Bill is compatible with the international legal obligations of the United Kingdom, as a member of the International Labour Organisation. The ILO has already criticised the UK on a number of occasions for its constraints on the right to strike, and the United Nations special rapporteur on the rights to freedom of peaceful assembly and of association has called for more, not less, trade union freedom in Britain.
ParlaMint-GB_2015-09-14-commons.u280	Will my hon. Friend give way?
ParlaMint-GB_2015-09-14-commons.u281	I am winding up now Given the serious questions about its effect on fundamental rights, the Bill may be open to legal challenge on a number of fronts, including its impact on the devolution settlements, because it covers areas such as health and education that are clearly devolved. The Welsh Government, who have a substantially better record of working constructively with trade unions than this Administration, have objected to the proposals in strong terms, and are considering whether a legislative consent motion might be appropriate The Bill is a divisive piece of legislation which undermines the basic protections that trade unions provide for people at work. This is a partisan attack to undermine those unions, and the Labour party, but it will have substantial implications for more than 6 million workers by undermining unions’ ability to stop harassment in the workplace and ensure that the basic health and safety of workers is maintained. The Government are pushing through an agenda of attacking civil society, intimidating charities, threatening basic civil liberties, and undermining access to justice. These draconian measures must be stopped, and I urge the House to deny the Bill a Second Reading.
ParlaMint-GB_2015-09-14-commons.u282	I rise to support the Bill, but also to make a key recommendation to the Secretary of State for a later amendment on which I hope to speak in Committee In the time available to me today, I want to explain why I believe in the importance of workplace representation, and why faith needs to be built into it so that it can expand to help and support workers and move away from being a political plaything. I am a founding member of Unite, by virtue of the merger that caused my Manufacturing, Science and Finance union to become first Amicus and then Unite. I eventually resigned from Unite, because it stopped being a trade union and became a financial cash cow enabling misguided Marxists at the top to play with their members’ lives for their own political fun and games A trade union needs to be about much more than just strikes over pay, or Labour party politics. It should be proud of the achievements that it helped to bring about in health and safety law, and of the work that brilliant and dedicated shop stewards do to improve the wellbeing of their members. As a young worker some years ago, I was victimised in the workplace, and there was no union to turn to. I learnt a lot from that. Equally, I have seen shop stewards do fantastic work for those who have faced bullying and victimisation in the workplace. It is often the shop stewards who provide the best example of trade unionism—despite those at the top—but the common factor is frequently their lack of political ambitions, and it is political ambitions that have poisoned the workplace. Let us consider Grangemouth. Where was the collective bargaining then? There was an attempt to stitch up a Labour selection process caused by the violent actions of a Labour MP in Westminster who was expelled, while all the time the MP’s constituents and the union’s members were left to be exploited and have their pensions destroyed by an unsympathetic employer whom no one stood up to until it was too late As in the 1970s, today's unions use hard-working people, through either their money or their work, to try to cause pain to the democratically elected Government because they do not like the verdict of the people. That is a twisted abuse of trade unionism, in which the workers are merely pawns in a wider political game played by some power-crazed leaders whose purpose is usually to disrupt not only the Government but the leadership of the Opposition, against most of its MPs’ will. They always want to call for strikes rather than sensible negotiations, even through those of us who have had normal backgrounds like everyone else, regardless of our party. [Interruption.] Well, I went to a comprehensive school. I know that Labour Members’ new leader went to a public school, but I did not Even a founding member of the Labour movement, Robert Blatchford, said: “A strike is at best a bitter, a painful and a costly thing and no substitute for political action.” Trade unionism did not start like that. By 1868, the many trade unions had formed the TUC, which had financial plans for sickness, accident and death payments based on contributions—literally the first social security. In his book “Speak for Britain”, Martin Pugh commented: “Prudent management of union funds won approval from contemporary politicians, but was criticised by socialists” He went on to say: “This was unfair as the Victorian TUC effectively pioneered a political role for workingmen.” In 1885, with £4 million in the bank, the TUC hesitated in funding 95 working-class MPs as it felt bound to be cautious about introducing political divisions in order properly and honestly to represent all working men. Pugh says: “They felt incurably suspicious about overtures made by small unrepresentative socialist societies anxious to milk their funds to promote hopeless candidatures.” But today their funds built by hard-working people have been used for just that It is right that the Bill brings in protection for hard-working people who want proper workplace representation rather than just a cash cow to be milked by union leaders for their own political game.
ParlaMint-GB_2015-09-14-commons.u283	I am interested in the hon. Gentleman’s history lesson, but it is completely wrong because the early trade unions supported the Liberal party rather than socialist candidates. Is he aware that many trade unions have political funds but donate not a single penny to the Labour party? The Minister spoke of union members not having a say, but a ballot on political funds has to be held every 10 years. People can opt out of paying the political levy at any time during their membership.
ParlaMint-GB_2015-09-14-commons.u284	I thank the hon. Gentleman for his comments. I will talk later about the opt-in and the opt-out, and I think he will listen carefully to what I have to say Without employer faith in trade unions we will end up in the situation that culminated in the Grunwick dispute of the late 1970s. I hope that the hon. Member for Birmingham, Erdington (Jack Dromey), for whom I have great respect, will comment on that dispute because I will be fascinated to hear his account of it If ever there was an example of where proper, pragmatic workplace representation was needed on both sides, it was in that dispute. There can be no doubt that George Ward exploited his workers and sacked those who spoke out. The problem was that the union movement had become so toxic in the 1970s that the dispute led to a digging in of the trenches and became a symbolic political argument rather than being based on the genuine concerns of workers who were treated like his property and had to work in stifling conditions, without canteen facilities, or the ability to turn down forced overtime.
ParlaMint-GB_2015-09-14-commons.u285	At the heart of the Grunwick dispute was a bad employer, supported by the Conservative party, who refused to give recognition to the trade union, despite a court of inquiry chaired by Lord Justice Scarman recommending recognition and reinstatement. That would not now happen because a Labour Government legislated to introduce the right to trade union recognition.
ParlaMint-GB_2015-09-14-commons.u286	I thank the hon. Gentleman for his comments, because I am coming on to that point. I was about to say that I do not agree with the position my party’s leadership took then, nor the praise that was given to the strike breakers, but I give this warning: my opinions are couched in a life after the trade union reform the hon. Gentleman mentions. I was literally in nappies when the Grunwick affair took place. What it shows is that it is necessary to make sure that relations between workers who need support and the trade unions do not become part of a proxy political battle. I agree with the hon. Gentleman about the need for workplace representation, and I welcome that that rule was brought in The popularity among the public and leading politicians of strike breakers was a direct consequence of trade union militancy, using the power of strike action as a political tool, even under a rather left-wing Labour Government, rather than a tool of grievance, so that when strike action was genuinely needed—as I believe it was in that case—the cause and effect were lost in a wider political argument We must take this example into consideration, because there is a difference between a public and a private sector dispute. The free market dictates that private companies exist according to supply and demand: if the company sinks, the market will reshape and another company will fill the void, whereas the state is solely responsible for the delivery of key public services. When conditions in the private sector are so bad that a strike has been called, the striking workers will weigh up the consequences to their ongoing conditions. In comparison, a public sector striker will go back to work having lost the day’s pay they were on strike for. They will not face a salary drop, probably will still get a pay rise and will have a very good pension. That is not the case in the private sector, where it can mean job losses, unresolved disputes and sometimes worse pay than at the start. After the general strike of 1926, the miners’ pay was worse than at the start. Those are heavy considerations for those in the private sector taking strike action, but those in the public sector do not have to worry about them. I therefore ask the Secretary of State to reconsider the proposals in the Bill to allow private sector companies to employ agency workers during strikes. There are key differences between the services provided by the private and public sectors, and that should be recognised in the Bill Public services are paid for by the taxpayer, and they often have terms and conditions of employment beyond the dreams of those working in the private sector. When those in the public sector strike, those in the private sector—whose taxes pay the wages of those on strike—often lose pay themselves owing to a lack of transport or childcare. That is why it is right that thresholds should be set. Such thresholds would not have made a difference to the recent tube strikes, but they would clearly indicate the strength of feeling involved. With the current ease of striking, and the consequences to members’ livelihoods that that involves, it is no wonder that only 14% of those working in the private sector take up union membership, compared with more than 50% of those in the public sector.
ParlaMint-GB_2015-09-14-commons.u287	Will the hon. Gentleman give way?
ParlaMint-GB_2015-09-14-commons.u288	No, I want to crack on. I have given way a couple of times, and a lot of people want to speak Above all else, the Bill will start the process of restoring faith in the trade union movement so that those in the private sector can feel that they have workplace representation without a militant tendency that could destroy their livelihoods or funding a political party that they do not agree with That brings me on to the question of opting into the political levy. How can unions offer independent workplace representation to people who desperately need their help if they are tied to the Labour party by funding it automatically? I accept that this does not apply to every union, but hard-working people’s fees are often used in that way As I mentioned earlier, I was a founding member of Unite. I wanted to opt out of the political levy, but it was no easy task, with advice in short supply on how to do it. In the busy workplace, I never got to action this, as my requests were always forgotten or complicated. I helped to support the 2010 general election campaign of my hon. Friend the Member for Pudsey (Stuart Andrew), who stood against a Unite-funded lackey. That cannot be right, and it clearly goes against my political beliefs The opt-in will need to be closely monitored. Affiliated votes in the Labour leadership campaign accounted for about 200,000 of 4.3 million trade unionists. If 1 million people suddenly opt into the political levy, something is going on. To be blunt, I believe that that could involve intimidation. Such tactics were used only last week in my constituency. Members of a protest group called the People’s NHS were knocking on doors and telling my constituents that the Government were selling off the NHS to an American company via the Transatlantic Trade and Investment Partnership. We all know that that is tosh, especially as on 8 July 2015 the European Parliament voted by 436 to 241 to exclude public services from the scope of the TTIP deal. So these people knocking on the doors of the elderly and vulnerable in my constituency are scaremongering with lies. But who are they? Well guess what—they are funded by Unite. The trouble is, having parachuted a Unite candidate from London into my seat at the general election—giving me the largest ever Tory vote in my seat, for which I am grateful—the union is now trying to lie to people to get its own way But it is worse than that. My constituents know me well, so they are quick to contact me with their concerns. One constituent contacted me to say that she felt “intimidated to agree” and that people “had no choice but to put up their propaganda signs, because they were told everyone else was doing it and they would be the only ones who didn’t” This constituent even found comments in her name reported in the local press, which she did not agree to. Not only are those people nasty, ill-informed bullies and a disgrace to trade unionism, but to top it all they then tried to get my constituents to join Unite. My right hon. Friend the Secretary of State will have to bring in mechanisms to ensure that the opt-in is not abused by union thugs bullying people into signing up. We received warnings about this only last weekend from the former Home Secretary, David Blunkett, who fears a return to the bullying and intimidation of the 1980s in the labour movement I believe that people should have workplace representation. I class myself as a trade unionist because I believe that a union of people in a trade can negotiate better with someone representing them as a group, so that those who simply do not have it in them to stand up and speak out publicly can have representatives who will. The TUC in the 19th century recognised this and wanted to support working-class MPs to enable them to represent workers politically. That is a long way from today’s practice of using members for their leadership’s own political games. The public are tired of it, and these reforms are now being demanded. I believe that there needs to be a distinction between the public and private sectors, but fundamentally I want all workers to be properly represented in the workplace, independent of party politics.
ParlaMint-GB_2015-09-14-commons.u289	I rise in total opposition to this Bill. Let me declare my Unison membership and my 20 years of trade union activity before my election. In my maiden speech in this place, I said: “The trade union movement gave me a political education and the confidence to stand for election, and I know that this experience is shared with other Members who did not have a privileged start in life.”—[Official Report, 4 June 2015; Vol. 596, c. 832.] I will never be ashamed of being a trade unionist The irony of this Bill is that it comes from a political party that believes the answer in today’s world is to deregulate—except in the case of the trade union movement and trade union law. The unions are subjected to heavy regulation, which the Tories bitterly oppose in other circumstances. This is a timely reminder that this Government fear the trade union movement and that this Government know they can be defeated. That is because the trade union movement is the largest group in civic society that stands up against exploitation. The Bill will lead to a deterioration of good industrial relations and it has no support within public opinion. It is designed to reduce civil liberties and human rights The Bill also displays a remarkable ignorance—we have heard about that from several speakers already. The Government attempt to justify this Bill by citing industrial action that actually meets the thresholds. The Bill seeks to introduce the 40% rule, but I think it is dangerous for this Government to introduce that rule because the last time a Government tried to introduce such a rule, which affected Scotland, they had a low majority and they ended up being kicked out in a vote of no confidence. We will have the situation where dead people will be described as “not supporting” industrial action. That is why the thresholds are dangerous.
ParlaMint-GB_2015-09-14-commons.u290	Does my hon. Friend not think it even stranger that the 40% threshold is demanded by a Government who got only 24% of the electorate vote overall and only 10.5% of the electorate vote in Scotland? They were rejected by 90% of the voters of Scotland.
ParlaMint-GB_2015-09-14-commons.u291	Yes, I agree. In Scotland, at the last election, the Conservative party received its lowest share of the vote since universal suffrage began. If the Government are going to introduce thresholds, they need to consider securing workplace balloting, which could be easily sorted out by Electoral Reform Services, or online voting. Political parties use online voting when selecting their candidates, so the suggestion that there might be fraud is nonsense.
ParlaMint-GB_2015-09-14-commons.u292	rose—
ParlaMint-GB_2015-09-14-commons.u293	I will give way to my Unison comrade and friend.
ParlaMint-GB_2015-09-14-commons.u294	I thank the hon. Gentleman for giving way. Does he agree that some of the rhetoric we have heard from Conservative Members is offensive to public sector workers, who do not take strike action at the drop of a hat and who are dedicated public servants? I am talking about home carers, cleaners, cooks, social workers, bin men, bin women and all those other people who safeguard our public services today. They do not take strike action at the drop of a hat, and it is disgraceful that Conservative Members have been using this rhetoric today.
ParlaMint-GB_2015-09-14-commons.u295	I agree completely, and I will give some examples confirming what the hon. Lady describes. Introducing online voting and securing workplace balloting would be modernisation. We keep hearing about modernisation from Conservative Members, and we will come on to deal with it The other danger about thresholds relates to issues of equality and, in particular, gender equality. We know that in some male-dominated trade union workplaces women who have young families are affected when there are shift changes, and thresholds would have an impact on the rights of women workers to pursue industrial action on that basis. That happened recently in the case of a fire brigade control service in Essex.
ParlaMint-GB_2015-09-14-commons.u296	We have heard rhetoric from Conservative Members about how the Bill will help hard-working people go about their business. Does the hon. Gentleman not therefore find it ironic that curtailing the rights of working people to organise collectively through trade unions, which is what this Bill is designed to do, will stop those people arguing for and bargaining for better working conditions?
ParlaMint-GB_2015-09-14-commons.u297	Yes, I do. The Bill is designed to continue austerity—that is exactly what it is about. It is about trying to curb the largest organisation in the UK that is campaigning against austerity These issues of gender equality are very important, because recent trends have shown that what is on the increase is pregnant workers being dismissed and women workers coming back from maternity leave being made redundant. That is a recent phenomenon and this Parliament will need to address it. The Government have not taken any of those issues into account. As we heard earlier, 270 Conservative Members would not have been elected if those thresholds had been in place There is also the issue of the deadlines on ballot times. I was interested to hear the Secretary of State say that industrial action would not be curbed, but in actual fact it could be. Let us say that a large employer issued a 45-day redundancy notice. If the trade unions have to give 14 days’ notice of a ballot and 14 days’ notice to take industrial action, it will be very difficult for them to organise themselves within that timeframe, and it could well make industrial action impossible We oppose the changes on political funds. This is about not just party politics and attacking the Labour party, but the general campaigning that the trade unions fund as well. I am talking here about equal pay; stronger maternity leave; 50:50 gender representation; and giving money to organisations such as HOPE not hate and other anti-racist organisations, community groups, and international aid organisations such as Justice for Colombia and Medical Aid for Palestine.
