ParlaMint-GB_2015-09-16-commons.u1	1. What assessment he has made of the effect of the summer Budget 2015 on people in Wales.
ParlaMint-GB_2015-09-16-commons.u132	My right hon. Friend and the Government are to be congratulated on the manner in which they have dealt with the problem of migration at source, but will she do what the European Scrutiny Committee has insisted on and agree to a debate on the document on the relocation of migrants, which we will discuss with the Minister for Europe in about an hour’s time? We have asked for it to be debated on the Floor of the House, but without success. Will the Home Secretary agree to that request Will the Home Secretary also recognise that Germany, despite all the hype, has not done anything like as well as the United Kingdom in respect, for example, of the money we have provided to the World Food Programme? Some of its policies have clearly been orientated to assist its own internal economic problems. She should have a word with her counterpart to ensure that Germany does actually step up to the mark in doing the sorts of things that are really going to help and stop the tsunami of millions of people who could well come over here and swamp Europe
ParlaMint-GB_2015-09-16-commons.u133	My hon. Friend has long championed having debates on the Floor of the House on various matters put forward by the European Scrutiny Committee. The business of the House is of course a matter for the Leader of the House and the business managers. I simply point out to my hon. Friend that how the EU has responded on this matter has already been addressed by Members in our debates. Last week we had a number of discussions on this whole question, including three in the Chamber on various aspects of the refugee crisis and, indeed, migration In relation to aid, my hon. Friend is absolutely right that the United Kingdom has, as I said in my statement, given financial support to the aid programme adding up to virtually the same as that of the rest of the European Union put together, so I think we can be justifiably proud of what we have done. I think I am right in saying—I will correct this if I am wrong—that we are actually giving about double what Germany is giving in aid to refugees in the region I reiterate that the reason why that is important is that it helps people to stay in the region, where many of them want to be, so that they are there and able to return to Syria when the conflict is over and they can do so, and so that they are not encouraged to make the perilous journey that, as we have seen—sadly for some, including for some very young children—has led to a loss of life.
ParlaMint-GB_2015-09-16-commons.u134	I thank the Home Secretary for her statement, but the Scottish National party remains of the view that the United Kingdom Government are not doing enough in the face of the extraordinary humanitarian crisis sweeping across southern and now central Europe It is a matter of regret that at the emergency meeting on Monday, European Interior Ministers did not explicitly endorse Jean-Claude Juncker’s plan to have mandatory quotas for member states to facilitate the resettlement of the 120,000 refugees who are now in Italy, Greece and Hungary. The SNP welcomes reports that Ministers agreed in principle to share the refugees among different countries, but is disappointed that they could not decide how the refugees would be divided up. Meanwhile, the unravelling of frontier-free travel across Europe over the past few days is a symptom of the fact that certain states are bearing the brunt of the influx of refugees. It is therefore imperative that EU Interior Ministers agree on a new system of binding quotas for refugees to be shared across Europe It simply will not do for the United Kingdom Government to continue to insist on an opt-out from relocation proposals for the refugees already in Europe. As my right hon. Friend the Member for Moray (Angus Robertson) said in our Opposition day debate last week, the SNP recognises and welcomes the steps that the UK Government have taken, but we do not think that they are doing enough—nor do significant numbers of the British public and leading international charities. In her statement, the Home Secretary said: “The response of the British public has been one of overwhelming generosity”. Why are her Government unable to match that overwhelming generosity In the face of the biggest humanitarian crisis to hit Europe since world war two, it is just not right for the UK to refuse to take one single refugee from the European mainland. We should be taking steps to relieve the pressure on southern European countries, which, because of their geography, are the first port of call for the refugees. The refugees are seeking sanctuary with us—with Europeans—and countries such as Greece are ill-equipped to cope with them because of their own economic condition. Richer EU member states, such as the United Kingdom, should assist them to deal with the enormous challenge that they face. Will the Home Secretary please reconsider her refusal to take any refugees from the European mainland Finally, I want briefly to welcome the Home Secretary’s statement that the United Kingdom Government will take steps to co-ordinate the humanitarian and practical response at home by making contact with NGOs and setting up a gold command team. Some weeks ago, the Scottish Government set up a taskforce—it has now met twice—which brings together stakeholders from across Scotland in the areas of local government, housing, heath services, language support, transport and social services, as well as charities and faith communities. Will the Home Secretary confirm that what she is doing is something akin to that taskforce, and that it will perform the same function on a continuing, rather than a one-off, basis?
ParlaMint-GB_2015-09-16-commons.u135	rose—
ParlaMint-GB_2015-09-16-commons.u136	Order. Before we proceed—I certainly did not want to interrupt the hon. and learned Lady, who is a most experienced advocate—I just want to say to the House that from now on and in conformity with usual practice, statements should be followed by questions rather than further statements. Of course, I partly have what the hon. and learned Lady said in mind, but not only what she said. It has become quite common in recent times for people to feel that they must follow a statement with another statement. This is not for speeches to the Press Gallery; it is for a series of questions following the statement. I hope that that is helpful. It is genuinely intended to be helpful.
ParlaMint-GB_2015-09-16-commons.u137	The hon. and learned Lady invited me to comment on the Schengen borders and the decisions taken by a number of European Union member states who belong to the Schengen border-free zone. I would simply say that such decisions are matters for countries that are members of the Schengen zone. The United Kingdom is not a member of Schengen and will not be a member of Schengen The hon. and learned Lady referred to the public’s overwhelming generosity and various issues about how we are helping people. While she welcomed what we are doing, she said that we are not doing enough. I would say to her that the overwhelming generosity of the British people has been exemplified, first, by the fact that we have been willing as a Government to commit to 0.7% of GNP going to our aid budget, and secondly, by the fact that we are the second biggest bilateral donor to people in the region. The figures are striking. There is obviously a difference in terms of the support given and the sort of life and accommodation that people have, but I think these are the figures: with the money that would be spent on one individual coming to the UK, 20 people can be supported in-region. That is why we have always said that we can help more people by supporting them in the region, where, as I said in response to my hon. Friend the Member for Stone (Sir William Cash), they are then able to go home when that becomes possible. Finally, we have had significant interaction with the Scottish Government. I think that the Prime Minister spoke to the First Minister last week about this matter. We have also had interaction with the Welsh Government on it. My hon. Friend the Under-Secretary of State for Refugees is due to meet the relevant Scottish Minister soon and to speak to the relevant Welsh Minister, and my right hon. Friend the Minister for Immigration spoke to his Scottish and Welsh contacts on this matter last week.
ParlaMint-GB_2015-09-16-commons.u138	In my right hon. Friend’s EU ministerial discussions, has any progress been made on finding and producing better safe havens outside the external frontier of Europe? Refugees from places such as Somalia, Eritrea and Iraq, as well as those from Syria, could be taken to such safe havens when they cross the Mediterranean or reach the border in other ways, and could live there in civilised conditions while they are processed to decide whether they have any claim for asylum. Does she agree that, although it would be an enormous task to arrange that, something of the kind must be attempted if we are to stop this stream of destitute people coming along the roads and railways of Europe to get to Britain, Germany or Sweden?
ParlaMint-GB_2015-09-16-commons.u139	My right hon. and learned Friend makes a very important point. There has indeed been discussion at European Union level. I and other colleagues, particularly the French Interior Minister, have encouraged the European Commission to work at pace. The initial proposal is for a centre in Niger. We are looking, as is the European Commission, at the possibility of a centre in east Africa as well. It is obviously important to look very carefully at where it is appropriate to have such a centre, because it needs to be a place of safety for individuals. This also relates to the important issue of illegal economic migrants, rather than refugees, in that it is about breaking the link between making the perilous journey across the Mediterranean and gaining settlement in Europe.
ParlaMint-GB_2015-09-16-commons.u140	I thank the Home Secretary for her kind remarks. She and I were first elected together in ’97, served on our first Select Committee together, were first promoted at the same time and have shadowed each other for about seven years. I can only wish that her promotion prospects will be rather more successful than mine May I ask the Home Secretary about the crisis? I welcome the work that she has done in the last week alone since we debated this matter, but she has been asked repeatedly to go further in taking refugees from Greece, as well as from across Europe. Some 230,000 people have arrived in Greece this year alone. She has provided only 1,000 expert working days to help them. Does she really think that all those people, many of whom are Syrian refugees, should remain in Greece? Does she think that other countries nearby should offer to help and to take some of those refugees? If she thinks that other countries should offer to help, why shouldn’t Britain?
ParlaMint-GB_2015-09-16-commons.u141	I thank the right hon. Lady for her comments. I simply say to her that politics is an interesting business, and despite what one’s future looks like at this point in time, one never knows what may happen in the coming months and years. The right hon. Lady asked about the people who are in Greece. She recognised in her question that of those 230,000 people, not all are Syrian refugees and not all are refugees. There are people from other countries who have seen it as a route to enter the European Union. That is why the hotspots proposal is so important and why it is important to set it up as quickly as possible. There were indications on Monday from the European Commission and the Greek Minister that the support that is being put into that will enable people to be identified at that point, so that those who have a genuine claim to asylum can be supported appropriately and illegal economic migrants can be returned to the countries from which they originated.
ParlaMint-GB_2015-09-16-commons.u142	People traffickers and organised criminal gangs operating in the Mediterranean are responsible for the deaths of more than 2,600 people. Will the Home Secretary detail the action that is being taken to tackle that vile trade?
ParlaMint-GB_2015-09-16-commons.u143	I am very happy to do so. We have been working bilaterally, particularly with our French colleagues, to break a number of criminal gangs. We did that over the first few months of the year and quite a number of gangs were dealt with, but there are more out there that we need to deal with. We are putting support into the JOT Mare operation, run by Europol, which enables the sharing of intelligence on such matters. It is important that everybody participates in this. We have put effort into it and I have been encouraging my European counterparts to do the same, because we need a collective effort across the European Union. The National Crime Agency and Immigration Enforcement have set up a new organised immigration crime taskforce, to which 90 people are assigned, not only in the UK but elsewhere in Europe and in Africa, to help identify the criminal gangs and take action.
ParlaMint-GB_2015-09-16-commons.u144	I, too, welcome the appointment of the shadow Home Secretary and pay tribute to the former shadow Home Secretary for the work that she has done. I warmly welcome the appointment of the Minister with responsibility for Syrian refugees. He has a good record of dealing with the diaspora community in north London and I think he will do an excellent job My concern has to do with the criminal gangs, which were just raised by the hon. Member for Wealden (Nusrat Ghani). We are not part of Schengen, so we are not part of the rapid border intervention team deployments, but we need to provide support to break the criminal gangs. That means that there must be a 24/7 operation, because criminal gangs do not operate to Brussels office hours; it is something that they do all the time. What support will the Home Secretary give the Tunisian Government? I was in Tunis last Thursday where they are intercepting Libyan boats that are trying to get to Italy. Without supporting the Tunisians, we will not be able to defeat the criminal gangs.
ParlaMint-GB_2015-09-16-commons.u145	The right hon. Gentleman makes an important point. I am tempted to say that very few of us work to Brussels office hours, but he is absolutely right that it has to be a 24/7 operation. We need co-operation across Europe, but we also need to work with the countries in Africa where the criminal gangs are operating. That is why the National Crime Agency has ensured that its new organised immigration crime taskforce has people in Africa who are able to work at a local level, with European input, to break the criminal gangs We also have the proposal from the European Union, which has been masterminded by High Representative Federica Mogherini, to take action off the Libyan coast through the common security and defence policy. Of course, that depends on the consent of the Libyan Government. As the right hon. Gentleman will know, that is not something that is possible at the moment, but work on the stability of Libya is part of the important work that needs to go on.
ParlaMint-GB_2015-09-16-commons.u146	In recent days, we have seen the closure of the German-Austrian border. Does my right hon. Friend, whom I commend for her statement, agree that that shows the naivety and nonsense of the Schengen treaty? Will she rule out this country ever being a signatory to it?
ParlaMint-GB_2015-09-16-commons.u147	My hon. Friend tempts me to talk about Schengen, as did the hon. and learned Member for Edinburgh South West (Joanna Cherry) who spoke for the Scottish National party. I simply say that we are not a member of Schengen. Decisions on borders within Schengen and the operation of the Schengen border code are matters for countries that are within the Schengen zone. We are not a member of it and we do not intend to be a member of it.
ParlaMint-GB_2015-09-16-commons.u148	We managed two debates in this House last week without a single reference to dehumanising language such as “swarming” and “swamping”. We have not managed that today. The next time the Home Secretary hears such language, will she undertake to say something and take a stand against it, instead of ignoring it as she did today?
ParlaMint-GB_2015-09-16-commons.u149	I say to the right hon. Gentleman that it behoves all Members of the House to be careful about how they speak in relation to these matters. It is the job of the Home Secretary, in responding to a question, to respond to the question.
ParlaMint-GB_2015-09-16-commons.u150	We are told by a Lebanese Minister that 2% of Syrian refugees are from ISIL. What are we doing to sort the overwhelming majority of decent people from the murderers, both in Asia Minor and in Europe?
ParlaMint-GB_2015-09-16-commons.u151	When people are identified to come to the United Kingdom under our resettlement scheme, we assess their needs and ensure that the proper security checks are undertaken. The fact that the refugees we are taking come from the most vulnerable sections of the populations in the camps suggests that the problems my hon. Friend is talking about are less likely. A lot of the people we have been taking are women and children who have been traumatised by sexual violence and who have particular needs. However, we do ensure that there are proper security arrangements in place in relation to the matter that he is talking about.
ParlaMint-GB_2015-09-16-commons.u152	Last week I spent three days in Lebanon—a country that took more refugees in two days than Britain will accept in five years. In Beirut, Sidon and the Bekaa valley, I met people who were suffering neurological problems as a result of chemical weapons, disabled children who were unable to access any support and frail elderly people who had been deregistered by the United Nations because they had made the decision to travel back to Syria to seek medical help that they were unable to afford in Lebanon When the Home Secretary is looking at her resettlement programme, I ask her to consider people who have been deregistered as refugees by the United Nations, as well as those who are registered. An estimated 50,000 Syrian children who were born in Lebanon do not have birth certificates. Those stateless children are the most vulnerable of the refugee population. Great work is being done by charities such as Islamic Relief and by the United Nations, but the most vulnerable people are those who have been deregistered.
ParlaMint-GB_2015-09-16-commons.u153	I understand that the Foreign and Commonwealth Office is doing some work to look at people in Jordan who do not have documentation. We recognise the effort that has been put in by the countries close to Syria—Turkey, Jordan, Lebanon—that have taken large numbers of refugees and that now see, particularly in the case of Lebanon, that the refugees who have come over from Syria make up a very significant portion of their population. That is precisely why the United Kingdom has been helping those countries by putting money into the camps to provide support for the refugees.
ParlaMint-GB_2015-09-16-commons.u154	I applaud my right hon. Friend for what we are doing for refugees in the region. Can she assure the House that, in liaison with the Local Government Association, councils will get long-term funding for refugees, not just funding for one year? We have the brilliant introduction of a new Minister for Syrian refugees, but will that Minister also look after refugees who were previously in Syria, namely Palestinian refugees?
ParlaMint-GB_2015-09-16-commons.u155	It is right that we cover the cost of refugees being received into the United Kingdom in the first year from available overseas development aid funding. That is open to us and that is the decision we have taken. My right hon. Friend the Chancellor made it clear that he is considering the funding thereafter, but he must obviously do that in the context of the spending review that is taking place. Given the criteria for the people who are being selected to come to the United Kingdom as refugees, not all of this is relevant, but it is possible for refugees to claim benefits and to work from day one.
ParlaMint-GB_2015-09-16-commons.u156	Why does the Home Secretary think that responding to this crisis in the region of origin and responding to its effects in Europe are mutually exclusive? Why can we do only one or the other, and not both? Until she answers that question, the Government’s response will not match the generosity of spirit that she has so rightly identified in the British people.
ParlaMint-GB_2015-09-16-commons.u157	A number of people who have asked questions today, who contributed to last week’s debates and who questioned the Prime Minister on his statement made a point about the large number of people who have been travelling to the borders of the European Union and trying to get to EU member states. One decision that the UK Government have taken is that we do not want people to make that perilous journey because, as we have seen, some of them die in the back of a lorry in Austria or on a boat in the Mediterranean sea. That is why it is important to provide support in the region. Countries are responding to this crisis in a number of ways. We have responded generously with our support for refugees in the region, and we are now taking an increased number of refugees directly to the United Kingdom.
ParlaMint-GB_2015-09-16-commons.u158	My right hon. Friend is correct to say that many of the people who have fled violence are traumatised and have been physically injured. The generosity of the British people in opening their homes to those people is remarkable, but will my right hon. Friend tell the House what process will be undertaken to vet those who are volunteering their homes, to ensure that they are suitable and that they understand the responsibilities they will be taking on?
ParlaMint-GB_2015-09-16-commons.u159	My hon. Friend makes an important point. That is why the work that the Minister for Syrian refugees will do in considering offers of support and ensuring that they are channelled in the best way possible is important, so that people are able to give that support. I have discussed this matter with the LGA, and local authorities will have some responsibility when considering people’s offers. However, the LGA has already sent a message to councils for them to give to others, because some people do not perhaps realise the nature of the commitment that would be required. We are talking about people coming to the United Kingdom with humanitarian protection for five years. These people are particularly vulnerable and, as I indicated earlier, some of them will have been traumatised, for example by the use of sexual violence against them. It is important that those people are placed in an environment where they get the necessary support, so that their experience of living in the United Kingdom is a good one.
ParlaMint-GB_2015-09-16-commons.u160	Birmingham City Council held an open meeting yesterday and made it clear that the city will welcome Syrian refugees. As the Home Secretary has recognised, those refugees will require long-term support, and to tell local authorities that they will receive funding only for 12 months is simply not sufficient. May I press her to make more long-term commitments and to allow local authorities to plan properly
ParlaMint-GB_2015-09-16-commons.u161	I will give the right hon. Lady the same reply that I gave to my hon. Friend the Member for Twickenham (Dr Mathias): we are clear that ODA funding will be available for the first year as the ruling on such funding is that it is available for 12 months. Thereafter, discussions will take place with the LGA, those involved in this issue, and with the Treasury, and the Chancellor has made clear that he will consider this matter carefully as part of the spending review.
ParlaMint-GB_2015-09-16-commons.u162	My right hon. Friend will have heard in this morning’s media that the Prime Minister of Hungary, Mr Viktor Orbán, has suggested that one reason to close the borders was to stop the dilution of Hungary’s Christian heritage. May I press her to say that when we help people from Syria and in the camps we will not discriminate against anyone as a result of their faith or otherwise?
ParlaMint-GB_2015-09-16-commons.u163	I fully endorse what my hon. Friend has said. We look at the need of individual refugees. This is not about people of a particular faith; we do not discriminate against people because of their faith, and it is their need and vulnerability that will determine whether they come to the UK.
ParlaMint-GB_2015-09-16-commons.u164	I very much associate myself with the remarks made by the Chair of the Home Affairs Committee. The Home Secretary said, quite rightly, that we should judge the number of refugees we take in on need, and not on a target. How can she then include refugees in her immigration target?
ParlaMint-GB_2015-09-16-commons.u165	The hon. Lady has tried, neatly, to join together two issues that it is not possible to join together. Figures on migration numbers are produced by the Office for National Statistics on the same basis as they have been produced for many years. Earlier I indicated that it is not right for us to say that we are looking to bring in a certain number of refugees by a certain date, because that will be determined by need and vulnerability. We are working with the UN High Commissioner for Refugees, at pace, to ensure that it can identify refugees whom it would be appropriate to bring to the United Kingdom, and at what support it might need in that work.
ParlaMint-GB_2015-09-16-commons.u166	The UNHCR has called on the international community to provide places for 130,000 particularly vulnerable Syrian refugees by the end of 2016, and on 18 August the number of pledged places was short by 25,590. I therefore welcome the Immigration Minister’s confirmation to the Home Affairs Committee last week that the 20,000 relocation scheme will be in line with the UNHCR requirement by 2016.
ParlaMint-GB_2015-09-16-commons.u167	My hon. Friend makes an important point, and the Immigration Minister held that discussion with the UNHCR last week after the Prime Minister made the initial announcement about the expansion of the Syrian vulnerable persons relocation scheme. My hon. Friend is right: the UNHCR was clear that that announcement will enable it to meet its target.
ParlaMint-GB_2015-09-16-commons.u168	We must address the push factors behind the refugee crisis, one of which is that individuals have been targeted, attacked and killed for their religion or beliefs, and their very identity is putting them at risk in their own country. To resolve the refugee crisis in the coming years, when will we start analysing and addressing the reasons behind that crisis, alongside providing practical humanitarian aid?
ParlaMint-GB_2015-09-16-commons.u169	We are seeking to address the reasons behind the crisis. The hon. Gentleman will recall that the Syrian conflict started with President Assad attacking his own people within Syria. People fled and there have been terrible scenes, including reports of a barrel bombing that has taken place more recently and the possible use of chemical weapons. These are matters of concern, and one can understand why people are fleeing. If we add to that the brutality of ISIL—or Daesh—in parts of Syria, we can see why around 11 million Syrian people have been displaced. About 4 million of those have left Syria to go to refugee camps, and a significant number are still in Syria but displaced from their original homes. Dealing with the origin of the conflict must be part of the work done by the international community.
ParlaMint-GB_2015-09-16-commons.u170	Does my right hon. Friend agree that in these challenging circumstances it is increasingly difficult for the Schengen arrangements and the protocols of the Dublin convention to work effectively together? Does she agree that it is important for Schengen members to work effectively to update its increasingly outdated framework?
ParlaMint-GB_2015-09-16-commons.u171	The members of the Schengen zone are already considering how the Schengen arrangements and border code operate and whether any changes need to be made. Obviously, as my hon. Friend and other hon. Friends have hinted, some countries have been exercising the clause in the Schengen arrangements that enable them to take emergency border measures. It is right that the members work together on this issue to decide what is appropriate, and it is right that we have retained our border controls and are not part of Schengen.
ParlaMint-GB_2015-09-16-commons.u172	A gold command team has been set up to look at how we offer people support when they are here. Can they also look at the welcome people get the minute they set foot on UK soil? As the Secretary of State has said, we are taking the most vulnerable people and they need to know they are welcome here. I was struck by what happened in Germany, where people seemed to come out spontaneously and welcome people to their country. It is important that we do the same—important that the people of these islands can express their support and important for the people arriving as well.
ParlaMint-GB_2015-09-16-commons.u173	I thank the hon. Lady for making that point. It is important to ensure that when people arrive here they know they are welcome in the UK. That is part of the work that the Minister for Refugees will be doing. It is a way to harness the offers of support from individuals, charities and non-governmental organisations across the UK to make people welcome when they arrive.
ParlaMint-GB_2015-09-16-commons.u174	I am grateful to the Home Secretary for updating the House. It is no wonder she looks a little tired given the hard work she is doing on this difficult situation. When I was chairman of the all-party group on human trafficking, we warned of the problems of open borders in Europe. We will never tackle the problem of people coming across without getting rid of these gangs. If there are no gangs, they will not be able to come across. One problem with putting more money and resources into fighting these gangs through the Home Office was funding. We wanted to get the funding from the overseas aid budget, because that seemed a good way of spending it, but it would have impinged on the 0.7% and would not have counted. Can we look at that again?
ParlaMint-GB_2015-09-16-commons.u175	I am sure the hon. Gentleman would not wish to become overly discursive. I regard him as an exemplar in this place.
ParlaMint-GB_2015-09-16-commons.u176	I am sorry, but it was important.
ParlaMint-GB_2015-09-16-commons.u177	It is important, as the hon. Gentleman rightly observes, and he has made his point with some eloquence.
ParlaMint-GB_2015-09-16-commons.u178	I am always willing to consider suggestions about possible budgets to deal with these issues, and my hon. Friend is absolutely right about the gangs smuggling in refugees and illegal economic migrants. Of course, the business of some people smugglers is taking money from people and putting them on a boat that they know will probably sink in the Mediterranean, while others are human traffickers who want not just to put somebody on the journey but to ensure they are met when they arrive and are taken into some vile form of slavery. We constantly look at our effort on this, and I am pleased we have now confirmed in his place the independent anti-slavery commissioner, Kevin Hyland, who has been working with countries—in Africa, for example—looking at this terrible trade of human trafficking.
ParlaMint-GB_2015-09-16-commons.u179	Rather than raid the DFID budget, could we consider using the seized Syrian assets, both in the region and for cash-strapped councils?
ParlaMint-GB_2015-09-16-commons.u180	The Government take the view that the Syrian assets are the assets of the people of Syria and that they should decide how they are used. I recognise that the hon. Lady is suggesting that we use them on behalf of the people of Syria, but it is not necessarily appropriate to take money from those assets, which will be needed in the future when Syria has to be rebuilt.
ParlaMint-GB_2015-09-16-commons.u181	rose—
ParlaMint-GB_2015-09-16-commons.u182	Order. Progress has been slow, and we are a bit short of time, but the last question was commendably pithy. If we can follow in that vein, it will help the House with later business.
ParlaMint-GB_2015-09-16-commons.u183	Like others, I welcome today’s statement, but could the Home Secretary tell us a bit more about the criteria she will use to determine the proportions of settlers going to the various nations and regions of the UK?
ParlaMint-GB_2015-09-16-commons.u184	There will be a balance between the offers of accommodation and the availability of the appropriate support for individuals. It is a careful process to ensure that individuals are placed where their needs can be best met. For example, it might be appropriate for somebody with a particular medical need to be in the vicinity of a hospital with such a specialty. It is not a question of allocating on a quota basis across the UK, even if others might suggest we do that within Europe. It is important to fit the offers of support to the needs of the individuals.
ParlaMint-GB_2015-09-16-commons.u185	Have the Government received any specific request for financial help from the Welsh Government to enable them to respond to the refugee crisis?
ParlaMint-GB_2015-09-16-commons.u186	If I may, I will write to the hon. Gentleman. I am not aware of any specific financial requests from the Welsh Government, but I know that discussions have taken place with them on their willingness to be part of this effort to take in 20,000 Syrian refugees over the course of the Parliament. I will write to him on that specific point.
ParlaMint-GB_2015-09-16-commons.u187	Does my right hon. Friend agree that by focusing our efforts on the region we will be in a better position to help the most vulnerable as well as the maximum number of people?
ParlaMint-GB_2015-09-16-commons.u188	My hon. Friend has it in a nutshell. By giving £1 billion to refugees in the region, we can support more people in the region, from where, in due course, they will be able to return home, which is where many of them wish to be.
ParlaMint-GB_2015-09-16-commons.u189	The Home Secretary will be aware more than anyone else in the House of the inefficiency inherent in our asylum determination system, which a report by the Public Accounts Committee last year said was being made worse by reducing the seniority of decision makers. Will she ensure that Syrian refugees have their status assessed by well-trained expert staff and have access to healthcare and the other provision that such vulnerable refugees will absolutely need?
ParlaMint-GB_2015-09-16-commons.u190	I can guarantee to the right hon. Lady that people will be specifically set aside with the task of assessing these claims. Of course, there is an initial assessment with the UNHCR in the region, and we also work with the International Organisation for Migration, which assesses migrants’ health needs. On Monday, I spoke with Bill Swing, who runs the IOM, about the facilities it can make available in the region to carry out those assessments—for example, looking at important issues such as vaccination. The point of matching people with accommodation and support in the UK is to ensure that their needs, be they physical, medical needs or mental health needs, can be met.
ParlaMint-GB_2015-09-16-commons.u191	Having just returned from the Calais camp, I would like strongly to endorse the Government’s compassionate position. Can we find some funding to send illegal migrants either back to their own countries or to a safe refugee camp nearby?
ParlaMint-GB_2015-09-16-commons.u192	We are already working with the French Government on the issue of returning illegal economic migrants, and we are looking to boost our capability to do so to ensure that illegal immigrants with no right to claim asylum can be returned.
ParlaMint-GB_2015-09-16-commons.u193	The voluntary sector plays a vital part in supporting both asylum seekers and refugees, yet organisations such as Asylum Link in Liverpool are suffering cuts in funding just when they are needed most. Will the Home Secretary or her very welcome newly appointed Minister for Refugees give specific attention to that issue, outside the support given to local government directly?
ParlaMint-GB_2015-09-16-commons.u194	I can assure the hon. Lady that my hon. Friend the Minister for Refugees will work with NGOs to assess their requirements, capabilities and capacities and to determine in what areas they can give support. That will also link in with the work that the Government are doing, including with the Local Government Association. We all have one aim here: to ensure that those refugees whom the UNHCR identifies as particularly vulnerable and who come to the UK are given the support they need when they arrive.
ParlaMint-GB_2015-09-16-commons.u195	The Prime Minister has just returned from Lebanon to see for himself the difference that our aid is making in Lebanon. I and other members of the all-party parliamentary group on Jordan are due to visit the region during the forthcoming recess. Will the Home Secretary give an update on the difference that our aid is making in Lebanon, Jordan and the region, and on how it will continue to do so?
ParlaMint-GB_2015-09-16-commons.u196	I am pleased to say that my right hon. Friend the Prime Minister was able to visit Jordan as well as Lebanon. He met people in refugee camps and saw for himself—and has reported it back—the very real difference that our aid is making. It is notable that we are providing water, food, shelter and medical support, and for those who are not in the camps, we are helping communities by providing education for children, for example. We are making a real difference.
ParlaMint-GB_2015-09-16-commons.u197	I am pleased that the Home Secretary and her colleagues are working closely with the Local Government Association, but I want to press her again on local council funding. Surely this is such an urgent and unique problem that the Government, in advance of the spending review, can make a commitment to cover the full costs that local councils incur—and not just for the first year—in delivering a national policy. I ask the right hon. Lady to reflect on the potential damage done to community relations by saying to people who welcome refugees into their communities, “Welcome them now, but you will pay the full cost in the future in cuts in your services for funding the refugees coming to your community.” That is a damaging position for the Government to get into. Will she please reflect on that urgently?
ParlaMint-GB_2015-09-16-commons.u198	As I indicated earlier, the issue will be looked at. The Chancellor has made it clear that he will look at it alongside the spending review.
ParlaMint-GB_2015-09-16-commons.u199	Last week, the Prime Minister told us that his Government have also looked at Save the Children’s proposals concerning the 3,000 Syrian children already here in Europe, and said that they will continue to discuss that. Is the Secretary of State able to provide more information on that point?
ParlaMint-GB_2015-09-16-commons.u200	The work we are doing at the moment is based on the Prime Minister’s announcement of our helping 20,000 refugees directly from the region.
ParlaMint-GB_2015-09-16-commons.u201	From my experience of working in a previous refugee crisis, I know that the UNHCR is one of the most overstretched and underfunded of UN organisations. Now that the Government are relying so heavily on the UNHCR to help them with this crisis, can the Home Secretary assure us that it is adequately resourced and that British officials are working alongside in situ?
ParlaMint-GB_2015-09-16-commons.u202	Yes. That is exactly one of the issues that I discussed with António Guterres when I saw him on Monday—we stand ready to provide support, probably in the form of personnel who can help to bolster the UNHCR effort to the extent that it requires. He already has plans for refocusing some of its effort to ensure that such support can be provided, but if further support is needed in the form of people in situ, we stand ready to provide it.
ParlaMint-GB_2015-09-16-commons.u203	Would the Home Secretary’s message of welcome to refugees not be strengthened if she led by example? There are 459 asylum seekers in Newport; 900 in Cardiff; seven in the Home Secretary’s constituency; two in the Chancellor’s; and none in the Prime Minister’s. As there are great advantages to refugees and communities in spreading the refugees evenly throughout the country, will she tell us how many of the 20,000 she expects to welcome to her constituency?
ParlaMint-GB_2015-09-16-commons.u204	The hon. Gentleman talks about how the dispersal of asylum seekers takes place across the country, but we are of course operating on the basis of the rules that were introduced by a previous Labour Government. We are looking at all the offers from local authorities and, indeed, from others. As I said earlier, we will ensure that need is met, so that when people come here, their need can be met through the accommodation and support they are able to receive.
ParlaMint-GB_2015-09-16-commons.u205	Two weeks ago, the Home Office wrote to my constituent to apologise to her because the six-month period had not been honoured since her asylum claim. This is a woman who came from Syria, travelling across the continent to join her husband, who is my constituent. The Home Office has now said that it can give no fixed time during which her asylum claim will be decided. Will the Home Secretary please allocate additional resources to the case officers who are dealing with such refugee claims, because insecurity is what they fled from? To be told when they get here that there is no fixed time in which their case will be decided only adds to that insecurity.
ParlaMint-GB_2015-09-16-commons.u206	UK Visas and Immigration has made a lot of effort to try to ensure that it operates within the six-month timescale for asylum-seeking claims. I suggest that the hon. Gentleman gives the Immigration Minister the details of the particular case, so that we can look at it and find out why it has taken longer. As for those who we will bring in from Syria as refugees, we will set aside specific resources to be able to ensure that the claims are dealt with properly.
ParlaMint-GB_2015-09-16-commons.u207	Does the Secretary of State agree that our refugee family reunion rules are too restrictive to be appropriate for use in the current crisis, and that the procedures for applying are too bureaucratic? Will she work with expert organisations to extend their scope and simplify the procedures so that those for whom the UK is clearly the appropriate place of refuge are able to get here safely?
ParlaMint-GB_2015-09-16-commons.u208	The hon. Gentleman has raised this issue with me before. The criteria set for vulnerability by the UNHCR include refugees with family links in resettlement or the humanitarian assistance programme. We also have the Mandate Scheme—I think that is the right title—that is specifically for the resettlement of people in countries where they have family links.
ParlaMint-GB_2015-09-16-commons.u209	The Secretary of State will know that the mayor of Liverpool has offered her Government the practical assistance of our great city. Given that Liverpool city council is one of the hardest hit, has she had the opportunity to speak to Liverpool city council officials about additional costs in regard to any particular number of refugees who might be settled?
