ParlaMint-GB_2015-03-25-commons.u1	1. What steps he is taking to support small businesses through public procurement.
ParlaMint-GB_2015-03-25-commons.u142	My hon. Friend talks about the policies that are being put in place by the Government to help businesses. Does he share my view that the freezing of fuel duty has helped not just businesses but individuals, and will he tell us how much of a saving businesses and individuals make every time they fill up their vehicle?
ParlaMint-GB_2015-03-25-commons.u143	My hon. Friend is absolutely right. Very often, the debate in this House is about the impact on individuals of the freeze on fuel duty, which has considerably reduced how much fuel costs. As a consequence of our measures, £10 is saved per tank full of petrol. He is also right to mention the impact on businesses, because many of them, particularly smaller ones, pay this tax. We can sometimes forget that in that debate. Fuel duty is now 16p per litre lower than it would have been under the previous Government’s plans Let me return to the provisions on oil and gas. The new cluster area allowance will support the development of one of the biggest fields in the UK continental shelf, which is expected to generate about 3,500 jobs and more than £3 billion in capital investment. As hon. Members can see, the Bill tackles some of the challenges facing our business community and our economy Now that I have set out such competitive tax rates, designed specifically to support our businesses, let me say that we expect those taxes to be paid. The Bill continues the Government’s firm action against the small minority who seek out unacceptable ways to reduce or delay paying the taxes they owe. Under the Bill, we will legislate to create a fairer tax system by clamping down on tax avoidance and ensuring that banks contribute their fair share. Taking effect from the start of next month, the Bill will introduce a new diverted profits tax of 25%, aimed at large multinationals that artificially shift their profits offshore to avoid paying UK tax. As part of the project, I can confirm that we are working with five other tax authorities to investigate and challenge how digital multinationals shift their profits to tax havens. For the first time, we are gathering a full global picture of the tax risks those companies pose that is invaluable in helping us take decisive action The Bill will also increase the bank levy to 0.21% and introduce new rules for banks on carried forward losses, to ensure that banking companies can use them only to relieve up to 50% of company profits. Combined, those measures will raise nearly £8 billion over the next five years. We have always been clear that banks should make an additional contribution that reflects the risks they pose to the UK economy, and now that banks are strengthening their balance sheets and returning to profitability, they should make a greater contribution to the economic recovery.
ParlaMint-GB_2015-03-25-commons.u144	I welcome the increase in the bank levy. Does the Minister agree that it is extremely difficult for a bank to avoid the levy, whereas the tax on bonuses, for example, would be very easy to avoid?
ParlaMint-GB_2015-03-25-commons.u145	My hon. Friend makes a very good point. Indeed, that is why the previous Chancellor of the Exchequer, the right hon. Member for Edinburgh South West (Mr Darling), made it clear that the bank bonus levy could only really be effective for one year. It is important that we have something sustainable that can exist for much longer.
ParlaMint-GB_2015-03-25-commons.u146	The Chancellor indicated to the Treasury Committee yesterday that he was minded to make the bank levy permanent. Will the Financial Secretary reassure the House that that is his intention?
ParlaMint-GB_2015-03-25-commons.u147	We believe that the bank levy and the additional contribution from the banking sector are not just for the short term, but need to be sustainable, so I entirely endorse the Chancellor’s remarks yesterday.
ParlaMint-GB_2015-03-25-commons.u148	My hon. Friend is being generous in giving way. I welcome the diverted profits tax and I think that my constituents will very much welcome that measure. Will he confirm that it comes on top of all the work the Government are leading at the OECD and that, in September or later this year, we will therefore see further rules coming in to clamp down on base erosion?
ParlaMint-GB_2015-03-25-commons.u149	My hon. Friend again makes a very good point. This Government have led the way in the establishment of the OECD’s base erosion and profit shifting project. We are already implementing some of its conclusions, including in this Bill, but there is more work to be done. The diverted profits tax is consistent with the direction that we want the BEPS project to go in, which is to align economic activity more closely with taxing rights. That is the direction in which the international tax system needs to move, and the diverted profits tax is consistent with that approach The Bill legislates for corporation tax loss refresh prevention, which will stop companies obtaining a tax advantage by entering highly contrived arrangements to turn old tax losses into new, more versatile losses. We will close loopholes to make sure that entrepreneurs relief is available only to those selling genuine stakes in businesses. We are strengthening civil sanctions targeting individuals with hidden income, gains or assets overseas to ensure that taxpayers who do not pay their fair share are penalised. We are tackling avoidance by large businesses and wealthy individuals, and we are tackling tax evaders.
ParlaMint-GB_2015-03-25-commons.u150	My hon. Friend is talking about fairness in the tax system, which we all want. Will he confirm that under this Government the top 1% of taxpayers will pay more in tax than they ever did under the previous Government?
ParlaMint-GB_2015-03-25-commons.u151	My hon. Friend makes another excellent point. This year, the proportion of income tax paid by the highest earning 1% will be above 27%, higher than for any year under the previous Government. I dare say that we will debate that in a little more detail later this afternoon. On this Government’s record in ensuring that those with the broadest shoulders make the biggest contribution, the facts are very clear: they are doing so under us. A whole host of measures that we have taken, not least in areas of tax avoidance, have ensured that we are getting in that money.
ParlaMint-GB_2015-03-25-commons.u152	My hon. Friend is making a powerful case on the work that the Government have done to tackle tax avoidance. What is being done to throw the book at the promoters of tax avoidance schemes and people who continually try their luck by entering such schemes?
ParlaMint-GB_2015-03-25-commons.u153	My hon. Friend—given his background, he is an expert in tax matters—has been a consistently strong advocate of taking tough action in this area. I can certainly reassure him that one of our very important strands of work has been to take on the promoters of tax avoidance schemes. Indeed, we are bringing in measures to place greater burdens on them to disclose the position they are in, as well as greater surveillance and supervision of them. During this Parliament, we have seen a dramatic fall in the number of tax avoidance schemes being promoted, which is very good news. There has been a real change in the climate, driven not least by the action that the Government have taken. I believe that we have a very proud record in dealing with tax avoidance and the causes of tax avoidance.
ParlaMint-GB_2015-03-25-commons.u154	rose—
ParlaMint-GB_2015-03-25-commons.u155	I will give way again, because I know that the hon. Gentleman does not have long left in this House. I am more than happy to give him another opportunity to intervene, but I must then make a little progress.
ParlaMint-GB_2015-03-25-commons.u156	I thank the hon. Gentleman for being so generous with his time. The Chancellor has indicated that, if he is returned to government, he will look for £5 billion of savings from evasion and avoidance; yet in its Budget report, the Office for Budget Responsibility could find only just over £3 billion of savings among the Chancellor’s provisions, which leaves a gap. Will the Financial Secretary explain to the House how he intends to fill that gap during the next Parliament?
ParlaMint-GB_2015-03-25-commons.u157	Given this Government’s record on the measures introduced in Finance Act after Finance Act, the support provided to Her Majesty’s Revenue and Customs in additional powers and resources for this area and the fact that yield has increased very substantially during this Parliament—from £17 billion in 2010 to £26 billion now—we are confident that further savings can be found. Through a combination of measures dealing with tax evasion, tax avoidance and aggressive tax planning, we believe that £5 billion can be found I now turn to how the Bill will help hard-working families. This Government have a proud record of reducing tax for the lowest-paid. Not only will the Bill deliver our commitment to raise the income tax personal allowance to £10,600 from the start of the new tax year, but it will legislate to raise it to £10,800 in 2016-17 and to £11,000 in 2017-18. By 2017, a standard rate taxpayer will be £900 better off than under the previous Government’s plans and an individual on the national minimum wage working up to 30 hours a week will not pay any income tax whatsoever. That is a tax cut for 27 million people, and it means that this Government have taken almost 4 million of the lowest-paid out of income tax altogether We are passing on the full gains of that policy, so for the first time in seven years, the threshold at which people pay the higher tax rate will rise not just in line with inflation, but above inflation. It will rise from £42,385 this year to £43,300 by 2017-18. Under the Bill, the rate of the new transferable tax allowance for married couples will rise to £1,100, providing help for more than 4 million couples. We are legislating to exempt children from air passenger duty so that, together with measures introduced in the Finance Act 2014, a family of four flying to Australia will now save £194. The Government have made clear their commitment to support households in the UK and to put more of their hard-earned money back in their pockets, where it belongs Finally and briefly, I turn to tax simplification, which was touched on earlier. Under this Government’s new approach to tax policy making, we published more than 250 pages of draft legislation in December for technical consultation. As such, the majority of measures contained in the Bill have been drawn up following lengthy consultation with interest groups and businesses. The Bill continues to build on the excellent work of Michael Jack and John Whiting at the Office of Tax Simplification, and it includes a package of measures that will help to simplify tax administration for businesses in several ways.
ParlaMint-GB_2015-03-25-commons.u158	rose—
ParlaMint-GB_2015-03-25-commons.u159	I will give way one last time.
ParlaMint-GB_2015-03-25-commons.u160	According to the Financial Times this morning, the Bill will add significantly to the complexity to the tax code. The number of pages in Tolley’s is going up and up. We are told that we now have the longest tax code in the world, having overtaken India some years ago, but the Financial Secretary is presenting this as if it were a simplification. This is contrary to the entire thrust of public debate on these issues. When will we get some tax simplification?
ParlaMint-GB_2015-03-25-commons.u161	The hon. Gentleman may be interested to hear, or he may already be aware, that the Office of Tax Simplification has looked at what constitutes complexity within the tax system. One conclusion that it reached was that the number of pages in the tax code is not a particularly good barometer of complexity. For example, the rewriting of the tax code that occurred over many years lengthened it, but the intention was to make it simpler to understand I would make this challenge to the hon. Gentleman: which elements of the Bill would he not want? For example, there are 40 or so pages on oil and gas tax reform, which I believe all parties recognise is a necessary response to the current circumstances, but that will lengthen the tax code. A number of pages are being added to the tax code because of the diverted profits tax, but all parties recognise the need for such a tax to deal with artificially contrived arrangements. I appreciate his point and the spirit in which he makes it and I share the desire for greater tax simplification, but there are some challenges in that for a Government who also want to deal with avoidance and ensure that we have a competitive tax system for the oil and gas sector.
ParlaMint-GB_2015-03-25-commons.u162	I do not wish to revisit old debates about simplification, but does my hon. Friend have a view about the future strategy on anti-abuse rules? I believe that when Graham Aaronson examined the general anti-abuse rule, he thought that after about five years we would be able to start to do away with individual anti-avoidance rules and rely on the GAAR. We could therefore remove some of the more complicated provisions and the loopholes that go with them. Does my hon. Friend think that could work, or does he think it should be ruled out and that we must have both the general and specific rules?
ParlaMint-GB_2015-03-25-commons.u163	My hon. Friend does not want to revisit old debates, but I tempted to give a response that I suspect I have given him before. The general anti-abuse rule is a big step forward, and it was absolutely right that this Government introduced it. Other Governments had considered it but felt that it was not the right thing to do. However, it is there to complement the existing measures, and we will want to see how the GAAR works over time rather than rush to judgment. I do not believe that a future Conservative Government would want to risk opening up new loopholes because of uncertainty about exactly how the GAAR applies. It is of course an anti-abuse rule and sets a reasonably high bar for behaviour covered by it, and I suspect my hon. Friend agrees that that is right because of its broad nature. We will have to wait and see before I make any commitment to repealing various targeted anti-avoidance rules.
ParlaMint-GB_2015-03-25-commons.u164	rose—
ParlaMint-GB_2015-03-25-commons.u165	I give way to another Member who, like my hon. Friend the Member for Amber Valley (Nigel Mills), is a former member of the tax profession.
ParlaMint-GB_2015-03-25-commons.u166	My hon. Friend is being extremely generous in giving way. May I turn to the provisions on oil taxation and the revenues from oil, given what has happened to the oil price? Does he have any idea of how big a black hole would be driven into the finances of an independent Scotland were there to be another referendum campaign fought by the losers from last time?
ParlaMint-GB_2015-03-25-commons.u167	My hon. Friend is absolutely right. I believe that oil revenues are something like a 10th of what the Scottish National party predicted, but I will happily stand corrected if I am wrong. The fact is that a united kingdom is better able to absorb volatility in the oil price than an independent Scotland would ever be. Given what has happened to the oil price, it is clearly to the benefit of Scotland that those calling for independence were roundly defeated last year.
ParlaMint-GB_2015-03-25-commons.u168	Will the Financial Secretary give way?
ParlaMint-GB_2015-03-25-commons.u169	I will give way one last time, but I am conscious that many Members will want to speak.
ParlaMint-GB_2015-03-25-commons.u170	I thank the Financial Secretary. I am sure that he would accept, having looked at the business case for the changes in oil taxation, that the economic effects of the oil industry are much wider than simply the winning of oil. In particular, the engineering and manufacturing industries in the north-east of England are pleased by the moves that have been made.
ParlaMint-GB_2015-03-25-commons.u171	My hon. Friend makes a good point. Particularly in the north-east of England, a number of businesses are ancillary to the oil industry, so I am grateful for his remarks The Bill takes further steps to deliver long-term, sustainable economic growth. It puts in place a more competitive environment for business, takes more people out of income tax, continues our reforms of the tax system and supports the continued success of our industries. I commend it to the House.
ParlaMint-GB_2015-03-25-commons.u172	It is a strange moment in the life of this five-year Parliament to be here debating the coalition’s last Finance Bill. Obviously I have great disagreements with the Financial Secretary and his colleagues in the Treasury team, but I want to extend a little hand of friendship across the Chamber. I know that this can be a difficult, even frenzied time, trying to draft legislation straight after a Budget and get things together at the last minute. However, we all aspire to be good parliamentarians, and it is incumbent on us to do our duty to scrutinise the Bill’s provisions properly and ensure that they are considered fully We are in the dying hours of this Parliament, but the Bill’s provisions—as my hon. Friend the Member for Edmonton (Mr Love) said, they will add to the tax code—are significant and will have a real impact on the economy and on many people’s tax and financial affairs. Ensuring that the Bill has proper scrutiny is therefore incredibly important. If we are honest, we have limped along in what has felt like a zombie Parliament in the past year in particular, with little going on. I am therefore a little surprised that there is a burst of energy all of a sudden, given that many of the Bill’s provisions could have been discussed, published and thought through at a more civilised pace. It is almost as though the Financial Secretary were doing one of those cycle races in a velodrome where it is all very slow until the last minute. There seems to be a bit of a panic in the Treasury The Bill contains 131 clauses of complex tax changes, affecting the energy generating sector, tax avoidance, pensioners and businesses, but we have been given only six hours to cover all of it. I accept that we have little choice about that because of how the Fixed-term Parliaments Act 2011 works—in the fifth and final year of the Parliament we can see that Parliament will prorogue at a given point. Nevertheless, I want to put on record our disappointment that we have not found a better way of improving the scrutiny of this year’s Finance Bill. Normally we would have a Public Bill Committee, in which we could spend fun-packed hours going through every provision. Sometimes I feel that such Committees go all too quickly.
ParlaMint-GB_2015-03-25-commons.u173	Will the hon. Gentleman give way?
ParlaMint-GB_2015-03-25-commons.u174	I will; perhaps the Minister can say how we will compress that process into six hours.
ParlaMint-GB_2015-03-25-commons.u175	I share the hon. Gentleman’s sense of loss that there is not the usual Committee stage upstairs this year. To be clear, it is necessary to pass a Finance Bill after Budget resolutions have been passed, and there is clearly a short period between those resolutions being passed and Prorogation. I am sure he recognises that there were discussions last week in the usual manner, and that clauses that the Opposition believed should be debated and dealt with in the next Parliament have been withdrawn. The clauses that remain are those that the Labour party accepted should be dealt with in the Bill.
ParlaMint-GB_2015-03-25-commons.u176	I do accept that, and it is good that we have had discussions through the usual channels, treating the Finance Bill this year more in what is known as the “wash-up” procedure rather than our normal less-constrained procedures. Nevertheless, I think we should pause and dwell on the fact that in a fixed-term Parliament the date of the final Budget may have consequences downstream for the legislation that is spat out at the other end. Perhaps we should consider allowing a little more time between the final Budget and the end of the Parliament—obviously a Labour Government will be in power for the next five years, so this may be quoted back at me in five years’ time—so that we have a more considered approach.
ParlaMint-GB_2015-03-25-commons.u177	Is it a Labour party manifesto commitment to have an early Budget in the last year of a Labour Government in a fixed-term Parliament scenario?
ParlaMint-GB_2015-03-25-commons.u178	The hon. Gentleman must wait for our manifesto in which we shall reveal all those details.
ParlaMint-GB_2015-03-25-commons.u179	Is my hon. Friend as concerned as I am that there is so little distributional analysis in the Finance Bill, given the past five years in which the poorest in society fared the worst and our concerns about an increase in VAT looming in the not-too-distant future if the Government get back in?
ParlaMint-GB_2015-03-25-commons.u180	My hon. Friend’s point about distributional analysis is a good one. We know that those on lower and middle incomes have been hit particularly hard: people on the lowest incomes do not benefit from many of the changes that the Government have made, and we must consider what data we need My point about parliamentary procedure is not just about the political dates of Budgets and so forth; it is also about the time that officials and civil servants have to draft some of the provisions and proposals. I do not understand why it has to be so last minute and by the seat of their pants. It is one thing to exclude one’s political opponents from the reveal moment of the Budget, but surely it would be good to ensure that proper internal arrangement are in place in the Treasury for drafting these arrangements The Institute of Chartered Accountants in England and Wales has its concerns: “we do not think that Parliamentary consideration amounting to only one day is in any way sufficient to consider and pass another significant Finance Bill that runs to 349 pages and contains a considerable amount of controversial legislation.” An article in today’s Financial Times quoted Heather Self of the law firm Pinsent Masons. She said that the decision to rush through the Finance Bill was “an abrogation of the parliamentary process…Legislation this complicated should not be going through without parliamentary scrutiny” My hon. Friend the Member for Edmonton was right when he talked about Tolley tax handbooks—I know his walls are adorned with the tax code in fine, leather-bound tomes. He will know that when the coalition came to office, there were 17,795 pages in that tax handbook, but by the end of this Parliament that has risen to 21,414 pages. The Minister says that is not a good barometer. I suppose it is good for publishers and perhaps makes my hon. Friend’s library a little more expansive and extensive, but I suspect it makes things more difficult for people to understand and follow. I think that our constituents deserve better and want proper scrutiny of the Finance Bill, and we will try our best to do that. The House should bear in mind the fact that the Bill appeared in the Vote Office yesterday, so it is difficult even for my diligent hon. Friends properly to absorb and assimilate all the provisions and to do justice to the Bill. Nevertheless we will give it a go and try our level best Ultimately, the Finance Bill could not disguise the coalition’s failures of the past five years. There is a slow recovery, but it is not being felt far and wide. By the standards and tests that the Government set when they came to office and made their promises in 2010, the Conservatives and Liberal Democrats have failed, particularly on the public finances. They have failed to eliminate the deficit, which should have gone by now. In fact, in the autumn statement 2010 the Chancellor trumpeted that he would bring forward to 2014-15 the year by which the current structural deficit would be eradicated, yet we find ourselves with a £90 billion current budget deficit, which fell by only 5% on the previous year—not exactly the rate we were promised There are many other structural issues in the economy. I do not know whether my hon. Friends remember the Chancellor’s promise about the march of the makers, but I am afraid that this country’s exports have not lived up to the £1 trillion target set for 2020; we are already a mere £300 billion off course in achieving that. Before the last election the Chancellor set the litmus test of cherishing our triple A rating, but of course that was downgraded One thing in the Finance Bill that supports the Government’s fiscal strategy was the revelation of how extreme the cuts will be to public services over the next three years—twice as deep over the next three years as we have seen for the past five years. In the words of the Office for Budget Responsibility, the “rollercoaster” is about to go over the precipice, and public finances, social care, the police, defence and many other public services will be pushed over the edge of that cliff should the coalition parties Government have a further five years in office It is no wonder that when people look at the impact of deep and extreme cuts to what Government Ministers term “non-protected Departments”, and see how deep they will be, they say, “Well that isn’t going to happen; it’s impossible to countenance that they would end up taking 30%, 40% or 50% from some of those Departments.” It is no wonder that people then believe there must be another plan, either for raising taxes or for cutting other services that some assume ought to be protected, in particular the national health service We had the debate on VAT, but I find it difficult to take the Prime Minister’s words seriously. These days, he has a habit of shooting from the hip—about whether he is retiring or what his views are for the day—so I am not sure that people will necessarily say, “Oh well, the Prime Minister said he’s not going to do it. That’s that then.” That is sort of what he said before the last general election about having absolutely no plans to raise VAT, but it was only a matter of weeks before he got round to doing it.
ParlaMint-GB_2015-03-25-commons.u181	My hon. Friend will know that the number of people earning more than £20,000 has fallen by 800,000 since 2010, and the slack has been taken up by more and more people on low pay and zero-hours contracts. Does he accept that we are facing these draconian cuts because the Government are overseeing a completely unsustainable business model and creating more and more low-paid people who cannot pay any tax? The revenues are not coming in, which is why they have borrowed more in five years than Labour did in 13.
ParlaMint-GB_2015-03-25-commons.u182	As ever, my hon. Friend manages to sum up the Government’s record in a pithy and simple intervention. I had not heard those statistics about the number of people earning more than £20,000, but I shall certainly take a look at the points he makes. We shall perhaps look at those statistics in more detail My hon. Friend’s point about living standards is a good one that all Members should intuitively and properly understand. If we do not include everybody in the growth of the economy, if everybody does not have a stake or a share in it, if their consumer capabilities are not stronger, and if we do not tackle the sustainability challenge for growth in the future, we should not be surprised to find that we have an unequal recovery. Britain will only succeed if working people succeed. That is a catchy way of summing that up, and Government Members may well hear it a few more times in the coming weeks, but it is true Ultimately, our public finances are not determined in isolation, as though they are frozen in aspic. They cannot simply be dealt with in terms of cuts or changes in revenue: there is a dynamic, strategic set of issues that relate to what is happening in the real economy and the real world. The health of our economy will ultimately determine the health of our public finances. The Prime Minister and others say, “Why are you talking about living standards? Why are you talking about these things? That is not really the economy; it’s not about growth.” Of course it is. Ultimately, these things are related The low-wage economy the Chancellor has been heading us towards is a danger to our public finances. We are enduring an epidemic of job insecurity. The number of zero-hours contracts has ballooned by more than 20% in the past year alone. That is a problem for those who cannot plan even for the child care they need for the week ahead, let alone for getting a mortgage. It is also bad because it undermines the tax receipts the Treasury needs to sustain and pay for public services. It means that tax credits need to be higher to subsidise low pay and it is why the social security bill is £25 billion higher than the Chancellor expected Those living standards issues come up time and again in surgeries, meetings and encounters that my hon. Friends have with our constituents. Some 900,000 people are using food banks, and some 600,000 people have been hit by the cruelty of the bedroom tax. These issues will come back to haunt Ministers. They have attempted to deal with the deficit by hurting those on the lowest incomes. It has not worked; it has not succeeded; and it is a strategy that will just get worse in the coming years.
ParlaMint-GB_2015-03-25-commons.u183	I was at a Budget briefing in Dunfermline given by a local accountancy firm, Thomson Cooper, on Friday. It was pointed out that those earning more than £150,000 a year under this Government actually have a lower marginal tax rate than those earning £100,000 a year. Does my hon. Friend think that that is a really good example of how the Government have got their numbers completely wrong? Those who can afford to pay the most are in fact paying far less.
ParlaMint-GB_2015-03-25-commons.u184	It is in the very first clause of the Bill: it seems that the Government’s proudest achievement is to cut the highest rate of income tax for those earning £150,000. They want the rate to be 45p instead of 50p. That has been their priority. They regard that as something that the country has been crying out for and that will make a big difference to the economy. I suppose if one views the economy through a trickle-down prism and believes that tax cuts lavished on the very wealthiest in society will percolate down and everybody else will benefit as a result—
ParlaMint-GB_2015-03-25-commons.u185	rose—
ParlaMint-GB_2015-03-25-commons.u186	Well, maybe that is the logic of the Liberal Democrats in supporting these particular measures. I will give way to the hon. Gentleman, but he has to admit that it was an error to ensure that those earning more than £150,000 received a tax cut. Anyone earning £1 million this year will have benefited to the tune of £42,000 in tax cuts. He does have regrets about that, doesn’t he?
ParlaMint-GB_2015-03-25-commons.u187	Will the hon. Gentleman explain why the Government he was a part of put up 100 taxes in 13 years, but rejected putting up the higher rate of income tax for the entire period until the day they left office? It was 40% then—those same millionaires were that much better off under his Government.
ParlaMint-GB_2015-03-25-commons.u188	That sounds as though the hon. Gentleman was in favour of the 50p rate and regrets that it was not implemented earlier. That is the usual argument: why did the previous Government only put it up towards the end of the Parliament? The global banking crisis hit in 2008, when we were already a long way through that Parliament. [Interruption.] The hon. Gentleman seems to be a banking crisis denier. He seems to think that it had nothing to do with the fiscal situation. He must admit in his heart of hearts that the banking crisis created great pressures on our public finances. It reduced a number of revenues and caused the deficit we have had to tackle. As a consequence, the tax changes that followed the banking crisis were bound to come in 2009, and that was the period in which we chose to introduce the 50p top rate. He should not be surprised that it came in towards the end of that Parliament, because the banking crisis and all the ripples that flowed from it also happened at the end of the Parliament. Let us nail that one for a start The cut in the rate of income tax was the wrong thing for the hon. Gentleman and the Conservative party to have prioritised. I think many people in our country regard it as a real obscenity. It is a perverse set of priorities and we would reverse them because the public finances need the extra support. The public finances need those with the broadest shoulders to contribute a fairer share.
ParlaMint-GB_2015-03-25-commons.u189	My hon. Friend will know the excellent work of the Union of Shop, Distributive and Allied Workers in raising the profile of issues affecting workers in the retail sector, who are sometimes at the sharp end when it comes to serving the public. They do a very important job. I recently met members from across the north-east who raised exactly the points he is making about insecurity at work and the need to tackle zero-hours contracts. This is a major area of concern, and retail workers in particular feel that the Government are failing to act.
ParlaMint-GB_2015-03-25-commons.u190	The retail sector is edging towards greater and greater insecurity, as companies feel that the only way to make that extra margin is by eroding standards of contract security for many of their work force. In that context, I have to reiterate the position of those of us on the Opposition Benches: someone who works regular hours deserves a regular contract. That is why we intend to abolish exploitative zero-hours contracts.
ParlaMint-GB_2015-03-25-commons.u191	Following on from the previous intervention, in Scotland we are seeing an abuse of apprenticeship payments to young people in the retail sector. There are a lot skills involved in working in retail, but to call three months working in a shop an apprenticeship undervalues them. That does, however, help the Scottish National party to massage the figures.
ParlaMint-GB_2015-03-25-commons.u192	My hon. Friend should bear that in mind when we hear Ministers trumpeting their apprenticeship numbers in aggregate, because there is always a story behind them. We need genuine apprenticeships to help the next generation obtain skills and career assistance, rather than what has been happening: the re-badging of many apprenticeship programmes, existing training courses and other arrangements that have been rebranded to allow tax support for applications for apprenticeships The Bill is not just divisive and unfair but a missed opportunity. There are several omissions. It is not just that the Chancellor could barely drag from his lips those three little letters, NHS, which I think got one mention in the Budget—Agincourt got twice as many. We should have had action to help the next generation, for example by reducing tuition fees to tackle the burden of debt facing students. Students graduate typically with £44,000 of debt, which is a burden not just on those individuals but on the national finances. Government Members should be very scared by some of the projections. Owing to their inability to collect tuition fees from some students, barely half of all tuition fees will be collected, which is adding to the national debt in the hundreds of billions of pounds. That needs to be tackled.
ParlaMint-GB_2015-03-25-commons.u193	Will the hon. Gentleman explain how his tuition fees policy will be paid for, given that his party has been clear that it supports all the measures in the Budget, including the personal savings allowance, for example?
ParlaMint-GB_2015-03-25-commons.u194	We are delighted that the Government took a shine to our proposals for pension tax relief changes—I suppose that imitation is the best form of flattery. We will stick with our policy to reduce tuition fees to £6,000, and we will set out in our manifesto, in a matter of days and weeks, how it will be funded. Still at this late hour, the full costings in our manifesto are available for the Office for Budget Responsibility to audit and verify—if only the Minister had shaken my hand on that. I offered him the hand of friendship—was it on the “Daily Politics” the other day?—but sadly he could not do it. It is important that we have fully costed and funded manifestos and that all parties engage in the process. We will look closely at the Conservative party manifesto. The Conservatives have made some grand promises about tax which will cost at least £10 billion to implement, even in the final year of the next Parliament, yet we have not seen a dicky-bird—even in the Budget figures—on how they will be paid for. I am looking forward to reading that chapter in its manifesto.
ParlaMint-GB_2015-03-25-commons.u195	I mentioned that low productivity was driving down wages. Is not the point of tuition fees policy to increase the number of qualified people, productivity and national wealth, to end the deterrence on going to university, to stop people having credit ratings that prevent them from buying houses and to stop them not wanting a pay increase in case they have to pay back more of their fees? Surely this makes economic sense, while the Conservative party’s unsustainable economics of low pay and austerity is sending us into bankruptcy.
ParlaMint-GB_2015-03-25-commons.u196	My hon. Friend knows that the change from £9,000 to £6,000 would make an appreciable difference. Of course, it is still a significant fee, but we will only ever make promises we know can be kept and that are fully funded. I would love to do more on many other tax issues, but given the state in which the Chancellor will be leaving the public finances in only a matter of weeks, we must show students that we understand the burden of debt on them and the nation. The Government never appreciated that so many students would never be able to pay back their debts and that the bill would have to be picked up by the taxpayer sooner or later As well as measures on tuition fees, the Bill should have contained a proper bank bonus tax for the starter jobs that many young people who are having trouble finding employment need.
ParlaMint-GB_2015-03-25-commons.u197	Will the hon. Gentleman clarify his statement about the Government not realising how many people could not pay back their tuition fees loan? If tuition fees were reduced to £6,000, under his party’s policy, at what salary would people start to pay that back?
ParlaMint-GB_2015-03-25-commons.u198	The arrangements for the rate of payback were set out in the policy documents we published, but the hon. Gentleman should know that on current projections, by 2030, which is only 15 years away, £281 billion is expected to be added to the national debt now that we have reached the proportion of 49% of people who are incapable of paying back their tuition fees. It might have been a miscalculation by the Department for Business, Innovation and Skills, so perhaps he could blame the Liberal Democrat Business Secretary—that might be the function the Liberal Democrats fulfil—but whether it was the Business Secretary’s miscalculation or the Treasury’s miscalculation, I would urge hon. Members just to take a look at the projections.
ParlaMint-GB_2015-03-25-commons.u199	rose—
ParlaMint-GB_2015-03-25-commons.u200	I want to make some progress—I have several pages still to get through and I want other Members to contribute The Bill should have contained a bank bonus tax for starter jobs and measures to scrap the bedroom tax. Given today’s timetable, however, I must move rapidly to some specific issues in the Bill and ask the Minister some questions. It is not just that we have general objections to the 45p higher rate of tax for earnings over £150,000; we have anxieties about the plans for a married couples allowance that will benefit only one third of married couples and only one sixth of families with children, and although the increases in the personal allowance are a concession, rather than leap straight to a 20p basic rate, it would be better to start with a 10p rate, as a fairer and more effective way to ease people on lower incomes into income tax.
ParlaMint-GB_2015-03-25-commons.u201	My hon. Friend makes an important case about the bedroom tax. The average cost of the bedroom tax is £700 per annum, and across Greater Manchester, 28,000 people have been affected. In my constituency alone, 3,038 families—the highest figure in the land—suffer from it, whereas in Witney in Oxfordshire, 300 families suffer from it. This has been of huge detriment to northern regions—across the country but mainly northern regions. Government Members have no understanding of its impact on our constituents.
ParlaMint-GB_2015-03-25-commons.u202	This is always the dilemma. Do Government Members not understand—is it just a question of ignorance?—or have they just turned a blind eye? My hon. Friend has been a diligent campaigner against the bedroom tax and has managed to articulate very successfully the harm and difficulties that people have encountered, particularly those with disabilities who need the extra space in the house. Again, that should have been covered in the Bill.
ParlaMint-GB_2015-03-25-commons.u203	Does my hon. Friend agree that, given that such an iniquitous tax raises so little money for the Exchequer, it would be simple for the Government to abolish it tomorrow?
ParlaMint-GB_2015-03-25-commons.u204	Many studies suggest that it costs more than has been raised. Of course, the Government knew how unpopular the bedroom tax would be and came up with their “discretionary fund” to allow local authorities to ameliorate the impact, but it has not been enough and has certainly not been extended to many people who need it. My hon. Friend the Member for Wythenshawe and Sale East (Mike Kane) will also note that there has been no guarantee that the fund will continue into future years. The Government are hoping that this will go away and that nobody will notice, but our constituents will notice.
ParlaMint-GB_2015-03-25-commons.u205	rose—
ParlaMint-GB_2015-03-25-commons.u206	My hon. Friend feels strongly about this, so I will give way one more time.
ParlaMint-GB_2015-03-25-commons.u207	I do feel strongly about it. I can cite, with his approval, the case of Mr Gunning from my constituency, which has five wards in Labour Manchester and three in Tory Trafford. He lives in Tory Trafford and was not given the discretionary payment. If he had lived in Labour Manchester, he would have got the discretionary payment, although by now it would have come to an end.
