ParlaMint-GB_2015-03-05-commons.u1	1. What recent progress has been made by the Airports Commission.
ParlaMint-GB_2015-03-05-commons.u171	It is absolutely clear that it is for local NHS commissioners to take decisions on which providers should deliver health care services in the best interests of their patients. TTIP will not change that in any respect. I can give my hon. Friend not only a Government statement, but the statement of the EU Trade Commissioner, who said on 13 September: “Public services are always exempted—there is no problem about exemption. The argument is abused in your country for political reasons but it has no grounds.” That should be reassuring to people around the country who might think there is some merit in the arguments put by trade unions and the Labour party, which are designed to scare people not to arrive at a good trade deal for this country.
ParlaMint-GB_2015-03-05-commons.u172	May I draw the attention of the Government and the House to a new film drama, “A Dark Reflection”, which is about air that is contaminated by organo- phosphates entering the aircraft cabin as a result of oil breakdowns in engines, which is where the cabin air is drawn from or, from auxiliary power units or even de-icing fluids. Is it not time to have a debate about fitting air detection systems to aircraft to protect passengers and crew from aerotoxic poisoning?
ParlaMint-GB_2015-03-05-commons.u173	That is, of course, a wholly legitimate question to ask. We have just had questions to Transport Ministers and the hon. Gentleman’s question sounded a little bit like it had been left over from that. I have no doubt that Transport Ministers will notice that he has raised the issue. I cannot offer him a debate in the remaining small number of days before the end of the Parliament, but he has now managed to raise the issue on the Floor of the House.
ParlaMint-GB_2015-03-05-commons.u174	I have the honour of being the chairman of the all-party group on fire safety and rescue. Given that the Chief Fire Officers Association is very concerned that very few newly built schools have automatic sprinkler systems fitted, will my right hon. Friend find time for a debate on the issue?
ParlaMint-GB_2015-03-05-commons.u175	I am advised that the Government’s policy is that such sprinkler systems should be installed in new school buildings where there is a real and significant risk, as identified in a fire risk assessment. There will also be other situations where sprinklers are fitted because they form an integral part of the school building design and are good value for money. It is unlikely that we will be able to have a debate on the issue at this stage of the Parliament, but the House will have noted my hon. Friend’s strong interest in it and I have every confidence he will be able to return to it in the new Parliament.
ParlaMint-GB_2015-03-05-commons.u176	May we have a statement on what constitutes “offshore”? The Health and Social Care Information Centre, the national provider of IT for health services, has apparently objected to CGI—a Canadian-owned but Bridgend-based IT company—bidding for a health IT contract on the very bizarre basis that Wales is offshore. May we have clarification? The Severn is wide, but not that wide.
ParlaMint-GB_2015-03-05-commons.u177	Having recently purchased a property in Wales, I can confirm that it is not offshore. That can be regarded not only as a personal statement, but as an official statement from the Government. The notion of Wales being offshore seems a strange one in relation to the matter the hon. Lady raises. It would be best to pursue it directly with Health Ministers, and I will tell them she has raised it in the House.
ParlaMint-GB_2015-03-05-commons.u178	The director of ExxonMobil Chemical, in my constituency, has written to the Secretary of State for Business, Innovation and Skills about a threat to the industry caused by the Danish Environmental Protection Agency’s decision to seek a further assessment of a plasticiser, a key product that has just been given a relatively clean bill of health by the appropriate European body. The director has yet to receive a reply, but the House needs an urgent statement from the Secretary of State about this threat to such an important industry in Hampshire.
ParlaMint-GB_2015-03-05-commons.u179	The industry is very important for Hampshire and, indeed, the whole of the United Kingdom. I am sure it provides employment for many of my hon. Friend’s constituents, so he is quite right to raise the issue. I cannot give him an immediate answer, but I will refer his interest to my hon. Friends at the Department for Business, Innovation and Skills. Although we do not have much of this Parliament left, there will be questions to the Business Secretary on 26 March. I will ensure my hon. Friend’s urgent interest is registered with BIS, and he may be able to return to it then.
ParlaMint-GB_2015-03-05-commons.u180	The First Secretary of State has always seemed to me a pretty robust and courageous politician, so will he join me in calling for an early debate about what many people in my constituency and this country believe to be their right—to see the leaders of the great parties having a robust and courageous discussion on television so that the British people can make an informed decision? What is going on when this House remains nearly mute, after what has become almost a constitutional convention is taken away by one person—the not so courageous Prime Minister?
ParlaMint-GB_2015-03-05-commons.u181	I do not think that constitutional conventions are set by broadcasters in this country. The hon. Gentleman, with whom I have debated so many issues over the years, was in the House throughout the time that Tony Blair was Prime Minister. When he refused to have any debates on television, I do not recall the hon. Gentleman rising to say that Tony Blair ought to reconsider his position, that such a debate was vital to the British constitution or that it was an important right of the hon. Gentleman, constituents during an election campaign. I assure him that his constituents will see a great deal of all the party leaders during the general election campaign—which can only improve the prospects of the Conservative party.
ParlaMint-GB_2015-03-05-commons.u182	Just as time is running out on this Parliament, time is more poignantly running out on the young boys who suffer from Duchenne muscular dystrophy, such as my constituent Archie Hill, whose parents Gary and Louisa have campaigned tirelessly for a new drug called Translarna to made available for him and other sufferers. Will the Leader of the House tell us whether we have any time left during which we can bring more pressure to bear on NHS England? We have met the Prime Minister, who has written supportively, and the Under-Secretary of State for Health, my hon. Friend the Member for Mid Norfolk (George Freeman), who is the Minister for life sciences; only NHS England stands in the way. How can my right hon. Friend help?
ParlaMint-GB_2015-03-05-commons.u183	My right hon. Friend may well know that there is a clear process and timetable for this, and for rare conditions the decision to fund treatments and drugs is made by NHS England. A draft clinical commissioning policy on the use of Translarna for the treatment of DMD has been developed, and it is now being considered for funding. The consultation runs until 27 April, so it has another six or seven weeks to run. I urge my right hon. Friend and other colleagues who have raised this issue in the House to make their views known to NHS England throughout that process.
ParlaMint-GB_2015-03-05-commons.u184	Joanna Michael, the daughter of my constituent Angela Michael, was brutally murdered in 2009. The Independent Police Complaints Commission ruled that she was failed by the police, yet the Supreme Court has ruled that a negligence claim cannot be brought against the police because they have immunity. May we have a debate with a view to changing the law so that the police are held to account in the same way as doctors, teachers and the armed forces?
ParlaMint-GB_2015-03-05-commons.u185	The hon. Gentleman raises an important point about a disturbing case. I will refer it to my ministerial colleagues, and there will be further questions to Ministers at the Ministry of Justice before the Dissolution of Parliament. I will ensure that Ministers consider the matter he has raised.
ParlaMint-GB_2015-03-05-commons.u186	It is estimated that the elephant population of the Selous reserve in Tanzania has fallen from 55,000 in 2006 to about 15,000 now. As chair of the all-party group on Tanzania and a long-term resident of that country, that greatly distresses me and hundreds of people around the world. May we have an urgent debate in this House on the factors that fuel demand for ivory, rhino horn and other illegal wildlife products?
ParlaMint-GB_2015-03-05-commons.u187	My hon. Friend is right, and this is a deeply disturbing situation not only in Tanzania but internationally. The British Government are playing a leading role in fighting this. As Foreign Secretary, in February last year I hosted an international summit on the issue, which the President of Tanzania addressed. I now chair a taskforce on how to prevent the transportation of illegal ivory, at the request of His Royal Highness the Duke of Cambridge. As my hon. Friend says, it is ultimately a matter of demand in countries such as China, Vietnam and Thailand, and it is welcome that such issues are being debated with China during the visit of His Royal Highness this week.
ParlaMint-GB_2015-03-05-commons.u188	May we debate debating? I recall that when I succeeded the right hon. Gentleman many years ago as president of the world’s most famous student debating society, he was in favour of debating—indeed, he was in favour of it as late as 2001 when he was Leader of the Opposition, as he told the House today. If we had such a debate, would we at least get one more opportunity to see the Leader of the House in full flow, showing the skill he developed all those years ago of being able to defend the indefensible—namely, the Prime Minister’s craven approach to debating head to head on television with the Leader of the Opposition?
ParlaMint-GB_2015-03-05-commons.u189	The Prime Minister has debated every Wednesday for years with the Leader of the Opposition, and he has almost invariably come off best in those debates. The hon. Gentleman’s characterisation is not right. He and I have always been committed to debating through our background in the Oxford union, and the Prime Minister has offered the terms of a debate to broadcasters and the other parties. As I pointed out earlier, such an offer was never made to me by the Prime Minister of the day when I was Leader of the Opposition.
ParlaMint-GB_2015-03-05-commons.u190	Domestic drones were the must-have gift last Christmas—needless to say I did not get one, although I did get a Dyson cleaner. The usage of drones is governed by the Civil Aviation Authority, and there was a near miss between a drone and an A320 last summer. May we have a debate to ensure that rules on the use of drones are fully known, so that we can guarantee the serenity and safety of residents in the United Kingdom?
ParlaMint-GB_2015-03-05-commons.u191	I hope my hon. Friend finds his Dyson cleaner easier to control than some people find their drones. I am sure he will. This will be an important subject for consideration, but I cannot offer a debate before the Dissolution of Parliament. Important privacy and air safety issues are at stake, which I know have been considered by the Civil Aviation Authority. This activity will continue to develop, so I would be very surprised if Parliament did not consider it in the coming months—most likely, of course, in the new Parliament.
ParlaMint-GB_2015-03-05-commons.u192	Some villages in Coedpoeth and Brymbo in my constituency face very large bills through no fault of their own because they have to fund remedial work resulting from historic lead contamination. This is an anomalous situation, as our law generally follows the principle that the polluter pays, but here there is no traceable polluter. Last year in Blanefield in Scotland, the UK Government reached a deal with the Scottish Government and the local authority jointly to fund work in a parallel situation. The Welsh Government would like a similar solution in this case. Will the Leader of the House grant an urgent debate, to be answered by a Treasury Minister, so that the UK Government can lay out a consistent position on funding criteria?
ParlaMint-GB_2015-03-05-commons.u193	The hon. Lady raises an important issue for her constituents. I do not know what the prospects are of the consistent position she has called for emerging, but Treasury questions take place next Tuesday, 10 March, providing an early opportunity for her to raise the matter with Treasury Ministers. She will be able to pursue it with them by every other avenue. I think it unlikely that we will be able to have such a debate before Dissolution, but the hon. Lady has those opportunities to raise the issue.
ParlaMint-GB_2015-03-05-commons.u194	My right hon. Friend will be greatly missed by the House. He has done outstanding work and left a lasting legacy on the issue of sexual violence in conflict. It is important to address issues relating to women and equalities. I ask him, perhaps as a parting gift, to urge all hon. Members to support the establishment of a Select Committee on women and equalities, so that we can carry on scrutinising these issues, holding the Government to account on them and ensuring that we make progress for women in this country and elsewhere throughout the world.
ParlaMint-GB_2015-03-05-commons.u195	I am very grateful for my hon. Friend’s remarks, and I pay tribute to her and the work she has done on preventing sexual violence. I have seen her working in her constituency and across London on this issue, and I know her work is appreciated by other London Members. As I mentioned earlier, I have a lot of sympathy with the case for establishing an equalities Select Committee of some kind. The establishment of Select Committees will have to be decided in the new Parliament. I add that the number of other Select Committees would have to be reduced by one in order to accommodate this one.
ParlaMint-GB_2015-03-05-commons.u196	The major supermarkets, Eurotunnel, major hauliers and others support the building of a dedicated rail freight line capable of carrying full-size lorry trailers on trains and linking all the major economic regions of Britain with each other and the channel tunnel. There is such a scheme, called the GB freight route, which could be built easily, quickly and economically and would take 5 million lorry journeys off our roads every year. This is significant for a number of Government Departments, including the Treasury, the Department for Business, Innovation and Skills and the Department for Transport. Will the Leader of the House use his good offices to encourage Ministers from all those Departments to consult the relevant companies about advancing this scheme?
ParlaMint-GB_2015-03-05-commons.u197	I will certainly inform my ministerial colleagues in the relevant Departments of the matter the hon. Gentleman has raised. As I said earlier, we have just had Transport Question Time, and I think I shall have to make a list for Transport Ministers of the questions left over from it and asked during business questions. I am happy to provide that service on this occasion, and the hon. Gentleman has managed to raise the matter on the Floor of the House.
ParlaMint-GB_2015-03-05-commons.u198	This is not a transport issue, but may we have a debate in the short time left on recent changes to the rules governing community amateur sports clubs, with specific reference to rate relief thresholds? The York Railway Institute, which provides fantastic sporting facilities to many of my constituents, is under financial threat as a result of the changes. It could close or be broken up to offset them, after serving the public of York since its foundation in 1889.
ParlaMint-GB_2015-03-05-commons.u199	The Government have given local authorities the power to offer business rate discounts beyond predefined reliefs at their discretion, including to sports clubs, to be funded 50% by central Government and 50% by local authorities. I recommend that the club discuss this with its local authority. The Treasury would expect local authorities to take full account of the funding provided by central Government for discretionary rate relief when making their decisions.
ParlaMint-GB_2015-03-05-commons.u200	Birmingham and other midlands licence fee payers contribute £942 million to the BBC coffers, but less than £80 million of that was invested in our region last year. That is less than it manages to spend in London over 12 days. May we have a debate before the end of this Parliament on the renewal terms for the BBC charter, so we can agree some rules for fair funding and an end to our subsidising the London luvvies broadcasting corporation?
ParlaMint-GB_2015-03-05-commons.u201	Personally, I have a good deal of sympathy with the need for the BBC to invest around the country. We had a statement just last week by the Chair of the Culture, Media and Sport Committee, so there have been recent opportunities to raise the implications of that on the Floor of the House. I am sure there will be other debates on the future of the BBC, but I cannot offer one in the remaining 14 days the House is sitting before we come to the general election campaign.
ParlaMint-GB_2015-03-05-commons.u202	I bring good news from Kettering, where the £4 million upgrade of the maternity department at Kettering general hospital has just begun, due for completion in December. Ten babies a day, on average, are delivered at the hospital. This is part of an £18 million investment package for the hospital, which comes ahead of a potential £30 million for developing a new urgent care hub facility on the site. Will my right hon. Friend encourage our right hon. Friend the Chancellor to include in his Budget statement a paragraph making it clear that such massive investment in our local NHS hospitals is possible only because of the success of our long-term economic plan?
ParlaMint-GB_2015-03-05-commons.u203	My hon. Friend has again brought important good news from Kettering, as he has done in recent weeks concerning the economy, employment and the success of the town, and all that is related to the success of this country. He mentions investment in the national health service, which is now conducting 1.3 million more operations, 6 million more out-patient appointments and 3.5 million more diagnostic tests than it did five years ago. His central point is important and absolutely correct: such investment is only possible with a growing economy. That is what is at stake in the coming general election.
ParlaMint-GB_2015-03-05-commons.u204	When can we debate early-day motion 839 [That this House is appalled at the demeaning spectacle of Prime Minister's Questions, where the Leader of the Opposition’s questions are not answered by the Prime Minister, who uses the occasions as a bully pulpit for his own chosen issues; notes the widely expressed public revulsion at this ill-mannered, pointless spectacle; and calls for its replacement by meetings where the Prime Minister will answer questions from 20 randomly-selected backbenchers in a committee room in an atmosphere of calm and dignity.] This House was brought into further disrepute by the disgraceful behaviour of two senior Members recently, who shamed themselves and this House on the “Dispatches” programme. However, weekly the House is brought into disrepute by the spectacle of Prime Minister’s Question Time, which consists of little more than repeated tedious mantras, crude insults and answers that do not reflect the questions asked. Prime Minister John Major and Neil Kinnock made a valiant effort to reform question time, as has the present Speaker, but I believe the present format is unreformable and we have to look to a new way of presenting Prime Minister’s Question Time—in a manner that is robust, but calm and dignified.
ParlaMint-GB_2015-03-05-commons.u205	As the hon. Gentleman will know, the two right hon. Members in question have referred themselves to the Parliamentary Commissioner for Standards. That has been the correct thing to do, and the matter will now be investigated On Prime Minister’s questions, I am sure that in future Parliaments—in the next Parliament—the Procedure Committee and the House as a whole can consider any suggested changes. We can always change and improve our procedures, and it is always important to have an eye on doing so. I would only add that in my experience all over the world as Foreign Secretary for most of the past five years, our Parliament and its proceedings are widely admired. Many people in countries all over the world have expressed to me the wish that they could question their Head of Government in the same way we can here in this House, and so we must not lose that central aspect of our proceedings.
ParlaMint-GB_2015-03-05-commons.u206	Reports this week of a woman acting as a surrogate to give birth to her own son’s baby have shocked many people, not least because the procedure was reportedly carried out in a clinic licensed by the Human Fertilisation and Embryology Authority. Will my right hon. Friend, as one of his final acts, find time for an urgent debate on the actions of the HFEA and the fertility clinic involved in this case? If an urgent debate is not possible, what will he do?
ParlaMint-GB_2015-03-05-commons.u207	Given the time constraints that I have mentioned several times, an urgent debate is not possible. I do not know the details of the case my hon. Friend has raised. Nevertheless, I can understand the debate and concern about such issues, so I will inform my colleagues at the Department of Health of his interest in this matter and the fact that he has raised it, and ask them to respond to him.
ParlaMint-GB_2015-03-05-commons.u208	Thank you, Mr Speaker, for the offer of a cup of tea earlier. That is the closest thing I have had to an offer of a hot date in a very long time May I ask the Leader of the House for a debate on the future of the Planning Inspectorate, which seems to be wantonly ignoring the views of local people and going against adopted local plans, especially, for example, in the village of West Haddon in my constituency?
ParlaMint-GB_2015-03-05-commons.u209	There are debates on planning. In fact, there is a debate today in Westminster Hall on the national planning policy framework, so my hon. Friend may be able to raise such matters during it. I cannot otherwise offer a debate in the time available. Communities and Local Government questions will take place on 16 March—a week on Monday. There are therefore a few remaining opportunities for him to raise the issue in the House.
ParlaMint-GB_2015-03-05-commons.u210	I beg to move, That this House has considered International Women’s Day This motion in support of international women’s day also stands in the name of my right hon. Friend the Member for Meriden (Mrs Spelman) and my hon. Friend the Member for Erewash (Jessica Lee). I should say that my hon. Friend the Member for Erewash did the heavy lifting on all this but was detained elsewhere and unable to go to the Backbench Business Committee on the day we put our bid in. I thank her, and all the right hon. and hon. Members across the House who supported our application for this important debate. It is one of the rare parliamentary moments in our calendar when, across the Chamber, there is more that unites us than divides us. I thank the Backbench Business Committee for its support in making the debate possible It is an enormous privilege to open this debate. It is not only here that international women’s day will be marked—more than 300 events will be held in the UK to mark the economic, political and social achievements of women across our globe. Our enduring thanks have to go to organisations such as the United Nations, Oxfam, Women for Women International, CARE International and the World Association of Girl Guides and Girl Scouts, which bring this event alive for thousands of people across the United Kingdom Each international women’s day gives us an opportunity to pause and take stock of the progress that we are making throughout the world in gaining a fundamental right: the right to be treated equally, regardless of our gender. The breadth of today’s debate is daunting, and I do not think that any one speaker can hope to cover every aspect of the important work that many Members are doing in the House, whether it is connected with domestic violence towards women, female genital mutilation, or a host of other issues that are equally important. I want to focus on two issues: the role of women in the workplace and their role in this place.
ParlaMint-GB_2015-03-05-commons.u211	I congratulate the right hon. Lady and her colleagues on initiating the debate. Does she agree that we still have a long way to go before women have parity with men in terms of pay?
ParlaMint-GB_2015-03-05-commons.u212	I think we have made important progress in that regard, particularly under the present Government but previously as well. For women under the age of 40, the gender pay gap has all but disappeared, and when we disaggregate the overall data, we see that progress has been made. As the hon. Gentleman says, it is worrying that the gap has not disappeared completely, but, as I am sure he knows, that has much to do with some of the choices that women are making about how they want to lead their lives, which they have an absolute right to do, and also with some of the choices that they are making early in their educational careers. We need to ensure that they are fully aware of the implications of those choices.
ParlaMint-GB_2015-03-05-commons.u213	The right hon. Lady said that the pay gap for women aged 50 and over had increased, and suggested that that might be partly to do with choices that women make. Is the enormous increase in unemployment among members of that group, compared with the decrease in unemployment in every other cohort, a result of choices that they have made?
ParlaMint-GB_2015-03-05-commons.u214	I think the hon. Lady misheard me. I referred to women over the age of 40, and I did not say that the gap had increased. However, she is right in one respect. I am sure that there are many reasons for the pay gap to continue, and I think that she and I share a desire for the position to change. I shall say more about that later.
ParlaMint-GB_2015-03-05-commons.u215	Does my right hon. Friend agree that one of the Government’s major changes has been taking people out of income tax at the lower end of the scale, and is it not a fact that 58% of those workers are women?
ParlaMint-GB_2015-03-05-commons.u216	As my right hon. Friend says, the Government have made real progress in not only giving more women access to child care, but helping women on lower incomes, as well as women of pensionable age. I am not suggesting to the hon. Member for Slough (Fiona Mactaggart) that all the problems have been solved, but I think she would want to join me in ensuring that praise is given when it is due As I said at the beginning, I want to focus on both the workplace and this place. On a day like this, we should never forget what our forebears did to ensure that we would all be here as women Members of Parliament. There is also much to celebrate in the country more widely in respect of the role of women in our society. Over the past year, we have seen the appointment of the first woman bishop, the first female president of the Royal College of Surgeons, and—this is of particular interest to me—the first female Formula 1 driver, Susie Wolff. Many more women are breaking through and providing role models for us all, which can help to change attitudes and, importantly, raise aspirations Let me add one more name to that list: Fiona Woolf. I think that she deserves a particular mention. Although she was not the first female Lord Mayor of London, I believe that she did more than any other Lord Mayor to tackle the issue of gender equality in business, championing women and their contribution to the City of London, and taking that further with the City’s first Pride dinner in celebration of lesbian, gay, bisexual and transgender City workers. I think we should put on record our thanks to her for all she did in that role I shall now focus on the role of work in women’s lives, knowing full well that other colleagues will pick up the other vital threads. Last week the head of the International Monetary Fund, Christine Lagarde, wrote: “In too many countries, too many legal restrictions conspire against women to be economically active”, yet we know that the right to work is fundamental to the story of women’s equality. Christine Lagarde was prompted to say that by an IMF report which found that, despite the progress made on gender, almost 90% of countries surveyed still had legal restrictions based on gender that can stop women having the same opportunities to work as men While progress has been made, we should start this debate in the full knowledge that for many of our sisters around the world progress can be almost impossible to see. That is why the work of my right hon. Friend the International Development Secretary is so critical in supporting our aims.
ParlaMint-GB_2015-03-05-commons.u217	I congratulate my right hon. Friend on her speech and on this debate. Will she commend the work of my hon. Friend the Member for Stone (Sir William Cash) in bringing forward his gender equality Bill for international development? It is absolutely critical that our international development programme, which our right hon. Friend the International Development Secretary so ably leads, ensures that gender equality is embedded in everything it does.
ParlaMint-GB_2015-03-05-commons.u218	My hon. Friend is absolutely right to remind me of that important Bill, because through such legislation we can ensure that Britain continues to lead the way, as we are doing in our Government policy, prioritising women and girls in overseas work, helping more than 2 million women overseas to get jobs and over 5 million girls to attend school. That sort of leadership can make a real difference.
ParlaMint-GB_2015-03-05-commons.u219	Will my right hon. Friend also welcome the news today that the Mayor of London, Boris Johnson, has given this great city £5 million to tackle domestic abuse and violence?
ParlaMint-GB_2015-03-05-commons.u220	Absolutely, and I pay tribute not only to the Mayor of London for the excellent work he does in his office, but to my hon. Friend, who has shown real leadership on this issue not only in her constituency, but across London. With women like her on our green Benches, we can make real progress in these areas The theme of this year’s international women’s day is “Make it happen”, and it is incumbent on all of us to make sure we are making it happen for women not only in the UK, but around the world. The Commission on the Status of Women, the Convention on the Elimination of All Forms of Discrimination against Women, and the team of dedicated people at the Government Equalities Office led by Helene Reardon-Bond work tirelessly to support change around the globe, to take the experience of our country abroad, and to advocate and deliver the change that is needed. They and the ministerial team ably led by my right hon. Friend the Secretary of State for Education, and the Ministers on the Front Bench today as well, play a critical role and I applaud them for their enduring hard work and urge them on What the IMF report to which I have referred underlines is that laws, however apparently benign, can affect the true opportunities women have, and I would like to draw the attention of the House to a problem raised by one of my constituents: the posting of revenge pornography online, an act that I believe was designed specifically to intimidate and undermine the women who were the victims. It is a very female-based crime, yet I was advised by the police that it was not necessarily a crime at all at that point. All the victims I have met are women, although I am sure there are some men who are affected, too. These women endured enormous trauma, and some even blackmail, and almost all cited a direct effect on their work and family life as a result of being the victims of this appalling and despicable behaviour. It is a testament to the commitment of the Lord Chancellor on these issues that when I raised this with him directly, he acted at once. We must ensure that we are responsive to the new crimes that the internet can create, and I believe this Government have done just that. It is now, after one short year, a crime to post nude or sexually explicit images online without consent, and I applaud my right hon. Friend the Lord Chancellor for taking that swift action The British workplace was designed by men for men, and so were many of the laws that are assigned to it. That is why the task of workplace modernisation is so important. There is now a record number of women in work—more than 14 million—and 80% of the growth in female employment in the past four years has been in managerial, professional and technical sectors. The Under-Secretary of State for Business, Innovation and Skills, my hon. Friend the Member for East Dunbartonshire (Jo Swinson), was instrumental in pressing for extending the right to request flexible working and in introducing a system of shared parental leave. Increasing early-years education for three and four-year-olds and the most disadvantaged two-year-olds, and making tax-free child care available to all for the first time, are also clear ways in which this Government have taken action to modernise the workplace for women in the past five years We have removed some of the most entrenched barriers, helping women to gain greater financial security through work and also in retirement. Our state pension reforms will improve the lives of the more than 600,000 women who will benefit from the single tier pension and receive an average of £8 a week more as a result of this Government’s actions. There are now more women-led businesses than ever before. One in five small and medium-sized enterprises is now led by a woman. There are more women on FTSE boards than ever before, and there are now, for the first time ever, no all-male FTSE 100 boards. These are significant achievements, and the Government should be recognised for what they have done. I believe that we shall see this legacy come to maturity in the next 10 years When it comes to promoting gender equality, one of the key indicators alongside work is the proportion of seats held by women in a national Parliament. I should like to pay particular tribute to the work of the all-party parliamentary group for women in Parliament, which is ably led by my hon. Friend the Member for Brentford and Isleworth (Mary Macleod). She has worked assiduously to ensure that female representation in this House remains firmly on every party’s agenda. Her report published last summer rightly made a number of recommendations of which every Member of the House should be aware One recommendation, which has already been mentioned, is that we should not miss the opportunity to ensure that matters relating to women and equality are properly scrutinised. The establishment of a women and equalities Select Committee, to ensure proper scrutiny both for Government and for those outside Government on equality issues, is one of the report’s most powerful recommendations. Lord Davies’s work on women’s representation on boards has demonstrated how effective it can be to establish an expectation when it comes to gender. Through his work, he has almost doubled the number of female company directors in FTSE 100 firms by putting in place a target and monitoring it, and by generating a great deal of good will behind the issue. It is almost unbelievable that we do not have a scrutiny body on women and equality led by the House of Commons. As a former Minister for Women and Equalities, I can tell the House that I would see such a body as a very effective tool indeed. I was pleased to hear the personal commitment from the Leader of the House earlier today. Putting in place such a Select Committee and ensuring that people would be held to account would have just the kind of nudge effect that is so popular among modern-day economists. That would be an important way we could improve the processes of this place The all-party parliamentary group also recommended changes to the working practices of the House as an important way of encouraging more women to stand for elected office. Clearly, we have to create an environment that women want to work in—one where they feel their face will fit. When I was asked to consider becoming an MP in 2000, my reply was, “People like me don’t become MPs.” I was born in a council house, I went to my local comprehensive school in Bridgend in south Wales and I had been working for 15 years in business, where I was a working mum, with two small children at the time. But my party never saw any of those things as an obstacle. I believe it is less about those things being obstacles and more about the perception people have about this place—that is what we need to overcome.
ParlaMint-GB_2015-03-05-commons.u221	Does my right hon. Friend agree that all parties need to do a lot more outreach to women right across this country to say that their country needs them? They need to take a role in public life, participate in our debates and really make a difference to the future of this country.
ParlaMint-GB_2015-03-05-commons.u222	My hon. Friend is absolutely right about that. I hope I am able to say this without betraying any confidences from the evidence sessions held in her Select Committee, but I certainly had the overwhelming impression that recruiting women was not a problem in any individual political party; the problem was more to do with encouraging women to be interested in this as part of their career or part of how they could contribute something to the society in which they live.
ParlaMint-GB_2015-03-05-commons.u223	My right hon. Friend is making a powerful speech, and she has been a rich addition to the House. What has alarmed me is that the experience she reports in 2000 is the same as my experience back in the late 1980s and early 1990s. I came into this place in 1992 and am now the longest serving woman on the Conservative Benches. How are we going to make sure that our message goes out beyond this place that this is a very good place for women to represent their constituencies and a very good place for women to do business?
ParlaMint-GB_2015-03-05-commons.u224	My right hon. Friend asks one of the biggest questions to be answered in this debate today. It is not only incumbent on us in this place to deal with it—I know you take a deep interest in this too, Mr Speaker—but we also have to look at the way in which women who hold these jobs are represented. I know that one of the biggest concerns many women have about coming into Parliament is the problems that they can encounter in terms of the scrutiny of themselves and their personal lives. There are a great many questions to be answered in that regard, too.
ParlaMint-GB_2015-03-05-commons.u225	One way in which women could be helped, particularly younger married women with families, is by our having a look at the crèche facilities in this place.
ParlaMint-GB_2015-03-05-commons.u226	I know that we have crèche facilities, although I am not sure that my 12-year-old would be too excited about going there. The hon. Gentleman raises an important point, which is that at the beginning of the next Parliament, when we start to think about the working hours of this place—I know that there are many different competing demands, with people living in various parts of the country—we have to ask ourselves the questions. If, as the Conservatives will, we have many young women coming into Parliament who may have not yet started their families, and if we are to encourage them to stay here for as long as possible, we have to address the sort of issue he is talking about. I want to encourage more women who have families into Parliament. At the moment, 40% of women MPs do not have children and that is not representative of our population as a whole. In addition, women tend to have shorter parliamentary careers than their male counterparts and tend to have older children, too, so there are some forces at play that he is right to pick up on.
ParlaMint-GB_2015-03-05-commons.u227	The right hon. Lady is making an interesting speech. I wonder whether she shares my experience, which is that at surgeries or even when knocking on doors it tends to be the women who come forward to discuss things. I have had surgeries where the man has been brought along but does not open his mouth and the woman speaks on his behalf. I wonder whether it is a shared experience among women MPs that the level of engagement by women is very high indeed.
ParlaMint-GB_2015-03-05-commons.u228	The hon. Lady is making an important point. I wish to pay tribute to my local Basingstoke and Deane borough council, particularly its Conservative group, because more than a third of our councillors are women and that is well in excess of any other party. I think there is something else at play in what she says; perhaps as she and I are women MPs, women feel more empowered to take a more assertive position with us because they see women in their community taking a role that they can follow I believe that each party is doing good work to encourage more women to stand. I pay particular tribute to the work of Women2Win for my party, under the careful guidance of my right hon. Friend the Home Secretary and the noble Baroness Jenkin in the other place, and to my hon. Friend the Member for Truro and Falmouth (Sarah Newton)—an extraordinarily dedicated group of colleagues, who have ensured that an extraordinary group of talented women are set to join us on these green Benches in May. More than a third of our candidates in winnable seats are women. I pay particular tribute to Suella Fernandes, who was selected for Fareham, in my home county of Hampshire, just a few weeks ago. With all her experience, I know that she will be an excellent addition to this place My right hon. and hon. Friends here today, many of whom have been MPs for longer than me, have noted many things about this place, but one thing that I was concerned about when I came here was the lack of visibility of the contribution made by the women who had already been in Parliament before me. Since that point, we have seen some progress, but we need to continue under your careful guidance, Mr Speaker, to make progress on that. We have seen the unveiling of the statue of Margaret Thatcher in Members’ Lobby and just this week we have seen an inspiring exhibition of photography and portraiture, which has really started to crystallise the contribution of the extraordinary women we have already seen in this place I know that you are one of our great supporters, Mr Speaker, but let us make sure, perhaps as a testament to this international women’s day, not only that we have an exhibition of women’s portraiture and photography in Portcullis House, but that those images creep their way down the corridors to the Palace of Westminster itself and on to the walls of our Committee Rooms, so that the next time I sit on a Delegated Legislation Committee, I do not have to endure two or three hours of simply looking at previous male colleagues on our walls. I think that is perhaps what would be expected, all these years on from the first woman having sat in the House of Commons I will close there, because I know that many hon. and right hon. Friends want to contribute to this debate. I look forward to an excellent discussion of the issues that really matter to women in Britain today.
ParlaMint-GB_2015-03-05-commons.u229	rose—
ParlaMint-GB_2015-03-05-commons.u230	Order. Colleagues might wish to produce a list of the distinguished female parliamentarians of whom they would like to have portraits in prominent positions in the Palace in the course of the next Parliament. If that choice is made known, I would be very happy to be a cheerleader for it. Far too few prominent female parliamentarians have portraits in this House.
