ParlaMint-GB_2015-01-26-commons.u1	3. What recent assessment he has made of the effectiveness of the innovation fund for young people.
ParlaMint-GB_2015-01-26-commons.u174	I rise to speak to new clause 15 and amendments 98 and 103. Both shale gas and geothermal energy are exciting new energy resources for the UK, with the potential to provide greater energy security, growth and jobs, while also playing an important role in the transition to a low-carbon economy.
ParlaMint-GB_2015-01-26-commons.u175	Will the Minister give way?
ParlaMint-GB_2015-01-26-commons.u176	I will make some progress, but I will give way to the hon. Lady during my speech. The provisions in the Bill provide for a right to use deep-level land for the purposes of exploiting petroleum or deep geothermal energy. That will help us unlock exploration for shale gas and deep geothermal as we move towards a low-carbon economy Several hon. Members have brought forward new clause 4, which would place a statutory duty on the Committee on Climate Change to produce reports on the effect of shale on the UK’s net carbon emissions. Amendment 44 states that the right of use, and the carrying out of hydraulic fracturing, are conditional on the finding in the Committee’s reports “that shale…exploitation leads to a net reduction of UK carbon emissions.” The Government are committed to reducing carbon emissions by 80% by 2050. To meet our challenging climate targets we will need significant quantities of renewables, nuclear and gas in our energy mix, and we are committed to listening to the experts and their advice on how to reach those targets.
ParlaMint-GB_2015-01-26-commons.u177	Will the Minister explain how public confidence in fracking is enhanced by the Government’s refusal to let the public see an unredacted copy of the Department for Environment, Food and Rural Affairs report on the impacts of fracking on the rural economy? Will she make a gesture today by saying that that report will be unredacted and put in the public domain?
ParlaMint-GB_2015-01-26-commons.u178	The hon. Lady will know that this matter is included in one of the amendments, which I will come on to discuss more fully later. Although I cannot make the commitment she is asking for, I will speak more fully on it a little later.
ParlaMint-GB_2015-01-26-commons.u179	Three times now the Minister has referred to moving to lower carbon emissions in the UK, but what good is that if it results in displaced coal being available for use in other parts of the developed world? Whether the emissions come from coal being burnt in Germany or in the UK, they still contribute to climate change.
ParlaMint-GB_2015-01-26-commons.u180	That is why, as the hon. Gentleman is aware, the Government have been so keen to get targets into Europe that apply across the whole of Europe. He will be aware that we are leading on those, and we will continue to do so. It is very important to lead by example, and he is right to raise the issue relating to Germany, which is why we are pleased to have a cross-European agreement. However, that does not detract from the importance of making sure that we do the right thing in this country.
ParlaMint-GB_2015-01-26-commons.u181	On that point about displaced coal, is it not a fact that it is displaced coal from north America that is contributing to a rise in the burning of coal in Europe? If we take matters into our own hands and develop more gas, we can reduce the amount of coal that is burned. It is coal that is the enemy of climate change and that is enemy No. 1. Gas is our ally in a green future.
ParlaMint-GB_2015-01-26-commons.u182	My hon. Friend makes an excellent point based on his clear expertise in this area. The Committee on Climate Change has said that for flexible power supply, the UK will “continue to use considerable, albeit declining, amounts of gas well into the 2030s” which will leave “a considerable gap between production of North Sea gas and our total demand.” It argues that that demand “can either be met through imports or UK production of shale gas.” It concludes that “if anything, using well regulated UK shale gas to fill this gap could lead to lower overall lifecycle greenhouse gas emissions than continuing to import LNG. It would also increase the proportion of energy produced within the UK, improving our energy sovereignty.”
ParlaMint-GB_2015-01-26-commons.u183	The important thing that has come from these exchanges is that it is the use of carbon that causes the emissions. Therefore, it is crucial that we have a proper emissions trading scheme throughout Europe and that the source of the energy should be as low carbon as possible. Therefore, maximising the economic production from the North sea is an important first step.
ParlaMint-GB_2015-01-26-commons.u184	The hon. Gentleman is entirely right. It is absolutely essential that we do also maximise economic recovery, and we will be coming on to that later in this debate.
ParlaMint-GB_2015-01-26-commons.u185	The Minister rightly said that the displacement of coal by gas could make a massive impact on reducing our carbon emissions. But it is also right to say that that is no good if countries such as Germany go down the coal route. Does she think she can persuade those countries to follow us in going towards gas more quickly?
ParlaMint-GB_2015-01-26-commons.u186	We will certainly do our best. The UK is a leader in Europe in providing our own example and in trying to corral our European partners to ensure that we move to a low carbon economy.
ParlaMint-GB_2015-01-26-commons.u187	rose—
ParlaMint-GB_2015-01-26-commons.u188	I will make a little more progress Professor David MacKay and Dr Timothy Stone have supported the findings of the Committee on Climate Change and in 2013, they published recommendations on how to reduce emissions from shale gas operations, which the Government have accepted. In addition, the Environment Agency has agreed to make green completions—techniques to minimise methane emissions —a requirement of environmental permits for shale gas production.
ParlaMint-GB_2015-01-26-commons.u189	rose—
ParlaMint-GB_2015-01-26-commons.u190	I will give way to the hon. Gentleman, but first I want to outline what the Government are doing on this matter I am pleased to say that we have tabled an amendment that will place a duty on the Secretary of State to seek advice from the Committee on Climate Change as to the impact of petroleum development in England and Wales, including shale gas operations, on our ability to meet the UK’s overall climate change objectives over time, and it is not limited to a specific carbon budget period. The Secretary of State must consider the advice of the Committee on Climate Change and report on his conclusions at least every five years. By introducing this amendment, we are making it absolutely clear that shale development will remain compatible with our goal to cut greenhouse gas emissions.
ParlaMint-GB_2015-01-26-commons.u191	I thank the Minister for that amendment. It goes halfway towards my amendment, which called for that to happen and then said that we should not allow fracking if it increased emissions. She spoke about the report from Dave Mackay, one of my constituents. Does she accept that he also says that “in the absence of strong climate policies…we believe it is credible that shale-gas use would increase both short-term and long-term emissions rates?” If it turns out that we do see higher carbon emissions, will she agree that we should end fracking at that point at least?
ParlaMint-GB_2015-01-26-commons.u192	The hon. Gentleman makes an interesting point. I am confident that our amendment addresses exactly that. The Committee on Climate Change will take a view on what it sees, now that there is an obligation on the Secretary of State to consult with it. I am encouraged by the fact that that obligation is now in place.
ParlaMint-GB_2015-01-26-commons.u193	On the point made by my hon. Friend the Member for Warrington South (David Mowat), is the Minister aware that, historically, the German nation has been providing massive subsidies—up to £4 billion a year—to its coal industry? She could do something in the Council of Europe about solving the problem that she has been describing. Will she do that
ParlaMint-GB_2015-01-26-commons.u194	I thank my hon. Friend for his expression of confidence in our ability to work with our European partners to improve output in the UK and in Europe more widely.
ParlaMint-GB_2015-01-26-commons.u195	Is my hon. Friend aware that David MacKay, to whom the hon. Member for Cambridge (Dr Huppert) referred, also reported that carbon emissions from shale gas are lower than those from liquefied natural gas, and that because the most likely effect of developing our shale gas reserves will be to substitute for LNG imports, the direct and immediate effect of allowing shale gas to go ahead will be a reduction in greenhouse gas emissions?
ParlaMint-GB_2015-01-26-commons.u196	My hon. Friend is absolutely right: it is a win-win for the UK in both potential economic benefit and reducing our carbon footprint.
ParlaMint-GB_2015-01-26-commons.u197	In addition to all the advantages my hon. Friend has already mentioned, does she accept that we need to have a shale gas industry to go hand-in-hand with our wind industry, because wind-powered generators require gas generators to back them up?
ParlaMint-GB_2015-01-26-commons.u198	My hon. Friend is right: having a successful shale gas industry is an important part of supporting our renewables industry New clause 2 proposes specific changes to the Scotland Act 1998. Although I understand the intention, the Bill is not the right vehicle to make those amendments. The new devolution settlement should be debated as a whole package in the next Parliament. Last Thursday, the Government published their Command Paper, “Scotland in the United Kingdom: An enduring settlement”, which sets out that draft clause 31 will devolve to Scottish Ministers the regime for licensing exploration and extraction of oil and gas, and transfer to the Scottish Parliament legislative competence for the licensing of onshore oil and gas exploration and extraction. Responsibility for mineral access rights for underground onshore extraction of oil and gas in Scotland will also be devolved to the Scottish Parliament I assure hon. Members that those matters will be fully addressed through the broader process of reviewing the devolution settlement, to which all three major parties are committed. Whoever forms the next Government will take forward the draft legislation for further Scottish devolution. I announced in Committee the Government’s intention to table an amendment to remove Scotland from the scope of the provisions concerning the right to use deep-level land. We have now tabled amendments that will achieve that.
ParlaMint-GB_2015-01-26-commons.u199	I note what the Minister says, and obviously I am keen that the powers be transferred as soon as possible, but does she not acknowledge that, as I and the Scottish Government have said on numerous occasions, there is a gap? Scotland has planning and environmental powers, but will not, if the Government do as she is saying they will, get powers on licences for some time yet. Will the Government give a guarantee that no more licences will be granted in the meantime? What is the position of licences already granted? Would it not be more sensible to support new clause 9, so that there is a moratorium until the Scottish Parliament can make a full decision on these matters?
ParlaMint-GB_2015-01-26-commons.u200	I feel that the Government new clause deals with the specific issues that are relevant to the Infrastructure Bill. I understand—we all do—that many other measures may need to be debated, but the time for that will be after the next Government are in place, when there will be a fuller debate on proper devolution.
ParlaMint-GB_2015-01-26-commons.u201	The Minister said that onshore energy and fuels will be devolved, but when will offshore be devolved to the Scottish Government—Scotland’s oil?
ParlaMint-GB_2015-01-26-commons.u202	I thank the hon. Gentleman for that contribution, but I must defer to other Departments on that. For now, I will deal with the specific issues on the table for the Infrastructure Bill.
ParlaMint-GB_2015-01-26-commons.u203	The Minister is talking about new clause 2 and the devolution of licensing, which she says is promised and will be delivered as part of the Smith agreement. Given that the 14th round has been started but the licences not awarded, does it not make sense for those licences not to be awarded in Scotland until devolution has happened?
ParlaMint-GB_2015-01-26-commons.u204	The hon. Gentleman raises an interesting point—one that was not raised in Committee, although we did debate this fairly fully. I take the view that the Bill is not the place to do that, but it could be considered after the next general election.
ParlaMint-GB_2015-01-26-commons.u205	The Minister has outlined a road map for further powers for Scotland in regard to licensing powers. What consideration have the UK Government given to giving similar powers to the Welsh Government?
ParlaMint-GB_2015-01-26-commons.u206	The Secretary of State for Wales has announced that a set of commitments agreed by the four main political parties in Wales on the way forward for Welsh devolution will be in place by 1 March. These commitments will form a baseline for devolution after the election. I understand that a strong case is being made for devolution of those powers That covers the hon. Gentleman’s amendment 66, which seeks to render the application of the clauses to the approval of the National Assembly for Wales. In addition, the current Government of Wales Act 2006 clearly sets out that oil and gas are excluded from the list of devolved subjects, and the exploitation of deep geothermal resources cannot be considered to have been conferred under any of the subjects in schedule 7. We see no grounds on which this measure would currently be within the legislative competence of the Welsh Assembly. That is the situation for now. Scotland and Wales will continue to have substantial control of onshore oil and gas, and geothermal activities through their own existing planning procedures and environmental regulation, as these are already devolved. I ask hon. Members not to press their amendments New clause 6 and amendments 2 and 83 suggest that the national planning policy framework leaves gaps in respect of protected land, but this is not the case. Strong protections already exist for these areas and further protections are not necessary. A blanket ban, as proposed, would be disproportionate.
ParlaMint-GB_2015-01-26-commons.u207	Is the Minister saying—she should be very clear on this—that there is absolutely no prospect of any fracking happening on any of this list of properties, and that anybody reading this debate should be clear that the Government have no intention of allowing that? Is that what she is saying?
ParlaMint-GB_2015-01-26-commons.u208	If the hon. Gentleman will let me comment on that aspect in my own words, I hope that will reassure him The existing legislative framework provides a robust framework of protection for those sensitive areas. The Conservation of Habitats and Species Regulations 2010 require a developer to undertake a habitats regulation assessment whenever a proposed project is likely to have a significant impact on a special conservation area or a special protection area. These protections derive from European law and set a very high bar. The regulations are supported by the national planning policy framework, which recognises areas that should be given a high level of protection, even if the development is outside the site boundary. These include special areas of conservation, special protection areas, sites of special scientific interest and Ramsar sites Planning guidance published last July set out the specific approach to planning for unconventional hydrocarbons in national parks, the broads, areas of outstanding natural beauty and world heritage sites. The guidance makes it clear that planning authorities should refuse planning applications for major development in these areas unless it can be demonstrated both that exceptional circumstances exist and that it is in the public interest.
ParlaMint-GB_2015-01-26-commons.u209	Does the Minister accept that 18% of the UK’s sites of special scientific interest, 13% of the special areas of conservation and 14% of the special protection areas are covered by the 14th licensing round?
ParlaMint-GB_2015-01-26-commons.u210	Let me add to my earlier comments that we have agreed an outright ban on fracking in national parks, sites of special scientific interest and areas of outstanding natural beauty. I hope that will reassure the right hon. Gentleman about the liability potential for any of the areas that I know he is particularly keen to protect.
ParlaMint-GB_2015-01-26-commons.u211	I know that my hon. Friend will shortly respond to some of the amendments tabled in my name, but will she complete the sentence? Is she saying that there will be an outright ban on any fracking in national parks? Have the Government removed the words “except in exceptional circumstances”?
ParlaMint-GB_2015-01-26-commons.u212	My hon. Friend is right. That is exactly what we have done. We have now put in place an outright ban and will effectively remove those words.
ParlaMint-GB_2015-01-26-commons.u213	Can the Minister clarify the situation in respect of ancient woodland? Will she also clarify the situation in respect of decisions by local planning authorities and whether, despite what she has just said, it will be possible for the Secretary of State to overturn those decisions?
ParlaMint-GB_2015-01-26-commons.u214	That is something that I will have to look into. For the moment, I will make progress and hope to come back to the hon. Lady on that point this afternoon.
ParlaMint-GB_2015-01-26-commons.u215	On a point of order, Mr Speaker. Can you assist the House? The Minister seems to have suggested that an amendment is being made to the amendments before us. If that is the case, and what she has said about words being removed from the Bill is correct, will we have an opportunity to scrutinise that amendment?
ParlaMint-GB_2015-01-26-commons.u216	I think that is a matter of the hon. Gentleman’s interpretation. For the avoidance of doubt, I must say that no manuscript amendment has been tabled. The normal course would have been for it to be tabled prior to the start of the debate, and it has not been. I think that the best course at this stage is for hon. Members in all parts of the House simply to listen to the Minister’s speech. [Interruption.] There is indeed no manuscript amendment—I do not think that I can be clearer.
ParlaMint-GB_2015-01-26-commons.u217	On a point of order, Mr Speaker. Is there, then, an amendment to that effect?
ParlaMint-GB_2015-01-26-commons.u218	No amendment is required to prove that there is no amendment. That makes me think that the hon. Lady has been reading Heidegger—“the nothing noths”. There is no manuscript amendment, and consideration of this matter should not be clouded by thoughts of a manuscript amendment. I have been given no indication that there will be a manuscript amendment. It would be extraordinary, to put it mildly, for a manuscript amendment to be proposed or put forward for consideration by me or by professional advisers when the debate has already started. Things need to be dealt with in an orderly manner.
ParlaMint-GB_2015-01-26-commons.u219	On a point of order, Mr Speaker.
ParlaMint-GB_2015-01-26-commons.u220	rose—
ParlaMint-GB_2015-01-26-commons.u221	Order. I will take the point of order from the hon. Lady and then the Minister can either respond to that or continue her speech.
ParlaMint-GB_2015-01-26-commons.u222	Thank you, Mr Speaker. I think that the House would like some clarification as to whether what we are going to be voting on will be an overall ban. Members on both sides of the House have tabled many amendments seeking to bring that about. When, in an hour’s time, we vote on these amendments, we will not know whether we can be confident that the Government are really doing as they say. I would be grateful if the Minister, if not instantly, then in the next 45 minutes, could tell us what she is actually proposing.
ParlaMint-GB_2015-01-26-commons.u223	Of course Members must listen to what the Minister has to say, but, for the avoidance of doubt, Members will be voting on that which is on the amendment paper. I do not mean this in any sense discourteously, but it is not for the Chair to seek to interpret amendments or new clauses, and I would not presume to do so. Each right hon. or hon. Member must make his or her own assessment of the merits or demerits, and implications, of new clauses and amendments and vote accordingly. We are voting only on what is on the amendment paper, not on that which is not on it. I call the Minister.
ParlaMint-GB_2015-01-26-commons.u224	Thank you very much, Mr Speaker I will address new clause 7 on environmental impact assessments—EIAs—and new clause 19 and its various themes in turn. The Government share the desire expressed in new clause 7 and new clause 19(a) to ensure that the public are made fully aware of issues raised in EIAs before a planning application is submitted, and I can assure Members that this is the case. The comprehensive requirements for planning applications for which there is an environmental statement are already set out in article 13 of the Town and Country Planning (Development Management Procedure) (England) Order 2010, which requires that the environmental statement be publicised before a local planning authority can determine an application. Planning authorities are already required to ensure that mineral developments will not have unacceptable adverse impacts on the environment. Where a development is likely to have a significant effect, an EIA is required. If any significant environmental effects are identified that cannot be mitigated, planning permission can be refused This approach works well in practice and is consistent with our European obligations. It ensures that an EIA, which involves substantial work often taking up to a year to develop, is undertaken only where it adds value. However, the Government understand the need to build public confidence in the shale sector. We therefore welcome the reassurance provided by the industry’s public commitment to carry out EIAs for all exploration wells that involve hydraulic fracturing. The industry has made a further commitment to produce an annual report listing the shale sites that have produced an EIA.
ParlaMint-GB_2015-01-26-commons.u225	Will the Minister give way?
ParlaMint-GB_2015-01-26-commons.u226	I am going to make some progress. I will give way again before the end of my comments, but I am conscious that the hon. Member for Rutherglen and Hamilton West (Tom Greatrex) might want to address some of the points that I have raised New clause 19(b) and amendment 1 are concerned with the inspection of wells. The Health and Safety Executive is the independent regulator. Its specialist inspectors assess operators’ well notifications and weekly operations reports throughout well construction. Final consent for drilling operations rests with the Department of Energy and Climate Change, which will check that the relevant environmental agencies and the HSE have no objections before giving consent Health and safety legislation in the UK requires all well activities to be reviewed by an independent well examiner. There is an important principle that it is the well operator who retains responsibility for preventing any unplanned release of fluids. It is right that that fundamental duty rests with those who create the risk. The proposal that the HSE should approve each well could remove that responsibility. Rather than give a one-off approval, as is suggested in amendment 1, the HSE currently takes a lifecycle approach and can intervene at any time.
ParlaMint-GB_2015-01-26-commons.u227	Earlier, the Minister seemed to ask the House to rely on an order and on a commitment by the industry, rather than on putting the matter into primary legislation. If she agrees with what is in new clause 6, what is her objection to having it in the Bill?
ParlaMint-GB_2015-01-26-commons.u228	The hon. Lady raises an interesting point. There is a lot that can be considered in primary legislation, but there is also a place for secondary legislation. We have decided that what is in primary legislation is sufficient I reassure Members that each shale site will still be inspected by the Health and Safety Executive during the exploration phase. I have agreed with the HSE that it will publish information for each visit to a shale site in its assessments.
ParlaMint-GB_2015-01-26-commons.u229	I asked this on Second Reading and I ask it again today. Will those inspections be unannounced and rigorous, and will there be full transparency on what HSE inspectors find?
ParlaMint-GB_2015-01-26-commons.u230	The short answer to that is yes. The purpose of HSE inspections is to ensure that there is safety and clarity. I believe that my hon. Friend will be reassured about that when he takes a closer look On new clause 19(c) and (d) and amendment 117, I reassure Members that we support the use of baseline monitoring. At issue is the appropriateness of the monitoring period and the requirements involved. The Environment Agency has the power to require baseline monitoring under the conditions that are set in the environmental permit. The operator reports that information to the Environment Agency, which places it on the public register.
ParlaMint-GB_2015-01-26-commons.u231	rose—
ParlaMint-GB_2015-01-26-commons.u232	rose—
ParlaMint-GB_2015-01-26-commons.u233	I will make progress, but I assure hon. Members that I will let them intervene before I finish The environmental regulator adopts a risk-based approach to its assessment that is endorsed by the Royal Society. In addition, as was announced in Committee, the Secretary of State for Environment, Food and Rural Affairs will direct the Environment Agency to require operators to undertake at least three months’ baseline monitoring of methane in groundwater before hydraulic fracturing can commence.
ParlaMint-GB_2015-01-26-commons.u234	I want to take the Minister back to what she said about the use of secondary legislation. She will know, having been a Member of the House for a number of years, that secondary legislation is dealt with in a Committee that lasts a maximum of merely 90 minutes. We need to enshrine the environmental safeguards in primary legislation. Why is she so obsessed with not doing that?
ParlaMint-GB_2015-01-26-commons.u235	I am only sorry that the hon. Gentleman did not have time to listen to the Committee, where we spent many, many hours debating this subject and many different subjects. That gave everyone a great opportunity to raise all the issues. There is no suggestion that there has not been enough time to address this matter.
ParlaMint-GB_2015-01-26-commons.u236	On a point of order, Mr Speaker. Will you please rule on the Minister’s view, because she seems to be confusing the Bill Committee with an Order in Council committee, which lasts a mere 90 minutes?
ParlaMint-GB_2015-01-26-commons.u237	I do not think that that is a matter for the Chair. Members must make their own assessment. The hon. Gentleman has made his assessment. For all I know, he might beetle around the Chamber to share it with others, but people will form their own assessment. Let us hear the Minister’s oration.
ParlaMint-GB_2015-01-26-commons.u238	Thank you for that clarification, Mr Speaker. On the announcement I made in Committee, the Secretary of State for Environment, Food and Rural Affairs will direct the Environment Agency to require operators to undertake the three months’ baseline monitoring. That is a minimum of three months so, in practice, the Environment Agency may require a longer period of monitoring where appropriate.
ParlaMint-GB_2015-01-26-commons.u239	Earlier in the Minister’s speech, she mentioned that she would use the Health and Safety Executive. There have been cuts to its budget and numbers. It is reduced to doing just the occasional health and safety spot-check. How can that organisation be competent to monitor the provisions in the Bill?
ParlaMint-GB_2015-01-26-commons.u240	The hon. Gentleman makes an interesting point. It is essential that the HSE can do its job well. We have had conversations with it and there is no suggestion that it cannot do its job well, but we will keep that under review.
ParlaMint-GB_2015-01-26-commons.u241	In the Minister’s assessment prior to coming to the House, did she look at whether the Environment Agency and the Health and Safety Executive need additional staff? If not, will she do so before she pushes the Bill further? We do not know what it costs to do that job properly.
ParlaMint-GB_2015-01-26-commons.u242	The hon. Gentleman makes an important point. It is essential that the Environment Agency and Health and Safety Executive have sufficient staff. They have not raised that with me and have accepted the fact that they will have the responsibility, but we will keep conversations with them open to ensure they can do their job correctly.
ParlaMint-GB_2015-01-26-commons.u243	Will the Minister give way?
ParlaMint-GB_2015-01-26-commons.u244	I am going to make progress On fugitive emissions, I have spoken about the report produced by Professor David MacKay and Dr Timothy Stone. Their report determined that, with the right safeguards in place, the net effect on greenhouse gas emissions from shale gas production will be relatively small. We report fugitive emissions from onshore energy extraction annually as part of our international reporting obligations on the UK’s greenhouse gas emissions. That is done in accordance with guidelines produced by the Intergovernmental Panel on Climate Change and is audited annually by a group of international experts.
ParlaMint-GB_2015-01-26-commons.u245	On a point of order, Mr Speaker.
ParlaMint-GB_2015-01-26-commons.u246	I may be wrong, but I just have a slight sense that this might be a point not of order but of frustration. We will discover.
ParlaMint-GB_2015-01-26-commons.u247	There is a lot of frustration in the debate, Mr Speaker. In Committee, the Government made an extraordinary statement that there were some issues around baseline monitoring that the Minister regards as commercial-in-confidence. That is why I have tabled the amendment. Would it not be helpful if the Minister answered that point now, while she is dealing with that measure, rather than simply moving on?
ParlaMint-GB_2015-01-26-commons.u248	That is not a point of order.
ParlaMint-GB_2015-01-26-commons.u249	No, but it is on the record.
ParlaMint-GB_2015-01-26-commons.u250	All sorts of things are helpful and all sorts of things are unhelpful, but they usually have one thing in common: that none of them is a point of order.
ParlaMint-GB_2015-01-26-commons.u251	Thank you, Mr Speaker. The hon. Gentleman is right and asks an interesting question. I reassure him that I have written to him and other members of the Committee about that point.
ParlaMint-GB_2015-01-26-commons.u252	Where is the letter?
ParlaMint-GB_2015-01-26-commons.u253	It was sent to every member of the Committee With regard to industry reporting commitments, fugitive emissions levels will be constantly monitored at all stages of development. The data will be made available in line with best practice and regulatory reporting requirements. However, to provide additional reassurance, I am pleased to announce that the Government will direct the Environment Agency to require operators to monitor and report fugitive methane emissions. In addition, the industry has confirmed its commitment to site-by-site reporting of fugitive emissions.
ParlaMint-GB_2015-01-26-commons.u254	rose—
ParlaMint-GB_2015-01-26-commons.u255	I am going to make substantial progress. I am concerned that other hon. Members will not be able to speak New clause 19(g), and amendments 3 and 65, are on depth limits. A company looking to develop shale or deep geothermal will need to obtain all the necessary permissions before it can proceed. The process of obtaining those permissions rather than the level at which we set the depth level will provide the relevant safeguards. There is no question of changing the existing regime governing access to land at surface down to depths of 300 metres.
ParlaMint-GB_2015-01-26-commons.u256	How can the Minister assure us about fugitive emissions and the safety of fracking when she proposes to give untrammelled access at 300 metres to developers, as she has just mentioned? Fracking lines travel far higher than 300 metres and cannot be detected in advance by the Environment Agency or others undertaking baseline monitoring.
ParlaMint-GB_2015-01-26-commons.u257	The hon. Gentleman raised that in Committee. We share his concern about safety and care for the community, but the Government believe that the Environment Agency is able to address that, and that we can rely on it to do so. In my conversations with the agency, it has given us that assurance, and it is the expertise that we have in particular in the UK that is so useful.
ParlaMint-GB_2015-01-26-commons.u258	Will the Minister give way?
ParlaMint-GB_2015-01-26-commons.u259	I wish to make some progress. A company looking to develop shale or deep geothermal will need to obtain all the necessary permissions before it can proceed. It is the process of obtaining all those permissions, rather than the level at which the depth limit is set, that will provide the relevant safeguards—
ParlaMint-GB_2015-01-26-commons.u260	Will the Minister give way?
ParlaMint-GB_2015-01-26-commons.u261	I will not: I am going to make some progress There is no question of changing the existing regime governing access to land at the surface and down to the depths of 300 metres. Extending the depth limit would not improve landowners’ enjoyment of their land or achieve any increase in the level of protection On new clause 19(i) and amendments 78, 79, 80 and 81, the Government have been clear that communities hosting shale gas developments should share in the benefits that are created. The shale industry is at a nascent stage. We will need more exploration to go ahead before knowing exactly how communities will benefit. At this stage, we need to ensure that schemes are flexible. A voluntary scheme offers a multitude of benefits to communities when compared with a statutory system, enabling schemes to be tailored to communities’ needs. Any statutory scheme might not be suitable for every situation, and would be more difficult in future The industry, represented by UK Onshore Oil and Gas—UKOOG—has already committed to the community benefits charter, which will provide significant benefits to affected communities. Industry will pay £100,000 per hydraulically fractured well site at exploratory stage to communities, and 1% of revenue if it successfully goes into production.
ParlaMint-GB_2015-01-26-commons.u262	Does the Minister yet have a definition of “community” in this instance?
ParlaMint-GB_2015-01-26-commons.u263	My hon. Friend has raised that issue before and I hope that we will hear from him later. As he will be aware, we believe that that question is best decided later, when we have a charter in place that will address the issue.
ParlaMint-GB_2015-01-26-commons.u264	On a point of order, Mr Deputy Speaker. Earlier in the Minister’s speech, she referred to a letter that she claims to have sent to the members of the Committee. I have checked my file—everything was sent electronically—and no such letter arrived in my office. I would be grateful if a copy of the letter could be made available to Members now.
ParlaMint-GB_2015-01-26-commons.u265	That is not a point of order for the Chair, but the hon. Gentleman has clarified what he believes to be the position. The Minister may or may not wish to comment.
ParlaMint-GB_2015-01-26-commons.u266	The letter came from the Minister of State, Department for Transport, my right hon. Friend the Member for South Holland and The Deepings (Mr Hayes), and with that information the hon. Gentleman may be able to find it. I am happy to send him another copy. The industry will need to show how it has complied with the charter on an annual basis, and any failure to follow through will ultimately result in a loss of membership and the benefits attached. In addition, operators will contribute a voluntary one-off payment of £20,000 for the right to use deep-level land. Each year, operators will need to publish evidence detailing how these commitments are being met. The Department of Energy and Climate Change will regularly monitor this evidence. Let me reassure the House that the proposals in the Bill will enable the Secretary of State to introduce regulations to set up a statutory payment mechanism, if not satisfied On new clause 19(j) and amendments 62, 63 and 64, notice and publicity requirements relating to the planning and environmental permitting processes are already in place. We believe the system works well, but we recognise the concerns that have been raised by the new clause New clause 19(k) and amendment 60 are on the approval of substances to be left in the land. As part of the application for environmental permits, the EA will require full disclosure of chemicals used in hydraulic fracturing and has the power to restrict or prohibit the use of any substances where they would pose an environmental risk. Our regulations ensure that information on chemical substances and their maximum concentrations is included within the environmental permit, along with information on the total daily discharge of hydraulic fracturing fluid into the ground and the fluid taken off-site for disposal. The permit is placed on the public register I have already announced that the Secretary of State for Environment, Food and Rural Affairs will direct the Environment Agency to publish information about chemicals it requires operators to disclose.
ParlaMint-GB_2015-01-26-commons.u267	Will the Minister indicate why she is not taking the opportunity to regulate and impose environmental requirements on other non-conventional gas extraction processes, such as underground coal gasification?
ParlaMint-GB_2015-01-26-commons.u268	The hon. Gentleman raises an interesting point. I hope he will find that it will be dealt with later on, but if it is not I will certainly write to him on that point New clause 19(m) relates to water companies. The Government recognise the importance of ensuring that water companies are engaged fully in shale gas development. The existing regulatory framework ensures issues relating to water are addressed robustly. The water industry and shale operators have already agreed a memorandum of understanding to engage early, and share plans for water demand and waste water management. The Government have considered this issue carefully and want to provide further reassurance to the public. Therefore, we are consulting on whether to make water companies statutory consultees in respect of these applications. Subject to the response to the consultation, which closes at the end of this month, we would seek to bring forward any necessary secondary legislation New clause 19 has raised some very interesting and critical points in relation to reassuring the public. It is the Government’s view that we will accept new clause 19, but we plan to amend it in the other place to replace provision (g) on depth, with a review to put back the depth at the appropriate level for proper development. On amendment 61, regarding compulsory purchase of properties in the event of blight, I would like to reassure my hon. Friend the Member for Thirsk and Malton (Miss McIntosh) that the regulatory regimes for planning, environmental permitting and health and safety already provide a very robust framework that ensures residential amenity is properly protected from any unacceptable effects of development. The protection of amenity is recognised in the core planning principles of the national planning policy framework. In the unlikely event that operations caused any damage, there are various options available. The landowner may be able to bring claims in tort, such as negligence and nuisance, against any operator. I trust my explanation of this issue reassures hon. Members, and that they will withdraw the related amendment On new clause 8, the Department for Environment, Food and Rural Affairs’ “Rural Economy Impacts” document was a draft internal document, which was not analytically robust; it was a literature review of existing studies and was not exhaustive. Where policy work is current, draft documents are usually kept within government, because they do not provide a complete and accurate picture of the overall material. This is a highly sensitive and fast-moving policy area. Releasing information that is at the formative stage of being shared between Government Departments risks substantially undermining our ability to deliver effective policy DEFRA retains an interest in the implications of shale gas development for rural communities, but the Department of Energy and Climate Change leads on the economic aspects of shale gas policy. It is therefore my view that DEFRA should not have produced a document of this kind. The redactions were made for those broader reasons, not on the basis of sensitivity of materials. In fact, in the interests of providing free access to the information on which the draft paper was based, the Government have provided the full list of references. Following Committee, I consulted with a range of colleagues. Releasing the unredacted draft paper would not help to inform the debate on developing the UK’s shale industry. I ask, therefore, that my hon. Friend withdraws her amendment.
ParlaMint-GB_2015-01-26-commons.u269	What the Minister has said, essentially, is that DEFRA should not do research that might possibly become embarrassing if it become public. How on earth does she expect people to have any confidence in the Government’s policies on fracking if the Government cannot even put the research in the public domain?
ParlaMint-GB_2015-01-26-commons.u270	I do not think the hon. Lady quite heard my comments. If somebody in another Department has prepared something, a junior member perhaps, and it was not appropriate for them to have done so, which is a comment I have fairly made, I do not think it is appropriate for it to be released. It could mislead the public. It is because I am so concerned about the public that we have taken this view.
