ParlaMint-GB_2015-02-12-commons.u1	Object Bill to be considered on Thursday 26 February.
ParlaMint-GB_2015-02-12-commons.u186	I shall not be able to take part in the debate later, owing to an unavoidable meeting. I speak as a life member of CAMRA, and as a wine drinker. Ought we not to remember that the term “public house” suggests that the public have an interest in such places? Does my hon. Friend agree that more pressure needs to be put on the Government in order to help them to realise that it would be popular all round if the public had an opportunity to express their views on a proposed change of use? It would not be an unnecessary hindrance to the normal changes of market or other patterns of behaviour.
ParlaMint-GB_2015-02-12-commons.u187	As ever, my hon. Friend makes his point pithily; it would have taken me much longer to make that point. We are talking about public houses. I reiterate my bewilderment and confusion that the Government are not embracing what seems to be a common-sense measure. Our proposal does not involve any exceptions to any rules; it would simply roll out an existing state of affairs to an asset of community value—with small letters, not capital letters—that it is intuitive to protect. I am simply bewildered that the Government have expended so much political capital in defending what appears to be a complex solution in relation to something that we all want to see happen.
ParlaMint-GB_2015-02-12-commons.u188	It is a pleasure to be working with my hon. Friend again, and I am delighted that we have secured this debate. I shall not go into the huge amount of bureaucracy and enormous costs involved in the Government’s very partial solution, but does she share my concern that a lot of right hon. and hon. Members seem not to understand that many of the pubs that are being lost, by being turned into supermarkets and so on without the need for planning permission, are in many cases not only viable but trading profitably at the time? This is predatory purchasing; it is not a change of market. Those pubs are not failing.
ParlaMint-GB_2015-02-12-commons.u189	Absolutely; this is not about a change of market. What is so frustrating is that we could all list examples of profitable, viable, popular pubs that have been taken over through predatory purchasing. Our proposal would play a significant part in stopping the aggressive consumption of pubs that the public value and want to keep. They are at the heart of our high streets and are massively important for employment. They also promote healthier drinking habits, compared with going to the supermarket, buying enormous packs of cut-price booze and consuming them at home or on a park bench.
ParlaMint-GB_2015-02-12-commons.u190	The hon. Lady has just made the excellent point that the Government are trying to get people to stop binge drinking, and that responsible landlords do not allow binge drinking in their local community pubs. However, the loss of those community pubs to supermarkets is providing an outlet for yet more binge drinking to be achieved.
ParlaMint-GB_2015-02-12-commons.u191	The hon. Gentleman describes the contrast between the two options perfectly. Pubs prevent the kind of binge drinking that is now causing a public health crisis, and a mental health crisis, in many of our communities. They also create inter-generational dialogue, and many pubs now have to be eating establishments to be successful, which promotes eating alongside drinking I reiterate that I am confused by the Government’s solution, and I feel sorry for the Minister for having to defend that policy. It has already been decided, but I just do not see the advantage in the Government sticking so stubbornly to a decision that seems to make no practical sense whatever and, in the run-up to the election, no political sense either. I am simply bemused. That is why I have been glad to be able to work cross- party with other Members on proposing such a valuable change. I am further bemused because the Government have done a lot for pubs and it is not as though we are not a pub-friendly Government. I am very proud of what we have achieved on pubs, which is why it is such a shame that in the final hours of this Parliament, when we are about to call time, the Government are not finishing with a flourish and doing something that will really make a difference to our communities. The Government have ended the beer duty escalator and made cuts in beer duty, which is all very welcome to pubs, landlords and customers across the country; we have made jobs tax cuts for small businesses—pubs employ a lot of young people, with, I believe, half the people employed in pubs being between the ages of 16 and 25; we have managed to get through, helped in particular by the drive and determination of the hon. Member for Leeds North West, reform to the pubco regulations, so that the predatory nature of the largest pubcos can be mitigated; and we have put in community rights to buy and challenge. All that is very welcome and we are obviously a pub-friendly Government, which is why I simply do not understand why such resistance is being put up to this measure The Government have offered us a concession of an improvement on the asset of community value arrangement, whereby if pubs are assets of community value, planning permission will be required for a change of use. I sincerely hope, however, that the Government revisit our suggestion after the election—sadly there is not going to be time to do it now. I reiterate the problems that hon. Members have explored on assets of community value. In the debate on the Infrastructure Bill, the Government said, “Oh well, you only need 21 people to put their names on a piece of paper and that’s it, bingo, you’ve got an asset of community value.” That was misleading because the reality is a lot more complicated, a lot more bureaucratic and far less accessible than the impression that was given by Ministers to Members, who then voted accordingly, thinking that if they get 21 names from the community down on a piece of A4, everything is dandy and “everything is awesome”—to quote “The LEGO Movie”. The process is not like that at all; it is time-consuming. I urge every Member to run a campaign, perhaps with their local newspaper—we also hope we will get national support for this—to get their pubs listed as assets of community value, because I do not see how that is going to happen without a very concerted effort.
ParlaMint-GB_2015-02-12-commons.u192	rose—
ParlaMint-GB_2015-02-12-commons.u193	rose—
ParlaMint-GB_2015-02-12-commons.u194	I am overwhelmed. I shall give way to my right hon. Friend first.
ParlaMint-GB_2015-02-12-commons.u195	I congratulate my hon. Friend on securing the debate and apologise for not being here at its start—it came slightly earlier than I thought it would. On the basis that the Government are unlikely to make a concession today, would it be useful to ask the Minister whether he accepts that if colleagues do exactly as my hon. Friend the Member for Bristol North West (Charlotte Leslie) suggests—I have said in my constituency that I will support any community group wishing to follow this course of action—and after 12 months we have not made a significant difference to the number of pubs given this protection, the Government will look at this issue again? Might we seek a concession from the Minister today to review this in 12 months’ time if what the Government propose is not really working?
ParlaMint-GB_2015-02-12-commons.u196	I thank my right hon. Friend for his excellent suggestion, and I put it directly to the Minister. The current state of affairs is not good, but if we could get the commitment to a review in 12 months’ time, no matter how Parliament and the Government stand then, that would be at least some cold comfort to those of us who feel that common sense has been denied in this instance.
ParlaMint-GB_2015-02-12-commons.u197	I am glad that my right hon. Friend spoke first, because his point was perhaps even more substantial than mine, which is quite substantial. Perhaps by speaking to my hon. Friend, through you, Mr Speaker, the Minister might hear that we would like to get from him at the end of the debate an answer as to whether the deregulation unit has actually looked at what the cost is for each successful application to make a pub an asset of community value, what the effort required is and why so much effort is required from the local authority as well. The costs ought to put on those who are trying to get the change of use of the pub. The Minister has a good reason to say that he, his party and the whole coalition Government stand up for making life easier and putting the burdens where they should be, which is on the person who wants to change things, not on those who want to keep them as they are—I speak as a good Conservative.
ParlaMint-GB_2015-02-12-commons.u198	I thank my hon. Friend very much, and he reminds me that I made an error and should have gone through Mr Speaker earlier. I profusely apologise for that. It seems strange for a Government of the people to have a default position whereby the people do not get a say; the default position should be that people do get a say, and I shall reiterate my bewilderment until I am blue in the face. We need particular answers from the Government following our discussions on the Infrastructure Bill. Most importantly, with regard to the Government’s recent movement, which is not nearly enough but is welcome none the less, we need to know when it will be brought forward, because we have very little time left. It has to be introduced before the election. Indeed, there was a commitment in the debate to do just that, so I hope the Minister will tell us exactly when it will happen. If he does not, this House will have been very much let down, and I know that he is not the kind of person who would want to do that What will the Government do to make the asset of community value process much easier for councils and communities to take up so that it can have real effect? As Members, we are often on the ground in our communities and we know that there has to be a game-changing revolution to the way in which the process is communicated and delivered. It needs to be as accessible as possible because it is a democratic way of protecting our pubs How will the Department for Communities and Local Government help publicise the change, so that more communities take it up? Members have indicated that they will do their utmost to publicise the scheme, but if the Government believe that the policy should be accessible to communities they have to make it so. More detail on how we do that would be welcome I very much hope—as the Minister can probably tell—that the Government will look again at this solution. It makes common sense and is so much in line with everything the Government have done, both as a localist Government who believe in empowering the people, and a Government who are friendly to pubs. I would appreciate some reassurance from the Government on what they will do to address this situation, which is not ideal by any means. I would be grateful for a small move in the right direction. I hope the Minister’s ears have been opened further to our suggestions, which are after all common sense.
ParlaMint-GB_2015-02-12-commons.u199	It is a real pleasure to follow the hon. Member for Bristol North West (Charlotte Leslie). We certainly welcomed her application for this debate at the Backbench Business Committee. I am really glad that the environment is calmer today than it was two weeks ago when we last debated this matter. I am sorry that her amendment was defeated so narrowly, but it did demonstrate the strength of feeling across the House. As she says, pubs are not just buildings where alcohol is sold, but community hubs where people meet, relax and socialise. Pubs have done a lot to ensure that they reach out to their communities. They are now a place for, among other things, knitting circles and salsa dancing. It is unbelievable what happens in pubs today As the hon. Lady says, about 30 pubs a weeks are closing. It is often the case that they are closing because they are not used or because the demographic has changed. Everybody supports the idea that they should not be boarded up but used for something else. Her suggestion, and what the Opposition have been calling for, is perfectly sensible. We should give local communities a say in what happens to their pub, in the way that they would if it were a nightclub, a theatre, or, as the Library briefing says, a scrapyard. Local communities would get a say in the change of use from a scrapyard to a supermarket, so why not a pub The hon. Member for Shipley (Philip Davies) raised an important point. Many pubs are heavily used. This is about not whether a pub is used, but whether the brewery, the pubco, or the property developing company that owns these pubs as assets can make more money out of them by selling them to supermarkets or by using them as pubs. That is the key issue that I want to get across today I am involved in a campaign in New Whittington, in North East Derbyshire, where the Wellington pub is, at this very moment, under threat of being turned into a supermarket. I just wanted to talk a little about what happens when a pub applies to be an asset of community value. It is not straightforward as the Government would have us believe. We helped to get asset of community value status for another pub, The Angel at Spinkhill, and it was incredibly stressful. Spinkhill is tiny and New Whittington is not much bigger. People love going to their pub, but unlike many of the property developing companies and pubcos they do not have the time, money or power to navigate a complex system to get that status, which only protects the pub from being sold for six months, giving the local community a chance to buy it and to run it as a co-op or as a community facility. That is not necessarily what they want to do. They want to have a pub, but running it themselves is quite a big ask and, especially in deprived communities in which those pubs are the only asset, that can be a serious issue.
ParlaMint-GB_2015-02-12-commons.u200	I thank the hon. Lady for giving way and I thank her for her support and for that of the Backbench Business Committee. She raises an important point about a weakness in the ACV system for pubs. A lot of the time, smaller breweries and smaller pub companies cannot buy pubs. This is not all about community ownership: these companies are trying to buy pubs, they want to buy them and to make a success of them, but they are not because of the ridiculous permitted development rights.
ParlaMint-GB_2015-02-12-commons.u201	Absolutely, and those are the unforeseen consequences of such legislation. We are just asking for a level playing field within the planning laws I want to come back to a point raised by my hon. Friend the Member for Easington (Grahame M. Morris) about the amount of money this system costs a local authority at a time when district councils, which are tiny with small budgets, have had their budgets slashed and cut to the bone. The amount of red tape involved in seeing the process of applying and receiving asset of community value status through is onerous. As I have said, our pub has petitioned the local authority and with luck, at the beginning of March, it will suspend the whole process. That is very stressful for members of the local community and this is a very difficult time for them. That is the problem: they are running against the clock. They have jobs and lots of other things in their busy lives, and they do not necessarily have the time to commit to such things in the way that pubcos, property developers and others do when they try to buy these pubs and turn them into supermarkets I want to say a big thank you to Viky Muddiman, who is running the “Save our Welly” campaign, to BBC Radio Sheffield, which has covered the issue at great length, and to The Chesterfield Post as well. I wish all those pubs that are applying for asset of community value status the best of luck in doing so, but it would be much better if we could get a quick change in the planning laws to equalise the system, ensure that all pubs are playing on a level playing field and give locals a say in what happens to their pubs.
ParlaMint-GB_2015-02-12-commons.u202	I, too, congratulate my hon. Friend the Member for Bristol North West (Charlotte Leslie) on introducing this important debate and the Backbench Business Committee on granting it. I have seen quite a lot of the workings of the pubco trade in my role on the Business, Innovation and Skills Committee during work on our various reports. It has become quite clear that many large pub companies are really property-owning companies. The fact that their properties tend to be pubs is rather a sideline from their point of view. The companies are heavily leveraged and in debt and are looking at their assets to see what is the best way of working the building assets, rather than running them as pub chains, as we would like them to I am pleased that the industry will be regulated and that the Government have taken up the recommendations of my Committee and are introducing an independent adjudicator to ensure that rules are followed to prevent the exploitation of the remaining landlords in the pub trade, who have been suffering. This is another issue and might, in a sense, be an unintended consequence of cracking down on the exploitation of tenants. Companies are now looking around and saying that it would be much easier to sell the property off or rent it out to a supermarket and to make more money that way Two particular closures in my constituency of Castle Point have caused enormous controversy and upset. The King Canute pub on Canvey served its last customer in May 2014. The pub, one of Canvey’s most historic buildings, was originally called the Red Cow, but during the devastating flooding of 1953, in which many Canvey residents sadly lost their lives, it was at the doors of the pub that the water stopped—hence its renaming. It also served as a base for the armed forces, from which they helped residents during the floods I spoke to the landlady about a week before the news broke about the closure, and asked, “How’s business?” She was doing an awful lot of good stuff. I had attended several events that she had held for local charities in the pub and lent my backing to them. When I spoke to her, she was very positive and upbeat; so the closure came as an enormous surprise, not only to her and her staff but to customers and local residents The pub is in an historic building, highly valued by the community. It is intrinsic to the history of Canvey Island, unusual and quirky. We have been told that it is likely to become a Co-op but, despite assurances, there is no guarantee that we will even keep the building, which is beloved of residents and is a treasured community asset. So it is heritage, as well as community benefit and service to several charities, that the pub offered. The law gives no protection against demolition, other than the good will of the owners. I am lobbying to get the building listed as a heritage asset, even though it is not in itself very historic or special. However, it is an old building for Canvey and it is very well loved and particular to the island The same fate occurred to the Silver Jubilee pub on Canvey. As its name suggests, it opened in 1977 to commemorate the Queen’s silver jubilee. It was a very well liked local pub. The hon. Member for North East Derbyshire (Natascha Engel) mentioned knitting circles, and groups including a local knitting group, met regularly at the Silver Jubilee and they are now deprived of a place to go. When the area in which the pub stands was laid out and developed, the pub was considered necessary; it was integral to the plans for the area and there is no other pub nearby for local residents The closure came as a great surprise because there was no evidence that the pub was not successful. It seems that it simply was not turning sufficient profit for the big firms, who have been able to convert it to a mini Morrisons. Not only have they converted it to a supermarket and put flats above it, but they have now applied for permission to build houses on the adjoining car park A wise man—Ray Howard, the long-serving and very smart local councillor, who has served Canvey Island continuously since I was six months old—pointed out that if a single application had been submitted to turn the pub into a supermarket with flats above and to build houses on the car park, the change would have been a large enough to trigger some section 106 development money for the community. However, because the owners did not need to get permission for change of use for the actual building, they have managed to get through a loophole. That funding could have been used to put in a slip road for what many residents find a very difficult junction and that would help them get out into heavy traffic. We are trying to obtain that slip road none the less, but without that funding I reiterate what hon. Members have said. Pubs are community assets. They serve the public in a variety of ways. They have plenty of community uses and some have strong historic value locally. They are currently left with incredibly little protection. I believe they should be recognised as community assets as a default position—not one that requires a long, elaborate process, which residents are often not aware of and do not realise that they could have followed until it is too late. I urge the Minister to look at the matter again, so that such a long process is not required to establish pubs’ value in the future Obviously, if a pub is not profitable, that is a different issue. In the cases that I have described, however, the pubs seemed perfectly profitable—although they possibly would have been more profitable if they had not been tied in to a pubco—but they had immense value in the current property market. That is the cause of the problem. It really is time that the Government looked at this, because their other efforts to help the public house trade, by removing beer duty and so on, will mean nothing if pubs are simply turned into supermarkets.
ParlaMint-GB_2015-02-12-commons.u203	It is an honour to follow the hon. Members who have spoken. I thank and pay tribute to fellow officers of the all-party save the pub group—the hon. Member for Bristol North West (Charlotte Leslie), who opened the debate so succinctly and precisely, and the hon. Member for Leeds North West (Greg Mulholland), who has been such a dogged and long-standing campaigner for Save the Pub. I add my thanks to the Backbench Business Committee, which does such a sterling job in identifying subjects for debate that are dear to the hearts of Members and constituents We often say that there should be more cross-party consensus, particularly on policies relating to the NHS and social care, but a long journey starts with a single step, and perhaps on this topic, which has attracted support across all parties, we may be able to reach consensus. I am sorry that the Minister has slipped out for a moment, as hon. Members have made some excellent suggestions for a way forward My contention is that a way forward was offered by an amendment to the Infrastructure Bill that was tabled by me and the hon. Members for Leeds North West and for Bristol North West, which attracted the support of 38 Members of Parliament. The proposal was hardly revolutionary: to promote diversity, it offered some choice. It did not offer any permanent protection; it was simply an attempt to introduce community consultation to try to prevent viable pubs being closed and steamrollered into an alternative use, usually as a supermarket I echo the disappointment of the hon. Member for Bristol North West at the response of the Government, who have sought to block every effort to support tenants and safeguard our pubs. At all stages the Government seek to water down and amend legislation to favour powerful self-interests in the pub industry—those of the large pub companies—rather than working in the best interests of communities, customers and tenants. It is a shame that this debate is necessary at all. New clause 16 to the Infrastructure Bill would have made quite a simple change to the planning laws, empowering communities to protect their local pubs from being demolished or converted into supermarkets without consultation Earlier hon. Members were trying to differentiate pubs that are clearly no longer viable as pubs and those that have support and are clearly viable, and that perhaps offer a range of services, such as restaurants. As today’s motion notes, the existing planning laws in relation to permitted development are causing valued and viable community pubs to be targeted by supermarkets. Hon. Members have given examples in Canvey Island, Bristol and North East Derbyshire, where that is precisely what has happened. In east Durham, in Easington, which has 18 villages and two large towns, there have been so many pub closures that there may be one pub left in a village. In some villages—Hawthorn, Dalton-le-Dale, Hesledon—there may be one or perhaps even two pubs, but there is considerable pressure, particularly on the tenants of pubs that are owned by the large pubcos. As we have heard, research from the Campaign for Real Ale suggests that a considerable number of pubs—I have a figure of 29, but the hon. Member for Bristol North West said that it is 31, and I am sure she is correct—are closing every week, and quite a number of those are being converted into supermarkets I greatly appreciated the widespread support that was shown for new clause 16, which offered such protections for community pubs. It was defeated only following a late intervention from the Government when the Minister made a token concession to remove pubs listed as an asset of community value from permitted development rights. While new clause 16 would have protected all pubs, the Government’s amendments potentially protect only 600 of the 48,000 pubs in the UK. This comes from a Government—on both sides of the coalition—who believe in and promote localism. Requiring ACV status to protect one’s local simply adds unnecessary bureaucracy and costs when a much simpler alternative is to empower local people. I am at a loss to understand why the Government believe that nightclubs, launderettes and casinos should have more protection than community pubs By opposing planning protections for pubs, the Government have failed to protect pubs and community interests. Not only that, but we continue to see efforts to water down an important decision of this House to empower pub tenants against pub-owning companies. That is an important factor in the many conversions. Last year, the House expressed its clear will to offer tenants a market-only rent option as part of a statutory code of practice between themselves and a large pub-owning company. I recognise that we have a planning Minister here and the purview of ministerial responsibility is perhaps not entirely his, but it is germane to the debate that we consider the implications. Importantly, such a safeguard would help to protect the tied publican who may be struggling financially. Some 46% of tied tenants earn less than £15,000 a year despite their hard work and, in most cases, long hours. Nearly nine out of 10—the exact figure is 88%—identified the beer tie as one of their most significant financial problems. The market rent-only option agreed by the House helps to level the playing field and redress the balance of power between the tenant and the pub-owning company. That may relieve the pressure that is leading to so many pub closures—31 per week, as I said. It is important to note that the market rent-only option would not end the beer tie—as some critics have claimed, saying that it would be a retrograde step—but would ensure that pub-owning companies had to show real value to their tenants in order to retain the tie Despite the House’s support and the benefits to tenants, Tory peers—including some with clear vested interests, if I may say so—have been trying to exempt pub companies from the market rent-only option if they significantly invest in a tenant’s pub. “Significant investment” is an incredibly wide concept. While I am not surprised that a peer with a pecuniary interest would try to undermine the statutory code, I am more concerned about the Government’s efforts to reword and water down the protections of the market rent-only option without consulting MPs, or Fair Deal For Your Local campaigners, prior to inserting replacement clauses into the statutory pubs code legislation Subsequently there has been some consultation with the various interest groups, all of which the members of the all-party save the pub group have met, including Fair Deal For Your Local, the Campaign for Real Ale and trade unions representing pub landlords, such as my own union, Unite, and the GMB. Importantly, however, despite promising to do so, the Government did not consult in advance and the discussions seem to have taken place after decisions have been made Simon Clarke from the Fair Deal For Your Local campaign is an outstanding advocate in defence of our pubs. He has warned that one revised clause means that existing tenants will not have the option of a parallel rent assessment, resulting in a tied tenant being unable to determine whether they would be worse off than if they were free of tie. That was an absolutely key principle of the Bill and Ministers gave us an assurance from the Dispatch Box that that would be the case A Government Minister said in the other place that Ministers “are always discussing these issues and changes with tenants”.—[Official Report, House of Lords, 2 December 2014; Vol. 757, c. 1243.] However, despite such assurances, Mr Simon Clarke describes the Government’s amendments as “an attempt to bulldoze through amendments without the dialogue and consultation promised.” The Government should explain their position I have a number of questions to put to the Minister. Why are the Government failing to support local communities to protect their pubs? What are their objections to allowing local people a say in the planning process when a change of use is proposed for a pub? Will the Minister guarantee that he and the Government will work with MPs and campaigners to ensure that the explicit will of the House of Commons in supporting a market rent-only option in a statutory code is not undermined or watered down in the other place, because that would simply compound the problem It is time for the Government to do more than pay lip service to supporting communities, consumers and tenants, and to safeguard pubs and begin to offer some practical support. As my Health Committee colleague the hon. Member for Bristol North West has said, before we call time on this Parliament—that is a really good expression—we should ensure that we can, in unanimity, provide some modest protection to pubs that are in the interests of all our communities.
ParlaMint-GB_2015-02-12-commons.u204	First, I thank the Backbench Business Committee for allowing us the time for this debate. I also thank my hon. Friend the excellent Member for Bristol North West (Charlotte Leslie), the hon. Member for Easington (Grahame M. Morris), who is a friend with a small f and the vice-chair of the save the pub group, and all other members of the group from both Houses who share our passionate belief that the British pub is not only important to our society, economy, heritage, history and tourism appeal, but, in the context of this debate, a hugely important part of community life as a place where communities can come together I also wish to say a big thank you to all 244 MPs who effectively voted for what we are discussing today to go into the law of the land after the debate on new clause 16 to the Infrastructure Bill, and particularly the 29 rebels who had the courage to vote against their own Whip to show their real support for pubs. I thank the Opposition Front Benchers for supporting that campaign, and I want to give particular mention to the hon. Member for Halesowen and Rowley Regis (James Morris), who had the courage not only to vote against his party, but, in doing so, to resign as a Parliamentary Private Secretary. He really has shown his support for pubs and I hope he has been congratulated on doing so by his local CAMRA branch and others I wish to echo the comments by the hon. Member for Easington about thanking the campaigners. In this case, we say a huge thank you to the Campaign for Real Ale, which is leading the wonderful Pubs Matter campaign, and to all the others. He mentioned the Fair Deal For Your Local campaign, the Fair Pint campaign and the wonderful work of Simon Clarke and his team, but there are also Licensees Supporting Licensees, MALT—the new Mutual Association of Licensed Tenants—and the Protect Pubs campaign. There are many campaigners around the country, and there are also individual pub campaigns, some of which have already been mentioned. I thank all such community campaigns and congratulate them on trying to save their pubs, whether or not they are successful I am glad that we have the chance for a proper debate today. We did not get the chance for any sort of a debate when the very important, but simple and common-sense, change was proposed a few weeks ago. My hon. Friend the Member for Bristol North West had four or five minutes to introduce the important new clause and I had two or three minutes to speak, so we did not get the chance to put our case. It worries me that the MPs who were persuaded not to support that simple change did so on the basis of a one-sided argument, because the other side of the argument was not heard and some of the information presented did not reflect the reality of what is going on or of what the Government suggest is sensible I thank the Minister for his engagement. We do not agree on a solution, but he is certainly listening and conversing, and I appreciate the time he has given to that. I gently remind him that this very simple change is current Liberal Democrat party policy and is already in our pre-manifesto. I have not yet checked the manifesto, but I hope that it is included, as we were told it would be. It is for CAMRA and other organisations to challenge all the parties to put pro-pub policies in their manifestos Today, we are talking about something very simple. In a way, it is not about pubs, but about whether communities should have the right simply to have a say when a significant change of use is threatened for a building that is of value from a business or community point of view. We are talking about absurd planning loopholes. The idea that there is any relationship between a pub and a supermarket express store or solicitors’ office is ridiculous. The fact that free-standing pubs with no protection in the planning system can be demolished overnight before people even get the chance to have a say—it happens—is a scandal I believe that there is a better solution, which I will come on to, but the save the pub group welcomes the fact that the Government have announced a modest step forward in providing a right of consultation. Let us be clear that it is not protection for pubs; it is simply a right to comment—that is all—just as people can comment on any planning application. The proposal is only for pubs listed as having added community value. As has been said, only 600 pubs have been so listed in the four years since the scheme was introduced. That is not particularly impressive: it is 1.25% of all the pubs in the country The scheme does not even apply in Wales. One of my particular concerns is that that was not mentioned in the explanation from the Department for Communities and Local Government about why the new change is fine. It is not fine: it will do absolutely nothing at all in Wales. Welsh colleagues, particularly those who are Government Members, must be aware of that In the Government’s thinking, there is a mantra that we must have permitted development rights because they will allow the sensible changes that people want and that will help business. Apparently, such changes are not allowed for nightclubs, launderettes or theatres, but they are fine for pubs. The Government are effectively saying that nightclubs, launderettes and theatres—and casinos, which have more protection in the planning system —are more important than pubs. They conceded the point on betting shops, which rather undermines their argument. They accepted that if they did nothing and continued to turn a blind eye to betting shop conversions, as they had up to that point, we would see betting shops all along high streets, particularly in London. Therefore they can change, and where they recognise there is a problem, they will change. I share the frustration of my hon. Friend the Member for Bristol North West, and other colleagues, that the Government are simply not listening to something that would bring the system into line with those other, simple uses.
ParlaMint-GB_2015-02-12-commons.u205	The hon. Gentleman is making an excellent case about the Government’s modest offer of a compromise. The cost of listing all pubs as assets of community value would fall on local authorities. Are any figures available for that, because those I have seen from the all-party save the pub group suggest that it would cost about £1,000 per listing? We could be talking about many millions of pounds, and I would be interested to hear the hon. Gentleman’s comments on that.
ParlaMint-GB_2015-02-12-commons.u206	I will come on to cover that point The problem is the conversion of pubs into supermarkets, and particularly their buying power. CAMRA figures show that two pubs every week are being converted into supermarkets—that is more than 100 a year—and in the past four years, Tesco alone has converted 37 pubs I have written to supermarkets as chair of the all-party save the pub group, and the replies I received were simply not honest. Supermarkets claim—I wonder whether this is where the Minister got a mistaken idea about what is really going on—that they are bringing derelict buildings back to life, which is a wonderful thing, and that the pubs were failed businesses. That is absolute rubbish; it is dishonest and they know it. The reality—I urge the Minister to look at this issue—is that secret deals are done behind the backs of communities between large indebted pub companies and supermarket chains. Supermarket chains are deliberately targeting and indulging in the predatory purchasing of larger pub buildings, precisely because they know they can impose stores on a local community without it being able to do anything We have the absurdity that a new Tesco, Sainsbury’s or Co-op—it is very engaged in this process—can impose a store on a community that is stunned to find that it has no right to object, yet the supermarket chain then has to submit planning permission for new signage. That sort of thing brings the planning process into disrepute, and from that point of view such a system cannot be defended. Ministers, the Department and some MPs are misunderstanding what is going on There is perhaps a little light at the end of the tunnel. We have all seen the figures and the fact that Tesco has got itself into a terrible mess—as out-of-control big business sometimes does. One Tesco store that was announced will now be closing—so much for bringing things to the local economy. Tesco will be closing the Tesco Express in South Tottenham, which used to be the Golden Stool and before then The Mitre. Having taken that pub away without the community having a say, Tesco is walking away and leaving a derelict building—so much for this being a wonderful thing for business and communities. Not only are supermarkets buying premises, they are leasing pubs from pub companies—an even sneakier and easier thing to do Of all the arguments I have heard in this place, the Government’s argument on this issue is one of the weakest and it is absolutely full of holes. It includes stating that somehow laundrettes, theatres and even nightclubs are apparently more important to DCLG than pubs. That is because the situation has been presented as somehow being about the derelict pubs we see around—at least one hon. Member has mistakenly taken that view to be a fact. The Minister told us about derelict pubs in Bristol, but those pubs are derelict even with the permitted development rights—that issue has absolutely nothing to do with it. Many pubs have now shut, but that goes back to the unfair business model of the large pub companies that Members across the House have mentioned. I pay tribute to the work of the Business, Innovation and Skills Committee that was instrumental in exposing that and leading finally to change I share the concerns of the hon. Member for Easington about the moves to water down what we voted through on 18 November, and we all need to be aware of that The derelict buildings are nothing to do with it. We are talking about viable, wanted and profitable pubs. I would love to know what every right hon. and hon. Member who voted against new clause 16 will say when a constituent walks into their surgery and says, “We are losing our local pub. We have just found out that Enterprise Inns or Punch Taverns have sold it to Tesco, Co-op, Lidl or Sainsbury’s. Will you help us to oppose that?” They will sit there and say, “There’s nothing you can do, because they have the absolute right to do it. You can list it, but by then it will be too late.” As has already been mentioned, the ACV process is used reactively. It is used only when people see there is a threat to a pub. In some cases, that is far, far too late The hon. Member for Rochdale (Simon Danczuk) submitted an interesting freedom of information request. Of all the assets of all types—not just pubs—only 11 have been bought by communities. CAMRA knows of about 10 pubs now in community ownership that are listed as ACVs, but it cannot say whether the ACV initiative led to the pubs being saved, or whether that came later. The reality is that probably fewer than 10 pubs, of the 600, have actually been saved. It is fair to say that some of them have not yet been threatened, but only 10 have been saved I have already mentioned the problem with not giving commercial companies, the small breweries and small pub companies—who, incidentally, are thriving as the big pub companies fail—an adequate chance in this process. The Golden Harp in Maidenhead had ACV status, but then became a Tesco. The council turned down an article 4 direction, which is the other way in which DCLG suggests this can be dealt with. About 42 pubs in London that have ACV status are currently closed. Many are simply being land-banked, because developers know that if they sit on them for long enough, they will probably get whatever planning permission they want or need, or they will go ahead anyway We have to debunk the myth that going through the planning system to give people the right to a say somehow means that a pub is not only protected—it is not—but cannot become another use. That is simply untrue and it is wrong for Ministers to suggest otherwise. The truth is that viable and profitable pubs are being lost even when planning permission is needed. Indeed, in the constituency of the Minister of State, Department for Transport, the right hon. Member for South Holland and The Deepings (Mr Hayes), Ye Olde Dun Cow in Cowbit had ACV status. There was a community campaign to bring it back to life, but permission was given to demolish it The Summercross in my own constituency—one of my local pubs in Otley—was, after a hard fought campaign, turned into a care home, despite the fact that we gave the council figures to show that the pub was trading profitably when it was deliberately closed by a developer. The owner of Hooper’s in Camberwell obtained planning permission to convert it to a house even though it had ACV status. The Tumbledown Dick in Farnborough, an ACV pub, was partially demolished and is now in use as a McDonald’s against the wishes of the local community. The George IV in Brixton, the Emperor in Ipswich, the Chesham Arms in Hackney—this is not a happy picture, even when people do have to go through the planning process, so the Minister may seriously think that even if they make this limited change, or even if we get the new clause changed, it will save lots of pubs and stop conversions, but that is simply not the case. There is a dangerous loophole that I urge the Minister to address. If an ACV pub is sold as a going concern, that bypasses the six-month moratorium, even if it is a deliberate sale as a temporary going concern where the intention is clearly to end its use as a pub. That undermines the position hugely We need a clear announcement. I hope and suspect we will get from the Minister today an idea of when, in the eight weeks left of this Parliament, we will hear that announcement. This is our last chance. I share the voice echoed by the hon. Member for Bristol North West. I urge the Government, even now, to think again, and this is where we come on to costs. I asked the chief executive of Leeds city council to give me its costs of every ACV status. The reply was that on average an assessment and approval of a nomination up to the stage of being first added or otherwise to the list of assets of community value costs around £1,070 in officers’ time. It also pointed out that the DCLG guidance states that on average a nomination should take 8.3 hours, but officers from Leeds city council estimate it takes twice as long. That, of course, does not include the time it may take to consider a formal review of a decision, any resource required if a review should go to a tribunal stage, or any time to deal with administering the process when an owner informs of the intention to dispose of an asset. That is without even the possibility of legal challenge, which is quite likely.
