ParlaMint-GB_2017-11-21-commons.u1	I call Mr Chris Bryant. Not here.
ParlaMint-GB_2017-11-21-commons.u264	Is not the important point about clause 5 that any future Act of this Parliament takes supremacy, so if there is a muddle or a problem, this Parliament can sort it out definitively? I should have thought that that would deal with the interests of all parties concerned.
ParlaMint-GB_2017-11-21-commons.u265	My right hon. Friend almost makes my case for me. He is absolutely right that, in so far as we want to depart from anything, this House, once we have left the EU, can do what it likes, and as regards anything we enact thereafter, the supremacy of EU law is entirely removed. We can do exactly what we please, except, I am afraid, in so far as we may find ourselves still locked into trying to maintain comity with the EU when the penny drops about the economic consequences of not having it. However, I will refrain from straying too far into that area So the question is: is there some merit in keeping the right to bring a challenge using general principles of EU law? I would have thought that there is. I tried to work through in my mind the importance of this. First, we may have retained EU law that is deficient, defective or does not operate properly, or a court might be forced to conclude that it operates in a capricious or even unfair manner, or is disproportionate. At the moment, the only remedy for the court, unless it can bring in the Human Rights Act, will be to apply the law and somebody points out to a Minister that that law is working very badly.
ParlaMint-GB_2017-11-21-commons.u266	In my right hon and learned Friend’s observations about schedule 1, paragraph 3(2), is he referring to retained general principles of EU law or to new ones post Brexit? If he is talking about the retained ones, I have a great deal of sympathy with his position, whereas importing rights of challenge that rely on later developments of EU law would be quite against the principle of Brexit.
ParlaMint-GB_2017-11-21-commons.u267	My right hon. Friend is absolutely right and we are completely of one mind on this. I am talking about retained principles—the principles that were seen to exist at the date of exit.
ParlaMint-GB_2017-11-21-commons.u268	I am delighted, though not surprised, that my right hon. and learned Friend and I are thinking alike on this, as we have thought alike on many of these issues. Does he think, in that case, that his amendment 10 ought to be recast when, as I hope, it appears as a Government amendment on Report, so as not to remove paragraph 3 but to say, instead of “general principles”, “retained general principles”, with similar consequential adjustments?
ParlaMint-GB_2017-11-21-commons.u269	I am grateful to my right hon. Friend for his intervention. As I have said on many previous occasions, whatever merits I may have as a lawyer, I am not a parliamentary draftsman. On top of that, I gently point out that, in an effort to get my amendments in early, they were, in the usual way, drafted with a wet towel around my head at about 30 minutes past midnight on the night before Second Reading. I am therefore quite sure that they are all capable of substantial improvement. Indeed, in my experience, it is very unusual for an amendment ever to be accepted just like that, apart from when it adds a comma, particularly in Committee Yes, of course there are different ways in which this can be approached. Indeed, my hon. and learned Friend the Solicitor General, with whom I have had an opportunity for a bit of a chat—I shall look forward to talking to him further about this—has made it clear that he thinks I have been a bit too draconian in deleting paragraphs 1, 2 and 3. On the other hand, there are some other things in paragraphs 1, 2 and 3 that I find rather concerning. However, I shall confine myself to paragraph 3 for the moment.
ParlaMint-GB_2017-11-21-commons.u270	On whether the drafting is entirely right, so far, as far as I am aware, the Government have had absolutely no answer to the extremely clear case that my right hon. and learned Friend has made about the proper way to protect these cases in future. The obvious thing is for the Government to accept these amendments today, because they can come back on Report and start correcting and redrafting amendments to which I am sure that he will be wholly receptive. What I would not welcome is some vague assurances from Front Benchers that they will think about it and then might come back with something on Report. The drafting can be corrected later; the points that he is making need to be confirmed today.
ParlaMint-GB_2017-11-21-commons.u271	My right hon. and learned Friend makes a very good point. He highlights the difficulty faced by all Back Benchers, particularly Government Back Benchers, in presenting amendments—namely, the extent to which they should accept assurances from Front Benchers. That largely depends on how detailed the assurance is—whether it is woolly and vague or has some specificity to it. My judgment on whether I might press amendment 10 to the vote will depend on how specific Front Benchers can be in providing an assurance that they recognise that, even if there may be areas that remain to be debated, there is a core issue that must be addressed about the ability to bring a right of action in domestic law based on a failure to comply with a general principle of EU law when it concerns the operation of retained EU law Furthermore, because retained EU law has supremacy over domestic law, it must be possible that there might be instances in which our domestic law would have to be altered. The Government cannot then argue that that is an extraordinary thing to do, because they have themselves drafted this Bill in a way that allows for the possibility of UK domestic law being quashed. That will, I hope, be for a temporary period. Nevertheless, I am unable to understand how, during that temporary period, we can end up with a situation where the Government are perfectly happy to allow for the supremacy of EU law but remove the very principles that moderate it, ensure that it cannot be abused, and, in those areas that were within EU competence, provide a framework under which the Government are undertaking to operate unless or until they repeal the bits of retained EU legislation that they are bringing into our law.
ParlaMint-GB_2017-11-21-commons.u272	rose—
ParlaMint-GB_2017-11-21-commons.u273	Before my hon. Friend intervenes, let me say this to him. The big argument against EU law is that it was either created by “this foreign body” or it was inflicted on us and we had to enact it in order to comply with our international legal obligations. In those circumstances, it is a bit odd if we start arguing that, in view of where it comes from, the possibility of, for example, knocking it on the head because it does not comply with its own general principles should be entirely abandoned.
ParlaMint-GB_2017-11-21-commons.u274	I hope that my right hon. and learned Friend will not go down the rabbit hole suggested by my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke), which is that we should accept this incongruous proposal when in fact it involves a fundamental principle of constitutional supremacy. I am sure that my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) understands that. He is identifying a number of questions, and I entirely encourage him to continue to do so. I suggest, however, that it would be very unwise indeed to follow the advice of my right hon. and learned Friend the Member for Rushcliffe as regards the Government accepting these amendments for the time being.
ParlaMint-GB_2017-11-21-commons.u275	I understand my hon. Friend’s point. However, the purpose of this Bill, as I understand it, is to put together a package that enables a smooth transition from our presence within the European Union to our presence outside of it. That, of necessity, requires adjustments to the purity of his thinking about parliamentary sovereignty, which the Government have been required to acknowledge in the way that they have drafted this Bill. In those circumstances, it does not seem to be pushing the boundaries very much further, nor should it be seen as some treasonable article, for us to consider whether the general principles of EU law ought not to be capable of being invoked when they are probably the very thing that has, over the years, prevented the EU from turning into an even worse tyranny, as my hon. Friend would see it. [Interruption.] Well, I have to say, having listened to him, that that is usually the impression that has come across. He sees it as tyrannical because it is not moderated by the doctrine of our parliamentary sovereignty. I simply make that point; I do not wish to labour it.
ParlaMint-GB_2017-11-21-commons.u276	Is there not an important change once we have left the European Union in that the European Court of Justice would not accept the jurisdiction of the European Court of Human Rights because it would not accept that a higher court could intervene in any of its rulings? It therefore needed protections within its own system that within our system are provided by the European Court of Human Rights and the application of that in domestic law.
ParlaMint-GB_2017-11-21-commons.u277	My hon. Friend makes an interesting point. I slightly question the extent to which we have had clear evidence of that, although I know that there has been a reluctance on the part of the European Court of Justice to accept any higher authority, despite the intention of the parties that it should become subordinate, ultimately, to the ECHR. He is right that one reason why the charter came into being was to secure compliance. I think it is rather more of a hypothetical than an actual state of affairs, although such a problem might exist in future. In any event, I do not think we are dealing here just with matters covered by the ECHR, for the very reasons that were discussed earlier in relation to new clause 16, which was tabled by the hon. Member for Nottingham East. I simply say to my right hon. and hon. Friends that the issue has to be addressed As I said earlier, I recognise that my amendment is not as good as it might be, and could be improved on. If the Government can give me an assurance that is adequate and goes beyond vagueness, I will be content not to press amendment 10 a vote. The issue is not going to go away, however, and when one is in this sort of dialogue with the Government, one does not want to be soft-soaped off. If that happens, there will be a road crash when we come to Report, in which I will be unable to support the Government on a whole series of matters. I hope that those things can be resolved by consensus I have spoken for quite long enough, but I have explained why I think that, on the important issue that we are debating today, the best solution in the interim is to use something along the lines of amendment 10 to ensure that general principles of EU law can continue to be invoked. Of course, as the transition goes on, I assume that so much EU law may disappear, but I venture the suggestion that it will continue to be relevant for some time to come May I, finally, touch briefly on the three other amendments —297, 298 and 299—that I have tabled? They are very simple, and they concern the use in clause 5 of the words “any enactment or rule of law” I simply say that nobody I have spoken to understands why the words “rule of law” appear in the Bill. Ultimately, a rule of law is a rule of the common law; and in so far as a rule of the common law is displaced by statute, that rule will be displaced, of itself, by the courts. It does not require to be spelled out in legislation. I draw some comfort, on that, from the fact that a very distinguished lawyer who previously worked in this building shares my view that the inclusion of those words is incomprehensible. I do not think that that is a matter that I would necessarily put to the vote, if I was required to do so, but I hope that the Government might be able to provide a positive response on it. I am grateful to the Committee for listening.
ParlaMint-GB_2017-11-21-commons.u278	It is a genuine pleasure to follow the right hon. and learned Member for Beaconsfield (Mr Grieve), who made his case extremely well and very convincingly—it is supported by many hon. Members on both sides of Committee I rise to speak to amendment 46, which is designed to ensure that we keep the charter of fundamental rights in EU retained law; amendment 335, which would maintain the principles of the Francovich ruling after exit day for pre-Brexit cases; amendments 285, 286 and 287, which make provision for existing arrangements to continue during a transitional period; and, finally, amendment 336, which makes provision for retaining existing principles of EU law within domestic law until the end of the transitional arrangements.
ParlaMint-GB_2017-11-21-commons.u279	Will the hon. Gentleman give way?
ParlaMint-GB_2017-11-21-commons.u280	I think I could probably get a few more sentences into my stride before taking an intervention, but I certainly anticipate that I will take interventions from the hon. Gentleman The debate raises fundamental principles about the transposition of EU law and the important role of this House in holding the Government to account for their commitments. Last week, the focus of the debate was on the Government’s attempt to unravel the Prime Minister’s pledges on the transitional arrangements in her Florence speech, by the imposition of a defined exit day for all purposes. The Minister, the hon. Member for Esher and Walton (Dominic Raab), made a good attempt to defend the indefensible and not commit to the application of the jurisdiction of the Court of Justice of the European Union throughout the transitional period; that was not the Government’s line at the time. It would have been helpful if No. 10 had said a week ago what it said this morning, namely that the Court of Justice will have jurisdiction throughout the transitional period. If that had happened, the Minister would not have been left in such a mess.
ParlaMint-GB_2017-11-21-commons.u281	Is the hon. Gentleman about to move on to explain why Tony Blair and Lord Goldsmith fought so hard to obtain protocol 36—I think it was that one—in the Lisbon treaty, which the Conservative party opposed? At the same time as advancing the charter of fundamental rights, will he explain why we cannot pass such legislation as we wish to in this place?
ParlaMint-GB_2017-11-21-commons.u282	I was not about to go on to that, but clearly I am now. The hon. Gentleman knows that the charter was not binding when it was first adopted in 2000. It was made legally binding by the Lisbon treaty of 2007, which entered into force in 2009. It has, as the right hon. and learned Member for Beaconsfield pointed out, increased in significance, and the rights that it contains have become more visible and correspondingly more effective. Labour supported the charter then, and we support it now, because it has enhanced and improved European human rights protection, and by doing so it has significantly developed the quality of human rights protection in the UK. The wider point that the hon. Member for Stone (Sir William Cash) makes is not relevant to the issue under discussion.
ParlaMint-GB_2017-11-21-commons.u283	The charter applies only when national authorities are implementing EU law. Does the hon. Gentleman not agree that if it is retained, it risks creating a confusing inconsistency by giving citizens powerful rights to strike down some pieces of legislation, but not others? Is it not a case of doing either the whole thing, or nothing at all?
ParlaMint-GB_2017-11-21-commons.u284	I will come on to this point, but the charter is key to ensuring that retained law is treated properly and that the same rights of enforcement continue in the future. Without the charter, those rights are significantly diminished and access to them is diminished Let me proceed with the point I was making about how the charter goes wider than the Human Rights Act and the European convention on human rights, which I hope I am right in saying the Government accept. As other Members have already pointed out, it was the Secretary of State for Exiting the European Union who relied on the charter in the case he brought before the High Court in 2015, against the then Home Secretary and now Prime Minister, when he was worried that the Data Retention and Investigatory Powers Act 2014 would impact on MPs’ ability to communicate with constituents confidentially. He cited the charter, and his lawyers argued that it went beyond the European convention on human rights and granted further protection. He relied on the charter precisely because it provided greater human rights protection than was provided for by UK law and even by the case law of the European Court of Human Rights Despite this, the Government have not indicated which decisions of the Court of Justice of the European Union under the charter they disagree with. Moreover, the explanatory notes to the European Union (Withdrawal) Bill justify the decision to exclude the charter from retained EU law by saying: “The Charter did not create new rights, but rather codified rights and principles which already existed in EU law. By converting the EU acquis into UK law, those underlying rights and principles will also be converted into UK law, as provided for in this Bill.” If that were the case, it would be fine, but it is clearly not the case Drawing on existing rights, the charter set out a new framework for human rights protection under EU law. The rights contained in the charter may have existed in EU law for decades—the Government are relying on that point—but that is not enough. The whole point of the charter was that nobody could verify those rights or their sources, and as the lawyers among us will know, identifying the source of a right is imperative in securing effective recourse. In his speech, will the Minister therefore clarify whether the Government have succeeded, where others have not, in comprehensively identifying every single source of these rights? If not, how do they plan to uphold the same level of protections for these rights once we have left the European Union, because a right without effective recourse is rendered effectively meaningless By compiling and codifying these rights in a single document, the charter in effect created new rights and certainly created new protections. In short, the charter is the most effective key to unlocking vital rights, and to fail to transpose it and make it operable in UK law is to lock away those rights and deny UK citizens the key to accessing them On the data protection point on which the Secretary of State relied—my right hon. Friend the Member for East Ham (Stephen Timms) raises it in his amendment 151, which we support—the right to data protection exists in various documents, such as directives and regulations, but it was only by virtue of the charter creating the expressed right to data protection in article 8 that we were given the right to be forgotten The rights extended by the charter are not only data protection rights. Such rights start in article 1, which includes the right to human dignity. This does not exist as an enforceable right in common law or statute law applicable to retained law post-Brexit. Will the Minister, when he responds, explain how this right will be enforced after exit day if the charter is not retained?
ParlaMint-GB_2017-11-21-commons.u285	Will not the hon. Gentleman’s proposals create more uncertainty and raise more questions than answers? For example, considerable reference has been made to the Union, to citizens and to the right to vote and stand in European elections, but is that not at odds with our being a non-member state on our leaving the European Union?
ParlaMint-GB_2017-11-21-commons.u286	No. The right hon. and learned Member for Beaconsfield answered that point when it was raised by other Members. There are clearly provisions in the charter that would have to be amended to become operable—I made that point a few moments ago—but it includes fundamental rights, so the protections of our citizens will be reduced if the those rights are not carried forward. I will illuminate that point a little further.
ParlaMint-GB_2017-11-21-commons.u287	The hon. Gentleman proposes that part of the charter should be erased and that it should undergo some kind of surgery before it is applied through UK law. Is it not right that questions of principle and policy should not be debated in relation to this Bill, the purpose of which is to provide legal certainty and continuity, but left for wider parliamentary debate and scrutiny, and indeed the wider democratic process?
ParlaMint-GB_2017-11-21-commons.u288	I am genuinely puzzled by the hon. Lady’s point because she could make it in relation to all of the several thousands of laws that are being transposed. It could relate to every other part of the Bill. We will have to go through processes of adjustment to ensure their effective operability, but the question that needs to be answered—I hope it will be answered by the Minister when he rises at the Dispatch Box—is: why, uniquely, is the charter of fundamental rights being treated differently and being removed at this stage?
ParlaMint-GB_2017-11-21-commons.u289	My hon. Friend is making a very powerful case, and my anticipation of the Minister’s speech increases minute by minute as the case is advanced. Does my hon. Friend share my puzzlement, first, that given that the Government’s stated objective for the Bill was to move everything across, the one thing they have decided to leave behind is the charter; and, secondly, that Conservative Members have argued that nothing will be lost by the disappearance of the charter, yet we have already heard powerful testimony in speeches to the contrary? That testimony includes the point raised by my hon. Friend the Member for Nottingham East (Mr Leslie), when he referred to the judgment in the tobacco case, in which the charter clearly had an important impact in enabling the Government to enforce their rights in relation to their desire to have plain packaging—never mind its being the reason why the Secretary of State, in a former life, decided to call on it in trying to sue the Government. Is there not an incompatibility between the two positions?
ParlaMint-GB_2017-11-21-commons.u290	My right hon. Friend is absolutely right. Like him, I am looking forward to hearing the Minister attempting to square the circle on that one. It is one thing for the Government to argue that the charter needs to be removed, but it is another for others then to argue that it makes no difference. Let me illustrate a few other areas in which the charter does make a difference Let us take article 24—it was mentioned earlier—which gives effect to the UN convention on the rights of the child. While we are a signatory to the convention, that does not provide the same legal protection—simply as a convention signatory—as would be provided by the incorporation of the charter. Let us take the right to a fair hearing, which goes beyond article 6 of the European convention on human rights on the right to a fair trial, because it applies to civil rights and obligations, as well as to criminal charges. In the ZZ case, with which the Minister will be familiar, the Court of Justice of the European Union held that the right to a fair trial in article 47 of the charter applied to immigration cases. Significant issues are therefore at stake Let us look at article 13, which requires that academic freedom shall be respected. With the possible exception of some Government Whips—the Vice-Chamberlain of Her Majesty’s Household, the hon. Member for Daventry (Chris Heaton-Harris), was keen to see the reading lists and curriculums of university lecturers to make sure they were teaching Brexit correctly—I am sure that Members on both sides of the House agree that academic freedom is an important principle, and it is not secured anywhere else. How do the Government anticipate that these rights will be enforced in the absence of the charter, and which aspects of the EU acquis or UK domestic law could be used to guarantee these rights? That is an important question It is not just that excluding the charter will diminish rights; the charter has transformed access to human rights protection. As the House of Commons Library briefing makes clear, it is not just that the charter contains more rights than the European convention on human rights and codifies existing rights in one place. When we compare the charter with the Human Rights Act, we see that it has a wider class of applicants who can use it. Anyone with a sufficient interest can apply for a judicial review based on the charter, and it can also be relied on in other types of case—for example, employment tribunal claims—that are within the scope of EU law. By contrast, claims under the Human Rights Act can only be made when an individual is a victim of a rights violation.
ParlaMint-GB_2017-11-21-commons.u291	Our rights always used to be guaranteed, and will be guaranteed once we have left, through a combination of common law and statute law. I do not understand what threat the hon. Gentleman has in mind regarding these rights, because if any threat emerged it would be struck down either by the Supreme Court or by Parliament.
ParlaMint-GB_2017-11-21-commons.u292	I am puzzled by that point, because EU-retained law will effectively become statute law, and that will be carried forward by the application of the charter. It is not quite clear what the right hon. Gentleman is getting at.
ParlaMint-GB_2017-11-21-commons.u293	I listened carefully to what the hon. Gentleman said about article 6 of the European convention. I think that he said it applied only in criminal cases, but having looked at the article it enforces civil rights as well. I remember from my own experience that we took it into account in immigration cases, other tribunal cases and, I think, in some applications of procedures of the House that may or may not be compatible with that right. The measure is much wider than he suggests, so I do not think he was exactly right about that.
ParlaMint-GB_2017-11-21-commons.u294	As I understand it, it does not apply in all civil cases—only civil rights and obligations under the convention, so it is effectively a narrowing if we lose it.
ParlaMint-GB_2017-11-21-commons.u295	The hon. Gentleman said that he did not understand the point I was making. Our rights will be guaranteed once we have left by our Supreme Court, and by common law or the application of our statute law. I cannot think of a right that he and I value that will be destroyed because we have not incorporated the charter. I think that they will be guaranteed by those ancient and tested methods.
ParlaMint-GB_2017-11-21-commons.u296	We are talking about statute law, and about rights such as the one on which the right hon. Gentleman’s friend and colleague, the Secretary of State for Exiting the European Union, relied. I think that that point is clear Returning to the comparison of the charter with the Human Rights Act, as well as the wider class of applicants for which it provides, it allows for stronger remedies. If any national court finds that any national law is incompatible with a directly effective provision of the charter, it must disapply contravening primary legislation or quash secondary legislation. We have exercised some of the arguments around that issue, but that is much stronger than a notification of incompatibility. We should be in no doubt that losing the charter means losing rights.
ParlaMint-GB_2017-11-21-commons.u297	Has the hon. Gentleman considered the impact in relation to alleged and actual terrorists on the question of national security and case law? Many people who would like those individuals to be deported would find that extremely difficult under the principles of the charter because of the provisions relating to the protection of family life, which have been badly abused.
ParlaMint-GB_2017-11-21-commons.u298	In his keenness to tackle the argument, I think that the hon. Gentleman has missed the point. That has nothing to do with the charter Let me turn to a separate but related point on schedule 1, which states: “There is no right of action in domestic law” post exit “based on a failure to comply” with EU general principles. The schedule also prevents courts from ruling that a particular Act was “unlawful” or from quashing any action on the basis that it was not compatible with the general principles. Damages are not allowed, so general principles are rendered irrelevant, which also reduces rights. Our amendment 336 seeks to address that by retaining the existing principles of EU law regardless of whether they originated in case law, treaties, EU legislation or directives. The date on which that retention would end would be the end of a transitional period Let me turn to our amendment 335 to schedule 1 on the Francovich rule. I shall be brief because others have tabled similar amendments, which we support, and I want to give them a full opportunity to make their case without my anticipating what they are going to say.
ParlaMint-GB_2017-11-21-commons.u299	On a point of clarification, the hon. Gentleman said that the date on which the retention would end under the amendment would be the end of the transitional period. Did he mean that no new general principles of EU law formulated after that date would apply, or did he mean the retention would end at the end of the transitional period?
ParlaMint-GB_2017-11-21-commons.u300	If the Prime Minister’s words are to be taken at face value—we continue to operate during the transition practically as if we were still part of the membership—new principles would apply during the transitional period, although not after it had ended.
ParlaMint-GB_2017-11-21-commons.u301	The hon. Gentleman has touched on an important point. If we are going into a transitional period retaining the architecture of EU law, or the vast majority of it for that period, to try to leave at the end of the transition and go back to the status of retained EU law on the date on which we moved into transition would be utterly unrealistic. It would have to be from the date on which we moved from transition to final departure.
ParlaMint-GB_2017-11-21-commons.u302	I thank the right hon. and learned Gentleman, who has made the point much more effectively than I did. That is absolutely right Briefly, Francovich raises some important issues of accountability. Surely there is oversight by Government, because I would expect them to accept that the right to damages should be available in cases where the breach of Community law took place before exit day, and indeed before the end of a transitional period, but discovery only took place afterwards. I am therefore seeking clarification from Ministers on that point, and I hope that they accept what hon. Members are seeking to do in amendments on Francovich We are pleased to support new clauses 16, 78 and 79, as well as amendments 297, 298, 299, 8,10,101,105 and 62 and the consequential amendments 126 ,127,129,140, 141, 302 and 9—just for clarity. In conclusion, I return to amendment 46, because we need some honesty from the Government. The House has not authorised the Government to use Brexit as a vehicle to deplete human rights in this country. If the Government want to reduce rights and protections, they should say so and we can debate it. What is not acceptable is to pretend that the Bill provides for the transfer of rights and protections when it clearly does not.
ParlaMint-GB_2017-11-21-commons.u303	The Secretary of State for Exiting the European Union has made a number of statements about the fact that if Opposition parties can identify rights that will not be covered he is willing to look at them and legislate for them. We have discussed a third category of rights—not those protected by the Human Rights Act or those that will be irrelevant because they are in the charter and will no longer apply —so is the hon. Gentleman prepared to take that at face value and work with the Government to ensure that those rights that have been identified are protected?
ParlaMint-GB_2017-11-21-commons.u304	If the Government can identify the sources of rights covered by the charter and can explain exactly how any deficiencies or gaps left as a result of failure to transpose the charter will be identified, and if they outline what remedies they might make at a later stage, we would be happy to sit down with them and talk about that. It is absolutely clear to us that the Government should stick by their word and their claims in relation to the Bill on the need for the existing level of human rights protection to be preserved in UK law. As it stands, central to that consolidation is retaining the charter as part of the retained EU law. I hope the House will agree and I hope the House will support our amendments.
ParlaMint-GB_2017-11-21-commons.u305	It is a pleasure to follow the hon. Member for Sheffield Central (Paul Blomfield). At the outset, I would like to thank hon. Members from right across the House for their contributions to today’s debate, whether in speeches or in amendments. The Government will approach the Bill in the spirit of collaboration, and I certainly welcome the constructive contributions and diligent scrutiny hon. Members are rightly providing today. I shall seek to address clause 5, and the Solicitor General will address schedule 1 a bit later in the debate, to make sure we dwell adequately and with due consideration not only on the provisions of the Bill, but on the various issues and amendments, for which I am grateful to hon. Members, that have been raised Clause 5 serves two key strategic objectives: taking back democratic control over our laws and making sure we leave the EU in a way that facilitates a smooth Brexit and minimises legal uncertainty. The Bill aims to provide that the laws which apply immediately before exit day will continue to apply in the same way after we leave. Of course, the act of leaving the EU in itself means it is inevitable that some things will not and cannot stay the same. The changes made by clause 5 relate to certain aspects of EU law which are no longer appropriate, or which will not make sense when we leave the EU because we will then cease to be under the obligations that apply to us as an EU member state. The provisions are therefore essential Clause 5(1) ends the supremacy of EU law in relation to new law from the date of exit. That is crucial if we are going to give effect to the mandate from the referendum. At the same time, clause 5(2) makes sure that EU law passed before exit still applies as before, for the sake of legal certainty. That is important for mitigating the risks of legal uncertainty that are inevitable and inherent in departure from the EU. The rest of clause 5 reinforces those critical objectives, including by removing the instrument of the charter on fundamental rights as part of domestic law. I want to come on to address that in detail.
ParlaMint-GB_2017-11-21-commons.u306	May I refer my hon. Friend to clause 5(2)? My right hon. and learned Friend the Member for Beaconsfield (Mr Grieve), in his rather amazing speech which I think we all found very illuminating, said that this was a completely new principle to be applied in British law. Is it not just a translation of an existing principle in EU law into United Kingdom law for the purposes of a smooth Brexit? Is it not, in fact, less exceptional than being a member of the European Union and allowing a court in a wholly different jurisdiction to impose itself on parliamentary sovereignty?
ParlaMint-GB_2017-11-21-commons.u307	I thank my hon. Friend for his intervention and I will come on to address very carefully the speech made by my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve). I agree that there is an inherent sense that, as we move to change, things are not going to be exactly as they were before. I want to draw a very important distinction. We are leaving the EU and taking back control over our laws and the way we make our laws, so that Members across the House can exercise proper democratic control. At the same time, the substantive law—the rules and the principles—will remain the same, because of the snapshot we are taking on exit day and retaining in UK law, thereby avoiding the putative legal cliff-edge.
ParlaMint-GB_2017-11-21-commons.u308	Will my hon. Friend give way?
ParlaMint-GB_2017-11-21-commons.u309	I will just make a little bit of progress and then I will give way to my right hon. and learned Friend I will address the detail of this by reference to the new clauses and amendments that have been tabled, because they usefully highlight and flag up the different concerns of hon. Members. As a matter of guiding principle, I hope all hon. Members can agree that we should not make changes that exacerbate the risk of legal uncertainty, which I think goes to the point my hon. Friend the Member for Harwich and North Essex (Mr Jenkin) was making in his intervention. Our substantive law will remain the same on exit day, but it would be wrong in principle—indeed, I think we would find it counter- productive in practice—to seek to cling to all the procedural mechanisms that are inherent, intrinsic and inextricable institutional features of EU membership.
ParlaMint-GB_2017-11-21-commons.u310	Will the Minister give way?
ParlaMint-GB_2017-11-21-commons.u311	I will not give way just for the moment, but I will give way to the hon. and learned Lady shortly.
ParlaMint-GB_2017-11-21-commons.u312	Will the Minister give way?
ParlaMint-GB_2017-11-21-commons.u313	I will give way shortly to the hon. and learned Lady, because I know she supports some of the amendments I turn now to amendments 297, 298 and 299, tabled my right hon. and learned Friend the Member for Beaconsfield, and to amendments 285 and 286, tabled by the leader of the Labour party, the right hon. Member for Islington North (Jeremy Corbyn). My right hon. and learned Friend the Member for Beaconsfield wishes to remove any reference to “any rule of law”, which is a reference in the Bill to common law rules in relation to provisions addressing supremacy of EU law. In effect, his amendments—at least as I have understood them, and I stand to be corrected—would allow EU law to continue to trump the common law after the date of exit. However, this would undermine both of the key strategic objectives of the Bill. It would mean in relation to common law rules articulated after exit day that retained EU law trumps them, undermining the UK’s basic constitutional hierarchy that we are seeking to restore and affirm.
ParlaMint-GB_2017-11-21-commons.u314	rose—
ParlaMint-GB_2017-11-21-commons.u315	Allow me to make the point and then I will give way, because there are two sides to my right hon. and learned Friend’s amendment Paradoxically, with respect to the relationship between retained EU law and common law rules made up until exit day, my right hon. and learned Friend’s amendment would skew the clear and certain snapshot the Bill will take, because retained EU law would no longer supersede common law rules. By removing the common law from the operation of the Bill, I am afraid the amendments would—at least on the Government’s analysis—create considerable uncertainty for business and individuals alike.
ParlaMint-GB_2017-11-21-commons.u316	No, I want these words removed because they are completely unnecessary. To use that wonderful word that lawyers like to apply, they are otiose—they add absolutely nothing to the Bill. The common law will be adjusted according to the statutory framework in which it operates, so I say with some regret—because someone clearly came up with the idea—that it seems rather poor drafting. Others, whom I consulted because I was puzzled by this, and who have spent their lives drafting precisely this sort of legislation, seem to agree with me. I was trying to help my hon. Friend, not create some devilish plot to scupper Brexit.
ParlaMint-GB_2017-11-21-commons.u317	I am not sure where this devilish plot has come from—I have made no such suggestion; I was simply pointing out to my right hon. and learned Friend that, as my hon. Friend the Member for Harwich and North Essex, the Chair of the Public Administration and Constitutional Affairs Committee, mentioned earlier, some of the amendments run the risk of creating more, not less, uncertainty, notwithstanding their perfectly laudable and genuine aims If my right hon. and learned Friend’s amendment were passed, it would no longer be clear how common law rules would interact with a particular provision of retained EU law in the event of a conflict between the two. Across a range of issues, from animal welfare to competition law, the concern is that such an approach would create uncertainty about the legal position of citizens and businesses. I am sure that this was not his intention. I am not looking for devilish plots on either side of the House, but I do fear that that would be the practical reality.
ParlaMint-GB_2017-11-21-commons.u318	On the subject of devilish plots and “The Screwtape Letters”, may I refer my hon. Friend to chapter 12 of Lord Bingham’s magisterial work, “The Rule of Law and the Sovereignty of Parliament?”? In this context, its reference to the rule of law is highly relevant, simply because it refers, indirectly or directly, to the issue of the constitutional supremacy of law making and the construction placed upon it by the courts themselves. On that issue, the rule of law does, I think, have considerable salience.
ParlaMint-GB_2017-11-21-commons.u319	My hon. Friend makes a considered and thoughtful point. Given the changes we are making—for the purposes of greater certainty and clarity—I respectfully suggest to my right hon. and learned Friend the Member for Beaconsfield and other hon. Members across the House that it is worth having some clarity and certainty on this point I turn now to amendments 285 and 286. We discussed similar amendments from the leader of the Labour party on day one of the Committee in relation to clause 6, and for the same reasons given during that debate, we cannot support them. I note again what the Prime Minister said in her Florence speech: “The United Kingdom will cease to be a member of the European Union on the 29th March 2019” I will not speculate on the contents of the withdrawal agreement. The Government will do whatever is necessary to prepare for our exit and have already made it clear that separate primary legislation will be brought forward to implement the terms of the withdrawal agreement and any implementation period. With that in mind, the amendments would pre-empt and prejudge the outcome of the negotiations and introduce a straitjacket of inflexibility for the duration of any implementation period. We are all in the House committed to securing the very best deal with our EU friends and partners, and I respectfully suggest that the amendments would undermine that objective. I urge the leader of the Labour party not to press them.
ParlaMint-GB_2017-11-21-commons.u320	The hon. Gentleman said earlier that one of his guiding principles was not to exacerbate any legal uncertainty, but the Exiting the European Union Committee has heard evidence from a senior lawyer that the body of retained law will contain instruments that make explicit reference to the charter. If the charter is not part of retained EU law, how are the courts supposed to interpret the body of retained law that refers to it?
