ParlaMint-GB_2017-04-19-commons.u1	1. What assessment he has made of the contribution of Scotland to the future of the UK.
ParlaMint-GB_2017-04-19-commons.u150	I beg to move, That there shall be an early parliamentary general election I rise to speak to the motion on the Order Paper in my name and those of my right hon. Friends. The motion confronts every member of this House with a clear and simple opportunity—a chance to vote for a general election that will secure the strong and stable leadership the country needs to see us through Brexit and beyond. It invites each one of us to do the right thing for Britain and to vote for an election that is in our country’s national interest My priority when I became Prime Minister was to provide the country with economic certainty, a clear vision and strong leadership after the long and passionately fought referendum campaign. This Government have delivered on those priorities.
ParlaMint-GB_2017-04-19-commons.u151	In the time-honoured fashion, my right hon. Friend has called this election in what she considers, and I consider, to be the national interest at this moment. It would be a brave man or woman who voted against this motion. The Fixed-term Parliaments Act 2011 is therefore seen to be an emperor without clothes—it serves no purpose, and many of us have questioned it for many years. Will the first line of our manifesto be to scrap it?
ParlaMint-GB_2017-04-19-commons.u152	My hon. Friend tries to tempt me down that road. What is clear is that the Fixed-term Parliaments Act gives us an opportunity, notwithstanding the fixed-term element of it, to have elections at another time, but it is of course for this House to vote for such an election. Like him, I think it is very clear that every Member of this House should be voting for this election.
ParlaMint-GB_2017-04-19-commons.u153	I will take one more intervention and then return to my speech.
ParlaMint-GB_2017-04-19-commons.u154	The Prime Minister pledged time and again not to call an early election. In her Easter message, she talked greatly of her Christian values, so will she explain why she has such a loose and complicated relationship with telling the truth?
ParlaMint-GB_2017-04-19-commons.u155	rose—
ParlaMint-GB_2017-04-19-commons.u156	Order. The Prime Minister is perfectly well able to fend for herself, but what the hon. Gentleman has said is a breach of order and I must ask him to withdraw it. He is versatile in the use of language—he used to pen articles for newspapers; he is a journalist—so withdraw, man, and use some other formulation if you must. At the very least, however, withdraw it.
ParlaMint-GB_2017-04-19-commons.u157	I am very happy to withdraw and reformulate what I said. Why does the Prime Minister have such a complicated and loose relationship with giving the country a clear indication of her intentions?
ParlaMint-GB_2017-04-19-commons.u158	I say to the hon. Gentleman that yesterday I gave the country a very clear indication of my intentions. If he has a little patience, he will hear the reasons why I did that As I was saying, the Government have delivered on the priorities that I set out last year. Despite predictions of immediate financial and economic danger, since the referendum we have seen consumer confidence remain high, record numbers of jobs and economic growth that has exceeded all expectations. At the same time, we have delivered on the mandate we were handed by the referendum result by triggering article 50 before the end of March, as we pledged to do. As a result, Britain is leaving the EU and there can be no turning back.
ParlaMint-GB_2017-04-19-commons.u159	Does it not take some brass neck to call a general election when you are facing allegations of buying the last one?
ParlaMint-GB_2017-04-19-commons.u160	That intervention was not worthy of the hon. Gentleman.
ParlaMint-GB_2017-04-19-commons.u161	Will the Prime Minister just clarify for us whether she supports fixed-term Parliaments?
ParlaMint-GB_2017-04-19-commons.u162	We have a Fixed-term Parliaments Act that enables us to have fixed-term Parliaments. I believe that at this point in time, it is right for us to have this debate and this vote in this House, and I believe that it is right for Members of this House to vote—I shall explain why—for us to have a general election at this stage.
ParlaMint-GB_2017-04-19-commons.u163	I will not take any further interventions for a while. This is a limited-time debate and hon. Members wish to make their contributions Today we face a new question: how best to secure the stability and certainty we need over the long term in order to get the right deal for Britain in the Brexit negotiations and make the most of the opportunities ahead. I have come to the conclusion that the answer to that question is to hold a general election now in this window of opportunity before the negotiations begin I believe it is in Britain’s national interest to hold an election now. A general election is the best way to strengthen Britain’s hand in the negotiations ahead. Securing the right deal for Britain is my priority and I am confident that we have the plan to do it. We have set out our ambition: a deep and special partnership between a strong and successful European Union and a United Kingdom that is free to chart its own way in the world. That means we will regain control of our own money, our own laws and our own borders, and we will be free to strike trade deals with old friends and new partners all around the world.
ParlaMint-GB_2017-04-19-commons.u164	I am very grateful to the Prime Minister for giving way. I can understand that she wants to give the House the opportunity to determine whether there should be an election, but if the House determines that now is the time, why is it that the Prime Minister stands in the face of the Scottish Parliament and the Scottish Government, which have voted for a referendum on Scotland’s future? If it is right that the people here have a voice and a vote on the future of this country, why should not the Scottish people be given a vote as well?
ParlaMint-GB_2017-04-19-commons.u165	Now is the time for a general election because it will strengthen our hand in the negotiations on Brexit. Now is not the time for a second Scottish independence referendum because it would weaken our hand in the negotiations on Brexit. Strength and unity with the Conservatives; division and weakness with the Scottish nationalists.
ParlaMint-GB_2017-04-19-commons.u166	Will the Prime Minister give way?
ParlaMint-GB_2017-04-19-commons.u167	I will just make a little more progress I believe that our plan for Brexit delivers on the will of the British people. It is the right approach for Britain and it will deliver a more secure future for our country and a better deal for all our people. But it is clear that other parties in this House have a different view about the right future for our country, while Members of the other place have vowed to fight the Government every step of the way.
ParlaMint-GB_2017-04-19-commons.u168	In the referendum, the people of Rossendale and Darwen gave my right hon. Friend and the Government a mandate to exercise article 50. She has done that and we are now grateful to have the opportunity to strengthen the Prime Minister’s hand so that she can go out there and get the best possible deal for people who live in Rossendale and Darwen, manufacturers in Rossendale and Darwen, and every family in Rossendale and Darwen.
ParlaMint-GB_2017-04-19-commons.u169	My hon. Friend is absolutely right. We should be united in this Parliament in wanting to get the best possible deal not just for the country as a whole, but for everybody across the whole of this country. I commend him for the work that he has done in Rossendale and Darwen to support his constituents on this matter.
ParlaMint-GB_2017-04-19-commons.u170	I will give way to the right hon. Member for Leigh (Andy Burnham), and then I will make progress.
ParlaMint-GB_2017-04-19-commons.u171	I can see how it suits the Prime Minister’s purposes to make this election all about Brexit, but does she accept the possibility that it may just become a referendum on her brutal cuts, which have left older people without care, schools sending begging letters to parents and a record number of homeless people on the streets of Greater Manchester?
ParlaMint-GB_2017-04-19-commons.u172	Of course when we come into the general election campaign, people will look at a wide range of issues. They will look at the fact that pensioners are £1,250 a year better off because of the actions of the Conservative Government. They will look at the fact that 1.8 million more children are in good or outstanding schools. If the right hon. Gentleman wants to talk about impact on the economy, I suggest he searches his memory for the time he spent as Chief Secretary to the Treasury, when Labour were trashing the economy of this country and leading us to virtual bankruptcy.
ParlaMint-GB_2017-04-19-commons.u173	No, I am going to make some progress I have set out the divisions that have become clear on this issue. They can and will be used against us, weakening our hand in the negotiations to come, and we must not let that happen. I believe that at this moment of enormous national significance, there should be unity here in Westminster, not division. That is why it is the right and responsible thing for all of us here today to vote for a general election, to make our respective cases to the country, and then to respect the result and the mandate it provides to give Britain the strongest possible hand in the negotiations to come.
ParlaMint-GB_2017-04-19-commons.u174	In the last election, the Conservatives made a manifesto commitment to stay in the single market. Will the Prime Minister withdraw that commitment from the new manifesto and, if she does, will that not weaken her negotiating position, as well as removing two months from the negotiation window?
ParlaMint-GB_2017-04-19-commons.u175	We gave a commitment in the last manifesto to provide the people of the United Kingdom with a vote on whether or not to leave the European Union. We gave them that vote, with the support of Parliament, and they gave a clear message that they want the United Kingdom to leave the European Union. That is exactly what we are going to do.
ParlaMint-GB_2017-04-19-commons.u176	I fully support the fact that the Prime Minister needs a stronger hand going into the negotiations as we leave the European Union. Does she not think it perverse that some people who did not want a referendum in the first place now want a second referendum at the very end of the procedure, just in case the British Government do not get a good deal from Brussels? Does she not believe that if we were to have that second referendum, it would deeply weaken her position in the negotiations she will have with the European Union?
ParlaMint-GB_2017-04-19-commons.u177	My hon. Friend is absolutely right in his description of what would happen. Those who say that they want a second referendum would actually be denying the will of the people, because people voted for us to leave the European Union. We are going to go out there and get the best possible deal Waiting to hold the next election in 2020, as scheduled, would mean that the negotiations would reach their most difficult and sensitive stage just as an election was looming on the horizon. A general election will provide the country with five years of strong and stable leadership to see us through the negotiations and ensure we are able to go on to make a success of the result. That is crucial. That is the test. It is not solely about how we leave the European Union; it is what we do with the opportunity that Brexit provides that counts. Leaving the EU offers us a unique, once-in-a-generation opportunity to shape a brighter future for Britain. We need the leadership provided by a strong and stable Government to seize it: a Government who have a plan for a stronger Britain, a Government with the determination to see it through, and a Government who will take the right long-term decisions to deliver a more secure future for Britain. The Conservative party I lead is determined to be that Government.
ParlaMint-GB_2017-04-19-commons.u178	Is the Prime Minister at all concerned that, having tried her best to build a reputation for political integrity both as Home Secretary and Prime Minister, she is now seen, after all the denials that there would be a snap election, simply as a political opportunist?
ParlaMint-GB_2017-04-19-commons.u179	I have not denied the fact that when I came into this role as Prime Minister, I was clear that what the country needed was stability and a Government who would show that they would deliver on the vote people had made in the referendum on leaving the EU. We have provided that over the last nine months. Now it is clear to me that if we are to have the strongest possible hand in the negotiation, we should have an election now. As I have just said, leaving the election to 2020 would mean that we would be coming to the most sensitive and critical part of the negotiations in the run-up to a general election. That would be in nobody’s interests I have said that the Conservative party I lead is determined to be that Government who have the determination to see through our plan for a stronger Britain. We are determined to provide that leadership, and determined to bring stability to the United Kingdom for the long term. That is what the election will be about: leadership and stability.
ParlaMint-GB_2017-04-19-commons.u180	Does the Prime Minister, like me, appreciate decisiveness? Does she agree that voting yes to the motion signifies strength, whereas abstaining is a symbol of weakness?
ParlaMint-GB_2017-04-19-commons.u181	Absolutely: voting yes is a sign of strength, but I would say a little more about abstaining. Anybody who abstains and thinks we should not have a general election is presumably endorsing the record of the Conservative Government, so we are happy both ways.
ParlaMint-GB_2017-04-19-commons.u182	Does the Prime Minister agree with Lord Hill, who was a European Commissioner? When asked by the Foreign Affairs Committee what was the best strategy for negotiation, his response was that we have to come together, because our interlocutors will be watching this place and will exploit any weakness in our political system.
ParlaMint-GB_2017-04-19-commons.u183	My hon. Friend is absolutely right and I am grateful to him for reminding us what Lord Hill, with his experience, said. It is important that we come together, that we do not show the divisions that have been suggested in the past, and that we are able to show a strong mandate for a plan for Brexit and for making a success of it. We are determined to bring stability to the United Kingdom for the long term. That is what this election will be about: leadership and stability. The decision facing the country will be clear. I will be campaigning for strong and stable leadership in the national interest with me as Prime Minister. I will be asking for the public’s support to continue to deliver my plan for a stronger Britain, to lead the country through the next five years, and to give the country the certainty and stability that we need.
ParlaMint-GB_2017-04-19-commons.u184	On the timetable before yesterday, the Prime Minister would have concluded her negotiation by 2019. We would have gone into the general election in 2020, a year later, talking about her deal. That would have given the country an outlook as to what it would be voting for. She is asking the country to strengthen her hand, but does she agree that she is asking the country to vote for a blank cheque?
ParlaMint-GB_2017-04-19-commons.u185	No, I am not asking the country to write a blank cheque. We have been very clear about what we intend in terms of the outcome of the negotiations. I set that out in my Lancaster House speech in January, it has been set out in the White Paper, and it was set out in the letter we submitted to the President of the European Council to trigger article 50 The choice before the House today is clear. I have made my choice to do something that runs through the veins of my party more than any other. It is a choice to trust the people, so let us vote to do that today; let us lay out our plans for Brexit; let us put forth our plans for the future of this great country; let us put our fate in the hands of the people; and then let the people decide.
ParlaMint-GB_2017-04-19-commons.u186	We welcome the opportunity of a general election because it gives the British people the chance to vote for a Labour Government who will put the interests of the majority first. The Prime Minister says she has only recently and reluctantly decided to go for a snap election. Just four weeks ago, her spokesperson said “there isn’t going to be an early general election” How can any voter trust what the Prime Minister says Britain is being held back by the Prime Minister’s Government. She talks about a strong economy, but the truth is that most people are worse off than they were when the Conservatives came to power seven years ago. The election gives the British people the chance to change direction. This election is about her Government’s failure to rebuild the economy and living standards for the majority; it is about the crisis into which her Government have plunged our national health service; and it is about the cuts to our children’s schools, which will limit the chances of every child in Britain, 4 million of whom now live in poverty. It is a chance of an alternative to raise living standards. More and more people do not have security in their work or their housing.
ParlaMint-GB_2017-04-19-commons.u187	rose—
ParlaMint-GB_2017-04-19-commons.u188	rose—
ParlaMint-GB_2017-04-19-commons.u189	I give way to my Friend the Member for Stoke-on-Trent.
ParlaMint-GB_2017-04-19-commons.u190	Which one?
ParlaMint-GB_2017-04-19-commons.u191	I try not to take it personally that, having arrived so recently, the Prime Minister is that desperate to get rid of me that she is calling an election Does my right hon. Friend agree that the Prime Minister, in calling this election, has essentially said that she does not have confidence in her own Government to deliver a Brexit deal for Britain? One way in which she could secure my vote and the votes of my hon. Friends is to table a motion of no confidence in her Government, which I would happily vote for.
ParlaMint-GB_2017-04-19-commons.u192	I congratulate my Friend on his election to the House and on his work. I agree with him: I have no confidence in this Government either.
ParlaMint-GB_2017-04-19-commons.u193	Will my right hon. Friend give way?
ParlaMint-GB_2017-04-19-commons.u194	In the interests of unity in Stoke-on-Trent, what else can I do?
ParlaMint-GB_2017-04-19-commons.u195	Don’t forget that there are five towns.
ParlaMint-GB_2017-04-19-commons.u196	Six My right hon. Friend highlighted the fact that the Prime Minister for 12 months dithered over whether she wanted an election, and all the time said that she did not want one, but is not the reality that her mind was focused by the fact that she may well lose some of her Back Benchers if the Crown Prosecution Service has its way?
ParlaMint-GB_2017-04-19-commons.u197	The timing of the election and the role of the CPS is extremely interesting, and it is interesting that the Prime Minister did not mention it in her contribution.
ParlaMint-GB_2017-04-19-commons.u198	The Leader of the Opposition talks about trust in leaders. What trust can the public put in a leader who has no confidence from his parliamentary colleagues, and who is put in place not by people inside Parliament, but people outside?
ParlaMint-GB_2017-04-19-commons.u199	I was elected leader of my party by 300,000 votes. I do not know how many people voted for the Prime Minister to be leader of her party. I suspect it was none whatsoever To the 6 million people working in jobs that pay less than the living wage, I simply say this: it does not have to be like this. Labour believes that every job should pay a wage people can live on, and that every worker should have decent rights at work. To the millions of people who cannot afford a home of their own, or who have spent years waiting for a council home, I say that this is their chance to vote for the home their family deserves. Labour Members believe that a housing policy should provide homes for all, and not investment opportunities for a few. To the millions of small businesses fed up with the red tape of quarterly reporting, hikes in business rates and broken promises on national insurance, I say that this is their chance to vote for a Government who invest and who support wealth creators, not just the wealth extractors The Prime Minister says that she has called the election so that the Government can negotiate Brexit. We had a referendum that established that mandate. Parliament has voted to accept that result. There is no obstacle to the Government negotiating, but instead of getting on with the job, she is painting herself as the prisoner of the Lib Dems, who have apparently threatened to grind government to a standstill. There are nine of them and they managed to vote three different ways on article 50, so it is obviously a very serious threat. The Tories want to use Brexit to turn us into a low-wage tax haven. Labour will use Brexit to invest in every part of this country to create a high-wage, high-skill economy in which everyone shares the rewards The Prime Minister says this campaign will be about leadership, so let us have a head-to-head TV debate about the future of our country. Why has she rejected that request? Labour offers a better future. We want richer lives for all, not a country run for the rich.
ParlaMint-GB_2017-04-19-commons.u200	I thank the right hon. Gentleman for—
ParlaMint-GB_2017-04-19-commons.u201	Order. Is the right hon. Member for Islington North (Jeremy Corbyn) giving way? [Interruption.] No, he has finished. [Interruption.] Order. I have known the right hon. Member for Rayleigh and Wickford (Mr Francois) for more than 30 years, since we stood against each other in a student election. He is not going to take it personally, but the right hon. Member for Islington North has finished his speech. [Interruption.] If the right hon. Member for Rayleigh and Wickford wants to raise a point of order, I will hear it with courtesy.
ParlaMint-GB_2017-04-19-commons.u202	On a point of order, Mr Speaker. Is that it?
ParlaMint-GB_2017-04-19-commons.u203	It is very generous of the right hon. Gentleman to seek to invest me with additional powers, but the question of whether it is “it”, as he puts it, is a matter not for me but for the right hon. Member for Islington North, and he has completed his contribution.
ParlaMint-GB_2017-04-19-commons.u204	I accept entirely the logic laid out by my right hon. Friend the Prime Minister in her statement yesterday in Downing Street. I reached that conclusion somewhat earlier, but I did not believe it was possible to deliver. Indeed, I found myself discombobulated by a reversal in Government policy for the second time in a few weeks, having told the readers of the Forest Journal in terms that there was no question of there being an early general election, because it was not in the Prime Minister’s gift to deliver it. Because of the Fixed-term Parliaments Act 2011, that decision lies with a two-thirds majority of the Members of the House of Commons and, as I told those readers with absolute confidence, turkeys will not vote for Christmas. I congratulate my right hon. Friend on having achieved the impossible and secured the fact that today those turkeys will indeed vote for that. I first reached the opinion that an election was necessary during the passage of the article 50 Bill. Opposition Member after Opposition Member got up to announce their recantation that, notwithstanding having voted to remain, they were now going to abide by the will of their constituents. Yet at every opportunity they cheered to the rafters those few who spoke out to say that they remained with the 48% and believed that, as events unfolded, the 48% would become a majority. They pursued a strategy of desperation: a strategy of “Hang on, something might turn up”, whether that was the long-promised economic shock or whatever. The “hang on” strategy, however, requires an essential ingredient: delay. Delay was the tactic they clearly pursued through their amendments to the Bill and they promised there would be more The other place is currently not bound, in respect of the Government’s policy, by the Salisbury convention. The right hon. Member for North Norfolk (Norman Lamb) and I were invited to debate in front of a City audience the motion “That the United Kingdom is leaving the EU”. Two highly respected peers—Lord Butler, the former Cabinet Secretary, and Lord Lester, one of our premier human rights lawyers—argued the case that we would not leave the European Union because they were in a position to prevent it and would do so. The policy the Prime Minister announced, of pursuing a general election and securing a mandate in this House and a mandate to bind the other place to the Salisbury convention, is therefore essential I am confident that the Prime Minister will achieve that majority, because I am confident that she will be backed by the overwhelming majority of this nation. She will know that last year I voted for every other possible candidate for the leadership of the Tory party. I have to tell her that I have become her greatest fan. As my constituents recognise and tell me continually, she is doing magnificently. May she long continue to do so.
ParlaMint-GB_2017-04-19-commons.u205	The Prime Minister says that she wants unity and an end to division; she intends to achieve that by crushing opposition, with political opponents described as “saboteurs”. I invited her earlier to distance herself from that, but she was not prepared to do so. This is not a vision or an understanding of mainstream democracy that I share with the Prime Minister For months we have heard from the Prime Minister that “now is not the time” for the public to vote, that “no one wants it”, and that it is important to “get on with the day job” We have been told that the Prime Minister needs to concentrate all her time on the Brexit negotiations and that nothing should get in the way. In the past 24 hours, however, we have learned that that was all empty rhetoric There are two key reasons why there is going to be an early general election. The first is total political expediency—it is about the woeful, unelectable state of the Labour party, and not wanting to repeat the political error that Gordon Brown made. The Prime Minister wants to receive her own electoral mandate and to crush political opposition in England. The second reason for holding an early general election is that it has finally dawned on the UK Government that the Brexit negotiations are going to be very difficult and the realities of the hard Brexit that the Prime Minister is pursuing have not yet fully dawned on the public. As one commentator wrote today: “The EU is not going to roll over and give the UK free and ‘frictionless’ access to the internal market. The Prime Minister is cutting and running; getting a vote in before the reality of hard Brexit hits home” The Prime Minister might think she can get her way with all this against the Labour party in England, but she will not get away with it in Scotland.
ParlaMint-GB_2017-04-19-commons.u206	On the subject of hard Brexit, does the right hon. Gentleman agree that it is incumbent on those who advocate it to set out very clearly their assessment of the impact on jobs of our coming out of the single market and the customs union?
ParlaMint-GB_2017-04-19-commons.u207	In a normal general election campaign, there would be an opportunity to do just that when the party leaders debate issues on the record. There has been an interesting development since this debate began—I notice colleagues looking at their mobile phones—because ITV has confirmed that there will be a leaders debate. I am looking around at a number of the other party leaders in the Chamber. Does the Leader of the Opposition intend to take part in the debate? I suspect that he probably will take part in a television debate as, no doubt, will the leaders of the Liberal Democrats and the Green party. It is unsustainable in the multimedia age of the 21st century to go to the country but not debate with the leaders of the other parties. The notion that the UK Prime Minister might be empty-chaired because she was not prepared to stand up for her arguments is just not sustainable.
ParlaMint-GB_2017-04-19-commons.u208	rose—
ParlaMint-GB_2017-04-19-commons.u209	Perhaps she would wish that the hon. Member for Ribble Valley might take her place.
ParlaMint-GB_2017-04-19-commons.u210	As I said in the House yesterday, I hope that the Prime Minister will go head to head with the leaders of other parties, and the reason is quite simple: she would floor them all.
ParlaMint-GB_2017-04-19-commons.u211	I do not think that the Prime Minister would manage that with Nicola Sturgeon. However, I am surprised by, and welcome, what the hon. Gentleman has to say in encouragement to the Prime Minister. I think that the public deserve a debate—indeed, more than one debate—during the election campaign, and I think that the Prime Minister should have more confidence in herself. She should be prepared to address the country, and to debate the ideas presented by all the different political parties in the United Kingdom. We in Scotland, of course, have already learnt that the Prime Minister is prepared to ignore the mandate and wishes of the Scottish electorate, the Scottish Parliament and the Scottish Government, so why would anyone in Scotland vote for such a dismissive and disrespectful party and Prime Minister?
ParlaMint-GB_2017-04-19-commons.u212	I need to make some progress as time is limited. I will try to take some interventions later The Prime Minister promised that she would establish a unified approach with all the devolved Governments—an agreement—before triggering Brexit. She did not: she broke her word. As we have learnt in recent weeks in connection with the appalling rape clause, the one thing that the Scottish Tories do not like talking about is Tory policy, but this election will highlight the dangers posed to Scotland by unfettered Tory Westminster Governments. We live in one of the most unequal countries in the developed world, but the Tories want to make it even more unfair. Experts say that their policies will cause the largest increase in inequality since the days of Margaret Thatcher.
ParlaMint-GB_2017-04-19-commons.u213	Will the right hon. Gentleman give way?
ParlaMint-GB_2017-04-19-commons.u214	I am happy to give way to the leader of the Greens.
ParlaMint-GB_2017-04-19-commons.u215	Does the right hon. Gentleman agree that if this election is, as the Prime Minister says, about a more secure future for the country—if it is an election of such national significance—there should be, as a matter of urgency, a change in the law to give Britain’s 1.5 million 16 and 17-year-olds a say in what will be very much their future on 8 June?
ParlaMint-GB_2017-04-19-commons.u216	As one who made a maiden speech about enfranchising 16 and 17-year-olds, I totally agree with the hon. Lady. It is, again, unsustainable that young people should be given the vote in some elections and referendums, but denied it in others.
ParlaMint-GB_2017-04-19-commons.u217	As the right hon. Gentleman will know, the Supreme Court made it abundantly clear—the judges decided unanimously—that issues concerning Brexit negotiations should be determined by this House, which represents the whole United Kingdom, and were not to be decided by any of the devolved institutions. Which bit of that does the right hon. Gentleman have a problem understanding?
ParlaMint-GB_2017-04-19-commons.u218	What I have difficulty understanding is the commitment that the Prime Minister gave when she went to Edinburgh. On the front page of the house journal of the Conservative party, The Daily Telegraph, it was stated in terms that the Prime Minister wanted to seek a UK-wide approach and an agreement with the devolved Governments. The hon. Gentleman may wish to rewrite history, but the Prime Minister gave a commitment to reach an agreement, and she did not reach an agreement The Fixed-term Parliaments Act 2011 was supposed to stop political parties abusing their position and putting party before country. Today the Tories are going to do just that, and, sadly, the Labour party is going to vote with the Tories and make life easy for them. We on these Benches will not vote with the Tories but, given the reality—the Labour party will be voting with the Tories—there will be a general election, and boy, we look forward to that contest—[Interruption.]
ParlaMint-GB_2017-04-19-commons.u219	Order. Mr David Morris, you normally have a very emollient manner. You are a very restrained individual, bordering on the cerebral, but you have become rather over-excited. Calm yourself. Take some sort of soothing medicament; it will have a beneficial impact upon you.
ParlaMint-GB_2017-04-19-commons.u220	In Scotland, the general election will be a two-horse race—a straight fight between the SNP and the Tories. Do I think that mainstream Scots, regardless of whether they voted remain or leave, will vote for a hard Tory Brexit? No, I do not. Do I think that most mainstream Scots will vote for more austerity and cuts in public services? No, I do not. Do I think that most Scots will vote for a party that is actively undermining the mandate already given by the voters in a Scottish general election for people in Scotland to determine their future? No, I do not. We on these Benches will work hard for every vote in every seat in Scotland, and we look forward to defeating the Tories in this general election.
ParlaMint-GB_2017-04-19-commons.u221	Order. At least 10 Members want to speak and we have less than an hour left. Members can do the arithmetic for themselves. It would be appreciated if each Member would help others by tailoring his or her contribution accordingly.
ParlaMint-GB_2017-04-19-commons.u222	I welcome the courage that the Prime Minister has shown in taking to the public this question: who do they expect to lead the country for the next five years? Having listened to the speech made by the right hon. Member for Moray (Angus Robertson), I can honestly assure them that it will not be him. I think that the public will have to think long and hard, because Brexit is happening.
ParlaMint-GB_2017-04-19-commons.u223	Will the hon. Lady give way?
ParlaMint-GB_2017-04-19-commons.u224	No. The debate is time-limited, and I want everyone to have a chance to speak This not about us in here; it is about delivering to the British public the future that they deserve. It is about delivering the best possible outcome for this country as we leave the European Union. I know that when the election takes place on 8 June, individual Members may well find themselves in difficulties with their constituencies because of whatever views they have expressed about leadership, but I am proud to be standing behind a Prime Minister who has made it brutally clear that this is about not making gains in this place, but delivering a Brexit that is for the good of the European Union, that is not just for—[Interruption.] Well, it is for the good of the European Union as well, because our future relationship with the European Union will be hugely important The question that will be posed in our constituencies is this: which of the party leaders who could be Prime Minister should be Prime Minister after the election? That is what we will be asking the country. Does the country believe that the right hon. Member for Islington North (Jeremy Corbyn) could lead it? I suspect that a large number of the right hon. Gentleman’s Back-Bench colleagues would say no, and that the businesses in my constituency would say no as well. Does the hon. Member for Westmorland and Lonsdale (Tim Farron)—his voting record and attendance in the House, along with those of his colleagues, is generally pretty low; two Liberal Democrats are present today, but none were here to vote on the Budget yesterday—really believe that he can lead the country? I suggest that the answer is no I suggest that the British public, when deciding who to vote for on 8 June, will look forward with confidence to a Prime Minister with an increased mandate to take us through the next five years, and I am delighted that she is giving the country this opportunity to examine our record. Since 2010, there has been a 73% drop in youth unemployment in St Albans—[Interruption.] I hear the Liberal Democrats again. I have to say that I hear nothing from the third-placed Liberal Democrat who stood as a candidate in my constituency to defend St Albans. It is surprising that the Liberal Democrats should be more interested in campaigning than in running the country Our party and our Government have taken a strong stance. As I said, youth unemployment in St Albans has fallen by two thirds since 2010, and there has also been a 76% increase in the number of young people taking up apprenticeships. That is the record that we will be putting to the public. Brexit is happening and we are going to make the best of it. Our Prime Minister should not have to suffer 100 unelected Liberal Democrats in the other place, and nine in this place who rarely turn up, trying to tug her tail.
ParlaMint-GB_2017-04-19-commons.u225	Will the hon. Lady give way?
ParlaMint-GB_2017-04-19-commons.u226	No. I am about to finish my speech We need to make the future secure for all our young people and all our families. The game-playing in this place does a disservice to the British public. They are probably fed up with having elections anyway, but let us get on with it and get a mandate for our Prime Minister—[Interruption.] May I say to the hon. Member for Birmingham, Yardley (Jess Phillips) that the public do not respect the fact that people yell from the Back Benches? She can speak up for her own leader, her own manifesto and her own party, and she can explain why she believes her leader, the right hon. Member for Islington North, is the right person to take the country through the next five years. I do not share her conviction, but she obviously has a lot of confidence in his capabilities I know that this Government, who have delivered so much already and have so much more to deliver, will have resonance with the British public when they look at what is on offer from the other parties, which are divided, wrangling, scaremongering and in Brexit denial. This Government will give us the best deal for all our businesses and all our constituencies.
ParlaMint-GB_2017-04-19-commons.u227	This is an appropriate time to be called. I noticed a tweet earlier from David Cameron, the former Prime Minister, whom I am sure we all remember fondly, welcoming the Prime Minister’s decision to call an early election. Given that in one sense the country is in this mess because in calling the referendum David Cameron put party before country, it is hardly surprising that the current Prime Minister should follow him and choose to put party before country once again.
ParlaMint-GB_2017-04-19-commons.u228	Will the hon. Gentleman give way?
ParlaMint-GB_2017-04-19-commons.u229	Give me a moment From the moment the Prime Minister took office, she has ignored the closeness of the referendum vote and has pursued the hardest form of Brexit, driving division instead of cohesion. She has ignored the British people, British businesses, the British public sector and the national health service, and now, in another clear act of putting party before country, she has chosen an early election. We must not buy the nonsense that she needs a mandate to deliver Brexit; the Labour party has given her that mandate. She is acting upon the narrow majority of the 2016 referendum.
ParlaMint-GB_2017-04-19-commons.u230	Will the hon. Gentleman give way?
ParlaMint-GB_2017-04-19-commons.u231	Not for the moment Let us all be very honest and clear about this: the Prime Minister has chosen this election because she looked across the Dispatch Box and could not resist the temptation of doing the political equivalent of taking candy from a baby, and facing this Labour party in a general election. She expects a coronation, not a contest. That is why the Liberal Democrats relish the challenge of a general election.
ParlaMint-GB_2017-04-19-commons.u232	Given what the hon. Gentleman says about a coronation, will he rule out a coalition with the Conservatives—yes or no?
ParlaMint-GB_2017-04-19-commons.u233	The great problem we face is that the Prime Minister is running on the expectation that there will be no need for any form of coalition with anybody. The Prime Minister has called this general election—
ParlaMint-GB_2017-04-19-commons.u234	Tell us yes or no.
ParlaMint-GB_2017-04-19-commons.u235	In good time The Prime Minister has called this general election to take advantage of what she sees as a clear opportunity for a majority of 100 or more.
ParlaMint-GB_2017-04-19-commons.u236	Yes or no?
ParlaMint-GB_2017-04-19-commons.u237	I have responded to the hon. Gentleman’s intervention. It is very clear that we are not talking about balanced Parliaments. [Interruption.] The Prime Minister takes the view that calling this general election gives her an opportunity to have a 100-seat majority. [Interruption.] She takes the view that this gives her an opportunity to drive through not just a hard Brexit, but her agenda to slim down the national health service, to slim down—[Interruption.]
ParlaMint-GB_2017-04-19-commons.u238	Order. The atmosphere in the Chamber is rather disorderly. The hon. Member for Na h-Eileanan an Iar (Mr MacNeil) is undertaking an apprenticeship to become a statesman, but he has several modules and some years to go. He must calm himself. He is listening to a statesman: Mr Farron.
ParlaMint-GB_2017-04-19-commons.u239	To answer the heckles from my friend of many years, the hon. Member for Glasgow South (Stewart Malcolm McDonald), the reality is that we are not looking at the prospect of a balanced Parliament.
ParlaMint-GB_2017-04-19-commons.u240	Is the answer a yes or a no?
ParlaMint-GB_2017-04-19-commons.u241	I have given the hon. Gentleman his answer. The Prime Minister has clearly called this election on the understanding that she can reap swathes of the Labour numbers and give herself a majority that will allow her to deliver not just—
