ParlaMint-GB_2017-09-13-commons.u1	Object Bill to be read the Third time on Wednesday 11 October.
ParlaMint-GB_2017-09-13-commons.u229	Will the Health Secretary apologise for the current dreadful state? We have thousands and thousands of nurse places, and hospital trusts are having to go as far as the Philippines to recruit student nurses. Student nurses are coming out of university with £56,000 fees. NHS recruitment and retention is in a deep crisis. Will he apologise?
ParlaMint-GB_2017-09-13-commons.u230	What I will not apologise for is the dreadful short staffing on NHS hospital wards that we inherited in 2010, which led directly to the problems of Mid Staffs. Nor will I apologise for sorting that out and making sure that we have 12,000 more nurses on our hospital wards today than we had in 2010.
ParlaMint-GB_2017-09-13-commons.u231	The Secretary of State is repeating words that the Tories have used to excuse their cuts for years but that have not dealt with the deficit, which is still with us. My constituents do not care about that; they care about Eastham walk-in centre, which is closed because of staff shortages. Will he answer this simple question? When will Eastham walk-in centre reopen?
ParlaMint-GB_2017-09-13-commons.u232	What the hon. Lady’s constituents care about is that today we announced the lowest unemployment level since 1975, which is a massive benefit to her constituents. She says that we have been repeating our reasons for this terrible financial discipline, which has been so difficult. I am not someone who says that the entire responsibility for the recession in 2010 is the Labour party’s. I recognise that it was a global crash, but what Labour cannot deny is that the recession we faced here was far, far worse than in other countries. Why is that? What did the Governor of the Bank of England say at the time?
ParlaMint-GB_2017-09-13-commons.u233	Hang on. I think it is important to listen to what the Governor of the Bank of England said. Sir Mervyn King said: “we came into this crisis with fiscal policy along a path that was not…sustainable and a correction was needed.” What was he talking about in 2010? The Government borrowed £1 in every £4 that they spent. The deficit was 10.2%, the highest since records began. The reason that, say, Germany did not have to go through austerity is not because a German equivalent of the Leader of the Opposition was throwing prudence to the wind but because Germany did not allow its public finances to get recklessly out of control, which is what happened under the Labour Government.
ParlaMint-GB_2017-09-13-commons.u234	This is a genuine question. I am a nurse, and I see the situation at first hand. I go to work once a month—I still do bank shifts—and the situation is truly awful. We are so understaffed that it is unbelievable. I looked after 10 patients on my last shift. That is not for the audience; it is the truth. The NHS is in that sort of state. Lincoln’s walk-in centre is threatened with closure. All that is going on. I take the Secretary of State’s point about paying for it, but the Conservative party talks about cutting corporation tax and it is paying the Democratic Unionist party more than £1 billion. While that is happening, he cannot talk to us about austerity and say that we cannot have decent NHS services. I am sorry, but he should listen to what I am saying. The NHS really is in crisis.
ParlaMint-GB_2017-09-13-commons.u235	I thank the hon. Lady for her work in the NHS. I am honoured that we have nurses on both sides of the House who do a fantastic job. I agree that we need more nurses. We needed more nurses when I became Health Secretary—the NHS was planning to lose nurses, and I stopped that—and we still need more nurses. I will explain exactly how we will get those nurses.
ParlaMint-GB_2017-09-13-commons.u236	I will give way to some Conservative Members.
ParlaMint-GB_2017-09-13-commons.u237	Opposition Members are raising concerns about staff shortages and about recruiting staff from overseas. I am sure we all have hospitals serving our constituents that have had to go overseas to recruit. We do not want to see that; we want to see nurses trained in the UK and British nurses. I welcome the fact that the Secretary of State has taken action to remove the cap on nurses in training so that we can train more home-grown nurses.
ParlaMint-GB_2017-09-13-commons.u238	My hon. Friend is right about that, because at the heart of this problem is getting the training of nurses right and making sure we train enough nurses.
ParlaMint-GB_2017-09-13-commons.u239	I thank my right hon. Friend for the huge and strong support he has given to Princess Alexandra hospital in Harlow and to our campaign for a new hospital. I welcome the moves the Government are making on the pay cap and I look forward to announcements in the coming weeks. May I urge him to do even more than the Government are doing on nursing apprenticeships, because they are one key way forward? These apprentices do not have any loans and they can do nursing. Finally, let me make the wider point that one of the best ways of helping lower-paid nurses, and everyone in the public and private sectors, is by continuing to do what the Government are doing by cutting taxes for lower earners and acting through the national living wage.
ParlaMint-GB_2017-09-13-commons.u240	No one in this House has championed lower-paid workers as much as my right hon. Friend does, and he is absolutely right in what he says. I want to talk about the recruitment issues.
ParlaMint-GB_2017-09-13-commons.u241	I am going to make some progress and then I will give way further. I want to talk about the recruitment issues raised by the hon. Member for Hornsey and Wood Green (Catherine West) and others, but I wish to conclude on the point about financial discipline, of which Opposition Members are so critical. The consequences for a Government of losing financial discipline are not just pay freezes and 1% caps, but 1 million people unemployed—as a result of that recession post-2008. Every Labour Government in modern times has left office with unemployment higher than when they arrived. That is why this afternoon’s motion is so bogus, because the difference between the Government and the Opposition is not about a desire to invest in public services; it is about the ability to deliver a strong economy so that we can make that investment.
ParlaMint-GB_2017-09-13-commons.u242	rose—
ParlaMint-GB_2017-09-13-commons.u243	I want to make some progress on the recruitment issues, which a number of hon. Members have raised. The argument we seem to be hearing from the shadow Health Secretary is that Labour’s policies would mean more nurses for the NHS and better care for patients, but nothing is further from the truth. Let us look at Labour’s policies at the last election. What did the independent Institute for Fiscal Studies say then about Labour’s spending plans? It said there was a black hole of up to £29 billion, which made even Gordon Brown look like the paragon of prudence that he never was. How can a black hole like that be filled? There are only two ways of doing it. The first is by raising taxes on ordinary people—this is what the IFS said would be one of the biggest tax increases in the past 30 years, equivalent to a 7% increase in income tax. For a nurse on average earnings, this would be a £1,400 tax hike every year. Alternatively, the hole could be filled by increasing borrowing, but that simply passes on debts to future generations in a con as explicit as the con of telling students before an election that their debt will be waived only to cancel the promise after the election.
ParlaMint-GB_2017-09-13-commons.u244	My right hon. Friend does not even need to cite the IFS to see what things would be like with Labour in charge of the UK NHS—he just needs to look to Wales, where the NHS has been cut by 10% and one in seven people are on the NHS waiting list. That is Labour in action.
ParlaMint-GB_2017-09-13-commons.u245	My hon. Friend is absolutely right about that. The whole problem with the tone of the argument made by the shadow Health Secretary is that he is saying that the difference between the Government and Labour is about our support for public sector workers, but we all agree, in all parts of the House, that they do a fantastic job. I see that in the NHS every week. The difference between us and Labour is about knowing what harms public sector workers the most; it is between ignoring and repeating the mistakes of the 2008 crash, as Labour Members are, and what we think, which is that we need to learn from those mistakes and not repeat them.
ParlaMint-GB_2017-09-13-commons.u246	Does my right hon. Friend agree that Labour was not the only party with an irresponsible policy at the general election on funding health and social care, and that although the Liberal Democrats can muster only one MP to debate this important subject today, their 1p on income tax gimmick would have gone nowhere far enough to funding the properly increased services they promised?
ParlaMint-GB_2017-09-13-commons.u247	I will allow the Liberal Democrats to speak for themselves, but suffice it to say that even one MP is quite a large proportion of the Liberal Democrat parliamentary party and we are grateful that it does have some representation here this afternoon.
ParlaMint-GB_2017-09-13-commons.u248	Will the Health Secretary take a few moments to address the serious issue of staff morale in the NHS? In Northern Ireland, we have no Assembly and, thus, no Health Minister, so there is no mechanism by which to give our nurses any pay increase. He needs to speak to the Secretary of State for Northern Ireland, as a start, and to address the crucial and concerning issue of staff morale, which is affected by low pay and the pay cap.
ParlaMint-GB_2017-09-13-commons.u249	I will happily address those issues in some comments that I am coming on to, but I totally agree with the hon. Lady that this is crucial.
ParlaMint-GB_2017-09-13-commons.u250	I will make some progress now, because I know that lots of people want to speak in this debate The other completely bogus claim we have heard this afternoon is that somehow the financial discipline of pay restraint that we have had to have has been deliberately targeted at ordinary people. Again, that is absolute nonsense, as we see when we look at what has happened. Despite the recession and the pressures on public finance, this Government have taken 4 million of the lowest-paid people out of income tax altogether. At the same time, the top 1% are paying more and the top 20% are paying more, and we have gone further, introducing the national living wage, which since its introduction in April has increased the pay of people at that level of pay by £1,400 per annum. The record overall—this is where we see the most obnoxious untruth spread by the story on austerity—shows that over the past seven years we have seen 600,000 fewer people in absolute poverty and 200,000 fewer children in absolute poverty. Income inequality has reduced to its lowest level for 30 years. Why is it that this apparently evil Tory Government have reduced inequality? It is because we have done what Labour never does, which is grow the economy, with 1 million new businesses, 3 million new jobs and unemployment at its lowest since 1975. Today, youth unemployment is below 5% for the first time and there has been a 40% drop since 2010.
ParlaMint-GB_2017-09-13-commons.u251	I am going to make some progress, because I want to deal with the issue of morale, and then I will give way for a final round of interventions A lot of comments have been made about the NHS being at breaking point, at a tipping point and so on. There is huge pressure on the NHS, but, as has been said by my right hon. Friend the Member for Broxtowe (Anna Soubry), who is no longer present, that is not the whole picture. What the shadow Health Secretary did not say is that 7,000 people are alive today who would not have been had we stayed at the cancer survival rates of just four years ago. We are having probably the biggest expansion of mental health treatment in Europe, and an independent NHS England report says that for most major conditions outcomes have dramatically improved over the past three, five or 10 years.
ParlaMint-GB_2017-09-13-commons.u252	I feel that as the sole Liberal Democrat present it is my duty to intervene. Does the Secretary of State accept, as a principle, that ultimately we cannot sustain the NHS on the back of real-terms cuts to people’s pay within the NHS and that that would be unconscionable year after year? Does he also accept that as the difference between public and private sector pay narrows so much, people will just vote with their feet and leave? Therefore, not only is this morally wrong, but it will not work ultimately.
ParlaMint-GB_2017-09-13-commons.u253	I agree with the right hon. Gentleman that when deciding policy on pay we absolutely have to look at the impact on recruitment and retention, and that if we are going to deal with the pressures of an ageing population in the way that he and I would both want, we are going to need to recruit many more doctors and nurses for the NHS over the years ahead The progress that we have made in the NHS in improving outcomes for patients, despite the huge pressure on the frontline, is possible because of the brilliant staff we have in the NHS. I want to recognise that pay restraint has been extremely challenging, which is why yesterday my right hon. Friend the Chief Secretary to the Treasury announced a new policy, allowing Departments flexibility where there are recruitment and retention issues, and where productivity savings can be found. We will also honour the commitment we made prior to yesterday’s announcement, which was that before we take any decisions we will listen to the independent advice of the pay-review bodies To value staff also means to look at non-pay issues as well. It means we should look at making sure that we are training enough staff, so that when hospitals have the budgets to employ staff, they are there for them to employ; it means we should look at flexible working—on which, frankly, the NHS can do a lot better—if we are to tackle the agency bill that the shadow Health Secretary spoke about; it means we should put in place measures to encourage nurses to return to practice, which is why Health Education England is increasing the number of return-to-practice training places to 1,250 from 2019-20; it means we should look at new support roles for nurses, such as the 2,000 nurse associates who are starting training this year; and it means we should look at new routes into nursing, such as the nurse apprentice route that we are opening this year.
ParlaMint-GB_2017-09-13-commons.u254	rose—
ParlaMint-GB_2017-09-13-commons.u255	rose—
ParlaMint-GB_2017-09-13-commons.u256	I am going to wind up my comments now, because lots of people wish to speak. [Hon. Members: “Oh!”] Okay, the House has persuaded me. I shall give way first to the hon. Member for Hornsey and Wood Green (Catherine West) and then to my hon. Friend the Member for Redditch (Rachel Maclean).
ParlaMint-GB_2017-09-13-commons.u257	I thank the Secretary of State for his generosity in giving way to me twice. Will he look again at the issue of student bursaries? It is such mistake.
ParlaMint-GB_2017-09-13-commons.u258	I assure the hon. Lady that we are making reforms because we want to train more nurses and to fund more nurse training places. There has been a dip in the number of people taking up nurse training places this year, as there was when the higher education reforms were introduced in 2012, but it recovered soon after that and we now see in other parts of higher education record numbers of students from poorer backgrounds going to university.
ParlaMint-GB_2017-09-13-commons.u259	On my right hon. Friend’s earlier point about the recruitment and retention of staff, one problem, which I know from having spoken to the Worcestershire Acute Hospitals NHS Trust and the Alex Hospital in my constituency, is the constant negative messaging the public receive. Members from all parties deeply back NHS workers, appreciate and respect how hard they work, and recognise the challenges. If Opposition Members really care about easing the recruitment and retention crisis, I call on them to join us in talking about some of the good news and the good messages that are coming out of the NHS. Those are the things that get through to the public’s mind and that encourage nurses to join the profession, and that is why we have twice the number of applicants for nursing places this year.
ParlaMint-GB_2017-09-13-commons.u260	My hon. Friend is absolutely right. From some of the debates we have in this House, a person would never know that in July, for the second time running, an independent American think-tank looked at health systems in all the world’s major countries, compared us with the United States, Germany, France, Australia and others, and said that the NHS was top—the best healthcare system of any major country. We have a huge amount to be proud of.
ParlaMint-GB_2017-09-13-commons.u261	I am going to conclude my comments by asking three questions. First, who is the real friend of public sector workers—the party that wrecked the economy, leading to massive cuts, or the party that turned the economy around with 3 million new jobs? Who is the real champion of public services—the party that did not only wreck the public finances but wants to do so all over again, or the party that is restoring discipline to the public finances so that we can start to invest more in our public services? Who is the real friend of the NHS—the party that has delivered more doctors, nurses and funding than ever before in its history, or the party that plays politics with the NHS in election after election, despite doing it so much harm?
ParlaMint-GB_2017-09-13-commons.u262	We have had many debates on the NHS in the House, and as I have said previously, the workforce is one of our biggest challenges, which is why it is so important to get this right. The debate is focused on NHS staff, but we are discussing all public sector workers. We are talking about all workers within the NHS: we must not only consider those at different grades, but not allow a separation between frontline and back-of-house staff. As a surgeon, if I turn up at a clinic and there are no case sheets and the patient has not been informed of their appointment, it is a totally pointless exercise. We need to realise that the NHS is a team, and if we do not look after the team, it will not work Obviously this all started with the crash. I will defend Members further along the Opposition Benches, because I get really bored with the Labour party being given responsibility for the crash. Labour did not have that degree of world domination. It was a world crash. At the time of the crash, it was right to look at public sector pay, because it is a big outlay. The reason given at the time was to avoid redundancies and keep people in their jobs. However, although in Scotland we have had no compulsory redundancies, there have been 20,000 NHS redundancies over the past seven years and more than 40,000 compulsory redundancies among public sector workers. That means that people in England had a pay freeze for three years and then a pay cap, but they still lost colleagues I still work in the NHS and, until the recent campaign, I would have heard comments from nursing colleagues about not money but staffing—people being on shifts and feeling thinly spread, unable to care, anxious about the danger to their patients. I would say that that is the No. 1 concern, but people in England have had a double whammy: they have had the pay freeze and the pay cap, yet they have still had redundancies. From what we read, there could be a lot more to come from the sustainability and transformation plans, and that is just plain wrong In Scotland, we focused what money we had in a different way. The people on less than £21,000 got 3% rises every year, with an absolute minimum in 2010 of £250, which has now risen to £400. If we focused only on percentages, a consultant like me would be sitting on a great pay rise, while the person who is cleaning the bedpans and making the beds would get a pitiful rise, so it is important that more of the money is pushed lower down. In Scotland, we pay the real living wage, not what we Scottish National party Members call the pretendy living wage—the national living wage. A living wage should be a wage on which someone can live. It is as simple as that. Our public sector workers demand no less than that.
ParlaMint-GB_2017-09-13-commons.u263	I appreciate the points the hon. Lady makes. She has creatively reflected on how the Scottish Government have directed resources differently, which is exactly what we and the Northern Ireland Executive want to do with the £1 billion resource. It will allow us to direct resources differently so that we can then address the other critical issues. Does she agree that people who begrudge Northern Ireland’s getting that money are actually begrudging public sector workers their rights?
ParlaMint-GB_2017-09-13-commons.u264	I do not begrudge people in Northern Ireland the money that they have gained from that deal. All that the rest of us are asking for is to have something similar elsewhere. Nurses in Scotland, Wales and England are struggling as much as those in Northern Ireland. To be honest, it is a distraction to keep focusing on that deal. I disapprove of it, but not because people in Northern Ireland are getting a bit more of the help that the rest of us would be glad to receive We had the pay freeze and then the pay cap, but there have even been times when the pay review bodies’ recommendations have not been carried through. That has resulted in a band 5 nurse in England being paid £300 less a year than a band 5 nurse in Scotland. We have pushed the money down the way, so for a healthcare assistant or nursing auxiliary, the difference is more than £1,100 a year. However, it is not just a matter of the people at the bottom. In a way, the people who have experienced the freeze the most are those at the top of their grade who are not getting any more increments and are not changing grades. In actual fact, their pay has not moved for several years, and then it has moved by only 1%. Other people’s pay has gone up by increments, so at least they have seen a change in their pay. Earlier, a Labour Back Bencher was talking about a senior nurse. Such senior staff, who are within 10 years of retiring and who carry the experience of the NHS, are looking at other jobs in which that kind of life experience would be much more highly rewarded, and they are thinking, “Can I even afford to stay in this job if I am to look after my family?” In Scotland and elsewhere, we have tried to tackle this appalling issue of low-paid staff in a caring public service such as the NHS, but now we must realise that, for people higher up the grades, the time is over.
ParlaMint-GB_2017-09-13-commons.u265	Following Audit Scotland’s report, which pointed out that in Scotland one third of NHS staff are over 50; that we have a vacancy rate of more than 4.5% for nurses and just under 7.5% for consultants; and that we have a Government in Scotland who put forward a 1% rise to the pay review body, does the hon. Lady agree that now is the time to say that the cap should go? The cap itself and the attitude towards it is driving people away from the NHS and out of the NHS, and it is doing a great disservice to our population on both sides of the border.
ParlaMint-GB_2017-09-13-commons.u266	If the hon. Gentleman had been following what has been happening in Scotland over the summer, he would know that, following the debate in May, the Cabinet Secretary in Scotland had open discussions with NHS staff side. In June, the Cabinet Secretary for Finance and the Constitution said that our Budget at the end of this year would be looking to get rid of the pay cap. It did not just happen the other week when the programme for Government was announced; it has actually been there all summer. The vacancy rate in Scotland may be 4.5%, but, as the shadow Secretary of State said, it is more than twice that in England. We should be focusing on the fact that nurses and other NHS staff in England are getting almost the rawest deal, which is not right, because they are working just as hard as others.
ParlaMint-GB_2017-09-13-commons.u267	Does my hon. Friend agree that it is also extremely important that, if we are to achieve parity between physical and mental health services, we address this issue, particularly for specialist mental health staff—nurses and allied health professionals—who want to work in the service but for whom the work is just not cost effective, as they then seek employment elsewhere?
ParlaMint-GB_2017-09-13-commons.u268	That was exactly the point I made at the start of my speech. Although the Royal College of Nursing led the campaign and the image has been of nurses, the issue affects everyone. I echo what the hon. Member for Lincoln (Ms Lee) said—[Interruption.] Well, it was the RCN out at the front.
ParlaMint-GB_2017-09-13-commons.u269	Unison were a part of it.
ParlaMint-GB_2017-09-13-commons.u270	Okay—
ParlaMint-GB_2017-09-13-commons.u271	Order. I appreciate that the hon. Member for Lincoln (Ms Lee) is new to the House, but Members do not make interventions while they are sitting down. If you wish to intervene, you must stand up to do it. I have noticed this happening quite a lot. This is not a general discussion, but a debate.
ParlaMint-GB_2017-09-13-commons.u272	It is very important that people recognise the role that everyone plays, but for nurses in particular this is not just a matter of pay. Last year, we spent a lot of time debating changes to working tax credits, which can leave a lone parent nurse very much worse off. We also spent a lot of time debating the imposition of tuition fees and the removal of the nursing bursary. The nursing bursary still exists in Scotland. It is a non-means tested bursary of £6,500, potentially with a caring supplement of £3,500. We know that the average age to take up nursing study is at the end of the 20s, which means that people often have family commitments. Such people will receive approximately £10,000 a year so that, at the end, they will not face what future nurses in England will face, which is a debt of more than £50,000. The repayment on that kicks in immediately, because graduate nurses start at around £22,000, which is over the limit. At the lower end of band 5, that is another £400 a year off. By the time a nurse gets to the top of band 5, it is another £1,000 a year off. They will never manage to pay off that £50,000 to £60,000, which means that their salary will be reduced by that amount throughout their careers.
ParlaMint-GB_2017-09-13-commons.u273	Does the hon. Lady agree that what appears to be happening is that many of the mature students who previously went into nursing often do not want to take on that debt? That means that we are losing people who seek to transfer from other professions, which is really damaging.
ParlaMint-GB_2017-09-13-commons.u274	I totally thank the right hon. Gentleman for his intervention. That is absolutely the case. It has never been a negative—in fact it has always been a benefit—that we have attracted people who were a bit older to the role of student nurse. Perhaps they had another degree or a student loan to pay off, but they always had a bit more life experience under their belt As a very junior doctor in my first year, I remember what it was like when my hours alternated between 132 and 175, and I had no life that did not involve people who were dying or ill or who had been hit by a car. That is very difficult for a person who has just come out of uni, and who is used to going out for a pint and having parties. There is real advantage in training people who may have had a family and who have lived a bit of life. As the right hon. Member for North Norfolk (Norman Lamb) said, there are people who are attracted to nursing but who will not take it up because they will not put their family through it. We have seen that already with a 23% drop in applications.
ParlaMint-GB_2017-09-13-commons.u275	As a fellow NHS consultant, I entirely agreed with the hon. Lady when she said that this was about not just the nurses, but the NHS as a team and the value of the whole package of care. One cannot work effectively without the other. Yes, there is a debt accrued in doing a nursing career, but the Health Secretary has proposed a new technical route into nursing, which will mean that people can get an apprenticeship in nursing, allowing them to work and earn throughout their training. Therefore, nurses will be able to qualify while working and supporting their families without accruing any debt.
ParlaMint-GB_2017-09-13-commons.u276	I welcome the hon. Lady’s intervention. I definitely welcome other routes into nursing. Of course when I was a wee doctor, we had two routes: the enrolled nurse and the degree nurse. That disappeared with Nursing 2000, but we are now coming back to that discussion. I have no problem with that, but we will need degree nurses. We have nurses in very advanced practitioner roles, which means that they require a more academic design—a more balanced and weighing-up-the-evidence kind of approach. It is important that we do not make it that the only route most people can afford to follow is the healthcare assistant route. I welcome it, but I certainly would not like to see people limited by it. The Secretary of State tells us that this is not an issue, because we still have more applicants than places—as yet, according to the universities, the number of places has not expanded by very much—but what we do not know is the talent that exists among that 23%. It may be fine numerically, but if we are excluding people who might have been absolute leaders in the nursing profession and in the NHS then we are the poorer for it We know that 40,000 vacancies need filling, and the pay cap is definitely making it harder to fill them. Brexit is not exactly helping either. Everyone here knows that my other half is a German GP in our NHS who, 15 months on, still has no idea what our rights and opportunities will be. The pay cap is definitely contributing to that problem and it is time for it to go, but it must be funded, or else it will mean a cut in services, which will hurt not just patients, but staff, who will feel that they are damaging the very service in which they work, and they will feel guilty about that. As that service is cut and contracts, their working day and working life will get worse The Government often talk as if spending on public service staff is money wasted. It is as if we cannot afford that money because we need to get the debt down, but in actual fact money that is put out by public sector workers is irrigating the economy—the money is spent. Some of it comes back in income tax—20% of everything all of us spend comes back. Money disappears when it is pushed at the top. It goes into banks and offshore, and is therefore outside our economy. Money that is in our economy encouraging commerce and business is helping us to recover After the tragedies of this summer—from the terrorist attacks to Grenfell—people right across this Chamber have quite rightly praised NHS staff and emergency workers. Now is the time for us to show not just what we think of them, but how we value them.
ParlaMint-GB_2017-09-13-commons.u277	It is a pleasure to follow the hon. Member for Central Ayrshire (Dr Whitford). I pay tribute to her for her work on the Select Committee on Health in the previous Parliament. That work was inevitably full of expertise and always constructive; I thank her for that. I agree with her that the NHS is a team, but that team should also include the wider social care staff because we cannot continue to look at the two systems in isolation. I echo her point, thanking all our NHS and care staff for the contribution they make not just to our wider economy, but—most importantly—to patients. Those are the people we should keep at the heart of this debate I welcome this debate. I also welcome the relaxation of the cap because we need to give the NHS Pay Review Body greater flexibility to make recommendations about what we need to put in place for our NHS staff. I agree with the hon. Member for Central Ayrshire that we should look at the impact of pay on morale, recruitment and retention—this is an international workforce, as well as a national one—but we also need to look at pay across regions and within specialties because there is great variation. We should focus our efforts on ensuring that we are looking at the situation from the patients’ perspective by, for example, looking at the greatest areas of deprivation, which very often have the lowest ratios of NHS and care staff and who are under the greater pressure Seven years of sustained pressure on NHS pay is taking a toll. Nobody anticipated that it would go on for this long, so it is time to relax the cap. We should look not just at the issue of pay, but at the wider pressures within the NHS. I am delighted to announce that the Health Committee, which held its first meeting just before Prime Minister’s Question Time, has agreed that its first inquiry of the Parliament will be on the nursing workforce. We will look not just at pay, but at the wider workforce pressures, including the increased workload that comes from increasing demand across the system, morale and all the other non-pay issues that contribute to the pressures on nurses. We will also look at bursaries and the new routes into nursing, and at their impact on people entering the nursing workforce. We have heard about that already today. For example, we know that those who drop out of nursing courses are more likely to be in the younger age groups, whereas those who go into nursing as mature students are much more likely to stay. We need to look at all those wider impacts.
ParlaMint-GB_2017-09-13-commons.u278	I really welcome the news that the Select Committee is going to do a review of nursing. Will the Committee look into pay structure? The current Agenda for Change structure is being used by some trusts, in hospitals and communities, as a way of downgrading nursing roles. For example, a senior sister in one place may be paid a band 7 salary, whereas someone in the same role somewhere not too far down the road may be paid a band 5 salary. There is inequity in the current system.
ParlaMint-GB_2017-09-13-commons.u279	That is an important point. I very much hope that my hon. Friend will contribute to the Committee’s inquiry. As well as looking at the new routes into nursing, we will look at the skills mix, roles within health and social care more widely, the impact of Brexit and language testing, workload and morale. We will be seeking contributions from hon. Members across the House and from people outside As I said, we will miss something if we just look at the issue as one of pay. Pay restraint is estimated to contribute between £3.3 billion and £3.5 billion of the five year forward view efficiency savings up to 2019-20. If that goes, what will fill the gap? We have to be careful that there is no loss of services or losses in the workforce, because workforce pressures—probably more than any other issue—contribute to nursing staff leaving the profession. We have to look at the bigger picture.
ParlaMint-GB_2017-09-13-commons.u280	I have been a nurse for 40 years, but this is not just about nursing. There are other groups as well, including occupational therapists and physiotherapists, who are also registered professionals. Along with everybody else, they are just as important as nurses.
ParlaMint-GB_2017-09-13-commons.u281	The hon. Lady is absolutely right. Look, for example, at the applications for nursing courses. Even though the number of applicants has gone down, it may not ultimately result in a loss of numbers entering nursing. Some of the applicants from that overall drop in numbers might have gone on to other courses, so we need to look at the bigger picture. In opting to look at the nursing workforce, the Health Committee is not saying in any way that other parts of the workforce are not important. The NHS is a team, but it would be difficult for us to report within a certain timeframe if we looked at the entire workforce. I have no doubt that we will look at other aspects of the workforce over the course of this Parliament. I assure the hon. Lady that we will not lose sight of the bigger picture and I hope that she will contribute to the inquiry We need to look at the big picture regarding the total budget for health and social care. The right hon. Member for North Norfolk (Norman Lamb) has long made this point, and we have both made it clear that it is time for us to take a cross-party approach to sustainable funding for health and social care in the long term. I look forward to working with him on that over the course of this Parliament.
ParlaMint-GB_2017-09-13-commons.u282	I totally agree with the hon. Lady and I am keen to continue working with her. Did she see the Independent Age survey that showed that well over 80% of Members of Parliament on both sides of the House agree that there needs to be a cross-party settlement for the future of the NHS and the care system?
ParlaMint-GB_2017-09-13-commons.u283	I welcome that and I look forward to working with the right hon. Gentleman over the coming months to try to encourage colleagues on both sides of the House, including the Front Benches, to agree to the idea. Next year is the 70th anniversary of the NHS, and I cannot think of anything more constructive we could do than to work across political parties in order to deliver sustainable long-term funding for health and social care I will bring my remarks to a close because I know that many hon. Members wish to speak. I look forward to hearing suggestions from colleagues in the House and outside this place about the points they would like the Health Committee’s inquiry into the nursing workforce to cover.
ParlaMint-GB_2017-09-13-commons.u284	It will be obvious to the House that a great many people wish to speak this afternoon. We have a limited time for this debate, which will probably finish at around 4.30 pm. Therefore, after the next speaker, I will impose an initial time limit of five minutes, which might be reduced further depending on how many people still wish to speak. There will, however, be no time limit on the next speaker as I call Mr Stephen Morgan to make his maiden speech.
