ParlaMint-GB_2017-11-07-lords.u1	To ask Her Majesty’s Government what progress has been made in eliminating Japanese knotweed.
ParlaMint-GB_2017-11-07-lords.u87	It might be helpful if my noble friend on the Front Bench could tell us when we are to have a response to the report by the Select Committee on Charities chaired by the noble Baroness, Lady Pitkeathley, because that would provide a vehicle for the sort of discussion that the noble Lord, Lord Stevenson, is suggesting.
ParlaMint-GB_2017-11-07-lords.u88	Indeed—my final point was to be that we have something waiting in the wings which presumably is the answer and I thank the noble Lord for raising it. That is my main point and there are two minor points around it. The first concerns paragraph 8.6 of the Explanatory Memorandum, which suggests that minor amendments were made as a result of the consultation, which I felt was well handled. Only one is given, which is that this order does not include, “the requirement for charitable companies to have filed their most recent accounts or reports with Companies House before an application is granted” On the other hand, it states: “We will retain the requirement to refuse an application if a charity is in default” This seems to me to be the same thing. Has the Minister any light to throw on it? If a charity has not completed its formal registration, then it will be in default, so I do not know what this adds. I may be misreading it; if so, I will be grateful to be corrected on it Finally, those who have followed my long and extensive career in quizzing statutory instruments will know that I am fixated on dates. The date for the introduction of this does not fall within the common commencement dates. I accept that this does not affect business, so it is not necessarily caught by that, but to choose 1 January, a public holiday, for implementation seems a little perverse and I would be grateful for any comments.
ParlaMint-GB_2017-11-07-lords.u89	My Lords, I thank both noble Lords for their comments. I shall start with my noble friend. Of course we are aware that there will be some work involved in this for the Charity Commission, and we also acknowledge that it has limited resources. That is why we have agreed with the commission a phased approach to implementation. It has been planning for this for a number of years and has IT processes and support systems in place. I remind noble Lords that the Charity Commission received an £8 million investment in 2015 to support its transition into a modern, effective regulator and we believe that it has made very good progress. Work is under way within government to explore future funding options, including bringing the Charity Commission more into line with the model of other regulators. All options regarding the future funding model will be properly considered by the Government and will be subject to public consultation before any changes are made I am grateful to the noble Lord, Lord Stevenson, for his kind words about the preparation of this order, for which I take no credit, but the DCMS team, which does, will be very pleased: I think it is merited. I take his point about the issues more generally about charities. I agree with my noble friend Lord Hodgson that the report by your Lordships’ Committee on Charities, Stronger Charities for a Stronger Society, is awaiting a response. I can say that that will be coming soon, and soon means soon in this case.
ParlaMint-GB_2017-11-07-lords.u90	Soon never means soon.
ParlaMint-GB_2017-11-07-lords.u91	I have spent a long time at this Dispatch Box debating what “soon” means, and “very soon” and “imminent”, but in this case it is soon. My noble friend Lord Hodgson said there are opportunities in that response. I think it will be worth reading. I am sure that in due course the business managers will arrange a debate on the report. My noble friend did not mention, but the noble Lord, Lord Stevenson, did, that he was responsible for the statutory review of the Charities Act 2006. The Law Commission’s report, which was published in September, examined a range of technical changes in charity law, many of which my noble friend posited in his statutory review. We welcome the Law Commission’s report and we will respond formally in due course. I expect, but cannot guarantee, that our response will be positive. The challenge is likely to be securing a legislative slot, which may take some time The noble Lord, Lord Stevenson, asked why we chose 1 January. I can only assume—if I am wrong on this, I will confirm it—that it was because it is the beginning of the new year and we decided that would be a good time. He asked one more, rather technical, question, and I do not have an answer to it. I will certainly write to him As I explained, the order provides a right of appeal for community interest companies. The rest of the package will be laid if the order is agreed to. I commend it to the House.
ParlaMint-GB_2017-11-07-lords.u92	That the draft Order laid before the House on 21 June be approved.
ParlaMint-GB_2017-11-07-lords.u93	My Lords, the statutory instrument tabled for the House’s approval relates to NATO headquarters and units located in the UK. The matters it covers are administrative and legal in nature and best understood in the context of the UK’s support for NATO and the collective defence that benefits us NATO has been the cornerstone of UK defence since its foundation in 1949. Lord Ismay, the first NATO Secretary-General, famously said that the purpose of NATO was, “to keep the Russians out, the Americans in, and the Germans down” Well, America remains committed to NATO, and we are no longer trying to keep the Germans down When NATO was founded, it was understood that defence and security had a price. It still does. The UK remains committed to spending at least 2% of GDP on defence. We encourage those NATO countries that are below the 2% target to increase their defence budgets and aim to meet it On 21 March this year, when this House debated the Armed Forces, I said: “We are doing more to lead and reform NATO; we are intensifying our collaboration with allies and partners in pursuit of our shared objectives”.—[Official Report, 21/3/17; col. 229.] When that debate was taking place, 5th Battalion The Rifles had started moving to Estonia as part of the NATO enhanced forward presence. The Rifles have just handed over to the 1st Battalion The Royal Welsh. The UK framework battalion demonstrates one of the many ways in which this country contributes to NATO. The UK soldiers in Estonia benefit from fitting into a long-established NATO legal framework These legal frameworks underpin—or perhaps, as the noble Lord, Lord Hennessy, could say, are the “hidden wiring” of—NATO. We have the NATO status of forces agreement that was signed in 1951. Related to that is the Partnership for Peace status of forces agreement, signed in 1995. That agreement allows non-NATO countries to participate in selected NATO activities, providing a legal basis for military personnel from one country to be in the territory of another country. Finally, there is the European Union status of forces agreement, which is complementary to the NATO one.
ParlaMint-GB_2017-11-07-lords.u94	My Lords, I am sure the House is grateful to the noble Earl for his very lucid setting out of the statutory provisions that are engaged here. Without the help of the House of Lords Library, I still managed to chart a rather uncertain course through the legislation. I wonder whether it is not now time for a review, or perhaps a revisal, so as to bring together, in one statute, the various provisions to which the noble Earl referred I make no challenge to anything that the noble Earl has said in support of this, although there is one article in the order which he may be in a position to answer some questions about. In Article 5, the immunities which are otherwise conferred are subject to the exception of, “the seizure of any article connected with an offence; or … the seizure of any article under the laws relating to customs or excise” I can understand the purpose behind these exceptions, but I am interested to know—it may not be possible to answer this off the top of the head—just how often these exceptions have been called upon The issue of NATO is one which we debate as part of wider consideration of defence. I wonder whether it is not now necessary to have a full-scale debate on NATO, not least because of the potential consequences which there may be for that organisation as a result of the decision to leave the European Union. The United Kingdom, of course, is not leaving NATO, but it seems to me inevitable that there may be some consequences—political, perhaps, if anything—from that decision As the noble Earl will understand, some have taken the opportunity of the result of the referendum in this country to reopen the argument in favour of a European army. I will say in parenthesis that I have been told by some who voted to leave that they did so because of the possibility of a European army—but of course by the very act of leaving, we have robbed ourselves of the veto which we could undoubtedly have imposed in relation to that. I take the very strong view, fervent remainer though I may be, that the creation of a European army would be wholly inappropriate and have damaging consequences for the defence of the whole of the north Atlantic area, in particular for those countries in Europe that apparently have such enthusiasm for it I did a little research on this. As long ago as 2008, Madeleine Albright, who was then the Secretary of State in the United States, during a discussion about the extent to which there could be a more independent security and defence policy for the European Union, drew attention to what came to be called the three Ds: delinking, discrimination and duplication. Her argument was very strongly in favour of the fact that what was then being proposed could well have the consequence of reducing the essential commitment to NATO, from which we all derive strength and support, by the United States At the Warsaw summit, NATO resolved that there should be much closer co-operation with the European Union, but of course co-operation is rather different from the notion of establishing separate structures, separate command and control and, perhaps most significantly in this context, a separate area of expenditure by European Union countries on defence, thereby taking away expenditure necessary to achieve the 2% target, which was of course established at the summit held at Celtic Manor. I have little doubt whatever about the importance of continuing the argument against a European army I finish by saying that the enhanced forward deployment to which the noble Earl referred is an important illustration of the fact that Baltic countries in particular can look to NATO for the kind of support which they feel it necessary to ask for in the light of what one might describe as the more expansionist attitudes of Mr Putin and Russia. It is no secret that Mr Putin would wish to destabilise NATO. That seems to be the strongest possible argument for its continuance.
ParlaMint-GB_2017-11-07-lords.u95	My Lords, I feel I must apologise to the House because, amazingly enough, I did not come equipped today to discuss Brexit, European armies, NATO in general, the 2% target, Russia, Putin or anybody else. But since we are making general points, I would point out that the Labour Party does support NATO—indeed, we are proud to have actually created it I have taken rather the opposite point of view. Given the constitutional niceties of this House, even to suggest that one is going to oppose an affirmative resolution produces a constitutional crisis that rocks the whole building. Whenever I stand up at the Dispatch Box, it is because I have drawn the short straw because I have the SI to do. I spend some time working out what to do to make it interesting. Sometimes you expose the Government’s poor performance, as we did last night, or point out that the order is not going to work, take a swipe at the primary legislation, ask some clarifying questions or ask that clever question that rocks the Minister back on his heels and sends him scrambling for the Box. On this occasion, however, despite the considerable efforts of my researcher and myself, I have to report that we have no questions and the Opposition are content that the order should be approved.
ParlaMint-GB_2017-11-07-lords.u96	My Lords, I thank the noble Lord, Lord Tunnicliffe, in particular for not asking me any questions. He need make no apology at all for that. I am pleased that he is content with the order, which, as I said in my opening remarks, is essentially legal and administrative in nature I was grateful for the comments and questions from the noble Lord, Lord Campbell of Pittenweem. He expressed his view that collating the legal arrangements that are in place could be to everyone’s benefit. I well understand why he should make that point, but the advice I have had is that consolidation would be quite difficult because there are complex interactions between our international and our domestic law. For that reason, I suspect it would be unlikely to attract parliamentary time. Still, I am sure his point has been registered in the right quarter The noble Lord asked how often the exemption mentioned in paragraph 5 had been relied upon. The advice I have had is that criminal problems with NATO personnel are extremely rare, and therefore the seizure of articles would be similarly rare. It is always beneficial for this House to return to the subject of NATO, which, as we always say, remains the bedrock of our defence in this country. I am sure that if we did set aside time to debate NATO and matters relating to it, though the noble Lord will understand that that is not in my gift, it would attract considerable support from around the House. As he intimated, it is particularly relevant at the moment in the light of our impending departure from the EU The proposal, if that is what it is, for a European army is not one that I or my colleagues sense has generated a great deal of support among European nations generally, particularly not in Germany. However, the subject keeps bubbling up. Our position, in talking to our European colleagues about this country’s future relationship with the common security and defence policy, is to make clear that anything that makes it more difficult for us as a country to continue engaging with the EU after we come out would be retrograde. Our red line here is that there should be no infringement of the Albright principle of duplication; if the EU were in some way to duplicate what we already have in NATO, that would be both unnecessary and damaging. We think that message has hit home, but of course after we leave we will have no direct influence on what the remaining member states decide to do in this area I hope I have covered most of the noble Lord’s points, although one could elaborate at length on many of them. If there is any doubt on the subject, the relationship that the UK continues to have with the United States remains broad, deep and very advanced at every level. The collaboration we have with the US extends across the full spectrum of defence, including intelligence, nuclear co-operation, scientific research and flagship capability programmes. That has continued under President Trump’s Administration. From our many conversations with our American colleagues, we know our shared priorities include the fight against Daesh and the importance of NATO as the bedrock of our collective defence. President Trump, Vice-President Pence and Secretary Mattis have all confirmed the US commitment to NATO If I have omitted to come back on any of the noble Lord’s points, I will of course write to him.
ParlaMint-GB_2017-11-07-lords.u97	That the draft Regulations laid before the House on 12 October be approved.
ParlaMint-GB_2017-11-07-lords.u98	My Lords, I hope that the noble Lord, Lord Tunnicliffe, will be in an equally benign mood when he addresses the regulations in my name The Risk Transformation Regulations 2017 introduce a bespoke regulatory framework for insurance-linked securities business in the UK, announced at Budget 2015. The regulations comprise three main elements. First, they provide for UK regulators to apply a new authorisation and supervisory regime for insurance-linked securities vehicles in the UK. Secondly, they introduce a new type of company to enable multiple insurance-linked securities deals to be managed in a single company. Finally, they set out the rules for the issuance of insurance-linked securities investments so that the interests of protection buyers and investors are protected In an insurance-linked securities transaction, risk is transferred from an insurer or reinsurer to the capital markets. An insurer contracts with an entity specifically established to take on insurance risk. These entities are often known as insurance special purpose vehicles, and are called “transformer vehicles” in the regulations. The insurer transfers a specified risk to the transformer vehicle, paying reinsurance premiums for the risk transferred, and the vehicle then raises collateral to cover that risk by issuing securities to capital market investors. Investors earn income on their securities from the premiums paid by the insurer. Should the insured event take place, the collateral is released to the insurer to compensate them for their loss. If the insured event does not take place, the collateral is returned to investors. Investors are attracted to insurance-linked securities transactions as they offer a return that is uncorrelated to the performance of traditional financial markets Insurance-linked securities are now an important and growing part of the global specialist reinsurance market. As of 2017, more than $90 billion-worth of insurance-linked securities have been issued. By enabling insurers to access alternative sources of capital from the capital markets, this business has brought much-needed additional capacity to parts of the reinsurance market. However, despite the importance of London as a global insurance hub, the rapid growth of the insurance-linked securities market has taken place elsewhere The March 2015 Budget therefore announced that the Treasury, PRA and FCA would work closely with the London market to develop a more effective framework for insurance-linked securities business. The London market established an industry group, the insurance-linked securities task force, and over the past three years, the Treasury, PRA, FCA and insurance-linked securities task force have worked together to design the fit-for-purpose regulations that are before the House today. At its heart, therefore, the insurance-linked securities project aims to ensure that London and the UK maintain their position as a global insurance hub—and I am sure that noble Lords will agree that any attempt to increase the competitiveness of the UK’s financial services offer is welcome The regulations are split into four parts, and they achieve three broad aims. Part 2 implements a new authorisation and supervision regime for insurance-linked securities vehicles, which will be overseen by both the Prudential Regulation Authority and the Financial Conduct Authority. The PRA will be the lead regulator. By providing a robust and efficient framework for the supervision of insurance-linked securities, consistent with requirements set out in EU law, investors and protection buyers that use UK vehicles will benefit from the world-class financial regulation that the UK provides. Part 3 ensures that only sophisticated or institutional investors can be offered insurance-linked securities in the UK. As I explained a moment ago, in an insurance-linked securities deal, when an insured event occurs, investors are liable to lose some or all of their capital. These are complicated financial instruments, and it would be wrong for public retail investors to be able to purchase these investments. That is why the regulations restrict the types of investors who can purchase insurance-linked securities; these investors will often hold investments in a number of different insurance-linked securities vehicles to both diversify their holdings and minimise the risk of losses Part 4 introduces a new form of corporate body called a protected cell company. A protected cell company allows multiple insurance-linked securities deals to be managed in a single company. Each new deal is held in a cell, and the structure of a protected cell company ensures that each deal’s assets and liabilities are ring-fenced from one another. This type of structure is already common in the insurance-linked securities market and allows for a more efficient management of risk than a new vehicle being set up for each individual deal. Protected cell companies will be carefully regulated by the PRA and FCA, with the PRA ensuring that each cell is fully capitalised Unlike conventional reinsurance, insurance-linked securities transactions do not pool risk. Indeed, the regulations require risk to be segregated: the transferred risk of one insurance or reinsurance entity cannot be combined with the risk of any other entity. Nor do these transactions lead to the leveraging or undercapitalisation of risk. They are not a way for insurers or reinsurers to avoid their responsibility of carefully ensuring that their risk is suitably capitalised In insurance-linked securities transactions, the transformer vehicle takes on a specific risk and must hold collateral that is at least equal to the risk that has been transferred to that vehicle. The Bank of England and Financial Services Act 2016, which amended the Financial Services and Markets Act 2000 to provide the enabling powers for the risk transformation regulations, defines risk transformation as the activity of assuming risk from an entity and fully funding exposure to that risk by issuing investments Regulations therefore ensure that each and every insurance-linked securities deal in the UK will hold capital that is at least equal to the risk that it has assumed. There can be no leveraging, pooling or undercapitalisation of risk in these transactions. This will ensure that insurers can rely on the protection they arrange through insurance-linked securities deals. That is an important point to bear in mind, considering the terrible impact of Hurricanes Harvey, Maria and Irma in the US and the Caribbean recently. These hurricanes represent some of the largest loss events that the insurance industry has seen and have tested the insurance-linked securities market’s capacity to respond and pay out on claims To summarise, the regulations before the House today are aimed at improving the competitive position of the UK insurance market by giving insurers and reinsurers a fit-for-purpose regulatory regime for insurance-linked securities. We have heard that insurance-linked securities are a growing market—indeed, 2017 has seen a record issuance of insurance-linked securities, with more than $11 billion issued this year alone. EY has estimated that the market could grow to $224 billion by 2021, and the CEO of Securis, a UK-based insurance-linked securities fund has said that, “the opportunity set for ILS has never been better” It is therefore the right time for the UK to improve its offer in this market. These regulations will be accompanied by new tax regulations that provide for a more competitive and straightforward tax treatment for authorised insurance-linked securities vehicles in the UK. The moves have been welcomed by the industry. I am pleased to say that the London Market Group, which represents London’s insurers and reinsurers, has welcomed this new framework for insurance-linked securities business. I beg to move.
ParlaMint-GB_2017-11-07-lords.u99	My Lords, I thank the Minister very much for his clear explanation of something which I suspect was not his home ground. It is, however, my home ground in some ways. This is an important statutory instrument, and I declare my interests as set out in the register of the House, in particular those in respect of the non-life insurance industry. I very much welcome the instrument, as it will allow London to take a full part in this extremely interesting new reinsurance market. I say a full part because London has been part of issuing and buying insurance-linked securities for some time, we just have not had the apparatus of protected cell companies, an apparatus which exists conveniently in Guernsey and very conveniently, in a market-leading sense, in Bermuda. I should also say that the first issuer in London of such a thing was my company in 2002, so since then, from a standing start, the market has got to the size that the Minister mentioned I very much congratulate the Treasury, which has slaved away for two years with a whole team of people, but I know that the London Market Group has been a particular part of that, and has shown considerable flexibility in changing a mindset, because protected cell companies are a very different structure to those we are used to in this country. It is a big market. I found some notes from when I was sitting on a panel discussing insurance-linked securities in New York in 2011. Then, the worldwide issuance was US$30 billion, and the London Market Group tells me that it is $89 billion—I am pleased to hear that it has grown by $1 billion overnight to $90 billion. The average maturity of the securities is under three years, which means that market issuance is about $30 billion a year, so it is a very big market for those who are going to run PCCs to have a go at There are one or two other benefits for London which were not mentioned in the introduction. First, these securities are listed—obviously, we have two very convenient stock exchanges here, which I hope are hungry for business. Secondly, the money in these structures has to be managed, and we have plenty of fund managers who are happy to do that. Also, being here in the London market will be of benefit because one is very close to innovation. There is a lot of innovation in London. The Caribbean wind storms that have gone through recently need a lot of innovation, because those islands do not have the wherewithal to buy traditional reinsurance—it is too expensive—and this may provide a route. I know that people are working on that. I know that a number of people who are working are assuming that we will approve the regulations, and their great hope is that the first transaction will be done before year end If I had any concerns, and purely to ask the Minister something—I do not really, because I think that we have taken the best of breed from all the PCC structural developments around the world—it would be that I note that the PRA is left with a couple of powers which if incorrectly exercised could lead it to deal damage to the market. The first is the cost of each cell and the costs of regulation. Of course, when you are deciding on the jurisdiction of your special purpose vehicle, cost is key. I hope that the PRA will think about that. Secondly, paragraph 63 enables the PRA to ask for information about each new cell when it arrives. Obviously, it could ask for a tremendous laundry list of stuff. I hope that it will be proportionate in what it does. Can the Minister confirm that the PRA intends to be pragmatic and proportionate in its approach to this new market in the UK?
ParlaMint-GB_2017-11-07-lords.u100	My Lords, I thank the Minister for introducing the order so thoroughly. As he outlined, the Risk Transformation (Tax) Regulations 2017 create the regulatory and supervisory framework for insurance-linked securities. ILSs allow companies to obtain reinsurance protection from a new pool of capital separate from traditional reinsurance, meaning the direct transfer of reinsurance risk to the capital market. The proposed framework is composed of three elements: the corporate structure for insurance special purpose vehicles or ISPVs, called protected cell companies or PCCs; an authorisation procedure for the PRA and the FCA; and the specific tax arrangements for ILSs Before I turn to some specific questions which arose from my reading of the regulations, impact assessment and consultations, I will say something about ILSs in general. The assumption—I use that word deliberately—is that they ought to have little or no correlation with the wider financial markets as their value is linked to non-financial risks such as natural disasters, and therein lies my concern. The Government have made no attempt to conceal the fact that the UK will be venturing into the unknown. Indeed, on the first page of the impact assessment the Treasury states: “London would be the first major financial centre to offer ILS solutions and we think that a major and well trusted financial centre can help grow the global ILS market” This is not a statement of certainty. Given the admission that the UK is breaking new ground, I would have expected the Government to have been keen to assess the impact that the introduction of more risk to the market could have on the financial sector as a whole. An IMF working paper puts it well, stating: “The growth in recent years of Insurance-Linked Securities has widened the exposure of investors (mostly hedge funds and specialist investment vehicles) to insurance risks originated and managed by insurance companies ... But the effect is that catastrophic insurance losses can now be transmitted directly to investors without the cushion of the insurance company's balance sheet” There seems to be an untested assumption, throughout the Government’s proceedings, that there is no correlation between ILSs and economic stability. Am I wrong? Have the Government carried out such risk assessments? If they have, I would be grateful if the Minister could publish them. If not, will he go back to his department and urge it to produce them? It is this lack of inquiry which makes me doubly concerned about the lack of a requirement for a formal review to take place The Government have stated that there are a number of issues they intend to review periodically, including whether protected cell companies could be used for other purposes and the untested authorisation and supervision of ISPVs and MISPVs. How did they arrive at the view that a formal review, perhaps within a year of these regulations coming into force, was not necessary? I suggest that there are plenty of measures which would merit review: the extent to which ILS shares are traded on a secondary market, the usage and impact of PCC gateways and the tax treatment. The noble Lord knows that conventions dictate that we do not test the opinion of the House on such matters, but let that not undermine the importance that I place on these questions I have a few specific points. The first relates to the tax measures. This third component is in separate regulations —the Risk Transformation (Tax) Regulations 2017 — which are not being debated today. Surely it would have made more sense for the two instruments to be debated alongside each other? Can the framework come into force without the tax elements in place? When does the Minister expect this House to debate the tax treatment for ILSs Moving to the insurance mechanisms, a PCC will comprise a core— which is the legal entity—and a number of cells. Will there be a limit to the number of cells each ISPV will be authorised to have? Has the department carried out any analysis on the estimated number of cells each company will run? I ask with particular concerns that an unlimited number of cells would increase the risk of instability in the market, especially if cells are grouped. I understand that this grouping of cells will be allowed in limited circumstances. The Government consulted on how the PRA may impose limitations on how PCCs use these gateways, so as to ensure that cells are used with care and are consistent with the EU Solvency II directive. Will the Minister outline the circumstances in which the PRA would enforce such restrictions My final point is about the Government’s decision, as a result of listening to consultation feedback, to change from a pre to a post-transaction notification period to the PRA for new multi-arrangement insurance special purpose vehicle cells, or any assumption of new risk. Why the change? What objections were raised to what sounds like a perfectly reasonable suggestion? As a result of this shift in approach, the Government have stated that the necessary safeguards are in place. Will the Minister outline what these are? The consultation response goes on to say that, “it will be proportionate for the PRA to give permission to mISPVs to enter into specified kinds of risk transfer deals in the future without the need for further authorisation, provided that those future deals are in accordance with the limitations as set out in the mISPVs permission”. Is it the PRA’s responsibility to monitor whether deals are in line with expectations or is the onus on the company to report it As I have made clear, although we will not vote against this order, I am deeply concerned that the Government are inviting further risk into an already unstable and uncertain market without fully considering the consequences. I hope that the noble Lord can relieve some of my worries in his response.
ParlaMint-GB_2017-11-07-lords.u101	My Lords, I am very grateful to the noble Earl, Lord Kinnoull, and the noble Lord, Tunnicliffe, for their comments on these regulations, the light they have shed on them and the perceptive questions they have raised. I am grateful to the noble Earl for identifying that his company—clearly in the forefront of developing this market—has been dealing with these securities for some time. He made the point that the infrastructure needs improving if we are to capitalise on our strengths, and that developing these vehicles in London means that they can then utilise some of the other strengths of the London capital market, such as fund management. He raised issues about the costs. I understand that the PRA and FCA have both set out the costs of authorising ILS vehicles. The proposed costs are already known to the market and so far the industry has not expressed any concern about them. Indeed, the fact that we are developing a fit-for-purpose regulatory structure has been welcomed The PRA is aware of the concerns about timing and has said that it aims to improve straightforward ILSs within a six to eight-week timeframe. Given that this is a new activity for it, I expect there will be a learning curve. As time progresses, this may be less steep and it may be able to turn applications round more quickly. However, once the initial authorisation of a vehicle has taken place—this is the protected cell company—each ILS deal can then be added, without having to be approved by the PRA, so long as it complies, as the noble Lord, Lord Tunnicliffe, has just said, with the vehicle’s overall business plan. This will allow ILS deals to be conducted at speed within an authorised vehicle On the question of these instruments being listed on the stock exchange, the regulations do not prevent the trading of these instruments on a secondary market. However, as I said when I introduced the regulations, if trading of these instruments is to occur, the secondary marketplace should be accessible only to sophisticated or institutional investors, and this will be regulated by the FCA. We do not want retail investors to be able to purchase these securities as they are clearly unsuitable for retail investment On the important issue raised by the noble Lord, Lord Tunnicliffe, the Government’s view is not that we are entering into the unknown by seeking to attract this business to the UK because, as we heard from the noble Earl, ILS is now a well-established and well-understood industry that has been part of the global reinsurance market for some 25 years. Therefore, the ILS business model and the contribution it makes to increasing capacity is well understood and it is clear that ILS has made a positive contribution to global reinsurance capacity. The ability to conduct ILS business in the UK, or indeed across the EU, is not new. Indeed, under the EU’s Solvency II Directive, the UK is obligated to permit and regulate this business. What is new is the regulatory fit-for-purpose framework we are introducing through these regulations, which will ensure not only that we remain a competitive market but that ILS business is conducted to high prudential standards The noble Lord referred to impact assessments. As he will know, government departments are required to produce impact assessments for any new regulations they seek to introduce. One such assessment was submitted for the Risk Transformation Regulations and cleared by the Regulatory Policy Committee. As ILS is already possible in the UK, the purpose of that impact assessment was to determine whether the new framework would increase costs for business or the regulators. The conclusion, consistent with the objective to make the UK a competitive environment, is that it would not. What is difficult to estimate is how much ILS might be attracted to the UK The noble Lord also raised the important issue of the impact that developing this market might have on overall financial stability. This will not be the case. Unlike conventional reinsurers, ILS transactions do not pool risk, as I explained. Deals must be fully collateralised—the transformer vehicle must raise and hold collateral which is sufficient to meet its reinsurance obligations. These deals are not a way for insurance companies to leverage or hedge their risk or avoid the proper capitalisation of risk that is required under the Solvency II directive, so each risk is in a sense insulated within its own cell. Indeed, I would argue that if these transactions are arranged prudently, they can contribute to financial stability because of the way they are composed. The noble Lord may be interested to know that Hiscox carried out an insurance sector stress test in January of this year which underlined the importance of ILS in providing an alternative source of capital for insurers to draw on in times of crisis The noble Lord addressed the point that I made that this market was not correlated with general financial markets. A range of publicly available studies has looked at this issue, so again, we are not dealing with the unknown. For example, one report published in 2016 by the Chartered Financial Analysts Institute concluded that: “ILS products allocate capital efficiently while providing positive returns for investors—returns that offer true diversification because they are not correlated with returns of the traditional asset classes” The clearest evidence of this view being reliable is the performance of ILS investments during the financial crisis. While financial markets in general were hit by the crisis, ILS instruments continued to perform well The noble Lord asked about the tax regulations. The Risk Transformation (Tax) Regulations, which set out the tax treatment for these vehicles, are made under the Finance Act 2016 and will be considered in another place. I will write to the noble Lord on the question he raised about the timing and why they are not being introduced simultaneously The noble Lord asked about the number of cells that a protected cell company will be able to use. This is not limited by legislation but will be a matter of interest to the PRA, the regulatory body. The PRA will judge what scale of business, including the number of deals, is prudent if individual transformer vehicle applications go down this route. Protected cell companies are designed so that the number of deals should have no impact on the stability of the market as a whole because each cell, as I said, is self-financed The noble Lord may have raised other issues and I apologise if I have not addressed them. He asked if we would keep the regulations under review: I think he put that in a slightly more direct way. The Government will, of course, keep these regulations under review to ensure that they are working for both the consumer and the industry In conclusion, I am grateful to the noble Earl and the noble Lord for their contributions. I will write to pick up the points that I have not dealt with. I commend these regulations to the House.
ParlaMint-GB_2017-11-07-lords.u102	That the draft Order laid before the House on 19 July be approved.
ParlaMint-GB_2017-11-07-lords.u103	My Lords, these statutory instruments improve the valuable legislation that has been put in place to bolster the financial stability of the UK. They are both about methods of payment, from the traditional banknotes that are familiar to us to the newer payment systems The Service Providers to Payment Systems order will enable the Bank of England to supervise service providers to payment systems for financial stability purposes. The UK’s payments infrastructure is the plumbing of our financial system. Every year, our payment systems process around 21 billion transactions, worth over £75 trillion, between businesses and consumers. They underpin almost all commercial activity in the UK and are vital to the day-to-day lives of every member of the public. It is therefore extremely important that they are secure, stable and reliable In 2009, through the Banking Act, the Government gave the Bank of England formal powers of oversight of certain interbank payment systems, with the aim of promoting the robustness and resilience of key UK payment systems. The Act also gave the Treasury powers to specify which interbank systems are to be supervised by the Bank. The Bank’s supervisory powers enable it to directly request information from the operators of the relevant payment systems, and to issue directions or impose regulatory requirements on them where necessary and appropriate. Amendments made via the Digital Economy Act in spring this year extended these powers to enable the Government to specify types of payment systems that are not interbank. These steps have gone a long way towards ensuring the security, stability and reliability of payment systems for the UK. This draft legislation is a further step towards achieving this aim. The proposed SI will enable the Bank of England to supervise service providers to the supervised payment systems. Service providers can include companies that provide infrastructure and technology to the payment systems, the firms that provide the hardware and software to payment systems that enable the transfer of these 21 billion transactions every year. In some cases, these services are critical to the smooth running of the payment systems. Enabling the Bank to have oversight of these service providers will support its supervision of systemically important payment systems This legislation will not automatically bring any service providers into the Bank’s oversight. As with payment systems, the Treasury will specify which service providers to recognised payment systems are to be brought into supervision with an order. HM Treasury will weigh up a number of issues when considering a service provider for supervision. The Treasury is required to consult the Bank of England, the PRA, the FCA and the PSR, notify the service provider and the payment systems to which it provides services and consider any representations made before specifying that service provider for Bank supervision. The Government believe that oversight should be proportionate to the level of risk presented by a firm, and the proposed legislation will give government the tools it needs to address any risk and to further shore up the robustness and resilience of the UK’s payments infrastructure The second SI moves the authority to issue banknotes in Scotland from one legal entity within the Royal Bank of Scotland group to another. This change is necessary due to the structural changes RBS is making to implement ring-fencing. The UK is unique in that certain banks in Scotland and Northern Ireland are authorised under the Banking Act 2009 to issue their own commercial banknotes alongside the Bank of England. Currently, four Scottish banks and three Northern Irish banks have this authority. These seven banks are proud of their authority to issue banknotes, and the Government are keen to support them Due to the ring-fencing legislation put in place after the financial crisis, from 1 January 2019 our ring-fencing regime will require structural separation of core retail banking from investment banking for UK banks with retail deposits of more than £25 billion. As a result of this, RBS is separating its retail bank from the rest of its banking group. The legal entity that currently has the responsibility for issuing banknotes will sit outside the retail part of the bank after separation. RBS believes that banknote issuance best sits within the retail bank, the Bank of England agrees—and so, less importantly, do I This change moves the authority to issue banknotes in Scotland from the non-retail legal entity to the legal entity that will shortly become the RBS retail bank. Authority to issue banknotes is inherent to a specific legal entity and cannot be moved from one legal entity to another without making these changes. These changes will not impact RBS’s ability to issue banknotes or the value of the banknotes already issued. It is purely a technical change required to implement ring-fencing legislation. The Bank of England and the Financial Conduct Authority both approve of this action. I beg to move.
