ParlaMint-GB_2017-04-06-lords.u1	To ask Her Majesty’s Government what steps they are taking to curb the use of tax havens.
ParlaMint-GB_2017-04-06-lords.u95	My Lords, it is such a pleasure to follow the noble Lord, Lord Davies of Stamford, because I agree with every word that he has spoken I commend the European Union Committee for its hard work in producing the report. However, it is unfortunate that it has been seized upon by the Brexiteers, who have affirmed that the United Kingdom could flounce out of the negotiations without a deal and avoid any obligations or commitments which had been incurred. “We don’t have to pay a penny”, trumpeted the Daily Mail I have read the evidence given to the committee by the three legal experts, who were not agreed. Because they were not agreed, the opinion of the legal adviser, Mr Harvey, was sought. No one is an expert in this field, because Article 50 has never before been tested. I find his opinion tortuous and I cannot agree with his view on the effect on our liabilities to the EU should no deal be forthcoming. His view is reflected in paragraph 133 of the report in these terms: “The rule in Article 70(1)(b) of the Vienna Convention only applies to withdrawal from a treaty which does not have its own withdrawal procedures” Then it says in brackets, “(‘unless the treaty otherwise provides’).” The report continues: “Manifestly, the TEU does, in the form of Article 50. Article 50 therefore takes precedence over Article 70(1)(b) of the Vienna Convention” I quite fail to understand what that paragraph means Paragraph 2 of Article 70 states, “a State … withdraws from a multilateral treaty, paragraph 1 applies in the relations between that State and each of the other parties to the treaty” Paragraph 1 deals with the rights, obligations and legal situation of the parties prior to the termination. That is what it is about. It says that, “Unless the treaty otherwise provides”, those rights and liabilities are not affected. It is very simple and plain language. As the noble Lord has pointed out, Article 50 does not otherwise provide—it is quite silent on the existing rights and obligations at the date of withdrawal from the treaty. It follows that any other state that is a party to the treaty can enforce those rights and obligations in law. That is the legal side On the practical side, we are about to have placed before us the great repeal Bill, which is to take the whole of the acquis communautaire into domestic law—to make EU law domestic law. If the United Kingdom were sued for a money sum, would we actually raise a defence that these obligations arose only under EU law, which we have just taken and made part of our own domestic law? Would we deny the jurisdiction of our own High Court of Justice? If we did that, would we then refuse arbitration where, by agreement, any questions of international law could be determined? Would we force another state to raise an issue in the International Court of Justice and spend years locked in conflict with Europe, simply ignoring the rights of other states in Europe that would obviously be affected by our position The view that our rights and obligations would come to an end the moment we fall out of the EU would have strange results. For example, money has already been allocated to Wales from the European structural funds to improve the port facilities at Holyhead. Let us assume that the money is paid upfront. The First Minister of Wales might consider, “Should we spend this money on Holyhead, or wouldn’t it be rather nicer to spend it on a marina in Cardiff Bay? We might attract Sir Philip Green and yachts of that sort and improve the character of the place where we work. We have no obligations to the EU: they have given us the money; we do not have to pay it back, and can use it as we like. They cannot sue us”. That would be nonsense, would it not Assets are another important issue. I happen to have been a member of the Reform Club for some 45 years, which is about one-quarter of the time that that distinguished club has been in existence—I stayed there last night, as it happens. If I were to cease to be a member tomorrow, I would not go to the secretary or the trustees and say, “Look, I have paid my subscription for 45 years and think I am entitled to a share of the value of this club. I demand my part of it”. That would be nonsense. But at the same time, I would not expect to have to contribute to the liabilities for the pensions of the staff. We did not form the European Union; we became a party to it. We came late to the feast, although many of us were campaigning to become members long before 1972. We were members of a club, and we cannot say that we are entitled to a portion of its facilities wherever they may happen to be This country has entered into commitments. The multiannual financial framework for 2014-20 was negotiated and agreed in 2013. There was a problem at that time because the European Parliament was concerned that countries were not paying their dues. There were shortfalls which jeopardised projects such as the Erasmus programme and the Social Fund, which ran out of funds in 2013, and it was said that those countries had to pay up during that year. Since we negotiated and became a party to that multiannual financial framework, the annual budgets of the EU have been calculated on the basis that the agreed funding in the MFF was available to carry out those programmes commenced before 2020 within the budget We are currently in the period of the 2017 budget, which committed members of the EU to contribute €157 billion, out of which payments of €134 billion would be made. I take it—I ask the question directly of the Minister—that, notwithstanding Brexit, the United Kingdom is engaged in the discussions and negotiations for the 2018 budget within the MFF. I assume further that we will still be a party to the discussions on what the MFF 2019 and 2020 budgets will be. We must continue to participate I am concerned from a Welsh point of view, obviously, because Wales is a net recipient of EU funding. It receives funds from the European Agricultural Guarantee Fund, the European Regional Development Fund and the European Social Fund. Indeed, some 60 projects have already been approved, with liabilities that organisations have taken on and put into their programmes which will extend way beyond 2020. Surely those liabilities will have to be met from funds from this country. It is true that the Treasury has issued a guarantee that these matters will be paid up until 2020, but what happens after then when the programmes run on The problems that the report highlights and makes it necessary to discuss are complex and difficult. However, we must properly address them and not get involved in the suggestion that we can just walk away from Europe, hold our noses and not have anything more to do with it.
ParlaMint-GB_2017-04-06-lords.u96	My Lords, the members of the sub-committee which produced this report have perhaps been blowing their own trumpets. However, in this case we are justified in doing so because, under the skilful chairmanship of the noble Baroness, Lady Falkner, this report is a good example of the service which your Lordships’ House can perform for Parliament and the country as a whole As the exposition of the noble Baroness, Lady Falkner, made clear, the report covers two principal aspects. First, it describes and seeks to quantify the elements of the EU’s budgeting arrangements which may contribute to a claim on the UK for a payment or payments from the UK after we leave the EU. Secondly, it seeks to establish the legal position of the UK’s liability for such payments. Those legal aspects were discussed in the contributions of the noble Lords, Lord Davies of Stamford and Lord Thomas of Gresford, and I am not going to dwell on them It is fair to say that it surprised Members of the Committee —it certainly surprised me—to hear the legal advice that, in the absence of an agreement, the EU will have no means of enforcing any financial liability against the United Kingdom. I note that if the advice is correct, however, the phrase “a divorce settlement” is misleading. In a divorce a court determines the liabilities of the parties and has the means to enforce that determination. In this case the legal advice is that in the absence of an agreement to the contrary, the jurisdiction of the ECJ ends on our departure. Again, I do not want to dwell on the legal aspects. I have used the phrase, as have others, “in the absence of an agreement”, and I emphasise it. Of course we want an agreement. We have much to gain by getting one and a great deal to lose by not doing so. It is important to note, as the noble Lord, Lord De Mauley, said, that in the aspect of finance it is the EU which will lose in the absence of an agreement. Since the UK’s gross contribution is currently one-eighth of the EU’s annual budget, there is much at stake here, so no wonder it wants to make progress on this issue before discussing the other aspects of our future relationship Both sides should want a reasonable agreement on this issue. What should a reasonable agreement look like from the UK’s point of view? The Government have said, I believe rightly, that the UK would, “continue to honour our international commitments and follow international law” The Chancellor of the Exchequer has said something similar about meeting our obligations. Monsieur Barnier is quoted today as emphasising the importance of an agreement to the EU, although he has quoted an exit payment approaching a figure of £60 billion. The report seeks to identify and discuss the main elements, and like the noble Lord, Lord Thomas of Gresford, I should like to take them in turn First, as the noble Lord, Lord Thomas, pointed out, the UK will be leaving the EU some 19 months before the end of the current multiannual financial framework. That framework sets a ceiling on the EU’s expenditure. It is not a commitment to expenditure. The UK was a party to it but it does not commit us to spending up to the ceiling which we agreed in that negotiation. If the UK’s gross budget contribution of 12.5% ends in March 2019 it will leave a big hole in the EU’s spending plans, and if instead of ending its contribution on departure the United Kingdom were to continue its budget contribution until the end of the current period of the framework, the committee calculates that that might cost the UK some £15 billion. But as I have pointed out, the MFF sets a ceiling; it is not a commitment to spend, and here I differ from the noble Lord, Lord Thomas The commitment to spend is set by the annual budget—
ParlaMint-GB_2017-04-06-lords.u97	My Lords, with respect, I suggested not that we were committed to pay under the multiannual financial framework, but that we are committed to spend on the budgets which rely on the MFF in order to come to a conclusion of what can be spent.
ParlaMint-GB_2017-04-06-lords.u98	I accept that but the point is, as the noble Lord has said, that the budgets for the periods after we leave have not yet been set so we are not committed to them. The annual budget for 2019 and 2020 has not been set, so I regard any claim on the UK in respect of those years as weak. As paragraph 46 of the report points out, this view seems to be shared by the German Finance Minister, Wolfgang Schäuble, who has said that it will be necessary to negotiate a new MFF on the assumption that the UK contribution ceases in 2019—when we depart from the EU. Continuation of the UK’s payment under a multilateral financial framework that continues after we have left is not in fairness a strong claim on the UK The second element of a possible EU claim is the commitments made in budgets to which the UK has been a party, which will remain to be paid after March 2019—the so-called reste à liquider, or remainder to be liquidated. Like others, I regard this claim as stronger. There is probably no legal obligation to make these payments after the UK has left the EU, but it may be argued that there is a moral obligation since the commitments were entered upon and budgeted for while the UK was a member The EU estimate of the commitments that will be outstanding at the end of 2020 is £254 billion. We do not have an estimate for the outstanding commitments at the end of March 2019, but since commitments contracted for but not paid tend to diminish as the MFF wears on, the figure at the end of March 2019 for outstanding commitments may be higher. However, as has been pointed out, some of these may never materialise. Moreover, some commitments are to the UK itself. These should be netted off, after which the UK share of commitments to other partners is unlikely to amount to more than £10 billion. If the UK were to agree to meet these it would be sensible to do so not in a lump sum but over the next few years as the commitments materialise It is right to add that the respected Brussels think tank the Bruegel Institute produces a much larger figure for commitment outstanding, including a large element under the heading, “significant legal commitments”. These are commitments pledged in legal terms but not yet budgeted for. Since they are expected to be budgeted only over a long period, they are not included in the EU’s balance sheet nor in the reste à liquider. In this case it seems difficult to argue that the UK has any liability for these unbudgeted items after leaving the EU Thirdly, there is the possibility of a claim based on pension liabilities for past or present employees of the EU or its institutions. Here I agree with the noble Lord, Lord Thomas of Gresford, that this is a weak basis for a claim. UK nationals constitute some 4% of EU staff at present and have never been more than 8%. The Commission currently estimates its actuarial liability for future pensions at €63.8 billion. However, pensions are paid out of each year’s budget. Employees make a one-third contribution to them. Like the noble Lord’s, my view is that, on leaving the EU, the UK has no greater liability to contribute to the annual pension bill that someone leaving a club would have to contribute to the pensions of past and present employees. The nationality of these employees is immaterial. Even if the UK were to make an exit contribution based on the proportion of UK nationals employed, and if the EU’s calculation of a total actuarial ability of €63.8 billion is right—the Bruegel Institute puts it much lower than that—it would not amount to more than a handful of billion euros.
ParlaMint-GB_2017-04-06-lords.u99	Does the noble Lord agree that there are two quite separate issues here? One is potential liability for pensions to be paid—there, I rather agree with the noble Lord’s assessment. The second issue, which is quite specific to this instance of a country leaving the European Union, is the effect on British national employees of the European institutions, who will lose their jobs because it is a condition of their employment that they are a citizen of an EU member state. They will cease to be on the day on which we leave the European Union. They will therefore be fired and have to be given redundancy payments. Do we not have the moral responsibility of making sure that those payments are made? We cannot expect our partners to pay those sums of money, and we certainly cannot expect those employees who are fired for no better reason than their nationality not to receive proper compensation.
ParlaMint-GB_2017-04-06-lords.u100	With respect, I do not take that view. These are employees of the EU and its institutions. If they are fired for whatever reason, their redundancy payment and severance terms will be determined by their contract and negotiation with the EU and the EU institutions. That does not seem to me a matter for which the UK has a liability I again agree with the noble Lord, Lord Thomas, about the other side of the balance sheet—namely, the EU’s assets. I shall not discuss those in any detail, because I doubt whether the EU would agree to distribution of these to a country departing from the EU any more than it would require a contribution as an entry fee from a country acceding. One exception to that is the UK’s stake in the European Investment Bank which, if it has to be surrendered, could be worth anything from €3.5 billion to €10 billion to the UK Unless there are other elements of a claim for an exit payment which neither the EU Committee nor others have thought of, it seems clear to me that any reasonable claim that can be made will not amount to anything like the €60 billion figure attributed to M. Barnier and his team. It follows that, leaving aside the legal aspects, UK negotiators do not have a great deal to fear from a negotiation on this subject. In a reasonable world, it should be possible to make sufficient progress to open the way to negotiations on a future trade relationship There is one final piece of advice that I would give—again, this point was made by the noble Lord, Lord Thomas. By all means, let us seek to reach agreement on the principles of an exit payment and a future financial relationship, but it would be unwise to agree the details, the actual figure, until the principles of a trade relationship are also agreed. This is an area where, whatever the sequence of the negotiations, nothing should be agreed until everything is agreed.
ParlaMint-GB_2017-04-06-lords.u101	My Lords, I am delighted to follow my noble friend Lord Butler. I am even more delighted that, unlike him, I will address the vexed legal issue, because that avoids a situation in which we might disagree, which we seldom do I should begin by declaring an interest: over many years of my professional career, I struggled with the intricacies of the EU budget: during our own accession negotiations in 1970-72, when this issue was at their heart, and then during the late Lady Thatcher’s five-year- long battle to secure and entrench a two-thirds rebate on our net contribution—that was from 1979 to 1984, when I was her principal Foreign and Commonwealth Office adviser. In the negotiations of what was subsequently called the Delors package, in 1987-88, when for the first time an overall framework for EU spending priorities and policies began to take shape, I was the permanent representative to the European Union. So I bear the scars of these endeavours and I did acquire, I think, some familiarity with the subject of the report we are debating today The report before the House is a valuable one, in my view, and I congratulate the noble Baroness, Lady Falkner, on having chaired the committee during its production. It has much useful material and detail about the issues that will confront our negotiators during the negotiations that are about to take place. For the most part, with one exception which I will return to in a minute, I have no hesitation in endorsing it as a genuinely useful background brief on a subject that will inevitably come up before this House again and again as these negotiations progress What lessons do I draw from my experience negotiating on budgetary matters in the European Union? First, I suggest that you should never think that you know enough about this subject to allow you to make sweeping assertions about it in advance. Just do not do that. If you do, all too often a black hole will open under your feet as soon as you have done it and you will have to revise everything you have said. When I heard a former Minister of the Crown—a Minister who was actually responsible for the largest spending department in the UK, Mr Iain Duncan Smith—musing that perhaps the European Union would end up owing us money, I could barely avoid grimacing at his woeful ignorance Secondly, do not establish in advance, and do not let anyone know, what overall figure you might settle for. Lady Thatcher never did that and she was right not to. You must retain a degree of flexibility. Then, never say that no deal is better than a bad deal. Lady Thatcher also never said that. I had hoped that the Government had stopped saying it when it went missing from the letter to Donald Tusk, but, alas, it then popped up within a week in the White Paper on the repeal Bill. If you want the other side to move their figures, they have to believe that if they do so, you might strike a deal with them. If you start saying that you are not going to strike a deal with them, they will not move It follows from what I have just said that I believe that the Commission has already made one fundamental and egregious error by allowing an unsubstantiated figure of €60 billion to slip into the public domain. I believe that it will come to regret it, because that will not be the outcome, but also because the only way to reach any agreed settlement is for both parties to the negotiations to work their way, painfully and painstakingly, through the detailed components of any overall figure. That is the work of the coming months; it cannot be done in advance, unilaterally, by one of the parties to the negotiations. Now for my beef, which is paragraph 135 of the report. I do not believe that the committee should have accepted so uncritically and endorsed the legal opinion that in the absence of any deal the United Kingdom would have no financial obligations to the European Union. To put it mildly, that is only one legal opinion among many. It could only be settled in a court of law and it would be exceptionally unwise, in my view, if the Government went down that road, because the collateral damage to the United Kingdom from doing so—economic damage, trade damage and political damage—would be massive. That is, no doubt, why the Government are so coy about telling us what the consequences of leaving without a deal might possibly be. Unfortunately, this conclusion—the one in the report about the legal liability—is all too likely to encourage those of the Government’s supporters who are, in any case, showing many signs of wishing to leave without a deal to believe that they have a “get out of jail free” card. They do not; this would be a “get out of jail very expensively” card. I am glad that the Government show no signs of being tempted to go down that road. The Tusk letter certainly implied that they do not wish to do so We in this House surely need to ensure that that distinctly contentious and dubious legal opinion is not available to be hung around the neck of the Government, like the dead albatross around the neck of the Ancient Mariner, when the Government return one day, as we must hope they will, with an agreement for us to consider and approve. How it can best be done that the House does not continue to support that legal opinion I leave to the noble Baroness, Lady Falkner, who may perhaps take a shot at it—she tiptoed up to it in her introduction—when she replies at the end of this debate. I do not believe that we should either credit it or allow it to stand.
ParlaMint-GB_2017-04-06-lords.u102	My Lords, I, too, thank the noble Baroness, Lady Falkner, for introducing the report. In so doing, I should record my appreciation for the engaged and effective style with which she chairs the committee and chaired all our witnesses. I will also take this opportunity to thank the clerks, the policy adviser and our support team We have heard that the report looks at the financial issues that will have to be addressed in the negotiations when seeking a Brexit settlement. In particular, as has been explained, the report seeks to explore the certainties and uncertainties that attach to those issues, and how they might be addressed and calculated Before I look at one area of uncertainty, I should remind noble Lords that there is a fundamental question which it would sensible for the UK and EU negotiating teams to consider before detailed discussions begin. After the contribution from the noble Lord, Lord Thomas of Gresford, it could perhaps be called the Reform Club question. The question is well articulated in the title of the recent publication by the Bruegel think tank, to which the noble Lord, Lord Butler, referred: Divorce Settlement or Leaving the Club? A Breakdown of the Brexit Bill. At the beginning of its text, the report expands on that question as follows: “The key question is whether one considers Brexit to be a cancellation of a club membership or a divorce. In the former case, the UK would have no claims on any EU assets but would still need to pay its outstanding membership fees. In the latter case, both assets and liabilities would have to be split” Every pronouncement from leading EC and EU figures since last June’s referendum suggests that they have been determined from the outset to see the Brexit negotiation as a divorce settlement. Their focus appears, from their public utterances, to have been on what share the UK owes in terms of EU liabilities. For whatever reason, they appear to have given no consideration to the possibility that treating the Brexit negotiation more as the cancellation of a club membership than a divorce settlement might avoid many months—possibly years—of detailed wrangling over the complications that come with striking an agreement on the UK’s share of the EU’s assets and liabilities It might be a better direction of travel for both the UK and the EU to see this as a cancellation of a club membership—or it might not, but at the very least the option should be considered, in case it has merits and serves both parties’ interests. I would be interested to hear from my noble friend whether Ministers accept that the Brexit settlement will be treated as a divorce settlement or whether alternative approaches could be on the table One of the complications that our report considers, which has already been referred to in this debate, is in respect of pensions and how the UK’s share of pension liabilities might be calculated and allocated. As we heard from the noble Lord, Lord Butler, in the EU’s 2015 annual accounts, accrued pension liabilities were shown at a capitalised figure of €63.8 billion. This raises two key questions: first, is the UK under a legal obligation to make a contribution towards those long-term pension liabilities; and, secondly, if it is, how should the UK’s share of this €63.8 billion be calculated A number of our witnesses appeared to be very confident that it is an unavoidable and enforceable obligation on the UK that we will have to meet. Their focus was on the different ways in which the UK’s contribution should be calculated. A range of propositions was suggested to us: for instance, that it should be based on the UK’s contribution to the EU budget, either with or without the UK rebate being taken into account; or that it should be based on the past and present numbers of UK nationals employed in EU institutions; or that it should be based on the proportion of those in receipt of an EU pension who are UK nationals; or that it should be based on the UK’s share of the EU population. In other words, among all those witnesses who agreed that there was a binding obligation on the UK to make a contribution to accrued pension liabilities, there was no agreement on the right methodology to calculate that contribution Beyond that, there were also differing views on how EU enlargement over the years of the UK’s membership could be overlain on some of those methodologies, and there were queries about the actuarial and accrual accounting methods that had been used to calculate the €63.8 billion capitalisation of the long-term pension commitments. Other witnesses challenged the assumption that the UK is legally liable for a share of accrued pension liabilities, especially those liabilities not falling due until after the date when the UK ceases to be a member of the EU. They also offered us a range of propositions to support that view. For instance, it was pointed out that pension liabilities, unlike other member state budgetary liabilities, relate to rights that are accrued by individuals through their service in European institutions; that the nationality of employees or pensioners is irrelevant; and that the legal responsibility for meeting those pension entitlements clearly rests, in the first instance, with the employing European institutions and thereafter with the EU, with member states acting as guarantors—but a member state cannot be retrospectively liable as a guarantor after it has ceased to be a member state. We also heard that the UK might claim that it had overcontributed to EU pensions over the years of its membership From the conflicting views and evidence that the committee received, it is difficult to conclude that the UK is subject to a clear-cut and unarguable legal obligation to make a contribution either towards accrued long-term pension liabilities as part of a Brexit divorce settlement or to any continuing enforceable post-Brexit liability for accrued pension entitlements thereafter It was put to us that, regardless of any uncertainties around the legal position, the UK is none the less under a moral obligation on both counts. Once again, the evidence we heard was conflicting and suggests that this may be one of those moral obligations that is in the eye of the beholder, compelling to some but unseen by others. In other words, if the UK is subject to a moral obligation, like the legal position it is not clear-cut However, regardless of the differences of opinion on whether or not a solid legal or moral obligation exists, there was perhaps a greater consensus around the view that the UK will very likely be under a strong political obligation to address expectations around EU pensions. If, as we have heard, the UK wants a Brexit deal that achieves a new strategic partnership, beneficial trade arrangements, future UK participation in EU programmes and, as my right honourable friend the Prime Minister said and the noble Baroness, Lady Falkner, quoted, “a new deep and special partnership”, it is difficult to contemplate those objectives being achieved without the UK being prepared to come to some agreement with the EU on pension liabilities At the same time, if the obligation to reach a deal on pensions is largely political and the Brexit negotiations descend into territory that either could be called a bad deal or that raises the prospect of no deal, the UK may indeed be able to disregard the need to reach that agreement on pensions and to avoid any gesture or contribution towards long-term liabilities The EU negotiators may disagree with that scenario and claim that they have both the law on their side and access to the jurisdiction and enforcement processes post Brexit that will enable them to compel the UK to honour its share of accrued pension liabilities. They may be right—but, on the balance of the evidence taken by the committee, there have to be doubts about whether such confidence would be well founded. This leads me to offer the following conclusions, which are very much in line with what the noble Baroness, Lady Falkner, said in introducing this debate and the comments of the noble Lord, Lord Butler, about the sense of a reasonable agreement being reached and the benefits that will accrue to both sides of the negotiation. If the UK wants a good Brexit deal, it must be ready to contribute to the EU’s pension liabilities, regardless of the fact that the UK may not be under a legal or moral obligation to do so. Equally, if the EU wants the UK to contribute to the EU’s accrued pension liabilities, the EU must be ready to address what the UK is seeking from the rest of the Brexit negotiations. If both parties approach the negotiations with that mindset, I do not see pensions necessarily holding up the Brexit discussions There is one other way to avoid pensions becoming a time-consuming blockage in the negotiations—and this goes back to the Reform Club question. It is to treat pensions within the negotiations as being a resignation of membership issue rather than a divorce settlement issue.
ParlaMint-GB_2017-04-06-lords.u103	My Lords, I too pay tribute to my noble friend Lady Falkner of Margravine for her leadership and the way in which she has conducted the committee while she has served as our chairman. As she has indicated in her generous comments to me, this is my last contribution as a member of the European Union Financial Affairs Sub-Committee prior to my being rotated off for further service elsewhere. It has been thoroughly brain-taxing work but I have come to the conclusion that perhaps I will miss the weekly thick brown envelope arriving each Saturday morning. Twenty-seven days after the referendum, the sub-committee met and decided to have two inquiries, one into Brexit and financial services and the other on this subject, Brexit and the EU budget. The first one was debated on the last day before the Christmas Recess, and here we are debating this topic on the last day before the Easter Recess. I have a feeling that the business managers take the view that if there are difficult areas with lots of numbers, they should table them on the last day I tend to the view that these occasions are not for the members of the sub-committees to speak but for others to speak, and it is not for us to puff up the work. However, on this particular report perhaps it is right for us to speak on this occasion. Four members of the sub-committee have spoken so far and the noble Lord, Lord Haskins, is yet to come. I will try not to repeat too much of what has been said The first point is that the EU budget is very complicated. We have looked at the income side and tried to understand it. Three-quarters of the income is based on the gross national income of member states, along with money from customs duties, VAT rebates and corrections. The expenditure side is based on a seven-yearly financial spending plan, the multiannual financial framework, enhanced by an annual budget as amended several times during the course of the year One area that we have been trying to get to grips with is where on Brexit the UK’s financial responsibilities would stop, on the basis of a departure in two years’ time. How does that fit with a seven-year budget? Here we are in the seven-year period 2014-20. Certainly before our departure there will be talk of the budget for 2021-27. We have heard about the RAL, which is yet to be paid—in other words, promises. It is committed in 2014-20 but to be paid later, with some of it perhaps coming to the UK. We have even been told that it may be several years beyond 2020 before some of it is actually spent The noble Earl, Lord Lindsay, has spoken about pensions. We have discussed that, including the question of whether we are talking about proportions of pensions or entire pensions, and the issue of UK pensioners. We have looked at the share of assets, cash and property loans and what the percentage is that one would put to the UK. I am interested in the Reform Club analogy. I also wonder about the analogy of the building societies, where the clock stopped and the people who were members ran at that point. And what about the inherited wealth of those who started this work in the middle of the century before last? We also looked at the European Investment Bank It was trying to tease out what the UK’s liabilities are and seeking legal opinions that led us to what seems to be a very surprising position—or was it in fact surprising that there was this “walk away” option because a deal could not be enforced? We took legal opinion. Three lawyers came before us and then we sought our own legal advice from the legal adviser to our committee here in the House of Lords, which is printed in full. All that evidence was taken on the public record, and other distinguished lawyers who saw that could have come rushing to our committee and said, “We want to give some evidence to you because we think differently”. I do not think that happened. That is what we found, and we would have been criticised if we had said, “We will ignore all that because it doesn’t seem right”. So it is there, it is in the evidence; it had to be The one thing I conclude is that Brexit or any other exit was not meant to happen. That is why we are in the pickle that we are. Is it any surprise that no deal is a possibility? No, because unless Article 50 had a substantial annexe detailing how an agreement could be formulated and would be enforceable, how could it be otherwise? With due deference to my noble friend Lord Thomas, Article 50 contains no reference to lawyers or courts. That is amazing, but that is what the document says. As I said, I do not believe it was meant to happen Hence, perhaps, Mrs May’s position. On the one hand, she says that she wants a smooth, orderly exit from the EU, but on the other that no deal is better than a bad deal. What is a bad deal in those circumstances? I suspect that she means an expensive one. I do not know, but what other definition would there be? I conclude that no deal and walk away is the bad deal, because to walk away means that the UK could not hold its head high in the international community, nor would it be trusted to honour international agreements ever again. That seems to me a perilous journey So the committee is clear: we need to agree. The numbers are not clear: they need to be negotiated. We can see the circumstances in which the numbers may arise in any deal. On page 29, we indicate how we see that, by agreement, the figure could be as low as £15 billion or as high as £60 billion In the last brown envelope to come to my house last Saturday morning was a report by a European think tank, Bruegel. Its numbers are more precise. It has done a similar job to our committee. I do not know its methodology in reaching its numbers—perhaps it has just beavered away—but it comes up with figures between £31.7 billion and £35.1 billion, a much narrower position. It took no account of the European Investment Bank, and I believe that UK involvement in that amounts to £10 billion, so in those circumstances it would narrow down to £21.7 billion to £25.1 billion. Of course, all these numbers can change because of financial behaviour in the next two years—particularly, for the UK, whether the expenditure budget moves away from us or there are more benefits to the UK In conclusion, I cannot believe that there is any solution other than orderly agreement. However the sequencing should be, unless the financial settlement is sorted, I cannot see there being good will for a future beyond it. Therefore, it is very important.
ParlaMint-GB_2017-04-06-lords.u104	My Lords, the series of House of Lords inquiries about the impact of Brexit in recent months have been illuminating and made a powerful contribution to the national debate on the subject. They have provided balanced analysis and information, which has been seriously lacking elsewhere. This report is no exception, although one of its conclusions is proving rather contentious and raising a head of steam. My comments on the report are those of a business person, rather than a parliamentarian or, indeed, a lawyer Four major factors have determined the Brexit vote. All of them are now being subtly reassessed by the Government. The first was to reduce drastically migration from the EU. It is now clear that tackling this in the short term would have serious economic consequences, which Ministers seem to be beginning to recognise, and only the most rabid Brexiteers would ignore. The second was to take back control. It seems that the great repeal Bill will say, “Yes, we will, but not quite yet”, because a substantial quantity of EU regulation which business wants to maintain would have to continue to be subject to some sort of EU supervision. In the short term, the vast majority of EU regulation will be transposed into UK law without amendment. The third was to withdraw from the jurisdiction of the European Court of Justice. Again, it seems that the Government are saying “Yes, but not yet”, because on the first two issues the European Court of Justice has to remain in place The fourth, which relates to our report, was to make significant cost savings by not having to contribute to the EU budget. This, too, is becoming a mirage. Brexit will not throw up vast sums which can be put into the NHS, as was suggested during the campaign. On the contrary, if the Government are to honour their promises to the main UK recipients of EU funds—farmers, universities and local authorities—and if, as both the Prime Minister and the Chancellor have already recognised, we are to honour our budgetary obligations triggered by Brexit, in the short and medium term there will be a not insignificant cost Our report spells out the range of the UK’s potential financial obligations on withdrawal, if we are at the same time to establish a constructive economic and political arrangement with the EU going forward. The range is enormous, as we know. However, our report says, based on the legal evidence we received from two assertive but also two more ambivalent lawyers, that the UK would not be legally liable for any obligations if we withdrew unconditionally. However, we say in the report that the political and economic consequences of such action would be profound These consequences need to be spelled out quite clearly. If the UK refuses point blank to honour any of these obligations based on a legal technicality, two developments are inevitable. First, negotiations would break down almost before they had started and a cliff-edge hard Brexit would be triggered, with a so far incalculable—according to Mr Davis—impact on the economy. The second is that the honour and integrity of the UK would be at risk because, despite what the lawyers told us, you can bet your bottom dollar that the EU would find mountains of lawyers to take Britain to court and argue that there was a legal obligation—good for the lawyers, but not for the rest of us. Our global creditworthiness might be affected. Fortunately, the Government—although not some of the more fervent Brexiteers—show no inclination to go down that route, and our observation will, we hope, remain of only academic interest to lawyers, not to business people such as me The real value of the report lies in its spelling out of the huge range of financial obligations which the UK’s exit might trigger following withdrawal. At the highest level, we have heard about £60 billion, which in my view is far-fetched, as is the zero level. A deal will be done between those two levels. Based on the information that the committee received, my opinion is that the UK’s share of the MFF commitment between March 2019 and December 2020, which happens to be the end of the present MFF 2014-20 commitment, should be honoured. We have different figures, but mine is €12.5 billion. In addition, the Government have promised to match the funds for UK farmers and beneficiaries of EU structural funds for the year to March 2020, which is another €3.5 billion. I am not convinced that there is a pension liability UK liabilities under the present MFF which extend beyond 2020 are much more questionable, and very substantial, as we have heard. Much of this commitment is fanciful. Poland, for example, is yet to spend any of its 2014-20 award, and there is some money hanging around that was agreed as far back as 2007 and has not been committed Finally, I very much hope that the Government’s approach to these historic negotiations is strategic and not, as in the past, game-playing between the 28 participants. While an all-night, last-minute horse trade might be okay when handing out fish quotas and subsidies to farmers, such an approach would be highly irresponsible in these historic discussions, where so much is at stake for both sides.
