ParlaMint-GB_2017-03-14-commons.u1	1. What steps he is taking to support the transition to a low-carbon economy.
ParlaMint-GB_2017-03-14-commons.u208	The Prime Minister said again just now that no deal is better than a bad deal, but what possible deal is worse than no deal, and can she describe it?
ParlaMint-GB_2017-03-14-commons.u209	We are about to enter into a negotiation with the remaining 27 members of the European Union. As part of that, we will be negotiating a trade deal for our future relationship with the European Union. I confidently expect that we will get a good deal. [Interruption.] Somebody says “You hope” from a sedentary position. It is precisely because of the answer I gave to my right hon. Friend the Member for Wokingham (John Redwood): this is not a one-sided negotiation. It is not just about what is going to suit the UK; it is about what is right for the future relationship between the UK and the EU, and a good trade deal for the UK is a good trade deal for the EU.
ParlaMint-GB_2017-03-14-commons.u210	I welcome the Prime Minister’s announcement that the UK is strengthening its contribution to cyber-security and countering disinformation and also the Foreign Secretary’s forthcoming visit to Russia, but with Russia spending over a billion dollars on media outlets and troll factories, is she satisfied that the EU’s East StratCom organisation, which counters fake news and misinformation from the Kremlin, is sufficiently resourced? Also, what progress was made on setting up the further centres to identify and counteract Russian propaganda that were mentioned in the pre-briefing to the Council?
ParlaMint-GB_2017-03-14-commons.u211	My right hon. Friend raises a very important point. The UK has particular expertise and experience when it comes to the whole issue of strategic communications around these sorts of areas, and we will be making that expertise available to the EU in order to be able to enhance the work it is doing to counter the disinformation campaigns.
ParlaMint-GB_2017-03-14-commons.u212	May I tell the Prime Minister that it is not just in Scotland where there is a fear that the right wing of her party is dictating the terms of this debate and pushing us towards a Brexit deal that favours London and the south over the north? May I ask her to dither no more, and to establish a Brexit committee of the regions and nations, and give places like Greater Manchester equal and fair representation in this crucial debate?
ParlaMint-GB_2017-03-14-commons.u213	As I have repeatedly said in this House, this Government will be negotiating a deal that will be good for the whole of the United Kingdom. That is why we have been listening to businesses and others from across the whole of the UK—yes, the devolved Administrations, but also people from the regions of England and businesses from across the whole of the UK—to understand the interests and what we need to take into account as we negotiate the deal.
ParlaMint-GB_2017-03-14-commons.u214	As my right hon. Friend launches into the negotiations, I wonder if she has had time to consider the excellent House of Lords report that says we have no legal obligation to pay any money whatsoever to the European Union. Does she share my view that that is an excellent basis for beginning the negotiations?
ParlaMint-GB_2017-03-14-commons.u215	I can assure my hon. Friend that I have noted the House of Lords report on this particular matter. As he will know, when people voted on 23 June last year they were very clear that they did not want to continue year after year paying huge sums of money into the European Union.
ParlaMint-GB_2017-03-14-commons.u216	I thank the Prime Minister for advance sight of her statement. Given that she is interpreting the will of the people and not enacting it, history will declare that last night she demonstrated contempt for this place and for the British people. The Brexit deal is an unwritten, unknown deal, and it is a deal that will be signed off by someone. The only question is: will it be signed off by a handful of politicians or by the whole of the people? Does she agree that it should be signed off by the whole of the people?
ParlaMint-GB_2017-03-14-commons.u217	What the hon. Gentleman says comes a little strange from his party: I seem to remember the time when the Liberal Democrats were going around telling everybody that they were going to have an in/out referendum on membership of the EU, yet now that we have had an in/out referendum on membership of the EU they are not willing to accept the result the British people gave them. We are, and that is why we are putting it into practice. We are delivering the will of the British people.
ParlaMint-GB_2017-03-14-commons.u218	My right hon. Friend the Prime Minister has been very clear that the United Kingdom is leaving the European Union, but we are not leaving Europe. A strong and prosperous EU remains in the interests of the United Kingdom. Does my right hon. Friend agree that a strong, stable united United Kingdom is also in the interests of the EU, and will she vigorously resist anyone who uses this moment to try and destroy our precious United Kingdom?
ParlaMint-GB_2017-03-14-commons.u219	I absolutely agree with my hon. Friend. As he has said, and as I have said before, a strong remaining EU of 27 will be in the best interests of the UK. We want to see the EU remaining strong, but we also want to see a strong UK playing its role as a global Britain. It is important that we keep the Union of the United Kingdom together; there is much that binds us, and I do not want to see anybody engaging in constitutional game-playing with the future of the United Kingdom.
ParlaMint-GB_2017-03-14-commons.u220	I congratulate the Prime Minister on bringing the country together and uniting Scotland behind our First Minister. The Prime Minister was asked by my right hon. Friend the Member for Moray (Angus Robertson) about what was said last year, so let me cite the Tory Bible The Daily Telegraph on 15 July: “Theresa May has indicated that…she will not trigger the formal process for leaving the EU until there is an agreed ‘UK approach’ backed by Scotland.” Was that misreporting by The Daily Telegraph, misspeaking by the Prime Minister, or is she still working on it?
ParlaMint-GB_2017-03-14-commons.u221	As the right hon. Gentleman knows full well, we have been in discussions with the Scottish Government and the other devolved Administrations, recognising the issues they have raised, and recognising the concerns and the common ground between us. The right hon. Gentleman refers to the views of the Scottish people in relation to the announcement made yesterday by the Scottish First Minister; I might remind him that the evidence in Scotland is that actually the majority of the Scottish people do not want a second independence referendum.
ParlaMint-GB_2017-03-14-commons.u222	I commend my right hon. Friend for her very measured response to the provocation of the calling of a second independence referendum in Scotland: she is not ruling out a referendum in the future, but now is not the right time. Will she also point out that the Scotland Act 2016 reserves all the single market issues to the United Kingdom Government? These are matters that we should share with Scotland in the discussion, but they are matters reserved to the United Kingdom.
ParlaMint-GB_2017-03-14-commons.u223	As I have just said in response to the right hon. Member for Gordon (Alex Salmond), at the moment the evidence is that the Scottish people do not want a second independence referendum. As we negotiate issues in relation to access to the single market through the free trade deal that we will be negotiating, we will be taking into account the interests of the whole of the United Kingdom—of every part of it—and ensuring that that deal works for everybody across the UK, including the people of Scotland.
ParlaMint-GB_2017-03-14-commons.u224	Following the successful conclusion of the article 50 Bill last night, there are some in Northern Ireland who would add to the uncertainty and division by calling for a border poll. They have already created enough uncertainty and division by collapsing the institutions in Northern Ireland. Will the Prime Minister take this opportunity to tell people that there has never been more support for the Union in Northern Ireland across all communities, and that in fact such a call is outside the terms of the Belfast agreement, and the very point that Sinn Féin keeps harping on about is that it wants the implementation of the agreements?
ParlaMint-GB_2017-03-14-commons.u225	The right hon. Gentleman is right: obviously there is a set of circumstances, but the Secretary of State for Northern Ireland has looked at this issue and it is not right to have a border poll at this stage. What we should all be focusing on is bringing the parties together to ensure that we can continue to see the devolved Administration in Northern Ireland working, as they have done, in the interests of the people of Northern Ireland. We want to see that devolved Administration being formed, and that is what all the parties should be looking for at the moment.
ParlaMint-GB_2017-03-14-commons.u226	Is it not clear from the European negotiations that a lot of the detail will not be finalised until the end of the process, and therefore that the timetable set out yesterday by the First Minister for a premature second independence referendum is an excuse, not a reason? Should we not listen to the right hon. Member for Gordon (Alex Salmond), who referred to the last independence referendum as a “once in a generation opportunity”?
ParlaMint-GB_2017-03-14-commons.u227	My right hon. Friend rightly points out that we have a timetable of up to two years for the negotiations, and it is possible that the details will not be finalised until close to the end of that period. He is also entirely right to suggest that those in Scotland who talk about having a second referendum should remember what the right hon. Member for Gordon said: it was a once in a generation vote that took place in September 2014. It seems that a generation is now less than three years.
ParlaMint-GB_2017-03-14-commons.u228	The Prime Minister has said that no deal is better than a bad deal. We all wish her well in getting the best possible deal for the UK, but will she now publish what the effects would be of crashing out of the European Union on World Trade Organisation rules, so that we can have a debate in this country about her assertion that no deal is better than a bad deal?
ParlaMint-GB_2017-03-14-commons.u229	I am grateful to the hon. Lady for her support for the Government as we look ahead and try to negotiate the best possible deal for the United Kingdom. That is precisely what we will be doing.
ParlaMint-GB_2017-03-14-commons.u230	I welcome the Prime Minister’s positive approach to establishing a new, co-operative relationship with Europe and the sensibleness of contingency planning. Will she tell us how much that contingency planning will cost?
ParlaMint-GB_2017-03-14-commons.u231	It is important that contingency planning should take place, and we obviously have to look at a variety of scenarios. A lot of work is being done by the Department for Exiting the European Union and will be done by other Departments as well. It is important that that work is done properly so the Government can have the best possible information on which to negotiate our relationship for the future.
ParlaMint-GB_2017-03-14-commons.u232	After lecturing the other European leaders on how they should complete the single market, did the Prime Minister remember that she had already thrown in the towel on Britain’s membership of the single market? Will she admit what an error it was for her to give the Scottish First Minister exactly the excuse she was looking for for an opportunistic second referendum?
ParlaMint-GB_2017-03-14-commons.u233	First of all, no lecturing took place. There was a view around the table—I encouraged it, and others contributed—that it was important for the European Union to continue to complete the single market. The hon. Gentleman talks about the single market, but actually there is work yet to be done. It is also important for the EU to continue to work on trade arrangements with other areas. The reason that I ask the EU leaders to do that is that it will be good for the United Kingdom in our future relationship with the European Union. This is something that will be good for us. I have always been clear that we will trigger article 50 by the end of March, and that is exactly what we will do.
ParlaMint-GB_2017-03-14-commons.u234	There has been much speculation about the divorce from the European Union and about how much money would need to be paid in the process. I am afraid that I am going to disagree with my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) on this point. Since we joined the EEC in 1973, we have paid in £184 billion. That is the net contribution—the actual amount that we have paid in after taking into account any money that we got back. When people get a divorce, do they not split the net amount in two? That would mean that £92 billion should be paid back to us. Did the Prime Minister have a chance to bring that up at the summit?
ParlaMint-GB_2017-03-14-commons.u235	I am tempted to say to my hon. Friend: “Nice try, but I don’t think that was an application for a job at the Treasury.”
ParlaMint-GB_2017-03-14-commons.u236	The hon. Gentleman seems to be able to contain his misery.
ParlaMint-GB_2017-03-14-commons.u237	Not everyone shares the Prime Minister’s enthusiasm for the imminent application of the EU-Canada agreement, not least because the comprehensive economic and trade agreement’s new investment court system still fails to address serious concerns about the investor-state dispute settlement process. Does she regard CETA as a blueprint for the trade deals that she thinks the Government can so easily agree, once the UK has left the EU? What reassurance can she give us about protecting key social and environmental standards and our public services if that is the case?
ParlaMint-GB_2017-03-14-commons.u238	There is no blueprint. I have said consistently over the past seven months or so that we are not looking to adopt another country’s model for our relationship with the European Union. We will negotiate the deal that is right for the UK.
ParlaMint-GB_2017-03-14-commons.u239	In the EU Council, did my right hon. Friend detect any strong support for a separatist Scotland remaining in the EU, no questions asked?
ParlaMint-GB_2017-03-14-commons.u240	I can honestly say to my hon. Friend that I did not detect any such support in the European Council.
ParlaMint-GB_2017-03-14-commons.u241	The country is almost evenly divided about leaving the EU, so how will the Prime Minister try to resolve that? I have not known the country to be so divided since Suez in 1956.
ParlaMint-GB_2017-03-14-commons.u242	This House chose to give a vote to the British people in the referendum on 23 June, and the people of the United Kingdom voted in that referendum. The majority voted for the UK to leave the European Union. When I talk to people who voted to leave and to those who voted to remain, the overwhelming message is that they now want the Government to get on with the job of delivering on that vote.
ParlaMint-GB_2017-03-14-commons.u243	My right hon. Friend the Prime Minister has made it clear at the Dispatch Box and in the country that she wishes to prioritise certainty for UK nationals living in the EU 27 and for EU nationals living here in the UK, but I have it on good authority that the EU negotiators want to prioritise the so-called divorce settlement. Will she make it clear to the people with whom she is negotiating that we will not countenance British and EU citizens being used as bargaining chips in such a way?
ParlaMint-GB_2017-03-14-commons.u244	My hon. Friend is right. We want to ensure reciprocal arrangements for EU citizens living here and for UK citizens living in the EU in terms of their future status, and I want to see that discussion taking place at an early stage in the negotiations. I recognise his point about some of the things that are being said, but I will simply say that, following my conversations with other European leaders, I believe that there is an extent of goodwill to deal with this issue at an early stage.
ParlaMint-GB_2017-03-14-commons.u245	The Prime Minister lectures nationalists on the importance of staying in unions, but all the while she is advocating leaving one. She lectures our European partners on the importance of the single market, but all the while she is hellbent on our leaving it. Does she think that this incoherence in her position might be dealt with—and make her life easier—if she thought again about our staying within the single market?
ParlaMint-GB_2017-03-14-commons.u246	I have said this on a number of occasions in the House, and I will repeat it here today: we want to negotiate the best possible trading arrangements. My right hon. Friend the Member for Wokingham (John Redwood) has talked about a tariff-free, frictionless and seamless movement of goods and services. It is wrong to think of the single market as a binary issue, in which we are either in it or have no access to it. We want to ensure that we have good access to the single market and the best possible trade deal, which will allow frictionless and, as far as possible, tariff-free access.
ParlaMint-GB_2017-03-14-commons.u247	I particularly welcome my right hon. Friend’s comments on the Balkans, an area that has plunged Europe into horror several times over the past few centuries. Will she confirm that it is Britain that has insisted that we keep the mission there going, despite the opposition of several of our European partners?
ParlaMint-GB_2017-03-14-commons.u248	My hon. Friend is absolutely right. The United Kingdom has been playing a key role in relation to the western Balkans. There was a good discussion at the European Council and clear recognition around the table of the need for us to continue to be involved in the western Balkans and of a number of steps that can be taken to ensure that we stabilise the region, which is in the interests of not only the countries in the western Balkans but the rest of us in Europe.
ParlaMint-GB_2017-03-14-commons.u249	In the spirit of the so-called UK-wide approach to Brexit, will the Prime Minister confirm how much notice she intends to give to the First Ministers of Wales and Scotland and to the leadership in Northern Ireland of the date upon which she intends to invoke article 50?
ParlaMint-GB_2017-03-14-commons.u250	We will invoke article 50 by the end of March, and a number of processes will happen in advance of that invocation. As I have said, I will come to the House when we have decided to make the notification.
ParlaMint-GB_2017-03-14-commons.u251	Did the Prime Minister have the chance to take up with the European Commission and the Spanish Government their attitudes to the border with Gibraltar and to the separatists who claim that their countries could break away and then just rejoin the EU?
ParlaMint-GB_2017-03-14-commons.u252	In our negotiations, the Spanish Government have been concerned and clear that it is not possible for a country to break away from a member of the European Union and immediately rejoin the European Union—the Barroso doctrine, which has been reaffirmed by the European Commission. As for Scotland, independence would not mean membership of the European Union. Scotland would remain outside the European Union.
ParlaMint-GB_2017-03-14-commons.u253	I am sure that the Prime Minister will be pleased to know that millions of Labour supporters across the country will be delighted and will share her and my pleasure at the legal decision taken by Parliament. Did the right hon. Lady have any chance at the Council to discuss informally with EU leaders the position of British citizens in other countries? Are those leaders sticking up for our citizens there in the way we are sticking up for their citizens here?
ParlaMint-GB_2017-03-14-commons.u254	I have had several discussions with European leaders on that point. That is why I said in response to an earlier question that there is good will on both sides about dealing with the issue and about recognising the needs not only of UK citizens living in other EU member states but of EU citizens living here in the UK. There is good will, but, as has been made clear in the past, no discussion can happen until the negotiations have been formally triggered.
ParlaMint-GB_2017-03-14-commons.u255	I welcome the Prime Minister’s statement that politics is not a game, but those of us who have fought the SNP know that it is a game to them. Yesterday’s announcement by the First Minister is just the first of many that we will hear in the coming weeks and months. Does the Prime Minister agree that it is imperative that her Government and every Member of this House who believes in Great Britain and Northern Ireland reaffirm to our constituents outside of Scotland why it is that the United Kingdom is important to us all?
ParlaMint-GB_2017-03-14-commons.u256	I absolutely agree with my hon. Friend. It is vital for us to continue to confirm and reaffirm the importance of the United Kingdom. He says that we should reaffirm that importance to constituents outside Scotland, but we should also reaffirm the importance of the United Kingdom to Scotland and to Scotland’s economy, which I did recently when I was in Glasgow.
ParlaMint-GB_2017-03-14-commons.u257	I was glad to hear the Prime Minister say that she has been working with the devolved Administrations, but I was also slightly puzzled because the “Joint Ministerial Committee on Exiting the EU is less organised than a community council” Those are not my words, but those of an actual participant: the Welsh Government Minister Mark Drakeford. How is she ensuring that the interests of the devolved Governments are reflected in the article 50 notification?
ParlaMint-GB_2017-03-14-commons.u258	The Joint Ministerial Committee process has been operating for some months at various levels and has brought UK Government Ministers together with the three devolved Administrations to discuss issues that have been raised on both sides, including looking at the Welsh Government’s paper on Wales’s particular concerns, which are being taken into account.
ParlaMint-GB_2017-03-14-commons.u259	The Premier of Luxembourg apparently believes that we might yet be persuaded to stay in the EU. Are there others like him? If yesterday’s emphatic proceedings did not disabuse him, will the Prime Minister do so in the nicest possible way?
ParlaMint-GB_2017-03-14-commons.u260	I think we can be reassured that the votes that took place in this House and in the House of Lords last night and the granting of Royal Assent to the European Union (Notification of Withdrawal) Bill will send a clear message to everybody in Europe that we mean business.
ParlaMint-GB_2017-03-14-commons.u261	The practice and experience in complex negotiations, such as in Northern Ireland, is that nothing is agreed until everything is agreed. Does the Prime Minister agree that that will be the case here? If so, and given that she said that no deal is preferable to a bad deal, how can British citizens living in EU countries or EU citizens living in the UK believe that there will be any resolution of the uncertainty?
ParlaMint-GB_2017-03-14-commons.u262	The hon. Gentleman cites experience as the model for what will happen in our negotiations, but I do not look at these matters in that way. When we invoke article 50, we will start those negotiations, and we have already been in discussions with other European leaders about the importance of reassuring UK citizens living in the 27 member states and EU citizens living here on their status and their future. As I have said in answer to several questions, including one from the hon. Member for Vauxhall (Kate Hoey), I believe that there is genuine good will on both sides on this issue, and that is why I want it to be an early part of the negotiations.
ParlaMint-GB_2017-03-14-commons.u263	The Prime Minister rightly talked about the need to reassure EU nationals in this country. Does she agree that the biggest reassurance we can give is that their rights will remain completely unaltered until this House chooses to change them?
ParlaMint-GB_2017-03-14-commons.u264	My hon. Friend makes an important point. Of course, we will still be members of the EU until we exit the EU, but it is clear that any changes to our immigration rules that need to happen will have to come before this House.
ParlaMint-GB_2017-03-14-commons.u265	The Prime Minister has said several times today that she is in discussions with the Scottish Government. She has also confirmed that she wants to trigger article 50 by the end of the month. By my calculations, she has less than two weeks to finish those discussions and to agree and announce the UK-wide approach that she promised in July last year, so when does she expect to finish her discussions with the Scottish Government and to announce the outcome?
ParlaMint-GB_2017-03-14-commons.u266	As the hon. and learned Lady knows, when we trigger article 50 and enter negotiations, we will be negotiating as the UK Government. We have been in discussions with the Scottish Government and the other devolved Administrations, and those discussions continue. However, I have of course already set out our broad objectives for the negotiations, which included a reference to the sort of trade deal that she and her colleagues have said they want for the United Kingdom and for Scotland.
ParlaMint-GB_2017-03-14-commons.u267	There were smirks and laughter from the Opposition Benches when my right hon. Friend spoke of the single market and digital. Will she remind the House that we want to continue to trade with the single market and that we inject £60 billion-worth of demand into that market? With investment from Snap, Facebook and SoftBank, this country is a powerhouse in digital.
ParlaMint-GB_2017-03-14-commons.u268	My hon. Friend is absolutely right about this country’s important role in the market for digital services, which is why my right hon. Friend the Secretary of State for Culture, Media and Sport has set out a digital strategy. I was rather surprised by the derision from the Opposition at the suggestion that we should encourage a single market in digital services in the European Union, which we can trade with and sell into. They seem not to want us to develop that market in a way that is good for the United Kingdom.
ParlaMint-GB_2017-03-14-commons.u269	A moment ago, the Prime Minister repeated without a hint of irony or comedy that she is encouraging the European Union to complete the single market in services because that is in our national interest. Will she explain to the House and to the country how it is not in our national interest to be a part of it?
ParlaMint-GB_2017-03-14-commons.u270	The hon. Gentleman has said in the past that he has a different view on the result of the vote and of where the Government should be going in relation to membership of the European Union.
ParlaMint-GB_2017-03-14-commons.u271	He asked about the single market.
ParlaMint-GB_2017-03-14-commons.u272	Yes, I know that the hon. Member for Pontypridd (Owen Smith) asked about the single market, and I have answered many questions about that. My response to him is the same as my response to my hon. Friend the Member for Reigate (Crispin Blunt), which is that it is important for us to encourage the market—the market that we are going to be working with, that we are going to be trading with, that we want the best possible access to and that we want our services to be able to operate within—to be a free market with which we are able to work.
ParlaMint-GB_2017-03-14-commons.u273	I thank my right hon. Friend for her statement. As we do not pay to sell our goods and services to any other country around the world, will she confirm that we will not accept any deal that requires us to pay the European Union for access to the single market?
ParlaMint-GB_2017-03-14-commons.u274	My hon. Friend may have been looking at the same report as my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) in relation to the sums that we pay. As I said in my response to him, the vote on 23 June 2016 was about many things. Obviously, in terms of leaving the European Union, one of the things that people were clear about is that we would not continue paying huge sums into the EU every year.
ParlaMint-GB_2017-03-14-commons.u275	Is it the Prime Minister’s intention that both the common travel area and the Good Friday agreement will be specifically named as features in the framework for future relations between the UK and the EU? Does she accept the Taoiseach’s point about the signal importance of having the consent provisions of the Good Friday agreement specifically reflected in a new UK-EU treaty to make it clear that Northern Ireland, as one part of the UK, could elect to rejoin the EU without necessitating article 49 negotiations and that the Barroso doctrine would not be an impediment?
ParlaMint-GB_2017-03-14-commons.u276	We have been very clear about the importance of maintaining and delivering on the agreements that have been made in relation to Northern Ireland, and that issue is very clear to other member states of the European Union. Of course the common travel area existed long before either the Republic or the United Kingdom were part of the European Union, and one of the objectives I set out as we look to the future negotiations is that we will be looking to maintain the common travel area.
ParlaMint-GB_2017-03-14-commons.u277	Following the last few months of debate, I am assured by the Prime Minister and her Government that they are striving to achieve a zero-tariff trade deal on goods and services with the EU as they enter formal negotiations. Will she outline the potential impact on European markets of not agreeing a trade deal with the UK following its departure from the European Union?
ParlaMint-GB_2017-03-14-commons.u278	My hon. Friend raises an important point, because all too often people act as if somehow we are just a supplicant in this relationship and that anything that is decided will have an impact only on the United Kingdom. Of course a trade deal will have an impact on companies within the remaining 27 member states, as they want to trade with and operate within the United Kingdom. That is why I am confident that, when we come to the negotiations, people will see the benefit to both sides of getting a good trade deal.
ParlaMint-GB_2017-03-14-commons.u279	The Prime Minister has said that, in the deal she wants with the European Union, she would like associate membership of the customs union—a membership that does not as yet exist On 6 February, after the last European Council, I asked the Prime Minister whether she had raised that idea with her European counterparts, and she overlooked the question—I am sure it was an oversight—so I ask her the question again. Has she raised the idea, and what was the response? Or should we take her evasiveness as meaning that there is no deal?
ParlaMint-GB_2017-03-14-commons.u280	First, the hon. Lady is slightly misinterpreting the speech I gave at Lancaster House, in which I said that there are certain elements of the customs union that we would not wish to be part of because they prevent us from negotiating trade deals on our own, as the United Kingdom, with other countries across the world. I said that the relationship we want with the customs union is to have “as seamless and as frictionless a border as possible” I indicated that that might be called “associate membership” or it might be something else, but we need to do that as part of the negotiations. Our relationship with the customs union will be part of the negotiations that will start when we trigger article 50.
ParlaMint-GB_2017-03-14-commons.u281	I welcome the Prime Minister’s statement. Paragraph 9 of the conclusions on security refers to the EU working together to fight terrorism. One of the biggest challenges facing Europe and the UK in the next five to 10 years, according to experts such as Peter Neumann, is terrorist fighters returning to their host countries from Syria and Iraq as Daesh is defeated. Was that discussed at European level, and is there an agreed strategy across Europe to deal with it?
ParlaMint-GB_2017-03-14-commons.u282	That was not one of the issues that we discussed within the business of the European Council last week. However, it is an issue that I have discussed with other member states on a number of occasions in the past, and we are all well apprised of the need to ensure that we have a means of identifying those who are returning. We are working to deal in the most appropriate way with those individuals who are returning. Of course, so far as the United Kingdom is concerned, individuals will be looked at on a case-by-case basis.
ParlaMint-GB_2017-03-14-commons.u283	On single market membership, in their 2015 manifesto the Prime Minister and her party made an unconditional commitment to “safeguard British interests in the Single Market.” She castigated my hon. Friends the Members for Wirral South (Alison McGovern) and for Pontypridd (Owen Smith) for raising that issue, but on 26 May 2016 she told an audience of Goldman Sachs bankers, in relation to single market membership, that “the economic arguments are clear. I think being part of a 500-million trading bloc is significant” Why is she waving the white flag and starting these negotiations without even trying to keep our membership of the single market, with the reforms she seeks? We are the second-biggest economy in Europe and the fifth-biggest military power in the world, and she is waving the white flag before the negotiations have started.
ParlaMint-GB_2017-03-14-commons.u284	I am doing nothing of the sort. The hon. Gentleman needs to recognise that there is a difference between access to the single market, protecting our ability to operate within the single market, and membership of the single market. Membership of the single market means accepting free movement, accepting the jurisdiction of the European Court of Justice and, effectively, remaining a member of the European Union. We have voted to leave the European Union, and that is what we will be doing.
ParlaMint-GB_2017-03-14-commons.u285	My right hon. Friend needs no lessons in her primary duty, which is the defence of this great realm. I welcome enormously the efforts she has made with our European partners to work together to counter the Russian threat that is sadly growing in the east. Will she please comment a little on how the threat would affect the United Kingdom should parts of our own great United Kingdom secede from the Union? What vulnerabilities would that put into our defence?
ParlaMint-GB_2017-03-14-commons.u286	It is right that we are looking very carefully at the impact that the activity of Russia and others can have across the European Union, but it is also right that we are stronger as a United Kingdom in our collective defence and that every part of the United Kingdom benefits from being part of the UK through our collective defence and security against crime and terrorism.
ParlaMint-GB_2017-03-14-commons.u287	Membership of the single market and the customs union gives our country barrier-free, tariff-free access to the biggest single market in the world and, through the customs union, more trade deals with other countries across the world than any other leading economy outside those institutions. Why is the Prime Minister therefore determined to pull us out? Is it because she genuinely believes it is the right thing to do, which she did not just a matter of months ago, or is it because she has been taken hostage by the right wing of her party? Once more, another Conservative Prime Minister is not only putting her party political interests before the economic interests of our country but is putting at risk the integrity of the United Kingdom.
ParlaMint-GB_2017-03-14-commons.u288	On 23 June 2016, the majority of people in the United Kingdom voted to leave the European Union, and there are consequences of leaving the European Union. We want to negotiate a comprehensive free trade agreement with the European Union that gives us the best possible access to the single market.
ParlaMint-GB_2017-03-14-commons.u289	We have the best possible access now.
ParlaMint-GB_2017-03-14-commons.u290	We have membership of the single market because we are a member of the European Union, which involves—[Interruption.]
ParlaMint-GB_2017-03-14-commons.u291	Order. Somebody is overexcited. The question has been asked, and the Prime Minister should not have to fight to be heard. The right hon. Lady must be heard.
ParlaMint-GB_2017-03-14-commons.u292	Being a member involves accepting certain other requirements from the European Union, requirements that people voted not to be part of when they voted on 23 June. That is why I have consistently said that Members of this House must stop thinking that the only option is membership of the single market or nothing—it is not. There is an option of having a comprehensive free trade agreement that gives us the sort of access that we want to have.
ParlaMint-GB_2017-03-14-commons.u293	I commend the Prime Minister on her strong leadership. Latvia will host NATO’s Supreme Allied Commander Europe in meetings tomorrow. I represent a considerable Ukrainian community in Huddersfield. It is clear that there are currently real and present threats from Russian aggression throughout the whole of Europe, the Baltics and the Balkans; will the Prime Minister continue to put NATO at the forefront of our efforts to tackle the worries and concerns resulting from Russian aggression?
ParlaMint-GB_2017-03-14-commons.u294	I absolutely assure my hon. Friend that we will continue to put NATO at the forefront of those efforts. I am pleased that the UK is able to make a specific contribution this year to NATO’s efforts in relation to the eastern border of the European Union and NATO countries with Russia. For example, we will soon see UK troops going to Estonia as a very visible sign of our commitment.
ParlaMint-GB_2017-03-14-commons.u295	Fears about the consequences of Brexit were undoubtedly exploited by Sinn Féin in the recent Northern Ireland Assembly election. Sinn Féin increased their first-preference votes by somewhere in the region of 58,000, which means they are just one seat behind the Democratic Unionist party in the new Assembly, as elected. I wonder—as, I am sure, does the rest of the country, and particularly those in Northern Ireland—what additional steps, including visiting Northern Ireland, the Prime Minister is going to take to turn back the tide of support for Sinn Féin.
ParlaMint-GB_2017-03-14-commons.u296	The hon. Lady is obviously correct in the facts she sets out about the voting in the election. The focus we must all have now and in the coming couple of weeks, because there is limited time set aside in the legislation, should be on bringing the parties together to form a devolved Administration. I believe it is absolutely essential that we do everything we can to ensure that a devolved Administration are maintained in Northern Ireland. On the impact of Brexit, we have been very clear about the relationship we want to ensure with regard to the border with the Republic of Ireland, and we continue to work with the Republic of Ireland and others to deliver on that. Nevertheless, over the next couple of weeks the focus of us all must be on bringing the parties together to ensure a devolved Administration are formed in Northern Ireland.
ParlaMint-GB_2017-03-14-commons.u297	Previously as Home Secretary and now as Prime Minister, my right hon. Friend has paid particular attention to the scourge of modern slavery in economies such as Lincolnshire’s agricultural sector. Will she confirm that, as she negotiates our way out of the European Union, she will prioritise a collaborative approach to continuing to tackle this vile trade, and that she will take the same approach when it comes to designing a scheme for seasonal workers, who may still have to come to work in this country?
ParlaMint-GB_2017-03-14-commons.u298	We will certainly continue to prioritise the work we do in relation to modern slavery, not only to support the victims of that vile trade but to break the criminals who make so much money out of it and stop the damage and abuse they bring to individuals. As my hon. Friend says, we have looked at the issue in particular in areas such as the agricultural sector in his part of the country, and we want to continue to co-operate on the issue as we leave the European Union. We will continue to co-operate on these sorts of issues because they are not just about membership of the European Union; we need to do something about them, whatever international organisations we are part of.
ParlaMint-GB_2017-03-14-commons.u299	The Prime Minister talks about listening to the Scottish Government, but that is of course on the back of the people of Scotland voting overwhelmingly to remain in the European Union. Given the UK Government’s intransigence, it is little surprise that the Scottish National party is proposing a motion in the Scottish Parliament to ask for a mandate for a second referendum. Will the Government allow that to take place, or will she attempt to veto the democratic wishes of the Scottish people and the Scottish Parliament?
ParlaMint-GB_2017-03-14-commons.u300	There was a referendum in Scotland in September 2014 in which the people of Scotland voted to remain part of the United Kingdom. Sitting next to the hon. Gentleman is the right hon. Member for Gordon (Alex Salmond), who said at the time that it would be a once-in-a-generation vote.
ParlaMint-GB_2017-03-14-commons.u301	The right hon. Member for Moray (Angus Robertson) quite rightly started his questions by emphasising the importance of jobs and the economy. Given the circumstances, with Scotland’s trade with the UK being worth £50 billion—four times less than its trade with the EU—does the Prime Minister think there is a good economic case for Scotland to remain in the UK and to ensure that together we work for the best deal with Europe?
ParlaMint-GB_2017-03-14-commons.u302	My hon. and learned Friend is absolutely right, and the figures are very clear: the single market that is most important to Scotland is the single market with the United Kingdom. [Interruption.] The right hon. Member for Gordon shouts “frictionless borders” at me; of course, Scotland has a frictionless border with the rest of the United Kingdom, which is the most important single market it is a member of.
