ParlaMint-GB_2017-10-24-commons.u1	1. What recent fiscal steps he has taken to reduce unemployment.
ParlaMint-GB_2017-10-24-commons.u155	We are having difficulties with mobile banking in my constituency. I know of instances in which two different mobile banks have arrived in the same community while other communities have seen no mobile banks at all. We have problems with people queueing in rough weather and getting wet, and problems with paper banking. Will the Chancellor, or some other Minister, propose ways of reorganising mobile banking and making it more user-friendly, and of getting the banks to co-operate with each other to deliver a service that is vital in the highlands?
ParlaMint-GB_2017-10-24-commons.u156	Mobile branches are vital to many communities, and I am sure that many banks will have heard the hon. Gentleman express his concerns, but these are commercial decisions. It should be recognised that since 2011 the number of branch visits has fallen by roughly a third, that more than 600,000 people aged over 80 are now registered for internet banking, and that a fifth less cash is used for payments. Those changes in the market reflect the way in which branches, including mobile branches, are being used.
ParlaMint-GB_2017-10-24-commons.u157	T9. Does my hon. Friend accept that the contribution made by UK financial services vastly outweighs any cost of our contribution to the European Union, and that securing a sensible deal from day one is not only an imperative, but much more likely to be achieved through the patient work of my right hon. Friend the Chancellor than through the anti-business rhetoric of Opposition Members?
ParlaMint-GB_2017-10-24-commons.u158	My hon. Friend is right. The UK financial services industry pays more than £71 billion to the Exchequer in tax and employs more than 1 million people directly and 2.2 million through the sector as a whole, two thirds of whom are outside London. Because of his work as chair of the all-party parliamentary group for Gibraltar, my hon. Friend will be aware of the importance not just of financial services in the UK, but of our links with industries in territories including Gibraltar.
ParlaMint-GB_2017-10-24-commons.u159	Teachers have travelled from all over the country today to lobby Parliament about severe real-terms cuts in their pay. The Chief Secretary has said that she has lifted the pay cap owing to the pressure that Labour has placed on her, but will she confirm that her Department will fund the recommendations of the pay review body rather than cash-strapped local authorities?
ParlaMint-GB_2017-10-24-commons.u160	The fact is that teachers received, on average, a 4.6% pay rise last year, including promotions and responsibility allowances. Pay in schools involves a great deal of flexibility, and headteachers can decide how they pay teachers. However, it will be up to the Department for Education to look at the specific circumstances in schools and make those determinations.
ParlaMint-GB_2017-10-24-commons.u161	Does the Chancellor share my frustration at the fact that since the EU referendum, a number of senior politicians have been talking down the economy? Should they not be talking it up, because we have a great future outside the European Union?
ParlaMint-GB_2017-10-24-commons.u162	Yes. As I said earlier, the UK economy is fundamentally strong. We have the world’s second largest services export sector at a time when emerging economies across the globe are sucking in new demand for services, and we have a global lead in various areas of emerging technology that will drive the fourth industrial revolution. This country has a bright long-term future. Of course we must deal with short-term uncertainty, and of course we must tackle our productivity challenge, but we are fundamentally in good shape.
ParlaMint-GB_2017-10-24-commons.u163	Given that support for a single Scottish police force was in the 2011 Scottish Tory manifesto, can we assume that the Government think that the £280 million VAT fee is a price worth paying, or will they finally see sense and scrap the VAT on Scotland’s fire and police services?
ParlaMint-GB_2017-10-24-commons.u164	The hon. Gentleman’s colleague, the hon. and learned Member for Edinburgh South West (Joanna Cherry), asked exactly the same question, and I shall give exactly the same answer. When the Scottish Parliament and Government made that decision, they knew that structuring the police and fire services in the way that they chose would lead to the VAT outcome that they should have expected all along.
ParlaMint-GB_2017-10-24-commons.u165	What does the Chancellor believe we need to do to improve productivity, which is rightly one of his three priorities?
ParlaMint-GB_2017-10-24-commons.u166	We need to invest in our infrastructure and the skills of our people, we need to ensure that our high growth businesses have access to long-term capital, and address the regional disparity in productivity performance. If we can tackle those four things, we can start to close Britain’s productivity gap and see real wages rising sustainably over many years ahead.
ParlaMint-GB_2017-10-24-commons.u167	Speaking to the Treasury Committee earlier this month about the transition agreement for exiting the European Union, the Chancellor said that “it will still have a very high value at Christmas and early in the New Year. But as we move through 2018, its value to everybody will diminish significantly.” Yesterday, however, the Prime Minister told us that we will not get a transition agreement until October next year at the earliest. Does the Chancellor stand by the very different view he expressed just a fortnight ago?
ParlaMint-GB_2017-10-24-commons.u168	As I have said several times today, we are reassured by the fact that at the European Council the 27 agreed to start the internal preparatory discussions on an implementation period. We are absolutely aware of the needs of business in this area, and they have been reinforced again by business leaders this week. We are confident that we will be able to deliver reassurance to business in accordance with its needs.
ParlaMint-GB_2017-10-24-commons.u169	May I urge my right hon. Friend when looking at the business case for HS2 phase 2b to consider carefully the additional £750 million cost to the Exchequer of building over the Cheshire salt fields?
ParlaMint-GB_2017-10-24-commons.u170	We discussed this issue when I was a Transport Minister. All the topography and construction implications as the route is finalised will be taken into consideration as part of the business case.
ParlaMint-GB_2017-10-24-commons.u171	We all remember when the hon. Gentleman was a Transport Minister and he enjoyed telling us how he travelled to work by bus; I remember thinking that the fellow passengers on the bus must have been absolutely exhilarated to know that they were accompanied at the time by the Under-Secretary of State for buses.
ParlaMint-GB_2017-10-24-commons.u172	The Chancellor acknowledged earlier that the fall in the exchange rate following the Brexit vote has pushed up inflation. What is the Treasury’s estimate of the impact of that on people’s standard of living?
ParlaMint-GB_2017-10-24-commons.u173	The hon. Lady will be aware of the increase in inflation—CPI inflation stands at 3%. Most forecasts suggest that it might go 0.1% higher before falling steadily from late this year. Obviously any increase in inflation will have a negative impact on real wages, and we very much look forward to CPI inflation falling and real wage growth resuming in this country next year.
ParlaMint-GB_2017-10-24-commons.u174	We are out of time, but the temptation to hear remaining colleagues is, frankly, just too powerful.
ParlaMint-GB_2017-10-24-commons.u175	The Chancellor, in his efforts to secure a good Brexit deal and a transition period, has the confidence and support not only of Members on the Government Benches, but from across the whole of British business, including in Broxtowe—unlike the Labour party, which inspires complete fear with the Marxist mayhem it would put into policy if elected into government. Will my right hon. Friend confirm that it is in the best interests of British business to secure a transition period as a matter of some urgency, and will he do all he can to get that transition period?
ParlaMint-GB_2017-10-24-commons.u176	Yes, British business has made it clear that it wants the earliest possible certainty about the implementation of interim arrangements. It has also made it very clear that it does not want any Marxist mayhem.
ParlaMint-GB_2017-10-24-commons.u177	rose—
ParlaMint-GB_2017-10-24-commons.u178	rose—
ParlaMint-GB_2017-10-24-commons.u179	Can either remaining Member ask a question consisting of 10 words or fewer?
ParlaMint-GB_2017-10-24-commons.u180	May I make a plea to the Chancellor? A teacher has visited me in the House today, whose school has run out of money for photocopying and for books in the Library. If the Chancellor wants to do something about productivity, he should invest in schools and colleges now.
ParlaMint-GB_2017-10-24-commons.u181	The hon. Gentleman seems to have missed the announcement just before the summer that we are putting £1.3 billion more into the frontline, not by taking in more taxes, but by using the money we have across government better.
ParlaMint-GB_2017-10-24-commons.u182	The previous Chancellor of the Exchequer implemented a second homes stamp duty levy, which has delivered £5.11 million into the Cornish economy and is set to deliver 1,000 homes. May I seek an assurance from the Treasury that this money will continue into the future?
ParlaMint-GB_2017-10-24-commons.u183	We consider all areas of taxation in the run-up to all fiscal events, but I have certainly heard my hon. Friend’s comments and I will take them as a representation.
ParlaMint-GB_2017-10-24-commons.u184	(Urgent Question): To ask the Foreign Secretary if he will make a statement on the liberation of Raqqa and the future of the counter-Daesh campaign.
ParlaMint-GB_2017-10-24-commons.u185	I thank the hon. Gentleman for his continued engagement on this important issue. Raqqa was officially liberated on 20 October. The Syrian Democratic Forces, supported by the global coalition against Daesh, began operations to liberate Raqqa in June 2017. Military operations are ongoing. My right hon. Friend the Secretary of State for Defence has highlighted the continued leading role that the UK is playing as part of the global coalition’s counter-Daesh campaign, and we in this House pay tribute to the courage, commitment and effectiveness of the British forces overseas. The United Kingdom is the second largest military contributor to the global coalition and plays a leading role in the humanitarian response The liberation of Raqqa this month follows significant Daesh territorial losses in Iraq, including Mosul in July. Daesh has now lost more than 90% of the territory it once occupied in Iraq and Syria. The Foreign Secretary will in due course provide a full update to the House on the counter-Daesh campaign, including the operation to liberate Raqqa. I look forward to providing the hon. Gentleman and other Members with further information in due course.
ParlaMint-GB_2017-10-24-commons.u186	I thank the Minister for that response. He will recall that back in November 2015 the then Prime Minister, David Cameron, made the case for the liberation of Raqqa—which has now been achieved—a central part of asking the House to endorse the RAF airstrike campaign, which has been taking place in Syria since that time. I think I speak for the whole House when I echo the Minister’s tribute to the professionalism of the Royal Air Force and how it has carried out that campaign. There are significant questions about the conduct of some of the forces in some of the actions in the campaign, but the RAF has been exemplary There are many questions that flow from this, but I want to cover three broad areas in the short time that I have today. First, what is the future for the region? Will the Minister tell us how the UK will engage in attempts to bring to an end the civil war that has already claimed 500,000 lives, the vast majority at the hands of the Syrian regime under President Assad? Secondly, what will be the UK’s role in the reconstruction of the region? Thirdly, what will be the next steps in the global campaign to defeat not only Daesh, which is clearly disintegrating, but the evil ideology that has perverted so many people in the region and enticed too many Brits to join it? Will the Minister also tell us what the future will be for the Brits who have been over to the region and might now be seeking to return The Minister has always been assiduous on this matter, but the Government’s failure to offer a statement to the House following the liberation of Raqqa suggests a lack of respect for Parliament and for the British people, on whose behalf we were asked to make the decision to send the Royal Air Force into a theatre of combat. There is a worry that it also suggests the complacency and lack of grip that have too often been the hallmark of Governments of both colours when attempting to maintain stability in a region in the aftermath of conflict.
ParlaMint-GB_2017-10-24-commons.u187	I am not going to make any evaluative comments about the motivation or conduct of the Government. Suffice it to say, principally for the benefit of those who are not Members of the House but who are attending to our proceedings, that one of the principal motivations for the Speaker in selecting an urgent question is the judgment that the matter needs to be treated of in the House and, implicitly perhaps, that a Government offer of a statement might reasonably have been expected.
ParlaMint-GB_2017-10-24-commons.u188	Thank you, Mr Speaker. To deal with the hon. Gentleman’s last point first, a range of statements have been made at regular periods on Iraq and Syria and counter-Daesh operations, and I indicated in my remarks that the Foreign Secretary intends to present a full statement that covers the range of recent activities. I take the hon. Gentleman’s point about the liberation of Raqqa, and a statement covering that and other things is expected and will come in due course, but he was right to ask this urgent question, and I appreciate that and am happy to respond The hon. Gentleman reminded us that David Cameron asked the House to support activity due to the impending civilian crisis in the area where Daesh was active and the horrendous stories of abuse that were emerging. It is to the House’s credit that it recognised and supported that action, and we have seen that carried through extraordinarily by the forces that the House asked to take part. As for the UK military contribution, the RAF has conducted 1,609 strikes to date—1,348 in Iraq and 261 in Syria—using six Typhoons, eight Tornados, and Reaper drones. We have around 1,350 military personnel committed in the region. UK troops have helped to train over 57,000 Iraqi security force personnel, which says much for the opportunity of future stabilisation. Again, we pay tribute to the forces and what they have done, and the quality and accuracy of the airstrikes in which they have been involved The hon. Gentleman asked three specific questions about what happens next in terms of activity, stabilisation issues and ideology. Our partner forces are closing in on Daesh’s presence in the Euphrates river valley up to the border with Iraq. There, the Syrian efforts will be met with those of the Iraqi security forces, closing in on Daesh and ensuring their ultimate military defeat. No one should underestimate the importance of Raqqa to the whole Daesh ideology, and media reports have made that clear. The fall of Raqqa and Mosul is a tremendous blow to those who would have inflicted harm upon us all. The taking of those cities is of immense importance As for stabilisation, we have immediately stepped up our humanitarian support. This weekend, the Secretary of State for International Development announced an additional £10 million to help restore crippled health facilities, to deliver much-needed medical support and relief and, crucially, to clear lethal land mines and explosives. In leaving the city, Daesh has left a reminder of its killing machine behind it, and we are making immediate efforts in relation to that. We will of course move towards further stabilisation in due course as the area becomes more stable. Lastly, the hon. Gentleman is right to suggest that military action on the ground is only one part of the contest with Daesh and its ideology. We must be prepared for Daesh to change its form. It will return to its terrorist roots, luring more adherents to its evil ideology, so we will continue to tackle the extremists on simultaneous fronts, including by preventing foreign fighters from returning to their country of origin. We will continue degrading Daesh’s poisonous narrative, decreasing its ability to generate revenue and denying it a safe haven in the virtual world. Indeed, as I was able say at the United Nations recently, we will also ensure that Daesh is brought to justice. Fighters returning to the United Kingdom can expect to be questioned about their role, and it will be for the Crown Prosecution Service to consider any evidence against them. Fighters who are captured in Iraq or Syria must be treated according to the laws of armed conflict, but they can well expect to stand trial there if offences are alleged against them.
ParlaMint-GB_2017-10-24-commons.u189	We should reject the language coming out of Russia comparing the bombing of Raqqa to the bombing of Dresden. None the less, the result is not dissimilar Will my right hon. Friend try to rectify a wrong that has so often affected us in the aftermath of such events by calling for a donor conference and showing British leadership, so that we can start to rebuild Raqqa and what little remains of the shattered lives of its inhabitants and those who used to live there?
ParlaMint-GB_2017-10-24-commons.u190	My right hon. Friend is correct to point to the immediate misery of the aftermath for those who have been caught up in the conflict. The world now recognises that it has a responsibility to work with those on the ground to rebuild areas of conflict, because that is the best way to prevent conflict from happening again. We expect a political reconciliation, so that there are no sectarian difficulties in either Iraq or Syria as they return to conventional governance On the physical reconstruction, the Syrian Democratic Forces have been at pains to minimise the damage to the city’s infrastructure as they advance, but, in an urban battle such as this, it is impossible to advance against an enemy such as Daesh without causing any damage at all. It must be remembered that Daesh’s tactics do not adhere to the conventions of warfare. It booby-traps buildings and has taken many other desperate measures to protect its vile interests, including using schools and hospitals as tactical headquarters, denying those facilities to the innocent civilian population A stabilisation programme will be put forward under the auspices of the UN reconstruction effort, which will come after political decisions are made to ensure the reconstruction follows political commitments made by those involved in the governance of Syria. I do not know about a donor conference yet, but I will take that idea back to the Foreign Secretary and the Secretary of State for International Development.
ParlaMint-GB_2017-10-24-commons.u191	Thank you, Mr Speaker, for granting this urgent question to my hon. Friend the Member for Barrow and Furness (John Woodcock). I thank the Minister for his opening remarks. I wholeheartedly agree with his sentiments. For once, we are in union that the victory against Daesh in Raqqa is a vital blow against an evil death cult, and it makes a mockery of Daesh’s pretensions to establish a caliphate in Syria or elsewhere. It shows them to be the weaklings and cowards they are This is a timely reminder of the battle we and our allies fought on this very day 75 years ago, the second battle of El Alamein—the battle that destroyed the Nazis’ ambition to control Egypt. As we recall Churchill’s words after that hard-fought victory, perhaps we can turn them around: this is not the end of the beginning for Daesh, it is the beginning of their end. We should be grateful for that I hope the Minister can address my questions in his response. If he is unable to do so and we rely on the Foreign Secretary to make a fuller statement, will he ensure the Foreign Secretary is able to answer my questions? I will not repeat the question on the Government’s response to the humanitarian crisis, but this is my second question: now that Daesh is in disarray in Syria, what is Britain’s ongoing military mission in Syria? In short, what is our strategy for the future of Syria, and what is the military’s role in that strategy? In particular, what steps will the Government now take to help rebuild some form of sustainable governance in Raqqa? What role, if any, will the armed groups that helped to liberate the city from Daesh play in its future administration? And how will the Syrian, Kurdish and Arab opposition forces, which played such a pivotal role in the campaign to retake Raqqa, be represented as part of a genuinely viable peace process for Syria as a whole? If there is one thing on which we can all agree, surely it is that the very last thing the middle east needs right now is another vacuum Finally, as the Minister will know, his Department recently confirmed that it has channelled £200 million since 2015 to support the so-called moderate opposition in Syria. Can he give the House a guarantee today that none of that money has ended up in the hands of al-Nusra or other jihadi groups? It would be a tragedy if, while rightly celebrating the destruction of Daesh in Raqqa, British taxpayers’ money is funnelled into organisations that are just as bad.
ParlaMint-GB_2017-10-24-commons.u192	I warmly welcome the right hon. Lady’s remarks, which are highly appropriate and much appreciated. The whole House has engaged collectively on this subject, and it is appreciated by all that she speaks as she does. The House is demonstrating that there is nothing between us on presenting a united front against Daesh and its ideology I am pleased that the right hon. Lady mentions El Alamein, partly because I was there on Saturday. As a much-travelled Minister, I had the opportunity to represent Her Majesty’s Government in laying the wreath on behalf of the United Kingdom to commemorate the 75th anniversary of that extraordinary battle, which over a period of days turned the tide in north Africa and in the war. I was proud to stand alongside representatives of the Commonwealth and people from the United Kingdom who fought with the Desert Rats, as well as representatives of the German and Italian Governments, to recognise that, 75 years later, Europe has achieved much by coming together. In doing so, we demonstrated tolerance and forgiveness, which are sometimes rather lacking in other parts of the middle east, where memories are long and dates are often remembered for the wrong reasons. I was proud to represent the United Kingdom, along with representatives of the military, our ambassador and Admiral Sir Tim Laurence, who represented the Commonwealth War Graves Commission, of which he is vice-chairman Returning to the right hon. Lady’s questions, we recognise the need for ongoing humanitarian relief, about which we have more information if she wishes. As far as the military are concerned, we do not know what will come next. The military will remain engaged as long as there is a need for them to be there. As I have indicated, the strategy further to close off the avenues for Daesh in the Euphrates valley will be supported by United Kingdom personnel until there is no possibility that military action could recommence and no possibility that coalition forces could be put under pressure As the right hon. Lady rightly says, the coalition is clearly essential. The coalition comprises a large number of people from the Kurdish region of Syria and Iraq and from other areas. Discussions are ongoing about how the coalition will stay together, but it is premature to say anything about a disbandment. The coalition has to be kept in place until there is no further military threat, and that will be advised either by my right hon. Friend the Defence Secretary or my right hon. Friend the Foreign Secretary in due course On support going in the wrong direction, there has been a continual concern since 2011 that, in trying to provide support for legitimate opposition forces in such difficult circumstances, arms and money get traded. There has been an absolute determination to try to ensure that supplies going to support opposition forces do not go in the wrong direction. As far as possible, that is still the case. I cannot say with absolute certainty that not a single pound or element of aid has gone in the wrong direction—there are difficulties on the ground, where forces must co-operate to overcome Daesh—but the Government are absolutely determined to ensure that, as far as possible, the risk is minimised. I assure the right hon. Lady that that is the case.
ParlaMint-GB_2017-10-24-commons.u193	The Minister of State is an extraordinarily busy and conscientious bee, and I feel sure that I speak for the whole House in saying how delighted we are that he represents us on these important occasions in all sorts of different parts of the globe.
ParlaMint-GB_2017-10-24-commons.u194	Does the Minister accept that the reason why bombing Daesh in Syria was so much more controversial than bombing it in Iraq is the same as the reason why there have been so many more RAF airstrikes in Iraq than in Syria? Namely, we want the ground forces of the Iraqi Government to win in Iraq, but we claim not to want the ground forces of the Syrian Government to win in Syria. Does he accept that the outcome of the welcome squeezing out of Daesh in Syria is down to a combination of the Kurdish-led Syrian Democratic Forces and Syrian Government forces, whether we like it or not? The 70,000 so-called moderates are now well and truly dominated by Islamists, and as the right hon. Member for Islington South and Finsbury (Emily Thornberry) said, we ought to be careful about whom we support.
ParlaMint-GB_2017-10-24-commons.u195	I am not going to go over previous discussions about this, and I understand the point of my right hon. Friend’s question. The coalition forces in Syria that have been backed in relation to Raqqa contain a variety of forces, but not Syrian regime forces. We still hold, and are right to hold, the Syrian regime responsible for a large proportion of the atrocities in Syria, and that should not be forgotten or glossed over. President al-Assad is responsible for launching murderous attacks on his own people, and it has been right to separate, in so far as is possible, coalition forces fighting Daesh from those of the regime.
ParlaMint-GB_2017-10-24-commons.u196	We welcome the news that Daesh or the so-called “Islamic State” has been defeated in Raqqa by the Syrian Democratic Forces after its three-year rule over the city. We also welcome the pledge we hear today of £10 million from the Department for International Development in humanitarian aid Does the Minister agree that in order to sustain the military achievement in Raqqa, rebuilding efforts and the introduction of post-IS mechanisms need to start immediately in order to allow locals to develop and run their city meaningfully and in an inclusive manner that will ensure good governance and reliable public services? What funds have therefore been allocated, both to the immediate and the long-term reconstruction of Raqqa and the wider region? Does the Minister agree that British jihadists need also to be captured, where possible, and tried for their heinous war crimes, some of which, such as genocide, can only be faced in the International Criminal Court at The Hague? That would allow the whole world to witness them. Does he agree we should do that rather than, to use the words of the Minister of State, Department for International Development, the hon. Member for Penrith and The Border (Rory Stewart), follow an approach where “the only way of dealing with them will be, in almost every case, to kill them.” That of course will only fuel IS recruitment.
ParlaMint-GB_2017-10-24-commons.u197	I thank the hon. Gentleman for his support. There are two elements of reconstruction after conflict, the first of which is the stabilisation phase. My right hon. Friend the International Development Secretary addressed that the other day, and it is about providing the immediate assistance that is needed. As I indicated, that helps to clear lethal landmines and explosives, restock hospitals and mobile surgical units, provide some 145,000 medical consultations, provide immediate relief for innocent people who have been displaced, improve access to clean water and look after pregnant women who are in difficulties. The United Kingdom is contributing to that immediate work. In the longer term, resources have not yet been allocated, and that will be done in conjunction with UN and other donors who will be providing support. That will be a long-term process Again, the hon. Gentleman put his finger on the necessity for inclusive governance in a difficult area. That will be a matter for the Syrian people and for the political negotiations we expect to start in Geneva in November, which will look at the overall governance. They will have to take into account the situation in Raqqa and the political situation in the area, which will be difficult, but he is right to talk about inclusion On those returning to the United Kingdom, let me make it clear, as the Defence Secretary said on 12 October, that those who go to Syria put themselves in danger. Those who go to Syria to take action against the United Kingdom and the UK’s interest put themselves in particular danger, and if they are involved in conflict or in planning actions that will take the lives of British citizens, they run the risk of being killed themselves. Of course those who surrender to forces in the area must expect to be treated under the laws of armed conflict, and to be treated properly and humanely in terms of being brought to justice. As I have said, those who return to the UK will also be questioned about their activity and brought to justice. It is important that justice is seen as the ultimate outcome for those who have committed wrong, but those who are a present danger to the UK run a greater risk and it is right that they do.
ParlaMint-GB_2017-10-24-commons.u198	I thank my right hon. Friend for his detailed and full answers; he has been educating the House very effectively. May I, however, press him on a couple of areas he has not yet addressed? Does he not agree that the finality of the conflict in Raqqa gives the lie to Russia’s claim that it was in any way supporting the fight against Daesh? May I therefore call upon him and on his colleagues to make representations to the Russian Government that the actions they are taking in Syria are against the interests of humanitarianism and of the civilians? Will he make representations to the Russians to say that what they are actually doing is making a new problem for themselves in the future?
ParlaMint-GB_2017-10-24-commons.u199	I thank my hon. Friend, who is the Chair of the Foreign Affairs Committee. Russia’s engagement in this has clearly been to stabilise the Assad regime. The Russians’ primary objective has been to secure their interests in Syria, through Assad, rather than to recognise that he had turned against his own people and to join in a coalition of interests to secure peaceful transition and peaceful reform as part of the end of the conflict. Clearly there are operations against Daesh which have not been participated in by regime forces or those who have supported them, such as the Russians, and other action has been taken, but I am not sure it is true to say that in all cases Russia has not taken action against Daesh forces, because it will have done when those forces were threatening the regime. That is when Russia will have taken that action Moving on, the Geneva talks that will start under the guidance of Staffan de Mistura will inevitably involve Russia as a participant in trying to see what we can do now, towards the end of the conflict, to provide stabilisation. I can make it clear that the UK will echo the remarks made by the Chairman of the Foreign Affairs Committee. We recognise Russia’s responsibility in the conflict, but now it has a responsibility in the post-conflict situation to remedy some of the problems it has caused.
ParlaMint-GB_2017-10-24-commons.u200	Some Members of this House received and continue to receive considerable abuse for the decision we took back in November 2015 to support the extension of the RAF mission to Syria. Does the liberation of Raqqa and this considerable setback to Daesh not show that we were absolutely right?
ParlaMint-GB_2017-10-24-commons.u201	Yes, in a word. We have been learning over time the consequences of not taking action. We have all learned that there are consequences of action and of inaction, and sometimes the choices are impossible. But it is perfectly clear that decisions not to do anything will almost inevitably result in a situation becoming worse and steadily more difficult for those involved. The right decisions have to be taken on intervention or not, but the decision of the House to support David Cameron’s determination to take action in Syria was the right one.
ParlaMint-GB_2017-10-24-commons.u202	Is the Minister aware that a young medical student from my constituency, who was radicalised at Khartoum University, went to Raqqa, via Turkey, to work in an ISIS hospital? She and dozens of other such medical students are obviously authors of their own peril, but does the Minister agree that every effort should be made to get them out safely?
ParlaMint-GB_2017-10-24-commons.u203	We have no facility to get British citizens out of Syria. Those who have gone to Syria have not been able to access any consular support, because we cannot put British officials at any risk in trying to deal with that. At present, that is the situation. Those who have gone to Syria have done so at their own risk. Inevitably, some people will return, and I hope that those who have a story to tell about turning against Daesh are able to convince others that this was a false ideology and that they should not be seduced by them into travelling abroad; these people may have a role to play in making that story clear.
ParlaMint-GB_2017-10-24-commons.u204	In welcoming the liberation of Raqqa from Daesh, we recognise that the city has experienced death and displacement on a huge scale. The 8,000 or so civilians left are in a devastated city without access to drinking water, sewerage, electricity, schools and hospitals, and Assad’s forces are just a few kilometres away. Where does the Minister think responsibility for the rebuilding of Raqqa lies? What will the UK Government do to minimise any delays in that arising from what he referred to as political decisions?
ParlaMint-GB_2017-10-24-commons.u205	In a sense, it is not a question of responsibility—certainly the people of the area have not caused their own destruction—and it makes sense for the world to be supportive of efforts that will ensure a return to normality, with people having decent lives. Members can expect the UK to play a leading part in supporting those efforts to rebuild schools, hospitals and the economy. I think this is something in which the world will be engaged. On the responsibility of the state, clearly the UK holds the regime to be responsible for a significant part of what has been inflicted upon its people. There has to be a political decision about moving forward with a political process before reconstruction can begin. The decisions have to be taken and that is the view of the international community. It does not prevent the immediate humanitarian assistance in difficult situations from taking place—that is what is happening now—but longer-term reconstruction must follow a political settlement.
ParlaMint-GB_2017-10-24-commons.u206	Does my right hon. Friend know how many Daesh terrorists have escaped from Raqqa and where they might be headed?
ParlaMint-GB_2017-10-24-commons.u207	I do not know the answer to that question because it is just impossible to gauge. Talk seems to centre around the low thousands of foreign fighters. Over time, it will become clearer, but I am not sure I can rightly say anything more accurate than that. It is clear that some will attempt to return to other parts of the region and beyond from where they came. Some countries have supplied more fighters than others. They will be a risk until they have all been interviewed, those who are responsible for crimes have been brought to justice, and others have been dealt with in other ways.
ParlaMint-GB_2017-10-24-commons.u208	My right hon. Friend the Member for Exeter (Mr Bradshaw) referred to the vote two years ago. Unfortunately, I was unable to take part in that vote, but I welcome the liberation of Raqqa. As the Minister said, it proves that conflicts of this kind cannot be won simply from the air. Ground forces have to be used. Will he reiterate our praise for the Syrian Democratic Forces, particularly Syria’s Kurds, who have played a pivotal role, and tell the Turkish Government to stop attacking them?
ParlaMint-GB_2017-10-24-commons.u209	The hon. Gentleman has always been clear in his determination to take what he considers to be the right action, regardless of the political pressure on him, and he has been courageous to do so. Some battles clearly cannot be fought without ground troops being involved, as recent conflicts in Iraq and Syria have shown. There would have been no liberation of Mosul from the air, nor of Tal Afar or Raqqa. The United Kingdom did not take part in those operations; others have done so elsewhere, with our support. The hon. Gentleman is right to mention Kurdish forces’ leadership of the coalition forces that have been operating in Raqqa and the extraordinary work they have done. Whatever difficult situations may be faced back in the Kurdish region of Iraq, it is clear that those fighters and the people they represent deserve to be treated with the greatest of respect. Any political situation needs to be handled with great care, and there needs to be a lot of dialogue between states, not undue pressure or force.
ParlaMint-GB_2017-10-24-commons.u210	I welcome the news that Raqqa has been liberated from Daesh, especially with respect to Paradise Square, where the terrorists carried out public beheadings. I thank the Minister for all his work to secure the UN resolution on locating and prosecuting Daesh. Will he update us on that, and on the Geneva process?
ParlaMint-GB_2017-10-24-commons.u211	I thank my hon. Friend for her kind remarks. I was pleased recently to have the honour of moving the resolution at the UN, which was adopted unanimously by the Security Council, to further the work commenced the year before by the Iraqi Foreign Minister to bring to justice those responsible for the crimes of Daesh and to institute an investigative process to help that work. The United Kingdom will support that work and see the resolution carried through. I met Staffan de Mistura in New York and he is hopeful that the Geneva process will restart in November. There is clearly a long way to go, but an absence of conflict will help that process. It is essential that a process of justice emerges from the political conversations in which the people of Syria have the chance to choose their leadership, and that they do not have one imposed on them.
ParlaMint-GB_2017-10-24-commons.u212	The Minister has said some helpful things today, not least about the cost of inaction possibly being as great as the cost of action—a point made forcefully in the paper written by the hon. Member for Tonbridge and Malling (Tom Tugendhat) and Jo Cox, “The Cost of Doing Nothing”. Does the Minister agree that it is vital that those who have committed war crimes in Syria are brought to justice? Will he update the House on the British Government’s role in making sure that the Syrian Government, who have prosecuted a brutal campaign and bombed hospitals, are brought to justice in whatever way possible?
ParlaMint-GB_2017-10-24-commons.u213	I hope it will please the hon. Lady if I tell her that while I was in New York I met the leader of the White Helmets, along with members of the opposition. We give enormous credit to them for what they have achieved, and to the work of the hon. Lady and others in supporting them On bringing people to justice, it is clear that those who are responsible for war crimes in any circumstances—whether they belong to Daesh or the regime—should feel that justice is available against them. The process against Daesh is clear; I suspect that the process against the regime will be more difficult, but if there is evidence, it should be prosecuted and pursued. The United Kingdom will be determined to see that process carried through, although I do not suspect for a moment that it will be particularly easy.
ParlaMint-GB_2017-10-24-commons.u214	Like all colleagues, I welcome the military defeat of Daesh in Raqqa. What steps is the international community taking to ensure the vacuum in that area is not filled by the Iranian militia? That region is a key link to Lebanon, where Iran has some key interests.
ParlaMint-GB_2017-10-24-commons.u215	My hon. Friend’s knowledge of the area is considerable, and we remember his long campaign to make sure that we refer to Daesh as Daesh. We pay tribute to him for that. The militias operating in the region are not always under the control of the coalition forces or, in Iraq, of the Iraqi Government. As far as I am aware, every attempt has been made to ensure that the forces occupying the ground are under the coalition’s control and thereby to minimise any danger of sectarian activity. However, we have to remember that some of the militia have been involved in close fighting and helping to relieve some areas. It is essential that those who are responsible for them now play a part in building a consensual process of governance and do not use them for sectarian purposes. It is an opportunity for some to perhaps show new colours, take a different direction from the one they have taken in the past, and build stability rather than disruption.
ParlaMint-GB_2017-10-24-commons.u216	The Minister rightly referred to the accuracy of the 261 British strikes on Daesh in Syria, by which I presume he also means to say that, to his knowledge, no civilians were casualties of British strikes. By contrast, the Russians said that their whole aim in Syria was to attack and put an end to Daesh, yet 95% of their attacks seem to have been on other opponents of Assad. Does that mean that the Russians are liars or militarily incompetent?
