ParlaMint-GB_2017-03-07-lords.u1	Hear, hear!
ParlaMint-GB_2017-03-07-lords.u75	My Lords, this has been another good debate. I suspect that it confirms what many of us already know: that there are a number of your Lordships who passionately believe that the people have made a grave mistake by voting to leave the European Union and that there needs to be a referendum at the end of the negotiations. As I said before, I respect their views and I repeat my wish to bring together those on both sides of the argument—leave and remain—as we continue. But the Government are very clear that the amendment before us is misguided both in practice and in principle. Our reasons are very clear and they start with the democratic path that we have followed so far On 7 May 2015, the Conservative Government were elected by 11.3 million people, committed to a referendum on the UK’s membership of the European Union and committed to honouring the outcome. On 7 September 2015, 316 members of the other place voted in favour of holding a referendum by a majority of six to one. No condition or caveat was attached to the referendum, as my noble friend Lord Faulks pointed out. Parliament agreed on the question, which was simple: leave or remain? On 23 June 2016, 17.4 million people voted to leave the European Union. On 8 February this year, the other place passed this Bill unamended—a simple Bill to trigger the process of leaving the European Union —by a majority of 372. This is the democratic path that has been followed, a path that will lead this country to leaving the European Union Some argue that we need another referendum, on what I consider to be somewhat peculiar and weak arguments. I refer to the wise words of the noble Lord, Lord Lee of Trafford, who said that, “however it is dressed up, it will be seen as a second referendum. I cannot support that. Our people have already spoken”.—[Official Report, 20/2/17; col. 134.] How right he is. Listen to Mr Norman Lamb, the Liberal Democrat Member of Parliament for North Norfolk, who said that the second referendum would raise, “the question as to whether we’d remain in the European Union” But it was made abundantly clear that the referendum in June was, to quote the leaflet sent to all households in the UK, “a once in a generation decision” There was nothing on the ballot, and no suggestion from Parliament, that there would have to be another referendum if the UK were to vote to leave. During the campaign, the then Prime Minister said: “I am absolutely clear a referendum is a referendum, it’s a once in a generation, once in a lifetime opportunity and the result determines the outcome ... You can’t have neverendums, you have referendums” The next bogus argument is that people did not know enough to make an informed decision. I do not see that approach and argument as particularly liberal or democratic; I see it as somewhat patronising. It is as if we are saying, “We trust the people, but not quite entirely”. That Government leaflet spelled out the consequences and on many occasions during the campaign those on both sides of the argument made it clear that a vote to leave meant leaving the single market. For example, Mr David Cameron said: “The British public would be voting, if we Leave, to leave the EU and leave the Single Market” Mr George Osborne said: “We’d be out of the single market, that’s the reality” Mr Michael Gove said that we should be, “outside the single market”. The noble Lord, Lord Darling, said: “Those wanting to leave the EU want to pull Britain out of the single market” My noble friend Lord Hill of Oareford said: “The Leave campaign has … been clear what Leave means: it means leaving the Single Market” These politicians were right to point this out, for if we were to remain in the single market it would mean complying with the EU’s rules and regulations without having a vote on what those rules and regulations are. It would mean accepting a role for the European Court of Justice that would still see it having direct legal authority in our country and it would mean not having control of our borders. It would to all intents and purposes mean not leaving the EU at all The next peculiar argument is that a second referendum is needed to bring the nation together. Here I agree entirely with what was said by the noble Baroness, Lady Smith. If the argument is that the first referendum divided the nation, a second referendum is hardly likely to unite it—quite the reverse. Rather than bring people together, it would merely encourage divisions to fester Let me say a word about the need to come together. The most reverend Primate the Archbishop of Canterbury made a thoughtful and powerful speech. He is right about the need to heal our divisions and to work together to tackle the challenges we face. I would like to put on the record once again my thanks to the Church of England for hosting round tables to do just that. Moreover, others agree that we need to come together by saying: “If we have to be out then let’s make the best of it” Those are the words of the noble Lord, Lord Ashdown, who on the question of a second referendum, said: “Politicians should stay out of that”, and the report of the event at which he said this—which I assume to be valid and not some form of fake news—continues as follows. Lord Ashdown, “did not call for a second referendum on the UK’s membership of the EU saying it would be ‘foolish and wrong’ for Parliament to do that”.
ParlaMint-GB_2017-03-07-lords.u76	My Lords, let me see if I can make a rather better hash of it this time than I did with the noble Lord, Lord Carlile. Is the Minister embarrassed by the fact that he keeps on answering the question by referring to an issue that is not addressed? We are not saying that there has to be a second referendum on European Union membership. That is done and we accept that the Government have their mandate. What we do not believe the Government have a mandate for is a brutal Brexit that will take us out of the single market. Can he explain why he believes that he does have that mandate, given that it was set out specifically in the Conservative Party manifesto that they would not do this?
ParlaMint-GB_2017-03-07-lords.u77	My Lords, the Conservative Party manifesto made it absolutely clear that we would respect the outcome, a position that the noble Lord himself took on the night of the referendum. It is absolutely our intention that the Government will deliver on the results of the referendum. I know that the noble Lord is spending Lent eating his own words, but I am sorry to say that he is wrong on this point Then there are the consequences of such a referendum. Would it bring certainty? Will businesses clap their hands with glee at the thought of a referendum some years off, the basis on which it would be held unclear, but the consequences of which could be to throw the entire negotiated settlement up in the air? We know the answer. As I have said, the Institute of Directors have called for: “A commitment across all major political parties … not to undertake a second referendum on either EU membership or the Brexit deal to reduce uncertainty” What would happen, even after all this, if the result of the second referendum is still to leave? As some noble Lords have pointed out, would we once again be subjected to people saying, “Actually, we don’t like this answer. Please try again”? Where does it end? Will we continue to hold the same referendum until we get the result that those who support this amendment prefer?
ParlaMint-GB_2017-03-07-lords.u78	If, as the Prime Minister said in her Lancaster House speech, no deal would be better than a bad deal, is the Minister really telling us that in the circumstances of no deal he would absolutely rule out a referendum in the future?
ParlaMint-GB_2017-03-07-lords.u79	Yes, my Lords. It is very clear: we are leaving the European Union. That is the pure and simple answer to the noble Lord.
ParlaMint-GB_2017-03-07-lords.u80	My Lords—
ParlaMint-GB_2017-03-07-lords.u81	No, I am sorry, my Lords; I am going to finish. I know that we will come back to this. Forgive me but I will not give way. I know that we will have a lot of debate after lunch about the meaningful vote that we will have, and I am sure that the noble Lord will have a chance then to have his say The noble Lord, Lord Newby, said on Wednesday that the rejection of a second referendum would be the antithesis of democracy. With respect to the noble Lord, I totally and utterly disagree. The referendum itself was democracy in action. We were also told that, “a second referendum entails risks for which the price is too high”—[Official Report, 21/2/17; col. 160.] and that: “A further vote will prolong the uncertainty and cause uproar in the country, or worse”.—[Official Report, 20/2/17; col. 134.] Those are the words of the noble Baroness, Lady Falkner of Margravine, and the noble Lord, Lord Lee of Trafford, and I entirely agree with them. Calling a second referendum, as this amendment seeks to do, would undermine the will of the people as expressed in the EU referendum. The people have voted to leave the European Union and leave we will. Therefore, I hope that the noble Lord will withdraw his amendment.
ParlaMint-GB_2017-03-07-lords.u82	My Lords, I thank all noble Lords who have taken part in this debate, which boils down to a single question: is it Parliament or the people that take the final decision on our future in Europe? The noble Lord, Lord Carlile, said that it should be Parliament but that if Parliament rejected the deal, there might be a confidence vote. There would then be a general election, but a general election is an extremely imperfect way to debate a single issue. I think all parties have found that, as did Mr Heath. The noble Lord, Lord Forsyth, says that the Liberal Democrats might have found that, but with the current leaderships of the two main political parties, does he genuinely believe that a general election would be solely or even mainly on the issue of Brexit? No, my Lords; the general election is a very imperfect tool for dealing with such a specific question I have the highest regard for the most reverend Primate, but I am afraid that when he says that a further referendum is not democratic, I simply cannot agree. I cannot see the logic of that and I am sorry to say that I really cannot follow that argument at all It has been argued that the people cannot take a decision in these circumstances because it would be a binary choice. It is quite unclear to me why it is perfectly reasonable for Parliament to take a binary choice but not the people. Finally, it has been argued by a number of noble Lords that it is all too complicated for the people to take a final decision on this matter. That is the antithesis of democracy I ended my Second Reading speech by quoting Gladstone and, indeed, the Brexit Secretary: “Trust the people”. That was our stance a fortnight ago and it is our stance today. I wish to test the opinion of the House.
ParlaMint-GB_2017-03-07-lords.u83	It may help noble Lords if I explain that we hope to complete this amendment before we adjourn the Report stage for Questions. I hope noble Lords will be able to have some refreshment before 2.30 pm Amendment 2
ParlaMint-GB_2017-03-07-lords.u84	I have always thought the Government Chief Whip was a very nice man. I do not think he was offering us lunch today but he was offering us time for lunch This is a short and, I hope, sweet amendment. It is about the cement between Amendment 1 and Amendment 3. Amendment 1 has been defeated and therefore we are not talking about a referendum at the end of negotiations, but Amendment 3, which I trust will be carried, is about putting the decision at the end to Parliament. Amendment 2 basically states that, in order to make that as good a way of moving forward as possible, we will need to have from the Government—not as a running commentary, or even as a walking commentary, but as a dialogue with Parliament—some feedback about how the negotiations are going This is not only about what we are offering as a Government, as a country, but also about what is happening on the other side. We think we will be negotiating with just one bloc—the European Union—but there are 27 countries on that side and there will be ups and downs, elections, changes of personnel and all kinds of things happening within those 27 countries Charles Grant of the CER, who is usually correct, has said that in all of this, politics matters more than economics. Therefore feedback from the Government about how the other countries and the European Union are responding will help us to understand the negotiations. As I said in Committee, it would be terrible if we come to that final vote in this House and there are surprises because we do not know what has been happening and how discussions have been going and, even worse, because the Government have not taken the time to listen to our EU committees.
ParlaMint-GB_2017-03-07-lords.u85	What would be the provision for an expression of opinion in both Houses on the later stages of those quarterly reports and negotiations? If people wanted to express an opinion, it might be legitimate for them to do so with a formal vote.
ParlaMint-GB_2017-03-07-lords.u86	I will leave that to the usual channels, who will discuss it at the time. I deal with content not process. That is why I will be pleased when this Bill is over and we get into the real meat of the negotiations, with which I wish Ministers luck. The task of negotiating will be extremely hard and that is why they could benefit from discussions in the House. It is important that we should hear back almost the mood music of what is going on. We should hear some detail so that it will not be any surprise. If people think this will all be done in secret then they have not worked in Brussels for very long. It is as leaky as a sieve and we will be reading a lot about the negotiations. It will be more like a colander than a bucket about the things that are going on in there and taking stock will be important. We have already stressed the importance of the devolved Administrations also being involved and to check that they are. We can talk on this Therefore, with a nod to this afternoon’s debate and what I hope will be its outcome—that Parliament will get the final vote—if the final deal is to win the consent of Parliament there should be no surprises and a grown-up conversation should go on. I am sure that the Government will not veer off in ways that surprise us, because we do not want to vote down something because it is a surprise. We will want to have a proper vote at that time. To make the final vote a proper one, we ask for these reports to be quarterly, and if the Minister thinks that means only quarterly he needs to think again: there needs to be a minimum of quarterly reports, so that we can discuss how it is going. I beg to move.
ParlaMint-GB_2017-03-07-lords.u87	My Lords, I rise briefly to support the noble Baroness, Lady Hayter. It is important to have a structured schedule and framework for reporting back to Parliament as part of the whole scheme that we are trying to set up, including a meaningful vote, which we will discuss this afternoon The European Parliament example has been much prayed in aid. Those of us, like myself, who were in the European Parliament, and others, will know that one of the incentives for making sure that the European Parliament was kept informed throughout the process of negotiating external agreements was that it had the power to reject them at the end. After the European Parliament had rejected several international agreements, the European Council, the Council of Ministers and the Commission finally came to their senses and realised that it was much better to front-load the system so that the European Parliament was kept informed along the way, instead of getting a nasty surprise at the end. In the jargon, that accounts for the “inter-institutional arrangements”, which include reports and the making available of documents throughout the process. It is a much better way of managing it and making sure that the Council’s negotiating objectives are delivered in a “smooth, orderly way”, which, I think, is the phrase often used by the Government about Brexit. There are, therefore, good practical reasons for having a very structured system of reporting back.
ParlaMint-GB_2017-03-07-lords.u88	My Lords, the noble Baroness, Lady Ludford, talks about everything happening in a smooth, orderly way. I rather agree with the noble Baroness, Lady Hayter. Everything will leak. The EU Commission is obliged to report to the European Parliament and the whole idea that the European Parliament will say, “This is all secret information, we should not let it out”, seems to me to be for the birds. Everything will leak and we will hear rumours about how far the negotiations have got, or what has happened. At that point, Parliament will demand a debate. The Government will get up, if this amendment is passed, and say, “No, you must wait for the quarterly review in two months’ time”. I do not think so. I think that the House of Commons will say, “Come on, get on with it, we want a response. Why have we heard these rumours? The Government must put us straight on all of this” This amendment, therefore, would achieve nothing. Everything will leak from the negotiations. When things of substance leak, Parliament, particularly the Commons, will demand a debate, and your Lordships’ House will no doubt do the same. This amendment is otiose.
ParlaMint-GB_2017-03-07-lords.u89	My Lords, I made the point in Committee that if you want sovereignty of Parliament you should vote as quickly as possible for this Bill and subsequent Bills to get us out of the control of the European Union. I make the point now—it is rather similar to that of my noble friend—that it is highly unlikely that the Government will accept this amendment. If it prevails, we will potentially be into a constitutional issue Therefore, one has to ask what options are likely to occur in the event of this House passing this amendment and, as my noble friend has just suggested, the other House passing it back to us, with the Government standing firm. There are three options. First, the Government could do nothing and concede the situation, but I think that that is highly unlikely. To lose control of the Bill at this stage on this issue would be very questionable wisdom on the part of the Government. Secondly, they could create 100 Peers. That is unlikely as well and would be rather dramatic at this stage. Thirdly, they could call a general election. That option should be under strong consideration by the Government at the moment. Through a vote of confidence in the Commons or whatever, they could have it out in the well-known democratic way of doing things—through a general election. I want to put on the record that there should be one round of ping-pong and then we should call a general election.
ParlaMint-GB_2017-03-07-lords.u90	My Lords, I wish to speak in support of the amendment. I tabled a similar amendment in Committee which was rather less demanding than this one, but the Government dispatched it extremely briskly I suggest that this amendment might be helpful to the Government. The idea that all the special interest groups affected by these negotiations—the different sectors, companies and pressure groups—will sit still, while stuff comes out of the EU about the possibility of doing damage to their particular interests and concerns, is fanciful. If the Minister and the Government do not have any structured way of reporting back to Parliament, we will find that many of those people will lobby your Lordships’ House and there will be a demand for a huge number of Parliamentary Questions, as well as demands for debates, to deal with the latest set of rumours about a particular sector, industry or agency which may be being transferred back to Europe. The EMA would be a good example and Euratom is another. Therefore, the Government might find that their life was made a bit easier if there was a structured way of reporting back to Parliament about the progress that was being made, especially if it was reasonably detailed and told some of these interest groups what was going on in the negotiations.
ParlaMint-GB_2017-03-07-lords.u91	Does the noble Lord think that Parliament will be happy if they are given the response that, because the quarterly review is coming up and it is two months away, the question cannot be answered today; it will have to be answered in two months’ time when the clock next ticks round?
ParlaMint-GB_2017-03-07-lords.u92	The noble Baroness’s amendment is very flexible. It refers to a period of at least three months. There is nothing in the amendment to stop the Government serving their own interests by being more forthcoming more frequently. I am sure that the noble Baroness would not mind having reports made on a more frequent basis.
ParlaMint-GB_2017-03-07-lords.u93	My Lords, I am sure that the Government share the sentiments expressed from the Front Bench opposite—indeed, from both Front Benches opposite. The proposal would be entirely in the interests of the smooth development of policy in this difficult area, which I am sure we all understand is extremely difficult. The more help the Government can get, the better, and I think that they are sufficiently humble to know that If there were any slackness on the part of the Government, we would have plenty of means in this Parliament for getting them to respond, but I do not agree with putting that into an Act of Parliament, and the reason for that is simple. If something is put into a general Act of Parliament, the idea is that the courts are the enforcers, but one thing that the courts cannot do, in view of the Bill of Rights, is to interfere in proceedings in Parliament. Therefore, this is useless as a formal amendment, but the spirit of it is first-class. I feel almost certain that my noble and learned friend will be able to accept that, because the Minister in the Commons said just as much in a passage that I may refer to later.
ParlaMint-GB_2017-03-07-lords.u94	My Lords, I am obliged for the contributions that have been made to the debate. This short Bill has already invoked many hours of debate, so I intend to keep my remarks very brief I endorse the observations of the noble and learned Lord, Lord Mackay of Clashfern, both as to the appropriateness of this amendment and as to the spirit in which it will be and is being received by the Government. As noble Lords will be aware, the Prime Minister gives a Statement to the other place following European Councils. We know that there will be a Council this month, and indeed quarterly thereafter. That means that a Statement will be made to Parliament at least once every quarter on European issues, and it will be repeated in this House. Of course, that is just the beginning of a much wider process over which this Parliament has control at the end of the day. DExEU Ministers have responded to more than 600 parliamentary Written Questions, appeared at 13 Select Committees and given six Oral Statements to the House on developments regarding our exit. The Secretary of State has agreed to give evidence to the Exiting the EU Select Committee on 15 March, alongside the Permanent Secretary at DExEU, and will shortly afterwards give evidence to the Lords EU Committee on 22 March The Government are committed to parliamentary scrutiny, and Parliament will play a key role in scrutinising and shaping our withdrawal. As my noble friend Lord Bridges observed last week, we have had take-note debates, debates on Select Committee reports, debates in government time and Select Committee appearances. All this will continue in order that Parliament can scrutinise the development of negotiations in so far as is possible to put those in the public domain and in so far as they come into the public domain The noble Baroness, Lady Hayter, referred to secrets, and the noble Baroness, Lady Ludford, referred to nasty secrets. This may reflect a difference of approach, but at the end of the day there will not be any secrets. You cannot conduct such a process in secret, ultimately, and then expect Parliament to consider that it is being kept properly informed, as it should be, if you have what are termed secrets. We are committed to keeping Parliament at least as well informed as the European Parliament as negotiations progress A Bill to repeal the European Communities Act will follow. There will be primary legislation on issues such as immigration and customs, and a vote at the end with regard to the process on the final deal to exit With all that in mind, I will pose a few questions. Is the Prime Minister already bound to give a Statement to Parliament after every quarterly European Council? The answer is yes Have the Government been willing to give frequent Statements to Parliament? The answer is yes Have DExEU Ministers and other government Ministers appeared in front of Select Committees? The answer is yes Have the Government listened to Select Committee reports? The answer is yes; we published a White Paper in February this year Do the Government aim to respond to the Select Committee reports about Brexit within two months? The answer is yes Have the Government said they will give more information to Parliament, so long as it does not undermine our negotiating position? The answer is yes Then there is the core question: what is the present Bill about? The Bill is about giving the Prime Minister the authority to give notice of withdrawal from the European Union With great respect to the House and to all noble Lords, let us proceed and pass this Bill. It will not be improved by unnecessary decoration and, as the noble and learned Lord, Lord Mackay of Clashfern, has already observed, it is not appropriate that this amendment should proceed. As I believe all Members of your Lordships’ House who have spoken would acknowledge, it is not necessary that this amendment should proceed in these circumstances. Therefore, I invite the noble Lords to withdraw the amendment.
ParlaMint-GB_2017-03-07-lords.u95	I thank the Minister and other noble Lords who have contributed to this debate. The most helpful exchange—I mean no disrespect to the others—was to hear the noble and learned Lord Mackay support the spirit of the amendment and then the Minister say that he agreed. If I could just bottle that, that will do me nicely I want to make only two other points. Although there are of course report-backs after the European Council, the UK will not be there when the European Council discusses our departure. Therefore, it is the other meetings that we are interested in My other comment is in response to the noble Lord, Lord Spicer, who said that if we dared to suggest that Parliament rather than the Crown should take the final decision, Mrs May might call an election. I am much older than my noble friend who spoke earlier and not only did I vote in 1975 but I remember the February 1974 election very well. Edward Heath basically called an election on who governs Britain. Mrs May would not be well advised to go to the country on, “Do you want the Government or Parliament to govern Britain?”. However, that is beside the point. I thank the Minister for the tone of his response and, on that basis, beg leave to withdraw the amendment.
ParlaMint-GB_2017-03-07-lords.u96	To ask Her Majesty’s Government what policy lessons can be learned from the forecast of growing inequality in the Resolution Foundation report Living Standards 2017.
ParlaMint-GB_2017-03-07-lords.u97	My Lords, according to the latest data from the Office for National Statistics, income inequality in the UK is at its lowest level since 1986. The key to economic success and to reducing inequality is to improve productivity, which determines living standards in the long run. That is why the Government have established a national productivity investment fund and published a Green Paper on an industrial strategy, highlighting the role of improved skills, infrastructure investment and R&D.
ParlaMint-GB_2017-03-07-lords.u98	My Lords, the Resolution Foundation argues that preventing the biggest increase in inequality since the 1980s requires a shift in social policy choices, notably the freeze in most working-age benefits in the face of rising inflation. Will the Government now follow the advice of Iain Duncan Smith and reconsider the freeze? He warned that it was never intended that it should have such a “dramatic effect on incomes”—his words. Would that not be the right thing to do, to protect low-income families in and out of work, for a Government who claim to be working for everyone?
ParlaMint-GB_2017-03-07-lords.u99	My Lords, I think we have to have a little context. Savings are necessary to reduce borrowing and to put the public finances back on a sustainable footing after the financial crisis. Between 1980 and 2014, spending on welfare trebled in real terms to £96 billion, while GDP increased by much less. Our approach is a different one. We are committed to supporting working families with a whole host of measures to get people back into work, to innovate, to grow and to put the country on a good footing. It is only a forecast from the Resolution Foundation. Forecasts are not always right, and we are determined to make the changes we need for this country.
ParlaMint-GB_2017-03-07-lords.u100	My Lords, can my noble friend say whether any assessment has been made of the effect of the national living wage on reducing inequality and, indeed, whether there is anything more that can be done in this respect?
ParlaMint-GB_2017-03-07-lords.u101	I thank my noble friend for that question. I believe that the national living wage, brought in in April last year, is a fantastic example of policies that the Government have introduced to make work pay. Looking forward, it will rise again, to £7.50 next month, and it has already given many working people in Britain the fastest pay rise in 20 years.
ParlaMint-GB_2017-03-07-lords.u102	My Lords, observers will have noticed that there is a startling contradiction between the presumption in the Question that income inequality has been growing very sharply and the presumption in the reply that it is doing the opposite. There are different measures, but most of them show that inequality is growing. Would it not be useful if the ONS convened a panel to get a little more clarity as to why figures can be bandied around that give such different descriptions of what is happening?
ParlaMint-GB_2017-03-07-lords.u103	I think the ONS keeps us honest; it looks at these figures over time and very helpfully updates us. The OBR forecasts are also updated all the time so that we can see what is happening. I come back to the point that the Resolution Foundation is looking at a forecast, but if we look at what has happened, five years ago it was predicted by the IFS, I think, that there would be a rise in inequality. In fact, that has not happened. Actually, things have continued to progress and we have seen a recovery. That is what we need to continue by having the right policies, which this Government are pursuing under our new Prime Minister.
ParlaMint-GB_2017-03-07-lords.u104	My Lords, I am shocked that the Minister does not recognise that young working families are facing serious financial pressure and are struggling, and that it looks as though it is going to be worse with inflation. Does she agree that part of the reason is the very high rents that most of these families face? Will she be willing, in the Budget tomorrow, to permit local councils to go out and borrow the necessary amounts of money to drive forward development of affordable rental housing? She has often acknowledged that the housing market is broken but all the Government’s solutions are on the demand side, and supply does not increase, especially not in the affordable area.
ParlaMint-GB_2017-03-07-lords.u105	I would not want to steal the Chancellor’s thunder today. There is certainly some provision for prudential borrowing by local councils, but I come back to the support that we give to working families. The national living wage has already been mentioned by my noble friend. That has provided the fastest pay rise in 20 years. We have raised the personal allowance to £12,500 by the end of this Parliament; nobody had done that before. We are introducing universal credit, which has the benefit of making work pay, so that if you go out and work you are not held back by benefit dilemmas. We are committed to making work pay, and we believe that that is the very best way forward for the people of this country and for hard-working families, which I agree are a priority.
ParlaMint-GB_2017-03-07-lords.u106	My Lords, the Minister cannot discount the Resolution Foundation in such a cavalier manner. It has a strong reputation and it produced very real, well-backed analysis. It said that higher incomes will rise, but slowly; that middle incomes are going to stagnate; and that low incomes are going to fall. We know that the base for low incomes is so little that they will be unable to afford to fall without poverty increasing substantially. The Foundation says it will be the biggest rise in inequality since the late 1980s. I do not need to remind the House which party was in power during that period or which Prime Minister—many of whose Cabinet members, of course, are still with us.
ParlaMint-GB_2017-03-07-lords.u107	I would add that the Resolution Foundation report also says—which is the point I have been emphasising—that economic forecasts can change dramatically and there is no way of knowing just how the future will play out. I believe that the approach we now have—including our industrial strategy, and investment in infrastructure, housing, digital and transport —is making a big difference. We have protected the most vulnerable through the benefit system, which is actually highly redistributive, so that households in the lowest decile get four times the support in spending that they pay in tax, while the highest decile pay five times as much in tax as they receive in pay. We want a fairer society and getting workless households into work and improving productivity and skills is, to my mind, the best way forward.
ParlaMint-GB_2017-03-07-lords.u108	To ask Her Majesty’s Government whether they expect to use article 45 of the Treaty on the Functioning of the European Union to secure a new policy for the admission of migrants to the United Kingdom from the European Union.
ParlaMint-GB_2017-03-07-lords.u109	My Lords, the Government’s White Paper on exiting the EU was published on 2 February. It sets out the Government’s priorities and the broad strategy for exiting the EU and made it clear that we will take back control of our own laws. There are a number of options as to how EU immigration might work once we have exited the EU; we are considering those options and will consult businesses and communities. Parliament will also have a critical role to play.
ParlaMint-GB_2017-03-07-lords.u110	Of course, the so-called main pressure is really from non-EU migrants. Why did not the Government, many years ago, use Article 45 of the TFEU, particularly paragraphs 3(a), (c) and (d), to impose necessary civilised restraints on migrants coming in with authorisation to do so, so that the horrendous hostility to immigrants from all over would not have been so evident in the referendum on 23 June?
ParlaMint-GB_2017-03-07-lords.u111	My Lords, I cannot be accountable for what happened in the past. We have been a very, very generous country in terms of letting people come here for the purposes of work. There was a very clear message sent last year about controlling the numbers of people who come into this country from both EU and non-EU countries. That is what we intend to do and we will keep Parliament fully involved in the process.
ParlaMint-GB_2017-03-07-lords.u112	On 12 January the Government stated in response to an Oral Question: “The directive sets out that in order for an EU citizen to reside in another member state beyond three months, they must be exercising a treaty right; that is, working, self-employed, self-sufficient or a student” After being asked three times why they did not implement this three-month rule for EU citizens still here without a job, but who were not students, the Government said, “it is not a failure to implement … This country is more than generous in its implementation of that directive”.—[Official Report, 12/1/17; col. 2059-61.] First, why do the Government maintain that it is only by leaving the EU that we can reduce EU migration, when they accept that they have not applied the EU directive’s three-month rule as firmly as they could have done, instead considering that they have been “more than generous” in their implementation of that directive? Secondly, how much lower would the net migration figure for EU nationals have been in each of the last five years, had they applied the directive as firmly as they believe they were entitled to do?
ParlaMint-GB_2017-03-07-lords.u113	My Lords, as the noble Lord said we have been a very generous country, and certainly when Labour was in power it decided not to exercise the opt-out the noble Lord asked about. In terms of what the figures would have been had we adopted a different process, we are where we are. The country has given a very, very clear message in the referendum and we intend to follow that through by making sure that net migration to this country is in the tens of thousands.
ParlaMint-GB_2017-03-07-lords.u114	My Lords, I shall endeavour to be helpful to the Minister: the previous questions have been about the past; I want to ask about the future. Article 45 of the Treaty on the Functioning of the European Union relates to the free movement of workers, not people generally. What thoughts have Her Majesty’s Government given to the excellent report by the House of Commons Brexit committee? It talks about the rights of UK and EU nationals in relation to the non-work related aspects of immigration policy, including students and family reunion, and EU spouses compared with non-EU spouses. I declare my interests as listed in the register.
ParlaMint-GB_2017-03-07-lords.u115	My Lords, I am glad the noble Baroness is talking about the future and not the past, which probably neither of us, and certainly I, do not remember. The directive is about the movement of workers and their families. The Prime Minister has been absolutely clear about protecting the rights of EU nationals living in this country. We talked a lot in Committee about the fairness of the process and, therefore, protecting the rights of UK nationals in return. The Government do not want to do this on a unilateral basis. We need to think about all the people involved, both UK nationals living in the EU and EU nationals living here.
ParlaMint-GB_2017-03-07-lords.u116	My Lords, the Minister has actually been very patient with the House during recent Questions in explaining to us the right of residence after five years of work for European citizens, and the right of citizenship after six years. If a European citizen becomes a citizen of the UK, does that mean he or she has the right to remain in this country?
ParlaMint-GB_2017-03-07-lords.u117	I am very grateful to the noble Lord; we talked about this at length the other day. When we talk about the right of residence and comprehensive sickness insurance, that is an EU law, not a UK law, which we implement after five years, abiding by treaty obligations. The noble Lord is absolutely right: an EU national living in this country has permanent residence, and they do not have to prove that permanent residence. He made another valid point, which is distinguishing that from applying for British citizenship. In that application process, which is based on UK law, that person has to prove residence and not be breaking any immigration rules. After six years, they will then be granted UK citizenship, and the noble Lord is absolutely right: they have the right to remain here.
ParlaMint-GB_2017-03-07-lords.u118	To ask Her Majesty’s Government what process they use to assess the impact of government policy on people on low incomes living in rural areas.
ParlaMint-GB_2017-03-07-lords.u119	My Lords, this Government are committed to working for everyone in all parts of the country. I am grateful to the noble Lord, Lord Cameron of Dillington, for his review of rural proofing. Through rural proofing, we will understand and better reflect in our policies the needs of rural communities, including those on low incomes. The Government are currently revising their guidance on rural proofing, and it will be published shortly on GOV.UK.
ParlaMint-GB_2017-03-07-lords.u120	My Lords, I very much welcome rural proofing and the work that the Minister is doing on it, but why do so many government departments fail to recognise the huge barrier of transport costs faced by families on low incomes in rural areas when they need to access public services? Whether it is young people needing to get to further education colleges or older people needing to access increasingly centralised health and social services, they are so often cut off and excluded by the costs of transport. Surely we cannot allow ourselves to stumble into a situation where you have to be well off to live in the countryside.
ParlaMint-GB_2017-03-07-lords.u121	I entirely agree with the noble Lord that it is very important that we enhance accessibility. Sparsity and the topography of the countryside mean that there are great challenges. That is why I am particularly pleased that the community minibus fund was launched. It will enable about 300 local charities and community groups across England to receive a new minibus, which will be helpful. Clearly, there is more that we want to do. On the whole issue of transport and accessibility it is important, for instance, that under the post office transformation all post office branches will have banking facilities. There are ways in which we can assist rural communities across the piece.
ParlaMint-GB_2017-03-07-lords.u122	My Lords, as it is National Apprenticeship Week, what are the Government doing to encourage apprenticeships in rural areas?
ParlaMint-GB_2017-03-07-lords.u123	My Lords, the Government are committed to reaching 3 million apprenticeship starts in England by 2020. That includes trebling the number of apprenticeships in food and farming from 6,000 to 18,000. National parks authorities, for instance, are seeking to double the number of apprenticeships. It is important that we not only encourage apprenticeships this week but work with employers of all sizes. A new apprenticeship levy is coming into force in April this year for larger businesses. This is an enormous opportunity. Raising the skills of young people in the countryside and across the nation is a force for good.
ParlaMint-GB_2017-03-07-lords.u124	My Lords, the Commission for Rural Communities was established in 2005 by the last Labour Administration, to promote awareness of rural needs among decision-makers across government. It produced some key reports on rural life, highlighting that those living in poverty in rural areas, often in geographical isolation, can be harder to identify and help. But the coalition Government scrapped the CRC in 2013. With the issues of agriculture, trade and food policy on Brexit, what structures are in place to ensure that the interests of rural communities are heard and acted on during the negotiations?
ParlaMint-GB_2017-03-07-lords.u125	My Lords, I will make sure that the noble Lord receives a copy of the new, revised rural-proofing guidance. I have been working with my honourable friend Ben Gummer, the Minister for the Cabinet Office, on this. It is important that all departments across Whitehall understand the issues of rural communities. As Minister for Rural Affairs, I am on a number of ministerial task forces—connectivity and housing, to mention two—precisely to ensure that the rural voice is heard.
ParlaMint-GB_2017-03-07-lords.u126	My Lords, given what the Minister has just said, is he concerned by the fact that in many rural and underprivileged areas libraries and leisure centres are under threat? These are the very places that offer a glimmer of light to people who lead rather dark lives in terms of entertainment and education.
