ParlaMint-GB_2017-01-11-commons.u1	1. What recent assessment she has made of the effectiveness of her Department’s work in Tajikistan.
ParlaMint-GB_2017-01-11-commons.u182	The Green Investment Bank employs 55 people at its head office in my constituency. When it was set up in 2012, the then Business Secretary, Vince Cable, said: “Edinburgh has a lot going for it, both in terms of it asset management and finance sectors…also its proximity to green energy activity” He also said that choosing Edinburgh supported what he described as the “wider narrative” of binding Scotland into the UK in the run-up to the independence referendum. Will the Minister meet me to discuss how such promises can now be delivered to those 55 employees who work in the head office in my constituency?
ParlaMint-GB_2017-01-11-commons.u183	I extend to the hon. and learned Lady the same offer that I made to a colleague earlier. Of course I will meet any colleagues whose constituencies may be affected by this process.
ParlaMint-GB_2017-01-11-commons.u184	My question relates to the bidding process. What is the Minister’s view of the Macquarie bank, the potential bidder also known as the “cuff-linked buccaneers”? What is his opinion of the bank’s recent activity as the owner of Thames Water when it shipped off hundreds of millions in dividend payments to investors, paid minimal taxes and made disappointing investment in the network?
ParlaMint-GB_2017-01-11-commons.u185	The hon. Lady has made her point, and she will know what point I am going to make. I cannot possibly comment on the identity of any bidder at this stage.
ParlaMint-GB_2017-01-11-commons.u186	Does the Minister agree that, if green investments are as profitable, sound and attractive as their supporters have claimed in the House today, there should be no concern about the introduction of private finance for such projects? Indeed, given the pressure on the public purse at the moment, is he not surprised that the House is not welcoming another source of funding for these activities?
ParlaMint-GB_2017-01-11-commons.u187	The hon. Gentleman makes an important point about the increased attractiveness of investment in renewable energy and low-carbon infrastructure. Governments in the UK and around the world have helped to facilitate that investment over the years and have seen dramatic falls in the cost of those technologies and the cost of the capital attached to them, making them a more investable proposition. This helps to reinforce our argument that this is the right time to liberate the GIB from state control to enable it to play a bigger part in the market.
ParlaMint-GB_2017-01-11-commons.u188	The Aldersgate Group has highlighted the fact that the strength of the Green Investment Bank is that it has supported innovative projects throughout the UK that help us not only to tackle climate change but to drive down costs in the NHS and local government through energy efficiency. Will the Government heed the warning of the former Conservative Energy Minister, Lord Barker, that the bank is heading for break-up? Will they halt the sale to ensure that the bank remains a single public institution that is one step ahead of the market in the green projects that it backs?
ParlaMint-GB_2017-01-11-commons.u189	Lord Barker is a good friend of mine for whom I have great respect. I would like to reassure him and, I hope, the House that the Government are not being naive. We are very clear about the criteria we have set, and we are in the process of a robust and rigorous evaluation of the proposals against those criteria.
ParlaMint-GB_2017-01-11-commons.u190	The Minister has been very clear that the creation of a special share in the governance arrangements will protect the integrity of the bank’s green purpose and future investments, but may I press him for a little more detail on precisely how that special share would prevent successful bidders—Macquarie or others—from offloading current projects?
ParlaMint-GB_2017-01-11-commons.u191	I want to make two points on that. First, the special share is being set up to protect the integrity of the green purpose, which is set out in the articles of association. It is there for all to read. Any proposed changes would need to be approved by the trustees, who have been selected independently. That is the mechanism involved. Secondly, I made the point earlier that I do not think it is sensible for investment institutions to hold on to assets forever. Part of their role is to manage a portfolio, and if they get attractive offers to divest assets we expect them to look at those offers seriously. We are interested in the plans for future investment, and in what this organisation could become under private ownership. That is what we are evaluating.
ParlaMint-GB_2017-01-11-commons.u192	The Minister was right to say that there was cross-party support for the Green Investment Bank. There was, however, no such cross-party support—or support in Scotland—for the removal of support for carbon capture and wind energy. The fact that his party’s policies have been so disastrous in Scotland might explain why it does not do so well with the electorate there. Will he absolutely commit to all the projects that the Green Investment Bank has invested in—totalling hundreds of millions of pounds in Scotland—and assure us that, regardless of who the buyer is, they will continue?
ParlaMint-GB_2017-01-11-commons.u193	I dispute the hon. Lady’s analysis. This country has made enormous progress in the shift to clean energy, and Scotland has been a big part of that. I point her to the recent commitment to the next round of contract for difference auctions and to the fact that last year I think we generated 25% of our energy from renewable sources. If she looks at the starting point of 2010, I think her argument falls away. On her point about continued investment in Scotland, I repeat what I have already said to colleagues.
ParlaMint-GB_2017-01-11-commons.u194	When taken alongside the cuts to renewable energy and the abolition of the Department of Energy and Climate Change last year, does not the sell-off of the Green Investment Bank show that the Government are no longer committed to being a world leader on climate change and sustainability?
ParlaMint-GB_2017-01-11-commons.u195	No. I am afraid that that is total nonsense. If the hon. Lady wants proof points on that, I can tell her that one of the first actions of this Department, within days of the new Government being formed, was to put into law the fifth carbon budget. I am sure that she knows the detail of that, so she will know how ambitious it is. That was not the action of a Government who are shirking their responsibilities in relation to Britain’s role in mitigating climate change.
ParlaMint-GB_2017-01-11-commons.u196	Is the Minister seeking assurances that 100% of the return on any sales of existing assets will be reinvested in green energy in the UK?
ParlaMint-GB_2017-01-11-commons.u197	I think I have laboured to exhaustion the point that one of our priorities is to protect the integrity of the green purpose of the organisation. What we want to hear from bidders is their plan for future investment.
ParlaMint-GB_2017-01-11-commons.u198	On a point of order, Mr Speaker. The Attorney General is making a speech today—indeed, he might already have made it—that will apparently pave the way for more military drone strikes against jihadis. This looks like, smells like and walks like a policy announcement. You, Mr Speaker, will be aware of the concerns that have been expressed in the House about the use of drones, about the lack of parliamentary scrutiny of their use and terms of engagement and about the risk—acknowledged by the Attorney General—of civilian casualties associated with their deployment. Given the controversial nature of drones, do you agree that any step change in their use—in other words, a policy shift—should be raised and debated in this House, not trailed in a speech?
ParlaMint-GB_2017-01-11-commons.u199	I am grateful to the right hon. Gentleman for his courtesy in giving me notice of his intention to raise this point of order. I certainly share his view that significant policy announcements by the Government should first be made in this House rather than outside it. I am not familiar with the contents of the Attorney General’s speech today, and I am not in a position to pronounce on whether it amounts to such an announcement of policy change. That said, the right hon. Gentleman has made his concern clear, and it will no doubt have been heard by those on the Treasury Bench. He can be sure that it will be conveyed to the relevant Ministers. The fairest thing I can say is: let us await events. I might add that as the right hon. Gentleman is a former Deputy Leader of the House, he will be well aware of—and personally closely familiar with—the instruments available for Back-Bench scrutiny of the Executive in this place.
ParlaMint-GB_2017-01-11-commons.u200	I beg to move, That leave be given to bring in a bill to make provision about the property and affairs of missing persons; and for connected purposes Sooner or later, all parents come to a certain realisation: our children are gradually slipping away from us—first crawling, then toddling, then running. The gentle, guiding hand is no longer needed as, with great delight, they discover the trick of balancing on two wheels and there they go pedalling off down the lane. There is that first day at school and then, a few years later, their hand starts to slip from ours when they get anywhere near the school gates. The teenage bedroom years are spent in self-imposed solitary confinement. Then comes the day when they cram all their stuff into the boot of the car and are off to university or the first job or to move into their first home All are bittersweet moments for most parents, because most of us know that our children will return. That is not so for Mr and Mrs Lawrence, parents of Claudia, a missing person since 18 March 2009—nearly eight years ago. We can never imagine the rising panic of those first minutes, hours and days when they realised something was wrong. Increasingly frantic calls and prayers go unanswered. Voicemails are never retrieved. Days turn into weeks, weeks into months, and months into years. Claudia’s fate is still unknown and still the subject of a police investigation. Many false hopes have been raised over the years. A lead? A prosecution? Nothing. Hopes raised; hopes dashed When a person disappears with no explanation, all the unanswered questions and difficult emotions leave their friends and family an unbelievable amount to cope with. Such desperate situations are worsened by the need to pick up the pieces of their lives, such as paying the mortgage, the rent, the car loan or insurance. Data protection and financial services contract law currently prevent even the closest relative from dealing with their finances. Mr Lawrence told me: “Banks, insurance companies, mortgage lenders, all say, ‘We can’t accept your instructions, as you’re not our customer’.” He went on to say: “You’re at your lowest ebb and you have to fight all these problems... it’s terribly distressing.” I believe that the vast majority of Members join this House because they want a better world for all our children, but there are some problems that we will never be able to solve. The flaws of mankind will always exist. Our police forces cannot prevent and solve all crimes, but we can help by easing the burden in a small but important way Under current English and Welsh law, when a person disappears their property is effectively left ownerless. No one has the legal authority to protect it on their behalf. That can lead to assets depreciating and property falling into disrepair and leaves those left behind without access to the resources that the missing person would have provided. The creation of a new status of guardian of the property and affairs of a missing person will fill that void and provide a sensible and helpful solution to the practical and financial difficulties faced by families and others following a disappearance The core of the proposal is that the court will have power to appoint a guardian on the application of a person with sufficient interest in the property and affairs of someone who is missing. The Bill provides that the person will generally have to have been missing for at least 90 days and that the guardian will take control of the property and financial affairs of the missing person and will have authority to act on behalf of the missing person. The guardian will be able to use the property of the missing person to help those left behind, will be accountable for his or her actions and will be supervised by the Office of the Public Guardian. The terms of the appointment will be for a period of up to four years but will be renewable by application to the court. The small fee involved will be payable by the missing person’s estate, so there will be little or no cost to the taxpayer. Crucially, the guardian will be required to act in the best interests of the missing person The proposals draw on the precedents of systems used in other countries, particularly certain states in Australia, and for deputies appointed under the Mental Capacity Act 2005. Many of us have benefited from similar powers in other difficult circumstances, such as when someone passes away or when someone close to us is no longer able to manage their own affairs due to dementia or other mental capacity issues. Quite simply, this Bill fills a gap in the law that few people know exists There are some 4,000 missing-people occurrences every year, and I thank everyone connected to Missing People, a support and campaign organisation, many of whom are involved because they have lost a loved one. I offer particular thanks to Mr and Mrs Lawrence, who have a deep connection with my constituency and have championed the cause of guardianship even though it can no longer help their situation. I am also grateful to Members from across the House and from the other place who have pledged their support for this motion, particularly my hon. Friends the Members for York Outer (Julian Sturdy) and for Selby and Ainsty (Nigel Adams) and the hon. Member for York Central (Rachael Maskell), who have done so much work on this topic already Missing People has many tragic stories of loved ones lost and those left behind having their hearts broken: husbands, wives, fathers, mothers, brothers, sisters and children. This is possibly one of those all too rare occasions when Members can make a huge difference simply by supporting this straightforward Bill I am grateful to the Justice Committee, for the work of the all-party parliamentary group on runaway and missing children and adults, and, crucially, to Ministers, who have pledged their full support for the Bill. All I respectfully ask for is the support of all hon. Members to guarantee the Bill’s passage through the House and into legislation Question put and agreed to. Ordered, That Kevin Hollinrake, Ann Coffey, Julian Sturdy, Christian Matheson, Sir David Amess, Christina Rees, Nigel Adams, David Warburton, Liz Saville Roberts, Rebecca Pow, Amanda Solloway and Dr Philippa Whitford present the Bill Kevin Hollinrake accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 3 February, and to be printed (Bill 120).
ParlaMint-GB_2017-01-11-commons.u201	I advise the House that Mr Speaker has selected amendment (a) in the name of the Prime Minister.
ParlaMint-GB_2017-01-11-commons.u202	I beg to move, That this House supports NHS England’s four-hour standard, which sets out that a minimum of 95 per cent of all patients to A&E will be treated within four hours; notes the widespread public and medical professional support for this standard; further notes that £4.6 billion has been cut from the social care budget since 2010 and that NHS funding will fall per head of population in 2018-19 and 2019-20; and calls on the Government to bring forward extra funding now for social care to help hospitals cope this winter, and to pledge a new improved funding settlement for the NHS and social care in the March 2017 Budget I begin by paying tribute to the staff working in the NHS. To nurses, midwives, GPs, consultants, junior doctors, paramedics—all staff—we say thank you for your hard work, goodwill, commitment and dedication though this winter crisis. I had the pleasure of meeting some of those hard-working staff with my hon. Friend the Member for Tooting (Dr Allin-Khan) at St George’s hospital on Monday, and they told me of the pressures they face. Last night, I convened a summit of representatives of various royal colleges and trade unions working in the health service to meet staff and hear directly from the frontline of the pressures we now see in hospitals every day. Many royal colleges have spoken out today, warning of underfunding and understaffing. Over the past few days, I have received messages from doctors and clinicians from across the country who tell of the immense pressure, strain and, yes, crisis that we face this winter Let me share with the House some of the stories that I have been told, and I deliberately exclude the names of hospitals and trusts so as not to cause undue stress and alarm. This is a flavour of what I have heard. One doctor told me: “There was a point when A&E was completely full and we had no space for a major trauma call that was coming in. The trauma case was going to have to be put into a corridor because the resuscitation area was full.” Another story: “In my A&E ‘Corridor Care’ isn’t unusual, it’s now the norm. Patient buzzers have actually been installed on the walls in said corridor.” How about this: “We’re…trying our best to keep patients safe but there aren’t enough of us and we’re on our knees. Doctor and nurses in tears” Another story: “Over the weekend my bosses repeatedly asked for ambulances to be diverted away from our hospital because we had no beds, but we had multiple requests denied.” Finally, another one: “The A&E is perpetually rammed with the corridor full of ambulance trolleys and paramedics.” I have many more examples, but I am sure the House understands the broader point that I am trying to make.
ParlaMint-GB_2017-01-11-commons.u203	There is unprecedented pressure in Wirral, too. As recently as last week A&E attendances and GP referrals were massively up. Unprecedentedly, 84 additional beds are being laid on, and they are now full. Last week, all elective in-patient appointments were cancelled and ambulance turnarounds reached up to five hours. At Prime Minister’s questions, the Prime Minister did not seem to think that there is a crisis in the NHS. If this is not a crisis, can my hon. Friend tell us what is?
ParlaMint-GB_2017-01-11-commons.u204	My hon. Friend makes her point eloquently and represents her constituents powerfully, as she always does in this place. I hope the Secretary of State will respond to some of those points.
ParlaMint-GB_2017-01-11-commons.u205	The Royal Stoke in my city is under intense pressure. No doubt, we will hear shortly from the Secretary of State that that is winter pressure. Winter has not really started. We have not really had a winter, yet we have been under this pressure not for a few weeks but for months. The whole NHS system is broken. That is the problem that we really face.
ParlaMint-GB_2017-01-11-commons.u206	My hon. Friend makes an eloquent point about the particular situation that has been facing Stoke for some time, of which many of us are aware. I hope the Secretary of State will touch on the situation in Stoke, because sadly it is one that we have had to raise previously.
ParlaMint-GB_2017-01-11-commons.u207	If I may, I will make a little progress. I promise to try to give way to as many hon. Members as possible I assure the Secretary of State that I will pass on the names of the trusts and hospitals that I highlighted, so perhaps he can look into them. Let us be absolutely clear that these desperate stories are not the words of politicians trying to score political points but are the honest, heartfelt, considered testimonies of doctors and clinicians on the frontline in our hospitals. They simply want to do the very best for their patients. Indeed, many clinicians want to speak out but feel that they cannot, which is why the remarks were made anonymously According to reports on the BBC’s “You and Yours”, the Prime Minister has sent instructions to hospital trust chief executives telling them not to speak out. I would be grateful if the Secretary of State verified those reports.
ParlaMint-GB_2017-01-11-commons.u208	I worked in the NHS over the Christmas period. Although it has been a very tough winter so far, this is nothing new. I have worked in the NHS for more than 20 years, and under previous Governments we had ambulances queuing around the block to get into A&E. Major incidents were declared in A&Es because they were too full. Will the hon. Gentleman accept that this is not a new problem?
ParlaMint-GB_2017-01-11-commons.u209	I entirely respect the hon. Lady’s work as a nurse before she came into this place—[Hon. Members: “She still is.”] I beg her pardon. She is still a nurse, and I genuinely respect her, but if we are not raising these matters on behalf of our constituents, we are failing in our responsibility as Members of Parliament. We must never forget that this is not just about the staff in our NHS; it is about patients and their safety, which must always be our absolute priority.
ParlaMint-GB_2017-01-11-commons.u210	I am grateful to my hon. Friend for kindly giving way and for his important remarks. I echo his point that this is about patients across the country. My constituent’s mother, Angela, has been waiting for an acute mental health bed for more than a week. She was taken in an ambulance to A&E, but she could not be treated locally in Liverpool because the department was full. She was treated for the physical effects of her mental health condition in an ambulance and sent home. Her family are devastated and are concerned about her condition. Her story is one of countless stories across the country, and we need to recollect and focus on those stories today.
ParlaMint-GB_2017-01-11-commons.u211	My hon. Friend speaks passionately, as she always does, on behalf of her constituents and, more broadly, on mental health provision. Again, I hope the Secretary of State will respond to her on the specifics of that case My hon. Friend talks about patient care, and she is absolutely right. All of us, or at least many of us, in this House will have been getting stories from constituents telling us of their recent experiences in hospitals. I have been given a few, and I will share some heart-breaking examples with the House. Again, I will not reveal the names of trusts and hospitals, but I will pass them on to the Secretary of State after the debate Example No. 1 is of a mum of four children under 10 years old who has a secondary tumour in her liver. She was due to go into hospital this Thursday to have the tumour removed. Her surgery has been delayed for at least two weeks, so that the hospital could cope with the winter crisis and because no beds are available. She has not yet been given a new date Someone else got in touch with me this morning. Their wife has been on the waiting list for a knee replacement since April last year. An appointment for early December was cancelled owing to the hospital being on black alert. A few weeks later, the hospital phoned with an appointment for today, which was cancelled yesterday Again, these patients are not trying to score political points or to politicise matters. They are decent, hard-working people who are simply desperate for something to be done.
ParlaMint-GB_2017-01-11-commons.u212	Conservative Members care deeply about patients. I personally follow up on the individual stories and challenges experienced by my constituents, but the hon. Gentleman has surely seen the guidance this week from NHS Providers, which is not always a friend of the Government, that said that we need to be careful when extrapolating from individual incidents in hospitals that are under particular pressure and implying that they constitute a wider trend. Yes, times are tough in the NHS, and there are winter pressures, but he should not make inappropriate use of individual stories.
ParlaMint-GB_2017-01-11-commons.u213	The hon. Lady should be careful. I will be charitable, but she would not want to give the impression that she is dismissing the stories and examples that I am highlighting. NHS Providers has continually warned of the chronic underfunding of the NHS under this Government, and it has continually warned that, head for head, spending in this country will fall next year. If she wants to quote NHS Providers, she should quote all the facts from NHS Providers.
ParlaMint-GB_2017-01-11-commons.u214	My hon. Friend is telling some shocking stories. Was he as shocked as I was to hear Government Members shouting at and heckling the Leader of the Opposition during Prime Minister’s questions? They shouted, “What about Wales?” Does my hon. Friend agree that there is actually a stark contrast in Wales? Welsh Labour is delivering 6% more funding than in England for the NHS and social care. We have brand new hospitals, including in my constituency, and an £80 million new treatment fund was announced yesterday to allow better access to treatments.
ParlaMint-GB_2017-01-11-commons.u215	My hon. Friend makes a powerful point about Wales. As a Member for Cardiff, he understands what is happening in the Welsh health service. I wish Conservative Members understood that better.
ParlaMint-GB_2017-01-11-commons.u216	Will the hon. Gentleman give way?
ParlaMint-GB_2017-01-11-commons.u217	I will give way to the right hon. and learned Gentleman, but I will then make some progress.
ParlaMint-GB_2017-01-11-commons.u218	Does the hon. Gentleman accept that every winter, for as long as I can recall, we have had a winter crisis in the NHS? It usually happens after Christmas. In winter the demands on the service become unpredictable, infections spread and the NHS starts losing staff. There are bound to be parts of the system that come under very real strain, and no one is trying to minimise the fact that they do. Apart from just producing this year’s crop of stories of very unfortunate incidents in various places, does he have any policy proposal at all, apart from simply spending more money wherever the reports are coming from?
ParlaMint-GB_2017-01-11-commons.u219	I am very grateful to the right hon. and learned Gentleman, who is a very experienced parliamentarian, for his intervention, but he will know that this is one of the worst winters for probably 20 years. He casually suggests that this happens every year, but I remember the years of a Labour Government when it did not happen. I remember the years of a Labour Government when we went further than the financial settlements he delivered as Chancellor of the Exchequer and were more than doubling the money going into the NHS—and tripling it in cash terms.
ParlaMint-GB_2017-01-11-commons.u220	If I may, I would like to make a bit of progress. I promise my hon. Friends, and indeed Conservative Members, that I will try to give way as much as possible, but I am very aware that many Members have put in to speak. We are all becoming familiar—far too familiar perhaps—with the grim statistics: in December, 50 of the 152 English hospital trusts called for urgent action to cope with demand; the number of patients being turned away from A&E and sent to other hospitals is at a record high; A&E departments have turned patients away more than 140 times; and 15 hospitals ran out of beds in one day in December. Last night, the BBC revealed that leaked documents from NHS Improvement showed that there were more than 18,000 trolley waits of four hours or more; that almost a quarter of patients waited longer than four hours in A&E last week, with just one hospital—just one—hitting its target; and that since the start of December, hospitals have seen only 82.3% of patients who attended A&E within the four-hour target. We will return to the four-hour target in a few moments Ministers can try to deny what is going on, but they cannot deny these facts about what is happening this winter in the NHS on their watch. We know that what happens in the NHS in the winter is a signifier of a wider crisis, because across the piece bed occupancy levels now routinely exceed the recommended maximum level of 85%—often to levels higher than 95%. As I have said, the NHS is going through the largest financial squeeze in its history. Indeed, the former Secretary of State, Lord Lansley, said that five years of NHS austerity had been planned for, but having 10 years of it was never expected. We have seen £4.6 billion cut from social care budgets—
ParlaMint-GB_2017-01-11-commons.u221	rose—
ParlaMint-GB_2017-01-11-commons.u222	I will give way in a moment. As the King’s Fund said, the reason there is a problem is quite simply because there is a “mismatch between funding and activity” affecting our hospitals. The response of Ministers, from the Prime Minister downwards, has been one of utter complacency. The Secretary of State told “Sky News” on Monday that things had only been “falling over in a couple of places” When he came to the House on Monday to make his statement, he did not commit to extra emergency funding for social care and he did not promise that the financial settlements would be reassessed in the March Budget. It is worse than that, because while he was making his statement, his spin doctors were telling the Health Service Journal—this on the day when the winter crisis is leading the news and he is making a statement in the House—and letting it be known that there is “no prospect” of “additional funding to support emergency care any time before the next election.” So there is nothing for social care, nothing for emergency care, nothing to tackle understaffing and nothing to tackle underfunding—well thank you very much. What did we get as a response? We got a downgrade of the four-hour A&E target.
ParlaMint-GB_2017-01-11-commons.u223	indicated dissent.
ParlaMint-GB_2017-01-11-commons.u224	The Secretary of State shakes his head and says, “Nonsense”, but let me remind him of what he said in the House on Monday: “we need to have an honest discussion with the public about the purpose of A&E departments.” He began by saying he wanted to provoke a discussion. He has certainly provoked a backlash, not least by blaming the public, it seems, for turning up at A&E departments. He went on to say that the four-hour target “is a promise to sort out all urgent health problems within four hours”, but he added a little clarification, continuing: “but not all health problems, however minor.”—[Official Report, 9 January 2017; Vol. 619, c. 38.] That is what he said in the House, and now we have seen the letter from NHS Improvement to trusts a few weeks ago, which talks of “broadening our oversight of A&E” On the four-hour standard, it said that it believed “there is merit in broadening our oversight approach, beyond a single metric” So in the interests of that discussion the Secretary of State wants to engage in, perhaps he can answer our questions, although I know he avoided the questions on Sky yesterday. Does he recall that in 2015, when he asked Sir Bruce Keogh to review these matters on waiting times, Sir Bruce said: “The A&E standard has been an important means of ensuring people who need it get rapid access to urgent and emergency care and we must not lose this focus”?
ParlaMint-GB_2017-01-11-commons.u225	rose—
ParlaMint-GB_2017-01-11-commons.u226	I will give way in a few moments. Sir Bruce continued: “I do not consider that there is a case for changing the 4 hour standard at this time.” Does the Secretary of State still agree with Bruce Keogh? If he does, why did he make his remarks on Monday about needing to have a discussion about the future of the A&E standard?
ParlaMint-GB_2017-01-11-commons.u227	rose—
ParlaMint-GB_2017-01-11-commons.u228	I will give way in a few moments. If the Secretary of State wants to lead a discussion about the future of the four-hour A&E standard, will he tell us what discussions he has had with the Royal College of Emergency Medicine? It argues that the four-hour standard is a vital measure of performance and safety, and believes the standard should apply to at least 95% of all patients attending emergency departments. If he says he is still committed to that four-hour standard, is he still committed to maintaining it at 95%?
ParlaMint-GB_2017-01-11-commons.u229	Will my hon. Friend give way?
ParlaMint-GB_2017-01-11-commons.u230	My hon. Friend has had one bite of the cherry, so if he does not mind I shall make a little progress and then I will do my best to get as many people in as possible Does the Secretary of State agree—
ParlaMint-GB_2017-01-11-commons.u231	rose—
ParlaMint-GB_2017-01-11-commons.u232	I will give way in a few moments. Does the Secretary of State agree that the four-hour standard is a reasonable proxy for patient safety? Does he agree that every breach of the four-hour standard can be regarded as a potentially elevated risk?
ParlaMint-GB_2017-01-11-commons.u233	rose—
ParlaMint-GB_2017-01-11-commons.u234	I will give way to the hon. Lady, as she has been very persistent.
ParlaMint-GB_2017-01-11-commons.u235	If the hon. Gentleman were to read the Government amendment, he would see that the Secretary of State says he “supports and endorses” the 95% target for A&E waiting times.
ParlaMint-GB_2017-01-11-commons.u236	I pay tribute to the hon. Lady for the work she is doing on tackling loneliness. I know that all Labour Members very much appreciate the work she is doing on that, along with my hon. Friend the Member for Leeds West (Rachel Reeves). The Government amendment is conspicuous in not referring to all patients The Secretary of State did distinguish between “urgent” and “minor”—[Interruption.] The hon. Member for Beverley and Holderness (Graham Stuart) says I should get a haircut. Did he say that? No? I beg his pardon, but he heckles so much it is sometimes difficult to hear what he is saying. Can the Secretary of State tell us how he would define the difference between urgent and minor care for instances relating to this four-hour standard? Can he tell us what will be the minimum severity of physical injury or other medical problem which will be needed for a patient to qualify for access to an A&E? How will we determine these new access standards? How quickly will they be available? Will patients with visible injuries be exempt from a new triage system? If so, which injuries will qualify? If the Secretary of State is not moving away from this four-hour standard, he needs to clarify matters urgently, because the impression has been given that he is doing so. [Interruption.] Not by me, but by his own remarks in the House on Monday. If he is not moving away from that standard, will he guarantee that he will not shift away at all from it throughout this Parliament and that it will remain at its current rate?
ParlaMint-GB_2017-01-11-commons.u237	rose—
ParlaMint-GB_2017-01-11-commons.u238	I will give way to the former Government Chief Whip.
ParlaMint-GB_2017-01-11-commons.u239	I, too, was in the Chamber on Monday and I listened carefully to the Secretary of State then. He was challenged by the right hon. Member for Exeter (Mr Bradshaw) on the target and was asked whether he was watering it down. He said explicitly that “far from watering down” he was recommitting the Government to it. He was generous to the Labour party in saying that it was one of the best things the NHS did. I think that was very clear.
ParlaMint-GB_2017-01-11-commons.u240	Let me say to the former Chief Whip that the Secretary of State said that “we need to be clear that it is a promise to sort out all urgent health problems within four hours, but not all health problems, however minor.”—[Official Report, 9 January 2017; Vol. 619, c. 38.] The Secretary of State did not need to come to the House to make those remarks and set these various hares running, so the right hon. Member for Forest of Dean (Mr Harper) should make his objections not to me, but to the Secretary of State—
ParlaMint-GB_2017-01-11-commons.u241	I am going to move on a little If the Secretary of State is not abandoning the four-hour standard, as he insists he is not, we look forward to hearing him make that absolutely clear. He also said and has implied that we need to educate the public better, so that they do not turn up at A&E departments. That was the implication of his remarks on Monday. Will he tell us how he is going to do that? What will be the cost implications of explaining to the public that they must not turn up at A&E departments? Are we expecting to see a large advertising campaign? Will the cost fall on local authorities’ public health budgets, which have already been cut? Will local authorities be given more resources for this new public education campaign?
ParlaMint-GB_2017-01-11-commons.u242	My hon. Friend is making an important point. The key similarity is that back in 1997, when Labour took over, the health service was in crisis, and it is again today. Is not part of the problem that people are having to go to A&E because they cannot get in to see their GP?
ParlaMint-GB_2017-01-11-commons.u243	Absolutely. It is so difficult to get to a GP, which is why there are all these pressures on our A&Es. Of course, it is only going to get worse, because this year we are going to see cuts to community pharmacies—3,000 will be lost from our towns and streets because of the cuts that are being pursued. Let us not forget that the figure of 3,000 community pharmacies being lost was what the previous Minister, the right hon. Member for North East Bedfordshire (Alistair Burt), told MPs.
ParlaMint-GB_2017-01-11-commons.u244	Will the hon. Gentleman give way?
ParlaMint-GB_2017-01-11-commons.u245	I will give way one last time, but then I really must make some progress.
ParlaMint-GB_2017-01-11-commons.u246	I led a debate in Westminster Hall this morning on pharmacies and integrated services in the NHS, and not one Back-Bench Labour MP could be bothered to take part—not one!
ParlaMint-GB_2017-01-11-commons.u247	Labour MPs have been raising these matters in this House for weeks, including at urgent questions and in Opposition day debates.
ParlaMint-GB_2017-01-11-commons.u248	I presume what the hon. Member for St Albans (Mrs Main) meant to say was that two Back-Bench Labour Members took part in the debate—I was one of them. Does my hon. Friend agree that the point about community pharmacies, GPs and investment in social care is that they save the Government money? That is why they should invest in them now to take pressure off A&Es.
ParlaMint-GB_2017-01-11-commons.u249	I thank my hon. Friend for correcting the record about that debate in Westminster Hall The Secretary of State denies that he is going to water down the A&E target; we welcome that, but we will watch carefully to ensure that he does not sneakily water it down throughout the remaining years of the Parliament. Will he tell us what he expects to happen next as we go through the winter? Weather warnings have been issued, and we could be heading for a cold snap. Will he update us on what urgent preparations he is putting in place to ensure that the NHS can cope? Is the NHS prepared for a flu outbreak, and what is his assessment of whether overstretched hospitals will be able to cope if there is one? It appears that, so far, Ministers have been burying their heads in the sand, but that will no longer do.
ParlaMint-GB_2017-01-11-commons.u250	My right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) and my hon. Friend the Member for Lewes (Maria Caulfield) both made the point that the issues in the NHS are historical. On Radio 4 this morning the right hon. Member for Leigh (Andy Burnham) said he accepted that the previous Labour Government had not spent the right amount of money on social care. Will the hon. Gentleman accept that these issues are historical—they are not new—and that Labour does not have all the answers?
ParlaMint-GB_2017-01-11-commons.u251	The hon. Lady refers to history; under this Government the NHS is going through the largest financial squeeze in its history. When we had a Labour Government, we more than doubled investment into the NHS.
ParlaMint-GB_2017-01-11-commons.u252	Will the hon. Gentleman give way?
ParlaMint-GB_2017-01-11-commons.u253	Because he is a Member from the east midlands, I shall give way to the hon. Gentleman from Corby.
ParlaMint-GB_2017-01-11-commons.u254	I agree with the shadow Secretary of State that we need to have an honest debate, so does he accept that he stood on a general election manifesto that would have seen Labour spend billions less on our national health service? Will he set out for the House exactly what NHS services he would be spending less on now?
